years_employed,household_size,log_household_income,owns_home,has_college_degree,offered_consumption_subsidy,used_consumption_subsidy,annual_household_consumption
2,3,0,0,1,0,1,53.6386818844546
4,3,0,1,1,0,1,53.12117029756151
8,2,0,1,1,1,1,52.00350019113585
1,2,0,1,1,1,0,46.21595460899268
3,2,0,1,0,1,0,46.711005909187655
9,2,0,1,1,1,1,52.20534499570581
2,1,0,1,1,0,0,47.456768846154745
6,2,0,1,0,1,1,54.03752298444244
2,1,0,1,0,1,0,49.38605973808564
4,2,0,1,0,0,1,54.35015634431329
2,3,1,0,1,0,0,45.87975124782199
1,3,-1,1,0,1,0,46.08565947605648
4,4,0,1,0,1,1,53.99738639996261
4,3,1,0,1,1,1,56.01090089944422
0,3,0,0,1,1,0,46.738008776155695
2,1,0,1,0,1,0,47.61381453601775
5,3,0,1,1,0,1,53.61985538474888
4,2,1,1,1,1,0,45.85781180092029
2,1,0,1,0,1,0,46.63008252839377
5,2,0,1,1,0,1,55.0706512525842
6,2,0,1,1,0,1,53.84297605963984
0,3,1,0,0,0,0,49.16103213448986
5,2,0,1,1,0,0,45.23046618557716
6,3,0,0,1,1,1,53.11481244912862
4,1,0,0,1,0,0,48.05919843136542
3,2,0,1,0,1,1,54.29786595115539
5,4,0,0,1,1,1,52.15511578297345
4,2,0,1,1,1,1,54.13610089920542
2,2,0,0,1,1,0,45.46199816423742
8,2,0,1,0,1,1,53.85178234897897
6,3,0,1,1,1,0,44.89914926905726
3,2,0,1,0,1,0,47.21143135323832
3,3,0,0,1,1,1,55.31053524664664
4,3,-1,1,0,1,1,55.22442314957844
5,3,0,1,0,1,0,45.54294080075111
5,2,0,1,1,1,1,54.00640016591931
7,3,0,1,1,1,1,53.15336649156095
2,3,0,1,0,1,1,52.94379474038898
6,3,0,1,1,1,1,53.18197961795134
7,2,0,0,0,0,1,54.1256885745819
4,2,0,1,1,1,0,46.97971871140068
8,3,0,1,1,1,1,52.51345050913645
5,3,0,1,1,1,0,45.34954551937028
3,1,0,0,0,1,1,54.68201243042231
2,2,0,1,1,1,1,56.468566939158045
3,3,1,0,1,1,1,53.03795079817697
1,3,0,0,0,1,0,44.41154996352366
5,2,0,1,0,1,0,46.51502304354175
5,3,0,1,1,1,1,52.50258051500055
0,3,1,1,1,1,0,46.45004540495353
4,3,0,1,1,1,1,51.60414584588475
7,3,1,1,0,1,1,52.20435370455027
4,3,0,1,0,0,1,54.01372223576495
3,3,0,1,1,1,0,45.16556548773677
1,3,0,1,1,0,0,47.344430362170485
2,2,0,0,1,0,1,55.1203586081915
2,2,0,1,1,1,1,54.12156951390664
4,3,0,1,1,1,1,52.87866605722154
3,2,-1,0,0,0,0,50.47331888324077
0,3,0,1,1,1,0,46.04206176156392
6,3,0,1,1,1,1,51.66663214602321
2,2,0,1,1,1,0,46.15227841198166
3,2,0,1,0,0,0,46.63462195854491
2,3,1,0,1,1,1,53.62996012228231
6,2,0,0,1,1,0,45.14777292260356
4,3,0,1,1,0,0,45.51024277919108
3,2,0,0,0,1,0,47.21337898095428
4,3,0,1,1,1,1,53.00449788199201
3,3,1,0,1,1,1,54.149430229505285
3,3,0,1,1,1,1,53.14831368912101
0,1,0,1,0,0,0,47.00034391475547
6,4,0,1,1,1,1,51.74620522522045
4,2,0,0,1,1,0,45.54494131965168
3,3,0,0,1,1,1,54.617848881162594
4,3,0,0,0,1,1,54.60568248014864
0,2,1,1,1,0,0,45.81174222298051
0,2,0,1,1,1,0,47.46963171672778
5,2,0,1,1,0,0,45.7250289734839
3,3,0,1,0,1,0,47.037619942559125
7,3,0,1,1,1,1,53.321376339360505
1,3,0,1,1,0,0,46.25840337622505
2,2,0,1,1,1,0,47.13970421748128
0,3,0,1,0,1,0,46.44473273789865
5,3,0,1,1,1,1,53.34603598902172
3,2,0,1,1,1,0,45.83865050265687
3,2,0,1,1,1,1,51.863246534669614
0,2,0,1,0,0,0,47.37417184579216
1,2,0,0,1,1,1,56.42909367871692
0,3,0,1,0,1,0,47.74320779138113
3,2,0,0,1,1,1,55.3475979182833
5,2,0,1,0,0,1,53.38551404667804
2,2,0,0,1,1,1,55.41652197459773
3,2,0,0,1,0,1,53.5585993892272
3,2,0,1,1,0,1,53.22164071196998
2,3,0,1,1,1,0,48.08423186397701
4,3,0,1,1,0,1,51.60325547785196
2,2,0,1,1,0,0,47.31574820347645
1,2,1,0,0,0,0,48.1340047456872
0,1,0,1,1,1,0,47.41369986724624
4,3,0,1,0,1,0,46.96112273911512
2,2,0,0,0,1,0,49.54784774414089
2,3,0,1,1,1,0,45.93125328698672
7,3,0,1,1,1,1,53.00302000851086
8,3,1,1,0,0,1,55.442058979967605
2,3,0,1,1,1,0,45.70870171351339
2,2,-1,1,1,1,0,47.15389051782801
4,3,1,1,1,1,1,53.43925843496742
0,2,0,0,1,1,0,47.83069953417375
2,3,0,1,0,1,0,46.858542787580326
3,2,0,1,1,0,0,46.16802257406549
5,2,0,1,1,1,1,52.57601052744511
5,1,0,0,0,0,0,46.527033636738025
7,2,0,1,1,1,1,53.09572876010724
6,2,0,1,1,1,1,54.76890860083904
7,3,0,1,0,1,1,54.02687844428674
3,4,0,1,1,0,0,44.74530903924014
3,3,0,1,0,1,0,47.21196386846496
0,3,0,0,0,1,0,47.64183786534018
0,3,0,0,1,0,0,45.43170985018965
0,3,0,1,0,1,0,47.959107159572525
1,3,0,1,0,0,1,53.32114607052248
5,3,0,1,0,1,1,54.32006415755419
5,3,0,1,0,1,1,53.24734193376235
2,2,0,0,0,1,0,48.7414189445757
4,2,0,0,1,1,0,47.55371597157164
4,3,1,1,0,1,0,42.934484205153794
5,3,0,0,1,1,1,53.549526218271936
5,4,0,1,1,0,1,53.33864507856328
6,3,0,1,0,0,1,51.95214392710742
0,3,0,1,1,0,0,47.20017974644409
5,3,0,0,0,0,1,53.460855793516
1,2,-1,1,0,1,0,47.60012082204973
8,2,0,1,0,1,1,54.25578132305148
0,1,0,1,1,1,0,48.25343860496202
7,3,0,1,1,1,1,53.32890142844118
2,2,0,1,1,0,0,45.21574402956946
4,2,0,0,0,0,0,48.63526787853157
-1,2,0,0,0,1,0,47.20196637112909
2,3,0,1,0,0,0,45.09342120471906
0,2,0,1,1,1,0,46.73821588651603
3,3,0,1,1,1,0,45.80615228505166
0,3,0,1,1,1,0,45.178668904742366
3,2,1,1,1,1,0,46.10739676775477
1,3,0,1,1,1,0,46.11364671470315
7,3,0,1,0,1,1,54.40244983348039
4,2,0,1,0,0,1,54.52572201502301
4,2,0,1,0,0,0,48.15331168501725
2,2,0,0,1,1,0,47.847574277337735
6,2,1,1,0,0,0,47.46056597283717
5,2,0,1,0,1,0,45.99288866194286
0,3,0,0,1,0,0,47.93981492690791
2,2,0,1,1,0,1,53.55752746367537
2,3,1,0,1,0,0,47.24341793678863
1,3,0,1,1,1,0,45.47716858997949
3,2,0,1,1,1,0,44.70951215356855
1,2,1,0,1,1,0,48.34521398784815
4,2,0,0,1,0,0,46.07452189554261
2,3,0,1,1,0,0,46.681039715105335
2,2,0,0,1,1,0,46.70668811302225
3,3,0,0,1,1,1,54.05533799425161
3,2,0,1,0,0,0,44.44209638187683
6,3,0,1,1,1,1,53.13404461244115
1,2,0,1,1,1,0,46.8842681297001
2,3,0,0,1,1,1,54.77373547102195
7,2,0,1,1,1,1,52.42871381816785
2,3,0,0,1,0,0,47.27903211700208
8,3,0,1,1,0,1,51.92242656924817
1,2,0,1,1,1,0,45.30974770657146
3,3,0,1,1,1,1,52.938121702255735
1,2,0,0,1,1,0,46.9970302310414
4,2,0,0,1,1,0,47.6551862244215
1,2,0,1,0,1,0,48.17556665378218
5,2,0,0,1,0,0,45.71158399490764
4,2,0,1,1,0,0,46.55988003165245
3,2,0,1,1,1,1,53.01446145949068
3,3,0,0,1,1,1,54.99861745794974
1,3,0,1,1,1,0,46.75965628943344
4,3,1,1,1,0,0,46.46016711982908
1,2,0,1,1,1,0,46.92025463729771
2,2,0,1,1,0,0,46.30072862160514
4,3,0,1,0,1,0,46.5992592989833
6,2,0,1,0,1,1,53.66870270596951
4,2,1,1,1,1,1,53.87247947431675
7,3,0,1,1,0,1,51.50505511986909
1,2,0,0,1,0,0,46.56152112781796
4,2,0,0,1,0,1,54.8885392122388
2,2,0,1,1,1,0,47.05703281887479
0,2,0,0,1,1,0,47.76133854419489
4,3,1,1,1,0,1,52.4078276771851
2,2,0,1,1,0,0,46.737752530032445
3,2,0,0,1,0,0,47.23603467307515
4,3,0,1,1,1,1,53.10645229881312
1,2,0,0,0,1,0,48.27965162725539
4,3,0,0,1,1,1,54.30666202320696
0,3,1,1,1,1,0,47.2753027757759
5,4,0,1,0,1,1,53.98939528865714
1,3,0,1,1,1,0,46.38855976397921
1,2,0,1,1,1,0,46.333002477327824
3,3,0,1,0,1,0,46.903953425049785
1,3,0,1,0,0,0,45.08780144389432
6,3,-1,0,1,1,1,52.67971343187142
3,3,0,0,1,1,0,45.11705776732125
7,2,0,0,1,0,1,53.85294581189956
2,3,1,1,1,0,0,45.48206732448613
2,2,0,0,1,1,0,47.77408779260685
6,3,0,1,1,1,1,52.37975116751987
3,2,0,1,0,1,0,46.91636473721749
7,3,0,1,1,1,1,52.596410361453664
6,3,0,1,1,0,1,53.949222323742255
5,2,0,1,1,1,1,53.70886803489445
4,2,0,1,0,0,1,55.79964907044989
5,2,0,1,0,1,1,55.29059674336025
6,2,0,1,0,1,1,54.1562102273974
2,3,1,1,1,0,0,45.91749235453137
0,2,0,1,0,1,0,46.46227194669539
4,3,0,1,1,0,1,51.3422549361846
4,3,0,1,0,1,0,45.96710548673975
4,3,0,1,1,1,0,45.034167041481886
5,2,0,0,1,1,1,53.81250797762519
5,3,0,1,0,0,1,54.19634920637524
6,2,0,1,0,1,1,53.21430338262867
2,3,0,1,1,0,1,53.88612543921376
4,2,0,0,0,1,0,47.12423411583229
1,2,0,1,1,0,1,54.337971229461786
8,2,0,0,1,0,1,54.28643222949072
8,2,2,1,1,1,1,52.16906221474069
7,2,0,1,1,1,1,51.49997187620674
4,3,0,1,0,1,0,47.9008482235096
4,3,1,0,1,1,1,52.77211955870556
0,3,0,1,0,0,0,48.89359403436824
1,3,1,1,1,1,0,46.85438218677511
2,3,0,0,1,1,1,56.195982931576914
4,2,0,1,1,0,1,55.03346318822248
4,2,0,0,0,1,1,55.75232897219141
0,3,0,1,1,1,0,45.903261499431984
0,2,0,1,0,0,0,47.04516227446948
2,2,0,1,0,1,0,47.36026436631276
8,3,0,0,0,1,1,55.10057385573217
2,3,0,1,0,1,1,53.43400108700308
7,3,0,1,1,1,1,52.977757798061
2,1,0,1,1,1,0,47.396645552711945
3,2,0,1,0,1,0,45.37912338158351
2,3,0,1,0,1,0,45.73495317597742
6,2,0,1,0,1,0,46.751032082704
2,3,0,0,0,1,0,47.18510355195964
1,2,0,1,1,0,0,45.71334026251992
1,3,0,1,0,1,0,47.841044962580405
1,2,0,1,0,1,0,47.195590310396746
1,3,0,0,0,1,0,46.98890959769931
5,1,0,1,1,0,1,54.40291466326343
7,2,0,0,1,0,1,53.158615915175545
3,4,0,1,1,0,1,53.65972311481072
5,3,0,1,0,1,0,45.19388335437024
1,2,0,0,1,1,0,47.68744704833905
4,2,0,1,1,0,1,53.711458968097546
6,2,-1,0,1,1,1,53.74380558819072
3,3,0,1,0,0,1,53.9501802225758
4,3,0,1,0,1,1,56.7838911393103
7,3,0,0,0,1,1,54.461238419629154
5,4,0,0,1,0,1,53.324528873916925
0,3,0,0,1,0,0,46.73089026851314
3,4,0,0,1,1,1,54.07267317441082
4,3,0,0,1,1,1,53.58019119516639
3,3,0,1,0,0,1,53.06831481309511
0,4,0,1,0,1,0,44.41842669621198
2,3,-1,0,1,1,1,53.63636575828254
4,3,1,1,1,0,1,52.2557016749549
5,3,0,0,0,0,0,46.72825126264272
5,3,1,1,1,1,1,54.53968688767856
4,4,0,1,0,1,0,44.64929964422435
1,3,0,1,0,0,0,45.705318046848525
2,2,-1,0,1,0,0,48.4207811620637
6,2,1,1,1,0,1,51.67896530505728
5,2,0,1,1,0,1,52.90601664696579
0,3,0,1,1,1,0,46.71907890215331
3,2,0,1,1,0,1,55.0572132818734
6,3,0,1,1,1,1,52.10423974107191
5,2,0,1,1,0,1,52.11895617092605
5,2,1,1,0,1,1,51.52235399164882
2,3,0,1,1,0,0,47.225862242266096
4,2,0,1,1,1,0,45.621252856622114
8,3,0,0,1,1,1,53.68460232774434
4,3,0,1,1,0,0,44.7143457452739
4,2,0,1,0,0,0,45.11739506347499
7,2,0,1,1,1,1,51.49472200901951
7,3,0,1,1,1,1,52.50605264801874
1,2,0,1,1,1,0,46.20849058981967
0,3,0,0,0,1,0,47.31192644293306
3,1,0,1,1,1,0,47.02830139389577
0,3,0,0,0,0,1,57.44794035135615
5,2,0,1,1,0,1,52.96453950048348
3,2,0,1,0,0,0,46.90204158292813
5,3,0,0,1,0,1,53.19077015547023
1,1,0,0,1,1,0,47.60653760241995
5,3,0,1,1,0,1,53.66877057056368
2,2,1,1,0,0,0,47.86525444855299
1,2,0,1,0,0,0,45.1484768031892
2,3,0,1,1,1,0,46.68237113729051
2,2,0,1,1,1,0,46.65103308879571
1,3,0,1,0,1,0,47.97970838199466
0,3,0,1,1,1,0,46.686529987469726
2,3,0,1,0,1,0,46.4284963150669
3,2,0,0,0,0,0,47.63473371417113
0,3,0,1,0,1,0,46.91639669189989
3,3,0,1,0,0,1,54.92251417963585
7,2,0,1,1,1,1,52.378475982924016
0,2,1,1,0,1,0,46.52911177123135
3,2,0,0,1,0,0,48.809923850626845
2,3,0,1,1,1,0,45.72911711403185
3,3,0,1,0,0,0,46.38996157181696
0,2,0,1,0,1,0,46.67541466021172
4,2,0,0,1,1,1,56.12972571712412
7,2,0,1,1,1,1,55.83768911642169
4,3,0,1,0,1,1,53.26714993626157
3,2,1,1,1,1,1,52.91497665342308
0,3,0,1,0,1,0,47.34230775287319
4,2,0,1,1,1,1,52.487957242035584
4,3,0,1,1,1,1,52.95997058226924
0,3,0,0,1,0,0,46.76622460866184
3,3,-1,1,1,1,0,47.06375102700295
5,3,1,1,1,0,1,51.79705523564163
3,3,-1,1,0,0,0,45.677847654782624
2,3,0,1,0,1,0,47.41670753971042
7,1,0,1,0,0,1,54.641472474119055
4,3,2,1,1,1,1,50.621600176187314
4,3,0,1,1,0,1,54.317906129039
5,3,0,1,1,0,0,41.90339285256745
6,3,0,1,1,1,1,51.85002438854172
8,2,0,1,1,1,1,52.806807911925326
2,1,0,1,0,0,0,47.3610284126042
0,2,0,1,0,0,0,46.671060818228426
0,3,0,0,0,1,0,47.80950203465787
0,2,0,0,1,1,0,46.468413333789
7,3,0,1,1,1,1,53.9564815396985
5,3,0,0,1,0,0,46.52135181111635
7,3,0,1,1,1,1,53.822915348901184
4,4,0,1,0,1,1,54.00972214779187
5,2,0,1,0,1,1,54.518734116526026
4,3,1,0,1,1,1,53.55882509250697
6,2,0,0,1,1,1,54.277066802193374
4,3,0,1,1,1,1,52.01496352625524
3,3,0,0,0,1,1,53.59051947143716
2,2,1,0,1,0,0,49.4288127470618
7,2,0,1,0,0,1,53.48686565631421
4,3,0,0,1,1,1,52.760046411264256
2,2,1,1,1,1,0,46.6222558411591
6,2,0,0,1,0,1,55.484112254479406
5,2,0,1,0,1,1,55.17929219571759
6,3,0,1,1,1,1,52.129214704175766
2,2,0,1,1,1,1,56.541987923946735
1,2,0,1,1,1,0,46.24358700297698
2,2,1,0,1,1,0,45.13967302798566
7,2,0,0,0,0,1,53.36330420169826
9,2,0,0,0,0,1,52.82825822599784
5,3,0,0,1,1,1,52.86218197830072
2,3,0,1,1,0,0,43.42507884298527
2,2,0,1,1,1,0,46.24634490195439
7,3,0,1,1,0,1,53.11662466956743
3,3,0,0,1,1,1,53.831444616124415
5,2,0,1,1,0,1,51.66516867907068
-1,3,0,1,1,1,0,46.24799297405114
4,3,0,1,1,0,0,44.89996412248404
1,3,0,1,0,1,0,46.87199206765104
4,2,1,1,0,1,0,45.96198766467944
1,1,0,0,1,1,0,49.03943523712692
2,3,0,1,1,1,0,45.924936916246295
6,2,1,0,1,1,1,54.787690263449896
