age,education_years,previous_year_income,gender,rural_residence,minority_status,trade_agreement_intensity,trade_agreement_participation,annual_income
8,29,14,0,1,1,9,63,366.4651589576563
10,28,6,1,1,0,9,64,381.4892756012885
7,29,8,1,0,1,11,66,389.40398335013975
8,30,8,0,0,0,12,70,410.9996057321303
10,31,4,1,1,0,11,67,392.6796869015124
5,33,5,1,0,1,12,70,409.2343730577234
7,28,4,1,0,0,8,66,390.7707734139324
7,31,7,0,0,1,7,69,404.7553474804812
13,27,9,1,1,0,10,64,378.2573986383992
6,28,3,1,1,1,6,64,380.9008399351266
7,33,6,0,1,0,10,71,412.7066927388419
8,30,13,0,0,1,13,69,399.4879700809411
7,30,2,1,0,0,10,68,405.3960800681791
8,25,11,1,1,0,8,60,357.39840155901504
4,30,7,1,1,1,9,66,390.89615347286986
11,29,8,0,0,0,8,64,372.36564409724167
9,26,6,0,1,0,11,65,386.949588944132
10,32,9,1,0,1,9,68,396.0847916592177
7,30,8,1,1,1,14,67,392.84881890683744
12,31,6,1,0,0,10,67,393.7213433007872
9,29,13,0,1,0,12,66,384.010217600922
8,29,9,0,0,0,7,65,381.39923440748345
11,28,6,1,0,0,10,64,380.63892293447776
14,34,13,0,1,0,8,69,397.0985511024374
4,32,7,1,1,0,9,67,395.8483458836448
9,27,5,1,1,1,8,63,374.9624284066445
15,32,9,0,1,1,12,70,406.3098683195384
6,29,7,1,0,1,9,66,388.4354795029696
10,31,10,1,1,0,14,69,402.9665850805663
5,31,6,1,1,1,10,68,400.9745457696692
6,33,4,1,1,1,9,72,423.96952802605847
13,32,10,0,1,1,8,69,401.6459210046437
11,30,6,1,1,1,9,67,396.111738041768
4,31,7,1,1,0,9,67,391.45382171070304
9,29,6,0,1,0,7,66,390.0285385635708
14,28,8,1,1,0,11,64,374.04301797706427
10,28,3,1,1,0,9,66,395.1914799057913
14,31,4,1,0,0,12,70,412.4312771875806
13,31,13,1,1,1,7,65,379.2100413597931
13,28,9,1,1,0,10,64,376.5506726823351
11,30,11,0,0,0,10,65,376.4542436756368
11,31,5,1,1,0,8,67,395.6901976388696
6,30,9,0,0,0,7,65,381.05385866567775
13,29,7,0,1,1,11,69,405.9946196548146
13,30,9,1,1,0,8,68,399.933483514225
11,32,9,0,1,0,10,69,402.4903036414078
15,30,10,1,0,1,9,65,381.6519736956755
9,30,12,0,1,0,9,65,377.93250641442495
6,26,11,1,0,1,11,62,366.59668504717007
9,32,10,0,1,1,10,69,400.6335319659904
5,31,4,1,1,1,10,71,419.3391700519235
9,29,9,1,1,0,10,66,389.0194554129602
7,29,3,1,0,1,11,64,378.8476189477136
8,29,6,1,0,0,7,63,373.92702917624126
9,30,12,1,1,1,12,63,365.3149812271311
9,30,9,0,0,1,9,69,404.3457635488056
13,32,9,0,0,1,11,68,396.3125855881235
12,29,10,1,1,1,15,70,407.64930442151007
10,30,11,0,0,1,10,68,396.4210370749384
10,31,8,0,0,1,10,67,389.1367734153163
10,29,7,0,1,0,9,69,407.3292414556503
12,25,7,0,1,0,11,64,378.3550171629868
14,27,9,1,1,0,8,63,373.4521628700031
6,30,5,1,1,0,7,66,390.15855251540495
8,31,8,0,1,1,6,66,387.3231352191014
12,30,7,1,0,0,6,64,376.2076443878117
7,26,7,1,0,0,12,64,379.506905471835
10,30,9,0,1,0,7,66,386.4886256487139
5,28,6,1,1,1,6,63,377.2207490686709
11,29,11,1,1,1,11,64,374.4369247324285
7,31,7,1,1,1,11,69,405.6332678015342
16,28,12,0,1,1,10,63,367.4234301380189
10,30,5,0,1,0,10,69,404.9028037954791
6,32,0,0,1,0,10,70,414.07374404054224
8,32,9,1,0,0,7,65,380.0426752036566
11,28,4,0,0,0,10,69,412.2833454028607
12,29,11,1,0,0,8,67,389.6085482270182
9,29,7,1,0,0,10,67,396.3650361789655
14,26,12,0,1,1,7,60,354.6705489069277
14,30,13,0,0,1,10,64,369.5067722323689
11,35,9,0,1,1,11,72,417.17373716445536
3,30,6,0,1,1,13,67,395.0719146940147
11,30,7,1,0,0,10,67,390.8359564252815
10,27,7,1,0,0,12,63,373.9410363700252
11,28,6,1,1,0,8,64,381.9838902942478
13,30,14,0,1,0,11,70,405.6439567529564
11,33,8,1,0,1,9,72,418.5306449086588
6,31,8,1,1,0,11,67,394.1843550421767
6,27,13,0,1,0,15,65,379.70860566975153
11,26,12,1,0,1,9,62,366.1131759451698
8,31,8,1,1,1,12,68,397.83925941106304
11,29,15,0,1,1,11,67,387.50193510063866
11,30,9,0,0,0,10,66,387.86288605776735
8,32,12,0,0,1,11,68,391.0430508495447
5,34,8,1,1,0,8,69,400.76084835065217
12,28,11,1,1,1,9,62,365.3151129895067
10,27,7,1,1,1,13,65,387.26483412226
7,29,6,0,0,0,12,67,395.09422037890425
9,29,9,1,1,0,12,66,387.7517203919565
8,29,3,1,1,1,12,64,379.593829852631
10,29,7,1,1,0,7,66,390.3858641530927
8,28,9,1,1,0,9,65,384.5236435934276
11,32,8,0,1,0,8,67,393.50623157088665
8,30,1,0,0,1,9,67,393.7609805598398
5,27,6,1,1,1,11,66,393.73533097487575
12,29,7,1,0,1,11,68,401.54093823900354
11,31,6,1,1,1,11,69,403.2054323104584
11,30,1,1,1,0,11,70,415.0106354689884
8,31,10,1,1,1,10,67,391.0899333174608
5,28,8,0,1,0,9,63,370.51434397181777
9,31,4,1,0,1,10,70,413.8033386147029
11,28,5,1,1,0,9,64,381.6015429260452
11,33,9,1,1,0,10,70,407.52103339339567
9,28,4,1,1,0,12,68,404.6299542382399
5,30,10,1,0,0,10,66,386.5959898301699
12,22,7,0,1,1,9,58,348.27577427513626
14,26,6,1,1,0,7,62,368.6927851014872
9,24,4,1,0,0,10,63,379.86846709953954
15,30,4,1,1,1,2,65,385.55157764236833
5,28,6,1,0,1,13,64,380.56426739906885
9,28,6,0,0,0,13,66,386.6194921373532
14,30,5,0,1,0,10,68,399.8378573810207
12,26,5,0,1,1,15,67,398.4817085209668
6,29,4,1,0,0,12,67,394.8292440106371
7,33,6,0,0,1,12,73,426.479551879933
7,29,3,0,0,0,10,70,416.1220255368176
6,27,8,1,0,0,11,63,370.8136075134197
12,28,7,1,1,0,11,67,396.0690380083549
10,30,12,1,0,0,13,66,382.4201831380708
12,27,9,1,0,0,11,64,377.0406993709579
7,30,11,0,1,1,11,66,385.8425410246428
11,28,11,1,1,0,9,64,372.86178010032825
9,29,4,0,0,0,10,66,388.59619023511226
12,28,5,0,0,1,10,66,390.73174798080777
11,31,9,0,1,1,11,70,409.6495478129162
13,33,11,1,1,0,10,71,416.0037093193556
12,29,1,0,0,1,11,69,410.0079013927285
7,32,9,1,0,1,9,68,398.6374995603388
12,29,5,1,0,1,10,68,401.85448273164457
9,28,2,0,1,0,14,69,412.0553939346139
8,25,8,1,1,1,9,61,361.8040211415834
10,26,1,1,1,1,10,65,389.84344566687855
8,24,10,1,0,1,9,58,344.8466604885233
8,28,4,0,1,1,13,69,410.2116094342934
6,33,7,0,0,1,6,68,398.0610814627948
16,29,13,0,0,0,12,65,376.7848089481535
6,28,10,1,1,1,6,63,374.1067428435446
11,30,2,1,1,1,13,70,414.7522130590757
11,34,9,0,1,1,14,75,432.9820917239791
8,28,13,0,1,1,10,63,365.0011272207633
17,29,3,1,1,1,11,71,420.72764901975927
6,32,6,0,0,0,6,68,399.15989983384577
8,32,3,1,0,1,12,71,416.56770513429865
11,29,6,1,1,1,9,68,398.9511413762106
13,29,6,0,0,1,17,70,408.50600213576166
9,30,7,0,1,0,8,66,385.7244227296135
4,31,4,0,0,1,11,69,406.4512131464419
4,30,11,0,1,0,13,68,396.780393573646
10,28,5,1,0,1,11,64,380.5204220858018
10,25,8,1,0,1,10,61,362.1757938281267
13,33,4,1,0,1,16,73,428.45909933024006
7,32,6,1,0,0,10,68,396.7287090659468
11,30,10,1,1,0,16,71,413.6067707055631
6,29,11,1,0,0,10,62,362.5819541532461
12,26,10,1,1,1,11,64,378.1454391470592
13,31,7,1,0,0,11,71,417.4713735663852
12,28,8,1,0,1,11,63,370.9936948536728
14,25,8,0,1,1,13,62,365.7115016368773
8,29,8,1,1,0,14,65,382.66172859654137
6,27,5,0,1,1,13,64,378.0898247124129
7,31,10,1,0,1,11,67,390.6211886630952
10,25,11,1,1,1,14,62,365.0931544636345
11,25,7,1,1,1,13,64,380.6089409254844
10,34,6,0,1,1,9,72,416.80534565925495
3,35,0,0,0,0,9,74,431.62950659166574
8,27,4,1,1,1,11,64,381.4964979079345
13,29,7,0,1,1,11,69,406.4584815665536
9,33,6,1,0,1,11,69,402.0858970890135
13,27,8,1,0,0,11,64,377.3310605652183
8,31,8,0,1,1,10,69,403.62123575781067
16,28,9,0,1,0,7,64,374.40935297319743
10,25,5,1,0,1,7,63,374.2101670628532
8,30,9,1,0,1,13,68,397.9418121978973
10,33,9,1,0,0,15,70,408.0609357811359
10,31,9,1,1,1,11,68,398.6959269100835
9,32,8,0,1,1,14,70,408.2957615335757
8,29,9,1,1,1,13,69,407.3941977378423
12,34,5,1,0,1,12,73,426.6909525036627
9,31,9,1,0,0,8,65,381.2109852044071
7,31,9,0,0,0,9,64,370.2821350368914
9,31,15,1,0,0,9,66,381.6052252285067
10,31,14,1,1,1,14,69,401.4002277946264
12,25,2,1,0,1,13,66,395.6002213319004
8,31,4,1,0,1,11,69,407.1593953977148
10,29,8,1,0,1,11,69,407.5797538281074
8,25,7,1,1,1,10,60,358.0416651596491
12,31,10,0,1,1,10,67,390.2977268493104
11,30,11,1,1,1,10,65,380.4079209535124
16,27,6,1,0,1,8,63,375.28886582778216
10,28,3,1,1,0,11,68,403.417103713087
7,27,3,0,1,1,7,59,352.9554745277284
11,27,7,0,0,0,11,66,391.293055340408
10,29,9,1,0,1,12,65,382.2808637622612
12,27,10,1,1,1,11,63,369.53651027095066
8,32,9,1,0,0,7,66,384.5000759493743
13,29,12,0,0,1,14,68,395.1692831805637
8,25,5,0,0,1,9,61,364.6842937357282
14,30,8,0,0,0,10,68,398.0256256977504
10,28,4,1,0,0,11,66,390.60213766761154
8,30,11,0,1,1,13,69,401.3671651947452
10,25,6,1,1,0,9,61,363.3975283853264
7,26,7,1,0,1,10,63,374.9689815046315
9,31,7,1,1,1,11,69,407.4079273765162
11,31,7,1,0,0,14,71,415.58995480141823
8,29,7,1,0,1,9,65,384.2395011957059
9,24,11,1,1,0,11,62,367.7341822795991
11,31,7,1,1,0,11,67,392.6028622579955
8,29,10,0,1,1,11,67,390.6711996034112
8,29,12,0,1,1,10,64,370.83437713227056
6,25,5,1,1,1,8,62,373.0867185255966
12,29,12,1,0,0,10,63,365.15147348825553
2,30,7,0,1,0,11,67,392.3572609265041
14,31,8,0,1,0,11,68,397.6358197183628
6,28,11,0,0,1,9,62,364.9012774143933
9,28,8,1,0,1,12,62,365.66516587739727
12,26,1,0,1,1,10,63,375.0930036779099
9,33,5,1,1,0,9,70,411.2459327962735
11,27,6,1,1,0,13,65,383.4244634920332
9,31,5,0,0,1,10,66,387.90268714940913
5,27,7,0,1,1,9,62,365.27501419679
8,28,8,1,0,1,9,60,352.80662767637443
10,28,4,0,1,1,13,67,395.17251298492727
6,27,4,1,0,0,11,63,377.4010472388961
10,29,12,1,0,0,11,66,386.956137606363
7,30,5,1,1,0,12,69,406.0995085055167
10,29,6,1,1,1,11,68,400.659633355499
10,30,11,0,0,0,7,64,374.3152370343511
8,30,7,0,0,1,11,68,397.99790592862905
10,28,13,1,1,1,10,62,363.2266176027996
14,29,6,0,0,1,10,67,393.93498862065366
11,23,8,1,0,0,12,61,367.2785986497234
13,30,10,1,0,0,9,66,387.65764134529337
9,26,10,0,1,0,7,61,363.0538845073809
13,27,8,0,1,1,13,65,382.3139408407868
8,27,7,1,0,1,11,65,386.3651665827397
11,28,8,0,1,1,9,64,379.0303948841667
13,26,4,0,1,0,12,66,390.6839471449019
9,27,9,0,1,1,13,65,382.3479556543997
7,27,5,1,1,1,8,62,370.086201107612
5,32,10,0,1,0,8,67,390.2420606633252
10,31,0,1,0,1,11,69,409.4580060395844
11,28,7,0,0,1,8,65,383.8144690992015
8,28,5,1,1,1,8,63,376.7613880793519
9,27,6,1,0,0,11,64,379.9754080882308
9,30,1,1,1,0,9,69,411.2337439229052
9,30,7,0,0,1,10,66,385.524225680677
7,32,8,1,1,1,11,69,403.32202970333344
15,30,11,0,0,0,11,69,401.5732934314341
9,26,9,0,1,1,9,61,361.0643682460735
13,29,6,0,1,0,11,69,408.13476773046045
4,28,11,0,1,0,10,65,380.8129918977439
12,31,10,0,0,1,10,68,394.17934345455296
12,28,10,0,1,0,9,65,383.24640700674735
6,30,10,1,1,0,10,67,391.894581985213
9,30,8,1,1,0,10,66,387.7788857221287
8,34,11,0,1,1,10,69,399.962789961425
10,26,5,1,0,0,6,64,381.0780719720689
11,28,18,0,0,1,13,61,350.6111882631937
11,28,10,0,0,0,11,64,374.1086064054791
13,31,5,1,1,1,12,69,407.554197093102
12,32,10,1,1,0,10,68,396.8838334852121
6,32,9,1,0,1,13,69,405.4787023607079
10,32,4,1,1,1,13,72,420.45255717061
14,23,11,0,1,0,9,62,369.168115554366
8,32,10,0,0,1,13,68,393.4174501240057
11,29,3,1,1,0,12,69,410.0100564924073
10,29,3,0,1,0,12,70,414.61299757348974
12,30,10,0,0,1,10,65,380.0685271727839
11,28,8,1,0,1,14,63,369.75307118492617
11,30,14,1,0,0,8,65,376.9625880140868
9,32,12,0,0,1,11,68,393.9540459005145
6,30,7,0,0,0,9,69,407.0108737227456
4,33,11,0,0,1,9,68,395.7652690580736
5,30,10,0,0,1,9,64,371.8875974483437
11,29,6,0,1,0,9,65,380.7024810879389
12,33,2,1,0,0,14,75,440.4727052100412
14,23,3,0,0,0,10,61,365.5295542024633
6,29,9,0,0,1,11,68,395.75147709736666
13,28,8,0,0,1,12,66,387.2040254657999
9,31,13,1,1,0,11,68,396.2314000154384
9,30,7,1,0,1,11,66,385.95622735000416
8,29,6,1,0,1,8,65,383.8956095048632
8,29,5,1,0,0,12,65,383.2916787566666
9,32,2,0,1,1,15,69,402.7448669205296
10,32,6,0,0,0,12,72,418.39258219529967
8,28,2,1,1,0,10,66,394.0849967244216
11,30,7,1,1,0,10,66,384.9257866652288
6,33,9,0,0,0,11,71,411.647375088538
8,30,11,0,0,0,8,64,373.0470561538121
13,28,11,1,1,0,12,68,398.0180725980467
10,28,10,1,1,1,12,64,377.03647252397366
10,33,10,1,0,1,9,67,388.6655720120707
16,26,7,0,0,1,11,64,377.54011421097744
8,28,6,0,1,0,11,66,388.10165295744594
9,28,2,0,0,1,12,66,392.6974470966165
9,28,6,1,1,1,9,62,368.326625192841
14,31,7,1,0,0,10,70,409.9820809466749
11,28,9,0,1,0,13,65,380.34766521455725
7,29,8,1,0,0,11,63,367.4249738326533
16,30,5,1,0,0,12,69,406.1479566143384
9,29,9,1,0,1,9,63,371.09527996773534
11,32,8,0,0,1,9,69,402.8474282240865
7,27,11,0,1,1,12,61,358.74728556559126
11,27,9,1,1,0,13,64,377.4151361018133
8,28,4,0,0,0,7,67,396.39710188347567
11,31,7,1,1,0,8,67,395.52874192991663
10,30,11,1,1,1,9,64,375.6696095355248
6,29,6,1,0,0,14,67,395.878906226561
10,29,8,1,1,1,10,65,384.670010842318
8,36,6,0,0,1,12,72,416.53909987777246
13,29,9,0,1,0,9,66,385.6701360225759
12,27,7,1,0,1,8,61,362.4625412929166
3,32,9,0,0,1,12,70,407.600888996635
10,32,10,0,1,0,9,69,400.7647236467009
11,28,10,1,0,1,10,62,359.2678132352529
10,29,8,0,0,0,10,66,386.620158649661
6,32,5,0,1,1,12,72,424.4358729635099
13,26,5,0,1,1,15,67,396.316900261228
8,30,9,0,1,1,10,67,393.0098928474707
11,30,7,0,1,1,11,68,398.9280764586341
10,32,10,1,1,1,8,66,386.6846896432597
8,28,1,1,1,1,11,66,392.03280720223023
5,31,6,1,1,0,13,72,422.5915137265141
14,27,8,0,1,1,6,65,383.870119846942
6,31,2,0,0,0,10,67,397.71231414947295
11,31,1,1,0,0,10,70,415.3304969837928
8,32,10,1,1,1,13,71,413.60965130251947
6,28,4,0,1,1,11,65,384.8503269689244
13,28,11,1,0,0,13,66,388.87190497389855
7,34,9,0,1,1,12,68,392.5442888627685
7,32,11,0,0,1,11,69,399.9005171894764
14,32,8,1,1,0,12,73,427.224467818593
7,29,5,1,0,1,10,64,376.6459292587472
9,29,9,0,1,1,11,69,404.3183528725448
11,27,8,0,1,1,10,59,347.82055207795656
11,33,5,0,0,1,13,73,424.9181857224183
12,32,10,0,0,0,8,70,407.86629588026346
7,33,10,0,1,0,11,70,406.8349514559993
9,30,2,1,1,1,11,68,403.7876633093398
9,25,8,1,0,0,10,65,389.38844886015545
8,33,11,0,1,1,11,70,402.9685731239192
5,31,11,0,1,1,11,68,395.8455365996989
15,30,6,1,1,0,12,68,400.4981176690556
9,31,8,1,0,1,11,67,394.7635224057221
10,28,7,0,0,0,15,69,405.00508121543015
7,30,9,0,0,1,7,65,379.957818341288
10,28,7,1,1,1,12,65,382.1844360180462
10,29,9,0,0,0,12,63,365.78020073967866
10,28,2,0,1,0,12,67,400.40252699910775
4,27,11,1,0,0,10,61,360.5298614381952
6,28,5,0,0,0,9,64,379.4041302364704
13,29,5,0,1,1,10,65,383.0257462406666
10,32,5,1,1,0,8,70,411.1272653068498
5,32,5,0,1,1,8,67,392.444431769526
9,35,6,1,1,1,12,72,417.6380216667567
14,30,9,0,1,0,9,66,384.5674792343818
12,31,10,0,1,1,14,73,423.69285480721015
10,25,11,1,1,1,13,65,386.3064210845209
13,33,7,0,0,1,12,71,415.7178514908893
4,31,8,0,0,1,9,67,391.798905914247
7,32,4,1,0,1,12,70,412.9830895580838
14,29,2,0,0,1,13,69,407.7659576466647
12,30,10,1,0,1,14,68,397.5738098497084
10,29,6,0,0,0,10,67,395.5495182609423
7,29,9,0,0,0,10,67,394.1543225307432
5,27,5,1,0,0,10,64,377.9784669365936
9,29,12,0,1,0,12,64,371.56099600791646
10,29,11,1,0,1,10,66,387.5432338925627
13,28,9,0,0,0,13,69,404.4203354348508
13,29,4,0,1,0,12,69,406.5131651476528
11,26,6,0,1,1,9,64,378.2949059429138
6,32,5,1,0,0,7,68,401.2045473734777
9,28,9,1,0,0,11,65,382.2710992328665
10,30,12,1,1,1,10,67,393.1075117021558
4,29,8,0,1,1,10,64,374.54613901543286
10,30,5,0,1,1,9,67,392.215637971881
8,32,8,0,1,0,12,70,407.0309177416576
6,26,5,0,1,1,13,64,376.2037401445433
12,31,7,1,0,1,13,70,406.2179088716903
10,33,6,0,1,1,12,72,418.89487707728784
8,33,10,1,0,1,11,69,399.587674165444
10,31,8,0,0,1,8,66,384.7017554947796
15,26,7,1,1,1,9,63,374.8541412628344
6,27,6,1,1,1,10,63,374.6770470617696
7,25,4,1,0,0,11,60,361.6230871641658
5,29,7,1,1,0,9,66,389.5785900918899
12,34,7,0,0,1,11,70,407.4632551246222
6,29,6,0,1,0,9,65,381.6114155917069
17,28,9,0,1,0,9,66,386.5284921086672
9,26,10,1,1,0,6,61,364.65221915948587
10,32,9,1,0,1,10,69,399.97627645065154
5,32,9,1,0,0,11,66,384.26734189246537
7,31,6,1,1,1,11,66,387.6882823574344
7,30,4,1,0,0,12,68,400.33284645976624
15,32,7,1,1,1,16,74,432.1430464236279
13,31,14,0,1,0,12,67,385.93186973963606
10,32,9,0,0,1,7,65,379.66418349541885
11,32,6,1,1,1,12,71,415.8312867581609
10,31,3,0,1,0,14,70,410.912438802544
15,33,3,0,1,0,12,74,432.3111182389689
8,30,9,0,0,1,6,63,371.5209668532429
11,33,12,0,0,1,11,68,388.87681597081615
6,28,5,1,1,1,11,66,394.201066823813
9,30,7,0,1,0,10,67,391.85661037747735
10,31,11,1,1,1,11,68,397.6803923872453
12,31,11,1,0,0,11,69,404.4212633420212
7,26,9,1,1,1,14,65,385.2538908098534
16,29,4,0,1,1,11,67,395.00720920991125
11,29,14,0,0,1,13,65,376.4427420327209
6,29,9,1,1,1,13,63,370.9704816297686
5,31,6,0,0,0,11,69,403.96490517769865
5,31,8,0,0,0,12,67,391.6835564579886
9,31,7,1,1,0,11,68,399.3587447272161
7,31,9,1,0,1,10,66,384.8744639135115
6,27,8,0,1,1,7,63,370.6803088677592
11,30,13,1,1,1,7,67,392.25644668329824
7,28,13,1,1,0,8,63,371.8233469073543
7,31,2,0,0,0,12,70,415.0831627216257
9,32,13,1,1,0,13,72,418.2975223434064
10,29,11,1,0,0,10,66,386.92259286066457
