years_of_schooling,age,gender,minority_status,local_unemployment_rate,job_training_intensity,annual_income
8,27,0,1,15,33,316.0357083863564
5,34,0,0,9,35,335.9340767485565
9,30,0,0,12,32,307.43596167249456
10,29,0,0,11,31,301.2063912002711
8,30,0,0,10,31,298.2456243878003
7,29,1,0,15,35,332.45421064161576
7,32,1,0,12,33,316.31813215454014
15,29,0,0,11,28,276.2072265187488
8,28,0,1,10,33,314.4962370851157
5,30,0,0,11,34,323.27898656707333
13,26,0,0,14,29,283.2745559713449
12,27,0,0,11,30,292.7701359423415
7,28,0,0,13,31,297.98480434629164
10,28,0,1,11,33,319.2098686191679
8,28,0,0,12,35,335.892199249684
8,30,0,0,13,33,317.2474121986548
6,29,0,0,9,33,317.52167301957815
9,31,1,1,9,33,318.5643203539192
10,28,0,1,14,34,325.0119092912108
10,30,0,0,15,31,299.1497846645459
11,31,1,0,10,29,286.46042173367545
8,30,0,0,11,30,289.5371463789989
5,31,0,0,11,34,325.9108521834097
11,29,0,1,14,32,306.1546396664513
12,31,0,0,9,27,268.952392744926
19,32,0,1,10,25,254.38132228062847
11,31,0,0,9,29,285.42998375961685
10,30,1,0,10,30,294.5735493726653
6,32,0,0,11,32,307.7913996489704
8,30,1,0,14,35,332.359559966636
13,28,0,1,15,32,308.2039425149296
13,28,1,0,11,30,291.4614837367046
16,31,1,1,10,27,269.1372723149273
12,30,0,0,14,33,317.701248368139
10,32,1,1,14,33,317.02110918091256
8,30,0,0,15,34,325.1699301194651
7,30,0,0,14,35,334.27320491136226
11,34,0,0,14,31,300.7884486355453
12,30,1,0,10,30,292.59767676427646
3,30,1,0,11,35,329.0940833459771
13,31,0,0,9,27,271.40763102933414
7,31,0,0,11,32,307.41511106156673
11,30,0,0,13,32,307.7708803767693
8,26,0,0,12,33,317.54080871295264
6,30,1,0,14,35,332.74702738645453
9,28,1,1,10,31,300.6934852929158
9,28,1,1,12,34,326.37451601626475
13,30,0,0,12,28,276.1160842691225
11,27,0,0,15,33,317.2995592969253
14,32,0,0,12,28,276.5179857239218
8,28,1,1,12,34,324.9598444238813
9,24,0,0,12,34,326.02252664505994
11,29,0,0,8,25,251.09543510083665
12,31,1,0,13,30,290.5203836763206
9,29,0,1,11,31,298.7668514558646
12,30,0,1,16,31,297.8664765114007
17,31,0,0,11,27,272.04374336452355
9,33,0,1,9,32,310.3097007147482
11,31,0,1,14,32,309.2649194745646
4,32,0,0,12,33,317.013670856035
14,28,1,1,12,29,283.4204326626676
4,31,0,1,13,38,355.37497227576085
13,29,0,1,11,30,290.70609119783904
8,29,0,0,8,30,291.18055841726846
7,27,1,1,11,34,321.6727808343991
12,30,0,0,12,30,294.07183669208274
11,24,0,0,9,30,291.75483755618507
14,31,0,0,9,28,275.7638871710218
11,30,0,0,14,30,289.09248004335063
10,29,0,0,9,30,293.5211926991098
11,30,0,1,12,30,292.7538454316048
9,32,0,0,12,33,322.1923631368179
8,34,1,1,9,31,300.01462396850974
6,29,0,0,13,35,331.1015609878912
10,31,0,0,14,31,300.988271407733
9,30,0,0,12,34,326.63423817336803
9,27,0,0,10,32,307.4604861986012
12,30,1,0,6,27,267.7865227704564
11,31,0,0,9,29,284.574225668298
9,28,0,0,11,31,298.4535071685362
7,27,0,0,11,35,331.94032819097407
10,26,0,0,11,28,275.23427433340834
7,30,1,0,14,35,331.55536358707786
9,28,0,1,16,33,314.3277903282633
13,31,0,0,13,30,294.9622877292201
16,28,0,0,12,23,237.13385623283176
10,32,0,0,10,30,293.28345368353166
9,28,0,1,12,33,314.8641318975083
11,28,1,0,12,30,289.758159373828
10,30,0,0,10,33,319.11294514641315
7,26,0,1,9,33,315.3603485856608
7,31,0,0,6,28,275.3492960068611
10,29,1,0,14,33,315.6556337812473
12,27,0,1,13,29,280.226170944976
11,31,0,1,10,31,303.22154212932764
2,26,1,1,10,35,327.8328654882709
9,27,0,0,12,34,324.48097416659806
12,34,0,0,15,31,304.7471785517286
10,30,1,0,8,28,276.7876472932167
11,30,0,1,12,31,302.2563063620394
14,29,0,0,12,29,285.6534565375885
5,32,0,1,15,37,347.7480722582746
8,26,0,1,10,33,316.359187469392
8,33,1,0,11,30,289.714770517918
8,30,0,0,10,35,334.76839014177085
10,30,1,0,14,32,308.3479950492677
7,29,0,1,12,31,298.089601653351
7,30,0,0,9,31,300.2919399768374
9,31,0,0,12,32,312.9830323264394
13,28,0,1,13,31,297.4908112764146
12,29,1,0,12,30,289.82352925251257
13,30,1,0,13,28,274.4613401972222
12,34,0,0,7,29,285.9635446410899
11,30,1,1,10,29,281.817662304849
10,30,0,0,12,29,283.6923368196353
6,32,0,0,12,33,315.10063653550566
4,32,1,0,10,34,323.4711615141139
7,28,0,0,12,36,341.6787877915642
7,27,0,0,10,33,318.5444604098291
9,31,0,0,11,31,302.60148695035474
8,28,0,0,14,34,320.50514605602547
11,27,0,1,12,29,283.32356782206216
7,29,0,0,13,32,308.11790815229483
13,28,0,1,12,30,292.3522683926145
13,26,1,1,11,30,290.8167761886265
11,30,0,0,11,27,266.89647355505576
9,31,0,0,10,31,301.61960367761816
9,31,1,0,11,31,302.10707479539684
7,32,1,0,12,35,334.3803843853793
10,31,1,1,14,32,308.1125250931083
14,29,1,0,11,26,260.24468685701856
9,32,1,1,14,33,316.5137422767225
14,24,0,0,13,29,284.368577242065
10,31,0,0,11,32,308.2436899948156
9,29,0,0,8,29,284.07324629956884
10,33,0,1,16,33,318.2500979529636
9,30,0,0,14,35,336.1310461457812
4,30,1,1,11,34,319.8249246735909
12,28,0,1,14,31,296.68491634333355
9,29,0,0,8,29,287.4718050870219
11,29,0,1,11,30,293.7147631350039
14,29,1,1,13,29,285.75820874067773
11,31,0,1,13,31,298.1039694065572
8,33,1,0,15,33,315.60398232623146
7,30,1,0,12,34,323.1953009036245
7,32,1,0,11,34,324.5268122973817
10,29,1,0,11,29,282.1396163560381
5,31,1,0,11,32,307.23308071396747
7,29,0,0,12,33,315.28560526631054
13,31,1,0,12,30,294.2296623365147
10,32,0,0,14,32,308.5809388827224
10,31,0,0,13,30,289.3283499977666
8,28,0,0,14,36,343.2504612135742
11,30,0,0,8,27,269.0418934114367
11,31,1,0,10,28,276.2474057117793
12,33,0,1,8,30,294.4001236971307
11,25,1,0,8,28,275.96827242029696
9,33,0,0,8,29,285.0196322761149
9,32,0,1,13,34,324.9273695775228
11,30,0,1,12,31,299.1338831958285
6,27,0,1,12,37,349.04227302002244
12,31,0,1,16,32,306.09525021220514
12,29,0,1,10,30,293.4373325238361
10,29,1,0,12,33,317.8955437114913
8,32,1,0,11,31,298.6272783508611
8,29,0,0,17,35,333.15212883159137
13,33,0,1,10,30,293.1822291804646
6,31,0,1,8,31,301.4609528811794
13,30,1,0,9,27,268.9486238064196
9,24,0,0,11,30,287.1956149797901
10,33,1,0,11,31,301.09201568742463
9,30,0,0,11,32,311.18087289100976
10,31,0,0,12,32,310.3988579475677
16,28,1,0,12,26,258.0039216597047
8,27,1,0,12,31,297.29492062333856
12,30,0,1,13,32,306.8677227202237
7,31,0,1,9,32,307.3276687692694
9,30,0,1,13,32,305.8113688625162
11,31,0,1,13,33,317.8400259281357
11,30,0,1,15,31,299.4258261701005
12,27,0,1,9,29,285.12506396956815
10,28,0,1,13,32,308.07225831290367
11,29,0,0,7,29,284.3992904015474
6,32,0,0,12,33,316.9443356856127
10,26,1,0,11,30,292.79694295070016
12,31,0,0,14,31,303.8303661618861
10,29,0,1,13,35,334.63727907361454
12,26,1,0,9,27,266.4928947274451
7,30,1,0,9,30,290.5481524467344
4,30,0,0,14,35,329.53542724591426
10,28,0,0,10,31,299.86040999423835
11,32,0,0,14,34,328.1537063491789
7,31,0,0,13,34,327.54268949390445
13,30,1,0,10,27,268.96010109082425
8,31,0,0,11,32,307.78073726706333
10,28,1,0,13,31,300.16044889470794
13,29,0,0,9,27,269.36958915591146
7,26,0,0,12,34,324.63555862720614
12,30,0,1,10,32,307.7709460336867
10,29,0,0,12,30,294.3344562839848
11,32,0,0,11,30,295.1758882551176
10,33,0,0,10,33,320.0328181247587
10,30,1,1,11,31,299.4456610330719
6,26,1,1,9,34,325.2871314198881
6,29,0,0,10,33,320.2317708023202
7,30,0,1,13,34,321.80975292259745
8,31,0,0,16,35,333.6307098289131
12,30,0,1,10,31,302.45926343171715
6,30,0,1,10,33,315.5706375720581
14,28,0,1,8,28,277.6434229766166
12,29,0,0,13,32,312.0245264753833
10,27,1,1,12,29,282.0041049892898
10,33,0,0,11,31,302.7114176548568
8,30,1,1,10,33,315.2708159739351
2,30,0,0,11,35,333.6492114187586
0,31,0,1,6,36,339.02513644836563
8,29,0,0,8,33,320.3244872246259
11,28,0,1,14,33,313.6417269890413
13,30,1,0,12,27,266.3975537953228
12,29,0,0,13,31,301.2335025790412
11,33,0,0,15,32,309.0954719042685
4,31,0,1,7,35,333.3148748306925
6,30,0,0,13,35,331.3806748199064
7,28,0,0,14,34,324.2400896930735
10,31,1,0,12,30,291.79360390700674
12,27,0,0,10,30,294.3697377910183
13,32,0,0,9,31,304.83885730460094
11,26,0,1,12,33,315.7475615945399
12,29,0,1,12,32,307.6988209700506
11,31,1,0,11,30,291.9497294946718
12,28,0,0,10,31,302.5662927029521
9,29,1,0,14,34,324.08246377579667
8,31,1,0,13,31,298.21578605625194
14,29,0,0,10,26,259.06065416711806
6,32,0,0,10,30,288.7746185615259
9,31,1,0,14,30,290.9284132550047
15,31,1,0,10,26,261.1311232645779
8,32,0,0,12,32,307.5249755566928
14,28,0,1,11,29,284.6333490318627
14,32,0,1,11,29,284.94300023556497
13,31,0,0,11,30,294.62471295085703
11,31,0,0,12,31,301.8665120304764
11,33,0,0,12,31,301.9660988479592
4,28,1,0,13,34,321.53521248308766
9,34,0,1,10,34,326.6567200249752
10,27,0,1,10,33,315.8295458385691
15,28,0,0,10,25,255.8778319657145
4,31,1,0,7,31,299.34318356092365
12,31,0,1,11,27,269.0148283372159
8,31,1,1,11,31,296.8019862227362
9,31,0,0,12,31,299.40481632472574
8,29,0,0,11,32,305.9472332570227
8,30,0,1,14,33,316.1268673271964
7,28,0,0,12,33,313.48749620023835
10,27,0,0,11,31,298.3780180721663
6,32,1,0,8,33,315.19533361429177
10,29,1,1,10,30,293.71741546856623
13,29,1,1,13,28,274.7050680801738
9,28,0,0,10,31,302.76387655641537
7,31,0,0,7,32,308.75723387567973
7,31,0,0,10,33,317.8557426593504
8,32,0,0,13,34,326.2543434775186
9,32,0,0,9,31,301.6331567218162
10,26,1,0,10,29,283.22265998663994
13,32,0,0,14,29,286.3207025788868
7,33,1,0,11,32,309.6135764194604
10,32,0,1,9,30,294.6209544652503
12,32,0,0,10,31,301.5519203134237
15,28,1,1,11,28,276.6785214485059
7,32,0,0,13,33,316.0759867111594
12,30,1,0,8,27,270.9269697385165
9,32,1,0,9,31,302.41219324326164
13,25,1,0,9,27,264.74468392004223
12,27,0,0,12,29,284.20908562022095
12,28,0,1,11,30,291.1674508237004
9,26,0,1,11,32,308.29378675972697
10,30,0,1,12,31,298.60849372067406
10,27,1,0,12,34,323.5379090135776
11,31,1,1,12,33,318.01595229285084
9,27,0,0,13,32,310.48307745505986
5,33,0,0,9,32,307.7215982264415
8,33,1,0,10,32,311.06903761173896
9,30,0,0,8,31,299.40041514510364
10,28,0,0,9,29,284.1796714509464
11,27,0,1,12,32,309.5993882709309
10,30,1,0,13,34,327.0502371592104
8,28,0,0,13,33,316.57942416760045
15,27,0,0,9,28,279.03311824467
12,27,1,1,12,32,309.56966977579697
14,30,0,0,10,27,268.15171037093853
16,31,0,1,15,31,302.99612026647907
11,30,0,1,10,29,283.7068845433517
12,30,0,0,8,28,276.45068079031364
8,31,1,1,11,32,305.6538389126762
7,30,0,0,11,31,298.6639279195167
7,30,0,0,12,35,333.4443928166709
8,31,0,0,9,32,310.3961347961797
11,27,0,0,12,28,276.19321962987243
8,31,0,0,9,31,301.7017791686317
8,29,0,0,9,31,301.2898972741197
10,28,1,0,11,32,309.9165907749042
14,32,0,0,14,30,294.9437415795901
13,29,0,1,12,32,310.10496028939275
8,29,0,0,6,31,302.46058804115563
12,29,0,0,10,30,292.6126152670383
9,29,0,1,9,30,289.0782181622145
11,29,0,1,8,31,302.08776652608094
10,27,0,0,12,31,300.07012411237173
7,33,1,1,11,36,340.8751687766159
11,29,0,0,12,30,292.8225780601512
13,29,0,0,16,33,319.21919038202986
11,30,1,0,11,29,280.7960591034076
14,32,0,0,13,31,303.38096837579
6,29,0,0,11,30,289.9423361607441
12,31,1,0,13,28,276.007999052435
6,28,0,0,11,34,320.4280181398896
6,27,1,0,12,34,322.91871626685247
11,29,1,0,13,30,292.4332944544571
11,31,1,0,8,29,285.68455494789987
9,31,1,0,9,30,291.73917159579787
13,27,1,0,13,29,283.21969355288155
1,27,0,1,10,36,338.4569090687627
8,31,1,1,11,35,332.79228592435345
11,31,0,0,13,30,295.2399195125647
10,31,0,0,13,32,306.63402312497124
9,32,0,0,13,30,291.5158876835539
11,32,1,1,13,33,317.8211605924776
5,30,0,0,11,32,307.1681612058989
11,23,0,0,13,32,305.8720457285509
10,30,0,0,10,28,275.78406607196496
7,34,0,1,11,34,326.4127366665879
10,31,0,1,10,32,309.00604776025995
9,30,0,0,11,32,307.9814795753972
5,29,0,0,14,34,322.4120707471459
9,29,0,1,11,31,298.3261111996166
10,30,1,0,11,32,308.4654155240372
7,30,1,1,14,35,332.0475168734469
5,28,0,0,11,35,334.65120542499847
13,31,0,0,13,30,295.0790878656821
11,29,1,0,12,32,307.3535065257802
8,28,0,1,14,35,333.13579580083695
9,31,1,0,9,32,308.71471169980816
15,27,0,1,9,28,277.6975736475853
12,31,0,0,12,30,293.3933519698547
5,29,1,1,10,35,334.08160800448286
7,30,1,1,8,31,299.5328221676566
17,31,0,0,12,27,271.7615765635055
7,33,0,0,11,32,308.0374024966836
8,33,0,0,14,32,305.86716318679134
9,32,1,0,8,30,291.3249120186403
12,26,0,0,11,28,275.96105802515194
11,27,1,1,14,32,307.14692140323945
8,30,0,0,12,32,305.5080480904569
8,29,1,0,10,31,300.5445119483989
6,30,1,0,11,32,307.44881287515085
12,29,0,1,15,31,296.7033344022259
9,25,0,0,11,31,300.5013508285406
12,30,0,0,12,29,284.1880800154085
9,27,1,0,11,31,297.10970663480435
9,29,1,0,13,31,300.3724467025597
5,30,0,1,8,31,300.0218683799366
8,33,1,0,11,34,327.995081293912
13,31,0,0,11,29,286.32863621628815
8,27,1,1,12,34,325.7214926311747
10,30,0,0,11,33,318.02621315091545
10,29,0,1,8,29,284.30366861933607
12,29,0,0,11,31,302.6198242684549
8,28,0,0,11,29,280.58475991958665
9,33,0,0,13,32,309.4208433818368
8,31,0,0,6,28,277.53796704547244
6,28,0,1,10,31,297.4422915477342
12,34,0,0,12,31,303.9432529116074
8,27,0,0,13,34,323.8273670061457
12,29,0,0,13,32,310.9107550212112
9,30,0,0,9,32,310.02938222705336
13,29,0,0,8,28,275.65864190610074
5,31,0,0,12,34,326.616841260589
13,25,1,0,9,25,250.56405629216468
8,27,1,0,14,32,308.7802256851288
4,31,0,0,13,35,333.8543961897964
7,28,1,0,13,33,315.0542273201827
9,35,0,0,14,34,328.1675294189765
11,28,0,1,10,28,274.8041595216302
10,29,0,0,10,30,292.53049193041835
8,30,0,0,10,27,264.6759254208059
9,30,0,0,9,29,282.24302790559847
8,28,1,0,11,31,301.1297309003417
10,32,1,1,11,33,316.84047992519527
6,29,1,0,10,35,331.7954170697148
12,32,0,0,12,31,303.06454387441323
16,33,0,0,13,29,288.1759605191596
8,28,0,0,14,34,326.7234484906981
14,26,0,0,16,28,274.6673994935181
16,30,0,0,15,31,302.26936383385544
6,28,1,0,14,35,330.3475465572174
4,29,0,0,14,35,330.502653694972
9,29,0,0,9,33,319.7607163864627
7,31,1,0,12,32,307.82989191655315
12,31,0,0,11,31,302.9716800055603
6,32,1,1,15,38,358.2413834320033
5,28,0,1,13,34,319.84897208400525
8,27,0,0,13,34,327.0426359497937
8,28,1,0,11,29,281.268598650983
7,27,0,0,14,34,326.22106038514085
10,30,0,1,10,30,293.7299160418645
11,30,0,0,9,28,275.39798649190004
3,33,1,1,17,39,365.6663649097088
15,30,0,1,10,26,262.23004811225854
9,30,0,0,11,30,291.71452648361713
10,26,1,1,11,32,306.901215072888
10,29,0,0,11,30,291.4550518044351
8,25,1,1,11,32,303.5184132671359
8,30,1,0,11,30,290.1886728213175
9,26,0,0,14,34,321.9896085849738
10,27,0,1,12,33,316.79282186918505
11,31,1,0,11,31,301.8173633475797
9,30,1,0,10,30,291.4895637364467
11,28,0,0,12,33,317.1051873099856
8,30,1,1,13,33,313.2737020940997
16,31,1,0,14,27,269.6758686202252
5,29,0,1,9,30,291.9420787109645
11,27,0,1,11,28,275.2858712364737
10,27,1,1,11,28,274.5112589392808
6,30,0,1,11,34,325.63717362993515
9,28,1,1,11,31,299.1990898070579
10,28,1,0,14,30,288.84779780500145
8,29,0,0,14,34,322.5430650701405
11,29,1,0,11,32,311.4451194836066
11,30,1,0,12,30,294.7863439169772
12,29,0,0,7,28,277.8168141028175
11,29,0,0,12,30,288.5743333110785
8,25,1,0,9,33,316.1476136540068
8,29,1,1,11,33,314.37735586543187
11,29,0,1,11,28,276.9305770997872
5,26,0,0,12,33,314.1371767585711
6,25,0,0,9,31,299.58325044505494
7,28,0,0,10,32,306.76994925397395
11,30,0,0,13,33,319.05357408784414
10,29,0,1,14,35,334.6819822764027
9,29,1,0,11,29,281.80476798220155
7,31,0,0,14,37,350.16641884284024
10,30,0,1,10,31,300.9080412155192
9,32,0,0,13,35,333.744428186081
12,31,0,0,14,31,301.92071936093487
3,31,0,1,8,35,330.14085599249546
7,28,0,0,11,33,316.2986336740737
11,31,0,1,11,31,303.5541868297037
6,29,0,0,12,32,307.6646252714322
8,26,0,1,14,32,303.7032756297375
13,27,1,0,9,28,274.1816471360834
14,31,1,0,14,30,293.5233361637823
12,27,0,1,16,33,318.5304535095542
5,30,0,1,12,37,349.04837983000954
8,30,1,0,11,31,302.51760376189753
6,30,1,1,11,35,332.41261434871643
8,28,0,0,9,28,276.1286298529573
4,29,0,0,9,33,314.9912041204207
11,26,0,0,12,30,290.19994352845055
13,32,1,0,10,27,272.56037533955407
15,28,0,0,11,29,286.5141744303415
12,29,0,0,13,31,301.2905038192113
13,31,1,0,12,28,277.10383954262807
10,32,0,1,11,35,334.56169795837604
5,32,1,0,10,35,331.4418381161536
12,28,0,1,11,31,300.46907170400306
7,28,1,0,12,34,326.52638211209234
11,32,0,0,13,32,312.9527575331551
4,32,0,0,13,32,306.3139290716424
9,28,0,0,12,33,317.65323456156426
8,28,1,1,12,31,297.9301627046744
8,29,1,0,10,31,298.2414628348338
9,30,0,1,9,30,290.33694492794484
9,31,1,0,10,30,292.2281987639518
13,32,0,0,10,27,269.4787396042634
13,32,1,0,14,30,292.3022166934732
9,29,0,0,13,35,335.3497509245869
10,31,0,0,16,34,325.70903594527607
13,30,0,0,10,28,276.70404499452064
11,28,0,0,10,28,275.86586422003666
11,28,1,0,12,30,290.16633843704034
13,27,0,0,8,28,277.8868750703736
12,29,0,0,13,30,292.3587999410726
8,28,0,1,13,35,332.0375140702384
9,26,1,1,11,31,298.6248844310824
11,31,0,0,13,32,310.14512272276284
10,26,0,0,11,29,283.0452074488626
8,31,0,0,13,33,318.1227596427235
15,28,0,0,9,27,271.4439890905439
14,31,0,1,10,28,276.456146148986
12,31,0,0,12,31,300.5387397511289
11,33,0,1,12,32,309.4055763047787
13,32,1,0,11,29,288.41186409205403
8,28,1,0,12,31,298.4134887390971
10,26,1,1,10,30,291.67393962749253
5,26,0,0,9,33,314.5417604600463
4,30,0,0,6,33,320.21344598729456
14,28,0,0,10,29,286.6373705904387
8,28,0,0,10,33,315.91086268608035
9,28,1,1,9,32,306.9156429841688
6,35,0,1,11,33,314.8151928671021
8,29,1,0,12,34,324.4683945901345
7,24,0,1,10,30,289.5405081936529
7,35,1,0,11,34,327.1875962816237
10,29,0,0,16,33,315.91875498791745
9,31,0,0,11,31,298.1449378807392
5,32,0,0,12,35,331.39570945769634
15,31,0,0,11,28,279.2748981468165
12,30,1,1,13,32,308.95716408232687
8,29,1,0,9,33,315.4372340525766
13,33,1,0,9,29,285.637343241085
12,28,0,0,13,31,298.5298649567403
8,30,0,1,9,34,324.3613829423847
11,30,1,1,10,30,291.6009777106307
7,30,0,0,15,33,314.44100781257407
5,33,1,0,11,31,300.95804334973667
8,27,0,1,10,33,316.6702204747392
8,29,1,0,11,34,324.0800794503608
13,29,1,0,10,28,273.7761467420954
9,30,0,0,15,33,314.673172355754
5,30,0,0,12,35,331.4221785132673
16,32,0,0,9,26,264.35281218497784
11,30,1,1,10,28,275.9197278879785
9,30,1,1,10,32,306.87246565895134
11,27,0,0,10,33,319.3824865640118
7,30,1,1,11,32,306.3859577010868
8,33,0,0,10,34,326.275301374224
15,33,0,1,8,25,252.0111711987531
13,28,0,1,9,27,267.9365066410329
10,27,0,0,12,33,318.2065640112407
7,33,0,1,11,34,323.6306896570162
13,27,0,0,11,28,274.39086359890683
3,28,0,1,12,37,346.41508457166054
8,24,0,0,11,35,334.2210207041428
10,32,0,0,15,33,316.1008372005292
4,28,1,0,14,36,337.9147204467964
8,31,0,1,10,31,297.75714604133776
9,30,0,0,11,30,291.34149741977944
15,31,0,0,11,25,254.65072823011653
11,25,1,0,13,29,281.98479098417624
12,28,1,0,12,31,300.30986071807394
7,30,0,1,9,33,316.78824797401654
11,31,0,1,8,29,288.3016461330968
12,27,0,1,14,32,309.0094996165689
14,29,0,0,10,29,285.27557537511274
8,29,0,0,14,35,333.10465079329896
7,27,0,1,13,36,339.791784643639
3,33,1,0,14,38,357.1704615732615
4,29,0,0,12,36,338.5428524584088
12,29,0,0,13,31,302.0132190238809
10,34,0,1,7,29,284.3139243659027
10,22,0,0,11,31,296.51258732459337
11,28,1,0,9,30,292.39987156616183
10,28,0,1,13,33,314.5323556973405
8,29,0,0,11,32,309.4757983631532
8,29,1,1,6,31,297.9867771359245
8,29,0,1,12,34,324.7395946329715
6,30,1,1,9,31,299.0984817588618
11,28,0,1,9,28,275.4415034543545
11,32,0,0,11,30,292.974794583485
14,29,0,0,8,28,280.53657174663704
9,33,0,1,12,32,308.66325955619794
9,30,0,1,7,30,294.1764607984838
9,31,1,1,12,30,290.1295553683381
12,25,0,0,14,31,299.96056697723543
10,28,0,0,15,34,324.1956520056198
9,29,1,1,9,31,300.6641166328107
7,30,0,1,9,32,308.93702337513
6,31,1,1,13,35,334.51631144124104
7,26,1,0,14,34,320.13304048806674
8,31,1,0,13,31,300.5749104077879
8,28,0,0,12,33,315.7326902583185
12,30,1,1,8,29,285.0620684400116
11,31,0,0,13,32,310.6482172172791
14,30,0,1,11,27,268.33829407066065
9,30,0,0,11,32,308.37051462796444
7,31,1,0,13,31,298.5405224690033
6,27,1,0,12,34,322.99331163769324
10,30,0,0,15,31,298.01918516582685
11,28,0,1,9,31,300.28805828862687
6,28,0,0,13,34,322.04343666358164
12,31,0,1,12,31,301.155087019496
11,29,1,0,11,29,282.79108278093014
13,29,1,1,11,31,299.0591675942322
10,32,0,0,15,32,308.34661698607823
10,26,1,0,13,32,307.20737849287985
11,29,0,1,9,28,275.583257307929
6,31,0,0,13,33,316.20509920664443
6,30,0,0,9,33,315.98081280165104
12,30,0,0,11,28,275.87687604137125
7,34,0,1,14,35,333.5190324587901
11,29,0,1,10,29,282.08928926238264
12,29,0,1,16,30,291.2698376440319
13,28,0,0,15,30,290.8947644242334
6,32,1,1,7,33,314.3907740801645
9,36,0,0,9,31,301.311215358975
7,28,0,0,11,34,325.3299751417727
7,26,0,0,13,34,322.01540805360213
5,28,1,1,10,33,313.28939157832747
9,28,0,0,12,33,318.26992416022085
13,29,0,1,15,31,298.114083408818
13,30,1,1,12,31,298.6665521720812
12,30,0,0,10,28,275.72315561614977
9,29,1,0,13,32,308.0039108621435
5,32,0,1,13,37,349.2581152265405
7,25,0,0,11,32,300.55796621266546
11,30,1,0,13,31,299.6099626202117
10,27,0,1,11,31,299.0576672423833
13,31,0,1,10,27,266.564569308799
6,28,0,0,10,31,298.8712099409065
16,29,1,1,11,26,259.7366664904528
10,27,0,0,12,31,299.0878964893248
15,31,0,1,8,27,271.2055241712324
8,30,0,0,10,30,293.68829442698785
10,33,1,0,12,31,303.20235607128376
