defendant_age,lawyer_experience_years,severity_crime_index,previous_convictions,legal_aid,plea_bargain,restorative_justice_program,recidivism_rate
22,25,10,1,1,0,0,80.67575796367973
14,25,8,1,1,0,0,75.8237468806291
29,23,4,1,1,1,1,85.29220134329094
15,29,5,1,0,1,0,75.83045166619213
27,24,9,1,0,0,1,86.88466111117002
34,15,5,0,1,0,1,83.23212602930015
5,25,6,0,0,0,1,72.69922023473443
32,27,5,0,1,1,0,83.70550109007493
17,27,2,1,0,0,1,76.08717531448185
31,23,9,1,0,0,1,89.31552230561829
20,26,0,1,1,0,0,71.5601948685973
28,19,5,1,0,0,1,81.77992941048957
38,24,4,1,1,0,0,82.76749149203694
33,17,5,0,1,0,0,77.47247241188104
44,26,5,0,0,0,0,88.38197125461255
26,25,7,0,0,0,0,81.28218111169268
25,32,7,0,0,1,0,82.66558415928033
42,33,5,0,1,1,1,96.28150841134068
43,22,5,0,1,0,1,93.48388286965272
21,22,2,0,1,1,0,73.28558280811703
34,27,6,1,1,1,0,86.02037725844323
44,24,6,1,1,1,0,91.44969411568336
22,18,1,0,1,0,0,69.31439508954043
10,24,7,0,0,1,1,77.49223113594239
34,28,8,0,1,1,1,91.57989759928016
38,27,9,0,1,0,1,93.74077429120048
14,25,4,1,0,1,1,78.50633189618037
18,31,9,1,0,1,0,81.5203865112353
26,20,4,0,1,1,1,82.26965994293833
40,32,6,1,1,1,1,96.36952746271966
48,30,7,1,0,0,0,94.0437358535438
2,25,4,1,1,0,0,65.81641395775048
8,24,5,1,1,1,0,69.66210917991641
17,20,6,0,1,0,1,77.3454391764756
0,23,4,0,1,0,0,62.49344955623268
22,27,2,1,1,0,0,75.69098651819867
25,29,12,0,1,0,0,86.2547640889608
31,25,8,0,1,0,1,90.43968473752278
22,24,3,1,0,1,1,78.52899859203764
24,27,8,0,1,0,0,81.83976879944393
38,28,10,0,0,0,1,93.85898748304844
24,28,2,0,1,0,0,76.32911092603428
38,24,3,0,1,0,1,88.9441269024903
23,23,6,1,1,0,1,83.46479112006723
9,17,9,0,0,1,1,77.3437740892379
13,28,5,1,1,0,0,72.84056980662568
17,26,3,0,1,1,1,78.95352868642281
25,26,4,0,0,0,1,81.62334493220996
6,23,4,1,1,0,0,65.39562275937547
31,24,7,1,0,1,0,83.64844033969874
21,23,10,1,0,0,1,84.07364932379504
23,22,3,0,0,1,0,72.86562723965358
33,31,6,0,0,0,0,86.94832307752291
34,29,4,0,0,1,1,91.12362574975393
20,19,5,1,1,1,1,77.62907966623216
32,26,3,0,0,1,0,79.50242966213122
34,23,2,0,0,1,1,84.61484051296533
24,22,9,0,0,1,0,79.87305552188099
34,24,1,1,1,0,0,79.97847985860157
19,19,7,0,0,1,0,74.4524154351079
24,30,9,1,1,1,1,88.54456841978865
33,19,4,0,0,1,1,82.64458480820059
13,28,7,1,1,0,1,80.03857766955258
32,16,6,1,0,1,0,77.95503149727288
19,23,8,1,0,0,1,79.23481876382046
58,29,6,0,1,1,0,99.53803382494638
25,20,4,0,0,1,1,79.86732292865129
17,14,7,0,1,1,1,77.32465066883856
37,20,3,0,0,1,1,85.23037547859556
25,19,3,1,1,0,0,73.12581672361009
22,32,7,1,0,0,1,86.32005916159774
17,20,3,0,0,0,1,73.58171657051113
21,26,4,0,0,0,0,73.18760055635262
22,29,5,1,0,1,0,77.79476218102013
41,21,8,0,1,0,1,93.85394843095855
4,19,1,0,1,0,0,61.18629620031184
25,32,4,0,0,0,0,78.27372921668194
-7,26,8,0,0,0,0,65.30587277473579
15,18,4,1,1,0,1,74.17593849014565
15,19,8,0,0,0,1,75.01132597202901
22,23,3,1,1,0,0,74.70631627800574
26,20,3,0,0,1,1,80.25344335947904
19,23,7,1,1,0,0,77.70192465279156
10,22,2,0,1,1,1,71.9192650811985
24,18,2,1,1,0,1,78.80781743198425
27,30,9,1,1,1,1,92.17979287372413
14,26,6,1,1,0,1,78.1903106264742
40,17,6,0,0,1,1,87.2396722295801
9,27,1,0,1,1,1,74.07125699066181
29,14,6,1,1,1,0,77.63430148004973
10,23,9,0,0,1,0,73.16357230513579
30,25,6,1,1,1,1,88.9356988930948
29,26,1,0,1,0,1,81.43271489081944
-1,26,5,0,0,0,0,64.42798210791607
13,24,3,1,0,1,1,73.95069277906903
21,22,4,1,0,0,1,78.93426259637481
17,23,8,0,0,1,1,81.15139722740052
13,26,3,1,0,1,1,76.50764829139918
26,23,8,1,1,1,1,84.83686407289649
10,17,8,0,0,0,1,74.75058549153331
21,22,4,0,1,0,0,75.45453219618
22,27,5,1,0,1,0,76.89248066997979
20,27,8,1,1,0,0,77.52229439837735
18,24,3,0,1,0,1,77.6297942658532
19,26,5,0,0,1,1,81.03153458639132
24,22,8,0,0,0,0,78.48321970391007
33,26,5,1,0,0,1,86.90198114368367
25,25,7,0,0,1,0,80.31098127955082
16,21,7,0,0,0,1,77.5394967152188
9,31,8,1,0,0,1,79.33157785136426
34,25,2,1,1,0,0,79.37347653751479
39,19,3,0,1,0,0,81.32520553301387
24,23,10,0,0,0,0,81.29951746704818
16,24,9,0,0,1,0,76.75149187254377
17,24,2,0,0,1,1,77.84622798169808
41,25,8,0,0,0,1,92.31332481772446
10,20,10,1,0,0,0,69.53594940050681
18,30,9,1,1,0,0,80.48956145712916
25,17,9,1,1,1,1,84.03226815027828
8,22,4,1,0,0,0,67.11164904287862
36,22,5,0,1,0,0,82.46489953620545
16,15,5,0,1,1,1,72.98789114172536
25,19,7,0,0,0,1,80.58664713644687
20,14,5,0,1,1,1,76.08618922404354
23,23,10,0,1,0,0,80.18092612974432
41,24,6,1,0,0,1,93.18740707268331
22,31,4,0,0,0,1,82.39618080239039
3,20,8,1,0,0,0,65.89430967483426
23,18,4,1,1,1,0,72.93499699262952
34,18,5,0,0,0,1,84.59643077685281
42,20,7,0,1,0,1,93.10426542320818
20,21,6,0,1,0,1,79.07787122396266
12,19,0,1,0,0,1,68.66998547094288
33,20,11,0,0,1,1,91.43152537705546
17,22,4,1,0,1,0,71.4651952273341
12,12,4,1,1,0,1,69.24692934355498
17,27,5,0,0,0,0,74.61565195189404
14,26,4,0,0,1,1,76.50339520405906
-4,17,9,1,1,0,0,61.66103121349027
24,31,6,0,0,1,0,80.87395047242204
31,27,7,0,0,0,0,82.52814894132412
36,21,4,0,0,1,1,87.47566912135957
16,13,5,1,1,0,0,67.37022062486581
28,21,5,0,0,0,1,83.68153101378283
23,21,9,0,1,0,1,83.9669190249105
37,31,6,1,0,0,0,87.11405313202134
25,21,6,0,0,0,1,83.26166823878201
15,22,6,1,1,1,0,70.8561545643116
32,23,9,0,1,0,0,85.89709615422788
19,23,5,0,0,0,0,73.10051863226201
21,22,4,0,1,0,0,74.56630130365282
41,29,8,1,0,0,0,91.60849403262915
33,25,7,0,1,0,1,89.98512698738924
12,24,4,0,0,1,1,73.43337510106008
32,25,2,0,1,0,1,84.7979285836556
9,23,8,0,1,0,0,72.13762099331602
7,21,6,1,0,1,0,65.25693051933325
12,23,3,0,0,1,0,68.06938651549649
38,28,6,0,0,0,0,87.84743566037449
19,25,2,0,1,0,1,78.66468182876429
28,31,5,0,0,0,1,88.23083066355774
12,24,1,0,1,0,1,73.96365354788249
22,28,6,1,1,0,1,85.8313014193634
22,30,4,0,1,1,1,85.38067306822171
44,28,4,0,0,1,0,89.06599766511783
22,17,3,1,0,0,1,75.67111239940506
22,25,3,0,1,0,1,80.44892724503319
13,21,5,1,1,0,0,68.50486417077896
29,18,4,1,1,1,0,75.57967333974284
37,18,5,0,1,1,1,87.14664246510613
23,21,8,1,0,0,0,78.33867925262709
10,29,7,0,0,0,1,78.35141215297031
30,20,3,0,1,1,0,76.78571384885811
20,27,5,0,0,1,1,81.17125292128117
19,28,5,1,1,1,1,81.97825040791734
30,27,9,0,0,0,0,84.97115425469212
37,26,7,0,0,0,0,87.30670755298499
20,22,7,1,0,0,0,73.10835245154871
18,28,5,1,0,0,1,81.36836931573777
35,22,6,1,1,1,1,88.64344486787957
19,29,5,0,0,1,0,75.97422999883952
21,20,8,0,0,0,0,75.65334401487769
22,24,4,0,1,0,0,75.05670996967507
26,20,3,0,1,0,1,79.87610888982425
27,22,5,1,0,0,1,83.25818391864924
29,33,7,0,1,0,0,86.51989911283468
40,18,2,0,1,0,0,81.77348216426947
31,23,5,1,0,0,1,85.77021060791229
16,25,6,1,0,1,1,78.91015908249516
9,24,9,0,1,0,0,72.96307864503348
17,20,3,0,1,0,0,70.43320930027517
13,16,12,0,1,1,0,74.09977065864464
9,20,1,0,1,0,1,69.9949892962382
26,19,5,1,1,0,0,76.76889490715513
28,24,9,0,1,0,1,88.97115070819024
20,27,4,1,1,1,0,75.34780200702768
25,26,1,1,0,1,1,78.93164357080668
27,29,9,1,0,1,0,84.73663873752045
32,15,8,0,0,1,0,80.15027510442026
26,23,7,0,1,0,1,85.63145188715706
10,23,6,0,0,0,1,76.89188268275525
25,27,6,1,0,0,1,84.95354631912994
40,27,0,0,1,1,1,89.05692614788414
32,19,9,0,1,1,1,91.56152387134934
25,19,2,1,1,1,1,79.31382235108977
19,26,5,0,0,1,1,81.4752814257196
31,25,6,1,0,0,1,86.05947767056826
13,20,8,0,0,1,1,75.16956080551351
34,23,8,1,1,1,0,85.80604011792646
16,19,6,1,1,1,1,77.0651962559905
28,19,4,0,1,1,1,80.96739733864464
28,20,3,1,1,1,0,75.78865507177213
28,30,7,0,0,1,0,85.46308493459404
23,21,10,0,0,0,1,84.20872348216825
44,22,9,0,0,1,1,95.07083803804365
37,26,4,1,1,1,0,84.93861297012008
34,17,4,0,1,0,1,84.71184355879922
14,26,9,0,1,1,1,82.63604727230998
21,26,4,1,0,1,1,81.35064472850739
41,22,4,0,0,0,1,89.2822139135236
30,26,6,0,1,0,0,82.54485006659459
19,27,7,1,0,1,1,84.06844231559516
38,23,11,0,0,0,1,93.74552700062088
32,26,4,1,0,1,1,85.8624112115428
13,19,9,1,1,0,1,78.72714714565191
11,27,5,0,1,0,1,76.4653443178274
17,17,6,0,1,1,0,71.4933870905162
17,31,3,1,1,1,0,75.70771621079703
25,22,4,1,0,1,1,80.76773094423426
13,26,4,1,1,0,1,77.08442330148101
14,27,7,0,0,1,1,82.13928838831266
9,28,5,0,0,1,0,68.8794574591557
26,29,7,0,1,1,1,88.09206902453832
25,27,4,1,1,1,1,85.08712011879075
19,19,6,0,1,0,1,77.63396020729289
26,25,8,0,1,1,1,86.83868084372584
24,20,9,0,0,0,1,84.2653675226561
41,26,5,0,1,1,1,95.59168034035208
29,25,4,0,1,0,0,79.78893038145056
21,22,4,1,0,0,0,73.15226184312196
25,20,6,1,0,0,0,75.12535729757859
23,22,3,0,0,0,0,72.48892152971631
20,29,4,0,0,1,0,76.34257504654079
19,24,6,0,0,1,0,74.22672162854344
30,23,4,0,0,1,1,84.32731359608596
10,27,8,0,1,0,0,76.0017000014296
30,19,10,0,0,0,1,87.2530005047532
16,24,5,1,0,1,0,73.37884987113225
37,21,3,0,0,0,1,86.37304379469947
8,20,4,0,1,0,1,70.67518180214987
26,23,6,1,1,1,1,87.47271367191044
22,17,10,1,1,0,0,77.32683796126058
21,23,5,0,0,0,1,81.17015867953027
33,24,5,1,0,0,1,88.4395232057377
33,28,5,1,0,0,1,90.02816656362899
23,27,7,0,1,1,1,86.5474940311863
31,24,7,1,0,1,0,83.0924512065378
26,22,6,0,1,1,1,84.9513570311717
17,23,9,0,1,0,0,77.34398019633743
31,23,7,0,1,0,1,86.5026834267717
27,24,4,0,0,0,0,77.58590789036222
34,22,2,0,1,0,1,83.79802166380568
27,22,9,1,0,0,0,80.74196022285467
23,25,1,1,1,1,0,75.261829450353
40,17,5,0,1,0,0,84.00288384799036
20,23,7,0,0,1,1,81.02594849834358
0,27,5,0,0,1,1,73.06432701823148
15,21,6,0,1,1,1,78.49107599045838
22,28,6,0,1,0,1,84.73244785258179
21,23,4,0,0,1,0,73.61073523982179
8,18,6,1,0,0,1,71.17384620145016
19,27,2,0,1,1,0,73.03800297376706
26,25,2,0,1,1,1,81.16061960595403
26,29,8,0,0,1,0,83.46301917757987
18,23,5,1,1,1,0,73.59423824982301
12,24,4,0,0,1,1,75.67939052084881
24,36,5,1,1,1,1,88.6620056854064
17,23,7,1,0,1,0,75.53949585078975
30,25,8,1,0,0,1,89.00705006806707
19,25,3,1,0,0,1,78.90263665742481
21,25,6,0,1,0,1,81.18262250876705
46,18,8,0,1,0,0,89.41679222098465
22,24,3,0,1,1,1,80.61164228741731
5,21,4,1,1,1,1,71.02571130089605
26,22,4,0,0,1,0,76.82371319902958
25,29,5,1,1,0,0,80.83397551628165
13,26,5,1,1,0,0,72.53478712944627
24,22,6,0,0,1,0,77.23102755569077
27,32,5,0,0,0,0,80.89923038266562
30,19,6,1,0,1,0,77.17362658611282
32,24,2,1,0,0,0,78.81922826097095
17,22,6,1,1,1,1,79.70022670149876
25,30,4,0,0,0,0,78.17300691508629
39,21,5,1,1,0,0,84.79839376569537
25,23,5,0,0,1,1,83.55190163456814
37,22,8,1,1,0,1,91.865513783683
20,20,5,1,0,0,0,70.15032391369064
25,25,6,1,0,1,1,84.57271391654164
40,16,5,0,1,0,0,81.93706101780737
24,23,6,0,0,1,1,83.07937343272039
38,18,5,1,1,0,0,82.46673782902712
15,22,4,1,1,0,0,70.78630466182653
25,20,9,0,0,1,1,85.10873866135532
27,23,6,1,1,1,1,85.6370406330384
19,23,6,0,0,0,0,74.03974267353806
19,19,4,1,1,0,1,77.85962375624369
23,27,9,1,1,1,0,83.65445031511608
18,25,9,0,1,0,0,79.10598711852913
30,27,7,0,1,0,0,82.21816433715732
26,20,6,0,1,0,0,77.83544277249047
20,26,5,0,0,1,0,77.25233603514472
20,25,3,0,0,0,1,78.47170754393093
37,23,1,1,0,1,1,84.63387650535967
40,24,7,0,1,1,1,91.99596133298114
24,20,8,0,1,1,1,84.67508359583898
38,18,8,0,0,0,0,84.56086452633596
26,25,6,1,0,0,1,84.49844350899524
23,22,5,1,0,0,0,75.96567359669277
32,18,7,1,1,1,0,81.27139353204072
31,23,6,1,0,0,1,87.33595988766074
31,25,3,0,1,0,1,85.19724906292068
31,30,8,1,1,0,0,87.70830826375042
11,27,5,1,0,0,1,74.91436187861699
32,24,0,1,1,0,0,76.78961880607399
27,23,6,0,0,1,0,79.97562526310749
22,22,8,1,0,0,1,82.83480923857573
20,32,5,0,1,1,0,79.44408626307415
3,17,4,0,0,1,1,68.78720310303454
16,21,7,0,0,1,0,74.11041908460209
31,20,5,1,0,0,0,77.71504547182627
29,24,9,0,0,1,0,83.52813287045082
14,23,5,0,1,0,1,78.46590551300012
26,21,4,0,0,1,1,81.72910156745556
32,18,4,0,1,0,1,85.0060121077421
20,29,5,0,0,0,1,82.41274004995022
21,27,6,1,1,0,0,79.1746243992965
12,18,5,1,0,1,0,67.12967108554199
19,24,7,0,1,1,1,83.13115754385346
26,30,2,1,1,1,1,84.49077442908201
18,12,2,0,1,0,1,71.23914839592511
25,22,7,0,0,0,0,78.41975439131066
35,15,5,0,0,1,1,83.74721102465323
22,24,5,0,1,0,0,75.00427013056814
34,21,5,1,1,1,0,81.43102951701862
23,20,5,1,0,1,1,80.27091747879928
26,23,4,0,0,0,1,81.5383713222484
32,20,7,1,0,1,0,81.08202975434202
15,19,6,0,0,0,1,75.05510249044684
21,26,7,1,0,1,0,77.54667555974939
10,26,6,1,1,0,1,77.66743660253069
19,16,5,0,0,1,0,69.79167039831539
23,22,8,1,0,1,0,77.74685597352664
15,25,10,1,0,1,0,77.15628624605472
27,19,6,0,1,0,0,76.33247303292659
33,27,4,1,1,1,1,88.5373655831759
25,20,5,1,1,1,1,82.87647335346493
31,20,7,0,1,1,0,83.04324478572237
17,26,7,0,0,0,0,75.53384395285913
21,29,4,0,1,1,0,78.87994372000705
26,29,3,0,0,0,0,76.59247534463826
30,25,6,1,1,1,0,83.52305993267854
23,26,4,0,1,0,0,74.89920337792098
13,25,6,0,1,1,0,72.3735582924258
29,22,2,1,1,0,1,80.76771802510255
23,32,10,0,0,1,0,84.11586053681344
31,25,7,0,0,1,1,87.50388840285034
26,21,7,0,0,0,1,84.32778544872015
18,25,7,1,0,1,1,81.16844492341733
31,22,2,1,0,0,1,82.42764163575825
16,27,6,1,0,1,1,82.09813061364562
33,22,3,0,1,1,1,86.0821399075388
17,20,7,0,0,0,0,71.71443717639455
34,21,8,0,1,0,0,84.09696750676578
16,22,5,1,1,1,1,78.93834016989997
24,22,4,1,0,1,0,76.60369237600521
40,22,7,1,0,0,1,92.42001167230708
29,21,6,1,0,1,0,78.94155996444037
25,22,9,1,0,1,0,78.28768237671879
26,11,9,0,1,0,0,74.87775566204768
28,21,6,1,0,1,1,83.4820876115346
51,19,11,1,1,1,1,100.67223932073912
14,32,5,0,0,1,1,80.57690532466863
8,22,5,1,0,0,0,66.42585272020129
17,25,2,1,1,1,1,77.44580273366849
9,22,3,0,0,1,0,66.469494472391
21,23,4,1,0,0,1,80.8314072667288
22,36,3,1,1,1,1,87.38283615413944
36,19,4,0,1,0,1,86.57243821439167
33,28,3,0,0,0,1,85.83307838960833
20,24,5,1,1,0,0,74.27858044217876
37,25,11,1,0,1,0,90.33285604955236
-1,28,4,1,0,0,0,62.12227877668517
27,24,7,0,0,0,1,85.6719305838935
38,22,7,0,1,0,0,85.31064824350075
23,23,6,1,1,1,0,78.62364641588205
27,20,1,1,0,0,1,78.2479326683652
12,18,6,0,1,0,0,68.21540690460839
15,29,5,1,1,0,0,75.16689112889948
20,27,3,0,1,0,1,80.42742955393526
29,29,9,0,1,0,0,83.84853075272126
17,27,6,1,0,1,1,82.46157735769744
18,27,6,0,1,0,1,82.231089819856
13,24,7,1,1,0,0,73.44889418312403
31,23,4,0,0,0,0,79.37290769036233
31,27,7,1,0,0,1,89.30557525065906
42,27,4,1,0,0,0,85.72226031097667
41,26,3,1,0,0,1,90.2971898619934
27,22,10,0,0,0,0,81.77319966780988
27,26,10,1,1,0,1,89.10252333037386
16,27,7,1,0,0,1,79.96553560316332
21,26,4,1,0,0,0,74.33708611682
17,33,6,1,1,0,1,83.94230536546492
27,23,7,1,0,0,1,86.67598321307142
8,25,6,0,0,1,1,73.32736915281085
13,16,1,0,1,0,1,69.4266313707103
44,18,5,0,1,0,1,89.66648544185269
23,28,6,1,1,0,0,78.34898265316045
14,15,12,1,1,1,1,80.06727249083187
33,28,7,1,1,0,1,92.42979401368706
24,23,6,1,1,0,0,77.74882290987556
31,22,4,0,1,0,1,85.1325276770492
20,24,5,1,0,0,1,79.91994616096305
12,24,5,1,0,0,0,68.72951717473839
5,21,6,1,0,1,1,70.64936061508345
14,17,5,1,1,1,1,74.34914637919678
43,26,2,1,1,1,0,86.3795012703422
37,28,5,0,1,0,1,89.37233209092314
20,24,5,1,1,0,0,76.92179589373956
26,21,8,0,0,1,1,84.55706332658359
15,24,8,0,1,0,1,79.89831230085338
5,27,5,1,0,0,0,68.3554981617397
10,12,9,0,0,0,0,68.00743100912322
28,20,4,0,0,1,1,81.85961230334979
45,19,3,0,1,0,1,89.22409824699658
39,15,5,0,1,0,1,86.77754559912653
22,17,7,0,1,0,1,79.68253904846183
32,28,7,0,1,1,0,84.96794648301409
21,24,7,1,0,0,0,76.09189527861216
35,23,4,1,1,0,0,82.97264128968033
41,26,6,0,0,0,0,87.06197087066406
33,22,4,1,0,1,1,86.38284506230934
34,27,7,0,1,0,1,92.36158315374554
13,27,7,1,0,0,1,78.4080909785678
35,27,4,1,0,1,0,84.41486289403123
36,21,4,0,0,0,0,78.41890688400859
10,22,7,1,0,1,1,75.48567818679085
17,21,2,1,1,1,1,77.22269683546197
25,24,2,1,0,0,1,79.3863318633653
21,29,7,1,0,1,0,80.38018941276928
38,26,3,0,0,0,0,84.92453060073402
31,23,5,1,1,1,0,82.10385799222146
16,27,5,0,0,1,1,79.20514927450498
31,24,8,0,0,0,0,82.4431261799623
23,23,7,1,1,1,1,85.92019025136815
41,25,3,1,1,0,0,86.08248431274725
32,21,4,1,0,0,0,78.40290519616617
34,21,2,0,1,1,1,84.20539404837612
20,17,4,0,0,1,1,77.08552782043695
46,24,4,1,0,0,1,93.85488728278702
35,20,7,1,0,1,1,88.2929227525844
22,22,1,1,1,1,1,79.09361439669298
14,25,8,0,0,1,1,79.52918112611349
23,26,0,1,1,1,0,73.47294641347064
23,20,9,1,0,0,1,84.42068015613118
17,21,6,1,0,1,1,78.08129021193926
23,23,6,0,1,1,1,85.8229124413739
27,30,6,1,0,0,0,82.71544623573938
29,32,6,1,0,0,1,90.835421145766
13,21,8,0,0,0,0,72.65743712869349
14,18,4,0,1,0,0,69.30625350281592
25,21,8,0,0,1,1,86.78392158555003
31,30,3,1,0,0,1,85.99701396610504
18,23,6,0,0,1,1,79.27760759619821
21,23,7,0,1,1,1,82.96213068111017
20,27,6,1,1,0,0,76.82247272961287
43,24,9,0,0,0,1,96.72573265442
14,20,2,1,0,1,0,66.4730551214549
18,30,3,0,1,0,1,82.03734277419021
31,23,6,0,1,0,0,82.3520750901103
10,20,2,1,1,0,1,69.8870824626779
31,25,7,1,0,0,1,87.92210702389949
10,15,8,0,1,0,1,74.83152558161034
26,25,5,1,0,1,0,76.61669270110296
40,23,5,0,1,0,0,86.67028712148854
4,23,7,0,1,0,1,72.5903640061709
36,22,3,0,1,1,0,81.3284127248146
19,20,3,1,1,1,1,76.09298315678281
26,27,5,0,0,0,1,84.66744518509813
33,20,7,0,0,1,0,81.85500001514916
30,27,4,1,0,0,0,80.02733418304113
16,18,3,0,0,0,0,67.2567956973073
3,31,7,0,1,0,0,70.0840836564579
23,21,4,1,0,1,1,78.50988525982171
31,21,4,1,0,1,1,85.1312232653716
41,25,2,0,1,0,1,90.08103936979307
44,29,3,1,0,1,0,87.2441318349153
27,25,7,1,1,1,0,80.94376632432098
30,22,7,0,0,0,1,84.51657718474334
26,28,4,1,0,1,0,77.38885514107027
47,19,5,0,0,0,1,92.4305413486783
32,18,3,0,0,1,1,83.13615803783507
29,20,10,1,0,1,0,83.52729566197259
30,21,8,0,1,1,1,86.82076717512551
27,21,6,1,0,1,0,77.90702464427109
39,26,8,0,0,0,0,89.93698726906082
18,23,5,0,0,0,0,71.7886494044785
17,31,3,1,1,0,0,74.7465623797557
32,16,7,1,1,0,1,85.41040520340908
34,22,6,1,0,1,1,88.98107200362179
30,18,4,1,1,0,0,76.3816551541805
26,22,6,1,0,0,0,77.59638345628471
9,22,1,1,1,0,0,65.03447232957188
20,23,10,1,0,1,0,79.28879507071225
11,22,3,0,1,0,0,68.11914460084257
21,21,1,0,1,0,1,76.47716537953238
24,23,4,1,1,0,1,81.46834497671254
28,27,5,0,0,1,1,85.12130422021241
8,25,4,0,1,0,0,71.13295727350229
28,25,5,1,1,1,1,83.8943000541379
20,24,8,0,1,1,0,78.1022243757605
8,26,8,1,0,1,1,80.11803182454322
37,20,4,0,0,0,1,88.52926211916103
23,30,5,0,0,1,0,78.5184747899078
27,28,4,0,0,0,1,82.72535051551357
13,28,9,0,1,0,1,81.76999753920316
22,21,6,1,0,1,1,81.71895375136398
42,24,5,0,0,1,0,86.47210827481544
20,24,7,0,0,1,0,75.80954629228468
37,25,6,0,0,0,0,86.78975353717152
27,24,10,1,1,1,1,88.81970177351579
30,22,6,0,0,1,1,85.54289310615036
22,21,5,0,0,1,1,79.92939395293432
16,32,4,0,1,1,0,77.69220074140415
17,25,0,0,0,1,1,73.84230936516899
5,20,5,0,0,1,0,64.24142835122538
20,19,6,1,0,0,0,71.97126388685258
21,21,2,0,0,1,0,71.49915268513082
20,18,3,1,0,1,1,75.39265396645757
40,25,9,0,0,0,1,95.66232192867454
25,20,7,0,0,0,0,77.85906368960504
32,23,8,0,0,0,0,84.49973746398129
20,23,5,1,0,1,0,74.86475032454608
28,31,13,1,1,1,1,97.51196387098808
32,24,11,0,0,0,0,88.83299671901376
