age,education_years,income,political_activity,news_exposure,rural_residence,previous_voting_history,campaign_exposure,voting_turnout
22,22,7,6,1,1,1,1,99.60708273397704
33,18,4,20,3,0,0,0,114.39636756178312
18,22,2,12,0,1,0,0,97.45393901161508
32,29,5,13,2,0,0,1,122.49400039634436
20,23,5,20,1,0,1,1,112.95450812970654
29,24,7,13,2,0,0,0,110.6422516417372
19,25,9,15,0,0,0,0,102.37944437720532
31,24,6,16,0,0,0,1,118.1729910314848
25,23,7,19,0,0,0,0,110.52033683296514
22,25,4,19,1,0,0,0,108.0085811637939
31,24,6,13,2,1,0,0,113.64600888692812
19,26,0,24,0,0,1,1,117.9492230145386
6,18,3,12,1,0,0,0,81.38174632842788
11,20,5,14,0,0,0,1,95.9370757920476
38,29,7,11,3,0,1,0,120.81109044601558
29,24,6,10,0,0,0,1,109.9103631514708
27,24,3,10,3,1,0,1,110.83754326261128
8,21,6,12,3,1,0,0,87.92375710499576
20,20,7,10,1,0,0,0,94.23642270857884
2,29,4,14,2,1,0,1,95.25359817623692
37,24,6,23,2,0,1,1,131.3235897750171
31,18,6,20,1,0,0,0,111.90315146408228
26,22,5,23,0,0,0,0,114.62008302718392
36,27,7,16,3,0,0,1,125.86598862785816
30,29,6,21,2,0,0,0,124.65593805236097
21,16,4,10,0,1,1,0,92.41505195553556
14,27,7,23,1,0,0,1,112.94163190369036
35,23,3,17,3,0,0,0,117.60345899446789
38,13,6,23,1,0,0,1,122.8927374881822
19,26,8,18,1,0,0,0,105.69169745709156
26,22,4,15,3,0,1,1,112.93568762944312
27,21,6,13,1,1,0,1,109.08740288205996
17,23,7,11,1,1,0,0,98.32497443576229
33,26,7,19,1,0,0,1,124.84024317562051
35,26,7,16,2,1,1,0,118.5719584450797
36,23,5,9,3,0,0,0,110.2951237111874
22,32,2,20,1,1,0,0,118.48612942842657
29,24,5,12,2,0,0,0,109.53505554384392
22,21,3,14,0,1,0,0,101.44428520481696
63,27,3,14,2,0,0,0,140.09782910603155
16,21,8,13,2,0,1,1,101.5648163493232
17,26,6,14,2,0,0,0,102.09126673326982
14,21,3,17,2,0,0,0,97.27100701247318
31,31,6,26,1,1,0,0,130.3237648348088
20,27,7,20,2,1,1,1,119.48860269396474
37,22,3,6,3,0,1,0,107.98805391553692
23,28,7,15,1,1,0,0,109.23683340713588
16,21,7,16,1,0,1,0,98.03224490761042
25,23,6,14,2,1,1,0,106.83092488881002
18,23,6,8,2,0,0,1,99.50963257621405
33,24,7,11,1,0,0,1,115.40662142126708
0,28,4,12,2,1,0,0,88.53774758087435
25,25,10,15,0,0,1,1,113.8947656693983
36,18,6,20,2,0,0,0,118.8409803613893
11,25,9,12,0,1,0,1,98.4742193568729
28,24,4,18,0,0,1,1,118.81645253629668
35,22,2,18,1,0,0,0,117.8741274591804
23,28,6,18,3,1,0,1,119.26424265161154
37,28,2,14,2,0,0,0,120.67703480832458
25,27,6,7,3,0,0,0,101.67069109967792
31,23,8,21,1,1,1,1,125.43941259808784
14,27,7,20,1,1,0,0,106.4760304143429
24,29,7,13,2,0,0,0,109.69619789933331
31,27,8,18,2,1,1,0,120.93663376272065
25,28,5,15,2,0,0,1,116.3404848066566
22,22,8,18,1,1,0,0,106.13983817582329
27,25,2,17,3,0,0,1,115.55446329214746
33,22,4,18,1,0,0,0,116.39763741003958
31,20,8,24,3,1,1,0,122.07586880722305
36,23,4,13,1,1,0,1,120.00619649660214
13,25,7,16,3,0,0,0,101.95845206598364
9,20,6,13,0,0,0,0,86.72367519564418
41,27,6,14,2,1,0,0,121.5376502842566
15,15,7,10,1,1,0,0,87.18104680656641
23,32,4,16,3,1,1,0,116.11609936312934
19,34,8,16,1,0,0,1,116.74157397419796
23,23,4,21,1,0,0,1,114.76966284869258
11,27,6,11,2,1,1,0,96.89458206963278
35,24,5,18,3,0,0,1,125.54973517990534
26,20,4,13,1,0,0,1,109.14654573718256
19,28,6,14,1,0,0,1,109.3710046648791
36,29,7,10,2,0,0,1,121.22580189097503
41,23,5,18,3,0,0,1,128.98605108339893
17,30,7,4,3,0,0,0,95.18034425691268
29,27,10,10,2,0,0,1,115.35044139866012
14,26,7,12,1,0,0,1,102.64310036120538
42,22,9,20,2,0,0,0,126.74154523825251
30,22,7,16,2,0,1,0,112.55014769061742
9,30,5,13,2,0,0,0,99.42818486112036
18,16,8,7,3,1,0,0,90.08871352540716
23,22,10,10,1,0,0,0,100.13283089410032
40,31,5,19,1,0,0,1,134.874513359905
25,25,11,13,1,1,0,0,108.5309165677313
19,31,9,13,1,1,0,1,110.22843007487764
27,23,4,6,3,1,1,0,100.69494919636786
31,21,5,16,0,0,1,0,111.47237686590071
26,21,1,23,0,0,1,0,112.41756795978772
13,24,5,17,0,1,1,0,99.83004306246748
14,20,6,12,1,0,1,0,93.7389939770088
47,26,8,13,2,1,0,0,128.4936540463465
1,22,2,11,2,1,1,0,83.63293448976587
22,17,7,10,2,0,0,0,95.24351443853472
25,19,6,12,0,0,0,0,100.36871507246528
18,28,6,12,3,1,1,0,102.69495215999709
8,19,4,7,1,1,1,0,82.39303817773055
19,25,10,19,1,1,0,0,109.02041700238932
23,23,4,11,1,0,0,0,102.6282140150948
36,21,6,14,2,0,1,0,115.44682567130386
37,13,12,9,2,1,0,0,105.45387293942484
10,27,7,13,4,0,1,0,97.31440116064552
20,24,6,14,1,0,0,1,106.98746266997672
9,31,2,6,3,0,0,0,91.05404101895016
33,25,3,12,0,0,1,1,115.69829359564127
19,20,3,19,2,0,0,1,109.03888543959644
19,26,7,25,2,0,1,1,119.84129871152236
33,23,6,9,2,0,0,1,113.45721125988136
26,14,10,14,3,0,1,1,103.4270567916982
12,23,5,18,2,0,0,0,98.88614153472282
20,25,8,20,0,1,0,0,109.92808071352098
19,22,6,13,4,0,0,0,100.50171061304718
17,24,2,18,-1,0,0,1,107.25810632516486
35,25,5,20,1,0,1,0,122.31081397016386
24,22,6,4,0,1,0,0,96.327089417181
44,28,4,10,0,0,1,0,123.30753638392945
13,27,7,17,1,0,0,0,101.43414396544576
12,23,7,23,1,0,1,1,109.42711658089932
15,19,4,14,1,0,0,1,97.73983593707584
8,24,4,24,3,1,1,0,103.2711921031213
19,28,4,10,2,0,1,0,101.99446591368232
0,19,4,14,2,0,1,0,81.58456096359863
44,14,7,12,3,0,1,1,117.84514368174143
32,26,7,16,0,0,0,1,120.87438158808826
13,25,3,10,2,0,1,1,98.76674603447448
16,21,4,26,1,0,1,0,109.43164585920528
21,22,-2,21,0,0,0,0,106.76434868258528
25,22,6,19,1,1,1,1,116.07844016815211
31,30,8,14,1,1,0,0,117.6277827403396
42,23,2,11,1,0,0,0,115.9632473196258
25,21,7,16,2,0,1,0,108.01776178107994
30,22,9,20,1,1,0,0,117.50112506425442
21,30,6,16,3,0,0,0,109.94333685512494
7,22,5,23,2,0,0,0,98.19842985418772
23,28,2,14,2,1,0,0,107.67074268645364
13,24,7,19,2,1,0,1,106.54775223247889
12,28,7,18,0,1,0,1,108.65004297335813
44,23,9,15,1,1,0,0,122.72208666589462
38,21,5,15,3,0,0,1,120.31601133461544
31,21,5,17,1,0,0,1,118.6457156776579
21,24,3,12,2,0,1,1,105.66561920733382
23,20,6,6,1,0,0,0,94.52405364907293
27,19,10,16,0,1,1,1,113.63514989896852
30,22,5,17,3,0,1,0,113.409054729485
42,27,1,15,1,0,1,0,124.74026407753443
27,30,4,11,2,0,1,0,112.10877399936314
15,27,3,13,0,0,0,1,103.69336165751736
24,25,8,10,1,0,0,1,108.11641742645564
21,17,2,21,3,0,1,1,108.84641768420826
4,19,5,16,0,0,0,0,84.0805053473792
24,21,3,6,2,0,0,0,94.43295265244488
11,17,8,15,1,0,1,0,90.24162266451565
24,23,8,19,3,1,1,1,115.1164272312957
6,20,8,17,1,0,0,0,90.06735136667231
21,29,7,19,1,1,1,1,119.3339024802752
26,13,3,22,1,0,1,0,106.59758768758935
1,28,7,14,2,0,0,0,88.70132978397994
23,27,5,11,2,0,1,0,106.1020210229198
37,24,2,13,1,0,0,1,120.6039008781974
27,31,1,22,2,0,1,1,127.1799169540699
0,27,2,17,1,0,0,1,93.0826137057695
38,20,4,20,0,1,1,0,122.58233238635792
27,22,3,16,2,1,0,0,107.77142900397445
26,25,3,13,2,0,0,0,107.12459340664552
39,26,10,15,3,0,0,1,125.4203031893817
22,20,4,14,0,0,1,0,101.7675273060337
26,18,2,19,2,1,1,1,111.98945273862876
16,25,2,13,2,1,0,1,102.69106298687014
29,30,9,8,2,1,1,1,115.49115834454634
24,21,4,18,1,0,0,0,106.63629008939884
34,20,2,18,2,0,0,0,114.90870739661035
19,28,6,11,2,1,1,0,102.1438753270776
26,23,7,9,3,1,1,0,104.83687160967897
33,22,6,22,3,1,1,0,122.46876778710076
18,23,4,16,0,0,0,0,100.19129108913428
14,20,6,11,1,0,0,0,89.97123671654016
23,18,7,9,2,0,1,1,99.75525342416378
30,25,5,13,3,0,1,0,112.97621696889678
18,25,3,10,3,0,0,1,103.26179289504567
30,25,7,11,2,0,1,1,113.8734029226456
23,32,5,16,1,0,1,0,116.06153997530936
30,23,5,17,3,1,0,0,114.61391879061053
5,28,4,18,2,0,0,1,102.59983761977458
26,23,5,10,1,1,0,1,108.03426387393073
10,23,6,16,0,1,0,1,101.422063058007
20,27,4,15,1,0,1,0,106.52974233739585
33,25,5,24,2,0,0,1,130.82459624143002
17,23,6,21,3,1,0,1,111.64427124487484
40,24,5,20,2,0,1,1,130.5989380853631
32,23,3,20,1,1,0,0,117.7626705316624
13,29,1,19,2,0,0,1,110.09023691032392
24,33,6,23,2,0,0,1,125.86347023752974
25,23,7,19,2,0,1,0,112.1457855917344
21,29,3,24,0,0,0,0,117.20638613337384
2,22,5,10,2,1,1,1,87.05205052373803
23,26,9,12,2,0,0,1,109.78201730538034
22,20,6,13,1,0,1,0,99.66921131268928
2,22,9,23,2,0,0,0,93.961369880993
34,17,7,16,2,0,0,1,115.09779029426414
26,22,5,12,2,0,1,1,111.27189207730405
21,14,4,28,1,1,0,1,112.54932755549478
24,27,6,23,2,1,0,0,119.48118959580864
36,26,2,16,1,0,0,1,123.45055718666852
16,21,3,11,2,1,0,0,95.44945028211728
20,24,5,9,2,1,0,0,97.83087660271158
23,24,5,22,1,0,0,0,111.79938369304
16,22,5,12,1,1,1,0,98.60970839855509
15,23,6,14,1,0,1,1,100.95834053299282
17,22,5,24,2,0,1,0,109.26868525352197
15,19,8,24,2,0,1,0,104.42172013490963
23,17,3,13,2,1,0,1,102.9269055052248
33,16,5,11,1,0,0,1,109.90736087041098
20,21,6,23,0,0,1,1,113.44187828558046
29,22,3,13,2,1,0,0,108.79514437001798
21,22,6,12,1,1,1,0,100.2947428350163
23,25,4,20,1,0,1,0,112.63684422766111
32,26,6,20,1,0,1,0,123.54019342822484
36,32,8,12,0,0,0,1,123.6348137234674
26,29,4,18,1,0,0,1,120.78450178018566
26,24,8,19,1,0,1,0,114.53453846226252
35,22,1,22,2,0,0,0,122.08843752065506
3,28,5,14,3,0,0,0,90.40290080004628
30,20,4,10,3,0,0,1,107.7529865295722
19,24,5,19,3,0,0,0,106.54042859967916
56,21,6,12,1,1,0,1,132.5754778345891
9,22,6,13,2,0,0,0,91.26632267458344
16,20,3,17,3,0,0,1,103.77245161203156
35,28,5,16,1,0,0,0,121.22107389056862
31,22,8,5,2,1,0,1,108.8855625174665
20,25,2,24,0,0,0,1,118.33900239827888
37,23,4,6,1,0,0,1,112.2425384597006
12,29,9,14,2,0,1,1,105.72810888889632
29,28,7,11,1,0,1,1,117.15062204945148
18,27,5,17,2,1,1,0,108.46769675173395
25,19,7,10,1,0,0,1,102.20296202992324
22,27,6,17,1,1,0,0,111.4652805878861
35,18,8,19,1,0,0,0,115.308423898124
41,21,6,22,2,1,1,1,132.2156414951675
30,17,4,17,2,0,1,0,109.42515708009428
24,31,6,11,1,1,1,1,116.52461452096124
39,22,3,25,2,0,0,1,132.65813354197422
54,25,8,23,2,0,0,0,140.50900518870986
16,20,5,13,1,0,0,1,100.98569185208764
15,23,5,18,2,0,0,0,101.15051095777284
15,15,5,11,2,0,0,0,87.53374515502837
25,22,2,10,2,0,1,0,101.29678025672575
18,22,6,19,2,0,1,0,104.6081233435496
48,24,5,14,2,0,1,0,127.97445216200964
35,26,3,10,3,0,0,0,112.40396323623904
14,29,7,15,2,0,0,1,107.22276374622643
15,20,4,18,2,0,1,1,104.19400889076242
28,22,10,13,0,0,0,1,111.35726644858649
43,26,9,15,3,0,0,0,127.07607099951116
29,31,5,18,1,0,0,0,118.63361023669144
42,20,14,11,2,0,1,0,117.84450107308037
4,28,5,13,2,0,1,0,91.35323327751838
24,23,5,11,0,0,0,1,106.55982764008236
28,27,4,23,1,1,0,0,120.77358231032925
17,25,1,16,2,0,1,0,101.65957027518655
46,22,5,10,0,0,1,1,123.64064133938408
16,23,7,13,2,0,0,0,97.212294120091
31,18,6,17,1,1,1,1,116.8695697597024
9,25,4,13,1,0,0,0,93.95307073678455
3,21,5,8,3,0,0,0,78.25370237075796
19,25,2,19,0,1,1,0,107.85615640806289
18,34,2,19,1,0,1,0,113.57130888572097
34,22,6,9,0,0,0,1,111.66704716589923
23,23,9,2,1,0,0,0,91.60159464236864
19,21,3,19,1,0,0,1,104.35258269002136
34,28,6,20,1,0,1,1,129.4895586818089
9,15,7,19,0,0,0,0,91.46131287255857
40,24,3,15,0,0,1,1,125.013737587559
37,22,9,16,3,0,0,0,120.41682427943954
46,21,5,18,2,0,0,1,130.90311205915864
8,21,4,19,2,0,0,1,99.47017392879845
19,24,7,9,3,0,0,0,97.86866163031505
16,24,4,24,3,0,0,1,111.77410135638468
37,19,4,14,0,0,0,0,111.7516112595409
18,23,9,18,3,0,1,0,105.98368677137424
7,20,7,17,1,0,1,0,91.5940197145867
33,20,4,15,2,0,1,0,111.38028131974468
28,30,4,15,0,1,0,0,114.20267327439862
32,20,2,21,2,1,0,0,115.73461377610543
30,21,8,6,2,1,0,0,101.97444369887909
20,22,9,11,1,1,0,1,105.3121951893986
28,26,5,19,0,1,1,1,122.3535115718494
20,23,7,13,2,1,1,0,101.57666438279028
23,23,8,14,2,0,0,0,105.12960774149715
40,27,4,14,2,0,1,1,128.4604907208929
