teacher_age,teacher_experience_years,average_class_size,teacher_gender,rural_location,use_of_teaching_assistants,student_engagement_score,student_performance_score
35,14,9,0,1,1,71.85383902372398,254.847918
27,23,11,1,0,1,71.76270105822937,260.10024705863106
16,11,12,1,1,1,47.493010279782986,182.9479267920438
34,16,10,1,0,1,75.1098636,264.41001423932767
28,25,10,0,0,1,75.09473294,268.78806636095214
16,14,9,0,1,1,45.63406861,184.38464690320055
41,18,6,0,1,1,84.60117537154835,293.8114765997329
25,29,8,0,0,1,70.19342331077003,257.69526049564524
34,11,7,1,0,1,68.32046939671687,247.1379986169352
43,14,14,0,0,1,90.30035272450304,307.0392277178569
29,16,8,1,1,1,67.37468873157714,242.2177519
31,24,9,1,0,1,76.27683244,274.0422011473251
37,15,12,1,1,1,82.32043150351242,284.2721556797144
27,10,14,1,1,1,61.60087639457036,226.08337648244915
32,16,9,0,0,1,70.79375717363318,254.8978111766841
29,24,6,1,0,1,73.57914637393387,262.56691494083015
6,26,14,0,0,1,45.83222614526397,187.1614503
39,27,7,1,0,1,90.60654620429492,310.27837743763746
19,19,3,0,1,1,50.34186186,197.34348171427737
29,19,9,0,0,1,69.28500934596657,250.65247947762225
23,32,12,0,1,1,75.87984681756849,273.57378732293023
12,18,12,1,0,1,44.56846629597237,181.4460291090896
23,12,11,0,0,1,56.409140367980775,213.02656407491847
34,16,12,0,0,1,75.38760215037338,269.54810730874146
36,21,8,1,0,1,81.98332493225504,286.1877248145426
16,20,17,0,1,1,58.72916710895963,221.6676706932376
18,17,10,1,1,1,53.68016392449544,206.7457587720761
18,19,19,0,1,1,60.78367912939372,228.70041639226991
45,19,8,0,1,1,94.1220073,318.6242951789829
48,29,13,0,1,1,110.19961368416712,370.0540396589077
20,26,7,1,1,1,61.53470994098823,229.64356160012773
24,16,7,1,1,1,58.55892690269446,219.1627717958777
38,24,9,1,0,1,88.62299427,304.4574789
39,8,7,1,0,1,72.81480130341693,254.01627754955152
16,9,7,1,0,1,41.09233968737946,168.5752401662547
43,27,11,0,0,1,100.17867814869952,338.14309007516766
28,13,11,1,0,1,64.40380290158532,236.8949186717014
25,16,8,0,1,1,60.99532422530508,229.92255538923968
45,22,14,0,0,1,98.12142102180717,336.62800211355375
33,30,13,0,1,1,88.89392776582929,311.5696258975455
24,13,8,0,1,1,55.535734670216215,210.87130787166973
24,11,12,1,0,1,57.72180906257518,217.00823270928984
37,7,10,0,0,1,71.35338402256212,252.6271759
38,18,11,1,1,1,84.19230611668861,292.4310917227301
19,23,6,1,1,1,55.61671836855606,213.29579974275111
38,18,8,1,1,1,81.82178531137812,284.31974852091906
28,18,10,0,1,1,69.15231410415666,250.03005713869587
35,17,8,1,1,1,74.70127848363067,268.4839722
31,21,5,0,1,1,70.26977292221395,253.96052709144695
46,22,14,1,1,1,102.44567273159396,346.2880455044367
25,20,12,0,0,1,66.66976438442394,242.85274162766655
32,22,13,0,0,1,79.51544247871946,282.78605314513624
33,23,5,0,1,1,76.64010067120456,274.9227972371493
28,12,7,1,0,1,61.01356806808327,221.90215738485935
25,26,6,0,1,1,67.21836951134853,249.06224119863248
25,18,12,1,0,1,65.97754248235493,240.4096034360381
28,22,8,1,1,1,70.23508807775289,253.7160586113025
23,24,12,0,0,1,67.33730164491458,245.92602887587887
39,18,13,1,1,1,86.22022590641771,298.2741337946869
29,22,10,0,0,1,71.09882232393856,256.3286663872338
22,28,9,1,1,1,67.16643733,248.9674792398361
31,27,3,1,1,1,76.54719206405017,275.53443954654387
39,23,8,0,0,1,87.08110224042588,300.34382793427466
23,25,13,0,0,1,68.88207222277462,251.8187896934989
14,22,15,1,0,1,55.03441643262718,213.5567587511389
29,17,12,0,1,1,70.56023069531317,252.7445474145588
27,23,7,1,0,1,68.84374503688795,251.4147941002554
33,31,11,1,1,1,89.64865951,312.88004172849816
26,21,11,1,0,1,69.41338307603338,251.70079911441368
33,23,16,1,0,1,84.94963852536162,296.93958343419155
28,8,11,1,0,1,60.74745380545871,222.2512773875573
22,25,11,0,0,1,67.65252658260044,245.8414741071784
23,20,8,1,0,1,60.64500934303009,228.0844647966391
38,18,15,0,1,1,87.89904505273016,304.59273041730347
35,29,9,1,0,1,88.09567209843671,307.1545830280982
26,21,14,0,1,1,71.57350003440285,259.1862034443523
23,16,6,0,1,1,57.20481728001477,214.16236619019244
30,30,3,1,1,1,76.88800502484153,278.11130533515484
46,19,8,1,1,1,94.32687287,322.8121891929272
43,21,11,0,0,1,93.97225526051474,320.69384057776347
8,8,9,1,0,1,27.36807061142929,131.11731337359709
15,20,13,0,1,1,55.31099013,212.4264500453704
31,15,13,1,0,1,70.81688635085646,256.8286827631586
32,25,5,0,0,1,76.01408379075826,272.877853
44,14,10,1,0,1,87.55952893318084,298.17772230673427
19,21,13,1,0,1,59.94976098439324,225.4445779543656
26,2,11,1,0,1,49.52788423932626,190.77106176481968
39,13,11,1,0,1,79.79668552093754,279.6745512657155
37,21,9,0,1,1,84.0804315,289.2897537490685
40,25,7,1,1,1,91.10575372630682,312.7553712140319
37,21,9,1,0,1,83.90751618,292.10816620927807
29,17,7,0,0,1,66.34636017723774,241.71581790074688
18,5,7,1,1,1,38.14723675947578,159.37504816989383
21,22,13,1,1,1,62.90048646569057,234.62047004389004
22,20,11,0,0,1,60.019305401213096,223.54455108450333
21,19,9,1,1,1,58.65787324420403,220.4273638472308
34,25,11,0,1,1,83.65463158631255,295.37580351522826
28,18,10,1,0,1,68.14498160434464,246.63418508123283
24,9,7,1,0,1,52.04333578380011,199.69944276394716
36,19,5,1,0,1,78.91271779700716,278.3109117530401
39,19,14,1,1,1,87.27862955753893,305.6383885412554
23,32,7,0,1,1,72.30290535658791,260.4864562599204
19,19,11,0,0,1,58.83786215647454,218.7139672380335
20,7,12,1,0,1,48.01228573707264,187.86156311945663
25,19,15,1,1,1,69.95082083,250.9568142994954
18,11,7,0,1,1,45.10359618,180.70745841252645
40,25,7,0,0,1,90.28703687793453,311.42675335391976
33,21,12,1,1,1,80.30636161670289,284.0928744000617
36,30,4,0,0,1,87.24825402187784,301.7188626781632
24,7,14,1,1,1,56.82148063241989,213.0035071429301
30,18,8,1,0,1,68.69921162815814,246.77848169086045
31,26,7,1,1,1,78.82231643982395,282.9721376571441
20,20,13,1,0,1,62.81963738577714,229.34612003313129
29,20,9,0,1,1,71.99680668915929,257.5849330590951
32,27,8,0,1,1,82.39089057537876,290.0455404090281
21,22,14,1,1,1,65.08566047744745,240.38300057236327
33,19,7,0,1,1,75.81430012406493,265.62981231114105
27,22,11,1,1,1,72.40668663541248,258.3471693865598
45,22,7,1,0,1,94.42294894122628,321.4307087504636
23,40,11,1,0,1,84.85274413424003,298.6426647553749
40,18,15,0,0,1,88.95651053169173,307.6051104059276
42,19,15,0,1,1,92.28774274635784,318.41402165799565
21,16,4,0,0,1,51.04443682435149,196.22062542527917
37,31,17,0,1,1,98.89711848201918,338.0962188
24,29,6,0,1,1,70.35163983784953,257.30625615874413
40,27,6,1,0,1,90.94723588002869,311.81756708962604
18,14,16,0,0,1,54.23393873294802,207.1944492797132
32,31,9,0,1,1,86.15676534664192,301.0637802
31,24,13,1,0,1,81.76783781895985,287.1847364658745
28,9,8,1,1,1,59.42664132878659,220.5224686074333
14,26,6,0,1,1,50.89716992505294,202.86215215501036
20,20,12,1,1,1,61.69630953080377,230.7097758227336
40,21,12,0,0,1,90.01721657148612,308.54887019152045
23,15,6,1,0,1,55.72692250696505,207.9468407753833
32,21,9,0,0,1,75.02695682248114,270.4378790258545
35,6,11,1,0,1,67.43566481687995,244.57373830403745
21,16,11,0,1,1,59.34587295218063,221.6256478918526
26,29,10,0,0,1,76.20416510600658,271.3288319512142
42,18,9,0,0,1,87.75301832,299.44873882214245
30,22,8,1,1,1,74.94005905078285,268.54066082930933
31,20,15,1,1,1,80.71299566960171,286.23475144008466
28,6,10,1,0,1,56.53955767848385,212.3212275897328
27,17,10,0,1,1,66.23879906531566,238.6541614633652
49,23,10,1,0,1,105.08865773664024,353.9318854280923
34,14,2,1,0,1,65.90677440384836,239.8452102500832
29,27,2,1,1,1,72.75324777085198,262.1158508
25,21,11,0,1,1,67.86143374109207,249.4200924407733
10,20,7,1,0,1,42.51600233907972,171.08809892144885
27,13,10,0,0,1,60.629275259823046,224.6411224
19,15,5,0,0,1,46.91811251834926,187.2630349835755
37,17,14,0,0,1,84.54601564733343,292.21546652455044
35,17,12,1,0,1,77.55752101,276.2950365
16,23,13,1,1,1,57.681664020422126,220.28201771497592
25,8,8,1,1,1,52.13571899416708,200.2012324246224
16,21,6,0,0,1,50.68094232588022,197.54969216499225
35,27,12,0,0,1,88.67608088892209,308.3276663355882
36,16,13,1,1,1,81.71525654422848,285.62783680601586
43,19,18,0,1,1,96.93799235381285,331.35363333328536
38,19,10,1,0,1,84.48868047,294.4882329623814
38,30,9,1,0,1,93.39278396,322.5285667
24,11,8,0,1,1,55.373545779699285,209.0391122521876
35,20,6,0,1,1,80.08945849317911,278.481077
22,13,17,1,0,1,59.72464634296486,223.72970545377024
28,18,7,1,0,1,65.36735996112063,238.94252606708625
26,17,1,1,1,1,58.77533149498103,217.32967489286375
22,25,6,0,1,1,62.43376791056601,234.06902864497607
24,15,8,1,1,1,57.509150140010696,216.95704213970748
35,23,12,1,0,1,84.64785719,295.57330979282773
35,22,12,0,1,1,84.8162645,294.1104071592422
43,24,9,0,1,1,96.50863706569984,327.59241695190616
40,23,11,1,0,1,91.32031177966968,311.60600986551907
19,15,8,1,0,1,51.390038009315866,197.0862662860614
37,20,15,1,0,1,86.95255663058168,299.81332769614176
26,24,9,0,0,1,69.15904825544817,251.5609969267028
19,24,7,0,0,1,55.1450525,214.95565027308143
24,25,16,0,1,1,75.64745602768359,270.2814568716136
18,9,18,1,1,1,50.79367167345187,199.2541684300346
28,17,10,1,1,1,68.29057123508348,244.9508756891497
40,22,10,1,0,1,89.75239917880846,306.1204802891509
44,21,11,0,0,1,94.13863914596791,321.7335298220133
36,22,7,0,1,1,82.99522743681301,288.08877321916464
28,23,8,1,0,1,72.74202570759074,258.6970595095728
26,22,11,1,1,1,71.42900179032219,259.0918747098344
22,19,9,1,0,1,59.909282411415234,224.0002933085695
24,27,13,1,1,1,73.17445174556677,265.01647075722315
27,19,5,0,1,1,63.91712471,237.17461766227436
32,22,10,1,1,1,78.83868583501511,280.5854577728975
31,17,10,1,1,1,72.51422605,260.23956743077497
33,24,13,0,0,1,83.46088932188641,294.80674293296505
32,31,7,1,1,1,85.33110108274529,297.57596208945864
12,18,15,0,0,1,46.90228312102722,190.16799706263643
34,16,10,0,0,1,73.13103949798355,261.9067618904281
27,9,13,0,1,1,60.19694371379599,221.17738381252028
34,17,12,1,1,1,80.04687593121652,278.7736061530924
21,21,8,1,1,1,59.60483438349695,226.8304961372724
36,28,11,0,0,1,91.07363905,312.76826143864446
31,17,9,1,1,1,71.09400508885517,255.740888
33,27,9,0,0,1,83.03160577424349,290.3567556869203
33,21,8,1,1,1,76.11066315652423,272.9422475261106
37,29,10,0,0,1,90.61259303526602,315.5462050903496
31,24,13,0,0,1,78.75913693156153,280.61079260461395
42,11,10,0,1,1,80.93678285712312,279.7056294036069
44,22,12,1,1,1,97.59462505670722,332.91588647061576
27,24,8,0,0,1,68.75999123229685,252.86875222245152
33,19,10,0,1,1,77.21294609863206,274.1250106843926
33,22,7,0,1,1,78.02380394401446,275.4528392798111
26,22,14,0,1,1,72.39029377996405,259.6989058329312
27,15,11,1,0,1,65.10281590786362,238.28519634182257
38,23,13,1,1,1,90.00138936357274,308.27410941945027
31,18,9,0,1,1,72.99294223737367,258.74734539164905
14,28,9,0,0,1,55.66253405073795,217.9897871784429
26,22,12,0,0,1,69.37164077,255.0167115468682
36,20,13,1,0,1,84.41185824825945,292.5413224670169
41,26,12,1,0,1,96.55860248281677,329.5171693751918
30,25,10,1,0,1,78.08993942292823,276.9762933281882
25,13,7,0,0,1,56.28897151276263,211.89322541002008
31,16,8,1,0,1,68.55501544722024,246.30085156171668
51,21,8,0,1,1,103.89016632317724,348.0157261751688
16,15,8,0,0,1,46.49998883617867,184.7072027
34,16,13,0,0,1,76.76518369072903,270.0115629571622
30,15,9,0,0,1,66.74609401648289,243.84355818765624
23,18,14,0,0,1,60.83784049381912,227.77421094877897
15,10,6,0,1,1,40.56132700442549,165.14956193949035
33,10,3,0,0,1,61.78416692051091,224.3662980352352
24,29,7,1,0,1,69.8351586,258.54789452195274
32,29,8,0,0,1,82.89282598093375,291.3565554303865
26,13,13,1,1,1,64.65526726789746,235.85131127527995
43,14,12,1,0,1,88.60185308,302.3369759619208
48,14,10,0,0,1,93.04707473357632,316.0614606430002
29,13,10,0,0,1,64.22903316536912,234.4509782433978
35,15,8,1,1,1,75.95915127908653,266.2115764055406
32,26,18,1,0,1,88.71630065677098,308.6050547484197
28,21,9,1,0,1,68.52848614623394,250.4691337
40,16,10,0,1,1,83.13616762561769,291.8820343040264
41,11,7,0,1,1,78.02682927492641,271.98391186996275
33,14,8,1,1,1,68.32110720634918,249.4760748873124
29,18,16,1,0,1,76.39277323523118,272.09581463431834
20,25,14,0,0,1,67.12255381,243.7125804343957
32,18,14,0,1,1,77.26049393354452,274.45123976521734
23,21,7,1,0,1,62.740306834620014,230.56059070415344
37,24,6,1,0,1,83.78656720150305,290.8989065906269
15,11,12,0,1,1,44.374171097244194,178.49704857498838
30,10,15,0,1,1,66.31578957724531,240.7981121467986
23,24,10,1,1,1,67.71013008109699,248.16830103768007
35,9,8,0,1,1,67.81578975259436,243.60084593526472
33,20,10,0,0,1,76.89171512634047,274.1882571
37,19,11,0,1,1,84.12629689448315,289.9682749
27,20,3,0,1,1,64.30122903316222,236.2744141403008
29,19,2,1,1,1,66.04002126,239.76132940412205
38,14,8,0,1,1,77.12088887302815,269.9348953662424
26,9,12,1,0,1,57.71371963,216.03634766853904
28,13,8,1,1,1,61.14191848949832,226.49483034736016
27,4,8,0,0,1,52.31006393577552,196.68112434542635
30,20,13,1,0,1,74.81363634,266.5293487686688
40,24,14,0,1,1,95.25189123606305,324.4178876074463
21,29,5,0,0,1,62.68423408004145,232.26443368065523
34,15,10,0,0,1,73.47200997577514,262.33056886745806
36,30,13,0,1,1,94.17924776382677,323.7008372553939
33,28,10,1,1,1,88.58890090094299,307.02959385551907
15,27,6,0,1,1,54.198475406079375,209.6139723
18,19,9,1,0,1,53.767228359776986,207.05796410961065
29,14,9,1,0,1,65.10116878988111,238.63838850224408
30,19,13,1,1,1,75.84095533253824,271.0133775012255
17,17,9,0,1,1,52.11868956257148,200.2489018774653
30,10,11,0,0,1,64.16247370927535,232.86338125265956
26,26,6,1,1,1,70.19989749297513,252.4498381515404
35,18,14,0,0,1,80.22797448419551,279.88115178383265
38,7,9,0,1,1,72.32761976994838,255.21351994477303
20,28,11,1,0,1,66.96143632,246.3991297779256
31,16,6,1,0,1,69.08281751,248.13738314640736
31,23,11,1,1,1,76.84994788538773,276.41283954539193
27,31,7,1,1,1,76.97724863,275.9431370886145
25,28,8,1,0,1,72.62852119897907,262.48588803022244
29,27,8,0,1,1,79.82218945912808,278.8365336084993
18,17,11,1,1,1,54.36383744674735,206.3237297360245
30,21,11,1,1,1,73.38128949494974,264.9411660786028
42,29,8,0,1,1,98.24513219513004,333.79103538095336
18,26,11,0,0,1,61.25469211318804,230.0676098807728
18,19,11,0,0,1,54.09572978033235,210.6915796832348
33,24,14,1,1,1,85.63275018429749,297.1975556263628
17,19,14,0,0,1,53.23587187601397,206.6938525900667
37,20,10,0,1,1,82.69067957,288.62318099516955
36,7,7,1,1,1,68.89129755629189,244.7579626832336
30,23,9,0,1,1,74.48678353074291,270.6093140320235
26,24,9,1,0,1,71.50632385243536,259.47054323193765
32,22,12,1,0,1,79.88872621258444,280.3497477521851
33,19,13,0,1,1,77.88725164895739,279.42362168753056
35,20,9,1,0,1,80.71948130736904,279.3187681833288
34,17,11,0,0,1,75.25629676234213,267.0835658117665
27,27,10,1,1,1,75.16271934702725,272.14411657423494
28,18,14,1,1,1,74.09824414460759,266.2254789507584
44,20,8,1,0,1,92.30022690205324,316.18163479675104
27,10,9,0,1,1,59.51730561493194,220.4869916819792
28,20,10,1,1,1,71.07956309304258,256.3777637285229
36,13,8,1,0,1,73.76400848131598,262.56425633693084
25,21,11,0,0,1,68.08005584212475,246.56820209484184
28,10,9,1,1,1,62.70063203910388,226.33290166306335
28,24,9,1,1,1,75.25568723,268.89866882914674
34,24,10,1,1,1,84.09352030125515,294.71372953020267
30,29,16,1,1,1,87.83674434386059,305.7472325894196
26,32,14,1,1,1,83.57643291613635,296.90783386390245
37,24,10,1,0,1,84.54909282784956,297.7653558121065
33,25,12,0,1,1,86.77510032549102,297.4357962460396
27,29,10,1,0,1,77.63298556656063,276.71113212205745
30,21,11,0,0,1,73.83291767649858,265.87045837473426
20,26,4,0,0,1,59.99186355561266,224.42812718416317
29,23,15,0,0,1,76.82470236183667,276.01022697241234
21,18,8,0,1,1,56.50321717718677,217.26640023483705
29,13,16,0,1,1,69.70639041,251.5028423573108
41,20,13,1,1,1,91.14331134,315.19077318271206
24,10,9,0,1,1,52.19549863304489,201.11064256389736
30,22,12,1,1,1,78.56655431781874,279.7351867762918
31,18,10,0,0,1,71.28606239953454,253.8768784
16,22,5,1,0,1,50.37641899819519,198.3927504899572
17,25,9,0,1,1,59.35485092696674,223.0741412020752
29,16,11,0,1,1,68.77897056699616,250.73318037114663
27,21,6,0,0,1,66.08271382113311,239.18469682998284
27,24,7,1,0,1,69.68438279431933,253.3014438436854
39,23,10,0,0,1,87.75945909004543,305.75027493349893
19,31,9,1,0,1,66.09420280220104,246.1580957324574
28,11,16,1,1,1,67.95619644811892,245.23605348232604
24,16,9,1,1,1,60.82567006576864,226.2010294620243
25,14,11,1,1,1,61.10227220539944,227.66103391883092
30,18,9,1,0,1,68.71388920899668,249.62361569283308
37,20,12,0,0,1,82.87044112,291.6288451566349
42,17,10,0,1,1,88.55180961311711,302.8255398435977
39,22,7,1,1,1,85.80817799687271,301.16077305234023
21,26,8,1,0,1,65.13633470397137,240.8826443762888
31,22,13,1,0,1,76.60257397987102,273.3077261470274
23,16,2,0,1,1,51.95976527215333,200.97766804306045
35,27,11,0,1,1,88.47668124727848,305.4351282771635
32,16,12,1,1,1,76.48300305798944,269.80428176730726
31,26,7,1,0,1,77.24514098,273.0637352573343
23,35,10,0,0,1,76.96396507,276.0620582010747
27,21,14,0,0,1,69.82161001850594,254.9422716455753
42,15,11,1,1,1,87.26488748372132,299.4931286970142
35,28,15,0,0,1,90.36453769828232,315.1414153775993
36,23,8,1,0,1,79.95778321,285.19144370513374
26,16,9,0,1,1,62.54149224719969,232.3638550779945
29,22,6,1,1,1,71.88865064,257.2366142449418
38,15,4,1,0,1,75.28857308750739,265.6217511528294
35,24,8,1,1,1,81.88669880791923,290.3441623680583
24,27,13,1,1,1,72.70317310395777,264.9942918560453
38,37,11,1,0,1,102.28957156020174,348.0592440400767
47,14,8,1,0,1,89.62910784806326,305.3807216534676
34,26,12,1,1,1,86.76316193585977,303.4592127318402
31,18,9,1,1,1,72.79553281843394,262.0629867953163
6,18,7,1,0,1,34.96902538854597,153.15483161655038
23,23,12,0,1,1,67.20910837697684,248.33368623870237
25,11,14,1,1,1,62.524308152880806,229.24656362272268
26,15,9,1,1,1,63.85348634,235.08899715608004
32,32,10,0,1,1,87.55665272861621,305.40792835979966
37,19,10,0,1,1,82.88309683,289.36012978390966
29,21,8,1,1,1,73.17471206,261.8412511259068
35,24,10,0,1,1,85.25086670060826,295.79108038211393
19,29,12,1,1,1,66.49237179060299,246.4520375327512
28,16,9,1,0,1,66.12787770202857,239.5862046482481
29,10,10,0,0,1,59.80857536352888,221.7789419411704
32,9,8,0,0,1,63.64206179915419,232.47234658800247
17,21,11,1,1,1,56.88524745354947,216.9447780247013
14,26,10,0,0,1,54.25736605611785,210.0425139388196
31,14,9,1,1,1,68.57841645796583,247.57943786597755
29,18,7,1,0,1,68.52201443177701,247.67362975195985
26,31,15,1,1,1,81.49863166655385,289.4682603987882
35,25,8,1,1,1,82.42135965636014,290.2914925500798
36,21,5,1,1,1,79.50894263,280.4496295484016
41,13,8,0,1,1,80.93319247171236,282.3169235975521
42,18,10,1,1,1,89.86045961506377,309.1685576663762
