state,survey_year,rehabilitation_program,recidivism_rate,unemployment_rate,average_income,urban_state,private_prison_presence
30,9,1,55.54295712070058,3,9,1,1
31,0,0,48.24232898736056,1,10,0,1
31,1,0,46.74280855376715,1,10,0,1
31,2,0,48.991998248507215,1,10,0,1
31,3,0,46.57063602795447,1,10,0,1
31,4,0,47.94981137329643,1,10,0,1
31,5,0,50.245221877219336,1,10,0,1
31,6,1,56.85703087729069,1,10,0,1
31,7,1,54.260060892182935,1,10,0,1
31,8,1,54.356329460228295,1,10,0,1
31,9,1,55.28820899707817,1,10,0,1
32,0,0,53.15031598382321,4,13,0,1
32,1,0,51.01535045973507,4,13,0,1
32,2,0,53.243709059920086,4,13,0,1
32,3,0,50.64394973434737,4,13,0,1
32,4,0,51.10327074099634,4,13,0,1
32,5,0,52.090426977344805,4,13,0,1
32,6,0,53.36411779552341,4,13,0,1
32,7,0,50.81952022033022,4,13,0,1
32,8,0,50.52667929074674,4,13,0,1
32,9,0,51.85898323644148,4,13,0,1
33,0,0,51.41418384041442,5,12,0,1
33,1,0,48.6607902586895,5,12,0,1
33,2,0,50.81100609755313,5,12,0,1
33,3,0,49.15097287950317,5,12,0,1
33,4,0,49.75082671749336,5,12,0,1
33,5,0,51.07565705216767,5,12,0,1
33,6,0,50.89304417775428,5,12,0,1
33,7,0,47.04483720833703,5,12,0,1
33,8,1,56.27617870248036,5,12,0,1
33,9,1,56.94385100547983,5,12,0,1
34,0,0,50.96797111838138,4,6,0,0
34,1,0,50.49508666978989,4,6,0,0
34,2,0,52.73503104924334,4,6,0,0
34,3,0,50.3635835165045,4,6,0,0
34,4,0,49.65089134496679,4,6,0,0
34,5,0,51.41119701904282,4,6,0,0
34,6,0,51.41741225944367,4,6,0,0
34,7,0,50.24009306528543,4,6,0,0
34,8,0,49.71622781357247,4,6,0,0
34,9,0,49.58556409289616,4,6,0,0
35,0,0,50.457798294368615,1,5,1,0
35,1,0,49.17983978349605,1,5,1,0
35,2,0,50.88133001064887,1,5,1,0
35,3,0,48.99527581507505,1,5,1,0
35,4,1,55.136195720973966,1,5,1,0
35,5,1,58.68306499425856,1,5,1,0
35,6,1,58.54793623387272,1,5,1,0
35,7,1,52.30517832450936,1,5,1,0
35,8,1,56.63027569479401,1,5,1,0
35,9,1,54.42145902778852,1,5,1,0
36,0,0,50.08149370255887,6,11,1,0
36,1,0,49.18758751217112,6,11,1,0
36,2,0,50.85898972843819,6,11,1,0
36,3,0,49.504885557415385,6,11,1,0
36,4,0,49.56547841468522,6,11,1,0
36,5,0,49.45877350361851,6,11,1,0
36,6,0,48.80911017589175,6,11,1,0
36,7,0,47.33947388438853,6,11,1,0
36,8,1,55.95502681641477,6,11,1,0
36,9,1,57.35268616102295,6,11,1,0
37,0,0,49.70743516596501,5,12,1,1
37,1,0,48.93344262123107,5,12,1,1
37,2,0,53.14381029841932,5,12,1,1
37,3,0,49.46928342850115,5,12,1,1
37,4,0,49.426895587512426,5,12,1,1
37,5,0,50.90337891815685,5,12,1,1
37,6,0,51.308108337676735,5,12,1,1
37,7,0,48.26434094687426,5,12,1,1
37,8,0,49.5053627476218,5,12,1,1
37,9,0,48.91346328759488,5,12,1,1
38,0,0,50.52775167794008,5,8,0,1
38,1,0,48.80380902079657,5,8,0,1
38,2,0,49.10431550656763,5,8,0,1
38,3,0,47.25042321018179,5,8,0,1
38,4,0,47.47773279656245,5,8,0,1
38,5,0,47.67388021271447,5,8,0,1
38,6,0,50.014876042620834,5,8,0,1
38,7,0,47.35209951352453,5,8,0,1
38,8,1,55.12147321231241,5,8,0,1
38,9,1,55.830965922521216,5,8,0,1
39,0,0,50.52396830855739,5,10,0,0
39,1,0,47.70762786380914,5,10,0,0
39,2,0,51.05967752525916,5,10,0,0
39,3,0,50.54427572263319,5,10,0,0
39,4,0,49.69599384023552,5,10,0,0
39,5,0,50.68421339907659,5,10,0,0
39,6,0,51.92522513014785,5,10,0,0
39,7,0,48.63863469939979,5,10,0,0
39,8,0,50.20643233398032,5,10,0,0
39,9,0,50.34177631884225,5,10,0,0
40,0,0,51.5838876411694,1,8,0,1
40,1,0,48.42878876349492,1,8,0,1
40,2,0,51.290433889365055,1,8,0,1
40,3,0,47.10546848729872,1,8,0,1
40,4,0,49.97166543262448,1,8,0,1
40,5,0,53.50112291477204,1,8,0,1
40,6,0,51.794349504525975,1,8,0,1
40,7,0,48.97910743172415,1,8,0,1
40,8,0,50.829143659753456,1,8,0,1
40,9,0,50.43205047732711,1,8,0,1
41,0,0,50.70810682905132,6,7,0,1
41,1,0,48.79437265535943,6,7,0,1
41,2,0,49.79473935342895,6,7,0,1
41,3,0,47.60084698658966,6,7,0,1
41,4,0,50.578104141954746,6,7,0,1
41,5,0,50.42470611446526,6,7,0,1
41,6,0,51.26225069694271,6,7,0,1
41,7,0,47.14079386140899,6,7,0,1
41,8,0,47.16419584017432,6,7,0,1
41,9,0,51.22570222825306,6,7,0,1
42,0,0,50.2280967641148,7,16,0,0
42,1,0,47.851451890312674,7,16,0,0
42,2,0,49.84469635547615,7,16,0,0
42,3,0,48.91796489470536,7,16,0,0
42,4,0,50.04813672841449,7,16,0,0
42,5,1,57.09071464975091,7,16,0,0
42,6,1,55.88817141818529,7,16,0,0
42,7,1,53.89836530088076,7,16,0,0
42,8,1,56.0208302515711,7,16,0,0
42,9,1,54.658734660199855,7,16,0,0
43,0,0,51.4684353496464,4,10,1,1
43,1,0,47.24790542116431,4,10,1,1
43,2,0,51.91927383345568,4,10,1,1
43,3,0,47.97696625455412,4,10,1,1
43,4,0,49.25603152745295,4,10,1,1
43,5,0,49.25079398486353,4,10,1,1
43,6,0,49.82830650316144,4,10,1,1
43,7,0,47.00153757455449,4,10,1,1
43,8,0,47.38087508495293,4,10,1,1
43,9,0,49.17299819694923,4,10,1,1
44,0,0,52.60420729363474,4,9,0,1
44,1,0,50.537843628339466,4,9,0,1
44,2,0,51.81427041371924,4,9,0,1
44,3,0,51.74596204221138,4,9,0,1
44,4,0,51.0952489958327,4,9,0,1
44,5,1,57.91603462725774,4,9,0,1
44,6,1,57.46834605213437,4,9,0,1
44,7,1,55.47045076939244,4,9,0,1
44,8,1,56.04168341617943,4,9,0,1
44,9,1,57.90555910328087,4,9,0,1
45,0,0,51.56981950351051,5,7,1,1
45,1,0,48.9597571892378,5,7,1,1
45,2,0,49.95870335686938,5,7,1,1
45,3,0,49.00713178524201,5,7,1,1
45,4,0,46.7166759902306,5,7,1,1
45,5,0,50.74739020645665,5,7,1,1
45,6,0,50.368028886703904,5,7,1,1
45,7,0,47.69420793479844,5,7,1,1
45,8,0,47.86561051505731,5,7,1,1
45,9,0,51.43593925960379,5,7,1,1
46,0,0,49.03385983937908,5,9,1,1
46,1,0,49.540807479092585,5,9,1,1
46,2,0,52.34400297265719,5,9,1,1
46,3,0,49.75109319317157,5,9,1,1
46,4,1,55.62728349159961,5,9,1,1
46,5,1,57.08827844557059,5,9,1,1
46,6,1,55.78668799867651,5,9,1,1
46,7,1,53.45709562325004,5,9,1,1
46,8,1,55.65750672536819,5,9,1,1
46,9,1,54.6283080507788,5,9,1,1
47,0,0,54.24881275079469,2,11,1,1
47,1,0,52.11791351717292,2,11,1,1
47,2,1,59.55420423265375,2,11,1,1
47,3,1,56.49996473169334,2,11,1,1
47,4,1,56.78667962007082,2,11,1,1
47,5,1,59.38302139144263,2,11,1,1
47,6,1,58.64944707519828,2,11,1,1
47,7,1,55.366837014053885,2,11,1,1
47,8,1,56.64124520289739,2,11,1,1
47,9,1,58.45755475148096,2,11,1,1
48,0,0,50.13786184798467,3,7,1,1
48,1,0,47.64041558711043,3,7,1,1
48,2,0,49.76691789877423,3,7,1,1
48,3,0,47.53606600440539,3,7,1,1
48,4,0,49.93533914574346,3,7,1,1
48,5,1,56.52934857676205,3,7,1,1
48,6,1,56.12741085149264,3,7,1,1
48,7,1,54.61915465559156,3,7,1,1
48,8,1,55.78440820028768,3,7,1,1
48,9,1,53.84509943943864,3,7,1,1
49,0,0,49.78149333350167,5,8,0,1
49,1,0,47.38229249968386,5,8,0,1
49,2,0,49.46924663911758,5,8,0,1
49,3,0,46.91833217350103,5,8,0,1
49,4,0,50.84173445226166,5,8,0,1
49,5,0,47.61156129485252,5,8,0,1
49,6,0,51.38923775011999,5,8,0,1
49,7,0,49.174528930258056,5,8,0,1
49,8,0,51.16747963256564,5,8,0,1
49,9,1,54.838821951801066,5,8,0,1
50,0,0,49.27503521083744,3,6,0,1
50,1,0,48.14860364877505,3,6,0,1
50,2,0,50.27817398992804,3,6,0,1
50,3,0,48.19512285157633,3,6,0,1
50,4,0,48.42322215269331,3,6,0,1
50,5,0,51.01782427438839,3,6,0,1
50,6,0,50.596304573241056,3,6,0,1
50,7,0,48.28903250804407,3,6,0,1
50,8,0,49.98645616894947,3,6,0,1
50,9,0,48.914266529284326,3,6,0,1
51,0,0,48.96842709343619,3,9,0,0
51,1,0,46.97982330552219,3,9,0,0
51,2,0,48.44083539241937,3,9,0,0
51,3,0,48.78398606609756,3,9,0,0
51,4,0,48.22835287592135,3,9,0,0
51,5,0,50.235534473602776,3,9,0,0
51,6,1,56.79160875274447,3,9,0,0
51,7,1,52.13994219609955,3,9,0,0
51,8,1,53.49337620775158,3,9,0,0
51,9,1,55.54804685174874,3,9,0,0
52,0,0,50.68997341057396,4,8,0,1
52,1,0,48.0824624866042,4,8,0,1
52,2,0,50.87289348978235,4,8,0,1
52,3,0,49.28086929498279,4,8,0,1
52,4,0,50.97407578065994,4,8,0,1
52,5,0,50.97094125638797,4,8,0,1
52,6,1,55.60769115062725,4,8,0,1
52,7,1,53.31711929937252,4,8,0,1
52,8,1,56.58704126883409,4,8,0,1
52,9,1,56.124403115571646,4,8,0,1
53,0,0,51.52922600984853,5,10,1,1
53,1,0,48.95768733820493,5,10,1,1
53,2,0,51.89043011990777,5,10,1,1
53,3,1,54.53811887439062,5,10,1,1
53,4,1,55.96685412711143,5,10,1,1
53,5,1,55.8789870752928,5,10,1,1
53,6,1,58.70916906506519,5,10,1,1
53,7,1,53.024130025335424,5,10,1,1
53,8,1,55.49616951861401,5,10,1,1
53,9,1,57.0349749536641,5,10,1,1
54,0,0,49.83699768917253,6,9,0,1
54,1,1,52.65154588265084,6,9,0,1
54,2,1,55.165473124301606,6,9,0,1
54,3,1,54.29087845914712,6,9,0,1
54,4,1,55.58293369212482,6,9,0,1
54,5,1,55.65921711607525,6,9,0,1
54,6,1,56.45948902198991,6,9,0,1
54,7,1,54.8680986770848,6,9,0,1
54,8,1,55.019586054905965,6,9,0,1
54,9,1,54.65282162760288,6,9,0,1
55,0,0,50.56462927246316,5,8,1,0
55,1,0,48.69966185912235,5,8,1,0
55,2,0,48.46604284195966,5,8,1,0
55,3,0,48.60617581720601,5,8,1,0
55,4,0,48.83018989560512,5,8,1,0
55,5,0,51.92093783705389,5,8,1,0
55,6,0,49.20418485161751,5,8,1,0
55,7,0,49.592525537322906,5,8,1,0
55,8,0,49.05533863181578,5,8,1,0
55,9,0,50.20657486279173,5,8,1,0
56,0,0,52.07016185331404,4,9,0,1
56,1,0,51.90387400623169,4,9,0,1
56,2,0,53.58013848041444,4,9,0,1
56,3,0,52.17992412996367,4,9,0,1
56,4,0,51.85787025926974,4,9,0,1
56,5,0,51.251148833467305,4,9,0,1
56,6,0,54.66370423511755,4,9,0,1
56,7,0,49.527292069283625,4,9,0,1
56,8,0,53.63295012151493,4,9,0,1
56,9,0,52.20484527647326,4,9,0,1
57,0,0,52.88131907671939,1,12,0,0
57,1,1,55.06118095471162,1,12,0,0
57,2,1,58.08938062080792,1,12,0,0
57,3,1,57.19250663023163,1,12,0,0
57,4,1,57.090484616052265,1,12,0,0
57,5,1,58.135952609942265,1,12,0,0
57,6,1,57.04144076087023,1,12,0,0
57,7,1,56.89774183882793,1,12,0,0
57,8,1,58.05452233921352,1,12,0,0
57,9,1,57.233472434617525,1,12,0,0
58,0,0,51.378109706344944,7,7,0,0
58,1,0,48.00573885947156,7,7,0,0
58,2,0,50.389485812883954,7,7,0,0
58,3,0,48.58275242357082,7,7,0,0
58,4,0,49.99965863626853,7,7,0,0
58,5,0,51.85249614526418,7,7,0,0
58,6,0,52.075021964412,7,7,0,0
58,7,0,48.44149715972205,7,7,0,0
58,8,0,48.88292662632502,7,7,0,0
58,9,0,48.291524377075966,7,7,0,0
59,0,0,49.94221693393752,4,6,1,1
59,1,0,49.65740324488552,4,6,1,1
59,2,0,51.491722863870784,4,6,1,1
59,3,0,48.966904357622525,4,6,1,1
59,4,0,51.05686654371812,4,6,1,1
59,5,0,52.07506105819028,4,6,1,1
59,6,0,51.714322691663845,4,6,1,1
59,7,0,49.06561282676807,4,6,1,1
59,8,0,49.36142723990552,4,6,1,1
59,9,0,51.54162338834109,4,6,1,1
60,0,0,52.65881999348818,4,4,0,1
60,1,0,49.52917715044439,4,4,0,1
60,2,0,52.65105354213187,4,4,0,1
60,3,0,49.61780276807276,4,4,0,1
60,4,0,50.09527030409718,4,4,0,1
60,5,0,51.83263097507787,4,4,0,1
60,6,0,51.72277062341576,4,4,0,1
60,7,0,48.593098955317714,4,4,0,1
60,8,0,49.64824477258789,4,4,0,1
60,9,1,56.887549149602606,4,4,0,1
61,0,0,51.45177708095096,4,6,0,0
61,1,0,50.8961765547672,4,6,0,0
61,2,0,52.24389567096231,4,6,0,0
61,3,0,50.43878667841473,4,6,0,0
61,4,0,50.32082898717132,4,6,0,0
61,5,0,53.23699527224901,4,6,0,0
61,6,0,50.591705820040026,4,6,0,0
61,7,0,49.68655534738205,4,6,0,0
61,8,1,54.43424814804198,4,6,0,0
61,9,1,57.79795194649043,4,6,0,0
62,0,0,51.752589539457965,0,8,1,1
62,1,0,48.47753953790881,0,8,1,1
62,2,0,51.527840298921376,0,8,1,1
62,3,0,49.949969085985146,0,8,1,1
62,4,0,51.84395833086274,0,8,1,1
62,5,0,51.86936884643605,0,8,1,1
62,6,0,52.75853838444566,0,8,1,1
62,7,0,50.40706870087173,0,8,1,1
62,8,0,50.289066002521714,0,8,1,1
62,9,0,50.58478762763251,0,8,1,1
63,0,0,51.67486734792277,7,11,1,1
63,1,0,50.66472141748191,7,11,1,1
63,2,0,52.62714796401124,7,11,1,1
63,3,0,50.31419793341852,7,11,1,1
63,4,0,50.42259714807639,7,11,1,1
63,5,1,59.19488416336431,7,11,1,1
63,6,1,58.79578901421446,7,11,1,1
63,7,1,55.51970101422409,7,11,1,1
63,8,1,57.5167319397728,7,11,1,1
63,9,1,55.847083769545016,7,11,1,1
64,0,0,50.14894577192892,4,11,0,0
64,1,0,49.285140659787615,4,11,0,0
