age,income_level,education_years,household_size,is_homeowner,has_unemployed_member,received_government_benefits,tax_credit_received,annual_spending
25,25,4,12,0,1,1,1,81.15226154949039
17,25,6,14,1,1,0,1,81.66278307162567
34,29,3,16,0,0,0,1,88.49977426199072
-2,22,9,15,1,1,0,0,78.26628392193962
14,19,6,23,0,1,0,1,85.62594758460833
16,14,1,19,1,1,0,1,78.71160134102902
13,26,4,10,0,0,0,0,75.40947744653285
10,22,8,16,0,0,0,0,77.69931852075544
30,25,7,17,1,0,1,0,83.02162098706566
36,23,6,7,0,0,1,1,77.40836223106265
11,25,7,16,0,1,1,0,80.6755399280751
27,24,4,11,1,0,1,0,76.21892962709256
12,31,6,10,0,1,1,0,77.59908137803058
31,20,8,24,1,1,0,0,87.39944629518385
29,21,6,15,0,1,0,0,80.48601073107692
25,27,7,10,0,1,1,1,82.12945224961851
23,24,4,9,1,0,1,0,74.33054352675677
10,23,6,20,0,0,1,1,83.86932014282736
14,24,8,21,1,0,1,0,82.00179977586737
30,21,4,13,1,0,0,0,78.94254451905533
6,26,11,11,0,1,0,0,78.37291742719451
12,20,8,12,0,1,0,1,75.83518627503871
35,18,3,16,0,1,0,0,78.8604516753181
18,29,4,27,1,0,0,0,89.08801736737904
29,28,4,15,0,0,1,0,84.79656134529938
25,29,8,13,0,0,1,1,84.37159796733047
26,26,5,18,0,0,0,0,83.28923718911817
26,32,6,18,0,0,0,0,85.25713091043234
39,21,1,21,0,0,0,1,84.08353811900052
16,22,3,16,0,0,1,0,78.27757514610079
29,19,7,11,0,0,0,1,76.29339187918863
19,23,9,14,0,0,0,1,82.80427101626915
41,26,4,23,0,0,0,1,90.85314277702705
31,25,1,17,0,0,0,1,83.69025727364529
28,25,5,8,0,1,0,0,74.52582072578993
13,17,7,8,0,1,0,1,71.50420644843945
44,17,6,9,1,1,0,1,76.16528255194928
26,33,9,25,0,0,1,0,93.7291139308675
20,19,9,14,0,1,1,1,81.79674504417993
27,23,4,15,1,1,0,0,79.84994947786177
16,24,3,18,1,0,0,0,80.14504356913851
17,28,6,20,1,1,0,0,86.55388680394591
12,19,7,14,0,1,0,0,78.25716833679004
39,26,4,20,1,0,0,0,86.27453529831264
24,21,2,12,1,0,1,0,72.50678458754227
20,26,3,20,0,0,1,0,84.81078828185929
30,27,10,15,1,0,0,0,82.81872340678024
14,14,5,14,0,1,0,1,75.06775793534298
16,22,5,16,1,0,0,0,77.4498431238247
27,19,6,16,1,0,0,0,78.28678710550658
34,24,10,19,0,1,0,0,84.81649415520515
25,23,9,17,0,0,1,1,86.23733788349452
0,20,8,18,1,0,1,1,81.56953323708203
22,25,6,15,0,1,1,0,80.36770953146852
37,21,9,15,0,0,0,0,78.77028577363401
36,25,3,11,0,0,1,1,80.41430515563654
31,24,5,16,0,0,0,0,81.40452529700374
17,22,9,12,0,1,0,0,78.14678241933065
8,23,1,20,0,0,0,0,78.44561685061527
25,32,4,21,1,0,1,0,88.28550477932218
25,26,4,24,1,0,0,1,90.4274024944879
30,21,6,8,1,0,1,1,76.14872899243149
11,27,8,11,0,1,0,1,78.51922050231367
24,24,3,15,0,0,1,1,81.91711470113424
29,24,6,11,0,0,0,1,80.88073026530162
12,23,6,11,0,1,1,0,75.49903411494685
31,24,1,11,0,0,0,0,73.46772646753949
25,22,2,22,1,0,0,0,83.78225140474373
32,16,7,21,0,0,0,0,83.26790561264025
32,17,3,14,0,0,0,1,75.03077118556007
39,17,6,18,0,0,0,0,81.03349735520503
28,22,7,13,0,0,1,0,78.18903090663095
23,27,3,18,1,0,0,0,82.63873694575086
40,29,6,15,0,1,0,1,87.62204208962369
23,24,6,11,0,0,0,1,79.35354806577763
43,27,11,22,0,0,0,1,94.32202870070282
15,24,6,13,0,0,1,1,78.9609301880101
21,27,11,20,1,0,1,0,87.27967045711792
16,25,6,15,1,0,0,1,81.74368859465834
28,22,6,20,1,0,0,0,84.12200166632263
33,20,4,7,1,0,1,1,75.46686886144849
8,28,5,12,0,1,0,1,80.65228442712683
29,27,2,10,0,0,0,1,79.47494305575636
16,24,5,10,0,1,1,1,79.75482486437464
24,18,10,8,1,0,1,1,74.74306177084641
27,19,4,13,1,0,0,1,78.43478712329775
17,26,3,17,0,0,0,1,83.46150125861854
51,23,0,11,1,0,0,0,76.29595356431307
29,28,3,13,1,0,0,0,78.88202931893669
8,26,5,11,0,1,0,0,75.97885537738557
36,25,6,17,1,1,0,1,86.3273996485609
28,18,4,10,1,0,1,1,74.9575201742318
0,27,5,16,0,0,0,1,79.42657024547417
27,23,6,25,0,0,1,1,89.78013375454408
19,22,9,16,1,0,0,0,78.46845242728276
35,19,6,7,0,0,0,1,74.98619628537686
10,25,6,2,0,0,0,0,66.88624176485841
19,18,5,13,1,0,0,1,76.14306623810224
33,26,5,24,0,0,1,0,89.98167454557998
34,21,4,9,0,1,0,0,73.62898835068765
23,23,8,15,1,1,0,0,81.55718723933569
22,21,8,16,0,1,0,1,81.9928842372898
35,22,6,21,0,0,1,1,88.65426535292846
24,13,4,14,1,0,1,1,74.51156632735186
19,21,6,21,1,1,0,1,85.42288225454071
19,27,9,20,1,0,1,1,87.67415320135795
25,19,4,20,0,1,1,1,85.13390111560547
23,23,5,22,1,0,0,1,86.86336899368636
16,26,5,14,0,0,0,0,79.39183614519219
30,20,5,14,0,0,1,0,76.7002602827659
21,18,6,18,0,0,1,0,79.36746375200875
12,21,10,16,1,0,0,1,80.73596834561204
27,35,11,11,1,1,0,0,84.66193343467235
7,24,4,14,0,1,0,0,76.91920269650551
0,18,8,18,0,0,1,1,79.53211466478399
15,18,6,20,0,1,0,0,82.0466446823501
34,24,6,21,0,0,1,0,85.18632757832313
35,26,6,14,0,0,0,1,81.56963432305392
25,19,5,13,0,0,0,0,74.58264201526335
12,20,9,11,1,1,0,1,75.39353965829679
38,21,6,20,0,0,0,1,85.98456484911367
22,25,3,19,0,1,1,0,83.53267892913819
48,21,5,16,0,1,0,1,85.26624076318309
36,22,6,13,1,0,1,0,79.49762183651858
18,23,6,18,0,0,1,0,80.88943149924532
23,25,5,10,0,0,1,0,76.52696646991986
35,12,3,16,0,0,1,1,78.4464696732325
32,28,-1,12,0,0,0,1,79.3381671481894
18,25,7,18,0,1,0,1,87.68355608742257
37,26,4,14,0,0,0,0,80.65129971740949
17,33,7,23,1,1,0,1,94.72757873957124
17,26,6,17,1,1,0,0,81.16756591106383
29,22,6,16,0,0,0,0,81.68988668808704
20,20,2,16,1,0,0,1,78.95821167435942
17,19,7,14,0,0,0,1,78.69208971877651
25,21,5,13,0,0,0,1,79.32138503496773
22,28,5,15,1,1,1,1,85.35901790930004
3,19,11,19,1,1,0,0,81.28050966931752
16,27,6,16,0,0,0,0,81.20123718203276
21,19,8,20,0,1,1,1,84.77111036197864
27,20,4,23,1,1,1,1,87.79030409306249
45,14,6,20,0,0,1,1,84.40339929031899
37,27,9,10,1,0,1,1,83.07115031116575
30,23,3,24,1,0,0,1,89.3693443909775
28,30,5,18,0,0,1,0,86.13134730869982
31,14,6,15,0,0,0,0,74.98677826384034
21,24,7,24,0,0,0,1,88.36627759631305
27,30,6,18,0,1,0,1,89.40235622172614
19,25,4,19,1,1,0,1,85.86640783679728
19,30,6,10,0,1,0,0,78.11737801916038
37,27,4,21,0,0,1,0,87.57704700583587
25,25,6,19,0,1,0,1,88.06684383639275
7,23,2,10,0,1,0,0,72.14407183123485
25,23,5,19,0,1,0,1,86.35470828702013
31,25,4,18,0,1,0,1,87.3433850931536
15,22,7,16,0,0,1,0,80.42043270433646
27,25,9,20,0,0,0,0,86.77152611317216
31,24,2,13,1,1,0,0,78.5781311807459
19,23,8,15,0,0,1,1,82.26904132916681
25,24,8,11,1,0,1,1,80.52586785729333
39,24,5,12,1,0,1,0,77.43760593886677
35,22,6,15,0,1,0,1,79.65160817084885
26,29,7,14,0,0,0,1,85.98797733242044
26,24,10,1,0,0,0,1,71.96727024650168
22,24,6,20,0,1,0,1,86.51847356006937
15,18,6,12,0,1,0,1,77.7173963595048
40,24,5,9,0,0,0,0,77.54762458770526
24,21,7,11,0,1,0,0,76.49982347029959
29,23,7,7,0,0,0,0,72.34336539062201
37,23,5,15,0,0,0,0,80.47526267140506
29,19,1,11,0,1,0,0,73.47656482428637
9,25,0,9,1,0,0,1,74.45387444109394
32,21,9,16,1,0,1,0,80.99679902828173
25,24,2,19,1,1,1,1,84.38331353639511
16,16,7,14,0,1,0,0,73.63170520663807
20,24,9,15,0,1,1,1,82.85145054289022
18,23,5,20,0,0,0,1,85.49113166196997
23,23,11,16,1,1,1,1,85.95180885050955
14,23,2,20,0,1,0,0,81.93695086143462
39,24,5,17,1,0,0,0,81.07806836030011
32,24,8,11,1,1,0,1,81.21358802701664
18,29,3,15,0,1,0,1,83.22164150967455
11,24,6,15,1,1,1,0,78.54581891707488
8,24,8,19,0,1,0,0,81.30786440109769
42,24,8,11,1,1,0,0,78.23338683711931
29,21,8,12,1,0,0,1,80.13336140901387
15,30,4,12,1,0,0,1,81.33155044656878
22,20,3,12,1,1,0,0,76.28668558650003
20,20,8,17,0,0,1,1,81.46818499945884
14,24,4,15,1,0,1,0,78.2649661555696
15,17,5,11,0,0,0,0,70.17712419515115
28,27,8,15,0,0,1,0,81.70243011402832
32,18,7,21,1,1,1,0,86.28439000042502
39,29,2,27,0,0,1,0,92.32082596347796
23,22,2,18,1,0,1,1,82.00313116971621
34,21,5,11,0,1,0,0,76.2006164139532
17,25,2,22,0,0,0,1,86.29712281733897
31,23,10,16,0,1,0,1,85.28493918569676
25,21,6,6,0,0,1,0,71.77852196820382
10,33,1,17,1,0,0,0,82.14229770541627
9,30,8,11,0,0,0,1,81.17643575748423
37,26,8,21,1,0,0,1,90.4658298363436
31,27,6,21,0,1,0,0,87.99266853445307
23,26,8,17,1,0,1,1,85.2651699165194
31,31,4,15,1,0,0,0,84.34698217505242
35,22,5,19,0,0,0,0,83.0318203537469
25,30,6,11,1,1,1,0,81.53995692450046
27,19,9,9,1,1,0,1,76.97012885096773
34,18,7,14,0,0,1,1,79.12772580774407
32,25,11,11,1,0,0,0,77.96983719857224
14,27,3,23,0,0,1,0,84.89180758594195
34,26,5,10,0,0,0,0,78.04281176455925
23,24,8,13,1,0,0,1,81.79661367389423
13,19,7,19,1,0,0,0,82.27404659821191
34,29,4,17,1,1,0,1,87.8065630093702
23,17,6,18,0,0,0,0,79.34295942918794
2,20,4,11,0,0,1,0,71.13266828604857
24,27,9,10,0,0,1,1,81.16648259913076
35,26,5,8,1,0,1,1,78.79454932730197
37,23,4,8,0,0,1,0,73.9732170313147
13,29,6,18,0,1,1,0,84.01940302842955
37,25,5,12,0,0,0,1,81.34374221008781
33,27,4,14,0,0,1,0,81.4339364998817
27,26,4,13,0,0,1,0,80.52253665253343
15,28,2,10,0,0,0,1,78.4536739146561
42,26,3,19,1,0,0,0,86.25700376941846
16,30,5,22,0,0,0,1,89.92595341691334
9,21,5,14,1,1,0,0,77.27592999013102
38,20,7,12,0,0,0,0,75.53315882001272
24,29,4,8,0,0,0,0,76.89088315012864
25,20,2,12,1,1,1,1,77.12035495029582
10,20,5,7,1,0,0,0,69.4102113134178
35,31,6,13,1,0,0,1,86.91052399521413
27,24,2,23,1,1,0,0,85.68923331631895
36,24,5,14,1,0,1,1,84.51893178606274
39,25,7,21,0,1,0,0,86.29018442600498
34,27,5,20,0,0,0,0,87.46041907236499
32,24,6,7,0,0,1,0,75.39718423049273
8,21,5,8,1,0,1,1,71.6339908220684
15,18,8,16,0,0,0,0,76.74688509184202
18,18,4,21,0,0,1,1,84.09377799844214
24,19,5,13,0,0,0,0,73.89729694213376
17,19,6,15,1,0,0,0,74.86604599117183
17,25,5,26,0,0,0,0,88.19034888796101
36,16,5,14,0,0,0,1,79.19952810159977
16,23,5,19,1,0,1,1,84.49121378891688
17,26,6,18,0,1,1,1,86.78256521598708
26,24,6,16,0,0,1,1,83.71593066701718
23,21,6,12,1,1,1,1,80.67529325991488
20,32,4,12,1,0,1,1,81.52418173341121
38,20,7,14,0,0,0,1,81.80717821311579
20,21,2,14,0,1,1,1,78.01460200435338
22,23,5,11,0,1,1,1,79.60698585281698
19,25,7,11,1,1,0,1,79.64274922529461
22,22,8,9,1,0,0,0,73.02714568817522
19,20,3,19,0,0,0,0,77.84711716090057
12,26,2,21,0,1,0,0,85.34310937674093
26,23,5,21,0,0,1,1,87.431435082513
28,25,5,22,1,0,1,0,86.05250272850513
12,20,2,11,1,0,0,1,73.42276391079395
28,30,4,13,0,0,0,0,80.65705336860775
28,25,1,13,0,0,0,1,79.56862141291388
29,19,6,10,0,0,0,1,76.16345372842383
39,20,6,22,0,0,0,0,85.6288815321688
22,23,7,18,0,0,0,1,83.27684779947684
18,26,2,14,0,1,1,1,82.68668556228482
28,25,8,12,1,0,0,1,82.29336090064783
32,20,4,10,0,0,0,0,73.51794289003871
23,21,6,11,1,1,1,1,79.54881125670993
40,23,5,7,0,0,0,1,76.95879887415595
22,22,4,14,0,0,0,1,79.80369779847666
20,21,7,18,0,0,1,1,83.15876194487092
44,27,6,11,0,0,1,1,84.45114841844317
30,24,7,13,0,0,1,1,81.73712152876242
21,33,8,12,0,0,0,0,81.07160414834736
27,22,2,15,1,0,0,0,78.0363859880564
22,14,7,21,0,0,0,0,78.53098910091254
19,28,8,23,0,0,0,0,87.17446754802545
31,26,9,11,1,1,0,1,84.4269467829828
26,27,6,8,0,1,0,0,76.52665996998168
20,24,12,11,1,0,0,1,81.01590819919251
31,25,5,7,0,0,1,1,77.38062596604368
29,24,9,16,0,0,0,0,82.96012977328375
16,29,2,20,0,0,0,0,84.18114762412843
17,20,9,14,0,1,0,1,79.95421927729612
32,31,0,18,0,1,0,0,85.74847787248854
20,18,0,7,0,1,0,0,68.32934448199781
21,24,2,19,1,1,0,0,81.18228332267078
30,32,0,22,0,1,0,1,93.17520221136196
20,23,4,15,0,0,0,0,76.90538124979525
43,28,4,13,0,1,0,1,86.89058186047757
16,20,4,15,1,0,0,0,76.52009806089852
13,28,7,8,0,1,0,0,77.1418022808632
19,20,4,16,0,1,1,0,77.94678518824688
26,21,2,17,1,0,0,1,80.96374971411456
10,19,9,14,1,1,1,0,74.85474547761895
28,27,5,16,0,0,1,0,81.12562842371129
13,29,2,25,1,0,1,0,88.07248456223877
33,22,8,6,0,0,1,0,73.79697315766862
37,21,1,22,0,0,0,0,83.38047381606299
8,20,3,23,0,0,0,0,79.78147233841342
13,21,6,12,1,1,0,1,78.39558528750693
19,21,4,8,0,0,0,0,68.38594717531726
23,21,4,17,0,0,0,0,79.23710832238493
25,24,6,17,0,0,0,1,83.10011285321255
31,27,10,13,1,0,0,0,81.24784334246054
33,20,7,19,0,0,0,1,83.87802817374383
24,23,8,16,0,1,0,1,83.96327859022459
24,21,5,19,0,0,1,0,79.66769491437128
25,30,8,13,0,0,1,1,85.14074530038337
19,24,5,24,0,0,1,1,88.99589845257971
31,14,7,22,0,0,1,0,83.09608905755873
29,22,7,17,0,1,1,1,83.45321690823381
19,18,7,8,1,0,1,0,70.221611555548
26,22,7,19,1,1,0,0,83.46137091921214
19,20,4,17,1,1,0,0,77.76276900068399
22,17,6,12,0,1,0,0,72.49855234164005
27,25,5,23,0,1,0,1,90.55072249449093
24,24,4,21,0,0,0,0,83.95893889774497
31,22,5,20,0,1,0,1,86.23732432327272
24,21,4,23,1,0,1,1,87.05165439203972
29,26,6,17,0,0,0,0,81.68667661100334
40,22,1,10,1,0,1,1,80.061021123616
25,21,6,14,1,0,1,0,76.7105983709912
12,17,5,6,1,0,1,0,69.19896955199125
23,23,4,9,0,0,1,0,73.59798119212789
47,18,0,14,1,0,0,1,78.7408451946439
16,25,7,25,0,1,0,0,89.18214413550636
24,18,7,13,0,0,1,1,78.13770786622904
28,27,6,16,1,0,0,1,84.80122807417666
26,21,8,17,0,1,0,1,85.86382840680469
49,21,8,13,1,0,0,1,82.14750213613127
28,26,6,19,1,1,0,1,87.44722584150139
30,23,7,17,1,0,1,1,85.45695233964334
24,19,3,16,1,0,0,1,78.09224365408576
27,24,1,15,0,1,1,1,81.73190754794409
10,22,3,17,0,0,1,0,77.22552652136402
29,21,3,11,1,1,0,0,74.17715457254337
18,26,4,15,0,0,1,1,82.17491374893564
41,27,5,19,0,0,1,0,85.94103320186393
24,26,7,15,0,0,0,1,83.29620202865483
19,25,3,27,1,0,1,1,91.01683620729683
18,21,4,18,1,1,0,1,82.6332353402808
35,19,5,9,1,1,0,1,77.70111612132355
5,28,3,12,1,1,0,1,79.32004882476862
10,24,7,13,1,0,1,0,74.97143262496269
15,28,6,10,0,1,0,1,81.67177001586612
24,31,4,19,1,1,1,1,90.34485351731048
22,25,4,12,0,0,1,1,78.19217870526573
23,20,5,8,0,1,0,0,70.64795088537598
23,21,6,14,0,1,1,1,81.71428712432501
35,22,6,19,0,0,0,1,86.05856765330742
40,21,8,20,1,1,1,1,89.5612204114767
25,22,9,16,0,0,0,0,80.47487666134394
18,26,6,14,0,1,0,1,81.96759469132743
31,26,1,11,0,1,0,0,75.28930055323194
9,26,5,12,0,0,0,0,75.28454040087614
24,30,5,13,0,1,0,1,82.69398390876415
32,26,9,17,0,0,0,0,83.6322143688392
15,24,3,10,0,1,1,0,75.89319043008408
18,22,5,19,1,0,0,1,84.95529430129552
22,23,10,23,0,1,0,1,91.85015986628277
30,15,7,14,0,1,0,1,79.06479550807973
13,23,9,17,0,0,1,1,84.32119626534052
26,27,5,21,0,0,0,0,85.82388177960499
21,26,5,14,0,0,0,1,80.6716770195662
16,22,5,10,1,0,0,0,71.17610078025449
29,32,6,18,0,1,0,1,87.77139041969468
38,16,8,19,0,1,1,1,85.97492990027811
12,20,2,21,0,0,1,0,79.62721461059684
17,31,5,8,0,0,0,1,78.98789019085758
28,20,5,16,0,0,0,0,78.00494586170137
11,25,3,14,0,0,1,1,80.76493229566452
29,25,11,18,1,0,1,1,90.92705862520825
26,25,7,5,0,1,1,1,77.25582732170831
10,22,7,13,0,1,0,1,79.36360553262872
13,19,7,18,0,0,1,0,79.22460417034384
31,21,8,14,1,1,0,0,78.46612084992807
27,27,11,14,0,1,1,0,83.78153787493055
37,28,4,16,0,0,1,1,87.4025569307925
18,25,5,17,1,1,0,1,84.26468958788655
27,23,5,11,0,0,1,1,77.7806652129188
27,21,7,15,0,1,0,0,79.50162458180549
26,18,8,17,1,0,0,0,79.54232126217516
20,22,5,11,1,0,1,0,73.82388581753487
32,26,8,17,0,0,1,0,84.57641441073706
24,25,4,15,1,0,0,0,79.82018653873438
33,22,0,21,0,0,0,1,86.14605511600156
17,26,6,14,1,0,1,0,79.40268903048867
45,24,5,15,0,1,0,1,85.55268871905538
38,20,5,18,1,0,0,0,82.33764238444667
13,24,7,15,0,0,0,1,80.98984656881663
32,26,11,21,1,0,0,1,90.26124583024978
37,26,5,13,1,0,1,0,80.99193329238108
18,26,9,14,0,0,0,0,79.8176912127062
35,21,8,16,0,0,0,1,83.53246106200154
34,17,6,14,0,1,0,0,75.89446836922309
39,19,6,22,1,1,0,1,88.40956868820523
47,22,7,9,0,1,1,0,79.7175267454151
27,20,7,19,0,1,0,1,84.6339557807065
23,22,6,14,0,1,1,1,81.20943594823294
19,27,6,1,0,1,0,1,71.08835889422237
27,19,7,16,0,1,1,1,81.74668514172616
27,26,11,17,0,0,0,1,86.80954151248686
15,28,8,22,1,0,0,0,86.6853160104
34,22,7,17,1,1,0,1,84.97048856173514
16,24,9,11,0,0,1,1,79.34818581119784
29,27,7,5,1,0,0,1,76.72427837379732
15,19,6,15,0,1,0,1,78.93657041506688
20,28,6,20,0,1,1,1,88.56914289103153
31,17,5,8,1,0,0,1,72.91380098048397
15,20,6,16,0,1,0,0,80.10247544015446
16,23,5,7,0,0,0,0,73.25943105178555
26,22,6,13,1,1,0,0,78.70992054468044
16,19,4,19,0,0,0,0,77.63612187277482
33,22,8,14,0,0,1,0,80.21109376022615
20,22,4,18,0,0,0,1,82.0292967801438
42,26,5,20,0,0,0,1,89.1203791678889
15,24,1,19,1,1,0,1,81.85442033879255
16,19,4,26,0,0,0,1,86.04873465426522
24,18,3,12,0,0,0,1,76.00654636326043
22,21,4,13,1,1,0,1,79.65774677781059
18,21,10,19,0,1,0,0,82.30440689756793
25,23,6,16,0,1,0,1,82.5409184346
32,25,7,20,1,0,0,0,86.39922379899858
17,28,4,3,0,0,0,1,73.6511627853959
23,20,1,13,1,1,0,0,74.35409587113476
15,26,7,9,0,1,1,1,79.1321047022735
29,23,8,16,0,0,0,0,81.99497621910126
18,26,6,14,0,1,0,1,78.44078442801187
12,22,6,15,1,0,0,1,79.56258342678709
18,20,3,17,0,1,0,0,78.4059959791043
7,25,3,11,0,0,0,0,74.97048201133043
17,29,11,17,0,1,1,1,88.04386068811925
26,30,10,19,1,0,0,1,87.90093067266304
25,23,3,15,0,1,0,1,82.4656949069703
29,28,2,10,0,0,1,0,75.87763770727241
27,23,4,12,0,1,0,0,76.16390450387453
