education_years,age,previous_income,weekly_hours_worked,gender,union_membership,minority_status,local_unemployment_rate,training_intensity,annual_income
12,29,11,14,1,0,0,6,49,146.62253763617545
10,28,10,11,1,0,0,9,48,142.10280858866864
12,30,7,15,1,1,0,8,45,133.25166579108958
5,30,2,11,1,1,0,11,48,143.13458054743688
5,29,9,14,0,1,1,9,44,127.10871895899584
13,34,9,14,0,1,1,10,49,140.8632596666675
12,31,8,12,0,0,1,8,47,138.24538190733156
4,29,12,15,1,0,0,8,46,134.057511914618
8,29,9,19,0,1,0,7,45,127.8591819749374
10,29,15,11,0,1,0,11,52,150.21811654378246
3,30,11,14,1,1,1,10,49,139.2106839795887
13,31,6,11,1,0,1,8,47,139.84767532984964
10,30,3,13,1,0,0,7,42,125.2512776343243
7,28,4,16,1,1,1,10,44,130.00944928029284
9,26,3,14,1,0,1,10,45,135.49698685411485
10,29,12,14,1,0,1,8,49,142.30157915045947
10,34,6,8,1,0,1,10,50,146.8251568823833
9,32,10,15,0,0,0,7,45,131.19978187904113
9,28,7,14,1,0,0,11,46,135.38821675746257
9,26,8,15,0,1,0,9,43,127.39603414690094
9,35,5,13,0,0,1,9,49,140.3674619074138
5,29,3,13,0,1,1,10,44,131.2105462078674
11,34,4,8,1,1,0,9,49,145.63593316010852
11,29,6,12,0,0,0,4,45,133.96638102538796
5,31,5,10,1,1,1,9,46,137.46719224036326
12,29,8,11,0,1,0,11,50,146.23115608176627
10,32,3,12,1,1,1,9,45,131.86787047961565
8,31,13,10,1,0,1,11,50,143.52751926654057
11,31,8,12,0,1,0,9,48,140.2746789590986
13,30,5,9,0,0,0,8,48,142.01613791160787
11,30,3,12,1,1,1,7,41,122.5585703346539
9,30,7,12,0,1,1,12,50,146.71150545173415
11,33,3,9,0,1,0,13,47,136.04325763215255
8,30,8,10,0,1,0,10,47,138.22280743408564
8,28,9,11,1,1,0,8,49,145.74110243488667
12,23,10,16,1,1,0,10,46,136.57811796899435
10,31,8,16,1,1,1,12,49,138.90504127018485
12,34,6,17,0,1,1,8,47,133.75515848432698
12,29,10,17,0,0,0,8,45,131.59940569045713
13,31,11,12,1,0,1,6,48,142.94343548022206
6,29,11,13,0,1,0,13,49,143.49477985636724
7,30,10,12,0,1,0,10,48,137.86626215076805
4,34,7,13,1,0,0,11,47,135.71044025342223
10,30,0,15,1,0,0,11,48,142.5518174711088
10,29,8,16,1,1,1,8,45,132.53118360977422
8,26,7,13,1,1,0,12,47,138.06178925823545
12,30,6,15,1,0,1,11,45,131.23066917733397
8,32,4,16,1,0,1,6,44,129.04102453883087
12,32,14,12,0,0,1,6,49,141.10070053466205
10,31,12,14,1,1,1,12,51,145.73298696005264
12,29,4,13,1,0,0,5,44,132.6823849396031
11,36,4,13,0,0,0,9,45,127.6927662423113
16,32,8,17,1,1,0,5,46,132.85151356625096
8,35,7,14,0,1,0,7,46,131.64336001451775
9,34,11,13,1,0,0,12,52,147.85453698871171
7,29,11,16,1,0,0,11,47,138.1067323056633
8,30,9,14,0,0,1,8,46,134.18327559980142
10,33,6,17,1,1,1,10,44,122.90986091389404
11,30,6,13,0,1,0,8,47,138.6384233240408
11,30,2,10,0,0,1,8,46,138.54800200941264
10,26,4,13,0,0,1,10,47,141.8057038869045
12,29,7,17,0,1,1,9,49,140.927954950961
10,32,7,16,0,1,1,13,48,136.9263766247869
12,30,5,13,0,1,0,12,46,135.91092517678263
9,32,1,12,1,0,1,10,47,139.04705996983265
7,29,10,12,0,0,1,9,46,136.56043087251894
9,30,5,13,1,1,1,11,47,137.08980985783566
9,28,2,12,0,0,1,13,46,135.8585667372662
9,28,7,14,1,0,0,11,48,141.0161623077331
10,30,8,12,1,1,0,8,47,137.77628116026813
13,29,6,10,1,0,1,12,48,141.6774393796341
5,27,6,17,0,0,1,6,42,124.941190897207
7,36,9,14,1,0,1,11,50,142.72489892932188
4,27,6,16,0,1,0,11,46,136.92362485981533
8,30,11,12,1,0,0,11,52,155.0042245652977
13,29,9,10,0,1,0,11,52,152.13992514385913
11,32,12,16,1,1,0,6,48,137.95681515490196
12,29,7,17,1,1,1,8,46,133.5797029875454
11,31,8,13,1,0,0,11,51,148.64662716625352
8,28,13,14,1,1,0,7,49,144.7846258664839
7,36,9,10,0,0,1,9,51,146.41510589360402
8,31,10,17,1,1,1,6,43,124.68461013563584
9,32,10,17,0,0,1,10,49,140.45879110704053
6,30,4,12,1,1,0,11,44,128.99074026083795
11,32,5,14,0,1,0,9,44,125.94848129097632
15,29,5,14,1,1,1,10,47,135.7631235138153
10,31,9,13,1,0,1,16,52,148.8304138382135
9,37,7,11,1,0,1,6,48,137.98605560650716
14,25,3,16,1,1,0,6,42,129.1706938346835
10,32,11,14,1,0,0,8,50,146.59834062314928
12,26,8,12,1,0,1,11,47,139.16306205635163
9,30,7,13,1,1,1,10,49,144.56011041613743
10,32,4,12,1,0,1,12,50,147.7592964628325
10,30,5,13,1,0,1,11,51,150.67448205445336
12,30,12,14,1,0,1,10,49,142.96620015060157
15,32,9,11,1,1,1,8,48,140.69990500780895
9,31,10,16,1,0,0,7,46,132.2164807025926
8,28,6,13,0,0,0,7,45,131.891273710899
8,30,10,16,1,1,0,12,52,150.74869806969025
10,34,8,15,1,0,1,11,48,136.43380714150408
13,31,3,15,1,0,0,8,45,129.9868413272607
7,29,9,12,0,0,1,12,48,138.77476921124943
9,28,9,13,0,1,0,7,46,136.2160375201945
3,28,3,12,1,1,1,9,42,124.03587687297362
8,31,11,10,1,1,0,11,52,150.35243329031633
12,29,8,17,1,1,1,10,47,137.4321936067217
14,31,5,12,1,1,1,5,46,133.69693149960838
12,32,12,14,1,0,0,12,51,149.53587307738474
16,30,12,10,1,0,0,10,52,154.65578596492963
10,26,15,16,0,0,0,10,50,143.01995114923224
8,29,8,13,1,1,0,7,45,132.83097352291313
8,28,6,12,1,0,0,11,47,139.75338173402983
9,29,4,11,0,1,0,9,45,135.7709143117561
7,32,4,11,1,1,0,8,46,137.01526667973727
8,34,4,15,1,0,0,7,47,134.60211575478837
9,31,6,12,1,0,0,10,48,142.3073982875914
7,33,8,16,1,1,1,9,47,133.72826998530957
13,29,10,16,1,0,0,9,47,138.21895888925764
9,25,7,15,1,1,1,9,47,139.74954829542096
9,28,9,10,0,1,1,5,47,141.70669183693158
9,28,9,13,1,1,1,4,45,134.47938579964006
7,29,12,13,1,1,1,9,47,138.30916842847455
6,28,8,12,1,0,1,11,48,141.4215428654825
9,32,10,13,0,0,1,8,46,135.0385714012676
9,30,5,12,0,1,1,11,46,135.1645367064584
11,28,11,9,1,0,0,14,53,154.27599406067856
11,30,4,16,1,1,1,9,46,134.0280765315418
16,30,9,9,1,1,1,12,52,151.44637227609178
8,28,11,14,1,1,0,12,51,148.7014933843569
5,31,11,17,0,1,1,6,45,129.48244056211686
14,29,1,14,1,0,1,9,43,127.53363297462325
9,31,7,13,0,0,1,9,46,132.92458734755022
13,30,11,13,0,0,0,11,50,141.27595599864094
8,30,8,14,1,0,1,14,50,144.8186981437774
10,31,11,9,1,0,1,6,50,146.98701902790472
13,29,10,15,0,0,0,10,47,138.0721456932405
8,35,11,13,1,0,0,11,49,136.7540016324541
8,29,6,13,1,1,1,10,43,125.48082820890312
8,27,11,15,0,1,1,11,48,141.46676540526673
15,26,4,13,1,0,1,7,46,138.0341545039986
8,32,7,15,1,0,0,10,47,136.25924675214412
9,28,8,15,1,0,0,9,47,138.20229034119828
10,34,6,18,0,1,1,9,46,130.35611892552222
14,30,6,13,0,1,0,11,50,146.16671636213815
11,25,8,12,1,0,1,11,50,151.65785983108168
13,30,8,10,0,1,1,10,49,143.84546624748532
10,27,11,12,0,0,1,9,49,144.44090054473943
10,29,15,14,1,0,0,9,52,152.65548704330917
8,31,11,11,1,1,1,12,49,142.64273306596442
11,29,10,20,1,1,0,9,48,139.63385446319552
8,28,9,9,0,1,0,11,51,151.7769671131505
5,33,11,17,1,0,0,11,48,134.44180829248435
10,29,8,15,1,1,0,10,48,142.1406373157163
11,28,9,12,0,0,0,8,47,139.55497699661012
10,28,11,13,0,0,0,12,50,146.00805724770495
10,27,14,13,1,0,0,7,47,138.3266181205383
14,30,13,11,0,1,1,9,51,149.62901030134165
13,30,6,10,0,1,0,10,49,141.71169279833404
6,30,4,10,0,1,0,8,47,139.44241189000886
7,30,2,15,0,1,0,11,44,127.88519717834714
15,27,6,14,1,1,1,8,46,139.06488882794432
13,34,9,11,1,1,0,12,53,150.14109808081372
7,27,11,16,0,1,1,11,48,137.78225822248135
12,27,2,13,1,0,1,5,43,131.50667541101615
10,28,4,17,0,1,1,9,43,125.9842457231402
13,29,10,9,1,1,1,11,51,149.2935889790703
13,25,7,10,1,0,1,8,45,135.25673399851485
13,26,8,15,0,0,1,8,46,137.42600022248172
9,31,7,12,0,0,0,8,49,147.32893232543523
15,28,7,15,1,0,0,7,44,132.37984410988025
11,26,4,11,1,0,0,11,46,138.45558849764672
11,28,10,12,1,1,0,8,46,137.16506967110826
6,28,5,11,0,0,1,10,45,132.02011066478025
9,32,4,11,1,1,1,10,46,134.86799908752073
4,31,5,11,1,1,1,6,45,132.13874443351446
11,29,11,14,0,0,1,12,48,137.12648629279337
5,31,5,19,1,0,1,9,42,119.19640969803596
13,27,-2,14,1,0,0,12,45,137.8935531801
6,27,5,19,1,1,1,10,43,124.21742887647204
14,31,6,12,0,1,1,10,48,139.73498430818782
9,28,8,12,0,0,0,11,46,133.84687441437143
11,30,2,8,1,1,0,8,46,137.3583271831755
17,31,6,13,1,1,0,14,53,157.3895945479889
12,29,6,12,1,1,0,8,46,135.48401682904495
11,30,9,15,1,0,0,9,49,142.85176671945263
13,31,7,14,0,0,1,11,45,131.74714953195058
8,28,11,9,0,0,1,11,50,145.65709687700192
10,25,13,15,0,1,0,9,47,137.89073580765734
8,29,11,11,1,1,0,10,48,141.70924388683824
12,29,8,15,1,0,1,11,48,142.25728751703497
11,30,8,13,1,1,0,12,51,148.06245416542845
12,27,7,12,0,1,1,8,48,143.97072172213066
10,32,7,15,0,0,0,9,45,130.64163127116984
8,25,8,15,1,0,0,10,47,140.976065141524
8,28,8,21,1,1,1,12,44,124.75827714163218
9,31,8,11,0,0,1,5,48,140.32213106747992
6,28,7,14,0,1,0,10,45,133.9913258524711
7,26,7,12,0,0,1,7,44,130.1904841033697
9,29,7,11,0,1,0,7,45,134.2427683186752
9,33,9,10,1,0,0,12,52,152.88891755403168
12,31,8,16,0,1,1,9,49,142.4297833232365
13,27,5,15,0,0,1,9,45,135.05206857045445
10,29,12,15,0,1,1,11,49,140.7915923572995
7,27,4,18,0,1,1,9,44,128.97010757229114
12,31,5,19,0,0,0,7,42,121.87525053462842
3,30,11,16,0,0,1,10,48,137.80062066440786
10,27,7,12,1,0,1,8,47,143.21200561236913
12,33,10,15,1,1,0,12,51,145.23106405826746
10,29,7,17,1,1,1,9,45,131.133047611644
15,26,9,7,0,0,1,10,52,157.33989045453836
5,31,10,13,1,0,0,10,46,131.90376462256495
10,28,8,10,1,0,1,8,46,137.45592340603642
10,28,6,9,0,1,1,10,49,145.56859970044408
6,29,6,7,0,0,0,11,48,140.60216697403166
10,28,11,11,0,1,1,9,49,144.39302611388152
10,32,8,12,0,1,1,10,50,147.327533621527
9,26,5,14,1,1,0,9,46,137.6359820699247
9,31,7,15,1,1,0,10,46,133.47279462830036
11,32,10,11,1,1,1,8,52,153.25337309706342
10,27,9,13,1,0,0,9,46,138.10054952901362
7,33,4,13,1,1,0,11,45,129.77160678273816
6,30,11,12,0,0,0,11,49,141.75055667835167
5,29,7,11,0,0,0,6,44,130.31253632269028
9,29,11,10,1,1,0,7,48,143.22698713819844
10,32,8,18,0,1,0,9,46,128.88643084253303
9,36,7,14,0,0,1,10,48,134.75253036888793
9,28,10,9,1,0,1,8,49,145.32046735627262
3,33,4,13,1,1,1,9,46,133.25535611671995
9,31,9,15,0,0,1,6,45,129.7670803046686
10,32,9,11,1,0,0,9,50,145.5646893777113
8,32,7,8,1,1,0,8,47,139.04437433912727
12,28,6,10,0,0,1,9,45,136.0245442771227
8,29,14,10,1,0,1,9,51,149.8894222939152
7,27,4,16,0,1,0,5,42,127.17841659311536
6,27,7,11,0,1,0,11,46,135.559943517525
10,33,0,12,1,1,1,10,45,130.939986965135
8,27,9,12,0,0,1,11,47,140.4099112458122
10,28,8,12,0,1,1,9,45,134.74966448373985
13,27,12,16,0,0,1,11,47,137.8822048357858
11,28,10,15,1,0,0,8,46,134.97721035624673
9,30,4,10,0,0,1,16,49,143.9403596382432
16,25,10,13,1,1,1,10,48,144.7279118987543
8,31,5,15,1,1,1,9,46,132.00073469528152
7,30,8,14,0,1,0,8,44,129.47889712809743
11,27,9,16,1,1,1,7,46,135.3295517819682
8,29,0,10,1,0,0,8,43,129.2650761119799
20,34,7,11,0,0,1,7,51,148.90853583098604
11,32,2,16,0,1,0,5,45,132.4453531874229
10,30,9,13,1,1,0,10,48,140.4705163240323
6,31,5,17,0,1,1,8,45,131.82749309125683
9,30,8,20,0,1,0,12,45,128.31865055318335
13,27,7,19,1,0,0,10,47,138.58661153657837
13,26,8,18,0,0,0,10,47,137.64375511238626
5,28,9,16,1,1,0,8,44,126.45415032677938
11,28,10,12,0,0,0,11,48,138.22328390684768
9,27,9,16,1,1,0,9,46,134.67087349095948
10,27,8,10,0,1,0,14,51,149.44833351469293
9,31,7,11,1,1,1,12,50,145.3156051828659
6,29,7,11,0,1,0,8,45,131.12171271754912
7,31,6,17,1,0,1,12,44,126.62731136591428
7,29,9,17,1,0,1,10,47,133.94554273090182
8,34,7,15,0,1,0,11,47,133.37561595843292
16,28,6,11,0,0,1,11,51,152.96968700607195
4,27,12,13,0,0,1,12,48,140.36615442484333
11,30,5,14,0,1,0,9,44,131.26970168234774
8,27,7,20,1,1,1,7,42,121.63838476372418
9,31,7,19,1,0,1,12,46,130.84062966545935
7,30,8,17,1,0,1,12,46,133.120644018217
10,24,9,12,1,1,0,12,47,141.99816348441962
9,31,10,15,1,1,0,9,45,131.9029059446888
13,28,10,12,1,0,1,13,52,150.5739611609132
15,31,12,15,0,1,1,11,51,146.26567166767066
13,29,5,14,1,1,1,10,45,132.94376409624186
11,30,6,16,0,1,1,5,45,133.01383769897714
3,33,10,16,0,1,1,14,49,136.5608713640821
14,29,9,15,1,1,1,5,47,138.8004297252183
13,32,11,13,1,1,1,7,48,139.1405826183839
8,30,9,13,1,1,0,9,48,140.98959141634128
13,29,8,15,1,1,1,10,48,140.299125097906
10,29,3,14,0,0,0,8,45,134.76547361713295
10,27,4,14,1,1,1,10,46,139.8112075449913
15,30,12,15,0,1,1,13,50,143.10063166340308
10,31,10,13,1,1,1,9,50,144.05363967882502
8,27,8,12,1,1,0,11,49,141.68991771091223
8,32,11,16,1,0,0,9,48,136.70776022216626
9,33,1,14,0,0,1,10,45,130.98819781536852
6,31,3,19,0,1,1,15,46,130.66516894318622
10,30,8,12,0,1,0,9,47,138.2896554818494
12,30,10,14,0,0,0,6,46,135.89322529491452
8,31,8,18,0,1,0,10,47,134.18602567350803
10,30,9,14,0,0,1,15,49,141.79897922647987
8,29,10,12,1,0,1,12,47,136.13479059028967
10,31,7,15,1,1,0,12,47,134.51923490514343
8,30,11,14,0,1,0,13,49,140.01820773075622
8,31,14,14,0,1,0,10,52,149.96476941045108
8,31,11,12,1,0,1,9,48,139.70347789233224
8,31,5,16,0,0,0,10,48,137.94278962020135
8,33,7,14,0,1,1,12,49,140.55317591404926
9,28,7,14,0,1,0,8,46,135.87149585093096
10,30,5,15,0,1,0,10,44,128.42573244863533
7,26,13,14,1,1,1,10,46,135.9601998026905
8,28,7,11,1,0,0,8,47,140.1530094064173
10,29,7,14,0,0,1,12,50,144.43504785828904
4,30,10,11,0,0,1,11,47,133.42265375230429
9,30,6,13,0,1,1,8,45,132.02110161368748
10,26,7,11,1,1,0,12,48,143.3520040994731
10,32,4,11,0,0,1,9,49,143.8416531041445
3,28,7,13,0,0,0,12,44,129.9693292234798
10,29,7,14,0,0,1,11,45,132.87128123678738
13,30,7,12,0,0,1,9,48,142.50517370577896
5,29,11,15,0,1,0,10,45,131.6751967491125
8,30,2,15,1,0,1,13,45,127.05014161967414
9,27,11,11,0,0,0,14,51,148.29033690237452
11,35,6,14,0,1,0,10,51,145.22219402099327
10,30,8,15,0,1,1,10,50,143.9683463956338
13,27,12,12,1,1,0,8,48,146.2908865648297
6,29,11,11,1,1,1,8,45,130.96603370999512
13,33,9,14,0,1,0,7,49,141.02220801267583
8,27,7,14,0,0,1,11,48,142.6856699856144
14,36,8,17,0,1,0,9,49,140.27359864551312
5,28,6,14,1,0,1,12,45,133.49288526093227
6,32,10,12,1,1,1,10,48,135.83872596499242
12,29,13,18,1,0,1,7,47,134.02868961797722
13,31,3,14,0,0,1,7,46,137.3246236053276
8,30,8,14,1,0,0,7,44,129.85169717891714
9,31,10,16,1,0,1,7,43,123.39669163958146
12,32,9,13,1,1,1,11,48,136.54529499761534
9,33,8,16,1,0,1,8,45,129.0462676447179
14,26,7,10,0,0,1,9,46,139.76598725644172
11,29,8,16,0,1,1,9,47,134.54624394068307
13,28,15,17,0,0,1,10,50,144.58028267500254
14,28,3,13,0,1,0,9,43,127.60451173906034
11,33,8,10,1,0,1,11,50,143.32503249156963
10,33,9,14,0,1,1,7,46,130.63345320430204
13,27,6,8,1,0,0,5,45,136.90820796511792
11,28,4,12,0,0,0,11,48,144.376465680476
7,28,3,14,1,0,0,10,46,137.52777160057116
8,29,8,17,0,0,1,10,45,128.30026365406988
15,27,5,13,1,0,1,9,45,134.61314910537942
12,26,4,13,1,0,0,9,44,132.20806573865897
12,29,1,14,1,0,0,9,43,130.5943612046096
8,30,11,12,0,1,1,9,51,147.77832618751393
5,29,11,14,0,1,0,8,46,136.03125139870983
11,29,7,14,0,1,0,10,48,139.93344303674326
4,29,1,16,1,0,0,5,40,120.14096406090592
7,33,5,13,0,0,1,12,47,135.70754351167992
11,28,6,13,1,0,1,10,46,137.3029899615284
10,30,12,9,0,1,0,9,50,147.62885369614136
12,28,11,14,1,0,1,12,51,149.88538080825563
6,30,10,13,0,1,0,12,51,148.12055548146563
11,31,6,20,0,0,0,6,42,122.51181545017464
10,28,3,7,0,1,0,14,50,149.8384182659461
13,27,6,11,0,1,1,10,48,140.69855340343773
15,31,10,16,0,1,1,10,48,138.59099293990477
11,30,11,16,0,0,0,11,49,142.10558593918327
4,30,7,12,1,1,0,8,44,127.71149496305252
8,31,5,15,1,1,1,11,45,131.2282253298288
11,30,6,14,1,0,1,9,49,142.61721851534287
7,31,9,13,1,1,0,9,47,136.35535692446976
8,28,4,12,1,1,1,10,46,137.6042789501294
16,29,9,10,0,1,0,6,48,143.12651059445375
6,32,4,16,1,0,0,8,43,123.74414930809272
11,30,14,14,1,1,0,9,50,145.7646474903516
9,31,13,14,0,0,0,11,51,147.56406964262845
12,31,5,16,1,0,1,8,46,132.13549419183792
10,30,10,15,0,1,1,10,48,138.08360508291477
5,31,10,12,1,0,1,10,49,141.4172902362783
10,24,1,12,0,0,0,9,43,132.37431717047363
12,27,4,15,0,0,1,8,46,135.73826258529488
6,28,9,19,0,1,0,11,45,129.6864924084983
11,30,9,14,0,0,0,11,46,132.9926900596463
10,30,8,16,1,0,0,8,45,132.59390942205417
12,29,2,12,0,1,0,13,46,133.9226649563971
13,31,3,15,0,1,0,6,45,134.2669680906961
10,29,9,13,1,1,0,8,50,145.51382871203205
12,29,5,15,0,1,0,12,47,138.0872108103738
10,31,7,12,0,1,1,12,50,142.74087906815492
11,33,4,15,1,1,0,10,48,138.72271941840637
13,29,5,14,1,1,1,10,46,135.1346395026479
11,30,0,15,1,1,1,9,46,136.05636489083315
8,28,10,18,0,0,1,10,46,133.65154600914832
9,32,6,10,1,0,1,12,51,148.94723001906237
7,27,8,14,0,1,1,6,42,122.26225000418582
7,31,9,14,0,1,0,9,48,138.55255344040833
9,32,9,14,0,1,1,9,47,134.48357639631908
8,29,8,13,0,0,0,8,48,140.9864194028867
4,32,5,18,0,1,0,8,44,126.81384932839607
9,27,8,15,1,0,1,10,46,134.11714393267755
7,30,7,14,1,0,0,12,48,140.75760224576103
4,31,10,9,1,0,0,11,49,144.0277239399904
12,31,12,12,1,1,0,12,51,145.9628014322244
6,30,10,14,0,1,1,9,50,143.705536705218
11,30,11,13,0,1,1,10,49,143.30153252538577
15,29,5,15,1,0,1,9,45,131.08875457088462
8,28,4,15,0,1,1,14,49,143.69000850484412
9,31,6,14,1,1,0,7,47,137.7704617689969
8,29,6,12,1,0,1,12,47,139.343445330386
7,29,8,13,1,0,0,9,46,135.33260404770255
9,29,6,14,1,1,0,9,46,133.23036327748378
13,28,6,13,0,1,1,13,48,140.8892470025414
13,30,7,15,0,1,1,14,50,141.16212416279134
9,33,9,8,0,1,0,11,51,148.1014219546535
9,28,7,9,0,0,0,8,48,141.99449845796283
9,31,7,14,1,1,1,9,47,136.87858516769657
12,30,10,11,0,0,1,9,50,149.0926046341794
12,30,8,12,1,1,1,9,48,141.66819193119804
10,29,9,7,1,1,1,12,54,159.49515411913464
6,30,4,12,1,0,1,8,45,132.06291891772827
9,31,9,15,0,0,0,8,48,138.74446995879006
10,29,7,14,1,0,1,10,46,136.03468328643882
5,29,9,14,1,1,0,11,47,136.33906431602065
6,27,3,18,1,1,0,9,41,119.77604587224762
8,32,3,13,0,0,1,9,46,130.9427902533285
14,25,9,13,1,0,0,8,47,141.6250188660186
7,32,9,13,0,0,0,12,48,138.5184535939338
11,29,9,16,1,1,1,10,45,131.6185227182368
6,30,10,10,0,0,0,9,46,134.11769026578435
9,26,1,9,1,0,1,11,45,137.41515199498392
5,28,9,17,1,1,0,10,45,130.5493542213855
8,32,12,11,1,0,0,7,50,143.0010573909125
11,32,11,17,1,0,1,8,47,135.59437134890376
5,30,11,12,1,1,1,6,45,132.61547895222907
