student_socioeconomic_status,school_quality_index,parent_education_level,average_classroom_size,gender,ethnic_minority_status,proximity_to_tutoring_center,participation_in_tutoring_program,student_academic_achievement_score
13,31,13,15,0,0,11,56,149.61874255280063
13,25,11,14,0,1,8,53,145.65345072824596
9,27,1,14,1,1,8,56,144.00559072864644
13,27,11,16,0,1,12,56,147.2464350058078
10,31,13,11,0,0,14,52,145.63865463411275
9,29,8,12,0,0,10,53,141.28005643410955
9,31,14,13,0,0,10,52,142.77095576648213
9,30,5,13,1,1,9,54,141.53849776305427
8,29,7,9,0,1,9,51,140.8877321977866
11,27,4,15,0,1,12,60,151.4113411153509
8,29,6,16,0,1,12,58,146.66897282848092
9,31,7,15,1,0,9,58,151.5385249694176
7,29,8,11,0,0,10,53,144.4289489154438
6,28,10,14,0,0,10,53,138.860148881526
14,31,9,15,1,1,9,55,148.3442281850845
5,27,6,18,0,0,13,60,147.09090905945789
12,28,6,11,0,1,9,55,146.8637271673752
10,27,5,13,1,1,11,55,143.99359305661213
9,32,4,14,1,0,11,56,144.07364686297544
11,29,12,13,0,0,10,51,140.0962043691354
15,30,10,15,0,1,12,59,156.960099150359
9,29,3,8,0,0,11,53,142.90958464890477
9,27,8,14,1,1,10,54,144.81067439641578
10,32,7,1,1,1,10,45,136.3207006777447
7,28,4,7,0,0,8,49,135.19587674079543
15,28,8,11,0,0,11,55,150.99818284392452
8,27,10,13,0,1,10,53,144.37607186548428
10,33,8,8,1,1,11,54,150.30595148085268
5,27,13,12,0,0,12,48,131.68509937446746
8,31,9,15,1,0,9,54,142.89321142754022
12,28,6,13,1,0,10,55,142.77545236279298
7,33,6,18,0,1,13,62,149.6350814201528
9,31,10,12,1,1,15,57,151.60501320972102
12,29,8,10,1,0,9,52,141.28203562586708
9,28,4,9,1,1,13,55,147.68058621037108
6,30,5,15,1,1,11,55,139.94586964990492
12,31,8,9,0,0,13,53,149.14917972190432
12,29,4,15,0,0,6,59,149.67386402263494
10,29,7,17,0,0,10,58,148.6322037068796
7,31,11,17,0,1,10,60,154.5146188644181
12,29,8,14,1,0,8,54,144.67291195669517
8,29,5,12,1,1,10,51,135.5596624248175
7,31,12,17,1,0,15,55,143.54740768923082
11,27,10,12,0,1,8,52,142.8055069282372
14,29,1,11,0,1,13,59,152.95734473231272
8,32,7,17,1,1,10,59,150.86088161531436
11,27,7,16,0,0,9,57,148.2086846076786
7,26,7,14,1,0,11,51,135.35124019085308
14,27,0,16,0,1,8,64,157.61059990934254
6,26,10,14,1,1,8,49,131.9788806629043
14,30,8,17,1,0,10,58,152.0035201997133
16,32,8,19,0,0,8,62,160.4740446307833
6,30,2,12,1,1,12,58,146.0785752134565
10,32,5,11,0,1,10,55,145.91113700281696
12,35,11,19,0,0,10,62,157.24808938714662
12,29,13,15,1,1,9,56,153.01036800724248
10,29,3,10,1,1,12,55,145.64300820404873
9,32,8,12,1,1,8,54,144.82168167571191
9,31,13,11,1,0,9,50,139.20189538428008
13,31,10,11,0,0,11,56,152.5639508335645
8,29,6,16,1,0,9,52,133.48650158097038
3,27,4,14,1,0,12,53,135.3262693148873
9,31,11,12,0,0,13,55,151.76993195179483
4,29,11,13,1,1,9,49,135.79835861524177
12,27,2,6,1,1,9,51,138.77510372297573
8,28,8,17,0,0,13,57,141.28613649340497
9,30,14,12,1,1,10,52,146.4416965920161
12,35,11,17,0,0,6,57,151.2886523214508
12,28,7,10,0,0,9,53,144.34655465995812
14,32,4,16,1,1,10,61,154.7066979432301
14,29,7,20,0,1,11,64,158.464211459838
6,27,11,17,0,0,11,53,135.1754276593158
12,31,3,12,1,1,11,57,147.930709107036
11,27,7,11,1,0,14,55,147.32741629973694
9,30,8,16,1,0,11,57,146.0487027273006
12,29,11,14,1,0,8,53,144.54622186109583
9,31,7,15,1,0,11,58,149.85974081448623
11,29,10,7,0,1,15,53,150.27506202075696
12,31,9,14,1,1,12,57,149.1840911317191
6,29,11,16,0,1,9,54,142.56934382633685
8,29,8,12,1,1,9,53,144.25784288661845
9,29,5,13,0,0,8,55,140.84902666573132
8,30,12,11,0,1,13,52,142.8735198358451
10,25,11,12,0,0,12,49,133.60057131188896
7,28,5,13,0,0,12,54,141.1519084321486
5,30,8,15,0,0,11,55,141.6767160247534
11,30,4,20,0,1,11,65,155.9548574560504
13,27,5,12,1,0,12,56,147.10895472204965
10,28,6,11,1,0,13,55,147.41353036248287
9,31,14,16,1,0,12,53,142.5035160559598
13,27,9,13,0,0,12,56,147.55891379661318
11,28,6,13,0,0,9,57,151.64704646651575
9,26,7,10,0,1,13,53,142.75255088833873
10,33,3,16,0,1,12,65,160.7675670280852
5,32,10,14,1,1,15,56,148.42001477833662
10,29,8,21,0,1,13,62,150.71046168987291
7,30,9,15,0,0,9,53,136.4237390694516
11,32,7,17,0,0,15,61,153.3979907205428
8,32,6,16,1,0,10,57,145.621996595403
10,29,12,12,0,0,13,51,142.00877855426194
9,31,3,13,0,1,12,57,142.6900416221915
12,27,8,21,0,0,7,61,151.7669734764525
13,29,7,15,1,1,10,60,155.62235652955448
14,36,7,12,0,0,6,53,142.50438620208544
10,31,14,11,1,0,15,50,140.18777406072505
9,27,9,12,0,0,10,53,141.867449836037
10,26,4,17,0,0,10,59,149.2729558570941
11,31,5,18,0,1,8,63,156.10333794347656
15,30,12,14,0,0,8,55,150.8655383062539
7,29,8,10,0,0,5,46,128.88962246835794
12,31,6,17,0,1,12,61,152.23935337532657
17,31,8,12,1,0,6,53,144.28389651163303
9,28,9,10,0,1,10,51,141.32887287031556
15,28,12,14,0,1,11,58,158.6723015574012
11,31,8,10,1,1,10,52,145.363678019898
11,34,7,16,0,1,11,60,152.69735259478335
7,32,10,14,1,1,13,56,150.16563855558817
8,31,9,13,0,1,10,56,149.23196984632548
12,28,12,15,0,1,7,54,144.47441725130878
9,31,5,11,1,0,9,53,142.8756364019716
11,29,11,17,0,0,10,57,146.2955689735618
6,27,2,11,1,1,11,52,136.58812742476383
6,31,3,9,1,0,11,51,138.2842497660144
10,29,9,17,0,1,8,59,151.57723531586652
10,29,4,11,0,0,9,55,144.70497987927973
12,30,14,8,1,0,11,51,148.29994741695765
9,33,7,13,1,1,9,57,152.0895204459258
10,29,11,14,0,1,9,56,149.9859349156202
7,31,5,14,0,0,11,55,140.33589249772763
7,32,12,15,1,1,13,53,140.30790135481868
11,30,10,15,1,0,11,56,149.61024599458315
12,30,8,11,0,0,10,52,140.6078717141391
8,31,9,14,1,1,11,53,138.55549957388433
12,30,7,14,1,0,12,56,147.04548400833903
9,30,6,11,0,0,9,55,148.43536522717557
6,30,8,13,0,0,10,53,139.38600640081285
9,27,14,18,0,0,8,54,143.05176661111753
13,29,7,12,0,1,14,57,149.9147196174903
11,32,14,14,0,0,8,51,141.73230778117556
9,27,7,17,0,0,13,59,149.25474252849105
9,31,9,14,0,0,10,55,145.63312838239233
9,31,7,16,1,0,10,58,150.04409205237175
7,34,11,17,0,0,10,56,142.35087067855622
8,29,8,12,0,0,12,54,144.86342151723778
9,28,5,12,1,1,9,55,141.67250361883552
6,27,9,16,0,1,8,54,137.83519883249494
9,28,12,17,1,0,7,51,138.3818797524018
9,31,4,12,0,1,10,59,153.30831054148382
11,24,11,14,0,0,7,50,136.5250238106901
8,29,9,14,0,0,12,54,140.64773210412304
10,33,9,13,0,0,13,59,155.1370053470289
13,28,14,10,1,0,8,48,141.47294617377432
5,29,4,18,1,0,13,58,140.3824699136404
11,29,11,11,0,0,14,53,145.2990126978525
7,34,6,14,1,1,12,57,147.70387360354502
5,33,7,15,0,1,9,56,143.1368381814072
12,34,6,7,0,0,12,56,150.6917642313015
11,29,4,19,0,1,9,63,153.7650351429389
13,28,6,13,0,0,10,58,150.75477407839014
9,27,1,19,0,1,9,63,150.09711504351122
12,29,0,15,0,0,10,62,156.2866949397972
9,30,9,14,1,0,12,52,140.06914974520106
5,31,12,16,0,0,11,52,137.15082168743857
7,30,7,11,0,0,7,52,138.72664624329948
9,26,7,14,0,0,8,55,143.79980662114548
11,31,10,13,0,0,14,58,153.53657765775776
10,32,6,13,1,1,10,58,152.20782810703002
7,28,10,13,0,0,13,55,148.56886697216737
12,29,8,9,0,0,11,55,150.2808488695869
11,28,7,15,0,0,9,56,147.59518706887954
7,29,2,17,1,1,12,60,148.07161359743003
12,31,0,13,0,0,9,62,156.10528316915745
16,34,11,16,1,0,10,56,149.89713893528656
11,32,8,11,0,0,9,54,148.09166007747615
10,26,7,11,1,1,8,52,142.3134897589984
16,31,5,13,0,0,10,59,156.48113662381382
13,32,9,13,0,1,13,57,150.15949679067603
9,31,4,15,1,1,12,59,148.9001356531079
8,32,11,14,1,1,10,53,144.1336478702126
6,34,8,18,1,0,9,59,148.55063470308323
10,33,7,19,1,0,15,65,160.0835776882094
11,28,12,13,0,1,13,53,142.8250151436713
7,29,6,14,0,0,13,56,142.8185267468128
8,29,7,10,0,0,14,57,150.1315724592419
15,29,3,11,1,0,9,57,152.93649269579504
5,32,11,15,1,1,12,54,142.61089464124146
10,25,15,12,1,0,10,47,137.14739028644968
10,28,0,10,0,0,9,57,145.93386466790756
10,32,7,17,1,0,13,60,151.397145334589
9,31,3,15,1,1,13,63,157.82643331155933
10,30,1,17,0,1,11,66,158.5777772609301
12,29,7,20,1,0,11,64,158.02947237155715
8,30,4,11,1,0,7,51,136.04653186784867
11,34,7,16,1,0,10,60,154.12037818351507
12,27,5,16,0,1,14,64,158.74929760230785
6,30,12,20,0,1,12,60,151.85070881609917
10,30,3,18,0,0,10,62,150.81029195346986
10,33,10,17,0,1,9,59,150.75196356179285
12,30,15,12,0,1,9,53,150.8216952867945
6,28,6,9,1,0,8,50,137.2908071386759
10,31,7,12,0,0,11,57,151.19471097566324
11,32,3,15,1,1,13,60,149.34783939743394
13,30,11,13,1,1,12,55,152.6759545243118
11,29,6,18,1,0,9,59,149.17999101499788
8,30,4,18,0,0,12,61,149.3050613679792
11,32,13,11,0,1,12,53,145.9474031013428
14,29,9,15,1,1,11,57,151.4492053918437
6,26,11,17,1,0,8,53,138.4745221176876
7,32,8,11,0,1,11,54,141.65985639833923
13,30,8,15,0,0,13,58,148.2487355855195
11,29,7,16,1,0,13,61,157.51856257850827
10,31,7,16,1,1,11,58,148.42435949894374
11,30,11,12,0,0,12,52,142.08484538075083
9,30,11,12,1,1,10,52,141.5663522051608
10,32,6,19,0,0,11,62,152.21126144223382
10,32,8,19,0,0,11,60,150.54576533403477
8,30,13,11,0,0,10,50,141.68090705997406
11,29,9,17,1,1,12,59,152.15974084876598
6,32,5,14,1,0,12,54,137.88382921575703
10,34,15,15,0,0,10,54,146.5792249012187
12,28,1,10,0,0,11,55,144.48101197132206
12,32,10,15,1,1,13,57,151.7032821658866
11,28,8,13,0,0,10,56,150.06594668834313
9,31,13,17,0,0,11,55,145.71581700752398
9,28,9,14,1,0,11,52,137.0804966969943
9,32,5,14,1,0,15,58,148.48860867883684
10,30,12,16,0,0,9,50,134.09206049010783
12,30,8,11,1,1,11,56,151.83372113833883
11,29,8,15,1,0,10,54,142.32656427269058
16,29,6,10,0,0,10,57,155.00071587490297
8,28,9,12,1,1,9,52,142.5131828165713
12,30,3,16,1,0,10,61,152.03008556606895
3,28,5,14,0,0,10,53,135.05061127667537
15,29,7,12,1,0,10,55,147.11765659652568
13,31,7,16,0,0,11,59,150.31443237265043
5,35,8,16,0,0,9,58,149.11065679157204
12,35,7,15,0,0,10,63,161.65852399217158
10,31,9,16,0,0,12,58,149.54588101857092
10,31,8,11,0,0,13,54,145.5373451489708
7,29,0,15,0,0,12,58,141.25268547945322
7,29,8,13,0,1,11,56,147.3695605837071
9,30,10,16,1,1,12,57,148.26160651628086
8,25,6,12,0,0,11,52,137.89392914750857
6,31,8,14,1,0,11,54,141.02658098051057
13,28,5,13,0,1,10,58,150.48002768953177
8,29,13,14,1,0,11,48,133.02933826106943
6,29,9,15,0,1,10,53,136.56143824506282
14,31,7,14,0,1,11,61,156.6328149713027
12,31,9,12,0,0,10,53,146.73050356634644
12,27,4,14,0,0,8,55,142.22578556466468
14,32,6,11,0,1,8,58,154.5708196271469
8,28,7,13,0,0,8,54,139.78396200172898
8,32,5,8,0,0,11,54,148.15630782991423
7,31,4,12,0,0,9,56,145.86314080008634
12,28,9,16,1,0,11,55,142.84243793947317
8,33,7,12,0,1,7,54,141.6556786165394
7,27,11,14,0,1,10,54,145.79625753789088
9,32,11,15,1,0,12,54,143.71380096805976
12,30,13,17,0,1,10,58,152.15616062145563
9,28,8,13,1,0,8,51,138.64470538579158
4,32,4,20,0,0,12,60,140.96417125628528
13,28,9,17,0,1,13,60,152.9592931546992
4,29,1,16,1,0,12,60,145.3340225378581
9,26,10,17,0,0,15,57,142.98918695507115
9,27,11,15,0,0,9,55,148.4763993778564
11,30,8,13,0,0,11,59,154.27267464825243
13,31,5,14,0,1,10,59,152.69292575024036
15,27,6,12,1,0,11,54,145.37245598408
7,28,6,12,1,1,11,52,138.4589987988994
7,27,10,17,1,0,12,55,142.17817737694563
5,31,8,14,1,0,11,52,139.8893855683441
7,30,10,16,1,1,10,56,146.24118298156648
6,32,6,9,1,1,11,51,140.45589790186852
9,27,7,14,0,1,9,55,144.061225055215
11,31,4,12,1,0,10,57,152.287994989821
9,30,4,15,0,1,10,58,145.7347840908228
12,31,6,14,0,0,10,58,147.71646215609064
13,29,8,13,0,0,7,55,150.20654322168903
6,31,1,12,0,1,11,60,151.15056714348367
8,32,9,17,0,0,11,58,148.8881122349837
14,34,9,14,0,0,10,58,154.12157964736133
5,30,11,15,0,0,12,51,133.9046424575577
13,28,5,13,0,0,9,57,150.24047959386996
11,31,10,12,0,1,10,54,144.67318508506327
3,29,4,13,1,1,11,55,142.79403230683124
11,33,9,15,0,0,12,58,149.65123475679522
8,31,6,12,0,1,12,56,144.6458169397953
6,27,6,12,0,1,9,52,137.31852324636043
17,32,10,13,0,0,11,57,152.45551870234553
9,29,7,14,0,1,11,58,147.67924476619575
10,32,8,16,1,0,9,54,140.2710524876341
11,31,10,13,0,0,13,56,150.22397232422256
11,30,10,11,1,0,12,54,149.5037509305855
9,32,9,17,1,1,10,59,152.2125341591551
15,28,3,16,0,1,11,62,152.7838976858455
9,31,12,9,0,1,9,48,137.19074304408733
11,35,10,12,0,0,11,56,150.28136218671816
11,35,6,14,1,1,10,58,151.95288539471622
13,30,3,17,0,0,9,61,153.3663401860674
10,27,3,7,0,0,11,53,144.1156666499553
7,35,10,11,0,0,14,55,145.7587817229539
11,29,5,14,1,0,10,58,151.6477764674541
7,30,12,13,1,0,9,52,144.00508870853886
10,29,8,13,0,1,11,54,146.10687393407258
2,31,9,17,1,0,9,55,140.4993017335637
10,29,7,16,1,0,15,58,147.15936811042994
7,31,9,16,1,0,12,55,141.8725097354974
12,29,6,15,0,1,10,61,157.23378127514084
7,30,7,9,0,0,8,51,142.1655241744757
11,29,3,11,0,0,10,58,154.37613397518567
8,27,10,11,1,0,9,49,136.72227445256058
11,31,8,14,1,0,12,53,138.58167122214687
13,28,7,18,1,1,12,61,153.60836343484277
10,27,5,9,0,0,10,53,143.05929053003425
8,29,3,10,0,1,11,56,144.09926042649622
13,27,9,11,1,0,13,54,148.93100003138971
9,33,10,16,1,0,11,56,150.60193717690038
10,28,4,11,1,0,11,55,145.11963102162508
14,29,7,10,1,1,10,53,145.32605206180568
13,29,8,13,1,0,10,52,141.19275297516168
12,29,5,14,0,0,7,59,152.25365413284766
12,26,11,16,0,0,10,55,144.43832206077462
15,31,7,18,0,1,12,66,167.34914115065095
11,30,10,13,0,0,11,55,146.36390659562667
9,32,7,13,1,1,8,55,145.8872715018987
7,26,8,11,0,1,13,53,142.12066072937003
6,26,5,14,0,0,7,55,140.46100732919712
7,28,4,16,0,0,9,58,143.83103941155028
15,31,8,14,0,0,13,59,154.6632263759048
11,31,6,16,1,0,10,63,160.5653444711328
8,33,4,10,0,1,12,59,154.11633695619577
12,26,11,15,0,0,14,57,146.58906305197667
14,33,7,14,1,1,11,57,148.23754934882018
10,31,6,11,1,0,15,55,145.59751259760662
4,32,2,17,0,1,11,61,147.55939383463848
14,30,5,9,1,0,11,57,158.02193737527048
10,29,10,18,1,0,8,56,148.95577742175232
9,28,5,17,1,0,10,59,149.06458559658634
10,31,10,16,1,0,9,57,149.419214313327
8,28,7,11,0,1,6,53,143.7099924630994
14,26,11,13,0,0,10,53,145.69207288579742
11,31,7,12,0,1,9,55,147.0253215569722
7,34,9,15,0,0,11,54,141.28592959178496
4,32,11,10,0,0,15,53,140.7572471503898
9,31,7,10,1,1,8,54,149.84902986868175
7,30,7,11,0,1,11,51,136.51451369993893
5,29,4,12,0,1,9,54,141.5401494739988
7,28,10,22,0,0,10,58,140.2095740808698
8,31,7,15,1,0,12,56,144.86174770849922
10,33,7,16,1,1,12,59,150.5525175041421
11,28,6,13,0,1,13,57,147.96452580791183
11,31,8,14,1,0,9,56,147.66877868293346
7,34,9,15,0,0,13,58,151.1741721701606
13,29,4,15,1,0,9,60,154.71059378999374
7,31,1,13,1,0,13,58,146.18711924777
12,27,4,6,1,0,11,50,137.8025874122363
12,30,9,15,1,0,13,59,156.31657532556147
11,28,6,13,0,0,7,54,141.84794885820924
15,26,4,18,0,1,4,60,149.55869340751775
8,30,10,17,1,0,11,55,141.77650683827122
7,32,9,13,0,0,8,51,136.42091023362386
9,30,12,13,0,1,9,53,145.54774731474436
8,26,13,11,1,0,10,48,139.37785706778735
11,34,3,17,0,0,12,63,157.93381853608474
6,26,11,17,1,1,13,54,140.0397281151263
11,27,1,17,1,0,9,60,145.36573179878698
14,31,4,14,1,1,9,60,153.26484884613689
9,26,10,16,1,0,11,55,146.5833465097096
6,28,8,17,0,0,6,55,140.27277466311128
11,26,12,13,0,1,11,51,139.9640291723259
17,30,8,15,0,0,13,60,153.5887477650263
10,31,13,16,0,1,11,54,142.47514027122477
10,34,3,11,1,1,12,59,150.74080575806116
9,33,8,13,0,1,13,56,146.19532527396242
8,30,6,11,0,1,12,57,148.60188859334446
14,35,4,13,1,0,14,62,161.25452633587267
9,29,13,15,0,0,8,53,146.0460105570201
7,32,6,13,1,1,8,52,138.89539314731772
7,30,7,11,1,0,10,50,137.93700743929907
13,31,5,18,0,1,12,67,163.55700183989853
5,27,10,12,1,1,7,46,128.31067064690734
13,33,5,15,1,1,12,58,150.54716867401663
8,31,14,12,1,0,13,52,147.50528159515264
5,29,8,22,0,1,12,60,144.18919469205548
11,30,9,17,1,0,9,57,148.71615852794088
14,27,12,10,0,0,11,48,135.71682756957406
8,28,12,14,0,1,9,54,146.59896555167143
8,26,8,9,0,1,13,50,134.70375773794964
4,27,3,11,0,1,13,56,141.41376904434398
10,28,8,12,0,1,9,53,142.1676744203113
16,32,9,18,0,0,11,62,159.13554067429305
9,28,3,12,0,1,11,56,146.51569986744363
10,27,8,13,0,1,11,54,143.9181407110099
10,28,3,9,0,0,13,57,148.97762572000184
5,25,7,15,0,1,13,57,144.748456610901
7,28,10,14,1,1,14,53,138.24231057073567
13,33,6,12,1,0,10,58,153.30847189256693
13,31,6,11,1,1,14,59,156.0817343854042
14,32,6,12,1,1,10,58,156.10863383128435
5,31,5,15,0,0,13,59,148.9344044049721
12,29,7,11,0,0,10,54,146.30530737860715
9,29,6,13,1,0,9,54,143.53311333918336
10,30,16,11,0,1,10,50,144.17733146761995
6,25,10,9,1,0,9,44,128.1611441650353
12,31,11,12,0,1,11,53,146.2346520793385
6,28,8,10,1,0,8,47,129.96056370348916
6,31,12,13,1,0,10,48,132.14405598065514
10,31,4,14,0,0,11,60,154.59327578103014
12,33,9,12,0,1,12,56,151.22581782997798
8,31,3,18,0,0,10,64,155.142087538162
13,30,10,14,0,0,8,56,150.80942053380667
14,32,7,13,1,1,8,56,150.68869522746724
6,30,10,13,1,0,7,47,128.266380200574
11,30,9,7,0,0,10,52,145.66026006113884
7,28,9,10,0,0,9,49,137.74492736673932
11,28,12,13,0,0,11,52,141.69095094101098
7,30,1,14,0,0,9,59,148.0135070222181
9,29,11,13,0,1,10,53,142.79997359479034
8,30,7,12,0,0,11,57,148.54952742428804
8,30,8,12,0,1,12,53,139.72597775375203
13,31,8,14,0,0,9,58,152.109774826605
5,32,9,12,1,0,12,50,136.4623914393685
10,31,9,12,0,0,10,53,141.96515184930072
18,26,8,14,1,1,13,59,157.2437150454751
7,27,9,17,0,0,11,55,141.7664365324313
7,28,12,12,0,1,9,50,140.95846842930595
7,29,11,18,1,0,5,53,139.26327140751982
4,29,8,14,0,1,12,54,141.49982947934078
8,32,8,11,0,1,13,56,147.2916391316095
5,30,8,12,0,0,11,51,133.27339501111993
8,30,3,12,1,1,8,59,151.89546682781005
9,28,6,11,0,1,10,53,140.80875376730364
11,31,4,16,0,1,10,62,157.50210868584307
4,28,6,12,1,1,10,54,141.54421836031938
11,27,5,12,0,0,9,58,152.78811109285488
9,27,5,14,1,1,9,57,147.19540026768587
9,31,12,17,0,0,13,60,158.43853857585628
4,28,10,13,1,1,15,49,132.6154189945828
8,27,6,13,1,0,10,53,140.18946839665026
8,35,11,10,0,1,12,53,145.3281828774242
11,33,13,12,0,1,13,52,141.78501904590368
5,33,13,7,0,1,7,45,133.79656773469492
12,32,9,14,1,0,11,54,144.76432011487174
14,28,14,13,0,0,7,49,139.84204477296265
8,28,12,13,1,0,6,50,141.19757846416908
14,27,9,11,1,1,11,52,143.19079667340046
9,32,4,12,1,0,10,56,147.05588004351526
6,30,8,15,0,1,12,58,147.45907494481995
9,25,7,7,0,0,11,48,137.2221138113687
10,29,7,14,1,0,8,52,137.30334127281142
13,33,5,10,0,1,10,58,155.12318701420347
10,34,0,13,1,0,10,58,147.5719545760969
12,29,5,14,1,0,9,57,148.71300384219865
5,30,7,12,0,0,7,53,139.62814171366156
6,31,7,14,0,1,11,54,138.77523873234128
9,33,7,17,0,1,11,58,145.47179358465152
7,28,8,14,0,1,11,57,148.2205275919974
8,27,11,14,0,1,11,55,146.6508606140715
8,27,11,20,0,1,7,55,140.3642048170203
8,27,5,11,1,0,11,53,141.40059599054115
5,27,7,13,0,1,3,48,129.13009206571695
12,28,7,11,1,0,9,51,141.08658853422244
15,32,0,13,1,1,9,64,161.38242392294822
12,30,7,12,0,0,10,55,147.3402694207824
10,32,10,13,1,0,11,53,142.10316895417787
17,28,12,12,0,0,11,56,155.0533340222643
10,28,12,16,1,1,10,54,144.9075873723309
6,33,5,18,1,0,12,59,144.05252918959528
7,31,9,19,1,0,6,54,139.03344454594003
15,29,11,15,0,0,11,57,152.52691216613837
7,29,4,13,1,0,12,59,153.4409740823939
9,32,6,15,1,1,9,59,151.98690816699713
9,29,10,14,0,0,11,53,140.89075777406316
8,30,3,15,0,1,11,62,155.452992905691
12,28,8,16,0,1,14,60,152.62816047740026
4,27,5,16,0,1,12,60,149.9601366398298
12,29,2,12,1,1,13,59,151.07420047198468
11,31,9,13,1,1,12,57,151.45234417624195
9,28,3,13,1,1,9,58,150.04994888304734
11,26,4,12,1,1,11,54,144.69174860082876
7,28,5,13,0,0,12,56,145.9390922499297
7,29,9,12,0,1,12,51,136.29308979463124
9,32,6,13,0,0,9,56,146.10704033519326
10,27,5,13,0,0,9,58,151.4936651282862
9,27,11,18,1,0,13,56,148.80287582795032
8,30,6,14,0,1,9,55,139.8296117403208
6,31,10,14,1,0,12,53,142.16258457651372
8,28,6,16,0,1,9,56,142.18298204785563
5,30,4,14,0,1,10,57,141.99492396818766
9,31,12,16,0,0,12,57,149.75933758967977
10,31,13,12,1,0,13,50,139.5448147160982
6,28,4,12,0,1,11,56,142.8728155735804
6,31,8,12,0,1,10,54,143.69935067379157
7,32,9,8,0,1,9,50,140.80539458947683
12,31,9,16,0,0,10,60,154.80719340634792
