recipient_age,previous_month_income,household_size,unemployment_duration,education_years,rural_residence,previous_beneficiary_status,ubi_receipt,current_month_income
26,22,9,14,4,1,0,0,80.7950677747694
16,21,15,17,4,0,0,1,88.13681504310382
16,16,6,10,4,0,0,0,71.27298344085641
23,16,10,10,3,1,0,0,74.60506507542495
19,32,14,19,4,1,0,0,85.33119239288008
33,24,10,25,2,0,0,1,100.90691605581354
39,27,10,7,3,0,1,1,95.6593566485189
24,19,12,21,6,0,1,0,84.68246018169204
35,21,6,8,3,1,1,0,81.81084315087668
30,18,11,18,1,1,0,1,94.92484772755948
28,21,8,6,1,0,0,0,75.43154063921577
32,25,10,15,2,0,0,0,85.38659334718888
21,13,12,14,5,0,0,1,87.69738658950055
28,18,9,19,2,0,1,1,92.82736228181352
14,26,9,15,5,1,0,1,83.16741418350713
26,18,14,24,1,0,1,1,96.60301852277766
31,20,12,11,6,0,0,0,83.97099004775488
17,17,14,9,5,0,1,1,83.32808989978827
23,20,11,10,3,0,1,0,77.68212044095024
25,17,15,13,5,1,0,0,81.83316517746883
41,24,8,10,6,0,0,0,89.18549238280909
33,22,10,11,3,1,1,1,94.3282922601061
25,16,12,17,4,0,1,1,92.18273390997858
37,19,11,24,5,0,1,1,104.01151356518264
41,17,8,16,4,1,0,1,97.99258636009912
33,18,15,11,4,1,0,1,92.69802682327392
32,18,14,19,3,0,0,1,99.55345384505496
23,27,7,16,4,1,1,0,81.02124167425838
23,16,5,16,4,1,1,0,77.09928059206783
16,20,2,15,5,0,0,0,72.5216619769865
28,27,12,11,5,0,0,1,93.22733434827276
28,26,12,19,5,0,0,1,96.01892430771264
36,23,6,-3,6,0,0,0,77.43337761426116
23,16,5,9,5,0,0,0,71.30095419529475
32,27,13,13,6,0,0,0,89.09523091580422
29,21,7,17,6,1,0,0,81.98551198872302
30,11,12,15,6,0,0,0,83.76638511651088
33,20,8,10,3,0,0,1,92.10541927791309
36,24,3,21,0,0,1,0,87.00433396744879
39,14,10,7,0,0,0,0,83.84427043466326
42,17,11,7,5,1,1,0,85.0959984455141
15,20,4,18,4,0,0,0,74.5115155844967
30,17,7,1,2,0,0,0,73.79268647208518
32,20,14,13,7,0,1,1,94.76631660215594
23,18,2,9,3,0,1,0,70.4548959019364
33,29,13,7,3,1,0,0,84.42251291193664
30,25,15,15,5,0,0,1,97.6648024423467
39,21,6,13,2,0,0,1,94.94572610454736
28,24,6,20,4,1,0,0,85.43543519957448
38,21,9,9,2,0,0,1,97.18214351278596
50,20,13,8,4,0,1,1,105.02976021292493
28,25,8,15,4,1,1,0,81.17057938332319
19,14,10,7,1,0,1,1,79.12992977194011
30,22,13,15,4,1,1,0,84.16197347191905
30,16,8,17,3,0,0,1,94.24968486354452
22,20,8,16,4,0,1,0,77.60455992284119
23,26,8,9,1,1,0,0,75.98269277649209
20,14,11,8,2,0,0,1,83.47263732719146
25,18,12,6,1,1,0,0,78.06087889345142
42,14,10,9,6,1,1,1,95.74560748871504
33,17,13,10,6,0,1,0,84.82889843135095
23,21,12,21,1,0,0,1,92.95389454069482
33,18,12,16,2,1,0,1,96.31799844668818
29,25,7,12,3,0,1,0,80.66596302580608
21,24,10,10,2,0,0,0,76.35157076035803
18,19,11,19,1,1,0,0,79.41241196306161
26,27,8,8,2,1,1,0,79.07718302930805
32,31,14,12,2,0,0,0,90.46818206451393
24,22,8,6,7,0,0,0,76.04542013029463
45,15,12,17,9,0,0,0,94.60877157802506
35,24,8,17,4,0,0,0,89.24191346898465
29,14,14,18,2,0,1,0,86.62157161035468
25,29,6,13,2,0,1,0,80.82941267378554
35,18,10,19,2,0,0,1,98.29806700452224
50,14,10,12,2,0,0,1,104.1892207058058
25,19,10,22,4,0,1,1,95.18861506421086
26,16,13,14,2,0,1,0,82.12263733577294
12,25,9,10,2,0,0,0,69.74593940231924
21,24,5,8,2,1,1,0,73.47364197426673
30,18,13,11,2,1,0,1,92.25333726452916
26,14,7,18,4,0,0,1,89.77582070106124
35,25,9,10,3,0,0,1,94.79582412774369
27,17,5,10,4,0,0,1,86.2524200380782
34,16,8,9,4,0,0,0,83.17929157304964
29,21,8,10,3,0,1,0,78.96299631038485
25,31,11,15,6,0,0,0,84.91900644971398
28,25,7,15,0,0,1,0,82.82143440103887
55,18,12,21,4,0,0,1,113.3942914179932
38,23,8,9,4,0,0,0,84.79740581437424
36,24,6,15,4,0,0,1,96.79524880958164
34,15,9,18,4,0,0,0,86.74840956581046
41,17,10,16,3,1,0,1,100.21106445741596
26,18,12,6,7,1,1,1,88.44773856648293
38,13,10,16,2,0,0,0,87.66105660182724
14,16,10,13,3,1,1,0,72.75152317111454
46,22,7,18,7,0,0,1,105.41317634309462
36,22,5,11,1,0,0,0,83.54891469905122
20,19,10,16,4,1,0,0,77.65447615686723
32,24,10,18,5,0,0,1,97.82716148605934
40,30,9,2,4,1,0,0,84.53821849895026
34,18,12,14,3,0,0,1,94.05104905078356
24,24,7,23,2,1,1,1,93.39228016716538
35,19,12,15,1,0,0,1,98.70945802525164
44,24,9,8,3,0,0,1,97.74726688984
40,12,7,16,2,0,1,1,94.46472416825446
27,20,11,16,4,0,1,1,93.48399666196548
31,23,7,11,5,1,0,0,79.59744148532491
30,18,12,5,3,0,0,0,80.16458596336035
40,20,16,14,6,0,0,1,103.7542306434603
19,18,10,3,3,0,0,0,68.54572160844197
28,13,9,9,6,0,0,1,88.69436425951447
37,13,9,18,2,1,0,1,95.39803109249634
29,13,12,16,3,0,0,0,81.73350797737125
33,16,8,9,1,0,0,1,90.22114364483193
33,19,12,13,3,0,1,1,96.58139358391672
28,19,4,14,4,1,1,1,86.49772668264504
27,20,11,22,5,0,0,0,86.03727755227618
42,23,9,9,6,1,1,0,87.17863530873748
35,15,13,15,2,1,0,1,97.264504752144
36,13,9,13,0,0,1,1,92.96006595870608
37,18,10,14,2,0,1,0,89.06590750239369
24,20,11,13,1,1,0,0,79.13003571350839
45,22,12,12,4,0,1,1,102.67005687197346
21,22,6,21,3,0,0,0,80.71783457186137
29,21,9,20,4,0,0,0,86.73625292834498
31,19,13,21,2,0,1,1,99.60233856276275
40,14,12,12,2,1,0,0,87.32046024771483
25,23,11,17,6,1,0,1,90.5945767063658
36,22,9,11,5,1,0,0,84.5591932088921
32,13,9,12,5,0,1,1,89.02241085496549
36,22,9,20,2,0,0,0,91.99570646148956
26,19,8,21,5,0,0,1,93.62502140793418
31,15,9,6,7,1,0,0,77.2306343803205
11,21,13,26,4,0,0,1,89.27517148290926
31,22,3,18,3,1,0,0,83.1836117243458
28,7,11,15,3,1,0,0,77.38951873457725
22,15,8,10,4,0,0,1,83.83968265629073
23,23,11,18,6,0,0,0,82.88706412793661
31,10,8,9,2,0,1,0,77.69870793909433
25,21,12,13,0,0,1,0,84.0987344208698
13,11,12,18,6,0,0,0,73.71713573582733
39,29,3,16,1,0,1,0,90.96737257108732
38,16,9,10,4,0,1,0,85.36451829956725
27,17,7,13,3,0,0,0,77.09131050482445
16,14,13,13,3,0,0,0,73.94921219400186
40,22,7,10,5,0,0,1,96.71029206085292
35,23,10,15,6,0,0,1,99.20176273191623
18,16,9,24,2,0,1,1,89.36795179141639
28,11,12,12,6,0,0,1,88.58924154417028
39,3,15,20,5,0,0,1,99.62622055385263
30,18,8,12,4,0,1,0,79.62228994542792
25,22,8,12,3,0,1,0,80.07749787318232
38,8,11,12,3,0,1,0,82.6127121204027
21,17,5,15,7,0,1,1,84.56424191933772
22,11,16,8,3,0,1,0,75.74075917096133
17,18,13,10,0,1,0,0,75.36296576137751
39,22,9,9,5,0,0,0,87.36928716022088
42,15,12,7,6,0,0,1,97.14396928325176
37,20,13,4,4,0,0,1,95.09404476603008
34,27,9,16,2,1,0,0,88.75397847124701
32,22,14,8,5,0,1,1,92.384070339167
31,20,14,11,4,0,1,0,83.44388404874829
23,11,13,6,2,0,1,1,83.81347039822806
19,24,11,21,4,1,0,1,91.98315277691
41,8,7,16,4,1,0,1,95.74605157736464
21,18,13,20,5,0,0,1,93.28612357375692
45,13,14,17,2,0,0,1,103.9813036819396
40,15,12,21,6,0,0,1,104.09578610019469
27,16,13,11,0,0,0,1,89.57225231700168
36,16,9,16,6,0,0,1,96.87940759043616
26,29,10,11,3,0,1,1,92.88862426269772
25,22,9,14,3,0,1,0,82.44914552651704
22,12,8,13,3,1,1,1,83.29058663478003
31,18,10,11,2,1,1,1,90.4148282719094
22,17,7,12,6,1,1,0,76.56761261789764
26,17,5,8,6,1,0,0,72.65700206493267
19,18,10,11,5,1,0,1,83.52191865447895
23,30,8,12,5,0,0,0,81.87450699516056
22,23,4,9,1,0,1,0,74.3149694006967
33,22,12,18,4,1,0,1,99.34514621658008
36,28,8,12,5,0,1,1,96.2996494881698
47,18,8,17,6,1,0,1,102.81871215522108
29,28,8,15,2,0,0,0,84.94901269176928
36,8,4,-2,3,1,1,0,70.4821049247129
31,17,11,9,6,1,1,0,79.89889666515093
20,17,12,7,5,0,0,0,74.5999506601784
40,25,9,8,5,0,0,0,87.51388301242872
29,21,4,15,1,0,0,0,81.20317135541772
24,19,7,13,3,1,1,0,76.15613643600518
35,31,15,4,1,0,0,0,87.32632822800224
43,24,14,12,3,0,0,0,92.94427560755597
27,21,13,20,3,1,0,0,87.28994072364216
32,20,10,12,4,0,0,0,83.38889175081151
49,24,10,15,4,1,0,1,106.25526430120624
20,23,9,19,4,0,0,1,90.08701194627066
25,20,13,10,6,1,0,0,81.16136869620692
26,16,11,15,2,1,0,0,79.01444604185797
24,11,11,22,3,0,1,1,92.22028703104216
18,13,10,8,2,1,0,0,71.60460104907597
25,19,10,15,5,0,0,1,89.67850551302038
24,30,7,9,4,0,0,0,77.4203380079497
32,20,5,11,2,1,0,0,78.61863581061812
30,26,1,17,3,1,0,0,81.8487526646041
24,17,13,20,3,1,1,0,82.76683633352071
22,13,9,26,5,0,1,0,83.07308636342697
28,19,7,11,5,0,0,0,78.4738892663781
34,23,13,21,3,1,0,0,93.89631634512858
44,9,9,3,1,1,0,1,91.89455562148572
33,22,11,15,3,0,0,1,95.54521734515944
29,21,13,12,5,0,0,1,92.7581157897614
20,25,9,12,4,0,0,0,75.9901535304785
22,22,16,20,6,1,0,0,84.4740997202499
31,24,7,20,4,0,0,0,87.19862028657379
17,29,11,14,4,0,0,1,88.16152840402248
28,20,5,3,4,0,1,0,74.5520978015247
44,19,11,9,4,1,1,0,89.07168732721007
36,20,8,10,1,0,0,1,93.11703815223078
34,26,12,5,4,1,0,0,83.30017483915965
31,11,10,17,2,0,1,0,81.76751873170966
11,16,8,13,5,0,1,1,78.64168237734722
28,18,8,19,3,0,0,0,85.99637171797582
32,23,9,14,5,0,1,0,84.76676537613771
24,11,14,9,4,0,0,0,76.85570626125529
24,18,9,17,4,0,0,1,91.01304190615546
31,15,9,19,6,1,0,1,94.23107442217336
36,20,7,12,5,1,1,0,83.98862057114172
37,19,9,19,4,0,0,0,90.95414771294428
39,16,6,16,5,1,0,1,95.02494949625198
20,13,12,14,2,1,0,1,84.63488433200223
20,8,14,18,4,1,0,0,77.31497240357916
24,16,8,10,3,0,0,0,75.63131126999903
29,15,5,12,4,1,0,1,84.69910180911363
40,25,6,15,4,1,0,1,96.03482082426616
39,20,13,14,5,0,0,1,100.73405876662044
26,10,8,6,8,0,0,0,73.84003618345938
33,23,11,17,4,0,0,0,90.79610590667863
34,13,10,12,4,0,1,0,81.94662462188406
32,30,14,14,3,0,0,0,90.38857664294248
33,18,8,14,3,0,0,0,83.27847830820741
26,5,7,16,3,1,0,1,84.9320663782478
29,28,14,8,1,1,0,0,82.97669753549414
18,19,9,19,2,0,1,1,87.9142793850852
25,24,10,11,4,0,1,1,89.97694851198345
23,22,10,12,4,0,0,1,86.23668935850223
31,27,14,14,4,0,1,1,96.47724695255891
35,21,10,18,2,0,0,0,88.8957532725228
34,25,9,16,3,0,0,1,97.92272431477502
31,23,4,11,2,0,0,0,79.01226147469593
28,20,12,21,3,0,1,0,86.88813820314815
46,23,12,14,0,0,0,0,95.82931882747783
22,19,12,12,6,1,1,0,77.75658192553857
43,17,12,3,5,0,0,0,84.34243492603335
25,27,10,15,4,1,0,1,91.01743968675768
33,22,12,4,3,0,1,0,83.68239753210564
22,21,10,6,3,0,0,1,85.25012685387672
28,24,9,19,4,0,0,0,87.42685253436612
34,26,10,8,7,0,0,1,94.21047655479752
14,30,13,15,3,1,0,0,77.38049742969326
37,16,11,13,4,1,0,1,97.910683060008
25,16,13,10,3,0,0,1,88.64247312712348
33,22,6,5,6,0,0,1,88.1561041184654
27,15,6,19,3,0,0,1,92.312718729413
34,21,14,16,2,0,0,0,89.39433014312714
28,23,15,17,5,0,1,0,89.59066044425195
30,19,8,12,5,0,0,0,79.90877800763026
34,26,9,13,4,0,0,0,86.7475495474937
36,22,6,8,1,0,0,0,86.13881459927418
42,20,13,16,2,1,0,0,94.26161114471827
33,19,10,16,1,0,0,1,97.25922467829028
13,18,12,12,5,0,1,1,81.57591251181782
37,12,8,15,2,1,0,0,84.77252166239606
25,21,14,17,4,0,0,0,83.61787335873198
35,16,7,11,2,0,0,0,83.85646859603217
28,18,9,19,4,0,1,1,94.53129880783663
35,14,10,9,3,0,0,1,90.741805114727
28,22,14,8,4,0,0,0,80.64692967145574
30,19,7,13,5,0,0,0,80.57135653651488
25,20,7,8,4,0,0,0,75.27115103228475
38,22,11,22,4,0,0,1,103.67765455451249
27,23,10,16,5,1,1,1,92.0421657068789
32,15,10,16,3,0,0,1,94.33273669522085
20,20,8,15,4,1,0,1,87.62251588645188
31,24,11,11,5,0,0,1,93.57299818330408
52,29,8,17,3,0,0,0,101.20269194943104
14,24,8,0,6,0,0,0,67.14648012288863
37,11,11,16,5,0,0,1,96.25934153107694
30,33,18,8,5,0,1,0,89.91005842060494
34,23,8,18,3,1,0,1,98.32151480064448
42,18,17,10,7,0,0,1,102.18071704744256
18,15,8,20,4,0,1,0,77.19118215572009
28,40,5,7,5,0,0,1,90.6197250576678
24,14,11,18,4,0,0,1,91.40867233047128
28,17,11,9,1,0,0,0,77.71185010398466
23,19,12,12,0,0,0,1,89.57876259869244
25,15,10,14,2,1,0,0,80.05874801825544
30,20,9,16,4,0,0,0,84.66833710083928
29,16,13,12,3,0,1,0,80.22541036370878
37,23,10,14,6,0,1,0,89.19462177744857
23,19,9,13,4,0,0,0,78.50780577405962
41,24,6,12,1,0,1,0,89.08903060221641
33,13,9,15,3,1,0,1,92.78694359688394
21,19,11,5,3,1,1,0,70.98788816541988
18,24,10,11,5,1,0,0,76.26747523629854
28,13,15,11,3,0,1,0,80.65168319021966
24,24,12,19,3,1,1,1,95.94964766458858
36,8,7,15,4,0,0,0,84.06883178949806
35,19,11,11,5,1,0,1,95.0331995405139
23,20,8,19,7,0,0,1,91.39762609442828
45,16,9,16,3,1,0,1,102.5565976305876
28,21,8,18,2,1,1,0,83.13803394214034
29,19,14,14,4,0,0,1,93.22299007265036
43,14,7,9,3,0,0,1,93.38027574661145
34,23,11,18,4,0,0,1,99.4638543818662
40,28,7,17,4,0,1,1,102.48523107061926
24,18,5,13,7,0,1,1,87.08000466456136
37,13,9,8,1,1,0,1,90.12085993773296
38,18,2,9,3,1,0,0,81.78133873463067
10,16,14,9,4,1,1,0,67.79077080762876
8,7,11,19,5,0,0,1,77.56483726867542
31,20,8,15,6,0,0,0,84.35360342057126
45,23,2,6,4,1,1,0,83.77771124936321
12,17,13,10,5,1,0,0,71.35316223018154
27,7,12,13,3,0,1,0,75.71875786978002
17,24,5,14,6,0,1,1,82.44636884108655
39,18,10,10,0,0,0,0,87.10924504867454
25,29,11,13,4,0,1,0,85.04606288054204
42,10,6,11,6,1,0,1,94.22603515225684
17,26,13,16,4,0,0,1,89.45474933230702
35,24,10,12,1,0,1,0,85.74287687427882
21,9,3,16,6,0,0,0,72.30734166095478
30,29,9,10,6,1,0,0,83.81242835615953
30,26,11,15,1,1,0,0,86.73988074914071
45,19,9,8,0,0,1,1,97.14918405765002
28,21,10,11,2,0,1,0,80.992837432299
44,18,4,18,3,0,0,1,101.536088034031
36,18,9,11,4,0,1,0,86.14138207148865
38,30,7,14,5,0,0,1,100.87492940763713
31,18,7,12,2,1,0,0,80.68641402729476
35,16,10,13,3,0,0,0,83.38028571302209
21,30,10,10,5,1,1,0,77.67004718504718
17,18,5,14,4,0,1,1,80.59649141887401
35,19,10,7,3,0,0,0,82.29362963172197
25,25,7,10,5,0,0,0,77.56410959356391
28,17,6,15,4,1,1,1,90.27555424075967
23,21,12,14,3,0,0,0,80.5086674417724
42,23,8,11,5,0,0,0,89.40630895990577
24,19,10,14,4,0,1,0,78.80172590914273
39,26,15,7,3,0,0,0,89.23881547078464
28,20,9,21,2,1,0,1,94.17609675266536
28,22,9,15,2,0,0,0,83.58918329713748
30,16,8,19,0,0,0,0,84.05086606938612
30,25,9,12,2,0,0,1,92.9147078043204
24,17,9,19,6,0,1,0,80.9022282108055
30,11,7,16,1,1,1,0,79.77018762101606
32,10,14,7,3,0,1,0,80.08303569066712
22,7,12,9,4,1,0,0,73.03119609196037
13,18,9,12,5,0,1,1,80.40072646084563
24,23,6,12,3,1,0,1,84.07349981091333
41,12,11,25,0,0,0,0,93.35182663550783
40,13,10,11,4,0,0,1,94.91753332646442
17,29,12,19,2,0,0,1,91.08727777038044
35,23,10,6,4,0,0,1,94.5751677284884
34,19,10,14,4,0,0,1,95.42181677850012
27,15,10,22,2,0,1,1,95.46740299309992
33,24,7,21,6,0,0,1,97.70703981670586
23,27,14,14,6,1,0,1,92.52887210966288
34,25,9,24,3,0,1,1,101.5735967509284
29,28,6,2,3,1,1,0,76.7446571085563
23,18,6,20,4,1,1,1,88.87595480311492
33,19,8,20,4,0,0,1,97.35414390348257
32,22,15,13,1,0,0,0,87.71818852662541
34,20,8,9,3,1,0,0,81.00467975904913
18,18,11,17,5,0,1,1,87.16989774067873
25,24,8,10,1,0,1,0,78.27891336112312
32,10,14,16,4,0,0,1,95.57458143872546
19,8,9,19,5,1,0,1,83.6219067703694
33,30,8,10,4,1,0,0,83.47953292163315
35,15,8,16,1,1,0,0,84.16272346175845
36,17,9,13,1,0,0,1,97.11598837307152
28,21,14,13,3,1,1,1,91.75616664948164
30,13,13,14,4,1,0,1,91.28319878211695
18,9,13,11,7,0,0,1,81.69162534012172
41,18,11,14,4,0,1,1,101.85140831983544
41,23,9,19,0,1,0,1,102.3186662177489
22,19,7,6,2,0,1,1,83.43988041232878
38,18,8,10,3,1,1,1,93.03800257931388
33,20,3,18,6,0,0,1,93.92294852025056
37,20,11,22,1,0,0,1,104.52815222546027
11,16,7,8,4,1,1,1,73.76122592596023
35,16,13,6,4,0,0,1,93.8434874211962
35,24,8,10,2,0,0,0,86.30899262445833
39,14,0,18,4,1,1,0,82.16817654801369
29,24,11,17,6,0,0,1,96.05920319757747
27,25,4,11,6,1,1,0,77.84527939658165
37,20,12,22,2,0,0,0,92.7383692826675
36,23,12,14,-2,0,1,1,98.2636742898494
18,14,9,16,4,0,0,1,86.08633225148064
16,13,7,18,3,0,1,1,83.86767177576198
10,26,7,11,6,1,1,0,66.74944794049277
29,22,9,14,1,1,0,1,91.43529885919504
23,11,10,19,1,1,0,0,78.52853606244845
27,8,9,12,3,0,0,1,85.51793669759816
39,24,10,8,1,0,0,1,96.5682456282074
35,24,11,13,2,1,1,1,96.09834547891866
23,27,11,12,4,0,0,0,79.52317812482231
24,13,9,4,1,0,0,0,72.45248658357598
22,24,6,8,5,0,0,0,73.71210902583887
45,25,11,10,4,0,1,1,102.65756863701826
21,5,11,10,5,0,0,0,73.21697953276534
23,25,13,16,4,0,0,1,92.84079307720408
50,14,10,23,8,0,1,1,109.626279446455
25,25,11,26,2,0,1,1,99.26784982457208
25,21,12,14,3,1,1,0,80.84051274767653
26,18,8,14,0,0,1,1,87.68193394823642
34,32,12,15,3,0,0,0,91.4039149293012
27,21,11,15,2,1,0,1,93.41238377487169
27,21,7,17,0,1,0,0,82.71468392106657
46,15,12,13,4,0,0,1,103.12804990975476
34,25,11,17,5,0,0,0,90.20908108865824
34,11,14,16,0,0,0,0,86.56793868518629
39,14,12,11,3,1,0,0,84.97548920113448
31,14,10,13,3,0,0,1,91.21316973454684
35,26,10,10,2,0,1,0,86.3263076618446
25,24,11,14,4,0,0,0,85.78619486486305
17,14,9,17,5,0,1,1,85.61737818237694
44,16,7,12,5,1,1,1,99.85830900177707
36,24,6,14,4,0,1,1,96.92512550427392
