age,income,previous_loan_count,home_ownership,job_stability,rural_residence,low_interest_loan,loan_repayment
30,29,7,0,0,1,1,91.79331281424356
22,24,0,0,0,1,1,78.79079760850982
28,30,7,1,0,0,1,91.15719730536598
25,23,11,1,0,1,0,87.09927594452732
15,19,4,1,1,0,1,76.11737970535312
25,28,9,1,0,0,1,89.16758590169967
22,22,5,1,1,1,0,78.83225753796388
18,24,4,1,1,1,1,81.08924216856582
43,22,9,1,1,1,0,97.09714477889474
18,18,5,1,0,1,0,74.97350594387129
36,22,5,0,1,1,1,92.41352691770162
23,20,2,1,1,1,1,82.97526792478155
27,27,4,0,1,1,0,82.23211124641395
26,25,10,0,1,0,0,86.29357616386312
22,27,8,0,1,0,0,82.44394459900805
20,19,2,1,1,0,0,72.10840014802
34,24,9,0,1,1,0,90.5617383426992
35,31,7,0,0,0,0,90.4531978806032
15,25,5,1,0,1,0,73.3593260930389
11,27,7,0,0,0,1,77.89452260566163
0,23,4,0,1,1,0,63.31661156139443
10,22,3,1,0,0,0,67.08991377663106
34,25,5,0,1,1,1,93.22634331328204
21,27,5,0,0,0,0,78.05637193971766
39,25,5,0,1,0,1,94.86150986475188
20,20,6,1,1,1,0,76.57860515978086
32,24,4,1,0,1,1,88.56848875832932
21,23,10,0,1,0,0,82.97489079263036
22,25,5,0,0,0,0,77.92607860833868
22,18,6,1,0,1,0,76.10866408289596
21,31,6,1,0,1,0,79.18559655104404
4,22,9,1,1,1,1,74.80395461832985
32,23,7,0,1,0,1,92.19363490742924
29,23,6,1,1,1,0,83.8617966482822
37,32,5,0,0,0,0,89.97683589655162
10,29,5,1,1,0,0,72.29577376283547
12,21,8,1,0,0,0,71.93173435463798
18,23,3,0,1,0,1,77.94111217113227
28,16,7,1,1,1,0,83.19460279902498
9,21,4,1,1,1,1,73.06044663577599
27,27,7,1,0,1,0,84.77884716467928
35,28,5,0,0,1,0,86.45952309996507
34,27,3,0,0,1,0,83.73499656036867
26,25,3,0,1,1,1,83.58441763111573
35,23,6,0,0,0,1,92.4484094144877
35,16,4,1,0,1,1,87.3705172929655
36,26,5,0,1,1,0,89.05888549586136
29,26,2,0,1,1,0,83.65937516325054
28,20,1,1,0,1,0,78.1931642186254
7,11,7,1,0,0,0,63.84741670685325
30,25,5,0,1,1,0,84.72550745855581
33,23,8,0,0,0,0,87.12063813711728
31,27,2,0,1,1,0,81.14235322575888
26,23,6,1,0,0,0,80.45252067931436
25,19,4,1,1,1,0,78.0038754758427
37,16,4,0,0,1,0,85.6482118341284
15,24,4,1,0,0,1,77.3027369781167
41,21,4,1,0,1,1,94.11373057768758
28,19,1,0,0,0,1,82.24618299122629
33,28,5,0,1,0,0,87.07189784385983
14,26,5,1,1,0,1,79.83342761648352
37,17,9,0,0,0,0,88.83325284516289
35,25,6,1,0,1,0,87.13697038493237
31,25,7,0,1,0,0,86.19663506665994
23,24,9,0,0,0,1,88.5242335272624
12,29,8,1,1,0,0,74.64707939901079
26,22,7,0,1,1,0,83.98582261877846
19,28,5,0,1,0,1,84.29535593993536
32,12,8,1,0,0,1,88.68331015916282
17,22,5,1,0,1,1,77.78217974966523
28,23,10,0,0,0,1,90.76535994186752
22,25,6,0,0,1,0,79.58391639539597
22,24,6,1,1,0,1,84.37816853067235
25,18,7,1,0,1,0,81.35019194786354
23,26,3,1,1,1,1,84.0381319101993
37,24,5,1,0,1,1,94.86101642579918
29,18,2,1,0,1,1,83.56801499470087
27,22,7,1,0,1,0,81.95627334623735
15,23,6,1,1,1,0,73.47829562093516
30,22,4,1,0,1,1,87.6423412905985
27,26,9,1,1,0,0,86.52229437269469
29,25,4,1,0,1,0,82.61107504443154
27,25,6,0,1,1,0,85.32254990016602
26,20,6,1,1,0,1,85.7268234975691
26,23,4,1,1,0,1,85.62490965019991
45,20,5,0,0,1,1,96.18968751428108
28,24,7,0,0,1,1,92.3508799156831
17,23,4,1,1,0,1,78.55257205669032
20,24,4,0,1,1,0,78.7966530088331
26,26,1,0,1,0,1,83.39421477874275
3,27,5,1,0,1,1,70.91776491885086
32,32,6,0,0,0,0,86.39303292323356
43,25,5,0,1,1,0,94.58004462592652
23,21,9,1,1,1,0,82.68706683292285
19,20,4,1,1,1,0,73.92345922701898
22,18,10,0,0,1,0,81.84242808236428
17,24,9,1,1,0,1,84.30858346541467
32,24,5,1,0,1,0,86.21730991584064
20,23,4,1,1,0,1,81.62780256277014
36,31,5,0,0,1,1,94.6029940612883
35,21,3,0,1,0,1,90.06118221634976
27,24,9,0,0,0,0,84.83506608001312
13,25,3,0,1,1,1,74.49929568976926
24,23,7,0,1,1,0,79.40605417189462
32,30,5,0,0,1,1,90.65230931986706
17,25,6,0,0,0,1,81.2676784966533
25,18,3,0,0,0,1,81.80008963333526
25,29,5,1,0,1,0,81.56241371408497
34,29,6,0,0,1,0,88.55991093930503
30,25,7,1,0,1,1,91.51880392010771
24,23,3,0,0,1,1,83.12249797133943
39,18,1,1,1,0,0,84.95956766738492
31,32,6,0,1,0,0,87.92888869492738
-3,21,4,0,0,0,0,57.95299815947988
43,27,8,1,0,1,1,99.18838424412952
18,24,2,0,1,1,1,77.66021823557176
23,23,8,0,0,1,1,84.5115990843726
34,24,7,0,0,0,1,92.67860924876818
42,23,7,1,1,0,1,99.69019790545916
26,27,6,0,1,0,1,88.8788441023366
24,20,10,1,0,0,1,87.44347949008754
35,21,3,0,1,1,1,89.9417966897459
35,17,8,0,1,0,0,87.78030262394289
24,30,12,1,0,0,0,85.64897211911529
31,21,4,1,1,1,0,83.79148588100556
32,25,4,1,1,1,0,85.54844674596949
30,27,2,0,1,0,0,82.11202809520628
18,33,3,1,1,0,1,82.25299232951302
22,23,7,0,1,0,0,79.53460957737501
47,25,5,0,1,0,0,94.98151472503444
29,18,6,0,1,0,0,80.75378759111544
29,24,7,1,0,1,1,90.31244414919048
22,21,4,1,0,1,1,79.84680521334519
11,27,4,1,0,1,1,76.79664589104183
34,26,5,0,1,1,1,92.35099873780902
32,24,7,1,0,0,1,91.23115619112542
23,22,7,1,0,1,1,84.75857251743416
15,23,4,0,1,0,1,75.85631042027109
32,24,3,0,1,0,0,82.42697790814383
16,25,7,1,1,1,1,82.4524740601205
31,31,6,0,1,1,0,89.27078205187276
32,20,7,1,1,0,0,85.87711187439706
18,22,9,1,0,0,0,77.12399382496628
16,30,1,1,1,1,0,71.42635870513838
28,27,9,0,1,1,1,93.44265794473776
23,14,9,0,0,1,1,84.33029241999915
30,26,11,1,1,0,0,90.3538871182991
-1,22,7,1,0,1,0,64.022614355698
33,32,4,1,1,0,0,87.69292322988737
37,23,5,1,1,1,0,87.32889581962921
34,25,4,1,0,1,1,91.46036495420456
59,23,1,1,1,0,1,105.4665476793744
40,20,7,0,0,0,0,89.85858995620634
24,17,7,1,0,0,0,78.765564518561
20,24,5,1,1,0,1,83.5467643640204
12,22,7,1,1,1,1,78.39060437471414
28,21,10,1,0,0,1,90.33313070323528
27,20,4,1,0,0,0,77.904119112933
36,19,7,1,1,0,1,94.48021411222958
18,27,5,0,1,1,0,77.62386037693206
37,24,8,0,1,1,1,96.2622221701034
17,22,7,1,1,1,0,77.57089803936087
25,25,8,0,0,0,1,87.30930584255248
19,24,6,0,1,0,0,77.6365043245652
19,26,2,1,1,0,0,73.09868577129988
30,20,5,1,1,1,0,82.75395307249636
37,24,7,0,0,1,0,90.59677391936272
33,18,10,0,1,0,1,94.5226175579525
20,21,10,1,0,1,0,80.19464969799866
17,24,6,0,0,1,1,80.34551573804443
14,28,8,1,1,0,1,82.06385774687746
22,29,5,1,1,0,0,79.38577884021255
27,20,4,0,1,0,0,80.30933573805339
19,17,8,0,0,1,1,82.04366042563336
26,21,4,1,1,1,0,79.00541793969394
32,23,4,0,1,1,1,90.2841125398891
32,24,5,1,1,0,0,85.31975500331284
34,17,6,1,0,1,1,91.08037087218852
38,31,2,0,0,1,0,85.73936584436117
34,24,5,0,0,1,0,87.81121119840549
18,25,3,0,0,1,0,72.55628826024099
20,22,2,0,0,1,1,77.96375970971366
26,22,5,0,0,0,0,78.79898064231112
21,27,6,1,0,1,0,80.52996011802138
23,24,2,1,0,0,1,79.21260392570342
25,20,9,1,1,1,0,83.60347398846235
21,16,5,0,0,0,1,79.01051271012352
15,29,5,1,0,1,1,79.75065775601118
32,27,4,1,0,1,0,82.82156036633803
28,25,10,1,1,1,0,89.2442236413815
26,20,5,0,0,0,0,79.78696029681603
15,19,4,1,1,1,1,78.50893435449687
8,23,2,0,0,1,0,64.97897663374778
10,21,7,0,0,0,0,70.19671837269078
13,25,0,0,1,0,1,72.31757489219713
30,27,3,0,0,0,0,79.23045647825688
14,21,5,1,1,1,1,78.36470757304888
43,29,6,0,1,0,1,99.7380454778051
31,21,3,1,0,0,0,79.80984188577175
24,23,5,0,1,1,0,80.12621913477113
22,23,3,1,0,1,1,79.47578853502428
32,20,7,0,0,1,0,82.19264073800079
24,19,6,1,0,1,0,77.57700764563191
21,25,6,0,1,1,1,85.99649493780376
33,22,6,0,0,1,1,89.84152464630729
32,20,7,1,1,1,0,84.59103199022088
13,25,5,1,0,1,0,74.21685286103995
29,22,5,1,0,1,0,80.99992247824784
17,23,7,0,1,1,1,81.48944913336284
30,27,3,0,1,0,1,89.04630082697447
24,22,7,0,0,0,0,80.08117233563803
11,22,5,1,0,1,0,68.47598828315124
8,18,4,0,0,1,1,69.6169838992094
25,23,6,1,0,0,0,78.96071533330291
23,21,5,0,1,1,1,84.1320166914973
30,29,6,1,1,0,1,93.1789568780366
21,28,5,1,0,1,1,82.87719573664613
20,28,6,1,1,1,0,79.91251428623359
23,27,6,0,1,0,1,87.04708684506471
19,23,2,0,0,0,0,74.69455392482668
26,28,7,0,0,0,1,90.2763511085148
19,16,8,1,0,0,1,81.83603998877948
13,25,4,1,1,0,0,71.64175475279477
15,22,7,1,0,1,1,79.87448953367944
28,23,9,0,1,1,0,86.57011029277398
33,23,2,1,1,1,1,89.7094413848922
31,21,4,0,1,0,1,87.45620943572543
19,28,10,1,1,0,1,88.13629226562564
27,28,9,1,0,1,1,91.86913174998976
28,24,4,1,0,0,1,86.43790239311694
5,28,7,1,0,1,0,69.69240068143732
20,28,7,1,1,1,1,85.91494219823565
32,22,5,1,1,0,1,90.42202616208674
18,33,6,0,0,0,1,84.47527434271306
33,29,4,0,0,0,1,90.83772714849616
31,21,8,0,1,0,0,87.4387350445376
19,19,9,1,1,0,1,83.45226971035282
24,18,6,1,0,1,1,84.56561147273113
39,26,7,0,0,1,1,96.9999102990561
16,23,3,1,1,0,0,74.06971702006139
21,26,6,0,1,1,1,84.31751508553445
33,31,0,0,0,1,0,83.75688999143038
20,31,7,0,1,0,0,81.47980212777948
16,31,5,0,1,0,1,81.82114791516663
41,19,5,1,1,0,1,94.6131731684139
22,24,8,1,0,1,0,80.24736243910972
7,25,6,1,1,1,1,75.89902283848492
15,26,5,0,1,0,1,78.32973643382986
30,21,5,0,0,1,0,80.6302313474538
27,15,3,1,1,0,1,82.14375163998396
25,29,2,1,0,0,0,78.29781449125701
51,16,4,0,1,0,0,93.33297886318846
23,25,6,1,0,1,0,79.3681985269823
29,30,4,1,0,1,1,89.18165801356122
35,24,5,1,1,1,1,94.9072810746234
36,20,6,0,0,1,1,94.54574852896626
17,24,8,0,0,1,1,84.01460921152695
25,19,6,1,1,0,0,77.95898487784488
0,20,4,0,1,0,1,65.9439207221209
17,33,9,1,1,1,0,83.03297278874673
28,26,6,1,1,1,0,82.09280401698109
35,27,2,1,1,1,1,91.2190513310308
18,31,5,1,0,1,0,78.25825565362881
1,22,6,1,1,0,1,69.32074316394292
5,28,8,1,1,0,0,71.90882791885774
33,31,4,0,1,1,1,92.4767605597827
21,25,6,1,0,0,1,82.88422639290516
28,27,7,1,0,1,0,86.44455301166786
6,17,9,1,1,1,0,70.96586117964972
16,20,4,1,0,1,1,78.27396831620206
9,23,7,1,0,0,1,75.3941375020172
31,18,7,1,0,1,1,89.49864390494567
37,27,4,0,1,1,0,89.61029333782116
22,22,4,0,1,0,0,77.30007378071872
16,24,5,0,1,0,1,80.62049343057355
25,28,6,1,1,1,0,82.72628800633811
23,27,3,1,1,1,0,76.76250372624932
20,23,5,1,1,1,1,81.08004823354429
19,22,8,0,0,0,1,81.08729576191887
21,31,4,1,0,1,1,83.48072100338817
25,28,5,1,1,1,1,85.62720261582636
22,30,4,0,1,1,0,82.72167788724694
5,19,7,1,1,0,1,71.61209961619552
29,30,5,0,1,0,0,84.77057263573354
9,25,4,0,1,1,1,76.35230850611899
9,22,6,0,0,0,0,69.63976388560056
26,28,8,0,1,0,0,86.7769017441403
30,20,6,1,0,1,1,87.33624777817332
17,18,4,1,0,1,1,77.37436786247123
52,23,8,1,0,1,1,106.86476436157264
19,23,8,0,0,1,0,78.24013052038107
23,23,6,0,0,1,1,85.35167560192937
23,23,7,0,0,1,1,85.06719731905336
31,30,3,1,1,1,0,84.87348242849338
20,26,7,1,0,0,0,79.03989250396366
34,27,0,0,1,0,0,83.95404675791693
9,33,7,1,0,1,0,73.88923096097754
24,18,1,1,0,0,1,76.7124269053713
20,32,7,1,0,1,0,81.33075833447681
35,16,9,1,0,0,0,89.24297374772493
26,18,5,0,1,0,1,85.70575993381647
16,22,2,1,1,1,1,76.21044278892802
12,21,5,0,1,0,1,75.20651869712128
36,15,8,0,1,1,1,94.70715435447056
9,25,4,1,1,1,1,75.96760245812672
40,25,7,1,0,1,0,92.92428572807862
13,23,7,0,1,0,0,73.42373232860267
12,25,2,1,1,0,0,69.95448617447585
24,21,8,1,0,1,1,86.8730054444106
35,19,5,1,0,0,0,85.69556804256969
42,22,8,0,1,0,0,92.81450414895708
35,27,4,1,1,1,0,88.16084351769524
46,28,8,1,0,0,0,98.3462866033014
31,25,7,0,0,0,1,91.23452178649086
22,24,4,0,1,0,1,82.05852460846403
14,28,0,1,1,1,0,71.05015305600871
13,27,4,1,1,1,0,72.14906893681005
17,21,4,0,0,0,1,78.87974324875255
24,27,4,0,1,1,1,84.08922122420667
1,25,6,1,1,1,1,71.8618872303331
13,21,9,1,1,1,0,75.03399329041012
14,25,1,1,0,1,0,67.72185981082808
27,32,8,0,0,0,0,85.81548536648128
27,19,5,1,0,0,1,85.95018669298761
24,25,3,1,0,1,1,82.46131407464634
39,25,6,0,0,1,0,90.4768446379286
32,27,3,1,1,0,0,84.30010811973861
29,28,8,0,1,0,1,93.01241583227504
27,36,4,1,0,0,0,83.58306698865633
13,20,4,0,1,0,1,75.97442557780083
34,27,8,1,1,1,0,91.03569840416372
13,25,10,1,0,0,1,81.83967055864989
13,25,6,1,1,0,0,72.47961698393652
15,25,3,1,0,1,0,72.05196711610441
9,25,5,1,0,1,0,70.14038877909464
14,18,6,1,0,1,1,75.91458958838945
13,25,4,0,1,1,0,71.68253925881676
31,24,9,1,1,0,1,94.80726313279172
28,22,0,0,0,1,1,80.91846983411922
38,26,10,0,1,1,0,95.46679599766784
6,22,5,1,1,1,1,73.51110996383247
19,31,3,0,0,1,0,76.83910515244384
10,22,8,1,0,0,1,76.62141241452571
29,22,7,0,0,0,1,88.75191410357965
23,23,7,0,1,1,1,85.43923292469034
28,25,6,0,1,1,0,84.43900591940765
16,28,4,0,1,1,1,81.67306067480426
37,24,5,0,1,0,1,93.1216833913696
18,21,3,0,0,1,0,71.20083736478055
10,19,8,1,1,1,0,71.86345237459692
25,21,6,0,1,1,1,85.53293978404989
37,27,5,1,1,0,0,90.54176970339836
20,23,4,0,0,0,1,80.96218150450775
27,28,2,0,0,0,1,82.78739255589
20,19,5,0,1,1,1,80.765480659965
13,30,5,0,0,1,1,78.63563698492045
26,29,5,1,0,0,0,82.31596881747717
39,26,10,0,0,0,0,94.2812018977056
15,20,2,1,1,0,1,74.29279217732996
28,22,6,1,0,0,0,82.4777641901477
23,23,1,0,1,1,1,82.05426102534045
18,29,5,1,0,1,1,81.9023898523768
11,14,2,0,0,0,1,70.25078441975627
14,26,5,0,1,1,1,80.2461982232149
-4,17,0,1,1,0,1,59.36191410938452
29,30,7,0,1,0,0,87.21856950390281
41,29,0,1,1,0,0,87.66545017825959
10,20,3,0,0,1,0,67.28626595991877
23,22,5,1,0,0,1,83.25409048837541
9,30,6,1,1,1,0,73.26752563007096
0,24,5,1,1,1,1,69.5640535854104
17,31,2,1,1,1,0,73.47292325929688
29,22,4,1,0,1,1,86.21379120386584
33,21,3,0,1,1,0,83.96718712957019
17,29,6,1,1,1,0,77.53191395205197
31,26,4,1,0,1,0,82.63631008076591
42,26,8,0,0,1,0,94.50078678716156
22,20,0,1,1,0,0,72.40116082729428
42,25,10,0,1,1,1,101.43368853326552
22,22,7,0,0,0,1,82.86091953228728
34,23,6,0,0,1,0,84.56529316950089
36,21,5,0,1,0,1,91.63299433398656
12,25,7,0,1,0,1,78.13198901211882
29,24,5,0,0,0,0,83.0052941258588
25,24,6,0,0,0,1,83.9673398101681
18,24,6,0,1,1,1,83.31513119162788
25,29,7,0,1,1,1,90.98264368697122
33,16,4,1,1,1,1,88.92619595774948
38,24,8,1,0,0,0,90.31801975982022
49,22,10,0,1,0,0,99.85100380611276
19,25,6,1,1,1,1,85.76159478004047
51,30,4,0,1,0,0,98.3656973787114
19,19,5,0,1,0,0,73.84073550811073
26,25,8,1,1,0,1,89.03629247204354
30,29,11,0,1,1,0,90.33524419881611
28,30,7,0,0,0,1,91.01946978963343
23,20,3,1,1,1,0,74.47820511529925
11,25,6,0,1,1,0,72.65482528907144
36,34,3,1,1,0,1,94.88047600186069
37,23,7,1,1,0,1,96.0708689931747
30,20,3,1,1,1,0,81.80704419775434
24,29,7,1,0,1,1,87.81194475761036
25,27,11,0,1,1,0,87.92179429012528
36,21,5,0,0,1,0,87.50626868976434
18,24,8,1,0,1,0,77.22328671072826
23,17,6,0,1,0,0,77.40369466726243
7,26,6,1,1,1,1,76.11667286386098
37,16,6,1,0,0,0,86.88428811611902
25,23,4,1,1,1,1,84.98167651064435
37,22,6,0,0,0,0,89.61651546581817
38,11,4,1,0,1,1,90.0754187893402
34,22,6,1,0,0,0,85.4296762831819
18,20,8,0,0,0,0,77.46051578534446
42,22,3,1,1,1,1,95.64869644892268
34,22,5,1,1,0,1,91.61668690041424
35,17,4,1,1,1,0,84.30332100631335
11,20,1,1,0,1,1,70.46282841285216
30,29,4,1,1,1,1,90.02896144195068
25,22,5,1,0,1,0,80.21803343535254
34,20,10,1,1,0,0,91.7580095615242
15,24,6,0,1,0,1,80.3864509233134
24,25,7,0,1,0,1,86.3263785039272
19,23,9,1,1,1,1,87.2536001478733
33,24,7,1,0,1,0,87.45346528378433
35,28,3,0,0,0,0,86.8371743167338
21,33,6,1,1,1,1,86.2035758031907
27,23,4,0,1,1,0,80.74418094522767
27,26,5,0,0,0,1,86.2605036427608
19,24,5,1,1,1,1,80.94044163831178
32,22,5,1,1,1,1,88.69633965610913
12,23,2,0,1,1,1,74.19901386918716
4,30,8,0,0,0,1,75.04467702220617
26,22,6,0,0,1,1,84.42081432416381
31,24,5,0,0,1,0,84.03228316706175
12,31,2,1,0,1,0,70.25004211385667
37,23,4,1,1,1,1,92.7772123224832
14,23,8,1,1,1,0,74.2910348294025
34,18,7,0,0,0,0,85.76013201972849
21,20,7,1,1,0,1,83.01826889371075
24,21,6,0,0,1,0,78.17034219081187
33,25,4,1,1,0,0,85.70144177595203
22,25,5,0,1,1,0,78.3211234035042
18,24,6,0,1,1,0,77.77887079898014
10,22,1,1,1,1,1,71.46066897411023
14,24,7,1,0,0,0,74.28088133241897
21,28,6,0,0,0,0,80.36688010848489
25,21,4,1,0,1,0,78.82330168524145
35,25,6,1,0,1,1,93.20256456539562
32,26,1,1,1,0,1,87.86060448607155
11,26,8,0,0,0,1,79.19045665277854
24,22,8,0,0,1,0,82.28970718893541
25,27,8,0,0,1,0,83.88780990377904
22,20,5,1,0,1,0,75.5044656954136
19,28,6,1,0,1,1,83.34501594013382
28,20,5,1,0,1,1,85.01741159372904
26,18,2,1,1,1,1,81.66885183977685
32,22,7,1,1,1,1,91.96000389249484
25,22,3,1,0,0,1,82.73391090871887
26,20,6,1,0,0,1,84.70566485898597
29,33,4,1,1,1,0,84.8476640086876
32,23,1,0,1,0,1,84.93771804609516
30,24,7,0,0,0,0,84.85186732143163
12,22,7,0,0,0,0,73.03496689949172
25,23,1,1,0,0,0,74.46456846886836
17,23,5,0,0,1,0,72.75446030751199
30,23,3,1,0,1,1,86.96120457101165
40,23,6,1,0,0,0,89.74650967288548
21,23,3,1,0,0,0,74.67654295570236
22,24,8,1,1,1,1,87.21577398286009
24,23,5,0,1,1,0,79.32887872023578
22,24,2,0,0,0,1,78.91980823267208
32,24,4,1,0,1,1,90.16078256439332
15,23,8,1,0,0,1,81.26895537675634
20,16,6,0,1,1,0,76.80637957175344
24,22,6,0,1,1,0,80.5553995556757
13,27,5,1,0,1,0,72.93800073469754
40,28,5,1,0,1,0,92.3576244098586
19,22,6,1,0,1,1,80.74107136297556
16,22,5,1,1,1,1,79.99989855952273
18,22,6,1,1,1,1,83.27709959437476
34,23,6,1,0,1,1,92.48766538087293
24,22,4,1,1,0,0,77.47697178441841
34,23,7,1,0,1,1,93.0284772177651
8,23,4,1,1,1,1,73.81651429473546
49,27,5,0,1,1,0,96.466310622967
13,29,5,1,1,1,1,79.8808213454699
34,17,7,1,0,1,1,93.12225277452272
10,23,5,1,1,1,0,70.6937677502699
27,21,8,1,1,0,1,89.77081082432798
38,30,9,1,0,1,0,94.37066247916758
25,29,5,1,1,1,1,88.42132537147882
13,29,5,1,1,0,0,75.40032919135125
25,22,9,0,1,1,0,84.06236783697915
15,24,8,0,1,0,1,82.4758400146219
31,29,6,1,1,0,0,86.02718842105104
45,23,6,0,1,1,1,101.8076923074811
22,25,4,1,0,0,1,81.32978376008796
16,20,3,1,1,0,1,75.98001522117985
21,24,6,1,0,0,0,78.04221088913738
25,25,4,1,1,0,1,85.8720257820993
6,25,3,1,0,0,0,64.78275660996538
22,30,8,0,1,1,1,88.43898469845087
36,19,3,0,1,0,0,84.82013982446352
25,28,5,1,1,1,1,89.12884829892845
32,16,6,0,1,1,0,84.53795465438559
34,23,6,1,1,0,0,84.9901946469414
9,20,2,0,0,1,1,71.46320362094836
28,22,4,0,1,1,0,82.67907799450319
24,22,7,1,0,0,1,85.82212399682595
23,19,3,1,0,0,1,79.66782560783261
36,28,4,1,0,0,1,91.92245776275936
15,14,2,0,1,1,1,72.4973165149999
5,25,3,1,0,0,0,64.6274526845024
33,27,6,1,1,1,0,86.99514149069209
20,27,2,0,1,0,1,78.52208714389474
19,25,4,1,0,1,1,80.70129749361902
32,21,3,1,0,0,0,82.69335244024883
30,28,2,0,0,1,0,81.26005164644761
34,22,8,0,0,0,1,92.15424555363384
21,24,11,0,1,1,1,87.53306896382749
31,21,8,1,1,0,0,86.74818470234747
23,23,9,0,0,0,0,80.92022131962082
29,24,7,1,0,1,1,88.82996038849703
38,18,5,1,1,0,1,91.44397365094488
16,23,8,0,1,1,1,82.84514180993854
28,30,4,0,0,1,1,88.06943946642704
47,21,7,0,0,0,0,94.45013221991942
32,26,1,1,1,0,0,83.22395595799594
45,24,4,1,0,1,0,92.9117544551692
20,28,8,0,0,1,1,86.40382389752563
14,17,4,0,1,1,0,70.05590895187055
25,16,9,0,1,1,0,80.32060373518024
15,23,5,0,1,1,1,79.02290171449111
30,29,4,1,1,0,0,82.69727093227723
38,22,4,0,1,1,1,90.95894139083605
27,23,5,1,1,0,0,83.2883641249693
26,21,5,0,1,0,1,84.7825997687742
22,26,6,1,1,1,0,80.96539198754425
17,24,4,1,1,1,1,81.11100028143328
31,19,4,0,0,1,1,86.70790618037321
30,32,5,1,1,0,1,91.9264018471874
38,21,4,1,1,0,1,92.5186538015006
28,28,5,1,1,1,1,88.91807188875731
23,21,5,1,0,0,0,74.49711815768548
28,29,2,1,1,1,1,86.32756240031465
25,24,6,1,1,0,1,85.89161553863885
