age,education_years,income_level,crime_rate,home_ownership,urban_residence,neighborhood_watch_participation,perceived_safety
9,17,8,21,1,0,0,88.68315485316369
28,17,3,17,0,1,0,78.88023724232677
21,23,3,12,1,1,1,80.50304624819344
17,24,7,5,0,1,0,75.46073715765912
21,27,6,13,1,0,1,84.0886536036299
39,28,7,13,1,1,1,87.40063184483772
11,24,7,13,0,1,1,85.0295781519108
21,23,0,23,1,0,0,84.79392752743081
19,27,8,13,1,0,0,85.05463437189478
40,17,4,7,0,1,0,70.53540818742162
17,25,5,12,0,1,1,83.11684856279732
31,26,6,21,1,1,1,93.58444217023148
17,26,6,18,1,0,1,89.2309188346043
20,28,7,15,1,0,1,88.32119344119874
25,22,5,8,1,1,1,75.31903100448748
32,26,7,18,1,0,0,88.03372764118568
22,24,6,9,0,1,0,76.18028797627633
23,25,9,17,1,1,1,92.18103700799718
25,21,5,15,1,1,1,84.68246102186103
20,18,5,14,1,1,1,80.82226784261765
17,34,8,18,1,1,1,97.04265855390987
18,24,9,16,0,1,0,86.81741794732886
18,19,6,18,1,0,1,85.10252979090546
23,19,7,9,1,0,1,78.28431093841468
16,13,6,10,0,1,1,77.68135834501187
40,21,6,12,0,1,1,83.33058544436949
33,27,6,14,1,1,0,84.06702313938187
28,30,7,20,0,0,1,92.85068487382476
26,18,5,13,1,0,1,80.52360965991147
32,23,5,18,1,0,1,87.93372383076192
26,19,4,6,1,0,1,72.44614007832926
19,22,6,12,1,1,1,81.47290549138
18,19,4,11,1,0,0,75.32798704780396
21,18,5,25,1,0,1,91.54389232738616
9,22,10,16,1,1,1,91.10504937348809
24,17,1,16,1,1,0,76.31953739281856
18,21,3,20,1,0,0,84.36175664430566
28,18,9,22,1,1,0,89.81766666959189
43,23,6,16,0,1,0,84.71134245047521
39,27,7,9,1,1,1,81.97429416636308
34,21,6,15,0,1,0,81.34008906617126
27,21,6,23,1,1,0,89.79448003603994
11,23,6,14,0,0,0,81.47411849392634
18,23,2,11,1,1,0,76.94781601771594
48,32,7,14,0,0,0,86.28492636734819
29,25,7,17,1,1,0,86.34079215048806
37,22,9,23,0,0,1,93.77489831843384
19,21,4,26,0,0,0,89.57920933017289
2,20,4,19,0,1,0,83.87731498429405
16,32,8,15,1,1,1,91.36043182258231
31,21,9,10,1,0,1,82.40382242925263
24,21,8,12,0,0,0,80.48255821218693
19,21,7,10,0,1,1,80.17691204753513
15,27,5,23,1,0,0,89.95459649592513
22,27,7,17,1,1,0,89.18265269894863
19,22,5,18,1,0,0,85.34677265851673
13,24,9,11,1,1,1,83.46314407777544
10,22,3,19,1,1,0,84.91992082988939
25,18,8,11,0,0,0,76.24128451167702
12,19,6,15,1,0,0,80.63342026507995
33,23,8,17,1,1,0,86.72969367260743
27,25,3,17,0,0,1,85.8786555496655
21,22,7,14,1,0,0,83.57439709696128
10,25,5,10,1,1,1,81.46760951429309
20,21,3,23,1,1,0,87.51545000671211
26,24,2,24,0,1,1,91.33343946883006
25,28,5,16,1,1,0,87.03003417355299
19,18,9,18,0,1,0,85.67585617489065
10,21,7,14,0,0,0,81.6460619970672
16,17,8,8,1,1,0,74.41450680158859
22,23,8,11,0,1,0,81.86917328077712
25,29,10,16,1,1,0,91.524212809986
20,30,8,19,1,0,1,94.82107455725948
7,22,7,14,1,1,0,82.20262601947147
24,21,2,15,1,1,1,78.7856805668412
33,13,6,15,0,0,1,79.87359750271645
27,14,9,12,1,1,1,81.0931974166794
26,21,4,18,0,1,1,83.6779400368239
17,24,4,22,1,0,1,91.57954196811323
13,27,4,14,1,1,0,83.09834341114059
29,28,6,14,1,0,0,84.17843214930994
28,19,6,17,1,1,0,83.06783536648307
26,22,8,19,1,0,0,86.46964738568056
16,21,8,18,1,1,1,88.76715053328324
26,30,4,14,1,0,1,84.22460911262465
22,24,9,13,1,1,0,84.42249902710076
15,28,8,15,1,1,0,87.17941044008349
22,20,5,18,1,1,0,84.27413429699827
26,26,5,18,0,1,1,89.10238188603677
13,24,5,12,1,1,0,80.01871296538674
24,22,6,11,0,1,0,78.3039692878951
13,22,2,14,0,0,0,79.85775792133688
24,17,10,18,1,1,1,88.8480840519021
26,30,4,15,1,1,1,86.85437958402844
-1,21,7,17,1,1,0,86.11113916034469
29,20,8,14,0,0,0,83.33577291143337
19,23,6,20,1,0,0,87.40093029629882
22,20,7,17,1,1,0,85.90847329479101
26,24,5,14,1,1,1,85.14252195705818
12,21,4,12,1,0,1,77.9145185296759
34,24,6,14,0,1,0,82.54182261862324
32,33,6,20,1,1,0,92.41018639945138
15,20,6,21,0,0,0,85.18112932140728
9,34,2,15,1,0,0,84.73703910548882
18,16,9,14,0,0,0,78.91991043611472
32,22,6,28,1,0,1,98.53444067476048
19,24,7,13,1,1,1,83.80258547339605
11,14,9,14,0,0,1,81.16807803517199
29,23,7,15,0,0,0,83.4112850983088
37,35,9,19,1,1,0,96.69883139359877
42,30,2,16,1,0,0,82.49255021883035
21,25,4,11,1,1,0,78.75540974724359
38,28,6,11,0,1,0,81.95250230707185
38,22,6,19,1,0,1,90.732267658721
36,20,5,16,1,0,1,84.06676039553716
14,26,6,10,0,0,0,79.78898672461904
31,23,3,15,1,1,1,82.40598318567476
10,22,4,22,1,1,0,88.37946892530448
30,19,7,16,0,1,1,87.60430266907284
7,33,3,16,1,0,1,86.60824989552961
4,18,8,17,1,1,0,84.7290804867467
38,10,1,17,1,0,1,77.13407951199856
34,19,3,22,1,0,0,84.91395550901044
25,28,5,9,1,1,1,83.52618664979757
36,27,6,20,0,0,0,90.03991612964474
21,29,7,12,0,1,0,82.58299373397449
29,29,6,11,1,1,0,81.86484817158532
17,29,4,12,1,1,1,83.70385501287194
17,23,4,14,1,1,1,81.64398224226183
27,21,6,14,1,1,1,83.99943231482487
37,21,5,23,1,1,0,90.59409385771372
36,28,4,15,1,1,1,87.174043521127
18,20,8,18,1,1,0,86.76430650770877
26,22,5,19,1,0,0,84.91349581209366
16,23,4,13,1,1,0,81.51159586204506
26,21,2,21,1,0,1,87.48074125424232
35,32,7,9,1,1,1,83.12492545247896
6,22,6,13,1,0,1,83.21901654623704
8,25,4,15,0,0,0,81.05219136207151
14,22,-1,18,0,1,1,80.96256844332977
14,25,7,12,0,1,0,80.71889411639809
21,27,7,7,1,1,0,77.88218386986853
4,17,4,17,1,0,0,79.90027886536713
28,22,5,24,0,0,0,89.24141132348575
26,22,4,14,0,0,0,78.49262279208943
14,27,5,13,1,0,0,82.46091395330906
17,22,2,14,1,1,0,78.06811000669389
25,22,3,13,1,1,1,80.4706966212041
29,29,4,15,1,0,1,85.71189630996668
22,21,9,12,1,1,0,79.90706559558481
27,23,7,13,1,1,0,81.75212799740285
30,22,7,9,0,1,0,77.8296395087188
20,26,7,17,1,0,0,86.63401878191144
22,28,4,16,1,1,1,86.6461092057491
42,19,5,16,0,1,0,81.5770413677614
37,17,5,16,0,0,0,79.62102745254262
31,19,9,13,1,1,1,83.90753145357804
19,27,5,9,1,1,1,81.10519256208664
19,28,12,24,1,1,1,101.872101789504
19,27,7,19,1,1,0,91.68396385631412
17,22,3,18,0,1,0,82.23467252066565
26,23,3,22,1,0,0,86.95410168754196
36,28,6,11,1,1,0,81.05594443656213
26,22,7,13,1,0,1,84.11619138990852
18,23,3,19,1,1,1,87.42260134675266
28,21,7,8,1,1,0,75.92361443730513
18,22,6,19,0,1,0,86.61029560716399
34,23,9,14,1,1,0,83.95196045528219
19,28,6,22,1,1,1,94.99422519777974
5,22,2,16,1,1,0,81.07530095617017
32,28,4,19,1,1,1,89.71980282095812
28,27,8,19,1,1,1,93.69566453322508
4,23,6,16,1,1,1,85.71605793458468
22,25,8,12,1,0,0,83.43140410061771
23,23,6,15,0,1,0,81.84294549191074
7,17,5,15,1,1,1,82.1572442865487
33,22,6,17,1,1,0,84.64996230834412
21,29,4,13,0,1,0,82.7182851396251
37,19,7,12,1,1,0,79.8427455180895
39,24,5,18,1,1,0,84.47286889825077
37,24,6,19,1,1,0,86.80722125421381
34,23,7,12,0,0,0,80.77467106614938
21,22,6,16,1,1,1,83.26598640050675
23,28,6,19,0,1,1,92.5503541993256
27,27,4,19,1,1,1,87.6611702883745
26,21,5,22,1,0,0,86.42472698215639
27,18,3,24,0,1,0,86.55676863006175
22,28,4,20,0,1,1,91.06055529425436
16,23,6,10,1,1,0,78.63745208884603
25,25,7,14,0,1,1,84.45739161803596
13,18,10,21,1,0,1,93.76628632654112
36,21,2,13,1,1,1,80.77610962397799
33,31,3,13,1,1,0,83.06224947921736
20,20,3,19,0,0,1,82.65247230571707
18,21,2,11,1,1,1,79.39133369440407
28,22,4,16,1,1,0,81.58767286512379
13,24,3,10,1,1,1,77.90937107985887
25,22,5,13,0,1,1,82.96466813350476
21,23,6,23,0,1,1,92.4942498598705
40,21,2,14,1,1,0,77.3790008627765
29,30,4,16,0,1,0,87.40817739791318
26,24,6,9,1,1,1,80.31842811782094
22,23,7,16,1,1,1,89.0888374572674
26,26,7,23,1,1,1,97.2344037282452
7,22,8,16,1,0,0,84.30391230293682
30,34,3,17,1,1,1,87.58267697135153
54,21,6,20,0,1,0,88.15373753026219
16,26,4,18,0,1,0,84.33956581670252
22,22,6,14,0,1,0,82.00409904379177
12,26,6,14,1,0,1,85.60527216397212
16,12,7,15,1,1,1,80.07915059677934
14,25,4,23,0,1,0,88.00725449766527
32,23,8,6,1,0,1,77.66403920280815
17,18,5,14,1,1,0,79.509466639047
32,32,6,16,0,1,0,87.730251537778
22,22,6,18,1,0,1,90.44213474629476
24,19,5,13,1,0,1,78.41307993729788
24,27,7,15,0,1,1,87.17874320264377
14,21,6,17,0,1,0,83.47163310761181
28,26,7,19,0,0,1,90.51682622970988
16,27,6,20,1,1,0,89.23671145205495
28,16,0,11,0,0,1,73.54152788122947
24,24,11,18,1,1,1,95.50671712520916
33,19,8,16,1,1,0,81.34054250435354
28,21,6,19,0,1,0,87.50910367405953
30,24,6,15,0,0,0,83.57358711642917
41,24,5,21,1,1,0,88.429401936395
12,17,4,19,1,1,1,86.3191138166154
25,24,6,18,1,1,1,89.3498601865245
24,23,2,19,1,0,1,85.28322883184431
33,18,5,22,0,1,1,90.33672131091386
27,21,8,20,1,1,0,88.38326739527902
29,22,6,6,1,0,1,75.8942603266727
24,28,3,14,1,1,1,85.3221719687776
10,18,7,12,0,1,1,80.78198180765415
20,28,5,15,1,0,1,86.16775037046285
3,27,7,11,0,0,1,84.87707306749913
15,28,5,17,1,0,1,89.15820893812429
13,27,6,12,1,1,0,82.08246427877503
19,17,7,18,1,1,0,84.10406087628049
25,26,3,17,1,1,0,84.28799732895182
19,17,7,14,1,0,0,80.64185401959512
27,16,5,20,0,1,1,86.58195959253774
26,22,3,16,0,0,1,81.56766042823604
24,18,7,14,1,0,0,81.42258423695503
12,25,6,17,1,0,1,87.86077106025797
11,29,8,20,1,0,0,92.52229933442445
27,15,5,5,0,1,0,68.93962292572222
17,21,11,14,1,1,0,86.93702874901034
19,27,2,16,1,0,1,83.61793076282244
11,19,3,15,0,0,1,79.14892496224107
17,30,1,18,1,1,1,87.37978851389111
22,25,7,20,0,1,0,92.5262604628284
29,23,6,15,0,1,0,81.74583775429716
42,21,4,16,1,1,0,79.74087042723902
14,26,7,14,0,1,1,87.58915043487139
37,29,0,12,1,0,0,77.45735701079472
18,28,5,17,0,1,0,88.02798550371458
31,21,8,16,1,1,0,85.3425743316582
30,23,3,15,0,1,0,78.52434254347276
18,29,6,15,0,0,0,85.79209886936769
24,31,6,10,0,1,0,79.459785383162
14,22,6,10,1,1,0,77.59671255174563
41,28,4,11,1,1,1,82.22825526225988
21,22,8,14,1,1,0,83.6930272362397
19,27,7,23,1,1,1,95.98937127033562
11,28,6,12,1,0,0,82.57548601468099
28,29,3,26,0,0,0,93.73703159041412
24,25,4,17,1,1,0,84.62333351382777
40,19,7,14,1,1,0,82.17877625816898
36,22,4,15,1,1,0,79.71375103614253
21,22,6,13,0,1,1,83.72864960431397
8,31,5,13,1,1,0,83.31419281317518
32,23,6,20,1,1,1,90.14157549210036
24,24,6,18,0,1,0,85.00572973157074
29,30,3,13,0,1,1,85.22318888197022
24,20,6,19,1,0,1,88.23649116592782
16,20,7,14,0,1,1,83.31533231582907
19,23,10,15,1,1,0,86.9677335416708
41,21,7,11,1,1,0,79.86386362601
26,21,8,19,1,1,1,91.70768087034855
12,21,7,17,1,0,0,83.50047016571872
33,23,7,20,1,1,0,89.59528605714956
30,25,3,17,0,1,1,84.99508446061405
20,24,3,16,1,1,0,82.8266799183557
10,25,8,17,1,0,0,85.97276980421594
22,31,4,12,1,0,1,83.3524829579092
26,28,6,10,1,1,1,82.6097892451881
32,19,9,17,0,1,0,86.19286987689134
24,25,10,3,1,0,0,74.82627762886675
31,24,6,25,1,0,0,92.41124072293366
30,26,6,10,0,0,0,78.75007158741786
29,25,3,10,0,1,1,77.80626434830937
14,30,10,14,0,1,0,88.21638172481671
38,23,4,21,1,0,1,90.72475069372746
16,18,5,13,1,1,1,79.97681781502807
38,14,5,12,0,1,0,76.60696458094499
22,28,5,20,0,1,1,91.58545573945204
15,19,3,4,0,1,0,68.19616109138178
49,21,4,14,1,1,1,82.66681208174624
15,25,6,17,1,1,1,87.86346971467458
26,27,5,15,1,1,0,84.74548500905614
32,30,7,16,1,1,1,91.06428266192437
12,25,3,14,0,1,1,82.28468019738212
15,24,5,16,0,1,1,85.6621437175996
33,19,5,19,1,0,1,87.37039223882951
23,31,6,14,0,1,1,87.3922449620174
20,23,4,14,1,0,0,79.2457872280217
13,23,5,10,1,0,0,78.28595630437607
29,26,4,20,0,1,1,90.33730815667832
44,24,9,20,1,1,0,92.4008258544705
7,18,8,16,0,1,0,81.42676173543674
27,21,3,19,1,0,1,85.38940489386134
30,30,3,12,1,1,0,80.59727951020291
44,31,7,11,0,0,1,85.62349196985477
23,24,3,12,1,1,1,81.63960204187414
44,32,3,21,1,1,1,93.70646793576998
32,28,5,15,1,1,1,86.73631960460735
36,29,2,13,1,1,0,81.11227234465396
36,24,4,16,1,1,0,84.6516211309428
34,22,6,13,0,0,1,83.37144643059865
23,21,2,14,0,1,0,77.413786844427
34,20,7,13,1,1,1,82.64361260605901
19,28,9,24,0,1,0,97.55738415806394
50,22,4,16,1,0,1,84.07561677318789
34,25,5,16,1,1,0,82.04126930905804
29,27,5,8,1,1,0,79.75773041075615
28,21,3,20,1,1,0,85.03212060184077
20,20,5,18,1,1,1,85.98357269851424
11,25,2,18,1,0,0,81.1414850189395
35,25,3,8,0,1,0,72.21172843622996
31,26,5,16,1,1,0,85.08166389876006
17,21,7,9,0,1,1,78.2981766921639
36,28,5,17,1,1,1,91.5273929271874
23,18,8,11,0,1,0,78.27615175103041
25,25,8,18,1,1,1,91.09816275496289
33,18,8,14,1,1,0,83.6812163772128
19,22,10,12,0,1,1,84.99191196049838
18,25,6,12,1,1,1,82.64012708401154
36,20,6,20,0,0,0,87.01506382637076
19,16,2,11,1,1,1,75.82124410178761
37,24,5,14,1,1,0,81.89417941684557
21,18,9,16,1,1,1,87.05609717413877
10,24,6,17,0,0,0,84.4180957285549
25,24,4,19,1,1,0,87.05291657203965
48,20,7,19,0,0,1,88.10655366939474
19,28,2,16,1,0,1,86.52973397177682
34,30,4,14,0,1,1,86.16065095567558
23,23,5,10,0,0,1,78.86541142259905
33,19,6,21,1,1,0,87.29470302472306
26,27,3,13,1,1,1,84.12003336745953
28,25,8,12,1,1,1,84.74095352907106
16,22,5,14,1,0,1,81.76026139587498
20,19,2,16,1,0,1,79.73978305800607
21,23,3,8,1,1,0,74.03223569827789
17,25,5,26,1,1,0,94.36738259369476
29,17,10,20,1,1,0,88.19630506388675
24,20,8,24,1,1,0,93.75511838951913
41,32,7,15,1,0,1,91.74858204498226
22,25,4,16,1,1,1,84.13596307390783
27,22,3,16,1,1,0,81.03008874714239
3,25,6,12,1,0,1,82.49084723018699
44,27,5,12,0,0,1,82.08176755987023
37,19,7,20,0,1,0,86.5536072136732
21,29,6,15,1,1,0,86.0942642951512
22,19,5,15,1,0,0,79.46386746239072
26,15,4,10,1,1,0,73.37611164461528
21,36,5,16,1,1,1,93.0063394778367
28,18,7,9,0,1,0,75.7048486576613
37,12,3,14,1,1,1,77.756682916823
14,25,5,11,1,0,0,79.35296767340654
17,26,12,14,0,1,1,90.37653452920932
31,26,4,20,1,0,0,88.4316346176608
19,26,5,13,1,1,1,84.26975457721471
9,21,5,13,1,0,0,80.35680237648856
25,26,2,18,1,1,0,84.43206523831066
9,24,5,15,1,0,1,85.5505986110383
28,29,3,21,0,0,0,88.8944128434703
10,18,10,17,1,0,0,85.71658548960305
3,25,3,17,1,1,1,86.50144784670533
17,23,3,11,1,1,1,79.48639342693878
18,21,2,17,1,1,0,80.4110235264082
39,33,3,17,0,1,1,86.76253846005389
32,30,7,8,1,0,0,79.41169524760318
31,25,8,15,0,1,1,87.94155193463205
27,25,6,18,0,1,0,86.20404223369383
35,15,7,16,1,1,0,81.1132225405474
26,30,7,21,0,1,1,94.76034173873356
34,20,5,16,0,0,0,81.55531545802825
25,27,4,27,1,1,1,97.84203117151048
24,20,5,20,1,1,0,85.96608319205302
28,17,9,17,0,1,0,84.5084517333773
11,22,7,21,0,1,0,89.56127833272267
20,23,7,13,1,1,0,84.11883416988921
9,25,3,14,1,1,0,80.49761527214797
7,23,6,16,1,1,0,82.89999290129153
37,22,0,17,1,1,1,81.73440080614057
10,14,5,12,1,1,1,77.68666657802227
29,23,9,14,0,1,0,84.67753588381738
27,16,8,13,1,1,0,78.89725979678745
28,26,0,22,0,1,0,85.43085985076641
12,27,8,20,1,1,1,94.0129070121162
25,24,4,5,1,1,0,73.26009427513092
35,28,7,15,1,1,0,87.82563665324363
22,21,7,10,1,1,1,79.84844110928503
13,28,9,20,1,1,1,94.2268690416545
23,27,3,19,1,1,0,86.75169927392305
41,29,7,19,1,0,1,91.18806070923264
29,27,7,16,1,1,1,88.56272402090903
39,25,7,10,1,0,0,79.39013793593338
31,24,6,15,1,1,1,86.5384238733897
32,28,4,22,1,0,1,92.4349751552648
27,20,4,16,1,1,0,81.62087513036452
23,21,2,12,0,1,1,78.31054655480852
50,22,4,5,1,1,1,73.24912788520913
29,26,8,14,1,0,1,86.68690408768494
13,31,7,13,1,1,0,84.63898506375588
34,22,3,16,0,1,0,80.70781049579641
26,25,7,10,0,1,1,81.7172223793655
14,25,7,15,1,1,0,85.22025913270286
21,32,4,17,1,1,0,88.65288517529858
21,26,2,25,0,1,1,92.68672375663796
11,21,5,19,1,0,1,87.8196594769243
16,27,4,11,1,1,0,79.82728253425164
48,20,7,18,1,1,0,85.81022436130374
24,35,12,15,1,1,0,93.92512661076542
24,21,8,11,0,0,1,83.15201087857784
10,23,4,6,1,0,0,73.17848338085398
16,19,6,15,1,0,1,83.64592094510985
30,17,4,11,1,1,0,73.59358704942977
19,31,7,19,1,0,0,91.69298745211606
9,20,5,16,1,1,1,83.83191281346474
8,22,7,15,1,1,1,85.78654587765892
24,21,5,17,1,0,1,85.98829186463217
34,22,3,20,1,0,1,87.32726929649854
32,28,8,14,1,1,0,89.04133154937233
12,22,2,19,1,1,0,84.39588487200328
27,26,5,8,0,1,1,78.92099607770633
32,21,5,21,0,1,1,87.31032671345521
5,20,8,9,1,1,0,78.25851488843928
23,19,6,14,1,1,0,80.8009681944273
39,26,8,17,0,1,0,88.00656827005437
31,16,11,16,1,0,1,88.84656824614649
8,21,8,20,1,0,0,88.22801525737803
34,18,3,15,1,0,1,79.05935047622309
35,18,8,16,1,0,1,86.05367308578764
24,22,2,13,1,0,0,78.40410087964112
24,20,8,11,0,1,1,82.28130527640145
35,26,2,25,1,1,0,92.14667068228032
23,22,4,18,0,0,0,82.76588167590907
30,32,5,9,1,0,1,82.59090194120031
32,26,5,20,1,0,0,87.3615631582572
14,18,7,9,1,1,0,76.54011427411129
23,24,8,16,0,1,1,88.30277736340919
24,25,6,19,1,1,0,87.56322158021122
21,29,7,17,1,1,1,91.72116914481524
32,28,2,22,1,1,1,90.07988771266297
27,24,4,17,0,1,0,82.55572959101225
24,22,6,18,1,1,1,88.50445402721323
18,32,8,14,0,1,1,90.4807328505504
30,26,8,7,1,1,0,76.6289409248355
26,17,6,14,1,0,0,79.38586909701903
23,24,11,21,1,1,1,95.98713758977358
11,23,4,18,1,1,1,86.40978738999029
25,25,3,14,1,0,1,81.7895160217877
16,24,4,16,0,0,1,84.05595789236449
28,22,7,8,0,1,0,76.8022868713885
9,30,0,25,1,1,1,93.82971565048535
21,22,1,14,1,0,0,76.02572315458907
14,29,5,17,1,1,1,89.31920001279504
24,28,9,13,0,1,0,86.83751844134082
27,22,4,19,1,1,1,87.3815408438385
33,19,10,13,1,1,1,86.23851200216694
23,25,5,19,1,1,1,89.34832076945686
11,26,6,19,1,0,1,88.36436507475382
0,19,5,15,1,1,0,80.85416206131455
9,23,6,15,1,1,0,84.50128872271382
20,20,2,11,1,0,1,78.15525946975738
30,20,6,14,1,0,1,82.81299424370769
42,24,7,8,1,0,0,76.10413424104665
14,21,7,22,1,1,0,89.95649213131435
42,19,5,21,1,1,1,88.72020462424456
23,26,7,13,1,0,0,82.58536128402211
36,25,6,17,1,0,0,85.54623089806435
12,27,1,14,1,1,1,81.69667132207262
14,24,6,21,1,1,1,90.51091425198248
25,27,8,23,1,1,0,94.51930733592432
38,25,3,16,0,0,0,83.34816861116109
40,21,9,14,1,0,0,83.53607510719887
27,26,9,17,0,0,0,89.16535346999456
37,27,2,13,1,1,1,82.57835269219531
33,24,6,17,1,1,0,86.27280525431269
31,26,6,10,0,0,1,82.1029394482973
17,24,5,21,1,0,0,88.87981064650243
31,25,5,22,0,1,0,91.01371082142757
10,24,6,12,1,1,1,85.16621317123641
37,30,5,8,1,1,1,79.78617436724176
9,22,3,12,0,1,0,77.75975203034527
32,22,2,8,1,1,0,73.18443974753576
15,23,2,22,1,1,0,88.64578376708194
14,16,6,10,1,1,1,77.32656169597821
23,23,7,13,1,1,1,83.99158469817354
33,19,7,17,0,1,1,85.96677810996589
25,22,5,11,1,1,0,77.84638228811016
22,24,0,14,0,1,1,79.51099687580191
24,29,9,14,1,1,0,88.18732778047688
34,27,6,9,1,1,0,79.2634580179364
16,32,8,23,1,1,1,100.24459660847435
38,18,6,15,0,0,0,80.26972490271092
35,24,2,14,0,1,1,82.43288037182987
28,15,8,13,0,1,0,78.00271693074636
25,24,4,19,1,1,1,87.51600115977061
20,22,2,13,1,1,0,77.08695467337591
23,28,5,16,1,0,1,85.85138622902437
20,19,5,13,1,1,0,77.28194551546125
2,22,8,26,1,0,0,95.06549393710516
24,23,3,21,1,1,0,87.31618278068348
11,15,1,13,0,1,1,75.11646503700524
19,20,2,20,1,1,1,86.72544724769388
8,23,1,7,1,0,1,72.6158241824669
36,16,5,15,0,0,0,80.1745128438353
17,22,1,17,0,1,0,79.58436547026514
30,22,3,15,1,1,0,80.48336867828617
32,25,8,21,0,1,1,90.97439719321731
31,26,7,17,1,1,0,86.29289132280324
49,24,0,19,1,1,0,82.69704171404447
25,27,5,4,0,1,0,72.5867921313715
21,20,8,15,1,1,0,82.87973117287584
25,19,7,13,1,0,0,79.60398627170116
29,17,5,7,0,1,1,74.41737391631955
27,22,2,20,1,1,0,84.07779592885412
8,17,6,14,1,1,1,81.0941116702959
35,25,7,16,1,1,0,85.71585236976735
23,13,7,21,0,0,0,85.85252472407645
16,21,5,25,0,1,0,90.60327487989574
23,20,5,13,0,1,1,80.7485108670662
28,26,8,15,1,1,0,86.48788083561423
16,20,5,15,0,0,0,79.69958283117998
23,28,6,14,0,0,1,86.29760502042011
39,27,8,14,1,1,0,83.72483650874602
29,20,5,15,1,1,1,82.17514408963707
21,26,6,15,1,1,1,86.16802321672272
27,24,3,18,1,0,0,83.68124255463961
17,24,7,12,1,1,0,82.75090993605838
33,25,2,17,1,1,1,85.73057057587967
34,22,0,16,0,0,1,80.00219572980214
37,17,6,9,1,1,0,73.08291746803333
35,25,9,18,0,0,1,90.31049730881946
15,31,3,15,0,1,0,84.66351420585764
24,26,5,16,1,1,1,85.93894802099251
32,21,5,15,1,1,1,84.05457316101963
23,21,7,19,1,1,0,86.94160706240976
35,16,6,14,1,0,0,77.96779576749955
40,19,6,16,0,0,0,80.20879476243789
26,13,7,21,0,1,0,82.84177615170557
22,30,4,18,1,1,1,90.20922256494217
17,29,4,22,0,0,1,93.11598463117951
