age,education_years,previous_month_income,job_experience_years,gender,minority_status,rural_residence,loan_received,current_month_income
27,23,10,5,1,1,1,0,5.312503649029846
30,24,12,15,0,0,0,0,7.024719983421175
27,26,9,11,1,1,1,1,10.855115693599384
32,16,7,19,1,1,0,1,19.81283474634878
31,23,8,8,1,1,0,1,9.834893439672262
33,21,13,11,0,0,1,0,5.222834849539859
31,14,11,12,1,1,1,0,14.600983885467354
29,11,15,13,1,0,1,1,17.88116926435144
21,17,11,14,1,0,1,0,18.284476358089144
29,18,6,12,0,1,1,1,16.363285317477136
22,18,6,19,1,0,0,1,25.149845693507395
27,13,12,13,0,1,1,1,18.85959619353184
39,21,14,12,1,0,1,1,4.240253765851675
29,21,13,10,1,0,1,0,7.201076974926415
30,7,10,17,1,0,1,1,23.98864521887144
31,12,7,17,1,0,1,1,24.73106523938528
18,11,13,0,0,0,1,0,18.61258690126496
30,21,9,24,1,0,1,1,17.774712594145985
30,21,11,15,1,1,1,1,12.809899687535813
16,20,7,10,1,1,0,1,20.58249004953967
18,35,14,14,1,1,1,1,3.9502870568643385
23,17,9,16,0,0,1,0,20.079498437864046
24,13,8,2,1,1,1,1,20.85845430374612
37,11,16,13,1,0,0,0,11.970336879538149
16,27,8,15,1,0,1,0,14.207858838659233
19,8,10,15,1,1,1,1,28.11690792168972
34,16,9,9,1,0,1,0,13.659092203472293
25,20,12,16,0,0,1,1,14.481983151236845
24,19,2,6,0,1,1,0,19.62353239578644
23,19,14,10,1,1,0,0,10.279716786023991
30,32,6,15,0,1,1,1,9.579945051428012
34,19,10,14,1,1,1,0,9.884350740911437
38,20,12,2,1,0,1,0,1.2937418370689011
31,24,9,7,1,0,1,0,5.237541398890153
37,13,8,9,0,0,1,0,13.686796227642755
17,16,17,18,0,1,0,1,19.262336697413044
26,29,13,9,0,1,1,0,3.1388083450396342
25,18,13,17,1,1,0,1,16.462012355957086
32,21,5,18,0,0,1,1,16.7373590262676
38,17,9,19,1,1,1,1,14.831833831434537
28,18,11,13,1,0,1,0,11.967836608698551
35,17,11,17,1,1,1,0,10.573101676020023
17,22,11,6,1,1,0,0,13.98643366080125
39,29,7,14,1,1,1,1,3.202246079895133
29,17,8,9,1,1,1,1,15.724372957193136
32,7,6,15,1,1,1,0,25.635069641538507
39,19,11,20,1,0,1,1,11.492724577923768
16,8,9,18,1,1,1,0,30.404137779425056
36,20,12,17,1,1,1,1,8.297247583318933
23,28,12,19,1,0,1,0,7.97539472357847
19,13,10,20,1,0,1,1,27.802366143467022
31,18,10,17,1,0,1,0,13.719912917509236
26,7,8,6,0,0,1,0,23.250552948097702
23,24,13,10,1,0,0,0,8.151491728781336
28,21,9,13,1,1,1,1,13.979323400242276
31,30,12,16,1,0,0,0,1.2010911059815883
38,26,9,12,1,1,1,0,1.8265949920916984
26,19,9,4,0,0,0,0,12.220504442513953
38,6,8,11,1,1,0,1,21.360903548677967
12,24,17,20,1,0,1,1,14.775868088516663
30,17,10,11,0,1,1,1,15.794573205786747
27,17,8,22,1,0,1,0,21.011765430018524
42,10,9,17,0,1,1,1,18.880505000699102
41,21,12,16,0,1,1,0,3.5035800984219136
26,29,13,11,0,1,1,0,2.836196790275569
38,12,11,18,0,0,1,0,13.364567944523412
30,16,7,11,1,1,1,1,18.23006249162037
15,25,9,12,1,1,0,1,19.16239081587873
32,34,13,18,0,0,1,1,0.1632345835198079
23,17,6,6,1,1,1,1,19.09558935064901
37,19,4,11,1,1,1,1,15.891869878824538
14,19,16,11,1,0,1,0,14.87306797452692
37,10,7,16,1,1,1,0,19.34428746138716
37,13,10,9,0,1,0,0,11.855537946010491
20,16,10,18,1,1,0,1,21.60166428292635
39,14,16,7,1,0,1,0,3.755965579114778
25,31,7,12,1,1,1,0,7.389195080719219
34,21,17,23,1,1,0,1,8.156621419212122
28,11,14,7,1,1,1,0,12.718342100892892
52,15,9,9,1,1,0,0,1.3055625793908188
33,25,12,9,0,0,1,0,2.1623588438785597
42,19,8,12,0,1,1,1,9.360652266856064
24,15,14,7,1,1,1,0,13.226205109831156
35,25,15,8,1,1,0,1,-0.2652193015925308
14,16,11,15,1,1,1,1,24.026402014639576
26,13,9,8,0,0,1,0,19.66365994576732
37,22,13,9,1,1,0,0,3.153462245605363
36,20,7,9,1,0,0,0,8.75912729611016
25,26,10,16,0,0,1,1,13.015625793571894
31,17,10,16,0,0,0,0,13.72405232366322
20,19,8,7,0,0,1,0,16.479578529128833
31,17,7,11,1,1,1,1,15.57331770416708
41,24,14,17,1,1,1,1,1.172571556723606
33,27,12,6,1,1,1,0,-3.427021133545488
25,14,8,10,1,1,1,0,19.757459660519025
35,11,11,15,1,0,1,1,15.574550013328912
15,31,7,7,0,1,1,0,10.234766729319672
30,13,9,14,1,0,1,0,19.60912877798193
34,14,15,13,0,0,1,0,9.26598127286194
18,17,9,21,1,0,1,0,23.484833256492312
19,9,10,23,0,1,0,1,31.023555848073308
32,10,6,6,1,0,0,0,20.646653066965733
17,19,10,19,1,0,1,0,20.28284515815504
36,18,14,14,0,0,1,0,8.27475140559133
17,24,9,11,1,1,1,0,15.09376879227143
35,26,14,14,1,0,1,0,0.6081679775618511
32,20,5,17,1,1,1,1,16.785673332138845
32,20,4,21,1,1,0,0,17.42478465020805
34,30,16,21,0,0,0,0,1.3425423284887694
31,18,12,19,0,0,1,0,13.581572729945265
25,15,7,20,0,1,1,0,25.03762486789988
39,19,7,11,1,1,1,1,10.85432459720707
36,21,10,16,1,1,1,0,8.594613383160505
26,26,13,14,1,0,1,0,5.29891144759821
25,16,9,20,1,0,1,1,22.459681213277896
28,18,11,18,1,1,0,1,16.251582528741196
22,13,11,13,1,0,1,0,20.82378198693557
28,24,5,17,1,1,1,0,14.815548890999336
30,24,11,15,1,1,1,1,9.306130806280873
26,21,10,2,1,1,1,0,9.441674794265795
35,19,15,16,1,1,1,1,4.204222230321342
20,18,8,12,1,1,1,0,18.63474986527551
29,18,9,16,1,1,1,0,15.550283880230722
31,17,13,19,1,1,1,0,14.411137242593728
11,29,13,19,1,0,0,0,15.566228091946186
33,15,6,21,1,1,1,1,21.261490424057925
23,22,12,8,1,1,1,1,10.319089191521076
32,13,7,18,1,1,0,1,23.24790181879831
29,31,8,22,1,0,0,1,8.129942760192288
43,20,5,6,0,0,1,0,5.343712973957718
31,19,6,16,1,1,0,1,18.081606214651615
32,25,6,12,0,0,1,0,9.63565973814724
27,16,10,11,1,0,0,0,16.115595053004206
19,10,7,13,1,0,1,0,29.50868697916431
33,21,14,13,1,1,0,0,4.879252375242399
25,21,7,13,1,1,1,1,17.714671611654943
23,24,6,13,1,1,0,1,15.754031684642571
35,18,11,9,1,1,1,0,9.212021613911917
35,25,13,18,1,1,1,1,5.21224033286366
24,27,6,19,1,1,0,1,16.816287611493216
24,13,7,4,1,1,1,0,19.652915532404077
25,9,11,6,0,0,1,0,20.46852412488185
40,17,3,8,1,1,0,1,15.92101939390104
6,26,12,11,1,1,1,1,17.691504879122096
30,22,7,9,1,1,0,0,10.917386031905682
23,25,14,7,1,0,1,0,6.415725146883611
35,14,9,26,1,0,1,1,19.644759349246524
26,18,10,15,1,1,1,1,19.77666041876395
27,8,10,15,0,1,0,0,23.094156104989978
34,22,11,9,1,1,1,0,4.94480244928714
27,23,11,12,0,1,1,0,8.73000996088451
19,27,11,6,0,1,1,0,6.739333833610793
20,22,12,4,1,1,0,0,10.210049280886045
28,14,10,18,1,1,1,1,18.511051320531536
45,15,8,15,1,1,0,0,10.79125734806084
30,24,8,11,0,0,0,0,8.653333169493274
25,16,9,10,1,1,1,1,18.918671835085533
17,13,11,7,1,1,0,0,20.805421903865295
35,30,14,6,0,1,0,0,-4.399020551731289
25,29,12,14,1,1,1,1,5.426492238775992
20,19,11,15,0,1,1,1,18.559945740954653
18,27,5,2,0,0,1,0,11.387814447593035
35,20,14,8,1,1,1,0,3.6755800116337434
28,16,12,7,1,1,1,0,11.38997660441242
31,23,9,11,0,0,1,0,9.354266378535844
39,10,7,15,1,0,1,1,18.21839522143505
30,19,11,9,0,1,1,0,11.463235050661002
37,15,4,10,1,1,1,1,17.309039018677144
30,24,10,8,1,1,1,1,7.669909667797309
30,19,13,14,1,0,1,1,11.504159379415544
11,30,7,9,1,0,1,1,15.696826171957564
30,27,10,15,1,0,1,1,7.834333541783372
26,16,9,21,1,1,0,1,23.17586461459624
41,18,8,11,0,1,1,0,9.333622992830684
21,17,12,16,0,1,1,1,20.21088834307689
32,19,9,10,1,1,1,0,11.996135061029426
18,22,8,19,1,1,0,1,20.867092448693167
46,9,11,9,0,1,0,0,9.258857755176129
21,23,11,15,0,1,1,0,12.960789561847388
17,22,7,4,0,0,1,0,15.90066231365314
30,27,8,13,0,0,1,0,9.920492309755089
30,15,7,16,0,0,1,1,20.86598048991707
39,25,7,9,1,1,1,1,6.129834764373353
30,16,10,15,0,0,1,0,14.632423196270734
18,23,6,9,1,1,1,0,16.23689026315907
23,18,10,17,0,0,0,1,19.029267325724245
30,20,13,17,0,1,1,1,11.230599110830871
16,22,13,15,1,0,0,0,16.677221291594563
21,6,10,10,1,1,1,1,29.359940445065217
18,22,4,20,1,1,0,1,24.48470687955159
29,22,7,12,1,1,1,0,13.758746274808168
30,13,8,21,1,0,1,0,20.28421014637289
29,11,5,22,0,1,1,1,29.483105313669768
16,14,12,13,0,0,0,1,23.271089623739105
41,21,12,15,0,1,1,0,3.804629754849644
37,3,11,14,0,0,1,0,20.72187412066074
26,21,11,12,1,0,1,0,10.275855435691549
17,21,8,16,0,1,1,1,22.00030574152301
15,12,10,11,1,1,0,0,24.67423537420532
22,20,12,5,0,0,0,0,12.104826878099972
41,16,10,15,1,1,1,0,9.582338625146638
33,17,7,14,1,1,0,0,13.659024191099464
28,19,12,11,0,1,0,0,12.832165840512952
24,25,3,12,1,1,1,1,17.11363478582775
39,27,11,18,1,0,1,1,2.088725392415577
43,17,7,14,1,0,1,1,11.390550146254713
39,14,13,14,1,1,1,1,10.1019249702509
32,23,14,20,1,1,1,1,8.924646140198274
33,11,11,12,1,1,0,1,17.433122061808547
34,29,12,16,1,1,1,1,3.361709479113184
18,25,11,8,1,1,1,1,12.010899129395062
24,13,13,11,1,1,1,0,17.98140052481585
30,13,13,8,1,0,0,0,11.38748002219187
30,24,11,10,0,1,1,1,7.9056846700081
29,26,13,17,0,1,0,0,6.185193121354834
23,16,8,18,1,1,1,1,23.17805726341248
35,20,9,9,1,1,1,0,9.218128463638708
35,27,3,18,0,0,1,1,12.199179093647674
30,21,8,5,1,1,0,0,8.472687153078324
29,13,11,6,0,0,1,0,15.185867517435126
36,12,11,15,1,1,0,0,13.586327451078704
31,24,10,17,0,1,1,1,10.528379216286703
33,12,4,6,0,1,1,1,21.606562056899847
41,10,6,7,1,0,0,0,14.645350855657975
28,22,11,14,0,0,1,0,10.506083043859254
24,23,14,19,1,0,1,0,12.429251846798836
11,24,12,11,1,1,0,1,16.52096543691946
25,18,16,12,1,1,0,1,9.101441684496145
38,26,12,14,0,0,1,1,2.3939273805563577
8,16,13,5,1,1,0,0,21.85384638894128
22,14,6,29,1,0,1,1,33.06861864899526
26,21,9,14,1,1,1,1,15.54232071058112
30,17,9,13,1,1,0,0,12.900105605619483
32,17,10,22,1,1,1,1,18.387522930364096
33,5,13,20,1,1,1,0,22.97221023441566
25,26,8,26,1,0,0,1,16.930637178834033
40,15,10,18,1,1,1,1,15.010701917587223
17,16,15,16,0,1,0,0,17.773657898415646
21,21,11,13,1,1,1,1,16.590019163119308
28,24,12,5,1,1,1,1,5.925648434931689
36,19,13,19,0,0,0,1,9.64923831775152
31,13,15,14,0,1,1,0,13.230792661436643
28,20,8,11,1,1,1,1,14.328724543682632
30,22,12,12,1,0,1,0,7.284014334338885
30,28,0,13,0,1,1,1,15.314461493927263
21,26,10,18,1,0,1,1,12.876841178005236
17,21,13,11,1,1,1,1,16.01798267528763
24,19,8,14,0,0,0,1,18.62123423311761
33,15,11,15,0,0,0,1,16.128332012800673
24,9,11,15,1,1,1,0,24.44873764237936
23,21,11,18,0,1,1,1,16.831914236130274
26,16,12,10,0,0,1,1,17.561510021083862
20,11,9,11,0,0,1,0,25.727425972998677
26,17,8,17,1,0,1,0,20.41928975175724
37,25,12,15,0,0,1,0,3.355641541782492
47,29,5,18,1,0,1,1,1.8261373192193835
36,29,14,13,1,1,0,1,-1.156478371424789
30,12,13,10,0,0,0,0,14.592831060845931
21,20,6,16,0,0,1,0,22.041523972493184
34,20,10,13,1,0,1,1,10.756210113146548
35,22,14,5,1,1,1,0,0.0856199864559951
38,23,5,13,0,0,1,1,10.553881725619808
15,21,11,20,1,1,0,1,21.46463187807302
27,26,7,21,1,0,1,1,14.848619661462733
23,12,6,16,0,0,1,1,26.963366381087727
31,15,11,11,0,1,1,1,14.275156607146696
29,11,5,11,0,1,1,0,21.71097845437178
20,20,9,13,1,0,1,0,17.59074028203586
26,7,8,11,0,1,1,0,25.137330332938
18,9,10,23,0,1,1,0,29.304380144044494
39,20,7,3,1,1,1,1,6.292896030204537
27,16,8,11,0,1,1,0,18.56755213172089
41,17,13,21,1,0,1,0,8.315223624690443
34,14,8,21,1,0,0,0,18.512570973093208
33,21,7,16,1,1,1,0,12.106307667966012
33,14,6,13,0,1,1,0,18.752493866050216
25,16,7,11,1,1,0,0,19.172308279697965
30,19,11,11,1,1,1,1,11.646502843114629
15,37,12,3,1,1,0,0,1.0009413145485777
43,8,5,13,1,1,1,1,20.6235661073208
30,18,7,17,1,1,1,0,16.72797425449371
38,30,12,18,1,1,1,0,-1.7423850511916723
19,26,14,21,1,1,0,1,12.173193893345324
34,20,7,20,0,1,0,1,14.57114041080307
28,12,8,17,1,0,0,0,23.869572605635824
37,22,12,16,0,0,1,0,5.262021193953917
38,9,10,17,1,1,1,1,19.512117147207963
27,19,13,8,0,0,1,0,9.408446507999182
39,14,18,15,1,1,0,1,5.127061298598689
22,20,9,11,0,1,1,1,18.846035541867455
29,3,7,18,1,1,1,1,31.90476444869773
23,27,13,17,1,1,1,1,9.385341556987251
42,16,6,9,1,1,1,0,10.358324504397512
45,21,6,19,1,0,0,1,9.179159276132903
24,15,8,16,1,0,1,0,20.91498168376664
32,25,8,18,0,1,1,0,10.461901127648858
10,25,9,1,1,0,0,0,13.543663380017184
30,19,13,11,1,1,0,1,11.777134156009126
39,26,11,11,0,1,1,1,0.2512696896315767
43,18,13,7,1,0,1,1,3.6087128076084656
28,37,6,17,1,0,1,1,4.662600127174623
29,22,13,9,1,1,1,1,9.271686550814811
43,24,10,19,0,1,0,1,6.390892344379126
38,11,11,11,1,0,1,0,11.916740808652955
38,29,10,2,1,0,0,0,-6.29562102959572
36,23,10,12,1,1,1,1,7.005152801542067
23,18,6,12,1,0,1,1,22.21448788271701
30,17,10,22,1,0,1,1,19.79618888215396
20,29,10,11,1,0,1,0,8.128937206215198
28,20,13,16,1,1,0,1,12.553726809320612
25,23,9,22,1,0,1,1,18.05903623873447
36,22,6,22,1,1,1,1,15.857314932249285
29,15,11,13,1,0,0,0,14.935870941080829
8,20,6,12,1,1,0,1,27.642919558886167
27,23,11,18,1,1,1,1,11.9689698128576
29,25,5,21,1,1,1,0,13.416182023851514
14,16,16,17,0,1,0,0,20.617251430036884
31,19,5,13,1,0,1,0,15.604881093579404
27,17,12,16,1,0,0,1,15.644971081977385
35,23,8,18,1,1,1,1,10.318645495197948
17,12,16,12,1,1,1,0,20.40045474952173
31,7,10,23,0,0,1,1,27.82212979927108
38,30,4,13,1,1,1,1,5.326838788158541
22,21,5,17,0,1,1,1,21.77171213983871
27,18,13,20,0,1,1,1,15.545451195098654
15,15,8,13,1,1,1,0,24.004016894810643
19,21,14,13,1,1,1,0,14.086441839006987
46,11,8,4,1,1,1,0,10.065410007843138
32,12,8,9,1,1,1,0,16.116454198397737
26,22,11,11,0,0,0,0,10.732304313725756
38,13,12,9,1,1,1,0,10.783918567519947
24,18,7,8,1,1,1,0,17.599005194562793
23,22,9,17,1,1,1,1,15.715625045982218
34,23,10,16,0,1,1,1,9.643683883310745
31,10,10,26,0,0,1,1,25.89420898947853
20,22,8,20,1,1,1,1,19.742092450518417
25,20,5,20,1,1,0,1,21.71529567521255
23,22,11,14,0,1,0,1,13.542581777958551
31,32,12,10,1,0,1,1,0.1524677413599769
34,10,8,16,1,1,1,1,21.0368793620351
37,22,9,10,1,0,1,0,4.280847957789177
31,19,9,15,1,1,1,1,14.01462365825309
23,23,8,15,1,0,1,0,15.477753207307115
43,11,10,6,1,0,1,0,12.070377332316204
22,27,8,6,1,1,1,0,8.789694035266526
12,12,5,14,1,0,1,0,31.731496502367648
24,14,11,12,0,0,0,0,19.40407290421628
34,18,13,17,1,0,1,1,12.917537891233309
23,14,5,19,0,1,0,0,25.36029796864655
24,12,4,18,0,1,0,0,29.17206533673947
41,23,8,12,1,1,1,1,6.33664041944972
31,20,15,15,0,1,1,1,8.97780588770315
28,18,9,6,1,1,1,1,12.86604598080131
23,30,13,16,0,1,1,1,8.876572148565192
36,17,7,9,1,1,1,0,11.207196590795917
32,28,9,17,1,1,1,1,7.843113121175128
48,21,8,19,1,1,1,0,4.919986266057253
35,25,11,19,1,1,1,1,6.0739843772940745
17,18,7,15,1,0,1,0,23.598325582300276
17,27,10,11,1,0,1,1,13.889862553224358
23,15,14,9,0,1,1,1,14.4714180663616
37,22,7,17,1,1,1,1,10.591581617412466
41,16,11,15,0,1,1,1,11.135412199616864
25,15,6,14,0,1,1,0,21.349653317831724
14,26,8,14,1,1,1,1,16.354181128239734
40,15,8,11,1,1,1,0,10.019704254441216
25,17,8,16,0,1,1,0,18.55498709218937
24,24,3,4,0,1,1,0,13.259240584495384
33,20,9,11,1,1,1,0,11.230924172360496
27,14,9,13,1,1,0,1,20.54847976719288
34,19,10,13,0,1,1,1,12.29723208237535
33,13,8,24,1,1,1,1,21.20824441209577
24,17,13,20,0,1,0,1,19.140821034243693
32,14,8,1,0,1,1,0,10.810356164787247
34,15,8,22,1,1,0,1,19.695577451673767
41,10,10,19,1,1,1,1,17.39180670275731
28,14,13,16,0,1,0,1,17.246054223918243
35,23,17,28,1,1,1,1,7.540619844101656
36,27,10,15,1,1,1,1,2.5771672399558723
26,25,8,14,1,1,0,1,13.53087033984716
34,20,6,17,0,1,0,0,14.666177831295874
36,26,2,11,1,0,1,0,9.21822518266355
25,15,13,8,0,0,0,0,13.962045394622868
25,20,9,4,1,1,0,0,11.304981648388091
6,15,8,13,0,1,1,0,29.49464016708933
28,31,13,19,1,1,1,1,5.0189617235554325
27,24,8,12,1,0,1,0,10.080850119277017
33,14,14,15,1,1,1,1,13.43116950436745
57,25,12,10,1,1,0,1,-7.919424417798878
36,28,10,21,1,1,0,1,6.180314504632569
18,13,5,17,1,1,1,1,30.935604869080805
20,19,5,3,0,1,1,0,18.82547012756271
35,21,18,11,0,1,1,0,-0.2622436092806468
19,11,12,13,1,1,1,1,22.97413772986832
34,28,10,10,1,0,1,0,1.2479085252868558
15,26,6,9,1,1,0,1,20.60750009069833
34,5,14,12,1,1,0,1,18.82288895794287
26,19,9,15,1,1,0,0,15.66276728648343
55,19,14,16,0,1,0,1,-1.534938031137946
32,24,11,18,1,1,1,1,9.2725169165366
26,20,14,12,0,0,1,0,8.60573816487395
27,23,8,10,1,0,1,0,11.390418797260647
33,21,5,18,0,1,0,1,15.923372225084057
25,19,14,10,0,1,1,0,10.598606812513909
30,20,6,12,0,0,1,0,16.982542639963405
29,15,11,9,1,1,1,1,16.31379335301832
36,24,12,17,1,1,1,1,5.319370304579179
22,13,8,14,0,0,0,1,25.18330261993256
26,20,11,7,0,0,1,0,10.4074894196517
27,16,10,8,1,1,0,0,14.761344587503569
29,17,17,11,1,1,1,1,8.978530989539752
29,24,7,12,1,1,1,1,13.252286755507066
26,21,8,8,0,0,1,1,15.022398530359537
24,12,12,14,1,1,1,0,19.10895733106907
36,20,8,16,1,1,1,0,11.794168403000532
30,19,13,11,0,1,1,0,6.692853916012285
33,21,8,10,0,0,0,1,11.415237565831328
45,13,8,9,1,0,1,0,9.77521472200475
43,19,15,15,0,0,0,0,2.547135217187151
27,27,9,13,1,1,1,1,11.277253307064282
33,15,8,22,1,1,0,1,20.450000474578943
13,13,9,17,1,1,0,1,29.21961917828235
22,11,14,15,1,1,1,0,20.41147023208161
35,19,12,19,0,1,1,0,9.94078565540633
11,26,4,9,1,1,1,0,19.810044980295675
46,13,7,21,1,1,0,1,15.275735646093178
29,24,10,15,1,0,0,0,8.834116964613639
23,23,13,12,1,1,1,1,12.680426090329613
30,20,10,16,1,1,1,1,14.438901776392706
29,32,7,16,1,0,1,1,7.897523370387282
33,12,9,3,1,1,1,0,13.899536236282083
53,15,8,22,1,0,1,0,9.28778968019955
32,19,8,13,0,1,1,0,12.441294024008435
27,24,10,0,1,0,1,0,5.418011456363231
13,18,12,18,1,0,0,1,24.26418075660083
18,26,12,13,1,0,0,0,12.463833566736906
32,9,12,12,0,1,0,0,17.70735686937764
24,25,13,12,1,1,1,0,6.029227096813845
36,11,6,11,1,1,0,1,20.99817757431513
39,11,14,12,0,1,1,0,10.54707447897188
37,22,11,12,1,1,1,0,4.786571358634458
30,22,16,12,0,1,0,0,5.261390856125241
35,20,10,19,1,0,1,0,11.401057233984714
34,20,8,15,1,1,1,1,12.949362982531667
32,14,8,13,0,1,1,1,18.985770187876597
30,25,11,20,0,1,1,1,11.814837414672986
36,21,6,8,1,1,1,0,8.109859784080443
20,14,12,7,1,1,1,0,18.98250960727121
31,23,5,7,0,0,0,0,10.38094501651039
18,7,11,19,0,1,1,1,31.861208398147014
36,20,13,12,0,1,0,1,5.504206942308646
23,19,12,7,1,1,0,0,10.014647170760473
27,29,6,18,1,1,1,1,11.367883043725593
33,6,7,6,1,0,1,0,21.241126746337613
35,30,9,13,1,1,1,1,3.207603011494447
40,23,8,10,1,0,1,1,5.222414484524847
30,20,12,24,1,1,1,1,14.657712271273695
28,21,10,13,1,1,1,1,10.656239741495323
26,22,9,21,1,1,1,0,14.271408657224866
42,13,7,21,0,0,0,0,16.61518119229988
23,19,14,17,1,1,1,1,17.84772687238341
28,12,12,19,1,1,0,1,21.594586836094106
30,13,6,9,1,0,1,0,19.775475336866304
25,5,9,18,1,1,0,0,27.82283685622984
34,13,12,21,1,1,1,1,17.837880862788563
29,16,8,22,1,0,0,1,21.913149684040835
32,14,15,8,1,1,1,0,11.10307053392894
33,16,10,14,1,0,0,0,13.161952886102188
26,24,11,20,1,1,0,1,12.529854006533627
27,23,9,15,1,1,1,0,11.13643332848871
33,17,9,4,0,1,1,0,11.182704342072944
36,14,10,9,1,1,1,0,10.928851378593189
30,21,10,16,1,1,1,1,12.916744418023349
32,23,14,18,1,1,1,1,8.05113686799826
16,30,10,10,1,1,0,1,10.600188862403623
39,17,5,20,1,1,0,1,17.52417432564733
32,32,6,16,1,1,0,1,7.352766436841597
37,24,13,11,1,0,1,1,0.8124918295469032
22,28,10,7,1,1,0,0,5.651567414937422
17,32,14,13,1,0,1,0,5.119727652735139
34,16,2,17,0,1,1,0,20.141937522743067
30,10,5,11,0,0,0,0,23.52885417842737
27,19,9,16,1,1,1,0,15.871340226178615
26,26,12,11,0,1,0,1,7.25898899173118
33,18,12,17,0,1,1,1,13.019751604722032
37,9,16,14,0,1,1,0,12.608372432048778
25,19,7,10,1,0,1,0,15.767199128224211
26,13,4,19,0,1,1,1,27.12403630956699
30,28,8,6,0,1,0,0,5.773679839373864
38,25,7,11,1,1,0,1,6.631735206193319
35,20,6,12,1,1,1,1,11.88688953052846
40,25,9,11,0,0,0,0,1.569680949341639
33,34,9,19,0,1,1,1,4.07905253363084
34,19,9,17,1,1,1,1,14.838191718056288
33,23,8,10,1,0,1,0,7.785861853621957
41,18,12,11,1,0,1,0,5.672837289877057
26,13,13,12,1,1,1,1,18.62092444276628
39,21,8,7,1,1,1,1,7.298405303530023
36,29,15,12,0,0,1,1,-0.9975006484634518
27,21,16,15,0,1,0,1,10.212342116804273
36,19,12,20,1,1,1,1,12.393311491160595
25,16,11,15,1,1,1,0,15.983753839205846
38,19,10,10,1,1,0,1,6.975413582168802
22,21,9,11,1,1,0,1,14.681209211122304
37,22,14,14,1,0,1,1,4.387033787804622
39,13,6,10,1,1,1,0,14.05285288705148
28,19,11,18,1,0,1,1,15.82981667458766
48,11,10,21,0,0,1,1,13.036349728498742
31,19,7,20,0,0,0,0,17.884452036664502
23,23,8,17,1,0,1,1,18.475028570417123
32,21,13,18,1,1,1,1,10.269592555890846
24,19,6,19,1,1,1,0,19.341559560908838
49,22,11,5,1,1,1,1,-1.6859487570147509
27,22,11,15,1,0,1,0,11.152859554233858
45,12,9,14,0,1,0,0,11.322026400138816
22,20,9,8,0,1,0,0,15.505875690965986
22,20,10,12,1,1,0,0,14.038057183547888
27,17,6,11,1,1,1,0,18.45886352372327
40,14,9,4,0,1,1,0,7.532240632493484
26,25,11,14,1,1,1,1,10.572670785058673
