age,income_level,gender,minority_status,credit_score,tax_cut_eligibility,consumption_rate
12,4,1,1,10.08051076532698,0,6.650109693848426
9,5,0,0,13.321109167271718,1,18.35135806212534
8,7,1,0,14.50607515675594,1,19.526709102858906
6,8,1,1,13.774890711961074,1,17.929319285026516
7,6,1,1,13.007156339376952,1,18.91931054460885
9,6,1,0,13.179765496970722,1,19.606350578281734
8,7,1,1,14.482446073405344,1,20.29562787827329
4,5,1,1,13.1245792955103,1,18.22254284665206
12,8,1,1,13.544415189699484,1,18.8667434208578
4,5,1,1,12.282265430404443,0,9.593330751349026
7,4,1,0,13.456263914433617,1,19.07848565481017
9,4,1,1,10.216521281313158,0,6.210143391024332
8,5,1,1,15.606240861475433,1,20.283909756621487
10,8,0,0,9.04770847575564,0,4.8345479671334255
9,7,1,1,13.860527814002186,1,20.504499747019025
7,6,1,1,13.784474586613154,1,19.459771855520067
10,5,0,1,17.555276244832182,1,23.10246164135443
8,6,1,0,14.03804339928785,1,19.47570119081963
10,6,0,1,11.54435154983148,0,8.807985886614253
10,1,1,0,13.14884075004284,1,18.98704497935021
9,7,1,1,10.599904907574675,0,6.587804311599689
4,6,1,0,14.17382578493752,1,18.570106952259177
2,6,0,0,12.685368207883972,0,9.53168888779742
2,8,1,0,13.846876681302687,1,19.32020536144265
11,4,0,0,12.088655624383104,0,10.598134042979536
6,3,0,1,12.881293171347169,0,9.554162338218882
10,7,0,1,15.060815999814752,1,20.292937967379324
8,6,1,1,12.228593725751413,0,9.525475641936415
7,6,0,1,15.676189980063343,1,21.25775989697786
2,6,0,0,15.291828344483656,1,20.255016385192608
5,7,1,0,15.657974108269295,1,21.01290098842436
7,7,0,1,12.617238093436024,0,9.485922591619406
1,6,1,1,12.49559319973056,0,7.992607378236328
4,7,0,1,14.423649980180702,1,19.19292708346732
10,6,1,1,14.18445071174626,1,19.8742526416572
7,3,1,0,12.257496653807928,0,9.144350802131743
13,4,1,0,16.742182821078746,1,21.360467723066517
8,3,0,1,12.532315456915612,0,10.14418912098139
12,8,0,0,9.552556440241474,0,5.259415370152073
10,7,0,1,12.498916979714322,0,10.04584691155847
5,5,1,1,14.451330036800933,1,19.676997702411903
5,6,1,1,15.105285480296423,1,19.930910876369165
4,6,1,0,17.670176002820323,1,20.943130581190537
9,5,0,1,12.739614666269611,0,10.032585244791582
9,5,1,0,14.043477117334794,1,20.22118728344622
8,6,1,0,18.71947113302673,1,22.45010322084046
13,7,1,1,11.514437923360244,0,7.887150690703512
13,6,0,0,13.49840055984826,1,18.909464624834104
8,5,1,0,9.588899981840912,0,5.061692236584165
4,5,1,0,11.870308547342573,0,8.619252708032008
9,6,0,0,10.80500796533149,0,6.653390781159906
6,5,1,0,13.865515427277902,1,18.58277331973461
5,5,1,1,11.017827816176869,0,7.0468657110909305
17,7,1,0,6.769009771594676,0,1.245314668231015
8,6,1,1,10.37736968832892,0,7.47723094577561
11,5,1,1,12.78974094686288,0,10.514648066294503
5,5,1,1,9.936181894098908,0,5.194160423665145
10,6,1,1,10.479767932175353,0,7.780375042470024
3,4,1,1,15.294093801714553,1,20.01927011057469
4,4,1,1,11.536006585998672,0,7.391534230831777
8,6,1,0,10.310240281355227,0,6.185204348066975
5,5,1,1,13.389469509120577,1,17.48966497543665
1,7,0,1,11.01708485924025,0,7.788821222205984
3,6,1,1,13.345670460914604,1,18.03812997747083
4,6,1,1,12.798693226489096,0,8.374288522002715
13,8,1,1,11.938582667753998,0,8.841017259469789
4,4,1,1,10.924102129063217,0,7.387479214854398
7,4,1,1,14.911394578429563,1,20.208800074437157
11,3,0,1,14.102359536486048,1,19.780486470304314
13,6,1,1,14.387009217013045,1,19.781704799385015
5,8,0,1,13.192063821527862,1,18.00670746166405
10,3,1,1,11.312621434978452,0,6.841124250305414
5,7,1,1,11.969817524058865,0,8.549478135016646
7,4,1,0,15.967851838838056,1,20.070534731481995
8,5,0,0,14.570578162956176,1,19.92439232567949
7,7,0,0,11.20272740902826,0,7.206339657609071
12,5,1,0,8.983985305785858,0,4.920634030472171
9,6,0,1,9.925714489184472,0,6.319706020601632
8,8,1,1,11.14037687272987,0,8.036513279050993
2,5,1,1,12.89716028856037,0,10.478782758909556
5,7,0,1,12.605803537481096,0,9.53373537964317
12,5,1,1,13.843321259051288,1,19.61173632718468
5,7,1,0,13.487408923610769,1,18.275530078086785
5,6,1,1,8.688008008597432,0,3.838823561253633
6,7,0,1,11.585126207015689,0,8.81029859634603
5,6,1,1,15.03982484380818,1,20.24062984091114
17,5,0,1,12.429944571294271,0,9.01028677725582
5,7,1,1,11.556305136397611,0,7.158801596039526
10,4,1,1,12.134537896145371,0,8.777457764139735
10,5,1,1,14.090812309957506,1,19.43364821620345
10,7,0,1,12.479561235832271,0,8.869635398713251
11,7,0,1,12.334837801547105,0,9.994858544558536
8,5,1,1,13.068942786928528,1,17.479209623936548
9,5,0,1,15.598016926009327,1,19.89444835839337
10,4,1,1,13.35484562164127,1,18.604914716958607
9,5,1,1,14.694638034340104,1,20.56579785456201
4,6,0,1,16.472285957821857,1,20.893155071974068
5,6,0,1,12.827028328592853,0,9.41121044792344
11,6,0,1,11.373346639331585,0,7.173010243552004
5,3,1,0,12.04678533932327,0,8.65965045330348
6,5,1,1,9.811037693103234,0,5.183201567218209
5,6,0,0,14.117060081843722,1,18.32867865442204
7,5,1,1,11.504802194473326,0,7.85490025725939
12,6,0,1,14.744265741689269,1,20.795228661836404
7,2,1,0,12.39491506889392,0,8.602959910448027
6,4,1,1,12.42718166170864,0,8.51485300204125
10,7,0,1,11.932284379849383,0,8.454039269130506
4,9,1,1,12.521829297330417,0,8.144867007800823
7,5,0,0,10.083916332526211,0,6.9224064479178
9,6,1,1,13.53931414998764,1,18.58137949919963
11,5,0,1,13.285561941635372,1,18.6230837045844
7,2,1,0,12.463459347652073,0,10.092239896804848
0,5,1,1,14.334639994925542,1,19.22613165549673
6,3,1,0,15.02216461290367,1,20.50207042495888
3,8,0,1,12.323084222867251,0,8.771554402475347
0,4,1,1,13.15861841132274,1,18.22033434693362
2,6,1,1,14.749839082816433,1,19.134111411311174
9,3,0,1,12.16609574439603,0,8.821457315488328
9,5,1,1,14.59967128568234,1,19.81265893894032
7,6,1,1,13.191920203464244,1,18.8541471905303
10,3,0,1,14.802849900463332,1,20.11461103658992
9,5,1,1,12.641207265296066,0,9.583673072478865
8,7,1,0,13.481650333481198,1,19.026918612083083
13,5,1,1,13.312799233718843,1,19.29805517709607
7,7,0,0,10.729535799812249,0,7.432202746889812
3,8,0,0,11.879541924367896,0,8.73531451767138
8,5,0,1,11.89694449344685,0,9.076143906152572
4,6,1,1,10.29219705740111,0,5.127598140871826
0,5,1,1,12.225695474866647,0,9.409405476263682
10,6,1,0,13.048747565034144,1,18.452072418593826
12,7,1,0,10.72780036923569,0,6.575171251911323
8,4,1,1,11.919698425454042,0,9.247222779679593
12,5,1,1,11.227840201497449,0,8.867335230314326
7,5,0,1,15.406197283682232,1,19.81979680692752
5,5,1,0,11.062773805457384,0,6.818286985424552
14,5,1,0,12.60002930873769,0,10.399666538410177
14,4,1,0,12.040589038940375,0,8.680592511829685
11,4,1,0,11.324422185081616,0,7.8851683371631855
17,9,1,0,9.529900061050324,0,5.472009229156945
9,5,1,1,12.900383871891137,0,10.324842218195569
5,5,1,1,13.792800177482375,1,18.211630838491875
4,6,0,1,15.90434515929961,1,20.433420617201268
5,7,1,1,9.016574594311516,0,4.239669897832278
8,7,0,0,12.606493849564908,0,10.029865282105003
8,6,0,1,10.836024188161357,0,7.263923683484459
9,3,1,1,12.127266673759102,0,9.15258243750288
3,4,0,0,13.357999725443918,1,18.47613014829473
6,4,1,1,10.349443608826684,0,6.009933784530092
6,5,0,1,13.7307507189862,1,19.138183333751915
9,6,1,1,14.600265878082176,1,19.86700029368581
7,5,0,0,11.475845060023396,0,7.8237650378792445
10,6,1,1,16.534519641447393,1,21.073387717520703
4,5,0,0,11.61281786727336,0,8.189439852693638
8,8,1,1,15.324079033970497,1,21.24328958029249
8,5,0,0,12.432692151016408,0,9.950053613457408
6,6,0,0,13.306076044012638,1,18.9379873020778
10,8,1,1,12.937694610165597,0,9.714356611781543
4,6,0,1,11.785156222510274,0,7.38879980183852
5,3,1,0,13.365640429745891,1,18.381906293246253
13,5,0,1,13.661238541699468,1,19.89920765898796
0,5,0,0,15.8751289239508,1,20.5772384637743
7,5,1,1,16.2689069099414,1,19.38869152736041
9,3,0,0,13.054949316215904,1,18.46612240057544
9,4,1,1,10.780876105692332,0,7.519566403979245
4,5,1,1,10.818003296908447,0,6.702401051052148
6,7,1,1,14.900275623710751,1,19.53238041444792
1,10,1,0,13.665395087918764,1,18.781085707134984
11,5,0,1,11.411329230523744,0,7.770630243314516
4,8,1,0,13.594620273207624,1,18.51433134504389
8,5,0,0,11.208753735980014,0,7.739534510906492
3,7,0,1,14.90349196302884,1,19.88897667106413
6,7,0,0,12.683586835045794,0,10.340058652306704
5,6,1,1,17.155760639524786,1,21.554687002766563
4,4,1,1,12.013603053217384,0,7.762097255944727
6,6,1,0,17.794147691798607,1,21.58661913956905
9,7,1,1,12.307454329521056,0,9.33909858789054
14,3,1,1,12.11833450307882,0,9.753708941047597
12,3,0,0,11.300582430630431,0,7.460346087672216
5,9,1,1,12.785675631901931,0,10.237765785815473
9,8,1,1,11.935482986195405,0,8.729016209912425
9,5,0,1,11.903687415461498,0,8.263107226580734
0,4,1,1,13.25495692467999,1,18.295463986668043
14,6,1,1,14.604942938936992,1,19.580482308889017
7,8,0,1,8.150991671464633,0,2.3604522382783872
8,7,1,0,12.439462820083817,0,9.331908834528107
10,7,1,1,9.177277528578854,0,4.484028894808057
1,6,1,1,12.912550108332129,0,9.83572979645494
5,6,0,1,9.083736177327031,0,3.901550888007455
13,6,0,0,16.303213275293487,1,21.158309666523927
10,6,1,1,14.390625909975007,1,20.634959235981043
9,6,1,0,14.396108158608977,1,18.63633067959592
7,10,1,0,13.084675345625769,1,18.68120840651155
7,7,1,1,8.68508785444407,0,3.75124403731673
10,7,1,1,12.293080824377205,0,9.3127634001483
12,6,1,1,13.593676715658589,1,19.283472201875203
11,7,0,1,13.084967990352558,1,18.70227297521085
11,9,1,1,16.85221190324248,1,21.77679466238949
10,5,0,1,11.618625067166548,0,9.21266873705048
3,6,0,0,8.09625765653722,0,2.5380700767245417
8,6,1,1,15.398365269979625,1,20.872811257156243
9,5,1,0,12.6565966871619,0,8.976419971983825
8,3,0,0,10.775393424696656,0,6.916888567507258
8,6,0,1,11.072125150564784,0,7.648110557107773
9,4,1,1,9.978499029924269,0,5.841772500727694
5,6,1,1,9.597825530339929,0,5.207541975490347
6,6,1,0,14.640722628580273,1,18.8993059049004
11,5,1,0,10.204894768058432,0,6.18912659140558
11,4,1,1,19.388547780806768,1,23.749913578715116
8,6,1,1,17.511867718685394,1,22.282605260547378
9,5,1,1,11.89729352198548,0,8.348783602024303
9,4,1,0,12.255999949426696,0,8.523887090510309
8,8,0,1,11.17283846444074,0,7.087706284432022
6,6,0,0,16.192638373814226,1,20.327040624625976
8,7,1,0,14.06254230294228,1,18.47676459873756
6,5,0,1,10.520105247437698,0,6.794161590999031
11,4,1,0,12.604464877451903,0,8.427909204957302
8,4,1,0,15.591626434156884,1,20.804373744735617
11,8,0,0,12.131077005034692,0,9.532684262389768
9,6,1,0,14.531365147583164,1,19.27298599329629
9,6,1,0,13.088272290954444,1,18.874353834276405
1,7,0,1,18.35888163909965,1,22.434551971516274
11,3,0,0,10.380623483991542,0,6.382836778628246
8,7,1,0,11.372027851330683,0,7.433774188007638
8,4,0,0,14.479052575554457,1,20.45007943513217
15,6,1,1,13.02994610166493,1,19.21752731291264
8,2,1,1,12.17087805689656,0,8.358165156173298
10,4,1,1,15.040854528324491,1,20.0521253092902
9,6,0,0,9.413007522014222,0,4.5492739326267255
10,5,0,1,12.091708409034435,0,9.097377575543108
10,6,0,0,9.701348355314703,0,5.701922170682465
14,5,1,1,12.512346846715932,0,10.27967003126085
10,4,0,1,10.390299013253356,0,7.168536296954437
7,6,1,1,14.164802043620655,1,18.53967942227214
7,9,1,1,12.86456341498615,0,8.984432653483779
5,6,1,1,16.08185753131897,1,20.10268059852086
0,5,0,0,13.984348456049316,1,17.805780712685007
11,4,1,0,14.388380462438072,1,19.600183151390613
7,5,0,0,11.326033699353852,0,7.675866582473654
4,7,0,0,14.061114258817073,1,19.02390621400641
8,5,1,0,16.123986922178577,1,20.864745331366198
5,7,1,1,12.16939586267334,0,9.474635405935658
12,4,0,0,11.594938007651605,0,8.611083266724169
6,8,1,0,14.886168160575052,1,19.33522450803629
8,5,0,1,11.892660786052495,0,9.218240572162204
6,5,0,1,10.696415877702783,0,7.725222393514432
10,4,0,0,14.05231058312589,1,19.37029486756085
6,3,0,0,18.743141693703613,1,23.869514971923063
7,7,0,0,14.655902568232545,1,19.86626676880458
3,6,0,0,13.52281544592177,1,18.36473823404468
10,6,1,1,15.16239717709214,1,20.344668168053023
8,3,0,0,15.201452555733695,1,20.596506236895248
7,4,1,1,14.15287420271656,1,19.75392505855948
10,3,1,1,11.255356536366389,0,7.703510321834824
10,4,1,0,16.15087327326142,1,20.7549395386723
10,5,0,0,14.200429474225018,1,19.120886813299936
4,6,0,0,11.671704549775464,0,8.689997468654918
12,4,1,1,10.098942833115592,0,5.4529789093710015
4,4,0,1,10.754605720919454,0,6.81428508358266
12,5,0,1,13.228943777944956,1,18.988328001141053
6,7,0,1,12.83738520481438,0,10.699731533675122
6,7,1,0,12.697756676157477,0,10.312439261896056
11,6,0,0,16.099745900288326,1,20.550106693404125
4,6,1,1,10.892032092697743,0,6.865331012633931
6,6,0,1,16.374451853366555,1,20.818253372906096
7,4,1,1,13.900845502500706,1,19.16120519815149
7,6,1,1,12.91626163688637,0,10.274279942757376
7,5,1,1,12.366343466000744,0,9.783732643198713
7,4,1,1,19.61251894710957,1,23.196822742945507
11,7,0,1,10.222087285480283,0,6.36986796170234
7,5,1,1,12.194859944749028,0,8.255257948078883
5,3,0,1,13.235040071736302,1,18.42544047156296
13,7,1,0,13.223873455675731,1,18.782132233808422
6,6,1,0,11.997260299210872,0,8.411939728868077
7,7,1,0,9.529571985199947,0,4.529036019886858
2,6,0,1,15.383364929805731,1,20.068600635073203
9,7,0,0,14.235651024723005,1,19.110933774443463
4,7,0,1,14.496749692459751,1,19.97886769425281
4,6,0,0,12.54673140978689,0,9.73897798539326
1,4,1,1,10.860170314987762,0,7.683663622435448
7,5,1,0,14.342273128184395,1,19.5927622208888
6,6,1,0,10.386613690846003,0,6.308518252455651
6,5,0,1,14.65954852743123,1,19.858961480750796
0,6,1,0,12.534398282984508,0,9.386738522322633
4,6,1,1,13.09458753566491,1,17.923082462432177
6,4,1,1,9.254189770403682,0,4.367843406598076
4,9,1,1,11.7931249540093,0,8.479415869823564
3,5,0,1,11.56855815913511,0,7.976646323128364
10,5,1,0,11.697447983487166,0,7.764360120294217
12,4,1,0,15.00386102589914,1,19.9028846428306
8,5,0,1,11.75291893767535,0,8.330055803207
6,7,1,1,13.07953721148215,1,18.78011063306611
0,7,1,0,12.52623183993614,0,9.21890254409951
7,4,0,0,13.449374960372324,1,19.95624420317997
6,6,1,0,11.407259677114473,0,7.393026574803131
6,7,1,1,13.413806975451903,1,18.483494424736385
10,7,1,0,16.239328859800597,1,20.595072970608044
12,4,0,1,13.135805137963674,1,18.12658169637014
7,7,1,1,11.968355441959986,0,8.871880952387908
3,6,0,1,15.327603091864672,1,19.80690887512048
9,4,0,0,12.642409273930047,0,9.7941513209615
3,6,1,0,15.8192066629267,1,20.58069750227482
11,7,1,1,16.503190107046354,1,21.83537609662273
6,5,1,1,13.323760771459677,1,18.308699687318565
11,7,0,1,8.70501982601484,0,3.854503659694284
8,6,1,1,14.216806934401042,1,19.573011147875377
9,5,1,1,11.931467030277576,0,8.402290052310654
4,6,0,1,14.283273430044934,1,19.043819324331537
15,6,1,0,14.212882941334138,1,18.99908876705264
6,6,0,1,9.799073018437,0,5.523655826530696
9,5,1,0,12.93958901613454,0,9.97556132716095
3,6,0,0,13.088718939445233,1,18.740731346574886
4,5,0,1,14.450953347450572,1,19.400233299131397
5,4,1,0,14.87310543377601,1,19.43672183482386
10,7,1,1,12.59187601010395,0,9.536758450874116
3,8,1,1,11.360880541885654,0,7.458571475845187
3,4,1,0,11.2255945423978,0,7.54592458649252
7,4,0,0,12.727012826186808,0,10.119766192156158
6,4,1,0,11.574475603605148,0,8.875617970288413
7,6,1,0,14.619416690509,1,19.824685858908182
8,6,1,1,14.32415114093986,1,19.59898469901666
6,7,0,0,12.925187444459509,0,10.755321951001465
8,3,0,0,18.174339541925864,1,22.141716882617292
11,5,0,1,10.362835317327685,0,7.060765936696046
8,3,1,0,12.357336199057698,0,9.200003695083726
11,6,1,1,13.367038582321571,1,19.622555920396277
8,6,1,0,17.579198910010646,1,21.98359142415309
8,5,1,1,13.623478677994209,1,19.18417991908037
6,5,1,0,10.986833569563096,0,7.729897885790078
2,4,1,0,14.239599237493271,1,18.580533112462337
3,3,0,1,13.165688673951951,1,18.580589590502417
9,5,0,1,12.325000909270772,0,9.920474734918912
1,4,1,1,9.909395868121065,0,5.40478290183024
6,4,1,0,13.076510131134444,1,17.99711520903238
7,4,1,1,12.52150810587852,0,9.5901918571757
7,4,1,1,9.542092659585643,0,4.714193219576758
10,4,1,1,12.412938224372668,0,8.181260439983058
7,6,1,1,14.170183763098368,1,19.45322799905768
6,5,1,1,12.630618407345738,0,9.871961547614651
12,4,0,1,13.79371140027683,1,19.089490562876176
3,7,0,1,10.192684881875133,0,5.770076988131547
9,6,0,0,7.590484368817188,0,2.289878512872278
10,7,1,1,13.287230131316743,1,18.180720211886435
6,5,0,1,15.301043947283617,1,19.50213644073614
6,7,1,0,14.21451070771842,1,18.940661946983408
7,9,0,1,13.7555563993713,1,19.595716547220377
7,6,1,0,11.294500342318194,0,6.005900464027963
13,6,0,1,17.0316892543567,1,21.788159475486424
6,5,1,1,13.385466218257962,1,18.27041859508001
5,5,0,0,11.630619915788548,0,8.385727434351674
12,5,1,0,14.65196543970365,1,19.1642101142907
6,7,1,0,11.444827834498266,0,8.28465425267378
8,3,0,1,12.712774260625956,0,9.921053336090036
10,8,1,1,13.509708981711306,1,18.66127374625262
7,4,1,1,14.321914000587336,1,19.422290038236227
3,5,1,1,13.567972130918644,1,18.39911494858977
12,6,0,0,13.22930233930372,1,18.90154547760254
5,7,0,1,11.37847596084803,0,7.547371808197959
11,6,0,0,16.687192523103604,1,22.441082437394947
8,3,1,1,16.751520794852162,1,21.71150105014897
8,5,1,0,11.406830965312096,0,7.832719550957632
5,4,0,0,11.20817049057162,0,6.784010617000384
5,7,1,1,11.985875325838077,0,8.476148023369586
7,5,0,0,15.341770235463718,1,19.63746984522769
8,5,1,1,9.522266905513249,0,5.401662301090933
13,7,1,0,12.048326391717971,0,10.192591706985016
10,6,1,1,13.447520347016551,1,19.02899564709639
7,4,0,1,13.742946012459171,1,18.37439222492062
6,5,1,1,13.206961248092368,1,17.425460655697083
3,7,0,1,12.219060892879854,0,8.516641771797078
10,7,1,1,15.640570404521352,1,21.10884709879572
7,3,1,0,13.111537554232951,1,18.85555367343472
12,8,0,1,14.729318698848193,1,20.929259342863503
8,5,0,0,11.863012314277745,0,8.952290612532423
3,6,1,1,12.72121768279575,0,9.84301695725639
10,4,0,1,9.948123736132114,0,5.833110792931929
5,5,0,0,11.265295724928206,0,7.915237287019435
5,7,0,1,12.330417468975794,0,9.10473741673978
11,6,0,1,8.7214089045516,0,4.590444851294908
6,6,1,0,10.935576532360129,0,7.650711543255811
4,6,0,1,13.083986775655038,1,17.483703521929886
0,4,1,1,14.6454379242424,1,18.86421463491161
8,4,1,0,9.715019310973313,0,6.606364299317333
5,7,1,0,12.52904744725781,0,9.283583067224656
9,3,1,0,11.559880303021217,0,7.444269864529808
11,6,0,1,10.708048667932276,0,6.390456147642468
10,5,1,1,16.73552015713036,1,22.56158349905603
5,4,0,1,8.681517287953232,0,3.796839398586122
9,5,1,1,12.481764885486122,0,9.992605332898291
10,6,1,0,12.606168216002231,0,10.22373088265856
7,5,1,1,13.341156809458068,1,18.1323548635758
10,7,0,0,15.927868033018193,1,20.92722697979318
8,7,0,1,13.702364329484892,1,19.22368407904404
5,7,1,1,9.394772036292537,0,5.010558320548272
7,6,0,1,18.87161675524053,1,23.97190434252879
13,3,0,1,13.343860874240145,1,19.07717075483031
4,6,1,1,17.31338201190439,1,22.46474229210525
10,6,1,1,13.657511717923212,1,20.0681393572007
3,6,1,0,15.43444886863048,1,19.838023129993047
6,5,0,1,9.41727846658415,0,5.042387379729488
10,5,0,1,13.086007227465217,1,18.508978168248387
7,4,1,0,10.387445429201772,0,6.672956586470494
7,6,1,1,12.922778321463612,0,10.141092445823055
5,6,1,1,12.306481864489855,0,8.70814770980947
10,3,1,1,16.99941915558133,1,21.257266763198047
6,4,0,1,13.758187342913333,1,19.410636938108336
4,6,1,1,14.473706227670492,1,18.75000067655998
9,6,1,0,12.583130282267776,0,9.608058884933708
12,7,0,1,16.533526335893512,1,21.856844272334804
12,5,1,0,13.031478301398092,1,17.772599955500766
2,5,0,0,11.062757471436091,0,6.67508091200768
9,5,1,0,11.367403552354062,0,7.820723598553696
6,6,0,1,10.734841596005069,0,6.429190505367257
8,6,0,0,11.595757027228066,0,8.2262242062477
4,6,0,1,11.32741114978038,0,7.93420145352773
7,4,1,1,12.907992692415569,0,10.294811623958482
12,6,0,0,13.16328526120236,1,19.706026805983573
7,6,1,0,11.44804099390646,0,7.990670488933556
8,4,1,0,11.452558929910133,0,7.39879373572021
14,6,1,1,11.339167630912662,0,7.59842213885394
6,3,1,1,14.62730958837021,1,19.505778334305187
5,5,0,1,13.079513669603347,1,18.3104774909555
17,6,0,1,14.571266628135012,1,21.028911726419896
8,3,1,1,14.182856923748275,1,18.741792116703493
8,6,1,0,10.050068550006063,0,5.881237250329218
1,4,0,0,11.29073940200056,0,7.514943079516285
5,5,1,0,12.118604396214606,0,8.688491489094911
3,5,1,0,11.32122801442648,0,6.92299524180551
11,6,0,1,11.739640542345104,0,9.324672835373445
0,7,1,0,11.038406432794252,0,7.433735538752183
12,4,1,0,9.81491075427833,0,6.56975693015445
7,5,0,1,12.227783290063186,0,9.979593154611596
8,6,0,0,14.73210471748028,1,21.00385599838889
