resident_age,income_level,urban_residence,employment_status,public_transport_subsidy,public_transport_usage
31,29,1,0,1,94.636361792921
22,29,1,1,0,83.79999859775384
15,23,0,0,1,81.48054040454143
16,24,1,0,1,83.05453688651744
35,23,1,0,0,87.45129113971726
17,19,0,0,1,78.88489381431708
28,21,1,1,0,81.79162639486411
15,29,0,1,1,82.91513263281934
23,26,0,0,0,79.87200572667466
47,19,0,1,1,101.50380392732554
33,21,1,0,1,91.76310360552868
25,16,1,1,0,79.17576008941462
16,21,0,1,1,80.60928414030619
15,22,0,1,1,79.06666609776386
7,25,1,1,1,76.24922524269708
10,27,0,0,1,78.9021422356006
17,24,1,1,1,84.61928485807245
37,26,0,1,1,97.56255241817442
35,20,0,0,1,91.23920820529229
16,26,1,1,0,76.92765068671501
23,20,0,0,1,84.02495990795458
29,25,0,0,1,90.2705953360471
31,25,1,0,1,92.62674755089536
3,26,0,0,0,67.60165434427606
25,21,1,0,0,81.22829198613924
21,22,0,0,1,84.82725585962629
21,15,0,1,1,80.32082181235621
18,23,0,0,1,83.05657844273685
26,28,1,1,0,85.33144878571326
30,30,0,0,0,87.96704939883519
31,19,0,0,0,84.67457582684428
24,20,0,0,0,77.97824891476724
31,24,0,0,0,85.15356663230182
35,23,1,1,1,95.51876290664852
33,26,1,1,0,87.54285983154703
23,24,0,0,1,86.16269400693882
11,22,0,1,1,78.24661829972402
37,26,1,0,1,97.51253658862085
29,24,0,1,0,84.07804911399562
31,20,0,1,1,88.49115871344586
26,26,1,1,0,85.45747387101108
25,22,0,0,1,86.49592461632322
28,18,0,1,1,86.22423358079851
18,26,0,1,0,79.8360160767972
32,17,0,0,1,87.76290969229956
22,25,0,0,0,81.6965477821266
26,28,1,0,1,89.19250138595883
22,19,1,1,0,77.02161993525321
23,25,1,0,0,82.88770686911697
29,25,1,0,0,85.63427711087874
29,26,0,1,1,92.670969813582
5,21,1,0,1,73.59389528290805
11,20,0,1,1,77.0923519634392
30,24,0,0,0,86.28427332533938
32,17,0,1,1,89.1181387473708
28,26,0,1,0,86.8934773208789
46,27,1,1,1,103.1480224543699
16,21,1,1,0,75.82069449466917
20,27,0,0,0,79.37703264484581
6,19,0,0,0,65.48681530424753
28,18,0,0,0,81.09353137637048
23,18,0,1,1,85.08979717462759
26,23,0,0,1,87.59302393979021
8,20,1,0,0,69.97724086878576
0,18,0,1,0,62.13973611309191
30,21,1,0,1,90.18685170033606
9,18,0,1,0,66.82142667764495
37,23,0,1,1,95.3176345700606
7,19,0,0,1,72.56179884913863
25,22,1,0,0,79.92193608647642
14,32,1,0,0,79.59693381087783
27,19,1,0,1,86.86350076734115
34,26,1,0,0,91.07105767948202
14,24,0,1,1,81.85515083902666
24,23,0,0,0,78.45218592147558
16,16,0,1,0,72.61522209657561
18,19,1,1,0,77.48102945848049
28,22,1,0,0,83.00904381695199
41,22,0,0,1,98.7106966957725
33,19,0,1,0,84.29184814519911
35,25,1,1,1,95.88891117471016
54,24,0,0,1,107.61142715871894
33,20,1,1,1,92.0296113398326
14,25,0,1,1,82.49616902132992
26,22,1,0,1,88.61745439671873
26,20,0,0,0,79.68648940182939
50,19,1,0,0,96.96040851519476
14,21,0,0,1,77.82491326955106
34,21,0,0,1,90.85842298308415
8,25,1,1,0,72.46414556105847
44,35,0,1,0,98.0509827915402
33,23,1,1,0,87.49078523276164
39,26,1,0,0,91.8759003841864
-11,25,0,1,0,56.968150243454
38,20,1,1,0,90.45372742442125
38,23,0,0,0,88.89502569750775
39,20,0,0,1,93.54156311941676
32,30,0,0,0,89.5842720937832
29,24,0,1,0,84.40519561548948
28,27,0,0,1,92.32552012611384
25,19,0,0,0,79.25512278885981
26,28,1,1,1,92.28516677693196
34,21,1,0,1,93.69564528389158
11,22,0,0,1,76.06844157088995
20,20,1,0,0,76.7866028928108
33,22,1,0,0,88.1599025451837
21,21,0,1,0,75.72212808896744
33,24,1,0,0,87.78645416857282
12,30,1,0,1,83.24154589792889
29,30,0,0,1,94.50204212786058
29,19,0,1,0,80.64418578029318
37,25,1,1,1,98.00596138947382
15,33,0,0,1,86.01220638362737
32,21,0,0,1,91.3908859617677
40,15,0,0,1,93.31478470473174
20,22,1,1,0,79.27995609504838
11,25,1,1,1,80.13054936799205
39,24,1,0,1,97.62885834227434
25,26,1,1,0,84.37287115986771
29,28,0,0,0,86.54683560416501
15,15,0,1,1,77.85802974370098
34,24,0,0,0,86.9654911092345
19,27,1,1,1,88.16250529868049
35,23,0,0,0,87.55583288802406
42,28,0,1,0,95.01928574568052
50,28,1,0,0,100.53982512869491
23,27,0,0,0,82.16342177829624
25,24,0,0,0,82.03088447168055
18,24,1,0,1,83.27534990869019
24,28,0,0,1,88.96370215033144
2,24,0,0,1,74.0794545343828
37,27,0,0,0,90.0827796449813
15,20,1,1,1,79.46604123827203
21,27,0,0,0,80.48811215897315
21,29,0,0,1,87.90043125808597
16,25,0,0,1,81.10569684336234
27,23,0,0,0,82.6002811981862
30,30,1,1,1,95.3759008985252
4,18,0,0,1,70.34212532957352
29,19,0,0,0,80.0612922617662
20,20,0,0,1,82.49370770425881
24,34,1,1,1,93.03091020234918
15,20,0,0,1,79.32270660366119
5,28,1,1,0,71.81932068305107
29,19,1,0,0,82.93164357630482
28,22,0,1,0,82.11052667972844
32,17,0,0,1,89.58890859222919
24,33,1,0,0,86.88951785438933
31,26,0,1,0,87.24509314020456
16,23,1,1,0,76.14244244959143
22,27,0,0,0,82.53360892760935
28,19,1,0,0,82.13251366667505
26,20,0,1,0,78.06549450171912
33,24,0,1,0,87.28637537266086
12,25,0,0,1,78.84803760394493
30,15,1,1,1,87.06928756997557
29,25,0,0,1,89.66145709532839
33,28,0,0,0,89.28514440064099
20,18,1,0,0,74.92651045038656
28,19,1,1,0,82.34786320191347
14,27,1,0,1,82.99568981983252
8,31,0,0,0,74.27402034634511
22,23,0,1,0,80.5576432619351
35,27,1,0,0,91.3052790082069
17,20,1,1,0,76.69197078794724
24,23,1,1,1,87.15806956803745
28,26,0,1,1,91.12073414889028
6,26,0,1,0,68.61229252286661
7,22,0,0,0,66.88000834693811
25,25,0,0,0,81.96473395701992
20,26,0,0,1,85.39769207581999
25,19,0,1,0,80.07571643848803
26,22,0,1,0,82.22468711772457
39,25,1,1,1,98.89023973535444
27,25,1,0,1,91.53086424443896
22,19,1,1,1,84.38912052757583
24,22,1,1,0,81.36464023149071
21,32,0,1,0,84.27422827795226
36,20,1,0,0,88.49279032986892
40,30,1,1,0,96.57932622631476
23,33,0,0,1,91.4523898951628
32,28,0,1,0,89.36611684434827
29,19,1,1,0,83.20020756062054
27,27,0,1,0,82.9549060545943
29,30,0,1,0,88.09243869406906
7,24,0,0,1,76.04487420982406
31,28,1,0,0,86.88359010624704
34,14,0,1,0,83.69069080404245
24,28,1,0,0,84.83403995491432
18,22,0,0,1,80.75504507097138
4,25,0,0,1,75.01018367401889
21,26,0,0,1,86.21520376681825
25,33,0,1,0,85.83144604750868
18,17,0,1,0,74.64682959179936
15,28,0,0,0,77.49732357692629
36,19,0,1,0,85.42289109276263
28,31,0,0,1,92.57318654306758
23,27,1,1,1,89.59405298528164
30,23,1,0,1,92.28765015104874
11,31,0,1,1,82.78374002937959
17,22,0,0,0,74.64258177880393
15,34,1,0,1,87.25102041382867
25,25,1,0,0,84.26602315695389
42,26,0,0,0,94.476599926857
35,20,1,0,0,85.01498145566374
24,24,1,1,1,88.90242637689401
9,18,1,1,1,76.25895567729006
20,23,1,0,1,86.15948005368192
15,21,0,1,0,74.2803362452477
5,30,0,1,1,77.18810582940058
15,26,1,0,1,81.43244282631748
17,26,1,0,1,84.57303733602977
37,16,0,0,0,84.20849256526797
10,30,1,1,1,81.85351435853879
22,25,1,1,1,88.73504173987885
33,22,1,1,1,93.33021958345216
41,28,0,0,1,101.24674057966968
25,26,0,0,1,90.91531852822334
29,21,1,0,1,89.48409967095321
13,33,0,1,1,86.12853269469136
20,28,0,0,0,77.9061070991636
27,24,1,0,1,90.64965661741412
16,21,0,0,1,78.091504930748
43,27,1,0,0,95.89056084905592
34,24,0,0,1,94.60358589748128
40,24,0,1,1,97.35476908875228
40,24,1,0,1,97.55424952090183
33,30,1,0,0,91.00957129692964
24,21,0,0,1,84.50389404671837
25,23,0,0,0,81.29249954887851
34,22,0,0,1,90.91034926428952
26,19,0,1,0,80.00504559061248
24,25,1,1,1,90.097181288658
32,24,0,1,1,91.93188532794582
32,23,1,0,1,92.68690423143894
17,23,1,0,1,82.11559329215297
35,25,0,0,1,94.99467995450745
37,19,0,1,0,88.11693021459476
18,20,0,1,0,74.08725749626532
21,25,0,0,0,80.69798064326996
30,19,1,1,1,90.18033016735362
31,19,1,1,0,85.0235899073393
43,23,1,0,0,93.89438099054496
49,22,0,0,0,96.00045776931432
23,26,1,1,0,82.38587823678796
26,16,0,1,1,84.32116789919891
18,25,1,1,1,84.94963916198232
30,25,1,0,0,86.66794622261023
35,26,1,0,0,90.84360516699424
22,27,0,0,0,80.74430146861816
14,26,0,0,1,81.66968583261803
21,24,0,0,1,83.47454121655016
17,25,0,1,0,78.6659680851791
32,20,0,0,0,85.65992478198676
22,27,0,0,0,81.26984669280189
15,20,0,0,0,74.05239090872894
19,25,0,1,1,84.96752128267649
19,23,1,0,0,78.58712676866942
32,35,1,0,0,92.39052430429436
11,25,0,0,1,78.82585516643897
25,22,1,0,1,86.61885450476667
12,19,0,1,0,69.73015805966266
8,20,1,1,1,75.79922566367257
10,29,1,0,0,75.10159224385077
18,19,1,0,1,80.27572863585813
10,25,1,0,0,72.31908933901998
24,19,1,0,1,83.72626688579341
22,23,0,1,1,85.14384634462347
39,29,1,0,0,94.48204646833248
9,25,0,1,0,69.34035508814479
39,26,1,1,1,100.05773807987048
18,21,0,0,1,81.69943118297509
19,25,0,1,1,83.04740950120669
2,20,0,0,0,62.89665044645293
17,28,0,1,1,85.87872391885028
29,28,1,1,1,94.0647927979388
18,22,1,1,0,76.85315915946312
24,22,0,0,1,84.56756163305731
14,25,0,0,1,81.82468340612262
17,21,0,0,1,81.21255091012337
38,29,1,1,1,98.81263979640686
30,25,1,0,0,87.70074119576918
16,19,0,1,0,73.87971485036965
2,25,1,0,1,73.65393558706631
14,27,1,0,1,82.89676276113568
37,25,1,1,0,90.97565314987015
17,24,1,1,0,77.09258118116506
27,30,0,0,1,93.0326908632842
23,22,1,1,0,81.49983001874249
16,19,1,0,1,80.54551710664823
30,34,0,0,0,89.89052234795848
25,28,1,0,1,89.11637221409826
27,23,0,0,1,85.74507073740907
14,27,1,0,1,83.18237834666887
39,26,1,1,1,97.71572367407228
22,21,1,1,1,84.27054472005413
33,26,0,1,0,89.86324997805112
39,28,1,0,0,94.45271066320306
18,20,0,1,1,81.18771833731984
33,28,0,0,1,95.24342731981304
24,19,1,0,0,78.77673927275578
64,23,0,0,1,113.1484364116584
27,27,0,0,0,83.89920387854612
18,18,1,0,0,73.72783787996602
20,23,1,0,1,84.79156325632601
30,24,0,1,1,91.75179450502554
26,22,1,0,0,82.67546242805605
4,20,0,1,1,71.98180855896145
17,25,0,0,1,83.14363238293198
18,27,0,0,0,78.12883949012587
24,30,1,0,0,82.91268029233154
26,26,0,0,0,83.43954750981584
18,21,0,1,0,75.10704371869903
36,22,1,0,1,94.44359129340906
12,26,0,0,0,74.58317945878038
17,22,1,1,0,78.77352121677458
5,20,1,0,1,73.04531799806364
14,23,1,1,0,74.86881880227295
12,28,0,1,0,76.0514837622955
22,18,1,1,1,84.48198438133718
31,29,1,0,0,87.24731645252216
35,18,0,1,0,85.68251012322744
29,22,1,1,1,91.02015919126792
33,24,0,0,0,89.16585899360636
10,23,1,0,0,69.49317261244089
11,21,0,0,1,75.11466320480409
27,20,1,0,1,89.28389851786612
22,20,1,0,1,85.40452200144381
25,24,1,0,0,81.31480168882459
7,26,0,0,1,75.45565381304397
7,26,0,0,1,74.45897242762643
27,26,1,1,1,92.10147724113888
26,24,1,1,1,90.6822681966698
31,22,1,1,0,85.59814137156381
3,25,0,0,0,69.37803746518254
29,21,1,0,1,90.04801909621023
17,15,0,0,0,71.26328939531263
35,18,0,1,1,91.90242860589876
24,23,0,1,0,79.91751014471787
9,25,0,1,0,71.84319944470869
5,19,0,1,1,72.90441282034615
16,25,0,0,1,80.02537575204153
24,19,1,0,0,77.62511293309376
36,27,0,1,0,90.86136605364167
29,30,0,0,1,92.1468169305272
35,25,0,0,1,94.7523041779836
23,25,0,0,1,88.08428536499157
40,27,0,1,1,99.6375394189547
35,22,0,0,1,93.70711447030446
38,21,0,1,0,88.81019937871899
29,19,1,0,1,88.33056692469228
26,20,0,1,1,85.36641792690715
15,19,0,0,0,71.69682127849656
44,23,0,0,0,92.65943387347306
29,28,1,0,0,86.76701695128355
32,30,1,1,1,97.09615856544022
32,29,0,0,0,88.8286033274923
11,27,1,1,0,74.99513368206408
33,28,0,0,1,96.15297915756824
33,28,1,0,1,95.84943285624796
21,23,0,1,0,78.56632079997937
15,27,0,0,0,75.81705829989872
6,21,0,1,0,67.46318350468806
26,17,1,0,1,87.5993170899192
35,23,1,0,1,93.39819997789856
29,26,0,1,0,84.56008218561684
41,27,0,0,0,93.7626818178124
9,16,0,1,0,67.42945410902982
43,25,1,0,1,100.43096876251784
7,18,1,1,1,74.66113455759653
49,21,0,1,0,97.39948088195364
19,23,0,0,0,77.16333001300028
23,27,0,1,1,89.48629214524433
24,22,1,0,1,85.51021443986247
19,27,0,1,1,84.19626137633396
12,26,0,0,0,74.69638578639005
39,24,0,0,1,97.54719394036528
26,28,0,1,1,91.24082399863296
14,19,1,1,1,77.30861612255256
31,20,0,1,0,84.12838912100946
41,22,0,0,1,98.29963021830034
20,26,0,0,0,77.91999282468852
34,23,1,1,1,95.25242300003282
24,24,0,0,0,82.34396995388549
31,20,0,0,1,90.04608818781035
64,24,0,1,1,112.57157327823371
33,16,1,1,0,84.04862966598877
25,24,0,1,1,87.42133314444926
24,20,0,1,1,84.234407228865
29,18,0,0,0,81.55216648875792
9,21,0,0,1,73.89745111036127
17,25,1,0,1,83.74098876191883
44,24,1,0,0,95.72636662769573
10,23,0,1,0,69.47426108267781
34,31,0,1,0,92.03759320260244
28,26,1,0,1,90.6088156617617
4,25,1,0,0,68.93010622295559
37,28,0,0,1,98.2434633307264
23,24,0,1,0,79.96736927238535
39,24,0,0,0,90.06064595328456
35,22,0,0,1,92.6590873845539
23,30,0,1,0,83.77550647306391
26,22,0,0,1,85.73665982312316
19,20,0,0,1,80.7159591094006
-2,27,1,1,0,65.66754997051127
25,21,0,1,0,79.28213056770856
32,26,1,0,0,88.2960231659055
7,22,0,0,0,68.60875023837916
16,25,1,0,1,82.24860995747251
28,24,0,0,0,82.86709326853682
22,25,1,1,0,82.2446679087854
22,26,1,0,1,86.96993560365493
22,19,0,0,1,82.1939342196894
19,30,0,0,0,79.53857574599687
22,20,1,1,0,78.04612038346333
7,31,0,0,0,73.62090548622854
12,23,1,0,1,81.28202745698528
21,30,0,1,0,82.84940727896968
15,32,1,0,0,77.37236397117206
8,25,0,0,0,70.829713975859
28,20,0,1,0,82.92869834874014
25,23,1,0,1,88.13811212122063
28,22,0,0,1,87.94021130759903
32,15,0,0,0,81.79772715171171
15,23,0,0,0,72.89611946611015
27,24,1,1,1,90.84090134824082
29,22,0,1,0,85.34086679025346
6,23,0,0,0,67.5425477207404
30,23,1,1,0,84.72472324174899
22,17,0,0,1,80.04736381914232
17,19,0,0,0,73.33986045748483
23,28,0,1,1,88.22588191096945
23,23,0,0,1,84.32671114458029
33,27,0,1,0,87.52215316835127
26,19,1,0,1,87.28380780057307
21,26,0,1,0,80.15583736113827
26,18,1,0,0,79.94367979825869
41,24,0,0,0,91.11748711011334
29,27,1,0,1,91.88374323922224
18,27,0,1,0,79.4450980714877
30,23,0,0,1,89.19821240599187
32,18,0,1,1,87.9846090585422
9,25,1,0,0,72.00498822711997
43,18,0,0,1,97.11031585930137
15,26,0,0,0,77.76818770612776
26,19,1,0,1,86.67939112833687
27,19,1,0,1,86.7889846887048
20,23,0,1,1,84.225714859516
19,24,1,1,0,78.59246272938988
11,22,0,1,0,70.97445268400298
22,16,1,0,0,77.81201942101299
30,18,1,0,0,83.51963576318582
26,20,1,0,1,86.06916014583472
37,24,0,0,1,95.14912049248638
36,26,1,1,0,90.78934141995354
21,22,0,0,0,77.79729424620456
30,21,0,0,1,91.1832197900286
14,18,0,0,0,71.01857637569326
6,26,0,0,0,68.7404453565436
33,19,0,0,0,82.87287484602977
8,29,0,1,1,78.80287054497548
24,33,0,0,1,92.18331939994212
43,16,0,0,1,96.47308503123104
22,13,0,0,0,71.84258387351662
30,30,0,0,1,94.52351212223364
13,24,0,0,0,73.68747342907352
29,28,0,1,0,85.21412737428109
51,22,1,1,1,103.48981393219296
17,25,0,1,0,77.50218956191863
31,26,0,1,1,92.71922896417992
9,26,1,1,1,80.47896998436289
34,24,0,1,1,94.95572302770938
22,20,0,0,1,82.63316063690836
23,27,1,0,0,84.26429046249923
15,23,1,1,0,76.46487748846303
32,26,1,0,0,86.53087783996682
34,27,0,0,1,95.11851390999776
21,28,0,1,0,80.8519606674437
25,17,1,1,0,81.0523061568551
40,23,0,1,1,97.65515789454386
40,19,0,1,1,96.08563482061692
28,31,1,1,1,94.96354785271144
32,17,1,1,0,84.7011690880209
36,25,0,1,0,90.19675939328556
28,18,0,0,0,79.3814209665607
14,21,1,0,1,79.78060361266684
22,22,1,0,0,78.101207129647
32,24,1,1,0,88.67413558781325
26,18,0,0,0,79.83990443211528
19,25,0,0,0,76.3735900248588
26,19,0,0,1,83.68221718301353
26,29,1,0,0,84.4398488763606
33,20,1,0,0,85.2187818918951
27,28,1,0,0,86.4928414649193
32,22,0,1,0,85.08504924479901
15,26,1,0,1,82.81964960881596
30,22,0,1,1,88.68112071662881
24,27,1,0,1,89.54918005127898
18,19,0,0,1,80.39671185162616
7,25,1,0,0,71.04210316085367
32,19,1,0,1,91.062591705345
29,30,1,0,0,87.71523741155144
26,25,0,0,1,90.02032601425223
48,29,1,1,0,100.7783409969199
20,29,0,0,0,78.49106118396494
10,16,0,0,1,72.34855045995215
15,21,1,0,1,82.36226419755029
54,24,0,0,0,100.86199424017816
26,29,1,0,0,87.98682734854003
26,20,0,0,1,86.1227147530508
19,26,0,0,1,84.00058558095611
41,19,1,0,0,89.6998186050336
25,30,1,1,1,94.1119845671236
23,19,0,1,0,77.18210685677924
39,11,1,0,0,84.11991645515938
19,25,0,0,0,79.02348192503622
0,23,1,1,0,65.22997462231822
30,26,0,0,1,90.36398869342167
26,23,1,1,1,89.64861615738307
20,27,0,1,0,79.52093219507951
22,27,1,1,0,82.33179740000537
16,15,0,1,0,72.65436952512181
15,25,1,0,0,75.43301844068284
27,27,0,0,0,83.94664240709028
12,21,0,1,1,75.89888540473245
18,24,0,0,0,75.39941259802409
28,30,0,1,1,95.12839506043711
15,20,1,1,1,79.10929797076777
41,24,0,0,1,98.79638230620942
45,28,1,0,1,104.39258141122234
31,25,0,1,0,87.3558405901642
23,20,1,1,1,86.12092922756051
45,22,1,0,1,99.97095279664732
23,25,1,0,1,86.73011815348119
19,22,1,0,1,83.7810926949172
21,27,1,0,0,80.71775561818005
30,28,0,0,0,86.82189154116463
13,28,0,0,1,80.8072703032497
29,22,0,0,0,83.3691207945545
31,22,1,1,0,85.42050003194909
35,28,0,0,1,96.73820062853164
28,22,0,0,1,89.67560527367465
18,18,0,0,0,72.97924244339012
44,26,0,0,1,100.44973880709222
15,25,0,1,0,75.67569657318151
30,23,1,0,1,90.36459274365164
9,25,0,1,1,77.68259121166457
9,26,0,1,0,70.24245443187387
33,23,1,1,1,94.86725781676554
17,26,0,0,0,77.65046945751364
32,28,0,1,1,94.61067895265224
26,29,1,0,0,84.48253900001113
24,21,0,1,1,86.60165166949284
19,25,0,1,1,84.58068194763074
31,28,0,0,0,87.24971254795392
16,27,1,0,1,84.64342283132444
23,21,1,0,0,80.25721835479287
20,31,1,1,0,83.15210932238654
41,24,0,1,0,92.60878635564214
37,28,0,1,0,91.72267656588592
31,23,0,1,1,90.34118541399212
24,27,1,0,0,82.40001667989823
20,26,1,0,1,84.33301968631535
27,30,0,0,1,91.73603827436372
31,19,0,1,1,88.80372511115341
36,22,0,1,1,95.21537910544768
39,14,1,1,1,93.33774082781493
34,28,1,1,1,96.24889675599974
34,28,1,0,0,88.60351204954277
25,27,0,0,1,89.85780722088528
32,24,0,1,0,85.75969457940873
21,21,0,1,1,83.58955387296565
18,18,0,0,1,79.0637405522765
8,23,0,0,1,76.16324431002526
22,23,1,1,0,82.25268556951461
9,28,1,1,1,80.36710657372522
17,27,0,0,1,84.66623237563078
27,27,0,1,1,89.72621097817272
43,26,1,0,1,101.6608539387729
43,28,0,0,0,96.23410520083036
19,23,0,1,1,84.04126573150947
20,20,0,1,0,77.05282096204247
32,23,1,1,0,86.18798592089367
20,28,0,0,1,86.3336525802711
16,25,0,1,1,81.31335477780253
20,25,0,1,1,85.65678835596478
29,25,1,0,1,91.99245015442348
26,29,1,0,0,84.1577383817561
29,26,0,1,0,85.17552327696188
21,27,1,0,0,82.59713711035367
36,29,0,0,0,90.24604265616112
30,24,0,0,1,91.83831188196
13,26,0,0,1,80.64774165530696
24,23,0,1,1,86.62644643628822
30,24,1,0,1,89.88961640252492
25,21,0,0,0,82.37235051279603
23,29,0,1,1,89.99778351396895
26,20,0,1,1,86.47125910267187
26,22,0,0,0,82.33997195004626
55,15,1,1,0,98.49165855777724
31,28,1,0,0,87.77325589022267
25,26,1,0,1,90.67426178942192
30,27,1,1,1,93.1261450633411
4,21,0,1,0,65.50917616844593
29,29,0,1,0,86.272542315881
39,24,1,1,1,99.20216039611788
27,28,0,0,0,84.48991705451219
34,20,0,1,1,90.4977155901784
38,26,0,0,0,89.70067773954956
31,24,0,0,0,85.00987756027686
12,19,0,0,1,78.3488964227286
31,26,1,0,0,86.20100667766616
26,30,0,0,1,91.77113750273284
42,23,0,0,1,98.18788526469882
26,23,1,0,1,87.88424334404061
15,26,1,1,0,78.29595637812115
21,23,1,1,1,86.63414564217825
31,31,1,1,0,89.9780801864564
28,28,0,0,1,90.12267905528908
27,24,0,1,0,84.86099140846895
28,24,0,0,1,89.27542478154808
26,26,1,0,1,90.41688859640242
32,24,0,1,1,93.00215417085498
22,17,0,1,0,76.59315726699029
24,20,1,0,0,80.43713079025919
40,24,1,0,0,92.08989732857178
24,24,0,1,1,85.53031833333208
25,18,1,0,0,80.10244167230385
30,28,1,0,0,87.44654224590461
19,24,1,0,1,84.46675616320866
19,19,0,1,1,82.44605449920915
26,29,1,0,0,86.25006132842472
23,26,0,0,1,86.3403212163923
30,18,0,0,1,88.75571214101197
26,30,0,0,0,83.25303293773261
31,22,1,0,1,90.55054370976632
