cognitive_score,stress_level,prior_therapy,full_time_employed,encouraged_to_participate,attended_resilience_program,wellbeing_score
1,2,0,0,0,1,56.564967621825225
7,4,1,1,1,0,45.37869383388913
5,2,0,1,1,0,46.32541527566143
5,2,1,0,0,0,47.11668806849556
7,2,0,1,1,0,47.01032308772665
3,3,0,1,0,1,56.02343460802884
7,2,0,1,1,0,45.9263359474452
1,2,0,1,1,1,56.29011200237539
1,2,0,0,0,1,54.82186257413903
1,3,1,0,0,1,56.49623177421652
5,3,1,1,1,1,53.4428559464096
5,2,1,1,1,0,44.91714671582311
1,3,0,1,0,1,54.47190309338426
4,3,1,1,1,0,45.32302184197883
3,2,0,0,1,1,56.27519618224038
5,2,1,0,1,0,48.13184662477925
-1,3,1,1,1,1,54.53006480186047
0,2,1,0,1,1,55.1921317873136
4,3,0,1,0,0,46.44432269935863
2,2,0,1,1,1,56.16202082853856
4,4,1,0,1,0,45.215835093672126
10,3,1,1,1,0,45.50896389447221
2,3,0,0,1,1,53.68927905202479
3,3,0,1,1,1,54.954661814870086
5,3,1,0,0,0,48.248850968394336
0,3,0,0,1,1,56.81726354734499
0,2,0,0,1,1,55.45619969177851
1,2,0,1,1,0,47.23768056101338
3,3,0,0,1,1,55.95502009941122
3,3,1,0,1,1,53.84644084443841
1,2,0,0,1,1,54.71092310876349
0,2,0,0,1,1,55.86870821244765
7,3,0,1,1,0,45.80734313901516
3,2,0,1,1,0,48.42054404005516
4,4,0,1,1,0,44.8737117612964
3,3,1,0,1,0,46.07898819280469
2,3,0,0,1,1,55.84195858561392
5,2,1,0,1,0,47.22271223833152
8,1,0,0,1,0,46.80937666886707
3,2,1,1,1,1,54.38796042518141
3,2,1,0,1,0,48.26304547279909
4,2,1,0,1,0,46.31251893956661
1,3,0,0,1,1,55.44627140355
7,2,1,1,1,0,47.10887183266822
5,2,1,0,1,0,46.03351876465648
0,3,1,1,1,1,56.25414975830194
1,4,1,1,1,1,55.987844314446896
3,2,1,0,0,1,53.69292952549616
6,3,1,0,1,0,46.8998818423799
3,3,0,1,1,0,45.39162556462186
4,3,1,1,1,0,44.30248614000018
5,3,0,1,1,0,46.21482506995346
0,3,0,0,0,1,54.3996990043524
2,2,1,0,1,1,57.53794412338593
6,3,1,0,0,0,45.36487271867807
4,2,0,1,1,0,46.6792833955661
3,3,1,0,1,1,55.84797170065527
5,2,1,1,1,0,45.88385449580813
5,3,0,0,0,0,46.44504418627734
-1,3,0,1,1,1,55.4269859128262
3,3,0,0,1,1,57.32658406052785
3,3,0,0,1,1,55.36745419419899
8,3,0,0,1,0,46.827422570866645
2,2,1,0,1,1,55.59684769780662
5,3,1,0,0,0,46.73716284912336
0,3,0,1,1,1,56.35048044213911
3,3,0,1,1,1,53.49919801351024
5,3,1,0,1,1,56.17267506099259
4,3,1,0,0,1,53.85594354999247
3,3,0,1,1,0,44.75392313920272
6,3,0,1,1,1,56.36870089455678
2,2,1,0,1,1,56.32535134273761
6,3,0,1,1,1,54.94069136852863
2,3,0,1,1,1,55.82338989400751
5,3,1,1,1,0,46.08866279705767
2,3,1,1,1,0,44.00054935523803
4,2,0,0,1,0,46.5125733349809
3,2,1,0,1,1,55.02224543569375
5,2,0,0,1,0,49.66590152738168
3,3,0,1,0,0,45.61364766928313
2,2,1,1,0,1,54.68277737105869
5,3,0,0,0,0,47.6604431765214
6,2,1,1,1,0,44.16104696582377
2,2,0,1,1,1,55.01883018642714
5,2,1,0,0,0,48.09117038441647
4,4,0,1,1,0,45.63765402329345
3,3,0,0,1,0,46.66272861167756
4,3,1,0,0,0,45.11692138756329
6,2,0,0,1,0,46.798821600422606
4,3,1,1,1,0,46.229941848690494
2,2,0,0,1,0,48.15682306466817
6,3,1,0,1,0,48.34717322868149
3,3,1,0,1,1,55.32877619817933
4,1,1,1,0,0,46.44154493984456
1,3,1,1,0,1,55.162996378457095
1,3,0,1,1,1,54.07744309648823
0,2,1,1,1,1,54.9363504861448
2,2,1,1,1,1,54.34524742937754
3,2,1,0,0,0,48.777559687441375
3,3,1,1,0,1,53.80016727861886
4,2,1,0,1,0,45.11676033866432
8,3,0,1,1,0,46.9550533240453
4,2,1,1,1,0,46.33015853388124
4,2,0,1,1,0,46.63687635533151
6,3,0,1,0,0,47.19491085960795
1,3,1,1,1,1,55.85133794090743
4,3,1,1,0,1,54.53364148462028
6,2,0,0,1,0,48.71221218244738
6,3,1,0,0,0,47.04907975853726
4,3,1,1,0,0,44.99242619782093
1,3,0,1,1,1,56.41458812032474
4,2,1,1,1,0,45.43603213567557
6,2,0,1,0,0,45.42096437583383
10,3,0,1,1,0,45.45203581856137
1,2,1,0,1,1,55.56674732798509
2,2,1,0,1,1,54.97300350268218
2,2,0,0,0,1,54.96302469331793
4,2,0,1,1,0,45.35458747245416
8,2,1,1,1,0,46.14095844075686
8,3,1,1,1,0,45.63981338591989
2,3,0,0,1,1,55.88762382485479
4,3,0,0,1,0,47.995601559306486
3,3,0,0,1,1,54.15106688420845
4,2,0,0,1,1,57.27196167663395
3,3,1,1,1,1,53.65090935213927
0,3,1,0,1,1,54.31282523511871
0,3,1,0,1,1,54.565928713644126
6,2,1,0,1,0,48.02437299401824
7,2,1,0,1,0,44.91353513778249
8,2,0,1,1,0,46.3219801156182
2,2,0,1,1,1,56.63631363318066
5,2,1,0,1,0,46.48482162035697
2,1,0,1,1,1,56.50692737304286
-1,3,1,0,0,1,54.768566641933205
5,2,1,1,1,0,46.75861319934912
5,3,1,0,0,0,46.442857408899606
7,3,1,0,1,0,47.11642772002676
1,3,1,0,0,1,53.66144105486116
3,3,0,1,0,0,46.03529340768739
4,3,0,0,1,0,46.00761896784336
2,3,0,1,1,1,54.855622123711726
2,2,0,0,0,1,55.70414589943059
3,2,0,1,1,0,47.21733387097561
2,2,1,0,0,1,54.73007750928121
2,3,1,0,1,1,54.72526781183985
7,2,1,0,1,0,47.80635692934696
8,3,0,1,1,0,44.34894800732836
3,2,1,0,0,1,54.66183291601176
5,3,1,1,1,0,48.390667934440806
7,3,0,0,1,0,45.105148054260574
6,3,0,1,1,0,46.89733817855781
2,3,1,1,1,1,55.08125199024872
4,2,0,1,0,0,47.90781777840652
4,3,0,1,1,0,46.028241857001305
5,3,0,0,0,0,47.81322307721545
2,2,1,1,0,1,55.51013069119504
0,3,1,1,1,1,53.61755092365316
4,3,1,0,1,1,55.74954199647461
3,2,0,0,0,1,56.26741750520545
5,2,0,0,0,0,48.43523947346813
4,3,0,0,1,0,46.53124797814511
10,2,0,1,1,0,47.08410027099261
4,2,0,1,1,0,47.23710527691083
1,2,0,1,1,1,55.4333198465913
1,2,0,1,1,1,54.202107782211264
0,2,0,0,1,1,56.4812177824071
1,3,1,0,1,1,54.80530391389753
4,2,0,1,1,0,45.07555367910706
5,4,0,1,1,0,45.98921019358779
4,3,0,1,1,1,54.16068585783699
3,1,0,0,0,1,58.31330035100839
6,2,1,1,0,0,45.66989089897714
4,3,0,0,1,1,55.41073479485384
3,3,0,1,1,1,54.167807265706415
0,2,1,0,1,1,57.12003737625973
6,3,0,1,1,0,46.02101401270155
3,4,0,1,1,1,56.28543405845555
4,2,0,0,1,1,56.92903031036591
1,3,0,0,0,1,56.51019579787763
9,2,1,1,1,0,47.35367966890536
3,2,0,0,1,1,55.88390994031186
3,3,1,0,1,1,54.728723181181
1,3,1,0,0,1,55.47164083079965
5,3,1,1,1,0,45.15891628660581
5,3,1,1,1,1,53.59007242543812
4,3,0,1,1,0,46.05630064855133
5,3,1,0,0,0,45.76382285562509
7,2,1,1,1,0,46.95024338695927
2,4,1,0,0,1,55.58956396024645
4,3,0,1,1,0,47.42715461718262
2,2,0,1,0,1,55.77825032540239
5,3,1,0,1,0,46.76227875601922
2,3,1,0,0,1,56.12897343741907
4,2,0,0,1,0,47.50275885790095
2,3,1,0,1,1,54.812099997294624
0,3,0,0,1,1,53.53342297341888
7,3,1,1,0,0,44.859533921490325
6,2,1,1,1,0,46.64561862955652
0,3,1,0,1,1,53.5208033987596
4,1,1,0,1,0,47.07579989997686
1,3,0,0,0,1,55.09805204513918
1,3,1,1,1,1,54.93680367327829
3,3,1,1,0,1,53.18475084036479
2,2,0,0,1,1,54.74511004268099
4,3,0,0,1,0,46.79512277491529
6,3,1,1,0,0,45.29306603261131
4,3,0,1,1,1,57.083723346610455
7,3,0,1,1,0,46.884332565337
5,3,0,0,1,0,46.73403418466371
3,3,0,1,1,1,54.1867130446492
3,3,0,1,1,1,53.57969317747286
9,4,0,1,0,0,44.87828031298425
5,2,1,1,1,1,55.23381741444253
6,3,0,1,1,0,44.811941829623855
3,2,1,1,1,1,55.92531308729708
6,2,1,1,1,0,46.34962745139758
3,3,0,0,1,0,47.8544312628944
2,3,1,1,1,1,54.21785640261657
3,2,0,0,1,0,46.65994667447868
5,3,0,1,0,0,46.60856321901825
5,3,0,0,1,0,47.53955179624631
7,2,0,1,0,0,47.24477262458084
6,2,0,1,1,1,55.74909554617769
3,2,1,0,0,1,54.99469128335649
3,3,1,1,0,0,44.8263494457438
0,3,1,0,1,1,53.87291624955203
1,2,1,1,1,1,53.80394595724686
3,3,1,1,1,1,54.95671573013757
4,2,1,0,0,0,46.341117988423335
4,3,0,0,1,0,47.40380490214535
0,3,1,0,1,1,53.80290318709627
3,3,0,0,0,1,55.428664102692544
5,3,0,1,1,0,45.53501405386803
7,3,0,1,1,0,45.95825359012542
4,2,1,0,1,0,46.44472145828577
7,3,0,1,1,0,46.90199016013317
2,2,1,1,1,1,54.439078414330325
1,2,1,0,0,1,55.087527049168855
4,3,0,1,1,0,47.06167178277871
4,3,0,1,1,0,46.05607090518453
2,2,1,0,1,1,54.7472938474068
0,3,1,1,1,1,54.43426633372302
3,3,1,1,0,0,45.10286789687373
6,3,0,0,1,0,48.2318341944917
1,3,1,0,1,1,56.24645458643617
3,3,1,1,0,0,47.82192951005084
2,3,1,0,1,1,53.70518479772037
1,2,0,1,0,1,53.04270485514317
4,3,0,0,1,1,55.75122139769337
4,3,1,1,1,1,55.05844298071669
5,2,0,1,1,0,46.62689427787991
6,2,1,1,0,0,48.5110450849846
3,3,0,1,0,1,54.61912414510546
2,3,0,1,1,1,56.08091099774952
2,3,1,1,0,1,53.38360509507247
4,3,0,0,1,1,56.16083919139395
1,3,1,1,1,1,53.67589325273353
2,2,0,0,1,1,55.60567827765285
4,2,0,0,1,0,46.676004368967234
0,3,1,0,1,1,54.811014274122
8,2,0,1,0,0,48.96057462906631
3,2,0,1,0,0,46.05374735470855
5,2,0,1,1,0,46.58891752750055
2,3,0,1,0,1,53.23346486156145
7,3,1,1,1,0,43.51434636227049
1,1,0,1,0,1,54.59016878356074
3,2,0,0,0,1,59.07541652800792
6,2,0,1,0,0,46.51404916536045
4,2,0,1,1,1,54.244088702250174
6,2,1,1,1,0,48.182684551190974
1,3,1,0,1,1,56.020370992444825
3,2,1,1,1,0,46.485607508107
6,2,0,1,1,1,54.32738422445247
5,3,1,0,1,0,48.04577418636717
5,1,1,0,0,0,45.83549654895474
5,3,1,1,1,0,47.023497205743816
1,3,1,0,0,1,54.26976728196446
3,3,0,0,1,1,53.68357110559239
2,2,0,0,0,1,54.70588319979578
3,3,1,1,1,1,53.56531110739203
-2,3,0,1,1,1,54.902941504182266
3,2,0,0,0,0,45.68530069900181
4,3,1,0,1,1,54.90823934231102
3,2,1,1,1,1,55.70334005194104
7,3,0,0,0,0,46.37688936743109
3,4,0,1,0,0,47.67505352323761
7,2,0,1,1,0,46.73112607912754
4,3,0,0,1,0,46.035189482186766
2,1,0,0,1,1,55.722276642004815
1,3,0,1,1,1,54.15162705527334
5,3,1,1,1,0,45.57473060820352
6,2,1,0,0,0,49.46861813572664
3,1,0,1,1,1,55.51009294848272
6,3,1,0,1,0,45.67894469103888
6,3,0,0,1,0,47.46723669141618
3,3,1,0,1,0,47.08375558997851
4,2,0,0,0,0,47.40534643603697
2,3,0,0,1,1,56.39169319166994
4,3,0,1,1,0,46.92885260308034
7,3,0,0,1,0,48.56382609264483
6,2,1,1,1,0,48.027333555893584
4,3,0,0,0,0,49.8140515763255
3,3,1,1,1,1,55.15005034470457
4,3,1,1,0,1,54.20946695480923
4,3,0,1,1,0,45.96144320299461
0,2,0,1,0,1,56.812656827626526
0,2,1,0,1,1,55.45856306746609
0,2,0,0,0,1,56.48499876193171
8,3,0,1,0,0,46.942025362374935
5,3,0,1,0,0,45.865024452885685
4,3,1,1,1,0,44.45006069397924
5,3,1,0,1,0,45.66408958480813
4,3,1,0,1,1,54.90604575203599
3,3,1,1,1,1,54.48781321302299
6,3,0,0,1,0,45.03166285720533
1,2,0,1,1,1,54.26373733889159
3,3,0,0,1,1,55.487506735647045
7,2,1,0,1,0,44.45822797353931
7,3,0,1,1,0,46.46126367170976
4,1,1,1,1,0,45.95047623353344
7,1,1,1,1,0,47.85469090979786
2,3,1,0,0,1,54.55477028685497
4,3,1,1,1,0,46.492170118584674
1,3,0,0,1,1,56.15526643665805
4,2,0,0,1,1,57.70569972991463
2,3,0,0,1,1,56.63716944964419
4,3,1,0,0,1,54.8007385739416
4,3,0,0,0,0,48.17849059629973
2,3,0,0,1,1,55.27548537348684
4,2,0,0,1,0,47.70860381897077
2,2,0,0,1,1,56.25844075014692
8,2,0,0,1,0,46.4690128318018
3,3,1,0,1,1,55.369374976608974
2,2,0,0,1,1,57.34994685286275
5,2,0,1,0,0,46.53686216342268
5,3,0,0,1,0,47.26868070596604
6,3,0,0,0,0,47.76622099885269
2,3,0,1,0,1,56.93099096546703
3,3,0,0,1,0,47.98901921110711
4,3,1,0,1,0,47.27929165317016
4,3,1,1,0,0,47.426594031820485
5,1,0,0,1,0,47.08829571320771
4,3,0,0,1,0,47.59112910972307
4,4,0,1,1,1,54.13266530748409
1,3,0,1,0,1,55.45298970783509
0,3,0,0,1,1,54.54532517389342
4,3,1,0,1,1,53.61948742306546
7,3,0,0,1,0,45.7522761043201
5,3,1,1,1,0,46.568885291198335
4,3,0,1,1,1,54.05373874234493
3,3,0,1,1,1,54.823006454721
5,0,0,0,1,0,49.495154400118885
9,3,0,0,0,0,46.046630593141074
4,3,0,1,1,0,48.52573609559117
4,2,0,0,1,0,46.59348646077575
6,3,0,1,0,0,45.068336173773005
3,3,0,1,1,1,51.73977395205047
4,1,1,1,1,0,47.40306940525909
5,3,1,1,0,0,46.10524309559008
9,2,0,0,0,0,46.55742594452057
4,2,0,0,0,0,47.31022824602879
5,3,1,1,1,1,54.22291409284197
7,2,1,0,1,0,47.523187810700485
6,3,1,0,1,0,45.332442136687554
7,3,1,0,1,0,46.770770068501896
1,2,1,1,1,1,55.482586918596
2,3,0,0,0,1,56.43257087173477
3,2,1,0,0,1,54.89541218587587
3,2,1,0,1,1,56.88688925447464
0,2,0,1,1,1,55.14902160609552
5,2,0,1,1,0,47.13612617461254
4,3,1,0,1,1,52.8545330677556
3,2,0,0,1,1,54.76185766760823
2,3,1,0,1,1,54.69560271020004
2,2,0,1,1,1,56.5325962231897
4,2,0,0,1,0,48.443193072961634
0,3,0,1,1,1,52.69490505671863
3,3,1,0,0,1,56.13727252830219
6,2,1,0,0,0,46.996820424512784
4,2,0,0,1,0,47.80610103816567
6,3,0,0,1,0,47.24438222458283
2,2,0,0,0,1,56.02722747846472
6,3,1,0,1,1,56.032474885037765
0,2,0,1,1,1,54.30461088409852
6,2,1,0,1,0,46.4793311300235
3,2,1,1,1,1,54.21863462456698
6,4,0,1,1,0,45.39419328268639
3,3,1,0,1,0,45.6721617834439
5,3,0,0,1,1,57.35404842498268
2,3,1,1,0,1,53.278109862902895
3,3,1,1,1,1,55.56721890927498
0,3,1,0,1,1,55.40556725094839
2,1,0,0,1,1,58.042923902879295
6,2,0,0,0,0,45.80659932818322
4,3,1,0,0,1,55.20123324962038
4,2,1,1,1,0,48.00241334841618
4,2,0,1,1,0,45.9749266707215
3,3,0,0,1,1,55.48101561391421
5,2,0,1,1,0,46.161272749249626
6,2,1,1,1,0,45.93093233687221
4,2,0,1,1,1,54.12911304371448
3,2,1,1,0,0,46.53324277169694
9,2,1,0,0,0,45.58889631167543
3,3,0,1,0,1,55.62022550513809
4,1,1,1,1,0,47.5187788766679
1,3,1,0,1,1,55.4622186190942
1,3,0,1,1,1,56.025357515061565
1,3,1,1,1,1,54.28556299905445
3,2,0,0,1,0,48.6963965883438
5,2,0,0,1,1,54.98452905803153
0,3,1,0,1,1,55.80713462119376
5,3,0,1,1,0,46.40775194052871
2,3,1,0,1,1,56.7960950364505
0,2,1,0,1,1,56.34526747515329
4,3,1,1,0,0,46.3588193129532
1,2,1,0,1,1,54.19568183469667
4,2,0,1,0,1,56.69960555132865
2,4,1,1,1,1,52.12627759658264
0,3,0,1,1,1,57.08635051706832
4,3,1,0,1,1,54.45678451244118
3,2,1,1,1,1,55.40145596457302
8,2,0,0,1,0,48.746320394236406
2,2,1,1,1,1,54.820401645331785
2,3,0,0,0,1,55.2829501934683
4,2,0,1,1,0,44.952413404166165
0,2,1,1,0,1,55.91341524894344
2,3,0,1,1,1,55.64907482881323
2,2,0,0,1,1,56.05306175020078
6,2,0,0,1,0,46.99587485001594
6,2,1,1,1,0,46.4980436251385
5,3,0,0,0,0,48.39724863122915
3,2,1,0,1,0,46.99779621320615
2,2,0,1,0,0,44.7875437371093
1,3,1,1,1,1,54.652628628626175
2,2,0,0,0,1,55.61062404313346
5,3,1,1,1,0,45.45520234906287
3,3,0,0,1,1,55.94586508023241
2,3,1,1,1,1,54.06675603495864
4,3,1,0,1,1,53.46360182753174
4,2,0,1,0,0,46.41074439112487
2,3,0,0,1,1,54.1471400515888
2,3,0,1,1,1,54.32675102319657
3,3,1,1,0,0,46.08818707279747
6,3,0,0,1,0,46.61234351623855
1,3,1,1,1,1,54.961467704098105
9,3,0,0,1,0,46.77129683216559
-1,3,0,0,1,1,56.153366478474055
4,2,0,0,0,0,48.16331788716781
3,3,0,1,0,1,53.8771459554815
3,3,1,1,1,1,53.86802582225621
4,3,1,1,0,0,46.2881208567569
4,2,0,0,0,0,46.87844728502828
3,3,1,1,1,1,55.298057549846376
4,2,0,1,1,1,55.814857742052936
3,2,1,1,1,1,54.54526824989854
1,3,0,1,1,1,53.79208646356577
8,4,1,0,0,0,47.0045588083598
4,2,1,1,1,0,47.036879711354246
3,3,0,0,1,1,55.232737679030585
7,2,1,1,1,0,46.52079855987567
5,2,0,1,0,0,46.56953060131423
1,2,0,0,0,1,55.1597470687225
