age,income_level,gender,rural_residence,campaign_exposure,political_engagement,voting_turnout
43,18,1,1,1,67.72720902261757,240.93868672912305
27,14,0,0,1,44.75646510898757,176.84516501609636
37,21,1,1,1,67.00308435063403,238.45327173115024
19,17,0,0,1,41.78833455541434,166.84059171049182
22,18,1,1,1,49.09418404344032,188.2826570136883
29,17,0,0,1,49.41020658600316,192.3665978038478
29,24,0,1,1,61.755784834530125,226.321786069356
34,15,0,0,1,50.96477173921204,196.2505006811933
37,18,1,1,1,61.77302657846689,225.01794854811652
37,30,1,1,1,78.96201221063097,275.22442116591884
34,15,1,0,1,52.783682318196966,200.24807999754745
29,24,1,0,1,61.93884857417643,225.89299947670665
22,21,0,0,1,48.66816640702662,190.02963654833056
23,21,0,0,1,51.60119632341529,194.88869098204623
31,11,1,1,1,45.48550084158161,180.14077632919154
22,29,1,0,1,61.02952935121783,224.82937121139815
34,6,0,1,1,39.99804221588524,163.84241316770493
23,17,1,0,1,48.694245911118486,186.96218586674203
38,17,0,1,1,59.56382646453928,219.8865461418576
39,16,1,0,1,59.2254750365392,224.21894987674315
37,25,1,0,1,71.8286953107964,252.5130994298031
34,21,0,0,1,62.52323505325735,224.4758450061788
21,16,0,0,1,41.34896708406846,167.23089550773582
38,13,1,1,1,55.30385540281827,209.66144444737316
29,22,0,0,1,58.07826821994521,215.1439603827016
24,16,1,1,1,45.688771391672304,181.1787338978417
26,27,0,1,1,63.48713219576718,229.41747234660477
21,18,1,0,1,46.876003231726266,185.12638168685416
23,20,1,1,1,52.64945661777479,198.283854726722
31,22,0,1,1,60.91285675225118,223.04950688726643
26,16,0,1,1,48.61484829802522,185.80889253610408
38,18,0,1,1,60.42370561140714,223.9327649287939
33,14,0,1,1,50.75456126158776,195.0919700686227
22,27,1,1,1,59.37440724804357,218.35393614765007
29,15,1,1,1,52.168923253203694,194.8262155728652
25,17,1,1,1,48.41346285562675,190.6939976566794
44,23,1,1,1,74.88874962649514,262.8956490411317
32,20,0,0,1,56.75921206290754,211.0795117642152
30,19,1,0,1,57.355374999962464,208.4131517312048
32,20,1,1,1,59.14417025265144,216.91554439594097
22,-1,1,0,1,20.631763907703508,112.71348487406443
16,18,1,0,1,40.37104592739406,164.94222514116464
38,8,1,1,1,48.25201634479616,188.4601980128395
31,8,1,0,1,40.81203401851221,166.05299356573633
29,30,1,1,1,74.12208608498393,256.0061780078252
25,6,0,0,1,30.3224017468414,135.30139775173168
47,26,1,1,1,82.49477253495337,285.1905294505536
28,31,0,0,1,69.6629607746096,246.87865942057437
21,17,0,0,1,44.5366249236662,175.37571720955782
37,10,1,0,1,49.79814504305904,193.2043121117161
40,18,0,0,1,62.6957867895865,229.06606162782003
25,16,1,1,1,46.85062355349067,182.6933779028521
20,21,1,1,1,51.0039486835047,194.7984154135337
22,19,0,1,1,48.36161847876467,186.6094179814505
28,16,1,1,1,50.84089430944673,192.02254365348375
15,27,1,0,1,55.61501534852446,203.766680966143
17,20,1,0,1,45.63489492794667,178.94759998913224
31,18,1,1,1,55.244775363329325,208.27235104951927
16,13,0,0,1,33.06482514007909,143.503957849519
27,15,1,0,1,48.885892774321306,187.45851302845887
25,19,1,1,1,51.72897668921578,197.1379015259161
30,16,0,0,1,51.42252393830544,195.03127302150733
40,11,0,0,1,51.233934148845336,196.1137962815716
25,24,0,1,1,58.39833171108872,216.2733224410704
25,17,1,0,1,48.09427907220108,187.1697650330237
26,15,1,0,1,47.80899075876801,182.5526961525109
48,7,1,1,1,56.47979254236948,213.96259067084785
26,25,1,0,1,60.40962689025737,221.14911101587097
35,8,0,1,1,45.32305590212918,178.72149512691243
37,19,1,0,1,62.3731249887077,225.99092188490795
33,21,1,1,1,62.36799920163583,226.63019152244
24,14,1,1,1,44.66026603287175,176.56740951614586
20,18,1,1,1,47.3740840674067,181.7199595927126
24,14,0,1,1,44.50381276791353,172.33613101555423
37,17,1,0,1,59.25035364629421,218.30998749907403
38,17,0,1,1,58.70862063914628,218.28535198967447
24,33,1,1,1,69.45339799526832,246.2312123718359
35,15,0,1,1,55.273174308130514,209.051323241472
29,21,1,0,1,59.64369765791587,216.01844604587805
24,18,0,1,1,48.58887446265567,185.76632284415385
32,15,0,0,1,50.906935351061925,194.500178991266
35,28,0,1,1,72.10049754249843,254.01789971014983
34,12,1,0,1,46.971812610099526,186.28848680535788
34,21,0,1,1,61.778453199710825,225.424039384045
24,10,0,0,1,36.8122468933022,152.4445513147934
30,19,0,1,1,55.80970087260847,207.29952329984025
31,23,1,1,1,62.847679363503545,225.1646263953808
37,26,1,1,1,73.62189230445509,259.5863279518278
38,13,1,0,1,54.9980144296582,205.8032824940828
34,24,1,0,1,68.32404327004566,242.4045298533285
42,30,1,0,1,83.43010357495348,285.07797390512445
20,11,0,0,1,34.76871236230983,147.94757049368465
27,24,0,1,1,60.24361343104224,220.7214754087232
20,18,0,1,1,45.62163577787282,177.72008127284624
21,17,1,0,1,45.84900415730085,175.8761235156459
37,25,1,1,1,72.68480212742429,253.7455532741366
23,28,1,0,1,62.18167590588449,225.3553566255212
33,19,1,1,1,58.85749447984959,216.8462226632149
30,7,0,0,1,36.55971241211789,157.0936812084058
30,8,0,1,1,39.35794468077126,164.9086828744742
39,23,0,1,1,69.4262839087386,246.38348765667615
36,17,1,0,1,58.27047558604722,215.79133118942465
28,19,1,0,1,53.1677624026138,201.01013390051517
33,26,1,1,1,68.34290895286885,242.36538032961215
33,12,0,1,1,48.58009006387406,188.1050038765829
25,26,1,1,1,62.19329735181988,224.5263612234248
29,6,1,0,1,38.48063922086361,156.56012512774151
11,15,0,1,1,33.065782721630704,143.20958172025283
34,14,1,0,1,51.6563572234372,197.08461934190788
37,25,1,0,1,69.56138094821696,251.60051878175332
29,22,1,1,1,59.00520800961769,217.59880194188176
26,19,0,0,1,49.52785655738368,193.2105697126489
23,21,1,0,1,54.57964158636373,202.2246616685108
19,21,0,0,1,48.26121781819791,186.21300757172523
24,25,1,0,1,58.2538710189599,217.4205124268921
24,4,1,0,1,28.51583768823722,131.41606670910377
48,7,1,1,1,56.55274407918247,216.2172526946862
27,28,1,1,1,65.97004449399905,235.97322314800547
24,11,0,1,1,38.70994551425104,159.76372560238863
28,12,1,0,1,43.602879090493765,175.61980317483503
26,18,0,0,1,50.04470596435425,189.9701624633182
25,16,0,0,1,46.80542197588056,179.7067330691083
36,26,1,1,1,73.81900339359635,256.22731792179326
22,16,1,1,1,46.17711072956779,182.22750642607485
30,15,1,1,1,50.62801153491286,193.6653217373361
38,15,0,1,1,56.97563391418961,212.50189133636303
24,17,1,1,1,49.35065816157404,190.31108656383907
23,18,0,0,1,47.15334343460397,181.9578143791393
26,31,1,1,1,70.66240631448122,250.41079774682063
47,20,1,0,1,71.55176391001696,251.92139942249676
33,25,1,1,1,68.74389801565744,245.67744563734752
35,25,1,1,1,70.45102357950273,247.96066556379347
23,18,0,1,1,48.525407110916696,188.8530995824988
31,27,0,1,1,68.52978758466783,243.72942286337675
39,20,0,1,1,65.05749414319124,232.37031291492912
30,24,1,1,1,62.70252509386332,228.6361320407466
30,14,1,0,1,48.59048631864365,188.66563144283495
36,7,0,0,1,42.95223179760141,170.33819821065353
32,20,0,0,1,56.05011007961544,209.7634656977417
34,17,1,0,1,56.39953469570008,208.96568163132704
30,31,0,1,1,71.63096662446381,253.2723113277653
33,8,0,1,1,44.07259115534762,175.38266772249028
30,23,0,1,1,61.163535465788165,222.23753219775745
18,19,0,1,1,43.4296968881056,170.34907556767476
17,18,1,0,1,43.55994324806378,172.3652755735316
18,11,0,1,1,33.044014512462475,144.6332445160924
19,22,0,0,1,49.14181063052438,189.18541674680895
30,24,1,1,1,63.85028402793436,229.77318946017616
23,24,1,1,1,56.57042206849962,209.5052121688752
22,25,0,0,1,56.06211386699601,209.39333326381308
37,24,1,0,1,71.58252503947816,251.58832941856124
33,24,1,0,1,65.34415230331071,237.15376328750173
27,19,0,0,1,51.9419054585416,197.9462763332212
22,14,0,1,1,41.51699334568698,167.31676421288944
31,29,0,1,1,70.96393648145747,253.85882687968143
38,22,0,1,1,67.94477446455913,241.24898532115864
25,20,0,0,1,50.86802720026929,195.64065352799972
36,22,0,0,1,63.58234844622031,228.4805530503303
24,18,1,1,1,50.46790582273739,194.22213027448848
35,18,1,0,1,59.389254742586125,217.99014343475287
26,11,1,1,1,42.59974442361949,171.02347148587785
26,29,1,0,1,66.77879805986245,238.9305632436288
25,9,1,0,1,35.73440224986634,151.76037256054553
20,29,0,0,1,59.89560167369889,217.5628411836353
40,26,0,1,1,72.9035207780067,258.1910450147994
43,22,1,0,1,71.4150000135104,253.08030591880183
28,29,1,0,1,69.4440935146115,245.5070750704303
33,15,0,1,1,53.78285807925157,200.2735201070522
48,31,0,1,1,89.46980862775334,303.72779738819924
26,24,1,1,1,59.62197081092148,220.03572221402445
34,17,0,1,1,56.159102856848726,209.24800316382425
32,17,1,0,1,54.97579439680342,204.4142342509134
37,18,1,1,1,62.42862500906337,227.6483746388888
23,17,0,0,1,46.114031446861006,179.74058387586192
17,21,0,1,1,46.44468200684236,179.79965531868552
40,19,1,1,1,65.12501971878038,236.9324926534239
25,21,1,1,1,54.644809890580575,206.0561631783744
18,24,0,1,1,51.76283538048815,195.33351206242588
28,9,1,0,1,38.37549068815233,161.77081402471617
40,28,1,0,1,77.4157297723559,269.80698456535333
23,24,0,0,1,54.25648727499433,205.23322284377736
32,20,1,1,1,59.81317042652445,218.16107569679696
25,21,1,0,1,53.32153356828436,201.6942437922041
21,18,1,1,1,47.179065075030095,182.90376075883515
26,28,0,0,1,64.44090684239893,230.5003835877888
24,23,0,1,1,56.598093209625965,206.802831275891
28,23,1,1,1,59.81519667508524,222.486419473006
29,26,0,0,1,64.23233558541207,230.9060067932787
26,20,0,0,1,52.64026541940203,198.58934273084083
40,8,1,1,1,51.16725393757879,194.71295072886195
22,18,1,1,1,48.91063183122963,185.5193053046777
43,19,1,1,1,69.2235506657435,249.99390605242397
31,21,1,1,1,59.25019930586366,218.09410470484764
26,12,0,1,1,40.83698987135779,167.36816262763017
25,13,1,1,1,43.224224880470416,172.04966185377572
28,25,0,0,1,62.217949543252935,224.29698700402764
15,22,0,1,1,47.059539413808565,180.5317687517988
26,25,1,0,1,60.46122187406892,221.7888861633701
21,27,1,0,1,58.200718166172734,212.21362993987248
28,19,0,1,1,55.60330103658908,204.08553284452992
33,15,1,1,1,52.54560476681133,200.9048888519432
41,20,1,0,1,67.58647746339278,243.60681492253835
30,32,0,1,1,73.54212664559998,257.7872425895304
32,30,0,0,1,72.06616014287523,252.99177033021863
27,31,0,0,1,68.65953207153728,241.9478733541909
27,32,0,1,1,71.38929464524408,249.0183644355172
27,12,1,0,1,44.74451441722256,179.86577260074688
36,26,1,0,1,68.75221262348832,248.08163576484176
33,21,0,1,1,60.20648175006419,222.92259318595416
41,26,1,1,1,78.0790805463732,271.546373414244
35,18,1,1,1,60.50106400729111,220.76793076475116
25,20,1,1,1,53.52304923200676,201.7036293258263
23,12,1,1,1,41.02755340254225,167.52269759429407
20,18,0,0,1,44.40873488080677,175.64003298758848
18,16,1,1,1,42.62621592746811,169.34887286538748
32,21,0,1,1,60.62696080940992,219.14130389737284
28,21,0,0,1,54.03247806689291,204.2029887469824
29,19,1,1,1,55.80440033591827,208.0447218182292
32,21,1,0,1,59.57464424271577,220.21622592531455
22,20,1,1,1,50.51020552160225,193.74695647027968
46,20,0,1,1,71.7492848670865,253.86632922225368
18,23,0,1,1,50.38011127054751,192.3271886279664
33,20,1,0,1,59.99439406885271,220.905045671261
33,26,0,1,1,67.22797830921823,239.4242461029976
19,20,1,0,1,47.29505925834197,181.90741149306535
44,20,0,0,1,67.34563155340413,243.218912436432
36,36,1,0,1,84.60853243939185,289.8457060121296
38,17,0,0,1,58.39172015186599,216.83521290619584
19,22,1,0,1,51.48681903100875,194.89396930392883
12,11,0,1,1,27.107390547212272,125.3379819341716
24,17,1,0,1,47.76511801771011,183.73618906536836
15,17,0,0,1,37.77287129221062,159.9884939362082
21,8,0,0,1,33.19275394413872,142.48994953250312
39,16,0,1,1,60.64844545707599,221.2836491694569
32,22,1,0,1,62.40527682663635,227.0101632710836
44,21,0,0,1,71.54628513655662,253.5795827346112
16,19,0,1,1,43.07281875830812,168.66869729822756
23,28,0,0,1,61.94368724278875,222.0652433991646
28,11,0,0,1,41.40857966478016,168.54473560477842
25,12,1,0,1,40.87781832217875,165.3997106383954
30,15,0,1,1,48.93229919688732,189.9424951424413
30,23,1,0,1,62.86533210001528,227.33142827974868
21,20,1,0,1,49.46153349470375,189.6409658420129
43,12,1,0,1,56.34519118020448,213.8688911183091
21,14,0,1,1,40.47426753200117,166.59476089239274
25,23,1,1,1,58.65991425079427,217.1662607067714
19,20,1,0,1,48.18021027574383,185.00957932188444
37,9,0,1,1,48.195386809610255,188.9008253091689
28,25,1,0,1,62.78947037818124,227.23203720124465
19,17,0,1,1,43.04143726382663,171.05344197676766
23,22,0,1,1,53.6196229346786,198.7108643094342
47,24,0,0,1,77.45988212641485,268.7936780443145
20,24,0,0,1,51.46436807818338,196.74233280906336
34,24,0,0,1,65.47846918350122,237.08129160612964
32,17,1,0,1,54.50825033950481,204.1237219033885
28,18,1,1,1,53.36770582358053,201.93930335918049
23,14,0,0,1,41.48542453166874,168.26574311355435
34,21,1,1,1,62.30290347815648,229.6754288194444
30,18,0,0,1,53.2403928585974,202.11781272917156
31,9,1,1,1,42.65117257725431,171.5934427591718
17,19,0,0,1,42.60409509122934,169.992626786819
38,20,0,1,1,65.0759757985046,237.9890664103447
31,21,1,1,1,61.04215581514266,221.8993901138404
16,20,1,1,1,44.825536309720455,175.44646653525183
34,14,1,1,1,54.89966736409869,206.475209757446
45,27,0,0,1,77.16048968808714,270.43932728683376
30,28,1,1,1,67.91631117606237,243.682565345524
27,23,1,1,1,59.39099488118007,219.22114639281415
31,12,1,1,1,48.41610891790378,190.82793522302535
32,24,1,0,1,64.76904890945374,234.0622953422873
29,8,1,1,1,39.420151332492026,165.29320886441846
23,20,1,1,1,52.56801564716973,199.93776228133837
23,23,1,1,1,55.72706381413023,208.2741152653986
35,24,1,1,1,67.91846305566054,241.0470670496312
40,28,0,1,1,76.25380925857402,268.11476437198456
29,15,1,1,1,50.597544481685226,194.48670675842288
29,17,1,0,1,51.58741656739032,197.3685175552669
41,16,0,0,1,59.08513927025618,219.7100424278122
