income,age,gender,region,earning_threshold,policy_participation,employment_rate
9,6,1,0,2.2782057984958746,0,9.07382098022217
7,5,1,1,3.8565615412352265,0,10.546028797931664
3,6,0,0,3.038596290099892,0,10.501198380246812
10,5,1,1,3.920312939830748,0,11.809079624713592
11,3,0,1,7.722459245631509,1,16.1332104113115
0,7,0,1,3.033307645931159,0,9.45814068549595
8,6,1,1,1.2738613681034223,0,7.8089891082784
7,5,1,1,4.118040705919406,1,14.792433099534437
3,5,1,0,5.962841192469272,1,14.750687360169929
6,8,1,1,3.3755743209634765,0,11.58856430213598
12,4,1,0,4.006556198150487,1,13.246541174395078
7,7,1,1,3.4366985800390686,0,11.579488526271868
3,7,0,1,4.253142509762608,1,14.69503485233528
12,7,0,0,4.226083576751647,1,14.871365191670431
8,4,1,0,5.745249385988466,1,14.406731624144294
5,5,1,0,2.783880272958928,0,10.283989985130209
7,7,0,0,3.868126496416325,0,12.239924095206367
11,5,0,0,4.422046983233547,1,14.287649729525024
3,7,1,0,1.5617427552008318,0,8.614282983398331
9,4,1,0,5.060928166311224,1,14.690730122288494
6,6,1,0,4.243852981481617,1,13.601419067391287
7,6,0,0,7.146544354751204,1,17.066364030840887
9,5,1,1,3.773452133739674,0,11.646680414772533
-1,6,1,1,2.2499271108540477,0,8.25839851196892
7,4,0,1,6.0592566373673336,1,14.667920239263816
5,8,1,0,3.260965269361035,0,10.116681544843772
2,11,1,1,5.39659734941384,1,16.19092731409281
7,4,1,0,5.180290972958086,1,14.851634803729636
10,6,0,1,3.370210756578438,0,11.31115277763979
11,6,0,1,3.2759844751451874,0,10.66735801601172
5,4,0,1,2.423862839687959,0,8.826807379640114
11,6,0,0,1.8519222605095609,0,8.698380954094196
9,6,1,1,5.2516217811857135,1,15.605380008116231
10,5,0,0,-0.177418914621807,0,5.761849152891839
11,7,0,1,4.801427959577321,1,14.772701353506797
8,6,0,1,4.203762611376742,1,14.79000940349588
12,8,1,1,4.950352385942349,1,15.475138159352124
9,7,0,0,0.7176826412584054,0,6.623607530522079
11,6,1,1,4.800187023766799,1,14.54724775432809
7,5,1,1,0.5267217446791266,0,6.172589304073503
0,5,0,1,3.510486078451031,0,10.141282902396226
7,4,0,1,4.48184439469708,1,13.409797410961144
8,7,1,0,6.833336703249715,1,17.369518438654325
4,7,1,0,6.552721198832356,1,16.002908325364917
8,4,1,1,6.255974534753334,1,14.296300622312748
9,5,0,0,2.8888198338819606,0,10.42121972696182
9,7,1,1,4.624829518281809,1,14.593554181178334
6,7,0,0,5.841413015425052,1,15.58938678794593
7,4,1,1,4.867067400337913,1,12.96215194117177
7,5,1,1,5.5573467851166,1,14.682255730748835
0,7,1,0,5.874197517030866,1,15.204800217965447
6,4,0,0,5.606210513595747,1,15.119165289673994
9,6,0,1,4.958722598456692,1,15.578423138786029
7,4,0,0,2.956286182368114,0,9.611176516889309
10,6,1,1,4.474820554992149,1,14.367624906085014
3,7,1,0,4.323317502163122,1,13.95464557957114
0,8,0,1,1.368020409589357,0,7.724255713927609
8,5,1,1,-0.056507218040176,0,5.038286429204003
13,2,1,1,5.90939344973429,1,14.615867791187473
8,6,1,0,6.713452503219927,1,16.66036565785033
12,6,1,1,3.9963010697941215,0,11.488729181242048
6,5,1,1,5.534826845147752,1,14.989077799762835
2,2,0,1,5.859801360737269,1,13.16907551918003
13,5,0,1,5.390044677065436,1,16.520885781319766
2,7,1,0,5.3448390800589465,1,15.129854954495205
3,6,0,0,4.952725399696668,1,15.88282553497654
7,6,0,0,5.167219991244436,1,15.118543044758054
7,5,1,1,5.536353815035294,1,14.219700336985644
11,4,1,0,3.839990401867498,0,12.596755548554066
7,4,1,1,2.3638423732547,0,8.876745699160798
8,6,0,1,2.9089441052124165,0,10.372229585720657
9,6,0,1,3.4261494509375385,0,11.832189339398404
9,4,0,1,4.373642459254492,1,14.221453014503174
10,10,1,0,2.552125094476999,0,10.572026551798793
6,7,1,0,3.915392499706167,0,12.540656177249716
9,7,0,1,6.702887575028633,1,16.33838557130573
3,6,1,1,6.240056087963545,1,15.045539783368984
10,5,0,1,0.3898643046359087,0,6.10871869167491
4,5,1,1,6.075261420589829,1,14.924248343535798
4,3,0,1,1.9090873417350207,0,7.815847596060591
4,7,1,0,4.987821899656652,1,14.60409805978317
7,6,0,0,4.683407652064734,1,15.418252750721864
0,5,1,1,2.334275701092087,0,7.775167178853622
7,7,1,1,8.671542875827605,1,17.330335992823215
4,5,1,1,7.0449398766648095,1,16.276887793068386
3,9,1,1,4.471261273603831,1,14.76121423457594
13,5,0,1,2.9424022286497173,0,10.27077868313668
6,6,0,1,1.4909377304300189,0,7.108786122646944
12,4,1,0,3.3472477527437365,0,10.627269850286138
9,6,1,1,3.1180555972258666,0,10.23829145123853
6,6,0,1,5.671594921038663,1,15.284059870373946
0,6,1,0,3.354882143641106,0,9.386052547048523
9,5,0,1,7.999102061330189,1,17.146338105286006
4,5,0,0,7.0728575042226085,1,16.779879500940087
10,7,0,1,5.866604567329688,1,16.438864464487782
12,3,1,0,6.283788885266252,1,14.902789155337416
13,4,0,1,3.3764868414565257,0,11.023049016452276
11,4,1,0,3.165623766520251,0,10.520254067271122
7,7,1,1,2.6417552508519377,0,10.756016424413728
7,6,0,0,2.755711735662648,0,10.416507354360997
11,6,1,0,2.199352444798933,0,9.884730979277425
9,6,1,1,4.56378945171419,1,13.995485296486727
12,3,1,0,6.748134722737027,1,15.222216337297915
11,4,1,1,3.852699302726216,0,10.784707702306298
7,5,0,0,3.537377071384935,0,10.958265734959562
9,6,0,1,2.004794009493572,0,8.717240506717872
8,7,1,1,7.040135438416106,1,16.478314387105936
9,7,1,0,4.245294918562558,1,14.424163557213134
10,9,1,1,3.601504840990427,0,12.460253322569214
7,7,1,1,3.301049537393106,0,10.834135343611138
10,4,0,1,3.098817406364518,0,9.970589925362509
7,6,1,1,0.2088193249817607,0,6.34570705297321
15,3,0,1,6.32465935405097,1,15.42982987539019
7,6,1,1,4.058409607960563,1,13.968277395443309
9,4,0,1,5.69380678870715,1,15.260485156839971
8,3,0,1,3.795556386792158,0,10.969827684379238
6,5,1,1,1.2867686990038218,0,8.20977106625342
9,6,1,0,0.0677391130128968,0,5.959737352400072
10,3,0,1,2.726338845218664,0,9.405565500796207
11,5,0,1,0.1385848090454398,0,6.020141076039602
11,4,0,0,2.002788258885923,0,9.106972606099609
6,6,1,1,4.436694669177099,1,14.458440102125753
6,5,0,0,3.004478682055662,0,10.382393714539733
7,5,0,0,3.661433707781788,0,10.951271539454313
17,6,1,1,3.805917977730917,0,12.055413740915386
2,7,1,0,2.38672586337293,0,9.486655515787628
-1,4,1,0,1.9664328878301287,0,7.764040283482161
6,4,0,0,2.229972599252722,0,9.296797126877046
11,4,0,1,2.723026675806296,0,9.216306189232562
6,4,1,1,6.228839430615656,1,15.579856428833942
11,7,1,0,3.758376233126223,0,11.910543636758556
12,3,0,1,2.428338531434128,0,9.807753930387616
6,6,0,0,5.629574702514013,1,16.458495356150628
4,6,0,0,2.776458533489831,0,10.541371994933398
11,7,1,0,3.056366304810722,0,10.69730566636245
10,4,1,1,1.1497085653318182,0,7.482215039673672
17,6,1,1,8.940549939051067,1,18.251650235740374
15,6,0,0,4.076550171424836,1,14.477862935700523
14,4,1,1,4.140234653716736,1,14.37109378177478
9,5,1,1,2.9719530353614685,0,10.467982321132794
7,7,0,1,7.864426086986415,1,17.58099258153597
6,4,1,1,2.3955263937594107,0,8.398469267670226
9,8,1,1,7.776934333492535,1,17.836312737286526
11,2,1,0,3.627658797336649,0,10.507180315476804
4,7,1,1,2.8627294875315443,0,10.2872479530684
7,5,1,1,3.067454176498616,0,8.888225406880158
4,3,0,0,2.784707592574374,0,8.106661714250375
2,5,1,0,3.879508876802255,0,11.123745410561307
6,7,1,0,2.7294647605725006,0,10.486540713780348
8,3,0,1,4.605773913727467,1,13.884017897992578
4,5,0,0,2.0760002153041537,0,8.644253008680693
3,8,0,1,5.313428999208384,1,15.606375629938915
14,5,0,1,7.387487772259409,1,15.936723186945033
7,5,1,1,1.3700424220065042,0,6.890026435846325
11,4,1,0,1.8432967449323925,0,9.39167479110212
10,6,0,1,5.799166536497266,1,15.265317407960172
4,4,0,0,3.227650775808018,0,10.160387593029997
3,3,1,1,6.370675863254408,1,13.90544221303317
7,6,1,1,5.8260963263833965,1,15.500804334324595
0,8,1,1,4.037097931051569,1,14.245921659807616
6,3,1,0,4.284739203097356,1,12.699162919840829
1,7,0,1,2.397998881778395,0,9.026363649016847
10,6,0,1,3.322455555344668,0,11.685722028668224
9,5,1,1,3.148568226884724,0,10.273466353532635
10,5,1,1,3.628138411899215,0,10.24422105153674
6,4,1,1,2.694419612776646,0,9.644849717719676
1,4,1,1,3.06075925780143,0,9.694901791912816
7,7,0,0,5.021808214351362,1,15.39829944513815
11,7,1,0,3.196676277256275,0,10.338505141379413
11,5,1,1,4.810700062896604,1,15.475550471342396
6,5,1,0,2.1001964727479967,0,8.549782197681024
7,4,0,0,3.3336972676480827,0,11.039069681724522
8,4,1,1,6.93871690437539,1,14.81705585762359
9,7,1,0,4.144501251719186,1,14.306835259793123
6,6,1,1,5.246075651914172,1,14.359135356109675
0,7,0,0,4.317051829375244,1,14.95592938877426
13,4,0,0,2.734595281004673,0,10.12695120449877
3,6,0,0,6.182035610373589,1,16.394299780783527
4,5,1,0,4.873932568455015,1,14.5245369806938
10,5,0,0,4.418715866772654,1,14.118547811828188
4,4,1,0,6.331303152848468,1,14.647622287747655
8,3,1,0,3.848207846482268,0,10.528059668666348
12,6,0,1,4.334122721807835,1,14.895811504314045
8,6,0,1,3.376122461208583,0,11.44802298686002
7,6,0,1,3.1322834328579487,0,11.06321242790658
6,7,1,1,1.9448812889699405,0,8.445355827388747
5,8,1,0,4.161805788573949,1,14.649643959215956
6,4,1,0,1.954858859431344,0,8.003222328100382
7,5,0,0,-1.1760783863941882,0,3.547247188816222
7,6,1,1,4.630886688286044,1,14.476129379956582
9,7,0,1,5.906343958956139,1,15.799669738182953
10,5,1,0,7.571112761465342,1,16.200594842998008
7,5,1,1,1.0623477648362942,0,6.511906206848022
7,8,0,0,0.5634672594083572,0,7.1433734631749255
5,5,1,0,5.432221669092019,1,15.526393130700455
6,4,0,0,7.284227072240462,1,16.963375235766165
13,5,0,1,2.505729886293244,0,10.441090459343286
9,4,1,1,2.850260566558851,0,10.628249133612933
7,6,0,1,7.125098279073328,1,16.729795095586674
12,7,1,1,3.749665431098317,0,11.239812045807309
12,5,0,0,1.2450533392325798,0,8.574601857096273
5,6,1,1,3.3160134418586056,0,10.373284305393035
12,4,0,1,5.803525564442478,1,15.39557143220726
3,7,1,1,3.4238607467459587,0,11.290349676547654
12,6,0,0,-2.473371005803605,0,3.0026576686000337
3,7,1,0,0.1376454412382055,0,5.718890562275876
6,5,0,1,6.661684009559504,1,15.900741655336065
7,5,1,0,4.671013703393678,1,14.262889586617652
2,6,1,0,5.275505837105063,1,13.974446710239606
6,6,1,0,7.182400863363554,1,16.541914008919445
7,7,1,0,4.72184999224985,1,14.263870481608052
2,6,1,1,6.415547021845887,1,16.225640100092022
3,6,0,1,5.443817686793255,1,14.724191866789
8,6,1,1,8.184889042966521,1,16.468958585556745
11,7,0,0,4.544647084567796,1,15.696813602146356
3,5,0,1,7.907689926215305,1,15.974511714223665
9,5,0,1,2.915339482345084,0,10.696990107186148
14,8,0,1,5.248346408151824,1,15.757035797903786
9,4,0,1,3.1242077966753805,0,10.546474154997885
6,6,1,0,-0.0533896579198014,0,5.694017947154216
4,8,1,1,4.913310620541583,1,14.394112288598985
11,5,1,0,1.543499809287948,0,8.820767198347786
9,4,1,1,4.934382007053804,1,14.271104624321346
5,4,1,1,2.616968654724329,0,8.833699254830291
6,3,1,1,8.6885365280479,1,16.694257060739304
14,8,0,0,3.0460019858669267,0,11.667069751920668
8,5,1,1,2.827503288903862,0,9.319810301016622
8,4,1,0,2.084439942006845,0,8.45752182613449
9,5,0,1,6.934699834444535,1,16.535365585953446
8,6,0,0,-1.843223657971517,0,3.059277527596538
5,4,0,1,4.76195869686059,1,13.154430815746798
7,7,1,1,6.102261059541726,1,15.414669723773509
8,9,1,0,5.174419505430735,1,15.502328444846786
7,4,0,1,4.573876670055601,1,13.391077813445348
9,5,0,1,6.490033422718812,1,15.771048355928498
7,8,0,0,5.413856986726223,1,15.732574750092494
5,5,0,0,4.625125143644774,1,14.90761257368877
6,6,1,1,0.5354404173155274,0,6.973782048006307
10,5,1,1,8.499188036124897,1,16.587705199174607
6,6,1,0,1.0902927388556964,0,6.461042857265435
6,5,0,0,2.220842267483267,0,8.755735025101137
8,7,0,1,5.855346184554779,1,15.306067490490356
10,5,1,0,1.3471159857264032,0,8.236268208510019
7,7,1,1,3.354813215889018,0,12.065380649968168
8,4,0,1,7.52286596995296,1,16.5803908629847
6,6,0,1,3.557929294638721,0,10.80910676873034
12,9,0,1,2.5301284688858034,0,10.84926396489016
4,5,0,0,5.380955760162569,1,14.872548076054317
11,5,1,0,7.002357310607291,1,17.259292483619742
3,4,1,0,4.44488502078112,1,13.441802468119592
11,5,1,0,7.906040175174636,1,18.289758744845507
15,6,0,1,3.748323278704009,0,11.868390930916034
6,4,0,1,6.830736847483163,1,15.830413382384824
3,3,1,1,7.6498354512801905,1,15.482243215448351
12,7,0,0,0.9665656972373844,0,9.02379348923945
13,6,0,1,4.579062043387154,1,14.46702313751482
12,4,1,1,3.211080104932031,0,10.203433726752014
11,2,1,0,4.1771206752257575,1,12.635821405496008
4,6,1,0,4.698739392546692,1,14.545027150334448
2,5,0,1,5.19590297593951,1,14.4937911462188
7,5,1,0,4.972680917170847,1,14.809830559859346
3,7,0,1,1.3385785217701756,0,6.850589705467035
6,7,1,1,5.25007509295473,1,15.003706418455428
10,7,0,1,3.222841556665419,0,11.308123998410297
5,8,1,1,3.268953754682811,0,10.555902436350808
4,3,0,1,3.629947069584925,0,10.602344320789197
0,7,0,1,4.936779433634387,1,14.478705724475493
11,5,0,1,4.9543951125119445,1,14.110706030143524
8,5,0,1,3.805265541410024,0,10.321817318963344
8,6,0,0,4.585945969562095,1,14.707293386257264
6,7,1,0,3.5024282438426075,0,12.461845058803128
12,8,1,1,6.560918218369652,1,16.920803576182568
7,4,1,0,3.39992731357892,0,10.617417059990236
17,4,1,1,1.1635433898519612,0,8.554730548858176
7,5,1,0,4.523684921151379,1,14.639424757421844
10,6,1,1,8.047167835696827,1,17.390932624309254
8,7,1,1,4.744800307967057,1,14.585566827365849
10,8,1,1,2.25425880888136,0,10.435377013929864
7,7,0,1,6.9046507742623575,1,16.62085586645697
4,4,1,0,8.801512818193064,1,17.86466780949382
7,4,1,0,6.449059816045349,1,15.223286139940932
5,7,1,0,1.0614469605649055,0,7.658280354949783
11,7,0,1,3.007881205404169,0,10.160560199319692
0,7,1,1,7.37792157872018,1,15.667661581590265
4,3,1,1,5.64117082392262,1,14.2344306298731
7,6,1,0,6.914857381383792,1,16.712661836538516
13,5,1,0,2.5976828302684067,0,9.320069842725854
11,3,1,1,4.049915833924764,1,13.442811172898711
9,4,1,0,4.429636731860117,1,13.467322511486616
0,3,1,1,3.4746764918456154,0,9.708308419269407
6,6,0,0,4.13820831071299,1,14.395492450444303
8,6,0,1,4.145349052411108,1,14.550436298291862
11,7,0,0,4.70107917516827,1,15.418402846553525
2,5,0,1,3.962281192514646,0,10.304453992050451
12,8,1,1,1.3182412903188734,0,7.695875175820797
7,6,1,0,6.531969795182807,1,15.39977176501174
14,5,0,0,4.378796987789206,1,14.660341664095336
0,6,1,1,2.858283984707506,0,9.399865779581091
6,6,1,1,5.223729953386304,1,14.870629688100982
6,5,1,1,1.6800253822684588,0,7.973693641323827
7,8,0,1,5.284908261974199,1,15.854940262848384
7,8,0,0,3.8062387443069454,0,12.803687824721765
14,6,1,1,4.05032878736969,1,14.3589598695134
12,6,0,1,3.5394510429037904,0,10.85658577539527
3,4,1,0,5.818385188170488,1,14.71507367733055
10,8,1,1,3.213316037686865,0,11.033490188106398
11,7,1,1,3.3000503750428605,0,11.314338172321058
9,7,0,1,8.030032400155129,1,18.1132628352322
7,7,0,1,-2.143881138773139,0,2.09639110539234
5,5,1,0,3.591932806647508,0,10.522524498354615
5,6,0,0,6.817142983659329,1,15.310947985818716
12,6,1,0,2.2294985756553345,0,10.098676971159998
2,7,0,0,6.463222105585748,1,15.57398170834046
6,7,0,1,3.1363202343426506,0,10.784633596689934
9,4,1,0,4.004108524471488,1,13.672470411578225
7,6,0,0,3.142377048401463,0,10.969986973103929
9,5,0,1,4.209185932081694,1,13.866474805172976
7,6,1,1,7.615829432541086,1,17.082085790944063
6,3,1,1,4.4677649617841695,1,13.068742042964752
4,4,1,1,4.410721218852361,1,13.456739158662216
10,4,0,0,3.553069797874028,0,10.830040957006045
8,4,1,1,4.4614168544752575,1,13.575874159216006
8,4,0,1,7.396798780847103,1,16.6994935565661
8,8,1,0,4.072369221907636,1,13.92436165504963
7,8,0,0,0.2642350499567065,0,6.864326604830112
9,4,0,1,2.9842518714087163,0,10.01145539293216
6,5,1,1,2.552275172179718,0,8.992605322504561
10,6,1,1,1.6406569323781994,0,8.766426556303127
6,6,1,1,2.915393520173459,0,10.726967585856462
8,4,1,1,3.300682179333293,0,9.85053945993706
3,7,0,0,3.6427045031047633,0,11.263449557466988
7,6,0,0,3.325154170356261,0,10.778117509264398
3,6,1,1,3.700121389612881,0,10.790722198138033
4,5,1,1,4.400210846596845,1,13.736772887279464
6,6,1,1,5.64733184403081,1,14.603665723463196
5,5,1,0,5.0022336267199705,1,14.180666601793645
9,4,1,0,7.275672446173621,1,17.069551307472373
13,4,1,1,3.627085116889559,0,10.919283887447408
14,8,0,1,1.968193376547743,0,9.445370473116434
12,4,0,1,2.845013978121852,0,10.03541162200828
10,7,1,1,4.187441845515387,1,14.92168686713156
15,7,1,1,4.686311390907418,1,14.694171226932886
14,8,0,0,6.152286852759074,1,16.700582264007014
7,6,0,1,5.072327662287684,1,14.88023311765986
9,7,1,1,10.114772641479773,1,19.46720263306425
7,7,0,1,3.9110184093160303,0,12.58277803441242
13,5,0,0,1.5640593967041123,0,8.30838495017653
10,6,0,1,2.792267916560349,0,9.944826957539448
8,5,1,1,3.65459629536156,0,11.309548577858168
9,5,1,0,4.812826914112026,1,14.428246545268
8,6,1,1,6.80624424026268,1,16.246472939234156
12,10,0,1,1.7153774528975614,0,9.871117764962571
9,3,0,1,6.51903206657901,1,15.361268141259506
3,10,1,0,0.2994562554777298,0,6.831408724168511
5,2,0,1,4.286247817251556,1,13.40626120828226
5,7,0,1,6.604878818908052,1,16.655175190392963
5,7,1,0,4.330912762557884,1,14.242057956624802
9,4,1,1,6.409264840929616,1,15.757940606113578
0,4,1,1,5.394296801299165,1,14.311505482079928
8,7,1,0,5.180411273294158,1,15.6347700165822
5,4,0,1,4.137559612733656,1,13.656513910581891
5,6,1,1,4.291700299816282,1,13.83297118508329
11,5,0,1,5.22678993898278,1,15.400551846567993
2,5,0,1,3.57947745170684,0,10.323447906681224
7,9,1,1,0.5818246379530176,0,7.841572988693596
5,7,1,1,3.5206159841745657,0,11.036076414249376
6,5,1,0,5.148334069263491,1,14.147625161132693
7,6,1,0,4.061339423943476,1,15.45065717094366
7,5,1,1,2.8290904460490376,0,9.92836905960947
5,1,0,1,3.656736859868469,0,9.91749972360858
7,3,0,0,0.8659868666603594,0,6.546753021319749
12,3,1,1,4.043679884731447,1,13.715555954792272
6,4,1,1,-3.3363275693005088,0,-0.1395785822779009
11,3,1,1,2.5710366814560146,0,9.195687382497669
2,3,1,0,4.283249368364009,1,13.464578806814924
6,8,0,0,8.941026645967433,1,18.888681117799027
8,5,0,0,-0.4064623194243921,0,4.343758109135013
5,5,1,1,6.838748492050906,1,15.292944155009698
10,6,0,1,4.355193208031981,1,15.040078580115187
2,7,0,1,1.1063245398155943,0,7.089372225509482
5,9,1,0,3.359897902446452,0,11.077891933312298
6,7,0,0,4.751657130890371,1,14.24139750535578
11,6,1,0,-2.082866839143703,0,2.6321276670565874
8,6,0,0,4.736964508858818,1,15.30140823088936
6,5,1,1,6.8437260223824286,1,15.399315165714686
9,7,1,1,7.284630852058369,1,15.994905598344031
3,8,0,1,2.111871474200159,0,9.197845000240608
8,4,0,0,3.1080098448949203,0,10.76321583020384
6,4,0,0,7.795538907898559,1,17.17241488072714
10,6,0,1,5.967636853518973,1,15.836123144431683
2,6,0,1,2.135946754722439,0,8.968185152390577
9,6,0,0,5.401004175535888,1,15.715111713146976
5,8,0,1,6.286778911615391,1,16.692087225215626
6,5,1,1,5.262125592719527,1,14.370628612682047
4,5,0,1,1.3603918647886064,0,7.967448386588175
11,7,1,0,-0.3484672644269446,0,6.179611316280646
4,4,0,0,6.265316950285621,1,15.242987843578955
8,2,0,1,4.193303701746412,1,12.387699685975956
7,6,0,0,1.199254482766698,0,8.156544593009254
6,6,0,1,2.4100696505564416,0,9.387017443112889
11,3,0,1,3.219644081544604,0,10.104622031455712
4,5,1,0,6.760013816708689,1,15.238090818835348
0,4,1,0,2.342022878310944,0,8.760485463986468
9,5,1,0,6.141451205717224,1,15.637967163064284
10,5,1,1,4.311343677079302,1,14.30668581128842
5,3,1,1,0.4521391919806721,0,4.834136060648759
9,3,1,0,5.100590015123624,1,15.060137447538368
11,6,1,1,4.258507023868626,1,15.001194459339237
6,9,1,1,3.873343555506668,0,10.99379563993659
10,6,1,0,5.637122415356052,1,15.119972532198684
9,6,1,0,5.729470031762264,1,15.517771456828951
4,7,1,1,6.2616841342702925,1,14.970478327489133
7,4,1,0,2.1899448279521785,0,8.502358680858379
10,5,0,0,5.586082165983547,1,14.971158195380095
8,5,0,1,3.4866271322246543,0,11.360563636668564
8,5,0,0,2.7875344641079347,0,10.14924268577467
6,3,0,1,2.3505312797414244,0,8.702074653919043
5,7,1,0,4.448622293153076,1,14.522764917568235
6,3,1,0,6.825200743252164,1,15.91978762045907
9,6,1,1,7.584082231836835,1,16.91408968325663
10,6,1,0,4.092332684387416,1,14.562591361284287
8,7,1,0,4.307130637157622,1,15.44011262497677
9,3,1,0,4.533146455034975,1,13.8957272940898
9,6,0,0,7.199051582856333,1,17.186973149366136
10,6,0,0,3.367935292108112,0,11.099642688292926
1,6,1,0,8.058199515804624,1,17.342165860739414
7,2,1,0,3.86970586377395,0,10.949322680562522
8,8,1,1,1.8466307204647392,0,8.270532796258566
9,3,1,1,3.12115887076201,0,9.995380701020553
5,5,0,1,4.242663873581707,1,14.410860135788088
2,6,1,0,4.103029786456858,1,14.464729185835276
9,6,1,1,5.237587923615575,1,14.241119173363773
9,5,1,1,0.3155066866615632,0,5.750931241585628
10,6,1,1,5.530362660174744,1,14.188520028153368
11,7,1,1,2.020422019790775,0,9.201086390916876
7,8,0,0,4.688474019718461,1,14.865963625341964
7,5,1,1,6.52647818989387,1,15.649305148646729
