worker_age,education_years,previous_income,working_hours,union_membership,job_security,job_training,minimum_wage_increase,job_satisfaction
35,35,5,21,1,1,1,1,94.46688745042104
9,20,4,18,0,1,0,1,79.96359519957383
23,17,7,13,0,0,1,1,75.87374111764868
42,24,3,19,0,1,1,0,80.15979926352136
17,26,9,13,0,1,0,1,84.18718484471827
22,24,6,19,1,1,1,0,83.94610521407458
28,32,4,13,1,1,0,1,85.68314701894155
32,19,0,17,1,1,0,1,76.72122357674498
14,24,7,19,1,1,1,1,87.80474125072622
29,26,7,10,0,0,1,1,80.39313749246183
34,21,3,18,1,0,1,1,81.02942058484
15,16,8,18,0,1,1,0,77.47707295100683
23,17,5,19,1,0,1,1,81.47577916803886
13,23,3,19,0,0,0,0,76.48865245287047
25,26,10,14,0,1,1,0,82.08086496054143
1,21,3,15,0,1,1,0,73.46698656250554
27,27,5,19,0,0,0,0,81.4746162217477
7,25,7,20,0,0,1,1,89.37158077110499
18,19,3,19,1,1,0,1,81.76162471782526
32,27,5,18,1,0,0,0,82.76730644434963
48,24,8,12,1,0,0,1,84.19592344306557
20,25,3,19,0,0,0,1,84.23926306098099
9,25,3,18,1,0,0,0,78.97327990462105
18,23,7,13,0,0,0,0,76.83938616636699
29,18,6,11,0,1,1,1,76.07027449717968
24,21,0,22,1,0,1,0,80.02312058275794
9,33,9,22,1,0,0,0,91.60664519742616
35,21,8,14,1,1,0,1,83.68518889928788
28,21,4,12,0,1,1,1,78.12364635926326
39,22,5,23,0,1,0,0,83.83143516215686
12,24,9,9,1,0,1,0,76.20452060256362
28,23,7,19,1,1,1,0,81.76046763149178
16,24,7,16,1,1,0,1,84.08435649703489
23,26,5,16,0,1,0,0,78.45673709227317
22,20,3,9,0,0,0,0,68.8519659810064
35,22,2,12,0,0,1,1,75.22299432902292
15,18,12,18,1,0,0,0,81.17996121107525
17,23,9,12,0,1,1,1,82.50258955744789
48,31,10,13,0,1,1,0,86.21259827326942
24,21,5,16,1,1,0,1,83.33305918985653
13,26,10,22,1,1,0,0,88.51794486444727
28,20,8,24,1,0,0,0,84.63391197105135
29,31,1,20,1,0,0,1,87.89545511791705
41,33,2,15,0,0,0,1,86.89789856918432
34,22,8,20,0,1,1,1,86.59372653191843
16,29,7,22,0,1,1,1,92.97928005743178
-3,25,7,10,0,1,1,0,74.44425050922031
22,24,6,15,1,0,1,1,83.44915494912914
21,26,4,21,0,0,1,0,81.58246217865208
21,20,5,13,0,0,0,1,79.06896370084775
30,26,7,17,1,1,0,1,87.4883175868776
43,26,4,18,1,1,1,0,82.67475391131012
28,28,7,17,1,1,1,1,89.03660063463981
27,24,7,14,0,0,0,0,77.31181195115327
22,26,8,13,0,0,0,0,80.43910355267734
19,22,2,17,0,1,1,0,75.01543625443374
31,24,6,16,0,1,0,0,78.49736869602835
20,25,8,17,1,0,0,0,82.23548715395279
31,24,6,14,0,0,1,0,76.26219425545521
10,14,4,12,1,0,0,0,70.73978156035842
30,26,6,20,0,0,0,1,89.6857646256775
25,25,8,22,0,0,0,1,92.39025331154116
26,24,4,15,0,1,1,1,82.3375089268408
22,30,6,18,0,1,1,1,88.8534569466513
23,22,3,12,0,0,1,1,78.10969175335804
26,25,4,7,1,0,0,0,72.803592633193
22,21,4,18,0,1,1,1,82.75853528256175
10,24,3,17,1,0,1,1,82.48059892483985
24,31,5,16,0,0,0,1,86.5821147278582
36,26,8,21,1,1,1,0,85.18463233031845
15,15,7,10,1,0,0,1,73.54231527137435
41,17,7,16,0,1,0,0,75.40436302108616
35,26,7,5,1,0,1,0,74.54780109230833
39,28,3,12,0,0,0,1,81.76650527757701
32,23,6,17,0,0,1,0,80.80810614280344
28,29,8,17,0,1,1,0,84.36025196047656
29,29,2,8,0,1,0,0,75.2882765740678
19,26,9,17,1,1,1,0,83.09572289428591
21,26,7,15,1,1,0,0,80.8957999475738
12,21,10,20,0,1,1,0,82.49924379709753
36,25,5,9,1,1,0,0,74.87460096695018
5,22,4,13,1,0,1,1,78.75363415219913
24,22,7,16,0,0,0,0,77.92888783525423
15,22,5,20,1,0,1,0,80.96221826768524
23,24,6,15,0,0,1,0,77.80296544610499
41,29,6,11,1,1,0,1,83.4048788796482
31,21,4,14,0,1,0,0,75.0586745318431
18,26,9,13,1,1,0,0,79.88268556049314
21,25,3,23,1,0,0,1,87.60266313357471
32,30,4,18,1,0,0,0,83.56573044949137
25,20,4,10,1,1,0,0,71.29927587761269
27,23,9,12,1,1,0,0,76.85966744822926
34,23,4,16,0,1,0,0,77.16843241680175
27,26,7,13,1,0,0,0,79.65571490168824
16,23,8,17,0,0,1,1,85.86192337546474
47,25,9,15,0,1,1,0,83.40472423868947
41,30,3,23,0,1,1,1,92.05348605630448
14,29,7,12,1,0,1,0,79.55947203902562
11,20,5,12,1,1,1,0,73.36123875312587
12,32,3,23,0,0,0,0,85.65710927624228
26,19,3,9,0,0,1,1,72.04007568694612
-2,26,4,5,0,1,0,1,74.18215033525337
19,35,6,12,0,0,0,1,86.73818452484038
19,21,6,18,0,1,0,1,83.51506300457517
11,22,5,13,0,1,1,1,80.5259015582847
33,22,8,14,1,0,1,0,77.4651538335624
47,20,6,11,0,1,1,1,79.32399684427476
22,23,3,14,1,0,0,1,79.13110794172569
44,22,5,8,0,0,1,1,77.32593144058714
26,25,10,16,0,1,1,1,89.03195495291838
11,19,4,13,0,0,1,1,77.85058671751204
31,31,4,14,0,1,0,0,80.6235569326868
41,23,6,15,0,1,1,1,83.89291560868507
19,20,6,18,0,0,1,0,76.39027292528309
12,16,4,14,0,1,1,1,77.58456225143752
11,19,5,16,0,1,1,0,74.92979384235058
13,22,5,9,1,0,1,0,73.42904414748475
26,28,5,12,1,1,1,0,79.23955739123082
16,17,6,11,1,1,0,1,75.74671266803598
34,16,3,15,1,0,1,0,72.92549562846543
32,22,4,17,0,0,1,1,81.63974555638676
28,27,5,17,1,1,1,1,86.619035807929
28,30,3,17,0,0,0,0,81.26140043466265
29,15,4,12,0,0,0,0,69.7495953260203
19,22,5,15,1,0,0,1,80.70589661970304
10,27,2,16,0,1,0,1,83.11856275621038
10,25,5,10,1,0,0,0,72.70078168885595
39,22,2,7,0,0,0,0,68.27658057793623
32,21,7,21,0,0,1,1,87.50409385223494
26,18,6,20,1,0,0,0,79.96058993658158
50,18,7,17,1,0,0,0,79.90197722890451
25,23,7,15,0,0,1,0,80.38598081339845
39,33,6,20,1,0,0,0,88.73060612390134
13,24,8,4,1,0,0,1,77.0119339429871
29,20,6,19,1,0,0,0,78.54494639546729
39,27,6,14,0,1,1,0,80.03320181343767
36,19,3,18,1,0,0,0,77.57290687826081
26,29,10,19,1,1,1,0,89.18695431422623
41,22,8,12,1,1,0,1,82.76067681764926
32,28,4,15,0,1,1,1,84.7188690570813
11,19,4,10,0,0,0,0,68.49403633437414
42,24,9,17,0,0,1,1,87.85555564404886
11,27,5,14,1,0,0,1,82.15571855196615
29,24,7,13,1,0,1,1,84.10920623120786
25,25,4,20,1,1,0,1,86.69648233558586
2,21,3,15,1,0,1,0,74.2811043280436
37,24,5,16,1,1,1,0,79.60021224898016
17,28,1,14,1,0,0,0,76.64340578538683
13,25,4,17,1,1,0,1,82.08087516647234
32,26,5,15,1,1,0,1,85.45570220193034
33,24,5,17,0,0,0,0,78.19500287145877
26,24,9,17,1,0,0,1,86.67848844279486
14,21,3,16,1,1,0,1,78.72399486085435
29,25,3,16,1,1,0,0,76.839912872146
31,23,7,19,0,0,1,0,80.89514107806204
26,21,11,18,0,1,1,1,88.7770224571011
30,24,5,17,1,0,1,0,78.93725064884772
21,30,8,17,0,1,1,0,84.14578332963053
28,26,3,21,0,0,1,0,82.84163211832683
28,25,6,12,1,0,1,0,77.85317070287634
22,26,4,13,1,1,0,1,82.83390205701716
16,24,4,14,0,0,1,1,83.0484913788386
16,25,6,9,1,1,0,1,81.16424993797398
38,30,6,16,1,1,0,0,84.36623697616591
22,26,4,10,1,0,0,1,79.49182155815147
36,21,7,11,1,1,1,0,75.44427637605521
15,24,7,14,0,1,0,0,78.66216617227259
26,23,6,14,0,0,0,0,77.71997155676313
12,32,5,18,1,0,0,0,83.07201710340027
19,25,5,20,0,0,1,0,81.38981200896303
11,31,4,19,0,0,0,1,88.70306197452123
24,18,8,20,1,0,0,0,78.25226707828021
34,21,6,18,0,1,0,1,84.93803598314798
27,19,8,13,1,0,1,1,80.16832426282159
22,22,3,22,1,0,1,0,81.77324419478714
32,23,6,16,0,1,0,1,83.00068710319842
26,23,3,19,0,0,0,1,84.19609574267646
33,16,4,20,0,0,0,0,75.32484692982091
43,25,6,12,1,0,0,0,78.0604190202832
34,22,9,24,1,0,0,0,86.67360919012985
26,23,1,16,0,0,1,0,74.88720572361144
29,17,7,13,1,0,0,1,77.35754216524606
19,21,2,17,1,0,0,0,75.24107879977089
30,22,4,11,1,0,1,1,78.61869164253008
26,30,6,12,0,0,1,1,85.5053566616561
9,27,3,10,1,0,1,0,76.75919690747874
55,29,8,24,1,1,1,1,97.3073039610826
24,29,7,7,0,1,0,0,73.41078410355139
18,29,6,10,1,0,0,1,82.92761409102076
30,23,7,20,1,1,0,0,83.6876614393405
31,27,7,20,0,1,1,0,85.08047298479164
20,20,5,17,1,1,1,1,81.05972711126671
28,25,5,23,1,1,0,0,84.82864224209885
13,21,8,23,1,1,1,0,84.5529926321041
32,22,5,14,0,0,1,1,82.31188615616169
43,22,5,21,0,1,0,0,81.42648257485273
32,23,10,19,0,1,1,0,86.95714343989118
19,12,4,16,0,1,1,0,69.93602595332229
12,29,9,9,1,0,0,0,78.67742296446232
19,29,5,15,1,0,1,1,85.6686062845963
25,24,5,14,1,1,1,1,81.33606945856167
14,26,6,21,1,0,1,1,88.67568071621238
18,16,7,13,1,0,0,0,73.5808430472696
28,22,6,9,1,0,1,0,73.18538761575525
31,25,4,10,1,1,1,0,74.96807915302573
10,24,9,14,0,1,0,1,84.50521882867116
25,33,3,16,1,1,1,0,84.33572144279069
15,26,6,22,0,0,0,0,82.11325283762348
23,20,2,18,1,0,1,0,75.55374554100624
30,28,4,25,0,1,0,1,91.34228353483262
50,30,6,14,1,0,0,0,83.52371293378211
21,17,9,23,1,0,0,0,82.6742664789281
37,20,11,10,0,1,0,1,81.89983701695297
27,28,2,21,1,1,0,0,83.21881433448016
26,22,9,12,1,0,0,1,82.75779377566775
23,23,8,15,0,0,1,1,86.5013352051981
15,30,1,16,0,1,1,0,78.2479975013164
23,26,4,13,0,0,0,1,82.17623890982063
11,22,5,11,0,0,1,0,74.24624252231932
25,21,7,13,1,0,0,1,80.26347469598447
36,31,4,16,0,1,0,0,82.28757070404329
28,23,8,8,1,0,1,0,74.96272974145995
24,25,3,16,1,1,0,0,76.94234946632764
6,26,6,13,0,1,0,1,81.06380333038977
24,22,3,13,0,1,1,1,78.44482021150715
21,27,3,16,1,1,0,0,78.30294029731071
40,24,4,20,1,0,0,0,81.09432466585152
30,29,5,25,1,0,0,1,93.17648169995954
17,16,5,14,0,1,1,0,72.44186341605788
25,20,8,16,0,1,0,1,82.40410266655952
28,26,5,13,0,0,0,0,76.42108104000307
24,20,6,15,1,1,1,0,75.6631684306069
14,29,9,13,0,1,0,0,81.21616079362342
26,26,3,12,1,0,0,0,77.4508409798841
12,30,8,18,0,0,1,0,85.24471671420041
28,30,5,5,1,0,1,1,77.79297268010197
6,23,3,18,0,0,1,0,77.05378895873615
29,15,6,15,1,0,0,1,78.94989989091155
18,23,4,12,1,1,1,1,78.1172838333809
30,19,7,12,1,0,1,1,80.1184839854372
19,18,4,7,0,0,1,1,71.86409500559913
21,25,5,14,1,0,0,0,77.03948405658521
23,21,2,23,0,0,0,1,84.55411537577784
29,22,3,17,0,0,0,0,76.25557200034227
11,29,7,16,0,1,1,1,86.16007747494915
32,20,4,17,1,0,1,0,76.88388811425364
10,28,7,18,0,0,0,1,89.535288121656
25,30,3,23,0,0,0,0,85.71819603239884
-3,25,7,11,0,0,0,0,75.45099577043071
28,20,5,18,1,1,1,0,78.61849388451554
22,32,5,22,0,1,1,1,92.02602714533732
35,20,3,20,1,0,1,1,84.57534848959973
37,29,7,15,1,1,0,0,82.16884191557037
11,27,5,16,0,1,1,0,80.08907827023491
20,28,4,15,0,1,1,1,84.75064655868599
26,26,6,15,0,0,0,1,83.26825483717784
34,22,1,22,0,1,1,1,83.17344380642685
25,23,5,10,1,0,1,0,74.45070276537375
33,28,4,14,0,0,1,0,79.18589949376312
27,25,5,17,1,0,0,0,79.86549533447086
15,29,8,19,1,1,0,1,90.085921927095
38,27,4,15,1,0,1,0,79.80398861746512
30,27,5,12,1,0,1,1,82.62762798262123
24,22,3,17,1,1,1,1,83.27222311737381
23,24,4,8,0,1,1,0,72.13457448995574
12,27,5,16,1,0,0,1,84.50920902817109
22,27,5,19,1,0,0,1,86.36791387850353
30,23,5,21,1,1,1,1,88.50088780827139
14,23,4,24,0,1,0,1,87.16271837776394
37,26,7,9,0,0,0,1,81.62391887148449
20,24,6,13,0,0,1,0,77.51097270316168
31,20,7,8,0,0,0,0,71.70058690475956
44,24,4,13,1,1,1,0,76.30460685776606
41,16,6,16,0,0,1,1,80.79485338251348
9,17,2,7,1,0,1,0,66.57507770297413
5,20,4,5,0,1,0,0,66.23684815187622
30,28,10,11,0,0,0,0,81.31842691192898
30,31,6,17,0,0,0,1,89.76671499425417
31,26,7,22,0,1,1,0,85.89818373081953
20,26,8,15,0,0,1,0,79.57440992301562
28,30,6,17,1,0,0,0,83.25110244219626
12,30,7,7,1,0,0,1,80.6493417266493
33,17,11,22,0,0,1,1,88.1899079375291
12,28,1,16,0,1,1,1,82.77050381544763
6,22,7,16,0,1,0,1,82.89174119164055
36,19,3,13,1,0,0,0,70.52566789541615
20,28,5,8,0,0,1,1,79.79370572724747
34,26,6,14,1,1,1,1,84.82411786435452
19,24,6,29,0,1,1,1,94.94142700064238
24,24,5,15,1,1,0,0,76.37000385464822
30,23,4,9,0,0,1,0,71.56367798166157
27,30,7,12,0,0,1,1,86.37455622462238
24,30,2,21,0,1,0,0,83.4296993728478
9,20,7,15,1,1,0,0,76.70551480713327
33,23,7,13,1,0,1,1,83.58321308872777
21,27,2,18,1,1,0,1,83.5797777992129
37,14,3,16,1,0,0,0,73.01086241328431
12,23,3,15,0,1,0,0,73.72133320960462
31,28,8,8,0,0,0,1,81.37169587439729
27,27,3,13,1,1,0,0,77.01911316007315
31,28,6,23,1,1,0,1,91.37434660528535
23,31,4,15,1,1,1,0,81.63379413960494
28,25,7,14,1,1,0,0,80.44581364188454
17,27,5,13,0,1,1,1,81.60980151993071
18,12,6,21,1,1,0,0,75.2279923577164
22,16,7,14,1,1,1,1,79.77844607032849
20,21,7,18,1,0,1,0,79.18629823071325
23,23,6,23,1,0,0,1,89.00237102626735
13,26,5,19,0,1,0,0,79.48046819477409
28,16,6,26,0,1,1,0,83.5790889061157
29,26,7,19,0,1,1,1,90.4156794346928
41,15,11,14,0,1,1,0,77.02484206663384
29,27,3,17,0,0,1,0,79.17470666539654
13,28,3,9,1,0,0,0,72.9317548580226
28,21,9,8,1,0,1,1,79.39928591896962
29,28,5,16,1,0,1,1,88.78146632324032
19,22,9,23,1,0,1,0,84.97925632298025
31,30,6,10,0,0,1,1,82.70570006580854
35,27,9,18,1,1,0,0,84.27100373932494
18,21,7,20,1,0,0,0,81.87775484067244
26,19,4,12,0,0,0,1,76.91925294345613
8,23,7,17,1,0,1,0,80.83583674502412
23,20,9,16,1,1,0,1,84.61564162032505
30,20,3,18,1,1,0,1,82.25324858534825
29,24,6,19,1,1,1,1,87.2832206666402
7,15,8,16,0,0,0,1,77.71926370992094
26,26,3,15,0,1,1,0,77.22636878482129
30,27,4,18,0,0,0,0,82.07002838985464
30,23,6,13,1,0,1,0,77.63228641781004
13,20,7,9,1,1,1,0,73.40974661504404
9,22,3,12,1,0,0,1,76.05145120604186
31,26,4,11,0,1,0,1,80.45909426447685
21,29,5,14,0,1,1,0,81.07967127109545
11,29,8,14,0,0,0,1,85.39059202923909
23,32,7,18,0,1,1,1,91.74823752922616
33,28,6,11,0,0,0,0,78.23362782238074
39,20,5,11,0,1,1,0,72.95267902903382
34,21,4,15,0,0,0,0,76.05201726765723
39,28,4,11,1,0,1,1,80.73455711880565
33,25,6,16,1,0,0,0,79.41484585295105
27,20,6,20,1,0,1,1,84.79634689309344
8,22,8,14,1,0,0,0,75.90653346022205
28,24,4,17,0,1,0,0,79.08187290214856
36,24,7,18,0,0,0,1,85.84096631107117
23,22,3,9,1,0,0,0,70.13019330845444
10,23,7,20,1,1,1,0,82.10064759208038
8,24,8,21,0,0,0,0,83.86804934971775
21,16,4,15,1,1,1,0,71.71649461046971
33,27,6,5,1,1,0,0,74.07762551045826
31,21,5,12,0,1,1,0,72.8520931303992
12,29,7,12,1,1,0,1,82.85899115124818
23,21,8,18,1,1,0,1,86.2113001391069
30,27,6,17,0,1,0,0,80.66264665334592
23,22,5,16,1,1,0,0,76.51608388673387
19,19,3,9,0,1,0,0,68.35350615177698
29,26,7,15,1,1,0,1,84.79346153836906
23,29,6,12,0,1,0,0,77.07124957212356
29,24,6,11,1,0,1,0,76.03299698943562
11,21,4,7,1,1,0,0,66.97881510500684
18,34,5,22,0,0,1,0,89.1752715891886
32,34,5,16,1,0,1,1,89.33652984074398
14,23,6,17,0,1,0,1,85.17909871471556
26,25,9,8,1,1,0,1,82.23867938211826
28,23,8,14,1,1,1,1,85.11241840579189
10,25,1,10,1,0,0,1,76.08057176712046
11,23,5,17,0,0,1,0,80.81253206360144
23,28,4,18,0,1,0,1,86.51089433585986
16,19,2,7,0,1,0,0,67.31724202930809
29,15,8,21,0,0,1,1,85.12687585894122
22,26,9,16,0,1,0,0,79.95596288919148
19,19,7,14,0,0,1,1,80.89214031039263
25,26,9,17,0,1,1,1,88.6235997916709
32,24,7,3,0,1,1,1,75.99748359043596
25,29,2,16,1,0,1,0,78.876423392124
10,23,4,16,0,0,1,0,76.08906464625231
20,29,4,16,0,1,1,1,85.936731801044
17,29,5,22,0,1,1,1,91.36742688814498
35,20,5,17,1,0,1,0,77.12240610563282
30,31,5,13,0,1,0,0,81.30515476508153
28,21,2,16,0,0,0,0,74.79444964363854
18,20,5,17,1,0,0,0,75.73939320816997
7,26,4,16,1,0,0,0,79.2089781180164
19,21,4,5,0,0,1,0,67.99798197334341
10,19,6,25,0,1,1,0,83.81648995593986
26,20,4,22,0,1,1,0,79.04476720634489
20,25,7,20,1,1,1,1,91.20011069788228
38,23,6,27,0,1,0,1,91.03547002800028
27,24,8,13,0,1,1,1,82.27067833601853
14,29,6,13,1,0,0,0,78.46590948126024
23,23,2,21,1,0,0,1,84.97925177950086
25,29,7,13,0,1,1,1,85.96521031168729
7,25,4,16,1,1,0,1,83.89929593585119
20,27,13,15,0,1,1,0,85.23228069682325
38,22,3,11,1,0,1,0,73.50420822901704
33,21,6,13,0,1,1,0,76.46851238911309
18,27,3,10,1,0,1,0,72.2416995439435
8,21,5,17,0,1,1,0,77.65397528059603
22,28,7,14,0,0,1,0,80.32533056343682
24,21,7,14,0,1,0,1,80.59222351043344
16,26,5,17,1,1,0,0,78.7810762525877
30,14,2,16,1,0,1,1,74.89606556593266
25,29,3,23,1,1,0,0,84.74721354376729
15,28,7,19,0,1,0,0,83.24791009528401
10,26,5,15,1,0,0,0,78.61646432739002
26,24,5,19,0,0,0,1,84.9140526340841
21,22,4,19,1,0,0,0,77.67748749358971
21,19,4,13,0,1,1,0,72.25158150449059
24,19,6,18,1,0,1,0,78.27688444674452
15,21,4,21,0,0,1,0,78.01427612299656
25,23,12,12,1,1,0,0,79.00449216121953
34,23,5,15,0,0,1,0,77.44957478754449
22,27,11,14,0,1,1,0,83.21219940601758
34,14,8,12,1,0,0,0,71.93786257890997
20,12,4,13,0,1,1,1,72.5873339202983
17,22,7,22,1,0,0,1,87.44602153870059
26,25,8,13,1,0,0,0,79.20365079688054
32,24,8,13,0,1,1,0,78.17370092496483
39,16,5,11,1,0,0,1,76.57262765821193
26,24,4,14,0,1,0,1,80.92484231400016
19,28,5,16,0,0,1,0,82.11371985636357
17,32,5,17,1,0,1,1,89.95226528950843
23,26,6,10,0,1,1,1,78.75469470688441
29,22,5,20,0,0,1,0,81.78504025130904
17,24,13,19,0,0,0,1,90.823502959033
19,27,6,6,1,0,0,1,78.82824588324723
23,17,6,8,0,0,0,0,67.49457404445354
16,25,7,18,1,0,1,0,79.32321276001959
12,16,7,24,1,1,1,0,81.81128373812552
25,20,7,15,0,1,1,0,76.52784376619954
11,28,5,14,1,1,1,1,86.11006830730625
23,22,6,13,1,1,0,0,75.13082017871487
24,16,9,20,1,1,0,1,86.27759947008563
24,15,1,14,1,0,0,0,69.2745299580833
23,24,6,12,0,1,0,0,74.95690365360474
14,28,7,17,0,1,0,1,88.38933322338396
22,27,4,14,0,0,0,1,84.17770956263469
13,22,4,10,1,0,0,1,75.9759141345235
19,26,10,11,0,1,1,0,79.5293633205156
35,21,5,19,0,0,0,1,85.14282299780983
21,19,7,17,1,1,0,0,79.5586798880209
7,29,5,23,0,0,1,0,87.50629094600133
30,28,8,17,1,0,1,0,82.68852645472168
26,28,4,20,1,0,1,1,88.02799819021789
36,25,4,13,1,0,0,0,76.59326999170301
26,20,5,26,1,1,0,0,83.51043987543129
26,26,4,12,0,1,1,1,81.8282649687401
31,22,6,13,1,0,1,0,76.28193920398128
33,24,7,23,1,0,0,1,91.83460696464527
28,22,8,8,1,0,0,0,72.64464068674249
22,21,6,14,0,0,1,1,82.31799763291289
14,31,5,18,0,0,0,0,83.04592866618387
19,30,7,19,0,0,1,0,85.05730110164534
43,19,5,23,0,0,0,1,87.24629634911892
23,21,6,17,0,0,1,0,79.10887347668927
46,20,8,14,0,0,0,1,82.96568859739122
24,25,7,13,1,1,1,1,84.8214819184108
