defendant_age,prior_convictions,defendant_gender,minority_status,offense_severity_score,public_defender_assigned,sentence_length
5,5,0,1,26.09233751348795,1,20.355062576341517
6,5,1,1,25.721997511454934,1,20.22482808520745
6,5,1,1,21.51466785900561,0,6.726151247072937
6,4,1,1,23.130258389756182,0,8.307807828582265
9,7,1,0,21.27780347475752,0,6.046214894274724
7,9,0,0,24.176441243682955,1,18.441146598351796
3,5,0,1,24.220384338762585,1,18.249180432072905
13,6,0,1,24.081854230048062,1,17.754694596369728
9,7,1,1,25.48333807172377,1,18.900549833241627
13,6,1,1,24.361718978158933,1,19.17408143938676
7,6,0,1,25.1953657833262,1,19.32157746896018
7,7,1,1,23.314780213239665,0,9.47190576819879
5,6,1,1,26.612883687669125,1,19.929522667116125
7,7,1,1,22.7042150234962,0,7.963077033859539
2,5,0,1,28.364471502251853,1,22.080362243523236
13,7,1,1,24.04818464522843,1,17.62378976052493
5,2,0,1,25.68913202517046,1,20.850174806572724
15,5,0,0,22.45949688010808,0,5.750174728043376
3,6,0,0,26.136639144866734,1,20.87200813063564
13,5,1,1,25.804466806662337,1,18.521937233955768
5,6,0,1,24.097673946217935,1,18.734084258420516
12,6,0,0,22.917356223938786,0,7.758037686028532
8,5,1,1,22.95655929379487,0,8.569333251235225
8,7,0,0,26.2549585142906,1,19.388565589859223
4,6,0,0,23.47448902706037,0,8.411830558113921
7,6,0,1,25.45113101986057,1,19.68736861572142
9,5,1,1,23.92441364117698,0,8.952898141327303
8,6,1,1,23.69366347891735,0,10.104724998798057
8,5,0,1,23.981275041123855,0,9.597383271467894
2,6,1,1,24.358220119368287,1,19.41794969852792
4,6,1,0,26.730794070423883,1,19.96971230763909
6,10,0,0,20.92380355746412,0,5.474825404574554
5,7,0,1,25.831505175836984,1,20.40351915196858
12,3,0,0,26.0852769076022,1,19.8225234691319
7,8,0,1,25.87515211263929,1,19.817846062704582
5,5,1,1,23.65876762141985,0,9.314172884106664
6,7,1,1,24.491681724846067,1,18.99696834253546
10,6,1,1,24.63119056142823,1,18.255510139471827
3,7,1,1,22.67099907115301,0,8.678045852848808
5,4,1,1,26.640132266294625,1,19.855155194981027
9,5,1,1,23.01538389355349,0,8.066458905457358
2,6,0,1,20.62410966336503,0,5.162319712926676
12,5,0,0,24.17859496270449,1,18.514125469451365
10,9,1,0,24.8725214915624,1,18.926456790160262
6,7,0,0,27.28067632886128,1,20.884741147438262
11,5,1,1,23.35549139648714,0,8.488220047137878
3,3,0,0,24.747376134931063,1,18.64376642873912
10,9,1,1,24.367633534830134,1,18.75831841868869
10,7,0,0,22.79737893206603,0,7.713496237452532
10,6,1,0,21.089054647673034,0,4.227283422578531
11,5,0,0,23.40563628205454,0,8.180716133393648
13,8,0,0,24.12481519722157,1,18.389149303300577
11,6,0,1,23.75520297697163,0,9.12033879366515
20,4,1,0,21.073730747375528,0,3.874416760926797
6,6,0,0,25.313118091396102,1,19.159400385570176
10,7,1,1,22.98147728449145,0,7.617554714299632
7,7,1,1,22.1034040938562,0,6.562850005729182
9,10,0,1,28.93070737808535,1,21.88457188590808
11,8,1,1,27.177572923329244,1,20.475662929694103
9,5,1,1,22.63856436756992,0,7.259817987572633
8,6,0,1,24.230960794149087,1,18.123198661198337
5,7,1,1,23.65626972376965,0,9.600933858345268
11,3,1,1,23.14042707605968,0,7.819303940515334
6,3,0,1,26.223652663663955,1,19.783854785551046
7,4,1,0,23.7636229904437,0,9.215542913155868
14,4,0,1,23.171403348499805,0,8.395364751839926
9,1,1,1,22.06653313738652,0,6.470105280265903
5,6,0,0,21.80460544992357,0,6.964697352462431
11,4,1,1,23.672491353774312,0,9.077431132023662
8,7,0,1,21.6986646504968,0,6.446858806909742
1,4,0,0,23.271102238197106,0,9.78620350371262
9,5,0,1,29.08258979930044,1,22.789735335605904
9,5,1,0,24.734333445427787,1,19.04832509044016
3,2,1,0,26.01218039973316,1,19.994900666577315
5,8,0,0,27.34230418169679,1,20.31368998034245
5,3,0,0,24.07978483470208,1,18.290670608016946
12,6,1,0,30.223094665302952,1,23.473189830730743
10,8,0,1,23.53637386627552,0,9.2938118215649
12,6,1,1,23.766826095764785,0,8.409157842633388
8,8,0,1,20.920194139759417,0,5.279442201445145
1,5,0,1,22.8685186824146,0,8.174445210705752
5,3,0,0,22.71027205447532,0,7.664011229673494
9,5,0,1,21.877280343549288,0,5.949672361310356
10,5,1,0,24.191139335014423,1,18.331128495368954
8,5,0,1,19.76408015753038,0,3.7333225769023626
1,4,0,0,23.47222939011237,0,8.909244206185742
8,7,1,0,22.151718939815822,0,6.603612682473941
11,5,0,0,23.51149958916089,0,8.251043583309297
14,4,0,1,24.237810598339177,1,17.491704448846654
7,7,0,1,25.406570830428635,1,19.75239185601037
10,7,1,0,24.763009567429776,1,18.36341135727536
5,5,1,1,25.311179892393746,1,19.730915831803475
11,5,1,1,21.9748825405241,0,6.37591681589029
7,5,0,1,22.249847837110444,0,7.31701465034052
5,4,1,1,22.489612340143808,0,7.634653109466774
-3,3,1,1,19.79829462738909,0,5.646571385562059
5,8,1,0,25.07739322583298,1,19.297608876841103
10,4,1,0,26.22411324244756,1,20.804696067781343
10,6,0,1,20.899831124243768,0,5.436889195446289
4,5,0,1,22.284229800126884,0,7.585206303381331
3,5,0,0,22.977267595218283,0,8.947307750232612
5,6,1,0,24.348663310063888,1,18.95242525648044
9,4,0,0,19.6203591855946,0,2.313788350458412
10,6,1,1,23.67538945048269,0,9.378270717982156
4,4,1,1,18.57898784036801,0,1.3655051666488045
7,6,1,1,26.531816053937533,1,20.60642341673014
8,6,1,1,24.349465017447315,1,18.773038980533546
13,5,0,1,23.41603251784028,0,8.684533030515281
7,5,0,0,21.704832030684983,0,5.961298342667887
19,9,1,1,24.079229220243388,1,17.461084987784773
6,7,1,0,26.51376267304596,1,20.508627102550182
5,6,0,1,23.178431085113605,0,9.078267257197874
11,7,1,1,23.92535284792909,0,9.026129499092272
8,5,0,0,25.30706323876301,1,18.88492291648316
7,7,1,0,25.8513647358138,1,20.81391745216801
10,4,1,0,22.472080086749944,0,7.598670321745385
8,3,0,0,22.685340693268824,0,8.699694915066388
7,6,1,0,24.241064344712697,1,19.299391815734328
7,7,0,1,25.7253949534563,1,20.306401558078345
6,8,0,1,25.44855453692108,1,19.85032675387464
9,5,1,0,21.067486673673372,0,5.015423582459441
9,5,1,0,23.75864430877817,0,9.761141642052078
11,7,0,1,20.298055195503203,0,4.125959022466966
15,9,0,0,20.60389488673268,0,4.799274395202273
2,9,0,1,27.99352027055473,1,22.69373692061666
7,5,1,0,24.39448682489289,1,17.932437356079635
6,7,0,1,24.274467751518984,1,18.568739350033017
9,4,0,1,21.723693095334625,0,6.0263047882124114
8,5,1,1,24.276561511172503,1,18.117695249574613
4,6,1,0,29.81140445406899,1,22.957895031194237
5,6,1,0,23.99156076489828,0,9.645340947412226
5,5,1,1,24.219439263504743,1,18.45995795979513
10,4,1,0,20.04841098533566,0,2.487425575988362
12,6,1,0,25.17863922323736,1,19.262974092783345
7,4,1,1,25.98321278688476,1,19.522125632380085
11,6,0,0,23.591700629982725,0,8.022113562649091
7,5,0,1,22.00481746027693,0,7.55270342377465
6,3,1,0,24.7311864156698,1,18.445832632855627
9,4,1,0,22.48030730139834,0,6.816034600244867
9,7,1,1,21.7149287609718,0,6.928695920242343
5,5,0,0,25.068374390246834,1,19.864236308885
7,5,0,1,24.39675366431224,1,19.014023274833463
10,6,0,0,23.55864740656732,0,8.940006692801836
6,4,1,1,22.409368381312163,0,6.677861702303455
12,7,0,0,22.418964362537903,0,6.8662115126926535
4,6,1,1,24.05060793048714,1,18.719660482143848
6,4,0,1,26.11913619467167,1,19.82360944777991
16,4,1,0,23.69296790278258,0,8.36436077644631
7,3,0,0,22.98198306888721,0,8.72957339807979
16,5,1,1,23.113109854469094,0,7.620404360207271
9,8,1,1,25.934580477800758,1,19.417121348183077
5,5,1,0,22.383634187689903,0,6.937032442924467
9,4,0,0,23.413116753604143,0,9.068718800100593
6,5,1,1,27.399298515869848,1,21.15714666138572
5,4,1,1,23.817576676078783,0,10.09074562532092
6,5,0,1,24.253490700050687,1,18.170847657582332
6,7,0,0,23.651718048378648,0,9.536944627042908
7,5,1,0,22.949135968909783,0,7.838259974945308
8,6,0,1,24.16924922573041,1,18.085682338284265
8,7,0,1,26.162052529144397,1,20.36375749696196
8,7,1,0,27.57233141187928,1,21.04753094172352
10,8,1,1,26.18030026351256,1,20.304584314623177
11,6,1,1,22.03908290759128,0,6.434889967266103
3,4,0,0,19.407358576402828,0,3.1273256899577992
6,6,0,1,25.242796467671813,1,19.315919723903107
5,5,1,0,23.40373363247095,0,8.682018279789956
5,7,1,0,25.47709946787974,1,19.9315989890928
6,7,1,0,23.005021975130692,0,9.294733650059763
15,4,1,0,23.614298335691245,0,7.960196513507104
1,5,0,0,21.204311806026997,0,5.075089424459242
10,5,1,0,24.37096381580427,1,18.664428088765924
9,8,1,1,23.20079918321852,0,8.689591389937272
4,7,1,1,20.448735016484832,0,4.855779582534516
9,8,0,1,23.57163662665472,0,9.083246152864046
4,5,0,0,22.577148965471125,0,6.990249283250045
11,7,0,1,26.63126665040836,1,20.33651368648246
8,4,1,1,22.19168528581068,0,7.227399259401325
8,5,0,1,24.852384736095264,1,20.225556816818653
10,6,1,1,23.091929183882524,0,7.52383332699387
14,5,0,1,24.582684995317912,1,18.368402025992097
11,5,0,0,26.395171114990195,1,19.24190667744713
8,1,1,0,21.13519317223873,0,4.4284237220462
8,7,0,1,25.93138523713373,1,19.959087795447942
10,7,0,0,23.69929090520561,0,9.010484834796166
9,4,1,1,25.856929283224545,1,19.62822056053816
7,4,0,1,23.923409559255425,0,9.33727085538791
4,7,1,1,21.72075484542618,0,6.392106219445769
7,5,1,1,25.80619887537986,1,19.78982328328597
8,5,1,0,26.526456138183796,1,19.35050012807548
6,7,1,0,20.367844817790147,0,4.649424666860317
0,4,0,1,23.93953125446688,0,9.444241585726337
5,5,1,0,22.186133503067303,0,6.383815859907099
11,1,1,0,24.740316464798237,1,18.07549246904039
9,6,0,1,24.91906027051424,1,19.36916121341714
6,6,1,1,20.454684080372,0,4.1123895333181695
7,4,1,1,27.146072263048826,1,21.19443356228774
10,8,0,1,24.535129821705844,1,20.03596224676715
5,4,1,1,23.287392828093157,0,7.907497820545717
5,4,1,0,21.18652164498722,0,4.3978730288206025
8,4,1,1,24.9862827246901,1,19.34559362983435
8,6,1,1,22.91038582979861,0,7.757184310290205
7,4,1,1,23.50627561958871,0,8.879509233989817
7,6,1,1,22.56139666403929,0,7.198130136629151
12,6,1,1,26.762478850962477,1,20.11818311740371
8,6,1,1,22.166174297267528,0,7.018097803011532
16,7,1,0,24.07834813529436,1,17.442112832990816
6,6,0,1,23.65426975988673,0,9.490222047879632
8,4,0,0,22.825499697498746,0,8.17327933231781
4,6,1,1,24.76409320621484,1,18.882571794345026
5,6,0,0,22.88276497616324,0,7.865600038842842
7,8,1,0,21.70756394965653,0,5.881175877073883
9,6,1,0,21.46691695628832,0,5.235970740255091
9,4,0,1,23.77187480549769,0,9.101090800480302
12,8,1,0,25.438696165444743,1,18.924250278099148
9,4,1,1,25.3632223910577,1,19.51111018617156
7,7,1,0,26.077363881544134,1,19.20997876689632
10,6,0,0,24.362093610058817,1,18.75318828084284
11,7,0,1,23.40825962858069,0,9.069908866023557
10,4,1,0,19.786791765710056,0,3.460033710188801
8,6,1,1,21.67248212814733,0,6.11244164869048
13,6,1,1,27.88932681864121,1,20.916429184190264
5,4,0,1,25.270166371262366,1,20.204232072451543
3,7,0,0,23.61817210032243,0,9.585545446053064
7,7,1,1,24.601743662428603,1,18.90877351129172
9,8,1,1,23.74073522100937,0,8.936121145461906
11,4,0,1,23.88530229198353,0,9.0800126739111
6,6,1,1,21.15858396388419,0,6.310848701425794
5,6,0,0,21.93613791273592,0,6.56903080529541
5,6,1,1,25.009574613566187,1,18.99856787231848
16,9,0,0,25.5678713667015,1,19.178101011461383
7,5,1,1,27.25097635454117,1,21.06457925346788
10,7,0,1,28.2004309647712,1,22.17003783894656
6,5,0,0,24.54703779706918,1,18.98513673791208
7,4,0,0,27.07447644205229,1,21.13038282387979
2,7,1,1,21.94771662797585,0,6.384188388500095
8,8,0,1,22.65727508526605,0,8.317688203654887
6,5,0,0,27.63847996127371,1,21.417225404338847
17,6,0,1,24.10519294948823,1,18.3209913312712
10,6,1,1,21.902868123383534,0,6.180148190232136
14,7,0,0,23.21210157029605,0,8.284166422941166
5,5,1,1,27.09012255630528,1,20.139762023945742
11,7,1,1,22.88713455561048,0,7.750953629509573
11,5,0,1,26.988571128010435,1,20.26453053278719
8,4,1,1,26.33154678872365,1,19.39108228382688
4,6,1,1,22.14854176278388,0,7.954896036950807
13,8,0,0,23.30459473846758,0,8.685268218272213
9,5,0,1,24.362491685459155,1,18.52023874935317
14,6,0,1,21.398908388505703,0,5.825870734397076
4,6,1,1,23.407372539270806,0,9.693758698598971
9,7,1,1,19.90881617046464,0,3.970001522813062
10,5,1,0,22.882050669305077,0,7.551851301786839
11,6,0,1,26.24071120772275,1,20.20202945773663
9,6,0,0,24.46585456459361,1,18.701597645123734
4,6,1,0,25.028990694750544,1,18.871876899972246
7,6,0,0,25.9691333433707,1,19.47126057885774
6,4,1,1,27.23333462367708,1,21.18156189348129
9,5,0,1,21.265062010262668,0,5.512098426688235
2,5,1,0,25.500709801031054,1,19.72104205990106
12,4,1,1,22.48355618822657,0,6.881654233611548
6,6,0,0,22.53181866054057,0,7.984333966914393
11,8,0,0,20.5563500590068,0,5.007672215548161
12,5,1,0,21.063324841732346,0,5.647496447802737
9,5,0,1,25.827106403303297,1,20.356964977936777
10,7,1,1,25.268842341224268,1,18.892809515375465
10,5,0,1,25.184878664260182,1,19.269345945835056
7,6,1,1,22.20996821582542,0,6.687908401513075
11,5,1,0,24.287425649701888,1,18.27892479958122
10,5,0,0,23.23950238440677,0,7.896756697494284
12,4,0,0,25.37726351791061,1,19.05227359354493
11,7,1,1,23.871444999550288,0,9.502999220416
8,4,0,0,24.49010323724044,1,19.139042134025765
7,7,1,0,23.286743587080515,0,9.16884065250012
4,7,0,1,26.78754529986128,1,20.392013452833396
10,4,1,1,19.079074066683116,0,2.384046646137861
10,5,1,1,24.72269994100583,1,18.855704781188035
7,4,1,0,26.42455655595103,1,19.591279498444354
11,7,1,1,24.821874630589164,1,18.6644313430048
7,6,0,1,21.16099501919499,0,6.606493040638206
3,6,1,1,23.645127048895628,0,9.88752109889587
4,6,1,1,24.747928034331643,1,19.146936724672408
13,8,1,1,23.79711336370537,0,9.504656181884036
11,4,1,1,24.193589106220724,1,17.637723335001972
8,5,1,0,23.735048771428684,0,8.703303343323139
5,7,1,0,24.21398362678461,1,19.04638331684695
9,5,1,0,20.185935931906585,0,3.859232316971514
6,8,1,0,24.608838928063268,1,19.52258583008088
10,6,1,0,23.72748535188384,0,9.55043909208345
10,7,1,0,25.20223946290631,1,18.31689042472475
5,11,0,1,16.38911480830629,0,-1.2746275861755538
7,5,0,1,18.56336154688952,0,2.263699431327112
12,6,0,0,20.30234431039018,0,3.6946874299911143
10,5,1,0,24.922467721640007,1,18.683324419044688
3,8,0,1,21.86075968437317,0,6.979879657831705
7,4,0,1,25.574821081534804,1,19.335849866237005
1,5,0,0,22.81745468291801,0,8.477215239829002
6,6,0,1,25.895319332984997,1,20.38102801602596
10,7,1,1,26.24582605767888,1,20.30628481385741
4,5,0,0,24.536938994113275,1,18.730282598726504
9,6,1,1,21.448322511426458,0,5.205963815249239
3,3,1,1,23.669198441591814,0,9.454509019892155
11,3,1,1,26.61834343771945,1,20.94647656992495
15,7,1,0,23.125085221771748,0,8.23514724056876
11,6,1,1,25.0767134900892,1,19.4374133839146
9,5,0,0,23.739416877616907,0,10.654956069055151
7,6,1,1,26.527900781511427,1,20.23640757462229
0,5,0,0,24.73726953863806,1,19.54476113554081
12,4,1,0,27.134949121946438,1,20.47688552082257
10,6,0,0,25.691073988198315,1,19.68449116379471
5,5,0,1,24.41371780687208,1,18.533327832026007
9,7,1,0,22.98086305511417,0,7.876265192209985
6,4,1,1,22.535635643289623,0,7.151150951896829
7,3,1,1,24.88476116758208,1,18.72665313730648
10,5,0,1,27.04998377435321,1,20.414723966653643
5,4,1,1,22.95759301886016,0,8.756550754811606
8,7,0,0,24.13632081917712,1,18.93350209084556
11,8,0,1,22.52512495383165,0,7.463626681859336
9,6,1,1,22.01696084571129,0,6.136510222795111
8,6,1,0,24.614914596716105,1,19.11014817937715
7,5,1,1,22.820664824141545,0,6.696595757115837
4,5,0,1,25.719614278530837,1,20.244691721753508
8,7,0,0,25.68062175412525,1,19.399374180864733
8,6,1,0,23.976032352488964,0,9.517999107024194
14,5,0,0,23.610737286047925,0,9.609281332850792
0,8,1,1,19.858013390533515,0,3.2172861801473447
4,8,1,1,19.50960560626704,0,2.829990189489118
5,8,0,1,23.31060525288052,0,8.829821832895691
6,4,1,1,22.71495965158018,0,8.55345847543013
6,6,0,1,24.735878314451025,1,18.83028432969759
11,7,0,1,23.750965084421065,0,9.176214529542705
5,6,1,1,21.20856005775247,0,5.3061864182091245
8,6,0,1,24.680224144906337,1,19.221658778343325
6,3,0,1,23.025155213995937,0,8.194291688302306
6,8,1,1,24.80591040326576,1,18.44400909948965
10,7,1,0,26.78114084399442,1,19.40197956949432
11,5,1,1,24.34976858932887,1,18.24678646383007
11,4,1,0,23.955205283549123,0,9.141799185758888
2,5,0,1,25.62047930804584,1,20.641528937498407
12,5,0,0,23.30613341149901,0,8.821014255542671
12,5,1,0,24.350098757658536,1,18.34353881960831
13,5,1,1,22.271816931623547,0,7.000169196016151
8,7,0,0,24.072198586736228,1,18.334653299852263
12,4,1,0,22.37492286382289,0,6.615965995553303
9,5,1,1,24.67614733953936,1,19.21523530884054
9,8,1,1,23.808891513308385,0,10.159069415359966
11,5,0,1,26.740985656447048,1,21.00830144308477
12,3,1,1,21.47013001196269,0,5.90589546045927
1,8,0,1,21.387268945202266,0,6.791860438716049
7,7,0,1,25.28558197072054,1,19.65775185102024
7,4,1,0,23.7119855231602,0,8.511979315505181
6,9,1,1,23.258308254911704,0,8.616441051966172
8,5,1,1,24.011688396445532,1,17.65272578292768
8,5,0,1,22.64827782765501,0,8.152332216940229
5,5,1,1,24.12066328324244,1,18.547184256455413
5,5,0,1,26.163269089172783,1,20.10390763584411
7,4,1,0,24.10048470008136,1,17.8289152297123
9,5,0,1,25.98165459371719,1,19.519010904198407
4,5,0,0,21.01354751453337,0,5.870458317320576
4,3,1,0,23.694487783077367,0,8.91966520767998
5,8,0,1,23.205247541973087,0,9.16549753597721
9,6,1,0,24.77146269728419,1,18.870271358662254
6,7,1,1,21.270287887643374,0,5.645546462028632
12,4,1,0,23.508368041581864,0,8.074826155866159
5,4,0,1,21.32539256175226,0,6.418376172747435
11,6,0,1,18.204011135927765,0,0.5801303857800992
3,8,0,0,27.029424856152502,1,20.922163515288943
4,4,0,1,25.904736350844995,1,19.334537275834847
7,6,1,1,24.39012751039145,1,18.53487966848365
6,9,1,0,17.987682547684383,0,0.448686206689169
10,6,0,0,28.15767646450745,1,21.179668403000743
1,4,1,1,25.78666818189812,1,20.992680522510515
6,6,1,0,22.697795370582927,0,6.6680375184089264
12,7,1,0,24.261120936864085,1,18.080282866961028
8,7,1,0,24.568430480756223,1,18.94701850174274
2,5,0,1,24.369121280835188,1,18.923078320108896
5,7,1,1,26.249966602904905,1,20.739590759786356
4,6,1,1,23.895167302766403,0,9.95925258300938
0,5,1,1,21.39483746883329,0,5.692077009345341
7,6,0,1,27.17398110998872,1,21.5670807987739
7,5,1,0,21.21711239743769,0,5.632752406361496
11,8,0,1,23.839784314840408,0,9.171547087833686
8,2,0,0,23.234430956352355,0,8.100490206856426
4,4,1,1,25.683484884690237,1,19.59165603348392
-1,5,0,0,22.7065848691952,0,9.055186621748588
8,5,1,1,20.38805724331369,0,4.722235588366348
4,5,1,1,22.223650110508927,0,6.8069871596278295
6,6,1,1,26.459413975310767,1,19.907844619772263
3,7,0,0,25.047672003373144,1,19.11997192438388
6,4,1,1,24.830474160579005,1,19.44756801860244
8,7,1,0,25.77770867301568,1,19.7019494874195
15,6,0,1,24.460565114448094,1,17.977102239914018
8,5,1,1,22.327099506701163,0,8.29578339448491
5,6,1,0,21.89472295241533,0,7.013317318411456
9,6,1,1,24.74596224160536,1,18.58839637713911
5,6,0,1,27.268537939569672,1,21.52501548305613
14,4,1,0,22.397014835416005,0,6.5880773397766825
12,4,1,0,27.04521138388369,1,20.131895961149763
9,6,0,0,21.149963386071637,0,5.222909000616561
9,5,1,1,23.11535020139229,0,8.78901615641058
2,5,1,0,22.633462126020014,0,7.967117878156347
13,5,1,1,26.515859833958377,1,20.18674446281617
12,4,1,1,25.141067163430066,1,18.73884538738795
8,7,1,1,25.23173985665685,1,19.000895219494875
9,1,1,1,22.996086375147637,0,8.279162742036617
12,7,1,1,22.024530879074955,0,6.949177060551561
1,5,1,1,24.373799429430548,1,18.43194683760951
7,3,0,0,21.29903569146447,0,4.95926552544108
10,4,1,0,26.25306098239325,1,19.61126637101969
2,7,1,1,27.243728112878195,1,20.828631666626304
7,7,1,0,27.952898437376646,1,21.748245520572148
5,6,1,0,24.728599091009983,1,18.238601745214
8,7,0,0,22.874784114956377,0,8.042524715658104
4,6,1,0,24.22105655923591,1,18.35714533431346
15,5,1,1,23.26840828307865,0,7.718940069314923
9,4,0,0,27.59362028967649,1,21.422608863847035
4,1,0,1,22.92291034428633,0,8.165923643904165
3,7,1,0,22.30056483009745,0,7.511737776551046
6,6,1,1,20.828120414218127,0,4.262094203406177
10,6,0,1,22.146456642356046,0,6.5451154636284725
5,5,1,0,24.61304479401012,1,18.60959350686017
12,3,1,1,22.93323655681972,0,7.849053167444703
5,7,1,1,21.157227395740936,0,5.803188628799701
10,3,1,1,22.415242197278328,0,7.061567066500005
