age,education_years,income_level,political_interest_score,urban_residence,previous_voting_history,campaign_exposure,voting_turnout
32,22,5,15,0,0,1,95.454507360999
22,20,6,26,0,0,0,80.56149163186831
7,30,6,12,0,1,1,73.98055532828197
18,15,4,11,1,1,0,72.44016753105359
26,26,5,8,0,0,0,80.48968705360812
34,23,9,21,0,0,0,92.4354095143626
14,19,2,20,0,0,1,76.18498967671569
16,19,8,18,0,1,0,74.27245685666117
29,24,4,14,0,0,0,84.86137620079089
29,23,5,19,0,0,0,86.65122941110809
5,23,10,14,0,1,0,66.06633361503874
25,22,2,13,1,0,1,87.74563964948659
41,24,5,14,0,0,1,102.10006833012832
38,28,5,15,0,0,0,94.61603920737709
24,24,2,15,0,0,1,86.81826201974232
8,29,0,12,0,1,0,66.00599464045301
31,25,5,9,0,0,0,86.79550293725632
14,22,7,12,0,0,1,78.09245523626868
35,21,8,24,0,1,0,94.02854188680892
28,25,4,24,1,0,0,86.77429071796834
49,27,3,9,0,1,1,110.68806450546984
4,32,3,18,0,0,0,63.66326870843572
20,30,9,17,0,0,1,88.70598517799377
47,29,7,14,0,1,1,113.57309511981056
22,33,7,11,0,0,1,87.69085129878323
1,27,10,11,1,0,1,67.29053474786474
22,25,4,16,0,1,0,80.11932070592549
43,28,8,13,1,1,0,101.61496455503902
23,16,5,12,0,0,1,82.73725330941579
13,25,2,13,0,0,1,77.32180072840245
31,25,3,22,0,0,0,89.36946665180514
24,21,7,11,1,0,0,79.58542841785471
25,18,7,10,1,0,0,77.86014981441048
14,21,5,12,1,0,0,68.60701751203553
21,24,6,12,0,0,0,77.04943978629838
12,30,7,16,1,0,1,80.77070350307221
9,30,2,17,0,0,1,75.4898890401925
31,19,6,18,0,1,0,89.4275412742364
8,28,1,9,1,0,1,70.18297052121405
21,24,5,21,0,0,1,87.02111667773289
27,21,3,17,0,1,0,84.32609712703447
12,21,7,16,0,1,0,70.42815485447888
2,22,6,20,0,1,0,63.878749128261255
21,21,4,12,1,0,0,77.59554656563006
37,27,6,17,0,1,1,103.23722747146576
23,17,7,18,1,0,1,85.86311263816341
8,22,3,19,0,1,0,65.52985559533923
22,27,6,10,0,1,1,83.80560771823625
25,24,6,17,0,0,0,82.7403640108936
11,13,5,16,1,0,0,68.86410569458528
20,22,8,17,1,1,1,88.00807796678501
19,26,6,14,0,0,1,83.91322605354173
35,21,4,12,0,0,0,91.01395849509544
27,26,6,15,0,1,1,91.50737219353095
14,25,6,20,0,0,0,73.91364114604286
26,22,6,15,0,1,1,90.56741364802748
24,20,1,14,1,0,0,78.22978321746315
21,27,5,15,0,0,0,77.12955777373807
16,21,6,10,1,0,1,79.57791267622048
46,18,4,10,0,0,0,99.13113414104632
4,26,4,14,0,0,0,62.11443508134509
29,20,6,14,1,1,1,92.5665846294002
35,30,5,16,1,0,0,93.14600606978186
25,16,7,6,0,0,1,85.10483915280615
24,29,5,28,0,0,0,85.76969696851357
24,23,3,22,0,0,0,83.18035871944876
32,19,6,23,1,1,0,90.91780511555892
27,29,7,10,1,0,0,81.88139838305648
25,22,5,20,1,0,0,84.70803690358629
21,20,6,11,0,0,0,76.81971697955325
35,28,8,9,0,0,1,98.3401546623428
19,18,5,14,0,1,0,74.92664962927849
15,25,6,13,1,0,0,72.64411528438644
21,33,3,17,0,1,1,86.20948074486081
37,30,7,15,1,0,0,97.93101257567172
14,19,7,19,0,0,1,80.9743436998357
11,29,4,22,0,1,0,73.55717662520244
28,27,7,16,0,1,1,92.4421206240492
28,17,8,16,0,1,0,86.12099347087633
23,24,3,9,0,0,0,77.45370151421291
35,25,8,16,0,0,1,100.11842865363448
35,21,9,16,0,1,0,93.73798136161432
10,24,3,23,0,1,0,69.85762026337264
18,21,9,13,1,0,1,85.14252287690341
39,22,7,10,1,0,0,96.4823775523449
19,21,6,16,0,1,1,85.61099247670778
19,20,4,17,0,0,1,82.95502397760062
19,18,8,20,0,0,0,76.75848290142774
13,19,9,13,1,1,1,78.41240211613761
34,21,8,16,0,0,1,96.8595154911482
36,23,0,19,0,0,0,93.70108577153552
22,26,4,20,0,0,0,80.90397924047595
33,21,1,17,1,1,0,89.71130404671399
29,18,6,16,0,0,0,83.32868001133049
44,29,11,21,0,0,1,112.501075417513
31,21,3,18,1,0,0,87.68711068300912
16,18,5,14,1,1,0,71.73959471856551
31,26,7,20,0,1,1,97.47058250768156
42,30,8,15,0,0,1,108.52854883987492
19,19,3,14,0,0,1,81.57334396290736
35,26,1,12,0,1,0,90.8282421026149
24,23,6,19,0,0,1,90.00581091541478
44,19,6,23,1,0,1,108.19742843414588
10,29,7,12,1,0,0,68.54588834918121
16,24,6,14,0,1,0,74.14286965240659
27,27,3,21,0,0,1,92.17621504166056
36,23,3,18,0,1,1,98.92786570927876
29,31,7,21,1,0,1,98.7019220975975
13,24,4,21,1,0,0,71.30843349700329
32,24,8,12,0,0,0,89.04220493042978
31,30,4,11,0,0,0,87.87033912282354
41,21,5,15,1,1,0,97.42000294537868
28,23,8,17,1,0,1,95.25958125018929
29,27,4,17,0,0,1,93.68108630057844
10,23,5,10,0,1,1,70.81839064371788
36,21,8,15,0,0,1,98.91898969892506
33,18,3,15,0,0,1,95.3604954692798
16,21,4,17,1,0,0,73.91345173401545
17,21,5,8,0,0,0,70.8259565724859
26,24,6,19,0,0,0,85.0954622297773
18,24,5,18,0,1,1,85.37659771799335
21,21,7,15,0,1,1,86.15982895501517
10,18,6,16,0,0,0,65.0266245789973
18,24,4,14,0,0,0,71.57208822374565
18,31,6,19,0,0,1,86.22782185878157
23,26,7,16,1,0,1,92.53477012484828
10,23,10,25,1,0,0,73.35862399971862
46,22,6,11,0,0,0,99.38148699879586
28,25,6,17,0,1,0,87.48011049344308
16,22,7,9,1,0,0,70.6459471543401
21,24,4,20,0,1,0,80.64157197631607
40,18,4,16,0,0,1,103.03239365426931
21,22,3,24,0,0,1,86.0609956771093
12,21,5,15,1,0,1,76.83323043911604
23,22,8,11,1,0,0,81.05019042001943
15,29,4,11,0,0,1,80.77273424090392
46,17,6,11,0,1,0,98.51655586356488
26,19,8,17,1,1,0,85.04964106471382
29,22,8,13,0,0,1,92.95059834450718
23,22,6,12,1,1,1,88.665157604948
32,19,2,17,0,0,0,86.20871640484152
23,20,8,26,0,0,1,91.61215365978506
37,17,7,23,0,0,0,94.85640186420696
35,29,7,23,0,1,0,97.9975384403336
31,21,9,11,1,1,0,88.09718088436117
35,28,3,9,0,1,1,97.00702547179483
36,24,6,8,1,0,1,97.30203091757136
29,15,11,20,1,0,0,88.12825312467486
21,30,6,9,1,1,0,79.23684864259037
2,20,5,20,1,1,1,69.42899790974893
36,19,2,21,1,1,1,101.19961132313075
18,26,6,17,0,1,1,84.65400931844943
21,20,10,22,0,1,0,82.8428662943698
34,29,3,19,0,0,1,100.00283774329824
19,25,5,18,0,1,1,83.49746718624297
28,24,2,13,1,1,1,90.66273267544024
38,24,3,20,0,1,1,102.26638459812644
20,21,8,16,0,0,0,78.17249551045168
25,30,6,13,0,0,0,81.03379136900408
29,24,4,10,0,0,0,84.41134006937337
11,28,7,11,0,0,0,67.6131806754293
37,27,4,11,1,0,1,99.45528411417676
18,25,9,17,0,0,1,86.16907467174853
10,27,6,10,0,1,1,74.7358243386845
26,29,5,17,0,0,1,91.4919488157188
25,22,6,18,0,0,0,81.99802034020249
24,22,2,3,0,0,0,74.24632775875004
27,27,6,14,1,0,1,90.52710577707806
26,26,7,21,0,0,1,94.13272274891432
17,25,7,24,0,0,1,85.02927723377469
41,18,6,18,0,1,0,96.92375517629137
32,12,4,13,1,0,1,92.32922905492808
23,24,2,13,1,1,0,79.44904725234316
24,22,9,26,0,0,1,92.8625282285332
27,21,3,16,0,0,1,90.0211758492608
14,20,4,18,0,0,0,71.4210053490971
39,27,6,14,0,0,1,102.0085779427048
15,27,8,18,1,0,0,75.95420194657795
19,22,3,7,1,0,0,73.61990866670229
16,23,5,16,1,1,1,81.94377186879514
14,25,6,19,0,1,0,74.32525213497338
13,17,7,13,0,1,1,74.59644110925728
34,30,3,29,1,0,1,103.52074163732964
26,25,8,21,1,0,0,85.90236628567682
19,29,5,12,1,0,0,75.57478317896235
31,25,5,13,1,0,0,87.59558035802269
43,30,11,23,0,1,1,113.2421657477307
25,24,3,14,0,1,1,88.66452660581268
16,24,4,20,0,1,1,82.55663142597672
11,32,6,14,0,0,1,77.24878848611398
38,19,8,12,0,1,0,93.35532764240304
30,29,5,19,0,0,0,89.69727839491708
37,21,6,10,0,1,1,99.25440390873996
18,25,7,13,0,1,1,81.47812288181701
29,29,4,8,1,0,0,85.12195399661744
5,25,10,14,1,0,0,64.5571776696068
45,26,11,22,0,1,1,114.43181926169991
26,25,5,22,0,0,0,84.66640306274947
46,27,7,14,0,0,1,110.08094551117549
19,26,3,21,1,0,1,86.28091161719803
28,27,5,17,1,0,1,93.25293949259446
30,22,6,10,0,0,0,85.09728470646421
18,23,6,22,0,0,0,76.45107916808442
23,23,6,24,1,1,1,92.14047051013884
11,27,5,18,0,1,0,69.58951584725034
14,33,4,12,0,1,1,79.86175588340069
7,27,8,19,0,1,1,74.74797755796307
26,33,6,15,1,0,0,84.98017857469428
19,17,5,21,0,1,0,76.79721426751453
32,19,4,14,1,1,1,96.39888996558992
40,30,5,12,1,1,0,96.9990818718194
32,21,5,16,1,0,0,87.33681819161795
32,23,10,17,0,0,0,92.12926367737444
28,20,4,18,0,0,1,92.07201799044796
29,23,6,22,0,0,0,86.7723681329023
28,24,2,8,0,0,1,89.13254637638342
38,17,5,21,0,0,1,101.18198317054772
42,20,0,9,0,0,1,101.89618088365862
31,25,5,14,0,0,0,88.10180763635289
30,19,5,12,0,0,1,91.77815887584306
32,29,5,16,0,1,0,92.73894311109534
18,15,3,24,0,1,1,82.35195961925653
38,23,4,9,1,1,1,101.44573118110524
15,20,4,13,0,1,1,76.39528402156037
22,25,3,15,1,0,0,78.6329407782691
25,22,6,23,1,0,0,86.2613563379333
38,25,9,19,1,0,0,98.66368397483063
32,19,7,13,1,1,1,96.46922204424511
20,20,1,22,0,0,0,76.88645663509077
32,16,7,15,1,0,0,87.58908711537005
23,18,3,2,1,0,1,81.65786797171538
6,24,4,15,0,0,0,62.76485167402341
18,18,5,17,0,0,0,75.48154437583241
28,25,6,12,0,0,1,90.82406559400332
9,32,9,15,0,0,0,68.5228062307263
13,19,5,20,0,0,0,70.21236489819059
21,19,5,15,0,0,1,84.97540313662107
25,22,7,15,1,0,0,82.8168522604536
22,24,7,16,0,0,0,79.89674599683397
4,21,5,20,0,1,1,71.02919965428723
22,27,8,21,0,0,1,90.25650723114984
30,24,4,14,0,0,0,84.66928659770447
26,29,2,10,0,1,0,82.72781371784357
30,25,6,18,0,1,0,87.97946366295562
23,23,6,16,0,0,1,87.01296922670534
22,26,3,14,0,1,0,79.46710582631337
29,26,4,19,1,0,1,94.96883690477064
12,22,3,16,0,0,0,67.57623835571239
21,14,5,9,0,0,1,80.09528186205549
12,17,5,10,1,0,1,74.25436086305935
26,25,3,13,0,0,1,87.84984648952039
19,16,4,18,0,1,0,76.13804871898353
32,20,6,13,0,0,0,86.80974524241704
33,30,5,14,1,1,1,98.91892195565616
24,22,4,17,0,1,0,81.32757304893627
38,22,4,13,0,0,0,92.61526042655692
10,24,7,15,1,0,1,76.20771129386026
15,19,7,11,0,0,1,77.16511584652636
38,27,3,12,1,0,0,93.95708388581072
15,18,5,14,0,0,1,79.2625574172414
9,22,3,13,0,1,1,71.81598171386152
23,26,5,15,0,1,1,88.16311760627275
24,29,5,8,0,0,0,78.28013908912668
21,27,10,17,0,0,1,90.12524756635888
14,24,4,17,0,0,1,78.46190906884753
16,31,6,14,0,0,1,82.42875533281936
30,25,3,17,0,0,1,93.78079170863668
28,25,7,17,0,1,1,94.68202636868754
17,30,6,9,0,1,0,73.18875016025304
34,21,7,18,0,0,1,98.0146519595224
19,23,6,20,0,1,1,84.1663181521603
32,26,8,11,0,1,0,88.6812683826663
35,28,10,19,0,1,1,104.5279255236662
15,26,6,18,0,0,1,81.43877666376825
21,29,8,15,0,1,0,83.0271840933306
23,28,5,5,0,0,0,78.39801815271103
21,22,7,12,1,1,1,86.05280240791376
28,20,7,20,1,0,0,88.12344658918323
21,27,8,18,1,0,0,81.86329974407418
32,24,8,19,0,0,0,91.7007778797552
7,24,7,21,1,1,0,69.6211335396446
25,29,5,14,1,1,0,84.87311480545189
26,24,6,14,0,1,1,88.3447985200313
17,24,6,16,0,1,1,82.8080942877813
32,27,7,22,1,0,0,91.8832215515773
28,24,6,13,0,0,0,84.48591517547938
19,21,9,20,0,0,1,85.92137176510198
20,16,4,19,0,1,1,84.85426528268084
3,27,4,28,0,0,1,73.87063579854981
10,25,7,15,0,0,1,74.81010960000545
14,23,5,16,1,1,0,73.91749609525318
8,26,4,20,0,0,0,66.64360877858043
33,19,5,19,0,0,1,98.07740177156522
21,21,5,21,1,0,1,88.42459166639952
21,23,4,14,1,1,0,78.38839330881723
33,27,3,14,0,1,1,97.4254244467241
16,39,2,9,0,0,1,78.56176229659984
32,27,6,19,0,0,1,97.95435910653364
34,19,4,13,0,1,1,95.85368280618968
12,19,6,16,1,0,0,70.95517019556164
13,21,5,19,0,0,0,70.79780560097369
25,24,6,24,1,0,0,84.27079117835001
27,24,5,15,0,1,1,92.34853859911078
18,22,4,13,0,1,0,73.73558577944442
30,27,6,14,0,1,0,88.27705011305015
46,25,7,17,0,0,1,110.3068963375293
22,16,6,15,0,0,1,84.05621919113364
59,30,4,25,0,1,1,126.5190491781494
30,27,6,21,1,0,1,97.35447906403208
38,22,4,13,0,1,1,99.75848766770751
17,24,5,16,0,1,1,81.63802939033692
23,25,3,12,0,0,0,77.81195871876119
19,17,7,14,0,0,0,75.70293068884422
37,24,4,12,0,0,0,91.84595792276434
38,25,3,15,0,0,1,101.12795160473988
13,25,8,13,1,0,0,70.67542065427286
3,24,7,18,0,0,1,69.35727828724818
29,23,6,21,1,0,0,88.41434663807149
19,30,10,12,1,1,1,86.61001693489072
32,22,4,20,0,0,0,91.36418016165253
33,26,10,16,0,0,0,90.2609907244605
43,28,6,11,0,0,0,100.17020473006616
20,26,7,7,1,0,0,76.34949146954547
36,21,5,14,1,0,1,98.95527521147248
23,27,6,11,0,0,1,85.64882569634442
24,23,7,24,0,0,1,90.76381752020453
21,25,11,4,0,1,0,76.72250332843969
31,14,4,16,0,1,0,85.31948873686432
26,24,6,14,0,0,1,91.02755334398286
37,25,2,11,1,0,1,99.28169418683376
23,22,3,11,0,0,1,83.29760289869252
36,20,2,15,0,0,0,89.0300564345372
8,28,7,17,0,0,0,67.33270023318978
29,26,6,8,1,0,1,90.8936789653002
16,26,7,12,0,1,0,73.22968351806034
24,23,9,12,1,0,0,83.63605181875035
10,26,5,10,0,1,0,63.06667772646615
22,22,7,24,0,0,1,88.75276736326768
30,29,5,11,1,0,0,88.36074702351988
20,25,5,15,0,0,0,78.58222038437535
26,19,6,10,0,0,1,87.48912460794864
34,22,5,13,1,0,0,87.75581291993402
36,25,3,19,1,0,1,101.5162939990404
17,25,4,16,0,0,0,76.27134747970153
18,20,5,7,0,1,1,79.52040019966977
31,19,6,25,0,0,1,96.38563987229696
27,20,8,10,0,0,1,90.28801759704716
20,25,6,9,1,0,1,83.6683844360925
26,20,8,8,0,0,1,87.71686499377668
12,18,2,18,1,0,0,67.44702116491288
12,20,5,13,0,1,0,69.77140067461323
30,24,4,15,1,1,1,93.61588257661184
38,29,5,17,1,0,0,95.77350321110868
40,22,4,11,1,0,1,102.0519768229218
28,23,1,22,0,0,0,87.73522808595949
22,18,2,12,1,0,0,75.25626859356805
30,30,10,22,1,0,0,92.10790282346892
14,32,7,11,0,0,0,74.31473899226357
38,25,7,12,0,0,1,100.90354926800045
31,24,5,13,1,0,1,95.2457992141347
43,23,3,19,1,1,1,108.27567106845636
26,30,5,10,0,0,1,89.96723305635939
16,24,9,17,0,0,1,83.04226230849207
29,22,9,21,0,1,0,87.63627109184928
29,24,6,14,0,1,1,92.61377285915964
37,23,6,25,1,1,0,97.98261316069085
34,25,5,12,0,1,0,90.1206735598477
31,20,7,16,0,0,1,97.0370392695797
20,26,9,22,0,0,0,81.46570287024271
25,28,3,19,0,0,0,84.59238773999213
28,24,4,17,1,0,1,90.89738950803502
38,24,5,17,0,1,1,103.35218154954178
33,24,7,21,1,0,1,102.76719098686353
10,24,9,16,1,0,1,79.34103405699845
22,26,6,19,1,0,0,81.34555022442804
19,25,7,21,0,0,1,87.16353428195139
7,21,8,10,0,0,1,71.19416615605601
23,22,7,16,0,0,0,81.27217002447011
37,21,5,19,0,0,0,94.45906878476572
18,24,7,7,1,0,0,75.11757123054257
20,25,7,17,1,1,1,88.45194286334834
24,22,7,16,0,0,0,80.65037044214968
32,23,6,21,0,0,0,91.59404692402435
38,22,5,14,1,0,0,94.14712082175345
33,23,9,15,1,0,1,98.83588931999664
4,18,12,12,0,1,1,70.88873869754
12,23,8,24,1,1,0,74.96025502325205
25,20,9,13,1,0,1,88.89635317304909
31,23,6,9,0,1,0,86.4315008346939
27,32,3,18,1,0,0,85.71516342998486
10,23,12,12,1,0,1,78.29149156498684
37,28,6,12,0,0,0,94.10050898272424
34,24,8,20,0,0,0,93.73017896094686
20,24,10,16,0,0,1,85.59686728512828
28,26,7,6,1,1,1,90.84015293822546
28,29,6,17,0,1,1,94.22141696666792
21,24,5,13,0,0,1,83.37933755853112
49,23,4,8,0,1,0,101.501030457432
22,18,5,11,0,0,1,83.87204457390581
38,26,5,9,0,0,1,101.61223848252118
30,22,6,18,1,0,0,88.24684555084869
14,23,7,20,1,1,1,83.0584404270222
31,26,8,15,0,1,0,91.8042520540792
21,24,7,21,0,0,1,90.1833033989756
19,28,6,11,0,0,0,76.45748286439473
6,23,3,20,0,0,0,63.86054423031212
16,19,3,9,0,1,1,75.33196990420299
26,27,5,16,0,1,1,90.92255850931907
29,27,8,12,1,0,0,86.42492555608928
18,25,5,16,0,0,1,83.41433544278695
7,27,4,20,1,0,1,76.67170440978718
23,18,7,9,1,0,0,78.119716145709
14,30,5,12,1,0,0,72.89425772109158
16,20,7,10,0,0,0,71.52990707436093
21,30,5,22,0,1,1,88.91995632667452
9,35,8,11,0,1,1,76.610001386966
37,30,3,19,0,0,1,102.91184246241905
19,31,8,5,0,1,1,82.9716818217388
47,29,3,13,0,0,0,101.9522355512363
33,24,6,15,1,1,1,96.55299888954
45,25,5,11,1,1,0,101.45601119510988
18,21,3,12,0,0,1,80.39125689681633
32,23,2,10,0,0,1,92.6128258216374
32,23,5,20,0,0,0,90.0199255065825
32,26,3,13,1,0,0,89.2178699154451
17,19,5,17,0,1,0,76.70390987351047
23,29,4,20,1,1,1,92.44604445480668
28,28,7,20,0,1,0,87.90632164678038
21,25,7,3,0,0,1,81.53057985505139
15,25,3,16,1,0,1,79.11979043530236
3,23,4,18,0,1,0,61.41019124844112
27,16,7,16,0,0,1,88.77237763584174
28,24,7,17,0,0,1,94.36138102503416
36,24,9,11,1,1,1,102.30109342416884
33,23,6,14,1,0,1,97.6210399139898
19,28,4,13,0,1,1,86.49080993205402
36,26,4,17,1,0,0,94.20650893215934
25,34,5,20,1,0,0,86.22698777030098
32,21,7,12,0,0,0,89.15391736475651
24,25,2,22,1,0,1,89.7713068946099
20,21,6,11,0,0,1,80.8818896811673
21,32,5,18,0,0,1,88.76360049826425
12,25,8,15,1,1,1,79.80588295317928
35,19,5,17,0,1,1,99.85582742335846
19,25,7,15,0,0,1,84.82564370391279
47,24,9,15,0,0,1,111.64631926749377
14,29,3,17,1,0,0,74.02073634024917
23,19,10,15,1,1,0,82.45246133109303
26,25,7,13,0,0,1,90.58611204261128
12,28,5,17,0,0,1,77.35398869392536
25,30,7,14,0,0,0,82.97859933275173
23,20,8,19,0,0,1,89.31479823667912
20,23,7,17,1,0,1,85.8975873090669
29,26,6,11,1,0,1,92.78634051583616
4,29,7,25,1,0,1,76.23168702952745
24,25,1,10,0,0,1,83.26704286795388
38,27,4,15,0,0,0,94.03079026682408
31,22,2,19,1,1,0,88.10552045314007
24,20,6,15,0,1,0,81.0405805492377
29,24,6,6,0,0,1,91.29278966011738
2,23,5,19,0,0,1,67.58902459534184
46,29,8,17,0,0,1,112.16336614713832
27,30,7,17,0,0,0,87.60363144155421
31,23,6,9,0,0,0,86.60949804284199
22,27,8,22,0,0,1,90.62796917917451
35,24,9,8,0,0,0,90.55317899502106
23,18,8,14,0,1,1,87.3401538748294
61,23,5,13,1,0,0,116.64501726787108
29,22,5,14,0,0,0,85.20136369515777
42,19,7,16,0,1,0,100.40461271634496
37,19,3,15,0,0,0,92.49890173646098
32,20,4,15,0,1,0,88.30736934055538
14,20,6,16,0,0,0,72.27737024295801
38,24,5,13,0,0,0,92.71542447513714
32,23,5,18,1,1,0,90.0514628544904
26,25,8,6,1,1,1,90.58980667616044
9,20,6,20,0,1,0,70.5592071807199
9,20,4,9,0,0,0,64.89470008620175
6,16,6,9,0,1,0,59.11959586475479
18,31,4,27,0,1,1,90.22853354061309
40,24,4,16,0,0,0,96.68856825719229
25,31,6,18,1,0,1,92.46044643074484
26,20,5,12,0,1,0,81.55993875151947
36,17,8,14,1,1,1,100.83716395453874
35,23,1,19,1,1,1,99.94683782879822
22,22,8,21,1,1,0,83.74059896497239
39,28,5,14,0,0,0,95.42839051703324
22,25,7,21,1,0,1,90.27075150192331
31,25,5,21,1,1,0,91.64682676214228
21,22,5,22,1,1,0,81.26537781248999
21,21,9,15,0,1,0,78.87133976853188
9,28,4,11,1,0,0,66.25619313562063
8,30,4,13,1,1,1,74.08400771286097
24,27,5,16,1,0,1,89.9178515856191
26,26,3,18,1,0,1,90.70882298806336
22,21,6,20,0,0,1,87.01608382540117
23,24,3,11,1,1,1,84.96173153657546
35,18,10,17,0,0,1,100.5420770753514
12,26,11,24,1,0,0,75.43343930931496
28,26,3,22,1,0,1,93.63332491868056
37,23,8,23,1,0,1,105.41753916031378
25,26,4,24,1,1,0,85.20789880595221
14,29,4,16,1,1,0,73.73716452228635
53,23,5,21,0,1,0,111.05828027933288
9,25,6,5,1,0,0,64.06961243112595
15,27,6,19,0,0,1,83.260647787609
31,24,0,20,0,0,1,94.23983812719374
17,21,6,23,0,0,0,76.15057399262759
19,28,6,11,0,1,0,76.31444814920795
28,26,8,19,0,0,0,87.1660419105657
20,27,11,19,0,0,0,81.08369937288656
26,25,7,14,1,0,0,83.63114202619573
20,23,6,13,0,1,1,84.06936657121753
28,30,4,15,0,1,1,93.7320459289656
25,21,5,9,1,1,1,87.41505823749787
41,25,5,22,1,1,1,107.817328512021
33,24,7,15,0,1,0,91.35075123490428
15,23,6,13,1,0,0,72.33993134847212
24,25,8,9,0,0,1,87.96265986260416
16,19,8,26,1,1,1,85.85622057567495
13,19,1,14,0,1,0,66.75209018759382
21,24,9,25,0,0,1,90.7920815038665
36,17,2,10,0,0,0,88.30385827432052
30,25,6,7,0,1,0,84.26011982752156
5,17,6,11,0,0,1,68.1941527944441
29,22,7,16,1,0,0,85.57874246941918
37,26,4,15,1,0,1,101.70895028870478
15,27,7,19,0,0,0,75.18080732407812
15,34,2,12,1,0,0,74.76104643885297
4,25,7,12,0,0,1,68.73446377073448
3,22,6,20,0,0,1,68.38203552836598
15,27,5,12,0,0,0,70.55437396893863
25,23,4,10,0,0,1,86.50833895836148
21,25,4,20,1,1,1,89.39642753640071
16,23,4,20,0,1,1,82.33710944153485
12,20,3,15,0,0,0,66.01226340804511
27,20,7,10,0,1,0,81.38135703625736
21,22,5,24,0,1,0,83.22507377847953
25,26,7,20,0,0,1,93.20117474417388
44,30,2,21,0,0,1,109.49086891160611
29,20,3,19,0,1,0,85.22881327237681
19,30,5,18,0,0,0,78.05180498503407
24,24,4,12,0,1,0,78.70929590458364
37,19,7,9,1,0,0,92.75732152026232
20,24,6,14,0,0,0,76.31085287389503
19,20,9,18,0,0,0,77.96411227307367
12,25,6,17,0,1,0,73.0916037484889
38,22,6,15,1,1,0,96.51154216516636
36,20,2,19,0,1,1,99.4973791953527
30,14,5,14,0,0,0,85.19905986306875
16,21,7,12,1,1,1,81.02575149092881
39,27,5,18,1,1,0,98.27031332412224
32,21,4,22,1,0,0,89.2876518694871
15,21,10,9,1,0,0,71.8363383113951
14,27,4,9,0,1,0,69.33922317063414
41,24,3,16,1,0,1,104.29082391920632
14,18,5,19,1,0,1,80.19282536598188
-17,21,4,18,0,1,1,50.94063923578344
14,20,7,21,0,1,1,83.12702378414465
22,19,6,17,0,0,1,86.11648108125353
21,23,4,19,0,1,0,78.19205805904578
31,26,7,14,1,0,0,88.99416304815821
17,27,3,21,0,0,0,76.17697237171731
27,21,9,14,0,0,1,91.63598273899171
13,24,5,21,1,0,0,73.3356579002991
5,23,4,13,0,0,1,70.30349584282902
8,24,5,14,0,1,1,75.91703629375188
29,16,2,11,1,0,0,82.14056873483483
33,17,6,18,0,0,0,88.8315117334309
30,30,7,19,1,0,0,91.78237201512624
27,23,4,10,1,0,0,83.15621916760104
12,17,6,16,0,0,1,75.63520601604364
30,27,11,14,0,0,1,97.59313425498527
21,25,9,20,1,0,1,89.14501129957561
18,24,6,10,0,0,0,72.00333325910458
20,28,4,14,0,0,0,78.45921318432875
3,16,7,12,1,1,1,67.41865547289149
24,26,9,14,0,0,0,82.37380490118754
21,20,6,14,0,0,0,75.73427715423544
29,23,8,18,0,0,1,95.20832280757978
19,25,5,14,0,0,0,74.30889480903795
35,24,7,11,0,0,1,98.25383993228849
9,15,7,12,0,0,1,71.24741742628899
