individual_age,education_years,previous_month_income,dependents_count,work_experience_years,gender,rural_residence,universal_basic_income_beneficiary,current_month_income
35,15,9,6,0,0,1,1,48.499974387259904
30,23,4,9,4,0,1,0,32.76487392477272
29,27,10,15,2,0,1,0,25.78523697553886
41,19,10,12,4,0,0,1,40.781160407530365
27,18,11,9,5,1,0,0,35.00703074874514
25,21,12,10,4,1,0,1,37.58960879356926
33,24,8,21,1,0,1,0,25.732476882949232
30,22,11,19,4,1,0,1,32.36775476865256
33,15,7,20,2,1,1,1,38.82322926764072
38,15,10,12,4,1,0,0,40.24847590334729
33,15,4,12,3,0,1,1,43.95077165643313
31,18,8,15,4,1,0,0,31.866504322948533
9,23,6,5,2,1,0,1,33.25608305844345
30,31,15,16,2,0,1,0,25.08570128533169
25,18,11,19,4,1,0,1,34.09548736702106
31,21,12,15,8,0,1,0,30.450274912567217
27,29,13,7,2,1,1,1,35.36281039370908
17,18,13,7,1,1,1,0,37.55991147517568
33,11,14,0,6,1,0,0,50.28778417652127
35,22,12,16,2,0,1,1,35.32681952801715
33,24,5,7,1,0,0,1,37.54867347423459
34,19,7,13,2,0,0,1,39.54972940669843
23,10,4,17,7,0,1,0,37.41926159084736
32,30,9,19,5,0,1,0,22.286801938456406
29,16,14,8,4,0,1,0,40.09661083849198
22,24,11,9,4,0,1,0,29.256900890678644
34,15,10,15,2,1,0,1,41.89407733198502
33,11,10,12,4,0,1,0,39.7983404165363
36,17,10,18,2,1,0,1,37.852912395670415
33,21,11,11,2,0,0,0,32.08482893108461
37,28,7,9,2,1,0,1,35.42352303855493
30,17,12,13,4,1,1,0,36.34791353225095
31,20,14,25,2,1,0,0,25.737828047145957
31,21,6,23,1,0,1,1,29.720018682559047
27,25,11,14,6,1,0,0,27.13094116498095
28,26,11,18,2,0,1,1,30.3977801131492
24,29,11,19,4,1,1,0,19.60414124838284
35,21,6,8,5,0,1,0,35.62386810722241
29,17,6,16,6,1,0,0,31.50560327780589
39,20,10,17,5,0,0,1,36.26703248204084
32,27,12,14,8,1,0,0,25.98441243648749
33,23,9,7,3,1,1,0,33.11216238021998
24,24,12,18,2,0,0,0,26.281800926889986
30,26,7,8,4,1,0,0,29.990245853776653
25,29,10,11,0,0,1,1,31.04900626866264
29,25,6,17,2,0,0,1,31.70806979588203
36,15,8,8,2,0,0,1,45.56742559402509
29,14,7,11,2,1,1,1,44.81315983025859
37,19,14,17,5,1,1,0,32.16777402935963
33,4,3,10,5,0,1,0,47.06023238199212
31,24,8,11,4,1,0,0,30.90198387178523
35,18,7,9,4,0,1,0,38.68873393661416
15,17,14,8,3,0,0,1,39.88275062876569
22,21,11,6,1,0,0,1,38.46043197368753
37,25,8,14,5,1,1,0,29.17010774930406
25,18,3,6,0,1,0,1,40.758437809179895
29,23,11,15,6,1,1,0,28.64781186853645
13,2,8,4,3,0,0,1,51.78274185200503
27,34,17,12,2,1,1,0,24.47242987938574
28,17,9,11,2,0,1,1,41.42540117053014
22,11,11,5,1,1,0,0,44.305805726754045
29,27,7,23,2,0,1,1,25.65231462232195
35,28,6,11,4,1,1,1,32.007619258734
29,24,7,12,4,1,0,0,28.54688148752998
26,18,8,20,6,0,0,1,33.626369313656575
16,23,9,14,8,0,0,1,30.594947644056944
11,22,14,18,2,1,0,1,27.628599683501758
28,21,17,20,6,1,1,0,28.55651735759325
22,13,15,19,3,0,0,0,33.913319726252894
28,11,8,22,0,1,0,1,38.97969627122501
27,20,7,17,0,0,1,1,35.20566454641268
39,24,13,21,1,1,1,1,32.343471409804124
35,21,7,15,5,0,0,0,32.161389369745486
28,19,8,8,5,0,1,1,41.201072368931456
40,14,10,16,3,1,1,0,37.27975807125915
24,28,8,20,4,0,0,1,25.94226125239499
38,18,13,7,5,0,1,1,46.07981066727076
32,28,9,0,5,1,1,0,36.44205478229533
40,12,12,14,5,1,0,0,41.08842395322109
31,14,9,8,1,0,1,1,46.11298762976651
33,11,9,22,3,0,1,1,39.042483576718624
36,19,7,9,2,0,1,0,37.9480327978375
31,24,7,9,4,1,0,1,35.12510601950628
18,28,15,14,2,0,1,0,25.63454938996387
32,26,11,18,5,1,1,0,26.282252713675128
22,10,7,17,4,0,0,0,36.6848477171749
22,21,9,14,4,0,0,0,28.24077633716892
12,17,8,13,5,0,0,0,30.166957714733343
23,24,11,17,6,1,0,0,26.75946313127337
30,12,8,8,0,1,0,1,46.53644254456168
28,12,11,9,6,1,1,1,47.75411830146075
39,19,10,7,7,0,0,0,38.96779352424656
30,15,10,13,3,0,1,0,35.539684949112875
32,16,13,17,5,0,0,1,36.34358928394826
31,20,13,16,4,0,1,0,30.75000271851278
33,25,16,4,4,0,0,0,35.510414379835865
33,16,8,15,3,0,0,1,39.24709309548359
40,12,7,3,2,1,1,0,47.9107383197287
31,13,7,11,6,0,1,0,39.92271288753199
36,25,9,18,5,0,0,1,31.79525274591712
39,22,10,14,5,1,0,0,33.45424806238498
32,14,7,29,3,0,0,1,30.345914864925884
27,11,8,19,2,1,1,0,34.31437591301679
38,25,5,14,1,0,0,1,32.13326199984512
25,19,11,13,4,0,0,0,33.25185155168149
26,22,11,11,4,0,0,0,30.56849190940173
30,32,1,9,2,1,0,0,24.91054621275456
38,14,10,14,4,1,1,1,45.93300985967639
22,26,10,17,3,1,0,0,21.493539404665853
42,22,9,21,2,0,1,1,34.84491622049319
22,19,9,20,5,0,1,0,27.939185347697236
22,19,13,13,4,0,0,0,32.838882401074926
27,22,9,0,2,0,0,1,41.12033349383805
33,27,8,14,2,1,0,1,31.49277346313337
23,24,11,13,3,1,1,0,28.718433653739705
29,17,11,10,5,1,1,0,35.587465441600145
29,34,6,16,3,1,1,1,23.99258425458754
23,18,8,7,2,0,1,0,36.00807511544642
32,19,6,11,4,1,0,1,39.38411631872401
35,14,10,7,4,0,0,1,46.35148756362095
29,26,11,9,5,1,0,0,30.014103918211568
24,16,14,0,4,0,0,0,41.88118798135558
37,24,12,6,4,0,0,1,40.12961844330994
17,22,13,14,4,0,1,0,28.6528614474606
34,14,17,15,2,1,1,1,44.210376492350136
22,20,10,14,6,0,0,0,30.41682979985182
37,17,7,16,5,0,0,0,35.002907103754694
24,17,7,16,2,0,0,1,37.17152278967984
29,21,11,12,3,0,1,0,32.89909605580535
18,18,9,24,6,0,1,0,25.40289711033804
22,8,11,8,4,1,1,0,44.43278244642438
44,23,10,10,2,0,1,0,35.069863815497534
28,15,8,14,4,0,1,1,40.0213110154573
22,30,10,9,0,0,0,0,23.769193589416357
30,13,11,24,3,1,0,0,30.03094331086229
26,17,15,17,4,0,1,0,32.89816065807153
25,11,7,16,5,1,0,0,36.52694163099317
28,23,8,17,7,0,1,0,27.09678192527741
27,24,12,16,3,0,0,1,32.48318176808158
29,9,10,16,3,0,1,1,44.63084648752025
17,19,8,23,4,1,1,0,25.28342204381469
28,22,12,17,4,0,1,0,28.61916551205863
29,29,16,15,4,0,1,0,26.2507295555128
38,19,4,15,4,0,0,1,37.39234107562854
38,18,10,12,6,1,1,0,37.790130177908
24,25,8,12,5,0,0,0,27.491542309330555
41,28,3,4,3,1,0,1,37.82232848076285
16,20,12,11,4,0,0,0,30.435780352414383
28,19,7,11,2,0,0,1,38.812466094386565
49,20,5,16,6,1,0,1,38.68642162151631
23,20,7,23,4,0,1,0,23.831400701235054
41,17,11,12,2,0,1,1,43.94628888547598
20,18,12,13,0,0,0,0,32.57878929118716
38,21,7,19,3,1,0,0,29.864273974257262
15,22,12,5,3,0,1,0,33.06059339267706
39,6,7,9,6,0,0,1,52.14744877327152
37,22,9,16,6,0,0,0,30.45685003122686
35,15,9,16,3,0,0,1,39.12000188473667
25,16,13,1,1,1,0,0,41.99139642636204
30,18,8,16,4,1,0,0,31.50936391140809
29,8,6,14,5,0,0,1,44.871077600758255
36,17,10,20,5,0,0,0,32.2190670367979
45,12,8,10,5,0,1,1,48.21344726280856
18,12,8,21,3,0,0,0,32.003413406277176
30,24,12,8,3,0,0,1,39.023132432438
43,20,12,19,3,1,1,1,38.29218992504188
55,22,7,16,1,0,0,1,40.04774889337979
32,18,12,15,4,0,0,1,39.86813135328356
31,19,7,10,3,0,1,0,34.84091565293194
22,19,9,25,4,1,1,0,24.37240459013001
40,20,3,0,4,1,0,1,44.71345361488395
30,7,8,9,3,1,1,0,44.344102853962646
28,24,4,11,6,1,0,1,34.296899898556745
28,13,9,14,3,1,0,0,37.75836420931907
33,19,12,10,-1,1,0,1,42.03004457343441
38,15,9,26,7,1,1,0,30.92395940877365
29,27,12,7,4,1,1,0,31.436359390350624
37,22,11,16,6,1,1,0,31.26487735391025
20,20,14,17,4,0,0,1,33.08643947735219
26,23,11,13,4,0,1,0,30.892604241554185
19,24,12,14,3,0,0,0,27.43130386821881
45,18,10,14,3,1,0,1,41.93045901263249
17,26,10,8,5,1,0,0,28.20972442020097
42,11,10,9,2,1,0,1,50.753098579700136
30,26,9,18,5,0,0,1,30.31725982910163
33,23,10,9,4,1,0,1,37.40891041702428
45,18,8,13,2,1,1,0,37.70680553596775
39,20,6,20,1,1,1,1,36.57682269616815
32,19,8,12,4,0,1,0,35.987274947278195
29,22,12,19,4,0,0,1,33.41125686081954
22,20,8,12,1,1,1,0,31.592400738799878
31,12,8,12,5,0,1,0,40.02446144967492
40,26,10,3,3,1,1,1,40.26193296625718
32,23,13,18,6,0,0,1,32.10593815634284
27,17,7,20,2,0,1,0,29.457261062090517
32,22,12,11,6,0,1,1,37.96767195251272
36,23,7,13,4,1,1,1,35.79443896336706
18,23,6,8,6,1,1,0,30.70835994034758
11,22,9,12,6,0,0,1,32.65382993427259
35,18,9,12,5,1,1,1,41.69587438414474
5,18,11,11,2,1,0,0,30.46422310330116
27,22,6,8,3,1,1,1,40.05032301293581
22,21,11,13,2,0,1,0,31.814352439383907
21,20,7,19,6,0,1,1,33.22593635653903
46,15,9,7,5,1,1,0,44.65787578598309
31,18,16,10,4,0,1,0,38.35904950521644
13,15,9,19,6,1,0,1,33.54719289325112
42,23,5,10,3,1,0,0,32.5666560524617
25,20,11,9,5,0,1,0,33.701817556588445
24,22,8,15,4,1,1,0,30.00367167329381
24,26,16,16,4,0,0,1,28.865732549470405
29,26,4,11,2,0,0,1,31.42177756193382
11,21,10,13,5,0,1,0,28.69019233032973
26,17,8,11,3,0,0,1,40.45960750928936
33,24,15,14,4,1,1,1,37.54772663204724
39,19,8,7,4,1,1,1,44.53174468652174
24,21,13,-1,4,0,0,1,44.713555413804094
32,8,6,13,3,0,1,0,41.42126353758843
31,18,14,7,6,1,0,0,37.42190584796997
9,16,11,12,6,1,0,0,32.56099523281021
42,24,6,18,1,1,1,1,33.51104328902918
24,17,7,4,2,0,1,1,44.36937707282656
24,25,8,12,4,1,0,1,32.23286449382354
18,17,8,10,6,1,1,0,34.42970192369779
35,20,11,14,3,0,0,1,37.68744477824853
22,16,1,16,0,1,0,1,35.43609389025104
32,13,11,19,7,0,1,1,39.48190734074021
13,20,12,18,4,1,0,0,25.76509191108389
20,27,4,4,3,0,0,0,29.569880471861637
28,12,11,11,5,1,0,1,45.13968622975869
34,13,16,10,2,1,0,0,41.34191661658615
32,22,11,17,3,1,0,1,34.948323030566286
26,19,7,9,5,1,0,1,39.71462758358915
23,19,8,17,3,0,1,1,34.568290041014926
28,25,13,14,4,0,1,1,31.820874378436542
30,19,9,19,2,0,1,1,33.7358988921923
34,17,9,17,1,0,0,1,36.72923356174819
30,14,12,13,4,1,0,0,38.64784508249448
39,22,12,20,4,0,0,0,28.42625825601604
30,13,9,15,5,0,1,0,37.47366973399806
39,16,12,9,3,0,1,1,47.14491113872652
24,29,4,2,5,0,1,0,30.696049053513008
25,28,13,12,4,1,0,1,31.311032693329377
31,20,11,19,3,1,1,0,29.12191760059336
35,19,7,5,2,1,0,1,42.16978865328589
17,23,11,13,1,1,0,1,32.0622127890499
39,25,10,10,4,1,0,0,32.35245044212948
30,24,11,7,5,1,1,0,34.20752585301948
18,19,6,7,4,1,0,1,38.16835596952849
33,6,7,13,3,0,0,1,48.38981569173063
25,10,9,0,5,1,1,0,47.06646273029413
23,17,6,15,7,0,0,1,36.26876017505941
16,18,12,13,6,1,0,1,36.49453768552453
37,18,15,19,5,1,0,1,37.9593163663811
23,20,9,10,7,0,0,1,37.06761002495409
14,25,8,10,4,0,0,1,31.825565294975128
21,17,10,22,3,0,0,1,33.33349101443012
26,16,11,9,2,1,1,1,42.42885691191716
28,26,13,11,4,0,0,1,35.51388688282673
26,21,14,14,4,1,1,0,31.01139813691653
39,29,4,13,4,0,0,1,28.783492660296396
23,29,10,16,4,0,1,0,23.27479318490329
17,17,3,8,2,0,0,1,38.38800813650381
30,27,8,10,5,0,1,1,33.43683749561172
30,19,15,12,8,1,0,0,34.18792875158422
27,32,14,11,3,1,0,1,29.009780618467406
20,16,6,19,5,1,0,1,32.43273815958638
13,24,9,10,6,0,0,0,27.461283623585903
22,18,12,15,5,1,1,0,32.313393731731814
40,9,7,12,1,0,0,1,47.83004696156018
20,23,5,15,1,1,0,1,33.19658481178014
25,18,8,10,2,0,0,0,34.63713149898072
28,15,10,18,6,0,1,0,33.59212811198836
28,20,7,11,5,1,0,0,32.4078528225912
30,20,7,13,2,0,1,1,38.7977709209899
17,12,9,5,4,1,1,0,42.0499377594868
25,20,4,10,5,0,1,0,34.04938428338308
25,17,7,13,1,0,0,1,37.49877929733088
30,21,16,18,5,0,0,1,33.49532892780474
33,19,9,26,6,0,0,0,26.683101348920307
28,24,5,15,4,0,0,1,33.08114106986565
42,19,12,13,2,1,0,0,36.511356577381726
28,29,10,16,1,1,1,1,30.008098469114085
22,21,11,12,5,1,1,0,30.82176783901061
29,17,12,13,2,0,1,0,37.14210112511813
25,18,13,21,5,0,0,0,29.205588054177863
39,9,7,9,4,1,1,1,50.48868362856725
38,22,7,15,3,0,0,1,35.58753022761842
28,32,11,19,6,0,1,0,19.537571381570054
24,18,12,9,5,0,1,1,40.50711494161806
28,24,11,17,3,0,0,1,32.29055130529021
26,25,10,9,4,1,1,1,36.52458319079735
27,20,12,18,2,0,0,1,33.811818923937615
37,14,10,18,6,1,0,0,33.1455088602363
25,11,10,21,3,0,1,0,35.56995779286189
36,25,12,12,3,1,0,1,33.43738191129757
33,20,10,18,3,1,1,1,34.330825853339206
28,14,7,10,3,1,0,1,45.623402454628334
27,20,9,7,2,0,0,0,35.671101595529024
43,26,14,11,4,1,0,1,37.77299397732976
34,15,7,10,2,1,0,0,37.10269282636793
44,21,8,13,4,0,1,1,41.44279631975407
15,19,7,4,5,1,1,0,36.186081753481176
36,11,11,14,2,0,1,0,42.83143433471546
37,26,12,16,5,0,1,0,29.120044359191155
27,21,9,10,5,1,1,0,34.15975315822592
27,20,19,11,4,0,0,0,34.45140703457588
35,23,11,13,4,0,0,1,34.48412743664484
36,11,8,11,5,1,1,1,47.23123104071117
38,30,10,9,2,1,1,1,36.61939272687633
37,14,10,27,5,0,0,1,35.757864073993595
35,29,10,9,2,1,0,1,32.60418254612607
22,30,15,12,4,0,0,1,30.64695046100668
16,24,12,8,5,0,0,1,34.9521687639582
26,31,8,6,4,0,1,0,28.35964559228901
23,11,5,12,3,1,0,1,43.72968537927936
44,15,13,11,3,0,1,1,48.111442018115305
26,19,10,18,4,0,1,1,34.47651991870987
37,26,10,17,2,0,1,1,33.40460940520072
30,19,12,17,5,1,1,1,36.92228412957285
29,23,6,15,4,1,0,0,27.550808336553445
34,25,11,10,2,0,1,0,33.37450382929697
31,11,6,5,6,1,0,1,50.654945472633074
26,15,9,2,0,1,1,1,49.41588703620261
31,26,11,12,4,1,0,0,29.71177578716481
15,18,11,3,3,1,1,0,38.10613353970018
36,19,10,17,4,0,1,0,32.1450833142977
31,23,12,13,5,0,1,0,29.630656450474397
50,12,12,13,1,1,0,0,43.75828692683329
28,16,10,18,3,1,1,0,31.57190259399968
42,19,15,9,6,1,1,1,43.72606096566596
26,28,3,17,2,0,0,1,26.56609971610666
41,19,6,19,0,0,1,1,37.99658305095112
35,12,9,19,1,0,0,0,34.60578311544904
33,22,13,20,4,0,0,0,27.411988188561565
37,26,15,9,5,1,1,0,31.80434901672805
26,16,7,17,5,0,0,1,36.55633298337472
29,21,13,17,4,0,1,1,34.353346341562386
45,17,10,16,4,1,1,0,38.47790046477611
36,3,3,9,3,1,0,1,52.551411719059
35,19,7,22,2,1,1,1,36.839205912918366
27,10,10,27,5,1,0,1,36.17546782364056
33,16,7,7,4,0,1,1,43.95824053528103
35,29,7,12,0,0,1,1,32.38216284659517
21,22,11,11,3,1,1,1,35.3442728998986
22,21,10,23,5,0,0,1,28.438814119869704
18,21,13,15,1,1,1,0,29.07005613671784
31,17,10,7,4,0,0,1,43.7106806437621
24,5,10,19,4,0,1,0,39.93291921077271
31,15,9,15,6,1,0,0,34.06588558958264
23,29,7,12,3,0,0,1,29.33567846675341
12,22,1,18,1,0,0,1,28.76743910509108
39,23,12,13,1,1,0,1,37.18591441808162
30,6,12,10,5,0,0,0,45.3023008473226
43,33,9,11,3,0,1,0,26.395729097790827
37,22,10,19,4,1,1,0,29.07858844455133
35,19,15,23,3,0,1,0,29.784989313882217
40,24,9,28,5,1,0,1,26.416091428532194
26,28,11,14,5,0,0,1,29.77401933809968
35,25,13,10,1,0,0,1,36.62134164173526
22,23,17,18,6,0,1,0,26.931331330868822
45,16,10,20,2,0,0,1,38.65206895105087
25,30,8,7,1,1,0,1,32.211714107703195
49,16,5,19,5,1,0,0,35.23498163769193
29,21,7,18,3,0,0,1,34.28895614544643
43,12,14,9,0,1,1,0,46.34219092630883
24,19,12,12,5,1,0,0,34.703462698845705
19,16,11,15,1,1,1,0,34.58249829712018
35,29,7,10,3,1,0,1,31.259972994502785
