age,education_years,income,community_involvement,unemployment_duration,gender,rural_residence,social_intervention_program,life_satisfaction
26,9,16,15,3,0,1,1,72.20500293013673
27,22,9,11,8,0,1,1,73.33104011812439
30,28,8,17,4,0,0,0,67.73569493384255
25,17,7,20,5,0,0,1,72.6982831855556
32,19,8,9,4,0,1,1,64.40605306150219
27,25,11,25,1,0,0,0,75.85493930510613
36,16,9,11,5,0,1,0,53.07940623784217
26,14,14,9,5,0,1,1,71.47430645315694
28,25,5,9,4,1,0,1,66.55229672728727
28,16,13,18,4,1,0,1,76.29071931008554
20,16,10,15,6,0,1,0,69.06733905027185
26,23,11,18,4,1,0,0,71.93771481155348
48,9,12,16,2,1,0,0,45.26465056027277
43,20,1,14,4,0,0,0,44.24253990440321
25,16,10,18,6,1,1,1,76.19372619394431
30,29,12,13,5,0,1,0,72.63394512148646
31,18,6,16,1,0,0,0,57.81876896990754
41,14,9,12,1,0,0,0,48.313282326641726
24,15,12,12,0,1,0,0,64.63393104614882
40,7,9,13,5,0,0,0,44.69241419746256
28,18,7,6,2,0,1,1,61.84100295847092
26,15,11,16,6,1,0,1,73.74709950474195
25,30,14,9,2,0,1,1,82.23096654513547
24,20,5,11,5,0,0,1,66.70972866068357
36,21,7,8,5,1,0,1,61.02036591989495
27,21,6,21,3,1,0,0,65.5015551335266
47,17,4,10,2,0,0,0,36.854454785047686
36,34,6,15,1,0,0,0,62.90974728552409
22,26,14,10,3,0,0,0,74.07371847828902
16,13,10,7,4,0,1,1,71.55954504694182
23,26,8,17,4,1,0,1,81.2541654479285
36,17,6,10,1,0,1,0,46.8949067211507
23,17,13,18,4,1,1,1,79.22677421065751
31,24,11,23,6,0,0,0,73.18678159687298
24,15,9,16,3,1,0,0,62.92800294793578
28,18,11,17,0,1,0,0,62.31326361458607
41,29,7,13,4,0,0,0,58.01247363241839
21,19,9,18,5,0,0,1,77.19247843500753
34,19,13,21,4,0,0,0,66.55915044330366
43,27,7,16,3,1,0,0,55.31237817730565
23,23,13,8,3,0,0,1,77.29159546977412
41,24,7,16,6,0,0,0,55.52146445482136
31,2,8,22,3,0,0,0,49.67561560561716
27,19,10,11,0,1,1,1,68.72398729941206
36,22,13,13,4,0,0,1,70.22913177988627
14,27,5,5,5,1,0,1,78.37109975369553
34,28,6,12,4,0,1,0,60.44530551635564
32,15,9,29,1,0,1,0,64.14255515348762
27,14,10,17,5,1,0,1,70.89463982472375
37,26,11,14,2,0,1,0,62.74070889729143
30,21,8,16,2,0,1,1,70.59166616427778
33,8,5,9,1,0,0,0,43.84119729363517
12,12,10,13,3,0,1,1,77.41137863486078
22,14,8,18,3,1,1,0,66.06468567835726
34,26,5,16,5,0,1,0,61.37597645932144
19,14,12,19,5,0,0,1,81.12444783311705
29,20,3,13,1,1,0,0,54.88260216963803
24,14,8,14,3,0,0,0,61.26369119989052
36,24,9,18,3,0,0,1,69.88729838174604
28,25,11,8,3,0,1,1,70.99612619391839
19,37,12,12,4,0,0,1,90.44605434337674
24,16,7,10,1,0,0,1,62.657243787791806
49,12,8,13,4,0,0,0,40.702793888100416
28,25,5,12,5,0,0,1,69.38189088183134
16,33,5,11,3,0,0,1,81.03961991078651
33,23,7,18,1,1,1,0,61.69451624766428
33,11,10,15,2,0,0,1,59.998213791730414
35,17,7,17,3,0,0,0,54.02314944567635
12,5,15,6,5,0,0,1,74.87845542637679
26,11,8,18,2,0,0,1,67.00617513281122
41,19,9,26,2,0,1,1,68.18145126168791
34,21,10,15,4,1,0,1,69.18687011352247
30,14,6,16,3,0,1,0,55.41773747372604
24,10,10,16,6,0,0,1,69.7970128494628
30,10,10,2,5,0,1,1,56.41335514728392
32,13,12,7,4,0,0,0,54.8660032657633
22,14,5,8,4,1,0,1,64.26687757535016
31,18,12,11,3,1,0,0,61.03044588557051
26,26,1,22,6,1,0,1,76.00154017424794
21,14,6,16,2,0,0,0,62.59596696052091
39,9,9,16,2,0,0,1,56.61156152048531
34,15,9,16,4,0,1,0,54.350234947957006
34,19,10,14,2,1,0,0,58.81025222410923
38,21,19,7,5,0,1,0,63.21331107473997
32,22,6,22,3,1,1,0,63.070139422622525
28,18,6,13,6,1,0,1,66.34415595172172
25,31,7,8,2,0,1,0,68.47392419277962
35,20,11,14,5,0,0,1,68.788407881063
35,20,10,12,3,1,0,0,58.43416295516485
35,23,11,8,0,0,0,0,58.08957444993112
42,23,9,15,3,0,0,0,53.69567018564745
33,25,13,12,4,0,0,0,66.90905764010328
28,8,11,14,3,0,1,1,65.45236117630371
20,22,8,19,2,0,0,1,79.49500882306862
27,19,8,21,4,0,1,1,74.61094690005928
31,17,10,11,4,1,0,1,65.02695669987291
23,19,13,12,5,0,0,1,76.51760095751852
38,20,10,14,3,0,0,1,63.30280807522044
31,24,15,9,3,1,0,0,64.99022388756138
34,22,9,14,4,1,0,0,60.24821382490104
30,17,16,8,3,1,1,0,65.2588389741109
23,19,13,25,3,0,1,0,78.29648463732696
21,22,9,15,3,0,0,1,76.7860096168834
29,22,10,12,4,0,0,1,73.31322130902372
18,14,11,13,6,0,0,1,76.0393507252032
31,27,12,12,4,1,1,0,69.08177527005786
35,30,7,14,4,0,0,1,69.25870079818164
47,18,9,8,3,1,1,0,46.081212100739926
30,11,10,4,7,0,0,1,57.14384510558676
34,21,13,14,0,0,0,1,69.53139010605419
15,18,10,12,4,0,0,1,79.25383719891543
43,25,9,12,6,0,1,0,55.62735744044405
40,11,10,18,4,0,1,0,50.17457917796103
35,9,14,13,6,1,1,0,57.72396190099758
33,26,13,16,3,1,0,1,78.29482611659311
35,19,6,1,6,1,1,1,57.17905600227709
28,7,12,17,7,0,0,1,68.37279383982599
32,13,7,14,2,0,0,0,51.53390924717719
26,22,14,20,3,1,1,0,75.24349039299084
29,14,7,21,3,1,0,1,68.41947976274555
27,19,5,16,2,0,0,1,67.3734261374416
29,23,10,24,2,1,0,1,77.77760638483747
28,17,11,10,6,0,1,0,62.631217680289446
35,18,7,22,2,0,1,1,65.27159023922361
41,29,9,9,6,0,1,0,58.80443118772644
29,23,12,20,3,1,0,1,80.15845990377292
41,24,13,16,3,0,0,0,62.06756045137112
38,16,11,22,5,1,1,0,62.5037493093683
38,17,6,23,1,1,0,0,54.41808312669206
36,19,8,13,3,1,0,1,64.56128939511846
41,22,12,10,4,0,1,1,63.60349525568278
37,31,11,16,5,0,1,0,67.19535203547156
21,20,10,4,2,0,0,1,69.69022556936592
30,21,6,14,4,0,0,1,66.34986420307061
28,22,5,8,3,1,0,1,64.4014329733958
28,17,9,12,3,1,1,1,69.99372052946305
36,26,11,16,6,1,1,0,65.57679013329744
40,13,8,15,2,1,0,1,54.68652300933351
28,25,8,14,1,1,1,0,67.10022230038606
32,23,12,14,2,0,1,0,64.13211878965686
33,27,12,18,4,1,1,1,78.64431015034954
46,24,8,14,3,1,1,0,52.68701232326036
40,27,4,9,0,0,0,0,47.25290983760036
36,27,13,15,5,0,1,0,69.67836084687603
30,20,7,18,4,0,0,0,61.43085573374023
27,8,5,10,2,0,0,1,54.966753626190105
32,30,13,14,4,1,0,0,73.63208388289813
28,19,10,14,3,1,1,0,64.07305251866062
26,20,6,9,4,1,0,1,64.92196241183058
31,26,10,12,4,0,0,1,71.79171777154589
15,17,8,13,2,1,0,1,76.17601734789294
37,25,7,15,4,0,0,1,65.47684242116901
28,26,6,16,6,0,1,1,74.4252166162553
24,15,9,15,5,0,0,1,72.47654101236465
36,11,4,7,3,0,0,0,41.34251500540618
18,21,10,2,5,0,1,0,67.2153648113183
32,16,5,13,2,0,0,1,59.15759405327788
33,15,8,17,5,0,1,1,64.85381007971678
23,23,8,14,2,0,1,1,75.72206574774523
30,33,4,14,2,0,1,0,66.0823205970476
34,19,12,14,4,0,0,0,60.89061607126069
31,22,13,8,6,1,0,1,71.76679920670794
25,25,8,10,3,1,0,1,72.74659725115917
17,21,9,16,1,0,0,1,78.83588496243671
31,18,7,14,4,0,0,0,57.37383284921298
35,8,7,16,2,0,0,0,48.32691166641685
33,21,14,9,5,0,0,0,64.04621027678813
46,19,11,12,6,0,1,0,50.48649059108563
27,19,7,9,4,0,1,0,57.63352600804821
35,23,8,18,5,0,0,1,69.86425645969796
40,14,10,11,5,0,1,1,56.66816399082974
41,20,13,10,5,1,1,0,57.77012006822313
17,12,6,7,6,0,1,1,65.54340102140026
24,24,10,19,2,0,0,1,80.36856735048246
43,19,6,15,2,0,1,0,47.2005439075475
40,23,1,14,5,0,1,1,54.177053384815125
40,18,11,15,4,0,0,1,62.11654820929164
44,18,9,19,4,1,0,0,54.36918066636736
29,14,7,3,4,0,1,1,56.98680252026002
38,25,5,11,3,0,0,0,52.5574594398885
29,33,6,20,5,1,0,0,73.4224843499559
38,14,7,18,4,1,0,1,60.52165761560487
32,13,7,15,3,0,0,1,58.91104168958604
42,25,6,15,3,1,1,1,64.05376924902968
31,24,16,12,2,0,0,0,69.37330672776427
32,15,4,15,3,0,1,1,59.842000828223625
35,15,6,8,1,0,1,0,47.28801157784715
40,14,15,11,2,0,1,0,54.71747114843004
14,17,10,7,2,0,0,1,73.1214678716539
24,15,4,9,2,1,1,0,54.45588184175576
20,18,11,11,3,0,1,1,76.87499680606527
33,23,6,8,4,0,0,0,54.48920233875943
38,13,10,14,1,1,1,0,52.76891939716913
26,26,12,3,3,0,1,1,71.97947071945508
15,17,11,8,1,1,1,1,75.95240795102453
20,18,8,15,4,0,0,1,75.67675271673426
13,16,12,9,4,0,1,1,77.82932331099106
19,24,9,13,7,0,0,1,80.2547347300287
39,25,7,14,2,1,1,0,57.8862454847444
34,8,8,19,6,1,1,1,59.8663889322754
22,17,10,19,2,0,0,0,68.11343635933729
41,20,11,11,6,1,1,1,64.39043369385284
39,18,14,16,4,1,1,0,61.4482216631743
20,19,7,19,4,0,0,1,76.27844058107004
32,19,10,13,3,0,1,0,60.09586148723149
34,28,8,29,4,0,0,0,72.1831553327852
32,16,10,19,3,1,0,0,63.6272642275815
38,23,16,14,1,0,0,0,64.81138040563883
30,22,10,22,7,1,0,0,71.36083731277505
32,32,15,12,5,0,0,0,75.65320725524238
34,18,8,10,3,1,1,1,63.5284306161862
29,23,10,9,4,1,0,1,70.34262542872054
28,4,12,17,3,0,1,0,55.76151977949802
39,14,11,3,0,0,0,0,44.41367965419818
47,25,9,2,1,0,0,0,45.65143906026907
35,25,10,21,6,0,0,0,67.76129316246052
43,19,13,13,2,1,1,1,63.275543082264136
36,22,13,8,3,1,0,0,58.131058719584935
31,28,8,15,5,0,1,0,67.3422838691876
32,21,8,8,3,0,1,0,58.11396873929728
21,17,9,6,2,1,0,1,69.8042529362877
31,22,10,12,4,0,0,1,69.32031303954194
36,22,11,18,4,0,0,1,73.7496342333811
28,18,10,8,1,0,0,0,59.24004147546694
19,22,13,6,3,1,0,1,79.72090673511991
35,31,9,25,6,0,1,0,74.1622149813902
27,21,13,16,8,0,1,1,81.07987317839853
35,19,14,12,2,1,1,0,63.4681356595053
36,9,10,6,0,0,1,0,45.33468950916721
40,17,13,12,2,1,0,0,54.40432073697323
26,16,7,3,6,1,0,1,62.669407373321405
25,29,11,13,2,0,0,1,80.97805614786171
24,15,10,18,4,0,0,1,72.86275179429484
19,16,14,13,3,0,0,0,70.7764048817949
26,16,8,8,2,1,1,0,57.19132964936858
24,20,12,10,4,0,1,1,74.45916914602118
32,24,11,9,1,0,1,0,63.1935429009424
11,23,8,11,2,0,1,1,80.59913279060734
32,8,6,17,3,0,0,1,56.4825704926706
29,19,17,13,4,0,0,0,68.2396441841304
22,19,13,15,5,1,0,0,71.89560367625339
26,26,7,22,2,0,0,1,76.36413185036513
26,19,11,16,4,1,0,1,75.63669078897753
36,21,11,21,6,0,0,0,66.59313874395934
27,24,5,7,3,0,0,1,65.57437816874473
28,17,8,12,2,1,1,0,59.9515589374112
42,22,9,17,6,0,1,0,57.4750631843662
28,22,7,20,3,0,1,0,67.33096636047223
27,7,7,6,3,1,0,1,56.41118698534107
32,13,11,17,3,1,1,1,67.12721579427203
31,33,11,9,4,0,0,0,71.29606574300668
35,21,13,17,4,0,1,0,65.62943502373284
39,10,8,19,2,0,0,0,48.34885103738377
26,33,9,13,3,0,0,1,79.52793306559592
27,20,7,10,3,1,0,1,66.85966092708493
29,20,5,20,1,1,1,0,60.36630664397869
40,10,13,17,4,0,0,0,51.32833424480821
23,24,14,16,2,1,0,0,75.05240078482015
38,27,10,10,4,1,0,1,68.07994767392692
22,24,9,13,2,0,0,1,77.30833462984091
42,11,12,15,2,0,0,0,50.36269783239025
30,17,9,12,2,0,1,1,66.24581876374567
20,27,6,8,3,1,1,1,76.63590504755679
39,20,6,15,4,0,0,0,51.83168483756065
14,24,12,15,2,0,0,1,86.47436579249967
20,22,8,10,3,0,1,1,74.06490367313197
28,5,5,15,3,0,0,1,54.71876105295853
36,16,9,11,3,0,1,0,52.94074328516721
28,11,11,9,2,1,0,1,66.19716246021261
43,23,13,17,5,0,0,0,60.87652275447507
23,22,8,22,10,0,0,1,79.57736610248828
25,25,10,13,8,0,0,1,78.85257377613678
41,19,8,20,4,0,0,1,64.03921026088224
31,24,13,11,7,0,0,0,66.09318823422679
26,10,13,11,1,0,0,1,65.33633846547663
15,19,7,15,3,0,0,1,76.43819451509417
46,18,9,4,6,0,1,0,42.23318359537195
28,20,12,22,2,0,0,1,80.0212015083356
35,13,13,21,4,1,1,0,62.80058480800376
46,20,10,7,4,0,1,0,45.98067950767285
38,19,11,13,4,0,0,0,57.28316291173524
21,17,9,22,6,1,0,1,80.8487345131147
32,10,7,14,4,1,1,1,59.07280937510687
31,21,8,14,3,0,0,0,60.68784344910808
19,11,11,15,2,0,1,1,73.22325532271508
26,11,10,14,4,0,0,0,58.42139110422256
17,12,10,13,4,0,0,1,74.16574737832133
21,26,9,23,4,1,0,0,79.29838757061529
32,14,7,15,5,0,1,0,54.9389512596246
13,24,11,21,3,0,0,1,90.99776988474794
33,22,12,9,3,1,0,1,67.75338643116338
41,13,10,19,4,1,0,1,60.812635549782456
34,17,8,14,6,1,0,1,65.61009484204853
15,23,9,18,7,0,0,1,86.67349200697309
37,19,11,12,1,1,1,0,56.44111388153039
42,29,11,7,1,0,1,0,55.34860451103039
27,25,13,16,2,1,1,1,82.38764901386268
24,24,13,15,9,1,1,0,74.88438226685066
46,13,5,8,3,1,0,1,45.74241600152633
27,23,11,9,4,1,0,1,73.49608614698006
25,17,11,24,7,1,0,1,81.58005052331698
13,14,6,9,2,1,0,1,70.16974236446124
34,17,10,14,5,0,0,0,58.473736011200366
35,18,14,16,3,0,1,0,63.31616184055417
25,15,11,10,1,1,1,0,62.50020737296848
42,13,11,11,4,0,0,1,55.80695125800582
30,30,11,9,7,1,0,0,71.10615702345848
29,27,7,18,2,1,1,0,67.58898987848093
31,10,11,16,6,1,1,1,69.12254200564799
23,13,11,14,3,0,0,1,72.18991652309852
26,22,9,15,6,1,1,0,69.3634960740271
42,9,11,17,2,1,0,1,54.807723386113125
32,33,12,19,2,0,0,0,73.88816838900969
25,19,4,23,5,1,0,1,73.07116129326036
37,28,9,18,2,0,1,0,65.49884826448763
35,25,9,12,6,1,1,0,62.27112817006131
32,14,10,5,4,1,0,1,60.15350290732778
33,15,12,5,2,0,0,1,59.18717714552154
26,8,4,10,4,0,0,0,47.64807833302788
36,29,6,15,4,1,0,0,61.53060421418564
15,22,7,15,5,0,0,0,75.5382075681659
31,13,9,14,1,0,1,0,53.55174116885527
53,17,6,20,2,1,0,0,41.64543743170202
36,20,5,9,1,1,0,1,55.7792807730258
26,17,12,9,5,1,1,1,71.1409211322955
20,16,7,22,5,1,0,1,77.65184585467206
22,29,6,13,4,0,0,1,78.44783969339782
32,31,7,9,3,0,0,1,70.35350190621185
30,19,12,16,3,0,0,0,66.2793102804295
21,11,12,12,5,1,0,1,73.89799740737935
40,26,12,13,3,0,1,0,60.688416305917904
14,21,13,13,5,0,0,1,86.06050098680912
31,25,8,14,6,1,0,0,65.32874349265302
21,28,12,25,4,1,1,0,86.4595381286643
24,10,11,15,1,1,0,1,68.5715280720437
21,24,5,7,0,1,0,0,62.35009393466494
40,22,7,15,3,0,1,0,53.5004476321485
30,17,11,9,4,0,0,0,59.43430119651492
23,31,7,12,4,1,1,0,73.20230143374097
34,21,8,14,3,1,0,0,57.1642640937028
19,19,13,11,6,0,0,0,74.20692427256522
33,25,9,11,3,1,0,0,61.84543988822636
25,30,9,12,5,0,1,1,80.1628420323991
32,17,8,18,2,1,0,0,59.010882282313545
26,25,8,14,3,0,0,1,74.34305803360573
37,31,4,18,6,0,1,1,68.55155884939971
26,25,6,21,3,1,0,1,76.1296490565881
27,29,13,16,5,1,0,0,76.30056326046754
25,13,15,21,5,0,1,1,78.81208235104926
26,15,10,14,4,0,1,0,61.71849221745831
28,19,11,15,3,0,0,0,64.24070903477276
28,21,15,22,2,1,1,0,75.66983503855792
26,13,9,12,6,0,1,0,60.217147093355024
32,21,11,9,1,0,0,1,65.31455201846
43,19,20,19,4,0,0,0,66.17580034044806
28,13,13,13,5,1,1,1,69.64499984462296
28,18,2,20,2,1,0,1,65.89102196734144
20,22,8,10,7,1,0,1,76.14761855723339
35,28,9,-1,4,1,1,1,62.09412617365916
32,10,13,14,5,0,0,0,57.77047265470648
27,32,8,13,2,0,0,0,68.75821450663543
18,16,11,8,4,1,0,0,66.02405772594945
15,18,5,15,1,0,1,1,75.32186907355819
24,20,12,15,2,1,0,1,77.61644369026642
25,19,7,20,4,0,1,1,72.99630613218085
32,11,9,21,1,0,0,0,59.000821485214416
48,24,8,11,6,0,0,0,48.3312823943556
26,18,13,11,1,1,0,0,64.18397988680522
20,30,13,15,5,1,0,1,89.13416093017614
25,14,10,4,3,0,0,1,62.478947034874544
35,16,6,5,3,0,1,0,45.99502601998967
23,18,17,8,6,1,0,1,81.34630931641144
36,22,9,18,0,0,0,0,57.72240752185373
28,21,11,5,4,1,0,1,67.86098630144674
28,17,8,13,2,0,0,1,66.43757183706741
42,19,6,15,3,1,0,0,49.8094443467919
31,14,5,9,1,0,0,1,55.069389446076656
8,25,8,9,0,0,1,1,84.80645371290811
13,31,9,11,-1,1,0,1,86.04921412289495
45,20,17,15,4,0,1,0,60.62834707613491
22,26,13,15,3,1,0,0,76.30881983287348
36,13,10,13,3,0,0,0,52.43545987412764
21,18,13,13,5,0,0,0,70.24766040255234
47,9,11,15,3,1,0,1,52.0779089310542
30,26,10,0,1,1,0,0,58.38649911519092
26,22,6,18,7,0,0,1,74.05691841225467
30,23,12,17,1,0,1,1,76.81924082110635
33,21,11,13,3,0,0,0,60.07748207465893
32,13,9,18,5,0,0,0,58.25567943918806
36,6,10,3,4,0,1,1,49.52210461296875
17,25,11,10,4,1,1,1,84.33406917961838
21,22,8,22,6,0,0,1,81.29708427265129
12,21,7,16,6,1,0,1,83.48600075564
36,20,7,22,4,0,0,0,58.8355024495462
32,13,11,10,4,0,0,1,61.47761113454494
30,13,9,9,1,0,0,0,53.2136843415928
18,28,10,13,4,0,0,1,84.64222387611836
35,27,11,11,3,0,0,0,61.74180739681342
17,22,9,10,2,0,0,1,76.50723451576508
26,23,4,12,3,1,0,1,67.81273618008449
33,16,18,31,4,0,0,0,74.75977410584105
21,19,15,14,1,1,1,0,75.45094003275969
24,17,8,12,3,1,1,1,70.40907694324875
25,11,9,20,3,1,0,1,70.1701448409843
32,29,8,15,2,0,0,0,66.48588250712244
36,11,11,9,3,0,1,0,48.87070780016118
17,23,12,17,5,1,1,0,81.03904456613027
26,20,10,7,4,1,1,1,70.79137937726198
44,19,7,11,4,0,0,1,53.148202254705765
21,15,11,8,4,1,0,1,71.72028360247371
32,12,10,21,7,1,1,1,70.60108368170224
26,34,8,19,3,1,0,0,78.10218458477667
27,29,14,10,2,0,0,1,80.26592778295334
20,18,14,16,6,1,1,0,77.19920382843327
34,16,9,12,6,0,1,0,55.95230444926384
33,11,3,12,3,0,0,1,52.20143605022974
20,16,7,12,4,1,1,1,73.20646290512032
32,27,15,12,2,0,0,0,69.3990391067603
23,6,6,7,0,0,1,1,54.714807851581774
21,15,14,0,2,0,0,0,61.30615382180802
6,13,9,21,3,0,0,1,85.4544977790004
21,20,11,16,2,0,0,1,79.50477033210818
52,17,12,8,2,0,1,0,42.143806362051215
15,17,3,17,8,0,0,1,74.05206240933603
21,13,14,14,2,0,0,0,68.19743629905184
16,5,7,19,5,0,0,1,70.20733913146101
18,16,10,10,4,0,0,1,73.73446715380565
62,13,11,15,2,0,0,0,34.80781868437333
21,17,9,23,3,0,0,1,77.2081266957081
32,11,12,6,0,1,0,0,51.16381608910272
20,13,14,9,5,1,1,0,68.20796552241389
21,19,4,17,5,1,0,1,72.85405659516508
29,13,10,16,3,1,0,0,59.28862799853031
40,18,10,14,0,1,0,0,54.56722942427729
23,12,11,10,8,1,1,1,71.07558252349293
22,16,12,14,4,0,0,1,76.65065413916894
22,21,10,11,3,1,0,0,66.30610500781141
25,18,8,8,2,0,0,1,65.1374093966998
26,32,8,16,3,0,1,1,79.37802811392193
31,15,8,12,3,1,0,1,64.07775577819861
35,27,15,8,3,0,0,0,66.77228765908926
28,18,6,13,4,0,0,1,64.5334748247369
36,19,8,22,2,0,0,0,59.9377693069458
28,19,8,13,1,0,0,1,67.18505429149344
21,11,6,11,4,0,0,1,65.48300416233826
22,27,11,20,3,0,1,1,85.76635790673309
14,7,12,8,1,0,0,1,69.29932087309565
33,25,8,0,3,1,1,0,53.48378783850023
22,19,15,6,5,0,1,1,75.37535706204065
31,15,11,16,7,1,0,1,69.94344248990988
35,21,5,12,4,0,1,0,53.04674645875811
28,22,12,18,3,0,0,0,70.06835091558317
28,23,12,18,1,1,1,0,70.57107884368384
41,31,10,14,0,0,1,0,63.49802991895736
26,18,9,7,5,0,0,1,66.60951928854271
34,27,4,12,2,0,0,0,56.34170002159763
25,13,7,13,4,0,0,1,66.16167989356552
42,14,14,15,3,0,1,0,55.66776649918848
25,17,11,12,2,0,0,1,69.7365822287568
38,7,11,5,3,0,1,1,50.61985234501723
30,11,12,13,3,0,0,1,64.60025445966043
25,14,9,11,3,0,1,1,65.24472440546917
37,22,10,15,0,0,0,1,66.11886429166871
22,17,3,15,3,1,0,1,68.52007515291398
39,13,9,7,3,0,0,1,53.72899305810685
30,12,4,9,1,0,0,1,52.84967242019167
24,35,10,17,3,0,0,0,79.68821580631851
36,24,7,21,2,0,0,0,64.5170038831904
33,18,12,16,2,0,0,0,62.12570224010632
42,20,8,16,5,0,0,0,51.98736096171996
31,17,5,18,1,1,1,1,63.51534304495422
38,10,8,14,5,0,0,0,48.11168901961817
36,14,12,20,4,1,1,0,61.81748117058565
34,17,11,11,3,0,0,1,62.829205509296095
33,23,6,20,5,0,1,1,70.56095782666247
25,8,9,16,4,1,1,1,66.84658819594635
36,19,6,22,2,0,1,0,57.28393697997412
27,15,7,11,3,0,0,1,62.89667321883032
25,26,13,25,1,1,0,0,79.02438546918901
52,13,14,15,2,0,0,0,44.79215614462239
28,19,11,23,1,0,1,1,77.58972046742093
35,18,2,8,6,0,1,1,54.09795765331616
21,14,10,4,3,0,0,1,66.80901830666348
21,11,8,3,3,0,0,1,61.209376989009904
26,23,12,14,3,1,1,1,78.87424218828767
20,16,15,18,4,1,0,0,75.11557342094116
34,30,10,19,3,1,1,1,79.51673318089674
35,18,9,14,6,0,0,1,63.48335291746111
36,21,9,13,6,1,1,0,56.7649563706694
45,20,11,10,4,0,0,0,49.69861248232618
33,17,9,4,2,1,1,1,59.2004314851206
15,21,6,17,5,0,0,1,79.9923835588553
