years_of_education,household_size,pre_intervention_income_change,owns_home,has_stable_job,received_financial_literacy_invite,attended_financial_literacy,post_intervention_monthly_income
7,2,1,1,1,1,0,49.44648963057183
1,2,0,1,1,1,1,59.30714347738656
2,3,0,1,1,1,0,50.50384098006932
6,3,0,1,0,1,0,48.15754491658095
0,2,0,0,1,1,1,56.42979632594829
2,3,0,0,1,0,1,58.39845521833795
3,3,0,1,1,1,1,57.25896476528461
3,3,0,1,1,1,1,57.21632595537545
4,2,0,1,1,0,0,48.65754830957516
2,3,0,1,1,1,1,56.71655442312888
0,4,0,0,0,0,1,57.48047303392991
3,2,0,1,1,1,1,56.41744976560864
5,3,0,1,0,1,1,57.46473683771226
6,2,0,1,1,1,0,49.97994121303468
0,2,0,0,0,1,1,55.70745183974117
3,3,0,1,0,1,1,57.32304208186166
3,3,0,1,0,1,1,55.977198832869966
3,2,0,0,0,0,1,57.60847256059766
2,2,0,0,0,1,1,56.10944446087522
6,2,0,1,1,0,0,48.47170529143877
3,3,0,1,0,1,1,56.146636214767696
7,2,0,0,1,1,0,50.96752615270317
4,3,0,0,1,1,1,57.33629146642036
3,3,0,1,1,1,0,50.5070009541974
2,2,1,1,1,1,0,49.06802323342057
3,3,0,1,0,1,1,56.26211924078913
2,2,1,1,0,1,0,47.594034717623536
4,3,0,0,0,1,0,48.126842970658686
3,2,0,1,1,1,0,47.02228287465321
2,2,-1,1,0,1,1,57.77664882218155
5,2,0,1,1,1,0,48.96216297897374
4,2,0,1,1,0,0,50.79946336606909
5,2,0,0,1,1,0,51.07924466157291
5,3,0,1,0,0,1,55.48469546730826
5,2,0,0,1,1,1,59.01171842881181
4,3,0,1,1,1,1,57.665200464371225
1,3,0,1,1,1,1,57.17945415242647
4,2,0,0,1,1,1,58.3347130472205
5,2,0,1,0,1,1,56.05367919920937
2,3,0,1,0,0,0,50.68132902601126
5,2,1,1,0,0,0,47.65451359045287
10,3,0,0,0,1,0,49.17775066694722
2,4,0,1,0,1,1,56.35061052140806
2,2,1,1,0,1,0,48.46579772644393
5,2,1,0,1,1,0,50.425890915071335
6,2,0,0,1,1,0,47.862535740897926
6,3,0,1,0,1,1,58.64904976151422
1,3,0,0,0,0,1,57.07961470708278
1,2,0,1,1,1,1,55.18371212468175
4,2,0,1,1,1,0,49.29202903378761
4,2,0,1,1,0,0,48.031417482198286
5,2,0,1,0,0,0,48.1365508205951
5,3,0,1,0,0,0,48.85069116733199
3,3,0,1,0,1,0,47.56988866716586
2,3,0,1,0,1,1,55.9135015648418
4,3,0,0,1,0,1,57.90275447500283
2,3,0,1,0,1,1,56.56742691884977
6,3,0,0,1,1,0,50.24672346634432
0,2,0,1,0,0,1,54.666762018235005
1,2,0,1,0,1,1,54.808676881369685
3,3,0,1,1,1,1,57.01163006176691
2,2,0,1,0,1,1,56.339262224685655
1,2,0,1,0,1,1,57.52232245519298
4,2,0,0,0,1,0,49.67861856941155
4,3,0,1,1,1,0,49.52733723337586
6,3,0,0,1,0,0,49.9495266244336
6,1,0,0,0,1,0,48.54313462275719
7,3,0,1,0,1,1,57.16255278658696
4,3,0,0,0,0,0,51.04800247968907
2,3,0,1,1,1,0,51.25846026555479
3,3,0,0,1,1,1,58.456597716480566
1,3,0,0,1,0,0,48.64056127586765
6,2,0,1,0,1,1,54.80448150853654
1,3,0,1,0,0,1,55.41611926782057
7,3,1,1,1,1,0,50.30950414355912
1,2,1,1,1,1,0,49.359623749945605
3,2,0,1,0,1,0,48.67019799375038
1,2,0,1,1,1,1,56.93496653406776
-1,4,0,0,1,1,1,57.88428338325086
3,3,0,1,1,1,0,49.59103454748571
2,3,0,1,0,1,1,55.64207375178432
5,2,0,0,0,1,1,56.06325375870584
3,1,0,1,1,1,0,49.24478619802298
2,2,0,1,1,0,0,49.95770688681109
4,3,0,1,0,1,1,56.36117155087939
5,2,0,1,0,1,1,56.21793828999537
6,2,0,1,0,0,1,55.47284102967584
2,2,0,0,1,0,1,56.11393893794669
6,4,1,0,0,0,0,49.88861757068498
0,3,0,0,1,1,1,57.77606917961997
1,1,0,1,1,1,0,50.24035791464886
2,2,0,1,1,0,0,49.44217508911326
8,3,0,0,1,1,0,49.5464196487642
2,3,0,0,1,0,0,49.26700689476495
1,2,0,0,0,1,1,57.44893268440236
4,2,0,0,0,0,0,48.942855439834034
0,3,0,1,1,0,1,57.61366848872418
1,3,1,1,0,1,0,46.48095023264639
5,2,0,0,0,1,0,50.89623297602908
4,3,0,0,1,1,1,57.39534113611639
5,2,0,0,1,0,1,57.20436475646613
6,2,0,1,0,1,1,55.45659579980409
1,2,0,0,1,0,0,48.85780144719021
6,3,0,0,0,1,1,57.78692497663953
5,3,-1,0,1,0,0,51.37791514173731
5,3,0,1,1,0,1,57.69250024390979
9,2,0,0,0,0,0,50.09879697439716
2,3,0,0,0,1,1,56.86041915852133
2,4,0,0,1,0,0,49.31424675909332
2,2,0,0,0,1,0,51.004874081392806
4,2,0,0,0,1,0,49.126380209518096
0,3,0,1,1,1,1,56.65611524839067
4,2,0,0,0,1,0,49.71528383093978
4,2,0,0,1,1,1,58.79226577162275
0,3,0,1,0,1,1,54.750605930653705
6,3,0,1,0,0,1,57.27412369690898
5,4,0,0,1,1,1,57.67304928807184
1,3,0,1,1,1,1,56.50958221999094
7,3,0,0,1,1,1,56.41665194873782
1,2,1,1,1,1,1,56.83892458190756
6,3,0,1,1,1,1,57.40335231309835
4,3,0,0,1,1,0,51.842977013010014
7,3,0,0,0,1,1,58.53195225284284
3,2,0,1,0,1,1,55.18464901469229
0,2,0,0,0,0,1,56.276491530783375
2,2,0,1,1,1,1,56.62093234751299
2,2,0,1,0,1,1,56.63176195086649
3,3,2,1,0,1,0,48.41668581844586
1,2,0,1,1,1,1,58.66010922439017
1,4,0,0,1,1,0,51.62061766612381
3,3,0,1,0,1,1,54.80853095966571
3,3,0,1,0,0,1,56.646897378792914
1,2,0,1,1,0,0,48.996084543651655
4,2,0,1,1,1,0,49.85365156580225
5,3,0,1,1,1,0,49.32118716075164
3,2,0,1,0,0,1,55.21703745913531
3,3,0,1,0,1,1,55.77577141742179
5,2,0,1,0,1,1,57.742621459114574
4,3,0,1,0,1,1,57.704225833986186
1,2,0,0,0,1,0,50.00808354864008
3,2,0,1,1,1,0,48.39931438125876
1,2,0,1,1,1,0,49.667044182814216
9,2,0,0,0,1,0,49.49970734121973
6,3,0,1,1,0,0,49.87318702791112
1,3,0,0,0,0,0,49.38195959125738
7,3,1,1,0,0,0,49.79350076598824
5,3,0,1,1,1,0,50.13457457749814
6,2,0,0,0,1,0,49.13909340727865
5,3,0,0,0,1,1,56.35002746943417
3,1,-1,1,0,1,1,54.94741774977032
5,3,0,0,0,0,0,49.75756680030749
2,2,0,0,1,0,0,50.45892658571356
2,3,1,1,1,0,0,47.20520194750059
8,3,0,1,1,1,1,58.3164429553467
5,2,0,1,0,1,1,57.0824322873842
7,3,1,1,0,0,0,49.99278693274487
5,2,1,1,0,1,0,46.72392133927288
0,3,0,1,1,0,1,57.53013564193142
4,3,-1,1,1,0,0,48.813423935594486
4,2,0,0,1,1,0,48.00514415576816
6,3,1,0,0,0,0,49.00651596158731
4,2,0,0,0,1,1,56.27970948171822
4,2,0,1,1,1,0,50.40895994974375
3,3,0,1,1,0,0,50.04731181216856
7,4,-1,1,0,1,1,56.37812999548292
7,3,0,0,0,1,1,57.58570063166136
2,1,0,1,1,0,1,55.82002537702906
6,2,1,1,1,1,0,49.26011809893059
3,3,0,0,1,1,0,50.829267074514
5,3,0,1,0,1,0,48.79578364021357
3,2,1,0,1,1,0,48.93595642073279
5,2,0,0,0,1,1,54.36156889324938
3,2,0,1,0,1,1,56.27226075602254
6,3,1,1,1,0,0,50.537805510315984
2,3,0,1,0,1,1,56.63685891068261
9,2,0,0,1,0,0,49.44801464743753
5,2,0,0,0,1,1,57.74304130208797
1,4,1,0,1,1,1,58.02706422424141
1,2,0,0,1,1,1,57.085551364113805
5,3,0,0,1,1,1,58.70432144105579
6,3,0,0,1,0,0,49.33282596874931
4,3,0,1,1,1,1,56.74378787052385
0,3,0,1,1,1,1,56.741716251242735
0,3,0,1,0,1,1,56.52899234890618
3,3,0,0,1,0,1,59.17677820874984
2,1,0,0,1,1,0,49.98607473931235
2,2,0,1,1,1,1,55.525337039521936
7,2,0,1,1,1,0,51.17774182191521
4,3,0,0,0,1,1,56.9757681389761
4,3,0,1,0,1,1,57.06126087043136
4,2,0,0,0,1,0,50.075875710692735
4,3,0,0,0,1,0,48.48820111487639
2,3,0,1,1,1,1,56.36496565560776
3,2,0,0,1,1,1,56.8532198378925
1,3,0,1,1,1,0,50.46560459528503
8,3,0,0,0,1,0,50.878221038426354
7,3,0,1,1,1,1,55.515618110438886
1,2,0,1,0,1,1,55.43510853673324
2,3,0,0,1,1,1,57.96811226360292
5,3,0,1,1,1,1,56.82155600452964
2,3,0,0,0,1,0,48.229691304547714
6,3,0,1,1,1,0,48.51561108005744
6,2,0,0,1,1,1,59.00602917654537
5,3,0,1,1,1,1,58.5416014444693
-2,3,0,0,0,1,1,58.82717895179136
1,2,1,1,1,1,0,49.91859182111312
3,2,1,1,1,1,0,49.12555039106973
0,2,0,1,1,1,1,57.244902634858406
2,2,0,1,1,1,1,57.38002599310586
4,3,0,1,0,1,1,56.35681141742246
5,3,0,1,1,1,0,47.51502625786873
5,2,0,0,1,1,0,50.87848184992594
0,2,1,1,0,0,1,56.11173253297875
4,3,1,1,0,1,0,50.429423430819696
4,3,0,0,1,1,0,48.9274994394717
0,2,0,1,1,0,0,51.28868251079732
1,3,0,0,0,0,1,56.14807261652935
3,3,0,1,0,0,0,48.57239757246225
5,3,0,1,1,1,1,55.224142013407175
4,2,0,1,1,1,1,57.73497027587294
10,2,0,1,1,1,0,51.5573393536093
4,3,0,1,1,1,0,50.091756639138936
0,2,0,0,1,1,1,59.13827016948126
-2,3,1,0,1,0,1,56.191444037087
4,3,0,0,0,1,0,50.34146548443769
3,3,0,0,1,0,0,51.245590507079015
1,2,0,0,0,1,0,47.70289613875831
0,2,0,0,0,1,1,56.69801095880739
1,2,1,1,0,1,1,54.86779839674942
5,3,0,1,1,1,1,58.36060732409455
1,3,0,1,1,1,1,56.62346521465184
5,3,0,0,1,1,0,49.45860134838208
3,1,0,0,0,1,0,47.720191961605366
5,2,0,1,1,0,0,50.01718933791712
5,2,0,0,0,1,1,56.20492933372199
6,2,0,1,0,0,0,47.30178151166926
1,3,0,1,1,1,1,57.86341291177499
3,2,0,0,1,0,1,56.09817143930771
6,2,1,1,1,1,0,47.00491260653307
6,2,0,0,1,1,0,50.81068108722943
1,3,0,0,1,1,1,58.67638723961656
3,2,0,0,0,1,1,56.22439926308952
6,3,0,0,1,1,0,50.41204760776871
10,2,0,0,1,1,0,49.994606403231366
4,2,0,1,1,1,1,58.21185000731851
5,3,0,1,0,1,1,54.08046051130647
5,3,1,0,0,1,1,56.71720508756323
9,3,0,0,0,1,0,49.20263608124781
0,2,0,0,1,0,0,51.09711514559336
3,2,0,0,0,0,0,49.72240516913118
7,3,1,1,1,1,0,48.47240811653854
6,2,1,1,0,0,1,56.30611047544233
6,3,0,0,0,1,0,50.084664629923125
4,2,0,0,0,1,1,56.35182164793721
5,3,1,1,1,1,1,56.68642599441044
4,3,0,0,1,1,0,49.38400738034815
1,2,0,1,1,1,1,56.89282102951366
6,3,0,1,1,1,1,58.50091257620069
0,3,0,1,0,1,1,55.510474084233486
2,2,0,1,1,1,1,57.11774217690943
3,3,0,0,0,1,1,56.54848605358463
3,3,0,1,0,1,1,53.65164582646174
5,3,2,0,1,1,0,52.47200043665101
5,3,0,0,0,1,0,48.60440631024754
7,2,-1,1,0,1,1,57.03657520303165
2,2,0,1,1,0,1,55.69601311738709
8,3,0,0,0,0,0,51.5972764547523
-2,2,0,1,1,1,1,56.9642937979144
6,2,0,0,1,1,0,50.41352556647022
6,3,0,1,1,1,0,48.45896408529222
5,2,0,0,0,0,0,49.43357961143518
1,2,0,1,0,1,0,47.926192940039634
2,3,0,1,1,1,0,49.20199410379429
5,3,0,0,1,1,1,59.2506313108495
5,3,0,1,1,0,0,49.23106597545415
3,2,0,0,1,0,0,50.04451449541507
4,3,0,1,0,0,0,49.467290925099626
4,2,0,0,1,0,0,50.42394991966328
6,2,0,1,1,1,1,54.66048595841543
1,3,0,1,0,1,1,56.66564930025088
2,3,0,1,0,0,1,54.44627180657349
8,3,0,1,1,1,1,57.99494176182587
3,3,0,1,1,1,1,55.75453324369917
5,1,0,0,1,1,0,49.17185164505889
2,3,0,1,0,1,1,54.78952191090349
5,2,0,0,0,0,1,56.34341655264362
3,3,0,1,1,1,0,51.61933686320346
-1,3,0,1,1,1,1,57.001042531130686
8,2,0,1,1,1,0,48.379273425712576
4,2,-1,0,0,1,1,54.99922907014785
3,3,0,1,0,1,1,54.75187477834423
2,2,0,0,0,0,1,56.32251345794358
5,3,0,0,1,1,0,50.04567044223564
