defendant_age,prior_convictions,charge_severity,legal_representation,bail_status,diversion_program,sentencing_length,time_in_custody,recidivism
13,28,5,0,0,1,1,56.64920829076296,212.9223117631723
31,28,2,1,0,1,1,80.63087458775978,270.9744431735673
28,17,10,1,0,1,1,69.22868066954959,238.3328742
34,22,10,0,1,0,1,81.75080170616035,272.81437159732707
31,26,12,1,0,1,1,86.23036447448435,286.1473413879855
36,8,10,0,1,1,1,71.62850822386291,233.96762760464023
24,17,7,0,1,0,1,60.38274627033999,212.75517445673395
24,19,10,0,0,0,1,63.79689328994137,226.42089725388453
23,21,9,0,0,0,1,64.47979236341811,230.5579300620668
14,22,5,1,1,0,1,52.19832265226299,196.1704949381448
35,27,6,0,1,1,1,88.44,289.41910918349765
34,26,10,0,1,0,1,85.54547755428278,285.61461839657534
29,17,13,0,1,0,1,72.86721440384397,251.62758968597524
24,20,17,0,0,0,1,69.93066970231658,246.8641137604409
44,15,10,1,0,0,1,90.73293087786465,283.5079573156227
36,17,7,0,0,1,1,79.75175897067929,260.7000430605871
30,13,9,0,0,1,1,66.15012474081124,226.4516718
43,18,4,1,0,0,1,87.85,274.9813252395711
33,18,9,1,1,0,1,76.04,252.8441841338721
33,20,13,1,1,1,1,83.93553299660127,281.3215231
32,17,12,1,1,0,1,77.08400560920857,258.7905598684756
47,13,8,0,0,0,1,88.00449586487412,277.1003378
42,16,11,1,0,1,1,89.90527003929255,287.87988054171655
18,14,11,1,1,1,1,50.094721354465634,194.05794552038856
37,24,11,0,1,1,1,90.79,299.3037421
21,18,5,1,1,1,1,58.34630624041328,209.15430803374488
35,25,11,1,0,1,1,90.26363149966028,294.28214041642923
34,15,11,0,1,0,1,74.15844355337072,248.50316059891037
34,19,14,1,1,1,1,84.01018776630613,280.6034002
31,21,11,0,0,1,1,78.13,264.01422284239885
17,19,9,1,1,0,1,56.11184478852114,207.80370717453192
41,5,12,1,1,1,1,78.67274698208642,252.7033368000205
33,15,10,0,1,1,1,74.54361551556498,251.57571511430297
35,26,10,1,1,0,1,88.52783474294682,294.6579386130252
20,13,6,1,0,1,1,51.185408729147845,186.70944636759447
53,24,13,1,0,0,1,113.71234676973016,352.36134548377106
40,34,8,1,1,0,1,102.26127378732107,331.6981492584033
21,22,5,0,0,0,1,60.88,216.65287843612748
24,22,6,1,0,0,1,64.69399250805029,230.51938429789644
24,19,7,0,0,0,1,61.91419606730436,220.7803615462533
17,18,4,0,0,1,1,50.26060313589092,188.4500245984274
36,14,11,0,1,1,1,79.30801280737232,262.9857784930493
38,18,15,1,1,1,1,92.34078231494992,298.7371937480796
35,29,11,0,1,1,1,91.79,305.89217299198754
42,17,8,0,0,0,1,84.81299686749982,271.85977248510744
33,9,10,1,1,0,1,66.19775297475428,226.4849753585764
35,19,6,0,0,0,1,78.45982958063917,258.4677037539218
34,23,12,1,1,1,1,88.24151671481557,292.633824
42,18,8,1,0,0,1,88.19972655048811,281.5148681224669
31,17,9,1,1,0,1,73.61237024883597,248.5805784336593
25,19,8,1,0,0,1,64.63306649861637,226.3723697317508
21,19,9,0,1,0,1,59.560131789041634,216.45728869529344
28,23,14,0,1,1,1,79.08020948205603,268.3818922440607
21,14,6,1,1,0,1,52.826160553084165,196.4999411
29,19,9,1,1,0,1,72.14658956485445,246.88800467855188
10,21,8,0,1,1,1,46.64066491513483,189.31785976016843
36,9,13,1,0,1,1,75.30,249.5890375219173
21,24,20,0,0,1,1,73.91,263.9572055576715
38,13,11,1,1,1,1,83.13108101035199,268.6866605173345
27,12,9,1,1,0,1,63.03075447650958,218.7811687303302
36,19,3,0,1,1,1,78.45788683362062,257.1850238334597
32,21,9,1,0,0,1,76.97417906457645,259.51240643673145
36,23,10,1,1,0,1,87.92152178098314,288.1994709613216
31,10,13,0,0,0,1,65.23,226.6431036609031
34,14,8,0,0,1,1,73.86376775200365,245.00720851580488
29,20,13,0,1,0,1,74.19700881011376,255.95262237417677
39,24,8,0,1,0,1,90.90222335444112,295.20003196046696
15,21,6,1,0,0,1,51.83366153766583,198.41253491654015
39,23,10,0,0,1,1,91.76570814724386,295.550542
5,16,6,1,1,1,1,34.13740342250466,151.90162127444142
23,10,9,1,1,1,1,53.43176609673871,195.87079702661816
21,13,11,1,0,1,1,56.56907658657462,205.72450408471164
24,28,3,0,0,0,1,67.81381122379291,237.33274661030808
44,23,4,0,1,1,1,94.39055550689416,298.35686181048976
24,15,7,0,1,0,1,57.36436141379524,208.04447326185988
18,13,6,1,0,0,1,47.82206201571001,179.66219609547753
27,24,9,1,1,1,1,75.20479286588949,258.8790880681263
21,23,3,1,1,1,1,61.194888416474434,218.16656450622477
33,15,12,0,1,0,1,75.07,251.0756796670277
35,31,8,1,0,1,1,94.61520729210308,307.9016906307325
35,24,8,1,1,1,1,85.80618035731149,284.0227995398876
22,19,8,1,1,1,1,62.155154570103726,220.4458659564786
32,18,12,0,1,0,1,76.91822181535665,257.5589424063822
31,16,4,0,0,1,1,69.13191344359451,232.24331841346856
39,37,11,0,1,0,1,107.94673052213012,348.75060922986336
43,14,10,0,0,1,1,88.96993303111513,280.4300211705564
27,20,9,1,1,1,1,72.95,250.1184764828504
27,16,7,0,0,0,1,62.98007106991266,221.69601769526423
21,17,11,0,0,1,1,60.14828215165893,217.5731098055849
27,25,11,0,0,1,1,77.29237646124977,263.8644894
35,9,6,1,1,1,1,72.14896243289465,234.79792168148535
37,29,9,1,0,1,1,96.89084844582278,313.9410457836293
34,22,4,1,1,0,1,79.25,260.5889937010209
33,7,9,1,0,1,1,65.62437684605084,219.8194200620296
23,16,11,1,0,1,1,62.239467343463936,219.41404554002676
42,15,9,1,0,0,1,85.73871355293808,276.1628288257408
30,11,13,1,1,0,1,68.42451193792526,235.0553502711357
39,27,12,0,1,1,1,97.24564002695156,316.36362997578675
31,29,14,1,1,1,1,90.99319302636908,306.4436609
28,16,12,0,0,1,1,69.86082724607462,239.33143273015665
24,12,7,0,0,1,1,56.95869093013967,198.34777472437503
23,19,11,0,1,1,1,64.95249016040655,229.68668617987723
18,24,7,1,1,0,1,62.47861025308263,225.88104439519827
25,10,10,1,0,1,1,56.80843472428341,201.6934924836387
24,11,5,0,1,0,1,51.05343050086547,187.45829170941943
17,24,6,0,1,0,1,56.47734867173161,213.5770356717024
15,16,11,0,0,0,1,49.171168649368994,190.3021822666804
19,20,9,1,0,1,1,58.97,215.74923038047385
21,20,4,0,1,0,1,57.19847829497363,205.24020654115145
19,21,11,1,0,1,1,62.38330146496179,227.4902909
30,16,19,0,1,1,1,77.01591714145366,263.01523287070137
23,22,13,1,1,1,1,73.05099891705606,253.5379120153821
2,23,11,0,1,1,1,39.655928808958656,173.25689547016407
21,18,6,1,1,0,1,56.186031712774806,206.95488214736827
39,24,11,0,0,0,1,90.28,295.1865018897458
20,13,8,1,1,0,1,51.45322150765172,191.82925529450492
31,9,13,0,0,0,1,66.51060892938195,225.4261318069124
40,11,16,1,1,1,1,84.16456487148074,274.68638145607576
29,27,11,0,1,1,1,84.36796108295032,283.22812487873296
32,15,9,1,1,1,1,73.09812309697159,247.0616767432063
35,11,8,1,1,0,1,70.07,234.60722696029103
30,17,10,1,1,1,1,73.54801769549591,250.56653248664372
25,6,14,1,1,1,1,56.59960987568852,203.60117148236407
22,23,10,0,1,0,1,65.50082996337005,236.19206661773717
29,23,11,0,0,0,1,75.64430474541157,258.6124496280736
37,27,12,1,0,0,1,93.85,308.9989615057458
29,9,7,0,0,0,1,56.79266830728658,198.93983317683464
18,22,8,1,1,1,1,58.96342632954645,217.7872704955351
25,20,7,0,0,1,1,65.03515128811618,228.80444308411975
33,14,5,1,1,1,1,69.47717588248499,230.57356068387145
21,17,9,1,1,0,1,58.81982692223502,213.95933453719508
35,17,11,1,1,1,1,79.95390092827681,264.6749290178495
29,18,12,0,1,1,1,75.01,255.89764767072327
30,26,12,0,1,0,1,83.13689249685616,282.184842
37,30,6,1,0,1,1,94.38065651850025,308.7131249193084
40,23,5,0,1,1,1,89.69472156827362,288.7072421497685
36,19,15,0,0,0,1,84.11352403193654,278.3735254891881
25,20,10,1,0,1,1,68.79040285820813,239.6235499402962
35,30,11,1,0,1,1,94.41288975610873,309.04393605240085
37,33,10,0,0,1,1,98.51553662694025,322.38396058119326
25,28,11,1,0,0,1,76.13438973032791,267.02197306413154
32,17,12,0,0,1,1,76.42141166466594,254.88918720195448
29,27,4,1,0,1,1,77.96953980889208,263.06361457145675
39,12,6,1,0,0,1,77.47007390553465,249.4560114610656
35,30,11,0,1,1,1,95.15023926411688,311.10272184762664
21,13,5,0,1,0,1,52.858608402139566,189.96739444654344
30,15,7,1,1,1,1,69.86656596559814,237.49677917835683
25,12,7,1,1,1,1,59.40503794899865,208.18471696395264
34,18,11,1,0,0,1,78.78,263.6197610208174
24,26,7,0,0,1,1,72.64033865994865,246.7915538342879
25,23,9,0,1,0,1,69.13400027793101,242.79286624640795
29,13,13,0,1,1,1,68.70825374396894,237.9244068061568
36,6,4,0,1,0,1,64.88891994137755,212.6317592336533
36,11,10,0,1,0,1,71.61253592755004,239.0985183959612
26,40,9,0,0,1,1,90.52821928597344,307.9248855047008
29,6,17,0,1,0,1,62.46,221.97310079975668
37,9,9,0,0,1,1,73.28382617525166,238.6081858077844
34,17,11,1,1,1,1,81.18078239579503,267.6636047675561
46,23,10,1,1,1,1,103.05345550236042,325.1087884878642
39,25,8,0,1,1,1,92.96,300.5684190999692
22,35,14,0,1,1,1,83.02489164276366,290.6159506706017
34,28,11,1,0,1,1,90.91423728594762,300.37152581235944
27,18,15,0,1,1,1,73.85942762557762,257.92081459499013
24,24,11,1,1,1,1,74.03196290808211,257.5119319844623
42,19,13,0,1,1,1,92.72018233150662,301.84270072643096
34,22,12,0,1,0,1,83.06895509768648,277.39631895624893
38,16,8,1,0,1,1,80.98,264.92129183151184
22,15,16,1,1,1,1,63.23874803848667,230.3756693196158
32,12,12,0,0,1,1,69.87240842442475,236.16332041502972
36,24,13,0,0,1,1,88.22,290.72215136258194
42,30,9,0,1,1,1,105.70587987076824,336.9630860724699
23,20,15,1,1,0,1,68.55118549659984,245.06725438572312
25,20,10,1,0,1,1,68.52481573435362,240.90752824462143
33,17,11,0,1,1,1,77.69831532095307,258.4506073855627
35,11,6,1,1,1,1,71.64937561560198,236.76738432239736
20,21,11,1,0,0,1,64.29779849897486,228.73348724963995
39,15,13,1,1,1,1,88.44786857799497,286.2963765403469
33,24,7,1,1,0,1,81.38274513376841,273.18283807312497
21,20,4,0,1,1,1,59.46174711685025,214.1169990119004
39,21,11,1,0,1,1,90.11,291.63614335298075
23,12,13,1,1,1,1,59.57668627850413,213.9620997791937
40,20,14,1,1,1,1,92.61964603622516,299.5782140486877
41,13,11,1,1,1,1,86.17936038707953,276.03684933347984
28,25,9,1,1,0,1,78.03217895786001,264.1564746424566
46,18,6,1,1,1,1,94.83624044302545,296.8267817170564
36,19,13,1,1,1,1,86.63651055091952,285.6753739423883
34,19,10,0,1,1,1,79.49381630382734,266.30736847328643
33,20,5,0,0,1,1,75.47972323741965,252.76132230261976
37,23,7,0,1,1,1,87.70,283.6823299279467
31,18,10,1,1,0,1,75.10238300409009,253.730866
35,24,16,1,1,0,1,92.80702326124936,308.5226152414885
27,35,16,1,0,0,1,89.14,307.95583936534024
34,19,15,0,0,0,1,82.96134494476384,277.50605248685446
35,11,11,0,0,1,1,73.18732183814164,242.2003070676711
37,21,10,1,0,1,1,86.91300525774344,282.66299860353945
33,22,12,0,1,1,1,84.06467069461951,281.67085185018954
20,12,14,1,0,0,1,55.41879867468931,201.9464647
25,11,11,1,1,1,1,59.40080027747843,211.21221901556595
37,14,10,1,1,1,1,79.31100530574942,261.15598385072906
31,14,4,0,0,1,1,65.66391987315379,219.62791217212515
45,17,15,1,0,1,1,100.18508723092476,317.3129378324653
14,25,7,0,0,0,1,53.83925982051595,205.0972127458014
25,9,11,1,1,1,1,59.424385441589614,208.4541770966693
30,11,11,0,1,0,1,64.08661946948259,224.7414432817708
26,22,11,0,1,1,1,74.01796260813946,254.9818435820288
51,26,7,1,0,1,1,110.45077840794666,341.9550612710581
33,29,12,1,0,1,1,91.46412885545942,302.8125918663342
40,15,12,1,0,0,1,83.92756433036732,275.29890252824094
33,25,8,1,0,1,1,84.07677379248948,276.41202678685187
33,21,12,0,1,1,1,84.11690592683738,278.59763471173284
20,27,16,1,1,1,1,74.85421394672991,263.1379960464279
34,22,7,1,0,0,1,82.49500369836339,269.7506695121788
27,22,11,0,1,0,1,74.71675698642217,257.21715276402244
31,21,13,1,1,0,1,81.07656315665685,272.24680580143547
45,26,15,0,0,0,1,105.41991645629588,335.74489796945323
29,17,7,1,0,1,1,69.86581667616403,237.4127160196237
17,18,15,1,1,0,1,55.514321582951936,211.44000873389808
28,27,15,0,0,1,1,83.80576887972764,285.8052441
43,20,13,0,0,1,1,94.29975557043116,303.8696760235585
33,13,9,1,1,0,1,72.33,240.24951773428137
31,24,12,0,1,1,1,84.36170791404473,282.902722
30,10,12,0,1,0,1,63.75847796961894,222.00771583460684
18,34,8,0,1,1,1,72.63459835546904,259.98452130165924
28,21,7,1,1,1,1,74.34565464668393,249.33951955237512
37,29,10,0,0,1,1,95.03593583082524,309.85133095874954
23,19,7,1,1,1,1,63.09950121028839,223.7841077615932
30,33,12,1,0,0,1,89.99914282151053,303.75411206354266
32,23,7,0,0,0,1,78.05836922920048,262.0267723807779
29,20,7,1,1,1,1,72.90832326235405,247.3367613842253
36,14,11,0,1,0,1,77.89796343984166,253.88643855754992
35,24,11,0,1,1,1,89.50304571150626,294.55338385431395
19,8,8,1,1,1,1,44.70371743628467,172.52882259816082
13,23,12,0,0,1,1,54.80511880186332,208.52128426040048
19,15,7,0,1,0,1,50.617561343502615,188.38574716720203
25,15,5,0,1,0,1,58.94,210.4522840337272
36,19,6,1,1,0,1,80.88200318952445,265.71783161297213
22,16,9,1,0,1,1,59.97596268039638,213.74524010933655
22,8,5,1,0,1,1,47.198953251859976,173.72835529208905
36,24,7,1,0,1,1,85.97,283.3428690292308
40,19,4,1,0,1,1,84.19601772098841,272.2296817997905
29,20,9,0,0,1,1,71.97079495513604,247.27266026107333
26,21,6,1,1,1,1,70.13607600315322,240.82820090222845
27,18,7,0,0,0,1,65.05142226806423,226.0628832335037
27,26,9,1,1,0,1,75.86611236261416,264.4557070563868
39,17,3,0,0,1,1,79.54064604003496,256.6613530268675
28,30,12,1,0,1,1,86.00750641635443,290.11926042204584
30,25,12,1,1,1,1,83.50495689552476,281.3273623016458
22,22,6,0,0,1,1,62.37,220.9401045074869
24,14,13,0,1,1,1,61.95098294322306,219.63729920574008
36,18,8,0,1,1,1,81.04487209101927,264.5924377249607
27,17,5,0,0,1,1,64.63122544433917,222.6224867862617
27,9,5,1,0,0,1,53.83311760931167,190.3014608202708
33,30,10,0,1,0,1,91.27388664331772,302.50410407275217
40,38,13,0,0,1,1,110.34838123978956,355.65663436245694
41,19,10,1,0,1,1,91.72391603956248,294.3915229888539
26,15,8,1,0,0,1,62.67391409369464,219.6664123257399
34,12,8,1,1,0,1,70.38505603483674,235.63012790183757
32,13,4,1,1,1,1,69.08249030682919,230.54729160920087
38,15,12,0,1,1,1,84.66833317745413,275.65480655611697
