resident_age,income_level,employment_status,childcare_expense,single_parent,rural_residence,educational_attainment,policy_rollout,child_care_subsidy,child_care_access
11,29,1,14,0,1,1,10,24,155.27868026213994
9,27,2,13,1,0,0,9,26,166.1279273188794
8,33,5,14,0,0,1,11,25,160.9314604805677
7,31,0,14,0,0,0,10,22,154.39878055696792
11,31,10,13,1,0,1,6,25,148.7944989238796
9,30,6,13,1,0,0,13,26,159.93589226498713
10,31,0,15,1,1,0,3,20,141.59475955309264
9,31,8,11,0,1,0,7,25,155.73668065882563
10,30,5,12,1,0,1,10,25,155.41778523584966
10,33,5,12,0,0,0,11,26,161.9060946906664
11,29,14,13,1,0,0,9,28,154.92988386013286
4,30,5,16,1,1,1,9,23,155.30260364386376
6,30,4,14,0,0,0,10,22,148.4909039733372
9,31,5,13,0,0,0,7,21,137.82253755347557
9,32,4,9,1,0,0,11,21,141.12987422704035
5,30,8,10,1,1,1,8,23,145.24054799160393
11,30,2,14,1,0,0,11,25,158.58483098314116
17,31,6,14,1,1,0,8,27,156.59769259689745
10,30,4,15,0,1,1,13,28,167.56874726396856
9,34,10,13,0,0,0,10,24,147.5755127193524
8,28,6,11,0,1,1,11,26,159.35778461613597
8,29,4,10,0,0,0,7,24,155.6063501511543
6,29,7,20,0,1,0,7,25,160.05949357964826
12,32,11,11,1,1,0,11,28,160.84618710639495
6,31,10,12,1,0,1,11,24,145.040645720268
8,31,5,15,0,1,0,11,24,154.85680915510525
12,28,9,20,0,1,1,11,31,176.70046819167865
10,32,8,12,1,1,0,9,24,148.415726120532
11,24,0,15,0,1,0,8,27,168.93954293253344
9,28,5,13,1,0,0,8,25,157.07829128303948
10,28,2,14,0,0,0,10,24,150.8964328013149
8,31,9,8,1,1,0,8,23,141.49943272238312
9,32,7,13,0,1,0,9,25,156.8827142635457
7,28,8,13,1,0,0,9,26,160.1341931017931
10,31,13,14,0,0,0,9,28,157.37732059198302
8,33,4,13,1,0,1,8,20,137.99153801656524
9,35,10,7,1,1,0,7,20,128.29127075680424
6,28,6,10,1,0,1,12,24,151.30236079844698
9,26,4,14,0,0,0,8,26,162.4981161079307
7,31,3,15,1,0,0,10,22,149.23067854616465
8,30,8,12,0,1,1,11,27,160.89372543635608
6,29,6,12,1,0,0,11,25,158.66383688207694
15,30,5,10,1,1,1,7,25,149.22308486906925
14,30,10,13,1,0,0,10,25,145.1966484363492
13,26,3,15,0,0,0,9,28,169.03918500846436
17,28,5,13,0,1,0,10,29,165.81537411831223
5,30,0,15,1,1,1,11,23,156.38167723803917
10,27,11,14,1,0,0,13,31,175.77876972404354
7,27,7,13,1,0,0,9,21,133.6714515334955
12,30,9,11,0,1,0,8,27,158.56114041509616
7,27,7,13,0,0,0,10,26,158.96007646703742
10,33,13,10,0,1,0,6,24,142.37751377398126
10,27,1,16,0,0,0,6,26,168.0753593045262
9,31,6,14,0,0,0,6,24,152.67897924569456
10,28,12,12,1,0,0,11,26,147.9936581408323
9,30,9,16,1,0,1,10,27,160.48552949771585
12,31,18,14,1,0,0,8,27,148.5201759498699
6,28,6,15,0,0,0,10,25,159.8247224093942
10,30,2,13,1,1,1,10,26,166.15097659311638
14,30,13,12,0,1,1,10,31,165.2782212160405
15,30,8,15,1,1,0,10,28,162.6178597191592
8,29,6,14,1,0,0,10,25,157.81577870374622
11,27,4,10,1,0,1,12,25,153.0032967938605
10,27,13,13,1,1,1,11,29,157.48771636374758
9,26,10,12,0,0,0,8,28,163.118466357561
6,26,7,10,1,1,1,7,24,150.52815915329978
8,28,2,14,1,0,0,10,24,156.7862255410593
7,31,12,14,0,0,1,7,27,161.83643604619854
14,31,7,13,0,0,0,9,27,161.6604824987617
5,31,5,15,1,0,0,8,23,154.02570525144182
8,28,0,18,1,0,0,14,27,173.6266032270277
11,27,11,9,0,1,0,7,28,156.49390104844815
9,29,10,12,0,0,0,9,26,154.1610239281129
9,31,7,18,0,0,0,9,29,176.58428268060172
12,33,10,14,0,1,0,9,28,163.80935993455623
11,31,6,16,1,0,1,9,28,168.48592199912264
9,31,11,8,0,1,1,12,28,161.769003201266
12,29,6,11,0,0,1,10,26,155.23198680724053
9,30,9,12,0,1,0,8,25,152.0618040787835
4,27,6,17,0,0,0,10,26,163.29332342679032
14,32,7,14,1,1,0,11,26,157.03973549288546
8,27,9,14,1,0,1,9,29,171.46884809609264
10,27,15,16,1,0,1,10,34,183.64095986948888
5,30,6,16,1,0,0,7,20,136.9384132322425
9,28,10,14,1,1,0,8,28,163.28658518285548
10,28,1,10,0,0,1,10,25,158.30180145435676
8,29,5,15,0,0,1,11,27,163.43169152050837
10,29,9,11,0,1,0,10,24,141.37275069472693
14,30,4,11,0,0,1,9,25,152.85812170287383
12,25,5,15,1,1,0,8,28,167.06572075497894
10,32,5,14,1,1,0,10,22,144.56155880521857
4,32,6,10,0,0,0,5,16,116.39916072914762
12,30,6,13,0,0,1,12,27,158.94651180331405
13,28,6,13,0,1,0,7,27,161.27181214947524
7,33,8,20,1,0,1,7,25,159.00894856719347
14,31,6,16,0,1,1,4,26,157.59798110452155
13,26,16,15,0,1,1,7,32,169.6416068390201
7,28,13,14,0,1,1,11,30,171.07790970287007
9,29,10,15,0,1,0,12,29,165.98743708902933
12,31,5,15,0,1,1,9,26,159.8116674288362
11,27,10,14,0,0,0,11,31,174.5560984224828
6,36,1,12,0,0,1,12,18,134.07240424381783
10,31,4,16,1,0,0,13,26,162.13088087366236
14,25,8,15,0,1,0,13,33,177.2987841920982
9,27,9,19,0,1,0,8,29,168.441974391284
8,31,7,10,1,0,0,12,24,153.50342896441143
9,28,8,16,0,1,0,11,29,171.39399846464522
12,25,13,10,1,0,0,13,32,171.23741065150122
10,29,5,11,1,1,0,10,26,160.8869187576837
9,24,6,14,0,0,1,10,30,173.18493660992394
10,26,2,13,1,0,0,14,27,168.6931342487999
8,33,3,14,0,1,1,8,22,150.8386497760671
6,34,6,11,0,0,1,11,22,143.6692594345878
6,34,10,9,0,0,0,8,20,130.30601777518538
3,32,0,11,0,0,0,14,21,153.63428658889492
7,34,12,16,1,0,1,9,28,168.31307181178508
8,32,6,12,1,1,1,10,21,140.3721841112534
7,29,7,10,0,1,1,6,25,155.48215243475929
8,29,5,20,1,0,0,10,26,165.34564560239966
7,28,6,15,0,1,1,8,25,156.26471266852587
9,32,5,7,0,0,0,7,19,129.14046589967722
5,25,7,10,0,1,0,9,25,154.44706134449928
13,27,2,14,1,1,0,10,27,168.5445695917063
11,26,6,14,0,0,1,12,30,172.41851373403458
8,32,9,13,0,1,0,9,25,155.54570887907187
8,26,12,14,1,0,0,9,28,160.69387301441307
8,28,11,16,0,0,0,11,29,167.04926248639538
6,30,1,16,1,0,0,13,23,157.05601759690495
6,30,6,10,0,1,1,7,24,151.8122881744084
13,27,5,15,0,1,0,8,26,155.55811816876175
11,34,12,14,1,0,1,8,28,161.74264623203422
9,30,7,14,0,0,1,4,26,156.88552299577313
6,29,4,15,0,0,0,8,24,158.818757375489
7,28,5,11,0,1,0,13,26,161.9546171062272
12,31,8,12,0,0,1,13,27,158.42479161257205
11,29,12,16,0,0,0,3,27,154.56255483212672
5,27,0,14,1,0,0,8,21,147.8034059639514
3,32,7,14,0,0,1,11,22,147.95268204235344
9,29,5,11,0,1,1,7,24,152.362938303561
13,27,4,9,0,1,0,6,26,155.8163066165458
9,33,7,16,0,1,1,11,25,156.30135936099944
11,30,4,9,0,0,1,10,23,147.15836621644698
8,31,10,14,0,1,0,9,29,171.28526332676708
9,28,12,14,0,0,1,12,30,167.00616862771778
8,32,7,11,0,0,1,10,24,148.8901359923183
14,26,9,14,1,1,1,10,30,165.98268972013767
8,29,9,15,0,0,1,8,24,146.7532934895853
3,30,8,18,0,1,1,10,26,163.15351724202662
10,26,12,12,0,1,0,12,30,166.95618572457687
2,31,9,13,0,1,1,9,24,156.11264916732983
5,28,12,16,0,0,0,11,27,161.3576097454639
14,27,11,15,0,0,1,9,32,172.8931936579043
13,27,6,14,1,1,0,11,30,176.16609962959734
10,32,8,17,1,1,1,9,23,144.26468992004058
10,29,4,14,0,0,0,7,25,157.88527843812022
13,32,6,14,1,1,1,8,27,166.49087302360036
9,31,11,15,1,1,0,13,29,163.96178342636318
9,29,8,16,0,0,1,13,30,173.72534932335546
8,32,9,15,0,0,1,9,25,150.91272118656292
10,29,7,15,0,0,1,7,25,151.6618130611762
9,31,10,10,0,0,0,8,25,148.61865306754953
11,29,13,15,1,1,1,10,28,158.19662208268744
8,30,8,11,0,0,1,12,28,164.52958101003617
7,32,1,18,0,0,1,6,21,150.689969321248
10,32,8,15,0,1,0,9,25,150.75636311447633
7,28,9,16,1,1,0,5,25,155.76169663836262
7,29,7,13,0,0,0,7,24,150.60479222205652
8,32,5,17,0,1,0,12,26,166.48714609845143
4,27,7,13,1,1,0,9,23,149.04337603491416
9,28,6,11,0,0,0,10,26,159.37123479556783
13,27,6,16,0,1,1,9,30,174.15060559378392
12,35,4,10,0,1,0,10,21,136.5590654160632
12,33,10,14,0,0,1,6,24,142.11618589806497
11,27,4,13,1,0,0,10,25,153.61326421869208
8,27,10,15,0,0,0,14,30,171.0874302624996
9,31,11,12,1,1,0,7,24,145.42677043350304
9,26,9,13,0,0,0,8,29,168.35929557667083
8,27,9,12,1,1,0,6,24,147.21543798795224
6,27,1,13,0,0,1,9,24,159.1523042764395
10,29,2,13,0,0,0,6,19,131.1291978297651
6,31,14,14,0,1,0,11,30,172.51294870994982
12,30,10,19,1,0,1,10,31,174.72577499260265
8,32,3,17,0,1,0,14,28,178.57686919064068
6,33,2,12,1,1,0,11,20,143.57635963693636
9,29,8,12,0,1,0,11,28,164.86994849091462
10,30,13,14,0,0,0,9,29,163.5215275288735
13,32,4,15,0,1,1,7,27,163.90664348530683
9,29,10,11,0,0,0,12,28,162.16397201581913
9,31,9,12,0,0,0,8,25,154.1934619657075
9,30,14,16,0,1,1,11,32,176.50516323059605
6,25,7,14,1,1,1,6,28,171.62559593243196
9,31,0,17,1,0,1,6,18,130.76081020109984
9,27,3,19,1,0,0,8,25,162.3849610468285
4,30,10,18,0,0,1,9,27,165.856842143586
8,29,9,10,0,0,0,9,24,145.97956492400957
2,29,10,5,1,0,1,8,19,126.31144109222612
7,29,10,14,0,0,0,11,27,159.56625658135854
9,30,7,17,0,0,0,13,29,173.38235802968933
8,30,4,10,0,1,1,12,27,166.5866733720189
10,28,8,20,0,0,0,5,26,159.06304284621783
8,33,8,16,0,1,0,10,24,151.4919332616332
13,24,11,16,0,0,0,10,33,176.53620473678214
8,32,3,15,1,1,0,7,23,154.38030953058183
14,32,10,12,1,1,1,9,28,161.08272311650688
12,29,2,16,0,0,1,9,27,167.10210760580895
5,27,11,14,0,0,1,11,29,167.10213213396736
11,31,7,10,1,1,0,5,22,140.18503762146634
11,28,8,16,0,0,0,10,27,158.50249649381655
10,25,6,14,0,1,1,9,28,163.76729917312292
6,31,10,15,1,1,0,13,28,165.06142049029785
8,28,0,13,1,0,1,11,24,157.35278261017658
8,29,6,17,0,0,0,11,27,166.4454317465904
10,29,6,15,0,1,0,9,27,165.31130042987095
9,28,9,13,0,0,0,6,29,170.80565592611325
12,32,2,11,0,1,0,8,21,143.14718583197714
8,34,4,14,0,0,0,9,21,144.2683404293787
11,32,9,11,0,1,0,11,26,154.21857651884935
10,36,5,17,0,1,1,9,25,158.74659650103183
11,34,8,11,1,0,1,8,21,135.23225607412192
9,33,7,13,0,1,1,10,27,165.06643499280253
12,27,9,12,0,1,0,6,27,155.5050001059052
13,29,4,11,0,1,0,10,26,158.13336993266387
13,31,3,12,1,1,1,9,23,147.82732899178706
7,28,2,13,0,0,0,7,22,148.09831544397505
15,28,9,9,0,1,0,12,28,156.30317567316456
7,30,4,9,0,0,0,10,21,140.62898883779715
11,33,6,12,0,0,0,11,25,154.71631612457557
9,31,7,15,1,0,0,6,22,139.93947323630604
8,29,9,14,1,0,0,11,28,166.83730968240783
5,32,5,12,1,0,0,11,23,154.30802920808338
10,26,7,15,0,0,1,12,34,192.6081867468473
15,26,9,12,1,0,1,9,30,167.32811194288718
10,33,7,13,1,1,0,10,24,151.6337859966158
9,28,8,16,0,1,1,8,29,171.6687885681315
13,30,10,11,1,1,1,8,25,146.9137343543366
12,26,8,18,0,1,0,11,30,170.9443521547075
3,32,4,14,0,1,0,8,24,163.99879256127258
12,34,7,11,0,0,0,13,27,159.2872480165947
5,30,14,13,1,1,1,7,28,163.3922967478015
9,24,13,12,0,0,0,7,29,161.4907614795715
13,32,13,14,1,0,0,7,25,142.41692076233426
9,29,11,14,0,1,0,10,27,158.8677820358495
8,29,4,16,1,1,1,13,29,180.65646407831528
10,29,4,17,0,1,0,11,28,171.19215088563055
12,26,10,11,1,1,0,8,28,158.0397843629975
9,26,10,12,0,1,0,12,29,164.89270010504066
8,33,4,12,1,0,0,12,24,156.31907513442127
8,26,6,13,0,0,0,11,27,162.4185621248116
8,27,5,14,1,0,0,12,25,156.7410573937932
11,31,8,18,0,0,1,9,29,171.75387815766933
14,28,9,17,0,0,0,10,33,184.07866185311076
10,30,13,13,1,0,1,10,30,169.60652451030646
13,29,8,14,0,0,0,10,29,168.20815706562607
12,26,14,13,0,0,1,9,31,164.76141208118216
10,28,9,15,0,0,0,10,31,176.8592743254857
13,24,12,15,1,0,1,11,36,190.49276110112456
8,32,8,18,1,1,1,11,27,162.9238253148057
8,27,7,10,1,0,1,8,26,157.53155975083544
7,30,5,13,0,0,1,12,27,168.44829826204986
13,31,8,19,0,0,1,9,29,169.57357739884765
12,30,12,9,1,0,1,13,32,173.58801195747867
9,29,6,16,1,1,1,9,28,171.6322150886929
6,29,11,10,0,0,0,7,26,156.64435622058105
13,35,5,16,0,0,0,9,22,142.1772817348187
12,31,7,17,0,1,0,10,25,150.75930245166415
13,26,5,11,0,0,1,11,30,172.60949871973182
9,26,9,17,1,0,1,11,28,164.12517293546992
14,30,11,17,0,1,1,10,31,171.39182875048235
13,30,4,21,0,0,1,9,29,174.6934375048117
10,30,10,18,1,0,1,13,31,177.44094202322066
11,28,6,19,1,0,1,8,26,156.9799233655329
8,31,10,13,1,1,0,10,27,162.4597311001552
11,26,5,17,1,0,1,7,27,162.78405088399174
6,32,10,17,1,0,0,12,26,159.89762005796464
11,32,7,13,0,0,1,11,24,146.00737403377164
9,31,9,14,0,0,0,9,25,151.54580686310825
12,29,11,15,0,0,0,10,31,174.3850457343841
10,31,6,11,0,0,0,8,21,137.51180625081813
8,28,6,10,1,0,0,10,24,151.68666446003166
8,30,6,17,0,1,1,9,27,167.90740328525737
9,30,5,14,0,1,0,9,25,159.59244283940566
5,28,15,9,0,1,0,10,29,160.49619286296004
4,28,5,15,0,0,0,6,24,161.21629332649087
8,31,3,14,1,0,1,9,25,163.82530784810567
7,32,4,15,0,0,1,9,25,163.58929881262767
9,28,10,12,0,0,1,11,30,170.18838591722346
7,30,7,12,0,0,0,12,27,166.2853520723515
11,30,8,13,1,1,1,9,24,144.85258767751927
7,30,3,16,1,1,0,10,25,165.69743897865226
14,27,12,11,0,0,0,9,27,150.73253539046712
8,30,10,13,0,0,0,8,27,160.2369960599519
9,29,6,15,0,1,0,11,28,170.2908252424096
8,26,9,14,0,0,1,10,31,180.53390911029356
7,27,6,13,0,0,0,11,25,155.19522778871792
6,29,12,19,1,1,1,8,29,169.7816077238834
6,28,7,15,0,1,1,10,29,172.01819309541472
9,27,5,12,1,0,0,7,25,155.45807901286204
13,27,5,15,1,1,1,7,26,156.12560290783478
9,28,11,18,0,1,0,13,29,168.76553753572972
3,28,14,14,1,1,0,11,28,164.87836492919914
8,31,15,17,1,0,0,8,27,154.6129391645027
10,31,11,17,0,0,1,10,28,161.54758617331075
7,30,11,12,0,0,0,9,26,156.7044329410512
9,29,6,13,0,1,0,10,27,162.5893400375457
9,33,7,8,1,0,0,10,21,133.99619211709012
16,27,4,11,0,1,0,6,25,151.57039423228622
13,34,6,15,0,0,1,13,29,175.205134427738
14,29,11,15,1,0,0,10,28,155.47442554555695
11,27,11,12,0,1,0,11,33,182.83407062339555
14,28,10,17,0,0,1,10,32,175.83222264351332
14,29,5,12,0,0,0,13,28,166.4655985907536
4,29,5,11,0,1,0,11,22,147.30698925265452
8,25,6,14,1,0,0,9,27,160.22173927169075
15,27,12,16,1,0,1,11,33,177.79870021462185
10,28,11,14,0,0,0,5,29,163.94036884106086
13,29,12,15,0,0,0,8,28,156.43043404051997
12,31,4,13,1,1,0,7,23,149.30339617930468
9,30,10,14,1,0,0,11,26,153.6487863050237
9,27,6,10,0,0,1,9,27,160.82082046944407
14,29,8,9,1,1,1,10,29,166.94946907816046
11,31,13,12,0,1,0,7,27,154.24825008281633
11,30,9,21,1,1,0,11,29,170.71225894879288
6,31,8,17,0,1,0,6,23,149.07165541695286
11,30,7,15,1,1,0,7,27,163.22410562941369
7,30,16,16,0,0,1,8,27,153.1263350852369
7,34,13,16,0,1,0,7,25,149.6886834815275
8,29,14,13,1,1,1,10,29,163.92245283656692
9,35,8,10,1,1,0,12,25,153.58030764175356
7,29,8,15,1,0,0,14,32,188.58979726644023
13,30,9,20,0,1,1,9,27,155.53754515316731
12,29,8,9,0,1,0,14,26,150.54429804945738
10,29,4,11,1,0,1,11,25,154.57927696182978
10,25,6,14,1,1,0,6,26,158.80913777827698
9,23,8,9,0,1,0,9,28,161.0346538603169
11,29,10,9,0,1,1,8,26,150.8258898035582
10,33,6,15,0,0,1,11,26,159.67206799301175
11,31,8,15,1,0,0,6,23,145.6174114988132
11,29,8,15,0,0,0,7,30,174.86264062809093
9,29,12,11,1,0,0,11,29,163.25030026362774
9,33,13,13,1,1,1,9,26,151.1412406946989
7,28,7,17,1,0,1,6,24,152.49499885011676
9,31,10,14,0,1,1,12,28,163.2178212972385
6,28,9,12,0,0,0,12,27,161.78155493968896
3,28,4,13,0,1,0,9,23,152.27459629409904
11,29,8,13,0,0,0,9,28,166.45544770039993
8,33,7,16,0,0,0,11,22,143.63917496123682
13,29,10,8,1,0,0,12,26,149.92265556342704
7,31,12,13,0,0,0,14,29,167.34730511936596
7,32,-3,12,1,0,0,12,19,145.4197816140155
8,27,2,12,0,1,1,9,27,168.6877408393855
10,29,6,14,0,1,0,9,28,169.35029342440788
8,27,7,9,0,0,1,11,27,160.2162273069115
16,31,7,11,1,0,1,9,26,150.40494484602056
8,27,9,11,0,0,0,11,30,174.45824531049195
5,31,6,12,0,0,0,11,25,161.07963600029956
8,29,8,12,1,0,0,12,27,164.80419379712663
7,27,6,8,0,1,0,6,24,153.04134229540196
1,24,10,14,0,0,1,6,28,169.31993263736035
9,28,14,11,0,1,1,8,27,153.2917262031649
6,26,10,14,1,0,0,11,29,172.50866275719846
8,33,8,13,0,0,1,9,24,154.03669320571152
11,32,9,14,0,0,0,9,23,140.8645560997041
10,29,4,17,0,1,0,7,23,152.26449200554364
10,32,11,18,1,1,0,9,26,156.23104967559027
7,29,10,13,1,1,0,9,24,147.23458430849013
13,33,8,10,1,0,0,11,23,139.53884774674788
12,29,9,14,0,0,1,12,33,187.3470449926514
9,30,9,8,1,0,0,9,28,164.8051239382173
8,33,7,14,0,1,0,9,24,153.78598301624464
12,31,9,12,0,0,0,7,24,145.73264128916918
11,29,10,16,0,0,0,4,26,150.91104459399597
17,29,4,12,1,0,0,9,26,155.05383566171457
15,27,7,13,1,0,0,10,26,147.69664677158366
8,28,11,8,0,1,1,9,28,159.91440158075648
4,32,5,14,0,1,1,11,22,147.46255467448017
12,28,8,22,1,1,0,12,29,166.56843778000368
9,29,10,12,1,0,1,12,29,166.2348524298909
10,28,3,16,0,0,0,12,28,173.86340791619088
10,32,8,16,0,0,0,8,26,161.03285363268404
14,29,7,13,0,1,0,11,29,167.74962506206768
8,29,6,15,1,0,1,9,27,166.30990182950276
8,30,5,14,1,0,0,11,23,149.14817062825455
12,26,8,16,0,0,1,12,33,182.4949911814043
10,29,7,11,0,0,0,8,24,149.15115681235244
7,29,9,12,1,0,1,11,27,157.33056509019224
12,31,12,14,1,0,0,11,27,154.81868853872518
12,31,7,12,0,0,0,13,27,158.84408110232323
9,27,5,16,0,1,1,10,32,190.47531842094023
11,30,13,16,0,0,0,9,27,154.1351559034619
13,32,4,12,0,0,1,12,25,152.6120929526924
9,30,9,13,1,0,1,9,28,164.02120045306933
13,27,16,14,1,0,1,6,29,155.03766081393613
5,30,4,9,0,0,0,11,21,142.52876274999429
12,29,7,15,0,0,1,10,29,167.171844988603
8,33,6,14,0,0,1,9,23,147.57473601164483
12,26,5,10,0,0,1,6,28,167.51230083944904
12,30,7,10,0,1,0,8,24,147.34741549666398
10,29,8,18,0,1,1,11,30,173.71538227818894
9,28,0,12,0,0,0,10,24,158.15801481097478
5,27,11,14,1,1,1,10,26,154.73661059846998
8,28,8,14,1,0,0,9,25,151.91995874808634
10,31,5,14,0,0,0,12,25,155.4110651061218
6,29,3,19,0,0,0,7,25,164.0600829019993
11,30,2,13,0,0,0,8,24,153.98966550586246
13,28,9,17,0,1,1,8,31,175.8541358598315
5,32,4,9,0,0,0,11,22,150.44416439221095
12,29,13,14,1,0,0,9,28,156.0108363654139
12,30,10,11,0,0,0,9,25,147.83732557047915
11,33,8,14,0,1,0,12,26,154.5403701703262
11,27,11,9,0,0,1,12,29,162.22312728252197
6,28,9,10,0,1,0,10,25,152.40583310314133
14,32,15,13,0,0,1,8,30,162.54771111431174
11,33,4,17,0,0,0,6,22,145.8631866974675
9,28,4,10,0,0,1,8,25,154.77545835833956
11,33,9,13,1,1,1,10,25,149.67754897200854
8,31,6,12,0,0,0,8,19,128.9595639790848
8,28,12,10,0,0,0,13,28,160.88712921821565
16,23,6,15,0,1,1,9,35,191.82181675963244
11,27,13,11,0,1,0,11,29,157.06185868404586
12,31,9,16,0,0,1,8,26,155.21076040921275
9,29,8,14,0,1,0,10,26,155.10105018467078
10,32,15,15,1,0,0,10,27,153.58792765064996
12,26,9,15,0,1,0,12,31,171.98449260172205
7,29,11,14,1,0,0,11,31,181.06578567407004
11,30,8,12,0,1,0,12,29,169.92535720079988
11,26,7,15,0,1,0,11,30,174.34582621364976
7,28,12,11,1,1,1,11,28,160.10405254954702
8,30,2,21,1,0,1,9,24,160.3430146367798
3,32,7,14,1,1,0,9,22,149.31813952584488
8,26,6,10,0,0,1,11,27,161.8126564963679
9,30,9,15,0,0,1,7,27,162.39495856826684
13,30,11,12,0,1,0,9,31,173.7437713352408
6,28,5,11,1,0,1,10,23,147.29843947561082
10,31,11,18,0,1,0,12,30,170.58498197946764
15,31,3,17,0,0,1,11,26,160.36077521534548
7,28,4,13,1,1,1,13,25,161.26982150135677
10,30,5,18,0,0,0,9,25,158.64967469866792
9,30,6,15,0,1,1,10,26,159.47568876561652
11,31,9,12,0,1,0,9,26,154.37774355880882
9,27,7,15,0,0,1,12,30,176.7302626708845
10,28,15,12,1,1,0,9,30,164.73281651149605
11,27,5,13,0,0,0,12,28,167.1765925781071
10,30,7,13,0,0,0,10,25,152.7208529096743
14,27,2,15,0,1,1,9,30,176.63677573602243
12,31,7,15,1,0,0,7,25,153.54457163316013
10,29,5,11,1,0,0,9,24,148.74069934567186
10,30,7,13,1,1,0,6,23,146.92375624792828
11,29,11,17,1,0,0,7,27,156.9759355833656
11,29,10,13,0,0,0,9,26,150.94553089710763
12,28,11,12,1,1,0,7,28,157.68060775211669
8,31,8,15,1,0,0,10,25,154.80757978245896
8,30,9,16,0,0,1,12,30,176.80086217646056
7,29,5,16,1,0,1,11,26,163.97747687701067
10,31,13,12,0,1,1,11,28,158.48229171706902
7,25,7,16,1,1,0,8,24,146.90075675066677
10,30,8,13,1,1,0,7,26,159.01510070202326
11,26,5,8,1,0,1,9,27,159.78751113182554
9,32,7,16,0,1,0,8,23,148.8476904913508
10,31,9,16,0,0,0,9,25,150.64324893936922
9,26,7,18,0,0,0,10,27,162.36063621900237
7,31,8,11,1,1,0,11,24,151.80763739541135
8,31,7,17,1,0,1,10,25,158.1452040489732
10,28,7,10,0,0,1,12,26,152.42103309168334
12,28,11,12,1,0,0,6,26,149.6465592790748
13,29,7,13,0,0,0,8,26,151.1647424607982
11,33,8,14,0,0,1,10,25,151.51434970093783
6,27,10,13,1,0,0,6,24,145.9389786004519
6,31,9,13,0,0,1,13,30,178.39854335283246
10,29,5,16,1,1,1,9,27,167.38704155635514
13,31,7,18,0,1,0,9,27,163.67234439151608
9,26,5,13,0,0,1,11,26,157.52563896324637
5,29,6,13,0,1,1,10,26,163.03198256040045
11,32,13,12,0,0,0,9,27,153.8816566431248
14,31,5,15,1,0,0,9,23,143.59510147490246
6,29,2,15,0,1,0,9,23,153.93338891786323
17,30,9,13,1,0,0,10,26,145.64970208209306
