age_of_student,average_study_hours,parental_involvement,school_urbanicity,after_school_program,digital_classroom,final_grade
32,23,0,1,0,0,32.287265055054505
35,17,1,1,0,0,33.62012266622442
43,25,1,0,0,1,32.09754750580371
28,4,1,1,1,1,41.44237804454136
25,23,0,0,1,1,38.698031297628496
35,26,1,0,0,0,30.546523119341888
33,23,1,1,0,0,30.71542825809396
46,11,0,1,1,0,30.26111165790915
48,17,0,0,1,1,33.42592037486774
39,11,1,1,1,1,38.60405462355898
38,19,1,0,0,0,32.191533048017035
34,14,0,0,0,0,35.4171968440007
31,12,1,0,0,0,38.9030594092563
24,16,0,1,1,1,40.43332052527956
29,29,1,0,1,1,35.45864335586999
28,12,1,1,0,1,39.77857562388965
33,18,0,1,1,1,36.9871057994043
32,22,1,1,1,0,32.041724409227726
30,26,0,0,1,1,33.056010245039026
31,13,1,0,0,1,39.23767327425925
40,24,0,0,1,0,30.556960188266565
25,20,1,1,1,1,38.54497536087472
30,23,1,1,0,0,34.57742049976237
46,12,0,0,1,1,34.82562609882356
27,26,0,1,1,0,34.499227167976834
44,15,1,1,1,1,34.32660854094822
14,18,1,0,0,0,40.20602034074
16,17,0,1,1,1,42.27502697315959
37,30,0,1,1,1,30.010289348974585
32,25,1,0,1,1,34.70701496239783
41,21,1,1,1,0,29.02343491660791
23,15,0,0,0,0,39.90956068869951
28,14,1,1,1,1,39.12133442128839
49,20,1,1,0,0,27.37933711037036
40,14,0,0,1,1,36.19031139266337
26,19,0,0,0,0,35.35900464321083
24,18,1,1,1,1,40.41146489577811
21,21,0,1,0,1,39.32847324849829
37,23,1,0,1,1,33.215955271875025
36,13,1,1,0,0,32.99861006381385
28,41,0,0,1,0,30.30799807318128
33,21,0,1,0,1,34.12084126570658
45,28,1,1,0,0,28.75105127211224
25,25,1,0,1,1,37.10154731411532
31,17,1,0,1,1,37.29460350997924
36,16,1,1,1,0,33.34446835029618
28,19,1,1,0,0,32.96821054109878
42,25,0,0,0,0,30.75674831671845
28,13,1,1,0,0,37.39338387961467
32,7,1,1,1,0,37.60347235719158
35,11,0,0,1,1,37.94658455648253
28,18,0,0,1,1,38.04191644442812
37,16,0,0,1,1,35.3992455167461
35,19,1,1,1,0,32.4679605743895
22,23,1,0,1,1,39.93784835313944
37,19,0,0,1,0,33.45930252110484
41,20,0,1,1,1,33.80617283903806
24,9,0,0,1,0,39.89308915423121
31,6,0,0,0,0,37.514273878030565
30,18,1,1,1,0,34.015818996091724
18,17,1,0,1,1,42.08171016323049
17,17,1,0,1,1,42.910852649712496
26,21,1,0,1,0,35.16499822422632
32,26,1,1,1,0,30.907643630322056
22,18,1,1,0,0,38.47990369108581
18,17,1,1,0,1,42.38352365991685
22,29,1,1,1,1,36.43278953086659
31,17,1,1,1,1,35.97519367512283
28,11,1,1,1,0,39.01104212320554
36,18,1,1,1,0,33.147511373631616
32,19,1,0,0,0,35.16214396081705
38,21,0,1,1,1,32.77807537425171
26,20,0,1,0,0,35.36932017717538
23,25,0,0,0,1,37.08062032841299
30,21,1,0,0,1,37.59671807649267
33,19,0,1,1,1,37.86909120957348
32,19,0,1,0,0,35.92716379112569
20,25,1,1,0,0,36.688897806216126
27,20,1,1,1,1,37.85525848826848
9,15,1,0,1,1,46.40735922271984
23,12,1,1,1,0,39.36729159696704
28,12,0,0,1,0,40.46114289439281
28,28,0,1,0,0,32.208707006957376
28,7,0,1,0,0,38.18605547544426
38,21,1,1,0,0,34.41343112965451
17,23,1,1,1,1,38.15399125453021
21,9,1,0,0,0,42.64083966904838
21,20,1,1,0,0,37.38471734476676
33,18,0,0,1,1,36.01313796675945
25,18,0,1,0,0,36.95015490874941
23,25,1,1,1,1,37.30035507909945
36,20,1,0,1,1,34.54433521973202
30,15,0,0,0,1,37.6215732604157
25,9,0,1,0,0,40.121851251066886
29,6,1,1,1,1,40.25927445683939
33,22,1,1,0,0,32.13333909258444
42,24,1,0,0,1,30.13265674463985
26,19,0,0,1,1,38.703904210366765
27,17,1,0,0,0,36.722774492932
25,23,0,1,0,0,36.3106799236497
28,9,1,0,0,1,40.6791744015352
15,29,1,0,0,0,36.18322600860981
33,20,0,0,0,0,34.07592907626233
31,22,1,0,1,1,37.76158242531484
31,30,1,0,0,1,34.85444338447934
27,20,0,1,1,0,35.29139649533771
21,20,0,0,1,1,39.58070788592375
42,24,0,1,1,0,29.761380441145533
25,15,1,1,1,1,40.1245429720226
29,15,0,1,0,1,38.22267290332886
33,19,1,1,1,0,32.84556626774965
39,17,0,1,0,1,32.3768978018315
38,26,1,0,1,1,32.87846309405674
24,19,0,0,1,1,39.60217931571356
21,16,1,1,0,0,39.29440865526609
45,10,0,0,1,1,35.34877592408718
29,23,1,0,0,1,35.71933359065703
33,34,0,1,1,1,32.32109810957953
32,18,1,0,1,1,36.89782538896383
33,28,1,1,1,1,33.039973964827844
33,11,1,0,1,1,38.87867871190646
28,23,1,1,0,0,33.65543500672207
33,13,0,0,0,0,34.97205587745324
28,22,1,1,0,0,32.657672313144374
24,13,1,1,1,0,37.73097772339839
25,12,0,1,1,0,38.12519825981269
12,19,1,0,1,1,44.24977823730112
46,18,1,1,0,0,29.13858795309579
36,14,0,1,0,0,33.344236978760826
37,17,1,1,0,0,29.471495604250386
30,12,1,0,1,1,40.28329186374541
36,16,1,1,1,1,35.819927842134824
39,21,1,1,0,0,29.89254530565591
32,24,1,1,0,0,30.67139023090192
25,22,1,1,1,0,36.561453772244505
40,23,1,0,0,0,30.176198838529952
40,32,0,1,1,1,30.22908502006157
27,23,0,0,0,0,33.60611209185972
33,28,0,1,1,1,34.50089865816269
39,15,1,1,1,1,36.49920751900736
24,24,1,1,1,0,36.97164495774076
17,20,0,0,0,0,39.79155530915347
24,16,1,1,0,0,38.2836426784984
29,17,0,0,0,1,37.87901149692272
35,17,0,1,1,1,34.86002970271329
35,19,0,1,0,0,32.70975484355729
19,15,1,0,0,1,42.18726595019442
27,21,0,1,1,1,36.85565356561186
11,21,0,0,0,1,42.93011478381762
30,26,0,1,1,1,35.710506120141986
38,17,0,0,0,0,34.6903397252345
27,17,0,1,1,0,34.94902148695074
38,28,0,1,1,1,30.74513338302804
29,21,0,0,1,1,38.83415707911955
16,26,0,1,0,1,38.931513175176256
20,20,1,1,1,1,38.42192308361999
29,16,0,0,0,1,38.148890031174254
29,10,1,1,1,1,38.75091628231206
32,8,0,1,0,0,38.56870297854606
16,26,0,1,1,1,39.23527013382326
26,19,1,0,0,0,36.79994270310302
29,32,1,1,0,0,29.12158244892774
29,13,0,1,1,1,39.62468989268866
22,24,1,1,0,0,34.536722450162976
27,11,1,0,1,1,41.50893720734093
33,31,1,1,0,1,31.585831577846847
17,19,0,1,1,0,39.436510112529206
47,17,0,1,0,0,29.215966467219395
33,15,1,1,0,0,33.6503661386326
30,28,1,0,1,1,34.28431819897161
23,32,1,1,0,0,33.24554718199078
27,19,0,1,0,0,35.38961532762766
46,23,0,1,1,1,31.159192511050776
30,15,1,1,1,0,37.57938541799529
36,22,0,0,1,1,31.45501364130395
21,20,1,1,0,1,39.64137724072962
31,25,0,1,0,0,32.479853688765495
17,22,1,1,0,0,38.76084754108868
29,19,0,0,1,1,38.44269475296017
45,13,1,0,0,0,31.521771226361032
32,25,1,1,0,1,33.408811276422654
36,30,1,1,1,1,29.43527895309979
30,8,1,0,0,1,42.0656816713638
26,16,1,0,0,0,38.31442347630877
45,21,1,0,0,0,31.378685581844792
19,9,1,1,1,0,42.3355674818775
32,13,0,1,1,0,36.52825942054948
28,16,1,1,1,1,38.1069532165492
25,6,1,0,1,1,43.86668804204144
30,20,1,0,0,0,33.89020611578324
32,34,1,1,0,1,32.7573435980996
38,21,0,1,1,1,32.02047315440434
32,14,0,1,0,0,34.14943191587222
23,16,0,0,0,0,38.138241103366354
34,8,1,1,1,1,38.35522867701437
26,22,1,0,0,1,38.126654725845015
16,23,1,1,0,0,36.356836388946064
30,27,1,0,1,1,34.08831561836491
30,28,1,0,1,1,34.41449150101082
45,17,0,0,1,1,33.07557909866909
32,17,1,1,1,0,35.071898040286015
26,14,1,1,0,0,38.07550048925221
15,14,1,0,0,0,44.39317079106036
24,24,0,1,1,1,36.330750233221146
27,18,0,1,1,1,39.52296975130484
25,29,1,1,1,1,35.494613577097184
26,27,1,0,0,0,34.69431660791267
34,16,0,0,1,1,37.16885734481977
22,9,1,1,1,1,43.35661545050688
43,36,0,0,1,1,28.345781911925883
35,19,1,0,1,1,35.20200228935812
31,21,0,0,0,1,36.33790792377716
23,10,1,1,1,0,40.75281289246588
41,12,1,1,1,0,33.98043464169089
25,28,1,1,0,1,34.58281472408147
36,28,1,1,0,0,29.080491426147145
25,20,1,1,0,0,35.67740337270173
46,14,1,0,0,0,31.21096928396261
28,21,1,1,0,0,35.19911226889256
41,23,0,0,1,1,32.82066320170949
26,14,1,0,1,1,40.51598278265954
30,25,0,1,0,1,36.446921796223954
33,29,1,1,0,0,31.33671242473906
37,18,1,0,1,0,34.19457820546891
41,14,0,1,0,0,33.23740670554542
32,28,1,1,0,0,30.91107819626497
37,20,0,0,1,1,36.08276178550375
34,21,1,1,1,1,35.65477354134642
24,21,1,0,1,1,37.99498966835283
29,32,0,0,1,1,32.19710145424916
25,29,1,1,0,0,33.07364585173927
26,16,1,0,0,1,39.096289931618806
23,14,1,1,1,0,38.11473630532666
25,19,1,1,1,1,38.83983352543388
25,23,1,0,0,1,36.88200705250723
31,20,1,0,1,1,36.53108382287951
20,20,1,1,0,1,38.94044997202816
26,20,0,1,1,1,37.89215718374231
30,18,0,1,1,0,35.57762318155821
37,18,0,0,1,1,35.16745950760672
37,12,1,1,1,1,38.15468858073821
29,22,0,1,1,1,36.356021124345446
35,21,1,1,0,0,30.87130655346872
15,19,1,1,0,1,40.80836928896263
27,20,1,1,1,1,38.71609417674461
34,25,1,0,0,0,31.94812233841272
31,22,1,1,1,0,33.50503016637348
32,15,0,1,0,0,34.6659913811161
24,22,0,1,0,1,36.31555903841248
25,21,1,0,0,1,38.4305235475856
32,11,1,0,1,1,38.77314620129413
36,13,1,0,1,0,33.51970482573221
31,14,0,1,1,1,38.4474559503508
31,10,1,1,0,1,39.37255986399746
20,17,1,1,1,1,39.84976454213941
20,25,1,0,1,1,38.961516273440935
29,20,1,0,1,1,38.44114981887756
18,17,1,0,1,0,40.05959974845663
26,15,0,0,0,0,38.4235358518708
25,15,0,0,1,1,40.67358424789569
28,24,0,0,0,0,34.16543508002806
39,17,1,0,1,1,34.223576622548585
38,28,0,1,1,1,31.08229563403143
19,13,1,0,1,0,42.2626584116686
32,29,1,0,0,0,31.810585488456493
20,12,0,1,1,1,42.17859418956231
29,15,1,1,1,1,37.05458096300392
20,14,1,0,0,0,39.05414126998356
38,25,1,1,0,0,30.41215798671865
16,26,1,1,0,0,36.72960925908209
40,18,0,0,0,1,36.13045981520628
23,25,1,1,0,0,34.75701084550882
33,20,0,1,0,0,32.72618145531375
36,4,0,0,0,0,37.487566408700914
29,15,1,1,1,1,38.90902590475654
42,15,0,0,0,1,32.878084422788106
29,14,0,1,1,1,36.96587762706962
23,13,0,1,0,0,37.05359895711147
30,12,0,1,1,1,38.76208307553971
26,22,1,1,1,1,36.75843886715857
33,20,0,1,1,1,35.77598265386276
27,11,0,0,0,0,38.76947838342256
31,9,1,0,0,1,41.400471545003015
41,19,0,1,1,0,31.163892421353424
29,20,0,1,0,0,34.74874288838209
33,15,0,1,0,0,35.206458222181475
39,28,1,0,0,1,32.97053113498696
43,14,1,1,0,0,31.14617011395117
29,13,1,0,1,1,40.20525299855724
30,25,1,0,0,0,34.04945616265047
15,10,1,1,1,1,44.86541020935816
24,17,1,1,1,1,40.13634592367292
39,14,0,1,1,0,33.7461525704879
28,13,1,1,0,0,36.54718632472039
26,19,0,1,0,0,34.856054592157854
32,20,1,0,1,0,34.291683878895135
31,24,1,0,0,1,35.68447015736766
22,19,1,1,0,0,37.38606331964109
42,14,1,1,1,1,35.2303564605415
18,17,0,1,0,0,40.06774957076424
43,13,0,1,0,1,33.00755575946446
27,19,1,0,1,1,39.52442230811664
15,21,0,0,1,1,41.36098823517123
40,27,1,0,1,1,31.51462505767831
36,24,0,1,1,0,31.635325006982203
33,25,1,0,1,1,34.93407603417932
32,16,0,1,1,1,35.54211260943292
42,33,1,1,0,0,25.49039980906269
25,27,0,1,1,1,36.418342938430776
32,21,0,1,0,0,33.906611300141584
26,11,0,1,1,0,39.55477747739548
21,37,0,1,1,1,33.124741182608304
23,17,0,1,1,1,41.35577433064118
19,19,0,0,0,0,39.26530061231932
35,18,1,1,0,0,32.111911739627274
31,23,1,0,0,0,33.704742436604995
20,13,1,1,0,0,40.26180564600818
37,13,0,0,1,1,36.64810092836977
22,10,0,1,1,0,39.76102892994609
19,17,0,0,0,0,39.94997401192516
25,22,1,1,1,1,37.905867337126026
21,19,1,1,1,1,37.22735828690729
40,20,1,0,1,1,33.65522141316931
15,17,1,0,1,1,44.3144972958519
26,21,0,0,1,0,37.84598355712544
35,21,0,1,0,1,34.54911445037887
32,7,0,1,1,1,41.21081491129343
0,12,0,1,0,1,50.34373104423045
37,12,0,0,1,1,36.52128637490959
38,21,0,1,0,0,30.79524759893355
25,3,1,1,1,0,40.568156208726855
36,22,1,1,0,0,30.61251320612226
27,19,1,0,1,1,38.294359196191685
50,26,1,1,1,1,27.271158861414182
31,23,1,0,1,1,37.478067126347376
51,13,1,0,0,0,30.71554239199476
16,17,1,1,1,0,40.08674157306263
32,28,1,1,1,0,32.24037809742613
18,27,0,0,1,1,38.8701746033264
24,20,1,0,0,0,37.01266703453441
44,20,1,0,0,0,29.658580998239792
31,16,0,0,1,1,37.495428216281866
21,20,1,1,1,0,38.68588773446522
17,23,1,1,1,1,39.9310807659219
33,24,0,1,1,1,35.70000059661147
6,17,1,0,1,1,46.9161014842835
36,16,1,0,0,1,35.89109912829945
32,18,1,0,0,1,37.700897621154816
20,7,1,0,0,1,43.12051854214116
18,17,1,0,1,1,42.65603403806915
27,15,1,1,0,0,35.324747325122615
42,18,0,0,0,1,34.53065199936875
38,15,1,0,1,0,32.77589038466636
25,21,1,1,0,0,33.29611450433168
29,27,1,1,0,0,34.570123864464875
39,19,0,0,1,1,36.60177446523708
43,19,0,0,0,0,30.684808576880712
28,21,0,0,1,1,35.567954641702464
28,13,1,1,1,0,35.63484390225604
41,14,1,0,0,0,33.048098575714846
17,19,0,1,1,1,41.78145690844039
29,19,1,1,0,0,33.75789969875455
20,26,1,1,0,0,37.612894171046605
19,19,1,1,1,1,39.906447855970384
20,19,1,0,0,1,41.71718227204062
31,10,0,1,1,0,36.904369176958994
24,11,0,0,1,0,39.13182636626647
31,12,0,1,1,1,38.36800972177287
39,26,0,1,1,0,29.740811986587808
18,21,1,0,1,1,42.392738626927
16,22,1,1,1,0,38.18243134691708
37,20,1,0,0,0,32.315688617093
54,9,0,0,1,0,28.91133811709306
32,25,0,1,1,1,33.42181929693063
24,18,0,1,1,1,39.21072315964173
25,25,0,1,0,0,34.47510489605007
20,16,1,1,1,0,40.56588896453677
41,25,0,1,0,0,29.32646298565947
35,25,0,1,0,1,32.423136576960964
36,22,0,1,1,1,32.00190513608126
28,21,1,1,0,0,35.3002381294191
20,19,1,0,1,1,39.33933956114971
30,25,0,1,1,0,33.78370518424244
27,26,1,1,0,0,32.34862252257903
30,12,1,0,1,1,38.862190329245614
29,21,0,0,0,0,33.166899043928844
28,9,0,0,0,0,39.00926237227198
16,19,0,1,0,1,41.08474856748877
29,16,1,1,0,1,36.77935339477845
22,14,0,1,1,0,39.813392444928056
19,23,1,1,1,1,39.353509579615626
33,21,0,1,0,0,33.79440845871868
37,24,1,0,1,0,33.41149723087191
31,26,1,0,0,0,32.28295407601737
30,8,0,1,1,0,40.26166817439688
14,24,0,1,0,0,39.03098713461681
26,11,0,1,0,0,37.88492469487736
24,17,1,1,0,1,38.37866956781717
34,15,1,1,1,1,36.141863583168536
39,19,1,1,0,0,30.627601388816657
27,21,1,1,1,0,34.01131336720112
11,23,1,1,1,1,41.84829756222201
32,13,0,1,0,0,35.7755530049684
38,13,0,0,1,0,34.14251204250243
28,15,1,1,1,0,38.19988041905998
36,25,1,1,1,1,34.44460222167043
26,28,0,0,1,1,37.38419876061565
27,14,1,0,1,1,39.6127533590896
32,18,0,1,1,0,34.52586252990262
15,18,1,1,0,0,40.6271529483887
15,22,1,0,1,1,42.028973782588935
16,13,0,0,1,1,43.6884822348186
22,11,0,0,1,1,43.71843822653004
33,17,1,1,1,0,34.525821399469656
29,19,1,0,1,0,35.01621461554674
46,14,1,0,0,0,32.73942569812079
43,13,0,0,1,0,32.72565379140587
33,27,0,1,0,0,30.64855321934372
26,15,1,0,1,1,37.963187027689344
41,15,1,0,0,0,32.175471418980344
35,28,0,1,0,0,30.770226500821945
41,20,0,1,1,1,34.08924741484762
39,20,0,0,0,0,31.566977474366407
16,16,0,0,1,1,42.6734351139233
14,20,1,0,0,0,40.6740473905886
35,14,1,0,1,0,35.967854764356694
18,19,0,1,0,0,39.08791441188795
19,17,1,1,1,1,39.23390948130439
45,28,1,1,1,0,25.563005175641926
26,22,1,1,0,0,35.88419121897109
20,15,1,0,1,1,42.77254274402812
38,15,1,0,0,1,36.13728617035564
26,14,1,1,0,0,39.73000856613959
44,13,1,1,1,0,31.73736667078892
43,22,1,1,1,0,30.157346474646378
20,29,1,0,1,1,36.05362725229004
21,29,1,0,0,1,37.60013810775649
38,15,1,1,1,0,35.29042487335635
32,12,1,0,0,0,36.01034886433868
30,23,1,1,1,1,36.68270299883356
20,11,1,1,0,1,42.601915376527366
29,8,1,1,0,0,37.010306357490045
33,21,1,0,0,0,34.30440179075466
26,21,0,0,1,1,40.05721761135924
25,16,1,1,1,0,38.73145578718364
31,19,0,1,1,1,38.97263960170913
26,22,0,1,1,1,37.877783855706056
18,19,1,1,1,1,41.01709208275917
41,23,1,1,0,0,30.234959348025427
24,27,0,0,1,1,36.12324464671252
25,19,0,1,1,0,36.42688031548759
35,12,1,0,0,0,35.190813434860104
35,18,1,0,0,1,36.11599996124477
35,14,0,0,0,0,34.35931094709209
24,26,1,0,1,0,35.20482712876087
30,27,1,0,0,0,33.16424833176015
30,13,0,1,1,0,36.82793190918355
28,11,1,1,1,1,38.32725833558371
29,29,1,0,0,0,33.519294935758246
41,28,0,0,1,0,26.79486481552304
22,16,0,0,0,1,43.207000880131055
19,9,1,1,0,0,42.52957914824843
39,10,1,1,0,0,34.66598654134662
21,26,1,1,1,1,37.889834168943416
33,17,0,1,0,0,34.69882510813026
44,9,1,1,0,0,32.37706123262434
32,22,1,1,1,1,36.03258368855073
