education_years,weekly_hours_worked,gender,union_membership,local_unemployment_rate,job_training_program,annual_income
12,28,0,1,7,31,165.54338867243763
6,28,1,0,8,30,158.57057401980936
8,31,1,1,10,35,181.7292415059028
13,29,1,0,10,34,179.75931039095565
11,27,1,1,5,31,167.25902449361965
8,32,1,0,10,33,172.8029728199371
14,25,0,1,10,35,190.2773766125979
12,29,1,0,8,34,183.83649404154735
12,32,0,0,6,34,179.29307547968793
7,30,0,1,8,30,156.66076345783682
12,32,0,0,8,33,174.41217870558032
10,32,0,0,7,33,171.09355339814022
8,32,1,1,3,29,151.56062485420844
7,30,1,0,4,31,166.32767576127543
9,31,1,1,7,30,158.3426888465089
8,32,1,0,6,29,154.16250193000533
6,24,0,0,7,33,181.25047762666372
13,29,1,0,4,32,170.3897784449574
11,29,1,0,9,31,163.90107054893215
11,29,1,0,10,34,182.04589992851172
8,33,1,0,7,32,165.42825365215754
7,32,0,0,6,35,185.64849118230296
15,29,0,1,9,36,192.00310367196428
6,31,0,0,1,31,165.78409955656295
6,32,1,1,7,32,168.0268457769091
7,29,1,1,9,33,174.19224701126203
8,23,0,0,6,30,163.67934128205445
14,27,1,0,6,30,161.3624050332894
10,26,0,0,8,33,176.91290890800008
12,28,1,1,9,34,182.22797922069327
14,29,0,0,5,33,181.308061646442
5,35,1,1,8,29,149.61359746121684
9,30,0,1,6,31,164.41835665523195
9,24,0,1,8,30,166.40131132987227
10,31,1,0,6,32,168.5703559610273
11,33,0,1,6,34,180.05545345040434
14,30,0,1,8,35,182.96014771485
13,30,0,0,6,33,175.64628071429016
9,30,0,0,8,34,180.66902101241456
8,30,0,1,9,31,163.66667002310427
12,25,1,0,10,34,182.084086411441
14,32,1,0,4,31,163.9455833973171
8,32,1,0,11,35,184.8399863580391
11,28,1,0,9,32,169.22346482083344
7,28,1,0,9,31,165.9999563718892
9,29,1,1,9,34,183.18300635339324
4,30,1,0,5,30,159.42915780899278
7,27,0,1,7,30,159.54970978566246
8,33,1,0,9,36,190.1885271215342
9,29,0,0,9,33,174.11977933078737
10,28,1,1,3,31,165.30856256823708
10,28,1,0,8,33,176.10415399399895
9,31,0,1,11,34,179.82142397577428
11,29,0,1,7,32,169.67364774665367
5,31,0,0,9,33,174.79179367255406
5,30,1,0,4,30,158.59288109473127
7,33,0,1,8,30,153.54766552034067
9,29,1,0,9,34,177.0494559374178
12,30,0,0,5,34,181.868299562738
3,29,1,0,6,30,159.13297302154393
10,29,0,1,3,29,155.35612047073406
12,31,0,1,4,31,163.01146425845553
13,27,1,0,8,34,184.32685468561425
7,30,0,0,10,32,170.86438632969794
8,25,0,1,9,34,181.57319369843927
9,29,1,0,8,31,166.72517524422574
10,29,1,0,6,34,183.2013016265856
6,31,1,0,12,37,193.62588526143352
10,29,0,0,12,33,172.8635804926619
10,31,0,0,6,32,166.48065869765898
12,31,0,0,8,34,178.55202399735288
11,29,1,0,9,32,170.67371624285389
10,34,0,1,7,31,162.091330696444
13,32,1,1,6,32,168.04783180912926
13,32,0,0,2,29,150.14338923908096
8,31,1,0,8,33,171.33180537593225
9,31,0,1,8,33,171.17052133225948
13,32,0,0,6,34,180.09773882755948
10,31,0,0,5,33,171.9850703701244
9,26,1,0,7,31,167.0629390884939
10,26,0,0,7,35,190.42694884546052
8,26,1,1,7,31,168.31259777010823
15,28,1,1,8,31,162.9147201183632
8,30,1,0,8,32,169.9316417095351
11,34,1,0,8,33,170.777461216526
12,28,1,0,9,31,164.9317664736225
9,26,0,1,9,34,182.33171615285772
8,28,0,0,3,32,172.1284854272269
11,26,0,0,9,32,169.56323790326186
6,27,0,0,9,32,168.67242307729674
10,29,0,0,9,34,179.65368651684082
8,32,0,0,9,34,179.15588912018538
10,29,1,0,4,28,148.16735941134053
10,29,1,0,9,34,182.6484014967477
10,27,1,0,12,34,181.38406336836084
8,36,0,0,10,37,190.21694790775143
9,31,1,0,7,32,167.0440698289359
14,28,0,0,5,32,171.5504674852213
7,29,1,0,10,33,175.44946289989147
11,30,0,0,9,36,190.0759516488021
9,25,1,1,3,31,171.50836617787067
12,28,1,0,10,35,188.0984722970786
11,27,0,0,6,32,170.52383247589958
11,29,0,0,4,31,163.91382929293994
7,32,1,1,8,34,178.66365357889944
11,30,0,1,9,30,159.35363358200604
9,29,0,0,7,33,177.99020154904514
9,31,0,0,7,29,152.0723415431695
8,30,1,1,12,34,177.7584237270141
10,29,0,0,5,33,175.24417431226357
9,31,0,1,7,34,180.3711225655208
9,31,0,1,9,31,162.12646322217097
9,32,0,1,6,32,167.86037199232138
10,26,0,1,9,34,181.24353346510537
10,30,0,0,8,33,171.0509565529672
11,32,0,0,6,30,154.34533238771562
10,27,1,0,6,32,173.3300849618346
10,28,1,0,3,32,171.17787027410048
8,31,0,0,9,34,177.9659816738806
9,26,1,0,8,34,187.44043239516304
9,26,1,0,4,31,169.8591655848342
13,28,1,1,6,31,167.22880985865623
10,33,1,0,8,31,162.94030550375882
11,31,0,1,6,35,183.5648257322982
6,30,1,1,10,36,192.6144051136584
11,26,1,0,8,34,184.5659164238668
12,30,0,0,6,34,181.5798896255316
12,27,0,0,7,36,192.22650985254563
10,29,1,0,7,32,168.9598941524439
10,27,1,0,9,38,204.2462895720357
16,26,1,1,11,33,177.67884800484248
10,28,0,1,5,31,170.431350718993
8,27,0,1,8,30,160.91151381032597
8,29,0,0,8,33,174.87843734011938
12,27,1,1,5,30,160.88184780932562
12,30,0,1,9,33,174.0669811059251
15,29,0,0,7,35,189.2322995490372
7,27,1,1,10,32,168.5935069268739
9,29,0,0,12,35,184.07311987864196
11,29,0,1,6,30,162.4191425535657
10,29,0,0,8,34,179.74775133492804
12,31,0,1,8,31,163.73422692143046
2,30,0,0,4,32,169.82146524119628
10,29,1,0,5,34,182.03085401215577
5,34,0,0,7,32,163.27329459898618
10,27,0,0,10,33,178.33301926810918
7,32,1,0,7,34,176.70198771274502
9,34,0,1,8,32,164.91417007252454
13,30,1,1,7,31,165.07813444124915
5,30,1,0,5,31,164.9339384430149
12,30,0,1,12,34,176.0337453667217
7,26,0,1,9,33,178.42005409617508
9,33,0,0,8,34,177.6889497815413
7,27,0,0,7,34,182.99549364289777
9,30,0,0,7,31,162.6100132766372
11,28,0,0,4,33,178.7778451324348
8,28,1,0,8,31,163.99939911400588
6,32,1,1,7,31,162.9784147107394
8,27,1,0,8,34,183.7434736793197
13,31,0,0,8,34,179.92326662008225
5,31,1,0,6,33,173.80837235310366
6,32,0,0,10,34,175.34637586994154
3,31,0,1,7,33,172.6934118098912
9,28,1,1,7,30,159.97630158631253
5,30,1,1,6,32,168.25829444696475
5,28,0,1,9,30,159.46445851491455
8,27,0,0,9,33,178.09178546164588
4,31,0,0,10,32,169.94341633583886
9,28,1,0,5,32,172.32290602776897
9,29,1,1,8,32,173.4277628006211
5,29,0,0,6,32,166.3599831598561
12,31,0,0,8,32,168.9604325885299
12,26,1,1,5,31,166.82986945573342
6,30,0,0,7,33,170.8756174415392
11,33,0,1,9,33,173.25402091053468
10,28,0,1,8,31,164.91373294098526
15,30,0,1,8,34,177.20277891696054
13,28,1,0,8,35,188.014947363049
10,32,0,1,6,29,151.01673859122306
8,30,0,1,7,32,165.63192015901743
11,29,1,0,7,32,171.85401125858405
12,28,0,0,7,34,180.09750555030857
7,27,1,0,10,32,170.81907482679358
4,27,0,0,9,32,172.56214095727293
9,32,0,0,4,32,169.33987491402303
9,35,0,1,8,33,169.4780442006874
12,32,1,1,5,29,156.07780408311308
9,29,0,0,7,35,187.0892940153392
6,27,1,1,8,32,171.19359905531107
12,31,1,0,8,34,178.5844050809421
2,30,0,0,10,33,175.74390069640194
12,29,1,0,8,33,176.46976420127052
11,27,0,0,11,35,185.2413319775458
7,26,0,0,12,36,196.46856079603904
9,29,0,0,7,32,171.38128121097347
13,30,0,0,7,36,191.73854863320852
9,30,1,0,6,31,165.34564382466246
11,28,1,0,8,31,161.1530089274684
6,31,1,0,9,32,168.62715527319247
7,28,1,0,9,35,187.2752924608752
5,32,0,1,6,30,155.90024114708757
8,30,1,1,5,31,164.3072656296237
9,30,1,0,7,32,169.488646266107
8,31,0,0,6,32,167.6822687485592
13,29,0,0,6,32,168.57958848198638
9,29,0,0,6,31,163.4812412533356
13,33,1,1,9,33,171.11985469760927
10,30,1,0,7,32,170.17117325988733
10,30,0,0,5,35,186.8725976425607
8,28,0,0,9,34,182.6454763246428
14,24,0,1,8,30,164.04543960367803
12,29,0,0,8,34,182.45475757259095
14,34,0,0,9,32,165.2625127085247
16,30,1,0,6,33,176.25268678597436
10,32,1,1,5,30,156.2458532732721
17,28,1,1,5,33,179.7510352878918
13,33,1,0,9,35,179.87538975273222
9,31,1,0,6,34,182.02287131114
7,30,0,0,8,32,169.32725230664698
10,28,0,0,5,34,182.6769944643217
9,28,0,0,9,32,168.84986924721423
11,33,1,1,9,30,151.97224348130695
13,30,1,1,6,32,164.51207052775308
8,28,0,1,9,33,178.31826459462252
5,30,0,0,5,29,154.21373451768048
13,27,1,1,6,32,172.51904720722996
7,27,0,0,7,35,183.80126337808971
9,28,0,1,6,32,172.68758509679313
12,27,0,0,7,33,178.79742599739478
9,30,0,1,9,32,168.02872804430993
8,26,0,1,5,32,174.93617777174532
13,29,0,0,6,31,165.25370000993354
12,31,1,1,6,30,157.05407267024873
10,30,0,0,9,32,168.28015792607678
10,28,0,0,6,31,167.83723175644522
4,25,0,0,6,33,180.88393976926676
14,30,1,1,7,33,173.89731683810535
7,32,1,0,7,32,166.54835473392038
13,26,1,1,9,31,166.97156573582615
6,31,1,0,11,33,172.1245246253165
11,29,0,0,7,35,187.0674595699456
8,28,0,1,7,33,178.61183690531564
12,30,1,1,8,30,159.40650583559213
7,27,0,0,3,31,167.4371672742785
12,27,0,1,9,33,175.99010499955568
12,32,0,1,6,32,170.4450707850503
8,30,0,1,5,32,170.61785462267486
10,29,0,0,7,32,168.7002078120733
9,33,0,0,9,34,176.3483308370658
4,31,0,1,7,31,165.18492677602427
10,32,1,0,7,34,177.2756603686138
12,30,0,0,6,33,173.85520738357704
9,30,0,1,9,34,177.70627287205187
11,29,1,0,4,33,176.0149988206877
13,30,0,0,10,35,184.47354126831016
4,30,0,1,8,31,163.66468253066765
13,31,0,0,11,39,203.5655167315008
11,27,1,1,4,29,159.5946910622809
8,30,1,1,8,33,174.15874197708976
14,32,1,0,8,34,179.98854349033886
9,30,0,0,3,31,164.38267906883107
10,34,0,1,11,33,171.8181909511812
10,31,1,1,10,32,167.17869653161748
11,26,1,1,7,31,164.43356183113283
7,30,0,1,10,34,178.643063732234
12,35,0,1,8,33,171.76162917737054
5,28,1,1,6,31,167.78391022065222
9,27,1,0,10,33,178.33131416180066
5,27,1,0,9,31,167.8469364013205
10,29,0,1,6,30,159.65661901935405
7,31,0,1,7,31,164.34578699814583
6,30,1,0,8,34,180.1894988526344
14,33,0,1,11,35,181.5706569000508
8,28,0,0,7,34,181.6902152205883
10,30,1,0,5,29,153.06472758293037
8,30,0,1,5,31,165.3865856076314
10,29,0,1,5,31,164.75907705291198
11,27,1,0,6,33,179.098804459761
12,29,0,0,8,34,181.64549817956237
13,32,1,1,5,29,153.81938919036585
9,26,1,0,9,33,179.75882644308163
9,30,1,0,7,34,179.55926333739453
7,32,1,0,8,35,182.8962512153897
7,30,1,0,8,33,174.16511786102436
9,30,0,0,10,34,178.43643728207817
11,32,0,0,7,33,171.77835218584394
12,28,1,1,8,34,182.6700319167316
11,31,0,1,11,35,185.588913571957
10,30,1,1,9,33,176.0677563978347
11,32,0,0,7,32,163.6730408805227
9,28,1,1,12,33,173.69497402601402
6,28,0,0,6,30,160.60206846664377
4,34,0,1,6,32,165.80013515406318
8,28,1,0,10,34,182.7211068011605
15,28,1,0,10,36,191.796727026543
8,28,1,0,2,28,150.5341084561275
5,32,0,0,8,33,170.23079149343897
10,29,0,1,6,29,155.35016435399635
9,31,0,0,8,34,177.62318764370357
10,32,1,0,9,34,176.33766205230262
11,32,0,1,8,32,165.82089463649578
8,27,0,1,8,32,174.3745892311018
13,31,0,0,6,34,176.4548663992102
11,32,1,0,7,32,167.68427543511038
9,33,0,0,6,33,168.1529403276718
14,27,0,0,7,32,171.5893704340446
4,30,0,1,8,32,172.76486996697017
6,30,1,0,7,33,172.05715018321428
13,36,0,1,9,31,159.35962131604325
11,25,0,1,7,35,190.06909431474492
12,32,0,1,6,31,159.48329881740574
11,35,1,0,7,35,178.69477552368372
11,28,0,0,7,31,166.1947158104294
7,31,1,1,8,32,169.2974188350907
11,31,0,0,6,30,157.27627353591336
10,29,1,1,9,31,164.0284692156635
7,33,0,1,8,32,166.28707554475105
14,27,1,1,9,34,179.5478411358981
9,28,1,1,8,31,167.43502952798778
9,31,1,1,4,28,149.16610528689174
9,28,0,1,6,31,166.02589783314542
11,28,0,0,2,29,156.1886531115023
9,30,0,1,4,29,152.73706199415335
10,31,1,0,8,33,171.33182766678758
8,32,0,0,4,30,156.65498381964127
14,24,1,0,7,33,180.28759267834053
7,29,1,0,7,32,173.26707446299844
11,23,1,1,9,32,175.91128133623025
9,30,1,0,5,32,170.48942009940637
12,31,0,1,6,29,152.55878160549835
9,26,1,0,7,33,177.31707937991155
9,32,0,1,5,29,153.24545773151144
10,30,1,0,7,36,191.39719409571148
9,28,0,0,7,34,181.5553511456453
15,26,0,1,9,34,184.05621092749232
9,32,0,0,4,32,169.15440996292372
9,28,0,0,11,36,192.87578844453728
8,30,0,0,9,35,184.46962974931523
12,30,0,0,8,33,172.49786868861315
4,31,1,1,6,30,161.19264181956467
13,29,0,0,10,35,183.57719931887064
12,29,0,1,6,32,171.33933491620294
10,28,0,1,8,33,174.1759353401433
9,33,0,1,7,31,161.86437332136333
10,34,0,0,7,35,183.84958013458063
11,27,1,0,5,32,171.02136801467643
8,25,1,1,9,33,183.76812362149607
6,30,0,0,6,33,174.77412522114926
11,29,1,1,7,30,160.39427854565852
7,27,0,1,6,33,178.2422508811938
9,32,0,1,1,33,174.01105092633406
12,29,0,1,5,31,165.0005645882371
12,30,1,1,10,33,175.92219203618149
7,30,0,1,7,30,158.02823469891186
7,28,1,0,8,34,181.2697942791332
12,28,1,0,8,32,170.2029503611052
8,31,1,1,9,30,159.1799412872878
8,32,1,0,6,34,181.5379084450548
8,33,1,0,6,32,168.4564290163507
11,30,1,1,5,30,159.5501182859342
9,27,0,0,8,32,173.22210363093282
6,32,0,1,5,30,157.64751839308715
12,27,0,0,8,33,177.15792966741492
9,26,0,0,12,35,187.1948090855691
6,30,0,1,10,35,187.82613220218323
11,27,1,0,6,32,173.98728595991585
12,26,0,0,8,32,172.10548562073
10,26,0,1,7,31,167.66562328734466
9,30,0,0,11,35,182.9259611228402
11,29,0,0,5,33,176.86080012781062
11,27,0,1,5,31,169.3605141622028
11,28,0,1,7,32,173.00174685127504
9,32,1,0,7,32,167.57171828507623
7,30,0,0,7,34,179.02496251405157
8,35,0,0,6,34,177.88194362113492
18,34,1,1,11,34,174.0355257542032
11,32,0,1,10,33,169.49983752748253
6,26,0,0,10,34,182.3416361935641
12,32,0,1,5,30,159.33637538731548
14,33,0,0,9,36,187.82413306856748
7,29,0,0,7,32,171.42958551643923
13,31,0,1,7,34,178.9168296670227
9,30,1,0,7,32,168.9726307868916
9,28,1,0,7,32,168.648889902304
12,30,0,0,8,35,183.5591351476313
10,30,0,0,5,32,169.770037833669
8,31,0,0,8,33,172.00720372161248
8,32,0,1,7,33,171.73180680184296
9,31,0,1,9,32,168.64227799674785
11,29,0,0,7,31,161.85092032847064
8,29,0,0,6,33,177.18788432785385
12,30,0,0,8,34,182.15846932413072
4,29,0,1,9,33,177.19342293629114
4,30,0,1,8,32,172.65955726088444
14,31,0,0,8,35,185.7836414305142
11,27,0,0,9,35,186.54248599412
4,28,1,0,5,32,170.85855584966356
10,27,0,0,11,37,198.7484701461281
5,29,0,1,5,29,155.71615095923488
13,30,1,1,9,34,180.2600948888464
10,35,0,0,5,31,159.9177257700145
14,28,0,0,2,33,179.64600775942804
8,30,0,1,9,35,185.79952536347088
10,25,0,0,7,32,175.48609918496635
12,28,1,1,10,33,174.26322253070103
11,30,0,1,4,30,157.37305088637206
15,28,0,1,6,33,177.57576454104105
9,33,1,1,8,31,160.5367703930424
10,37,0,1,9,34,172.4384056047668
9,30,0,0,5,33,175.23730679376297
9,28,1,0,4,30,163.88025665518467
7,31,1,1,9,33,171.27129409186472
10,34,0,1,7,32,163.94301281197488
8,30,1,0,6,30,158.95378273332724
6,26,0,0,10,34,181.4839099127716
12,31,1,1,8,31,161.45331766005387
10,27,1,1,7,31,165.0162341272638
11,30,1,0,7,32,169.38239920153174
7,25,1,0,6,29,159.12233909117913
10,31,1,1,4,30,157.39260091223412
10,29,0,1,6,32,170.76475482653032
9,29,0,0,10,32,170.40339116769383
4,32,0,0,8,32,169.11141238984325
11,29,1,0,8,34,181.25871532534563
8,31,0,1,6,32,168.8020562161789
8,28,1,0,11,36,191.91717653060735
9,27,1,0,8,31,168.17375546375965
10,33,0,0,8,35,181.44031213620545
8,32,0,0,8,33,170.19449029630474
14,33,0,0,9,35,182.0854326999499
14,23,1,1,9,32,176.98130808344553
6,31,0,0,10,34,177.51804739898222
9,32,0,1,6,31,161.71842734945778
14,30,0,0,9,35,186.13124610187865
10,27,1,0,7,33,177.07951205189937
14,33,1,1,6,31,160.1373171528047
7,33,0,1,10,35,182.5554041068439
10,29,1,1,7,30,161.93246009197506
13,29,0,0,8,35,186.48506572674967
10,30,0,1,8,34,181.51013149085315
13,32,0,0,12,35,179.32914025082462
11,33,1,0,6,32,166.41546517459074
11,29,0,0,7,32,170.23801926823316
10,27,0,1,10,35,187.61525588691376
9,31,0,1,5,30,160.72952944967588
13,31,1,1,4,29,153.41419607195536
11,31,0,1,8,31,161.76735132746117
6,27,0,0,6,33,179.3971391033208
11,28,0,0,10,34,181.61117772187137
9,29,0,0,5,31,163.98116193669028
9,31,0,1,9,31,159.9658655437186
7,30,0,1,7,31,164.69391492152045
13,26,0,0,9,36,193.30473675112265
10,27,0,0,6,34,182.34554525976264
5,31,1,1,9,32,169.06450251468578
9,31,0,1,9,35,183.13951317054148
13,32,1,0,9,32,166.1546715360956
6,25,0,0,10,33,179.76594991283682
7,33,0,0,9,34,176.9579899149927
10,26,1,0,9,33,177.44467032213836
12,28,0,1,7,33,174.51806086175583
5,28,0,1,9,31,166.6548175837518
9,25,1,0,10,34,182.9242500413231
11,28,0,0,5,32,168.83229524717103
11,31,0,0,5,30,157.2677353531342
8,32,0,0,7,34,178.8529867405559
9,28,0,1,7,32,171.9021375404226
12,27,0,1,7,31,166.52223634480362
11,30,0,1,8,32,169.63312960134533
14,30,0,0,9,35,188.0204174830258
6,28,0,1,8,35,185.1922773836584
6,33,0,1,8,31,159.22587441132868
8,26,1,0,6,30,165.57403657388895
4,27,1,0,8,33,178.64535417393512
7,30,1,0,11,35,186.6593311736812
8,26,0,0,9,33,177.01328727410953
5,32,1,0,7,32,167.64206991726635
11,27,0,0,9,33,177.45544351891797
10,35,1,0,9,35,180.7765731276256
8,27,0,0,3,33,178.40189927730785
8,30,0,1,6,30,158.4855235265358
11,31,0,0,9,35,183.6098336137605
14,29,0,0,6,31,167.00970965325394
3,30,0,0,8,35,185.86936831925303
5,28,1,0,6,31,167.08976603578813
2,27,0,0,7,33,177.66683319329138
8,34,0,1,7,35,181.44376981449824
1,29,1,0,7,31,164.4474932147502
10,32,0,0,7,31,161.85345515072817
6,29,0,1,4,32,170.56794064068114
8,30,0,0,8,34,179.82187340451512
7,28,0,1,6,32,170.96748853192625
18,28,1,1,6,31,167.0558887288864
11,29,0,1,8,32,169.40953023080675
13,31,0,0,7,30,156.99119074947265
11,31,0,0,9,35,184.6129066806156
7,28,0,0,6,35,188.5869300676598
11,29,0,1,5,31,165.2078251476793
11,27,0,0,8,32,170.8508669766875
11,29,0,0,11,36,191.867608035827
10,29,1,0,8,34,180.8092001867039
8,30,1,0,8,30,158.34867137430442
8,29,1,0,8,30,158.20139088830842
10,28,0,1,5,31,166.9793025364079
11,27,0,0,7,32,175.1117411641968
3,26,0,0,8,30,161.55894103252072
8,30,1,0,8,33,174.8176778662375
13,27,0,1,7,32,172.46954313186097
8,26,0,0,4,36,198.19392214377888
8,33,1,0,7,33,169.65892471561105
9,31,0,0,8,34,179.11016781167527
11,31,0,0,6,32,167.48748586493443
6,30,0,1,7,32,171.653939632363
13,26,0,0,12,36,193.9851593430904
11,29,0,1,3,29,158.88259005424962
10,32,0,1,9,35,185.50118654215595
14,28,1,0,11,34,182.22901795289349
11,30,0,0,8,34,178.61332257052288
8,25,1,0,9,32,175.02849367832602
11,28,0,1,6,32,169.99427163913722
10,26,1,0,7,32,173.90226100334303
8,27,0,1,6,32,172.55223706939412
7,31,0,1,7,34,179.88464242676002
8,32,1,0,6,31,161.53273732074229
10,29,0,0,7,34,182.4474625104366
10,29,0,1,9,34,179.4380778400964
6,31,0,1,8,30,153.91273318846993
7,33,1,0,5,30,155.81642038012507
11,31,0,0,7,32,167.93930667125613
7,29,0,0,6,32,171.72044102683927
6,28,1,0,12,33,173.02743954437634
7,25,1,0,8,31,167.90136311486117
10,31,0,1,9,34,177.35050405022457
10,25,0,1,10,32,175.43379580455317
7,34,1,0,8,33,168.32136719383135
6,31,0,1,9,33,173.86495787845885
9,34,0,0,7,32,165.4853931626972
13,31,0,0,5,32,170.5003898084833
10,22,0,1,7,30,168.13314717995576
10,28,0,0,5,28,150.66954318336644
7,30,0,1,10,33,173.44045212327063
6,33,1,1,8,30,154.82188786302328
11,32,1,0,8,34,180.5304275936384
10,27,0,0,7,33,177.3702427126307
14,30,0,1,12,38,199.2054152482201
17,29,0,1,7,31,164.93242887210917
11,29,1,1,6,30,159.24174237644633
8,29,0,1,10,34,180.98399705583992
8,30,0,0,7,33,176.05253498732768
9,31,0,1,12,35,181.16276267440333
12,28,0,1,9,31,163.0487473059368
7,28,0,1,7,33,174.28555113846937
7,31,1,0,4,29,152.3197599827178
5,31,1,0,10,30,157.38912794931508
12,31,0,1,6,32,168.97650197614294
7,32,1,1,10,33,174.06330853307497
6,32,0,0,9,31,161.0842056469544
13,26,1,0,9,36,196.6269654323869
9,33,1,1,11,32,165.83078130346084
12,24,0,0,6,34,185.46809486203043
6,29,0,0,10,35,184.23011431550083
7,32,0,0,9,34,179.99520240333266
11,32,1,0,9,34,178.55491499430676
5,32,0,1,6,29,152.36806154212778
10,28,1,1,11,34,183.54450277353772
15,28,0,1,7,35,185.14941262642992
5,27,0,1,9,33,177.4418095700141
9,29,0,1,5,33,177.02081759267205
8,27,0,0,6,33,177.51195317606812
8,30,1,1,7,30,156.4490195372067
13,31,0,1,12,35,184.3249137914817
12,27,0,0,7,34,185.33201539589004
8,27,0,0,7,34,182.61236563861948
14,24,0,1,9,34,184.2729153747475
9,27,0,0,6,34,183.0359758606656
13,27,0,0,5,34,183.89467766334712
8,26,0,0,7,34,184.0988491814171
12,26,1,1,7,30,163.02712967348845
9,31,0,0,10,32,166.78077052017545
13,30,1,1,5,28,146.69141966158983
9,31,0,0,9,34,179.7337969211423
10,30,1,0,7,33,173.30716032870106
3,27,0,0,7,32,169.6745091159843
10,35,0,0,8,34,174.7073970602018
9,31,0,0,6,29,153.88265129082382
10,27,0,0,6,33,179.91280866458274
10,27,0,1,8,35,187.1714551232085
8,28,0,1,7,33,178.2213210866318
8,32,0,1,6,32,168.97634526252494
6,27,1,0,5,30,164.6589047774121
8,30,1,0,7,33,174.04048108487368
8,31,1,0,10,34,177.20789128115743
4,30,1,0,5,31,167.0264714446828
9,28,0,0,5,30,161.73364437570805
