defendant_age,lawyer_experience,prior_convictions,legal_aid_received,accepted_plea,restorative_program,recidivism_rate
18,20,0,0,0,1,82.83523763801433
32,21,0,0,0,1,87.61725418783315
37,26,1,0,1,1,96.54821257430018
13,20,0,0,0,0,73.9359369929663
38,23,0,1,1,1,92.77046432506604
28,22,1,1,1,0,81.2851005218078
21,19,0,1,0,1,83.7302249553004
20,29,0,0,0,1,92.46258659272006
10,23,1,0,0,1,83.83209237287305
38,20,0,1,1,0,84.25981533796278
23,30,0,1,0,0,86.54266028750625
20,20,0,1,1,1,84.5119670425591
25,16,0,0,1,1,80.315677995151
30,23,1,0,0,1,90.27118013938136
34,11,0,0,1,1,80.37927386017587
28,26,0,0,1,1,92.1058799678906
14,23,0,0,0,1,84.7238222108304
20,17,1,1,0,0,76.12194373952532
11,21,0,0,1,0,75.27428800724289
24,23,1,0,1,0,82.54162228470587
25,29,0,0,1,1,95.12782022839173
38,31,0,1,0,0,94.40568432504509
40,23,1,0,1,1,95.2661963229892
27,18,0,1,1,0,79.0883318763503
30,18,0,1,1,1,87.1493546115971
40,24,1,0,0,0,88.75132027497737
25,16,1,1,0,1,82.94267986377842
35,27,0,1,1,0,89.71026158292408
16,21,0,0,1,0,78.01050404750154
21,30,0,1,1,1,92.36429374531426
29,20,0,0,0,0,77.51340983322353
15,21,0,0,1,1,83.87719683229264
28,22,1,1,1,1,89.32376686269778
44,22,0,0,0,0,87.01625522922812
21,22,0,0,0,1,86.72935279531431
20,31,0,1,0,1,94.36572728979132
23,32,0,0,0,1,95.99966783933807
50,21,0,0,0,1,95.9530001906053
23,23,1,1,1,1,90.37069034462873
17,24,1,0,0,1,89.0181289773989
22,26,0,1,0,0,83.86500562426514
23,30,0,0,0,1,94.77791091951984
40,25,0,1,0,0,89.58543508589487
19,28,1,1,1,0,84.5517761606078
19,16,0,0,0,1,81.49490571063399
30,26,0,1,0,0,85.43596782774888
29,22,0,1,0,1,88.15715245560048
14,28,1,1,1,0,83.19793918360907
22,21,0,0,0,1,85.42408599955958
28,22,1,1,0,0,81.82901354508289
25,19,0,0,1,0,79.16436369748196
23,23,0,1,1,0,79.25582367563783
34,20,1,0,0,0,83.278795933571
14,24,0,1,0,1,86.47719100429067
34,28,0,1,0,0,88.82282370300236
22,22,1,0,0,0,78.65398831634087
36,22,0,1,1,0,83.10279980039105
21,26,1,0,0,1,90.50733385793556
29,22,0,0,1,1,88.09960147432115
15,15,0,0,1,0,69.15302120091047
30,22,1,1,1,0,81.51347701326632
16,29,0,1,1,1,91.05089838001066
26,20,0,1,1,1,85.79574538142029
24,28,0,0,0,0,84.29235573832474
12,22,0,0,0,0,75.7025592478634
24,25,0,0,1,1,88.99490533232421
16,20,1,0,0,0,74.55867968446042
13,22,1,0,1,1,84.76251400519067
30,19,1,1,0,1,87.57988117020179
21,21,1,1,0,0,79.93852774684649
39,20,0,1,0,1,89.98955656438282
30,26,0,0,1,1,93.26386669848848
21,31,0,0,0,1,95.27719284424512
46,24,0,1,0,0,89.07005909127069
40,17,0,0,0,0,80.49508245209255
26,30,1,0,0,1,96.27053728731336
23,11,1,1,1,1,77.57297441413934
0,20,1,0,1,0,70.52412329807461
12,23,0,0,0,0,76.9592576075552
12,24,0,0,1,1,85.50839707710536
21,22,1,1,1,1,87.6235789063212
15,26,0,0,1,1,88.85431848254603
46,27,0,1,0,0,92.46396252125166
38,23,1,1,1,1,95.20539872275126
42,21,1,0,0,1,92.62931534987668
16,32,0,0,0,1,94.57853205506076
2,23,1,1,1,1,82.47022978398378
11,23,0,0,0,1,85.2893343437379
36,19,1,0,1,1,89.20331150657486
-2,30,1,0,0,0,79.15587283826206
18,19,1,1,0,0,77.34200424602005
31,29,0,0,1,1,95.10321445426707
25,18,0,0,0,1,83.49771447292642
34,26,0,0,0,1,94.4774531210074
35,23,1,0,0,1,93.35397828729916
34,20,1,0,1,1,90.16212673444056
40,23,0,1,0,1,93.09899377713704
16,28,0,0,0,1,89.43209288636453
8,22,0,0,1,0,74.9628877914487
34,19,0,0,0,0,79.9114982813192
18,20,1,0,1,0,78.59389186356584
29,19,1,0,0,0,80.7845690141892
38,27,0,1,0,0,90.40184958316792
28,24,0,0,0,1,90.79958513741072
15,20,0,0,0,1,80.74434656028703
19,24,0,0,0,0,79.87772335529014
19,13,1,1,1,1,77.96997719651387
35,29,1,0,0,1,95.2947001798776
22,25,1,0,1,0,82.55004201199843
27,27,1,1,1,0,86.87863774013988
32,27,0,0,0,0,88.63868583313538
31,25,1,0,1,1,93.76349109452237
20,27,1,0,0,0,81.26723137142554
10,21,0,0,0,1,80.9753279615957
31,22,0,0,1,0,81.69049719667908
19,32,0,0,0,1,94.47726212888804
31,22,0,1,0,1,89.61447473580114
5,25,0,0,1,1,83.19085366188253
24,24,0,0,0,1,87.30257339035525
24,19,0,1,1,0,77.18776603487473
24,22,0,0,0,0,78.36927875555608
16,26,0,0,0,0,79.31571871574329
31,26,1,0,0,0,85.54912114482421
30,27,0,0,0,0,87.49578325871634
22,21,0,1,1,1,86.35998800608482
39,24,0,1,1,0,87.57376850989341
27,28,0,0,0,1,94.01267868724476
23,21,0,0,1,1,85.5865471874504
32,19,0,0,0,1,85.66439935995969
31,22,1,0,0,0,83.53366465626905
26,22,1,0,0,0,80.21255648223269
3,27,0,1,1,1,84.93314799440724
19,26,0,0,0,0,82.92807312087548
14,22,0,0,0,0,75.42103089255068
27,19,0,0,0,0,76.75055622553258
9,16,0,0,0,1,78.05826939662798
35,23,0,1,1,1,92.48461322335952
35,17,0,1,0,1,87.00799007524596
22,24,0,0,1,1,88.82377414635938
35,22,0,1,0,1,91.08490484742596
19,27,1,0,0,1,89.69612515320873
16,11,0,1,0,1,74.25116329340914
41,24,0,0,0,1,93.99280889286436
33,30,1,0,0,0,91.47938775192762
20,25,0,0,1,1,88.11842876749421
21,21,1,0,0,1,87.00254730420251
11,21,0,0,1,0,76.8065250019081
39,23,1,1,0,1,94.1262575423648
34,24,1,0,1,0,84.24532048178267
34,18,0,1,0,0,81.8273338458255
19,23,0,1,0,1,85.85885839641887
22,25,0,0,1,1,90.83816538788258
11,22,1,0,0,0,76.0757092721803
32,19,1,1,1,0,80.55856215379272
13,28,0,1,1,0,79.89934374473258
15,15,0,1,1,0,71.96843074624037
36,24,1,0,1,0,85.5998412125369
33,29,1,0,0,1,97.60114774858978
36,25,0,0,0,1,93.06455218003282
16,20,1,1,0,0,77.36720767230184
5,27,0,1,0,1,84.72128078117886
13,10,0,0,1,1,73.79386594175078
25,23,0,1,0,0,80.19420844614712
8,22,0,0,0,0,74.39189144795206
24,19,1,0,0,0,77.08071818935574
33,22,1,1,0,0,83.06772292442484
10,18,0,0,0,1,78.35484958858626
6,26,0,1,0,0,77.1811719160583
25,20,0,0,1,1,84.86247176501763
38,26,1,1,1,0,90.68983458588391
37,28,1,1,1,1,96.67037971548908
26,28,1,1,0,1,92.08727825280722
27,25,0,0,1,0,83.03959485025521
32,20,0,1,0,1,88.67611938837773
36,17,0,0,1,1,87.02015979273978
33,18,0,1,0,0,80.38509596966446
24,22,1,1,0,1,88.23270209646373
22,24,1,0,1,0,81.45484481446037
31,20,0,0,0,1,89.14885389502278
11,21,1,1,1,1,82.41671332284903
34,29,0,1,0,1,97.42971900704067
25,27,0,1,0,1,90.5589579737377
35,25,0,1,0,1,94.54669054982212
15,20,0,0,0,0,74.92455557104374
20,27,0,0,0,0,81.445918579466
28,26,1,1,0,0,85.17536485949266
9,24,0,0,1,1,85.64873561697611
28,27,0,1,1,0,87.57195843478195
13,23,0,1,0,0,77.24749941460237
33,25,0,1,0,1,92.2074388735084
26,17,0,0,0,1,81.72706403485518
32,32,1,0,0,1,99.47756430876592
35,26,0,1,1,0,86.7379368965969
27,22,0,1,0,1,86.77272982181596
13,19,0,0,0,0,73.1245105843077
6,26,1,0,1,0,78.31159389152016
31,22,1,0,0,0,83.45359717145733
25,35,1,1,0,1,102.46843731570804
25,30,0,0,0,1,94.39456807937248
16,26,1,1,0,0,81.31935280915047
26,22,1,0,0,0,80.58587999219273
19,28,0,0,1,0,85.40229891964597
24,22,0,0,1,1,86.55853496502792
22,27,1,1,1,0,84.08862031565914
28,17,0,0,0,0,76.07549663011609
8,28,0,0,0,0,79.46688716631586
31,22,0,0,1,1,88.95574330423389
41,26,0,0,1,0,88.8767398890248
28,31,0,0,0,0,88.57345427356734
35,25,1,0,0,0,86.30888844738078
14,22,0,1,0,1,80.81348820863074
22,28,0,1,1,1,91.62007113543012
41,14,0,0,0,1,86.33165461022112
31,19,0,0,1,1,88.14466635376064
25,23,0,1,1,1,89.44780766942417
31,27,0,0,1,0,87.11552901695971
19,31,1,0,0,0,85.55406019490101
30,20,1,1,1,0,80.90726388177444
25,24,0,0,0,0,82.0882514890175
34,29,1,0,1,0,90.62134566126376
31,24,0,0,1,1,91.59401792890554
30,18,0,1,0,1,84.96739562302629
22,21,0,1,0,0,77.67130186728527
19,23,0,0,0,0,78.00977567262251
23,23,0,0,0,1,87.21343650376183
28,23,0,0,1,0,83.21459120799634
34,29,0,0,0,1,98.24768786704296
38,28,0,0,0,0,91.08258948430156
20,27,0,0,0,0,83.04521940495698
26,22,0,1,0,0,79.9690671377553
20,20,0,1,0,0,76.27369402620486
43,28,0,0,0,1,98.64888669682112
10,21,0,1,1,1,80.47558144706727
19,25,1,1,0,1,89.42819131558593
8,18,1,0,0,0,71.31171867341234
37,24,0,1,0,0,86.15864825192294
20,22,0,1,1,1,85.34091939544683
30,26,0,1,0,0,84.24416209339387
44,21,0,0,1,1,93.74828951996068
38,29,0,0,1,0,91.23577826192248
34,22,0,1,1,1,89.5451554518458
37,23,0,0,0,0,86.17209599555453
35,23,0,0,0,1,92.09458954453903
25,29,0,0,1,1,93.57381005451812
24,29,0,0,0,0,88.37412680174454
16,23,0,0,0,0,76.98433967510167
38,19,0,0,1,1,89.39508507569407
39,26,0,0,1,0,88.59095378886731
28,22,0,0,0,1,89.09273668471575
12,24,0,0,0,1,83.47724962723258
24,23,1,0,0,1,86.36171852713137
21,19,0,0,0,0,76.99677424999999
10,26,0,1,1,1,87.22561246379165
42,26,0,0,0,1,96.46788636875084
28,22,0,1,0,0,81.85866761725136
33,17,1,0,0,1,86.1597319272388
13,23,1,0,0,1,86.59618546968485
14,31,0,0,0,0,85.14013600370058
34,26,0,1,1,1,94.96852866178224
25,14,0,0,1,1,80.59544982628992
21,31,1,1,1,0,88.42023344431806
31,25,0,1,0,1,91.82952439913556
26,27,0,0,0,0,84.86048263738269
29,15,0,0,0,1,83.55601270431082
27,31,1,0,0,1,96.4628336727657
20,24,1,1,0,0,80.84397368431932
17,28,1,1,0,0,83.0791214768695
25,19,0,0,0,1,86.32673810817045
39,7,0,0,0,0,73.19186030148033
38,24,0,1,0,0,86.60005330280478
28,20,0,0,0,1,88.05104949025906
28,20,0,0,0,1,89.15868001749149
25,27,0,0,0,0,83.86063438216064
32,23,0,0,1,1,92.24254680107846
17,26,1,0,0,1,88.88985964398437
28,16,1,0,0,0,76.53937475434908
13,30,1,1,0,0,84.2107495898857
29,20,0,1,0,1,88.90391024443409
21,24,0,0,0,1,86.83424406951889
17,26,1,1,0,0,81.87306107664135
37,26,0,0,1,1,96.69469655732765
20,16,1,0,1,0,74.47738310744612
32,26,0,1,0,1,93.748806972295
47,24,1,0,1,0,91.16950090970217
18,27,1,0,0,1,91.40927607457982
27,22,1,0,1,1,89.13425676171767
21,22,0,1,0,1,86.38401055268085
15,25,0,1,0,0,79.06779135507502
25,20,0,0,0,0,78.36148999808042
34,24,0,0,0,0,86.33724179029609
16,25,0,0,0,1,88.66486794026166
39,25,1,0,1,1,94.67532742565108
29,28,0,1,1,0,86.06884867319148
27,18,0,0,0,1,85.48334045219892
10,19,0,0,1,1,79.59323888875765
9,22,0,0,1,0,74.77219391580769
34,19,0,1,0,0,79.94303687183009
20,21,1,0,0,0,76.70418692960338
21,22,1,0,0,0,78.65128709240233
25,29,0,0,0,1,91.33911018254749
27,23,0,0,0,1,89.54854395217883
30,26,0,0,1,1,93.0967330418762
23,19,0,0,0,1,83.46010101235785
32,23,0,0,0,1,90.61220786789178
21,27,1,0,0,0,85.24011090702946
22,18,1,1,0,0,76.83215725964439
21,20,1,0,0,0,77.88429100358503
29,22,0,1,0,1,88.56292700518614
18,23,0,0,0,0,76.65987419935622
17,22,0,0,1,0,76.88785982796769
40,18,1,0,1,0,82.81546619546427
12,22,0,0,1,1,84.55484143023911
33,23,1,0,0,0,84.35659703728406
27,24,0,1,0,1,91.55016449414572
24,27,0,0,1,0,84.43193405524647
27,31,0,0,0,1,96.2901546380184
30,23,0,1,0,0,82.93122597741925
28,17,0,1,0,0,78.96630069330742
36,22,0,1,1,0,82.06650037967181
35,35,1,0,1,1,103.91454208850658
18,17,0,0,1,1,80.57868969159523
21,24,0,0,1,0,81.08474444871257
30,24,1,1,0,1,92.25340868037996
17,24,0,1,1,1,88.00152441188897
25,24,0,0,0,1,89.97350682929238
29,23,0,0,1,0,82.21336922050418
20,24,0,1,1,1,88.25771981840342
32,29,1,0,0,1,95.49391700729878
17,20,0,0,0,0,74.00220592339546
23,25,1,0,1,0,82.15176714281179
19,22,0,0,0,0,77.28151387018576
30,19,0,0,1,0,77.99872908422192
18,18,1,1,0,1,83.45405212627819
16,23,0,1,0,0,77.18866108666829
40,25,0,1,0,1,96.40805922523194
28,25,0,1,0,1,89.78071784938479
22,24,0,1,1,1,87.70010486335659
36,28,1,1,1,0,88.22447061468597
17,23,0,0,1,0,78.50672244000968
40,19,0,0,0,0,81.30461447725504
34,28,0,0,0,1,95.87257448703872
27,21,0,0,1,1,86.01646692234385
31,25,1,1,1,0,84.33467093749027
28,21,1,0,1,0,78.49288282876671
36,31,0,0,1,1,100.5212431797462
27,25,1,1,0,1,89.33728801115696
21,20,0,0,0,0,74.3654629455298
45,24,0,0,0,1,94.94052650801386
17,23,1,0,0,1,86.99851170677917
23,25,0,1,1,1,89.09873213572183
23,30,1,1,1,1,95.11222955143757
13,27,0,0,1,0,80.12565148005031
25,17,0,1,1,1,84.78396864751747
21,30,1,0,1,0,87.45280235426631
20,18,0,0,1,1,83.5975951038778
28,23,1,0,0,1,87.95951184314237
27,28,0,1,0,1,92.83990660669993
60,23,1,0,1,1,99.524639221553
29,27,0,1,0,0,84.84766175779856
8,22,0,0,1,1,82.37944987563502
50,22,0,1,1,1,97.1004070283602
29,21,0,0,1,1,87.57545695786796
23,28,1,1,1,1,93.7239632387092
14,23,0,0,0,0,75.60118483842851
16,24,1,0,0,1,88.89676672821288
25,29,0,0,0,0,88.22952616360547
31,24,0,1,0,0,83.90759328379342
25,24,0,0,0,1,89.36545166313603
13,21,1,0,0,0,77.36276964466344
21,24,0,0,0,0,81.095494063047
26,19,1,0,1,0,78.87568623973075
28,27,0,0,1,0,85.99523116710823
30,24,1,0,1,1,92.65567166581776
24,27,0,0,0,1,88.91875279370865
25,27,0,1,1,1,92.5258468219429
27,25,0,0,0,1,90.38457059460288
30,21,1,0,0,0,81.51116853123108
38,18,1,0,1,1,90.00464952511598
25,24,0,1,1,0,81.57244504559257
22,31,0,0,0,1,94.5694315385979
31,33,0,0,0,1,100.63755809937726
32,25,0,0,0,0,86.12165256373534
18,27,1,0,0,1,90.4696423005525
40,23,0,1,1,1,93.66323570165623
21,26,1,1,1,1,91.83400871983524
17,23,1,0,1,0,78.14231145122108
54,30,0,0,1,1,104.44685951249772
12,24,1,0,0,1,85.03503673410879
27,19,0,0,0,0,76.11285414168387
20,19,0,0,0,0,74.45396895151363
26,23,1,0,0,1,88.71906814599501
31,26,0,1,1,1,94.22366159113297
30,23,0,1,0,0,83.43465692654341
12,28,0,1,1,0,81.94122479290706
15,23,0,0,0,0,77.2839617643135
21,22,0,0,1,0,78.78828868135776
28,22,1,0,0,1,88.24402801556177
27,20,0,0,0,0,77.89373604757509
24,23,1,0,1,0,80.75489531123877
17,27,1,0,0,0,83.34705591857603
10,26,1,0,0,0,79.37253643752517
22,27,1,1,0,1,90.56519910576596
28,16,0,0,0,0,76.1079810494378
26,23,1,1,0,1,89.47787402522891
19,24,1,0,0,0,80.45823316389512
9,26,0,0,0,0,78.7748237346696
34,20,0,0,0,1,87.73583172514418
31,19,0,1,0,0,77.86836061364457
12,28,1,0,1,0,81.98722522124042
10,26,0,0,0,1,88.4883473700052
32,21,1,1,1,1,90.31733614451277
12,20,0,1,1,0,75.50197280611415
25,26,0,1,1,1,93.00365387715124
25,25,1,1,0,1,90.43826160223531
26,27,0,1,0,1,90.1861633923873
22,23,0,1,0,1,87.73102897189496
39,24,1,0,0,1,95.34761214676514
31,21,1,0,0,1,87.74048561928305
28,21,0,0,0,0,76.943590668082
27,21,1,1,0,1,87.85319237415358
42,16,0,0,0,1,87.01921227942783
29,22,0,1,0,0,81.8010872569823
23,27,1,0,0,0,85.1629288912641
17,23,1,1,1,0,77.77368470362292
30,29,0,1,0,0,88.4498664408614
31,25,0,1,1,1,92.20201750753778
26,22,0,1,0,0,80.04289761346638
20,19,1,1,0,0,76.08041741311581
42,28,0,0,0,0,90.94691016321472
18,23,1,1,0,1,85.10888548405477
29,30,0,1,1,1,94.9639733620716
29,22,0,1,1,0,81.46801381442728
4,27,0,0,1,0,79.26388230104993
27,25,1,1,0,1,91.406699636869
11,30,0,0,1,0,81.96949305894016
37,23,1,0,0,1,92.74084782359397
13,28,0,0,0,1,87.686327871493
44,22,0,0,0,1,93.0112020486836
2,25,1,0,0,0,76.32508498933377
33,27,0,1,0,1,95.28446121957046
35,24,0,0,0,0,86.08807308298836
24,23,0,0,0,0,79.78317906682979
13,21,1,0,1,1,83.47139072021962
42,23,0,1,1,0,87.32676306719979
23,23,1,0,0,1,87.74426027352139
23,22,0,1,0,0,79.14764853922064
13,28,0,0,0,1,90.84555243962012
21,19,0,0,1,1,83.65175600850705
22,19,1,1,0,1,85.1424610359678
38,24,0,1,0,1,94.49681005270814
32,29,0,1,1,1,96.79753909839556
12,23,0,0,1,0,76.80638019876824
28,24,0,0,1,1,89.41007931188095
18,25,0,0,1,0,79.48604303221911
25,30,1,0,1,0,87.84153772524672
21,29,0,0,1,0,84.79641406656756
7,20,0,0,0,1,78.60127220335988
39,23,1,0,0,0,85.98261700125519
18,21,1,0,0,0,78.55671433298374
17,30,1,0,0,0,86.3190785843636
33,27,1,0,0,0,87.43069090894471
43,21,1,1,0,1,93.11266441828504
21,21,0,1,0,0,79.61470648111988
27,26,1,1,1,1,92.19215890340712
38,22,1,1,1,0,84.69009741686466
43,27,1,0,1,1,99.30308007479212
24,28,1,1,1,0,85.89932276438181
24,25,0,0,1,1,89.98512445750066
27,22,0,0,0,0,79.72134470268064
26,27,0,0,1,0,86.61304045222083
31,19,1,1,1,0,81.79726894732356
30,25,0,1,0,1,90.94424364272518
31,18,1,0,1,0,80.03415234631626
22,27,1,0,0,1,91.12783209132654
36,27,0,0,0,0,88.16659013805194
34,19,1,1,0,0,79.99202103192657
26,28,1,1,0,0,85.93595366936476
17,23,1,0,1,0,80.85083794998243
30,29,0,0,1,1,96.41091878137884
31,27,0,1,1,0,87.83118936798276
49,21,0,1,0,1,95.4844104212053
17,17,1,0,1,0,74.70281152342154
30,20,1,0,0,1,88.39217376040709
27,23,1,0,1,1,89.70373474162263
18,26,1,0,0,1,88.48709903603503
29,30,1,0,1,0,89.22593424361195
26,22,1,0,1,1,89.15056647527432
22,25,0,1,0,0,81.26130676507134
26,27,0,0,1,0,85.30920906757716
28,23,0,1,1,0,82.62242435232453
34,27,0,1,0,0,88.90031341361193
30,30,1,1,1,1,97.72310948403651
15,21,1,0,1,0,77.82399188315273
11,31,0,0,0,0,83.19392746798374
1,18,0,1,0,0,68.03955780370306
31,27,0,1,1,0,87.57454182528326
17,20,1,0,0,1,82.94076395642116
26,24,0,1,1,1,88.66790962492806
33,23,1,1,1,1,93.15958328611468
27,25,1,0,1,0,84.50544852341415
27,23,0,0,1,1,90.43916766491252
30,23,0,1,1,1,88.817100140855
0,24,0,0,0,0,73.11520669487848
23,23,0,1,0,0,79.26123697181637
28,29,0,0,0,1,95.16451001932042
31,18,1,1,1,1,87.86145675437304
3,22,0,0,0,1,81.90236585924158
16,26,0,0,1,0,81.91102343809494
28,22,0,1,1,1,90.39975479537172
39,16,0,0,0,0,79.63054568582322
34,19,0,1,1,0,81.35537656722083
19,20,0,0,0,1,82.22998686494702
41,24,1,0,1,0,87.27877671264933
37,24,0,1,1,1,94.70171597267188
13,21,0,0,1,1,82.00846312670386
13,21,1,0,0,0,76.06677546295501
36,21,1,1,1,0,85.19479962374382
24,21,0,1,1,1,87.23642881359183
25,32,0,1,0,1,95.84940059291752
17,27,0,1,0,1,91.50210131239804
11,25,1,1,1,0,79.27393457094014
20,29,1,1,0,1,95.24725881047256
22,27,1,0,1,1,91.51742720858638
22,18,1,1,0,1,83.45196371336837
20,26,0,1,0,0,83.14485058292688
19,27,1,0,1,0,82.54499334549192
17,29,0,1,1,1,92.59406689275802
26,26,1,0,1,1,91.89720672114098
26,23,1,0,1,0,81.58374578280079
17,20,0,0,0,1,81.53740731736406
15,22,0,0,0,1,82.52747288572219
39,20,1,0,0,1,90.14239049392206
20,34,1,0,1,0,88.48963971670264
38,21,0,0,0,0,82.3964551033714
33,23,1,0,1,1,89.5590286652055
8,29,1,0,1,0,83.54011807582653
17,22,0,0,0,1,84.87146611772235
18,22,1,0,1,0,78.5231379900479
18,22,0,1,0,0,77.22415415580305
24,27,1,0,0,0,83.69524464336355
13,23,0,0,1,1,85.04612940548543
23,27,0,0,0,0,81.68247419500896
24,20,0,0,0,1,85.88857643500799
14,20,0,0,0,0,74.11928015714714
23,22,0,1,1,1,88.03598887089699
27,26,0,0,1,1,93.33257220659908
15,18,1,0,1,1,83.04108204691005
33,24,0,1,0,0,85.33466215205792
26,23,1,0,1,1,88.8797915057787
14,25,1,0,0,0,81.52274573784025
21,28,1,0,0,0,85.77406458570123
25,20,1,0,1,0,78.621206616255
16,18,1,1,0,1,81.0234819521859
28,24,0,1,0,1,88.91820927653332
39,24,0,1,1,0,85.8056482455543
31,23,0,1,0,1,91.4607091665474
45,23,1,0,0,1,96.0330354243976
22,29,0,0,0,1,93.39323127838074
9,26,1,0,0,0,78.62770012517718
39,22,1,0,0,1,91.922975190647
25,20,1,0,1,0,79.72439035880323
20,24,1,1,0,1,88.77049872172961
42,25,1,0,1,1,96.73167396812724
32,23,1,0,1,0,86.3816628024761
13,25,1,0,1,0,80.15835287397674
34,26,0,0,0,1,91.96376426157305
33,26,1,0,0,0,85.9238865175521
28,20,0,0,0,1,85.07464775403184
-4,26,0,0,0,0,74.57210640697276
38,19,1,1,0,0,82.9250503765605
24,25,1,1,0,0,83.0420113330853
36,26,1,1,1,1,95.45815493386364
35,24,0,0,1,0,85.62234083590567
33,23,1,0,1,0,84.03573895889083
25,24,1,1,0,1,89.11333813427532
34,24,1,0,1,0,86.97584874270838
18,26,0,0,0,0,81.07255552935024
28,25,1,1,0,1,92.2071181625171
24,25,0,0,1,1,89.99970554607673
21,23,0,0,0,0,79.89057739052127
40,23,0,1,1,1,93.52668232027122
10,25,1,1,1,1,86.69080165011539
39,21,1,1,0,0,83.48594910736266
37,18,0,0,1,1,89.70455105615956
17,25,1,0,1,0,81.01187296387334
36,27,0,0,0,0,85.77203196416195
30,27,1,0,0,0,85.87810171459621
19,28,1,0,1,0,84.03273352164734
4,28,1,0,0,0,77.89870429839092
4,18,1,0,1,1,78.90999159187291
47,27,1,1,1,1,100.65993145580904
30,28,1,0,1,1,95.57501479320976
25,22,0,1,1,0,81.07844367877746
13,19,0,0,0,0,74.00515317726439
28,28,0,0,0,1,93.67932280779274
28,17,0,1,0,0,76.19817349318453
30,22,1,0,0,0,83.13179231088054
28,22,1,0,0,1,89.70705019462072
32,17,1,0,1,1,86.1754781358804
38,25,1,0,0,1,95.2490123144492
8,22,0,1,1,0,76.27848432535302
27,19,0,1,0,0,77.63208804765142
18,22,1,0,0,1,86.68254765148932
23,22,0,1,0,1,87.24140202290846
20,29,0,1,1,0,84.68801236692738
23,18,1,0,0,1,84.3737684534598
35,26,0,1,0,1,95.5817531676955
11,29,0,0,1,0,81.77583163579914
35,28,0,0,1,0,88.76922099010288
25,29,0,0,1,0,86.86874962952093
22,31,1,0,0,1,97.42799520309896
32,27,0,1,0,1,94.43891206450569
16,28,1,0,1,1,90.73111430744328
24,23,1,1,0,1,89.03414421457023
28,26,0,0,1,0,83.45249329476779
19,22,0,1,1,0,77.72289912168216
30,27,0,0,0,0,83.11941994325528
25,27,1,1,0,0,84.40312321862237
27,23,0,0,0,0,82.83925512441493
28,30,0,1,0,0,88.26870370054817
21,21,0,0,0,1,85.11215725315324
-7,22,0,0,0,1,76.88253233585921
8,30,0,0,1,0,83.57386707620627
25,26,1,1,1,1,91.16269284419305
16,27,1,0,0,0,82.0061409022141
23,25,1,1,0,0,82.65545830601985
5,27,0,0,0,1,84.84179636277328
25,22,0,1,1,1,86.60503678427506
20,22,1,1,1,1,86.56905614206171
34,27,1,0,0,0,88.1744047891988
6,23,0,1,1,0,75.87928089906623
29,21,1,0,0,1,90.98531811565351
36,25,1,0,0,1,92.19077288287512
15,19,0,1,1,1,82.05032524131775
31,25,1,0,0,1,92.88195190159894
25,23,0,1,1,1,86.33554045475034
29,21,1,0,0,1,88.69394317549327
34,27,0,0,0,1,93.52490532962908
