education_years,household_size,single_parent_household,public_assistance_recipient,invited_to_parenting_workshop,attended_parenting_workshop,child_wellbeing_score
5,3,1,0,1,1,57.98835744563986
2,3,1,1,1,1,58.39873080988025
6,3,0,0,1,0,46.77310706455111
1,2,1,0,0,0,50.320095800684506
5,2,0,0,1,1,57.36754712366572
3,3,0,1,0,0,50.219361781774815
1,4,1,1,1,1,59.50889952341742
2,2,0,0,1,0,49.16933051344614
3,4,1,0,1,1,58.42001734518842
4,3,0,0,1,1,56.20826457799495
2,2,1,1,1,1,59.6619453543438
5,3,0,1,1,0,49.11088134472502
3,3,1,1,1,1,57.43054282474466
4,2,1,0,1,1,56.15178720672226
4,2,0,0,1,1,58.270522707350025
1,1,1,1,0,0,48.708099680997655
4,3,1,1,0,0,49.06461752012531
2,3,0,0,1,1,57.35903290364329
5,2,0,0,0,1,56.667163495085546
0,3,1,0,1,0,47.75773120701241
3,1,1,0,1,0,47.35560823743058
4,2,1,1,0,0,48.19429776809958
3,3,0,1,1,1,56.80076396530748
5,2,1,0,0,0,49.76106908482236
6,2,1,0,1,1,58.129808452421
6,2,0,1,0,1,57.754198745860265
3,2,0,0,0,0,49.34504090951919
2,3,0,0,0,0,48.24400877862378
2,2,0,1,1,1,56.41907142548843
3,3,1,0,1,1,58.30421447101459
1,2,0,1,0,0,48.589959852316525
4,3,1,0,1,1,59.0415053721709
1,3,1,0,1,0,50.7484516681511
-1,2,0,0,1,0,49.57351469305326
0,2,1,1,0,0,49.028839148026165
1,3,0,0,0,0,50.99909769118727
7,3,0,1,1,1,57.7108294164955
0,2,1,1,1,0,49.76347361792795
5,2,1,1,0,1,56.44928154702069
3,2,1,0,0,1,58.12962812057415
2,2,1,0,0,0,50.60609647004917
3,2,1,0,1,0,47.87803514244564
5,2,0,0,1,0,48.213173504960544
3,2,1,0,1,1,57.79449538067463
3,2,0,1,0,0,49.15780610368878
2,2,1,1,0,0,49.52735307655428
3,3,1,0,0,1,58.44736313824364
2,3,1,1,1,0,50.0380025498371
6,2,0,0,1,1,56.81909617441817
6,2,0,1,0,1,55.11681648054837
3,3,1,1,0,0,49.576748447566594
4,3,0,1,1,0,48.5761470528996
4,2,1,0,1,1,57.66982431228094
4,3,1,1,1,1,59.09094771967575
5,3,1,0,1,1,57.194096783262026
2,2,0,0,0,0,49.67033874278344
3,3,0,0,1,0,49.24191732009075
0,3,0,0,1,0,49.17644473955658
5,3,1,0,0,1,56.942096619169405
7,2,1,1,1,1,55.49550455966998
6,2,1,0,1,0,48.25707263281057
3,3,1,1,0,0,47.40498695397948
8,2,1,1,0,1,58.04699488908101
3,3,0,0,1,0,49.86625156508888
5,3,0,1,0,0,49.69717621367018
2,2,1,1,1,1,58.1755763295213
0,4,1,0,1,1,58.62934495907624
5,2,0,1,1,1,57.30070921886821
2,4,0,0,1,0,50.5849845145068
5,2,1,0,1,0,47.44869025921509
0,2,0,1,0,0,49.498777088201365
10,3,1,1,1,1,56.32907521643277
3,3,1,1,1,1,58.57899432764546
0,3,1,1,0,0,50.08759148824231
1,2,1,1,1,0,49.27471742496109
1,2,0,1,0,0,47.97689369266232
3,3,1,0,0,1,56.04725119799328
3,3,1,1,0,0,50.000273589362514
5,2,1,1,0,1,57.472468816451496
3,3,1,1,1,1,56.83891124642032
4,3,0,1,0,1,56.38525724321895
5,3,1,0,1,1,57.78037623551887
0,2,1,1,1,0,49.09588563976124
5,2,0,1,1,1,56.89555462467648
4,2,0,1,1,1,56.98153327434004
2,2,1,0,1,0,50.32241686436217
1,3,0,1,1,0,48.66757890900835
1,2,0,1,1,0,49.99116919990155
2,1,0,0,1,0,48.15795009201855
4,3,1,0,1,1,58.76448492302463
2,3,1,0,0,1,57.3935107113618
3,2,0,0,1,1,57.27440001991886
7,3,1,1,0,1,55.76281263771159
7,3,1,0,1,1,57.29885366974565
3,3,1,0,1,1,58.02772674741247
3,3,1,1,1,0,49.48511876290544
6,1,1,1,1,1,56.23468854297833
4,2,0,1,1,1,56.72656883122339
4,2,0,0,1,1,58.13816285130003
4,3,0,0,1,1,58.91828855024937
6,4,1,1,0,1,57.04706361226648
5,3,1,0,1,1,57.19603441704778
6,3,1,0,1,1,56.820453919096686
0,2,0,1,0,0,50.07250637708046
6,3,0,1,0,1,57.19761041536314
3,3,0,0,1,1,58.19318343963568
7,3,0,1,1,1,55.90127353636024
5,2,1,1,1,1,57.7511106458931
2,3,1,0,1,1,58.52341105426565
2,2,1,1,1,0,47.52175978481571
2,2,1,0,1,0,49.05679877094212
3,3,0,0,0,1,58.26463075790391
0,2,0,0,0,0,49.29740589885105
1,2,1,1,1,0,49.2886574058418
10,3,1,1,0,1,58.09709878247418
4,4,0,1,1,1,59.27908552114282
7,2,1,1,0,0,47.76390348670305
7,3,1,0,0,1,56.333431547680384
3,3,1,1,1,0,49.22163976008592
1,4,0,1,1,0,50.35429786456588
3,4,0,1,1,1,58.92145304889913
7,1,0,1,1,1,58.43117569729591
6,3,0,0,0,1,57.90104787022919
1,3,1,0,0,1,59.26882403541833
4,2,1,0,0,1,57.07468406512265
5,2,1,0,0,1,57.602766753922914
3,2,1,1,1,0,48.89334404527012
5,2,1,0,1,0,49.41577297697005
3,2,0,0,1,0,51.07711888335136
6,2,1,0,1,1,55.49833421377743
5,3,0,0,0,0,47.78102680911843
7,2,1,1,1,1,57.23725912341959
6,3,0,0,1,1,58.40557310718195
5,3,1,1,1,1,59.62266877690944
3,3,1,1,1,1,56.96367365050589
4,2,1,1,1,1,57.76595824440838
-1,3,1,1,1,0,50.66126392879922
2,3,0,0,0,0,48.310647654131785
0,3,1,0,1,0,49.78159595709608
-5,2,1,0,0,0,49.7207068529771
6,3,0,0,1,1,58.318139947631856
1,3,1,1,1,0,49.20993317128069
5,2,0,1,1,0,48.89134942729588
4,2,1,1,0,0,48.96876011595784
6,3,1,1,1,1,56.2922878792501
0,2,1,1,0,0,48.8329580001983
3,2,0,1,1,1,57.65403218125009
3,3,1,1,0,0,49.414247372587
2,3,0,0,1,0,48.189631062387
2,2,0,1,0,0,47.927260241931634
3,3,0,1,1,0,51.02032104581957
3,3,0,0,1,1,58.78373008914667
5,2,0,1,0,1,58.4883962059908
2,2,0,1,0,1,57.320590253298725
5,3,1,0,0,1,57.37762749128166
5,3,0,1,0,0,47.30520917417565
3,2,1,1,1,0,49.37947668245713
3,3,0,0,1,1,58.17521431775961
1,2,1,1,1,0,47.72290598306425
5,2,0,1,0,0,49.72514942362782
8,1,0,1,0,1,58.349338526690175
2,3,0,1,1,0,50.91210508702345
3,2,0,1,0,0,48.58077543134376
0,3,1,0,1,0,50.00812936698527
5,3,1,1,1,1,58.79724254689347
3,3,0,0,1,1,58.20224419752057
3,3,0,0,0,1,59.97222673006555
2,3,0,0,1,0,49.59568168762664
1,3,1,0,0,0,50.73291304960926
1,2,0,1,1,0,49.37062718815909
4,2,0,0,0,1,58.35382426107911
3,2,0,0,1,1,57.3481901686999
0,3,0,1,1,0,49.291713178774366
6,2,0,0,1,1,56.912957343138494
1,3,1,1,1,1,59.47133580392072
3,3,1,0,0,0,52.1070986570573
2,2,1,1,0,0,48.27773497786083
4,3,1,0,1,1,56.67707992552091
6,3,1,0,1,1,56.06781123696855
0,2,0,0,1,0,50.03100270509586
3,2,0,1,1,0,48.649741303626726
4,1,1,0,1,1,56.6026134245804
6,3,1,1,1,0,49.05774264832932
2,3,1,1,1,0,47.93108888917301
5,3,1,1,1,0,49.805620559314654
5,3,0,1,1,1,58.298376428366325
4,3,0,1,1,1,59.53527060901854
6,3,0,0,0,1,57.49139197903179
7,3,0,0,1,1,58.60641318627907
4,2,0,0,1,1,57.848152825911214
6,2,1,1,1,1,57.247725010845855
5,2,1,1,0,1,57.13874385261663
6,3,0,1,0,1,57.94985940458464
3,2,1,0,1,0,47.6633720182621
4,3,1,0,0,1,58.327636111219405
3,3,0,1,0,1,57.34754958883511
-1,2,0,1,1,0,51.61313726957681
4,3,1,1,0,0,49.369834826801885
2,2,0,1,1,0,48.4168308098149
2,2,0,0,0,0,49.38235241864044
3,3,0,1,0,0,49.067374062788616
2,3,1,0,1,0,49.25148381696452
-1,3,1,0,0,0,51.02954765189224
5,3,0,0,1,1,56.133640228598
0,3,1,1,1,0,48.92287384997478
1,2,0,0,0,0,50.0000714309523
6,2,0,1,0,0,48.96704681192618
4,2,0,1,0,1,57.01871703390131
8,3,0,0,0,1,58.04633599725118
7,3,1,1,1,0,46.84229717646002
4,3,1,1,1,1,60.37302645857892
1,3,1,1,1,0,47.95481866933783
6,3,1,0,1,1,56.18305211490877
5,3,1,0,1,1,58.636044690173264
2,2,1,1,1,0,48.89461233152634
0,1,0,0,1,0,51.34989994688506
4,3,1,1,1,0,48.21459022820902
4,3,0,1,1,1,57.592067226417576
7,2,0,1,0,0,47.85372391298026
-1,3,1,1,1,0,48.50599872904561
5,3,1,0,0,1,56.90962591414535
5,3,0,1,0,0,49.67079710713225
6,3,1,1,1,1,57.23373048839606
2,3,1,1,1,1,57.98556784582339
0,2,1,1,0,0,49.0035903681184
5,2,0,0,1,0,49.40099651577858
3,3,1,0,0,0,48.79848324440118
6,3,1,1,1,1,56.34065315541479
3,2,0,0,1,0,49.0450304058196
4,2,1,0,0,1,56.24126490204881
5,3,1,1,1,1,56.9877735637527
-1,2,1,1,1,0,50.71723939775341
5,4,1,1,0,1,58.12972113470203
2,2,0,1,0,0,49.10233634138028
5,2,0,0,1,0,49.5118044893844
2,2,1,0,1,0,48.78500463841056
0,3,1,1,0,0,51.87759059086769
4,3,1,1,1,1,58.64085803672867
4,2,0,0,1,1,57.08210341249573
4,3,0,1,1,0,48.69362220546192
2,2,0,1,1,1,59.75037719072947
5,2,1,1,0,0,48.76425924508146
1,2,0,1,1,0,49.81173829990022
3,2,0,1,1,0,49.279093730884654
3,3,1,0,1,0,48.02661419208916
3,3,1,0,1,0,48.82250185441161
1,2,0,1,1,0,50.16135290879268
6,2,0,0,1,1,59.18557545280407
5,3,1,1,0,1,57.4881176624289
4,2,0,1,1,1,56.440895885615774
1,3,1,0,1,0,47.7890398541554
3,2,1,1,0,0,49.42590277924248
1,1,0,1,0,0,49.71130618644734
6,2,1,1,0,0,47.598940606447925
2,3,1,0,0,1,58.20267108089423
4,3,0,0,1,1,59.21888021600819
0,2,1,1,1,0,49.62164322359759
2,2,0,1,0,0,48.5261324945775
1,3,1,0,0,1,59.37020441089791
6,3,1,0,1,1,57.42238294323872
1,2,0,1,0,0,49.23907504622149
4,3,1,0,1,1,57.5727433707017
1,3,1,1,1,0,48.88793619553132
5,3,0,1,1,1,58.72754091983124
2,2,0,1,1,0,50.28240759285119
9,3,1,1,1,1,55.45400415338021
5,3,1,0,1,1,57.54755740664333
6,3,1,1,0,1,56.841821822093
4,2,1,0,0,0,47.12999003134799
6,3,1,1,1,1,57.07228268872173
8,2,1,1,0,1,57.087033131912406
4,2,1,1,1,1,58.21481848213925
2,2,0,0,1,1,59.02612452603736
4,2,0,0,1,1,57.527648037384246
2,2,1,1,1,0,48.11220369924236
7,2,1,0,1,1,55.821899504274754
2,3,0,0,0,0,48.57334455864397
0,3,1,1,0,0,50.90536897244655
3,1,0,1,1,0,47.22033085021381
3,3,1,1,0,1,57.48016088386714
2,2,0,0,1,0,48.48626666422607
0,2,0,0,1,0,50.22338989124064
1,2,1,1,0,0,47.29279804557636
3,2,1,0,1,0,48.92208387498096
6,4,1,0,1,1,58.1816953518298
0,3,0,1,1,0,51.23676364634829
0,2,0,1,1,0,49.0707841865375
3,2,0,1,0,0,49.5852697855085
0,3,1,1,1,0,50.6849181738942
3,3,0,1,0,0,51.4823012234702
2,3,0,0,1,0,49.88931351721868
7,3,0,1,0,1,58.38463321705027
3,3,0,0,1,1,58.56857108077158
4,3,1,1,0,0,48.717638752352535
5,2,1,0,1,1,56.41765380756981
3,3,1,1,1,0,48.111912125369024
0,2,0,0,1,0,50.5481504424311
7,2,1,0,0,1,58.27542853964215
2,2,1,1,1,0,48.069758873482776
3,2,0,0,1,0,48.99929108678652
0,2,1,0,0,0,49.92510283824159
6,2,1,0,1,1,56.45115130483887
4,2,0,1,1,1,58.42614308197703
5,3,0,0,1,1,58.04661734816164
0,3,1,0,1,0,50.00386998172143
5,2,0,1,1,1,57.12801467837134
4,3,0,1,1,0,49.75121431379144
5,2,0,1,1,1,59.81290280547196
5,3,0,1,1,1,57.44581167364496
3,3,0,1,0,0,49.45794448129686
5,2,1,1,1,1,56.273511998154845
3,3,0,1,1,1,59.08333309055786
7,3,0,1,1,1,56.72969786781778
5,2,0,0,1,0,48.59799825692566
1,2,0,1,1,0,48.6980010837262
6,3,0,1,1,1,58.07373606617192
3,3,0,0,0,0,49.26089852913498
4,3,1,1,1,1,55.97095521029719
1,1,0,1,0,0,47.96584143218888
3,2,1,1,1,1,56.9573567798432
0,2,1,0,1,0,49.72015570495586
3,3,0,1,0,0,49.77056769186575
0,2,0,0,0,0,49.18906571212936
0,2,0,0,1,0,48.55851546091485
2,1,0,0,0,0,48.99838249196303
2,2,1,0,0,0,48.15416588878393
3,2,1,0,1,0,49.407031633156414
4,2,0,0,1,0,50.56105463058406
5,2,0,0,0,0,48.265921146140464
5,3,1,0,1,1,59.46519491319742
5,2,1,0,1,1,57.44048916665402
4,2,1,0,0,0,48.161520058318665
6,3,0,0,0,1,57.49202079370432
2,2,0,1,1,0,48.14777573291875
2,2,1,1,1,0,48.29350844954264
6,3,1,0,1,1,57.66954048523766
2,3,1,1,1,0,49.54008212295325
3,1,1,0,0,0,48.96080425513453
2,2,1,1,1,1,56.73903468163056
2,2,1,1,1,1,57.15438920689509
4,3,1,1,1,1,56.51028080484511
2,2,1,0,0,0,49.896786302051545
6,2,0,1,0,0,48.48412954859208
5,3,1,1,1,1,58.62495838805872
2,2,1,0,0,0,50.463239800539206
5,3,1,0,1,1,58.851828529309536
5,2,0,0,1,1,56.78221014681053
5,2,1,1,0,1,57.01857409195456
0,3,1,1,0,0,49.02942577296008
4,2,1,1,1,0,48.76779987593207
4,3,1,1,0,1,58.45768600929518
4,2,1,0,1,0,46.471811791926925
4,3,1,1,1,1,56.492457547480726
2,3,0,1,0,0,49.5254153167854
4,2,1,1,0,1,58.80590477826821
5,3,1,0,1,1,56.74536280435174
6,3,0,1,1,0,45.9937427144589
5,2,0,1,1,0,48.40282258370015
4,2,0,1,0,0,47.16410051757386
3,2,0,1,1,0,46.865568621289405
3,3,0,1,1,1,57.28411334582837
3,2,1,1,1,0,49.81252285812322
2,3,1,0,0,0,50.23642958904071
1,3,1,0,1,1,57.94105415015186
1,3,0,0,1,0,49.10208505683998
1,2,0,0,1,0,50.85546824415511
5,2,0,1,1,1,58.10185549402519
3,1,1,1,0,0,49.30321640979947
3,3,1,0,1,1,57.78771821131288
2,3,1,0,1,0,50.06672767759064
2,1,0,0,1,0,48.8645983003464
4,2,1,1,1,0,47.9833452874832
6,3,1,0,0,1,56.30698865073458
1,4,0,0,1,1,59.45037359392312
10,3,0,0,1,1,56.303763566776304
0,2,1,0,0,0,50.0662164642593
6,2,1,1,1,1,54.8739896884679
3,3,0,0,0,1,58.79151180177877
0,3,1,0,1,1,57.49276229532164
2,2,1,0,0,1,57.68643784323776
5,2,0,1,0,1,56.84264674487342
4,3,1,1,1,1,58.25376821934893
4,2,1,0,1,1,57.589522024125
3,2,1,1,0,1,57.14935214083059
0,3,1,1,1,0,49.56826401706533
1,3,0,0,1,1,58.9577012280831
4,3,0,0,0,0,49.62391060433775
4,3,1,1,1,1,57.12295338064038
0,1,1,0,1,0,49.59149719337682
6,3,0,1,1,1,57.1664019927174
4,2,1,0,1,0,49.01285033090837
1,4,0,1,1,0,50.69000745719542
4,3,1,0,1,1,58.98495918781833
8,2,0,1,1,1,56.349696972765145
4,3,0,0,1,1,59.246435863801125
3,2,0,1,0,1,56.731982693243886
6,2,0,0,1,0,48.26730114208213
1,2,0,1,1,0,47.746929255831965
3,3,1,0,0,0,49.55410407849801
4,3,0,0,1,0,47.41435184992644
1,3,0,0,1,1,59.5759379763707
1,2,0,0,1,0,47.04628405670172
3,4,1,0,1,1,60.1190932817459
3,2,1,1,0,0,48.33790509107079
6,2,1,0,1,1,57.67280467705434
1,2,1,0,0,0,46.8782145022091
3,2,0,1,0,0,49.79245537167815
6,3,0,0,1,1,56.148562465843
4,2,1,1,1,0,48.88437799703392
7,2,1,0,1,1,58.00940965496271
6,2,1,0,1,1,56.41428864151623
2,2,1,1,0,0,47.063289792460814
1,2,1,0,1,0,48.59193587927613
2,4,0,0,0,0,50.07573320488292
6,3,0,0,1,1,58.10391259061426
0,2,0,1,1,0,51.07874148379676
0,2,0,1,1,0,48.45573679572964
2,3,1,0,0,0,48.00983090687793
1,3,1,0,1,1,59.093206082950985
2,3,0,0,0,0,50.45917333808272
2,3,0,0,1,0,49.29176147435879
4,2,1,1,1,1,56.02830797626967
6,3,1,0,1,1,57.45793433961977
1,3,0,0,1,0,50.395193712358335
2,3,1,1,1,0,49.999413229057765
1,3,1,1,1,0,48.36443951487565
6,3,1,1,1,1,57.76196022621167
2,4,1,1,1,1,59.52959510045335
7,3,1,1,0,1,57.44022548698887
3,3,0,1,0,1,59.18342454129338
2,3,1,0,1,0,49.0284142911157
4,3,0,1,0,1,57.85953176951135
3,2,1,0,0,0,48.29204571490366
0,3,0,0,0,0,49.85552797566994
6,3,0,1,1,0,48.851682142321714
2,3,1,0,1,1,58.81242465816097
2,2,1,0,1,1,58.63266549561429
5,3,1,1,1,1,58.79061395308878
8,2,0,1,1,1,56.59296602661473
4,2,0,1,1,1,57.611024276342974
0,3,1,0,1,0,51.71615059036044
2,3,0,1,0,0,49.86117343077238
3,3,1,0,1,1,57.90029281604547
9,1,1,0,1,1,57.32887757096289
2,2,0,1,1,0,46.91995302206429
2,2,0,0,1,1,56.99796171694423
6,2,1,0,1,1,57.44848378445659
5,2,0,0,1,1,57.2564946323964
4,2,1,1,1,1,56.54233225641612
0,3,1,0,1,0,51.53420549558688
7,2,1,0,1,1,56.29995861167054
5,3,1,1,1,1,57.08084527696387
3,2,0,0,1,0,49.78922830810789
0,4,0,0,0,0,51.41645260498093
3,2,0,0,1,1,56.765947626931975
1,2,1,1,1,0,47.59931993483045
3,2,0,0,0,0,50.25830669751213
1,2,0,0,0,0,49.80272759509395
6,2,1,1,0,1,55.88817344094059
2,2,0,0,0,0,48.89565863287804
-4,2,1,0,0,0,50.110898501308014
3,3,0,1,0,0,49.89735162614421
0,2,1,1,1,0,48.652395725631095
6,3,1,0,0,1,57.68278664592958
6,3,1,0,1,1,57.12675317942327
2,2,0,0,1,0,47.86989904720991
6,3,1,0,1,1,55.17020547572726
0,3,1,1,1,0,49.77165979893491
4,3,1,0,1,1,57.86616025212484
2,4,1,0,0,1,60.2730778846781
3,3,1,1,1,1,58.39601879154867
6,3,1,1,0,1,59.04810934373509
4,2,1,1,1,0,47.2774824182723
3,3,0,1,1,0,48.11742320690204
7,3,1,1,0,1,57.56741103681888
4,2,1,0,1,0,50.21207621652283
1,1,1,0,0,1,56.852325875256085
3,2,1,0,1,1,56.71438739702841
4,3,0,0,0,0,48.42473650201243
4,3,0,1,1,0,50.53412665853557
4,2,1,1,1,1,58.08922949788101
3,3,1,1,0,0,47.79495090616325
3,3,0,1,1,0,49.99268609372877
9,2,1,0,0,1,55.47514016246878
3,2,1,0,0,0,48.81795862446857
1,3,1,0,1,1,58.70362312218786
3,2,1,1,1,0,49.48225714804852
3,3,1,0,1,1,57.280908407416334
7,3,0,1,1,1,56.75509937041889
2,2,0,0,1,0,50.59692374675771
8,2,0,1,1,1,56.27574475987755
3,1,1,1,1,0,47.7366799216279
4,2,0,1,1,0,47.87776069686421
5,2,1,1,1,0,46.49296651919372
7,2,0,1,1,1,56.738725501518346
4,2,1,0,1,1,57.67382585794511
3,3,0,1,0,1,58.54241887301973
2,2,1,0,0,0,48.40269026870146
7,3,1,1,0,1,57.30917198811585
3,2,1,0,1,1,57.85657266309497
5,3,1,0,1,1,57.87843539971959
6,2,1,0,1,1,57.122613312479565
3,3,1,1,1,1,56.48417730501913
4,2,1,1,1,0,48.18441831316284
0,3,0,0,1,0,49.61255724205978
4,3,1,0,1,1,59.17269596722224
3,2,1,1,1,1,56.29925728853539
3,3,0,1,0,1,57.35869498634972
0,3,1,1,1,0,49.211953116666535
5,3,0,0,1,1,58.29456735813018
6,3,1,0,1,1,56.13206233018819
5,3,1,0,1,1,55.66517759808456
3,2,0,0,0,0,48.70005778779934
4,2,1,1,1,0,48.76368262168984
3,3,1,0,0,0,48.29036707141993
3,2,1,1,1,0,48.9203892170637
6,3,0,0,1,1,58.84662585182849
4,3,0,0,1,1,59.17506363256531
2,2,0,1,1,0,48.90324746214788
3,3,1,0,1,1,58.139029961577066
7,2,1,1,1,1,55.75575319258103
4,2,1,1,1,1,57.74956102820918
0,3,1,0,0,0,48.68192602970881
2,2,0,1,1,1,58.687400018252674
6,1,1,1,0,1,56.82989965573308
3,2,1,1,0,1,57.16046695670051
2,3,1,1,1,0,50.08848053294971
2,3,0,0,1,1,59.048506301044576
3,2,1,0,0,0,48.256009468384455
4,2,0,0,1,1,57.81756325463143
4,2,0,1,0,0,49.31408164507428
3,3,1,1,0,0,49.21634531328001
2,2,0,0,0,0,49.07993210833008
4,3,1,1,0,1,57.0195742062814
1,3,1,1,0,0,48.55677982899
6,2,0,1,1,1,56.769703185468266
4,3,1,1,1,1,59.63062566508216
6,2,1,0,1,0,48.58101715619603
3,3,1,1,0,0,49.576619496145405
3,4,0,0,0,0,49.143619412773134
1,3,1,0,1,1,58.97919161218237
6,3,0,1,1,1,57.95363600781085
2,2,0,0,1,1,58.32536469281707
3,3,1,0,1,0,47.19505855774676
3,2,1,0,1,0,47.9354480441279
4,3,0,1,1,1,58.28595654063248
6,2,1,0,0,0,47.87626507806492
4,2,0,1,1,1,59.288906823023865
5,2,1,1,1,0,49.31783204066255
5,2,1,1,1,0,48.211142942942736
6,2,0,1,1,1,55.89566706716855
4,2,1,1,1,0,47.09137451192596
4,3,0,1,1,0,47.58620413222314
4,3,1,0,0,1,56.1568320318948
0,3,0,1,1,0,48.21861301470642
3,2,1,1,1,0,48.23250741632171
2,1,0,1,1,0,49.15168655835859
4,2,1,1,0,0,48.12467738720935
5,2,0,1,1,0,48.39906169244794
2,2,0,1,1,0,50.25981868426846
3,3,1,1,0,1,56.832301187531904
3,2,1,1,1,0,48.3980974710396
2,2,1,1,1,0,47.99623534545136
7,2,1,1,1,1,57.07326768058289
1,2,0,1,1,0,50.036144124859504
1,2,0,0,0,0,49.36358259775915
4,3,1,0,1,1,56.39415958880177
9,3,1,0,0,1,57.93641834605175
3,2,1,1,0,1,56.7803693772883
2,3,1,0,0,0,49.60097859141116
0,2,0,0,0,0,48.16468076477705
1,3,0,1,0,0,50.042353262496135
7,3,0,0,0,1,57.80179742346745
4,2,0,0,1,1,59.27694694223784
2,2,1,1,0,0,48.59824188493486
5,2,0,1,0,0,48.098527661466015
2,3,0,1,1,1,59.77764615080696
0,3,0,1,0,0,49.32768201282552
7,2,1,0,0,1,57.38300843736512
4,3,1,0,1,1,57.69485491882698
0,3,0,0,1,0,49.76556113711651
4,2,1,0,1,0,48.624374539037326
1,3,1,0,1,0,49.29035007701802
6,4,1,1,0,1,58.74716274703604
7,2,0,0,0,1,55.9344556470564
5,3,1,0,1,1,58.70437575157676
7,3,1,0,1,1,57.73464986701256
6,3,1,1,0,1,57.68028010431138
1,2,0,0,1,0,49.05949091947796
3,2,1,1,1,1,56.34116250635773
5,3,1,1,1,1,56.59958325719413
4,4,1,0,1,1,56.90308573336555
1,3,1,0,1,0,48.6564689178567
2,3,0,1,1,0,48.53842730974439
2,3,1,0,1,1,56.24656397997209
2,4,0,1,1,0,49.56442539365287
4,2,1,0,0,0,49.02645771368556
5,2,0,1,1,0,48.25739640532954
1,2,0,0,1,0,47.977655579529696
4,3,1,1,1,1,57.51330169785855
5,2,0,0,1,0,47.70348323923115
4,2,1,0,1,1,57.4301297783035
5,2,1,0,1,1,57.70300470868894
6,2,0,0,0,1,56.08836431565743
1,3,0,1,0,0,51.561905842443295
0,2,1,0,0,0,48.785502018440674
4,2,1,0,1,1,58.22074841564147
0,1,1,1,1,0,48.84704002905018
0,2,1,0,1,1,59.56895118322036
4,3,0,0,1,1,57.76754308476574
4,2,1,0,1,1,57.43210192544693
7,3,1,0,0,1,57.89653095338719
6,2,0,1,0,0,49.57244131685509
0,2,1,0,1,0,48.402225107220914
2,2,1,0,0,1,58.79075826356769
3,2,0,0,0,0,49.89994768938215
