age,education_years,single_parent,rural_residence,gender,local_childcare_availability,childcare_subsidy_received,employment_status
8,30,0,1,0,9,48,195.2932634599288
14,30,1,1,1,9,54,217.6157457272395
8,31,1,1,1,13,55,219.15243252364172
8,32,1,1,1,10,56,224.50236145527523
8,26,1,1,1,14,52,207.9590781997437
11,25,1,1,1,10,48,195.2371505313341
6,28,1,1,0,12,51,204.47843327812427
15,33,0,1,1,11,56,224.95130616268196
6,30,0,0,0,13,50,201.871102356264
7,30,1,0,1,11,50,205.87108629189137
9,30,0,1,1,9,46,190.9892088516297
10,30,1,0,1,15,53,209.8212287959452
8,31,1,0,1,14,53,211.68796578787936
9,30,1,1,1,14,53,208.65662407106376
7,30,0,1,0,12,50,202.99341002159613
5,27,1,1,1,10,49,197.41303336616204
13,31,1,1,1,12,52,211.05407944959188
12,29,0,1,1,12,51,206.1234050260663
10,29,1,0,1,11,51,202.71395597901332
9,29,1,0,1,12,49,197.21819830181985
10,32,0,1,1,13,53,212.7056114598589
10,37,0,1,1,13,53,213.9694352045419
9,29,1,0,1,9,47,191.10206319190468
12,30,1,1,0,8,51,206.4330131216627
8,30,0,1,0,11,50,201.62929888565708
14,30,1,1,0,13,53,209.03526351988324
11,30,0,1,0,15,56,220.74023347884705
13,26,0,1,1,14,53,211.35246886925768
7,30,0,1,1,9,49,200.2661190229736
8,31,1,1,0,11,51,207.680854025978
9,27,0,1,0,8,50,200.1697137103916
14,30,1,1,0,10,55,218.14343392318855
10,30,0,0,1,12,50,201.6206158026972
13,31,1,1,1,12,54,215.9169902842444
11,29,1,1,1,13,53,214.86715360647116
14,29,0,0,1,13,51,205.3770678809352
10,28,0,1,0,11,51,203.833252241456
8,31,0,1,0,11,52,206.8862438052833
13,32,0,0,1,12,54,216.4314344075103
7,28,1,1,1,15,51,204.3949438747983
9,33,1,0,1,14,55,218.49067874371644
9,29,0,0,1,12,53,210.2773048743284
12,27,0,0,1,15,51,202.670425163208
11,30,1,1,1,10,51,205.00024997566345
10,33,0,1,1,8,51,207.837846676468
12,27,1,1,1,14,56,220.5644963693229
12,29,1,1,1,15,54,215.63296342917957
16,29,0,1,0,10,50,200.00499999864093
6,32,1,1,1,11,50,204.18679192429232
8,30,1,1,1,11,53,213.0685876490745
10,32,1,1,1,12,55,220.16314247335973
10,28,1,1,1,12,52,207.61629397102425
6,29,1,0,1,12,51,203.23835255547533
15,30,0,0,0,10,53,213.5223764198719
10,32,1,1,1,10,55,218.97429348941
10,29,0,1,1,14,51,203.1130529961501
9,32,0,1,0,14,54,215.4689722172758
6,28,1,0,1,12,51,207.1299985400796
4,28,0,0,0,12,46,185.8676187413083
8,32,1,1,0,13,53,212.0339282385276
12,30,1,1,1,12,54,215.72793420306127
9,32,1,0,0,11,52,207.37335183747976
9,27,1,1,0,13,52,209.73016112137816
3,30,1,0,1,12,47,192.19207037169303
10,30,0,0,1,12,51,207.4398151384454
8,28,0,1,0,8,47,191.3553214865304
6,30,1,0,1,12,54,218.23742334916224
9,27,1,1,0,9,49,198.3100327515368
10,33,0,1,1,13,56,223.2109530347908
9,26,1,0,1,11,48,194.81885823437645
9,30,0,0,1,10,49,197.92478217907828
10,33,1,1,0,12,54,214.67142812936487
11,26,0,0,1,11,52,209.5956076141939
5,32,1,1,1,13,51,206.37737723731928
13,27,1,1,1,13,55,217.6437353880931
9,34,1,1,1,11,54,217.4706801867607
11,27,1,0,0,11,52,208.7657237718489
9,29,1,1,0,11,51,204.60258482824992
10,29,0,1,0,14,53,212.0547651382428
10,30,1,0,1,14,53,212.90803877244124
9,29,1,1,1,11,51,204.0377895655375
8,30,1,1,1,9,50,202.9341219152165
12,30,0,0,1,11,52,207.1695248518664
15,30,0,1,1,14,55,218.81698365158172
14,31,0,1,0,12,54,217.84100881411888
10,29,1,0,1,8,46,191.2863443028388
9,29,1,1,0,11,52,207.59744755580635
11,30,0,1,0,10,52,209.5642960983513
14,30,1,1,1,8,51,205.73337445809824
15,30,1,1,1,13,57,224.41057312571107
10,31,1,1,0,11,54,218.8567156111192
12,31,1,0,1,14,57,225.32128716048587
9,28,1,1,1,9,49,199.9983479524784
10,28,1,1,1,12,47,191.608070506677
10,32,1,0,0,13,53,213.03039467586484
6,34,0,1,0,9,52,210.65514699793508
11,29,0,1,0,13,53,209.11348474879895
13,30,0,1,0,12,51,203.4690944546205
7,31,0,1,1,8,49,201.74134662979267
11,26,0,0,1,12,50,201.0089921637126
5,27,1,1,1,14,50,199.3927359399278
10,26,1,1,0,10,53,213.71448958704912
11,26,0,0,1,15,52,206.8145321980685
15,29,0,1,1,9,51,208.26325330497468
7,29,1,1,0,11,51,205.55233878286464
12,32,1,1,1,9,51,205.31019039507132
8,24,1,1,1,7,47,192.44845154677284
14,29,1,0,1,12,52,207.42447495638072
13,30,1,0,1,14,54,215.11420633958284
9,29,1,1,1,9,51,205.35257537423948
11,29,1,1,1,13,52,207.95148854174943
6,30,1,0,0,11,49,199.0842798792398
14,34,1,0,1,14,57,229.3791314085386
13,29,0,1,1,14,56,220.88254780847092
5,27,0,1,1,10,50,200.2912363680592
14,31,0,0,1,9,51,207.14506817142504
7,32,0,0,0,8,49,198.82212043561643
10,32,1,0,0,9,52,207.603588603904
11,28,0,0,1,13,51,204.18435650260292
9,28,1,1,0,11,49,198.6171889850452
6,32,1,1,1,10,52,210.5858207178133
14,29,1,0,1,12,52,209.5647866878974
9,30,1,0,0,7,49,203.16361952714703
14,28,1,1,0,9,52,209.541700256302
11,32,1,1,1,12,53,214.25487404090225
5,30,1,0,1,7,48,196.30432313642385
8,28,1,1,1,12,48,193.2206466120233
11,31,0,0,1,14,52,208.67241377982944
7,30,1,1,1,11,50,201.59296427893628
14,27,0,1,0,8,49,197.5983197333245
9,31,0,0,1,13,52,208.70267197088177
6,30,1,0,0,12,48,195.80436731827172
10,29,1,0,0,9,50,202.4560045954937
11,27,1,1,1,11,51,205.74657649088263
12,29,1,0,0,7,50,202.96338421383552
11,33,1,1,1,9,52,210.58707227241527
3,32,1,1,1,13,49,199.406406124658
7,27,0,1,0,13,51,203.65102669410376
13,32,1,1,1,14,58,228.9814772542231
14,31,0,1,0,13,57,227.42461578223464
7,27,0,1,1,10,48,194.4608864141947
13,33,1,1,0,10,54,215.3578473038875
10,29,0,1,1,12,52,204.53561884613404
10,29,0,0,0,12,51,204.66553110507357
9,26,1,1,0,9,50,204.98087496638684
12,30,1,1,1,10,51,208.0591049879952
10,33,0,1,0,15,58,225.77465896616692
9,28,1,0,0,14,52,209.06713476058533
11,30,1,0,1,11,51,204.4005407894777
9,28,1,1,1,9,47,190.49108279988417
8,30,1,1,0,9,49,200.283371440681
5,28,1,0,1,9,49,198.44465827441036
10,29,1,1,1,11,50,203.1138452216485
11,32,1,1,0,11,51,206.70898949365755
10,32,1,1,1,12,54,217.5267024881372
9,29,0,1,0,13,50,201.200284075171
10,29,1,1,1,12,52,209.7641238769643
9,28,0,0,0,13,51,202.92470487229585
7,31,1,1,1,11,51,203.0275979110684
11,33,1,1,0,8,52,210.52118448772055
7,28,1,1,1,12,51,204.5610334086452
8,31,0,1,1,12,51,205.5495033343376
9,29,1,1,1,10,51,207.51857238890972
10,30,1,1,0,12,49,199.43207007424252
12,29,1,1,1,11,55,220.72432782498757
12,26,0,0,1,12,50,198.97191028483607
12,32,0,1,0,11,55,220.85060403619605
12,29,1,1,1,13,52,208.51581107978728
9,30,0,1,0,15,52,206.006901347734
11,32,1,1,1,10,51,206.54290946940932
10,33,0,1,0,13,51,204.24869226765944
10,30,1,0,0,10,49,201.28186933182715
9,33,1,1,1,12,53,211.7692947098705
5,30,1,1,0,12,53,209.92543187879969
6,30,1,0,0,10,50,201.73300196608915
10,33,1,0,1,9,51,205.6885653150668
9,28,1,1,1,10,49,198.3147928228772
8,30,1,0,1,10,50,201.27685781962688
10,29,1,1,0,14,51,204.635770134392
12,29,1,1,1,14,52,209.3213781364641
14,31,0,1,1,12,53,212.25878646924127
8,33,0,0,0,12,55,219.33565287217397
8,30,1,1,0,9,52,208.27821512729147
12,31,1,0,0,11,51,204.03889851953008
11,26,0,0,1,16,51,203.35623582775517
7,30,1,1,1,12,51,207.70163921311493
7,28,0,0,1,9,49,199.5421097867644
11,31,1,0,0,11,52,208.1110394203931
12,30,1,1,1,14,56,220.93061353402396
8,32,1,0,1,15,55,220.15649336871252
10,30,1,0,1,12,52,209.89675077972484
10,28,1,0,0,13,53,209.56127086411803
5,30,0,1,1,12,53,210.9323352494613
12,28,1,1,0,11,52,209.41104322979453
6,28,0,0,1,11,50,201.15844578926072
10,32,1,1,1,13,53,212.86899817612485
12,30,1,1,1,10,51,207.65126085638235
9,32,1,0,1,14,54,215.56670551958095
8,31,0,1,1,12,49,200.8565573875491
5,29,0,1,1,13,51,203.18711992023523
8,31,1,1,1,12,53,213.1745974667386
11,27,1,1,0,14,52,208.94060248501447
7,27,0,1,0,13,50,200.5301392592723
6,30,1,1,1,15,54,211.58151773458485
4,27,1,1,1,8,46,188.7256156342194
10,31,1,1,1,9,52,212.23647461837356
13,30,1,0,0,15,56,218.15026634979148
13,28,1,0,0,12,54,214.535267930112
8,27,1,0,1,15,52,207.330178437822
13,31,1,1,0,8,52,211.21447873175308
11,30,0,1,1,14,53,211.54552175826083
12,32,1,1,0,11,55,220.0900760282828
4,28,0,0,1,11,51,203.7435215971752
12,28,1,1,1,8,50,204.19213349436825
4,28,1,0,1,13,48,193.3449368356604
7,31,1,1,0,12,52,208.34215938498227
9,31,0,0,1,9,51,205.27125785624224
7,31,1,1,1,11,50,202.91226828848747
8,32,1,0,0,11,52,210.57078822809427
9,30,1,1,1,13,51,202.97547624591655
11,27,0,0,0,9,48,195.73806628396804
12,27,1,1,1,10,49,202.46432005423685
12,33,1,0,1,10,54,217.8602629820931
13,28,1,1,1,12,56,224.3663548416862
4,29,1,1,1,7,46,189.44787198808967
8,31,1,0,0,11,53,210.50136589803876
12,31,1,0,1,9,56,225.15443127311056
13,32,0,0,1,11,55,218.2370598567428
12,28,0,1,0,15,53,211.29020739798003
13,29,1,0,1,8,52,212.6543658735292
11,31,0,1,1,14,53,214.62113308654276
6,30,1,0,1,10,49,198.91031110407653
5,28,1,1,0,14,50,199.9950713279736
5,31,1,1,1,11,48,196.56698892872475
10,32,1,1,1,14,55,215.12947487728653
14,29,1,1,1,12,56,221.0961589125209
8,29,0,1,1,13,49,196.0156419617172
11,29,1,0,1,10,53,210.4953847100685
7,30,1,1,1,15,54,214.2198036833757
10,29,1,0,0,16,53,209.02875248279256
13,27,1,0,0,12,55,219.21998150421692
9,35,1,0,1,11,55,219.61640933776656
9,28,0,1,0,11,51,208.12430104930607
8,29,0,1,0,6,50,201.9907537902093
11,29,1,0,1,12,50,201.34927636790957
9,35,1,1,1,14,55,222.21072835476284
7,23,1,1,1,10,48,194.345420388476
10,31,1,1,0,13,52,207.3300311341248
7,32,1,0,0,12,53,213.5784512895788
8,27,1,1,0,12,50,202.71374555168288
10,29,0,1,1,9,53,214.7865850294996
13,33,1,0,1,11,54,215.0002539080952
7,29,1,1,1,12,51,205.13107648504865
11,33,0,1,0,12,54,215.62057148893723
12,27,0,1,0,10,51,205.7771491590638
13,30,0,1,1,10,50,201.26639561162767
5,32,1,1,0,13,52,206.90400389821133
12,29,0,1,1,11,54,213.8846007955714
12,29,1,1,1,13,53,211.5278192748008
6,26,0,1,1,12,47,188.21818786676195
9,29,0,0,1,11,51,207.27992814022127
13,34,1,0,1,9,53,216.25862584560855
13,29,1,1,0,10,54,217.77125279236927
4,29,1,0,1,13,51,203.54562810671663
13,29,0,1,1,12,52,209.73707440573693
9,30,1,0,1,14,50,200.6450237936732
7,30,1,0,1,12,46,187.9710372993605
12,31,0,1,0,11,55,217.60817791293948
14,30,1,1,1,14,56,224.11864977487537
5,30,0,1,1,12,51,205.60827411251955
12,33,1,1,1,9,54,219.60820161632475
6,30,1,0,1,13,50,202.2317861956851
9,29,1,1,1,9,49,200.126838492242
8,31,0,0,1,17,54,215.70705788872695
9,32,1,1,1,14,55,219.66358404728297
10,28,1,0,1,10,48,194.91872036686345
8,30,0,0,1,11,51,202.5325359681936
17,27,1,1,1,13,55,217.80550202402748
8,29,1,1,0,14,55,219.37579318049853
12,26,1,0,0,13,52,207.7661614352081
11,28,1,1,1,17,55,220.03025309860485
8,29,1,0,1,11,51,207.24226173546424
13,26,1,0,0,12,50,200.7123717448025
14,31,1,0,0,14,57,225.6722340462648
6,29,0,1,1,10,50,200.3193213484836
9,31,1,1,1,16,54,213.2212759789332
8,31,1,1,1,13,53,213.3758471948869
4,29,1,1,1,13,49,197.4197197954529
16,29,1,0,0,11,54,216.13181990536947
17,31,1,1,0,10,53,212.19269286459252
5,26,0,1,0,14,49,196.9301586053709
11,30,0,0,0,13,53,211.2524876378841
11,32,1,0,0,11,51,208.37139463693177
10,30,0,1,1,13,53,210.95048203034204
14,32,1,1,1,9,52,209.48813402763108
10,29,1,1,1,11,52,208.98554171332052
8,28,0,1,1,13,53,209.4488262001227
9,33,1,1,1,9,53,212.81607981351544
8,28,1,1,1,10,52,206.4211451434456
9,29,1,1,0,9,50,203.20470947882217
8,28,1,1,0,13,48,193.56189069162832
9,31,0,1,1,10,51,208.44929573989344
14,30,1,0,1,14,57,223.9687964097588
8,29,1,1,1,14,53,211.44146578933356
15,32,1,1,1,10,58,229.21365927935872
11,26,0,1,1,10,50,205.67139494770237
10,30,1,1,1,14,54,210.70433373078768
11,30,1,0,1,13,51,205.1730336291474
10,33,0,0,1,10,53,212.1662208186859
10,33,1,0,1,15,53,210.9304855369411
8,26,0,1,1,10,46,185.83148920555655
9,24,1,1,1,9,49,197.91177555689367
8,34,1,0,0,9,55,219.9667546035645
13,28,1,1,1,12,53,212.27261284738125
11,28,1,1,0,13,51,205.69139587953936
9,29,1,1,0,9,51,204.89946982500868
11,33,0,0,0,12,53,210.958335218065
11,27,0,1,1,13,54,214.7352097163973
8,33,1,1,0,12,54,216.16001155224043
3,30,1,0,1,10,47,191.9904440616356
7,28,1,0,1,11,51,204.20687232576947
11,30,1,1,0,10,52,210.81712153793745
13,30,1,1,0,11,54,215.6282314268604
9,26,1,1,0,11,53,212.6841692020189
7,31,1,1,1,11,52,207.3590770970892
9,28,0,1,1,10,50,202.4919518270884
4,30,1,1,1,15,52,204.77256703299395
7,27,0,0,1,15,50,201.20702703990173
14,28,0,1,1,10,55,219.1617853088321
11,33,1,1,1,13,56,222.71234175785028
10,29,1,1,1,9,49,200.88989663725823
9,32,1,0,1,11,52,209.22293785893496
9,31,1,1,1,10,50,204.06871326223077
11,30,1,0,1,11,54,215.18501557516143
10,27,1,0,1,11,50,201.2920348850016
12,29,0,1,0,14,53,209.31054930913888
11,31,1,1,1,10,53,210.57805639799884
8,29,0,1,1,11,49,197.0422192110305
7,28,1,1,1,11,49,200.33794708294457
9,27,1,1,0,12,54,213.5312265407775
12,30,1,1,1,13,52,206.55122812687296
12,29,1,1,0,10,52,206.3788017874437
9,33,1,1,1,10,56,223.0121839405197
6,29,0,1,1,12,49,197.8371396997099
6,28,0,1,1,10,50,202.08533949448275
10,29,1,1,0,13,52,206.96691700289716
8,26,0,1,1,9,47,188.54632248116468
15,30,1,1,1,9,53,214.0854011377707
12,29,1,1,1,10,50,201.74094207659064
10,33,1,1,1,11,56,223.4373209235402
12,30,0,1,0,11,51,202.82196929529985
11,33,1,1,0,12,56,222.435655407546
10,29,1,1,1,9,49,199.5594812966108
7,26,1,0,1,11,48,191.5454023813249
8,28,0,1,1,14,50,199.6253518927236
10,28,1,0,0,12,52,208.299253830576
7,29,1,0,1,10,51,207.8141544033254
6,28,1,1,0,7,47,191.8906912524551
9,33,1,1,1,11,51,206.0530596956553
10,26,1,1,1,14,51,203.47792294377672
10,28,0,0,1,9,50,202.85789630201592
9,29,0,1,1,11,52,210.3377404247645
7,32,1,0,0,13,54,216.6311133192697
9,33,1,1,1,11,54,219.3141860997609
8,33,1,0,1,10,54,215.3758190066145
7,29,1,0,1,9,48,195.9132270856816
10,28,1,0,0,7,49,199.98920533764684
12,28,1,1,1,11,48,196.33471880796435
4,33,1,1,0,12,52,208.20598567078204
11,31,1,0,1,13,56,222.03726240765565
10,25,1,1,0,11,49,196.9637475489341
9,34,1,0,0,13,53,213.59327088478156
13,27,1,1,1,12,51,205.86000609635843
9,27,1,1,1,10,49,198.9233300224244
6,31,0,1,1,12,53,212.7193386916899
9,29,1,1,0,11,49,197.77261845473203
12,32,1,0,1,12,55,219.43214541001768
13,25,1,0,1,11,51,205.0423224322132
7,29,0,1,1,12,55,221.6586939206221
13,29,1,0,1,13,57,226.19998871464628
11,31,0,1,0,13,53,210.91684164149933
10,28,1,1,1,14,51,204.00511884068183
11,29,1,1,0,10,53,210.66301583227707
12,27,1,0,1,13,50,201.7859468886961
8,30,1,1,1,11,51,205.2068675401751
12,28,1,0,1,8,50,200.39387091431152
8,27,0,1,1,12,50,201.24016436624208
9,32,1,1,0,13,55,218.57418431720865
4,29,1,1,0,5,45,185.31234096462777
11,28,1,0,1,12,52,206.60562309679136
9,31,0,1,1,9,49,200.68533602595795
12,28,1,1,1,12,53,211.6646515151976
7,27,1,1,1,12,49,197.23267955076847
7,26,0,1,1,11,49,198.16398579612445
11,31,1,1,0,14,54,214.41681346328437
7,30,1,1,0,12,53,213.67378457754864
14,33,0,0,1,12,55,219.0419172261853
9,31,1,0,0,14,54,213.1125409815136
12,30,1,1,1,12,53,213.98819682307365
10,29,1,0,1,11,54,216.3830837760671
7,26,0,0,1,9,46,187.23597936186363
8,30,0,0,1,9,50,201.85114434997791
10,26,1,1,0,12,52,203.60916513757053
6,31,1,1,1,12,52,209.5605014870085
9,29,1,1,1,12,52,207.07245862004464
9,30,1,0,1,13,53,212.1378807875826
10,30,0,0,0,11,49,199.71567648959575
8,30,1,1,1,8,53,214.8419610110884
9,29,1,0,1,11,52,208.06039190096075
7,34,1,1,1,13,55,217.1864015242483
13,29,1,1,1,9,51,207.8068118448283
6,28,0,1,0,12,50,197.44896968169488
9,28,1,1,0,12,50,200.7856193762242
7,32,1,1,0,11,51,203.89506185724025
11,32,0,1,1,11,54,218.3215714918749
15,30,0,1,1,10,54,218.75285760324903
12,28,1,0,1,11,51,204.9329673616542
7,26,1,1,1,13,50,199.69538431425576
10,30,1,0,1,11,56,222.62052319916052
10,32,1,1,1,12,52,208.82531404759592
9,30,1,1,1,14,54,214.70039388508889
12,28,0,1,1,9,52,210.29217558076903
14,29,1,1,0,12,54,216.83187790584768
11,33,1,1,1,13,56,223.0805069530925
9,28,1,1,1,10,51,204.2306495327872
8,27,0,1,0,13,51,204.13460524650904
10,29,1,1,0,11,52,207.7680701018314
13,27,1,0,1,13,53,213.2507536449529
7,27,1,1,0,11,47,191.90797879700037
8,29,0,1,1,10,52,211.9087851315321
12,30,1,0,1,10,53,216.19208370857595
11,27,0,1,1,9,51,205.0485266634149
10,31,0,1,1,10,51,204.4519305224743
7,31,0,1,1,15,51,201.853580338762
12,30,0,1,0,13,53,213.38785509192823
6,31,0,1,1,11,51,206.22291733097623
11,27,1,1,0,11,49,197.14207110021516
11,31,0,0,1,13,54,216.9577138873616
7,28,1,1,1,11,51,207.6621813606446
13,27,1,1,1,13,51,205.437355060801
12,26,0,1,0,8,51,204.93425807608853
5,30,0,0,1,9,49,200.028186884192
12,30,1,1,0,14,53,209.20809402464573
9,30,1,0,1,12,51,205.3827490982241
8,27,0,1,1,13,52,206.59796948648457
9,29,0,1,1,12,51,204.4368825877248
12,28,0,1,0,14,54,212.38442131750537
12,26,1,1,0,10,50,199.8460690737334
4,29,1,1,1,10,52,206.92157552798432
11,30,1,0,1,13,52,207.6296898741068
12,27,0,0,0,13,53,210.5086824236462
13,31,1,1,1,13,54,212.03429066207755
4,29,1,1,0,10,46,187.5402210437222
11,28,0,0,1,11,50,199.47414246407
8,30,1,1,0,11,50,201.73501498997695
7,31,0,1,1,13,50,200.5533593714593
13,29,0,0,1,7,49,201.2366026205851
12,25,1,1,0,14,54,213.9377542894744
7,28,0,1,1,13,51,204.3220233801017
8,30,1,0,0,10,50,199.48231454907636
13,30,0,1,0,14,56,218.19023531585037
9,32,0,1,1,14,56,223.19053475866923
6,32,1,1,1,9,49,196.33623609236423
9,31,0,1,1,11,54,216.491222863329
8,26,1,1,0,11,49,198.1858012895116
9,30,1,0,1,14,54,215.06238533698203
14,30,1,1,0,12,54,214.7650890243237
16,30,0,1,0,12,54,216.7247713030704
9,32,1,1,1,11,53,213.43651156523356
11,28,0,1,1,12,50,200.4263973061092
7,31,0,0,1,11,53,211.67351903954128
9,27,1,1,1,14,51,205.34952772210715
9,33,0,1,1,7,52,212.2581504248745
13,25,1,0,1,9,49,199.1863109980736
7,30,0,1,1,11,52,208.93929933298008
14,32,1,0,1,16,55,221.27838859335367
11,32,1,1,1,11,55,221.42133841652333
14,27,1,1,0,15,55,215.0299484966866
13,28,0,1,1,7,49,199.60647540219335
10,31,0,1,1,10,52,209.47017709830968
13,28,1,1,1,10,51,208.82475221632805
7,31,1,1,1,14,52,207.04318249291424
13,29,1,1,0,17,57,224.16836208462465
8,27,0,0,1,9,48,198.38933561729823
10,30,0,1,0,12,49,199.40552215262932
8,27,1,1,1,13,50,199.38494860265305
8,32,1,1,0,11,52,209.1686193086787
7,24,0,1,1,6,47,190.4684070347869
10,29,0,1,1,14,52,207.3260593710876
8,32,1,1,1,12,54,215.1533382605417
13,32,1,1,1,13,57,226.30406117738127
6,29,0,1,0,8,50,200.48159282927077
8,30,0,1,0,7,49,200.552100645784
13,29,1,0,0,10,51,203.52120019662124
9,30,0,1,1,12,53,214.15913682600933
13,26,1,0,0,13,52,206.5989189029844
12,31,1,1,1,11,53,213.7830799668113
10,31,0,1,0,15,56,219.58060175260783
9,26,1,0,1,14,51,203.5133746334408
16,28,1,1,0,7,51,204.6226208054092
8,28,0,0,1,11,50,201.58513633185535
7,32,1,0,0,12,51,205.1403573593537
5,28,1,1,0,13,48,193.8502008441843
8,31,1,1,0,10,50,203.10912976831216
10,33,0,0,1,12,52,209.88976362295548
13,32,0,1,1,11,57,223.88804636472835
8,31,1,1,1,14,55,216.9177320208609
12,31,1,1,0,13,55,219.19095584981756
8,28,1,1,1,15,49,196.09305599823747
7,26,1,1,1,13,49,196.6581211555009
2,30,1,1,1,14,51,203.898283278297
11,30,1,1,1,9,52,208.4964165836571
12,30,1,1,1,13,52,211.40691444929377
5,31,1,1,1,15,53,211.24412276538743
5,27,0,1,1,13,51,204.7433968460402
9,30,1,0,0,11,52,209.35260760869105
6,30,1,1,1,10,51,205.81564672088635
11,32,1,1,1,12,57,224.65933170145053
7,28,0,1,0,12,50,200.4612342189495
5,32,1,0,1,13,52,208.8568499497873
8,31,1,1,1,10,51,206.51725808104112
12,29,0,0,1,11,54,216.54130210260223
8,30,1,1,1,11,53,210.94645781348197
10,30,1,0,1,11,52,209.66480288221115
9,30,1,1,1,14,54,213.82431508230184
9,27,1,1,1,14,50,202.7358554727692
9,31,1,1,1,14,53,211.3524845717432
10,33,0,1,1,11,54,219.80463359768723
10,31,1,0,1,10,51,204.6641402423035
11,26,1,1,0,13,49,199.7511939305298
