participant_age,income_level,crime_rate,education_years,employment_status,home_ownership,received_funding_policy,received_public_safety_funding,perceived_safety_level
21,24,2,20,2,0,0,1,81.1812933138384
31,20,4,9,1,1,0,0,72.90376505028834
27,18,11,11,0,1,1,1,74.15265446034762
24,31,8,9,1,1,1,0,81.41009901886208
19,20,7,17,2,1,0,1,78.21635039932465
50,23,3,16,2,0,0,1,82.50306213167379
31,28,8,9,2,0,0,0,78.23027288826749
17,25,3,20,2,1,1,1,80.17893739807633
21,22,10,16,2,0,0,1,78.62435832990073
48,28,8,25,2,0,0,1,91.54994210104157
35,27,7,13,3,1,0,1,84.33746388469143
21,12,4,16,1,1,1,1,69.30692169427935
27,18,2,9,1,0,1,0,70.6437640698359
26,25,5,19,1,1,0,1,81.57039246664024
13,17,7,20,0,0,0,1,75.54577038578775
32,22,8,8,3,0,0,1,76.75698692996261
28,24,3,15,2,1,1,1,79.28687308894467
22,25,4,22,1,1,0,1,83.11163132169523
37,11,1,15,1,1,1,1,72.3388926560217
17,17,6,18,0,1,1,0,71.17255049460147
16,27,10,18,2,0,1,0,78.84697753830338
24,23,5,17,1,0,0,1,79.95866384388775
16,24,3,15,1,1,1,1,77.10686674626083
36,22,4,15,2,0,0,1,79.0265828306081
26,20,5,15,1,1,0,1,76.72851865142597
22,24,4,14,1,0,0,0,74.62237664963689
34,23,6,16,2,1,0,1,78.96758538947967
26,23,3,12,0,0,0,0,75.1371413965224
33,23,3,21,2,1,0,0,81.41525049204944
24,23,6,23,2,0,0,0,80.00204864756714
-10,22,8,19,1,1,0,1,71.96950224025302
28,23,5,13,1,0,0,1,76.80106886568255
17,33,8,20,2,1,0,0,85.93941886457165
8,22,4,14,2,0,1,0,74.56405780942715
21,21,6,16,1,1,0,1,77.11764667866125
26,15,10,16,1,0,0,1,73.24671440480525
8,27,4,13,0,0,0,0,76.12382966638917
45,23,4,8,0,0,0,1,78.40307080535142
10,30,6,14,2,0,1,1,80.7591454969545
18,21,6,10,1,1,0,0,71.41047878129201
30,34,4,17,2,0,1,0,87.83812936877878
32,25,7,15,3,1,0,1,82.73041643681161
30,26,8,18,1,1,0,1,82.02446157600833
17,27,5,16,1,0,1,0,79.02379056634416
11,23,5,16,0,1,0,0,73.69935054370508
11,15,9,17,2,0,0,0,67.62360798561627
24,26,7,13,3,1,0,0,78.66496834199519
31,16,5,15,1,1,0,1,73.69797942198329
14,25,5,12,1,0,1,1,75.5203054557596
24,21,8,10,2,1,1,1,75.41429054024813
15,17,4,16,4,1,1,0,72.46757777892375
22,24,8,16,2,1,1,1,80.46890603500268
18,24,7,8,0,1,1,0,74.19179058702754
29,25,2,10,2,0,0,1,76.74015951128403
14,32,7,15,2,1,1,1,83.52847953780085
5,23,3,15,1,0,0,0,73.12018024151945
16,23,6,15,2,1,0,1,75.73948969416415
33,25,8,7,2,0,1,1,78.67163124647784
6,30,10,16,2,1,0,1,82.47281123622967
34,30,3,18,2,0,1,0,85.33260528919503
19,32,4,21,1,0,1,1,86.57892056489953
9,17,9,13,1,0,1,0,69.3771776481769
17,29,8,16,3,0,0,0,82.4110619566284
8,21,2,14,0,1,0,1,72.91126200199582
35,23,8,16,0,1,1,0,80.12150082175917
25,13,4,17,2,1,1,0,70.82312031118397
5,21,5,18,2,0,0,0,70.33262242446314
33,27,5,14,0,1,0,1,80.95826801230402
26,24,2,15,3,1,1,1,80.34567382193208
34,18,4,13,2,0,0,0,73.4992394239858
22,16,6,22,1,0,1,0,72.62785003164423
35,24,6,15,1,1,1,0,80.1812125547933
30,22,6,10,4,0,0,1,78.1987200587104
23,26,3,22,2,0,0,1,85.37523658064929
10,18,7,14,0,0,0,1,69.90128274775903
27,28,1,21,2,0,0,1,85.80445265139409
8,25,6,16,2,0,1,0,76.82635152152525
21,23,5,12,3,0,0,0,75.78310595815425
42,28,7,12,1,1,0,0,82.52332482839842
16,21,6,16,1,0,1,0,75.41126105498104
22,25,7,18,2,1,1,1,83.45410438610298
33,29,0,13,2,1,0,0,81.61808214349567
25,21,7,22,0,1,1,0,76.59781656368877
12,25,5,12,2,1,1,1,75.99227786496085
32,24,8,17,2,1,1,1,83.53857868224053
24,22,9,10,0,1,1,1,76.7700558904411
43,23,6,8,1,1,1,0,76.94066423733332
25,25,4,22,2,1,0,1,84.17460205565
37,21,4,18,1,0,1,1,80.70716289344156
33,19,8,13,1,0,1,0,75.3198932566231
36,18,3,11,3,1,0,0,74.40817739479829
12,30,6,16,0,0,1,1,83.6447153296551
22,25,7,15,2,1,1,0,80.10594093445579
5,15,6,15,2,0,1,0,68.28493637582245
27,20,5,15,3,1,0,0,75.00650011604374
35,23,7,16,0,0,1,1,81.09428846318512
32,17,4,21,2,1,1,1,78.55682417274711
14,20,2,15,1,1,1,1,74.0721510646424
24,28,6,13,1,1,1,1,81.14146768974605
20,25,8,21,1,1,1,0,80.96245734678912
20,19,5,19,2,1,0,1,76.47450275852331
18,24,6,17,2,0,1,1,81.21513125420852
27,23,6,5,3,1,0,1,75.34321731710824
43,14,5,17,1,1,1,1,75.96659833774908
16,21,7,19,0,0,0,0,74.77496732367632
21,26,7,17,2,1,1,0,79.36196349917367
10,29,6,17,0,0,1,0,80.75406921543127
26,19,12,15,2,0,1,0,73.97649548431207
17,25,9,11,1,0,1,0,77.025652524877
19,22,7,17,2,0,1,1,79.93534184547747
15,26,5,18,3,0,1,1,82.37119376833051
31,25,5,7,1,0,1,0,76.40122500107908
4,22,6,19,1,1,1,0,72.88995881976105
17,26,3,19,1,1,0,1,80.18245525172587
14,27,8,16,1,1,1,1,80.57749282422859
9,25,5,20,1,0,0,1,77.99951772660492
19,26,7,10,2,1,0,1,79.12525711092505
30,21,8,13,1,0,0,0,74.54222547009755
22,27,3,18,0,0,1,1,81.22030663970236
24,21,9,25,2,0,0,0,78.81498736930885
5,20,12,13,2,0,1,0,71.98743700955926
18,21,4,12,1,1,0,0,72.84706739402584
25,22,6,21,0,1,0,0,77.00630358609935
23,23,7,18,2,1,1,0,78.86501539572795
30,19,6,13,1,0,1,1,75.09901623109799
33,22,0,17,2,1,0,0,78.21902452013454
24,24,5,14,2,1,1,0,77.60969003236546
34,31,8,17,3,0,1,0,85.51736668501347
26,33,3,10,1,0,0,0,83.76199739103376
22,27,4,20,1,0,0,0,81.70587814379778
18,23,5,10,0,1,0,1,73.87845149501253
36,25,2,13,1,1,0,0,80.24680485280733
28,21,5,17,2,0,0,1,77.52930617107828
14,19,6,18,1,1,1,0,73.88574049903927
24,20,9,18,0,0,1,0,73.77768627021408
13,23,4,9,1,0,1,1,72.18664449335387
22,28,8,21,1,0,1,0,85.1954840434441
18,18,4,15,0,0,0,1,71.18032259265928
25,21,7,15,1,1,1,1,76.87667021188844
41,22,2,14,0,0,1,1,79.29799996139967
35,24,4,11,1,0,0,1,78.5284214489833
5,26,5,16,2,1,1,0,77.60618063764406
12,29,6,11,2,1,1,0,76.98241649454981
10,22,7,9,2,0,0,1,72.65738900312503
31,21,6,17,1,0,0,1,76.35790053082223
13,27,4,19,1,1,1,1,81.3757116775241
24,21,2,9,1,0,1,0,72.39976327787225
28,25,7,14,1,1,1,1,80.51771898946083
33,26,11,13,2,1,1,1,83.20616139669582
21,23,2,23,2,0,1,1,82.46048165427189
27,22,5,17,1,1,0,1,77.20483342700872
7,27,7,9,3,0,0,1,75.53800101141572
28,24,8,17,1,0,1,0,80.17872936536916
21,30,4,17,3,1,0,0,84.27909741510518
29,21,8,8,1,1,1,1,76.52376590717837
38,22,3,13,1,0,0,0,76.20512520313628
27,16,5,17,1,0,1,0,73.05708571959173
13,21,6,20,3,0,0,1,76.29731741939109
17,28,4,5,2,0,0,1,77.98635377260014
25,26,4,11,0,0,1,0,77.62452286709404
22,27,5,19,0,0,0,0,80.59959786942595
14,21,9,20,1,1,0,0,75.64870402417729
36,21,4,7,2,0,1,0,74.49441850511917
36,27,2,19,0,1,0,0,81.05883098201947
12,22,3,23,2,0,1,1,82.00704704397049
14,24,8,20,2,1,0,1,81.53368446069356
25,15,7,9,1,0,0,1,70.4458179261606
17,25,3,15,0,1,0,0,76.81773205225966
19,19,6,18,1,0,0,0,72.26610714966851
27,24,11,22,0,1,1,1,82.25825706150745
23,20,3,21,2,1,1,1,79.91443031105426
34,16,3,14,3,0,1,1,76.88547534497334
38,29,4,11,0,1,1,0,81.77444462105241
32,18,8,20,0,0,1,0,77.29452590343894
22,25,6,15,0,0,0,0,75.27059925311491
21,19,2,15,1,1,0,0,72.71566294479734
41,22,6,14,1,0,0,0,78.35058567720284
49,22,4,8,3,0,0,0,77.14948600149347
15,29,2,14,2,1,1,1,82.55669806704975
39,23,6,20,2,1,1,1,83.61900064966271
20,24,8,14,3,1,0,0,75.97041988271008
32,26,7,12,2,1,1,0,79.96693589979786
36,20,5,24,1,1,0,1,81.30416743643357
15,19,8,21,1,0,1,0,75.36914970657897
16,26,7,11,2,1,0,0,75.69674590815862
13,23,4,17,2,0,1,0,78.09810866890847
25,25,4,20,1,1,0,1,81.947144659467
45,25,7,8,4,0,1,1,80.97958432249949
32,32,1,22,1,0,0,1,90.06374438440483
9,20,7,11,1,0,0,0,69.53680027452198
30,17,6,18,1,1,1,0,76.02822478319726
20,17,5,8,1,1,0,0,68.82980761065139
13,27,5,11,3,1,0,0,76.60488035653431
30,27,7,14,2,1,1,1,83.26462273962233
31,21,5,15,4,0,1,0,78.32156095495435
11,19,7,19,2,0,1,0,74.92855756853822
17,26,3,13,1,0,0,0,76.24681401088975
46,15,3,13,2,0,0,0,71.9596411180539
20,28,6,17,2,1,1,1,83.63337585196159
27,26,5,13,1,1,0,1,79.29570891587636
26,24,7,19,1,0,0,1,80.64915974008582
9,21,8,17,1,1,0,1,75.39007281863049
35,15,6,12,2,1,1,1,73.12949703962289
35,23,5,11,3,0,0,1,80.2090319447551
43,25,2,17,1,0,0,0,82.30414243214626
26,22,7,15,1,0,1,1,78.06606096506451
31,25,5,15,0,0,1,1,81.68243366875336
18,25,6,19,2,0,0,0,77.65824714380614
22,24,6,20,1,1,0,0,79.78345904314111
34,22,3,11,0,1,1,1,77.92370481012563
27,23,5,8,1,0,1,0,73.65310311413359
21,26,9,20,3,0,1,0,82.70612960086586
24,21,3,16,2,1,0,0,77.23574104802783
28,28,5,11,0,0,1,0,79.19781001524727
19,22,5,12,1,1,1,1,74.22667169253677
37,21,7,18,1,1,0,1,78.8501953841984
38,28,5,20,0,0,0,1,87.78718599378998
37,19,10,18,3,0,1,1,81.26366880297532
41,16,6,23,2,0,0,1,78.86991531588791
21,25,8,15,1,0,1,0,76.96473546002152
21,21,8,9,2,0,1,1,74.89387697434978
28,26,7,16,0,0,0,1,82.2567928268252
6,22,5,15,3,1,0,1,75.19729685243469
52,26,10,15,3,0,1,0,85.00798563175032
32,23,4,18,1,1,0,1,81.3068131396433
31,27,7,18,1,0,1,0,83.53184056847002
3,25,6,18,3,1,0,0,77.82642790732389
25,33,8,15,3,0,1,0,85.19228483352859
35,19,3,24,2,0,0,0,79.85389208221605
22,23,4,15,2,0,1,0,74.44163520439349
34,19,4,14,2,0,0,1,76.878820439219
33,24,8,14,2,0,1,0,78.20203302597223
20,29,4,16,3,1,1,1,82.79118038483358
33,24,7,11,4,0,1,1,80.93663364272996
34,23,6,18,1,1,0,0,79.25468837499702
32,21,5,19,0,0,1,1,79.85573705642749
10,30,4,17,2,0,1,1,83.189989778896
15,22,6,18,3,1,1,0,77.68193406990167
18,23,7,10,2,0,0,1,75.41188308502313
22,28,2,17,2,0,0,1,83.48565883843278
12,18,2,14,2,0,1,1,72.6457027196089
16,14,6,19,4,1,1,1,74.59505517932656
17,25,3,13,1,0,1,1,79.1053929675405
24,30,7,16,2,1,1,0,83.99557375523902
34,15,1,13,1,0,0,0,70.5487306643106
17,20,4,21,1,1,0,1,76.03728926177645
16,20,4,14,2,1,0,0,73.62291050552432
32,29,6,11,1,1,0,0,80.93489587853213
27,25,3,18,2,0,0,0,79.89057504920403
27,29,7,15,2,1,0,0,80.77675947276171
36,24,8,13,1,1,0,0,79.07841290005082
6,25,3,18,2,0,1,1,77.66830207134316
13,25,4,11,0,0,1,0,75.47632882767707
24,25,6,5,1,1,0,0,73.59522603108532
9,26,7,18,3,0,0,0,77.47666457555785
36,21,6,12,0,0,1,1,77.59370461093728
21,25,6,9,1,0,0,1,76.7478353094305
29,22,11,12,2,0,0,0,74.43021748577847
33,26,6,17,1,0,0,1,81.34781072618114
27,22,5,18,2,1,0,1,80.18450753335503
20,20,6,9,1,0,0,0,69.95773025892666
33,23,6,15,3,1,0,1,81.65327348807382
24,16,5,19,1,1,1,0,73.59742974746993
16,23,6,18,2,1,1,0,79.0320755234435
34,27,4,11,1,0,0,0,79.68239089118113
15,17,5,8,1,1,1,1,69.11416396683256
37,25,7,12,2,1,0,1,79.73247325062363
15,30,5,13,0,1,0,0,79.15349139275673
20,24,6,17,1,1,1,1,80.19488928020733
26,23,5,13,1,1,1,0,78.22426420354955
21,19,1,18,2,1,1,0,74.20183143749875
-2,12,6,7,2,0,0,0,59.7166418655993
8,23,7,19,3,1,1,1,78.7087077131459
23,31,8,17,3,1,0,1,86.99190529012212
14,23,3,22,4,0,0,0,78.81218267752641
19,20,6,9,1,0,1,0,69.70428250829447
27,25,7,13,1,0,1,0,78.21628643920914
33,27,4,18,0,1,0,1,82.08333173217225
15,18,10,16,2,1,1,0,72.32008749029946
39,21,7,15,1,0,0,0,77.45171837861224
40,28,7,13,1,1,0,1,84.05901187745273
17,17,8,19,0,1,0,0,70.09877272321475
37,20,7,18,1,1,1,1,80.70157461926608
2,24,10,19,1,0,1,0,77.60672081579521
38,23,4,16,2,1,0,1,80.90724112132197
23,26,1,9,2,1,0,0,74.6461336768875
38,20,2,15,2,0,0,1,78.69887475872336
34,25,2,11,1,0,0,1,80.64292855339647
30,20,5,18,1,1,0,1,78.61129879916523
44,24,7,9,3,0,1,1,80.89686168099466
25,21,4,16,3,1,1,1,78.58614993072652
18,23,7,14,4,1,1,1,80.2959900257969
22,27,5,18,2,0,0,1,82.19308340738053
9,25,4,24,3,0,0,0,80.89350596167681
19,20,5,21,2,1,1,0,76.06726164920798
18,27,5,18,2,0,1,0,80.32092999260972
25,26,7,12,1,0,1,0,79.81030915984392
20,23,5,16,0,1,0,0,74.3205470792526
40,20,7,22,2,1,0,0,80.30563654043428
11,24,5,21,1,0,1,1,81.45838993788792
31,29,0,12,1,0,1,0,79.10655179695924
25,15,8,15,1,0,1,0,71.11671539528899
18,27,2,16,3,0,1,0,79.77180279184105
29,15,6,19,0,0,1,0,73.60105782032299
31,23,4,11,1,0,0,1,76.6625497070747
16,25,4,16,2,0,1,0,75.90672531520185
25,18,9,17,2,1,0,1,75.35293113261477
5,24,5,15,1,0,0,0,73.21266525824201
17,28,4,21,1,0,0,0,82.95954839424256
15,21,1,27,1,1,1,0,78.97837054427512
5,14,6,18,3,1,1,0,67.69019059870661
27,23,6,13,1,0,0,0,76.16229746781498
22,22,12,20,2,0,0,1,81.99203806591176
26,14,7,19,2,0,0,0,71.71557576300695
28,19,7,21,2,1,0,0,76.35614827021679
40,26,4,14,0,1,0,0,81.69379466209152
38,24,1,21,1,0,0,0,83.18611604964782
32,26,2,19,1,1,1,0,80.71082744489176
18,20,7,12,2,0,1,1,72.74463124602633
40,26,9,9,2,1,0,0,79.2567050594634
16,26,7,17,0,0,1,0,79.39398393695329
11,24,8,19,2,0,0,0,78.11990579513247
21,20,4,18,1,0,0,1,76.69508202235693
34,24,8,22,2,0,1,1,85.86823781179254
11,23,5,12,2,0,0,1,75.12812714872847
16,27,4,18,1,0,0,0,76.38917024790965
4,23,6,13,3,1,1,0,73.19154072966091
10,23,2,7,0,0,0,1,70.37058489723896
31,25,9,11,2,1,1,0,80.00176370569021
18,21,6,20,3,1,1,0,78.34889398309873
27,23,3,10,1,0,0,0,73.93963703000873
31,23,6,14,3,0,1,1,81.28804956957809
21,25,5,13,1,0,0,0,75.731340081645
24,24,4,13,1,1,0,0,74.65933761741675
7,27,2,7,0,1,0,1,74.33276999881139
16,21,5,22,3,0,1,1,77.17230721308347
35,18,5,16,3,0,0,0,74.38319725089782
34,21,4,20,1,1,1,0,82.00046813994526
27,24,7,16,0,0,1,0,77.69905782589566
27,33,7,15,0,1,0,0,84.22366105970214
22,25,5,15,1,1,0,1,79.97385131856952
41,26,9,14,1,0,0,0,81.91251114722016
44,24,6,14,1,0,0,0,79.91293612001859
20,29,7,16,1,1,1,1,83.53473454102343
33,34,7,24,1,0,0,1,94.97182765033902
20,21,7,16,2,0,1,0,76.45181598877716
25,21,5,3,3,0,1,0,70.68348820281699
29,29,5,23,0,1,1,0,86.83990142093296
23,22,5,15,0,0,0,1,78.14980218800262
28,23,7,10,3,0,1,1,77.55102587637546
25,25,7,10,1,0,1,1,78.35783109198415
19,28,6,16,3,1,0,1,82.42148449698422
19,33,4,10,3,1,1,1,85.11443113498885
37,22,2,15,0,0,0,0,76.03238605263704
14,23,5,16,2,0,1,1,78.46804240153045
17,20,10,5,2,0,0,1,69.52038034531104
30,32,3,16,0,1,0,1,86.73061066302299
17,17,8,11,2,1,1,0,70.76920921962856
10,24,8,19,2,0,0,1,79.26966343968009
23,30,3,10,1,0,1,0,80.2011553134002
32,27,6,16,1,0,1,0,81.82832642028487
42,20,3,18,0,1,0,0,77.4145892845249
21,22,1,11,0,1,0,0,72.58285834823384
25,24,3,9,1,0,1,1,74.96288901352443
27,27,4,21,3,1,1,1,84.5885938377625
27,22,5,19,2,1,0,0,78.32538029465938
14,20,2,10,2,0,1,1,72.39711311887055
29,23,3,13,0,1,0,0,74.72691338496979
27,18,7,25,1,0,0,1,79.18354237144692
11,25,4,16,0,1,0,1,76.8313881126582
25,28,1,15,1,0,1,0,81.68264561595576
25,20,7,8,3,1,1,0,73.01609389730163
29,13,5,14,2,0,1,1,70.42932871040125
12,27,3,14,3,1,1,0,78.72851524388638
31,24,6,22,2,0,1,1,84.7805052388905
17,27,6,12,1,0,0,0,77.43494765930484
19,22,6,18,1,0,0,1,79.14329673385643
27,20,7,15,1,0,0,0,74.51824921793977
27,28,6,12,2,0,0,0,79.55061284371088
16,17,8,12,1,1,1,0,67.9619499368186
13,16,8,20,2,0,0,1,73.22767335842417
20,22,6,12,0,1,1,1,73.86222106519953
21,23,8,9,1,1,0,0,73.36583056078616
5,28,6,15,1,0,1,1,81.03230123903224
13,25,4,19,0,0,0,1,79.15553884218826
3,22,10,17,2,1,1,0,74.00964760509525
30,22,11,24,2,1,1,1,83.2281719241708
22,26,8,7,0,0,0,1,76.35141265626918
35,25,5,20,2,1,0,0,81.98687321390841
12,27,6,9,1,1,1,0,76.37021784800918
17,27,7,27,1,0,0,1,85.2401587232747
31,28,6,18,2,1,0,0,83.62317841960888
28,20,2,24,3,1,0,1,82.58762083222989
23,16,7,19,3,1,0,0,72.0602379716931
27,32,5,18,0,1,1,0,85.24442511959262
11,22,4,20,2,0,1,1,76.91087231639877
17,17,4,16,1,1,0,0,71.21054196877863
12,28,2,14,0,1,1,1,79.97962638633149
25,28,7,18,0,1,0,1,82.15675559634442
27,20,6,19,0,0,0,0,75.58210257536159
13,23,10,11,2,0,0,1,76.94972725593252
13,30,7,18,1,0,0,1,81.48747849159867
26,23,5,15,2,1,0,0,77.4783282669244
22,26,6,19,3,1,0,1,83.345441228908
33,27,5,22,2,1,0,0,85.60071595640616
26,28,0,9,2,1,1,0,78.74489681674912
21,23,2,14,2,1,0,0,74.71280696420678
19,29,7,7,2,0,1,0,76.92795296526756
28,30,5,15,2,1,0,0,84.0860369966247
21,23,6,5,4,0,1,1,78.1392766960496
24,22,6,9,1,1,1,0,74.2628320104129
41,16,2,20,2,1,0,0,77.0991720935891
27,25,6,16,0,1,0,0,78.31469177531271
16,21,8,26,1,0,0,1,78.84887716595075
23,29,2,20,0,0,1,0,81.69867059242502
29,29,8,22,1,1,1,1,87.8419599302588
19,25,3,11,1,0,1,0,77.0227163508183
47,24,12,16,2,1,0,1,85.63882185704207
7,26,6,12,2,1,1,1,77.94562269955627
22,25,7,10,0,1,1,1,76.77908800198018
12,13,4,20,0,1,0,0,67.37478737499526
9,25,2,14,1,0,0,1,75.22494667296058
21,25,7,14,2,0,0,0,76.99195557527071
35,26,2,28,1,1,0,0,85.69500845298442
25,24,6,19,1,0,1,0,79.35330115236728
28,21,7,19,1,1,0,1,78.67931868197962
33,27,3,20,1,1,0,0,83.20813011333723
51,28,7,19,2,0,1,0,86.65548261492866
37,24,9,9,3,0,1,1,81.05777938976618
31,29,4,12,0,0,0,0,80.03073100127372
15,29,4,7,0,0,0,0,75.05616899458587
6,26,5,19,2,0,1,0,76.17855415153478
1,23,4,17,2,0,1,1,76.25990265386292
14,27,5,16,0,0,1,0,78.20857915314461
7,28,6,17,3,0,1,0,80.06713051406001
29,22,6,7,1,1,0,0,72.096235858222
49,25,8,16,0,1,0,1,86.00710628823755
23,25,4,18,1,1,1,0,77.9055458207907
10,22,4,21,0,1,0,0,74.98751798143206
21,20,4,14,2,1,0,1,76.12462052638297
43,26,7,17,2,0,0,1,84.77039955434542
23,23,4,17,1,1,0,0,76.42910827701536
11,18,7,8,1,1,0,0,68.34728939427742
19,23,5,9,0,0,0,1,75.34024610616576
27,30,3,14,0,0,1,1,84.86223456979852
8,20,11,11,1,0,0,0,70.34260876604503
28,26,9,21,2,1,1,0,84.31154606756455
31,22,0,18,2,1,0,1,79.27098590274542
31,27,4,5,2,0,1,1,80.26870580196643
21,15,5,12,2,1,1,0,69.75657854366526
19,27,4,0,2,0,0,1,71.91737240986821
22,26,1,17,2,1,1,0,79.43916696205349
42,22,3,13,1,1,1,1,80.28412219327929
11,24,5,13,1,0,1,1,75.94481917071272
22,27,9,10,3,1,1,1,80.69129968842121
17,19,1,10,1,0,0,1,70.96310901780426
29,21,10,21,3,0,1,0,80.4874338391726
16,32,5,17,2,1,1,1,85.32105549961149
8,28,2,16,2,1,1,1,83.11056652954304
10,30,9,14,3,1,1,0,81.84204279290782
19,29,7,17,0,1,0,0,79.65128596559317
30,15,1,12,0,1,1,0,70.13568461703316
27,15,7,15,2,0,1,1,72.75593501673923
35,21,4,18,2,0,1,1,80.24036943210959
25,22,0,6,2,1,0,0,70.6649245224881
23,18,10,18,2,0,0,0,72.352051041554
25,15,7,5,1,1,0,0,65.66229789740868
9,30,4,19,1,1,1,0,82.75780320280099
11,19,6,13,1,0,0,0,68.98448308095142
27,25,9,17,3,1,0,1,82.86235402259717
9,24,4,14,2,1,1,0,75.15650430508462
20,24,10,11,2,0,0,1,77.7239935079154
23,23,5,7,2,0,1,1,75.53749067536003
14,27,2,15,1,0,1,1,82.47610716551056
31,24,6,6,0,0,0,1,75.35487857908655
25,24,1,16,2,0,1,1,80.2429387191191
24,23,13,23,1,1,1,1,83.8661531672385
17,29,6,17,1,0,1,0,80.31863653255294
16,21,5,13,1,1,0,0,72.57309713981061
31,28,8,16,1,1,0,1,83.7402395345268
16,28,6,8,1,0,0,0,75.4523728153482
23,24,3,20,2,0,0,1,80.16918171363821
0,11,7,15,1,0,0,1,63.65248622070908
25,20,7,11,0,0,1,0,72.41381646797467
26,18,8,13,1,1,0,1,72.30685733740135
23,29,3,16,2,0,0,1,83.5484709553934
11,28,7,14,1,0,0,0,77.83797130776776
45,26,10,14,2,1,0,1,85.18185250291512
28,21,3,19,0,1,0,0,76.29728697388562
25,20,8,15,4,1,1,0,75.41162479279964
33,24,5,16,1,1,1,0,78.73792402240832
20,22,2,9,2,0,1,1,74.67269915456744
49,27,3,11,1,0,0,0,79.18505584369525
12,23,6,18,3,0,1,1,79.24509961345844
24,20,7,28,2,1,1,0,82.25939698214056
29,25,6,16,2,1,0,1,82.81914932204957
17,28,5,13,2,0,0,0,80.62329409121463
37,21,8,18,1,1,0,0,78.40752132297325
31,25,5,15,2,0,1,1,80.98984743119709
37,20,6,9,0,1,1,1,75.29299102919123
19,27,7,24,1,0,0,0,83.69328822030438
32,23,3,14,1,0,0,0,76.60093863776522
9,17,2,17,1,1,1,0,68.73091066784758
29,27,6,17,1,1,0,0,82.39180744064416
23,28,7,24,2,1,0,0,85.81041738126244
11,26,6,14,1,1,0,1,76.63338300105568
40,23,6,18,0,1,0,0,80.74447554901525
27,28,8,20,1,0,1,0,85.4889356276193
17,19,8,15,2,0,1,1,74.97696161313334
31,25,9,15,1,0,0,0,78.40972674313802
32,30,6,10,2,1,1,0,81.29514232978372
13,23,5,12,5,1,1,0,75.78946334136401
10,24,8,14,3,0,1,0,76.09353601577008
21,23,8,25,0,0,1,1,83.0532941674408
31,19,5,18,2,0,1,0,77.25545777179931
26,21,6,16,3,0,1,1,78.50562380933744
32,28,9,17,0,1,1,0,84.06326824005171
18,27,7,19,3,0,0,0,81.73750611388756
9,28,1,12,1,0,0,0,75.85720740233683
31,20,5,20,1,0,0,0,75.96659996570457
25,27,6,12,1,1,0,1,79.21354868037966
24,17,7,18,2,0,1,1,75.69054786754494
24,21,7,8,3,1,0,1,75.0868249096643
23,22,0,16,2,1,0,1,75.97848875582235
20,27,5,14,2,1,0,1,81.04643077948434
18,30,7,17,1,1,0,1,84.97429918849907
15,25,9,14,1,1,0,1,79.65054596821423
10,24,6,13,1,1,0,1,77.80731284679605
