age,education_years,previous_month_income,unemployment_status,gender,rural_residence,ubi_recipient,current_month_income
31,15,15,1,0,1,1,44.05336034198962
33,14,14,1,0,0,0,40.64149899907592
51,21,11,0,1,0,0,44.10977009818895
34,25,9,0,1,0,0,32.19592974782955
37,18,15,1,0,1,0,38.550301848140926
20,31,9,0,0,0,1,21.87204444844511
30,9,14,0,1,0,0,42.59171498002397
26,22,7,0,1,0,1,38.2637804075883
8,16,8,0,0,0,1,33.16874865807905
27,18,10,0,0,1,1,41.44201735789157
33,19,5,0,0,1,0,40.457622966803065
25,12,6,1,1,0,1,49.55145188408408
34,16,9,1,0,1,0,44.20553363256664
30,23,15,1,1,0,0,25.6382104322201
22,26,14,0,1,1,0,17.885301620455728
33,16,8,0,1,1,0,41.28363241145887
21,22,14,1,0,1,1,30.59044954451881
31,13,4,1,1,0,0,46.98391670945656
42,17,8,0,1,1,1,53.70030138468263
36,16,9,1,1,1,0,41.50397871114345
16,11,5,1,0,1,1,50.50485564283635
24,26,10,0,1,1,0,22.483782770830505
28,19,10,0,1,1,0,33.330898847236114
35,15,10,1,0,1,1,50.417310627302975
28,12,14,0,0,1,0,40.21429949262903
41,17,8,1,1,1,0,45.88346600097717
15,20,7,1,1,1,1,32.57276440544725
24,29,7,1,1,1,0,20.121291022709286
43,24,10,0,0,1,0,37.47552297865349
38,18,12,1,1,1,0,37.90959979577432
12,32,10,0,1,0,1,14.957192302448
16,10,7,1,0,1,0,41.84840614562805
33,27,11,0,0,1,1,35.09285581127867
32,23,4,0,1,0,1,44.14125916329952
33,13,5,1,0,1,0,47.99278958930877
43,14,7,0,0,1,0,51.17886692403695
31,19,12,0,0,1,0,34.97232026344765
29,15,6,0,1,1,0,40.91064534722932
37,17,15,1,0,1,0,36.206807043313695
33,24,10,0,0,0,0,31.524550895865765
36,10,10,0,0,1,0,49.499832825676975
35,24,11,1,0,0,0,32.32744414918549
25,17,9,0,0,1,1,43.691305706893495
25,22,14,1,0,0,1,31.9349432759546
29,18,11,0,1,0,1,41.78251444361978
38,26,3,1,0,0,0,37.04922715801565
28,23,12,1,1,1,0,25.81569947059648
34,23,8,1,0,1,1,43.81811064438549
28,10,5,0,0,1,0,48.34578687483889
36,29,10,0,1,0,0,23.65742030830362
34,24,8,0,1,1,1,40.73753582845116
30,18,12,0,1,1,0,33.62495014444211
29,17,9,1,1,0,0,35.10658894296434
21,13,9,0,0,0,1,46.94853414757799
30,24,13,1,0,1,0,27.56111077961993
11,26,12,0,0,0,0,13.490856935916463
33,18,8,1,1,0,0,38.24871084804601
27,17,6,1,0,1,0,38.62176833624886
29,16,11,1,0,0,1,44.66838197366926
38,21,9,0,0,0,0,39.70805157129582
24,17,6,0,0,1,1,44.35877107465901
33,9,12,1,0,0,0,47.124735210329625
33,18,10,1,1,0,1,44.46390957191942
28,23,7,0,0,0,1,38.40453498422201
44,20,11,0,1,1,0,40.21838330899025
34,21,9,0,0,1,0,36.85649180906863
26,14,11,0,1,1,0,37.24555579119024
17,22,6,1,0,1,1,34.262289959562224
31,21,8,1,0,1,1,42.61126212965065
17,21,12,0,0,1,1,30.228151302541555
30,17,15,0,1,0,1,39.01884419595584
22,17,10,0,1,1,0,30.51430688238563
26,21,8,1,1,1,1,36.85602624569941
42,21,8,1,1,1,1,48.91566782094848
26,25,17,0,1,0,1,27.280252520659687
40,6,8,0,0,1,0,58.90348474542515
25,21,6,0,1,0,1,39.48732070083947
24,14,6,1,0,0,1,48.53653528127728
14,13,10,1,1,1,1,38.83263621531536
37,21,15,1,0,0,0,32.50181828072226
26,14,4,1,1,1,1,51.45106298713253
30,9,11,1,1,1,0,45.20016882184239
32,17,2,1,1,0,1,51.00482898077168
32,13,8,0,0,0,0,46.09531406625212
32,27,7,0,0,1,1,34.66893372337018
24,20,12,1,1,0,1,35.14932942649111
26,15,8,0,0,0,0,38.77022417645922
34,19,12,1,1,0,0,36.88162977157144
26,16,10,1,0,0,1,42.59650597481343
36,14,13,1,0,0,0,43.25437068999136
18,13,3,0,0,1,0,40.675385311121126
25,16,12,0,1,1,1,41.447794747589
20,30,10,1,0,1,1,24.789605129766763
23,21,8,0,1,1,0,28.982765117256942
44,25,9,1,1,1,0,37.21927543358252
27,12,7,1,1,0,1,50.5369404719609
28,12,8,1,0,1,0,42.89830960161024
23,16,11,1,0,0,0,34.04370423452894
24,26,12,0,1,0,0,19.54794472850292
38,15,9,1,1,1,0,46.2543404752865
12,17,14,1,1,0,1,30.570970408022827
40,17,10,1,0,1,1,51.44827247229724
35,17,7,1,1,0,0,42.642390432937816
52,14,10,1,1,0,0,54.52665097200057
29,11,13,0,0,0,0,41.78668446719651
43,21,11,0,1,0,1,46.57253048848784
21,28,11,0,0,1,1,25.31336635226212
32,23,13,0,0,1,1,33.711003534466215
30,18,7,0,0,1,1,47.80423153627455
39,21,8,0,0,1,0,40.96238459381884
19,19,10,1,0,1,0,28.31850966481013
43,22,11,0,0,0,1,44.6329463241892
29,3,7,0,0,1,1,62.78368410356245
30,24,8,0,1,0,1,38.496032243512005
22,20,8,0,0,0,1,38.933789130443685
26,9,6,0,1,1,0,48.47457956621082
8,31,9,1,0,0,0,8.513269757146928
37,23,10,1,0,0,0,34.36423285843893
31,21,11,0,0,1,1,40.14805768699363
32,12,10,0,1,0,0,45.43350894534973
29,23,12,0,0,1,0,27.48941355637636
24,17,11,0,1,1,0,31.61865190630592
14,27,12,1,1,0,0,13.748450854635
29,21,7,0,0,1,0,35.70653937482892
24,18,11,1,0,0,0,32.12366120935669
45,19,9,1,1,1,0,47.725900076821645
29,17,3,0,1,0,1,49.46515035244772
19,30,15,1,0,0,1,17.96346590809978
40,29,10,1,0,1,1,38.76131968978721
30,21,12,1,1,1,1,37.749416123967606
24,16,10,0,0,1,0,35.01200457700729
32,22,14,1,0,0,0,30.94066759940945
30,35,7,0,0,1,0,15.914783543646797
27,21,6,1,1,1,0,31.81527643264306
30,18,8,1,1,0,0,37.33681346753576
14,32,9,1,0,1,1,19.60421458731902
22,22,5,1,1,0,1,35.94945846733543
30,17,8,0,1,1,1,47.09920993125769
42,7,15,0,0,0,0,53.39607305567744
26,17,9,1,1,0,0,34.05570752607395
39,25,10,0,0,1,1,40.97020411011172
28,19,11,0,0,0,1,40.872914611089854
41,23,8,0,1,0,1,45.024297899765415
31,19,10,1,1,0,1,43.73287389197077
27,8,6,1,0,1,1,58.04771144673103
42,13,8,0,1,0,0,50.99227457023107
31,19,18,1,1,1,0,26.159825059408767
36,25,9,1,1,1,0,32.44568472987492
25,16,12,1,1,1,0,34.178279779518455
39,19,10,0,1,1,0,39.0816530462041
34,20,8,1,1,1,1,45.96017081361052
20,9,8,1,1,1,1,48.774788580375386
44,27,11,0,0,1,1,40.71820667591798
39,14,9,0,0,0,0,48.347983170555246
29,14,9,0,0,1,0,42.0913570098782
32,26,13,0,0,1,1,33.42710050118307
31,20,14,0,0,1,1,38.873278738108354
22,16,11,0,0,1,0,32.72669924501699
33,25,10,1,0,0,1,36.65876897619928
26,17,9,0,1,0,1,42.66578324659167
23,17,13,1,1,1,1,39.18476837989164
35,24,9,1,0,0,1,39.79176237310816
31,20,7,0,0,1,0,37.30120685545978
25,7,7,1,1,0,1,55.58992236050776
39,17,6,1,0,0,1,54.803222734444375
23,20,15,0,0,0,1,34.74915195192046
20,5,10,1,0,0,1,54.96063779495476
32,21,11,0,1,1,0,33.729211430063266
27,23,5,0,1,0,1,39.02703611506405
33,17,18,1,1,1,0,33.03319808944969
23,10,10,0,1,0,1,49.66901736225725
33,22,10,1,1,1,0,32.57508304856049
39,31,7,0,0,1,0,29.058448950595256
30,20,8,0,0,1,1,43.30764435687479
25,25,12,0,0,1,1,30.971478035176577
29,19,9,0,0,0,1,43.38287018997939
22,15,12,0,1,0,1,41.03264906122028
31,31,11,0,0,1,1,27.62435893989441
44,13,4,0,1,1,0,55.42909484110925
33,16,4,1,0,0,1,51.796412194228125
24,24,8,1,0,0,0,27.05591107700639
29,15,10,1,1,0,1,44.83103728502614
17,20,15,1,1,1,1,27.596504946196
24,21,10,0,0,0,1,39.65764185804008
32,21,9,1,1,0,0,34.51259857332855
32,18,13,0,1,0,0,36.33766098546582
24,19,14,0,1,0,0,26.799668264185268
30,17,4,0,1,0,1,49.868081503043776
15,9,14,0,1,0,0,36.516566516364726
36,20,11,0,0,1,0,36.12576019600134
26,21,7,0,0,1,0,34.457374447156724
39,22,11,0,0,1,1,44.14046677780165
24,17,8,1,1,1,1,40.47353848028257
29,14,11,0,1,1,1,47.50104674679269
27,23,5,0,1,0,1,39.7833790907837
31,17,6,0,1,1,1,47.03500769552997
32,14,13,1,0,1,0,39.57100431842445
33,14,10,0,0,0,1,49.7996186278149
19,23,10,0,0,0,0,23.56875167748387
23,25,8,1,1,1,1,31.04096557326132
31,20,14,1,1,1,0,29.4113972250788
26,22,8,1,1,1,1,37.698805297897074
20,16,9,0,0,1,1,42.51132430857642
31,12,8,1,1,1,0,45.90476883216783
29,29,9,1,0,1,0,22.314836686103
54,16,14,0,1,1,0,49.343567725798025
32,17,15,0,0,0,0,36.30419498083895
24,18,11,0,0,1,1,40.69202949705856
43,17,11,1,1,1,0,44.798506551508254
21,18,5,0,1,1,0,35.009822366514925
46,23,7,0,1,1,0,42.0031525316732
42,17,10,0,1,1,1,49.36264556118823
34,16,7,1,0,0,1,50.93427901950265
39,22,11,0,0,0,0,36.87981680002379
18,23,10,1,0,0,0,21.851843962456964
41,23,11,1,0,0,1,41.25227675736704
37,27,8,0,1,1,0,29.285044892752467
24,12,7,0,0,0,1,50.6085336309212
38,20,12,0,1,1,0,37.72621058529966
30,14,13,1,0,0,1,47.23190569996954
35,25,11,1,1,0,0,29.91545248085673
34,14,9,1,1,1,0,43.42492099650477
12,22,11,1,0,1,1,27.770420565280894
24,27,10,1,1,0,0,21.237307739659165
20,17,4,0,0,0,1,44.70185520701669
40,26,11,0,0,0,1,40.48659098176257
56,33,9,0,1,0,0,33.472148669018594
36,14,6,1,0,1,1,55.33505060441847
30,27,14,0,0,0,0,23.41489746366498
34,13,9,1,1,1,0,44.24239627265517
29,23,7,1,1,1,1,38.41036063161611
31,18,6,0,1,1,1,46.70239185399107
47,12,10,0,0,0,0,54.87062721181498
28,19,4,0,0,0,1,47.21992790130854
36,18,8,1,0,0,0,42.81597312493346
34,11,12,1,1,1,0,45.68349612953579
21,12,6,0,1,1,0,39.95100487639721
46,22,13,1,1,1,1,45.35612769716668
35,28,8,0,1,1,0,28.266165281138186
35,19,6,1,0,0,1,48.35420407123445
38,14,7,1,0,0,0,48.324439300852845
32,28,15,0,0,0,1,29.339535770316285
19,17,7,1,0,1,0,34.51506027316963
39,6,9,1,1,0,0,57.4540827184603
30,10,11,0,1,0,1,55.10517644951894
16,23,10,0,1,0,1,28.148497295801675
38,30,13,0,0,1,0,23.729537745374984
40,22,8,0,1,0,0,39.11361275258117
26,19,11,0,1,1,0,29.92835971653457
29,26,11,1,1,1,0,21.82098856417471
34,16,11,1,1,0,0,40.01148938079855
30,22,10,1,1,1,0,31.01127717249682
32,24,8,1,1,0,0,31.360550171494037
29,22,11,1,0,1,1,37.29443972947316
32,18,10,1,0,0,1,45.06441241315829
24,9,13,0,1,0,1,47.66344211975991
23,24,9,0,0,1,1,33.21887273997072
38,26,10,1,1,1,0,29.713185254689066
16,12,12,0,1,1,0,31.324001801353862
17,24,12,0,0,0,1,27.4587030286974
40,27,7,0,0,1,0,33.69890870605604
40,14,10,1,1,0,0,46.10250424761352
36,17,11,1,0,1,0,41.7617304600438
26,20,12,1,0,1,0,31.163643154711764
26,26,11,1,1,1,1,28.98937541459511
35,22,1,1,1,0,1,50.89278474779854
28,20,10,1,0,1,0,31.38501924678373
26,19,12,1,1,1,0,31.113699088831652
18,23,11,1,0,1,1,29.687274524604494
28,17,5,1,0,0,1,47.90437625687072
28,23,5,1,0,0,0,33.65442635926271
13,13,1,0,1,1,1,44.70407146116863
18,18,12,1,1,0,0,26.750690143522384
28,17,13,1,1,0,1,41.85415910638076
20,17,7,0,1,1,1,42.12786418638389
39,19,7,0,0,1,0,44.22699469370151
21,21,9,0,1,0,1,31.891781203375974
14,11,8,0,0,0,1,44.649784981519794
23,20,11,0,1,0,1,34.47494968357685
35,17,12,0,0,1,1,46.00172781534
19,22,3,1,1,0,1,37.66906628160855
46,22,10,0,0,0,0,42.60017073785446
17,14,9,1,1,1,1,39.322303458567454
34,16,5,0,1,1,0,45.23418099740026
19,18,5,0,1,1,0,31.73564541319921
40,17,9,1,0,0,1,54.13633287805672
19,21,10,1,1,0,1,31.51737900507912
30,26,8,0,1,0,1,34.47613279616727
27,12,12,0,0,1,1,47.63964130556421
24,23,7,1,0,1,1,34.985440432046424
33,15,10,1,1,1,0,39.091544982275416
22,19,10,1,0,1,1,37.806771404107096
21,21,12,1,0,1,1,32.001973327933925
43,29,11,1,1,1,0,28.813572652341552
33,20,8,0,0,0,1,45.45406562704405
27,25,6,0,1,0,0,28.716884144586395
27,28,10,1,0,1,1,30.982635857329715
18,24,10,0,0,0,0,22.45682684164216
27,15,8,0,0,0,0,38.55963816042417
38,18,6,0,0,0,1,53.03257869752023
33,13,8,0,0,1,0,48.44173891445335
28,18,11,0,0,0,1,41.46846277542655
35,12,8,1,1,0,1,56.32007156889451
27,14,1,1,0,0,0,47.36022176317198
32,18,6,1,0,0,1,46.65432307390304
34,25,12,1,1,1,0,28.801357916348
44,20,17,0,0,1,0,37.22980568943913
19,10,10,0,0,0,1,47.383109272756
33,18,9,1,0,1,1,46.01314398175302
30,22,3,1,0,1,0,38.401364822894536
32,16,5,1,1,1,0,43.15608265103315
34,15,12,0,0,0,0,41.70556444328658
39,21,11,0,0,0,0,37.98316416465789
26,5,6,0,1,0,1,59.52845411318019
26,26,10,0,1,1,0,23.859395382814807
26,11,9,0,0,1,0,42.370795483204816
22,25,8,0,0,0,0,23.781612092955143
36,7,11,1,0,0,1,59.25883092482537
36,22,4,1,0,1,0,41.06988242212252
14,11,7,0,1,1,1,45.05922987037269
33,14,9,0,0,1,0,43.54619604114265
28,23,15,0,1,1,1,32.285695661366745
27,18,12,0,1,1,1,39.91064803917392
32,15,11,1,0,1,1,48.38534123718128
13,25,7,0,0,0,1,27.569174480593365
30,25,7,1,0,1,1,39.09561976641525
33,14,10,1,0,1,1,50.68789169829152
27,13,8,0,1,0,1,48.9134431184964
30,29,14,0,0,0,1,27.47294077578509
28,21,11,0,1,1,0,30.11623720258363
23,23,7,1,1,0,1,35.034331853486684
24,22,5,0,1,0,1,37.447988946533286
34,5,12,0,1,0,0,51.89523655650981
37,24,13,0,1,1,1,38.69229551399452
15,2,9,1,1,0,1,54.71239338629404
27,10,9,1,1,0,1,51.890960046688285
27,18,7,1,1,0,0,36.72780261122405
39,22,15,0,1,0,0,31.62297113342053
39,11,10,0,1,1,1,56.74198783207336
32,19,9,1,1,0,0,36.22953006072949
25,33,13,1,1,1,1,19.66673710151917
18,27,5,0,1,0,1,28.336321131481725
30,25,9,1,0,1,1,35.362297969085496
34,15,10,0,1,0,0,44.19840294219328
45,26,10,0,1,1,0,34.48104375211288
35,24,7,1,1,0,0,34.77381902596922
24,11,7,0,0,1,1,50.90957835528994
23,17,7,1,1,0,1,42.343335874248034
40,26,9,1,0,1,1,38.54659902979633
39,16,10,0,0,0,1,51.41896217369932
24,11,9,1,1,0,1,49.2273105718476
33,11,10,1,0,1,0,47.6098492798054
37,20,10,1,1,0,1,46.64025758544339
31,17,3,0,0,1,1,52.25887166841372
22,17,11,1,0,0,0,32.278028297542065
32,17,12,0,0,1,0,38.72775106834942
30,20,2,0,1,0,1,46.21758288613
33,29,6,1,0,1,1,34.19574324580508
23,19,7,1,1,1,1,39.2593810276159
29,13,17,1,1,1,0,37.147423180568566
31,28,7,0,1,1,0,26.209035926875256
17,8,10,1,1,1,0,40.96084587467575
31,20,13,1,0,0,0,32.13073097561533
41,17,11,1,0,0,0,43.57590236008147
40,25,10,0,0,0,0,34.405570649164666
26,28,12,0,1,1,1,26.543498599390176
24,18,9,1,1,0,1,38.75730849194318
28,22,11,1,0,0,1,37.884967313000594
29,20,14,1,0,0,0,29.86999538597639
29,21,13,0,0,0,1,37.405172490639785
10,18,13,0,0,0,1,28.215739557627444
22,18,11,0,1,1,1,39.23380565109069
27,25,12,1,1,1,0,23.564883868825333
38,15,5,1,1,0,1,56.33390014329824
21,21,5,0,1,1,1,37.48238998174361
47,19,3,1,1,1,0,50.82101561235171
18,17,4,0,0,1,0,35.506072611301335
27,14,7,1,0,1,0,42.29306788684648
25,11,11,1,1,0,0,40.22361765074171
49,16,11,0,1,1,0,48.53474796844272
36,18,9,0,0,0,1,48.29135453556811
36,9,9,1,1,0,0,52.33695760245241
37,22,14,1,0,1,0,32.84160348677392
27,15,9,1,0,0,1,46.64920437057099
6,30,6,1,1,0,1,15.922511473188068
17,24,8,1,1,1,0,22.82918621951132
37,31,6,0,0,1,1,36.16200759928682
49,8,9,0,0,1,0,63.17973958400983
47,10,9,0,1,1,0,56.600254956747136
24,15,8,1,0,0,0,37.58537928726746
33,22,11,0,0,0,1,38.43284811778576
20,23,7,1,1,1,1,32.91970119011205
38,26,8,0,0,0,1,40.80171940046998
42,9,8,1,1,1,1,64.58374817241764
11,14,14,1,1,0,1,31.296108178640104
21,19,13,1,0,0,1,33.406654858738044
36,24,15,0,1,1,0,29.60871251243184
32,17,9,0,1,0,1,44.89762795889739
22,13,12,0,0,1,0,35.270407567653024
18,21,13,1,1,1,1,30.527384633877293
30,28,9,0,1,1,0,24.832414598979483
37,24,9,1,1,1,0,33.64385399652442
22,13,8,1,0,0,1,46.31182854082423
27,17,14,0,1,1,0,32.74783079866199
34,18,7,1,0,0,0,41.97243811707788
26,18,11,1,1,0,0,33.33282043319275
35,21,6,0,1,0,1,45.894391069088826
25,11,4,0,0,1,1,53.46606851175446
22,19,5,1,0,1,1,41.68821770976595
31,27,11,1,0,0,0,25.68380676793689
15,18,9,1,0,1,1,36.63099400145254
26,22,6,1,1,0,0,31.254307630795456
33,19,6,0,1,1,0,41.42479957495953
28,27,12,1,0,0,0,22.628947293223955
30,11,13,1,0,0,1,50.20909327719086
30,39,11,0,0,1,1,16.325749879243016
15,20,12,0,0,1,1,31.190166456924164
33,24,5,1,0,1,0,34.97854505576818
20,9,12,1,1,0,0,38.43097731132013
38,4,14,0,1,0,0,54.906488636018175
30,25,12,0,0,0,1,34.88269442803081
28,9,9,1,1,0,0,47.14233225842076
31,28,8,0,1,1,1,33.851604770170475
25,16,12,0,1,0,1,41.59003243328988
25,25,11,1,1,0,0,22.74009805767444
24,22,7,1,1,1,1,36.68734425077838
22,14,9,1,1,0,0,35.822814269163935
38,19,9,1,0,0,0,40.06498397210697
29,16,12,1,1,1,0,35.859361282168976
38,8,15,1,1,0,0,50.228749772972655
38,28,4,1,1,1,1,38.82989647357383
33,27,13,0,0,0,0,25.724484759907472
32,20,7,1,0,0,0,38.14427174313068
37,19,11,1,0,0,0,39.92874971796022
25,13,14,1,1,1,1,41.95692506688059
35,24,12,1,1,1,0,30.68706415315225
35,33,11,1,0,1,0,21.113585391250165
30,19,9,1,0,0,0,37.71016128365445
35,27,7,0,0,0,1,39.50280196824774
33,20,12,1,1,1,0,33.499792154944025
32,21,15,0,1,0,1,35.804762808843385
38,21,10,0,0,1,1,44.77756208258934
24,18,7,0,0,1,1,41.90137418786685
23,17,11,0,0,1,1,40.70225175743623
23,26,15,1,1,0,0,16.039841751504618
25,25,6,1,0,0,0,27.91205052701273
24,21,10,1,1,1,1,35.10636852655151
19,13,9,1,1,0,0,37.19297937404559
43,14,16,0,1,1,1,51.41602668745758
32,16,7,0,1,1,0,42.83851373213003
47,17,11,1,1,1,0,47.90290963095766
51,33,9,0,1,1,0,31.84546233437317
33,18,9,1,0,0,1,45.715961051587065
28,21,13,0,0,0,1,37.92179839594735
32,21,13,1,1,1,0,31.2873950312625
36,25,8,1,1,0,1,39.85486351709966
25,18,8,1,0,1,0,36.30676799111384
24,21,5,0,1,1,0,31.375667506337567
26,17,9,1,0,0,1,44.4482003828708
39,15,11,1,0,0,0,46.564522056423705
32,14,11,1,0,1,1,48.23327254617356
32,19,9,0,0,1,1,44.32346653465552
32,19,3,1,0,0,1,49.74615650353256
28,16,6,0,1,1,0,40.63988236996972
42,23,9,1,1,0,1,46.485617582230624
25,22,9,1,0,0,1,34.24796281563585
33,26,11,1,1,0,1,33.61626517149859
36,14,10,1,1,1,0,45.40485139509208
28,18,10,0,1,1,1,42.432278834140405
49,26,8,1,1,1,0,38.86535841761917
32,21,5,1,1,0,0,37.718314749350405
33,11,4,0,0,0,0,51.82693081100176
40,26,7,1,1,0,0,32.406591640686514
31,8,9,0,1,1,1,56.52808583431968
30,22,12,1,1,0,0,27.983322147771748
33,14,8,0,1,1,1,50.06990214021291
33,22,9,0,0,0,1,41.35936210334131
31,21,6,0,1,1,0,35.110557823477066
33,17,15,0,0,1,0,35.74066197238295
28,18,11,1,0,0,0,35.29974544487594
30,28,9,0,1,0,1,32.64798655774324
31,15,9,0,1,0,1,48.4797158282087
33,19,9,0,0,0,1,44.94740883251716
22,31,9,0,1,1,1,22.489466236512573
25,30,9,0,0,1,1,27.013583547261685
27,28,8,1,1,0,1,30.010631031649165
19,13,2,1,1,1,1,47.67394134403776
19,17,10,0,1,1,0,28.5014611086626
23,19,9,1,0,1,1,38.73517005536668
27,23,6,0,1,1,1,37.81906635759066
35,20,10,1,0,0,0,37.7477059441699
34,20,12,1,0,1,0,34.98133896111735
22,25,8,1,1,0,1,31.27687307305812
24,13,10,0,1,1,1,42.5922198554775
26,15,6,0,0,1,0,40.64727618022972
30,17,11,1,1,0,1,42.316168822614806
28,21,10,0,0,1,1,38.62212014163695
16,33,8,0,0,0,1,19.21268091536166
35,29,9,1,1,0,0,25.42996297699219
40,18,4,1,0,0,1,56.00985554960309
29,18,10,0,0,0,0,36.45707804178304
25,15,9,0,1,0,1,45.08514701282894
24,15,9,1,0,1,1,44.77251911365334
35,13,3,1,1,0,1,57.321412284220536
45,17,6,1,1,1,1,56.001191637041366
36,14,11,0,1,1,0,42.35940402684576
22,19,12,1,0,1,1,36.60379724001925
25,14,12,0,0,1,0,36.60158323758686
32,14,7,1,0,1,1,52.57064784798409
32,20,6,0,1,0,1,43.20954121269608
47,17,11,0,1,0,0,46.58471252264106
44,17,12,1,0,0,1,51.62382793560184
32,11,13,0,1,1,0,45.863616202827416
32,9,9,1,0,1,1,57.70414361069684
21,31,9,0,1,0,1,21.44671266562989
21,13,9,1,0,1,0,38.095078552896126
36,8,8,1,0,1,0,55.578425350058616
23,17,8,1,0,0,1,43.40485095821944
36,11,11,0,0,0,1,55.32753336808943
31,29,11,0,1,1,1,28.987233940258875
25,13,8,1,1,1,0,40.61784515848859
43,30,10,0,0,0,0,29.745365800490127
25,25,12,0,0,0,1,32.39249878219357
44,15,14,0,0,0,0,47.03857279068529
48,20,8,1,1,1,0,45.1048371272461
36,24,5,0,1,1,1,42.93187038026526
26,12,4,1,0,1,0,47.32404969894647
22,15,11,1,0,1,0,35.283909328108265
36,29,12,0,1,0,1,31.07135037470047
43,12,7,1,1,0,0,52.86998110372264
20,21,9,1,0,1,1,34.21384076153369
28,17,7,0,0,0,1,46.69617773715066
52,18,13,1,1,0,0,46.16369618378954
31,21,7,1,0,0,0,35.11041556896286
21,17,5,1,0,1,1,44.37123504415613
37,23,11,0,0,0,0,35.81497269937821
24,26,9,1,0,0,1,30.971767492126386
16,26,11,0,0,0,1,24.60790213130524
30,14,9,1,0,0,0,42.45964019489483
23,17,9,0,1,0,0,33.44541275782034
34,22,11,1,0,0,0,34.19168526471309
33,28,9,0,0,1,0,27.468582652256067
43,18,8,1,1,0,0,43.73662822971555
27,20,11,1,1,0,1,37.31701331692743
29,11,9,0,0,1,0,47.79934901600855
41,15,9,1,1,1,0,46.49256638547068
27,17,4,0,1,1,1,49.22541361735964
27,13,7,0,0,1,0,43.60824845127106
35,19,9,1,1,1,1,44.28773979008697
39,15,8,0,1,0,1,54.95162945435933
21,20,7,0,0,1,1,39.55225072271302
49,27,11,0,0,0,0,36.703741792998656
26,16,8,0,0,1,0,39.63948914868276
34,27,7,1,0,0,1,36.94425735823011
35,16,9,0,1,0,1,49.24234210876271
23,28,9,1,1,0,1,27.51950580209312
35,9,8,1,1,0,0,50.7020676684133
33,26,12,1,0,0,0,28.02573348543658
36,10,9,0,1,0,0,50.31341661301871
30,18,7,0,0,0,1,45.78095101345092
18,19,10,1,0,0,1,35.983410080901336
43,17,8,1,1,1,0,46.05471647671484
36,16,14,1,1,0,0,37.851386823458505
25,9,6,1,0,0,1,55.19864891250841
39,17,13,0,1,0,0,40.050706392014646
33,30,13,0,0,1,0,22.6727571276291
23,20,15,1,1,0,1,31.630171647302543
32,22,9,0,1,1,1,39.86308444150392
38,9,8,0,1,0,1,61.066154064567286
34,36,3,0,0,1,1,30.34407185524728
13,19,6,1,0,1,1,36.104925482238585
12,26,10,0,0,1,1,21.80456993001769
38,30,9,0,1,1,1,33.54035777700789
35,14,11,1,0,1,0,43.81115788578946
29,9,8,1,1,1,1,53.585034188461
25,19,17,1,1,0,1,32.0806860260282
21,14,9,0,1,0,1,44.06547573791495
28,19,11,1,0,1,0,34.64468361716916
28,23,9,0,0,0,0,28.032044140750397
25,17,16,0,1,0,1,35.973708771692614
40,20,9,1,0,0,0,40.16365020510076
27,15,13,0,0,1,1,43.09968711406601
19,18,8,1,1,0,1,38.18709735484735
36,19,8,1,1,1,0,39.00440482448912
35,12,7,1,0,0,1,55.852603557013765
39,27,6,1,0,0,1,41.82868615025957
39,24,10,0,0,0,1,40.1121623337548
