student_age,parents_education_years,classroom_size,school_funding_status,tutoring_access,online_program_participation,final_grade
11,22,7,1,0,1,68.8395668759153
13,22,7,1,1,1,69.79767594401066
34,19,5,1,0,0,60.5700963141106
29,24,4,1,1,1,68.0983378069176
26,28,7,0,1,1,70.08958191644335
8,21,7,0,0,0,60.035634372135725
19,25,3,1,0,1,67.03539105874222
20,30,2,1,0,1,67.6016637560905
25,23,6,1,0,0,61.5513728074377
25,23,0,1,1,1,65.41735678972762
37,22,7,0,0,0,62.33301113382451
6,26,4,0,0,1,67.36172988517177
16,21,7,0,0,1,67.5277066965671
25,32,9,0,1,0,65.78271124055647
41,22,4,0,1,1,67.17226606688708
30,24,9,0,1,0,63.3809357603423
26,31,5,1,1,0,63.54115468677021
18,20,7,1,0,0,61.52416330048143
17,27,7,1,1,1,71.32435343152504
8,18,4,0,1,0,57.14150376855298
17,29,11,1,1,1,72.40966321395784
26,21,4,0,1,0,58.755140144650646
38,23,5,1,1,0,59.783435120750696
26,23,8,1,1,1,67.99512558511486
23,20,5,1,0,0,57.85466537252288
26,19,6,1,1,1,67.49130543393505
12,31,7,1,1,0,62.93991998065973
18,25,5,0,1,0,59.1153573443464
9,19,7,1,1,0,63.04899009510099
21,30,6,1,1,1,71.72643646052023
23,27,9,1,1,0,63.998990771518
30,24,5,0,1,0,62.94029897731328
28,22,5,1,0,1,67.91826256737662
20,26,3,1,1,1,67.05490143186455
11,27,6,1,1,0,61.68867688154788
21,25,4,1,0,0,58.86620827009201
7,24,5,0,0,0,60.06908188640279
31,28,2,1,1,1,69.11465041293954
14,19,7,1,0,1,65.2936811853976
16,23,9,0,1,0,64.65394927281469
42,26,6,1,1,0,64.2820836823033
23,23,8,0,1,1,70.74884082760194
27,30,5,1,0,0,61.07631328175005
39,34,7,0,1,1,72.81895552682278
31,26,7,0,0,0,61.01822454394312
14,14,10,0,1,0,61.17814187037142
14,31,6,1,1,0,62.759603329693405
-1,30,2,1,1,0,60.09045954220442
4,28,11,0,0,0,63.99650646784104
5,24,7,1,0,1,70.09731636136405
31,27,7,1,0,1,69.78458401220175
42,19,5,0,0,0,60.845897000141214
26,31,4,1,1,0,62.16024794086289
12,17,4,1,1,0,60.68111175793803
4,27,6,0,1,1,69.50917649012932
40,24,9,1,0,0,61.983439050545314
26,22,8,0,1,1,69.18518029781607
20,22,6,0,0,0,59.46782623542936
39,28,6,1,1,1,69.50758711293716
35,28,5,1,1,0,63.39658577904903
32,28,2,1,1,1,66.65429211502507
41,24,8,0,0,1,69.93382169116713
27,32,6,1,1,0,63.34379692713195
15,19,7,0,0,0,62.21490918358532
26,27,4,1,1,0,61.66921009635684
14,32,7,1,0,1,71.61000538891723
29,29,6,1,0,0,59.95626622529504
30,26,6,1,1,1,69.56803527142009
13,28,6,1,0,1,70.66250528183873
38,24,2,0,0,1,66.55130184811433
40,27,7,1,1,1,72.05494776238538
13,18,3,1,1,0,57.36608319167073
40,26,7,1,0,1,69.39861874049635
34,26,4,0,1,0,60.69018813996568
32,19,4,0,1,0,59.89755912215001
32,29,2,0,1,0,59.85176080175538
16,16,4,0,1,0,59.34771849543979
22,14,6,1,0,0,59.7955458579397
23,30,5,0,1,0,62.21146108501455
36,24,5,0,1,0,59.28374350854663
25,20,2,0,1,1,65.38880022270652
16,23,6,0,1,0,62.02862466418153
19,22,5,1,1,1,66.65601097644125
18,33,11,1,0,0,67.36883264807133
22,29,10,0,1,0,65.53427758941517
28,23,5,1,0,0,60.014137376785584
26,24,2,0,1,1,65.70475617941983
32,22,3,1,1,1,67.33098490333263
26,22,2,1,1,1,68.01081375374443
9,15,4,0,0,0,57.9402431213688
22,15,4,1,0,1,66.1847873895674
29,19,5,1,0,1,66.26398477468454
53,26,8,0,1,1,70.48778813500148
31,24,4,0,1,1,67.64989003554959
28,32,9,1,1,1,73.1847365569563
29,19,8,0,1,1,69.06368255387794
43,27,7,0,1,0,62.98993229489993
26,27,7,1,1,1,70.89820184052097
30,22,12,1,0,1,73.03439505801917
33,30,4,0,0,1,68.60603955995444
30,23,4,1,1,0,61.69397691542415
19,18,7,1,0,0,60.854866447783
18,23,7,1,1,0,61.82193376005512
33,19,5,1,1,1,67.49949668868953
45,26,5,1,1,1,71.08628101807622
29,27,2,1,0,0,59.30111941359133
37,27,6,1,1,1,68.50875212374123
39,25,5,1,0,0,60.912014986232734
34,18,8,0,0,0,60.78803865226644
17,22,5,1,0,1,68.09435961715536
31,26,7,0,1,0,61.71059132138679
40,24,8,0,0,0,62.81615255574639
19,28,9,0,0,0,63.678551946405946
18,27,9,0,1,0,64.25244866629416
29,23,6,1,0,0,60.93260989297009
38,20,6,1,1,0,62.0770578437172
11,26,5,0,0,0,60.28123604287574
17,22,0,1,1,0,58.0745858228776
37,30,8,1,0,1,71.32083756803867
26,19,4,1,1,1,67.4310374959486
37,28,3,0,1,0,61.22435488315062
17,31,8,0,0,0,61.41759523771627
24,22,4,1,1,0,61.08677860868521
9,19,5,1,1,0,60.81595878210144
10,20,6,1,1,0,61.82478569821534
29,28,7,0,1,1,69.03619703292819
31,24,5,0,0,0,60.241844393455054
0,29,5,0,1,1,69.01068934981706
30,22,6,0,1,1,66.91302703157518
40,31,5,1,0,1,69.21107175863145
12,16,5,1,0,1,67.40038340674235
21,22,9,1,0,1,71.23211944486012
27,22,5,1,1,1,70.23498373908726
28,26,9,1,1,0,65.11316514712694
46,23,10,1,1,0,65.13163836333005
33,33,5,1,1,0,63.0955763590332
19,23,5,1,1,1,68.7540270116811
19,22,8,1,1,1,72.85504085897064
24,23,6,0,1,0,60.797751278036976
35,18,3,1,1,1,67.03974568624405
28,21,2,0,1,0,58.28719737827634
23,21,5,1,0,0,59.119162569104304
10,30,3,0,0,1,67.13866731068514
36,23,2,1,1,0,57.50747278110709
23,22,7,0,1,0,61.22170682667524
39,20,9,0,0,1,69.32736629972132
29,32,5,0,0,0,62.18235898484986
27,22,1,0,0,1,65.06816022979596
27,25,1,1,0,1,64.47998446758578
32,29,5,1,0,0,60.980201567228285
26,24,6,0,0,1,67.73467492136714
32,26,2,1,0,1,65.27842410336292
3,27,7,0,0,0,61.84737082243771
22,26,2,1,1,1,68.22771443426501
39,30,6,0,1,1,70.23654197619926
33,20,7,0,1,1,68.54235739410514
32,24,3,0,1,1,66.59587440980835
21,20,6,0,0,0,60.08216639727981
34,28,8,1,1,1,69.89020444129635
43,16,0,0,1,1,64.75042774016634
24,26,6,0,0,1,69.49115483485514
15,20,6,1,0,0,60.862260266322544
35,21,4,0,0,1,65.53137041106474
2,29,8,0,1,1,71.93557717103698
10,21,8,0,1,1,71.38823917343605
21,22,8,0,0,0,61.58173126450886
27,25,4,0,0,1,66.73393681493928
26,23,5,1,0,1,69.1654884708754
27,22,6,1,0,1,67.80969372941634
28,24,1,1,1,0,57.88110238008412
13,28,1,0,1,1,67.28675265915946
20,24,7,1,1,0,62.468728650657496
26,24,8,1,0,1,70.93478631218605
34,22,6,0,1,0,59.97472226358576
35,38,1,1,1,1,69.36443626529608
39,24,9,1,1,1,71.06804160723144
39,18,5,1,0,1,66.73326826621509
32,24,9,0,0,0,64.15152751030797
30,22,4,1,1,0,59.65310167858098
35,18,3,1,0,1,66.028705853241
13,23,9,0,0,0,64.66858229285306
24,25,4,0,1,0,58.94714059856772
18,21,8,0,0,0,60.50313209334145
18,24,6,1,0,0,60.75249179237922
4,19,3,1,1,1,65.47473774719492
22,28,7,1,0,0,61.201944060871824
28,26,8,1,1,1,72.46596685447909
22,24,8,1,0,0,63.80889924425067
29,21,6,0,1,1,69.9561635657068
19,24,6,1,0,0,62.05893253336729
31,21,8,1,1,0,62.54896425514948
45,21,4,1,1,1,67.16956970547974
16,21,10,0,1,0,64.51958842679785
30,24,4,1,0,1,67.14374238810503
22,26,3,1,0,1,67.33053441351223
39,21,9,1,1,0,62.6325962796228
12,20,6,1,0,1,66.2407149109251
32,25,8,1,1,1,71.72279718269415
24,24,2,1,0,0,58.42408727823359
29,15,4,0,1,0,59.97279828760328
45,21,1,0,1,0,56.53852483225764
27,27,6,1,1,0,63.46041850689522
20,24,6,1,1,0,62.30798762281884
27,18,3,1,1,1,67.05967832619991
12,26,10,1,1,0,66.50085888716602
32,18,1,0,0,1,62.99221841838317
13,23,6,1,0,0,61.66876944583739
47,23,2,1,0,1,67.15126352629987
39,21,4,1,0,0,56.992635815880064
26,23,6,0,1,0,64.06690089548545
19,30,8,1,1,1,71.89971919911765
16,29,9,0,1,0,62.534261526286095
24,22,0,1,1,1,65.35154092440598
17,20,5,1,0,0,58.887333609022086
20,25,6,1,0,0,60.93826594783936
21,18,10,0,1,0,63.52491094139509
21,28,6,0,0,1,68.65081122317676
17,21,4,1,1,1,66.76918495464903
26,18,5,0,0,0,58.09158019756533
28,29,8,1,1,1,71.88127792532656
13,20,6,0,1,1,68.43535681017467
36,22,6,0,1,0,60.98403792762246
39,27,6,1,0,0,59.77127625976546
29,14,2,1,1,1,66.52584323059352
26,24,4,1,1,1,69.29492683294353
24,24,4,1,0,1,67.11288071728818
28,25,5,1,1,1,67.69605935917565
36,18,7,1,1,0,61.26665426982997
20,26,8,0,1,1,71.0914313960601
18,24,1,1,1,0,57.32684993605873
0,25,6,1,1,0,61.49147276633112
42,22,4,1,1,0,59.305084715629526
26,22,5,0,0,1,68.84261435128255
3,25,9,1,1,0,66.44463407522184
24,19,5,1,1,1,66.46942182472986
21,28,3,0,1,0,60.91678304594184
31,23,4,0,1,1,68.35318259618765
25,21,3,1,1,0,60.65005061182868
34,31,7,0,1,1,69.86582308313169
23,30,7,1,0,1,71.83572815105776
35,22,5,1,1,0,59.86461421937206
38,23,5,0,1,1,69.32020077212434
16,16,8,1,1,0,61.10018549676632
44,28,4,1,0,0,61.23335152208392
30,27,6,1,0,0,61.754763685062166
15,25,6,1,1,0,60.88173047129005
22,20,3,0,1,0,59.57481367569646
39,21,5,1,0,0,60.20970790470521
32,32,7,0,1,0,63.62847697135056
30,22,4,1,0,0,59.02293753399183
17,19,4,0,1,1,66.79944104305781
28,22,9,1,1,1,72.3043625296831
34,21,5,1,0,1,67.97687716980289
33,25,4,0,1,0,59.67500122473501
25,22,5,0,0,1,67.5505513986195
46,21,8,0,0,1,69.28839561632378
28,25,8,1,1,0,64.48140487301787
18,19,4,1,0,0,60.09048179308994
41,23,3,1,1,0,60.424251199401
32,23,3,1,1,1,68.07686284063291
28,20,5,0,0,1,67.03030230895821
22,24,7,1,0,0,62.17209672801712
26,31,4,1,1,1,71.47699762491321
22,18,6,0,1,1,67.3470116792812
25,28,6,0,0,0,61.58060383870258
38,25,7,0,1,1,69.85365058092557
28,25,4,0,1,0,59.42809291552051
46,24,10,1,0,1,71.82149669803394
29,28,6,1,1,0,61.07231641276932
45,20,4,1,0,1,65.5104169455247
25,23,5,1,1,1,66.40417913000525
42,31,4,1,1,1,70.23524966759118
21,26,6,1,1,1,68.45876718555577
24,27,5,1,1,1,71.22739010233656
32,15,4,1,1,1,67.03970448422974
22,26,6,0,1,1,70.31991308457303
45,25,9,1,1,1,72.81242389939273
28,28,10,1,1,1,72.7399512599059
30,24,5,1,1,0,61.592326587328266
13,30,5,1,1,0,61.50103076631088
25,27,3,1,1,0,58.87479831185011
27,26,8,1,0,0,63.1718300166929
14,17,7,0,1,1,68.50983599078322
27,19,7,1,1,0,61.62754719514348
36,28,3,0,1,0,60.68710054571863
28,25,5,0,1,1,69.39594542858272
36,19,2,0,0,0,57.75868995870287
28,25,3,0,1,1,68.71535996179294
28,28,3,1,0,1,68.76603964751222
24,24,8,1,0,1,70.44998597391982
29,24,5,1,1,1,68.70643318544703
21,26,6,1,1,0,62.67649117919474
35,19,3,0,1,1,67.2928318223009
51,21,6,0,0,0,62.63656947304681
17,28,7,1,0,0,62.4194031557523
32,22,5,1,1,0,60.036851652190215
19,25,3,0,1,1,65.8261802016138
23,23,4,1,1,0,61.99345893171699
10,19,7,0,1,1,68.32841267936249
30,22,5,1,1,1,68.74042441800219
11,27,1,0,1,0,59.201322200309065
23,30,5,0,0,1,69.96927436297001
13,26,4,1,0,0,60.768284670397854
24,19,10,1,1,1,70.94196927014242
24,14,4,0,0,0,58.6099566400935
33,31,4,0,1,0,61.366289028613984
21,18,6,0,1,0,59.84478684436764
31,28,5,0,0,0,59.67594133124626
37,29,8,1,0,0,64.76560826139038
16,18,7,1,1,1,68.14094512377334
20,20,5,1,1,1,68.31275464219392
18,18,6,0,1,0,57.87631212727132
25,32,5,1,1,0,63.91095308494582
37,23,5,1,1,0,62.043065089928646
44,25,6,0,1,1,70.0375059266616
32,21,2,1,1,0,59.59042399400971
39,23,5,0,0,0,59.13604392959935
38,20,6,0,1,1,68.46089936181649
44,22,3,1,1,0,60.83508987585007
27,19,4,1,0,1,66.65984555241985
34,31,7,1,1,0,65.57211251723815
17,21,1,1,1,0,57.70074222687382
41,26,4,1,0,0,59.97598111166369
3,23,5,1,1,0,60.89745658241194
36,28,5,1,1,1,70.23500002626712
10,21,5,1,0,1,66.23638453120073
11,19,3,1,0,1,66.70463026007803
36,27,10,0,1,0,64.6174467036904
14,23,6,0,1,0,60.18978399582871
41,26,7,1,1,0,63.62794643054686
20,19,4,0,1,1,66.3449901545838
30,15,2,0,1,0,57.12529043417246
17,22,2,0,0,1,65.93062721101835
33,22,7,1,0,0,61.41966545862039
9,27,5,0,0,1,67.88424110342923
49,26,10,0,1,1,71.94583114858739
18,26,6,0,0,0,59.65980737962085
34,21,4,1,1,0,60.302022356286905
13,19,9,1,1,1,70.83715128408038
12,19,4,0,1,1,65.23608522732464
28,23,7,1,1,1,70.31955058964067
21,25,7,0,0,1,69.39289875210936
21,25,2,0,1,0,59.3658830145941
14,22,8,0,1,0,61.77361564536416
25,21,2,1,1,1,67.09165046022684
18,21,2,0,1,1,65.29489006341674
20,24,7,1,1,1,69.50359908799416
15,20,7,0,1,0,61.02109232119039
8,25,10,1,1,0,64.04269359680443
45,23,0,1,0,1,66.17911985778183
17,25,9,1,0,0,64.31439186563436
7,34,2,1,0,1,68.8124130389308
14,28,4,1,1,1,68.45273847516142
18,31,4,0,1,0,61.46581012970452
19,29,5,0,1,0,62.16768057386046
32,27,7,0,1,0,60.08652101094535
31,29,8,1,1,1,72.13236133800285
38,21,5,1,1,0,60.00501232630421
29,21,6,0,1,0,61.352953949462
15,28,6,0,0,0,62.365439023972
18,19,7,1,0,1,68.9174068585718
31,19,7,1,0,1,70.0282982044171
45,28,6,0,1,0,61.04570994278407
33,22,6,0,0,1,65.53288677199821
29,20,8,1,1,0,64.13408469612904
33,24,8,0,1,0,63.43716129583135
28,23,6,0,1,1,67.5636432331255
26,25,7,1,1,1,70.73529729200452
47,25,7,0,1,0,63.25306985871213
17,21,5,0,1,0,62.58644032538559
16,15,7,1,1,0,62.27087695677125
19,30,4,0,0,0,60.19922074651307
18,26,5,0,1,1,68.34797941142338
26,25,5,1,1,1,68.4628372138307
22,21,8,1,0,0,63.67493345741264
20,20,6,1,0,1,67.68379894938444
27,26,9,0,0,1,70.79088804717696
31,29,2,0,0,0,58.733941720723166
21,23,7,1,0,1,68.16101085746267
27,20,4,0,0,0,58.77478628089336
14,26,5,0,0,1,67.2167055227306
29,25,7,1,1,0,63.10910139836379
29,16,3,1,1,1,67.38015618517534
31,30,6,1,1,1,70.2935275875636
46,20,3,0,1,1,65.22925038316644
40,21,1,0,0,0,57.854978419058455
29,21,6,1,0,0,61.12953439095485
33,20,8,1,0,1,68.45193174648999
16,29,2,0,1,0,59.97646594022324
21,23,6,1,1,1,69.17569853773826
20,33,4,0,0,1,68.74884184713301
33,26,0,0,1,1,63.37366268495935
37,22,5,1,1,0,59.98969752383709
27,23,4,1,0,1,66.53133614858946
17,26,9,0,1,1,70.13406490585137
35,26,5,0,0,0,61.31015497303184
1,22,6,1,1,1,69.26370898589207
34,23,7,1,0,0,63.058742500007305
35,24,4,1,0,1,66.44724102594338
35,23,11,1,1,0,64.78040134740033
24,26,6,1,1,0,63.646880407372606
2,20,6,0,0,1,68.97154079081015
20,24,3,1,0,1,67.92770402062759
36,28,4,1,1,1,68.83356734841044
12,25,4,1,1,0,60.85293787954882
30,22,3,1,1,1,67.2103951280425
21,18,5,0,1,1,66.78690043513137
18,25,8,0,1,0,64.5991190004012
15,23,4,1,0,1,67.29940945224843
37,24,3,1,1,0,60.53716709070923
19,31,5,1,1,1,69.61817036281548
18,20,5,1,0,1,68.4528370036517
22,20,3,0,1,0,60.22306577328031
21,21,7,0,1,1,70.5309737627635
21,20,5,1,0,0,58.34487000990268
31,22,7,0,1,1,68.8051451671609
15,26,6,0,0,0,59.70843366383047
23,26,6,1,0,1,69.12137984092398
18,22,10,1,0,1,71.50301171596358
26,22,8,1,0,1,69.91461134722525
18,29,7,0,1,1,69.34256141558814
52,18,7,1,1,1,68.47343448139823
15,27,6,1,1,1,69.42959458953877
47,33,8,0,0,1,71.04576373222707
20,25,13,0,0,1,71.70161144817715
28,26,8,0,0,1,69.29515778239306
21,27,10,0,1,0,64.45721685115274
23,23,5,0,0,1,67.15957829667816
28,23,7,1,0,1,70.67621685840025
6,23,3,0,1,0,60.447519476393126
11,24,8,1,0,1,71.65710702794782
27,21,3,0,1,1,66.28256167872647
20,26,6,1,1,1,69.29056392226998
22,25,4,1,1,1,69.40380859008428
14,22,7,0,1,1,68.72711020749563
41,25,6,1,0,0,62.42255108831845
39,27,6,1,0,0,61.20127119614586
58,23,13,0,1,1,74.2883051202127
31,25,5,0,1,0,60.441501664196906
44,31,6,1,0,0,64.0925174868146
37,21,9,0,1,0,63.6237753431827
40,28,7,1,0,1,70.91329018854515
26,21,3,1,1,0,59.859077782018346
4,27,5,1,1,0,61.36481597264487
22,26,5,0,0,1,68.51176288760796
34,24,4,0,1,1,68.71065551946731
14,27,8,1,0,1,70.02304496726605
24,20,4,1,0,1,67.67884092204214
30,27,9,0,1,1,70.15920156601679
27,18,6,1,1,1,69.69184728129285
44,21,1,1,0,1,66.71742413893608
15,26,9,1,1,0,64.9034212222661
5,12,8,1,0,1,66.3614838634803
31,30,3,1,0,1,66.88643241557273
45,22,4,1,1,0,59.182111008428194
20,18,3,0,1,1,65.32841478999559
22,26,9,0,1,0,61.99502246725324
12,25,5,1,1,0,61.12292216018592
21,28,3,1,0,1,67.52581814621881
19,23,7,1,0,0,62.06777274100662
40,18,4,1,1,1,66.32692236320959
9,16,6,1,1,0,57.90604316398227
27,23,7,0,1,1,69.89359560555754
24,24,10,1,1,0,64.25705783741684
21,17,5,0,0,0,60.08674248446876
24,30,7,1,0,0,62.51340003563704
26,29,4,0,0,1,70.46431534932714
37,23,7,1,0,1,69.86169703588246
19,18,3,1,1,1,67.10786895251648
6,22,2,0,0,0,57.17571416569425
9,17,6,0,0,1,66.88547948137905
27,26,4,1,0,0,61.16118390192589
30,28,8,1,0,1,71.52246797227883
34,21,0,0,1,0,57.70041415392389
46,24,7,1,0,1,70.04734642563008
13,23,10,0,1,1,71.8733236680582
41,25,5,0,0,1,68.68800262856398
48,21,5,1,1,1,68.630376550453
20,27,3,0,1,0,60.06818097947442
24,27,8,1,1,1,73.38833895091567
19,21,5,0,0,0,59.59804015776668
34,26,5,1,0,0,60.46564280182381
3,18,5,1,0,0,61.07709962800914
18,28,6,1,1,1,69.88155142171031
32,25,3,1,1,0,59.48326902330629
31,26,9,0,0,0,63.43699055109328
18,21,7,0,1,0,62.892645192449926
35,20,5,1,0,0,60.260270187648025
45,23,7,1,0,0,63.22655960567718
27,26,6,1,0,1,69.34310525337834
16,21,8,0,1,0,61.4254603847139
30,26,4,1,1,1,67.96179666279933
28,24,6,1,1,1,69.04988650516763
30,20,9,1,1,1,70.19782412473506
18,31,9,0,0,0,64.34253633829381
14,27,4,0,1,0,61.83773892923232
31,24,8,1,1,1,71.20346765428411
30,28,4,0,0,1,69.56543599004543
45,18,4,1,1,1,67.61650613496369
8,25,8,1,1,0,63.94835681333595
27,21,2,1,0,1,65.36810573562947
12,29,5,1,1,0,61.40074265889682
6,22,7,1,1,1,69.89276967249032
9,16,5,0,1,0,60.25827107657817
23,25,6,1,1,1,70.28270698558124
4,23,4,0,0,1,65.55722173265285
39,18,6,1,1,0,62.434829516298336
0,25,3,0,0,1,67.5149295407779
33,22,7,1,1,1,69.43722373183311
31,23,5,1,0,0,60.31449478225126
20,27,8,1,1,1,71.70338149041608
19,22,3,0,0,0,58.58745355526141
26,29,6,0,1,1,71.04255854120134
17,23,1,1,1,1,63.15331707665015
12,25,4,1,0,0,61.2501715018492
31,26,7,1,1,0,64.11369612333289
22,24,7,0,1,1,67.31093069902292
5,19,9,1,1,0,62.07467499641966
10,23,7,0,1,0,62.65341096121909
36,27,7,0,1,1,69.03972021205337
19,23,5,0,1,1,68.92642123794317
16,25,3,1,0,1,67.08177028314356
19,24,5,0,0,0,60.13860178311448
37,26,2,1,1,1,65.08684141401767
23,23,1,1,1,1,66.45634905258056
36,31,4,0,1,0,65.00082650450261
11,24,6,1,0,1,66.75010352274158
15,25,6,0,1,0,62.358953457931925
30,18,7,0,0,1,66.67147462566422
36,22,6,1,1,1,68.38313349338388
5,26,3,1,1,1,69.29300857891876
20,28,6,1,1,1,69.63968015546423
38,27,4,0,1,1,67.86766417827967
21,27,5,0,1,0,59.51126440679473
11,22,2,0,0,0,56.00132891750317
32,24,8,1,1,1,70.24176652466579
33,27,8,0,0,0,63.222317281227326
19,24,5,0,0,1,68.76953239764143
30,24,3,0,0,0,59.77802903212654
36,27,5,0,0,1,70.37415800655174
30,24,8,1,1,0,63.51928307706191
35,20,5,0,0,0,60.98089865413671
34,19,7,0,0,1,68.1636161446338
18,28,5,1,0,1,68.41646334338105
20,32,5,0,1,0,62.000036403691766
14,27,4,0,1,1,69.66796902295333
38,30,5,0,0,0,61.811001014552
24,19,4,1,1,1,67.48779407629621
31,29,8,1,1,1,72.071010384195
12,25,7,1,1,0,61.14171948018522
31,18,7,0,1,0,61.13464619183609
12,29,8,1,0,0,64.73044510836077
14,29,6,1,1,0,62.3968526863468
28,19,8,1,0,1,69.73127056907386
14,28,3,0,1,1,68.09121134270573
22,22,8,0,0,1,69.49292915175168
31,21,6,1,0,1,67.71559083285119
36,27,6,0,1,0,61.17739658813826
31,26,7,0,0,1,67.87984224816017
20,29,4,1,0,0,60.17960455374915
15,24,9,0,1,0,63.98915431603263
44,23,6,1,0,0,61.05159120701038
20,25,3,1,0,0,58.31863377857153
27,27,3,1,1,1,67.42107638240192
29,24,9,1,0,1,71.66722936656521
29,16,1,1,0,0,57.192139901983374
30,24,7,0,1,0,62.95453747588852
26,19,7,1,0,0,61.2679200675915
20,26,4,1,1,0,59.38665169892309
40,24,8,1,1,1,70.53840581415403
16,17,4,1,1,0,58.90747003127077
-4,24,2,1,1,0,58.03469063950521
24,25,4,1,1,1,69.72836080935025
19,22,7,1,0,0,62.61675624287355
39,18,6,1,1,1,69.50156114177321
20,20,8,0,0,1,66.68132050471256
29,27,5,1,1,1,70.1003714471025
33,21,1,0,0,1,64.29544743663138
22,13,6,1,1,0,60.83367084215927
19,20,6,1,1,1,70.28224794250224
9,21,5,1,1,0,61.68559392428615
11,28,3,0,1,1,68.9112239883192
26,28,6,1,0,0,63.26245358364434
40,22,9,0,0,1,67.93775066245063
41,22,6,0,0,1,68.52131834112146
42,23,7,1,0,0,62.0478826867477
16,32,3,0,1,0,60.77407903792778
25,31,6,1,0,1,70.27654051553041
30,27,7,1,1,0,64.91137788044453
35,24,7,1,1,1,71.66678152111069
17,30,4,1,0,0,60.3552069359787
15,20,9,1,1,0,61.88843405357811
6,27,2,1,0,0,59.51822656456834
17,23,6,0,0,0,60.7587412308929
15,22,1,1,0,0,59.85508329800771
29,32,1,1,1,1,68.05656851425626
16,23,5,1,1,1,69.10947083636694
34,22,10,1,1,1,70.28213076435277
34,24,6,1,0,0,61.78487048957976
6,25,8,1,1,1,70.32640203563349
18,20,3,1,0,1,68.03084731509381
22,22,4,1,1,0,59.6046038136395
25,27,11,1,0,0,65.60763095669027
15,26,6,1,0,1,71.07336610507033
19,25,9,0,0,0,64.03420969584089
17,18,11,0,1,0,65.19729480059368
23,21,8,0,1,0,64.27692380693613
31,19,7,0,0,0,59.8697727318464
12,25,7,1,1,0,62.36434587111157
4,23,8,1,0,0,62.91583358363046
16,25,4,1,1,1,68.6054211303507
11,23,4,1,0,0,60.96786824348032
23,30,8,0,1,0,65.25703996016361
27,22,5,1,1,1,68.88512496573411
39,25,9,0,1,0,64.83006377724871
28,39,4,1,0,1,70.5109049281081
28,19,8,0,1,1,70.16913122495667
24,18,6,1,1,1,68.60290601573298
27,18,5,0,1,0,59.52106217205824
31,25,9,1,1,1,75.10568394091011
13,27,8,1,1,1,71.72441792173714
