years_of_experience,hours_per_week,part_time,job_training,minimum_wage_increase,monthly_income
24,21,0,1,1,60.08304922759893
23,19,0,0,1,57.40106386544729
24,16,0,0,1,58.90063165139567
27,7,1,0,0,57.934767701634
30,16,0,0,1,59.61847500254641
46,17,1,1,1,67.35265217345976
27,18,1,0,0,56.43216069219035
26,26,0,0,0,52.97482304541125
36,25,0,0,0,56.31486496752907
25,16,1,1,0,55.97682752313862
33,32,1,1,1,60.691470135999104
26,21,0,1,1,58.17850814137362
31,20,1,1,1,60.80402631265479
31,32,0,0,0,53.63979245106428
28,24,0,1,0,57.94411629679631
11,29,0,0,0,47.884242340952206
19,19,0,0,0,53.35819785008978
27,31,1,0,1,56.10974100480106
26,16,1,0,1,59.48700492635871
19,11,0,1,1,59.71825549064589
33,15,1,1,1,63.19236528310418
22,7,0,0,1,61.09740543418504
31,17,1,1,0,59.59652201875005
30,22,1,0,0,55.704132944598165
35,24,1,0,1,62.59880464610155
18,17,1,0,1,55.60381705036863
18,26,0,1,0,52.09485114746967
44,14,0,1,0,64.53156276442023
32,13,0,0,0,57.63172065445857
24,10,1,1,1,60.65894675376116
30,31,0,0,0,54.75366308638101
25,16,1,1,0,56.723154328375735
33,22,0,0,0,57.58414241141718
26,16,0,0,0,56.3200621581338
19,22,0,1,1,56.161881236602206
27,19,0,1,1,60.73027673386966
31,20,0,0,0,57.65711613639199
21,24,0,1,0,52.555225387034376
21,23,0,0,1,56.46816171630942
25,12,1,0,1,58.88410905637264
46,25,0,0,0,63.346091100976096
34,18,0,1,1,64.0869048678468
26,12,0,0,1,57.88335741735354
29,21,1,1,0,54.77748828842917
29,9,0,0,0,55.24462339506443
42,21,1,0,0,60.19940787872119
29,20,0,1,1,60.69167390738299
32,16,1,1,1,62.4348690304212
46,15,0,1,0,63.731387272389
35,22,0,0,0,57.8880379854268
23,20,1,1,1,58.699625540930334
27,24,0,1,1,58.11881121723063
33,18,0,1,0,59.05894323007672
26,17,1,0,1,59.5270163210994
17,19,0,1,1,55.02274322372379
31,22,1,0,0,55.50576732470137
23,24,0,0,1,53.894431961029575
16,20,0,0,1,55.57826914180576
31,21,0,1,1,61.50151680194396
31,20,0,0,0,56.96333206796882
15,19,0,0,0,52.21472161580921
25,18,1,0,0,54.63786144705753
35,23,1,0,0,57.83045940149682
30,16,1,1,1,61.59344141095177
26,22,1,0,0,55.71895787549863
32,19,1,0,0,57.54315944119399
16,26,1,0,1,53.9697147047877
46,12,0,1,0,65.80544880571186
19,29,1,1,1,55.12454047702773
29,18,0,1,0,57.07871816297019
27,14,0,0,0,56.50918220523629
16,18,0,1,1,58.1078496526378
21,33,1,1,1,55.96142695178968
17,27,0,1,1,56.08522574212723
38,23,0,1,1,63.17379752651932
41,21,0,1,0,61.058788714033625
24,20,0,0,1,58.85812020525019
39,17,1,0,0,60.220395586962944
39,35,1,0,1,62.86642639045428
22,22,0,1,1,56.30905629892695
21,12,0,0,0,54.49895982780475
41,18,1,1,1,65.44189223019002
33,17,0,1,0,59.33215301751342
18,17,0,1,1,55.75533496291112
35,18,0,0,1,62.46183438344673
39,19,1,0,1,62.52854482172759
22,21,0,1,1,57.47911791054268
39,16,0,0,0,61.97677941438567
39,7,1,1,0,62.916089923886986
25,18,0,0,0,56.57394463498769
40,15,0,1,0,63.88030169037245
30,18,1,1,1,61.01423134400134
30,17,1,0,1,59.05940169488004
20,28,1,1,1,56.269052691471096
31,31,0,0,1,57.59443162486185
20,28,1,0,1,54.46932453433475
35,35,0,0,0,54.62503772672484
35,26,0,0,0,54.553589224090274
40,27,0,0,0,59.31117572088483
31,26,0,0,0,54.26890307261037
33,14,0,1,0,61.210548899023344
31,20,1,1,1,61.764267254862936
31,11,0,1,0,58.82153493809316
43,14,0,1,0,64.96515235123134
28,23,1,0,1,57.766179399609406
24,16,1,0,1,59.28305676008121
28,13,1,0,1,61.34099309697847
36,23,0,0,0,57.06427171367811
35,12,1,0,1,65.14202878491011
25,19,1,0,0,54.90932739570044
38,17,0,0,0,58.90588442807381
18,9,1,1,0,56.51701108462685
32,15,0,0,0,58.9133919612422
16,22,0,1,0,53.68543539795117
26,19,0,1,0,56.610786058839565
31,18,0,0,0,58.22158779327219
24,11,1,0,0,55.45506947440222
17,18,0,0,0,53.48450209637278
41,17,1,0,0,60.42942463963123
29,15,1,1,1,63.41883593084541
45,18,0,0,1,66.10825902554039
27,23,0,0,0,56.24205869225226
21,18,1,1,1,60.6122492760303
17,15,1,0,1,55.63838186303148
42,20,1,0,1,62.94633866046847
34,11,1,1,1,65.62793045211048
24,29,0,1,1,58.5159323718765
28,15,0,1,0,58.545634359070974
39,16,0,0,0,59.35517900736258
32,25,1,0,0,56.46230014219088
30,33,0,1,0,54.662013292001845
40,25,1,0,1,63.50421222913253
40,22,0,1,0,61.06005538984216
34,25,0,1,1,61.2145503144508
22,22,0,0,1,57.04592956768759
35,15,1,0,0,56.99400716359736
16,14,0,0,0,52.59275128036826
23,26,0,0,0,52.86072098469967
24,18,0,1,0,56.93634059538928
35,27,1,1,1,62.13642259674453
32,14,1,0,1,61.20632118537284
25,18,1,0,1,56.33698474726747
13,22,0,0,1,52.90874591195529
32,16,0,0,0,59.24976369453192
8,27,1,1,1,52.83987287891942
30,21,0,1,0,57.35283772906082
32,15,0,1,0,60.1509139003887
31,14,1,1,0,59.37859020691754
31,23,1,0,1,58.89895160207308
38,12,1,0,1,63.812360808503335
25,19,1,0,1,58.97267193027101
26,18,0,1,1,59.40267501744319
34,10,1,0,0,58.5854212883556
39,18,0,0,0,60.368280225319886
40,26,0,0,0,59.27448582802317
41,25,1,0,1,64.05244302824882
27,15,1,0,1,57.53589729738663
28,17,0,0,0,57.96735746508906
27,26,0,0,1,56.99408525965843
40,24,1,0,1,61.4600295736723
21,12,1,0,1,57.55900634731615
28,16,1,1,1,58.668210027552256
41,26,0,1,1,64.67379050566501
40,31,1,0,1,60.26380867971285
37,23,0,1,1,61.28550740384905
34,25,0,0,0,56.13216386127677
25,19,0,0,0,53.311894711811256
31,15,0,1,0,59.76688418709414
45,20,1,1,0,63.91618696731359
29,10,0,1,1,64.0784375597377
26,23,0,0,1,59.9323460983408
34,21,0,1,1,63.960746700212354
38,23,0,0,0,58.65351830886733
17,9,0,1,1,59.13115577013596
44,15,0,1,1,66.04747870739824
31,20,1,0,1,60.56613940397096
28,17,1,1,1,60.58020334731626
28,14,1,0,0,56.61421695775125
38,22,0,0,0,56.92854011504591
26,21,0,0,1,56.78790801721085
34,16,0,0,0,58.70698992182106
30,9,0,1,0,60.03238866440204
28,25,1,0,1,58.98548768543736
38,17,1,0,0,58.82342847815392
23,13,1,0,1,59.49701536698173
28,19,0,0,1,59.93321976934834
18,25,0,0,0,50.94099730585476
32,19,0,1,0,58.40621951992036
49,21,0,1,0,63.08167428247911
31,35,0,0,0,54.46206846789476
29,27,0,0,1,58.13380554275623
36,16,0,0,0,60.66542555543732
25,24,1,0,1,56.16594281109132
38,26,1,0,1,61.34127225969869
33,19,0,0,1,61.62451048378695
27,14,0,0,0,57.33618629310929
21,15,1,1,0,55.45615286106831
29,14,0,1,0,60.75627681877992
33,18,0,0,0,58.015590966503744
39,22,1,0,1,62.45104663697117
37,26,0,0,1,62.59055558189719
34,13,1,0,1,64.21886956147941
29,24,1,1,1,61.05303961012267
32,17,0,0,0,58.23461852966364
28,21,1,0,0,56.62489279784501
26,16,0,0,1,58.8137787404714
27,26,1,0,1,56.46743811316537
16,22,0,1,0,51.73480783615175
32,21,0,1,0,58.02689216088785
29,23,0,0,1,58.24187442926463
29,32,1,1,1,58.357262557387344
26,15,0,1,0,55.322215395755016
32,19,0,0,1,59.488706852503455
35,14,0,1,0,60.66495468416706
31,25,0,1,1,59.7462482908554
27,21,0,0,0,55.88092548452674
27,20,1,0,0,55.60525208414238
14,18,1,1,1,54.339896097061
27,19,0,0,1,58.85973745895205
29,7,1,0,0,58.20049804999827
32,16,0,0,0,58.11232495814466
45,22,1,1,1,68.03986335096967
11,15,1,1,1,56.16976798698795
44,21,1,0,1,64.26307531979758
24,37,0,0,0,50.66259454809392
40,13,0,1,0,62.93673760087119
36,26,1,1,1,63.16421506762461
20,21,0,0,0,52.75844288660503
30,17,1,1,0,56.88098889732533
40,23,1,0,0,59.20817079324916
36,17,0,0,1,63.12707568383947
31,21,0,0,0,57.6657008343754
26,9,0,1,0,58.60742516458462
28,28,0,0,0,54.5574078691935
15,17,0,0,1,56.22466451495709
29,15,0,0,0,56.05134612135257
21,27,0,0,1,55.98273987781175
19,20,0,0,1,54.56128157118903
26,19,0,1,1,59.85142054048944
17,30,0,0,1,53.46087135279455
14,16,0,1,0,54.44578428071746
19,20,1,0,1,56.80099891340908
33,21,1,0,1,61.40076576090386
38,16,1,0,0,59.81167454892092
37,18,0,0,0,59.52997556065469
22,20,1,0,1,56.53013320002225
21,21,0,0,0,53.03497244749189
25,15,0,0,0,54.71688100489661
29,25,1,1,1,59.09131388526377
45,11,1,1,0,63.67776142398328
27,23,0,1,1,60.74589345716471
31,26,0,0,0,54.94763747650441
25,10,0,0,0,55.73876456233677
20,28,1,1,1,55.42885057955241
30,24,0,0,1,57.92861565189361
22,17,1,0,1,54.89704233694558
43,21,0,0,1,65.54548521233521
17,21,0,1,1,56.27535056271509
30,10,0,0,0,59.81310121589185
12,37,0,1,1,51.843066285348165
27,13,0,0,0,57.16351517442299
37,19,0,0,0,61.10677816509487
28,18,1,0,0,56.408070747521805
51,23,1,0,0,62.50824902172624
19,22,1,0,1,55.17549491661693
19,16,0,0,0,54.02037215170239
25,19,0,1,0,56.50117804052213
22,24,1,1,1,56.35086942864561
28,26,0,0,1,57.71105779027688
38,20,1,0,0,59.07389792992715
31,15,1,0,1,59.9136870616812
32,22,0,1,1,62.0000423891824
36,24,0,1,1,64.34981199709569
26,15,0,1,0,56.21730539876988
22,19,0,1,1,57.31242459707513
29,23,0,0,0,56.04676080640145
29,10,1,1,1,63.09136072704197
22,19,0,0,0,54.297324163713725
29,12,1,0,0,57.08563642971189
32,14,0,0,0,58.84615387952322
39,20,0,0,0,60.254532520744725
39,3,0,0,0,63.95039726222222
29,24,0,0,1,58.5538868376253
31,27,0,0,0,54.8667362949554
25,25,0,0,0,51.97244955120063
35,19,0,0,0,59.65053957768184
27,17,1,1,1,60.6650721328295
44,10,0,1,0,62.817601716810046
18,12,0,0,0,53.898605439959766
27,24,0,0,1,58.162994610987866
23,22,1,1,1,57.012980526178985
34,21,0,1,1,63.2928871331276
37,27,1,0,1,60.64602955514778
12,12,0,0,1,55.62054715739221
37,21,0,0,1,61.0662098509752
33,20,0,0,0,58.148607885775945
41,22,1,0,0,59.76946308769721
15,13,0,0,0,52.16820433673573
34,9,0,1,0,59.59710214726692
19,25,0,0,1,54.72976435362762
40,22,1,0,0,60.27960985151947
31,22,0,0,0,57.87593736165582
9,30,0,0,1,51.50095167613577
32,25,1,1,1,61.50854506901452
21,14,0,0,1,57.65255558842102
30,30,1,0,1,55.887328698801085
25,14,0,1,1,62.27797137334571
25,21,1,1,0,55.13088747178422
32,12,1,0,1,61.41472739370459
23,9,1,0,1,58.60932371587306
38,22,0,0,1,63.21077411542609
22,29,1,1,1,57.00082426732735
16,18,1,0,1,56.455026496839125
15,14,0,0,1,55.13317772430531
35,13,1,0,0,60.5284621099323
23,19,0,0,0,55.76785826973454
28,10,1,0,0,57.18448704331446
37,9,1,1,0,63.15066591211861
26,14,1,1,0,55.69163365044561
28,12,1,1,1,63.58013234479986
37,22,1,0,1,62.69309838198412
37,21,0,0,0,58.59794179929391
43,29,0,0,1,63.07252580577941
24,30,1,0,1,56.95436015106251
40,22,0,1,0,61.55859967206756
22,18,0,1,1,58.24620028540958
34,20,0,1,0,60.5042604698391
35,24,1,0,0,57.68143784721204
13,14,1,1,1,55.2277478132824
36,8,1,0,0,60.47053349852106
20,32,0,0,1,51.71617443981899
30,20,0,1,1,61.78164203295553
26,13,0,1,0,56.48934444223211
25,19,0,0,0,54.42793261624646
30,14,0,0,1,60.77643906934515
23,12,0,1,1,59.598361054939616
22,21,0,1,1,57.22526671154388
43,22,0,0,1,64.65336508764616
28,24,0,0,1,57.79576310273881
33,12,1,0,0,60.67617364476776
34,32,0,1,1,60.41547890928711
36,20,0,0,0,60.70862256748125
33,21,1,0,1,60.81503466861588
41,20,1,0,1,62.06116917814788
27,18,0,0,0,55.728310110642326
29,21,1,0,0,56.11011883655689
25,24,1,1,1,57.35235861408374
15,25,0,0,1,53.65742805265878
29,17,0,1,0,58.88202491670536
36,19,0,0,0,60.45283260896703
27,26,1,0,1,57.30229892871294
36,17,1,0,1,63.30573577966335
37,27,0,1,1,61.87431853919942
30,20,0,0,0,56.04929408596812
33,27,1,1,1,60.14877289703953
13,21,1,0,1,51.6427569175877
22,19,0,0,0,53.53307498016972
30,18,1,0,1,59.94886317103427
29,16,0,0,0,57.54968114031786
28,19,0,1,0,55.89884741434744
33,19,0,1,1,62.637143640009874
30,14,0,1,0,60.81790104993876
33,10,0,0,0,59.89420151179295
25,14,0,1,0,55.464686355846666
36,9,1,1,0,60.25456484231606
27,14,0,0,1,60.89760607151266
12,20,0,0,1,53.302192212143645
28,28,0,1,1,57.40878072749592
40,23,0,1,1,64.52936728390561
23,30,1,0,1,55.52247479619031
13,25,0,0,0,49.22619093834645
37,19,0,0,1,62.837180394372766
37,21,1,0,1,62.75431515651994
22,13,0,0,0,54.64608641116881
28,26,1,0,0,54.20805895592554
22,28,0,1,0,52.9693606296443
29,15,0,1,0,57.46838874021715
17,19,1,0,1,55.256824600178376
22,21,0,0,1,55.31758902640821
34,18,1,1,0,61.14294046043136
53,25,0,0,1,68.85478856136287
26,25,1,0,1,56.989281663059714
26,8,0,0,0,58.71226620345226
38,26,1,0,1,62.46796402182312
33,31,0,0,1,58.31607453316799
11,14,0,1,0,51.08042765328791
25,24,1,0,0,53.89019741033273
31,20,0,0,0,57.67684271317948
37,3,0,0,0,63.34621337176363
34,16,0,0,1,62.96062635761047
31,29,0,0,0,54.29567074410531
36,18,0,1,0,60.68219665768436
21,20,0,0,1,56.88441281721388
35,13,1,1,1,66.80621082284438
30,26,1,1,0,55.68388494145531
17,22,0,0,1,55.05648935553853
28,22,0,0,0,54.94601516934812
27,20,0,1,0,58.74909462699898
31,30,1,0,0,53.965275598882826
31,14,0,0,0,58.86025307590635
22,23,1,1,1,57.06727186274415
35,14,0,1,0,60.901098887723286
41,29,0,0,0,57.35826691130355
21,14,1,1,1,61.13556430022958
34,24,0,1,1,62.0573953216546
18,26,1,0,1,52.89462993410791
52,23,1,1,0,65.5844501809525
31,14,1,0,0,55.99432361395988
19,24,1,1,1,54.514540144962254
33,27,0,1,1,61.06632904989668
21,24,0,1,1,56.70561742380625
25,11,0,1,0,57.96884957281697
13,13,1,0,1,55.44577416916958
25,10,0,0,0,55.66548015788489
29,17,0,1,1,62.075580830705526
26,11,1,0,1,60.263417529866224
28,17,1,0,0,57.13924549929563
33,21,0,0,0,59.31756267651006
38,21,0,0,0,59.283749676678674
32,15,0,0,1,60.32373990545003
25,22,0,1,0,56.89939578510835
16,29,0,0,1,54.195555885835326
27,25,0,0,0,54.69659168935447
21,25,0,0,1,55.13690827069026
9,12,1,0,1,53.22862125631551
22,21,1,0,1,58.32600755187258
35,17,0,1,0,60.6513013398034
10,14,1,0,0,51.17186512808747
28,20,0,1,0,56.42629280822336
38,24,0,1,1,61.3882908397544
35,8,1,1,0,62.12566217724182
22,19,1,0,1,55.25826033467768
40,25,0,1,1,64.73077385101466
26,22,1,0,1,57.48092049654375
23,14,0,1,1,60.17238704959016
43,20,0,1,1,64.07676526761645
39,27,0,0,0,58.341203662198296
31,15,0,0,0,58.60444178918025
38,14,1,1,0,62.71240987700072
23,22,0,0,1,56.55096408064637
28,14,0,1,0,59.243156950388745
23,27,0,0,1,55.83977933494225
30,19,1,0,1,58.90219914548075
40,17,0,1,0,59.92935533912436
47,26,1,1,0,62.299586971220855
23,21,0,0,0,53.476320079339054
46,13,1,0,0,62.84784243638437
25,12,0,1,1,60.23049761835436
30,27,0,1,1,60.284668779666674
34,25,0,0,0,56.138635015736966
33,20,1,0,1,60.96328224073008
40,23,1,1,1,64.10184641279518
24,28,0,0,0,52.8102863597644
30,21,0,0,0,56.39535113323352
37,30,0,1,0,58.43072436472337
24,18,1,0,1,57.76553624166749
26,14,0,0,0,57.22106487233626
35,15,1,0,1,60.66572755067547
20,23,1,0,0,52.1534848703914
22,27,0,1,1,56.217831477132535
21,18,0,0,0,55.130082033041454
28,18,0,0,1,58.72196390427917
30,19,0,0,0,55.923574358816765
49,9,0,0,0,65.50686209072711
33,14,0,1,0,60.854987413991886
25,19,0,0,1,57.869912975457375
35,22,0,0,0,57.557235408643486
26,20,1,1,1,60.67922454340494
24,14,1,1,1,59.92226763481704
27,20,0,0,0,55.43783860047287
31,23,0,0,0,55.85240907876608
35,24,0,0,0,56.97724123305233
30,10,1,0,1,59.88863002643229
30,3,0,0,0,60.6500859235472
33,21,0,1,1,61.5163905531731
33,11,0,0,1,63.24405235467002
40,16,0,1,0,63.89099717744585
18,25,0,0,0,52.07395197947152
32,18,1,0,1,62.04789233238581
17,19,1,1,1,56.55323761430617
25,13,0,0,0,53.7077987455468
15,21,0,1,1,57.55594282613872
25,24,1,1,1,57.83965255539263
28,13,0,1,1,61.61744909622826
42,17,0,0,1,66.07991538635801
38,22,1,0,0,58.52307633112674
38,10,0,0,0,61.15400039853704
26,29,1,1,1,57.72683542016442
19,36,0,1,1,51.637539436756136
28,24,0,1,1,59.93822961697677
30,21,0,0,1,60.71600462214525
28,16,0,0,0,56.72097285243699
31,19,0,0,0,58.928168499581446
18,17,1,1,1,57.291690022435375
30,31,0,1,1,58.85033512864619
41,22,0,1,0,60.07363243915866
27,18,0,1,1,60.86790915532566
19,20,0,0,0,51.997015870424775
40,18,1,0,1,63.13931562729522
36,24,0,0,0,56.95321419020198
32,28,1,0,1,59.93975581118961
38,13,0,0,1,65.84396108282301
39,21,0,1,0,60.5870919711363
36,24,1,0,1,59.67209863509965
16,18,1,1,1,56.58544376935754
41,30,0,1,1,63.16923802865755
37,26,0,0,0,57.87722369580973
30,8,1,1,1,64.24465066868477
45,23,0,0,0,62.34795995765708
33,10,0,0,0,60.44574831518245
33,21,0,0,1,61.86031505526025
35,18,0,1,0,60.02167263550336
30,21,1,1,1,61.71007052125151
30,19,0,0,0,57.17404775063594
30,23,1,0,1,57.59809760625496
25,25,1,1,1,57.16755556918806
34,18,1,0,0,57.3679507293412
14,22,1,1,1,55.44041449467649
16,19,0,1,1,55.98101162102733
31,27,0,0,1,58.67634381681646
27,20,0,0,0,54.580943185587216
23,25,1,0,1,57.27786235740311
22,11,1,0,0,54.48394783539872
8,13,1,0,1,54.04638518679685
18,17,0,0,1,56.8198387430547
22,21,0,0,1,56.913751615222814
35,14,0,0,0,59.58117115981514
29,23,1,0,1,58.35965237103867
16,39,1,0,1,49.073642868931394
37,19,0,1,1,65.11212048325197
27,16,0,1,1,61.902026543688805
34,13,0,0,0,61.083153387839445
27,17,1,0,0,55.678949259111576
18,15,1,0,1,56.22321034149749
32,16,0,1,1,63.88861366464459
22,25,1,0,0,50.4371910087666
34,19,0,1,0,60.16768398537297
38,11,0,0,0,61.57266858798341
21,21,0,0,0,52.67887124702987
31,12,0,0,0,57.20378223610327
32,29,0,1,1,59.66616178053452
25,3,0,0,1,59.72898647097964
33,27,1,1,1,59.71574930974654
18,22,0,0,1,54.76804386157775
27,11,1,0,0,57.12832995151011
36,16,1,0,1,63.099564219516985
13,18,1,0,0,52.31284248029667
46,10,0,1,1,69.41850697833938
50,25,0,0,0,62.82218363352067
36,16,1,1,0,62.05332730686945
50,19,0,1,0,66.54208897946005
38,23,1,1,1,60.89538789865787
31,12,0,0,0,59.38423500704584
28,23,0,0,1,58.4323979691625
30,20,0,0,1,59.4795528422453
35,25,1,1,0,58.93634842282331
20,2,0,1,0,57.05123748190408
27,23,0,0,0,54.21856499953584
27,25,0,0,1,57.4061848128788
41,16,0,1,1,65.31701335970571
21,12,0,0,0,54.06049106018611
23,18,0,1,1,57.84925346984374
25,21,0,1,0,58.14337010360936
40,19,0,0,0,61.18319853989311
31,10,0,0,1,62.57449962762664
31,28,0,1,1,59.94505331089573
31,6,0,0,0,58.71086917281848
20,14,0,0,1,58.483645152128375
41,11,0,1,0,64.25096490630992
40,23,0,0,1,62.88619607209514
31,11,0,0,0,61.01198763380061
41,17,1,0,0,61.03915496981128
29,12,0,1,0,59.264182388503095
40,22,0,1,1,63.84958357992331
43,19,1,1,1,66.12992707421361
33,21,0,1,1,63.706154381734855
38,32,0,0,1,61.51326339864165
12,17,0,0,0,50.28172265727719
15,38,0,1,1,51.44956235073398
27,12,0,1,0,59.59083130546127
23,21,0,1,1,58.26779211620079
37,23,0,0,0,57.57435253091033
32,30,0,1,1,58.79246639447858
31,19,1,1,1,63.14895086275516
19,31,0,1,1,54.80632165037553
23,17,0,0,0,55.69525703481601
41,17,1,0,1,65.04454318682065
43,16,0,0,0,62.335778622836685
10,25,0,0,1,51.90050207858848
30,21,1,1,1,61.346032235341816
30,20,0,0,1,59.50423903222488
31,17,1,1,0,57.395838909622114
31,24,0,0,0,56.03584269595672
40,20,0,0,0,59.94311779251471
22,21,0,0,0,54.89226269887947
20,15,0,0,0,54.32676536512492
