education_years,prior_convictions,public_defender,employed_at_arrest,legal_aid_offer,legal_aid_received,sentence_length_months
6,2,0,0,1,1,54.05964305781161
6,2,0,0,1,0,46.9741135449928
5,3,1,0,1,0,44.98873731942952
4,3,0,0,0,0,45.17652119475415
2,3,0,1,1,1,53.88503749474284
6,2,0,1,1,1,52.57664348996236
5,4,1,1,0,0,46.10861162242954
3,3,0,0,1,1,52.80715148344178
5,3,1,0,1,0,45.52001406339746
5,2,0,0,0,0,45.039943380809895
3,3,0,1,0,0,47.99553365415791
6,3,0,1,1,1,53.76455516735565
0,3,0,0,1,1,54.27647244748295
4,3,0,0,1,1,50.8095277472664
3,2,0,0,1,1,52.54910089563224
0,2,0,1,1,1,54.01596088902796
6,3,0,0,0,0,46.75106192046999
5,2,1,1,0,1,51.67013924019135
3,2,0,1,0,1,53.66924866754014
4,2,0,0,1,0,46.15399508037511
5,3,0,1,0,1,52.67039057423878
5,2,0,0,1,0,45.86034076262274
2,2,1,1,1,0,46.61051428208703
4,3,0,1,1,1,52.44988412220933
6,3,0,0,0,0,46.00206998126304
4,3,0,0,1,1,53.90035437239709
1,3,0,0,0,0,48.14852839876783
3,3,0,0,1,1,53.97318692992813
5,2,0,1,0,0,46.79474924200032
7,2,0,0,1,0,46.39766968175935
8,3,1,0,1,1,51.65017223843808
4,3,0,0,1,0,46.39492053431789
3,2,0,0,0,0,47.347125780699656
6,3,0,1,1,1,51.66830657809294
4,3,0,0,1,1,53.59879090943474
2,4,0,0,0,1,51.35373912068732
2,3,1,0,1,0,47.14084231412635
1,2,1,0,1,0,47.92204557127254
4,3,1,1,1,1,51.55344080308844
3,2,1,0,0,1,53.14406466491842
0,2,1,0,0,1,53.98151062152434
4,3,1,0,0,1,53.56282597345035
2,2,0,1,0,0,48.815378358888736
8,2,0,0,0,1,51.4105895559161
3,2,0,1,1,1,53.97292614668928
6,2,0,0,1,1,52.692231187187225
8,2,1,1,0,1,52.90290700278765
1,3,1,0,1,1,53.0312791435161
5,3,0,0,0,0,47.01786863448879
2,3,0,1,0,1,53.71792047871188
0,3,0,1,1,1,54.94936648739743
0,2,1,0,1,1,56.39407653431074
4,3,0,1,0,0,48.88127566698878
3,3,1,0,1,0,47.88465902075154
5,3,1,0,0,0,46.91592345393949
4,3,0,0,0,0,45.7855658543532
3,2,1,1,1,1,52.59865534775806
6,2,0,0,1,0,44.23547375327237
3,2,0,0,0,1,50.97355450458674
0,3,0,0,1,1,53.34580345964792
5,2,0,0,0,0,48.00468540723526
5,3,0,0,1,1,51.8268570028813
5,3,0,0,1,1,52.63050499571047
4,3,0,0,1,1,53.0269791568183
8,2,1,0,0,0,44.31533709522687
6,3,1,0,1,1,52.11317669347974
0,2,0,0,1,1,54.46064184710133
4,3,1,0,0,0,46.81831826854835
5,1,1,0,1,1,52.772755706182735
6,3,1,0,1,1,51.691037597010094
5,2,0,0,1,0,46.36830833292593
4,2,1,1,0,1,51.65694993190029
4,2,1,0,1,0,45.36968548367744
4,3,0,0,1,1,53.00958340693625
2,2,0,1,0,1,54.41528016418999
2,2,0,0,0,1,50.88894803902596
0,3,0,0,1,1,55.37947171884298
5,2,1,0,0,0,47.48392629760126
3,2,0,0,0,0,46.00105966168506
4,3,1,0,1,1,50.24251837704554
0,2,0,0,1,1,53.33027332517885
4,3,0,0,1,0,47.48788719384401
0,3,0,0,1,1,52.67533618630641
1,3,0,0,1,0,47.44279886249205
1,2,0,1,1,0,49.01111349997139
2,2,0,1,1,0,46.67781870502075
2,2,0,0,1,0,44.19638865556311
1,3,1,1,0,1,54.199289217363386
1,2,1,1,1,1,53.78359818127515
4,2,0,0,1,1,54.088442151135
2,2,0,0,1,0,48.398335632307706
1,2,0,0,1,1,53.746451830584704
5,2,0,0,1,0,46.52880689758034
6,2,1,1,1,1,52.88310890049723
7,3,0,1,0,1,52.70465364717128
4,3,0,1,0,1,53.27470691141542
0,3,1,1,1,1,54.8108315059095
0,2,0,1,1,0,48.79061289646369
7,2,0,1,1,0,45.25130048203972
3,1,1,0,1,1,53.19904440728357
5,3,1,1,1,0,47.53401052879632
2,2,0,0,1,1,51.34902203529185
6,3,0,0,1,1,51.45261457420981
3,3,0,0,1,1,52.68212508532082
3,3,0,1,1,0,46.35176774946113
8,2,0,0,1,1,51.25164543489704
6,3,0,1,1,0,46.62935625366387
4,3,1,0,0,1,50.73836428880225
-1,2,0,0,1,0,50.448926191874605
3,2,0,0,0,1,52.33625072500769
3,3,0,1,0,0,45.99690126541056
2,3,1,0,1,1,52.80121265547636
3,3,0,1,1,0,47.26269491374401
2,2,0,1,1,0,47.36821031698054
4,2,0,0,1,1,52.32919316816816
2,3,0,1,0,0,47.86885366059351
0,2,0,1,0,0,48.62535293049736
2,2,0,0,1,0,47.549553632821805
6,2,0,0,1,0,47.33756934882531
0,2,0,0,1,1,51.42820961327533
6,2,0,0,1,0,45.89931699758952
2,3,0,0,1,1,52.53446317312266
4,2,0,0,1,0,47.85976822224567
6,3,0,1,1,0,46.7827833363982
6,2,0,0,1,0,46.2967315454806
1,3,0,0,1,1,52.21641998597415
0,3,1,1,1,1,54.59923503858104
2,2,0,0,1,0,47.08225476217755
6,2,0,0,0,0,47.08429051354468
8,3,0,0,1,0,46.78493421415642
2,1,0,0,1,0,46.53846123529256
5,2,0,0,0,0,44.57968967582445
5,2,0,0,1,0,46.30244466226781
2,2,1,1,1,0,47.59203573221156
4,3,0,1,1,1,52.36436975759257
3,3,0,0,0,0,47.21845416371603
5,4,0,0,0,1,51.12680702072182
4,3,1,1,1,1,52.43911521955096
1,2,0,0,1,1,53.36572606889104
0,2,0,1,0,1,54.34800653072588
1,1,0,0,0,1,54.13464746630412
3,3,0,1,0,0,47.93953434763153
2,3,0,0,1,0,46.19784782854223
2,1,0,1,1,1,54.15593818935648
4,3,0,0,1,1,53.87432665316119
5,3,0,0,1,1,52.37112688470497
0,2,1,0,1,0,47.63074271711728
5,2,0,0,1,0,43.83904788236922
3,3,0,0,0,0,48.91280940312106
7,3,0,1,1,1,52.8803697590709
5,2,0,1,0,0,46.02667096069302
7,2,0,0,1,0,46.80431193982754
3,4,0,1,1,1,53.51103055846016
6,3,0,1,1,1,52.90349760580494
3,2,0,1,1,1,52.16633229537267
8,3,0,0,0,1,50.98782657095349
-2,4,0,0,1,1,55.17976716605882
7,3,1,0,0,0,45.6227225710603
3,3,1,0,0,0,45.14901371061774
0,2,0,1,1,0,47.658287338116565
1,2,0,0,1,1,53.708155800851
1,3,0,1,1,1,54.11531546493394
6,3,0,0,1,0,45.295675616019714
2,2,1,0,1,1,52.20536075504788
5,2,1,0,0,0,44.47648208535389
5,3,0,0,0,0,46.938140238199495
11,2,0,0,1,0,45.4512551304171
1,2,1,0,0,1,54.55307905962403
10,3,1,1,1,0,44.29800278987608
3,2,0,1,1,0,47.20152303964095
3,2,0,0,1,0,46.80731378518178
6,2,0,0,1,0,46.827288940528085
0,3,0,0,1,1,53.53478122211748
2,2,0,0,1,0,48.169182263566135
3,2,1,0,0,1,52.49189739718149
2,2,0,0,0,0,47.344815124775664
3,3,0,1,1,0,48.08858978477618
4,2,0,0,1,1,53.57528350130006
4,3,1,0,1,1,51.60147224033837
0,2,0,0,1,1,55.40628345955284
4,3,0,1,1,1,53.171282620494914
3,3,0,0,0,1,53.2890238956209
5,2,0,0,1,1,52.90104140677818
4,3,1,1,1,1,50.69372800820069
5,2,0,1,1,1,51.20902857682742
6,2,0,0,1,0,45.72246853445486
3,3,0,0,1,1,52.59748631940894
0,3,1,1,1,1,53.42656333481765
5,3,1,0,1,0,46.59507998977381
4,2,0,1,0,1,55.190759481429225
3,3,0,1,0,0,47.06024101444893
2,2,0,0,0,1,53.58932855132595
4,3,0,0,0,0,48.12784002907768
3,2,0,1,1,0,46.88029937265749
1,3,1,1,0,0,46.29847533920309
3,1,1,0,1,0,46.97815286412188
4,3,1,1,0,0,47.56038261863242
4,4,1,1,1,1,50.28369829247408
8,2,0,0,1,1,50.477954416094825
3,3,0,0,0,0,45.23264033044767
5,4,0,0,1,1,53.24389123884124
4,3,0,1,1,1,53.42145700619996
0,3,0,0,1,0,48.87457358863928
5,2,0,1,1,1,51.09081383133231
5,3,0,0,1,1,51.78450507256424
3,2,0,0,1,0,48.60805746863846
2,2,1,0,1,1,53.79110547909899
4,3,0,1,1,0,47.53285061589909
5,3,1,0,1,1,51.36588288168475
1,2,0,0,0,0,50.165720028904445
3,2,0,1,1,0,46.948961007513134
4,1,0,0,1,0,46.599120574442445
2,2,0,0,0,0,46.49956361869331
6,2,1,0,1,0,45.58828568245195
2,2,0,0,1,1,52.29149573050437
4,3,0,1,1,0,46.76820343299572
3,3,1,0,1,1,51.020335636334806
5,3,1,0,0,1,50.75217704908157
4,3,1,0,1,1,53.65876211899339
5,3,0,0,0,0,45.26123272421697
4,2,0,1,0,1,51.37421307803858
5,3,0,0,1,1,51.8750543986183
5,3,0,1,1,0,46.30586542701027
5,3,0,0,1,0,46.78333613587914
4,2,1,0,1,0,47.1317272818286
3,3,0,1,1,1,54.21589369740594
0,2,0,0,1,0,45.69701717101201
2,3,1,0,0,1,51.920223418160425
5,3,0,0,0,1,53.28819651684024
4,3,1,0,0,1,54.13780682707985
5,1,0,1,0,0,46.33975613026357
7,3,0,0,1,0,44.67377122262855
8,1,0,0,1,1,50.65293837231907
5,3,0,0,1,0,45.77200420205756
6,2,0,1,0,0,46.59180129449579
2,3,0,0,1,1,54.25321656432425
4,3,1,0,0,0,47.49893249593336
3,2,1,1,1,0,45.99459845465223
1,3,0,0,1,1,53.0798197199901
2,3,1,0,0,0,45.57821182373969
3,3,1,1,1,0,46.60849771090784
6,2,1,0,1,1,49.818058479298905
0,2,0,0,0,0,49.05314708585591
6,2,0,0,1,1,53.377767746150106
5,2,0,1,0,1,51.89769121494642
1,2,1,1,1,0,46.454779418659605
4,2,0,1,1,1,52.77426005605085
7,3,0,0,1,0,46.0725608692444
2,2,0,1,0,0,46.91575841392658
5,3,0,0,1,1,53.41287465102367
1,3,1,0,1,1,53.05383653264626
2,2,0,0,0,1,53.76053836265861
3,2,1,1,1,1,51.76302600167072
0,3,0,0,1,1,54.43813918284067
9,3,0,0,1,1,51.457469151379954
8,3,1,1,1,1,51.392745279377536
4,2,0,0,1,1,53.2492415794932
1,2,0,0,1,1,54.21774654345648
5,3,0,1,1,0,46.506376440207774
8,3,0,0,0,1,51.25656340533789
6,2,1,1,1,0,46.03861050714302
5,2,0,0,1,0,45.64746253769886
3,3,0,0,0,0,47.090321941876255
2,3,0,0,1,0,46.92930875112032
0,3,1,1,1,1,54.90371731875351
3,3,1,1,1,0,45.9827132311831
5,3,1,0,1,1,51.711666008411314
0,3,1,0,1,0,47.68885643097716
4,2,0,1,1,0,47.33487155138486
5,3,0,0,1,0,47.827717421061365
4,2,1,1,1,0,45.375660599783664
8,2,0,0,0,0,46.77670849827587
4,1,0,1,1,0,47.10405231078329
7,2,0,0,1,0,43.9862067013257
4,2,0,0,1,1,53.86623350531463
2,3,1,0,1,1,51.41469258077079
4,2,1,0,1,1,52.11237688780614
2,3,0,0,0,0,47.18957610298131
4,2,0,1,1,0,47.24096877873027
5,3,0,1,1,0,46.32504038380127
1,2,0,0,1,0,48.52590656914228
4,3,0,0,0,0,46.58866590555352
3,3,0,1,1,0,47.03263712266397
1,2,0,1,1,1,53.56859253479666
5,2,0,1,0,1,52.08128771477882
0,2,1,0,1,1,53.11301038222895
0,3,0,0,1,1,53.4309602262338
1,2,0,1,1,0,45.92087622198842
4,2,1,0,1,0,45.26483766190395
5,1,0,0,1,0,47.35132006193909
3,3,0,1,0,1,53.29475626436564
1,2,0,0,1,1,54.12035948519591
4,2,1,1,0,0,44.82053381517253
9,2,0,0,0,0,44.70385661077123
3,2,0,0,0,0,46.45803888789784
1,3,0,0,1,1,53.19822905205151
5,2,0,1,1,0,46.69390903256243
5,3,1,1,0,1,52.1876738700212
0,3,0,0,1,1,53.94940886066525
2,2,0,0,0,1,54.50137456196756
3,3,1,0,0,0,45.68572183631704
4,3,0,0,0,1,51.512672063286914
6,3,0,0,0,0,45.82430837638288
3,3,0,0,1,0,47.22862514886747
6,3,0,0,1,1,53.815203304063424
1,3,0,1,0,0,49.04977973731888
5,3,1,0,0,1,51.73863129786112
4,2,0,0,1,0,49.050537233163325
3,2,1,1,1,1,52.73828543460647
5,2,1,0,1,0,45.06117483089913
6,3,0,1,1,0,45.27876549749938
5,2,1,0,1,1,53.04309130835202
3,2,1,0,1,1,53.263359461620695
5,3,0,0,1,0,45.84216489182876
3,3,1,1,1,1,52.33303410827773
2,2,0,1,1,1,53.1402174271183
1,2,1,0,0,1,54.89477026155202
2,3,1,1,1,1,53.2888421111392
5,3,0,1,1,1,51.56125636233055
2,2,1,0,1,1,54.36234487394926
7,2,0,0,1,1,52.910636553835104
2,3,0,0,1,0,46.46234011321316
1,2,0,1,1,1,54.73889127374342
5,3,1,0,1,1,51.52434435620541
2,3,0,0,1,0,46.95197615479583
3,3,0,0,0,1,53.35767847317591
3,2,0,1,0,0,47.89615979332939
3,2,0,1,1,0,47.60040205157683
3,2,0,1,1,1,53.92963393454343
2,2,0,0,0,1,53.57511519753267
6,3,1,0,1,0,43.28223668864532
5,2,0,0,1,0,48.06528412104655
6,2,0,0,1,0,47.57147591411783
3,3,1,1,1,1,52.39754485333824
3,4,0,0,0,0,46.12164051961975
6,3,0,0,0,1,49.75475035111358
7,2,0,0,1,0,45.989442462187206
4,2,0,1,0,1,51.868317506853344
6,1,0,0,1,0,46.76231415266452
3,2,0,0,1,0,45.42719932616786
3,3,1,0,0,1,51.97247861260163
-1,2,0,1,1,1,53.25354457668111
3,2,0,1,1,1,53.330236294846216
5,3,0,0,1,1,52.63855079997344
5,3,0,0,1,0,45.88406461122525
3,3,0,1,0,0,46.88791154992923
0,2,1,1,1,0,49.1098165792302
3,3,0,0,1,1,51.39903600789325
4,3,1,0,1,1,52.17371993445234
3,3,1,0,0,0,48.30042875267279
1,3,0,0,1,1,53.05771326794946
6,3,0,1,1,1,51.80205284079006
2,2,1,1,1,0,46.45726749988715
8,2,0,0,1,0,46.55708675735606
4,2,0,0,0,0,45.89333201750214
3,3,0,1,1,0,47.85260548272029
3,3,0,0,1,1,53.60846700563722
5,2,0,0,1,1,52.12856973910965
5,4,1,0,0,0,46.59356413398667
3,2,0,1,1,0,48.68286393464722
3,3,0,0,1,1,52.54457706744279
3,2,1,1,1,1,53.91841438245353
0,3,0,0,1,1,54.34150151359113
3,3,0,0,1,0,46.48335607953221
2,3,1,0,0,0,48.26897244828132
5,2,1,1,1,0,45.897964335269535
5,3,0,0,1,1,51.511053242394986
3,3,0,0,0,0,47.00449135043325
4,3,0,1,1,1,55.07791247702028
7,2,0,1,0,0,46.2299739331592
4,3,1,0,1,0,44.4202817936909
3,3,0,1,1,1,54.03586501752898
0,2,0,0,0,1,55.22330983431471
2,2,0,1,1,1,54.20770327092273
3,2,0,0,1,0,46.15575854863314
3,3,0,1,1,1,54.979252887846165
8,3,0,1,1,1,51.82899023695185
4,3,0,0,1,0,47.68296899594834
1,2,0,1,1,1,54.8629191942401
0,2,0,0,1,0,47.25991621137226
3,2,0,0,0,0,46.66074672799414
4,3,0,0,1,0,47.84122346802252
1,3,0,0,0,0,48.62667513943747
3,3,0,1,0,0,47.00980723804004
7,3,0,0,1,1,51.32624580529304
4,2,0,1,1,1,53.47118468218308
1,3,1,0,0,1,53.70806489353233
4,2,1,0,1,1,51.0210825973051
5,3,0,1,1,1,53.80471261107147
3,3,1,1,0,0,48.48411525773779
2,2,0,1,1,1,54.92982165090657
4,2,1,0,1,0,45.298639167605344
4,2,0,0,1,0,45.923671239592
3,2,0,0,1,0,47.63267102730809
5,3,1,0,0,0,46.713826936285166
5,2,0,0,1,0,45.49507745276632
4,2,1,0,1,1,53.83749711557288
3,2,1,0,0,0,47.08010467848473
3,3,0,0,1,1,52.96236572450843
4,3,0,1,1,0,47.83907582985131
2,3,0,1,1,0,47.124617149444894
9,2,0,0,1,1,50.993874643123
3,2,1,0,1,1,52.08815914120928
1,3,1,0,1,0,48.41805642236725
5,2,0,1,1,1,53.49994887547285
2,3,1,0,1,1,54.57537115320505
2,2,0,1,0,0,48.80887299258772
4,3,0,1,1,0,47.86966859365989
2,2,0,0,0,0,46.73879751860222
7,2,0,0,0,1,52.904592058827006
4,3,1,0,1,1,51.15875696222589
5,1,1,0,1,1,52.85558775558571
0,2,0,1,0,0,46.87864090799754
1,2,1,0,0,0,45.512271217448045
2,3,1,1,1,0,48.68517235606895
4,2,0,1,1,0,46.21527487798499
3,3,0,1,1,0,47.76538240867409
0,2,0,1,1,0,46.4088166196691
6,3,0,1,0,0,46.32674265638085
5,3,0,0,0,0,47.69497008382445
0,3,0,0,1,0,46.66263696259831
5,2,0,1,1,1,51.5653010841039
1,3,1,0,1,1,53.126702921495536
4,2,1,0,1,1,52.57375047385087
1,2,0,0,1,1,54.042611089773686
6,3,0,1,1,0,45.02225798420531
3,1,0,0,1,0,45.31824755448192
1,3,0,0,1,1,52.14471658180007
4,2,0,1,0,0,45.64493520763414
6,3,0,0,1,1,54.28316918125904
5,2,0,0,1,0,45.32293095569889
1,3,1,0,0,1,54.02749052013634
4,2,0,0,1,1,53.103517145510594
1,2,0,0,1,1,52.166741922614605
6,2,1,0,1,1,51.48894003870123
2,1,1,0,0,0,47.51448589254497
4,2,0,0,1,0,47.40734474322879
0,2,0,1,0,0,49.36782071332926
6,2,0,0,0,0,46.4507450541595
10,2,0,1,1,0,44.48678624742673
0,1,1,0,1,0,48.58372355478984
3,2,0,0,1,0,48.29327250158685
4,3,0,0,1,0,48.66530907468752
1,3,0,0,0,0,47.1200409289282
6,3,0,0,0,1,53.94662545371394
2,3,0,1,1,0,48.09067462779429
7,3,0,0,1,0,45.18670323909631
5,2,0,0,0,0,43.98819850648991
3,2,1,1,1,1,53.75874663598246
7,3,0,0,1,1,51.65470050133925
4,3,1,0,1,1,52.94525127552854
3,2,0,0,0,0,47.281518351405374
4,3,0,0,0,0,44.95303985266558
2,2,0,0,0,0,47.52777190752699
3,2,0,0,1,0,45.426126529203486
7,3,0,1,1,0,45.47616745538565
2,2,0,0,1,1,53.41372059856012
4,2,1,0,1,0,45.75684614505406
4,3,0,0,0,1,53.78449627482037
3,3,0,0,1,0,46.85183886245749
5,2,0,0,0,0,48.45543102973312
4,3,0,0,1,1,51.77847941009727
4,3,0,1,1,0,45.69486166631789
3,3,1,0,0,1,51.538126801715805
6,4,1,0,1,1,50.31094764494212
4,4,0,1,1,0,47.04578843795968
0,3,0,0,1,1,55.73421701813943
5,2,1,0,1,1,50.42223597668342
5,2,1,0,1,1,53.40673697060228
8,2,0,0,1,0,46.408848754731046
4,3,0,0,0,1,51.69947292378035
5,2,1,1,1,1,51.06943403767887
5,1,0,0,1,0,43.63863925674097
4,2,0,1,1,0,47.03718989048144
3,2,0,1,1,1,52.72467314508475
0,2,1,1,1,0,48.728868062378645
4,2,1,0,1,1,53.23721364446355
4,3,0,0,0,0,46.946830703279566
7,2,0,1,1,1,51.516100206633446
6,3,1,1,1,0,45.46098269677042
2,2,1,1,1,0,48.633887590648506
4,2,1,0,1,1,52.39156364193843
-1,3,0,1,1,1,54.66080272176775
3,2,0,0,1,1,54.38280489590138
2,3,1,1,1,0,47.61982075523918
8,2,0,0,1,0,46.12229293996387
5,1,1,0,0,1,51.4745829880945
6,2,0,0,1,0,45.62797528941391
6,3,0,0,1,1,51.543197663296105
1,2,1,1,0,0,47.92632339594776
7,3,0,0,1,1,50.55112287681006
1,2,0,0,1,1,52.21414822756522
5,1,0,0,0,0,45.54422463341142
0,2,1,0,0,0,45.25580599039927
2,3,0,1,1,1,54.27738352098424
7,3,0,1,1,0,46.567201282237136
