years_at_current_residence,household_size,previous_eviction_count,has_disability,receives_unemployment_benefits,received_housing_counseling_invite,attended_housing_counseling,housing_stability_score
4,3,0,0,1,1,1,61.377755673894086
1,3,0,0,0,0,0,51.49626120099124
0,2,0,0,1,1,0,52.75482836342693
2,3,0,0,0,0,0,55.04134099576053
1,2,0,1,0,1,0,52.66767177161215
6,3,0,0,1,0,1,60.879419663300745
1,4,0,0,1,1,0,51.82157452393704
4,3,0,1,1,1,1,61.74022032356383
0,3,0,1,1,1,1,60.52308725513269
7,3,0,1,0,1,1,61.199838175971976
7,3,0,1,0,0,1,60.04104467752785
7,4,0,1,1,1,1,60.61806452101048
3,2,0,1,0,1,1,63.70200380198021
7,2,1,1,0,1,0,51.98336044624004
0,1,0,1,1,1,1,61.453937160027984
0,3,0,0,0,1,0,52.8556194624723
5,1,1,0,0,1,0,51.43235888467208
2,3,0,1,0,0,0,54.5119562512956
4,2,0,1,1,1,0,54.540438981956505
4,2,0,1,0,1,1,60.016143824477886
1,3,0,0,1,0,0,53.60809715017533
4,2,0,1,1,1,1,60.61784500481305
2,2,0,0,1,1,1,61.23507295998448
4,2,0,1,0,1,1,62.99346820943849
3,2,0,0,1,1,0,53.02242187684138
3,3,0,1,1,1,1,58.879908143363856
2,3,0,1,1,0,1,61.6040121462174
1,3,0,0,1,1,1,61.95448491981604
3,2,0,1,1,1,1,60.925957305716544
4,3,1,0,1,1,0,52.7819934145146
2,2,0,1,0,0,1,62.63101260338696
5,3,0,0,1,1,0,54.14205370267875
1,3,1,1,0,1,0,53.310734323206525
4,3,0,1,1,1,1,60.39750186930579
2,3,0,1,1,1,1,61.67331472909386
2,2,0,0,1,1,1,61.7163031958327
5,3,0,1,1,0,1,60.62124010608152
6,2,0,1,0,1,0,54.01697789730643
5,2,0,0,1,1,1,60.76593756082508
2,2,0,1,0,0,0,51.814329121459295
6,3,0,1,1,1,1,60.77896867289756
7,3,0,0,1,1,1,61.32920697587849
4,2,0,1,0,0,0,51.86519449024767
7,3,0,1,1,0,1,60.52123017845349
4,2,0,0,0,1,0,51.81335438610126
3,3,0,1,1,1,1,60.75119135001006
3,3,0,0,1,1,1,61.066678497662906
5,2,1,1,0,0,0,54.14614661950129
5,3,0,1,1,1,1,60.9759842100766
7,3,0,1,1,1,1,61.09442968647534
8,2,1,0,1,1,0,52.97038507879442
4,2,0,0,0,1,0,52.08190205807679
7,2,0,0,0,1,0,52.85976547439814
1,2,1,0,0,1,0,53.82050141968576
2,2,0,1,1,0,0,52.033651127674624
6,3,0,1,1,0,1,60.70989702004999
1,3,0,0,1,1,0,51.93388730541436
3,2,0,1,0,1,0,53.02548927112932
3,3,0,1,0,0,1,60.69283476296069
3,3,0,0,0,1,0,52.85783174460976
1,2,0,1,0,1,0,55.284759360483456
2,2,0,1,1,0,0,53.48429306158476
6,3,0,1,1,1,0,51.921242829386166
6,2,0,1,0,1,0,50.881718781291625
2,3,0,1,1,1,1,61.30772021192841
2,2,1,0,0,1,0,50.90862032578759
1,2,0,0,0,0,0,54.13290031654884
2,3,0,1,0,0,0,52.85208682707479
1,2,0,1,0,1,1,61.88430503013337
7,4,0,0,1,1,1,61.06250329529792
2,3,0,1,1,1,0,53.69452084485734
4,2,0,0,0,1,0,51.42194803773193
3,2,0,0,0,1,0,54.91726356590921
6,3,0,1,0,1,0,53.204308528169136
2,3,0,1,1,0,1,60.45246357690824
5,2,1,0,1,1,0,51.50313028759463
5,2,0,1,1,1,1,60.12324610970002
4,3,-1,0,0,1,1,61.797375971488094
4,2,0,1,0,0,1,61.35680247877999
2,2,2,1,1,0,0,52.74126923898492
5,2,0,0,1,1,1,60.799688366998
0,2,1,0,1,1,0,52.53102499661944
9,1,0,1,0,1,1,60.82198425624342
3,2,0,1,0,1,1,62.987904786091406
0,2,0,0,1,1,0,51.88183131656277
3,2,0,0,1,0,0,53.03598790912884
1,2,1,1,0,1,0,53.97140727843349
3,3,0,1,0,0,0,53.43661087773521
1,2,0,0,1,1,0,51.25091633260035
5,2,0,1,0,1,1,60.26130719226912
5,3,0,0,0,1,1,60.35171154465121
3,2,0,1,0,0,0,52.84687727378906
0,3,0,1,1,1,1,61.69007470546818
1,3,0,1,0,0,0,54.13228353532455
1,4,1,1,0,0,0,52.312353979335285
5,2,0,0,0,1,1,61.81095259845659
3,2,0,1,1,0,1,61.01058174152043
7,3,0,1,0,0,0,52.65691833485868
5,2,-1,0,1,0,1,61.16527592832524
1,3,0,0,0,1,1,60.87439998869443
3,2,0,1,1,1,0,53.4592217886187
0,3,0,0,0,1,0,54.26124035039963
5,2,0,1,1,1,0,51.02414019508264
3,3,0,1,0,1,1,60.96748022088097
3,3,0,0,1,1,1,61.10574276146956
2,3,0,0,1,1,1,60.85336429822256
5,2,1,1,1,1,1,61.43127614010889
3,3,0,0,0,1,0,51.78405106255319
0,2,-1,0,1,1,1,63.97719037403792
9,2,0,0,1,0,1,60.49649139177989
5,2,0,0,0,1,0,52.97317002763035
5,3,0,0,0,0,0,52.821533398589935
5,2,0,1,1,1,1,61.81847887614892
4,3,0,1,0,1,1,60.49388440248001
4,2,0,0,0,1,0,53.050278543026565
3,1,0,0,1,1,1,59.09727434342046
4,2,0,0,0,0,0,52.70480890273354
4,3,1,1,0,0,0,53.50620496444606
1,3,0,1,0,0,1,61.30631880688955
1,3,0,0,1,1,1,60.12892114508725
9,3,0,1,1,0,1,60.76962921338499
3,3,-1,1,0,1,1,61.26598579890109
3,3,0,1,1,1,0,53.52406560266218
3,3,0,0,1,0,0,53.97595964036503
2,3,0,0,0,1,0,53.307783820360974
4,3,1,0,1,1,0,53.95414987984085
0,3,0,0,1,0,1,60.44781609495173
2,2,0,0,1,0,0,52.28043264390951
6,2,0,1,0,1,1,62.45032296986743
4,2,0,0,0,1,1,60.333079300799945
6,2,0,1,1,1,1,61.200444261798886
5,3,0,0,1,0,1,62.34589741885722
7,3,1,1,1,1,0,51.67140164398323
5,2,0,1,1,1,1,60.56704404057524
1,3,0,1,1,1,0,55.652074894190335
4,2,0,0,0,1,1,61.48742842921804
4,4,0,1,1,1,1,60.79555014247295
5,3,1,1,0,1,1,61.07094935495257
3,2,0,0,0,1,0,51.53641597630956
2,3,0,0,1,1,0,54.34956339603691
4,3,0,1,0,1,0,53.31071050980125
4,2,0,1,0,0,1,60.78712362948541
4,2,0,0,0,0,0,53.94836813972885
0,2,0,1,0,1,0,55.24305642104533
7,2,0,0,1,1,0,52.60219165325379
7,3,0,1,0,1,1,62.12208472001016
2,3,0,0,1,1,0,52.88197288180302
4,2,0,1,1,1,0,52.419263466577256
5,3,1,1,1,1,0,52.48474900746669
2,2,0,0,0,0,1,60.46606493002799
2,3,0,0,0,0,1,62.103458189244506
6,3,0,0,1,1,0,53.05744718931179
6,3,0,0,0,1,1,61.08304409506047
-1,2,0,0,1,1,0,54.20849269002944
6,2,0,1,1,0,1,59.62039746533444
4,3,1,0,0,0,0,53.50527448197138
0,2,0,0,1,0,1,61.23649109330988
10,4,0,1,1,0,1,60.77162977938745
0,2,0,0,1,1,0,53.157583877822105
7,2,0,1,0,1,0,50.90368263596086
8,2,0,1,1,1,1,60.87877673899555
6,2,0,0,1,1,1,62.25570251473581
4,2,0,1,0,1,0,53.68575126668684
2,4,0,0,1,0,0,52.441949146699
4,2,1,1,1,0,0,52.01270767665017
5,4,0,0,1,0,0,52.61579222576986
-2,2,0,1,1,0,0,53.84413995414749
2,3,0,1,0,0,0,53.53655041839016
0,2,0,1,1,1,0,53.892970039764286
-4,2,1,1,0,0,0,54.02740306958882
9,2,0,1,0,1,1,59.58408302915791
1,2,0,1,1,0,1,60.9980323443051
5,2,0,0,0,0,0,52.3321159487566
3,2,0,1,0,1,1,61.90040092140176
4,3,0,1,1,0,1,60.36829683480431
0,3,0,0,1,0,0,52.76280901923082
3,3,0,1,1,1,1,59.080084157154985
0,1,0,1,1,1,0,53.81695600412925
8,1,1,1,1,1,1,59.505923585213736
3,3,0,1,1,1,1,61.30986281383512
6,3,0,0,1,1,1,59.47009415425431
5,2,0,1,1,1,1,60.34421334698286
4,2,0,1,0,1,1,60.70487532724506
3,3,0,1,0,1,0,55.06909874347863
3,2,0,1,1,1,1,60.36333234229189
1,3,0,1,1,1,0,52.155938134749086
6,3,0,1,1,1,1,61.54860634971881
4,3,0,0,0,1,1,60.29970279177659
4,3,0,1,1,1,1,62.40395137503722
6,3,1,1,1,0,0,50.91249871789151
5,2,1,1,1,0,0,52.57225972149029
0,2,0,0,1,1,0,52.70557560305192
3,3,0,0,1,0,0,51.52686680407386
0,2,0,1,0,0,0,54.78612674383665
4,3,0,0,1,0,0,54.4570526302188
5,3,0,1,0,0,0,53.26088978253131
7,3,1,1,0,1,0,52.50296689067181
7,2,0,1,1,0,0,52.32320417195415
6,2,-1,0,1,1,1,59.55088961084076
4,2,0,1,1,0,1,59.82723313400699
3,3,0,0,0,0,0,53.21139168929796
7,3,0,0,0,1,0,52.75088733120655
4,2,0,0,1,1,1,61.39907236244327
8,2,0,1,1,0,1,61.106707156716624
0,2,0,0,1,1,0,52.368598933753695
4,3,0,0,1,1,1,62.1498765816288
3,3,0,1,1,0,0,53.95374745398142
2,1,0,0,0,1,1,61.60605175657456
7,3,0,0,0,0,0,53.276751103614565
3,3,0,0,1,1,0,53.3669821681942
8,3,0,0,0,0,1,61.28696922506088
3,2,0,1,0,1,0,53.28375318514591
6,2,1,1,0,1,0,53.28010547127708
1,4,0,0,0,1,0,53.29987984770288
1,3,0,0,1,0,0,53.26347534517552
2,3,0,1,1,0,1,61.89147321964938
4,3,0,1,1,1,1,59.35604097120945
2,2,0,1,1,1,1,60.51756787960192
5,3,0,1,0,1,1,60.13764408454293
3,3,0,1,1,0,0,53.01943402191025
3,2,0,0,1,1,1,60.31711226347584
3,3,0,1,1,1,1,60.47428152215144
4,3,0,0,1,0,1,60.467461934904335
0,2,0,0,1,0,0,54.42301099289729
5,2,0,1,0,1,1,59.98960685616727
1,3,0,0,1,1,0,52.82574439409824
2,3,0,0,0,1,0,53.94222498725973
7,2,0,0,0,1,0,54.00904291608776
6,2,0,0,0,0,0,51.55150196881005
4,3,0,1,1,0,1,63.40574394097358
0,2,0,0,0,1,0,52.65617648916487
1,2,0,0,0,1,0,52.849484756884856
2,2,0,1,0,1,1,62.63460889487691
7,3,0,1,1,1,1,59.69493577530155
1,2,0,1,0,1,0,52.80227472061563
6,2,1,1,1,0,1,57.37382396301491
1,2,0,0,0,1,0,52.3062509543288
5,3,0,0,1,0,1,60.66034590645655
6,2,0,1,1,0,1,61.79167586023361
5,2,1,1,0,1,1,61.88811733844605
0,3,1,0,1,1,1,60.05894247638568
0,2,0,1,1,1,1,62.10652798065723
4,3,1,0,1,1,0,53.41129964708384
4,2,0,0,1,1,0,53.18102807587295
4,2,0,0,0,1,0,54.33495117510218
7,2,0,1,0,1,1,59.25174314042909
3,2,1,1,1,1,1,60.366666316888
5,2,0,1,0,1,0,52.49403471732071
1,3,-1,0,0,1,1,62.9019770110764
4,2,0,1,1,0,0,54.438456435026055
4,3,0,0,1,1,1,60.32851962312274
2,2,0,0,1,0,1,60.11381835158503
6,3,0,0,1,0,1,61.1412609985175
8,2,0,0,1,1,1,60.175656559419686
2,2,0,0,0,1,1,64.03636983737253
7,3,0,0,0,1,1,62.30643584375095
4,3,0,0,1,1,1,60.57546333700118
5,3,0,1,0,1,1,61.36004272781234
4,2,1,0,0,0,0,52.80845659136342
0,2,0,0,0,1,0,54.532613865608646
4,3,0,0,0,1,1,61.26510378798106
5,3,0,1,1,0,1,60.10917499788807
5,2,1,0,0,1,0,53.69928119524472
2,2,1,0,0,1,0,52.00896648744303
2,3,0,0,1,1,0,51.3307892056876
0,3,0,1,1,0,0,53.43031344347108
3,3,0,1,1,1,0,51.682756184881846
1,3,0,1,1,1,0,52.45988333515518
3,2,0,0,0,0,0,52.6136893268945
2,3,0,1,0,1,0,54.33032886680122
6,3,0,1,0,0,0,52.72169511724696
5,3,0,0,0,0,0,55.24894037835273
3,2,0,0,1,1,1,60.56926631940009
4,3,0,1,0,1,1,60.970535434832286
5,2,-1,0,1,0,1,61.879875392149295
0,2,0,0,1,1,0,53.38840193095592
0,2,0,0,1,1,1,61.58786954367016
2,3,0,0,1,1,1,61.40902778135639
0,3,1,1,1,0,0,52.716675046156176
0,3,0,1,1,0,0,51.058371518290734
2,3,0,1,1,0,1,59.29765030294882
5,3,0,0,1,1,1,59.494745095923584
1,2,0,0,0,1,1,61.83684785289609
1,2,0,0,0,1,0,54.77279769379882
1,2,0,1,0,0,0,52.40638191676988
2,3,0,0,0,0,0,53.194227134887626
1,2,1,1,1,1,0,51.390218558272366
3,3,0,1,0,0,0,53.284073565777724
0,3,0,1,1,1,0,55.01764844677985
3,4,0,1,1,0,1,60.20681760943539
7,3,0,0,0,1,0,54.03078082057309
3,3,1,1,1,1,0,52.55846822339183
8,3,1,0,1,1,1,60.5157264821792
7,2,0,1,1,1,0,53.611622221691
6,3,0,1,1,0,1,63.20979772200335
6,2,0,1,0,0,1,60.5425364589792
4,3,0,1,1,1,1,60.46255334642922
4,3,0,1,1,1,1,60.08298598010784
3,2,-1,0,1,0,1,61.11313775836635
6,3,0,0,0,0,0,53.85407736831888
1,3,0,0,0,1,1,62.7935324126651
6,2,0,1,1,1,1,59.53407225383849
7,3,0,0,0,1,0,53.41382356077314
6,3,0,1,0,1,1,60.78062220686004
2,1,0,1,1,1,0,53.00834167096909
3,3,0,0,0,1,1,60.593409874763545
5,3,0,0,0,1,1,60.880079500611785
1,3,0,1,1,0,0,54.10043750595858
3,3,0,0,0,1,0,52.76329185777643
0,2,1,1,1,1,0,51.73721863778849
5,2,0,0,1,0,1,61.96230285900901
7,3,0,1,0,1,1,58.78815575692296
3,3,0,0,0,1,1,62.13706499714915
5,2,0,0,1,1,1,60.75423016997203
3,2,0,1,0,0,1,61.10693947804078
6,3,0,1,0,1,1,60.955031667931934
3,3,0,1,0,0,1,62.06308338004522
6,2,0,0,1,1,1,60.54395450523545
4,3,0,0,1,0,1,60.7388842432774
3,3,0,0,0,1,1,61.56714744450388
1,2,0,1,0,0,0,53.72903310687595
1,3,0,0,1,1,0,54.7546041468265
3,2,0,1,1,0,1,57.25821316006829
2,3,0,0,1,1,1,61.33434337817518
2,2,0,0,0,1,0,53.0906102865652
5,4,0,0,0,1,0,53.14388055477184
1,3,0,0,0,0,0,53.91548044764511
6,3,0,0,1,0,1,61.30959125799124
1,2,-1,1,1,0,1,62.530460592222894
3,2,0,1,0,1,1,61.67636595087741
0,3,0,0,1,1,0,52.2974654736712
4,1,0,1,1,1,1,59.47418552820837
5,3,0,1,1,1,0,53.08939060718656
2,3,1,1,1,1,0,52.95205649251527
3,2,0,0,0,0,0,52.50092127698263
3,2,0,0,1,1,1,60.014812886797046
7,2,1,0,0,0,0,51.62104225061287
2,3,0,0,0,1,0,51.79735156714466
4,1,0,0,1,0,0,52.26712178878165
5,2,0,0,1,0,1,59.24550035007172
4,2,0,1,0,1,0,51.93486787198436
3,3,0,0,1,1,1,59.1257702127289
5,2,0,1,1,0,0,51.833303065966106
9,3,1,0,0,1,1,61.33600392076488
2,3,0,0,1,1,1,61.78654080151348
7,3,0,1,0,0,0,51.42909291177321
3,3,0,0,0,1,1,63.07892752278459
4,3,0,1,1,0,1,60.0658805149675
7,2,0,1,0,1,1,63.0406928931205
0,2,0,0,1,1,0,51.53479053943083
0,3,0,1,1,1,0,55.120161441456005
3,2,0,0,0,1,0,53.89130602102274
2,2,0,1,0,1,0,51.44342999725088
6,2,0,1,0,1,1,61.92043160544792
8,2,0,0,0,1,0,52.36523280467564
5,2,1,1,0,1,0,52.78962121703588
3,3,1,0,0,0,1,60.822464089240114
5,3,0,0,0,0,1,59.85117971658764
7,3,0,0,1,1,1,59.33405467571776
2,2,0,1,1,1,0,52.20047182914645
3,1,0,1,0,1,0,55.85963918812238
5,3,0,0,1,1,0,52.46427704164729
7,2,0,1,0,1,0,53.19342467435842
0,3,0,1,1,1,1,61.97525673438051
3,3,0,1,0,0,0,52.3577978633818
3,2,0,0,1,1,0,52.53373626209228
7,1,0,1,0,1,1,60.00816165869268
7,2,0,0,1,1,1,60.88169315449365
1,3,1,0,0,0,0,54.40135753545521
5,1,0,1,0,1,1,61.54452129507308
3,3,0,0,0,1,0,54.94692639624999
1,2,0,0,0,1,0,54.6843802303864
3,3,0,0,1,0,1,59.84474366425737
3,2,0,1,0,0,0,53.57103965535519
6,3,1,0,1,1,0,52.26894785635993
3,2,0,1,1,1,1,60.09667935332754
1,2,0,0,0,1,0,53.82886171748043
3,1,1,0,0,0,0,53.01039098302805
4,3,-1,1,1,0,1,60.536323214029
3,2,0,0,1,0,0,54.34285675440698
9,2,0,0,1,0,1,60.58345510687963
2,3,0,0,1,1,0,53.01164749137477
5,2,0,1,1,1,1,59.534214639944864
4,2,1,1,0,1,0,55.431349111236514
2,2,0,1,1,0,0,52.473987999445896
3,2,0,0,1,1,0,52.14750865909462
3,3,0,1,0,0,0,54.05511215928756
3,2,0,0,1,1,1,60.68844118678077
0,3,0,1,1,0,0,52.1449331264957
1,3,0,1,1,1,0,51.275276901073696
1,2,1,1,0,1,1,63.85259913382541
4,3,0,0,0,0,0,50.77095260767255
2,2,0,0,1,0,0,51.4615719860681
0,2,1,1,0,0,0,53.768809980020194
1,2,0,0,0,1,0,51.92625495635691
-2,2,0,0,0,1,0,54.057720215018136
3,3,0,1,0,1,1,60.62081223265479
0,2,0,0,1,1,0,53.31659144856887
1,3,0,0,0,0,0,54.7224057664917
5,2,1,1,1,0,0,53.156377938557554
5,2,0,1,1,1,1,61.22021968106529
4,2,0,1,1,1,1,60.701516645956765
0,2,0,1,1,1,1,62.03785003306941
4,3,0,1,1,1,1,61.64176912696755
5,2,0,1,0,0,1,61.72773854470235
3,3,0,1,1,1,1,59.06344590328854
2,2,0,0,1,1,1,59.87304225579482
5,1,0,1,0,1,0,51.06370493737048
3,3,1,1,0,1,1,60.83636613648983
2,3,0,1,1,1,1,60.22487804439384
2,3,0,0,1,1,1,62.33239749383061
1,2,0,0,0,1,1,62.707430058534285
6,3,1,1,0,1,0,52.72751785172644
1,2,1,0,0,1,0,53.91927018004778
5,3,1,0,0,1,0,53.51224115501672
2,3,0,0,1,1,1,61.96691003053401
4,1,0,1,1,0,1,61.66545805650716
1,3,0,1,0,1,0,51.498568871525016
1,2,0,1,1,1,1,59.66515632939354
2,3,0,1,0,1,1,62.1155453277166
3,2,0,1,1,0,0,54.8301200202329
7,2,0,1,1,1,1,59.88564711540775
5,2,0,1,1,1,0,52.34553776891355
1,2,0,1,0,1,0,54.22705437923802
2,2,0,0,0,1,0,53.91360596356151
3,4,1,0,1,1,0,54.5573246771104
9,2,0,1,0,1,1,59.90037688164886
3,2,1,0,0,1,0,52.5736037870841
5,2,0,1,0,1,0,53.19063992349076
2,2,0,1,1,1,0,53.8953370986772
-2,2,1,0,1,1,0,51.14265448946761
0,3,0,1,0,0,0,52.43452621154615
3,2,0,1,0,1,0,52.134385632375306
4,3,0,1,1,0,1,63.23225141882512
3,3,0,0,1,1,0,51.42151499737343
6,2,0,0,1,1,0,54.57161687629056
4,3,0,1,1,1,1,63.03584772409406
5,3,1,0,1,1,1,61.195880619509005
8,2,0,0,1,0,0,52.24892065770904
1,2,0,1,1,1,0,54.63088973054715
3,2,0,1,1,1,1,60.645846423854856
2,3,0,0,0,1,0,52.72633212927253
4,3,-1,0,1,1,1,60.47031134631331
