individual_income,consumption_expenditure,inflation_rate,gender,rural_residence,trade_agreement,tariff_reduction,import_volume
6,29,8,0,1,12,79,302.02061479289443
11,27,7,1,0,8,77,293.4384839646637
9,32,8,0,0,10,84,316.46698777348826
4,27,14,1,0,7,74,291.9615815312165
10,31,11,1,1,7,84,318.6735753932238
7,29,0,1,1,7,74,280.5524306370238
10,33,13,1,1,10,88,335.3773267353936
10,28,8,1,0,8,76,290.914221624327
10,32,9,1,1,13,86,321.5627063765507
9,31,9,0,1,10,85,320.6398847505801
10,29,10,0,0,11,84,318.4916987399852
9,29,5,0,0,12,81,306.0180722706857
11,31,4,1,0,8,82,307.25529172319875
12,26,5,1,1,11,79,295.72355190645067
5,27,1,0,0,10,73,277.2582079517955
9,35,10,0,1,13,90,337.82284710312894
11,30,9,0,1,9,82,311.9035700080994
11,31,1,0,1,13,86,320.0579722711632
4,29,4,0,1,9,73,280.10439867997
4,31,14,1,1,10,82,318.9020717400356
5,28,8,1,0,6,73,283.78127986186047
10,25,15,1,0,12,79,304.20150989796605
12,30,10,1,1,11,83,313.07741641394034
10,28,7,0,1,10,78,295.3624331365347
14,30,8,0,1,12,84,314.95426205026354
15,32,6,0,1,10,86,317.078084300652
7,27,9,1,0,9,73,281.4832774034618
4,31,8,1,1,11,77,294.2038809113187
13,28,7,1,1,12,81,301.3500497916838
14,30,10,0,0,10,84,315.6128352866863
10,31,5,0,1,7,81,303.3129128362909
10,31,14,1,0,8,85,324.117542409408
15,28,10,1,0,8,79,297.39482395473675
9,27,11,0,1,9,80,304.7776106842138
10,27,0,1,1,7,76,283.4956120217677
10,26,8,1,1,11,77,291.5424646453947
10,31,13,1,0,10,85,323.4850707003174
10,28,11,0,0,10,80,305.09582338621885
7,29,13,0,1,8,78,298.5986113398971
15,32,7,0,0,13,89,328.46495395844653
8,29,3,0,0,8,75,283.3297151399451
7,29,7,1,1,10,78,298.6015756559984
8,28,4,1,0,9,74,279.85578792381864
9,31,8,1,1,11,83,313.296367558788
7,32,4,0,0,8,77,289.343419394482
7,25,0,1,0,13,74,277.2544347882826
11,35,10,0,1,7,88,332.2905140320638
4,26,10,1,0,5,72,282.99506086568533
11,27,6,1,1,9,76,288.12722249926253
6,31,6,1,1,9,81,309.1560977353772
8,30,8,0,1,11,82,310.0363066426981
7,31,7,1,1,11,82,309.9294602462545
15,27,13,0,0,6,82,312.99233174131257
10,31,4,1,1,12,83,308.9945751217091
9,35,8,0,0,7,89,334.6123431098132
10,32,5,1,0,6,83,313.4475646077366
9,32,9,1,1,7,84,321.4760169757336
8,31,15,1,1,10,84,321.7941613701848
9,31,5,1,0,10,81,306.5329082137489
7,24,8,1,1,10,74,289.70063017974263
2,31,8,1,1,9,73,282.91710923861586
10,29,11,0,0,5,78,299.01446683072555
11,32,9,0,1,7,83,309.5360782995145
8,28,7,0,1,10,75,283.8910253697641
8,29,11,1,1,10,81,308.79486726670945
9,29,12,1,0,9,83,318.3521283612087
9,26,3,1,1,7,71,271.5910756998476
12,33,11,1,0,11,88,332.26919474531326
5,27,6,1,1,5,72,278.7656661465457
6,29,6,1,1,7,77,292.9227074769242
8,25,10,0,0,12,74,284.40975186299875
11,31,12,0,0,6,83,313.851544754882
6,29,8,0,1,9,81,310.0797994072118
14,29,8,1,0,13,83,310.6845117861271
6,29,5,0,0,11,75,284.94669455859645
7,27,11,0,1,9,80,305.4352018147616
7,31,9,0,0,7,80,307.4665746472986
4,33,6,0,1,11,81,307.05405957972147
5,28,8,0,1,8,77,294.9095146990142
6,33,5,1,0,9,81,306.9611050581234
13,26,12,1,1,8,79,302.67203949172665
11,29,8,0,1,10,79,299.87198982988184
7,29,4,1,0,11,75,282.511253270472
16,31,12,0,1,9,87,327.01999492455104
12,31,8,0,0,9,84,313.863424081523
9,31,7,0,0,8,81,308.0794800314204
9,29,2,1,1,12,77,287.6344226541371
6,31,8,1,1,7,79,303.2309473192765
7,29,14,1,1,10,80,307.80857327775703
8,29,6,1,0,10,76,287.29530116404896
16,34,7,1,0,12,91,334.71828018858025
7,29,6,0,1,13,81,309.20871173118
4,32,6,0,1,12,80,301.18264816627334
14,31,9,1,0,12,88,328.67493481163854
7,28,5,0,0,11,80,306.1458465833181
12,31,1,1,0,6,81,301.02159101761833
9,32,7,0,0,9,84,315.7098365311179
9,30,7,0,0,11,81,302.71078412867274
6,28,9,0,1,8,77,294.3355800030687
9,29,11,1,1,16,81,305.11997078558346
12,28,9,1,0,10,81,306.9315439843482
5,32,5,1,0,9,79,300.18002573649363
10,33,15,1,1,10,85,319.8794462292109
12,29,11,1,0,8,82,311.9907951940351
7,30,10,0,1,8,81,307.39174836608044
11,32,4,1,1,8,81,301.86722182661987
10,30,11,0,1,11,80,301.4417409689274
14,35,3,0,1,5,87,320.9053732728089
9,29,11,1,1,9,80,303.1967799843119
11,26,5,0,0,6,76,290.0515438901775
14,30,10,0,1,10,85,316.7817137424514
12,33,6,1,1,10,87,325.3821521112746
10,28,4,1,0,10,77,291.76009420762097
8,29,6,1,1,9,77,293.9734544136385
9,29,6,1,1,9,79,298.7261992060506
12,27,8,1,0,11,81,308.58704189279274
13,26,9,0,0,3,75,287.6493549916933
6,30,12,0,1,10,79,306.095242901591
10,23,10,0,1,13,74,283.86242012026906
12,31,11,0,1,10,87,325.9385780010791
6,32,12,1,0,8,83,319.3426417377757
5,30,13,1,1,9,78,304.07808238073096
11,29,11,1,0,11,83,316.7655130802078
6,29,4,1,1,8,77,294.20558718099375
9,29,4,1,1,8,77,290.76325111171707
9,28,5,0,0,11,80,304.40462840345344
8,29,-2,0,0,10,76,283.5804918835252
10,30,7,1,1,12,81,304.44050333316267
6,31,9,1,1,11,82,314.73258281221484
11,29,4,1,1,9,80,302.29650975776053
6,28,7,0,1,8,77,295.4870009638993
12,26,12,0,1,9,80,303.7154484144697
14,33,13,1,0,11,89,334.8521470495016
14,30,3,0,1,7,83,306.03188988377866
6,31,8,0,1,6,77,292.26000060127404
13,27,8,0,1,9,80,300.68235092644835
5,33,11,1,0,11,83,319.134025537258
9,28,9,1,0,7,76,289.7649978826029
10,32,12,1,0,9,85,321.2544851940144
14,32,9,1,1,7,87,325.61454179257464
13,24,7,1,1,11,76,285.9357518223352
14,31,9,0,1,9,88,332.2331760366703
9,29,7,1,1,4,76,289.23677983176435
8,28,10,1,0,12,81,310.1098258840629
7,27,8,1,1,11,75,286.4810107711293
4,25,9,1,1,8,72,282.86463831151536
6,27,7,1,0,10,74,286.0999662363565
9,36,4,1,0,10,85,317.72752022966245
12,31,10,1,1,9,86,324.9032061968356
13,27,10,0,0,13,82,310.5868556885033
7,31,13,1,1,12,82,313.0904884322625
8,28,9,0,0,12,79,299.6336668295307
6,28,4,0,1,9,75,285.78116403949656
10,31,7,0,0,11,83,311.2997551551579
4,27,6,1,0,9,69,267.5185920803862
11,31,7,1,0,9,81,307.57300296514984
13,28,8,0,1,11,84,316.08301269082324
6,29,6,1,1,10,75,287.0931333048585
11,32,10,1,1,13,87,327.065321847848
9,34,11,1,1,8,87,328.1494066340539
8,29,8,0,1,8,79,299.9140112999254
9,30,8,1,1,8,80,301.24043376616646
8,29,8,1,1,7,78,297.9022119694516
10,28,9,0,1,9,79,298.2638641193212
8,28,2,1,1,12,76,287.78275155240493
10,29,8,1,1,7,77,291.9862018713432
6,31,8,0,0,9,80,305.3886513862193
7,33,5,0,0,12,82,307.54343534781265
11,27,5,1,1,6,76,290.1961801446019
11,30,7,0,0,14,87,325.92666290891185
7,26,4,0,0,11,74,282.81666751396045
7,31,4,0,1,11,81,305.3634110262197
11,32,6,1,0,8,81,305.12867658900814
7,28,3,1,0,10,73,276.8818959081583
10,30,10,0,1,10,82,312.6690425129356
9,28,8,1,0,9,77,294.0252081955362
8,33,6,0,0,11,87,326.3868054231863
10,33,11,1,0,7,84,317.2448699815804
12,28,9,0,0,9,82,311.28121933333927
10,30,1,0,1,12,79,295.60807146999827
10,31,11,0,1,9,86,325.3054970444145
9,32,12,0,1,8,83,314.74736020406624
3,29,6,0,0,9,73,281.4811695684267
9,26,6,1,1,7,76,290.3104958373263
5,27,6,1,1,11,75,287.554988346941
10,29,10,1,1,7,79,300.0348209817756
10,30,8,0,0,11,81,305.2455900781834
6,29,5,0,0,9,76,289.91946854119914
11,30,10,1,1,10,84,318.31101913973697
5,32,7,0,1,9,79,298.88951399368534
13,31,7,1,1,11,87,324.495126522796
5,29,3,1,1,12,77,292.1187130682559
7,33,6,0,1,9,84,316.9280824282522
12,27,10,1,0,8,79,303.28712662328286
16,28,14,1,1,8,86,326.6797233273178
4,30,10,1,0,12,78,303.48785191414123
7,26,7,1,1,12,76,291.4915695668204
7,27,15,1,0,10,78,305.0655604081466
11,29,12,1,1,13,83,314.25668121619685
16,32,11,1,0,12,92,343.4832818596189
7,28,12,1,0,12,80,309.02278906303127
11,27,4,0,1,9,77,287.15859911044225
7,31,9,0,1,9,79,302.07948453797354
0,30,5,0,1,8,74,283.7481835331432
9,34,6,1,1,9,85,316.47040319121027
13,27,4,0,1,11,80,298.47149892593615
9,29,13,1,0,6,79,303.8042046995225
6,32,4,0,1,7,79,298.7875304970348
12,31,6,1,0,11,86,320.92896919698467
10,27,2,0,0,9,75,282.2082842846018
9,32,7,1,0,10,81,305.1182252906838
7,32,5,1,0,8,79,300.5502158358951
10,31,6,0,1,8,82,310.1415192141809
9,31,8,1,1,9,82,308.4642189471823
8,27,8,0,0,11,79,301.8842677089428
12,29,14,0,1,13,89,334.5777366011956
11,32,6,1,1,9,83,312.3905963726005
8,29,10,0,0,10,80,304.3151077517373
11,33,12,0,0,10,87,327.7047636363901
9,32,3,0,0,11,83,311.6080777597953
11,31,10,1,0,11,86,326.34383379219094
11,33,6,0,1,10,86,320.99613248515925
9,32,8,0,1,9,84,316.121049818311
8,29,4,0,1,10,78,295.4763954295529
8,31,3,0,0,9,80,299.4786258527675
8,33,5,0,0,15,87,323.8592737219437
5,30,7,0,0,9,79,300.6163668531391
10,29,8,1,1,11,81,306.21309118856584
10,29,1,1,0,8,77,289.7263718435009
11,31,5,0,0,7,80,300.1948198559789
9,35,9,0,0,10,90,340.1794980072056
7,32,5,1,0,9,80,304.5239751620976
13,29,13,1,0,9,82,309.8364188654795
8,26,0,0,0,11,75,279.10747275951275
13,32,6,0,0,10,86,323.337123472817
9,30,12,0,1,10,82,311.9428499562816
12,32,4,1,1,7,83,309.9943734871321
10,26,11,1,1,8,74,282.9519213900271
6,28,8,1,1,12,79,302.3827611045379
12,28,7,0,1,10,79,297.32114549648344
7,30,4,1,0,12,81,307.369734504552
8,33,11,0,1,10,86,325.9674404100611
10,29,3,0,1,11,79,297.57780563930453
7,29,12,0,1,8,79,303.2666854661139
13,30,12,1,1,11,85,317.5974030009372
6,27,9,1,0,12,73,283.614955546844
14,27,7,1,1,11,81,305.59222683911406
9,28,9,1,0,4,77,296.7223338508513
17,26,9,0,0,6,80,303.1964176478803
6,31,2,1,0,11,79,297.2124528953688
9,29,11,0,0,6,80,306.4550779476792
14,30,4,0,1,12,85,314.1455861318953
2,26,6,1,0,5,66,258.5356825154021
11,28,10,1,0,8,77,292.72410974549365
9,33,13,0,1,8,85,320.69691418072074
8,33,9,1,1,10,85,323.7153431060729
15,27,5,1,0,8,81,303.94978031954145
8,30,8,1,1,11,81,309.6360271392288
9,30,5,0,1,8,78,296.5702027609501
11,29,8,0,1,8,80,303.15009254297627
7,30,8,1,1,11,79,300.3654274904998
9,30,10,0,1,11,81,307.8467450468412
7,26,11,1,1,9,75,288.6808708853197
8,27,9,0,1,11,79,302.80794324131386
12,33,7,1,0,9,83,310.4601995874012
6,29,14,1,0,11,77,298.17807984878453
13,29,7,0,1,13,85,318.248392115078
6,25,6,0,0,11,74,284.9787987919796
11,28,10,1,1,7,78,295.2588351082011
10,31,5,1,0,9,82,309.8882999301268
16,28,6,1,1,10,83,308.7521620178994
9,27,8,1,1,11,79,301.1391931230452
8,31,4,1,1,11,79,297.0712534623783
10,29,6,1,0,13,79,299.2265942446176
9,29,9,0,0,8,80,304.219300507324
1,31,11,1,0,10,77,301.8539808019639
8,28,6,0,1,10,79,302.39770897469253
9,31,5,1,1,12,83,312.20614598980154
4,23,10,1,0,11,69,275.28990649744867
9,31,8,1,0,9,81,308.260084219489
12,30,5,0,0,4,78,294.1212416292934
11,26,10,0,1,7,81,311.63653242652447
3,30,2,1,1,10,75,286.03970957017503
10,26,9,1,0,10,77,295.2847870238864
12,30,6,1,0,12,84,316.19593138945544
13,29,10,1,1,7,81,304.64489579165803
11,32,6,0,1,8,86,321.8317625331675
9,30,10,1,0,11,82,311.564765211517
8,29,7,0,0,10,79,301.83454251611164
8,31,8,1,0,12,81,304.9128465738484
13,28,5,0,1,7,76,284.7638495998136
7,28,12,1,1,9,76,294.77543945847043
6,29,15,1,0,11,78,303.10509728401155
8,29,8,0,1,12,80,303.6920402786963
9,31,5,0,1,13,83,309.72532164838265
9,28,6,0,1,7,77,293.58806733707235
11,31,7,1,1,7,81,306.5098156728798
14,30,3,0,1,8,82,304.0955622075288
6,30,8,0,1,9,79,298.8391517879959
12,29,7,0,1,12,83,311.338904033298
11,29,7,0,1,9,83,312.7703365398119
8,32,9,1,1,8,83,312.3530125083008
6,27,9,0,1,8,76,294.10684158440097
6,31,10,1,1,10,82,314.084876983832
8,27,9,1,1,9,75,287.26247875835696
11,27,12,1,1,8,79,304.50628398803866
8,29,5,1,0,8,77,293.2921198462864
11,29,7,0,0,12,82,305.3522811091347
9,33,3,1,1,9,79,295.5430175033598
12,25,6,0,1,12,79,299.0514034467533
8,28,10,1,1,11,79,302.2193556823421
11,31,6,1,1,9,83,311.6181207571026
12,33,3,0,1,8,85,313.2363171518808
15,28,13,1,0,10,83,313.65825416382967
9,31,2,1,0,10,77,285.1067894134893
12,28,8,1,1,7,77,292.27552968635035
8,29,6,1,1,10,79,300.3230992436616
7,30,7,0,1,9,80,299.8506783014408
12,27,5,1,1,9,78,295.890672769338
12,28,5,0,0,8,78,292.1153587927812
10,28,5,1,0,8,78,295.518842067074
11,32,9,0,1,14,86,323.8401415562405
9,32,11,0,1,11,87,329.0250861829441
11,28,2,1,1,7,78,291.9432510299996
12,29,7,0,1,11,81,305.88695034975166
8,34,11,1,1,9,85,322.1607374066072
10,28,11,0,0,8,79,302.124452338072
9,28,9,0,1,3,76,289.498225141308
11,28,4,0,1,13,78,290.4757358064133
4,29,6,1,0,10,77,292.53079506047885
8,30,5,0,0,8,77,290.5497560599579
7,32,8,0,1,9,83,314.2587586111425
11,33,13,0,1,10,89,337.5733487662766
11,25,3,0,0,10,74,278.4068867133501
9,28,7,0,1,6,78,298.2423307591276
6,30,6,1,0,10,78,297.4122273585628
13,28,10,1,0,11,82,308.67674216658884
12,32,6,0,1,12,84,310.4087413741459
7,32,13,1,0,7,83,319.0650934923329
12,29,9,0,1,8,82,311.6554119142252
9,27,1,1,1,9,72,274.67987974879594
11,28,8,0,1,10,79,297.6275791803479
11,29,9,1,1,8,80,303.4142024324825
6,32,11,0,0,7,79,302.1536260844575
9,26,5,1,0,9,72,274.11632624074804
9,30,8,1,1,11,83,316.3012017394568
9,30,7,1,0,4,77,296.10170389386747
7,29,6,0,1,10,77,289.38763662954625
12,30,7,1,0,9,81,306.0461208483812
9,25,7,1,1,11,73,278.86055248231224
6,31,3,0,1,9,79,299.0287953342916
10,28,8,0,1,9,77,291.50334679020216
5,25,7,1,1,12,73,282.30748741714314
9,29,10,1,1,11,80,302.3624246416699
12,31,10,0,1,10,83,312.7104522908227
14,28,8,1,0,9,81,305.3731232098732
17,31,10,0,0,10,90,336.8175453003353
8,26,3,1,1,12,76,286.4970681674122
3,31,5,0,0,10,79,301.51646723206574
9,30,8,0,1,7,81,306.4741338795398
7,29,7,0,1,8,77,292.66905331511686
14,28,5,1,1,9,79,293.7902337970662
6,28,7,0,0,10,77,298.23915170107665
10,29,11,1,0,13,83,316.47950506833
11,31,12,1,1,9,86,325.8492956281454
5,31,6,1,0,7,79,304.89571579404327
7,38,13,1,1,11,90,340.2244885419632
6,30,6,0,0,10,78,299.0311980879767
4,30,7,1,0,9,76,293.1011215906454
12,28,9,1,1,12,82,310.0452553034209
12,29,5,1,1,12,81,302.73034695250954
9,26,8,1,0,10,73,280.6926636544391
10,33,16,0,1,11,91,343.81654167984743
11,31,6,1,1,8,81,304.2488828663799
11,33,7,0,1,13,87,321.12873263044025
9,33,6,0,0,9,81,301.1883163681135
6,32,3,0,0,12,79,295.6290702693765
13,31,3,1,1,9,83,308.4073035027551
9,31,9,1,0,10,80,305.46107707815213
10,32,11,0,0,8,85,321.4913465324539
11,33,14,1,1,10,89,334.5435440845126
15,28,3,1,1,11,82,303.7701561243921
6,28,2,1,1,8,72,274.6062826927247
12,25,6,1,0,12,79,300.01765605759545
4,29,7,1,0,10,76,294.3075664205686
8,32,4,1,0,6,78,296.41798333527163
8,30,11,1,1,9,82,312.4050167628627
8,29,3,0,1,8,77,291.00415168753227
10,30,5,1,1,12,80,300.74205103594613
8,28,13,0,0,10,80,307.9663507750343
7,30,10,0,0,7,81,311.1997042184006
12,31,8,1,1,17,87,322.9023471264084
8,31,1,0,0,8,76,283.7333410647721
12,33,13,1,1,9,88,332.73110123817736
10,30,7,1,0,8,79,298.1408824359266
11,26,9,0,1,10,83,315.9037203233132
9,25,9,1,1,10,76,292.5522249177103
12,26,6,0,0,7,78,295.67888608354025
14,32,9,0,1,7,87,324.2283946538517
9,31,7,0,0,11,82,309.4979865095133
10,28,7,1,1,6,78,298.48543501572425
11,26,8,0,1,10,78,295.5997313316706
6,29,8,0,1,10,77,293.8837514135159
9,29,14,1,1,7,79,303.610722598473
7,30,12,0,1,7,79,302.946475516896
8,29,9,0,0,8,77,297.49153845673584
15,25,16,0,0,11,84,320.5595408467693
7,32,3,1,0,10,79,296.09492405395514
8,31,1,0,0,12,82,306.52779756888947
12,32,4,1,1,9,83,311.7843853914698
9,31,12,1,1,12,85,321.23596423581864
9,31,4,1,0,9,79,297.3469363166922
10,30,7,1,1,10,82,308.6444421560932
8,28,9,0,1,9,79,300.63241619828966
12,31,6,0,0,13,86,320.560868670776
10,28,10,1,0,7,80,306.4117072815898
11,31,7,1,0,10,81,305.07164001220104
14,28,8,1,0,9,81,303.47559503141457
13,30,9,1,1,12,86,321.453399472329
8,33,9,1,1,11,85,319.94874791575705
8,29,7,1,1,11,80,302.3491289490012
6,29,5,0,1,9,77,294.13823008935555
14,27,12,1,1,6,80,305.45674139100413
13,30,9,1,1,9,88,331.71795039756256
8,34,7,1,1,7,82,308.9281444892498
3,31,8,0,1,9,77,294.4953358891055
8,31,12,1,0,10,86,326.8921281453452
7,28,10,1,1,9,76,293.5973544191184
10,29,10,0,1,14,83,310.8263043540344
10,30,8,0,0,7,79,297.7059109011823
13,27,6,0,1,11,79,295.6166286799711
10,31,4,0,1,12,83,307.9260335661883
11,32,8,0,0,14,87,323.5208455270506
8,29,4,1,1,13,79,299.0438998805667
12,28,10,1,1,9,82,311.7976127155591
9,30,1,1,1,11,81,303.1108737483086
14,26,14,1,0,8,81,307.9848709452092
12,28,7,1,1,11,82,312.5160828805235
3,28,11,1,0,7,74,289.4710281771549
14,29,5,0,1,7,82,307.6593378995819
9,30,7,0,1,9,80,302.10350850936294
9,27,7,0,0,6,76,290.3361938220866
11,30,10,1,0,9,83,314.2734245358415
14,28,13,0,0,10,83,313.42499657208265
12,28,8,0,0,10,81,306.34750976339694
7,31,7,0,1,13,85,323.0138583008206
5,27,8,0,1,8,75,288.5926337330164
9,31,8,0,0,8,82,311.5705103849583
5,30,9,0,1,6,73,280.1486980434859
8,31,6,1,1,7,78,296.6889409008322
9,31,6,1,1,11,82,308.0616098985948
2,29,8,0,0,11,75,289.2566405829591
12,32,3,0,0,9,84,314.28691928964497
7,30,6,1,1,7,77,293.83401906318807
18,31,7,1,1,7,86,319.29215148780816
14,27,5,1,0,10,80,296.9727144581857
8,28,7,1,1,11,80,303.8753089511301
7,29,3,1,1,7,75,281.87083419191947
11,27,13,0,0,7,77,295.4483729222929
10,29,5,1,0,7,76,288.3339273197471
11,27,4,1,0,11,79,298.92385259516385
7,27,0,0,1,9,74,281.10605388266106
13,29,3,0,1,10,82,305.9015961290248
10,33,4,1,1,8,84,315.74423102081005
12,31,4,1,1,7,83,312.13644430246666
6,31,10,0,1,5,80,305.0212573209673
4,31,11,1,0,12,82,316.153287347368
9,27,6,0,1,7,76,288.82345605957914
8,31,4,1,1,13,83,313.3269920081781
10,28,3,0,0,4,75,282.4947837625158
14,28,6,1,0,10,80,300.7087727168562
5,27,8,0,0,8,73,282.1317908134072
9,28,8,0,1,10,79,300.64563099848823
9,26,7,1,1,10,75,283.2751210612478
11,31,6,1,0,11,83,310.7120909540135
5,30,10,1,0,9,78,300.41524592175347
6,29,7,1,1,11,80,307.0385989070461
12,28,0,1,1,10,78,289.97006806791063
6,31,8,1,1,9,82,312.5798830383948
11,30,15,0,0,8,84,321.42208623024266
9,33,1,0,1,11,83,307.7116168243898
6,28,10,0,0,10,75,288.85936242441875
11,30,6,0,1,10,83,310.3105511547774
13,31,7,0,0,11,85,315.2083151775033
9,31,4,0,1,8,80,301.7263191995013
9,30,6,0,0,8,81,306.51832838151074
10,28,1,0,1,11,76,281.9954221087901
13,25,6,0,1,8,76,287.6488941679852
13,30,6,1,0,10,83,312.12742723007955
13,30,10,0,1,7,85,321.0865378303951
12,31,12,1,0,10,86,325.2986031778383
14,30,10,0,0,7,84,316.83402417130526
4,27,7,1,0,9,73,283.27378112569227
7,30,3,1,0,5,77,296.13754418046807
5,30,8,1,0,6,75,291.0295768463886
8,27,15,1,1,10,79,306.89346726315443
12,36,6,1,0,10,88,326.3036953237076
7,31,8,0,0,11,81,305.31082723802444
7,35,5,0,1,6,84,314.9401621487349
15,29,6,0,0,9,81,305.4134620978037
8,27,4,1,0,11,74,279.77285005071826
11,32,10,0,1,7,84,317.3229128478762
7,26,6,1,1,6,73,282.04755570484843
8,29,14,0,1,11,83,318.7850081054749
7,29,9,1,1,12,80,304.7861514221468
9,31,11,1,1,10,83,313.7234480527024
4,32,5,1,1,11,77,294.2973842675277
6,30,8,0,1,10,81,309.1486700736182
7,28,8,1,1,8,77,296.2156939909213
7,34,12,1,1,10,86,325.94216104748284
6,29,9,1,0,6,75,291.16217799055454
13,33,7,1,1,8,84,312.79485649639764
5,31,12,0,0,11,85,328.0213354090491
12,27,10,1,0,13,81,306.72761891089993
8,33,12,1,0,9,81,309.559437498953
8,25,6,1,1,13,75,288.5959976115168
8,31,9,0,1,10,85,322.26648780493935
6,28,5,1,0,12,75,285.04405370304227
7,26,5,1,1,14,75,287.1708823605266
4,28,9,1,0,11,74,287.07737789974504
7,32,10,1,1,12,84,320.5198008319068
11,34,5,1,0,9,85,315.92851361084803
12,32,3,0,1,8,82,304.2181226510935
15,28,5,1,1,10,81,300.44354530491074
20,28,4,1,1,12,86,316.5076616880149
10,29,3,1,0,10,81,305.922581639342
9,29,9,0,1,11,82,310.1833228702252
10,30,4,0,1,8,77,285.91188304238665
10,32,9,1,1,8,84,318.8567727526619
8,29,8,0,1,10,78,295.6867179681822
8,29,1,1,0,12,78,294.8057689170363
11,27,9,1,1,12,79,300.8774090024324
6,33,6,1,1,10,81,306.93038521745524
8,30,1,1,1,8,77,290.3294060091381
9,28,4,1,1,8,80,303.3508435885533
10,29,9,1,1,14,83,316.0693622324153
10,28,5,0,1,9,77,291.3230531321061
8,29,7,0,1,11,78,299.1489777711206
8,32,11,0,1,11,83,316.00350416491733
10,28,8,1,1,11,77,291.0697070928744
10,29,10,1,1,7,77,293.7612126311667
12,31,6,1,1,10,82,308.757414189847
12,32,3,1,0,12,85,314.50338982397227
4,27,10,1,1,7,73,285.7931323041486
13,28,2,1,0,9,80,298.67746738555417
11,32,13,1,1,10,87,328.7191317682747
9,28,9,0,0,12,82,312.6104374671615
10,27,7,0,0,10,77,293.8096370783682
12,29,8,0,1,12,83,311.6690311978009
6,28,9,0,1,13,79,300.24477029804933
11,28,8,1,1,11,79,299.5619240937704
12,32,8,1,0,9,86,321.27699783730617
12,28,12,1,1,13,83,316.0831061585559
11,29,9,1,1,7,80,306.3307531189042
7,28,3,1,1,9,75,284.7410151341492
9,29,8,1,1,10,81,309.01750255777586
8,29,11,1,0,9,78,302.0900413094785
10,26,9,1,0,10,78,299.5213693422111
11,33,12,0,1,10,88,332.64958984434617
1,30,6,0,1,6,72,278.2874603215685
7,32,14,0,1,8,85,325.37535176289094
6,32,11,1,1,10,81,309.7511044125238
10,29,11,0,0,10,82,311.1302634128246
