age,income_level,gender,minority_status,political_engagement_score,policy_exposure,post_policy_satisfaction
6,6,1,0,13.478963519120953,1,14.000236660031538
10,5,1,1,12.252001284849884,1,12.20313889296463
12,7,0,0,15.847971240553136,1,15.061132330394743
8,3,0,0,6.984586686162733,0,0.9331365963153472
10,4,0,1,12.19614887451496,1,12.03229316381232
11,4,0,1,9.850947217007446,0,5.054746247984631
5,4,0,0,14.35323320522743,1,16.011391480628717
5,6,0,0,11.72904827363631,0,9.04084063934778
11,4,0,0,15.057466849745854,1,13.802851064040912
11,6,0,1,12.061514321090792,1,12.338662610627264
9,7,0,0,14.87508086308692,1,14.666927403728264
10,6,0,1,15.84332049554573,1,15.513503727404292
12,7,1,1,13.845257449575094,1,13.64838304861184
8,5,1,1,10.765420432330831,0,6.232797885469346
8,6,1,1,12.11004409069235,1,12.865135952777504
11,7,1,1,12.977282505119517,1,13.69519954272806
12,3,0,0,12.141903024369723,1,12.56719990324391
11,5,0,1,12.440408243653264,1,12.60232263377378
8,5,0,0,13.15076082462754,1,13.34064806940038
4,3,0,0,13.055330657388192,1,14.984678933437133
8,4,0,0,12.204595297698916,1,13.350350343853847
6,7,1,0,12.157749019653007,1,13.78109963129088
7,6,0,0,15.826769146869196,1,16.305100352029847
6,5,0,0,11.854779745025027,0,8.130719538378402
1,7,1,0,11.3300567607013,0,8.712508720028048
7,7,0,0,15.1507331869703,1,15.8288885313335
7,6,0,1,11.443381479347448,0,6.557496229130901
9,5,0,0,9.864250619297913,0,4.148158968350237
7,8,0,0,9.075535642946388,0,3.685207952251866
10,4,0,1,12.908162241971558,1,14.24584913523777
6,4,1,1,13.111694135468785,1,14.219807051833849
12,6,0,1,9.100552635127908,0,2.2700784892208405
7,4,0,0,13.048394818561594,1,14.75813523852165
8,5,1,0,10.131804250435202,0,5.468584283534652
9,8,0,0,13.377221558619915,1,14.014147044477252
8,6,1,1,10.742297634529766,0,6.181272939907038
4,7,1,1,11.533490201394788,0,7.797824252121051
4,6,1,0,9.216753608642296,0,4.448436812551669
5,7,0,1,12.39670429038805,1,13.33179106406055
9,7,1,1,11.547126178572858,0,7.474398743273591
8,5,1,1,10.089241475197,0,4.8046179099440565
9,6,0,0,12.670329909317026,1,12.942839038043322
10,7,1,1,11.225003725058643,0,7.043502741178084
8,7,1,0,10.78854309325862,0,6.549515689739444
2,5,0,0,14.68023030766924,1,15.939640272828472
9,7,0,1,9.537248268493476,0,3.212199541323556
18,5,0,0,13.321749804325869,1,10.943936208911246
11,4,1,1,15.834833515837277,1,16.06961351680521
12,3,0,0,10.84284897651015,0,5.967737219978402
6,8,0,0,12.81853073192519,1,13.819037565225852
10,6,1,0,15.443452159147604,1,15.512016238448831
11,5,1,1,9.758874261620331,0,4.674215922380014
7,5,1,0,10.798176935031467,0,6.726158895861135
10,4,0,0,11.656828786813676,0,7.411320092649242
6,8,1,0,11.111327070472676,0,6.388371228843776
15,7,0,0,12.783662809266335,1,12.199304481500992
11,4,1,1,13.35886377012644,1,13.67292523429443
5,6,1,0,10.643241558314887,0,6.597690809025874
6,7,0,0,14.846351521262491,1,16.167516836493764
6,5,0,0,9.85845245645831,0,5.881515367045184
11,4,0,0,11.588009506431812,0,7.2824309889620515
11,4,0,0,10.456969907598,0,5.1628829149716005
8,4,0,1,12.726310719508025,1,13.871504852560124
0,4,0,0,12.270269735872334,1,14.456131280083572
4,7,0,0,12.807444018099435,1,13.68119935543806
7,4,1,0,8.754215005875036,0,3.610658188095345
7,6,1,0,11.288655603681333,0,7.414387561177459
4,9,1,0,9.359405032954015,0,5.043097226617584
9,7,1,0,14.5122707630885,1,14.864121088994477
10,6,0,0,10.937625313769344,0,5.349439258834581
6,4,0,1,10.833709956524308,0,6.327189940169019
8,7,0,1,11.10996518772875,0,5.788929396121317
8,6,0,0,12.811714973785092,1,13.99896680744441
2,7,1,1,12.250192322118124,1,15.637424998616904
9,4,0,0,15.91343603745898,1,16.035765204356668
4,4,0,1,14.045074447577685,1,15.588009060666105
8,3,0,0,11.812210329681957,0,7.433943266243179
8,8,1,0,13.076474362652002,1,13.85172593258717
7,6,0,0,10.910478552592885,0,6.351152862036832
6,3,0,0,11.67048926407769,0,7.574337953535103
4,6,1,0,10.244721955325971,0,6.651414918655001
10,6,1,0,8.246113768814158,0,2.674553708595208
5,4,1,0,13.573531928196331,1,15.214096578575424
8,6,1,0,12.907510576287468,1,14.268441898353975
0,7,0,0,10.19788247226084,0,6.3767274919259584
10,3,0,0,11.312808262611023,0,7.562174753439642
4,5,0,1,16.66196358505213,1,17.548713563006487
3,7,1,1,11.2069149271365,0,7.25511046109869
8,7,0,1,12.858186156824278,1,13.34439971845454
9,7,1,1,13.658748352353976,1,13.633636223811465
10,5,0,0,13.217831506405563,1,13.2445732394474
9,6,1,0,12.378215076745324,1,13.362360496397198
4,4,1,1,15.257388273044944,1,15.630106519154488
9,5,1,0,8.18759971862721,0,2.3388219362428857
3,5,0,0,13.747941337386132,1,15.72960006505143
8,6,0,0,11.808479187092091,0,7.226227000304511
6,4,0,1,13.618186619157935,1,15.700889472920212
11,7,0,1,14.947675404013047,1,14.63210237345174
12,4,1,0,12.291233186841122,1,12.648420949145912
7,6,0,0,9.586746149947723,0,4.808794014772508
11,7,0,1,10.569944404902444,0,5.566252731827794
10,5,1,1,10.253156172180086,0,6.139462252723189
7,5,0,1,13.13858422148573,1,14.510650463298717
7,5,0,0,10.885751210444742,0,6.724185850495046
12,6,1,1,12.906159784498834,1,13.22561817583881
4,4,0,0,10.948725689078204,0,6.816587300954514
3,6,0,0,10.410052763931658,0,6.080266761480694
15,6,0,1,11.743301838318692,0,5.822079056348281
9,5,0,0,11.428864361258409,0,6.3985590661640845
5,6,1,1,11.513661715409416,0,8.275493809951165
14,5,0,0,10.396282429858736,0,3.9600640896251567
4,7,0,0,10.077886086596466,0,5.689121855743918
1,6,0,1,11.372241158330729,0,7.85737421776756
4,4,0,1,12.8717323691372,1,14.795052857329988
7,2,0,1,10.034315962521791,0,5.346266408434597
9,5,0,0,10.47713480668647,0,5.892683894376471
8,7,0,1,15.170768295963484,1,15.28224565236736
6,6,1,0,12.81380771809084,1,13.632289574345103
7,5,0,0,15.278469578499864,1,15.383943463121454
4,7,0,0,9.633864158074667,0,4.004512172978799
11,6,0,1,10.176330392502326,0,3.592022071022019
0,6,0,0,11.81984531463037,0,8.747637051534822
8,5,1,0,8.962441427517948,0,3.642397315889502
11,5,0,0,11.679240086675842,0,6.172308409822652
6,4,0,0,12.538176612762898,1,14.609577532029586
6,6,0,0,12.291947477537208,1,13.231917394732768
7,5,0,0,14.368327340078649,1,14.827699334828909
9,6,0,0,12.637556448947649,1,12.773646598447993
7,5,1,1,13.341893242146469,1,15.08632255831828
2,5,0,1,11.110362215479013,0,7.907784645175516
4,8,0,0,12.205294517524583,1,13.22526402577399
2,5,1,0,7.375835702703232,0,2.0352245559554705
11,8,0,0,13.659029669370415,1,13.617217981823885
13,4,0,0,10.41489868957439,0,4.601917866616023
6,5,1,0,12.424398196211314,1,13.604321835764818
6,5,0,0,10.173255016902685,0,5.246838476946851
13,4,0,0,8.560767467335317,0,1.289395580769127
6,6,0,0,12.244673700397945,1,13.634726892337584
15,5,1,0,11.420775195962229,0,5.820325142675751
8,6,0,0,12.670308166019554,1,13.138988567258478
3,7,1,1,11.3441232189194,0,8.485102062606634
4,4,1,0,9.926365230358517,0,5.195894624561149
7,5,0,1,16.583866114204866,1,16.850560627511214
3,4,0,1,10.689232095907132,0,7.283591787581348
8,7,1,0,11.38117265642348,0,7.277813572322038
10,6,0,1,12.703923243471282,1,13.227207331117896
6,5,0,1,15.445443323110643,1,16.34488881913627
11,2,0,1,12.445455981921327,1,13.078294767469348
4,6,1,1,14.186538187146056,1,15.679738190425647
11,7,1,1,7.802267976622132,0,0.8193230950055501
10,5,0,0,11.523206573724488,0,6.366525216576073
11,4,1,0,12.256552233512034,1,13.162872889793492
9,7,0,1,13.17759693543289,1,14.277024026474116
15,6,1,0,11.602269637456011,0,6.837323017913354
3,7,0,0,14.915016821461702,1,16.56064173543367
10,4,1,1,12.644703082572834,1,13.53061071555389
9,6,1,0,12.060543858055103,1,13.390411745593576
10,5,0,0,11.788351241002545,0,6.604441052059756
4,7,1,0,17.32109072176634,1,17.95902244300851
2,5,1,0,12.913983480961573,1,14.867751870713654
6,4,0,0,13.545558964121652,1,15.113641008926752
9,7,0,1,10.27346920375138,0,4.290989609021578
5,3,0,0,12.265420211321286,1,14.58912982475164
8,7,0,0,12.838994138721937,1,13.582049464499764
10,3,1,0,8.202000266320297,0,1.9103575945212528
3,6,1,0,16.208491989572853,1,18.23745144256698
8,5,0,0,14.151664984688242,1,15.609904117362788
8,4,0,0,11.388370540753886,0,7.143119521531028
8,5,1,0,13.281765221765276,1,14.12679426664336
7,4,1,0,11.508531597226357,0,7.175697433612914
6,7,1,1,11.934150867210684,0,7.444831444604642
8,7,1,0,10.806506852211209,0,6.001677733213496
11,8,0,0,12.625180754212538,1,11.673876770290102
13,3,0,0,11.08655139860615,0,4.650862761014702
6,9,1,0,12.159345440548307,1,13.25822553256046
7,3,0,0,12.81936307400716,1,14.068931771506657
10,6,1,0,12.235776073328877,1,12.639209075061135
8,5,0,0,13.361296887683457,1,13.944406183475444
6,7,0,1,11.615637307275955,0,7.932442374898717
15,3,1,0,10.947528328903898,0,5.910655379907079
8,5,0,0,11.143969493880926,0,7.467507891246577
17,6,0,0,11.749045961037238,0,4.742054097370728
7,6,1,0,11.032040837969925,0,6.527272315208957
11,6,0,1,9.259705991791922,0,2.93747763308164
7,6,1,0,13.656332585160524,1,14.277880488253542
7,7,0,0,14.62896216964112,1,14.645320092764797
12,5,1,0,12.83765029947171,1,13.901854842697112
7,4,0,0,9.127538191209094,0,3.608005556188712
8,4,0,0,11.145353836427878,0,6.8659286260967365
12,7,0,1,12.505905548591665,1,12.29630120476061
8,6,0,0,10.763159593126108,0,6.574088430657453
8,6,0,0,10.25567637020453,0,5.068098372060836
8,4,0,1,10.360715689524936,0,6.052574072677816
5,9,0,0,13.658698332205676,1,14.43295774664664
13,5,0,0,11.408055620860384,0,6.274243316909804
8,5,1,0,14.95869487319326,1,15.215047304288364
14,4,0,1,15.960366253976773,1,15.55987126326744
8,6,0,1,13.64797815797439,1,14.638591325499096
6,5,1,0,16.494525606035538,1,16.81034816223899
5,4,0,1,10.674354970035433,0,6.726099540784155
10,4,0,0,11.7021208314975,0,7.309344433521783
12,7,1,0,12.857561105368472,1,13.52476139075725
6,4,0,1,9.917934458890336,0,5.409803757687468
9,7,1,1,10.178724431154793,0,4.85701338400552
3,2,1,1,11.26319726651228,0,8.023483366370902
11,6,0,0,13.312486043491536,1,13.26186724133582
2,5,1,1,11.336391684224408,0,8.440615478990223
8,5,0,0,13.63133074037104,1,15.035129834686092
10,6,1,0,12.95203457330606,1,14.0819327729858
12,7,1,1,13.407820881766751,1,13.76043457159358
4,5,0,0,12.116079183968612,1,14.04775818886363
9,3,0,0,8.417988284077513,0,2.54660779140565
8,4,0,0,16.687063525877786,1,16.98490539161588
8,4,0,1,13.464509481103818,1,14.212852972951069
13,7,1,0,11.840152883150836,0,6.466486858562869
1,6,0,0,13.093314496045789,1,15.127618680258353
5,5,0,0,13.275493405769751,1,14.843399724739118
9,6,0,1,7.524531266261121,0,0.9899182430766758
5,7,1,0,11.921741998031704,0,8.336554879062644
11,4,1,1,12.352980203526132,1,12.265031396853594
10,7,1,0,10.102658216395549,0,4.172734894190211
11,5,0,0,13.265149724450731,1,13.53255658854551
7,6,1,0,7.148555503994364,0,0.8363356822475686
12,8,1,0,12.883503319699408,1,12.880834540191636
6,5,1,1,11.72379322048695,0,7.2435484416104226
6,3,0,1,15.938352124836223,1,16.62950122608477
5,7,0,1,11.105352157974028,0,6.911741697798392
7,3,0,0,15.024376982351674,1,16.146431717326074
3,6,0,1,8.474180361854158,0,3.2953079746559606
6,6,0,0,9.075042309398896,0,4.337836440841677
8,4,1,0,11.056682458999788,0,6.712761032419404
6,7,0,1,11.285967750852414,0,7.730690778501426
6,5,1,0,14.90876373678719,1,15.593931598688425
9,8,0,0,10.376620943906971,0,5.197891971537059
10,4,1,0,14.19666440083265,1,15.313289831048229
2,6,0,0,13.208155435376446,1,15.227690124152582
10,4,0,0,11.326152249106777,0,6.0797976832099945
7,5,0,0,9.713850039360722,0,4.6431113003524604
7,4,0,0,15.574479782365836,1,16.429070713110978
8,8,1,0,13.708113932573651,1,14.412314667063685
8,6,1,0,11.346449880408288,0,7.203073577447435
14,7,1,0,13.121212987826652,1,12.05581907485946
8,4,0,0,11.422959782442993,0,6.739121473931596
8,3,1,0,13.875807702056631,1,14.181358822075577
12,4,0,0,14.466517354173266,1,14.353683150102857
6,6,0,0,10.634733836177912,0,5.41444593028816
4,6,0,0,10.760605071262892,0,6.052568704533134
8,4,1,1,12.750073836517256,1,14.013754404707912
4,4,0,1,14.65464286868962,1,15.700427102113302
5,6,0,1,10.666295778608756,0,7.170265147585617
5,3,1,1,13.162805168930351,1,14.795108574685598
7,5,1,0,10.65621063548336,0,6.280889224621429
7,7,0,0,11.315965410026548,0,7.817766042121441
10,6,1,0,12.486948326228024,1,13.214476425682316
4,8,0,0,12.577832919181596,1,14.081143966091757
7,5,0,1,12.463913019982478,1,12.9108120807062
7,6,0,0,10.515083314273244,0,5.946105010895691
10,6,1,1,15.632188736005002,1,15.62038229875348
7,6,1,1,9.88590811521661,0,5.038366272467835
11,3,0,0,8.6439601764819,0,3.104470806326748
7,5,1,0,14.430347410785307,1,16.091151617244947
8,8,1,0,10.514729035054904,0,5.893722932700513
11,7,0,1,8.746687953264473,0,2.797424863175718
12,4,0,0,11.697127563101958,0,6.418467815571299
14,4,0,1,14.289992444040962,1,14.086935640926102
5,6,0,0,10.458801589040544,0,5.375319005126612
5,5,0,1,9.645449822392388,0,5.107083848027999
12,5,0,0,8.183634265837139,0,0.2707040491218161
7,6,1,0,14.087719205884913,1,14.757682409085277
11,5,1,1,11.047040588894744,0,6.510646459140477
8,7,1,1,11.997012212127055,0,8.276229197541983
13,5,1,0,14.080568509726158,1,13.7288827156864
6,5,1,0,9.450413825784622,0,5.302372587153582
-2,7,0,0,10.804316497329989,0,8.34542444424807
7,6,1,1,14.466271666356086,1,15.95694784214381
7,7,0,0,10.286711097735026,0,4.216947915131912
7,4,0,0,13.019135665735746,1,14.299463478540874
12,9,0,0,13.106199181836615,1,11.698297398640284
7,5,0,0,11.817340083045211,0,8.92692277095442
4,6,0,1,9.121908352519489,0,4.98536941226773
9,6,0,1,9.925697404941486,0,5.026875472704335
8,5,0,0,11.679843629106776,0,6.785799280995324
7,6,0,0,10.234901818396963,0,5.127095934938524
10,7,0,0,11.228688512440025,0,6.302449369862822
9,8,1,0,8.699877077606319,0,2.954133268100759
10,4,0,0,9.992121811424497,0,4.26399647424604
5,6,1,0,12.061370148086588,1,13.807415030482703
5,6,0,1,10.992122435820765,0,7.250673551466555
11,4,0,0,14.27194660604594,1,13.273125791024322
7,5,0,0,10.99884141460632,0,6.78415428955453
9,6,0,0,10.850722662986891,0,5.042268592555711
10,5,0,1,9.88490529969615,0,3.6653300940878726
7,3,0,1,10.37913807489668,0,6.13009364088933
9,5,0,0,13.911004084985157,1,15.132886261462868
7,4,1,0,14.178014738177117,1,14.545904036774091
5,7,0,1,10.53841715146468,0,6.055099158247667
11,7,0,0,12.934013932210606,1,12.9356300582192
4,6,1,1,15.047979474427605,1,16.149158318220838
8,4,0,0,12.726993947974393,1,13.910573495972129
8,3,0,1,12.611389402945074,1,12.834677573700295
3,5,1,1,11.667143777455149,0,8.830989769481082
8,7,0,1,14.660923517961807,1,15.911074930517044
1,7,1,0,10.518087830883838,0,7.592870635390849
9,7,0,1,9.357987946205588,0,3.282218285201318
3,5,1,0,11.85977165752734,0,8.724165339383166
12,6,0,0,12.767329169476715,1,12.973259448172584
9,5,0,0,10.292731242098238,0,5.664179202675079
7,5,1,1,12.214676467594494,1,13.338300777890504
9,4,1,1,9.589418868231606,0,4.4005747067204695
1,3,1,1,10.07026202898956,0,6.603882856867736
8,6,1,1,16.53999214424253,1,16.7314342093285
4,6,1,0,11.841766398741244,0,9.335841343863438
5,6,0,0,8.519161976468153,0,2.392317986644603
7,4,0,1,13.118862723064314,1,14.042827022642332
7,4,1,0,12.62319627187001,1,14.095610754731894
8,6,1,0,12.602946311540968,1,14.07090469186648
12,4,1,0,13.477007041920457,1,13.677500468522384
6,6,0,0,11.648376559560852,0,7.106132892156046
0,5,0,0,14.445490497287368,1,16.703940049095753
5,7,0,1,12.343072669114711,1,13.82212148610517
5,5,0,1,14.032076537201709,1,15.194363564917335
4,4,0,0,12.590065640943203,1,13.687866892364562
13,4,0,1,10.12962631920676,0,2.883869827299537
2,6,1,0,12.133422642380047,1,15.239661588349277
9,4,0,0,12.3927776942908,1,13.167621639964096
7,3,0,0,16.279363173209116,1,16.83938764013156
7,7,1,1,14.510845394908026,1,14.763711457952692
12,4,1,0,12.473959867986611,1,12.560125210170954
8,8,1,1,12.174641786259851,1,13.734247483744683
5,3,1,0,13.17847947314701,1,15.917410399928407
10,8,1,0,11.506712918286844,0,6.532823537105792
9,7,0,0,15.16366961326566,1,14.678824680144622
10,5,0,0,10.492627817181315,0,5.343268527230557
5,6,0,0,11.65355740863065,0,7.775295568293467
3,5,1,0,12.1497811922256,1,14.816509630870238
7,7,1,0,11.264428942787916,0,7.304032672372622
10,7,1,0,15.761262124764675,1,15.770187775128202
10,5,1,0,11.531902222514654,0,7.342010675961761
5,6,0,0,8.833802126848845,0,4.2275831411563445
11,3,0,0,15.679765194463474,1,15.000552369108672
11,6,1,0,17.2686371887966,1,16.509950748530315
8,2,1,0,12.246330829020474,1,13.627602081712483
8,6,1,1,13.229235624262524,1,14.239785479465278
4,4,0,1,13.007709980821652,1,15.133133116844505
12,7,1,1,15.195986065705958,1,15.858265298818733
12,6,1,0,10.504423812474526,0,4.728403508638893
2,5,1,0,13.775169768594994,1,15.631117019022527
4,4,0,0,16.09117577442496,1,16.23719595456932
7,4,0,1,10.405205519803197,0,5.371520382517227
6,8,0,1,12.272366377953446,1,12.87062815017671
7,5,0,0,11.362987220242768,0,7.480705101135634
16,6,0,1,9.364193595940304,0,1.9340779108032684
6,3,0,1,6.495124428536255,0,0.8927078654744444
3,8,1,0,10.211771552588262,0,6.6004639806730925
8,5,1,0,13.692859440525336,1,14.218273163522571
3,6,0,0,11.833328900049766,0,7.493108179729011
9,5,1,0,8.281587188604465,0,2.450673759003948
9,7,1,0,12.91696937439755,1,13.849193566371264
6,6,0,0,10.332477830203958,0,5.799201790587286
3,7,0,0,12.101364865038132,1,13.783449945104964
10,5,1,0,12.597438243330188,1,13.544993336855573
19,5,1,0,13.377068785591328,1,12.031197146397377
8,6,0,0,10.311975258843814,0,5.471729432782065
7,4,0,0,10.943611936537138,0,6.421935159014578
12,5,0,1,12.528655180795454,1,12.500695275498426
7,6,1,0,13.262124866915622,1,13.983888679446697
10,6,1,0,12.290210760792707,1,13.437066905283745
4,8,0,1,10.471299026443436,0,5.895783175729783
12,7,0,0,12.573554653108332,1,11.997402611185942
4,5,1,0,14.514728631935425,1,15.675550932967376
