age,experience_years,gender,rural_residence,job_retraining_program,monthly_income
37,17,0,0,1,69.04770057653927
31,19,0,1,0,67.38672976167169
27,12,0,0,1,64.40792828158425
34,16,1,0,1,69.30199642030017
35,23,0,0,1,69.07983833340761
23,19,0,0,1,65.1509701192144
16,16,0,1,1,63.36112651024109
25,20,0,1,0,63.67022491644904
29,24,1,1,1,66.31308758000726
25,14,0,0,1,66.5258752136158
30,22,1,0,1,68.21378560145598
7,21,0,1,0,56.85337843408357
41,15,1,1,0,69.42405868753478
16,23,1,1,0,59.74204192333881
39,20,1,0,1,71.848404643618
35,20,0,1,0,66.90188925587316
40,19,0,0,0,70.06463254647927
38,23,0,0,1,69.93117280037977
23,24,1,0,0,60.89181608884507
28,15,0,1,1,66.39690979108359
34,13,0,0,0,67.54547935879208
25,21,0,0,0,64.48821812040323
36,15,1,1,0,67.53569059597532
28,17,1,0,1,66.11930004193978
39,13,0,1,0,69.97556143116572
41,20,0,0,1,71.16567679888239
22,24,0,0,0,60.62665504371118
40,16,1,0,0,67.81356618289108
27,22,0,0,0,66.51014068583369
24,7,0,0,0,62.44631106138048
28,19,0,1,0,64.77695616085721
33,21,1,0,1,69.48452136609762
24,23,0,0,1,66.39826302763952
42,27,1,1,1,70.69072210928482
19,30,1,0,0,63.04241967919069
33,13,1,0,1,68.34887562173671
36,16,0,0,0,68.21773262515747
29,4,1,0,1,65.04153654020602
28,20,1,1,1,66.7614198607625
36,22,1,0,1,70.24230292072318
28,21,0,1,1,67.10093960865002
34,21,0,0,1,68.49004957562018
19,16,1,0,0,60.51817467163949
26,14,0,0,0,63.53103847555987
35,26,0,0,1,68.22128530901571
25,19,0,0,0,63.94447064639191
19,19,0,1,0,60.70769926164344
35,23,0,1,0,68.02407716196183
30,18,1,0,1,66.28123209677489
34,19,0,0,0,65.08976389082966
38,20,0,0,1,70.982393602224
46,8,1,1,0,70.1471735527453
22,17,1,0,0,62.93584340491434
22,18,0,0,1,63.08328836620968
20,25,0,0,1,65.47562558230146
36,19,0,0,0,69.02881944721662
38,23,1,1,1,72.17893451569628
25,16,0,0,1,65.01822125004776
15,13,0,0,0,58.01324166842635
29,22,0,0,0,65.51678990409744
32,19,0,1,0,65.57291588248034
32,24,0,0,1,69.33194318896807
42,15,0,0,0,71.13896224000885
40,16,0,0,1,71.115024567484
19,13,0,0,0,61.19170117204651
51,29,0,0,0,76.30589549753657
19,28,0,0,0,61.53460541694856
40,19,1,0,1,71.07370682064348
29,21,0,0,1,69.43646447244329
35,33,1,0,1,72.12550693965127
44,16,1,0,1,70.76862851657077
29,13,0,0,0,64.98376830941581
31,16,1,1,0,67.45503121012094
30,25,0,0,1,68.47147930704453
25,18,0,1,0,64.32905719671211
36,22,1,0,1,70.43231918793526
26,14,1,0,1,65.25374019633345
28,28,0,0,1,67.14428602298952
32,23,1,0,1,67.73473392140062
26,21,0,0,1,66.84893896146164
32,21,0,1,0,68.36249509288734
30,10,1,1,0,65.09454218576506
22,21,1,0,1,64.93948018209596
26,24,0,0,0,65.36309254113898
22,17,0,1,0,65.28343740998703
34,8,0,0,1,68.07169634985408
23,16,0,1,0,62.75572918246124
20,19,0,0,0,60.97621442326137
31,18,0,1,0,66.14611812777916
17,23,1,0,0,62.208874986897314
40,17,0,0,1,71.37926329818467
20,21,0,1,0,62.72063630245825
27,25,0,0,1,67.73310528692622
31,20,0,1,0,64.81576157121671
39,27,0,0,1,72.1713716143654
30,14,0,1,0,65.01340862070195
40,8,0,0,1,72.07556778515342
36,16,0,0,0,67.31481441095698
24,9,0,0,0,62.721424852869205
27,15,0,1,0,63.45387764651976
24,13,0,0,0,63.91765996680779
32,16,0,0,1,67.49969166499221
32,20,0,0,1,69.04835311376596
29,11,0,0,0,63.29632033021455
29,12,0,0,0,65.56095900047161
27,27,1,0,1,68.06634051448128
32,21,1,0,0,66.13464184188938
26,9,1,1,0,63.13046242696481
35,2,0,0,0,67.24368377227906
32,16,0,1,0,65.33803870622579
28,17,0,0,1,64.91095352266615
11,18,1,0,0,60.379324420912354
29,27,0,0,1,67.71465750417089
43,29,0,0,1,73.21017892392535
30,20,0,0,0,65.0272272974927
27,25,0,0,0,64.9846745763805
23,18,0,0,1,64.20703294887392
19,19,1,1,0,62.015109092245616
12,20,0,0,0,58.71604179246047
36,28,0,0,1,68.81499048584848
28,27,0,0,0,65.77429506155806
24,16,0,1,0,62.30886561363343
22,22,1,0,0,63.70771027456824
40,26,1,0,1,71.66320509184882
33,22,0,0,1,69.56305989965237
37,22,0,0,1,70.74933512679719
38,21,0,0,1,71.86786781082193
30,16,0,0,1,68.21739559663293
37,24,1,1,0,68.41842405074401
43,20,0,1,0,71.33706541042618
26,17,1,0,0,63.9956239467681
30,17,0,0,1,67.00191681466796
38,17,1,0,1,70.03444008036215
23,16,0,0,1,64.52893202801357
32,28,1,1,0,67.12509002956098
24,25,0,0,1,65.50673805800068
20,27,1,0,1,67.78496071619922
33,20,1,0,1,68.64470640764132
18,6,0,0,0,57.63633177657998
39,9,0,0,1,71.62370293197525
30,14,1,0,1,66.93976027938548
41,29,1,0,0,70.19764141759865
25,21,0,0,0,64.8707521363913
25,14,0,1,1,65.85823005898642
36,30,1,1,1,70.44893128211177
28,21,0,1,0,65.19169397780277
31,22,1,0,0,67.47653154792346
28,22,0,0,1,65.37386250982972
20,15,0,1,0,60.39147838538119
35,23,0,0,0,69.30388495692023
46,19,0,1,1,74.64340830853833
42,19,0,0,0,71.01274292057205
22,25,0,0,1,66.43190464342905
37,19,1,1,1,69.8764051573969
40,24,0,0,0,70.59553902210787
41,22,0,1,0,70.24321168611485
30,21,0,1,1,67.1876731967353
15,17,1,0,0,61.10358948217047
29,10,0,0,1,66.8567443012271
25,17,0,1,1,65.87885310121378
29,12,1,1,0,63.88727276603905
28,18,0,1,0,63.54073074851934
31,21,0,1,0,64.30022848867613
34,24,0,0,0,66.86664578575083
39,22,1,0,1,70.06043630073685
34,20,1,0,1,67.98873992224152
21,9,1,0,0,59.37129648239033
20,27,0,1,0,63.664665393703984
24,16,0,1,0,62.68779251185517
27,14,1,0,1,64.65507725335539
31,26,1,1,1,68.60541111506714
20,20,0,1,0,61.97997787021915
40,23,1,0,0,69.8235995314671
18,15,1,1,1,62.47398337910271
31,17,0,1,1,70.26674942886267
43,19,0,0,1,71.86845964298274
25,16,0,1,0,64.21200259959106
46,20,0,0,1,73.86173635909856
42,18,0,0,0,70.9379175850457
32,18,0,1,0,67.09333418200612
34,18,0,0,1,69.00145548904631
31,17,0,0,1,66.7240494867168
29,16,0,0,1,66.46892962843945
28,25,1,0,1,67.6873683121525
15,25,0,0,0,59.12069859331916
30,12,0,0,1,67.86425579808805
26,11,0,0,0,63.28207150097016
25,21,0,1,0,64.20734851044506
27,29,0,0,1,68.36550608303703
29,14,0,1,0,64.57710350453473
40,20,1,0,0,69.87949616486301
17,24,0,1,0,60.03828423709743
29,26,0,1,0,66.58738631422669
35,20,1,1,1,69.58279040037178
22,12,0,0,0,60.35435305009542
33,22,1,0,1,68.90044526375348
19,13,1,1,0,60.36822781866226
33,18,0,0,1,69.42912618842996
19,17,0,0,1,61.234181166435405
31,24,1,0,0,66.85059627134446
32,10,1,0,1,67.59795157245263
30,12,1,1,0,63.58991468282785
30,32,0,1,0,65.67544685047659
30,24,1,0,1,68.69716012434799
22,9,1,0,0,61.48449497406024
38,7,0,0,1,69.97446327739706
43,15,0,0,0,73.06454531133332
16,16,0,0,1,60.86000749934679
38,22,0,0,1,71.53519371351823
20,20,0,0,0,62.30817556340325
19,20,0,1,0,60.22540717503176
28,24,1,0,1,67.6808904812945
19,15,0,0,0,59.99844884602955
31,18,0,0,0,65.55035296919719
21,25,0,0,1,65.72624564970808
24,14,0,1,0,61.9051411146902
35,18,0,0,1,70.26751460246504
29,12,1,0,0,64.77009701126103
30,24,0,0,1,66.39793288670487
20,23,0,0,1,64.453916965442
32,17,0,0,1,67.4003662847029
28,20,1,0,1,67.10023263183224
40,17,0,0,1,71.44326924286491
45,13,1,0,0,71.08636048322462
17,20,0,0,0,58.58082101863457
33,29,1,0,1,71.05718505677366
39,23,1,0,0,68.02331272910087
44,15,0,1,1,71.76559525490309
26,18,1,1,0,63.413385791810725
38,30,0,0,0,69.04307584411328
23,29,1,1,0,65.47672840306372
31,10,0,0,1,65.91161907946405
42,18,1,0,0,71.04641647216302
8,20,0,0,0,57.57301755605683
32,25,1,0,1,67.56286277620285
31,15,1,0,1,68.87696041257735
27,16,1,1,1,66.3439736888372
27,24,1,0,1,64.84503220344578
30,29,0,1,0,66.92928916102132
38,25,0,0,1,69.56844257459576
36,19,0,0,0,67.67858677066482
28,21,0,0,1,67.71736357805437
34,10,0,1,1,67.2509716813946
30,30,0,0,0,68.96818662595891
27,23,0,0,1,66.3407531267538
6,20,0,0,1,57.93500453280336
31,6,0,0,0,65.2517354561594
18,14,0,0,0,60.59262727537656
25,14,1,1,0,63.65430869548815
22,13,1,0,0,61.79556579820775
31,20,0,1,0,65.33287047006557
31,23,1,0,0,65.42615157448712
40,12,0,0,1,70.17627971860841
30,21,0,0,1,68.19915931991473
28,34,0,1,0,65.87721600803054
37,16,0,0,0,69.29358711521374
35,30,0,1,0,68.06910510444085
42,12,1,0,1,70.54331770504128
26,19,1,1,1,64.80656089811528
47,20,0,1,0,71.14248943964355
29,28,1,0,1,68.43936005936978
28,21,0,1,0,65.98525473424647
16,20,1,0,0,59.25055482988006
20,23,1,0,0,62.89738496713594
32,13,0,0,1,69.39898223566016
38,19,0,1,0,68.17314609393313
24,21,1,0,0,63.7139165562946
38,34,1,1,0,70.02975502713073
12,16,0,1,0,57.97049629609471
32,29,1,0,1,69.7736978194505
27,19,0,0,0,64.79989527325817
28,23,0,1,0,65.84818780028806
27,20,0,1,1,66.68260256929709
32,11,1,0,1,66.71463450426401
25,19,0,0,1,67.00215990230464
16,22,0,0,0,60.41957123182315
23,14,0,0,1,64.94818466609188
34,12,1,0,1,69.43496199564868
23,19,0,0,0,63.204699921512365
32,31,0,1,1,69.27508906786878
33,15,0,0,0,65.9496272765834
24,25,0,0,0,63.79925001739902
26,10,0,0,1,63.1671697245
30,24,0,1,0,65.61095753105182
30,10,0,0,0,64.04268996761573
39,25,1,0,1,70.91621317841953
35,22,0,0,1,70.61635579586563
48,17,1,0,1,73.81815683487083
27,14,1,1,0,64.34893066741046
33,24,0,1,0,67.9913984677614
28,18,0,0,0,64.9326465433179
38,15,1,0,1,72.28793825989393
36,25,0,0,1,70.29890970139299
35,17,1,0,1,67.97807063945342
37,21,1,0,1,70.4265917865548
27,21,1,1,0,65.66579463256497
24,27,0,1,0,65.60158631241356
36,23,0,0,1,69.5642779670029
32,20,0,0,0,67.88333382557722
20,10,0,0,0,61.688414707371926
37,12,0,1,1,69.34574718591186
21,23,0,1,0,62.084251832156426
32,25,0,0,0,66.58792049536876
35,15,0,1,1,68.57348321645412
47,24,0,0,0,72.54156755471078
18,27,0,1,0,61.27445641030671
16,15,1,1,0,60.37416536107595
29,27,0,1,0,66.94884942657133
35,5,0,1,0,66.3910037852763
42,15,0,0,1,70.65314017652462
40,9,0,1,0,67.78162147821621
23,16,0,0,1,65.48185384334671
18,12,0,1,0,59.68741375838282
33,19,0,0,0,67.10081250555625
11,17,1,0,1,59.42034751185705
28,12,0,0,0,66.33835527158378
27,12,0,0,1,63.92327070494711
35,26,0,1,0,66.81696843318701
25,24,0,1,1,66.44071699797149
36,15,0,0,1,69.90599335706943
24,18,1,0,0,63.82321302897054
41,22,0,1,1,70.93880188680173
34,17,1,0,1,69.13363585478135
21,17,1,0,1,64.48849244073332
24,21,0,0,0,63.99892101112364
29,21,1,0,0,64.84801980456018
28,23,0,0,1,66.23258473047015
29,22,0,1,0,66.96565498020006
40,29,0,0,0,69.25946745858538
15,27,0,0,1,62.55661418905576
36,24,1,0,1,69.70317076325985
32,13,0,1,0,66.68133535109162
16,21,0,0,0,60.9527234764805
21,22,0,0,0,63.59508046963556
23,18,0,0,1,65.26956573943032
28,22,0,0,0,64.40886909225198
32,13,0,1,0,67.11382096029077
28,22,0,1,1,66.66980410528504
34,22,0,1,1,69.97770097639163
25,16,0,0,0,63.56599982500188
40,27,1,0,1,71.35901947236135
23,19,0,0,0,63.20865225015242
16,21,0,1,0,60.31362106089143
30,27,0,1,0,66.97040025696964
20,12,0,0,1,62.68823702071818
41,11,1,0,1,69.88558896691684
33,23,0,1,1,68.47221095093603
22,21,1,1,0,63.41684338022644
14,24,0,1,1,62.25932614925722
15,17,0,0,0,60.66330118467293
40,11,1,1,0,68.24885312912916
37,14,0,0,0,66.99963600372324
37,19,0,0,1,69.37468315231374
21,8,0,0,0,61.31046077401127
24,17,1,0,1,64.60455536194114
31,29,1,0,1,70.3441238104727
31,11,0,0,1,65.6775627460121
18,15,0,0,0,59.84470062096794
22,18,0,1,0,61.3018550860734
25,23,0,0,0,62.97617752175623
39,22,1,1,0,68.20825764959329
32,13,1,0,0,65.25731556207977
27,24,0,0,0,66.0209365925142
34,18,0,0,1,68.77054021741833
50,14,0,0,1,73.6022349132085
40,17,1,1,1,71.79841755435588
31,22,0,0,1,69.26877206839326
51,7,0,0,1,76.07506852483517
37,23,0,0,1,70.94913025806714
29,30,0,0,1,68.3724677969353
27,28,1,0,1,66.75109308071849
17,28,1,1,0,61.14009088201259
40,22,0,0,0,68.5424010263362
36,16,0,0,0,67.01111595420949
25,36,0,0,0,66.70026748874638
35,15,0,0,0,65.56149033484411
13,20,1,0,1,59.91374628540896
33,16,0,1,0,66.21698999574004
22,26,1,1,0,63.19530314787847
21,18,0,0,0,62.36843563355148
18,7,1,0,0,59.52139398069204
28,9,0,0,1,66.33834122317992
41,35,0,0,1,73.00565479573314
40,16,1,1,1,73.06348326709477
28,18,0,0,0,64.41552192415135
25,13,0,0,0,63.38358220831162
24,26,0,0,0,64.0171995909027
24,24,0,0,1,66.14385988710819
37,19,1,0,0,66.85638636898871
27,17,0,1,0,66.03047740011183
34,23,0,1,0,67.53857799140744
23,20,1,0,0,63.01091985656431
35,10,0,0,1,67.69419338962308
46,14,1,0,1,73.88084282942472
15,28,1,0,0,62.39121647885335
21,19,0,0,0,60.85065891903534
33,11,1,1,1,66.4647262948512
25,14,0,1,0,61.12710248581782
29,19,1,1,0,64.48848666810582
37,21,1,0,1,70.53484659880122
27,24,0,0,1,67.69520130647881
25,30,0,1,0,65.14396090861867
33,12,0,0,1,67.54551360031334
29,24,0,1,0,65.803498187139
16,21,0,1,0,58.88211755900727
27,24,0,0,1,66.1384113353311
29,11,0,1,1,64.34292938985152
20,22,1,0,1,63.73702174956603
21,11,0,0,0,59.51913385545872
29,12,0,0,1,65.36262855760033
31,14,0,0,0,65.0418773471418
18,23,1,0,1,62.20249589759285
16,21,0,0,0,60.386480514616544
32,15,1,0,0,65.34221670532257
27,14,1,1,0,63.798878477980686
32,14,0,1,1,66.5145078565367
31,21,0,0,1,68.92418593849047
29,20,1,0,1,67.75262453517595
43,17,1,1,1,71.56274599535055
25,14,1,0,1,66.10076670050654
28,21,1,0,0,64.92923085672112
31,21,1,0,0,65.32531199516299
30,26,0,0,1,67.22603388836825
18,24,1,1,0,61.706862339523255
36,12,0,0,1,66.95564453653294
29,17,1,1,0,65.79763977188807
38,25,1,0,0,68.37747682133751
24,14,0,1,1,66.96498916697229
24,27,1,0,0,65.80952457742094
30,19,0,1,0,63.72609872351112
29,27,0,1,0,67.17680589717634
25,21,0,0,0,63.96001769897933
26,19,0,0,0,65.61104860772178
35,20,1,0,1,69.01458485491293
24,13,0,1,1,63.27530325383393
39,24,0,0,1,71.65435974527716
18,17,0,1,0,58.46384100377024
34,22,1,0,1,70.07235587198232
19,22,0,0,0,59.9808067143552
25,25,0,0,1,66.06973623981534
15,14,0,0,0,59.26431437751339
55,22,0,0,1,77.58086659649562
39,25,0,0,1,71.81739662334772
23,27,0,1,1,63.86320060227874
30,21,0,0,0,66.83244928484059
37,22,1,1,0,67.81663558880716
29,12,1,1,0,64.0883241333759
36,29,1,0,1,70.59544119578074
28,20,0,0,1,66.80521663351661
32,22,1,0,0,66.36467150137234
25,18,1,1,0,64.65360228889708
27,16,0,0,1,66.56813199230781
41,23,0,1,1,71.7687390691139
20,23,0,0,0,64.87007301636146
15,15,0,0,0,57.73999398052386
25,19,0,1,1,65.4167689113557
42,17,0,0,1,72.25603418229055
22,23,0,0,0,62.96252833507906
28,23,0,1,0,65.29577462766184
32,23,1,0,1,68.02433303819178
27,25,1,1,1,66.194243130963
27,29,0,0,1,67.46007134885669
31,6,0,1,0,63.88982123212957
25,10,0,1,1,63.53007502514894
53,12,0,0,1,77.56461010895993
27,27,0,0,1,66.54134707342904
32,15,1,0,0,66.66335037512405
14,9,0,0,1,60.81030070620847
16,21,1,1,0,61.710938585259946
36,13,1,1,0,65.5214109640179
26,17,0,0,1,64.63314805026148
18,13,0,0,0,60.62809676417521
41,18,1,1,0,68.66247603550464
37,11,0,0,0,67.86952719214025
31,15,1,1,0,66.42632903390893
33,6,0,1,0,64.05775922774623
23,21,0,0,0,62.52651554692876
28,12,0,0,0,63.25635227565832
22,24,0,0,1,63.81534442294127
29,18,0,0,1,67.7037655602467
40,9,0,0,1,69.97991602888652
35,10,0,1,1,68.94834046661546
31,28,0,0,1,68.069133524405
26,16,0,1,1,65.08763257489301
21,16,0,1,0,63.55932994295263
33,13,0,1,1,68.50812498368595
27,11,0,1,1,66.97366133396417
23,16,0,1,0,61.27067975759086
33,26,1,0,0,67.46615887444436
33,15,0,0,1,69.53990157468378
28,22,0,0,1,68.67028722983281
39,27,0,0,1,73.71340167118039
18,18,0,0,0,60.65550815894432
12,12,1,1,0,58.1343476533678
22,22,0,0,1,63.88317582005438
35,21,1,0,1,70.17746973462854
34,25,0,0,1,68.7962116388676
34,12,0,0,1,67.21632932963152
29,14,0,0,1,67.24604329426866
34,21,0,0,1,68.74139914330266
41,15,0,0,0,69.04281313694212
17,26,1,1,1,64.37039384107092
30,30,1,0,0,66.24896684402702
25,17,0,0,0,65.59758974309739
17,17,0,1,0,59.69445889382057
28,17,0,0,1,65.38866879455112
38,28,0,1,1,72.1302031903428
35,19,0,0,0,66.88208335932565
14,21,0,0,0,59.04067299736293
30,19,0,0,1,65.9284020644139
36,14,0,1,0,69.45587236357841
38,21,0,0,1,70.91817118487113
36,33,0,1,0,69.35950088355376
35,12,0,1,1,69.05633720224797
37,22,0,0,0,68.55188609747066
30,17,0,0,1,67.92744453702815
28,20,0,0,1,67.6511284233051
31,21,0,0,1,67.74976895606473
13,12,0,1,0,58.55542258538789
36,20,1,0,1,69.51670513511358
25,19,0,1,1,67.76477069194505
28,20,1,0,0,64.16427126974969
36,18,1,1,0,67.0028695107801
25,13,1,1,1,65.05619140471002
34,12,1,1,0,66.53791008575051
28,30,0,1,0,65.095438719568
30,21,1,0,1,67.40400338911782
35,20,1,0,1,69.19116317421884
32,25,0,1,0,67.4706606819139
32,19,0,0,1,67.77798875221467
10,29,0,0,0,58.58660768218987
32,26,0,0,1,69.12873365065558
28,18,0,0,0,66.09000354653162
23,25,1,1,0,65.18024739888678
30,10,0,0,1,66.84921269309002
19,23,0,0,0,61.13249338010679
26,25,0,0,0,63.96580017995843
41,19,1,1,1,71.90376936669954
22,21,1,0,0,64.41906513552318
26,19,1,0,1,66.67849797697968
28,26,0,0,1,67.69210094061825
32,27,1,0,0,66.56134538980146
17,17,0,1,1,62.96346680991828
18,10,1,1,0,59.2673736726736
37,21,0,1,1,71.45050593462715
38,14,0,0,1,69.83443168694079
41,24,0,0,1,72.26436447874629
27,22,0,1,0,65.41226278452858
19,19,0,0,0,61.78442976520753
28,28,0,1,1,66.88600985984391
38,17,0,0,0,69.9391934954636
26,8,0,0,0,62.51743290264929
33,16,0,0,1,67.6294454433913
25,22,0,1,0,66.25095157787754
23,21,0,1,0,61.61581804787793
21,29,1,0,0,64.28475650646075
33,29,1,1,1,68.49778650411078
31,27,0,0,1,70.05371962723305
29,22,1,0,1,68.16229079989745
23,24,1,0,1,66.50718360154865
25,18,0,1,1,65.5494010593623
50,15,1,0,1,75.41792849726345
24,3,0,1,0,62.77425475093433
17,26,0,0,0,62.090114921579016
29,27,1,0,1,70.61906718561914
36,32,1,1,1,68.9439042466472
32,26,0,1,0,67.48390057642395
19,16,0,0,1,61.95609781322363
38,24,0,0,1,71.66023685150189
17,24,1,1,0,61.6110423680387
22,24,1,0,0,61.91019681987863
30,21,0,0,0,66.13234932886544
29,20,0,0,1,68.25108296658783
26,14,0,0,0,63.97737521909122
41,24,0,0,0,70.19684919129297
17,26,0,0,0,61.70596053525727
15,17,0,0,1,61.446750081461374
32,30,0,0,1,68.09717022078355
28,20,0,0,1,67.18312652590257
26,18,0,0,1,66.43762234953026
35,22,0,0,0,66.57911570942541
36,16,0,0,0,68.26126773588919
13,16,0,0,0,58.28750556404046
43,13,0,1,1,71.08723617059908
20,21,0,1,0,61.35667565099824
27,23,0,1,0,66.13584113676384
36,19,0,0,0,67.57873418063164
19,24,1,0,1,64.67065897451438
25,25,0,1,0,65.61115726821177
37,21,1,0,0,69.68231798990716
37,20,0,1,0,67.72864257997105
26,22,0,0,0,65.30025383256701
17,18,0,0,1,62.081585152667216
15,12,1,0,0,57.774088783548805
28,17,1,0,1,63.93597531691054
41,30,0,0,1,72.50004377977288
15,16,0,0,1,61.7419180145384
36,23,1,0,1,69.29066522970231
31,20,0,0,1,66.039558041435
17,12,1,1,0,59.53656261029598
20,16,0,0,1,65.15879593396619
31,14,1,0,1,67.92672175523606
14,15,0,0,0,59.45201723310405
16,25,0,0,0,61.04244089357272
28,20,1,0,0,63.53404641825446
31,16,0,0,0,66.89536910697024
31,30,1,1,1,68.7445172228847
34,30,1,1,0,69.63713922764705
44,16,0,1,1,70.86357157705082
33,13,1,0,0,64.77880357360333
41,16,0,0,1,71.58199951966739
27,26,1,1,0,65.3828839054298
9,16,0,0,0,56.95756784619089
18,23,0,0,0,63.640927628782805
29,15,0,0,0,64.98346153607649
24,25,1,0,0,63.26014350599448
24,26,1,1,0,63.59069598327056
41,19,0,0,1,69.86001070724049
22,17,0,0,0,61.39077077400208
24,24,1,0,0,63.00612246822838
35,18,1,0,0,69.08783982254772
30,18,1,0,0,64.66665379055279
21,25,1,0,1,65.64909347268653
26,14,0,0,0,63.133101991171856
38,26,0,0,1,70.22991702055181
34,30,0,0,0,69.27412245152787
36,22,0,0,0,68.56931880199333
31,18,1,1,0,65.83759392007175
30,36,0,1,0,67.54297553925792
24,13,1,1,0,63.37459408398679
24,18,0,0,0,63.386731836951085
28,25,0,0,1,68.1479506621477
16,23,1,1,0,60.73413601576742
26,22,0,1,1,67.31233752236264
31,23,1,0,0,66.33823127277235
21,20,0,0,0,62.82933526400628
34,9,0,0,1,68.83224537122423
32,11,0,0,1,66.32696009192314
37,24,0,1,0,68.91601140040568
29,27,0,0,0,65.24430689760547
26,14,1,1,0,64.32104500751454
27,20,0,0,1,67.97526160069724
39,9,0,0,1,71.67508646980846
19,17,0,0,1,62.74528309641951
17,14,1,0,0,58.44103254256903
25,26,0,0,1,64.79510743814244
