years_of_schooling,household_size,distance_to_bank_km,owns_smartphone,is_self_employed,bank_account_offer,opened_bank_account,annual_household_savings
0,3,1,1,0,0,1,53.20855320258376
3,2,0,1,0,1,0,48.69238284181288
1,3,0,0,0,1,1,52.39692472406728
4,3,0,0,0,1,1,52.02956442774145
3,3,1,0,1,0,0,49.58064396151769
2,2,0,1,0,1,0,51.50554464687834
6,2,0,1,1,1,1,51.98443284086023
8,2,0,1,1,1,1,49.77389861558241
4,2,0,1,1,1,1,50.74789251310266
6,2,0,0,0,0,1,49.65047659382697
1,2,0,0,0,0,0,51.43046211887675
5,2,0,0,0,0,0,49.24720180308757
0,3,1,0,0,1,0,50.54166908835143
3,3,0,1,1,1,0,50.30671714149557
7,3,0,0,0,0,0,48.26719807275708
1,2,0,0,1,0,0,51.24103171669719
4,3,0,0,1,1,1,50.03378497652586
4,2,0,0,0,0,0,48.09582381198377
3,1,1,0,0,1,0,49.26289441017426
1,2,0,0,0,1,0,50.48052209006787
3,3,0,0,0,0,0,51.2774223158204
2,2,0,0,0,1,0,52.351218922729856
6,3,0,0,0,0,1,52.6333625725652
5,2,1,1,0,1,1,51.80644743123625
7,2,0,0,0,1,1,50.38685040369128
4,3,0,0,0,0,1,51.69419821446322
1,2,0,0,0,1,0,49.33077294497782
3,2,0,1,1,0,0,49.89187877184513
2,2,0,0,0,1,0,48.56128546517354
3,3,1,0,0,0,1,51.654859798248985
1,3,0,0,1,1,0,50.41822728374101
7,3,0,0,0,1,1,50.093294365738814
6,3,0,0,0,0,1,50.63325718810407
5,2,0,1,1,1,0,49.30219404669639
2,2,0,1,1,0,0,48.53893905933917
4,2,1,0,0,1,1,51.8340502445156
7,2,0,1,0,1,1,50.91995352627146
1,2,0,0,1,1,0,48.63879193159924
3,3,0,0,1,0,0,50.13573997636029
2,2,0,1,0,0,0,52.26837001074284
2,2,0,1,1,0,0,50.97399846486165
2,2,0,0,1,1,0,50.13964070399558
5,3,0,0,1,0,1,49.87163908302095
0,3,0,0,0,1,0,50.65429192803255
0,3,0,1,0,0,1,54.84044899590389
3,1,0,1,0,0,0,50.3619178447917
4,3,0,1,0,1,1,51.39338711631315
1,2,0,0,1,1,0,50.14277891969135
8,2,1,0,0,1,1,50.526496310357416
1,4,0,0,1,1,1,51.8698803345799
4,3,0,0,0,1,1,50.19323301474045
3,3,0,0,0,1,1,52.11391412239565
4,2,0,0,1,0,0,49.45037694729613
3,3,0,0,0,1,1,50.96212537698112
5,3,0,1,1,0,1,51.68460809319421
3,3,0,1,1,0,1,53.20913676551466
0,1,0,0,0,1,0,48.79141523617035
3,2,0,0,1,1,0,50.68096289204949
3,2,0,0,1,1,0,51.324083497211895
5,2,0,0,0,1,1,51.75110056001264
1,3,0,0,0,1,0,50.43883832148061
3,2,1,0,0,1,0,49.75407982552238
6,2,1,0,0,0,0,48.57882021626168
5,3,0,1,1,0,0,49.62813274218928
2,3,0,0,1,1,0,48.73072962134997
6,3,0,1,0,0,1,51.2829444624889
7,2,1,0,0,1,1,49.04878722185152
2,3,0,0,1,1,0,48.71834658697745
6,3,0,0,0,1,1,51.51985307713736
5,3,0,0,1,1,1,50.18797143817858
7,2,0,1,1,0,0,48.07375066101926
0,2,0,0,0,1,0,51.95066290704887
2,3,0,0,0,1,0,50.29127274585316
9,3,0,0,1,0,1,47.6770908090993
3,2,0,0,0,1,0,48.40027789474842
3,2,0,1,1,1,0,49.21458856422856
3,2,1,0,0,0,0,48.87665807417652
3,2,0,0,0,1,0,47.83591439042938
4,2,0,1,0,1,0,48.77224665939202
2,3,0,0,1,0,0,48.81538588836924
4,2,0,1,0,1,1,50.3628710837684
2,3,1,1,0,1,1,53.19363822556717
2,2,1,1,0,1,0,49.594088423759
3,2,0,0,1,1,0,48.745758551147
1,3,1,0,1,0,0,47.663957391628834
4,2,0,0,1,1,1,51.12375450294265
3,2,0,0,0,1,0,49.35249738164359
5,2,0,0,1,1,0,48.22531797258188
3,2,0,0,0,1,1,52.74415393375556
3,2,1,1,0,1,0,49.12161411508143
3,3,1,0,1,1,0,49.21372030579088
6,2,0,0,1,0,0,48.40409730125474
1,2,0,0,1,1,0,50.29731853297772
5,2,0,1,0,1,1,50.69728542417808
2,2,0,0,1,1,0,48.86252776855313
4,3,1,0,0,0,0,49.34887572949879
4,2,1,1,1,0,0,49.05438974359037
1,3,0,1,0,0,1,52.50825034911255
7,3,1,1,0,1,1,48.52003400089511
2,3,0,1,1,0,1,52.19582017829007
6,3,0,0,1,1,1,49.57729932714146
2,3,0,1,0,1,1,51.81969055819754
5,3,0,1,1,1,1,49.483507546589344
0,2,0,0,0,1,0,49.52492914112221
3,4,0,0,1,0,1,51.5849178198892
1,3,0,1,1,0,0,50.65363845326068
2,3,0,1,0,1,1,52.64068412757012
5,3,1,0,0,1,1,50.91625879130344
6,2,0,1,0,1,1,52.21012679167129
6,2,0,1,0,1,1,51.09292533002652
3,2,0,1,0,1,0,49.062221170076974
1,2,0,0,0,1,0,50.71606061736775
6,3,1,1,1,0,1,48.715755389741545
3,2,0,1,0,1,1,51.663174544750255
4,2,0,0,0,0,1,50.13605438280332
5,2,0,0,1,1,1,49.82080949631498
4,2,0,0,0,0,0,49.399036038640126
4,3,0,0,0,0,1,52.70494720068801
3,2,1,1,0,1,1,52.07794591112355
5,3,0,0,0,1,1,51.26015756126987
6,3,0,1,0,1,1,50.38952468734231
3,3,0,1,0,0,1,50.861499918949306
3,2,0,0,0,1,1,51.43969148359948
5,3,0,0,1,1,1,49.82859901108885
4,2,0,0,0,1,0,50.41006302013718
5,3,0,1,0,1,1,51.69830994421214
6,3,0,0,0,1,1,49.31169868680757
7,3,0,0,0,1,1,51.24259715173917
3,2,0,0,0,0,1,51.78421765194708
5,3,0,1,0,1,1,51.867674022586726
6,2,0,0,0,0,1,51.38001703246244
5,3,0,0,1,0,1,49.15761998130247
3,3,0,0,0,1,1,52.00374581463447
9,2,1,0,1,1,1,49.014436172232
4,2,0,1,0,1,0,48.82522600215127
6,1,0,1,1,0,0,49.69460026917604
0,3,0,0,1,0,0,49.40429457726085
5,3,0,1,0,1,1,51.16850880140414
1,2,0,0,0,1,0,51.26980387251748
5,2,0,0,1,0,0,48.22281557070087
4,3,0,1,0,1,0,50.55052859961125
2,1,0,1,0,1,0,50.10061443616072
7,2,0,0,0,1,1,51.33703317802685
5,4,0,0,0,1,1,50.745313576142905
4,3,0,0,1,0,1,50.56940945916613
3,1,0,0,1,1,0,51.0901464440375
2,2,0,0,0,1,0,50.567918168138064
2,3,0,1,1,0,0,51.541469022728506
8,2,1,0,0,1,1,51.53610204456023
5,2,0,1,0,0,0,49.35762746550542
3,2,0,1,0,1,1,52.00771355143721
5,3,0,0,0,0,1,50.57735169521078
4,2,0,1,1,1,0,49.18356129143244
4,2,0,0,0,1,1,50.77947940059615
4,3,0,0,1,1,1,51.160175026636296
5,3,0,0,0,1,1,50.293172174123605
5,2,0,0,0,1,1,51.06455014068893
4,3,0,1,0,0,1,52.028192226196126
5,2,0,0,1,1,0,49.1483091736837
2,3,0,1,0,1,0,48.85006593954764
3,3,0,0,0,0,1,50.80745271791306
4,2,0,1,0,1,0,48.45699954197826
3,3,0,1,1,1,1,51.461489951255416
4,3,0,1,0,1,1,52.52153010436312
8,1,0,1,0,1,0,47.75854372812103
8,3,0,0,1,1,1,48.75446181641987
4,2,0,1,0,1,0,48.1307849635164
9,2,0,0,1,1,1,49.64499959695456
4,2,0,0,1,1,1,53.2056905652287
2,2,0,1,0,1,0,49.74153260693646
0,3,0,0,1,0,0,50.30898606250278
4,3,1,0,0,1,0,48.95925354657248
5,2,0,0,0,1,1,51.23287457587082
2,2,0,0,0,0,0,47.91572638967144
1,3,0,0,0,1,0,50.998108927284775
5,3,0,0,1,1,1,49.19698360101791
7,2,-1,0,0,1,1,49.81682240966534
4,2,0,0,0,0,1,51.72341302343929
2,1,1,0,0,1,0,48.65947987108231
8,2,0,1,1,1,1,51.07424190197124
1,2,1,0,0,0,0,52.04923093631797
3,2,0,1,0,0,1,49.59186982774151
-2,2,0,1,1,0,0,51.24879162611686
4,3,0,1,0,1,1,53.816776462515726
0,3,0,0,0,1,0,51.11667401037475
2,2,0,0,0,0,0,50.41329127284672
0,2,0,0,0,0,0,52.38149889411963
2,3,0,1,0,1,0,50.28059710864408
5,2,0,1,0,1,0,49.35854359174222
3,2,0,1,1,0,0,50.62088166087237
4,1,0,1,1,1,0,49.05952766295808
5,2,0,1,1,1,0,47.99629088566149
2,3,0,0,1,1,1,51.12474233400226
1,2,0,0,1,1,0,50.37722887765183
4,4,0,0,0,1,1,51.35999330152596
6,3,0,1,0,1,1,51.291485243289486
8,2,0,1,0,1,1,50.31295867942008
-4,4,0,0,1,1,0,52.26668282892599
3,3,0,1,0,1,1,51.80991832793854
1,3,0,1,1,0,0,49.16480262411165
8,3,0,0,1,1,1,49.108291615647225
5,3,0,1,0,1,1,51.39912644903105
5,2,0,0,0,1,0,48.77208692056685
3,3,0,0,0,0,0,51.39061585906919
6,3,0,0,0,0,1,50.06317245656688
0,2,0,0,0,1,0,51.11245568954603
4,3,0,1,0,1,1,51.9175026814418
4,4,0,1,0,0,1,51.70111805374693
2,2,0,0,0,1,0,50.94725106943715
1,2,0,0,0,1,0,50.288278642777215
4,2,-1,0,0,0,0,49.779026579391136
2,2,0,0,1,0,0,48.74305464257678
4,2,0,0,0,0,0,50.10394636957601
8,1,0,0,1,1,0,49.33928620808698
2,4,0,0,0,0,1,51.7553807463382
2,2,0,0,0,0,0,49.34686347378509
4,2,1,0,0,1,0,49.98800154881417
6,3,0,0,0,1,1,50.97716076314349
4,3,1,0,0,1,1,51.40636475402391
3,2,0,0,0,1,0,50.126434463691695
4,2,0,0,0,1,0,49.12568121116829
1,2,0,0,0,1,0,51.31863334152016
6,3,0,1,0,1,1,50.51040889101606
3,2,0,0,0,0,0,50.23963608094628
2,2,0,0,1,1,0,50.58532239352481
2,3,0,1,0,1,0,51.10591036282083
-1,2,0,0,1,0,0,49.93900771350739
6,2,0,0,1,1,1,50.104496805603375
2,2,0,1,0,1,0,50.388162784274286
0,3,0,0,0,0,0,49.70826888062363
8,3,0,0,0,0,1,49.71889536425515
3,3,0,0,0,1,1,51.80588230052295
4,2,1,0,0,1,0,46.98125241946103
5,3,0,0,1,1,1,51.09394001196864
2,3,0,0,0,1,1,51.760545187517245
5,3,0,0,0,1,1,50.4378544628557
3,3,0,0,0,0,0,50.23532338390834
1,2,0,0,0,0,0,50.54908453985573
2,2,1,0,0,1,0,50.603602551664295
3,3,0,0,0,1,1,53.15866376812168
2,3,0,0,0,1,1,51.87728709135017
-2,4,0,1,0,1,0,53.00876859742878
3,3,0,1,0,1,1,52.36897817461878
4,3,0,1,1,1,1,48.96878972240305
5,3,0,1,0,1,1,49.95762156856078
2,2,0,1,0,1,0,48.20107441942875
3,2,0,0,1,1,0,51.58438699725348
6,2,0,0,1,1,1,49.8569595511328
0,2,1,0,0,0,0,50.74318134673284
6,3,0,1,0,1,1,52.19968130443994
5,2,0,1,0,1,0,49.38181152122929
3,3,0,1,0,1,1,49.6602673968075
4,2,0,1,0,1,0,49.204197327627824
3,2,0,0,1,1,0,50.07677307160582
5,3,0,0,0,1,1,50.94324046954771
5,3,0,0,1,1,0,45.98904493771979
0,1,0,1,0,1,0,50.520131987475786
3,4,0,0,0,1,1,50.95140420770764
2,3,1,0,1,1,0,48.73366768103953
4,3,0,1,0,1,1,51.10258298291425
2,1,0,1,1,1,0,49.76921646359862
-1,3,0,1,0,0,0,51.99472047640998
-1,3,1,1,0,0,0,52.59699665574523
3,3,0,0,0,0,1,50.84293160584358
0,3,0,1,0,1,0,52.106647333012255
7,3,0,0,1,1,1,49.54803159249568
2,3,0,0,0,1,0,51.12332877772567
4,2,0,0,0,1,0,48.20860817381848
0,2,0,1,0,1,0,50.2231172213496
1,2,0,0,1,1,0,49.06933445238028
3,2,1,1,0,1,0,49.69000541791574
6,2,0,1,0,1,1,50.95514362056345
0,3,0,0,0,1,0,50.48571174963876
3,3,0,0,0,0,1,50.67893183934992
0,2,0,0,0,1,0,50.46943366313656
3,3,0,0,1,1,1,51.15858596007314
3,2,0,1,0,1,0,48.6758349106715
2,3,0,1,0,1,0,50.56645082686019
-1,2,0,1,0,1,0,51.37902209843682
0,2,0,0,0,1,0,48.568148575890426
1,3,0,1,0,0,1,53.08234674671078
5,3,0,0,1,0,0,49.55394025533859
2,2,0,0,0,1,0,51.805447966030336
4,3,0,0,0,1,1,49.628120004000834
5,2,0,1,0,1,0,49.35999222774295
4,2,0,0,1,1,0,48.79543568484468
1,2,0,1,0,1,0,49.75523634352723
3,3,1,1,0,1,1,52.02829345988083
3,2,0,0,0,0,0,49.87003638020944
4,1,0,1,0,0,0,48.87402126175222
4,2,0,0,0,1,0,48.37494536057738
2,2,1,1,0,1,0,49.5993111762346
4,3,0,0,1,1,1,49.99410487770856
1,1,0,0,1,1,0,50.33139138435583
3,2,0,0,0,1,0,50.01023542097218
0,3,0,1,0,1,0,48.97666551626023
5,2,0,1,0,0,0,49.52344114803276
2,2,-1,0,0,1,0,51.04749039626999
8,3,0,1,0,1,1,47.26728741630033
2,3,0,1,0,1,1,51.24076676219246
5,2,0,0,0,1,1,49.05561478054303
6,3,0,0,0,1,1,50.5347351216
1,1,0,0,0,1,0,50.43680671906163
5,2,0,0,0,0,0,49.29014447946953
4,2,0,1,0,1,1,51.12988379672549
1,3,0,0,1,1,0,49.01558530132336
3,2,0,1,0,1,1,51.90659700284686
5,3,0,0,1,0,0,50.218323717029634
5,2,0,1,1,0,0,46.74091441568294
1,2,0,0,1,0,0,52.04191565244327
6,2,0,1,0,1,0,48.851948130179466
7,2,0,1,1,0,1,50.40101319028507
5,2,0,0,1,1,0,49.623421313304505
2,2,0,1,1,1,0,48.34386805798989
3,2,0,1,0,1,0,50.98196587155843
2,2,1,1,0,1,0,49.45566405467439
7,3,0,0,1,1,1,49.668842728713926
1,3,0,1,1,1,1,51.22484326031803
1,4,0,1,0,0,1,52.89469528935227
3,3,0,0,0,1,0,47.46536910738001
3,2,1,0,0,1,0,47.8183896307054
1,3,0,1,1,1,0,50.74841657497957
6,2,0,1,0,1,1,50.55638139887812
-1,2,0,0,0,1,0,51.99390893241966
3,2,0,0,0,1,1,52.50771519950532
2,3,0,0,0,1,0,50.38381285439896
5,2,0,0,0,1,1,48.99950286200799
3,1,0,0,0,0,0,50.1064639594809
4,2,0,1,0,1,1,53.23875999072296
3,2,0,1,1,0,0,50.36677220430917
2,3,-1,0,0,0,1,53.832884330530426
7,2,0,1,1,0,1,50.20542417323215
0,2,0,1,1,0,0,51.22047997241494
2,3,0,1,0,1,1,51.89387132248153
3,3,0,0,0,0,1,49.57478997566088
5,3,0,1,0,1,1,51.00535262494029
2,3,0,1,0,0,0,50.7735705640993
5,2,0,0,1,1,1,51.69919127866906
0,3,0,0,0,0,0,50.47227806345797
2,3,0,0,0,1,0,49.93428532109611
3,2,1,1,0,1,0,49.6996229232475
4,3,0,0,0,1,1,51.22835846383486
2,2,0,1,0,1,0,50.275751444049966
5,2,0,0,0,1,1,49.24126492455158
4,2,0,1,0,0,0,47.049048413624455
5,3,0,1,0,1,1,50.80475072065761
2,2,0,1,1,1,0,49.24679620164445
2,2,0,0,0,0,0,50.59531209323909
3,1,0,1,1,0,0,48.30495297744502
4,3,0,0,1,1,1,51.78442337915374
5,2,0,0,1,1,0,46.19010770154179
9,2,0,1,0,1,1,50.01559781533929
4,3,0,1,0,1,0,50.50110767600156
-1,3,1,0,0,1,1,52.65424915231009
3,4,0,0,0,1,0,50.74060185002008
4,1,0,0,0,0,0,48.83850897378428
5,3,0,1,0,0,1,52.14164137323127
5,3,0,1,0,1,0,48.75304028378726
5,3,0,0,1,1,1,52.01231572866905
7,2,0,0,1,1,1,50.11153184899734
1,2,0,0,0,0,0,51.33750614920055
5,3,1,0,0,1,1,50.77048335084389
2,2,0,0,1,1,0,49.50507271733112
2,2,0,0,0,1,0,48.55155873947184
9,3,0,1,1,0,1,48.28800845187273
0,2,0,0,1,0,0,51.399764783381485
3,3,0,0,0,1,1,53.11853530927411
2,2,0,1,0,1,0,50.10731329929302
3,3,0,1,0,1,1,51.58690144527881
2,3,1,0,0,1,0,51.299690088969285
3,2,0,1,1,0,0,49.00835556436501
1,3,0,0,0,1,0,49.551437891207286
2,2,1,0,1,1,0,50.66812798233438
2,3,0,0,0,1,1,52.119525924047714
7,2,0,1,1,1,1,47.57431348213406
0,3,0,1,1,1,0,50.64847704638692
5,3,0,0,0,1,1,52.24119324761856
5,2,0,1,1,1,0,48.69873161467698
6,3,0,1,0,0,1,51.4439005958599
3,3,0,0,0,1,1,51.21244709306735
4,2,1,0,1,1,0,46.701120193084186
0,2,0,0,1,1,0,51.465383840869904
-3,3,0,1,0,1,0,52.172598203885066
0,4,0,0,1,1,1,53.61846761880211
3,2,0,0,1,1,0,48.656749110385576
0,2,-1,0,1,1,0,50.95555942790392
5,3,0,1,1,1,1,50.85815087816552
2,2,0,0,1,1,0,48.22720706804698
3,2,0,0,0,0,0,50.99603922839649
2,4,0,0,0,1,1,53.15252136884371
6,3,1,1,0,0,1,49.67402546388512
3,3,0,0,0,1,1,51.44117315805974
3,3,0,0,0,1,1,51.36530769698509
4,2,0,0,1,1,0,47.65004542588143
1,3,0,1,0,0,0,50.233076365865166
2,3,0,0,1,1,0,49.70465928307151
3,3,0,1,1,1,1,50.61046179266649
5,3,0,0,0,1,1,49.31680953524301
4,3,0,0,1,1,0,49.72316039766892
4,2,-1,1,1,0,0,48.44798696330562
4,2,0,0,0,1,1,49.7299046655144
3,4,1,1,0,1,1,51.00239035066989
1,2,0,1,1,1,0,51.12538110250358
5,3,0,1,0,1,1,49.06570601921391
4,3,0,0,1,0,1,52.37351068440544
1,3,0,1,1,1,0,49.52412211889291
5,2,0,1,1,1,0,48.30682579857015
3,2,0,0,0,0,0,50.10439560013368
4,2,0,1,1,1,0,49.99969167203129
4,1,-1,0,0,1,0,48.37718969354078
3,2,0,0,0,0,0,49.07570559264528
3,2,0,0,1,1,0,48.62826149168288
5,3,0,0,0,0,1,49.53880755033845
6,2,0,0,1,1,0,46.6150862386837
3,3,0,0,1,1,1,53.228510554889
3,3,0,1,1,0,0,49.41964910245965
4,2,0,0,0,1,1,52.94857371277811
1,2,0,0,0,0,0,50.40411364785028
2,3,0,1,0,1,0,49.41430436532779
0,2,0,0,0,1,0,50.4168408000445
5,4,0,0,0,0,1,50.97907059983443
3,2,0,1,1,1,0,49.27052074550968
8,2,0,0,0,1,1,49.441217401828645
4,2,0,1,0,1,0,47.56017817403834
4,2,0,0,1,0,1,50.56018829350937
1,2,0,0,1,1,0,50.04163300951354
2,3,0,1,0,0,0,50.34520052396564
7,2,0,0,0,1,1,50.28918483274845
4,2,0,1,1,1,1,50.79542596003687
4,2,0,1,0,1,0,47.70624398144393
9,2,-1,1,1,1,1,47.67921249900064
6,3,0,0,0,1,1,51.17437183222324
2,1,0,0,0,1,0,49.48353704720243
2,2,0,1,1,1,0,49.98992947601765
5,3,0,1,1,0,1,48.116129012711454
10,3,0,0,1,1,1,48.26268054877709
2,3,1,0,1,0,0,48.24928184303163
8,2,0,0,0,0,1,48.98560009796391
5,3,0,0,1,1,0,47.85554649255789
2,3,0,0,1,1,0,50.079077885333554
1,2,0,1,1,0,0,49.88448452050653
3,3,0,0,1,1,0,49.155616790917
5,2,0,1,0,1,0,50.41555849778471
3,3,0,0,0,1,1,51.52355033569258
3,2,0,1,0,1,0,49.11062530855073
4,3,0,1,0,1,1,51.12180779886524
7,3,1,0,0,1,1,49.92955902750563
0,2,0,0,0,1,0,50.06359118843
5,3,1,1,0,0,1,50.97019205856024
2,2,0,1,0,1,0,50.78336322160024
3,2,0,1,1,1,0,49.062014922552656
6,3,0,0,0,1,1,48.38969017524644
2,3,0,0,0,0,0,50.29974689652272
5,2,0,0,0,1,0,49.04033947244519
8,3,0,0,0,0,1,49.468133075843134
2,3,1,1,1,0,0,47.76108414831295
2,3,0,0,0,1,0,50.36689364232641
1,3,0,1,0,0,0,50.90857873997911
2,3,0,1,0,1,0,50.96395118383519
5,2,0,1,0,0,0,47.99720654599138
3,2,0,0,0,1,0,48.64259782670037
4,3,1,1,1,1,1,49.36292310899335
3,3,0,1,1,0,1,50.651310964355375
1,2,0,0,1,0,0,51.64665648374305
5,2,0,0,0,1,0,48.33733255407491
9,2,0,0,0,1,1,49.95922824778478
6,2,0,1,0,0,1,49.996006708024495
6,2,0,1,0,0,0,49.5261439486444
3,2,0,0,1,1,0,49.20424065550277
1,1,0,0,0,1,0,50.09731428561035
3,2,0,1,0,1,0,49.83840285935774
8,4,0,0,1,0,1,49.40215701246756
3,3,0,0,0,0,1,50.9202163871063
0,3,0,0,0,1,1,53.52508911567423
4,3,-1,1,1,0,1,51.63031496670445
3,2,0,0,1,0,0,47.96765987523843
2,3,0,0,0,0,0,49.88591934018165
5,3,1,0,0,0,1,51.13279420733917
4,2,0,1,1,1,1,50.55359121353589
5,2,0,0,0,1,0,49.00982290393312
1,2,1,0,0,1,0,50.09140649148037
