individual_age,education_level,household_income,employment_status,community_involvement,internet_access,public_transport_access,social_media_usage,political_participation
15,24,5,19,3,0,0,1,98.98769957906974
29,23,4,8,1,0,0,0,98.20760994526005
31,16,7,14,1,0,0,1,104.77390259051538
34,21,5,13,1,0,0,1,110.24666626678037
21,25,6,17,2,1,0,1,106.53558489707896
32,17,7,12,1,1,0,1,104.87425605713958
22,22,9,25,0,0,0,1,106.242418382371
26,17,6,10,3,0,1,0,91.88382037495678
35,26,5,19,1,0,1,1,117.44294961576676
16,18,5,20,2,0,1,1,96.64195439088898
-7,31,6,15,1,0,0,0,73.97507390534587
17,23,8,6,3,0,1,1,94.58878383024523
19,26,3,17,1,0,0,0,94.84522400314596
19,19,9,17,0,0,0,0,90.3113783564936
25,21,6,18,1,1,1,0,96.83636870018128
30,29,6,10,2,0,1,1,111.58029166221912
10,18,7,9,0,0,1,1,85.7027362283622
25,18,5,3,2,0,1,1,95.11794518196687
25,15,5,18,3,0,0,0,93.72219065402852
19,17,4,7,1,1,0,0,84.23275738804638
38,32,9,19,2,0,0,1,124.59576225160906
11,21,4,16,1,0,0,1,92.30163646264634
44,28,3,18,1,0,1,1,125.24281714879363
26,24,7,15,0,0,0,1,106.40937719487152
17,31,5,13,2,0,1,1,102.60127589273436
27,23,8,26,3,0,0,0,102.38675101350458
25,24,5,15,4,1,1,1,107.4764628629906
27,24,4,12,2,1,0,1,108.16880383747043
20,25,8,16,2,0,0,0,95.24810044470102
31,21,5,19,1,0,1,1,110.71775320908232
33,28,2,15,1,1,0,1,115.7945012526426
10,25,6,18,3,0,0,0,87.96428579073361
37,17,10,19,1,0,0,0,104.2262182328643
28,22,2,8,2,0,0,1,102.72416160494429
17,26,7,17,2,0,0,1,102.91436983300122
20,22,5,21,2,0,1,0,94.94812894977576
21,17,3,15,0,0,1,0,86.874478753237
28,24,9,13,1,0,1,1,108.12841996157096
29,26,4,16,1,1,0,0,103.4951945535778
30,24,3,12,0,1,1,1,108.0695360727648
16,25,3,5,1,1,0,1,95.0031265531337
29,24,6,9,1,0,1,1,105.27334547252585
44,30,7,11,2,0,0,1,126.21486424178244
12,31,4,12,3,0,0,1,99.62528944378391
9,26,5,22,2,0,0,0,88.78568864456389
23,20,3,19,2,0,0,1,103.27451764069907
25,30,6,12,1,0,0,0,100.69629343580236
40,27,6,12,1,0,1,1,118.5622228400162
26,24,2,12,1,0,0,0,95.58478053671377
33,16,4,13,1,1,0,1,106.4189260438737
35,24,10,12,0,1,0,1,114.75550935168012
13,22,6,20,2,0,0,1,96.73551035337448
34,24,6,22,2,0,0,1,116.60725489654416
20,26,8,19,0,1,1,0,98.22213942374792
17,24,3,16,1,1,0,1,99.60840748381318
29,20,5,17,3,1,0,0,100.00392283002314
14,26,5,18,1,0,1,1,97.87324528537594
15,24,3,13,0,0,0,1,94.24181656319809
0,26,3,15,3,0,0,1,85.31739628037928
15,20,6,12,2,0,0,0,85.30031730801134
13,21,10,22,2,1,0,0,89.23804369303822
26,22,5,15,0,1,0,0,97.08513823561306
24,21,4,17,2,0,0,0,93.65529737352928
16,26,3,15,2,0,1,0,91.51001933263773
21,28,3,11,1,0,0,0,96.2004901704477
24,31,6,13,2,1,0,1,111.84409518362035
24,20,3,17,2,0,0,1,103.83302263233972
25,29,5,7,1,1,0,0,96.79438882225683
25,22,4,16,0,0,0,1,101.85167093148158
36,19,2,20,2,0,0,0,104.14064510558887
13,25,6,13,0,0,0,1,93.676008750638
13,23,2,14,2,1,0,0,86.20014213549896
21,28,4,10,3,0,1,0,96.0011228562245
27,19,6,12,4,1,0,1,103.92008119688587
4,30,8,20,1,0,0,1,93.8282372322796
30,25,4,12,1,1,0,0,99.868284177411
35,23,8,12,2,0,0,1,112.70437590803408
28,26,5,19,1,0,1,1,111.95088506537036
28,20,6,11,0,1,1,1,104.60377714066844
34,23,7,13,0,1,0,1,112.35645856678305
29,19,6,18,0,0,1,1,105.79485888309928
37,29,5,15,1,0,0,1,118.82809286289404
32,20,3,10,2,1,0,1,106.60609234753886
24,18,6,15,0,0,0,0,93.9803438517245
11,29,6,18,1,0,0,1,99.4251214511137
29,24,5,21,2,0,1,1,111.82678250211885
23,19,4,12,1,0,0,1,99.74570178572282
41,20,3,15,1,0,1,0,106.86803960403472
5,23,0,15,2,0,0,1,84.97865292959243
44,26,6,19,0,0,0,1,125.45178882318288
32,19,5,14,0,0,0,1,107.87814305408172
21,24,2,16,2,0,1,0,94.05110214524318
24,25,2,17,0,0,0,0,97.35945091045144
16,20,6,17,3,1,0,1,98.46143064957478
13,27,5,22,1,1,0,0,93.82035384497088
12,26,7,16,2,0,0,1,98.522842874533
12,23,3,21,4,1,0,1,97.4790837172366
34,26,8,18,0,1,1,0,107.74552465888392
21,27,10,13,2,0,0,1,103.8001988243116
23,24,5,9,1,0,0,1,100.8914990929344
25,26,2,17,1,0,0,1,108.43773034022384
10,23,4,17,2,0,0,1,91.46037144266624
21,20,8,18,3,0,0,1,102.1833520296925
11,25,5,18,0,0,0,1,94.28979978040724
8,24,8,16,2,0,0,0,86.58470657768179
12,29,6,12,0,0,0,1,96.00767943024384
14,21,10,19,2,1,1,0,90.10859397187252
-1,22,8,16,3,0,0,1,83.60056585044829
22,25,2,8,1,0,0,1,100.2700870101253
27,18,5,9,1,1,0,1,101.99617946228268
14,21,8,23,2,1,0,1,99.94023510666428
12,16,9,19,2,0,1,1,91.0458986889249
47,25,5,22,2,0,1,0,121.21692907845664
10,23,5,16,0,0,0,1,91.7715145456553
32,19,5,9,3,0,0,1,104.79791251845074
49,20,4,13,2,1,1,1,123.11473431850834
1,22,6,20,1,0,0,0,78.63865940517991
23,18,6,18,2,0,0,0,92.08773941731144
16,21,5,15,1,0,0,1,97.88843234411183
34,16,4,14,0,1,0,1,107.366878991935
23,19,1,16,0,1,0,0,90.68088948557951
19,23,6,19,1,0,1,0,93.04938256151172
28,26,4,10,1,1,0,1,106.7436363898061
25,22,5,11,3,0,0,0,92.65407648073216
16,19,3,17,5,0,0,1,96.70473715401933
9,27,6,16,1,1,0,1,94.92549078394626
35,16,5,15,2,0,0,0,100.34900577698284
53,19,3,17,0,0,0,1,124.85055137820764
24,18,3,9,3,0,1,1,96.88467603631612
34,26,10,13,2,0,1,1,114.98289481524768
28,18,2,8,3,0,0,1,98.73525684829292
20,28,7,7,1,0,0,0,92.41440867561307
28,15,4,17,1,1,0,0,94.9389949687989
22,20,6,18,2,0,1,1,101.83466173530866
20,22,4,16,3,1,0,1,99.46595625815324
21,25,9,13,2,1,1,1,103.65025999209514
28,21,6,22,2,0,1,0,101.1714595040718
19,18,8,12,0,1,0,1,97.1080880809687
28,22,4,11,1,0,1,1,104.38471421562458
14,24,3,21,2,1,1,0,90.06936981955546
11,29,4,13,3,0,0,1,95.98970641887652
18,21,5,15,2,0,1,1,97.79314102062612
19,29,2,22,1,0,1,1,107.0058992983414
33,19,7,21,3,1,1,1,112.01182381851632
12,21,7,8,1,0,0,1,89.29674099285839
17,24,10,14,1,0,0,0,90.95264551235398
22,30,7,16,2,0,0,1,108.20012843746883
31,18,6,13,4,1,0,1,106.44220289897488
28,17,6,16,0,0,0,0,96.6834717515252
37,20,8,10,1,1,0,1,111.78801733214704
22,25,2,15,1,1,0,0,96.1648205080542
21,24,6,15,1,1,0,0,96.1267326075002
38,23,4,7,2,0,0,0,104.84470914126165
27,23,6,8,2,0,1,0,95.44854309857242
40,30,4,15,2,1,1,1,124.4789750127316
21,24,3,13,1,0,1,1,100.56443288314378
25,24,7,14,1,0,0,1,106.39431686021092
39,18,7,22,2,1,1,1,118.19213513554892
26,28,5,19,0,0,1,1,109.66670968951745
27,24,3,22,0,0,1,0,102.513107164859
23,25,5,21,1,0,0,0,98.88985841600386
27,23,6,18,4,1,0,0,101.52653010382149
18,33,5,15,2,0,0,1,106.16089163752412
22,26,5,16,2,0,0,1,106.08464480920232
27,19,5,14,2,0,0,0,94.25102986833645
12,27,6,17,0,1,0,0,90.67396761480316
11,22,4,12,2,0,0,1,90.56115764951996
16,19,3,10,1,1,1,0,84.20237949745012
34,21,10,16,1,0,0,0,103.1609677156578
20,29,4,17,3,1,0,0,97.56792648147376
24,20,4,13,2,1,0,0,94.04679691225762
30,22,5,12,2,0,0,0,99.1531573914328
28,16,6,16,1,1,0,1,104.727619915265
7,24,5,18,1,0,1,1,93.06109575872875
38,23,6,13,3,0,0,1,116.2928114951792
28,28,11,13,1,0,0,0,102.66983744998645
12,24,1,18,2,0,0,0,88.2169770551475
15,22,6,24,0,1,1,1,100.26452740566826
35,20,4,12,1,1,0,0,102.68451339044591
20,27,2,20,1,0,0,0,98.08597189208848
17,24,6,22,2,0,0,0,93.8150665615278
36,24,5,11,1,1,1,1,114.47239323424652
10,17,11,16,3,0,1,1,89.82794013170208
21,19,7,20,1,0,1,1,101.1453976769504
11,27,6,14,2,0,0,0,86.82698711772083
19,24,7,11,1,0,1,0,90.91607533299192
12,19,5,13,0,1,0,0,83.14957554383022
29,25,4,12,4,1,0,1,108.60350674880314
17,25,8,21,1,1,0,1,102.17750152255556
22,25,0,15,2,1,1,1,103.81489749926904
30,22,3,7,1,0,1,1,103.78634190073087
27,20,6,13,0,0,0,1,101.30457644086414
19,28,8,17,1,1,1,1,105.24321689805882
25,25,5,22,3,1,0,0,103.77902622918845
18,27,6,14,2,1,1,0,93.6685389595878
44,29,10,6,2,0,1,0,114.85265416473663
9,20,6,15,2,0,1,0,81.09567170114038
17,26,7,14,2,0,1,1,100.07092673848548
34,26,8,10,2,1,0,0,105.91254039578968
29,20,6,12,2,0,0,1,104.51873169328802
39,22,5,11,2,0,0,1,114.63245860017656
26,23,4,13,3,0,1,0,96.9489565023806
33,25,4,17,2,1,0,1,115.79304623879035
14,14,5,13,2,0,0,1,87.20610422491818
26,20,7,8,3,0,1,1,101.59665849674646
26,18,7,19,3,0,0,0,95.67397632164092
35,22,4,9,1,0,0,1,109.60674353126772
28,27,6,11,2,0,0,1,108.46496872207152
19,24,2,15,1,1,1,1,100.86306498388376
25,24,8,6,0,0,1,0,92.93719020575216
3,21,4,17,0,0,0,0,77.34836198609291
24,27,7,16,1,0,0,0,100.43160909263402
22,24,4,18,3,1,0,0,98.7541247028812
20,25,3,22,1,0,1,0,95.05355515166858
15,27,5,16,1,0,1,1,100.89246096432242
22,17,1,20,5,1,0,0,92.07116850575396
41,22,7,12,1,0,0,1,120.75585595195732
30,22,7,17,4,1,1,0,104.07833372903237
40,21,4,13,1,1,0,1,115.77996210091476
35,32,7,15,2,1,0,1,119.56827219747908
21,24,5,12,2,1,1,1,102.03937795994244
32,23,9,17,2,0,1,1,112.3322281430124
18,24,5,4,0,0,1,0,87.22575689055827
27,26,2,25,2,0,0,0,105.33825468173578
21,15,12,6,2,1,0,1,93.95131001614055
10,24,6,18,1,0,0,1,94.5874630859098
45,15,7,21,1,1,1,0,112.8211897827199
22,23,6,13,2,1,0,0,94.29287699059012
35,20,6,18,3,1,0,0,105.11809633516114
16,22,6,21,1,0,0,1,99.1578000026286
36,25,4,19,2,1,0,1,118.49971108367994
20,22,4,14,1,0,0,0,90.18073898050724
23,27,5,10,1,1,0,1,104.67050875022046
13,24,5,15,0,0,1,1,95.35773331986442
24,27,4,9,2,1,0,0,96.34276849092072
14,20,12,18,2,0,0,1,98.00610739494452
15,33,4,17,0,0,0,1,106.1825981244029
34,23,3,15,1,0,0,0,103.98157928207355
20,19,4,17,4,1,1,1,98.47134086206208
41,28,7,12,1,0,0,0,113.4520273855175
26,29,3,10,1,0,0,0,99.13897820369776
12,27,7,19,2,0,0,0,88.65457889490675
15,30,7,17,0,0,1,1,104.59088940450911
42,27,4,14,2,0,1,1,122.81885152874078
18,28,8,22,2,0,0,1,106.76435242384972
15,19,9,25,3,0,1,0,91.80429616539026
21,22,4,20,1,0,0,0,94.4159125871261
14,29,4,21,2,0,0,0,94.48396759573151
14,27,2,12,4,1,0,0,90.41920628284376
24,27,0,6,2,0,1,0,93.03732789498832
31,21,10,14,2,0,0,1,109.76981753668328
31,15,4,14,1,0,0,1,103.0792122040578
18,19,5,24,2,0,0,1,99.2525553547388
25,26,7,22,2,0,1,1,110.30758495567042
4,27,4,16,0,0,0,0,83.22648984191277
30,26,3,16,1,1,1,0,105.07742000852012
17,23,4,15,1,0,0,1,96.12696993437312
15,25,3,13,0,0,0,0,88.48096965071922
34,27,2,20,1,0,0,0,108.8257386008441
18,25,5,27,0,0,0,0,96.30307375097868
21,24,2,13,2,1,0,0,93.51241788657224
28,24,4,18,0,1,0,1,109.60023218992345
19,26,5,6,2,1,1,1,98.30176212198762
34,23,8,13,2,1,1,1,114.31620776545172
5,23,6,8,1,0,1,1,86.097761131255
31,22,5,18,0,1,1,0,102.6391582698566
30,22,8,13,2,1,1,0,101.60648539477586
4,23,13,21,1,0,1,1,92.63311338729687
31,18,6,16,2,1,0,0,100.15721435596012
19,25,5,15,2,0,1,0,94.56587902459076
13,17,5,21,1,0,0,1,92.12552893790628
28,29,6,6,3,0,0,1,107.54087513484733
33,19,3,16,2,0,0,1,111.08397923175522
-5,28,6,24,1,0,0,1,86.48640096747496
36,25,2,10,1,0,0,1,112.4044566165709
22,20,7,16,0,0,0,0,91.86871043312124
25,21,2,13,2,1,0,1,103.0305363322486
35,21,5,23,2,1,0,0,109.03006397504858
20,28,9,10,1,1,0,0,96.25737511188429
12,22,3,10,1,0,0,1,92.44369041854908
34,18,6,8,1,0,1,1,106.8526782041228
15,19,4,26,1,0,1,0,90.05664106674914
35,25,4,27,0,0,0,0,109.78897727359887
33,26,6,18,1,1,1,1,114.49498250311466
38,22,5,22,1,0,0,0,110.53798647411251
11,27,5,12,2,1,1,1,95.2880899151867
20,23,4,4,2,0,0,1,96.33814163342474
35,21,3,18,0,1,1,1,111.92731215978095
30,22,6,12,1,0,1,0,99.45212143476346
40,20,3,17,3,0,1,1,117.19515283615782
28,25,7,16,1,1,0,0,102.49079820969678
40,22,8,23,1,0,1,0,113.96829624979507
24,20,3,20,1,1,1,1,104.14406310965376
33,23,5,11,2,0,0,1,110.49230127091047
15,19,4,12,2,0,1,0,85.26052463160383
24,23,5,18,3,0,0,1,105.66086220664712
55,25,3,21,1,0,0,0,125.56296643256466
45,22,5,12,2,0,0,1,119.87385646410202
21,24,3,12,0,1,0,0,92.60714789452771
28,22,8,13,2,1,1,0,98.32758611605846
43,22,10,17,1,0,0,1,120.3935585322142
26,18,9,16,0,0,1,0,95.54722276850669
38,28,3,15,0,1,0,0,109.94690752044522
18,19,8,13,2,0,0,0,87.75180445853925
5,32,2,13,2,0,1,0,83.9882142925377
37,25,6,18,0,0,0,1,118.09671639391094
23,20,7,18,1,0,0,1,103.52463589636044
20,24,4,18,2,1,0,1,103.1386803655784
9,22,2,10,1,0,1,0,79.20148275486713
3,19,6,20,0,0,0,1,85.3080684007831
25,28,6,13,2,0,1,0,100.92201994292957
22,19,6,16,1,1,0,0,90.12415717112358
11,17,5,22,2,0,0,1,92.62127238057025
9,21,3,16,2,1,0,0,82.25568936956326
11,26,8,13,3,1,0,0,85.76907258317944
6,27,7,11,0,0,0,1,89.364860768758
20,20,5,13,2,0,0,1,97.03822924313629
7,27,3,18,1,1,1,0,86.55900580558591
16,22,5,4,4,0,1,1,92.33551169824712
46,27,6,15,1,0,0,0,117.24371155414524
11,28,8,10,2,0,0,0,86.80025981068182
19,20,7,12,1,1,0,0,89.14939722906743
2,32,5,11,2,0,0,0,80.81516855737489
23,31,5,22,1,0,0,0,104.1135722092412
31,24,8,14,2,1,0,0,103.17588851349409
48,26,5,18,1,0,0,1,127.63492362974786
17,22,4,15,3,1,0,0,90.01715308447987
28,23,4,8,2,0,1,0,95.14461487328984
22,18,6,14,0,0,0,0,89.97692930000626
26,18,6,5,3,1,1,0,89.58782251805545
33,22,5,17,1,0,0,0,102.6699428396299
29,28,7,19,0,0,0,1,113.81379759658562
30,29,5,16,2,1,0,1,115.28767854480424
12,24,4,25,1,0,0,1,98.51540636377408
24,28,4,20,0,0,0,0,100.7642336450448
28,24,3,14,2,0,0,0,98.64397229916888
27,22,4,11,1,0,0,1,102.26668776487728
25,26,3,16,3,0,0,0,98.16182513212496
27,28,8,10,1,1,1,1,108.7865360763716
43,21,7,11,3,0,0,0,111.99259993753292
17,22,6,14,2,1,0,0,88.52102577595792
47,24,7,19,2,1,0,1,127.50395347382954
11,16,8,20,1,0,1,1,89.82254054556584
26,27,7,9,1,0,0,0,97.88253448472057
29,19,5,14,1,0,0,1,103.29257903211332
23,23,6,13,2,0,1,0,94.42379504931026
28,27,4,14,2,0,0,1,110.06451986640238
16,19,8,8,2,0,1,1,92.39872803501048
22,21,6,13,0,0,0,0,90.558092938002
20,25,2,15,1,1,1,0,93.71137183586168
21,25,7,6,0,1,0,0,89.67295274844113
24,21,3,19,1,1,0,0,96.77754633716113
25,22,6,17,3,0,1,0,98.11636326994416
32,24,8,10,1,0,0,1,110.75995178633258
28,22,0,14,3,0,0,0,97.8902097604074
15,24,4,16,3,1,0,1,99.79259713346352
45,29,4,20,2,0,1,0,120.3172677460895
17,30,4,17,1,1,0,0,96.08760499712496
14,23,2,15,2,0,1,1,95.83313983632858
21,22,9,23,1,0,0,0,98.12912593891426
36,25,11,16,1,0,0,1,117.63922421247813
23,23,5,17,2,0,0,1,103.5803505757234
12,27,7,16,3,1,0,0,90.0735881675079
14,20,10,7,1,1,1,1,89.20508743660339
19,13,4,10,3,0,0,0,81.33929275064877
42,17,6,21,2,0,0,1,117.59951730313352
28,31,7,15,2,0,0,1,114.55695514331576
20,31,7,17,2,0,0,0,101.51129424337576
23,22,9,14,2,0,1,0,95.43300043679498
36,22,6,16,3,0,0,1,115.34029741378563
29,23,4,9,0,0,0,1,105.63152725227474
19,24,5,14,1,1,0,0,92.85800613613858
29,20,0,16,1,0,1,0,95.89417440454388
47,20,3,7,0,0,1,0,108.7014735635896
24,20,4,7,2,0,0,0,89.98497191000324
24,26,6,10,2,0,1,1,105.3549890937146
25,22,8,15,1,1,1,1,105.99051419883448
20,27,5,10,2,0,1,0,94.9137469013859
28,28,6,14,2,1,0,1,111.14851545362067
17,21,4,21,1,0,0,1,97.6916094795436
34,21,5,13,1,0,0,0,103.36470142151616
16,17,4,21,2,0,1,0,88.56625219646052
19,19,5,15,2,1,0,1,95.3549902841659
40,18,5,11,2,0,1,0,102.83287384317504
15,20,7,17,2,1,0,0,89.45503758340166
28,23,4,15,1,0,0,0,100.17712724179364
17,29,6,14,0,0,0,0,93.17050336365637
40,26,5,8,1,1,1,1,116.14710615518324
28,25,5,21,3,1,1,1,112.30469711263252
25,15,5,20,1,0,0,0,93.43927180076108
9,25,6,7,2,0,1,0,80.46937445089156
16,26,7,13,0,0,1,0,88.54995479225214
29,26,3,9,2,0,1,0,99.1280784088758
22,18,3,15,4,0,1,1,97.69092610269068
31,27,6,12,0,0,0,1,112.84376619700586
33,25,7,17,2,1,0,1,114.59141146516836
42,27,3,8,1,0,1,0,109.60335240589704
28,24,4,16,2,1,1,0,101.3617633993533
17,22,6,14,0,0,0,1,95.81807034950296
30,28,4,12,0,0,0,1,112.99891597021193
32,16,2,11,1,0,0,0,93.6266000155192
49,25,9,19,0,1,0,1,129.26649659439175
21,20,5,15,1,1,0,0,90.84373008005969
42,24,6,24,1,1,0,1,125.61571625521454
21,23,6,19,2,0,1,0,95.47997643713146
18,25,3,13,1,0,0,1,96.8693433480983
36,20,4,8,2,0,0,1,109.43344049636691
61,29,7,16,4,0,0,1,143.6861766347105
30,29,6,20,2,1,0,0,108.58384610084534
8,25,7,16,2,0,1,0,85.38465636578924
32,24,5,22,4,0,0,1,115.44938889595292
27,28,10,7,2,1,0,1,108.23508990097638
21,27,7,23,0,0,0,1,106.85641751324644
26,27,8,9,2,0,0,0,98.85187689765876
15,21,8,15,2,0,1,1,95.86398217637408
19,25,3,19,2,0,1,0,93.63108724769742
17,27,6,6,2,0,0,0,89.9585555924733
14,21,5,16,0,1,0,0,86.40734174293128
18,32,5,20,1,0,0,0,98.56831114600766
33,26,8,27,1,0,0,0,112.1042446733194
43,25,7,17,2,0,0,1,124.09711152482186
18,22,7,26,2,0,1,1,105.05354149172396
31,23,6,18,3,0,1,0,102.805992152755
20,21,2,7,3,1,0,0,90.11859492706428
27,28,10,21,1,0,0,0,106.03454807491964
27,23,2,20,1,0,1,1,108.75029169516556
10,21,7,23,2,1,1,1,95.57634187150762
25,25,7,20,3,0,0,0,102.3858045181671
32,14,9,16,2,0,0,0,97.5320522221052
19,27,6,14,4,0,0,0,97.0586637626824
18,27,4,21,3,1,0,1,105.7424152125498
30,22,2,17,3,0,1,1,111.1184315315579
20,23,6,14,3,1,0,0,92.04101938187532
14,29,7,17,3,0,1,1,103.4451121071069
25,22,7,24,1,0,0,1,108.79547369152245
41,27,4,20,2,1,0,1,125.994372703874
26,18,3,19,1,0,1,0,94.77971909460013
18,25,11,22,2,0,0,1,107.23671272608932
26,24,2,16,1,0,1,0,98.83089399389584
30,19,8,17,3,0,1,1,109.3637616220698
18,20,1,13,1,0,0,0,87.97346764716258
19,20,7,15,2,1,0,0,91.23038337360884
36,22,7,12,2,0,1,0,104.04016774022897
21,28,6,7,2,1,0,0,94.9695007748317
29,23,6,15,3,1,1,0,101.85261411538362
26,25,6,11,2,0,0,0,97.06969897485207
27,21,8,18,4,0,0,1,109.04552230827372
35,26,6,22,1,0,0,1,119.9834551074484
24,26,7,22,1,1,0,0,102.20438402477563
40,26,5,18,1,1,0,1,120.35012125025824
12,20,8,17,0,1,1,0,83.98018728465833
25,20,2,12,2,0,0,0,93.91175092303853
24,20,6,9,2,0,1,0,92.12955165420084
20,17,7,8,1,0,0,1,92.59363579537714
16,24,3,13,0,1,0,1,95.68712694141809
24,21,6,17,2,0,1,0,95.36488027374894
37,24,6,18,3,1,0,1,119.7571226859893
18,31,4,16,0,1,1,1,105.39993566150196
34,22,3,17,1,0,1,0,103.94988670033908
31,19,4,22,0,0,1,0,101.2597657158772
30,18,6,12,4,1,0,1,107.55417933521096
24,19,5,14,3,0,1,1,101.59303585943108
17,26,6,18,2,1,0,1,103.69427451210596
25,36,7,14,3,1,1,0,108.61621885026118
17,25,7,22,1,1,0,1,103.70836842096824
33,36,10,9,0,0,1,0,112.67675084902928
33,28,6,19,3,1,0,0,110.68435996321814
12,25,4,15,0,0,0,1,95.2730369760367
46,24,6,9,1,0,0,0,111.29491511395776
22,27,7,13,3,0,0,0,98.60838902362757
24,13,9,13,0,1,1,1,94.44124891169388
33,20,4,14,0,0,1,1,108.626617042044
29,20,5,22,2,0,1,0,100.00930519337302
24,22,4,18,3,1,1,1,105.3660420482518
16,23,8,16,2,0,0,1,98.06146463597588
20,15,6,15,2,0,1,0,87.50853674692328
28,14,8,1,2,0,1,1,95.9952695165562
23,23,9,18,2,1,0,0,99.43281622777864
21,23,7,12,1,0,0,1,100.42880161393036
14,21,11,9,2,0,0,1,94.72212627463728
20,19,7,16,3,1,1,1,99.39464700235006
38,24,9,11,1,1,1,1,116.62028166426308
19,22,4,18,3,0,1,1,102.31641085327328
17,22,6,23,1,1,1,0,92.37052987014074
29,25,5,14,1,1,0,1,111.33975521326848
20,23,10,15,3,0,1,1,102.62024131467967
29,20,7,14,2,0,0,0,98.73263818254745
23,21,5,20,4,0,0,0,96.89962393326752
30,25,3,17,1,0,1,0,104.75093020467864
31,23,3,21,1,1,1,0,103.29655172013032
30,24,4,11,3,1,0,1,109.73998004442704
23,29,2,12,1,0,0,1,105.01444691537456
22,21,3,21,1,0,0,0,94.47611096213618
18,22,8,22,1,0,1,1,101.8467347621147
49,17,4,14,2,0,0,0,112.47821804188028
38,22,7,13,1,0,1,1,115.37225176080308
