individual_age,years_of_education,employed,internet_access,rural_residence,digital_literacy_program,internet_usage
39,26,1,1,1,0,76.14606472977411
40,27,0,0,1,1,78.47061681017556
21,29,0,0,1,1,62.56635293126757
34,23,0,0,0,1,74.22615816174125
11,15,1,1,0,1,57.263449175473
43,22,0,0,0,0,77.44125066031911
41,28,0,0,0,0,75.29595808449234
30,25,0,1,0,1,69.37076231954079
36,25,1,1,1,1,76.26727825605647
35,15,1,0,1,0,74.62435582639954
22,26,0,1,0,1,64.4786357118826
33,32,1,1,0,1,72.8501795920393
21,16,1,1,0,1,61.65328434534384
29,20,0,1,0,1,70.2935701677464
36,16,1,1,1,1,76.3140319293751
33,25,0,1,0,0,71.34868261385843
31,23,1,1,0,1,69.92099591550206
21,19,1,1,0,1,65.41465667476156
30,18,0,1,0,0,67.94531780449287
39,25,1,0,0,0,74.5470077535682
28,27,1,0,1,1,70.2630719007376
33,27,0,1,1,1,73.36557815174928
22,27,1,1,1,0,63.18624114812317
22,22,1,0,1,1,66.09122976733988
35,27,1,0,0,1,73.31833525812341
41,26,1,1,0,1,78.02531052389763
28,22,1,1,1,0,70.46776822585129
40,22,0,0,1,1,78.35057609016259
17,25,1,0,0,1,61.14638600992205
9,31,1,0,0,1,51.6339132557027
17,31,0,0,0,0,57.19629487536798
27,21,1,0,1,0,66.63856513836525
9,26,0,1,0,0,52.55748549563785
16,20,0,1,1,0,60.18832414050217
35,25,0,1,0,0,72.41268075515246
8,25,1,1,0,0,53.34508650650288
16,23,0,1,0,0,57.76911108156177
20,21,0,0,0,0,61.41631527720817
40,29,0,1,0,1,77.41966636441224
40,23,0,1,0,1,78.23683758480581
27,25,1,0,1,1,70.57327349598086
40,30,0,1,1,0,74.13874667655215
26,18,0,0,0,1,68.61081197024264
32,17,0,0,0,1,73.08939286383296
24,28,1,1,1,0,65.91439293841601
19,25,1,0,0,0,60.438565611794616
17,26,0,0,0,0,58.449811237793085
37,23,0,1,1,0,74.72193160030191
16,19,0,0,1,0,58.43231922525331
22,29,0,1,0,1,64.36474677522648
31,22,1,0,1,1,72.00151991002897
31,27,0,0,0,1,69.76405704604942
37,18,1,1,1,0,74.9045214789629
33,22,0,0,0,0,69.55346237591738
9,30,1,0,0,0,52.95181739570064
11,22,0,0,1,0,54.55979259200005
12,24,1,0,1,0,52.79800425140105
43,22,0,0,0,0,77.64886216516331
18,17,1,0,0,0,59.0463365735684
37,30,0,0,1,1,73.65265487019246
10,19,0,0,1,0,53.228872624124975
28,27,0,1,0,0,66.46873931977446
32,14,1,0,1,0,71.62726563968683
22,22,1,0,0,0,63.34069761571941
20,22,1,0,0,1,61.60621686092468
22,22,0,1,0,0,62.64468708058833
19,24,1,0,0,1,61.40170407597958
9,22,1,0,0,0,51.93190545929168
23,23,0,1,1,1,66.31062399578892
16,27,1,0,0,1,59.72705009615257
29,18,0,1,1,0,68.85472759921844
25,28,0,0,1,0,64.61479902244531
26,22,0,0,0,1,65.92276358337615
28,29,0,0,0,1,67.64325349561516
25,21,0,1,1,0,65.8115848296069
38,28,1,1,1,1,75.72893094675223
20,29,0,1,1,1,63.28545285686295
15,29,0,1,1,1,60.322154838421135
4,22,0,0,0,1,49.91639038052551
26,19,0,0,0,1,66.55867213294385
18,18,0,1,1,1,63.43643932196812
33,23,1,0,1,1,72.1965754045462
26,26,0,1,1,0,67.22114938545207
19,27,0,1,1,1,62.79231855203575
15,21,0,0,1,0,56.67681535593397
25,32,1,1,1,0,66.1821720593261
38,23,1,0,1,0,75.65540600992438
38,17,0,0,1,1,77.00088911005498
25,26,1,1,0,1,66.67762445406537
4,22,0,1,1,1,50.72058582217681
29,20,0,0,0,1,68.04867190168223
35,22,0,0,0,0,71.18967157482786
41,24,0,1,0,0,76.43354343698473
32,21,1,0,0,1,70.55595264695732
20,20,1,0,0,1,63.69772509448213
21,25,1,0,1,0,63.612094852884
8,18,0,0,0,1,53.56853586162528
16,18,0,1,0,0,56.66165261221781
35,22,0,1,0,1,73.6730915208849
23,27,0,0,0,1,63.79528840664015
39,25,0,0,0,1,75.78589309662614
16,35,0,0,1,1,59.34939556298436
13,23,1,1,1,0,56.88319809114009
20,14,1,1,1,1,63.95390785338465
20,15,0,0,1,1,62.2973821085665
22,21,1,0,0,1,64.84058658156803
23,23,1,1,0,0,63.07662493596039
48,34,0,0,0,1,83.95254832916743
22,19,1,1,0,1,64.37352867477645
23,27,0,1,0,0,63.80968600650874
33,23,0,0,1,0,71.19963513830017
28,34,0,0,1,0,68.56055685775311
13,31,0,0,0,0,53.40439361105911
2,23,0,1,0,1,51.06790390839527
28,25,0,1,1,0,67.41442040746055
31,25,0,0,0,0,68.02187253454062
29,19,0,0,0,1,69.90425757435284
17,12,1,0,0,0,58.71390066525999
21,27,0,1,0,1,63.9602716002917
22,29,0,0,0,1,63.861259531178455
17,24,0,0,0,1,59.2444185073962
8,30,1,0,1,0,53.007929029777976
18,25,1,1,1,0,60.10986573517729
16,24,1,0,0,1,58.70662447295621
13,27,0,0,0,0,57.217378442066526
19,27,0,0,1,1,63.07531221857669
24,28,0,1,1,1,65.4833026910537
40,20,1,1,1,1,78.0035518983502
30,25,0,1,0,1,69.9110752290696
15,17,0,1,1,1,60.38442700325219
29,25,1,1,0,0,69.26661415625975
30,20,0,1,0,0,67.9797406899565
32,20,0,0,0,0,70.92659885549274
45,28,0,1,0,1,80.29460798099134
21,21,1,0,0,0,62.05319362753895
12,23,1,1,1,0,57.81350835912093
25,25,0,0,0,0,66.36138441431169
33,17,0,0,0,1,72.71170206399454
32,18,0,1,0,1,72.24998254433714
33,30,1,1,0,1,72.80123642178891
23,25,1,1,1,0,65.0026738385251
33,23,1,0,1,1,73.21982236531748
29,25,0,0,0,0,66.5993104112847
12,19,1,1,0,0,56.91086213916607
40,26,0,0,0,0,75.99678197471441
14,32,1,0,1,1,60.14433132387072
33,28,0,0,1,0,71.38757588910316
-1,23,0,0,0,1,47.09493231277413
25,28,0,0,0,1,64.7388316993507
15,19,1,0,0,1,61.14116641821349
0,20,0,0,0,1,50.14989802974972
21,26,0,0,0,1,65.0536856865343
33,22,1,1,1,0,72.2655260577975
15,25,1,0,1,0,59.07023387839848
36,20,0,1,0,1,73.43427826177754
25,22,0,0,1,1,68.31368961651495
28,25,1,0,1,0,68.92038412355937
28,22,1,1,0,0,68.69081137333383
13,19,0,0,0,1,58.74352926732653
14,14,0,1,0,0,56.556033990169766
8,19,0,1,1,1,54.60060823298759
19,28,1,1,1,1,63.1107975997032
11,22,0,1,0,0,57.05030866092659
26,29,1,0,1,1,69.01428190006749
34,27,1,1,0,1,74.05553885146207
18,23,0,0,1,1,61.37505825353657
15,24,1,1,1,1,59.66044426765575
23,15,0,1,0,0,63.799855058507575
15,26,1,1,1,1,59.12139238170084
17,23,1,1,0,1,60.65917194253547
5,31,1,1,0,0,50.75056980856576
34,27,0,1,1,1,73.65737434175709
21,18,0,0,1,0,63.13934808848751
34,13,0,1,1,0,71.57710070281941
8,21,1,1,1,0,54.08134699261964
12,17,0,1,0,1,57.46172888306817
31,23,0,1,0,1,69.5944577245251
23,15,1,0,1,1,66.43143470739876
35,12,1,1,0,1,74.27119597126874
20,25,0,1,1,0,62.93458727122477
17,24,1,1,0,0,60.86492284706642
28,30,1,1,0,1,69.05643693677384
25,33,1,0,0,0,65.68802057544268
32,28,0,0,1,1,72.02118543135157
12,25,0,1,0,0,55.04119326959809
25,25,1,0,0,0,66.77988585905284
20,20,1,1,0,0,61.80862839083832
27,21,0,1,0,0,67.02351557969384
24,19,1,1,0,1,64.81671179485537
19,34,0,1,0,0,59.78909741079584
26,22,0,1,0,1,68.75167713313972
30,30,1,0,1,1,71.83356961462877
25,21,0,0,1,1,67.39423263823966
5,23,0,1,0,0,51.404796379993
30,22,1,0,1,1,71.68975724670494
34,27,0,0,0,0,70.34793080950203
33,32,1,0,1,1,71.68955628106086
15,20,1,1,1,1,59.32229317741307
27,19,1,0,0,1,66.74589778576808
38,23,0,0,0,0,74.9417804935055
32,22,0,0,0,1,70.30172081240062
33,22,1,1,1,1,74.8891242975725
28,18,0,0,1,0,66.63539212571558
23,22,0,0,1,0,64.96081112443304
18,24,1,1,0,0,61.264864919260845
15,23,0,0,0,1,58.80143477068327
30,19,1,0,0,0,68.40140971213049
32,20,0,1,1,0,70.78879339148222
27,21,1,0,0,0,65.31136254302089
16,22,1,1,1,1,59.8545053578156
35,19,0,0,1,0,71.18384494017198
16,22,1,1,0,0,59.58568307619274
16,20,0,1,0,0,55.68851705612367
23,25,0,0,0,1,63.45437663143338
41,24,0,0,0,1,78.64177084113855
46,27,0,0,1,0,81.28050239999887
17,29,0,1,1,0,60.20122249743725
22,16,0,0,1,1,63.30881325150498
22,26,0,0,1,0,61.75801116292698
23,18,0,1,0,1,66.38525388446217
32,28,0,0,0,1,73.01133256884614
23,17,0,0,1,1,66.3592409618945
14,16,0,0,0,0,55.189076135625946
29,21,1,1,0,0,66.65143402107773
24,23,0,0,0,1,67.52672569516187
27,20,1,0,1,1,69.43745879228423
20,31,0,1,0,1,61.71718720775564
29,26,0,0,0,1,67.51775382261323
24,26,1,0,1,1,66.83803640374829
18,19,1,0,0,0,59.35005944429363
38,27,1,1,0,1,76.48947741500345
37,21,0,1,1,0,74.20556846871385
27,20,1,1,1,1,67.65512376623977
15,20,0,1,0,1,58.40192973549388
23,25,1,0,0,1,66.85725613716698
11,21,0,0,0,1,56.82580967463102
47,19,1,1,0,0,80.93385367700478
41,27,1,1,0,1,79.17112180105308
11,21,0,0,0,0,53.69009514602731
14,24,0,0,1,1,57.7325709181584
29,23,0,1,1,1,70.61701036928531
30,19,0,0,0,0,66.6965137241068
28,25,1,0,1,1,68.8627914006984
16,21,0,1,1,0,57.33878390248342
12,25,1,0,1,1,57.8623498821444
10,22,0,1,1,0,54.49250711247427
17,27,0,0,1,1,61.34712755404143
11,30,1,1,0,1,55.358545720758656
28,23,0,1,1,1,69.66281451044301
-1,22,0,0,0,1,47.36291485810606
0,16,0,0,0,0,46.438425381741176
35,25,0,1,0,1,72.81464829051643
17,25,0,1,0,1,60.28571957422111
22,23,0,1,1,1,64.65995511231962
25,29,1,0,0,1,66.09520002504553
16,27,0,0,0,0,56.87723960966268
16,25,0,0,0,1,59.95222909405068
13,20,1,0,1,0,57.9845876412614
6,17,0,1,1,0,52.99662002820717
26,24,1,1,1,1,69.10422430958151
6,25,1,0,0,0,50.29064042307977
23,22,0,0,1,0,63.26123415524042
25,26,0,1,1,0,65.92565066358641
21,28,0,1,0,1,63.98000603468417
30,26,0,0,1,1,70.9907022821868
34,25,1,0,0,0,73.41931847913256
5,18,1,0,0,1,52.63921022583937
26,26,0,0,0,1,67.87922427624724
9,22,0,1,1,1,54.78078965073028
25,23,1,1,0,1,67.21288797697721
29,27,1,1,0,1,68.49263484360745
27,23,1,0,0,1,68.24000776267167
19,24,1,1,1,1,62.96143792944164
28,23,0,1,0,1,68.77916389264338
38,27,0,0,0,0,74.20845863753077
31,19,0,1,0,0,69.7811281763685
21,24,1,0,1,0,62.46978053239783
14,31,0,0,1,0,58.20158942549932
9,28,0,0,0,1,55.28175092784671
14,27,1,1,1,1,59.85680593088543
19,24,0,1,0,0,59.89700268707554
40,20,1,1,1,1,79.84870141559335
32,19,1,1,1,1,72.8452174898069
15,30,1,0,0,0,58.284006401769936
21,30,1,1,0,1,64.97525230837773
28,23,0,1,0,0,67.73074371631952
16,26,1,1,0,1,60.32703584561273
40,25,1,0,0,1,76.32014743683348
11,20,1,0,0,1,57.23772763893673
7,22,0,0,0,1,52.42577727828712
21,13,1,1,1,1,65.40332229910119
34,24,0,0,1,0,72.61104703877236
45,23,1,0,0,0,80.60209631483436
25,29,0,0,1,0,67.37675195796912
22,25,0,0,1,0,63.07370801467133
22,26,0,1,0,0,65.50501815910194
32,22,1,1,0,1,71.66640106005885
20,30,0,0,1,1,63.19143901760784
23,27,0,1,0,0,63.25571783470987
17,20,0,1,0,0,60.24689698855617
20,22,1,0,1,1,63.02555667706713
10,22,1,0,0,0,53.03675518885793
30,23,1,0,1,0,69.48029507229842
21,21,0,0,0,1,64.82284834196201
25,18,1,1,0,0,66.38210637313358
18,22,1,0,0,1,62.14688743933716
19,22,0,0,0,1,62.49261647868805
12,28,0,0,0,1,56.93690338554624
33,20,0,0,1,0,70.91267488702361
36,22,0,1,0,0,71.84136731733012
40,22,1,0,1,1,80.23039918412036
38,27,0,1,1,1,74.76718757113413
40,30,0,1,1,1,77.7781514590982
37,28,1,1,1,0,74.93090332959592
28,22,0,0,1,1,71.22430715472375
38,29,0,0,0,0,71.09674911630675
15,23,0,0,0,0,59.832004451179024
26,21,1,1,1,0,66.78332126806653
21,27,1,0,0,1,63.874298473889525
23,26,1,0,1,1,66.2933535766217
27,26,1,1,1,1,68.32335981318741
23,22,0,0,0,1,65.33718056934147
27,24,0,1,1,1,70.53505321623363
7,20,1,0,1,0,52.53213667295055
14,25,0,0,1,0,57.0293874250406
23,29,0,1,0,0,63.07429744986007
5,22,1,0,1,1,51.090798144762175
38,21,1,0,0,0,75.68059796789572
25,18,0,0,1,0,65.81916328717425
47,27,0,1,0,1,83.8811504497617
37,22,0,0,1,0,73.34308606445038
24,29,1,1,1,1,67.07061886966245
23,22,0,1,0,1,63.74183302072999
18,27,1,0,0,0,58.79502419282881
36,21,0,0,0,1,74.25092536207687
38,28,1,0,0,0,76.19025782366565
33,26,0,1,0,1,73.6491339427171
7,18,1,1,0,0,53.06892899125295
32,19,0,1,0,1,73.31283508647411
11,20,1,0,0,0,55.28298058745449
32,25,1,1,0,1,70.94771754458901
24,30,0,0,1,0,65.92801307270278
4,18,1,1,0,1,51.41347562576915
27,30,0,0,1,0,66.9748852752561
30,28,0,0,0,1,70.76565689231558
18,27,1,0,0,0,61.74961122287337
36,18,0,0,0,1,73.08310254981147
20,19,0,0,0,1,62.80164105948937
15,11,1,1,0,1,58.89088164878572
27,20,0,0,1,0,68.61640592882497
21,22,0,0,0,0,60.49668338233886
21,26,0,0,0,1,63.61687353443291
17,26,0,0,0,1,60.57213578808405
14,24,0,1,0,0,58.61454024003229
10,22,0,0,0,1,55.5805578845002
33,27,0,0,0,0,71.87184480877086
16,22,0,0,0,1,58.74129023311892
28,26,0,0,0,0,65.87736114710785
31,26,1,0,0,1,70.64050907866962
35,28,1,1,0,0,70.93652766168668
28,31,0,0,1,1,68.24523425131729
35,23,0,0,0,0,71.80003877805025
29,28,0,0,0,0,66.0311331043045
19,28,1,0,0,1,61.81508100515487
11,22,0,0,1,1,56.09306556340883
3,23,1,0,0,1,51.99710617072416
19,17,0,1,1,1,62.13379081241152
34,22,1,1,1,1,72.17618824022978
5,21,0,0,0,0,48.12818549349266
19,25,0,1,1,0,61.74015409096288
29,21,0,0,1,0,70.16408907753011
18,23,0,0,0,1,59.97123923855662
22,30,0,0,0,1,63.96244012412186
22,30,1,0,1,0,64.46422008604422
23,28,1,0,0,1,65.72859760688826
31,28,0,0,1,0,70.34286319003357
36,26,1,0,0,1,76.00449366496572
13,20,1,1,0,1,59.4079524363472
8,19,0,0,0,1,54.68965249843925
23,25,0,0,0,1,64.4727887270842
47,23,0,1,0,1,82.54461927570533
21,26,0,1,0,0,61.44554178327284
25,15,0,1,0,1,66.93683908870045
32,24,1,0,0,1,72.98539491329537
25,22,1,0,0,0,64.358320476598
17,18,0,0,1,1,61.30829934176669
12,18,0,1,1,1,60.507140743656194
20,22,1,1,0,0,61.03472375212722
44,24,0,0,0,0,78.91461873619787
15,23,0,1,0,1,59.28042471268369
24,20,0,1,1,0,66.60586874872997
23,26,0,0,0,0,62.68555643067823
10,25,1,1,0,0,55.2975606232672
27,28,0,0,1,1,69.0728164190902
20,23,0,1,1,0,61.47396575915218
25,22,1,1,1,1,69.68445972951214
19,23,0,0,0,0,59.56907724452871
26,35,1,0,0,0,66.8008964181299
36,26,1,0,0,1,74.67317257872507
21,23,0,0,0,1,63.994983035299
55,24,1,0,1,0,88.5942951174727
51,27,0,0,0,0,83.73614032112462
24,25,1,1,0,0,63.48818083389828
23,34,0,1,0,1,65.8579136677427
16,27,0,1,1,1,60.66767212044104
27,21,0,0,0,0,65.62472663334007
35,27,0,0,1,0,72.8601442182684
28,24,0,0,0,0,65.88124066932566
7,25,1,0,0,0,50.04180857418959
23,26,1,0,1,1,65.64879449631174
26,19,1,1,0,0,66.01478656774474
10,12,0,0,1,1,54.8929662141341
57,27,0,1,0,1,88.42057506713022
19,24,0,1,0,1,62.31253704381001
25,20,0,0,1,0,64.0875646501925
23,22,0,0,1,0,63.72482985844207
25,20,0,0,1,0,63.82497474198507
24,24,0,0,1,1,64.47112944115581
29,25,0,0,1,1,69.98707790577178
21,22,0,1,1,0,61.90121128207381
17,25,0,1,0,1,61.20655531039829
29,24,1,0,0,0,68.07113465917982
30,30,0,0,0,0,69.00023076941261
29,20,0,0,0,0,66.19451449935556
28,26,0,0,1,1,69.42260677227742
25,18,0,0,1,1,66.35589398039461
18,29,1,0,0,1,61.66480894912687
32,24,0,0,0,1,69.95167398534542
11,28,1,1,1,0,56.05900416538056
29,22,0,1,0,1,69.43989544714229
25,25,0,0,0,0,64.48069461716727
13,22,0,0,1,0,57.20115114688278
30,22,0,0,0,0,65.51085530353618
26,28,0,0,0,1,66.47727048526605
14,22,1,1,0,1,57.78449940666591
26,20,0,1,0,0,64.53523898811049
14,32,0,1,0,0,55.875808816680525
24,29,1,0,1,1,66.85562571587931
8,16,0,0,1,1,55.162411121599774
36,25,0,0,0,0,71.85596342569006
16,22,1,0,0,1,60.41443152587458
16,18,1,1,1,1,59.89945747783696
25,32,1,1,0,0,65.42317663193813
25,20,1,0,1,1,67.57301094332401
23,23,0,0,1,0,63.23668803306657
24,27,0,0,0,0,64.72490166262816
21,22,1,1,0,0,61.22036009638042
23,22,1,1,0,0,63.24092074375188
29,25,1,0,0,1,69.63538244118142
22,25,0,1,1,0,62.21011645625115
22,28,0,1,1,1,65.16330040975764
31,27,0,0,1,0,71.90330693424553
14,17,1,1,0,0,56.86233290545815
38,26,0,1,0,0,74.57136184733625
28,20,0,1,0,0,66.81517010273579
18,21,0,0,0,1,61.187199183084346
19,18,1,1,0,1,62.08188208898908
24,25,1,1,1,0,65.10603312807251
35,12,1,1,1,0,72.885592560088
20,26,1,1,1,1,62.868630593372046
27,17,0,0,1,0,66.9267002062459
30,19,0,0,1,0,68.30743197861459
28,25,1,1,1,1,69.55302054025867
19,22,0,1,0,0,62.2331272471776
30,22,0,0,1,1,72.4377021172489
22,24,1,0,0,1,64.64585289927102
10,20,1,1,0,0,53.45014469073414
22,23,0,0,0,1,64.35195999774088
15,22,0,0,0,0,57.09567619671919
11,19,1,0,0,0,55.06839304508597
15,32,0,0,0,1,59.106665000628766
28,26,0,0,0,1,66.84323247037422
38,23,1,0,0,1,75.83388676961425
26,23,1,0,0,0,65.57127909419425
20,25,1,1,1,1,64.8128451835733
40,25,0,0,1,1,76.6952792607933
20,28,1,0,0,0,60.27787066683175
24,26,0,1,1,1,65.8290210315278
25,20,0,1,1,1,66.8109296096621
40,22,0,0,0,0,75.4287146691311
17,20,0,0,0,1,60.9093086129435
17,22,0,0,0,1,59.06352106458297
17,16,1,1,0,1,58.99184605440321
14,23,0,1,1,0,56.27776948554251
34,24,0,0,0,0,71.08414694689304
34,24,0,0,1,0,71.93991436159864
27,23,0,1,1,0,67.61127769157956
26,25,0,0,0,0,65.57016349439736
22,19,1,0,1,1,65.07525551632152
27,30,1,1,0,0,67.8553468858617
29,19,0,0,0,0,67.28336568138754
26,28,1,0,0,0,65.35194567712153
19,29,1,0,0,0,60.791171826926615
17,20,1,1,0,0,60.11119880392829
30,25,0,0,1,0,67.51937348401785
23,13,1,0,1,1,65.39285851555574
24,19,1,0,0,0,63.21604802295286
53,24,0,0,1,1,87.68427066340934
18,17,0,1,1,0,60.649050289975
31,27,1,1,1,1,73.29399559224295
41,24,1,0,1,0,78.76413368751277
17,31,0,0,0,0,58.58858462456349
23,23,0,1,0,0,61.838657601276765
9,23,0,1,1,1,55.00029362988415
2,26,0,1,0,1,49.67191310210868
26,32,0,1,0,0,65.68829360787592
28,18,0,1,1,1,68.05273023784873
24,28,1,0,0,1,67.27136810269926
24,21,0,0,1,0,67.36171395252747
24,22,0,0,1,1,66.6592794433618
20,25,0,0,0,0,62.03345798098474
12,19,0,0,1,1,58.26100378709289
17,27,1,0,1,0,59.186550729614176
23,24,0,0,1,0,65.63206003728993
23,22,1,0,0,1,64.00690784014272
26,27,1,0,1,1,67.6617525558449
17,23,0,1,0,0,58.7568601896464
33,32,1,0,0,1,72.27156132223665
21,23,0,1,0,0,61.73133463671584
9,21,1,1,0,0,53.36819389004544
18,25,1,0,0,1,61.01248213897113
27,21,0,0,0,1,67.47085524755842
17,29,1,0,1,0,60.39868865479285
17,25,0,0,0,1,60.70869697554467
25,20,0,1,0,1,65.33455226501565
13,20,1,0,1,1,60.0026025239593
25,31,0,0,0,0,63.59875449118017
36,25,0,1,1,1,76.344668741513
40,24,0,0,1,1,77.24745069781515
17,22,1,0,1,1,60.56893463702423
18,16,0,0,0,1,61.05346329160927
27,23,1,0,1,1,66.84227291963491
34,22,1,0,1,0,72.33255781988093
25,27,0,0,0,1,63.874062373041866
22,23,1,0,1,0,63.4017904893529
27,23,0,0,0,0,66.57241906249104
15,19,0,0,1,1,59.40918673219022
25,25,1,0,1,0,65.99870988405227
21,17,1,0,1,0,62.126103025617645
28,26,0,1,1,1,69.88585816957891
23,28,1,0,1,1,63.8554978821915
24,33,1,0,1,0,64.69721391690928
31,21,0,1,1,0,67.98209416493621
39,23,0,0,0,1,77.98668791326043
17,21,0,0,0,1,61.01044052552377
40,23,0,1,1,0,77.10037309980801
14,15,0,0,1,1,60.25632287852851
39,21,1,1,1,0,77.705201812737
39,27,0,0,0,0,73.22418723687353
29,30,0,0,0,0,67.19969631399961
24,24,1,0,1,1,66.14044825041083
31,23,0,1,1,1,71.25205580505475
30,17,1,0,0,0,67.89034952071344
13,29,0,1,1,0,56.50848590125452
39,24,1,1,0,0,75.24288227106994
21,18,0,0,0,0,60.79064662521436
28,21,0,0,1,1,67.44135117267753
26,21,1,0,0,1,66.28096312503078
27,25,1,0,0,0,64.92619492767287
28,33,0,0,1,1,69.43560196154957
33,30,0,0,1,1,71.21040207666204
39,28,1,0,1,1,76.19476064665125
19,24,1,1,0,0,61.39497077689877
31,24,0,1,0,0,67.87476942266723
29,23,1,1,0,1,70.40211001941289
37,27,0,1,0,0,73.73139477250017
34,20,0,0,0,0,69.60256553739927
18,19,0,0,1,0,61.17736373109223
33,32,0,1,0,0,72.31792054969263
13,18,0,0,0,1,60.094536672466965
30,22,1,1,1,1,72.07301546139382
23,28,0,0,0,1,65.51845619057217
33,21,1,1,1,1,74.62608040843708
10,17,0,1,0,1,57.24784498650581
30,26,1,0,1,1,70.70825827331682
18,26,0,0,0,1,60.3706638175884
20,31,0,0,0,1,63.730998244135016
26,32,0,0,1,1,68.53759251672437
25,23,0,0,1,0,65.48487682928686
22,25,1,0,0,0,61.62506047254768
9,19,1,0,1,1,57.99974734615087
26,26,0,1,1,0,66.22211857044528
27,24,1,1,1,0,68.19803243502763
20,22,1,0,0,0,60.457248491100806
41,29,1,1,0,0,76.38158364852603
28,27,0,1,1,0,68.92978285236633
23,28,1,1,1,0,63.98328546563286
45,28,0,1,0,0,78.40285706448073
27,19,0,1,1,0,68.5115380892094
10,24,0,1,1,0,52.55923180139661
23,25,0,0,0,1,64.07499793156416
36,22,0,1,0,1,73.64967069400569
33,21,0,0,1,0,72.1559065010717
19,27,1,1,0,1,64.99284989263757
14,27,0,1,1,1,61.00595048939167
32,23,1,0,1,0,70.3452131700929
21,24,0,1,1,0,61.321888902254
