teacher_age,average_study_hours,class_size,parental_involvement,low_income_status,rural_school,gender,e_learning_platform,end_of_year_grades
25,27,12,16,1,0,1,1,81.9578138441069
26,21,7,13,1,0,0,1,81.15367742835477
45,26,13,15,0,0,1,1,97.3327711868241
34,21,9,8,1,1,1,0,79.2165624711774
18,13,5,19,0,1,0,0,71.16668944753306
37,19,13,14,0,1,0,0,82.873540526829
26,22,14,16,1,1,0,0,74.5529241104791
11,24,9,6,1,0,1,1,67.43718699039084
34,22,10,6,1,1,0,0,78.72541331721735
28,23,9,19,1,0,0,0,79.40155959091754
19,21,5,19,1,1,0,0,71.74189790463694
27,13,8,19,1,0,1,1,83.34924068070056
23,17,7,19,0,1,1,1,79.88725848903229
27,25,6,17,0,0,1,1,86.32369703405134
31,13,9,9,1,0,1,1,82.61701480891558
32,24,15,28,0,0,0,1,90.2888315707839
19,21,13,22,0,0,1,1,76.47145662273559
18,17,11,13,1,1,0,0,65.29359302819338
32,22,10,12,1,1,1,1,84.3933146384909
4,15,5,11,0,1,0,0,55.46625806962617
33,22,11,11,0,0,1,0,79.81123531775802
30,16,11,17,1,1,1,0,78.39935385906641
23,24,11,23,1,0,0,1,80.05683257519857
29,14,12,5,0,1,1,0,72.11428856834453
18,34,4,14,1,1,1,0,74.85651408956815
41,21,16,12,0,1,0,0,85.03475787510473
36,20,7,13,1,0,1,1,91.25208300121572
31,20,12,9,0,1,1,0,74.10201142719869
25,25,5,10,0,0,1,1,80.4923028479791
42,11,9,14,0,0,0,1,92.43178482522958
29,13,11,10,0,1,0,0,74.61070126279645
29,10,8,12,1,0,1,1,80.16772556805516
21,18,15,17,0,1,1,1,74.45975498608695
24,16,11,21,1,1,1,1,80.32399980571785
37,21,11,15,0,0,1,1,90.23251305039528
23,21,14,10,0,1,1,0,68.96457242249694
23,24,4,10,1,1,1,0,74.28662981989363
24,10,8,16,0,0,0,0,71.82078004318335
27,20,14,10,1,0,0,1,77.54765529131915
33,18,10,14,1,0,0,1,86.35732073842503
20,18,7,18,0,0,0,1,77.40833581929758
14,17,12,22,0,1,1,0,62.86278986631167
24,19,12,13,1,1,0,0,71.06415393635693
23,23,8,11,0,0,1,1,77.0171018028127
21,18,13,14,1,0,1,0,68.3444645102849
25,4,9,10,0,0,0,1,73.76275893409604
32,25,10,13,1,1,1,1,86.12665416198442
30,17,15,10,1,1,0,1,77.61822569781113
23,25,12,18,1,0,0,0,71.47328740236911
22,17,10,19,0,1,1,0,71.34939248821226
26,27,9,17,1,1,0,0,79.78298546781654
26,20,12,18,1,1,0,0,74.54984066553297
19,22,9,8,0,1,0,0,66.98144146231506
26,24,10,13,0,1,1,1,81.32970179422405
32,21,10,23,1,1,1,1,88.43251268725419
30,24,5,13,1,1,1,1,85.43470302887958
49,15,12,17,0,1,0,1,97.94849986387187
16,18,8,9,1,1,0,0,64.8839411052344
29,12,14,22,1,0,1,1,81.06212335917289
14,14,12,5,1,1,1,1,63.28231095599711
35,22,9,14,0,1,0,0,81.40556457212958
20,17,9,10,1,0,1,1,73.34206597224335
25,16,14,11,1,0,0,1,74.69540956784475
21,24,14,12,0,1,1,0,69.03111314295423
34,24,10,13,1,0,1,1,86.93285091072212
36,27,12,5,1,1,1,0,79.49701233885276
31,15,15,6,0,0,0,1,78.44249634724738
48,23,16,14,1,1,1,0,90.56435428654422
28,21,11,5,1,0,1,0,73.5756342086381
32,12,13,17,0,0,1,1,83.09583390547516
38,13,12,7,1,1,0,0,79.75898054393156
32,14,14,9,1,1,1,1,78.39796593899774
28,28,5,11,0,1,0,0,78.91594167806765
23,24,14,7,0,1,1,0,67.97169347131147
16,20,11,9,1,1,1,0,63.24054233748563
19,29,9,7,1,0,0,0,68.05917450086379
43,13,9,25,1,1,1,1,96.63304819178244
28,16,5,14,1,0,0,1,82.69866159884076
31,24,11,22,0,1,1,0,80.96001416693902
21,19,6,11,0,1,1,1,75.43920479051792
41,23,7,16,0,1,1,0,91.0070423227972
36,19,6,5,0,0,0,1,85.65751012496438
10,28,12,15,1,0,0,0,60.453283688749984
32,29,9,15,0,1,0,0,82.58611307060306
30,18,12,3,0,1,1,0,72.53009773201026
33,25,9,17,1,0,1,1,90.02418972438122
40,16,10,18,0,0,1,1,93.4110988955626
29,14,5,16,0,0,0,1,82.58921244238283
20,15,13,11,0,0,1,1,71.15435312431028
32,20,11,22,1,1,0,0,82.3506884080822
33,25,11,13,1,1,0,1,86.31437250332523
31,23,16,6,0,0,1,0,72.55658039673315
33,19,13,11,0,1,0,1,84.23353652264876
29,22,10,20,0,1,0,0,79.11570951176394
21,28,8,15,1,1,1,0,73.07017427021138
25,26,9,9,1,1,1,1,78.30278143927043
25,7,12,8,1,0,0,1,71.4187100818861
36,10,7,13,0,1,1,0,83.14313493918543
35,20,8,16,0,1,0,0,83.64443701564066
15,27,13,25,1,0,0,1,74.48284549878247
25,18,6,17,1,0,0,1,83.20511675588803
22,20,11,15,0,1,0,0,70.92425259608667
37,29,11,20,0,1,1,0,88.97879491153482
26,18,12,15,1,0,0,0,74.49812242124202
38,9,8,16,0,0,0,1,90.04093411047032
35,25,4,12,1,1,0,1,90.3498166761014
24,24,13,15,1,1,1,0,72.91808421740552
22,26,12,13,1,1,0,0,72.07172324603205
25,11,6,12,0,0,1,1,78.75997262122037
25,25,12,8,0,0,0,0,71.68215373122969
25,23,10,11,0,0,1,1,80.38810261204165
28,17,6,15,0,1,0,0,77.48868643881636
30,22,10,19,0,0,0,1,85.14064934856937
21,18,10,21,1,0,1,1,78.94824834261505
24,24,9,11,0,0,1,1,79.23968800634856
26,16,10,14,1,1,0,0,72.47306175452702
34,4,14,22,1,0,1,1,84.05632148168984
38,16,11,17,0,0,1,1,90.24904821701864
31,18,11,17,1,1,0,1,86.877306026391
28,15,13,2,0,0,1,1,76.39125529047195
30,7,11,8,0,1,1,1,78.64759675022512
36,26,15,18,0,0,0,1,88.82258603696503
31,25,14,12,1,1,0,0,76.16457382808535
34,12,7,12,1,1,1,0,80.23167611099699
34,27,7,13,0,0,1,0,85.80178902300024
27,10,12,15,0,1,1,0,71.35339163005052
25,16,7,16,1,0,1,1,79.47735714840975
33,19,10,19,1,1,1,0,82.11152948486554
39,11,13,11,1,0,1,1,85.5305653983702
31,25,11,16,0,1,0,0,80.03271406690504
15,14,9,13,0,1,1,0,63.32387212935176
16,21,12,9,1,1,0,0,62.47025175548118
29,18,4,14,0,1,1,1,86.40782977311032
20,16,12,14,0,1,1,1,72.87281244387695
42,16,11,18,1,1,0,0,87.08811768558677
26,14,10,14,1,1,1,0,72.6128229096457
8,18,7,2,0,0,0,0,55.5921659824052
33,9,10,18,1,1,0,0,78.02664741459199
41,21,7,20,1,0,1,1,96.62259183898684
34,11,9,11,1,0,0,1,83.51028515189861
34,28,9,21,1,1,1,0,86.14023462914768
24,13,10,12,0,1,0,0,71.37980281501673
34,33,9,9,1,1,1,0,82.0412639613073
31,16,7,13,1,0,1,0,79.62039969237601
36,20,10,15,1,1,1,0,81.36663096310026
28,25,7,9,1,0,0,1,83.65679683717761
30,19,13,22,1,0,0,1,85.48134193058644
25,17,7,18,1,1,0,1,81.44796207907856
28,30,8,10,1,1,1,0,76.916267581898
14,38,8,16,0,0,0,0,71.30357501886309
29,17,12,9,0,1,0,0,74.42977403866703
25,13,10,19,0,1,1,1,80.10145835847494
21,16,10,18,1,1,0,0,69.91061198165329
34,22,11,17,1,1,1,1,87.70997701035009
19,20,14,10,1,0,1,1,70.74622274532197
30,16,9,16,0,1,1,0,77.74627556385575
18,18,12,13,0,1,1,0,66.17117977152172
29,26,9,19,0,1,1,1,86.16971634712954
25,25,4,10,0,0,1,1,83.4973885723972
21,22,10,10,0,1,1,0,69.49463442044582
13,23,12,5,1,1,0,0,57.96318711775859
18,29,9,12,1,1,0,0,68.70679262356944
34,21,10,13,0,0,1,1,87.26075080899757
33,20,7,8,1,1,0,0,79.4563251351775
41,20,12,17,1,1,0,1,95.1920345518707
20,22,8,16,0,1,0,0,71.38884800623248
30,21,10,11,1,0,0,1,82.69667329972721
53,27,7,17,1,0,0,1,109.92512947599948
36,16,9,14,1,1,0,0,82.74253991508131
28,18,6,15,1,0,1,1,83.0277969094995
30,18,4,12,1,1,0,0,80.53498822303557
12,28,8,10,1,0,0,0,64.21576605516132
31,19,3,19,1,0,0,1,88.58704775494033
30,20,9,7,0,0,1,1,80.79935642468729
33,15,6,16,0,1,1,1,86.9149681203436
25,19,12,10,1,0,1,1,76.12763899434755
38,17,9,11,1,0,0,1,88.66905838197346
35,31,16,13,1,1,0,0,81.0896127036219
33,19,8,13,0,1,0,0,81.09526287527022
20,20,6,16,1,0,1,1,76.24242622635286
21,8,10,15,0,1,0,1,72.25215511085881
28,19,10,23,1,0,1,1,84.41573268803174
39,13,7,18,1,1,0,1,93.51659641505766
28,24,15,8,1,0,1,1,77.06955591580265
30,25,11,21,1,1,0,0,79.84873860523048
45,22,11,17,1,0,1,1,97.14275882997772
42,17,13,22,0,1,0,0,87.41544146160253
35,23,11,11,1,1,1,0,80.36495129068258
31,14,12,10,0,0,0,1,82.80742800706474
19,19,10,18,1,1,0,0,69.40173195933228
15,18,9,14,1,0,0,0,64.9551839740994
26,13,5,18,0,1,1,1,81.87166272026704
30,12,10,12,0,0,1,1,81.57815161665835
34,16,10,11,0,1,1,0,79.97926931182015
37,18,7,10,1,0,1,1,89.54350641585184
29,21,4,2,0,1,1,0,74.19634879701167
28,23,9,14,1,1,1,1,84.40255020142042
29,26,6,17,0,0,0,1,85.61833978341056
31,22,10,14,0,1,0,0,79.4817897492775
25,17,8,9,1,1,0,0,71.21705905885024
29,24,8,16,0,1,0,0,80.18462457911076
32,21,16,16,1,0,1,1,82.73487435925706
15,32,6,20,1,0,0,1,75.05746061848572
15,9,12,16,1,1,1,0,63.60178855084794
32,18,12,19,1,1,1,1,86.19065966255172
23,17,9,5,0,1,1,0,66.60471332156266
27,12,4,11,1,1,0,0,75.80764264665144
32,26,9,14,0,0,0,1,84.64167976623413
43,10,8,10,1,1,1,1,90.87825274557912
31,26,12,18,1,0,0,1,85.19228286773935
39,16,10,13,0,0,1,1,89.46657676518106
26,27,6,25,0,1,0,1,87.30485394340599
8,26,10,18,0,0,1,1,68.315329267832
28,13,5,14,1,1,0,1,83.4160386571009
35,23,4,7,0,1,0,0,83.43339732705658
33,25,10,15,0,0,0,1,87.66849997455152
28,36,7,18,0,0,1,1,88.80789419853808
31,12,9,19,1,0,1,1,84.44571339621875
35,22,8,13,1,0,1,1,89.35001542266961
29,28,14,20,1,0,0,0,79.81359363573904
22,11,17,10,0,0,0,1,67.97772899455107
24,26,6,12,0,0,1,1,81.84815892100329
23,27,10,18,0,1,0,0,73.8761042997319
27,21,15,13,1,1,0,0,71.10385303481408
28,16,14,18,1,1,1,1,80.30862180142447
25,18,5,11,0,1,1,1,79.26294991088733
34,18,9,21,1,0,1,1,90.10936353734652
38,12,14,14,0,1,1,0,81.204410882255
21,16,9,16,0,1,0,0,71.40433981821825
32,22,9,22,1,1,0,0,82.63399716625064
32,22,8,7,1,1,0,0,78.25400081068261
32,20,15,12,0,0,0,0,77.46419048612742
29,25,11,9,1,0,0,0,74.41596895461548
25,16,14,14,1,0,1,1,75.49250540447501
32,17,5,13,0,0,0,1,84.29280953455971
24,28,14,14,1,0,1,1,78.20830609061139
28,14,11,13,0,1,0,0,74.70177802844104
45,21,10,15,1,0,0,1,96.61254763799546
18,30,8,13,0,1,0,0,71.9222382892221
29,25,7,15,1,1,1,0,79.82603741845111
29,21,11,10,0,0,1,1,80.91225051934074
32,18,9,2,1,0,0,0,73.74201469152544
10,28,13,14,1,1,1,0,61.85309875881703
43,21,9,12,1,1,0,1,93.79599220852263
32,23,12,10,1,1,1,0,76.0632650444387
31,20,10,10,1,0,0,0,77.05270439523888
30,7,14,12,1,1,1,0,73.15405334168543
36,23,13,10,0,0,0,1,86.08405859443421
40,21,12,7,0,0,0,1,89.48561770701798
43,23,11,21,0,0,1,1,97.36342617017354
21,16,2,16,0,0,1,1,80.42069023572328
9,26,6,15,1,1,1,1,70.96857718842803
31,33,10,6,0,1,1,1,85.49343068078316
49,14,7,13,1,1,1,1,100.27339516228832
19,22,8,20,0,1,0,0,69.70084835940195
32,15,10,15,1,1,1,1,85.02215599918819
40,13,8,23,0,1,0,1,93.37161108411698
28,18,10,11,1,0,0,1,80.25042117671589
46,14,8,10,0,0,0,1,94.19998660520264
33,14,8,17,0,1,1,1,85.64537370520011
23,17,17,11,1,1,1,0,67.50472567979773
33,26,8,8,1,0,0,0,78.42270063659555
31,18,8,6,0,1,0,0,74.63805235140559
29,22,10,19,0,0,1,1,86.69277254401024
29,28,10,14,1,1,0,1,85.42693252346321
39,4,12,16,1,1,0,1,86.91830539716096
29,5,14,12,1,1,0,0,70.12448172633873
29,19,12,23,1,1,1,0,77.46634058916254
41,10,14,11,0,0,1,1,87.3354686165196
20,20,3,14,1,1,1,0,73.77423865479248
38,18,9,14,1,0,0,1,90.49699210563476
33,15,8,16,1,0,1,1,87.2430624381419
31,23,15,11,0,1,0,0,75.15558214998548
43,12,8,9,0,1,0,1,91.92702017667106
52,25,12,14,0,0,1,1,102.45739906073408
41,14,8,20,1,0,1,1,95.49452739004494
27,22,13,13,1,1,0,0,70.99956266555256
11,20,13,18,1,0,1,1,67.24362991147278
35,28,8,16,1,1,0,0,85.16032659595253
39,19,9,12,0,0,0,1,89.44285968987866
15,23,9,5,0,1,1,0,62.67685583606235
48,29,9,13,0,0,1,1,101.50907685304948
45,19,11,12,0,0,0,0,89.40316993061575
34,12,11,15,0,0,0,1,85.7984014887049
24,19,8,21,0,1,0,0,75.1761717172958
37,18,2,14,0,0,0,1,92.70903632175538
22,19,7,21,1,0,1,1,81.07286998532086
27,15,11,18,0,1,1,1,79.68207455736476
32,11,6,16,0,0,1,1,85.85262818068738
33,17,7,24,0,1,0,1,90.46087553679024
25,24,13,8,1,0,1,0,71.1695960806804
32,26,10,13,1,0,1,0,79.19853269608663
27,16,14,10,1,0,1,0,71.9435872656473
21,22,10,17,1,0,1,1,75.80843774813982
31,13,10,1,1,1,0,0,73.72923840061365
31,17,3,8,0,0,0,1,84.14981424996286
32,16,5,21,1,0,1,1,89.48772897791652
30,11,8,7,0,1,1,0,74.48931308254873
37,22,9,11,1,0,1,1,88.87884276800916
29,30,14,17,0,0,0,1,85.69988768799571
26,16,10,23,0,0,1,1,84.1732801049958
27,31,12,12,0,1,0,0,76.84035392211658
39,12,18,18,0,1,1,1,86.2881111794298
28,14,7,16,1,1,1,1,82.89701558631599
16,14,9,8,0,0,1,1,67.59286142619233
46,17,12,16,0,1,1,0,91.20232847024155
24,19,14,13,1,0,1,0,72.16414778313829
36,14,7,5,1,1,0,0,80.03206860080799
29,21,6,14,1,1,1,1,85.19971816384555
35,19,9,14,0,0,1,1,88.89163145696443
19,20,5,15,1,1,0,0,71.655017599944
26,4,9,9,1,1,1,0,69.83239199929788
33,14,13,16,1,1,1,0,78.32758471041663
33,27,10,10,1,0,0,1,86.61118720942193
36,15,10,4,0,0,0,0,77.14337905510811
32,12,10,14,1,1,0,0,77.55689061850383
21,17,9,9,0,0,1,1,73.26838332180101
35,28,13,5,0,0,0,0,79.49125855627663
25,17,13,8,1,1,0,0,69.11806579381437
35,27,13,8,1,0,1,1,86.22878856839536
22,29,16,11,1,1,1,0,68.75095000286169
46,17,9,7,1,1,1,0,89.91084865766493
28,22,9,13,0,1,1,0,77.48977330958289
26,22,9,21,1,0,1,1,83.38218474718349
23,18,11,17,1,0,0,1,76.27544075762754
36,14,7,10,0,1,0,0,81.33779988978242
20,15,3,15,0,1,0,0,73.45555881723769
26,23,11,15,0,1,1,0,75.00353127851692
28,16,10,12,0,0,0,1,80.55230471013277
31,23,9,16,0,1,1,0,79.16304925027676
30,18,7,14,0,1,0,1,85.46760116113303
28,24,5,11,1,0,1,1,83.79424687293782
34,23,10,13,0,1,0,0,81.30914672337232
30,23,5,4,1,1,1,1,82.66256408456393
32,9,13,1,0,1,1,0,71.2640809166674
41,18,7,13,0,1,1,1,93.98985922687189
20,28,9,15,1,1,0,0,69.10749775510244
24,9,9,15,1,1,0,0,70.70153625009542
32,18,11,17,0,0,0,0,80.72360619567235
33,24,8,25,1,0,1,1,91.82320980031376
31,13,6,15,0,0,0,1,84.52132554202777
8,16,6,19,0,0,1,1,67.35354710317772
22,19,11,15,1,1,0,0,70.68288907521166
36,21,5,15,0,0,1,1,91.98458240361678
19,9,5,22,1,0,1,1,76.12948882922086
21,12,9,14,0,0,1,0,68.00591408321523
38,34,7,15,0,1,0,1,95.60894211942332
28,12,8,13,1,1,0,0,75.6329008122883
40,22,7,18,1,0,0,0,90.73460446600572
25,15,7,16,0,1,0,1,81.08729715829026
33,22,10,20,1,1,1,0,82.70039507369022
19,24,11,16,0,0,0,1,74.68393125050333
34,22,9,11,1,0,0,0,79.78558441249314
21,16,6,12,0,0,0,1,78.31065886299936
39,18,8,15,1,0,0,1,91.89987168241392
20,14,10,0,0,1,1,0,62.98292159263938
39,20,9,9,0,0,1,0,85.62685305991337
39,23,3,7,0,0,0,0,87.40085667981457
39,14,13,15,1,1,1,0,82.66728893216757
34,12,8,17,1,1,0,1,85.37529271822052
24,28,12,19,0,1,1,1,80.34644019600452
40,20,7,7,0,1,1,0,84.59218317982047
33,9,8,12,1,1,1,0,77.07264345270829
25,17,14,10,1,0,1,0,70.61391385977085
23,16,6,14,1,0,1,1,79.82113455489359
31,26,10,9,0,0,1,1,83.97324258206832
30,15,9,13,1,1,0,0,75.17363458733136
32,19,5,12,1,0,0,1,87.2476846630391
33,10,12,18,0,1,0,0,77.55541839428477
31,17,9,8,1,1,1,1,83.03989470428131
32,23,11,12,1,1,0,0,78.90807107783803
24,31,15,7,1,1,1,0,70.28531369175694
24,16,7,13,1,0,1,1,80.79533396720255
27,6,8,13,0,1,0,0,72.09922356392322
16,28,11,5,1,0,1,0,65.3449800099741
24,18,8,21,0,1,1,0,74.59489712974448
34,19,10,24,0,0,0,1,88.75291852872863
33,15,14,10,1,1,1,0,76.48479791688665
24,25,7,2,0,0,0,0,70.18609847385005
41,14,11,14,1,0,1,1,92.93876295200484
30,30,7,22,1,0,1,1,92.17121031170124
17,20,7,28,1,0,1,1,78.30906032733989
25,20,11,5,0,1,1,0,70.00654814869365
32,29,4,12,0,1,0,0,83.79556938297382
25,13,12,17,1,0,0,1,77.37843083633436
26,25,9,18,1,1,0,0,76.74102309271619
26,22,9,21,1,0,1,1,84.65684408897175
33,21,15,16,0,0,0,1,83.44046005237645
29,17,13,12,1,0,0,1,80.33561045973173
32,21,5,14,1,0,1,1,87.83270618644444
22,22,9,14,0,1,0,0,71.707361119187
32,28,14,19,0,1,1,1,87.96317047709326
32,13,14,20,0,1,0,0,78.35737459708976
32,21,7,17,0,1,1,1,88.47621085440163
24,10,8,27,0,0,1,1,81.99496301610054
35,30,4,10,1,1,0,1,92.69930645444728
36,10,13,7,1,1,0,0,75.53735289242786
27,22,6,13,1,1,0,0,76.48457410931672
28,12,8,20,1,1,0,1,81.06019378799263
27,24,10,11,0,0,1,1,81.63035913847358
11,16,10,14,0,1,1,0,59.18277726506907
26,22,6,10,0,0,0,1,82.24475768497011
32,22,14,8,1,1,0,1,80.73964413912417
30,12,9,7,0,1,1,1,78.83546969333293
39,20,2,15,0,1,0,0,89.62330433451527
27,18,7,14,0,0,0,0,75.14064350066013
40,22,8,8,0,0,1,1,92.9067014115375
24,17,9,10,0,1,0,0,70.41423685860292
16,19,5,25,1,1,1,0,71.58512249410617
18,19,14,14,1,1,0,0,64.32062857955063
26,20,12,22,1,0,0,1,81.7119673798654
15,18,10,18,0,1,1,0,65.34704679639388
37,20,9,10,1,0,1,0,84.80624553736091
31,24,9,17,0,1,1,0,82.48316423313642
35,24,11,9,1,1,1,0,81.47814000586776
25,20,11,7,1,1,1,0,69.63604727859115
42,17,5,18,0,0,0,1,95.64334168156768
29,19,8,19,1,0,0,1,85.75349475330381
25,15,10,24,1,0,1,1,81.95048677023081
35,25,4,17,0,1,0,1,92.97625567574516
41,18,7,21,0,0,1,1,96.7026074870164
35,20,11,18,0,1,1,1,91.13653871205626
39,14,9,10,1,0,1,1,87.81426043881446
27,19,6,16,0,0,1,1,82.63610162091834
35,15,11,20,1,1,1,0,81.45281028931751
37,17,11,11,1,1,1,1,87.3189104700818
32,23,8,13,1,0,1,0,82.13729833712075
24,7,8,7,1,0,0,1,72.18732390458531
28,14,12,5,1,1,1,0,68.96196679296663
34,25,7,17,0,1,1,1,90.06976941212892
37,19,9,11,1,1,0,0,81.31288816944968
34,16,5,14,0,0,1,1,88.58643929168231
19,19,5,14,1,0,0,0,70.7588932757661
31,20,10,11,0,0,1,1,83.94611588065833
23,22,8,10,1,1,0,0,71.9922091283992
30,20,10,12,0,1,1,0,75.93701595921166
33,20,10,19,1,0,1,0,82.38721483130632
34,10,9,3,0,0,1,1,81.62969562870094
17,25,10,17,1,0,1,1,76.21836455967497
19,26,10,16,0,0,0,1,76.70532117601094
37,21,16,14,1,1,0,0,81.77643485587285
35,13,11,14,1,1,0,0,77.9239962259879
43,20,8,8,0,0,1,1,95.42130566931988
37,13,5,14,0,1,0,1,89.751563084463
32,16,12,21,1,1,0,0,79.15017087490197
32,20,6,10,0,0,1,1,87.5704372025457
29,19,9,21,0,1,0,1,86.0769430006813
24,26,11,13,1,0,0,1,79.41865738526147
