age,education_years,monthly_income,living_expenses,gender,minority_status,rural_residence,new_community_program,life_satisfaction_score
31,15,6,14,1,1,1,1,52.42252931807817
39,23,7,16,0,1,1,0,36.84891728508639
29,21,11,13,1,1,0,1,46.62687435291748
20,21,9,5,1,1,1,0,33.617676955117666
26,14,10,14,0,1,0,0,40.523725113358886
27,27,11,12,0,1,1,0,30.34382577326776
39,24,13,13,1,1,1,1,46.686786763856176
30,18,9,15,1,1,1,0,39.494100626227095
30,28,13,15,0,0,1,0,33.6631498881296
38,9,14,20,1,0,0,1,58.93263035015096
25,16,8,17,0,0,1,1,51.20514847892113
28,13,11,16,1,1,0,0,47.3898268684336
39,24,9,11,1,0,0,1,47.07172503076715
40,10,11,12,1,1,1,1,58.0905631512942
32,17,12,15,1,1,0,1,53.63364551193353
28,27,9,18,0,1,1,1,41.99911032972794
18,25,5,12,1,1,0,0,31.80912582318579
33,24,8,10,1,1,1,0,35.10704404595315
34,27,9,9,1,1,1,0,32.84820421612871
13,15,8,23,1,1,1,0,39.73116155071364
34,28,6,8,1,0,1,0,32.394735487902544
37,24,10,8,1,1,0,1,44.32628725950696
27,18,8,5,1,1,1,1,47.38908311247188
32,16,7,6,1,0,0,1,52.71194783204928
52,17,8,7,1,1,0,0,45.62201029201592
26,28,6,17,0,0,0,1,40.89714249251229
25,13,14,4,1,1,0,0,41.60041416985212
29,22,11,26,1,1,0,0,35.58725842668674
20,21,7,18,1,0,1,1,44.8518608913917
23,18,9,4,1,0,0,0,38.8552319467556
31,22,8,12,1,1,1,0,37.42816547630844
27,21,18,11,1,1,1,1,46.46054474262627
23,12,14,26,0,1,0,0,43.961069984674246
36,18,11,17,1,0,1,1,51.41948563395586
31,15,5,12,1,0,0,1,52.47782979129234
45,21,9,19,1,1,1,1,50.28637645356629
27,25,7,5,0,0,1,0,33.36162585385745
15,22,10,14,0,0,0,1,42.17151883309449
53,11,9,20,1,1,1,1,62.044371615615496
44,20,10,20,0,1,1,0,42.30722329170524
12,21,10,13,1,0,1,1,41.38016496150738
27,12,5,13,1,1,0,0,46.92543699168476
21,28,11,18,0,1,1,0,28.993992795015327
34,21,9,14,1,1,0,1,46.37200704709092
33,17,10,13,0,0,1,0,43.124490697737706
37,19,4,26,0,1,0,1,50.27740029617722
29,16,11,20,1,1,0,0,42.922110527670114
27,19,12,13,0,1,1,0,40.47165931971815
24,24,10,8,0,1,0,0,32.08960010229373
24,21,5,16,0,1,1,1,46.52784959064172
35,18,12,6,1,1,1,1,51.51539770035651
28,17,13,16,1,1,0,1,50.17009992272485
29,27,13,14,1,0,1,1,43.06690744872965
31,16,8,22,1,1,1,0,44.07392034400748
31,15,9,0,1,1,0,0,43.23576457458028
40,26,8,10,0,1,1,0,34.45011887759304
40,15,11,13,0,0,0,0,46.24686866605813
39,25,9,15,1,0,0,1,46.493514197312045
32,15,1,6,1,1,1,0,43.17338268886851
33,17,9,13,0,1,1,1,50.26367039221875
32,8,12,23,0,1,0,0,51.76098278756538
9,26,6,15,1,1,0,0,27.889093402606942
25,25,15,15,1,1,0,0,32.13109081606245
33,30,9,13,0,0,1,1,40.22366297522056
19,31,7,18,0,0,0,0,25.366149773566484
24,35,13,9,1,1,1,1,32.33503657094821
26,22,11,14,0,1,1,0,34.81615111158916
29,12,10,3,1,0,1,0,45.13112122877694
23,27,10,6,1,1,1,0,29.56520650950641
23,26,7,16,1,1,0,1,39.91368203331682
39,27,10,20,1,0,1,1,44.1822150183928
20,31,11,13,0,0,1,1,34.717876239796446
47,13,14,19,1,1,1,1,58.60542679336311
36,13,10,15,1,0,1,1,56.37331114783287
39,22,10,26,1,1,1,1,48.37632448900552
35,19,10,11,1,1,1,0,39.04737949683096
55,17,14,10,1,1,1,0,47.78832567253693
30,24,9,12,0,1,0,0,32.905839303962075
25,22,11,17,1,1,1,0,33.55134820597707
34,15,6,16,1,0,0,1,53.22671638860346
32,17,7,8,1,1,0,0,39.40610069821417
42,24,15,19,1,1,1,1,46.1633330772856
47,24,15,14,1,1,1,0,37.615347718358514
19,20,13,15,1,1,1,1,44.38279691147111
26,14,7,12,0,1,0,0,43.764884756191975
34,13,9,12,0,0,1,1,55.81306812448401
32,14,6,14,1,1,1,1,53.92968247877168
29,23,13,14,1,1,1,1,45.78981786430506
35,10,10,11,1,0,0,1,57.45792397789801
20,14,8,5,1,0,1,1,51.25438586386522
42,22,11,13,1,1,1,0,39.82695158456268
37,19,9,17,0,1,1,0,42.43490922764114
30,20,1,17,0,0,1,1,48.69881991631499
25,17,12,12,1,1,1,1,50.73565673736508
37,23,7,19,1,1,0,1,45.95352006240567
29,26,8,12,1,1,1,0,33.1745199852784
40,5,8,16,1,0,1,1,64.45352361172073
26,14,13,15,1,1,0,1,51.50184820655316
30,8,8,4,0,0,1,0,49.759859980598016
42,21,9,20,1,1,0,0,41.9726536159735
23,19,12,4,0,1,1,0,37.70521345843856
24,12,12,13,0,1,0,0,43.52103967555236
21,13,8,16,1,1,1,0,43.45983237421193
25,14,11,9,1,0,1,1,53.5564425622487
26,19,8,10,1,1,0,0,38.49255621113956
28,19,11,15,0,1,0,0,39.44747278849372
22,33,6,8,1,0,1,0,24.43413133209926
30,18,3,14,0,1,1,0,40.52774381710761
31,21,9,15,1,1,1,0,35.886759718586
33,13,8,13,1,0,1,1,56.54891018215401
17,26,9,13,1,1,0,1,39.0751249335664
38,17,11,10,1,0,1,1,53.25905889257696
32,23,13,12,1,0,1,1,46.61568339768414
25,15,8,9,1,1,1,0,41.704898322113735
26,19,9,10,1,1,1,1,47.33526816893176
31,23,11,19,0,1,1,0,35.559398316993814
38,19,9,6,1,1,1,0,41.22713326447551
32,21,10,15,1,1,0,0,36.53418295352826
34,18,8,13,0,1,0,0,41.31221252338274
21,16,12,12,0,1,1,0,40.72197630283372
22,22,9,19,1,0,0,1,44.64814433359082
34,19,6,16,0,1,1,0,41.93938898192813
20,30,9,13,0,0,0,1,34.01514090810868
43,19,9,11,1,1,1,0,41.25565836977773
19,17,13,14,1,1,1,0,38.45196400882452
20,16,12,15,0,1,0,0,39.43696281893747
24,17,11,4,0,1,1,0,39.14431712356784
26,28,14,19,1,1,1,0,28.83130118625775
32,23,4,14,1,1,0,1,43.24400153668577
22,14,12,21,1,1,1,0,40.809207166549314
11,16,10,18,1,1,0,0,36.132375749092944
26,25,13,14,1,0,1,1,43.72612465639002
27,16,4,14,0,0,1,0,43.695489455919066
28,16,8,15,1,0,1,1,51.30327815439924
26,16,9,10,0,1,0,0,41.58166217957036
32,23,6,15,1,0,1,1,45.74911776681078
38,21,8,21,1,1,1,1,48.74548308293982
38,27,11,19,0,0,0,1,45.35575270844911
27,19,6,13,0,1,1,0,38.66038200178072
27,17,8,8,1,1,1,0,39.7520801829235
22,35,9,8,0,1,1,1,31.2658552973922
26,28,13,9,0,1,1,1,37.81361511524192
36,13,8,6,0,1,0,0,46.44506010029526
30,17,8,9,0,1,0,0,41.36648261337975
35,34,9,9,0,0,1,1,37.48001094161683
30,17,8,7,0,0,1,0,43.45236784805727
22,10,8,14,1,0,0,1,55.74974569638498
33,24,11,7,0,1,1,0,36.36154574330383
43,30,14,13,0,1,0,0,33.248424824029264
26,14,9,15,1,1,1,1,52.10615626456448
38,20,11,19,1,1,1,1,50.898615029267326
32,12,10,9,0,1,0,0,43.7838884943039
34,19,8,12,0,1,1,0,40.2855203846202
23,-2,9,14,1,1,1,1,66.41878159504274
29,18,4,12,0,0,1,0,41.06905464874931
32,18,5,16,1,1,1,1,51.44575927913305
35,21,16,19,1,0,0,1,48.07362236967938
24,17,11,25,1,1,1,0,40.38286186444992
23,25,10,6,0,1,0,0,31.60189387155994
24,17,8,9,0,1,0,0,38.77965122806973
35,24,6,18,0,0,1,1,48.08596260812208
37,28,11,9,1,1,1,0,32.11709301949056
16,22,7,26,1,0,1,1,42.87128203017152
42,24,15,17,1,0,0,0,37.50163130249352
34,16,14,13,0,1,1,0,44.224819361038
15,20,12,8,1,1,0,1,44.29804378189939
35,26,13,18,1,0,1,1,46.00425796772375
36,15,8,12,0,1,1,0,44.54937301985491
26,20,12,6,1,0,1,0,36.78109383065251
38,25,10,16,1,1,1,1,46.60514991359253
21,15,13,19,0,0,1,0,40.10353244941549
34,7,7,16,1,1,1,1,60.3256176384149
47,31,7,10,1,1,1,1,41.0651856865977
36,13,11,12,0,1,1,0,47.26418919414581
20,26,13,6,1,0,1,1,40.52773834290343
27,22,14,16,1,1,0,1,45.89123619920297
21,21,4,7,1,1,0,0,33.992145267589585
33,18,8,16,1,0,1,1,50.41674587778547
24,14,8,12,1,0,0,1,51.30939963694518
33,24,12,4,1,1,0,0,34.31757412256859
25,12,11,16,0,1,0,0,45.16734834212719
30,15,11,2,1,1,1,1,51.75571496851556
30,22,11,9,1,1,1,0,36.17079782390727
35,22,7,18,1,1,1,1,47.44916961921417
26,17,10,5,0,1,1,0,39.97957758099612
28,31,14,6,1,0,0,1,36.15379530742216
36,14,11,20,0,0,0,0,46.05868597395039
10,26,9,21,0,1,1,0,29.093621640864985
38,18,12,19,0,0,1,1,52.93845620869673
35,15,8,12,1,1,0,0,45.467903671254014
34,17,15,11,1,0,1,1,51.93187320480451
7,11,11,10,0,1,1,0,40.32480250955546
29,2,9,14,0,1,1,0,54.00537896205097
17,13,7,12,0,1,1,0,40.3233027073024
18,25,10,18,1,0,1,1,41.602996912337495
43,8,4,15,1,0,1,1,62.52939594151056
38,29,12,13,1,0,0,0,31.100575055378677
26,15,15,11,1,0,0,1,52.379332072811216
34,19,6,14,0,1,1,0,39.2907956609939
16,28,9,16,0,1,1,1,37.4429762706188
27,26,6,7,0,1,1,0,32.12514266706052
29,25,16,13,1,1,0,0,32.790527929753985
17,19,5,9,1,1,0,0,37.436938711508574
18,15,8,14,1,1,0,1,48.57717932041883
35,19,8,19,1,0,0,1,51.485802497322496
27,27,14,7,1,0,0,1,39.41540191085674
28,19,16,15,0,1,1,0,38.350639359391
31,14,15,15,1,1,1,0,43.82978440133365
36,20,9,5,1,1,1,0,40.45646852192339
31,24,11,10,0,0,1,0,34.7921701869476
45,28,10,3,1,0,1,1,45.37047835628948
25,9,16,17,1,1,1,0,48.21539757207774
29,24,8,13,1,1,1,0,35.47956144744449
25,22,15,17,0,1,0,0,34.11613384805702
32,12,11,17,1,1,0,1,56.40439933479331
24,22,6,9,1,0,1,0,36.059218482367626
25,17,11,8,1,1,0,0,39.79111686480776
26,18,9,12,0,0,0,0,39.13311480278978
40,17,7,16,1,1,1,1,54.2219694289354
43,17,15,15,0,0,1,0,45.03327374167673
35,18,9,12,1,0,1,1,51.82391285250951
31,20,9,11,0,1,1,0,38.20985238702784
24,16,2,13,1,1,1,0,42.28495416609425
37,19,12,10,1,1,1,0,41.14955673070818
32,24,14,12,0,0,1,1,45.07654140169344
24,16,13,9,1,1,0,1,50.45973830464106
22,25,6,6,0,1,1,0,32.20751659839992
14,8,8,3,1,0,1,1,54.83627496596516
39,22,5,13,1,0,1,1,47.50656883601568
19,29,9,14,1,1,1,0,27.857291539115312
30,16,10,12,1,1,0,1,52.18768495867289
33,21,10,10,1,0,1,1,49.67486721370076
34,20,9,8,1,0,1,1,49.52496913029034
32,29,11,12,0,0,0,0,30.60039869567806
19,16,4,16,0,0,0,1,49.72653141996518
20,19,11,13,1,1,1,1,45.84809851984282
44,12,6,10,1,0,1,1,58.85678893609028
47,22,14,17,0,1,0,0,41.41317572588981
36,21,6,14,1,1,1,1,48.340968068733936
25,25,10,18,1,1,0,0,31.96147282406366
42,22,9,12,1,0,1,1,49.11537266293983
42,13,5,13,1,1,0,0,47.8483634498651
35,29,10,18,1,1,1,1,41.855672945374806
22,16,12,10,1,0,1,1,51.12251342541304
35,16,9,12,0,1,0,0,43.66533697590188
31,10,12,10,1,1,0,0,45.90633494318725
36,9,10,19,0,1,1,1,60.03125653114517
33,20,9,15,1,1,0,1,48.732977164735104
24,19,9,22,1,1,1,1,47.94090600248417
24,21,5,17,1,1,1,1,45.55953891369263
21,13,14,4,0,0,0,1,51.63402979160794
39,29,16,19,1,0,1,1,41.46023566059533
25,24,16,11,1,1,1,1,41.909218057165056
32,19,13,16,1,0,1,1,50.70105687149158
33,23,6,19,0,1,0,0,36.268144608682405
17,10,18,18,1,1,0,1,54.42574142350508
35,26,6,10,0,1,1,0,33.87516758820068
30,7,7,14,1,1,0,0,49.82423069373817
26,22,9,14,1,0,1,1,46.10507246517447
29,11,13,11,0,1,0,0,45.22668288363824
43,22,8,4,0,0,0,0,41.010722061127325
35,20,10,10,1,1,0,0,37.4877312293457
21,28,9,11,0,1,1,1,37.49315221614216
27,23,4,13,0,1,0,0,35.195621967543495
30,17,11,13,0,1,0,0,40.94374543004276
32,7,4,18,1,1,0,0,49.65733715907299
25,10,7,13,0,1,0,0,45.46690947882988
34,22,14,11,1,0,1,1,46.55179517404309
17,14,14,18,1,0,1,1,51.660253264327416
38,14,15,11,1,1,0,1,57.35441751160096
32,21,4,7,0,1,1,0,38.20341686749111
27,11,7,15,1,1,1,0,45.62408212234394
29,22,5,13,1,0,1,1,44.642204122908005
40,12,11,14,1,0,0,1,58.2995907193484
30,25,6,12,1,1,1,0,31.64388265343159
33,23,9,17,1,1,1,1,45.70348899740686
26,23,8,15,0,1,0,0,34.99553348835271
20,29,11,19,0,1,1,0,29.15597476669904
34,20,4,13,1,1,1,0,39.597725747736185
25,13,4,9,0,1,1,0,42.63918773556176
36,20,12,0,0,1,1,0,38.04627426245847
35,31,2,10,1,1,0,0,29.324436060942272
22,4,7,20,0,1,0,0,52.27036118011917
31,16,2,11,1,0,0,0,42.90521220096123
