age,political_knowledge,income,gender,education_level,ethnic_minority,campaign_exposure,voting_behavior
48,29,10,0,1,1,0,45.78049081438116
37,12,12,1,0,0,1,51.57984086470559
23,15,9,0,0,0,0,47.23885132124544
32,15,2,1,1,1,0,46.76393880655801
28,15,7,1,1,0,0,44.58285457378566
16,24,3,0,1,0,0,50.99445474563051
23,27,6,1,0,0,1,61.37431547620375
35,23,14,1,1,1,0,47.55495203066373
18,15,2,0,0,0,0,50.07020734797864
19,21,10,1,0,0,1,60.13952901376964
31,18,7,1,0,0,1,56.46894228535441
27,20,12,0,0,1,1,57.614951315275896
32,15,20,0,1,0,0,42.63536065078424
38,32,11,1,1,1,1,58.65164669145157
20,20,9,0,1,1,1,58.4697689251471
28,26,9,1,0,0,1,59.6265635991633
26,17,7,0,1,1,0,47.78753224680094
31,17,8,0,0,0,0,48.27136197225497
31,15,4,0,1,0,0,44.14966708481908
32,34,11,1,0,0,1,62.683766422108405
32,22,10,0,0,1,0,48.99040967192087
26,26,7,0,0,0,0,52.36303655753306
27,20,11,1,0,0,1,58.12843435456024
33,25,8,0,0,0,0,50.46113827833005
32,31,10,0,0,0,0,50.8384375627687
30,23,8,1,0,1,1,56.61373552346754
28,18,10,0,0,0,0,46.913737986095725
34,17,7,1,0,0,0,46.5630155913926
31,19,12,1,1,1,1,54.47259345723176
34,28,7,0,1,0,0,50.41305920633462
29,20,11,0,1,0,0,48.55022491636992
21,19,7,1,0,1,1,58.05526337504353
41,21,11,0,0,0,1,54.33931890038757
36,18,13,0,0,0,0,44.87500272338863
24,26,4,0,1,1,1,60.14889360441987
14,21,6,0,0,0,0,53.14131784587982
28,16,10,0,1,0,1,51.55536324396634
27,8,7,1,0,0,1,51.51331463876196
36,23,9,1,0,1,0,47.18018873904763
25,14,15,1,1,0,1,55.86455885639014
30,15,10,0,0,1,0,45.22386942890472
37,18,5,0,0,1,0,44.642298472971945
38,19,11,0,0,1,0,45.12424203092046
38,26,12,0,0,1,0,46.76330554275158
21,9,11,0,0,0,0,46.12982759786858
31,18,7,0,1,0,0,46.068590989187136
38,11,9,0,0,0,1,51.3874729483232
34,22,10,0,0,1,0,49.17870789683764
35,24,10,0,1,1,0,47.28331910466046
11,19,6,0,1,0,0,51.90793018637603
35,10,6,1,0,0,1,50.32104178209514
31,24,12,0,0,0,1,57.97707301276108
29,17,9,1,0,0,0,47.14752489515534
22,10,8,1,1,0,1,54.04169230802923
42,23,11,0,0,1,1,53.0899423193226
29,30,12,1,0,0,1,60.25327238992303
12,18,11,1,1,0,0,51.148238697545
37,12,9,0,0,0,0,41.87694198805175
23,13,11,0,0,1,0,46.85411639636126
44,24,11,0,0,0,1,54.12992729837458
14,23,10,1,0,0,1,63.13524289191164
11,26,11,0,0,1,1,64.83637652815224
21,24,10,0,0,0,1,57.50788142660328
29,22,7,1,0,1,0,48.60421007187153
32,13,4,0,1,1,1,53.03275170776912
26,29,13,0,0,0,0,52.36190501411278
20,27,9,1,1,0,1,60.48269634269919
33,17,9,0,0,1,0,45.11056822698681
31,16,10,1,1,0,1,54.63204179270218
27,24,6,0,0,1,0,51.83252150168487
33,21,8,1,1,1,1,56.26792808527015
39,19,10,1,0,0,1,55.08938750372868
50,18,11,1,0,0,1,50.30325169755999
38,30,14,0,1,0,0,47.33206498036458
25,10,8,0,0,0,0,44.71172684320903
29,23,10,0,1,1,1,58.26425858754487
23,17,9,0,1,0,0,48.35043705867114
23,20,8,1,0,0,1,60.29192903553418
33,23,7,0,0,1,1,57.83650014413481
39,17,15,1,1,0,1,51.78902487435542
28,25,10,1,1,1,1,57.41451070512485
21,22,12,0,0,0,0,49.996120118175895
23,16,11,0,1,0,1,55.957644108568026
15,27,10,1,1,0,1,62.53516236374019
34,9,13,0,1,1,0,42.59847825969598
25,9,15,0,1,0,0,43.42405040581024
21,21,8,1,0,0,1,59.13893890375785
19,20,12,1,0,1,1,59.52877522050167
27,29,11,0,1,0,0,51.131671831826
34,17,11,1,0,1,1,54.03027255220375
46,24,11,0,1,0,1,53.07855990233208
21,17,11,1,1,1,1,58.06355433594633
28,14,8,0,1,1,1,54.76309075620518
21,23,10,0,0,1,1,61.96551359845907
42,22,13,0,0,1,1,53.77312851572943
37,18,8,1,0,1,1,54.81270090646031
28,14,8,1,0,1,1,56.23087527031876
30,24,7,0,0,1,0,48.06247027414437
30,25,8,1,1,0,1,59.33490967508983
28,23,8,0,0,1,1,57.60733825000428
28,11,8,1,0,0,1,52.67040988541707
34,19,12,0,1,1,0,45.598846399464925
39,8,7,0,1,0,0,40.09534992428853
31,19,7,0,1,0,0,46.04854458803165
32,21,10,0,1,1,1,55.03508123587992
37,23,8,0,0,0,0,45.643865251159305
42,17,5,1,0,0,0,44.1046180059883
25,17,12,1,1,1,1,54.40902566180807
52,10,7,1,0,1,1,47.41803239029508
33,25,16,0,0,0,0,45.30472399216448
18,27,13,0,1,0,1,62.248094879688274
37,18,7,1,0,0,0,46.65031307362067
33,25,8,1,0,0,0,49.53848788075966
34,19,4,1,1,0,0,48.92531283881508
28,28,9,0,0,0,0,50.5093333483334
41,17,9,1,0,0,0,41.68055174248502
35,26,13,0,1,1,1,57.5391767865241
25,27,10,0,0,0,0,51.59978551688226
19,11,4,0,0,1,0,48.64669933132281
32,14,12,0,0,0,0,44.88120394875303
34,21,13,1,0,0,1,55.72847334948012
26,25,7,1,1,0,1,59.46911596709968
35,6,8,0,1,1,1,49.96649943572368
44,10,7,1,0,0,1,50.66331584877054
30,15,9,1,0,0,1,56.72127064642025
35,18,8,1,0,0,1,53.70441405358894
17,17,15,0,0,1,1,58.72287940124377
22,26,9,1,0,0,0,52.073945616782304
29,22,9,0,0,1,0,49.27091338646066
29,18,12,0,1,0,1,54.61127867248256
23,15,12,0,0,1,0,48.84474409165352
18,24,5,0,0,0,0,54.417960598271634
19,12,14,0,0,0,0,46.47166811700154
35,14,12,0,0,1,1,52.10832551252974
28,23,11,0,1,0,0,48.92680532942168
17,24,10,0,1,0,0,52.15146075665081
36,22,15,1,0,0,1,54.89723936998034
37,21,12,0,0,1,0,45.70061428898413
23,26,6,0,0,0,0,52.72196408293885
23,14,8,0,0,0,0,48.0775963571497
42,21,6,0,1,1,0,42.99509690761003
17,18,11,0,1,1,1,58.96584617897268
26,26,13,0,1,0,0,50.33174573700162
39,22,7,0,0,0,0,45.92383088355338
37,20,11,0,1,0,1,53.738800938456414
30,24,10,1,0,0,0,51.49412471126893
32,21,7,1,1,1,1,57.71329060804474
8,15,12,1,0,0,1,62.466127553147885
36,11,14,0,0,0,0,40.509317993596895
21,22,0,1,0,0,0,51.95114341458583
43,22,11,1,0,1,1,53.35220791881218
33,19,6,0,0,0,0,46.0771387119188
42,7,14,0,1,0,0,39.29052377479655
21,13,4,1,0,0,0,48.39678845767365
30,18,12,1,0,0,1,55.52406685633755
29,19,12,1,1,0,1,55.843574863766094
38,22,12,0,0,0,1,53.399313233358
28,22,11,0,0,1,1,57.62656079227843
43,10,9,1,0,1,1,48.3165592115928
33,9,9,0,0,1,0,43.23781221155304
30,15,4,0,1,0,0,46.65032576102443
25,16,7,0,0,0,0,50.16023987031888
38,2,8,0,0,0,1,49.34605681955115
26,16,7,1,0,1,0,48.0015557678153
33,17,3,1,1,0,1,54.06926039824105
28,25,6,0,0,0,0,51.69431445501432
35,20,20,0,1,0,1,54.24336854137192
16,15,9,0,1,1,0,48.68271933446339
40,21,7,1,0,0,1,53.79683208459367
30,26,10,0,0,1,0,49.70079102070516
26,17,6,1,1,1,1,58.881252861946464
29,20,13,0,0,0,0,47.43042520491174
31,27,11,1,0,0,1,60.9217916142996
34,20,10,0,0,1,0,47.14232722757185
22,20,8,0,0,0,0,50.73787373680134
38,16,9,1,1,0,1,55.12827828133685
18,13,6,0,0,0,0,49.15121672543415
31,16,10,0,0,1,1,54.32660651954587
35,7,8,0,0,1,0,41.47114451007787
24,17,11,0,0,0,0,47.710181782484
27,11,15,0,1,1,1,54.29318731120986
48,24,10,0,0,1,0,44.05840817738932
37,23,9,1,0,0,1,55.82134873004237
46,23,6,0,0,0,0,44.49503258811335
33,17,8,1,0,0,1,56.27764116368136
37,11,11,0,0,0,1,51.142257920384296
31,22,13,0,0,0,0,47.27256343078407
22,17,5,1,0,0,1,58.958453702444096
38,20,11,0,0,0,1,53.21429958434658
31,21,11,0,0,0,0,48.03966076643324
52,18,9,1,1,1,1,50.00285439334357
30,20,11,0,1,0,1,57.49028612920622
25,11,14,1,1,1,1,52.394360877473694
28,17,8,0,0,0,0,46.141785419635305
17,28,8,1,0,0,0,53.71267622941829
37,25,5,1,0,0,1,57.42446158630193
29,19,12,1,0,1,0,47.6948758547303
26,25,13,0,1,1,0,48.55905902913973
18,10,10,0,1,1,1,56.9647804102798
20,13,12,1,1,0,1,56.22911413308903
24,14,4,1,1,0,1,56.29452764544026
30,21,8,1,1,0,1,56.12586394117562
19,19,7,0,0,0,0,50.05456980626776
29,12,9,1,0,1,1,53.34150602348516
26,20,8,0,0,0,0,49.015463618386896
30,13,9,0,0,0,0,44.63752197614759
35,21,10,0,0,0,0,45.496401006209446
34,18,7,0,1,0,0,45.015512651753504
29,23,11,0,0,0,1,58.01511221894607
31,20,13,1,0,0,1,54.39398967593194
19,15,6,1,1,0,1,57.88380621138294
22,23,5,1,1,0,1,60.36756332717727
45,12,6,1,1,0,1,47.98442289484055
33,19,10,0,0,0,0,46.3195845663046
20,24,6,1,0,1,1,61.99977223930957
23,16,12,1,1,0,1,56.43219510741586
28,17,10,0,0,0,0,47.40372580219241
31,23,11,1,1,0,1,57.28223492399736
23,21,9,0,1,0,1,59.00634054409691
29,19,1,1,0,1,0,48.15471798075074
39,4,10,0,0,1,1,47.90058239446413
31,12,7,0,1,1,0,43.738581868886726
22,16,9,0,0,0,0,48.34621186225744
33,23,5,0,1,0,0,47.24866774180262
40,21,11,1,0,0,1,53.749888162801305
40,14,5,0,1,0,1,51.48561546868309
25,19,6,1,0,0,0,49.34108417260465
18,21,14,0,0,1,0,49.64428527452112
30,23,8,0,1,1,1,58.293545798278345
31,20,13,0,1,0,1,56.84456149311541
28,22,6,0,1,0,0,48.80600638966245
24,28,14,1,0,1,1,61.53236661671242
32,22,9,0,1,0,0,47.56452505164245
26,36,8,1,0,0,0,56.98207887625408
36,20,8,0,0,1,0,45.8861540576113
30,21,9,0,0,1,0,46.45154805554894
34,16,5,1,0,1,0,43.63444119924029
30,17,4,0,0,1,0,49.422852259647925
31,14,10,0,0,1,1,55.21220696126313
28,23,15,1,0,0,1,58.08673934337002
31,25,15,0,0,1,0,47.45910736555106
22,29,8,1,1,0,1,62.95677336300376
19,8,7,1,0,0,1,55.27420121981992
30,25,7,0,1,1,0,49.78987974007337
38,22,12,1,0,1,0,45.32171839842462
35,17,14,1,0,0,1,54.77936255359374
32,15,5,0,0,0,0,46.20873682629019
34,14,11,0,0,1,0,44.02820672282512
29,26,9,1,0,0,1,59.71456085951359
28,21,4,0,1,1,0,47.49228594853
23,16,13,0,1,1,1,57.2173142835946
24,18,10,0,0,0,0,46.936846103318935
30,17,15,0,1,1,0,46.21199343649627
39,14,10,0,0,1,0,40.887040522552944
28,27,4,1,0,0,0,53.836539823514094
21,26,12,1,1,0,1,58.8006145900556
27,24,11,0,0,0,0,48.8344046096446
31,32,6,0,1,0,0,50.77879015082048
40,14,13,1,0,0,0,42.87500952389779
36,27,8,0,0,0,0,49.40657542953991
22,12,12,0,0,0,0,45.78705081116244
41,13,9,0,1,1,1,50.15566432748601
35,15,11,0,1,0,1,51.72136216510432
28,16,12,0,0,0,0,46.96385905979857
44,16,10,0,0,0,0,42.01242567216102
29,13,7,0,1,0,0,44.64300419417231
32,26,7,0,0,0,1,56.24234701602678
30,19,6,1,0,0,0,46.945792223218525
27,11,9,0,0,1,0,43.13410771149271
31,16,11,0,0,0,0,46.95281065361969
13,23,14,0,0,0,0,53.52912064331162
26,27,11,0,0,0,0,50.57634986625956
35,25,3,0,1,0,0,47.395922203818046
42,20,11,0,1,1,1,51.97025591047495
20,16,10,0,0,0,1,58.0352839806092
30,26,7,0,1,0,0,49.19180631085111
35,10,14,0,0,1,0,40.17354299639482
32,23,12,0,0,0,0,48.4649224321419
39,22,4,1,0,0,1,54.960734843141616
28,14,7,1,1,0,1,54.76581392518734
27,25,9,1,0,1,0,47.60355243331452
27,16,10,0,0,0,0,48.21593636251507
32,8,7,1,0,0,1,52.41166198188344
44,17,12,1,1,0,1,50.81398970865563
36,20,6,1,0,0,0,45.20222100992454
37,17,7,1,0,0,0,44.60672829363969
28,18,8,0,0,1,0,47.374082898252105
40,17,10,0,0,0,1,51.99265403208241
34,20,13,0,1,0,1,54.36590291358543
25,30,9,1,0,0,1,62.51161398431783
19,23,4,0,0,1,0,52.667256560303855
34,20,10,0,0,0,0,47.10341632336288
36,26,8,0,0,1,0,48.79336268123622
27,11,7,1,0,0,1,54.54316141586607
20,16,10,1,0,0,1,58.07981595250264
29,12,15,0,0,0,1,52.06601023433014
17,19,12,0,0,0,0,49.405396721382736
32,31,7,0,1,1,0,49.50550934826216
38,20,7,0,0,0,0,45.136127049648685
27,18,12,0,0,0,0,47.27443337696907
22,25,9,1,0,0,1,61.205010919357946
24,19,7,1,0,1,1,58.88188731517108
24,15,16,0,1,1,1,53.4249459492674
21,24,10,1,0,1,1,59.844674111588
44,31,11,1,1,0,1,55.14805805528408
16,23,8,1,0,0,0,54.25080647055341
24,11,9,0,0,1,0,47.17542267189496
25,26,10,0,0,0,0,49.39200029186424
37,20,6,0,1,1,0,45.55968709528355
35,9,6,1,1,0,1,51.238665496512304
25,16,9,0,0,0,0,47.55423738039129
31,24,11,1,1,0,1,57.994340880817234
40,25,10,0,0,1,0,47.12984225879029
39,20,4,0,1,0,0,46.46483570382849
24,27,9,1,1,1,1,59.76060081927418
40,15,10,0,1,0,1,50.53886866709857
40,14,12,0,0,0,0,44.89609355796748
33,20,13,0,1,1,1,53.981785245936514
27,18,14,0,0,0,0,46.79222391212402
37,12,4,0,0,1,0,42.9357964059989
35,12,7,0,1,1,0,42.43432377750764
21,21,11,0,0,1,1,60.59113298370321
18,10,9,1,1,0,0,47.67149629728455
21,19,11,0,0,1,0,50.2758950869153
13,19,9,1,0,0,1,61.38015591845201
32,26,10,0,1,1,1,57.25673062453148
14,17,15,1,0,1,1,59.159955755135165
24,18,5,1,1,0,0,48.10090858252394
38,21,10,0,0,1,0,47.86713528631941
32,23,6,1,0,1,1,58.1560685327735
29,22,10,0,0,0,0,48.79555995123423
24,21,11,0,0,1,0,49.41693026551216
26,22,14,0,1,0,1,57.32965497371864
23,10,17,1,1,1,1,55.236008919256605
18,28,11,0,1,0,1,62.76606966783862
19,31,10,0,1,1,0,53.19813599500991
30,17,7,0,1,0,0,45.92559550702384
26,18,5,0,1,0,0,50.40344171050105
26,22,9,1,0,1,1,58.60293242730297
34,24,12,0,0,0,0,46.85550399875832
37,16,11,0,0,0,0,45.17180162260218
40,17,8,1,0,0,1,51.120127959564485
27,9,7,0,1,1,0,42.721635455815786
19,27,7,1,0,0,0,55.15534960366063
37,23,10,1,0,1,0,45.38726782069044
49,24,10,0,0,1,0,44.60061254775901
29,21,10,1,0,0,0,49.5804657887282
32,29,10,0,1,1,0,51.42266472748979
12,8,9,1,0,0,1,57.43290107401738
31,18,7,1,1,1,0,46.08895197138597
25,20,11,0,0,0,1,57.83323487151054
38,21,7,1,0,0,1,54.64194669527226
37,24,13,0,1,0,1,54.79052128953072
40,22,7,0,1,1,1,53.86157194426976
32,13,9,0,0,0,1,52.41172132021803
32,19,10,0,0,0,0,46.32767518118328
44,21,9,0,1,1,1,54.906059795302205
23,11,12,0,1,0,1,55.01333502529476
36,19,7,1,0,1,0,46.97618556039029
28,16,9,0,1,0,0,46.41282408013856
44,22,12,1,0,0,0,44.049671814511655
33,21,5,0,0,1,0,47.88397196396905
21,19,10,0,0,0,0,50.10733390829637
37,17,7,0,0,1,0,45.73312018630031
34,23,9,0,1,0,0,47.71565832154824
32,19,11,0,0,0,0,47.826632774845
37,22,11,0,0,1,1,55.53049907963033
15,23,10,0,0,0,0,52.60081327004166
26,12,5,0,0,0,0,46.36356365864826
32,11,13,0,0,0,1,53.036402586157
29,20,14,0,0,0,1,55.3046063474861
30,15,9,0,0,0,0,46.61629095717608
23,10,9,1,1,1,1,55.58335053514541
29,17,14,0,0,1,1,54.34240878246349
25,27,7,0,0,1,0,52.44493829737669
27,23,9,1,1,0,1,59.91878036501016
34,27,11,1,0,1,1,57.6760732594009
23,17,10,0,0,0,1,57.60417695048833
34,12,8,0,1,1,0,42.54398722206374
31,14,6,1,1,0,1,54.99587150889102
10,17,9,0,1,0,1,60.1115013502594
36,16,13,0,1,1,0,43.913790602149376
32,20,13,0,1,0,1,53.17265417021628
36,18,10,1,0,0,1,54.42311164713335
35,16,9,0,1,0,0,44.21635643212799
36,16,18,0,0,0,0,42.21292644724842
28,23,7,0,1,1,0,47.80650031495312
35,23,12,1,0,0,1,56.083145933166925
32,20,9,0,1,1,0,46.084343984328655
31,20,7,1,0,1,0,47.0869755287218
23,20,14,0,0,1,1,58.58613291879728
28,26,10,1,0,1,1,60.34165416291595
41,12,7,1,1,1,1,50.62827503057098
35,6,6,1,0,1,0,42.781821799931606
32,24,8,1,1,0,1,57.20828579865028
54,14,14,0,1,0,1,44.4224548461298
24,26,5,0,1,0,0,50.91953672313776
27,29,6,0,0,0,0,52.64332688848421
37,25,7,1,1,0,1,55.93731534336371
22,12,6,0,0,1,0,46.11689787568969
23,23,10,1,0,0,0,51.44861878937961
26,24,15,0,1,1,0,48.26264466510621
44,20,11,0,1,0,0,43.75876997816589
31,16,10,0,0,1,0,47.05614183041983
24,35,12,0,1,1,0,53.316750651007
26,21,9,0,1,1,1,57.576065937383845
49,14,13,1,0,1,1,50.76069176803491
18,21,10,1,1,0,1,59.9815958221648
35,23,14,0,0,0,0,47.030246838792166
29,23,18,1,0,0,1,57.965451830995
36,27,14,0,0,0,0,47.94209647168605
31,25,6,0,0,0,0,50.06352039822176
35,20,11,1,1,0,1,54.41116864034607
15,22,10,0,0,0,0,51.77207351352309
36,20,14,0,0,0,1,54.49487605471697
40,8,13,0,0,0,0,39.48734722236541
25,27,10,1,0,0,1,61.83738937507232
36,27,6,0,0,0,1,58.78023542923868
12,15,5,1,0,0,0,51.51064571716763
43,8,11,0,0,1,0,39.032892935705306
24,10,10,0,0,1,0,45.681463873109415
33,9,6,0,1,0,0,42.465239815081546
22,28,8,0,1,0,0,52.16693026316888
30,28,8,1,1,1,1,59.181563555001794
32,23,8,0,0,1,0,48.74645630948244
29,16,11,1,0,1,1,54.12221877758391
24,23,14,0,0,0,1,57.46628496614044
20,18,10,0,0,1,0,50.90447977241733
37,20,14,0,0,0,0,43.682952353422415
20,22,3,0,1,0,0,51.58791105709141
23,25,12,0,1,0,0,49.7748289102888
12,30,7,0,0,1,0,54.25862150556898
33,9,6,0,0,0,0,43.71343067156431
26,31,3,0,0,0,0,52.50053760985629
21,19,7,0,0,1,0,49.85352131510626
37,24,8,1,0,1,1,55.74598401724555
31,15,10,1,0,0,0,44.710397452758514
30,22,18,0,1,1,1,54.280230035098384
31,23,12,1,0,0,1,58.47614290738812
27,34,11,0,1,1,0,52.57927231686387
39,16,8,0,0,1,0,42.7900091207806
34,21,7,0,1,0,1,55.17241698138741
22,27,9,1,1,1,1,58.914823700131606
36,27,11,1,0,0,0,48.82238452496244
28,13,10,0,1,0,0,45.74364025284281
31,18,12,1,0,0,1,56.42441632341548
41,15,12,0,0,1,0,42.38415214504548
27,20,7,1,0,0,0,49.065367111022624
32,16,8,0,0,1,0,45.94204168154285
24,20,10,0,0,0,0,47.551009482866974
33,23,9,0,1,0,0,47.047347579414186
37,14,10,1,0,1,1,51.90986809603165
37,26,4,1,1,0,1,57.42596464201534
41,16,16,0,1,1,0,41.28852907618074
31,22,6,0,1,1,0,48.28770666002931
38,25,11,1,1,0,0,45.90300202645542
15,22,7,0,1,1,0,52.19473781651632
26,18,14,0,1,0,0,46.182122279454894
42,18,7,0,0,1,1,52.62900328740659
18,23,10,1,1,0,1,60.88497015507532
31,32,11,0,0,0,0,51.3208217355442
22,23,9,1,0,0,0,49.10736447078993
39,17,11,1,1,0,1,50.76146736471065
25,14,12,1,0,0,1,55.75185108423862
31,10,10,0,0,0,0,45.1248877663907
25,20,12,0,0,0,0,49.27229277414429
28,37,12,0,1,1,0,53.58864962025865
30,17,15,0,1,1,1,53.75676284799452
33,25,12,0,0,0,0,49.00941327939223
43,11,6,0,1,1,1,48.06067465793283
41,21,11,1,1,1,1,53.40804775864239
34,16,8,0,0,1,0,45.30277283583817
35,30,10,0,1,0,1,58.29021106891553
17,24,8,0,1,1,0,51.50336778788253
23,14,12,0,0,0,0,46.38533481474526
35,16,9,0,0,0,0,45.53040697058324
42,16,12,0,1,1,1,50.37661550075121
25,29,12,0,0,1,0,52.99647932840372
25,17,8,0,0,1,0,47.56019769786276
35,29,7,0,0,0,1,59.521387989669286
34,19,3,1,0,1,0,47.94852967918493
28,33,7,0,0,1,0,52.77359116159708
38,37,12,1,1,0,1,60.35361528749209
33,17,9,0,0,0,1,56.42846223754248
28,17,5,0,0,0,0,48.906219211507945
41,26,7,0,1,1,0,45.68839776950449
33,15,11,0,1,0,1,54.14888437349538
26,13,9,1,0,0,1,55.90313596119078
23,22,13,0,0,0,0,50.2564965056644
36,18,16,1,1,0,1,50.96142594642384
36,15,10,0,1,1,1,52.32209232276089
29,18,13,1,1,0,1,55.12928357728224
29,21,11,1,0,0,1,57.607503038099765
21,24,10,0,1,0,1,60.111514869726896
29,18,12,0,0,0,1,55.84794956149603
26,15,14,0,1,1,1,54.11831937665652
13,25,18,1,0,1,1,63.5820809089427
37,16,9,0,1,0,1,50.75256821286594
38,13,14,0,1,0,1,50.40207835129945
29,23,4,1,0,1,0,51.211341222128254
32,16,6,1,0,0,1,55.306687567535214
28,20,9,0,1,0,0,48.25874458347749
29,20,10,1,0,0,1,57.60788856965659
25,14,5,0,0,1,0,47.980536855266834
15,20,11,0,0,1,0,52.68114807530656
32,4,12,0,0,0,1,50.3656907433576
17,14,10,0,1,1,1,57.14695809232078
33,20,11,0,0,0,0,45.732964721949074
26,12,7,1,1,0,1,54.186359397476586
28,22,7,0,1,1,0,48.81645106432466
24,16,5,0,0,0,0,48.65179270533943
38,22,8,0,0,0,1,55.22880259828464
27,19,2,1,0,1,0,48.79827093701758
29,15,12,1,1,1,1,54.52517877118521
45,21,8,0,0,1,0,45.07508091040329
31,7,7,0,0,0,0,42.540825023229225
28,17,10,0,0,0,1,55.92794054824468
40,16,9,1,0,0,0,42.59751637023049
34,22,13,1,0,0,1,57.48726431400762
41,35,10,1,1,1,1,58.57737922089359
33,21,8,0,1,0,1,54.62420483196766
25,8,11,1,0,0,1,53.05993025625012
40,12,11,0,1,0,0,41.53691306011189
31,19,12,0,0,1,0,44.80703999052968
26,25,12,0,1,1,1,56.886145480244295
20,12,8,0,0,0,1,55.25419584450376
25,22,12,0,1,0,0,48.90270339269191
16,15,11,1,0,0,0,49.6774627415492
33,33,10,1,0,0,1,59.67090821160103
29,21,6,0,0,0,0,47.04312774288056
14,6,11,0,1,0,0,46.80988491954512
12,7,11,1,1,0,0,47.9440662683439
35,17,13,0,0,1,0,45.90350033931656
30,19,14,0,1,0,1,55.46490889354728
23,27,11,1,1,0,0,51.32054115247522
38,9,4,1,0,1,1,51.0382640591909
22,25,11,1,0,0,1,60.32495305031212
22,23,12,0,1,1,0,49.40411256004766
18,15,7,1,0,1,1,59.41870565521912
27,17,11,1,1,0,1,56.150829859461695
30,25,6,1,1,0,0,50.64024897761104
29,18,8,0,0,1,0,46.9692857844706
26,17,11,0,1,0,1,54.983634331297786
29,8,4,0,1,0,0,44.80268632493024
31,18,7,0,0,0,1,55.83741153490084
25,10,11,1,0,0,1,53.9199929695613
32,16,13,1,1,0,1,53.857090544024814
44,18,15,1,0,0,1,48.92057322057509
22,23,11,0,0,0,1,58.58372559684568
16,21,9,1,0,0,0,51.69716223664118
29,22,5,1,0,1,0,48.65448075509009
27,9,5,0,0,1,0,44.98292504022762
12,19,5,1,1,1,0,55.29669730785154
17,14,8,0,1,0,0,46.80558248638194
22,15,8,0,0,1,0,47.42420441779908
23,17,8,0,0,1,0,49.134020347735856
16,16,9,1,0,0,1,59.160004677117485
32,17,12,1,0,1,1,55.65265814034343
29,33,13,1,0,0,0,52.267858580320656
15,17,9,0,0,0,0,49.324867862677664
31,11,13,0,0,0,1,50.00970350079402
20,21,10,0,1,0,0,48.526045988659895
32,22,8,0,1,0,0,48.60051678396027
34,27,11,1,0,0,0,48.09928896858599
29,24,11,1,1,1,1,57.90106986190144
38,13,11,0,0,0,0,42.09770265773321
31,25,9,0,0,1,0,48.66888155497645
23,24,10,0,0,0,1,60.83594593115388
28,18,11,1,0,1,0,46.07137771256703
31,23,6,0,0,0,0,48.717162984828406
29,24,9,1,1,0,0,49.21392372202831
36,18,9,1,0,0,1,53.08636461196093
29,16,12,1,1,0,1,52.899957924955054
34,20,13,1,1,0,1,54.58935732044138
32,12,10,0,0,1,1,53.73903655305911
19,23,16,1,1,0,1,59.40635716180059
36,20,7,0,0,0,0,44.98392360635994
28,16,8,0,0,1,0,46.75123082844456
45,17,5,1,0,1,0,43.52381261678302
23,19,13,1,1,0,1,56.95634555511354
32,27,9,0,0,0,0,49.231785706418265
27,13,7,1,0,1,1,56.35742954155743
39,13,7,0,1,1,0,42.89404914261316
18,20,9,0,0,1,0,51.34575878533393
21,14,9,1,0,0,1,57.43953487349806
26,15,13,0,0,0,1,56.47098072323205
39,23,7,0,1,0,1,54.95494192417001
