age,education_years,previous_month_income,gender,rural_residence,minority_status,participation_in_self_employment_program,current_month_income
24,15,7,0,1,1,1,35.16197370757902
37,14,8,1,1,1,1,26.387721319635894
34,21,6,1,1,1,0,20.860954178493653
21,24,7,1,0,1,1,31.63023509278993
31,11,10,1,0,0,1,29.80810235795702
31,22,11,0,1,1,0,19.620558253094444
35,32,8,1,1,1,0,14.057269483272425
32,18,4,0,1,1,0,23.60867147875672
45,20,7,1,1,0,0,14.312298213566132
31,25,13,0,1,0,1,22.41519093430425
42,23,11,1,0,0,0,12.166324134377255
28,16,9,1,0,0,1,31.14099905157946
22,22,12,1,1,1,0,24.09490423603928
37,15,7,1,0,1,1,27.90427755325051
17,18,11,1,1,1,0,29.094582673253228
35,13,10,1,1,0,1,26.14250502066359
37,24,6,1,1,0,0,18.173333282643178
32,16,12,1,0,0,1,27.299052873919745
45,22,7,1,0,0,0,13.690816728226345
20,22,10,1,0,1,1,30.809543903653392
45,19,7,1,0,1,0,14.346011131577038
40,24,9,1,0,0,0,15.029004727475767
36,20,12,1,1,1,1,21.971370674396024
41,19,6,1,1,1,1,21.610186047864087
23,10,12,0,1,1,1,33.806826363331204
23,23,9,1,0,1,1,29.72348676620956
39,17,6,1,1,0,0,18.85610648948797
38,20,11,0,1,1,0,15.942248708412825
26,13,10,0,1,0,0,24.842705051623664
21,16,10,0,1,0,0,28.95043200510584
38,25,10,1,1,1,1,20.16751069573348
25,23,8,1,1,0,0,24.57502393206357
32,14,10,1,1,1,1,28.047641878910028
18,31,12,0,1,0,0,22.59421119126123
22,22,13,1,0,1,1,28.73068892312562
17,22,6,1,0,1,0,30.04463041749738
20,18,2,1,1,1,1,38.132418193865405
28,16,8,1,1,0,1,32.02878073786638
34,21,11,1,1,1,1,22.71710311965653
21,28,9,1,0,0,1,28.885910275421995
42,16,9,0,1,1,1,22.63319355941866
24,16,6,0,0,1,0,29.48477367815156
42,23,10,1,1,1,1,17.407162912157464
39,10,12,1,1,1,1,23.135897865092293
28,10,7,1,0,1,1,31.746262420247955
40,14,9,1,1,1,0,18.15974597821271
27,24,9,1,1,0,1,27.809763739471855
19,26,9,0,1,1,1,32.31638620133005
32,17,8,1,1,0,0,22.49320466166362
36,26,2,1,0,0,0,20.808352469356443
29,29,9,0,0,0,1,25.14941716414078
30,18,4,1,1,1,1,32.664458394976776
35,6,2,1,1,0,0,30.70811224164481
32,16,8,1,0,0,0,23.41256453139524
24,27,7,1,0,0,0,24.180442316807724
46,31,14,0,1,0,1,8.586325830068075
25,16,9,1,1,0,0,27.390622223917056
23,22,11,0,1,0,1,29.222040048515943
20,13,10,0,1,0,1,36.34310628748803
26,14,5,1,1,1,1,35.011363312117965
20,16,10,1,0,1,1,35.71407246039983
30,21,10,1,0,1,1,25.218371064487958
39,22,7,1,0,1,0,14.878151439773134
30,19,9,0,1,1,1,29.25884910030782
38,18,15,1,1,1,0,15.955426287957192
30,21,9,1,1,1,1,26.3506160511405
28,17,4,1,1,1,1,32.0276688844615
19,23,8,0,0,1,1,31.912759388650876
29,19,7,1,1,1,1,31.332015545558363
33,18,6,1,1,1,0,22.06493228084945
36,20,11,1,1,1,1,23.04469231669141
36,17,12,1,1,1,1,22.785254486602035
27,15,7,1,0,1,1,32.754901535287686
30,27,10,0,0,1,0,18.672263881911597
27,22,8,1,1,1,0,25.062949214401108
37,8,7,1,0,1,1,29.738682208223544
31,18,10,1,1,1,0,22.486964940642643
25,10,9,1,1,1,0,30.23920831774309
33,10,2,0,0,1,1,32.79479340662415
34,23,8,1,1,0,1,25.42825454580897
40,24,8,1,1,1,0,14.66717051991616
29,28,12,1,0,1,1,22.3419249826442
23,21,7,0,1,0,0,28.95470468471915
17,14,11,1,1,0,1,37.3987029223768
32,15,10,1,0,0,0,20.766358166449184
28,24,13,0,0,1,0,18.866306188482287
33,20,7,1,1,1,0,22.760630897315448
40,17,10,1,1,1,1,20.36091633285039
30,23,11,1,1,0,1,25.165965361550075
25,15,1,0,1,1,1,36.871457378329055
43,13,12,1,1,1,1,22.43425299715572
28,14,8,1,0,0,0,25.524650260337268
21,24,7,1,1,0,1,32.37393963790062
44,16,16,1,1,1,1,15.835502727287032
26,14,9,1,0,1,1,32.06511896660749
24,11,-1,0,1,1,0,36.20749944202147
39,15,8,0,0,0,0,20.77703343458422
33,25,9,1,1,1,0,17.853480658027685
36,23,12,1,1,1,1,21.596796881924316
33,14,14,1,1,1,1,26.40067064677229
29,18,7,0,1,1,0,24.64875078801413
45,18,10,1,1,1,1,19.26379302312421
33,27,10,1,0,1,1,22.209160700961952
27,25,11,0,1,0,0,21.54489078603884
31,25,10,1,0,1,1,24.926284165094398
13,22,7,0,0,1,1,37.92762601802606
25,16,11,0,0,1,1,30.679793798895965
33,20,5,1,0,1,1,27.129478684484628
36,20,15,1,1,1,0,15.172343704846204
24,21,14,1,0,1,0,22.333463137736
36,20,6,1,1,1,0,19.362601407222343
23,21,12,0,1,1,1,29.768974618833205
24,19,7,0,1,1,1,32.378059661994605
30,21,12,1,0,0,0,20.6462666664022
52,28,5,1,0,1,0,6.8158718971623005
22,14,13,0,0,1,1,32.73284172101753
23,15,6,1,1,0,0,31.941409158680816
35,16,11,0,1,1,1,26.32743517500376
34,14,8,0,0,1,0,21.56965227050108
28,26,12,1,1,0,0,20.89650811049258
29,13,4,0,1,1,0,27.740651135445763
34,24,13,1,1,0,0,17.032720248472142
38,17,9,1,0,1,1,24.114009044392528
42,29,7,1,0,0,1,18.281669261568407
35,15,9,1,1,0,1,26.768181274417625
27,27,9,0,1,0,0,21.25115256473699
23,31,11,1,1,1,0,21.025983132775245
21,15,11,0,1,1,1,32.876776859725986
30,17,7,0,1,1,0,23.20280297347646
30,17,7,0,1,1,1,29.456049916214628
34,14,5,0,1,1,0,25.06891189109598
39,10,10,0,1,1,0,20.33068014617645
20,11,11,0,1,1,1,36.757035900091545
37,19,10,0,1,1,0,17.253465538825765
40,19,9,1,1,1,0,17.57562118044236
34,26,5,1,1,1,0,19.179046292347024
30,20,6,0,1,0,0,24.19924960758978
29,5,10,1,0,0,0,30.17920093619589
15,25,9,0,1,0,1,35.74599584833308
11,14,9,1,0,1,1,41.260608007568
35,25,11,0,1,1,1,20.150572700691637
43,25,8,1,1,1,0,12.918115346389468
26,25,6,1,1,1,0,24.14989915030475
32,18,10,0,0,1,0,19.80330782771533
25,16,8,1,0,1,1,31.18387895591631
26,20,8,1,0,0,1,30.69851264065464
30,16,10,1,0,1,1,26.378712244210085
40,23,10,1,0,0,1,19.846580044712717
36,21,7,1,0,1,0,18.32896196316136
32,17,11,0,1,1,1,25.817555279541526
36,23,6,0,1,1,1,24.084191190028747
33,22,9,1,1,1,0,20.03821869271638
38,16,8,1,1,0,0,18.84398256223888
33,22,8,1,0,1,1,24.6141375065892
38,25,6,0,0,0,0,15.54459791687331
38,12,9,1,0,1,1,24.71080365392872
27,21,9,1,0,1,1,28.126951086938654
24,15,13,0,0,1,1,30.497862507282942
25,21,6,1,1,1,0,26.10650615490898
29,22,7,1,1,1,0,24.735448005440904
25,25,8,0,1,1,1,28.4026306619552
30,18,13,1,1,1,1,25.178089379729983
28,27,10,1,0,1,1,23.382970081764995
38,9,9,1,0,1,1,26.707176450603075
33,9,7,0,1,0,0,25.604874512808763
39,24,8,0,1,0,0,17.26096115729602
29,21,17,1,0,1,1,21.746467823960757
27,15,11,1,1,1,1,29.654617016644703
17,26,9,1,1,1,1,32.65102884877262
13,5,13,0,1,1,1,41.97586083237267
29,28,5,1,0,0,0,22.174696762999307
21,22,16,1,1,0,1,27.384564427440107
28,16,11,1,1,1,1,28.70311500072629
25,15,10,1,1,1,0,25.087709651136333
34,22,6,0,1,0,1,27.40195828868209
37,16,4,1,1,1,1,29.277950534863145
33,25,15,1,1,1,0,15.831479429671733
29,15,10,1,1,0,0,23.837152840583247
33,13,8,1,0,1,0,22.990374316920377
22,15,4,0,0,1,1,37.35747423625892
31,21,11,1,1,1,1,24.762246906272942
30,23,1,0,0,0,0,23.94912125449242
28,22,10,0,1,1,1,27.71643116928704
31,9,11,0,0,1,1,30.924135837865933
17,18,11,0,1,0,1,35.23126079111494
33,10,7,1,1,1,0,26.721875104274773
39,24,4,1,0,0,0,17.48565515376637
44,16,13,1,0,1,1,19.69202305833841
18,20,7,1,1,1,1,35.760996321051586
37,15,15,1,0,1,1,21.49350165012929
24,20,13,1,0,0,0,24.79161816683604
17,3,5,1,1,1,0,39.59417022863085
32,15,10,1,0,1,0,22.45532794489206
30,17,6,0,1,0,0,25.88398047176288
37,7,4,1,0,0,0,26.11848366474841
29,16,11,1,0,0,0,21.943106545453844
33,19,10,1,0,1,0,19.67973643713056
40,14,6,1,0,1,0,19.154264132026736
35,17,6,1,0,1,0,23.112777165345754
25,29,10,1,1,1,1,26.1185490453958
39,26,11,0,1,1,0,12.976631942577724
35,27,12,1,0,1,1,19.551843350654416
52,16,8,1,0,1,1,18.17422201940922
31,17,9,1,0,1,0,21.29701884465927
28,15,10,0,1,0,0,23.57713985587423
37,21,10,0,1,1,1,22.637607491898837
16,17,9,1,1,0,0,32.44446052603433
32,37,12,1,1,1,0,11.97774949685837
43,19,8,1,0,0,1,20.42111931043753
26,16,7,0,0,1,1,33.96305192463572
26,20,7,0,1,0,1,30.86877012225669
41,13,6,1,1,1,1,24.352563231407032
36,19,11,0,1,0,0,18.959908250840016
41,19,11,0,1,1,0,14.449693154791486
19,9,9,1,1,0,0,34.139593711632244
25,23,5,1,0,0,1,31.592530193992094
35,29,12,1,0,1,0,14.275890959726247
31,20,9,1,1,0,0,23.49751001117898
31,12,7,0,0,1,0,25.608550499408256
14,25,9,1,1,1,1,35.626261237585084
30,23,8,1,1,1,0,21.81156813624714
16,14,9,1,1,0,1,40.59786734534831
30,12,12,1,1,1,0,23.63301804877017
15,32,10,0,1,1,1,29.363671834152203
25,29,15,1,1,0,1,22.97877062188413
15,23,12,1,0,0,0,27.666626370305384
20,33,6,1,1,1,0,24.2294863519219
18,14,12,0,1,1,1,35.82312274243569
35,26,10,1,1,0,0,17.31911981779929
26,25,-1,1,1,1,1,35.715697753940425
37,15,9,1,0,1,0,19.03625203263353
32,32,5,0,1,1,0,19.60691689197536
34,23,13,1,1,1,1,20.435971130308417
34,32,12,1,0,0,1,19.948013926134195
35,9,10,1,1,1,1,28.7109698785412
24,26,14,1,1,0,0,19.962402556147328
29,21,9,0,0,1,0,22.81556100186983
31,15,1,1,1,1,1,33.787209828646084
30,14,14,1,1,0,1,26.4852121825348
34,14,16,1,1,1,1,23.817636432452865
30,19,6,0,1,1,1,29.356270561741
32,19,10,0,1,0,0,22.349399784900548
39,14,12,1,1,0,1,24.022314831760468
28,17,12,1,1,1,1,27.79307647572019
18,21,4,1,1,0,0,33.37712401156039
21,22,10,1,0,0,0,26.68905856340891
37,7,10,0,1,1,1,26.969249464722825
37,14,11,1,0,1,1,23.89805969930406
25,11,8,0,1,0,0,29.07749556126765
26,24,11,1,1,1,1,27.31687521739427
38,10,14,0,1,1,1,23.240642973347025
31,26,11,1,1,0,0,18.503615228722648
34,16,6,0,0,1,1,29.150007160481675
30,13,4,1,1,1,0,27.36803361824577
25,18,11,1,1,1,1,30.369053665611997
42,28,11,1,0,0,0,9.992628034493102
40,20,13,0,1,0,0,12.551805443696834
32,8,6,0,1,1,0,27.659454896056285
29,16,10,1,1,1,1,29.24677876823698
29,23,14,1,1,1,1,24.247729799440734
45,12,9,1,0,1,1,22.33485039429218
22,28,11,0,1,1,1,28.36950005866152
41,17,10,1,1,1,1,20.59175473155265
25,25,1,1,1,0,0,28.94676557489034
34,21,9,1,1,1,1,23.957721594427607
13,11,10,0,1,1,1,42.13889195964005
36,19,9,0,1,1,1,23.595242987397118
39,16,9,1,0,0,0,16.26843989268575
37,14,13,1,1,1,1,23.06202889896496
11,11,15,0,0,1,1,40.21154632174711
35,11,13,1,0,1,1,26.07388097873337
30,13,9,0,0,0,1,30.605289011426247
30,17,9,1,1,1,1,28.596110743219228
26,19,6,0,1,1,1,31.190320266228373
29,31,11,0,0,1,0,16.628166946738443
40,17,11,1,1,1,0,15.642995131822136
30,29,11,1,1,1,1,21.37770266864792
28,11,10,1,1,1,1,29.629625102202223
32,21,5,1,1,0,0,23.72030797141575
33,22,8,0,0,1,0,19.372663858368163
27,18,13,1,1,0,1,29.156287084517604
28,11,4,1,1,1,1,35.75531816152163
30,27,7,1,1,0,0,19.43220009717153
25,29,7,0,1,1,0,23.52847511816089
37,22,6,0,1,0,0,19.53416220881348
23,18,10,1,1,1,1,30.001265017082734
20,34,12,1,1,1,0,20.67647542311829
25,24,13,0,1,0,0,19.658578475758077
16,20,9,0,1,1,1,35.98634001485123
19,13,11,0,0,1,1,37.678194049871095
12,14,9,1,1,1,1,40.48152625660231
36,23,15,1,1,1,1,19.458233445461293
20,19,11,1,0,1,1,31.72189812245001
32,17,8,0,1,1,0,22.689879315094743
30,19,9,1,1,1,0,20.50462383306815
38,17,6,1,0,1,1,25.44034450436612
29,16,6,0,0,0,0,25.649624688673452
32,8,14,1,1,1,1,27.57077649502753
23,16,12,0,1,0,0,25.32857254377681
39,18,12,1,1,0,0,15.835037875788505
24,21,15,1,1,0,1,28.15965354383615
23,12,11,0,0,1,1,31.915718627772293
41,12,9,1,1,1,0,19.9928910197564
23,12,8,1,1,1,0,31.13658975320568
31,15,7,0,1,0,0,23.94626134756021
40,16,14,0,0,0,0,14.009534044893211
48,16,4,1,1,1,1,21.22680364029384
25,9,10,1,1,1,1,34.01172052224052
41,19,7,1,1,1,1,22.21764611883564
33,19,12,1,1,0,1,26.942730372066297
30,19,14,0,0,1,1,22.911978806633392
31,24,17,1,1,1,0,16.346321307187154
26,19,7,1,1,1,1,31.50793427796466
32,14,6,1,0,0,0,26.781648958627752
41,21,16,1,1,0,0,12.602433514885456
33,13,10,1,1,1,1,26.375186909817725
27,30,8,1,0,1,0,20.61598360240037
42,29,7,1,1,1,0,12.251233991388332
29,24,8,1,0,0,0,21.234763314481576
39,17,12,1,1,0,0,16.107117762087455
47,25,9,1,0,0,0,8.447286922146553
37,11,8,0,1,1,1,26.66818479665149
35,19,12,1,1,0,1,22.12015168634585
22,20,8,1,1,1,0,27.743117675573643
39,22,6,1,1,1,0,16.210211779266793
44,19,6,0,1,0,0,15.990196313261192
19,6,14,1,1,1,1,38.59045005147104
48,4,10,1,1,1,0,15.87863763732986
22,25,16,1,1,1,1,25.938879324471998
34,17,13,1,1,1,0,20.18407111671161
20,11,9,0,1,0,1,39.02410791728428
33,25,9,1,0,0,0,18.32903183838758
37,24,14,1,1,1,1,16.33160169673091
37,15,9,1,0,1,0,19.318479916563927
29,25,8,1,1,1,0,20.114156905551823
17,24,11,1,1,1,1,32.31185806882385
22,22,7,0,1,1,1,30.222479839573086
43,5,8,1,1,1,0,19.38836152929511
33,19,14,1,1,1,1,24.73182376095356
45,22,17,0,1,1,1,12.061143568114238
36,16,11,1,1,1,0,19.901775082388635
20,22,13,1,1,1,1,31.163462980165708
23,38,15,1,1,1,1,18.428125067770303
24,18,9,0,0,1,1,32.955428816236655
40,27,9,1,1,1,0,14.051804076921009
30,24,9,1,1,0,1,26.06898280952169
32,17,13,1,0,0,0,20.396739652814304
35,32,7,1,1,1,0,14.520843062311368
31,23,7,0,1,0,1,27.81970886464229
25,30,14,1,1,1,0,16.74134909215542
32,21,9,0,1,1,0,19.43176455144295
24,34,5,0,1,1,0,22.15308273652017
26,13,11,1,0,1,0,25.43180680479958
15,28,11,1,0,1,1,33.175791330275025
34,18,6,1,0,1,1,27.47719333141629
25,22,11,1,1,0,0,24.42915666222417
25,19,14,1,0,1,1,27.452309536221385
41,9,4,1,1,1,0,22.189130919352912
23,18,7,0,1,1,1,34.26309573177002
26,11,11,1,0,1,0,27.953308600861284
25,21,7,0,1,0,1,31.343651768096997
36,12,8,0,1,1,1,28.325037346934614
35,13,9,1,1,1,1,27.73077153762478
25,17,8,1,1,1,1,32.68524916574105
14,12,11,1,1,1,1,39.30178102560731
20,25,5,1,1,1,1,33.38573132181636
20,29,12,1,1,1,1,27.90328333208074
30,19,17,1,1,1,1,22.342960490486288
32,22,6,0,1,1,0,20.62524796919648
22,14,10,1,1,1,1,33.61254144952085
38,19,8,1,1,0,0,19.210741541209995
35,20,12,1,1,0,0,15.974893491145298
39,20,4,1,0,1,0,18.72959405410024
28,26,5,1,0,1,1,27.61172031551421
28,19,7,1,1,1,0,25.4288265491058
36,8,8,1,1,1,1,28.66202303564184
39,22,9,1,1,0,0,18.29159475505228
33,18,6,1,1,1,0,22.329627602924383
36,30,13,1,1,1,1,16.726286764314548
29,18,10,1,0,0,1,28.65220747813619
34,21,18,1,0,0,0,16.705355902849305
27,11,8,1,1,0,0,27.20094242863296
41,27,9,1,1,1,0,11.697694266460656
21,11,9,0,0,0,1,36.67219872516405
30,28,11,0,0,1,1,23.12932615791623
31,14,11,1,1,1,1,27.062860573920524
34,22,8,1,1,1,1,25.39780658863097
32,21,9,1,1,1,0,18.97248343117279
33,25,9,0,0,1,1,23.3701745566472
30,23,4,1,1,1,0,24.535638974479955
24,24,4,1,1,1,0,24.80983350720405
26,13,7,0,1,1,1,33.97601010751332
28,16,7,0,1,0,1,31.69976636152508
36,18,10,1,0,1,0,17.388019495692348
31,18,9,0,1,0,0,21.62198733475522
23,17,5,1,0,0,0,28.74724537193945
29,20,12,0,1,1,1,27.187664585786816
16,20,13,1,1,0,1,32.49025166682846
31,17,13,0,1,0,0,20.31009986381001
43,20,9,0,1,1,0,12.526313495550257
40,16,9,1,0,1,1,23.38490323426524
18,19,13,0,0,0,1,33.03184473714019
37,21,3,1,0,1,0,21.53039095942171
29,20,11,1,1,0,0,21.805427447130604
26,24,3,0,1,1,1,33.28308274106376
23,9,11,1,1,1,1,37.01422050421955
27,16,12,1,0,1,0,25.49457009809377
24,41,10,0,1,1,1,22.78522579880458
17,4,9,1,0,1,1,40.68199584950206
30,29,9,1,1,0,0,18.426503712415883
23,22,8,1,1,0,1,32.46111389152436
20,19,10,1,0,1,1,32.91779070571451
37,22,9,1,1,1,0,16.928951994884653
35,30,8,1,1,0,0,16.3489281674602
11,22,15,1,1,1,1,34.4931652105768
34,20,10,1,0,1,1,24.74969807926888
24,18,9,1,0,1,1,31.29560454104059
38,10,10,1,0,1,1,25.464544744528677
28,17,16,1,0,1,0,20.621605183606032
29,18,9,1,1,1,1,27.05996659563583
19,9,9,1,1,1,0,34.652844884150376
33,18,8,1,0,1,0,24.06745128634013
24,13,3,1,1,1,1,38.77710732469777
19,28,10,1,1,0,1,30.71122894978937
27,9,10,0,1,0,1,31.810965626622988
30,12,5,0,1,1,0,28.65413911815796
32,22,5,1,1,1,0,22.1952676098205
30,22,14,1,0,0,1,22.921491979805467
32,20,14,0,0,1,0,15.590990617636788
25,6,9,0,0,0,1,35.21160685117111
31,21,9,1,1,0,0,19.980687925402204
29,16,12,0,1,1,1,27.734254774752092
27,18,8,0,1,1,1,31.750608322913177
28,12,9,0,0,1,1,33.00696940918996
25,15,12,1,1,0,1,31.792918761490935
37,21,12,1,0,0,0,14.99810808873991
25,13,7,1,1,1,0,28.6939094063218
20,20,10,1,0,0,0,27.84741603212153
18,19,13,1,1,0,1,32.82677338948716
23,16,9,1,1,1,0,27.089320779775647
31,21,11,0,1,1,0,19.12812703326246
20,21,5,1,0,1,1,34.06031989630014
22,28,7,0,1,1,1,30.109956691551435
27,25,12,0,1,1,1,25.00940977540336
25,22,8,1,1,1,0,23.60875889780409
23,22,12,1,1,1,1,29.19518386178917
27,21,7,0,0,0,0,24.787912141827167
32,17,10,1,0,0,1,27.476445232362757
28,14,8,1,1,1,0,25.03894929301035
33,27,13,1,1,1,0,14.845350663991963
24,19,10,1,1,0,0,25.31135329435633
20,16,12,1,1,0,0,27.31456396398024
