age,education_years,household_income,political_activity,civic_participation,gender,minority_status,campaign_exposure,voting_behavior
27,27,10,19,5,0,1,0,39.6798765592682
34,19,4,8,4,0,0,1,50.84171408919416
32,19,12,12,4,1,0,1,48.56601793415551
37,24,13,14,6,0,1,1,47.12452025626268
27,27,10,9,3,0,1,1,49.25602159821692
28,15,8,11,4,1,1,1,53.69233824617422
24,22,11,5,1,0,0,1,50.75624267027
28,18,9,17,6,0,1,0,42.12265803869973
39,24,9,6,4,1,0,1,49.46572847205894
13,27,12,18,2,0,1,0,41.5850023688879
19,15,9,4,7,1,0,1,50.293898710424045
30,15,9,12,7,1,0,0,39.70322438248133
43,16,11,20,5,0,1,0,39.02698766228014
25,16,15,18,6,0,1,1,48.90125536243797
28,16,7,28,4,0,1,0,45.98207137541724
27,23,9,14,4,1,1,1,52.93643207557505
35,22,12,9,2,1,0,0,39.857734530724464
36,13,10,15,4,0,1,0,39.92349625681511
35,20,8,17,6,0,0,0,39.99743831405306
40,17,10,17,2,1,1,0,40.10412071337652
47,16,8,21,7,1,1,1,50.776260290372726
29,14,10,11,2,1,0,1,50.02827473863811
37,19,13,7,3,1,0,1,47.02334281460857
30,21,14,14,5,1,0,1,48.6187746949484
28,16,4,21,4,0,0,0,43.89036900186547
34,19,9,17,7,0,1,1,48.28477056076699
22,33,4,11,5,0,1,1,52.91782367670415
30,9,9,19,2,0,1,0,43.63911021214573
32,14,11,20,4,0,1,1,50.5288971124469
30,25,11,-1,3,0,1,0,38.48687728253131
40,18,14,19,7,0,1,1,48.00845987396748
35,26,14,7,0,0,0,1,48.35182742834064
35,28,15,19,2,1,0,0,39.373070625666806
37,12,11,18,5,0,1,0,40.47364309764056
36,23,9,29,2,1,1,0,42.47299334652956
15,34,13,12,2,0,1,0,42.60530035747564
30,18,6,13,1,1,0,0,42.38709231453483
19,21,10,9,2,1,0,0,41.986199146728616
39,18,8,9,3,0,1,1,51.47563832101635
29,25,12,18,0,0,0,0,39.04371818446039
7,18,12,13,2,0,0,0,42.4584346654276
19,8,10,10,4,0,0,0,40.76867450849076
25,22,9,7,3,1,1,0,41.51234884212301
23,18,7,14,5,1,1,0,43.1414306674878
25,16,3,13,5,1,1,1,53.98410418762915
41,10,11,20,7,1,1,1,48.32872996004479
30,31,7,21,6,1,0,1,51.60996056789984
34,11,10,15,6,1,0,0,37.45765869732876
23,29,4,8,5,1,0,1,54.07209709239416
27,22,10,9,3,0,1,0,41.137073133216944
44,26,14,10,3,0,0,1,45.93951583173927
22,28,6,16,4,1,1,1,53.07449744787263
40,17,9,1,3,1,1,1,50.27500324477714
30,20,10,15,5,1,1,0,39.54622264234747
33,25,8,15,5,0,1,1,48.424814040689824
24,20,10,10,8,1,0,1,47.44828981193111
25,23,6,5,5,1,0,1,52.32655582874646
35,15,8,15,3,0,1,0,41.7020636124152
31,9,13,10,3,0,1,1,51.012572464714886
30,13,7,17,4,0,1,0,42.51516296305471
50,8,10,9,6,1,1,1,47.37342541351399
20,18,9,17,4,1,1,0,41.4956674741737
33,5,14,21,3,1,0,0,39.28343402630833
33,21,16,15,6,1,0,1,45.88264892676883
20,16,9,18,4,1,0,1,51.83967879059676
32,24,8,12,4,0,1,1,49.80754674134614
31,15,4,25,4,0,1,0,43.43724156457589
37,28,9,19,3,1,1,0,40.05479679881185
28,20,6,17,3,0,0,0,42.84824942040228
27,14,9,8,2,1,0,0,39.91273467884406
39,17,10,4,7,0,1,1,46.75163045017828
26,31,7,19,2,1,1,0,44.09806512719658
23,18,7,8,8,0,1,1,49.92391438329087
29,24,12,20,2,0,1,0,40.65591396785188
34,16,15,17,4,0,0,0,37.18578981762205
24,20,9,9,2,1,1,0,42.38065813058995
32,15,7,13,6,0,1,0,41.04298444135686
40,34,6,12,3,1,0,0,40.05724025220009
40,26,4,28,4,1,1,0,43.2268053868798
38,20,10,7,0,1,0,1,50.851562911398695
21,22,13,15,1,1,1,1,51.241893407013976
18,14,12,13,4,0,0,1,48.377272921501856
32,15,9,17,2,1,0,0,43.12331235106865
17,19,14,18,4,0,0,0,39.600463221722656
29,23,7,20,3,1,0,1,52.99376838953656
26,25,7,12,0,1,1,0,44.77405861906816
32,28,10,26,0,1,1,0,44.03603573423911
27,32,11,6,3,0,1,1,49.19961867434472
31,24,14,9,6,1,1,1,46.99702015882978
32,16,11,8,2,1,0,0,41.0444033493138
25,25,12,11,4,1,0,1,49.40537402530827
29,33,5,20,3,1,0,1,53.22024668355329
39,18,12,14,3,1,1,1,51.28822038246122
33,28,2,15,5,0,1,0,42.8540666092572
26,16,14,9,2,1,0,1,49.572774953405215
37,20,14,9,3,0,0,0,34.75788899145522
9,17,6,9,4,1,1,0,47.16745771142999
33,13,10,18,2,0,0,1,52.05448706882012
29,12,14,11,4,1,1,0,38.65274435427141
25,16,10,10,5,0,1,1,52.08783918705333
27,14,8,18,4,1,0,0,42.62569847319634
26,19,10,15,6,0,1,0,37.66313752308173
21,29,13,17,8,0,1,1,46.07745785795204
37,21,13,5,3,0,1,1,49.615256603291535
41,24,10,14,3,0,0,1,49.19940895902832
33,15,12,13,2,0,1,0,41.031622060058254
28,27,5,21,4,0,1,1,53.27447539856778
21,19,4,1,2,0,1,1,54.06537706352959
10,11,8,13,5,1,0,1,52.63684745650008
37,9,13,12,2,1,1,1,48.96355626539971
26,25,5,12,4,1,0,0,42.55554630548472
34,17,11,16,2,0,1,0,40.25752043938742
34,21,10,18,6,1,1,0,37.73525168230091
27,19,6,10,2,1,0,0,42.906187027600026
22,33,12,18,5,0,0,1,47.40067197819374
25,19,13,21,3,1,0,0,40.982213698090185
34,13,13,14,7,0,0,1,46.266346150811685
42,19,8,19,4,0,1,0,41.59405655381918
14,23,10,2,5,0,1,1,50.73969886985515
36,30,6,23,1,1,1,0,44.04430038624005
44,24,10,15,2,1,0,1,49.09739705280704
30,36,8,9,4,1,1,1,49.09979562068607
18,29,5,10,3,0,1,0,44.38035161256438
15,28,9,9,4,1,0,1,51.62704850476858
22,24,12,11,2,1,0,1,52.05145417036777
24,23,8,14,1,0,1,0,43.02786026235199
36,18,9,7,2,1,0,1,48.89697924107269
37,23,8,9,5,0,1,1,48.70668282546899
27,28,13,18,3,1,0,1,48.721027254709945
36,27,8,9,4,0,1,1,48.41714691404731
35,29,8,13,5,0,0,0,39.68031725904098
43,18,11,11,5,0,0,1,47.653386442178295
36,10,8,0,1,0,1,1,50.21634922256381
28,10,13,21,5,0,1,1,50.73885027164594
35,11,7,15,3,0,1,0,42.51843444002664
35,23,12,20,1,0,1,0,41.41997515731901
26,26,13,18,1,1,0,0,41.62534001723719
25,15,9,16,6,1,1,1,51.5585057148372
38,17,11,16,3,0,1,0,40.05357118484731
30,10,9,13,3,1,1,0,42.770762351946125
38,21,8,19,2,0,1,0,41.09529923793147
28,24,14,12,4,1,0,1,48.92406726723717
38,13,8,11,3,1,1,1,52.83812918841772
49,16,3,9,5,1,0,1,49.22576787571903
23,22,5,17,5,0,0,0,41.21699516755472
25,16,7,8,3,0,0,0,42.65409125098397
40,13,13,9,5,0,1,1,47.02249785799613
32,19,11,20,4,0,1,1,49.34849350563411
29,22,11,19,0,0,1,0,41.80283613999718
36,20,8,17,6,1,1,0,41.245312993440606
36,23,6,16,1,0,1,1,53.544347560356194
44,13,12,13,6,1,1,1,46.26937584370076
26,14,8,13,3,1,0,1,53.07993878196929
32,24,0,11,2,1,1,0,47.38703901904972
20,23,10,21,5,1,0,1,51.65803722892706
30,15,7,14,4,1,1,0,43.71167993052456
31,18,8,28,2,0,0,1,53.99007847851314
28,8,12,18,1,1,1,1,52.9035295318038
26,14,9,12,3,0,0,1,51.22406432966888
32,18,13,12,5,0,0,0,38.64433782299951
34,25,4,12,3,0,0,0,43.85219832452513
30,16,16,13,3,0,0,1,46.01522004045758
13,16,16,25,0,1,1,1,54.38672459574868
26,22,7,13,4,1,0,1,53.60577473261733
35,15,9,5,1,1,1,1,51.60803418446289
30,21,11,16,5,0,1,0,37.61091030541402
40,26,7,23,4,0,1,0,41.41530801669375
34,28,8,10,3,1,0,1,51.401517503525945
36,7,10,15,2,1,1,0,40.40525132742197
33,13,9,7,5,0,1,1,49.75830051137927
45,26,7,19,3,1,0,0,40.86357949166246
25,28,14,12,2,0,0,1,48.586804211574
25,23,11,13,0,0,0,0,42.182385035139305
31,22,9,9,5,0,1,1,50.216543699204166
27,32,11,11,0,1,0,0,42.28325309874041
32,21,9,13,5,0,1,1,50.44276699871719
33,14,8,16,3,1,1,1,53.45714172485569
46,5,18,21,2,1,1,1,46.43456921129842
40,9,9,17,4,0,0,0,39.60708429601573
30,10,8,15,2,0,0,1,51.86863124846791
34,20,9,20,3,1,0,0,41.1854893588922
27,18,12,10,5,1,0,1,48.76845670391176
23,24,7,17,4,0,1,0,42.263751159325565
42,20,11,12,4,1,1,1,47.71291456884608
24,17,4,18,4,0,0,0,43.20715494093346
45,24,9,19,6,0,0,0,37.138216999768325
31,22,10,13,5,0,1,1,49.52451512644706
36,23,6,20,1,1,0,1,53.62713113296835
38,26,11,12,4,0,0,1,46.98079068232295
34,25,11,19,3,0,1,0,41.5251439728893
43,12,6,14,7,1,0,0,39.37000886115096
29,24,10,23,5,1,1,1,52.6173600301494
27,23,1,11,4,1,1,1,53.22227994742258
30,23,12,5,1,1,1,1,49.70767412677292
40,27,10,17,2,1,0,0,40.06726263299071
35,21,11,18,2,1,1,1,49.24272159940463
35,21,7,27,3,1,1,0,42.61014768841081
27,17,7,17,4,1,0,0,42.3438664162772
21,18,6,26,4,1,1,0,46.36271360563182
36,9,10,11,3,1,1,0,40.79194995493475
22,3,12,11,3,1,1,0,40.82423386147291
29,15,9,9,5,1,0,0,42.75181981795677
34,21,9,16,3,0,0,0,40.448096754275575
27,20,7,6,2,1,0,1,52.70267586842486
19,26,14,14,3,1,0,1,50.64023103786752
30,20,14,15,6,0,0,1,46.03964459309673
25,11,9,13,5,1,1,1,51.12608125324184
37,27,9,14,5,1,1,0,40.229834686171216
26,17,9,20,5,0,1,1,50.71739028973943
30,14,13,15,2,1,1,0,42.53535847515725
40,17,0,16,5,1,0,1,53.25316596038964
39,32,10,17,1,0,0,0,39.44485795488741
33,9,11,18,0,1,0,0,42.89558602128583
42,18,12,10,4,1,1,1,48.592359120125714
35,25,14,12,5,0,1,1,44.992340623717816
33,25,5,17,5,1,0,1,52.89605359669649
29,23,10,15,5,0,0,0,37.72394041776422
25,23,6,12,1,0,1,0,44.39999983309587
22,26,12,11,1,1,0,0,42.09969576850479
27,24,9,17,3,0,0,0,39.75768283905149
34,16,8,18,3,0,1,0,42.680111064327576
23,15,4,16,5,1,0,1,54.46040855285209
23,16,6,17,2,1,0,0,43.68205434147068
30,15,9,16,6,1,1,1,50.987866513683805
27,18,8,20,4,0,1,0,41.84315266145287
33,25,12,16,3,0,0,0,38.5366939428198
26,22,11,7,5,1,1,1,50.52207397902106
34,21,12,9,4,1,0,1,48.699877089149865
34,15,10,9,7,0,0,1,48.76978155806815
13,11,8,28,4,1,0,0,45.53732679702895
36,7,8,19,2,1,1,1,51.51771238243299
33,22,10,10,5,1,0,1,49.839492071160045
35,19,8,15,4,0,0,1,50.65469188965322
36,27,9,15,3,0,1,0,37.88768777227287
35,20,11,11,2,0,0,1,49.46711260995927
34,4,14,18,4,1,0,1,51.43065529994903
36,25,11,17,5,1,0,1,48.81994292332475
11,30,5,18,5,1,1,1,54.386063836629766
30,19,13,5,7,0,1,1,48.58072568176611
45,10,12,8,6,0,1,1,45.09391042981535
29,9,9,15,5,1,1,0,42.45741155165684
31,28,8,13,5,1,1,0,43.40525678095614
24,19,11,16,3,0,1,0,41.91515854691858
23,25,9,7,2,0,1,0,41.53944286652956
19,17,9,10,6,1,1,1,50.821453838415
37,23,12,12,5,1,1,1,49.44409301721405
21,14,9,24,6,1,1,0,43.0628380059529
15,9,8,11,0,1,0,0,45.14248308124921
37,27,12,1,9,0,1,1,43.52845887912749
20,12,11,10,2,1,1,0,44.06910602592396
23,29,5,20,4,0,0,0,44.89675171671252
31,16,8,19,4,0,1,0,42.46507755138315
35,14,7,20,5,0,0,0,41.97590371810468
15,28,11,17,2,0,1,0,42.50392595344508
38,18,9,16,5,1,0,1,48.34371662761748
34,23,10,19,3,1,1,1,51.968065851394975
39,25,14,10,4,0,1,1,48.51982668731962
30,7,8,11,6,0,0,1,50.628472732065575
25,20,9,4,3,1,0,1,49.62241486159362
24,29,7,13,3,1,1,0,43.64942349865842
28,8,13,11,5,1,1,0,40.02184604318919
19,24,14,16,3,0,1,0,40.894072245631726
25,19,8,14,3,1,1,0,44.59991410104712
28,21,7,7,5,1,1,1,53.91567133841522
28,-3,8,10,5,1,0,1,52.85551319562314
14,27,12,13,4,0,1,0,42.26373411297065
34,24,14,17,3,1,0,1,45.97374200691557
27,24,9,22,4,0,1,0,43.38190810830905
30,24,16,11,1,1,0,1,46.92044271254607
35,11,6,3,6,0,0,0,39.27421230076554
36,18,9,19,2,1,0,0,42.10688963509866
35,18,5,24,3,0,1,1,54.192140216722144
24,9,8,13,6,1,1,0,39.64742737919408
31,29,5,10,4,1,0,1,51.07297707587862
39,27,13,8,3,0,0,0,36.86038493054138
21,20,10,20,2,0,1,0,42.2187088417473
29,17,9,8,0,0,1,1,51.78301182809
21,17,11,17,3,0,1,0,42.22014651366503
18,17,10,14,6,1,1,1,51.03528832738128
12,13,7,18,1,0,1,0,45.49304337539128
17,34,6,23,3,1,1,0,46.02182242820837
42,30,7,11,3,1,1,1,49.77276596865231
24,18,7,6,5,0,1,1,52.8896471669625
37,14,6,11,6,1,1,0,40.47881467955066
31,21,15,10,3,1,0,1,48.63367238404802
24,22,9,16,5,1,0,1,50.45203242000812
30,19,12,15,5,0,1,0,40.4784171936414
41,8,9,14,4,1,0,1,48.57334065319058
42,19,9,14,1,1,1,0,43.06843732592373
32,23,16,2,3,0,1,1,46.3108929529571
35,21,6,5,2,0,1,1,51.15914538042369
16,26,9,15,2,1,1,1,52.70104208136542
34,15,5,13,3,0,1,0,42.25358909958653
32,6,6,15,5,1,1,1,54.49930205850763
34,20,15,11,3,0,1,0,37.98256121409548
26,30,7,14,1,0,1,0,44.012838737672666
26,16,12,12,5,1,1,1,49.25177590722185
24,26,13,20,2,0,0,1,49.68352929333377
37,19,6,14,6,1,1,0,41.24061577254288
38,16,10,20,3,0,1,1,48.71613756346061
27,23,7,16,4,1,0,0,44.13105402510599
29,25,8,8,4,1,1,1,51.00178155723035
42,16,5,16,0,1,1,0,43.50355842258204
36,22,10,11,4,1,1,0,41.30059233595416
26,18,6,9,2,1,0,0,42.471720987978216
39,17,12,6,6,1,1,1,47.02643304062864
29,21,12,10,2,1,1,0,40.8057284792136
28,22,14,7,4,0,1,0,38.17412288720159
32,21,11,1,5,1,0,0,37.91860208281357
11,26,6,15,5,1,0,0,45.39464901058877
17,18,6,19,3,1,0,0,45.11095282191234
39,21,14,17,4,0,1,1,45.95028701833916
24,24,7,11,4,1,1,0,42.441461619973104
28,16,12,15,5,0,1,0,41.2959623017238
33,19,11,11,1,0,0,0,38.24317006577083
41,23,12,11,7,0,1,1,47.92855888901686
34,21,11,18,5,1,1,0,39.41916884738186
30,18,11,15,3,0,1,0,39.88382215081315
24,14,10,16,6,0,0,1,50.31305810051976
43,31,5,7,3,1,0,0,40.9814163326482
22,11,11,16,7,0,0,0,40.316610957082624
26,31,14,19,2,1,1,0,40.11920463251724
34,24,10,8,5,1,1,1,49.01715244408376
35,24,9,18,5,1,1,0,40.97108261164883
29,18,10,7,7,0,0,1,46.89241514689552
28,18,3,16,5,0,0,0,45.49968768402604
35,22,13,17,2,0,1,0,39.58629615869263
18,19,7,9,4,0,1,0,41.6811177795953
31,19,10,19,0,1,1,0,44.80545121197476
35,23,12,15,4,1,0,1,48.20211507151711
42,15,10,9,4,0,1,1,48.64388621035648
34,17,10,24,5,1,1,0,41.05757766996819
36,11,10,21,5,1,0,1,50.39770640655493
39,22,10,8,2,1,1,1,48.49591625645566
30,24,9,4,4,0,1,1,48.68408779046228
35,8,6,17,4,1,0,0,43.80949818395714
20,27,11,13,4,0,0,1,51.8898361272166
31,15,14,15,2,1,1,0,39.644173282789794
38,22,9,8,5,0,0,1,47.4469134431132
34,18,8,17,4,0,0,1,50.63628977716655
29,13,7,9,2,0,0,0,41.2565584882485
32,12,7,18,4,1,0,0,42.898331180228304
25,16,15,17,4,1,1,1,49.32805754970921
11,21,11,10,2,1,0,1,53.37230096769989
29,21,11,19,4,0,0,0,36.6527793928618
22,20,9,8,2,0,1,0,43.648208030801584
12,18,12,12,2,0,1,1,52.39650789683191
26,18,6,22,1,1,0,1,53.77077555785464
34,20,3,17,2,1,0,0,45.23265608933288
35,13,9,15,3,1,0,0,41.01590431915224
33,25,16,21,4,0,0,1,48.50604276671814
20,12,9,2,3,0,1,1,53.42200017252714
39,30,7,15,2,0,0,1,50.8146764123212
34,28,6,13,1,1,1,0,44.14488289592738
28,34,4,11,2,0,1,0,42.32852779365745
27,19,8,17,3,0,1,0,43.82846374217333
32,17,7,12,6,0,1,1,50.817716898516
35,9,12,7,5,1,1,1,49.93741902357014
25,25,11,14,5,1,0,0,40.25865464798186
21,17,11,7,4,1,1,1,50.24315040467637
26,29,12,16,2,0,1,1,50.419996788498686
36,34,13,11,6,0,1,1,46.28132735267048
38,11,13,5,4,0,1,0,38.13090225218388
33,20,10,7,5,1,1,1,49.50103335805944
27,19,10,12,5,1,0,0,39.55846516710915
29,24,11,1,2,0,0,0,39.31576659497996
24,25,10,5,3,1,1,1,51.30656758396304
52,25,11,14,6,0,1,0,36.65446396320136
43,21,11,15,5,0,0,1,47.99388286582811
35,24,7,2,5,0,1,1,48.40974957389824
34,16,3,20,3,1,0,0,44.20557331748393
19,19,6,12,2,1,0,1,54.90601386227845
19,22,4,14,2,1,1,0,45.82856497787744
22,28,9,9,5,1,0,0,41.06175218215662
30,34,9,22,2,0,1,1,48.662032022952566
11,22,9,14,7,1,1,1,52.16843732928911
17,28,9,9,2,0,1,0,40.96334067276446
32,19,5,21,3,1,1,0,43.01129898719189
32,18,9,16,3,1,0,1,52.74113088637445
49,16,15,18,5,1,1,1,46.25741077726332
31,26,10,12,4,1,1,1,50.246540390217255
35,14,13,19,3,0,0,0,37.98811543296641
26,22,12,12,4,1,1,1,51.30205130813952
22,27,10,17,5,1,1,1,50.26698793330483
26,21,10,11,4,0,0,1,50.328089769597184
22,17,8,12,2,1,1,0,43.86438161210083
25,19,8,10,4,0,0,0,40.90738803368353
41,18,15,10,5,1,0,1,43.982833350073065
22,24,7,10,8,1,1,1,52.77983677285633
43,22,8,24,4,1,0,0,40.90307054544799
41,12,7,18,1,1,1,0,43.091511064508
35,18,14,11,4,1,0,1,48.42557650912271
28,24,3,13,3,0,1,1,54.51968274098424
47,22,11,7,4,1,0,1,48.78365577865124
27,21,11,8,4,1,1,1,50.53020065653588
32,19,10,18,6,0,0,1,49.63407995826016
40,20,9,11,6,0,1,1,47.00269564299905
25,21,5,18,6,0,1,0,41.18591940723881
39,20,9,7,4,0,1,0,39.82330064770075
43,19,15,18,3,1,0,0,36.86525220381867
24,31,8,20,5,0,1,1,50.0075587516828
27,13,12,9,1,1,1,0,42.95330693316435
31,19,7,9,7,0,1,1,49.014375453505934
38,26,12,12,3,0,1,1,49.72226015080026
38,20,7,3,4,1,1,0,38.92203958745911
34,23,10,15,3,1,1,1,51.06575755944159
23,24,10,18,4,0,0,1,49.118256034307855
29,20,8,18,1,0,0,0,44.92352903224256
26,18,13,7,6,1,1,1,48.186314940625735
20,29,12,19,0,1,1,0,42.83565807312583
29,16,9,6,6,0,1,1,47.156405776264
26,29,8,18,4,0,0,0,41.29822601113463
30,18,8,25,6,0,0,1,50.94509332855499
35,28,8,12,3,0,1,1,50.41716863887533
38,16,11,14,3,1,0,1,48.438707547879126
24,18,11,11,8,0,1,1,50.51175463826928
37,23,5,8,3,1,0,0,41.99294205773169
42,24,6,15,3,0,0,1,48.88654171423137
31,24,5,3,3,1,1,1,54.19104514787522
36,30,3,7,4,0,1,0,40.36620401326838
15,13,12,19,3,0,0,0,42.81440756467001
37,22,9,10,4,0,1,1,48.67747411894841
31,18,11,9,4,1,1,1,49.50671201700202
20,25,7,7,4,1,1,0,42.48225679909363
36,17,10,7,0,0,0,0,39.14598258318498
36,19,9,15,2,0,1,0,40.74380442262185
28,16,10,11,1,1,1,1,53.04380693169283
29,22,9,14,4,1,1,0,42.12999918657569
31,28,11,14,6,0,0,1,46.59903246356763
20,13,10,23,1,0,1,0,44.28400967307984
29,19,12,10,5,0,1,1,48.7108588681478
43,22,12,11,3,1,1,1,48.186147990560464
32,27,8,12,-1,0,1,1,52.68531646682273
22,15,4,9,2,1,0,1,57.73851469609114
22,19,8,7,6,0,1,0,41.29482541014296
39,15,6,12,3,1,0,1,51.96004731127877
25,17,9,12,2,1,0,1,54.09970157168405
18,15,6,19,3,1,0,0,45.27324000934948
20,24,3,5,4,0,1,0,44.22435418464627
19,13,10,14,3,1,1,1,53.93001585468936
27,9,10,14,2,1,0,0,42.454489759314015
37,15,4,7,2,1,1,0,43.47056084051007
39,14,11,10,2,0,1,0,40.41711831827003
14,18,10,12,4,1,1,1,51.34366163946432
43,18,11,5,5,1,1,1,48.445633738188576
42,25,17,21,1,1,1,0,36.56210087274221
33,23,10,11,4,1,0,1,48.77287585295785
50,19,8,18,3,0,1,0,40.010350932493886
28,11,14,10,2,0,0,0,39.20065926584929
14,23,8,21,4,1,0,1,53.556045593310856
38,10,9,8,6,1,0,0,38.772304701658086
40,32,9,18,4,1,1,0,39.322516608705
30,19,11,19,6,1,0,0,39.12308952903675
20,26,12,12,5,1,0,1,49.86749385927116
29,18,8,17,5,1,0,0,41.0337851584761
31,24,8,20,3,1,0,1,52.891168825632256
13,14,9,11,2,0,0,1,53.69513324517308
39,27,13,10,4,1,0,1,48.50444389474004
38,24,8,6,4,0,0,0,40.39669178246759
29,16,7,10,2,1,1,0,43.32336581391667
31,20,11,14,5,0,0,1,46.54463923104919
26,23,6,11,6,1,0,1,50.41248070848894
42,23,16,11,6,1,1,1,44.06879835411693
29,23,14,7,1,1,0,1,48.29775846365783
22,11,10,5,5,1,1,0,41.80804601431211
22,28,11,17,1,1,1,0,42.4354182394809
25,20,13,18,5,1,1,0,40.47664190392253
42,23,11,9,4,1,1,1,47.12020426753263
21,27,8,15,3,1,0,1,53.09823848281916
33,23,10,13,1,1,1,0,43.68034738431057
35,25,12,13,1,0,0,0,38.63554947303943
13,31,11,11,3,1,0,1,53.83375466418836
38,29,16,10,2,1,0,0,36.51870930649919
25,26,10,20,1,1,0,1,52.34802261348997
26,19,8,15,6,1,1,1,51.44104977617627
31,18,6,13,6,0,0,0,42.55218786309495
25,19,14,20,3,0,0,0,39.51242609710707
37,3,13,10,3,1,1,1,51.20858935580311
29,28,9,15,7,0,0,1,48.633185915747966
39,14,10,7,3,1,1,1,51.5682219719616
32,21,8,18,2,1,0,0,42.37582038207974
42,34,13,11,3,1,0,1,46.47704121624367
32,13,12,12,3,1,0,1,50.17304588165777
23,14,10,16,4,1,1,0,41.72803351130272
32,18,9,14,2,0,0,0,41.86940679841871
