age,education_years,last_month_income,work_hours_per_week,number_of_dependents,gender,rural_dwelling,policy_beneficiary,current_month_income
17,20,14,0,4,0,1,0,60.55838413948271
25,28,11,12,3,0,1,0,77.865122091198
20,23,12,17,7,0,0,1,78.88023200913801
30,28,7,17,6,1,0,1,86.75148047723609
30,27,11,10,4,1,1,1,83.05781870777093
31,14,9,20,6,0,0,1,84.14060541140468
42,24,10,23,3,0,1,1,97.74676410171487
34,16,10,12,7,0,1,0,76.90408058751713
21,14,11,5,2,1,1,0,64.01910927970951
35,9,10,8,3,1,0,1,72.2803031304202
32,24,11,10,4,0,1,1,79.96023100081129
27,12,14,13,5,1,1,0,73.36423419974408
42,21,9,11,4,0,1,0,85.51706446057318
24,21,8,13,4,1,0,1,77.88839051954227
34,10,11,26,4,1,0,1,87.87777810805483
23,16,12,6,6,1,1,1,69.53413212843354
30,15,8,7,6,1,1,0,71.86613256404408
25,14,17,12,3,1,0,1,72.50882264096438
27,22,12,11,3,1,1,1,76.82698480519758
43,13,10,10,3,1,1,0,78.95102424323659
23,26,9,17,2,0,1,1,83.74469009433861
34,16,5,6,2,0,1,0,74.51268719851245
18,17,10,15,1,1,0,1,74.09494312780521
37,26,4,3,3,1,0,0,79.12612521866726
23,20,4,10,3,0,0,1,74.55123441291406
32,30,8,4,2,1,1,0,78.94258899045492
27,9,10,16,2,1,1,0,75.88766818109272
17,14,13,8,1,1,1,0,64.11462034283852
23,22,10,14,5,1,1,1,79.24556360116401
31,19,10,10,1,0,1,1,78.13579952171709
31,22,10,21,3,1,1,1,89.09479475173868
43,9,10,17,4,1,0,0,85.32461691200128
29,20,12,12,5,1,1,1,78.15985391207076
30,23,12,10,3,1,1,0,76.96669443274745
39,30,8,11,3,1,1,0,89.9252162797882
47,12,13,11,4,1,0,0,79.61632670783553
34,23,9,10,3,1,1,1,80.07434814625329
34,30,9,15,0,1,0,1,89.52407948879812
34,32,12,20,4,0,1,1,94.91946001177652
17,12,10,17,5,1,0,0,73.98900762419214
19,12,8,23,5,1,1,0,81.85498048490052
27,19,11,15,4,1,1,0,79.29282597480491
37,23,6,15,4,1,1,0,87.71335465900658
22,25,12,14,4,0,1,1,77.93220581393359
22,12,12,13,4,1,1,1,72.26462358559687
27,13,7,22,3,1,1,1,83.10049317832367
35,15,12,10,3,1,1,0,76.49269656734826
45,22,13,14,3,1,0,0,87.68433003256395
28,18,7,6,5,0,1,0,70.62006479224553
32,19,11,13,5,1,0,1,81.17368617064209
38,18,6,16,4,1,0,0,88.97580709279244
31,34,5,11,6,1,1,1,87.1997907714172
27,6,13,13,5,1,1,1,71.19705363021217
28,14,11,17,0,0,1,1,81.30954804317315
42,18,2,7,2,1,0,0,81.51872562703547
24,20,14,15,3,1,0,1,78.98355370800422
22,17,12,15,4,0,1,0,74.24825273788251
21,29,9,21,2,0,1,1,88.49383738564013
20,25,11,11,4,1,1,0,71.74816096060214
35,28,10,12,1,0,0,0,84.46311300866057
27,24,4,6,2,0,1,0,73.37952124096977
37,20,12,13,4,0,1,0,82.60225618829931
24,17,14,11,0,0,0,1,71.98568277681852
38,18,11,10,3,0,1,0,79.47732956723821
34,15,16,13,3,0,0,1,79.20336004720053
32,17,6,17,3,0,0,0,84.59249460293502
29,25,9,23,5,0,1,0,89.8635348329056
41,18,9,12,6,1,0,1,84.78394309258559
13,12,11,16,5,0,1,1,71.90676952268491
29,12,12,16,4,0,0,1,77.10315364410611
22,22,1,7,5,1,1,0,73.16994784367243
37,12,10,13,5,0,1,0,79.46452880134672
14,21,14,11,3,1,1,1,71.07736887845562
34,9,8,12,4,1,1,0,79.628384443052
30,10,11,15,0,1,1,0,77.54175888600233
21,27,4,10,3,1,1,1,79.00994965476212
34,19,10,16,1,1,1,0,85.97700759941608
28,18,8,17,4,1,1,1,84.46393773057616
30,32,14,17,2,0,0,1,87.28442956746467
43,27,14,9,5,1,1,1,84.47040636096096
26,9,11,12,3,0,0,1,71.80564404682109
35,20,11,10,3,0,1,1,80.62109170321902
25,14,9,23,2,1,1,0,83.75521863985709
24,7,12,20,5,0,1,0,75.93894304892174
40,23,9,16,5,1,0,0,88.61369951481821
10,17,9,18,1,1,0,1,74.8146982109977
28,18,14,14,1,0,0,0,75.06355963521665
26,8,7,22,4,1,1,0,80.03620702793549
35,20,14,10,9,1,0,1,78.95090357843547
36,16,11,16,5,0,1,0,81.37650698635348
32,16,10,21,1,1,1,0,86.47721069609372
35,18,9,10,6,0,0,0,77.79146550747733
33,21,12,7,2,0,0,0,76.32437580333037
31,33,5,7,3,1,1,1,82.78962525176858
29,28,7,16,6,1,1,1,86.11644903219239
36,14,7,21,2,1,0,0,86.66800694258237
22,22,13,15,4,1,1,1,79.62677349234437
31,16,12,14,3,1,0,1,78.7209056206947
35,11,9,-4,5,0,1,0,62.61728671542531
42,23,13,19,3,1,1,0,88.58169353355241
26,17,11,14,6,0,0,1,75.01467976767934
19,26,5,20,4,1,0,1,82.95673621819185
32,24,11,18,3,1,0,1,87.49504239531898
32,21,13,10,5,1,1,1,78.07931666062942
30,12,9,12,4,1,0,0,74.63426294562352
36,32,9,16,3,1,0,1,92.14527456475682
44,27,8,13,4,1,1,0,89.43588454017538
25,9,17,8,2,1,1,1,65.41998411219498
40,15,11,19,4,1,1,0,86.41097327359032
27,20,8,8,3,1,1,0,73.71845011956343
31,18,10,11,7,0,1,0,76.34444499799295
34,32,6,9,4,1,1,0,86.10519976272182
29,25,13,5,2,1,1,1,74.37267012073559
21,23,7,12,4,0,1,1,77.94918957832206
16,18,11,11,2,1,1,0,69.76309634201695
34,17,17,12,2,1,1,0,77.9802712285838
30,20,10,19,4,0,0,1,84.03938302137927
31,24,11,3,4,1,1,0,70.9768308186606
54,15,10,11,5,1,1,0,86.61860425966331
28,19,5,21,4,1,1,0,87.54945099735528
46,16,11,13,2,1,1,1,87.56604550274373
35,14,11,14,2,1,1,0,79.70504221617081
2,25,8,10,3,0,0,1,66.14944511061643
28,22,12,13,4,0,1,0,76.7207913327787
25,25,9,3,4,1,1,0,71.65486521101914
19,20,7,11,3,1,0,1,74.97270586563434
33,21,9,22,2,0,1,1,91.33464858095812
15,27,17,14,1,0,1,1,75.24736036285005
29,23,9,12,4,1,0,1,80.66004960384558
23,12,9,17,7,0,1,1,76.5733400977774
41,25,5,8,5,1,1,0,84.8368118117719
32,15,10,18,3,1,0,1,81.76350804358881
18,23,7,11,2,0,1,0,73.36965129573248
15,15,11,13,6,0,1,1,70.61909137015591
26,26,12,11,5,0,1,0,77.64115280072136
25,17,9,14,6,0,0,0,77.16579564181522
21,21,9,10,3,0,1,0,71.94131592547988
33,21,3,13,5,0,1,0,82.1058413517133
41,21,9,10,3,1,0,1,84.80940952041826
30,17,11,17,6,0,1,0,82.081842943387
25,9,10,11,2,0,0,1,70.91351660656085
29,18,7,11,7,1,1,1,77.81601446847232
21,15,13,6,3,1,1,1,67.11306124684644
31,15,9,14,5,1,1,1,80.7175247983604
28,26,10,22,2,1,1,1,89.61337562715339
28,5,7,11,1,0,0,1,72.45165539618337
33,24,2,23,4,0,0,0,92.04965633218508
26,14,3,12,5,1,1,1,75.46982132582126
25,15,14,7,4,1,1,0,68.74868676084603
25,11,7,11,4,0,1,1,73.56439646624892
26,16,12,8,2,0,0,1,70.76115580056779
28,13,10,19,4,1,0,1,81.28927177181507
33,23,9,10,2,1,0,1,80.19370025167004
36,10,13,13,4,1,1,0,76.79101557382717
38,13,12,12,2,1,1,1,78.427264341145
21,21,10,10,8,0,0,1,72.89059093273774
32,20,10,8,4,0,0,1,76.63408350065231
21,10,14,15,4,1,0,1,72.01647541781836
34,17,10,12,5,0,0,0,80.52162658818708
32,21,6,14,5,1,1,0,81.6088927164822
39,14,5,14,5,1,1,1,84.77932127973573
28,19,8,20,4,0,0,1,85.02030418464383
22,15,9,14,1,1,1,0,74.2334173254819
7,18,4,16,4,0,1,0,70.2549341648895
37,16,8,24,3,1,1,0,91.23492168019284
43,21,10,15,2,1,1,0,87.6797662740353
10,12,11,16,6,1,0,1,68.35205388031778
35,27,12,12,6,1,1,1,83.65387333723719
33,13,11,5,5,1,0,0,68.1692411453581
27,22,6,16,5,1,1,1,81.82565039754583
26,29,10,14,2,1,1,1,83.5398587327907
45,25,7,9,4,0,1,1,86.82280783569725
15,11,4,14,3,1,1,0,72.44970370509704
25,23,9,14,4,1,0,1,80.22742925435543
38,22,7,15,5,1,1,0,87.11973608587675
23,20,9,13,6,0,1,1,76.84155823615343
15,20,7,6,4,1,1,1,69.36869542877955
30,24,13,14,3,0,0,1,82.30879768625466
34,26,11,15,5,1,1,1,86.45664161765518
25,23,16,15,2,0,1,1,78.23366017673884
21,32,15,21,2,0,1,1,88.14203522739182
27,28,14,15,4,1,0,1,81.97861392196963
27,18,8,24,3,1,1,1,89.28935794244389
40,22,18,6,4,1,0,1,77.14912098927489
34,14,7,20,2,0,1,0,87.07468289422553
34,17,9,7,4,0,0,0,75.20414046621514
13,23,9,10,7,0,1,0,70.1108583510737
28,29,7,11,7,1,1,1,81.92252159374495
29,18,2,20,3,1,0,0,86.67374108880115
42,19,9,15,1,1,1,0,87.13659734008482
33,24,11,15,4,0,1,1,84.72802014288737
32,13,17,20,3,1,1,0,81.8048375799641
22,11,8,16,4,1,1,0,76.19275100175203
25,13,6,10,5,1,0,0,71.96573163767972
30,20,13,7,7,1,1,1,73.9272386829833
31,25,11,13,3,0,0,1,82.25201358991634
43,20,6,12,1,1,1,0,87.19828672288082
18,22,10,22,3,1,1,1,82.33862363679731
35,18,10,22,8,1,0,1,88.88500316055668
36,23,10,16,2,1,1,0,88.16375717420905
29,20,10,11,2,1,1,0,76.43882668554103
19,6,10,15,3,1,0,1,70.86277078268463
25,24,11,15,4,1,1,1,79.6348878299319
36,14,13,17,6,0,1,0,82.08733690815761
20,9,10,10,4,1,1,1,66.43823611435762
33,21,12,9,2,0,1,0,77.5701528185046
34,20,10,11,2,1,1,0,79.44423244909599
21,27,13,13,1,1,1,1,77.94684135677728
20,20,12,17,2,0,1,0,78.52927732929953
29,10,1,12,4,1,0,0,77.9908877263299
39,22,16,11,2,1,1,0,81.94470953956035
35,21,12,13,1,1,1,1,82.97500612950994
17,18,7,24,3,0,1,0,82.41049618190883
40,23,11,20,4,0,1,1,92.2760708928932
25,8,8,12,5,1,0,1,71.60103392595887
24,24,12,13,4,1,1,0,78.00728850245669
25,15,11,9,5,1,1,0,69.80017558950601
22,19,10,16,5,1,0,1,77.12123813097709
28,25,16,18,4,1,1,1,84.09491611702902
19,19,11,16,0,1,0,1,77.91578098720379
26,18,6,16,3,1,1,0,80.4233261011221
32,18,8,17,7,1,0,0,82.41206407026085
20,22,10,8,1,1,1,0,72.69988957531098
33,25,8,20,3,1,1,0,88.49546186690591
30,16,8,17,8,1,0,1,81.99886580980446
26,17,12,15,3,1,1,0,76.5241244231536
41,28,14,15,6,1,0,1,90.23441698892714
46,31,10,14,3,0,0,1,93.80778004155287
32,15,7,10,5,1,1,0,75.35137706680743
19,23,10,10,3,0,0,0,74.18531144271209
48,27,13,14,3,0,1,0,90.43397012894404
31,19,8,21,3,1,1,0,88.94130116299789
15,19,13,20,1,1,0,1,77.3469983071993
19,19,11,22,2,1,0,1,82.23665686276102
27,23,9,22,4,0,1,0,87.73640126271624
10,25,13,24,4,1,1,1,81.62872911709906
33,19,17,15,5,1,1,0,78.87529098191169
33,13,11,20,4,1,1,1,85.72342800399484
29,25,7,18,4,1,1,0,85.39583876159962
25,15,8,6,7,1,1,1,70.17762470246552
40,18,7,10,8,1,1,1,83.40353817829075
31,18,6,12,3,1,1,0,79.26572382891798
29,16,13,8,1,1,1,1,72.69633102328565
31,22,9,14,3,1,0,0,80.52455055701314
32,15,14,13,0,1,1,0,77.41518101733213
38,26,11,12,4,1,1,1,85.96163758545067
38,10,8,19,4,1,1,1,87.47175089172676
23,11,13,15,5,1,1,0,72.8779374129162
22,18,15,16,4,0,1,1,75.57703963227063
19,17,19,11,4,1,1,0,66.9413876241106
42,19,8,8,4,1,1,0,80.18146325958584
28,11,7,14,4,0,1,1,79.31368778674407
28,28,17,15,4,0,0,0,81.74424860220238
32,27,6,17,1,1,1,0,87.20530330539935
25,12,8,12,1,1,0,1,72.90951620213654
25,26,10,27,2,1,0,1,91.11880326115327
36,12,7,14,6,1,1,1,81.16776915183868
39,19,4,13,0,0,1,0,86.1573331814788
55,24,7,12,4,1,0,0,93.18313002857776
39,15,13,13,4,1,0,1,80.96233395157432
39,21,9,4,4,1,0,1,77.8057413395949
40,27,10,9,3,1,1,1,87.40571531900119
25,18,7,16,5,1,1,0,79.08189024523533
27,19,13,13,5,1,1,1,76.34845765080831
27,18,12,17,5,0,1,0,82.14288012778094
30,20,8,13,2,1,0,1,79.66611296808063
27,25,13,13,2,1,1,0,80.41156770690485
25,20,12,12,2,1,0,1,76.03222770247227
25,14,9,21,3,0,1,0,80.38260280877229
30,18,17,10,5,1,1,0,73.41218256611255
19,20,8,22,5,0,1,1,83.59722254504368
40,30,10,10,4,0,0,0,84.98016122911297
33,16,9,9,4,1,1,0,75.76414596896974
31,23,13,17,3,1,1,0,81.54036722690259
28,17,11,16,5,1,1,0,80.46717244271542
32,15,10,2,4,0,1,1,69.48621097304874
44,27,10,14,2,1,1,0,89.17038204160808
39,21,7,5,1,1,1,1,78.08522237288192
43,14,15,13,5,0,1,0,85.28715168341806
19,19,13,8,2,1,0,0,69.13422213459202
35,24,10,15,5,0,1,0,83.58815869789105
31,14,10,9,2,0,1,0,74.00742287260691
28,16,12,18,6,1,1,1,81.90488946811409
18,22,7,18,3,1,1,0,78.35898316672214
23,20,14,14,2,1,1,0,74.43796902089153
35,17,7,9,0,0,0,0,78.38826331447419
35,23,13,16,4,1,0,0,83.89422587542337
42,30,11,14,6,0,1,0,89.89414784150138
29,26,7,5,4,1,1,1,76.2054637440694
33,13,15,18,3,0,1,0,79.6476169349253
35,19,9,14,2,0,1,0,82.89054939280028
36,25,9,18,4,0,1,0,89.0635501763989
27,18,8,14,3,1,0,1,77.58974599451419
38,11,12,6,1,1,1,1,73.65268905114844
45,15,12,17,1,0,0,1,89.90837932849378
9,22,10,14,2,1,1,1,72.03575054960811
26,40,7,14,3,0,1,0,86.09853191729816
21,25,8,14,1,1,1,1,78.7419076630867
44,17,12,17,4,0,1,0,88.0991446201102
34,27,9,24,6,1,1,1,95.28790268443916
23,19,9,10,3,1,1,1,73.8013574492014
29,29,13,13,5,1,1,1,81.68458520538724
23,13,12,12,3,1,1,0,71.62667815156618
35,20,10,17,1,1,0,0,84.62042391598824
29,25,10,17,3,0,1,1,84.60919255479665
44,18,2,15,1,1,1,1,90.75526035870487
25,15,13,8,6,0,0,0,69.99594763313712
18,21,12,19,2,0,0,1,78.23784942756724
4,22,11,7,2,1,1,1,63.344705190526895
37,15,5,12,5,1,0,1,82.94737817553792
23,27,14,11,2,0,1,1,77.54882297758274
34,26,12,24,4,1,1,1,93.18200802627445
24,24,9,8,4,1,1,0,75.39193112786485
44,23,8,15,2,1,0,1,91.96480467772552
18,23,17,4,6,0,1,1,65.02350698019684
46,17,7,5,6,0,1,0,79.55398171148082
28,24,5,15,2,1,1,0,83.48059954630001
28,22,10,17,3,1,0,1,83.71140422315716
34,23,13,22,3,0,1,0,91.37099691171542
13,21,10,22,3,1,1,1,81.24006431576431
26,17,8,7,1,0,1,0,71.16297236098117
39,19,10,13,4,1,1,1,83.59944694620776
41,26,10,10,1,1,1,1,86.03661714724669
31,27,5,13,4,0,1,1,84.90814074761809
35,25,10,12,3,1,1,1,84.5308259376302
28,26,5,16,1,1,0,0,86.05455237044772
16,23,12,15,7,0,1,0,76.57676796061294
22,21,12,20,4,1,1,1,82.98347106098927
23,15,9,17,1,0,1,1,77.46567357242802
33,15,13,8,2,1,1,0,73.20589389208614
36,21,9,9,4,0,1,0,79.8451975910829
17,22,11,13,5,0,1,1,74.8854917587836
22,22,10,15,3,1,1,0,79.46163508445291
36,16,3,8,5,1,1,0,77.27682704528944
19,18,10,9,5,0,1,0,68.47712878016597
33,13,9,13,3,1,1,0,76.7137553867922
16,24,12,10,4,1,1,0,71.80611028382178
26,14,5,15,2,1,0,1,79.67548690152637
35,18,9,10,1,1,0,0,77.76317988624251
11,27,14,2,3,0,0,0,60.87429002570991
30,18,9,14,3,1,1,0,79.64637964886916
10,22,11,12,0,1,0,1,70.55284775503468
36,17,6,16,1,1,1,1,85.97553215694938
41,20,10,18,3,1,1,1,89.30734141288791
10,20,10,12,2,1,1,0,69.94295062712705
29,21,8,19,5,0,0,0,85.38218928672433
37,22,10,15,6,1,1,0,84.78995367774118
35,3,16,11,3,1,1,0,69.92571787263194
25,16,11,20,4,0,1,0,80.68691624747471
21,13,12,13,2,1,1,1,73.51947529689694
23,15,10,12,3,1,1,1,74.96028705317156
37,25,5,15,7,1,0,0,89.88698086689043
30,18,10,7,4,1,1,0,73.94075558848775
23,26,7,14,4,0,1,1,79.11223880450328
27,9,6,17,2,0,0,0,79.69839159088569
41,13,13,8,4,1,1,0,76.60909474812419
29,9,6,14,5,1,1,0,76.51742910740032
42,25,13,8,2,1,1,0,81.9136831763042
35,15,5,26,2,1,1,1,93.70726803714646
28,24,6,17,3,1,1,0,84.18823103794128
17,20,8,20,5,0,0,1,80.79141173966852
27,20,15,13,5,0,1,0,75.17674868343765
20,23,9,15,3,1,1,0,76.91106840848933
20,17,7,11,2,1,1,0,72.4300223269919
40,15,10,18,8,1,1,1,87.19612363926404
21,22,11,9,5,0,0,0,71.49916526152418
38,25,9,12,3,0,0,1,87.72615676134197
32,25,7,17,4,1,1,0,87.65874653546416
29,21,8,11,3,1,1,0,78.89478264294824
28,18,12,17,4,1,1,1,80.8926078205658
20,11,8,14,6,1,1,1,72.86136101702215
22,27,11,9,4,1,1,1,75.75930678645928
18,14,11,11,4,0,0,1,71.52763788076349
28,23,8,17,1,0,1,1,85.79802438144453
40,28,5,20,4,1,0,0,93.54133798709115
27,18,4,7,3,1,1,1,74.31999968591741
19,21,3,18,3,1,1,0,81.4817265086764
22,28,13,14,1,1,1,0,77.26976092989511
29,26,6,12,0,0,1,0,80.2589141616102
37,15,10,10,4,1,1,0,78.06757215840955
26,12,11,18,6,0,1,1,79.60947060334338
32,26,10,20,7,0,1,0,87.26467310888872
17,22,10,18,4,0,1,1,80.25457328875669
30,16,12,2,0,1,0,0,66.66455778370694
23,21,14,3,2,0,1,0,66.5844055694
25,22,11,14,5,1,1,1,80.02252452120113
50,22,10,7,6,0,1,0,84.85464869476725
27,13,9,10,4,0,1,1,74.14892045523575
49,18,9,9,4,1,1,0,85.64630142200514
38,20,10,14,7,1,1,0,84.60011888652107
15,24,13,15,2,0,1,1,75.3476649718367
41,6,8,17,1,0,1,0,83.56093401420786
44,19,7,14,3,1,0,0,86.69998963391453
40,19,12,13,3,1,1,0,83.39838474827947
20,21,12,8,5,0,1,0,69.67645597800585
37,21,7,19,2,0,1,0,92.00603871237412
21,25,8,11,3,1,1,1,76.94739960657549
21,14,11,10,5,0,1,1,69.84218883305074
36,26,8,16,2,1,1,0,88.37227281543059
31,24,12,12,2,0,0,0,78.44376321009156
19,18,7,8,4,1,1,0,68.22754643837868
24,18,2,18,3,1,1,1,84.18005004605652
31,13,8,8,6,1,1,1,73.56489017573325
20,15,9,9,2,1,0,1,69.19834915610994
16,12,9,8,6,1,1,0,64.02274031845445
22,22,12,5,4,0,1,0,68.5105516941068
21,11,3,13,4,0,0,1,73.77496605912333
27,12,7,1,1,0,0,0,63.1300054765717
33,19,13,15,1,1,1,0,82.10196563533046
27,25,11,11,6,1,1,1,79.6253979295878
17,19,5,21,1,0,0,1,82.05551256581235
31,17,12,13,4,0,0,0,76.93295105788086
38,21,13,8,3,1,0,1,77.2003605420783
37,19,14,15,4,1,0,0,80.28599819093284
30,22,11,12,4,1,1,0,78.7262493956318
19,31,11,13,5,1,0,1,78.61096887648014
19,26,10,12,3,1,0,1,76.84548932277224
31,19,15,10,3,0,1,0,75.46424005881474
32,13,7,13,5,0,0,1,78.52929274790407
28,22,11,10,4,1,1,0,76.84415414808541
29,5,15,11,0,0,1,1,70.53188276796476
32,17,6,20,0,1,1,0,86.8819929386552
33,29,11,16,5,1,0,0,87.55351816473497
26,22,16,6,4,0,1,1,71.1291654501712
17,19,11,9,4,0,1,1,68.2502231800243
29,22,5,18,4,1,1,0,87.14759457403642
39,12,11,15,6,1,1,1,81.16435182612825
30,26,10,15,3,1,1,0,82.90052013469179
26,22,7,12,4,1,1,0,77.60119025586539
39,20,11,8,4,1,1,0,79.495910008932
30,22,11,24,5,0,0,0,88.54574820475419
31,19,9,13,5,0,1,1,80.33880844710717
28,11,7,18,1,0,1,0,81.93678926200334
27,22,10,15,5,0,1,0,80.71063128752267
35,14,6,19,2,1,1,0,85.83861466498546
35,16,8,18,3,1,1,1,85.6407544636167
24,15,13,14,7,1,0,1,75.62417220987041
20,26,5,5,3,1,1,0,69.8060494585448
