student_age,parent_education_level,classroom_size,school_funding_per_student,rural_school,access_to_tutoring,interactive_textbook_use,final_grade
34,18,10,7,1,1,0,69.568578668586
19,28,3,18,0,0,0,73.49656552092604
42,23,5,13,0,0,1,80.41033328294064
25,23,4,11,1,1,0,68.66122141426216
3,20,6,19,0,1,0,73.26982618359513
17,19,7,16,0,1,0,72.89194827927359
22,17,5,13,0,0,1,76.15652440699498
31,27,5,25,1,1,1,87.78682708817892
11,23,4,12,0,1,0,69.67663244897555
13,17,2,18,0,1,0,72.45934123782119
26,26,3,8,1,1,0,69.17542871385102
36,29,7,14,1,0,0,72.50861856892051
26,21,5,13,0,1,0,68.67074401067005
32,16,5,23,1,1,1,85.52926010004782
33,22,4,18,0,0,1,82.00209704728113
25,16,7,9,1,0,0,68.79842631894634
42,20,4,17,0,1,0,73.14290807363045
26,20,4,20,0,1,1,82.63771980717327
30,28,7,22,1,0,0,78.38296146974355
33,25,1,12,0,0,1,75.6862664951631
16,26,5,21,1,0,1,83.85060918843214
10,32,6,17,1,0,0,74.64843511368427
14,22,11,13,0,1,1,78.84172849410905
28,22,9,16,1,1,0,75.25849420848925
18,24,7,20,0,1,0,76.25075468070035
32,23,5,6,0,0,1,72.86421236982319
16,18,6,20,1,1,0,75.62507658690234
12,30,8,16,0,1,0,74.78808131343396
37,20,4,24,1,1,1,88.0373825938846
26,24,10,14,1,1,1,81.8354037217814
8,23,5,13,1,0,0,67.90291980430543
41,24,8,13,0,1,1,82.62602791906563
29,23,5,25,0,0,1,84.99558440589153
13,24,8,19,1,0,1,80.92091906884295
37,25,7,20,0,1,1,86.01799746228643
15,26,3,12,1,0,1,77.8144214666171
27,29,5,16,0,0,0,73.80149135733119
35,27,5,20,1,1,1,84.68375701879134
24,22,4,24,1,1,0,78.03312731803608
39,21,4,14,0,1,0,72.73262421300898
19,23,4,15,0,0,1,78.94954913083713
30,24,10,16,0,0,0,74.04518622068109
17,29,4,15,1,0,1,78.9418111394682
24,24,9,13,1,1,1,79.71086799287798
8,22,6,13,0,0,1,77.87464976442504
21,29,11,16,0,0,1,84.13022879557111
25,25,4,14,1,0,0,72.65841694827793
23,21,7,12,0,1,0,70.16428839343857
18,24,9,16,0,0,0,73.56884960860842
22,18,9,15,0,0,1,80.93709598626822
21,25,6,20,1,0,0,75.268934142901
16,19,7,15,0,0,0,71.77344030108851
40,27,6,17,1,1,1,82.77054854998596
31,16,6,19,1,0,0,74.00809956674303
44,27,3,15,0,0,1,79.92825016737237
12,24,6,20,0,1,1,82.82596073902336
20,25,6,14,0,0,1,79.21794096634831
27,26,7,19,1,0,0,77.94258470928669
26,22,4,7,0,0,1,74.28512867363733
16,26,3,13,0,0,0,69.81809239093852
26,21,10,17,1,0,0,76.05852619872779
25,26,6,14,0,0,0,70.49328995801531
33,20,-3,11,0,1,0,65.20277271788424
29,16,7,11,0,0,0,69.70807281559054
18,21,7,16,0,0,1,80.8631491913906
32,22,7,19,0,0,1,85.10169995385564
23,26,2,13,0,1,1,77.14791015664694
21,31,2,23,0,0,0,75.92706486339044
28,24,-2,19,0,1,0,72.63875035667135
34,23,8,15,0,1,0,74.43983123358898
18,25,4,19,0,1,1,85.6374938427744
16,34,7,17,0,0,0,75.66733389592093
19,32,6,22,1,0,1,87.31711420549011
34,19,4,18,0,0,0,72.51328659575142
29,25,4,12,0,0,0,69.1851746560284
31,21,6,17,1,1,0,73.10212673332349
30,25,3,15,0,0,1,80.22992591015291
38,24,6,14,1,0,1,81.17007078672289
19,21,5,17,1,0,0,71.9111778715499
16,22,5,12,1,1,0,70.40070223291124
21,25,10,15,0,1,1,81.00317124741004
15,25,2,13,0,1,1,76.52508566032596
20,23,5,11,1,0,0,67.26378234041724
16,23,5,13,1,0,0,69.93088431530008
29,23,3,14,0,0,0,71.58226246446782
38,27,9,14,0,1,0,76.35914082738798
33,22,2,18,1,1,0,74.26416422727183
24,26,9,12,0,0,0,72.61912676834326
31,26,6,16,1,0,0,74.36844155803078
42,15,3,15,0,0,0,71.93568667275967
27,24,2,22,1,1,0,76.39716089083667
37,21,2,16,0,1,0,72.19869674903059
34,22,5,14,0,0,1,79.32899744406804
11,23,7,16,0,0,1,76.96268432892853
26,22,5,16,0,0,1,83.15820808469978
31,29,4,22,1,0,0,79.94984828180645
35,26,4,14,1,0,1,80.61541006481606
14,24,4,15,0,0,0,69.91066111854126
23,22,5,10,1,0,0,68.0913578671075
25,18,3,7,0,0,0,64.199010509717
21,26,6,22,1,0,0,77.3769799672531
21,24,4,10,1,0,1,75.14334025111543
28,27,10,21,0,1,1,87.02061231745843
25,25,7,18,0,0,1,82.52297269788997
17,19,6,11,1,0,1,77.04706134082609
17,21,6,12,0,0,1,77.09362555092089
40,18,6,12,1,0,1,78.35372351194266
37,22,3,14,0,1,1,80.44207829597781
23,27,7,22,1,1,0,81.26681312399954
28,19,6,16,0,1,1,82.28401658161904
22,25,2,13,1,1,0,71.63687476026308
25,16,5,24,1,0,0,78.12956501918288
14,22,6,21,1,0,0,75.53926058415962
20,24,4,13,1,1,1,78.24643457458646
0,21,6,15,1,1,0,70.08537456425435
33,28,7,7,0,1,0,68.93980356515202
30,20,5,20,0,0,1,82.54382661227756
1,26,3,22,0,0,0,74.12465344063261
16,26,4,11,0,1,0,68.91397096265494
23,16,4,9,0,0,1,74.22225555214814
21,21,3,16,0,1,1,79.31265805059257
19,22,8,20,1,0,1,84.11519595185084
30,19,10,13,0,0,1,82.0001995285044
18,30,5,13,0,0,1,81.43768395555047
31,22,5,17,0,0,1,81.27974276467089
34,28,5,17,0,0,0,73.79811771158106
35,29,6,17,0,0,0,75.3577937468248
35,23,6,17,0,0,1,80.97643763005563
6,25,7,17,0,1,0,72.47593547072265
23,25,5,14,1,0,1,78.5994177477616
23,26,7,16,0,1,1,82.1055312035929
15,21,8,9,0,1,0,67.25820629024669
15,26,5,17,0,1,0,73.63862903623006
41,25,5,7,1,1,0,68.02766940962712
10,21,0,20,0,0,1,76.1603029690842
8,23,6,12,0,0,1,76.70431512777004
14,26,6,14,1,1,0,73.32833645993657
33,22,5,15,0,1,1,81.50011116045329
13,23,7,10,1,0,0,68.00806581851064
8,21,3,16,0,1,1,77.73779854108794
25,27,1,26,1,1,0,80.98899150611757
21,26,5,19,0,0,1,84.19519840170723
13,27,8,10,0,1,0,69.2602779793892
22,17,4,17,1,0,1,79.72000842300137
31,23,6,16,1,1,0,73.8240532221934
12,26,4,22,1,0,0,75.62566096076091
11,24,6,16,1,1,0,72.54124005376816
20,20,5,14,1,0,0,69.9277642311209
18,26,4,15,0,1,0,70.99728720341032
36,26,5,7,1,1,0,70.69087627048128
33,23,4,15,0,1,1,81.38723980032977
27,17,6,23,0,0,0,76.67849749062121
26,22,7,12,1,0,1,78.06118919683037
28,30,7,11,0,1,0,73.4244113921581
17,23,7,6,0,0,1,72.50804521177882
37,27,4,12,1,0,0,70.06746086279469
20,20,3,15,1,1,1,78.47044689188579
30,32,3,14,1,1,1,79.58155910723178
31,19,10,9,0,0,0,69.16684242621407
18,24,7,20,0,1,1,84.34118013637949
26,24,3,16,0,1,0,72.08589845621748
21,35,4,27,1,0,0,80.7806007199619
15,26,11,17,1,0,1,81.2110315113534
33,26,4,10,0,0,1,79.21841347472669
17,27,6,17,1,0,0,75.37331218050478
26,25,7,13,0,0,1,79.66075799140289
32,20,2,17,1,0,1,80.8287181574432
22,23,4,13,1,0,0,69.89557861544723
28,21,5,15,0,0,0,72.35553682151551
26,22,5,12,0,0,1,77.48493000793394
25,27,5,20,0,0,1,82.72925289019453
9,27,7,20,1,0,0,76.23414794382023
24,27,7,18,0,0,0,76.09693231521544
13,25,4,10,1,1,0,68.44737145494805
31,18,6,19,1,0,0,74.41083732114824
30,25,7,20,1,0,0,76.7215952215871
29,23,0,18,0,1,0,72.92991720037541
29,22,5,17,1,0,1,82.38218493084159
25,24,2,16,1,0,0,71.81901038807916
24,14,6,18,0,0,0,73.06137233377429
22,27,7,17,1,0,1,81.454021279123
21,26,6,10,0,0,1,75.91047639941948
45,19,2,15,0,1,0,72.26549403140507
30,24,7,16,0,1,1,83.48283932374099
18,23,6,5,0,1,0,65.38759948417768
10,22,2,12,0,1,0,68.19677072478027
9,23,9,21,0,1,1,83.9039482510033
17,18,5,20,0,0,0,73.40294747519806
18,25,4,17,0,0,1,80.33798482960385
28,18,6,8,0,1,1,75.2619884479946
9,21,7,17,0,1,1,79.98365840079025
10,25,4,19,1,1,1,81.9596734820473
42,24,7,21,1,0,0,77.8261866266102
6,21,1,13,1,1,0,66.51214112416812
23,24,8,7,0,0,1,76.19402771743007
15,26,5,27,0,0,1,87.61244850549214
37,25,4,18,1,1,1,83.32192731340035
7,24,5,14,1,0,1,76.52702703894026
38,17,4,26,0,0,1,86.71616014457115
30,20,7,13,0,0,0,71.56131271253157
24,29,4,18,1,0,0,75.82780292532092
33,25,3,14,0,1,1,80.69091243848547
28,22,6,13,0,0,0,69.99598153004902
11,19,5,11,0,0,1,76.20228426739058
7,20,5,12,1,1,0,66.9298175560219
28,21,6,17,0,0,0,73.53869600845219
41,21,7,12,0,1,0,71.62528604551841
35,30,5,20,1,0,0,77.22793497542645
24,27,4,18,0,0,0,75.95873169952722
32,22,5,12,0,0,0,69.66497429389587
23,28,4,5,1,0,1,71.21093635919723
9,27,6,11,0,0,0,69.02857256396128
24,29,5,18,0,0,0,75.3181494686426
29,19,3,6,0,0,1,72.05047576900346
14,24,3,20,0,1,0,73.99581866164003
11,19,2,10,1,0,1,71.97594167543798
42,19,5,6,0,0,1,73.10440575406562
35,17,12,20,0,1,0,78.5791716469722
41,24,1,15,0,1,1,80.6101623340417
33,24,3,14,1,1,0,72.86477095364393
29,28,7,10,1,0,1,78.49985712235585
12,18,7,21,0,1,0,76.65559117233128
19,31,6,18,0,1,0,77.30274773510854
16,28,10,20,0,0,1,84.26254508262218
23,24,9,21,1,1,1,87.8296804360853
34,24,6,9,0,0,0,70.1899101760848
15,24,3,17,1,0,1,79.81516800418859
34,22,4,12,0,0,0,70.56546894807424
27,14,5,12,1,0,0,68.01707970509399
2,20,3,16,1,1,0,71.79526825841944
25,28,4,15,0,0,0,71.16823551238595
18,22,6,19,0,0,1,82.51096375753029
32,26,6,15,0,0,1,83.14035032726322
20,19,6,11,0,1,1,75.79715760323003
20,22,5,28,0,0,1,89.21891362898367
15,19,5,9,0,1,0,67.23755621523489
34,21,4,18,0,1,1,83.71605916271731
31,20,5,10,1,0,1,75.9699867252208
23,19,5,9,0,1,0,68.37946450252323
11,28,5,12,0,0,0,68.24020778696062
10,21,5,7,0,0,0,66.08275648432992
14,21,7,15,1,0,1,78.1807783487992
33,21,5,10,1,0,0,67.90418555249792
40,20,7,20,0,0,0,78.41402880703838
0,21,3,9,0,0,0,65.87852344241311
32,22,7,13,0,1,1,80.62151201658483
27,20,5,15,0,0,1,77.56765191570454
44,25,3,21,0,1,1,84.9960296542203
32,22,8,19,0,0,0,77.77493843175125
13,26,4,26,0,1,0,78.54532635645387
22,22,9,18,0,1,0,76.2237290161117
21,30,9,16,0,0,1,84.25687153478012
36,25,7,15,0,1,1,82.91938613992922
25,29,2,17,1,1,1,80.60738155382954
43,24,6,9,1,0,0,69.49921303401341
15,25,5,16,1,0,1,78.08351785969846
30,26,7,13,0,0,1,78.456402504278
9,20,9,13,1,0,1,77.1092900250677
33,21,5,21,0,0,0,75.2159579457535
14,23,6,18,0,1,0,74.1044428395877
15,23,4,14,0,0,0,69.68816545792266
39,22,5,9,0,0,1,78.57463036411636
23,25,8,13,1,1,1,80.339968243898
2,25,7,18,0,0,1,81.46895535760744
30,26,1,19,1,1,1,81.90244033972046
24,24,8,22,1,1,0,79.78925453702621
27,24,4,17,0,0,0,72.16946637787362
13,22,3,2,1,1,0,61.534144029674174
37,24,9,20,0,0,1,86.46064629973348
41,24,2,17,0,0,1,80.78109537593667
27,21,6,23,0,0,0,75.76704004475826
30,30,6,22,0,1,0,78.02180994334041
22,26,4,14,1,0,1,79.20956699778111
22,27,1,17,0,0,1,80.09816507685767
30,21,3,14,1,1,1,78.9125451711937
25,25,6,13,0,1,0,71.6107432108585
15,23,7,21,1,0,1,83.50496148055288
5,24,7,8,0,1,0,67.79667337242938
30,19,6,11,0,0,1,76.26678957032367
16,20,4,12,0,1,1,75.21947713957776
18,23,8,22,1,0,1,85.34747865021859
8,17,4,16,0,0,1,77.97965964887354
35,28,5,17,1,0,0,74.47753976515197
13,33,4,18,1,0,0,73.85433071309828
26,21,6,18,0,1,1,82.91380614579013
43,26,6,13,0,1,1,81.00164277634082
21,26,8,21,0,0,0,74.18212999646096
19,23,1,21,0,1,1,82.89272860126069
20,20,3,10,0,0,0,65.87607595791413
21,29,5,14,0,0,1,81.47343351530795
28,25,9,8,0,1,0,67.54085856721302
15,17,5,15,0,1,1,78.98523227244398
14,28,9,17,0,0,1,83.93367668330832
25,17,5,17,0,1,0,72.93182995021125
14,21,7,16,1,1,0,73.22048644923709
20,22,3,14,0,0,0,69.63177753844269
24,22,7,20,1,0,0,75.61576701092207
24,24,3,14,0,1,1,78.74400866457727
12,24,5,11,0,0,0,67.64836721286959
27,24,5,14,1,0,0,71.79922376619021
26,31,7,11,0,1,1,79.66457011820614
21,30,6,8,0,0,1,74.82786292976566
24,25,6,20,1,1,1,84.69908008897316
26,16,6,23,0,0,1,83.73163037459811
29,28,4,23,1,0,0,78.78225443341297
15,26,4,23,1,1,0,78.52898771552024
21,26,6,13,0,1,1,79.75296241025553
28,21,0,16,0,1,0,68.01105414417468
31,26,10,14,0,0,0,76.26100466135736
22,20,6,8,0,0,0,66.68552165146028
28,29,8,17,1,0,0,75.47849652464058
17,27,4,20,1,0,1,82.22457887944852
4,21,6,16,0,0,0,70.97412041003318
44,25,7,25,0,1,0,81.72709413582288
8,34,5,20,0,0,0,74.23435378476508
19,31,5,26,0,0,0,79.31642112600109
31,24,5,9,0,0,1,74.8868796231262
17,20,3,19,1,0,1,80.67318243213727
19,16,3,12,0,0,0,66.86436907468368
39,23,7,15,1,1,1,81.84709012947114
17,31,3,16,1,0,0,70.97245044955477
30,26,10,16,1,0,1,86.0185683864399
8,21,5,12,0,1,1,78.05679305042919
28,25,5,24,0,1,0,79.5298105212311
8,24,8,21,0,0,1,84.46789965990584
9,28,8,16,1,0,0,74.49209194229336
35,23,4,21,1,1,1,85.32866899928379
40,25,8,21,0,1,1,88.6583137811647
29,25,4,16,0,0,1,80.97839430257235
28,27,4,22,0,0,0,77.39623053594352
34,20,5,16,0,1,1,82.16683154536693
34,22,6,13,0,1,1,78.64630530057556
36,20,5,15,0,0,0,70.85370269708345
21,17,5,12,1,1,1,78.65752305397855
24,25,2,14,1,0,0,70.74918926598754
18,16,5,20,0,0,0,74.33736499096277
22,29,3,18,0,1,0,74.59680053892191
29,30,3,14,0,0,0,72.30669383313304
11,22,4,15,0,1,0,69.05075471479029
8,27,8,16,1,0,1,80.17724467369759
27,31,5,12,1,1,1,81.7203224216325
25,18,6,19,0,1,1,82.21152387971055
18,15,7,12,1,1,0,68.82375075397897
27,21,9,16,0,1,1,81.51012127744468
10,18,5,18,1,0,1,77.89770638975511
16,26,5,15,0,0,1,80.24052009325223
39,17,5,15,1,1,0,73.1980803938462
28,27,4,18,0,0,1,81.89319070814696
27,18,6,13,1,1,0,70.61436532633495
40,23,9,16,0,0,0,76.99289436309597
15,19,5,14,1,0,1,78.75992973019875
36,23,8,18,0,0,0,77.70826425695381
32,26,7,7,0,0,0,67.06741270032073
33,22,4,16,1,0,0,71.48787037720928
9,26,5,4,0,1,0,64.1548180276821
13,23,6,24,0,0,1,84.45321112412891
27,25,7,15,1,1,1,80.07860912252089
10,22,5,18,1,1,0,72.64043980602878
42,21,5,10,1,1,1,78.55407734101247
35,16,4,16,0,0,0,70.87384976282088
17,19,8,13,1,0,0,71.89920067097118
32,17,4,19,0,0,0,74.2933726451085
22,19,6,9,0,0,0,67.39225324165969
34,22,7,17,1,0,0,74.43005107888158
23,21,2,18,0,1,1,80.46180930635973
29,26,5,16,1,1,1,81.79357267896933
17,27,6,16,0,1,0,74.01282304110399
20,28,7,24,0,1,0,79.33770819769593
47,28,7,15,0,1,1,83.98957934009265
34,19,7,11,0,0,0,70.35379828651578
23,23,4,12,0,0,1,79.02842528887557
11,24,5,13,0,1,1,78.74788557592544
16,23,4,4,0,1,1,70.41130681667327
21,23,3,22,0,0,1,82.77452080941529
12,25,8,12,1,1,1,77.72948421926796
20,24,3,11,1,0,1,74.87231646216199
32,27,6,7,1,1,1,76.14642211645773
30,23,7,16,0,1,0,73.40949725058549
16,24,4,19,0,1,0,74.68639953256142
23,19,6,19,0,0,1,81.45597835133405
25,24,5,12,0,1,1,75.56916346478003
19,20,5,17,0,1,0,72.90871700264368
12,19,7,16,1,0,0,69.76846547442362
20,32,3,19,0,1,1,84.30609772266251
23,24,5,20,0,1,1,80.92775708022735
24,22,5,18,1,1,1,83.72527430217234
38,26,5,19,0,1,0,75.74755604844779
30,24,5,4,0,1,0,67.48502944280759
25,22,6,22,1,0,0,76.30012408562467
40,17,6,14,0,1,1,81.61659247663391
40,24,8,6,0,1,1,77.02454418413271
31,25,5,10,1,1,1,77.77312952582221
26,21,7,23,1,1,1,88.40964362187589
28,19,5,9,1,0,1,73.8432427159329
25,23,4,14,0,1,0,71.63715597469232
38,20,7,15,0,1,0,73.67229007917378
27,23,5,23,1,1,0,79.68304604260712
25,23,9,11,1,0,1,77.20927144258917
32,26,4,15,0,0,1,80.06390764490152
46,21,2,10,0,1,1,78.962171872907
14,23,8,16,1,1,0,73.13168733976048
30,26,3,20,0,1,1,83.95528815596789
19,20,4,12,1,0,0,70.33988597897526
35,21,9,13,0,0,0,72.134220186078
25,26,4,16,1,1,1,79.24260941247125
26,30,7,13,1,1,1,82.237521303112
20,32,2,13,0,0,1,79.02652332826038
23,19,5,24,0,1,1,83.74874163440381
49,26,5,13,1,0,1,81.31615709485786
