defendant_age,lawyer_experience,severity_of_crime,previous_convictions,received_legal_aid,accepted_plea_bargain,participation_in_restorative_program,recidivism_rate
33,21,5,0,0,0,0,86.28667700032794
18,17,4,0,0,0,1,74.3063277431498
18,24,8,0,0,1,0,78.68501305681347
26,28,6,1,1,0,1,87.38869598471977
29,22,7,0,1,1,1,86.24536703319794
26,15,2,1,1,0,1,79.60050514763121
14,27,9,0,0,1,1,79.09777478425174
15,28,6,1,0,1,1,79.07746106487032
24,29,4,0,0,1,1,85.0788686854886
14,27,6,1,0,1,1,78.50844959035396
15,27,9,1,0,0,0,77.4609501450802
28,28,4,1,0,0,1,85.448485218974
35,28,2,0,1,0,0,88.1128904720839
39,19,5,0,1,0,0,87.18218049220651
27,20,2,1,0,1,1,82.4046507205911
30,30,4,1,1,0,0,87.97704173970479
33,19,2,1,0,0,0,83.88156214702626
16,21,3,1,1,0,1,74.67963200610399
18,25,5,0,1,0,0,76.73967496897245
29,19,5,0,0,0,1,82.77069044828075
21,26,5,1,1,1,1,83.89132996813944
28,24,7,0,0,0,1,85.88131060629846
18,22,7,1,0,1,0,75.2925693974663
19,24,5,0,1,1,0,76.48593702632891
32,23,2,1,1,1,1,88.40305127196848
26,28,6,0,0,0,1,85.29200750773101
39,27,6,0,0,0,0,92.95827216066009
22,17,5,1,0,0,1,79.07666317717624
23,26,2,0,1,1,1,81.44506493697487
35,25,8,0,1,0,0,88.2451343423299
33,27,8,1,0,1,1,93.5973477377936
23,25,9,0,1,0,1,85.0005658680755
1,26,5,0,0,0,1,66.12322525106252
27,12,5,1,1,1,1,77.88841176116787
24,26,8,0,1,0,1,85.1540354098333
36,25,4,0,1,0,0,89.77547225002263
20,27,2,0,1,0,1,80.46494413092273
27,28,4,1,0,0,1,86.5910870371232
22,27,4,1,0,1,1,83.26771058388658
20,26,10,0,1,0,0,79.71279451866033
23,21,8,0,1,1,0,79.16914736768351
35,29,5,0,0,0,0,89.84606291511406
26,20,2,0,0,0,1,79.22826401970123
26,22,7,0,1,1,1,84.3404075180181
22,30,6,1,1,1,0,82.95514262480832
27,23,6,0,0,1,1,85.81816306895806
23,16,6,0,1,0,1,79.58324703002582
19,26,10,0,1,0,1,81.85751513416965
27,19,4,0,0,1,0,80.40891744192392
42,26,8,1,1,0,0,95.49014621259938
24,26,10,1,0,0,1,86.28426893705215
46,26,6,0,1,0,1,99.20167073312648
6,28,0,0,0,0,0,65.39401199466673
9,24,2,1,1,1,0,69.23688927799998
3,22,7,1,0,0,1,67.38542350754514
45,32,4,1,0,1,1,100.69268201021164
19,23,5,1,1,0,0,74.62848131849591
14,28,8,1,1,1,0,77.88057575410795
23,16,8,1,0,0,0,76.52402413822767
9,20,3,0,1,1,1,69.3941885955996
17,24,1,1,1,1,0,75.45823635742225
46,28,10,0,0,0,0,99.24197846103924
12,19,7,0,1,0,1,72.92182686261818
37,17,5,1,1,0,1,90.37823485223618
31,22,5,0,0,0,0,84.63066944980095
19,25,3,0,1,0,0,76.40811082545707
37,26,3,1,0,1,0,91.34008809554892
31,20,7,0,0,1,1,88.77703722235847
33,20,5,0,0,0,1,86.41223206221726
33,18,6,1,1,0,0,84.45733341445265
11,27,2,0,0,0,1,73.94645003982544
17,28,6,1,0,1,0,77.85071252024944
30,28,7,1,0,0,1,89.78158730396804
14,24,6,0,0,1,0,74.42076734537349
12,29,4,1,1,0,1,77.83923418175496
22,23,3,0,0,0,1,79.21950976246283
26,19,7,1,1,0,0,80.6724984245659
8,20,3,1,0,1,0,66.839609919588
20,23,7,1,1,0,1,78.69774120507805
5,29,4,1,1,0,1,70.65260179584077
34,28,3,1,0,1,0,90.81183824916924
44,21,7,0,1,1,1,94.96461735701958
23,28,7,1,0,1,0,82.97011284048695
36,26,5,1,1,1,0,89.67775097342869
27,18,5,0,0,1,1,82.2213994700884
26,21,6,0,0,0,0,79.57501834764487
24,29,6,0,0,1,0,83.04217635847849
14,14,5,0,1,0,1,70.56031847475928
28,21,3,0,0,0,0,81.6454699561032
22,21,4,0,1,1,1,79.37410518590129
25,22,6,1,1,1,1,83.70131710637283
25,29,7,0,0,0,1,85.5146472081728
38,21,6,0,0,1,0,90.36335560284876
23,30,5,1,0,0,1,86.77755359297694
31,23,7,0,0,0,1,87.10072940012046
16,21,8,0,0,0,0,73.9468295235674
28,30,7,0,1,0,1,88.85430171083223
35,20,7,0,1,0,1,91.29589027176684
13,26,8,0,0,0,1,75.72962537292337
29,21,1,1,0,0,1,82.82608554746625
32,22,2,1,0,0,0,84.9961173646612
25,24,8,0,1,0,0,82.59837273136512
25,21,2,0,1,0,0,78.93651024658514
22,23,4,1,0,0,1,80.33700460443885
25,26,3,1,0,0,1,83.94367212449173
22,28,3,1,1,0,0,81.77606803323262
31,22,5,0,0,1,0,82.72064832298697
17,25,5,1,1,1,0,77.24741419578076
0,30,3,0,1,0,1,66.57041029582375
32,15,5,1,0,0,1,86.04136380973453
22,23,7,0,0,0,0,79.58831630906171
33,26,3,0,1,1,0,88.39295690490064
27,19,6,0,1,0,0,80.3726274259837
26,27,7,0,1,0,1,86.12058992848682
32,24,6,0,0,0,1,86.87602720258963
16,26,7,0,0,1,1,80.33685167369336
15,28,3,1,0,0,0,74.98690055464064
37,25,5,1,1,0,0,89.57112066312845
29,23,6,1,0,1,1,86.71417160474014
18,24,5,0,0,1,1,77.20240866836
13,29,4,0,0,0,0,74.56870189970311
31,20,8,0,1,0,1,86.02817524681278
7,24,11,0,0,0,0,70.04460894509525
21,26,5,0,0,0,1,80.42826970111516
22,21,4,0,1,0,0,76.65136886336228
17,19,4,0,1,0,0,71.83103618515676
15,22,8,0,0,0,1,76.32207259073037
16,30,7,1,0,1,1,82.0781279463431
18,29,6,0,1,0,0,79.44448002170111
32,17,5,1,1,1,0,84.05580403557462
11,23,6,1,1,0,1,72.0523692653914
25,11,5,0,0,0,1,78.26491321499755
25,22,7,1,0,0,0,79.00545465476874
21,26,4,0,1,1,1,80.7957601951242
13,21,8,0,0,0,0,72.33437925225192
17,28,6,0,1,0,0,75.75087634010917
17,23,4,0,0,1,0,73.92744712499132
14,25,5,0,0,0,1,76.72408874474158
32,28,4,0,1,0,1,90.78826584629036
16,24,4,1,0,0,1,77.44726712419222
12,26,8,0,1,1,0,73.60021249786094
25,23,2,1,0,0,0,80.20340033666893
29,27,8,0,0,1,1,89.43343626292635
29,24,8,1,0,1,0,84.96272498119258
12,21,9,0,0,1,0,73.29330531375626
22,27,8,0,1,0,1,84.73700191004589
26,25,6,1,0,0,0,83.27043234957871
21,29,7,1,1,0,1,84.1808133152451
21,20,5,1,0,0,0,76.05221288329567
30,28,7,1,1,1,1,91.7288771099914
20,27,6,0,0,0,1,79.12644916087183
34,20,6,0,0,0,0,85.23875172347019
22,25,4,1,1,1,0,79.87831622568264
28,14,5,1,0,0,0,78.15662100340234
15,19,4,0,1,0,0,71.03271016599717
41,18,6,1,1,0,1,92.16338478920642
36,26,3,0,1,0,0,89.78185679096343
23,24,7,1,0,0,0,79.74697121099008
23,29,9,0,1,0,1,85.84850386260317
14,23,4,1,0,1,0,73.22657599435762
8,20,3,1,0,1,0,67.20722442287864
15,25,7,1,1,1,0,77.07414046824593
19,22,8,1,0,0,0,76.25192776454494
18,15,7,1,1,1,0,74.82862183907588
22,20,6,1,0,0,0,76.82369152505308
4,20,3,1,1,1,1,65.75583062636264
33,23,3,1,1,1,1,89.29299815398223
14,30,4,1,0,1,0,75.30813598187322
3,21,5,1,0,1,0,64.68623271618969
19,30,4,0,1,0,1,81.08408336445265
29,23,2,0,0,1,1,84.9866440599698
24,24,2,0,0,1,1,82.72461591978205
5,25,6,0,1,0,0,68.81441618560395
13,27,6,0,1,0,1,77.31121074187614
25,24,7,1,0,0,0,81.09405148596046
21,19,7,1,0,1,0,76.69704660068865
25,29,6,1,0,0,0,82.74097895688561
25,24,6,1,1,0,1,82.09724185490782
13,26,2,1,1,0,0,71.24245716603292
39,22,7,0,0,0,1,93.69622282569618
45,25,7,0,0,0,1,97.8117674444786
22,23,8,1,1,1,1,83.55213930919547
25,23,3,0,1,0,1,82.59901143462264
37,21,7,0,0,0,1,90.91551164263892
13,26,4,0,0,0,0,72.22269507188714
28,22,7,0,0,1,1,86.27628725967732
18,25,2,0,1,0,1,77.31704054422778
14,19,4,1,1,0,0,69.39557231173926
-3,24,7,1,1,0,0,60.79304013717427
30,22,6,1,0,1,0,86.53592972414768
12,19,8,1,1,1,1,75.38990694146726
17,18,6,1,0,1,1,74.74018495020286
12,24,9,0,1,1,1,77.8102653274476
35,19,4,0,0,1,1,88.58592590611636
32,22,2,0,0,1,0,84.11368248426562
9,23,3,0,0,0,1,70.93997112262622
28,26,8,1,0,1,1,90.13758688778348
29,26,7,1,0,0,0,84.04594700954382
39,21,3,1,1,0,1,92.35233944587226
9,24,4,0,0,1,1,71.43933110835374
42,21,5,0,0,1,1,93.31932698783312
22,30,9,0,1,1,0,84.78113769713475
20,21,5,0,1,1,1,78.94335936636966
29,25,5,1,0,0,1,86.0459701188283
15,23,4,1,1,0,0,73.16380286516541
28,18,6,1,1,1,1,84.2346712757746
41,21,8,0,0,1,0,93.5967609762075
21,25,5,1,0,1,0,79.76558620809573
39,31,9,0,0,1,0,95.5526628189471
33,31,7,0,1,1,0,91.15578096674447
22,16,4,0,0,1,1,78.1403884868626
17,28,5,1,1,1,0,77.9579883726614
45,21,6,0,1,0,0,94.17710888238422
43,19,2,0,0,0,0,89.62780276037195
30,24,4,1,0,0,1,86.21918505322978
23,26,8,1,0,0,1,83.33255035313867
18,24,4,0,1,0,0,74.98942100052028
15,26,4,1,0,1,1,77.10037577373721
29,26,7,0,1,0,1,87.87518926665545
23,24,7,1,1,0,0,81.6223366166081
26,24,0,1,1,1,1,84.30041136261674
35,18,5,0,0,1,1,87.68870638304874
-1,28,0,1,1,0,0,63.45486901848376
28,23,5,0,1,1,0,84.23614659285428
33,27,10,1,0,1,0,89.99909442146668
25,21,6,0,1,1,1,83.67869825012012
37,24,5,0,1,0,1,94.24341736473238
19,23,3,0,0,0,1,74.84996854897841
21,34,5,1,1,1,1,85.2500444943871
32,31,4,1,1,1,1,92.94796106535928
27,23,2,0,0,0,0,80.8172920992796
27,22,2,0,0,0,1,82.4809574550741
45,26,3,1,0,0,1,98.45458890070044
30,22,7,0,0,1,1,88.67004235813835
21,18,5,0,1,0,1,77.91119656687039
15,30,5,0,0,1,0,78.58990698562282
30,27,7,1,0,0,1,87.76299889687488
23,24,4,0,1,1,0,79.46485725804328
12,18,8,0,0,0,0,69.54854869749597
26,22,4,1,0,0,0,78.82493738535193
30,19,5,1,0,1,1,86.63762178691955
50,27,3,0,0,0,0,99.5801057622422
27,24,6,1,1,0,0,81.15259562139006
15,17,6,1,1,0,0,70.89296207945848
17,20,5,0,0,1,0,75.02579824565467
36,27,8,1,0,0,1,94.55766361632617
22,21,2,0,1,1,0,75.68411383917197
42,19,7,1,1,1,1,93.32160975725212
25,21,8,1,0,0,0,81.71191557460202
20,28,5,0,0,0,0,79.38127885858269
21,20,9,0,0,0,0,78.24335472476427
23,22,6,0,1,1,0,77.71835684823559
18,18,7,0,1,1,1,77.89478511564491
37,22,5,1,0,0,1,90.483727411469
28,27,6,0,0,0,0,84.76330037270138
6,30,7,1,0,0,0,72.99491093785679
35,20,5,0,1,0,0,86.2447739050003
3,17,11,0,1,1,0,64.74840735711588
3,20,4,1,1,1,0,63.13970093560216
33,28,9,1,0,0,0,90.3636171077152
38,26,5,1,1,0,0,91.29095373307634
34,27,7,0,1,0,0,90.12195805496336
9,27,2,0,0,1,0,72.1188234130288
15,19,5,0,0,1,0,70.82488682145625
27,19,10,1,1,1,1,84.236354061484
30,22,8,0,1,1,1,87.678738882061
19,24,6,1,0,1,1,81.36556610827647
17,17,7,0,0,1,1,76.1799738661047
21,22,1,1,1,0,0,76.39638575135274
43,20,7,0,1,0,0,91.31702962906662
28,22,5,1,0,0,1,86.34720803467215
25,24,7,1,1,0,0,82.37182345614386
13,26,5,1,0,0,1,74.78229595255532
27,27,5,1,0,0,0,85.32244758174376
34,31,6,1,0,1,0,92.45933503305876
22,23,0,1,0,1,1,81.43638102302236
22,21,6,0,0,1,1,81.57025992177762
23,25,11,0,1,0,0,82.45543585604388
23,24,4,0,1,0,1,80.60834862927834
25,19,7,0,0,1,0,79.50539655254954
52,26,2,1,0,1,0,101.76973183775422
31,21,2,0,0,0,0,83.39108469942154
41,22,5,0,0,1,0,91.12055251226109
42,21,10,0,1,0,0,93.40880545899672
11,29,6,1,0,1,0,75.13130951734293
25,29,7,1,0,1,0,85.01545548051995
23,19,6,1,1,0,1,80.61592031053182
40,18,2,1,0,0,1,91.281148737783
33,22,6,1,0,0,1,90.2336450697549
31,25,2,0,0,0,0,84.82885298052535
8,34,5,1,0,0,0,72.98227015935484
26,21,6,0,0,0,0,80.01502165796721
34,24,1,1,0,0,0,85.18900963338137
29,28,4,0,0,0,1,87.57258357461893
17,24,6,0,0,0,1,76.51597317691402
37,29,2,1,0,0,0,91.04069493626976
6,19,8,0,0,0,0,65.53990955359194
11,19,1,0,1,1,1,71.73151075103044
12,27,6,0,1,1,0,73.85259323031359
32,26,1,0,0,1,1,90.0470298035444
21,22,5,0,1,1,0,77.2535689461732
5,23,5,0,0,0,1,69.05077862783118
24,22,4,1,1,0,1,82.18454790840102
5,20,8,1,0,1,0,65.63529072644566
23,26,6,0,0,0,0,81.63660590372812
26,19,5,1,1,1,1,82.90981871982585
42,26,5,0,0,1,0,93.28161819271712
30,22,7,1,1,0,1,85.85711208734728
26,24,7,1,1,1,1,85.77510914890227
21,16,4,1,1,0,1,75.87324846059062
25,27,4,0,1,0,1,84.96742753873656
20,24,1,0,1,0,1,78.21877182233924
47,25,10,1,1,0,1,103.20778927915605
9,20,8,0,0,1,0,69.45069324507885
31,25,4,0,0,0,1,88.26879163339032
24,21,7,0,1,0,0,79.26930558210425
29,27,7,1,1,0,0,85.62548364870372
36,20,8,0,1,1,1,89.9467858476958
21,21,5,0,0,0,0,75.86162628924183
34,26,10,0,1,0,0,90.22254509823496
21,26,6,1,1,1,1,82.01296061838683
6,22,3,1,0,0,1,67.89509632919517
13,21,4,0,0,0,0,69.9684699121185
22,27,5,1,1,1,1,82.84925181447312
19,33,9,0,0,0,0,81.32343525171572
30,19,6,0,0,1,1,84.57954044361004
37,18,8,0,0,0,1,89.71194888610717
37,22,8,0,1,0,0,89.6345398390024
7,28,6,0,1,1,1,73.16900938255027
22,19,3,0,0,0,0,74.86262185566049
27,19,5,1,1,0,0,80.43567268256405
24,20,7,0,1,1,0,80.47962667807732
28,21,5,0,0,0,0,82.12548900799202
24,25,5,0,1,0,1,80.96464206123265
37,28,8,0,1,0,0,92.23737842114828
32,21,4,0,1,1,1,88.52666429974515
26,21,5,0,1,0,0,78.97509238420228
22,21,4,0,1,0,1,78.9253773360566
27,25,9,1,1,0,1,87.76666177491552
31,34,8,0,1,0,0,90.1264219608636
21,27,6,0,1,0,0,79.59294726565882
30,24,2,0,0,0,1,85.81461761722538
27,24,3,0,0,0,1,82.67242269641869
15,20,7,1,0,0,0,70.72932272917866
36,24,6,1,0,0,0,88.31531834023087
33,21,5,0,1,0,1,87.17567038293267
21,25,3,0,1,0,0,77.97513196043546
24,28,8,1,1,0,1,84.54229087248207
19,19,5,0,1,0,1,73.28193185749075
26,30,3,1,0,1,1,88.76997119262641
14,21,8,1,1,0,1,77.22529246876749
28,23,5,0,0,1,0,81.88910489123096
24,23,3,0,1,1,0,78.7404619246601
22,22,3,0,0,0,0,75.65854452250895
23,26,10,1,0,0,0,81.3798507448103
12,26,5,1,0,1,0,73.71849203618206
21,23,5,1,0,0,0,78.53878407702412
16,23,2,0,1,1,1,77.2223232210524
23,16,4,1,0,0,0,74.79428489634662
4,21,4,0,0,1,0,64.18831051572556
26,26,8,0,0,0,0,85.4830038823296
39,21,6,0,1,0,0,87.71325187192343
5,29,4,1,1,1,1,69.71004276148584
19,20,6,0,0,0,1,76.69341406565799
23,23,11,1,1,1,0,81.58932056119843
25,25,4,0,0,1,1,82.80240666383237
34,20,5,0,0,0,1,86.43226590927857
16,23,2,0,0,0,1,76.27696036412154
36,24,4,1,0,0,0,87.5769255263254
18,21,3,1,0,0,1,75.23255867971976
43,18,7,1,1,1,0,93.59854432789685
34,27,8,0,0,0,0,89.18039527504466
23,16,8,1,0,1,0,76.78788053411928
35,27,8,0,1,0,1,92.6206717167839
9,27,4,0,0,1,0,72.9054380956866
25,28,7,0,0,1,0,82.468252720425
62,21,5,0,1,0,0,107.31325169519953
42,27,7,0,0,0,1,96.17264273403582
22,30,5,0,1,0,0,80.58123207931995
37,25,8,1,0,0,1,93.32651027973525
34,24,9,1,1,0,0,88.57082894236551
18,32,4,0,0,1,1,82.13868744296687
15,33,7,1,0,1,0,79.51732979833875
28,26,4,1,0,0,1,86.81363287974028
50,29,7,0,0,0,0,102.27804098929585
23,27,6,1,1,0,1,85.0234563216672
21,29,6,0,1,0,1,81.35462630464836
22,29,4,0,0,1,1,82.85388226883926
29,28,4,0,0,1,0,89.46618293886101
22,27,5,0,0,1,0,81.55696761831274
28,21,5,0,0,0,1,83.20698364291688
3,25,5,0,0,0,0,65.47340880104153
19,22,5,0,0,1,1,77.21249587002113
27,32,0,0,0,1,1,89.12136700145324
30,24,6,0,0,0,0,84.3214627881639
3,25,7,1,0,1,1,69.03551158512236
22,29,4,1,0,0,0,79.43070864622428
46,29,9,0,0,0,1,101.8057815307807
33,19,3,1,1,0,0,83.64066696057324
20,25,5,0,1,0,0,78.76405304718504
24,26,4,0,0,1,1,84.90509294238748
18,34,4,1,1,0,0,79.55722483828816
51,16,3,0,0,0,1,96.45051953369126
49,26,9,0,0,1,0,101.7579326791982
36,24,5,1,0,0,1,91.55739541049655
59,31,4,0,1,1,1,110.46532063923472
37,24,6,1,0,1,1,92.9201131994748
45,28,2,0,0,0,1,98.9337592002916
22,27,7,0,0,0,1,82.92694238079581
21,27,2,1,0,1,1,82.697253338192
27,22,5,0,0,1,1,82.88222197523747
33,24,6,1,0,1,1,88.83355564589836
43,21,5,0,0,0,0,92.56610284692572
28,26,7,0,1,1,0,85.96474400259561
19,12,6,1,0,0,0,71.11528189478352
30,19,7,1,0,0,0,81.66729904686846
16,25,7,1,1,0,1,78.46711265282315
18,26,5,0,0,0,0,77.87358783932414
30,23,5,1,1,0,1,86.21650245355123
16,27,8,1,0,0,0,77.22163538305996
20,24,5,1,1,0,1,81.99612351879422
17,25,7,1,1,1,0,77.69743879907097
26,20,2,0,0,1,0,78.64307188403025
14,29,5,1,0,0,0,76.55495793864473
41,25,7,0,1,0,1,95.34295457045006
37,27,8,0,0,0,0,92.88921320176172
46,24,3,1,1,1,1,97.4795192423656
24,23,9,0,0,1,1,83.38276832561407
20,27,6,0,0,0,1,80.34714187188534
10,18,6,1,0,1,0,68.76558916957869
20,19,7,1,1,0,1,77.82503539402059
16,27,3,0,1,1,0,76.33289089298214
26,19,7,1,0,0,1,79.84747589909385
13,20,4,0,0,1,0,68.3430547268058
22,25,3,0,0,0,1,81.03886517095206
18,28,6,1,0,1,0,77.50983364456452
40,21,9,1,1,1,0,92.90107708008703
2,21,5,0,1,0,1,65.21847346625225
28,23,7,0,0,0,0,82.51677235345923
8,25,5,0,0,1,0,68.66555198265571
21,17,3,1,0,1,0,75.32750114123095
19,20,7,1,0,0,1,78.22598829279596
14,23,1,0,0,0,1,72.95320037370945
37,26,11,1,0,0,1,95.41748857944454
14,23,3,0,0,1,0,72.23150445790492
7,22,4,1,1,0,0,68.48929408051625
14,18,2,1,0,0,1,73.32418389542859
27,18,6,1,0,0,0,79.23145663122395
16,30,8,1,1,0,0,76.10867407160382
24,25,5,0,0,0,0,80.18530535029284
24,25,6,1,1,0,1,83.71544242277629
30,25,5,0,0,1,1,87.2921832686918
32,33,3,0,1,0,1,94.11996357343708
12,20,9,1,1,0,0,71.27171551872566
24,21,4,0,0,0,1,80.8465388167059
37,23,3,0,1,0,1,90.26429173596968
6,21,6,0,0,0,1,67.71832125844128
23,26,4,0,1,0,0,80.9047960859819
26,24,6,1,0,0,0,81.88034578970894
11,12,4,0,0,0,1,67.46103371532969
22,26,4,1,0,1,1,81.54042699443184
23,24,3,0,0,0,0,79.05634826263531
30,23,10,1,1,1,1,90.0059583746624
32,15,5,0,0,1,1,85.32412944824512
40,26,3,0,1,0,1,95.35083677115988
10,30,5,1,1,1,0,73.58839335252713
11,26,7,0,1,1,0,72.71143697665781
30,26,7,0,1,1,0,88.90878721324161
18,28,4,1,0,0,1,80.26053215949908
21,27,7,1,1,1,0,82.24051751209919
22,20,4,1,0,0,0,76.84494175645389
-2,24,7,0,1,0,1,62.92450094200312
4,29,5,0,0,1,1,71.63804535822693
44,24,6,0,0,0,0,94.5697254885472
28,31,6,0,0,0,1,88.26592318794857
25,23,4,1,0,1,0,80.71152082755452
46,19,5,1,0,0,1,96.13511093178909
33,30,5,0,0,0,0,88.78923215266065
20,18,4,1,1,0,1,76.25629967438913
22,18,6,1,1,0,1,77.07016957437463
38,30,5,0,0,0,0,93.88659094226269
12,23,6,1,1,0,0,70.41916986048888
26,19,4,0,0,1,0,80.03520959523834
55,23,6,0,1,1,1,105.89215477352188
20,22,5,1,0,0,0,75.56279884910327
27,19,7,0,1,0,1,82.02721760559115
19,27,5,0,0,1,1,80.72623308037022
18,31,8,1,1,0,0,80.54497485799192
20,16,2,0,1,0,1,73.2119543264736
17,16,6,1,0,0,0,70.86241386400123
9,28,7,1,0,0,1,75.25540300860573
27,28,5,0,0,0,0,85.4320546266638
19,21,5,0,1,0,0,75.00215233133679
31,23,5,1,1,0,1,87.53054421951316
19,23,6,0,1,1,1,81.2868444773495
