unit_id,post_intervention_period,microloan_policy,business_growth_rate,household_income,job_experience_years,rural_residence,previous_loan_status
190,0,1,45.69317188524186,2,8,1,0
191,0,0,47.66429532860244,3,3,1,0
192,0,0,45.99284757711802,2,7,0,0
193,0,0,45.617581498019625,4,5,1,1
194,0,0,44.65785964596984,4,8,0,0
195,0,1,47.14491420237863,5,8,0,0
196,0,0,43.84094921332675,2,8,1,0
197,0,0,45.50176057210068,2,7,0,0
198,0,1,48.908511506144144,2,7,1,1
199,0,0,46.385922860054976,4,7,0,0
200,0,1,49.12819601957086,3,6,0,1
201,0,1,48.21927809746976,3,7,0,0
202,0,0,43.295853035416826,2,7,0,1
203,0,0,45.59444269942549,4,10,0,0
204,0,1,47.263535717430216,3,4,0,1
205,0,0,47.33353155525594,4,8,1,0
206,0,0,46.757888412328064,3,5,1,0
207,0,0,46.28828844190027,1,4,0,0
208,0,1,47.59298459680696,3,10,0,0
209,0,1,47.054935223244925,4,7,1,1
210,0,1,46.82852935475094,2,6,1,1
211,0,0,44.75652065900103,3,5,0,1
212,0,1,48.88295307356755,2,5,0,0
213,0,0,45.01098066309341,1,6,0,0
214,0,1,48.17980740779202,2,8,1,0
215,0,1,46.75356768448272,4,5,0,0
216,0,1,47.44366724207852,2,5,0,0
217,0,0,46.12867178463608,4,4,0,0
218,0,0,47.49604689261561,2,6,1,0
219,0,0,46.91449147920273,4,6,0,0
220,0,1,47.70737781938677,2,5,0,1
221,0,0,44.64562372563416,0,7,1,0
222,0,0,45.84117091958923,4,9,1,0
223,0,0,46.17791770302878,5,2,1,0
224,0,0,44.877870152154735,3,6,1,1
225,0,1,46.64007068735732,3,5,1,1
226,0,0,46.12593421353985,1,8,0,1
227,0,1,48.44194285211352,2,5,0,1
228,0,0,46.02404519012642,2,5,1,1
229,0,1,48.02788771283206,2,7,1,0
230,0,0,45.95470365463531,3,6,1,1
231,0,0,46.06602751480237,3,8,0,0
232,0,1,47.57818131098636,2,7,0,1
233,0,0,45.99618359220164,2,6,0,0
234,0,1,47.55377119747934,1,4,0,0
235,0,1,46.91019844459225,3,8,0,0
236,0,0,46.774932641205424,1,4,0,1
237,0,1,48.59326351790209,3,5,1,0
238,0,0,45.53809281082516,3,10,1,1
239,0,1,48.58892476990759,3,4,0,0
240,0,0,46.11781777376899,3,7,1,0
241,0,0,45.80012611000316,2,9,0,0
242,0,0,48.5712415327108,3,4,1,0
243,0,1,46.25139849156691,3,6,1,0
244,0,1,48.094856724337006,2,5,0,0
245,0,0,44.23590145660665,2,8,0,0
246,0,0,44.85693028420344,4,5,1,1
247,0,1,46.23594832946833,2,8,1,0
248,0,1,48.14665976655732,2,5,0,1
249,0,0,47.05775238648595,2,2,0,1
250,0,0,45.31398753832732,1,6,1,0
251,0,1,45.33958255780352,2,8,1,0
252,0,1,45.61335144301331,4,8,1,1
253,0,0,44.22585951398432,3,8,1,0
254,0,0,46.85127009279791,2,4,1,1
255,0,1,46.26486049421357,2,3,1,0
256,0,1,47.26154217389748,2,5,1,0
257,0,1,47.73852621667233,3,7,1,0
258,0,0,45.43446204012462,2,8,0,1
259,0,1,45.59113433055264,1,4,1,0
260,0,0,43.814073544434585,1,9,0,0
261,0,1,47.99212176144019,2,6,0,0
262,0,1,48.096025092081405,4,8,0,0
263,0,1,46.51716840927519,3,8,0,0
264,0,0,46.37819031421046,3,6,0,0
265,0,1,46.17233826098844,1,5,1,0
266,0,0,44.27779792998956,3,5,0,1
267,0,0,47.0076087660747,2,6,1,0
268,0,1,45.40500680104519,3,8,0,1
269,0,1,46.65818392119933,3,7,0,0
270,0,1,46.98008388590792,3,7,1,0
271,0,0,46.262084985204304,3,6,1,0
272,0,0,45.66120947392013,3,7,0,0
273,0,0,46.21823129682575,2,8,0,1
274,0,1,46.83196636213982,3,5,0,1
275,0,0,48.25944182423649,1,5,0,0
276,0,0,43.6710926794302,2,10,0,0
277,0,1,46.67859473045036,2,5,0,1
278,0,1,47.97860058315888,1,5,0,0
279,0,1,47.824754663310095,2,8,0,0
280,0,1,46.67810258164164,3,8,1,0
281,0,0,45.93973065637565,3,8,0,0
282,0,1,50.45809034491974,3,6,1,0
283,0,0,44.07395318568076,2,7,0,0
284,0,0,44.5834859544958,2,7,1,1
285,0,1,47.40185594069263,4,7,1,1
286,0,1,46.06014611593518,2,9,1,1
287,0,1,48.62619383750577,3,4,0,1
288,0,1,48.33147562550679,3,7,0,0
289,0,0,45.47479484939394,2,8,0,1
290,0,0,43.87210373880625,3,8,0,0
291,0,1,47.239912750948406,2,8,0,1
292,0,0,46.57889062489241,4,6,0,1
293,0,1,47.18219430408145,3,8,0,0
294,0,0,46.790217692714734,3,7,0,0
295,0,1,48.103171450881696,5,6,0,1
296,0,0,47.02957919019804,5,5,0,1
297,0,0,46.167831191379136,3,6,0,0
298,0,1,48.74062524872089,3,4,0,0
299,0,1,46.79862521627629,1,7,0,1
300,0,1,48.21572039212397,2,3,1,1
301,0,0,46.50657288000748,1,7,1,0
302,0,1,46.78496607698702,3,6,0,0
303,0,0,44.52897810980836,3,8,0,0
304,0,0,46.33576142722621,2,7,1,1
305,0,0,45.46120931714567,3,4,1,0
306,0,0,44.03452762222853,3,9,1,1
307,0,0,45.82054203135965,1,7,0,0
308,0,0,45.59389094184885,2,7,1,0
309,0,1,47.86699193340961,0,4,0,1
310,0,0,43.89770166308834,4,11,0,0
311,0,0,46.48180488925891,3,8,1,1
312,0,1,47.34118169448213,4,5,1,1
313,0,1,46.36279135365985,2,9,1,1
314,0,1,46.93690506371824,3,4,0,1
315,0,1,46.94678936267374,3,8,1,0
316,0,0,46.681237749776,3,5,0,1
317,0,0,45.398876845655245,2,8,1,1
318,0,1,46.080728178354434,2,6,0,0
319,0,0,45.633526756351046,2,9,0,0
320,0,1,47.34089828588039,1,9,1,1
321,0,0,46.213804846752616,3,10,1,0
322,0,1,46.48614100669833,3,8,1,1
323,0,1,46.88473651147875,1,4,0,1
324,0,0,44.38153680663943,2,8,0,0
325,0,0,47.00563960409395,4,4,1,1
326,0,0,46.84970577204263,2,5,1,0
327,0,1,47.36605989607893,1,5,1,1
328,0,1,46.16856815345935,2,9,0,1
329,0,0,46.58868011435206,3,8,0,1
330,0,0,47.20469779307731,3,5,0,0
331,0,1,48.14154141857496,2,3,0,0
332,0,0,46.004332190439584,3,7,0,0
333,0,0,48.25780497716705,4,5,0,0
334,0,1,49.30625494190737,4,5,0,0
335,0,0,45.58615151128349,4,6,0,1
336,0,1,46.84089089514113,2,4,0,0
337,0,0,44.7210823246777,3,9,1,0
338,0,0,48.13109349089344,1,5,1,1
339,0,1,47.45006501663824,3,7,1,1
340,0,1,48.33870061391168,4,7,0,0
341,0,1,48.02499416724874,3,8,0,0
342,0,1,46.49880965479405,4,8,1,0
343,0,1,47.81909889711602,3,6,1,0
344,0,1,44.78315959057992,2,6,1,0
345,0,1,49.05104657543863,4,4,1,0
346,0,1,48.230386264716,5,3,0,0
347,0,1,46.18699305508076,3,7,1,1
348,0,0,45.290410206930645,3,10,1,0
349,0,0,44.70809716550389,3,9,0,0
350,0,1,46.158799731791554,1,5,1,1
351,0,0,45.54457525716792,3,9,1,1
352,0,1,46.92894682427541,4,7,0,0
353,0,0,46.93062475992573,1,6,1,1
354,0,1,48.40055005226175,3,5,1,1
355,0,0,45.07104823721311,4,7,0,0
356,0,0,46.69615308165009,2,5,0,1
357,0,1,47.65835562246616,4,5,0,0
358,0,0,45.699191448029154,1,5,0,1
359,0,1,47.86547422171694,1,5,0,0
360,0,0,44.89930757120245,2,9,0,0
361,0,1,46.69173937355957,3,9,0,1
362,0,1,47.51192770998034,2,6,1,0
363,0,0,44.55402645781837,2,10,1,0
364,0,1,45.63824048249861,2,8,1,0
365,0,0,44.22175278772024,1,7,0,0
366,0,0,44.76308113967912,3,8,0,0
367,0,0,48.093938021427945,3,4,1,1
368,0,0,47.198925017028735,1,7,1,0
369,0,0,48.33359815996238,2,5,0,0
370,0,0,44.9776531240356,1,8,0,0
371,0,0,46.94812276823702,4,5,0,0
372,0,0,45.65012659403164,2,7,0,0
373,0,0,45.35320036443281,2,9,0,0
374,0,0,46.51966825132047,5,9,0,0
375,0,0,45.58947512729447,1,5,0,0
376,0,1,47.58527738127474,2,6,0,0
377,0,1,47.47118169868558,4,7,0,0
378,0,0,46.12364111582232,4,5,1,1
379,0,0,45.31799585677584,2,6,0,1
380,0,0,47.47610795879985,1,6,1,1
381,0,0,46.69578912535521,4,5,0,0
382,0,0,46.5275804341202,3,6,0,1
383,0,0,44.91741291645628,3,7,1,0
384,0,0,46.029019472618856,2,5,1,1
385,0,0,45.70072452029327,1,9,0,1
386,0,1,48.21296503033102,0,4,0,0
387,0,0,45.3728312301395,3,5,1,1
388,0,1,46.32492859453937,3,6,1,0
389,0,0,44.708069483106016,3,8,0,1
390,0,1,47.44128994130876,3,5,0,1
391,0,1,48.29325448049829,2,6,1,1
392,0,0,46.94477181575522,2,9,0,0
393,0,0,47.71547398357932,4,7,0,1
394,0,0,46.22007680480628,3,5,0,0
395,0,1,47.7597140862339,1,6,0,0
396,0,1,46.62058364585751,3,9,1,1
397,0,0,46.06743849462986,4,7,0,0
398,0,0,45.449325704702574,3,4,0,1
399,0,0,46.2179368987636,3,6,1,0
400,0,1,48.54150865244449,2,5,1,0
401,0,0,44.812624122935965,2,7,1,0
402,0,1,48.97623014959704,1,6,0,0
403,0,1,47.70329002214973,3,6,1,0
404,0,1,48.03309709289653,2,8,0,0
405,0,0,47.01820374003096,3,3,0,1
406,0,1,45.128304280474005,3,10,1,0
407,0,0,45.211597819820064,5,7,1,0
408,0,0,43.76996639788462,2,8,0,1
409,0,0,47.93189196056835,2,2,0,1
410,0,0,46.32615330914907,2,8,1,0
411,0,1,49.29385707149935,2,3,0,0
412,0,1,48.29485099061969,2,5,1,1
413,0,1,48.57600478091072,3,5,1,0
414,0,1,47.43209433569784,3,9,1,0
415,0,0,46.25731326622423,2,3,1,1
416,0,0,46.00726269170996,3,4,1,1
417,0,1,48.530857707631085,4,6,0,0
418,0,1,47.12821248519112,3,10,0,1
419,0,0,44.031826560879736,3,9,0,0
420,0,1,45.66835131414611,2,9,0,1
421,0,1,48.08267096085017,3,6,1,1
422,0,1,47.86743691751823,2,3,0,1
423,0,0,45.71728226375451,2,8,0,1
424,0,0,46.87028333716362,2,9,1,0
425,0,1,46.6986136052337,2,3,1,1
426,0,0,47.25273123248759,2,5,0,1
427,0,0,46.08503379769384,2,7,0,1
428,0,1,46.99309337973717,3,5,0,0
429,0,1,49.27979108396979,4,7,0,1
430,0,0,46.85946783929229,4,5,1,0
431,0,1,48.30318886804401,1,6,1,0
432,0,0,45.53374922380868,3,8,0,0
433,0,1,45.79926665839,2,10,0,0
434,0,0,46.617875940361344,2,6,0,1
435,0,0,46.33175669342576,2,8,0,0
436,0,0,45.59840743958102,2,7,0,0
437,0,0,45.54076013633614,2,5,0,0
438,0,0,46.26910096621639,2,6,1,0
439,0,0,48.19660169839941,3,5,1,0
440,0,0,45.1388176133001,2,4,1,1
441,0,0,47.519357686142754,1,4,0,1
442,0,0,46.01831443742402,2,4,0,0
443,0,1,47.1706931922111,2,6,0,0
444,0,0,46.60562921802888,3,6,0,0
445,0,1,47.97501843328375,3,9,1,1
446,0,1,46.734046557859216,2,7,1,1
447,0,0,45.679417711009975,3,7,0,0
448,0,1,48.32828168326078,3,7,1,0
449,0,1,47.1330086923849,1,4,0,0
450,0,1,48.65235444250948,4,6,0,0
451,0,1,45.506834220912,1,3,0,0
452,0,1,46.47309126390863,2,7,0,0
453,0,0,47.36121876006473,2,5,1,0
454,0,1,46.86594721006932,1,6,1,0
455,0,1,47.42580177403927,3,7,0,0
456,0,0,47.06496783416348,2,8,0,1
457,0,0,45.21801225340296,3,6,1,1
458,0,0,48.135492201990125,3,5,0,0
459,0,1,47.418743444995,2,7,1,0
460,0,0,46.654520956932025,3,5,0,0
461,0,0,44.86857146906791,1,10,0,0
462,0,0,45.424210333669045,2,6,0,1
463,0,0,46.56308356449402,2,4,1,0
464,0,1,48.12842825414858,3,4,0,0
465,0,0,47.3362565818008,5,6,1,0
466,0,1,44.4503745892197,2,9,1,0
467,0,1,46.652252996376994,3,7,0,1
468,0,1,46.39131718719808,2,6,1,1
469,0,1,48.44915102453052,3,7,0,0
470,0,1,44.70310718429016,2,7,0,0
471,0,0,45.126373505017895,2,4,0,0
472,0,1,47.36040760863834,4,8,0,0
473,0,0,45.31022916147886,3,8,0,0
474,0,0,47.5277973060667,4,3,1,0
475,0,1,47.760325230428975,3,6,0,1
476,0,0,45.58643845623785,1,8,0,1
477,0,0,45.2603394413517,4,8,0,0
478,0,1,47.528804119296005,1,4,0,0
479,0,1,45.90811253793016,3,8,1,0
480,0,0,46.72518110573827,2,9,0,0
481,0,0,46.82067828266509,4,7,0,0
482,0,0,44.73749732940525,2,7,0,0
483,0,0,46.29703233646512,2,6,0,0
484,0,0,46.028361368056544,4,4,0,0
485,0,0,47.14776415165551,4,2,0,1
486,0,0,44.844047656169,2,5,1,0
487,0,1,46.4822872489847,1,7,1,0
488,0,0,44.48006513944565,2,7,0,0
489,0,0,44.14880389470164,1,6,0,0
490,0,0,45.463088662440384,3,7,1,0
491,0,1,45.46364999686018,4,6,1,1
492,0,0,46.65227035358502,3,9,0,0
493,0,1,45.70990258521851,2,5,0,0
494,0,1,45.13571598375992,3,6,0,0
495,0,1,48.88546619768075,4,4,0,0
496,0,1,45.85533616903799,3,7,1,1
497,0,1,46.40489537508329,4,8,0,0
498,0,1,46.911833228826296,2,7,1,1
499,0,0,45.8716147806087,1,7,0,1
500,0,0,45.24341904560753,3,8,1,1
501,0,1,46.28216665141769,1,4,0,0
502,0,1,47.26997942536534,4,5,1,0
503,0,1,47.18134508122886,2,6,1,0
504,0,1,48.58220620144842,3,6,0,1
505,0,0,46.043133529185056,3,6,0,0
506,0,0,44.19906244478548,3,8,0,0
507,0,0,46.2419145971077,2,5,1,1
508,0,0,45.17060938880288,3,6,0,1
509,0,0,45.1343606159145,2,7,1,0
510,0,1,47.12051631676239,3,9,0,1
511,0,1,46.03286166475162,4,9,1,0
512,0,0,43.88709522775617,2,8,0,1
513,0,0,47.03305679807504,3,9,0,1
514,0,0,46.370623789775536,4,10,0,1
515,0,0,46.08996811843683,4,10,0,0
516,0,0,42.84492684455754,1,10,1,1
517,0,0,46.8075800867992,3,5,0,1
518,0,1,50.04930067677151,2,6,0,1
519,0,0,46.022092380656126,2,7,1,0
520,0,1,46.911767842187736,1,5,1,0
521,0,1,43.87104693486136,1,10,0,1
522,0,1,46.86410042409255,1,4,0,1
523,0,0,44.66885655958993,2,8,0,0
524,0,1,47.34426351299077,3,8,0,1
525,0,1,49.80788267670151,3,7,1,1
526,0,1,47.76270876788827,2,6,1,1
527,0,1,47.458410984953446,4,11,0,0
528,0,1,46.424833140385374,2,8,0,1
529,0,1,45.5011051837502,3,6,0,0
530,0,0,47.2400415323363,2,8,1,1
531,0,0,47.18245804669135,1,5,1,1
532,0,1,45.55639486820445,4,9,1,0
533,0,0,44.97688008284585,2,6,0,1
534,0,0,47.05284286964657,4,6,0,0
535,0,1,45.91653297990413,2,7,0,0
536,0,0,46.66444235871517,5,8,1,0
537,0,1,46.61031223414115,1,7,0,1
538,0,0,45.84420413454792,4,9,1,1
539,0,0,44.31352422175271,1,7,0,0
540,0,0,46.15311912819057,4,5,0,0
541,0,1,48.87677520081158,3,7,0,1
542,0,0,44.13679275697823,3,9,0,0
543,0,0,44.73812892198975,2,7,0,1
544,0,1,46.47016424051196,3,9,1,0
545,0,1,47.91181216922376,0,5,0,1
546,0,1,46.98535225732409,2,8,0,0
547,0,1,45.23005671392055,2,10,1,0
548,0,1,46.99270119743151,4,8,0,1
549,0,1,48.6912433190089,3,4,0,0
550,0,1,46.44384531255407,4,6,0,1
551,0,0,46.30878446635042,2,5,0,0
552,0,1,47.08950658352072,2,7,1,0
553,0,1,47.6859889331857,2,8,0,0
554,0,1,45.979961645759126,2,5,1,1
555,0,0,45.60382455688426,3,7,0,0
556,0,1,49.40456979636483,2,5,1,0
557,0,0,47.44916986847936,2,6,1,1
558,0,0,46.57798850634365,1,7,0,1
559,0,1,47.95028881938841,3,4,1,1
560,0,1,46.23512373088272,3,6,1,0
561,0,1,46.67626754757289,4,7,0,0
562,0,1,48.169974000328175,3,6,0,1
563,0,1,46.98875001842996,3,7,1,1
564,0,1,48.763547930399135,4,5,1,0
565,0,0,44.80198368283492,3,8,1,1
566,0,0,44.71880129138116,2,7,0,1
567,0,1,48.65434558824607,5,7,0,0
568,0,0,47.97164333488904,3,7,1,0
569,0,0,46.25109907627363,3,7,0,1
570,0,0,46.45131861376414,3,4,0,0
571,0,1,48.043508489673975,1,6,1,0
572,0,0,44.62814385648182,2,6,1,0
573,0,0,46.73998452561212,4,6,0,0
574,0,0,45.32641608332288,1,9,1,0
575,0,0,48.13729576348536,0,7,0,0
576,0,0,44.23914552578076,1,9,0,0
577,0,0,44.9673722541476,4,7,1,1
578,0,0,45.08894501020164,2,7,0,1
579,0,1,48.698003293623685,2,7,0,0
580,0,0,46.66776316942551,2,8,0,0
581,0,0,45.29519841249401,2,7,0,1
582,0,1,47.18936530360412,2,6,1,0
583,0,0,45.32975690782001,4,9,0,0
584,0,1,46.35532671588923,4,5,0,1
585,0,0,45.73070526243637,1,7,0,0
586,0,0,46.08221507949645,2,6,1,0
587,0,0,47.05487702314458,3,6,1,0
588,0,0,45.68070179956248,3,7,1,0
589,0,1,46.80319635824981,3,9,1,0
590,0,1,48.11170635966614,2,5,0,1
591,0,1,46.29304712183269,2,7,0,0
592,0,0,45.25227044393765,2,7,0,1
593,0,0,47.47874682044875,3,8,0,0
594,0,1,48.62790888624367,2,5,1,0
595,0,1,47.895745816553706,3,6,0,0
596,0,0,46.20545481428012,1,7,0,1
597,0,1,45.59985327475157,2,8,1,0
598,0,1,48.02592936379608,3,5,1,0
599,0,1,48.39537415884146,3,3,1,0
600,0,0,46.26510671596127,4,7,1,1
601,0,1,46.573703756458976,3,6,0,1
602,0,0,44.203816744754086,4,10,1,0
603,0,0,45.790861143062855,3,4,0,1
604,0,1,49.755675492827976,4,6,0,0
605,0,0,45.37688941763719,2,6,1,0
606,0,1,46.06612220462439,4,9,1,0
607,0,1,47.2544552245777,2,6,0,0
608,0,0,46.021542657712985,2,5,1,0
609,0,0,45.53682983231384,2,5,1,0
610,0,0,46.25437917020995,4,6,1,1
611,0,0,44.95732871904999,4,8,0,1
612,0,0,46.552741777533214,2,7,1,0
613,0,0,47.115669854773365,1,7,0,0
614,0,0,47.86840178256687,3,8,0,0
615,0,0,45.72018915143306,3,7,0,0
616,0,1,47.14795615086064,1,6,1,1
617,0,1,48.51957324705893,3,6,0,0
618,0,1,48.11893772531154,3,7,1,1
619,0,0,44.94928012486664,5,5,1,1
620,0,0,44.14356061158304,3,9,0,1
621,0,0,45.37946910846881,1,6,0,0
622,0,1,48.97761692995159,3,5,1,0
623,0,1,46.80358563559583,4,6,0,0
624,0,0,46.298473205144624,3,6,0,0
625,0,0,45.447634086577445,3,5,0,0
626,0,0,45.8998241534887,2,9,0,0
627,0,1,47.233757596669975,2,4,1,0
628,0,0,45.4752511216962,3,7,0,1
629,0,1,46.73387677475165,2,6,0,1
630,0,0,45.15880583457532,4,7,0,1
631,0,1,47.41733441839343,2,7,0,0
