age,education_years,gender,minority_status,rural_area,local_unemployment_rate,job_training_hours,annual_income
11,28,0,1,0,13,48,173.89114129216696
10,28,0,0,0,9,43,157.78538008631384
7,28,0,1,1,13,44,162.8299150056153
12,28,0,0,0,7,47,167.75185198638667
14,30,1,0,0,11,50,179.6127926796765
3,33,1,0,0,10,40,156.64587213744147
7,31,0,1,0,7,41,154.74330890200204
15,29,0,0,1,8,49,171.53101533801566
10,28,0,0,0,8,43,157.43125356474405
10,30,0,1,0,11,48,178.0489614038301
12,21,0,0,0,8,42,152.63534020362297
7,32,0,1,0,11,43,158.11429576203247
3,25,0,0,0,7,38,149.3009596573291
12,28,0,0,1,8,45,162.47141544049694
13,31,0,0,0,8,50,179.25990390939694
12,31,0,1,0,9,45,162.1596828922184
8,32,0,0,0,7,42,156.63728588917968
8,27,0,0,1,9,45,167.03352287060503
9,26,0,0,1,9,42,154.45877892516398
13,26,0,0,0,11,51,182.54132923784448
12,28,0,0,1,10,45,161.98581403824653
8,30,0,0,0,11,44,163.3494830283822
8,29,1,0,0,10,42,156.48571792754572
5,30,0,0,0,10,42,156.30046625305613
15,29,0,0,0,9,49,171.8218703377222
6,31,0,0,0,10,43,162.5287011046246
6,32,0,0,0,11,45,167.7535697137288
12,26,0,0,0,8,44,160.45097952784332
12,29,0,1,0,9,46,168.30172565357407
8,30,0,0,0,6,41,154.10932124688466
10,31,1,0,0,10,43,156.83219458564426
11,31,0,0,1,10,44,160.06398009038847
14,29,0,0,1,9,47,166.04934539409672
6,30,1,0,1,8,45,170.2228099548288
14,29,1,1,0,9,47,167.6259080950441
10,29,0,0,1,10,45,163.5290685072376
12,24,0,1,0,11,45,161.15917996219858
10,29,1,0,1,9,45,163.75058915540595
13,33,1,1,0,7,45,163.48322808959463
9,27,0,0,0,11,45,164.9804727915106
8,32,0,1,0,8,43,161.2660698580013
8,32,1,0,0,8,44,164.9299603427807
8,29,0,1,1,6,42,157.34074244333544
7,29,1,1,1,7,42,159.9092285420429
12,30,0,1,0,9,44,160.89764999524724
7,32,0,0,0,10,43,157.9023757474613
7,25,1,0,0,13,42,158.7263713960164
9,27,1,0,0,7,44,167.46456215612142
11,32,0,1,1,10,46,165.7037260696601
11,33,1,1,0,9,44,160.75741813395214
9,32,1,0,1,11,48,174.0543599272433
9,27,0,0,0,9,42,156.4510054424853
10,28,1,1,0,11,46,168.41926146920355
11,29,0,1,1,9,48,175.11378008379924
15,29,0,1,1,14,53,184.83881720259384
6,31,0,0,0,8,41,157.6684462215241
8,28,0,0,0,10,43,160.49116441716544
7,30,0,0,0,11,45,167.37802280918933
6,28,0,0,0,9,41,154.9826340815154
12,32,0,1,0,11,47,167.98191463919014
12,27,0,1,1,10,45,164.4813555552986
15,28,0,0,0,7,48,167.8286208597879
7,32,0,1,0,10,45,168.64933287602472
10,29,1,0,1,9,45,164.71895163447212
8,28,0,0,1,8,46,170.44237501122453
10,31,0,1,0,8,43,157.39014920694612
7,31,0,0,1,9,46,171.0788614037777
13,28,0,0,1,9,44,157.95901504630086
9,27,0,0,0,7,43,160.39455174181012
11,24,1,0,0,7,42,156.71693561220883
9,28,1,0,0,9,43,158.80312678936167
9,27,1,0,0,9,44,164.02386768828893
11,32,0,0,1,9,49,177.09176908806074
11,29,1,1,0,11,47,172.49675543151045
11,32,0,0,1,10,47,169.12860518387714
13,32,0,1,1,8,47,168.13424934420414
11,27,0,0,1,11,47,168.41141486745607
4,34,0,1,0,11,41,156.19248371750518
9,30,0,1,1,13,46,168.17630609873734
11,29,1,0,0,11,46,167.7640385125649
14,30,1,1,0,8,47,169.59979014997444
11,30,0,0,0,9,50,178.23654682726902
8,29,0,0,1,12,45,164.56287994377186
6,29,0,0,1,8,43,160.5799674078505
13,30,0,1,1,10,50,176.20270682505142
13,32,0,0,0,9,47,166.7099861710431
8,29,1,0,0,10,41,151.77836016941228
12,32,0,1,0,9,45,162.8242080436146
6,27,0,1,0,9,40,152.60623163647864
10,28,0,0,0,9,41,151.74781082404883
13,28,1,0,1,9,46,167.97677944946008
12,30,0,0,1,10,48,171.24536470818498
10,33,0,1,1,10,47,169.07696622106968
11,31,1,0,1,10,46,166.90754383407037
10,28,0,0,1,9,45,165.49066270750407
12,27,1,0,0,10,45,162.25828841167154
6,30,0,0,0,14,43,155.8988548295964
11,26,0,1,1,8,45,163.09461088719044
8,27,0,0,0,5,42,158.97048014940788
8,30,0,1,1,10,45,163.5195691376494
11,33,0,0,0,8,44,159.79359332974573
4,30,0,0,0,11,41,158.16373554784738
11,29,0,0,0,11,47,168.1880689244161
7,33,1,1,0,10,44,163.92595252521144
10,29,1,1,0,10,45,163.67580575224147
5,30,1,0,0,11,46,173.08048894557282
8,27,1,1,0,9,44,163.86063651871356
9,29,0,0,1,9,43,159.3244228569205
5,32,0,1,0,11,42,157.60701468623105
16,27,0,0,0,14,50,174.2295777430667
9,31,0,0,1,10,42,153.37436138703595
12,29,0,0,0,10,45,162.8596746155875
7,31,1,1,0,9,42,159.37197395207673
10,30,1,0,0,7,44,162.48733307737726
4,31,0,0,0,10,41,157.4182142146659
8,32,1,1,0,7,39,148.58127281132792
8,29,1,0,1,7,43,160.86131045912313
8,27,1,0,1,10,44,166.0148308924897
10,32,1,0,0,11,46,166.03296899987626
6,30,1,1,0,8,40,156.03691288072093
7,30,1,1,0,8,40,152.95591513612922
9,29,1,1,0,7,44,166.72384150882922
8,29,0,0,0,10,45,166.85540251537506
14,26,0,0,0,12,48,167.64348141451478
7,30,0,0,1,7,42,158.81119667150165
7,30,0,0,0,10,42,158.95495881209416
11,30,1,0,0,9,44,161.76071739746152
9,27,0,0,0,13,47,171.59024332496514
6,28,1,1,0,10,40,149.6027552968526
8,25,0,0,0,13,43,157.7146473103053
14,33,1,0,0,12,48,168.15278403443298
6,31,0,0,0,9,44,164.62011674403416
11,28,0,0,0,15,48,169.18679767083535
8,37,1,1,0,9,43,159.6633771709417
10,27,0,0,1,10,46,168.52522993842453
9,32,1,0,0,12,46,169.9067578487529
10,29,0,1,0,12,43,157.67154254686594
15,31,0,0,1,13,53,182.3323549346856
7,33,0,0,1,11,46,169.1227028292982
7,29,0,0,0,12,46,171.06596866024503
16,27,1,1,0,8,45,160.32037615003415
8,28,1,0,0,9,43,159.72231742280675
14,31,0,1,0,11,49,171.8694274522476
9,30,1,1,1,11,45,165.74653335240396
11,31,1,0,0,6,44,163.39239776246274
12,32,0,0,0,9,48,171.88140421984352
10,32,0,1,0,10,46,165.03597824027585
10,31,1,1,0,14,45,162.16890347712769
8,32,0,0,1,10,44,162.18548691164435
11,29,0,1,0,4,41,150.91206261725836
12,31,0,0,0,10,45,162.68899308986246
10,32,0,0,0,9,44,160.8963401672733
13,29,1,0,0,12,49,172.3443702277828
10,30,0,0,0,11,47,168.90901919770522
8,32,0,0,0,10,45,164.206203359489
6,29,0,1,0,8,43,163.69011605493466
8,32,0,0,0,11,45,162.95459267229683
5,31,1,0,0,9,41,154.32784105764077
8,33,1,0,0,7,42,156.90384981454002
9,31,0,0,0,10,45,163.04410554540428
8,31,1,0,1,9,42,157.84100726821043
10,30,0,0,1,8,44,161.98719651323472
7,30,0,1,1,7,42,159.65959603345928
8,28,0,0,1,7,44,161.82351474149257
10,29,0,1,0,9,44,160.78622507842462
10,30,0,0,1,10,44,159.62594819600005
9,30,0,1,1,9,45,165.43188042198364
9,24,1,0,0,9,42,154.93583135479312
11,31,0,1,1,11,48,173.63416927747164
18,26,0,0,1,6,47,164.9916439450764
9,28,0,1,0,12,44,162.11922624861364
7,27,0,0,0,12,45,168.07508090342003
8,28,0,0,1,11,46,169.36090002554857
5,29,0,0,0,7,39,155.05583987086536
9,27,0,0,0,13,45,163.8154097835516
13,29,0,0,0,10,50,178.05169564606666
13,28,0,0,0,11,47,167.36299184785796
12,27,0,0,0,9,45,161.50987694772982
6,31,1,1,0,10,43,161.7875611789091
11,28,1,0,0,13,46,166.6997439065368
9,30,1,0,0,6,43,161.05153030375004
9,27,0,0,1,13,47,171.21316296527803
8,26,1,0,1,11,44,163.62034570026944
7,27,0,0,0,11,41,157.22736204327296
5,28,1,0,0,8,38,150.83120230404063
12,29,0,1,0,8,41,151.13792481753217
8,28,0,0,0,9,43,160.9627948356325
6,31,1,0,0,11,43,160.91040817220866
5,26,0,0,1,10,41,157.2508603728279
7,30,1,0,0,8,39,147.1559637497238
7,30,1,1,0,10,41,155.77400151026637
11,28,0,1,0,11,47,171.15111743581662
8,25,1,0,1,10,44,164.8045485795209
10,27,1,0,0,12,45,164.07415006602207
15,27,1,0,1,10,50,177.94708278089888
7,29,0,0,0,8,41,154.72381127861652
8,30,0,0,0,9,41,153.80761243513746
8,32,1,1,1,10,45,168.61714764869583
10,35,0,0,0,7,43,158.27090776920843
11,27,1,0,0,12,47,169.189000394408
6,37,0,0,0,8,45,170.6829588634387
6,30,0,1,0,9,41,156.50182375977403
5,28,0,0,0,9,42,161.18605434490863
8,33,0,0,1,15,50,181.78162609420943
9,30,0,0,1,12,46,165.98120409858154
12,27,1,0,0,9,46,166.83009387283704
6,25,1,1,1,10,41,156.72040069448428
8,29,0,1,1,12,44,165.52994121476303
12,27,0,1,0,9,46,165.74081753998274
9,28,0,0,1,8,43,159.919591317415
12,28,1,1,0,12,46,167.91192079934024
11,31,1,0,0,11,45,161.95652640364236
13,29,1,0,0,10,46,165.10196373776404
9,25,0,1,0,11,45,164.07767361695323
10,33,0,0,0,5,41,153.80370550931693
9,30,1,0,0,11,45,166.0798141312361
7,29,0,1,0,9,42,156.88260687359073
9,27,0,0,1,11,47,173.90974062956704
7,28,0,0,0,9,42,159.24634316001666
13,27,1,0,0,11,46,166.26593392026345
7,29,1,0,0,13,44,166.53562460493416
11,30,0,1,0,7,44,163.4030627337835
9,34,0,1,0,13,42,154.9711463516181
7,28,0,0,0,9,43,158.62866556177266
7,27,0,0,1,8,44,165.59711066438368
8,30,0,0,0,11,44,163.35154422525324
12,30,1,0,0,6,44,161.33021533329642
9,30,0,0,0,12,46,167.2204189869702
14,29,1,0,1,9,48,170.04671979462495
9,30,0,0,0,11,46,166.83385052603012
11,28,1,1,0,8,46,167.49866157424665
8,28,0,0,0,7,43,161.33110151062132
11,27,0,0,0,12,46,164.21203823777594
7,32,1,1,0,11,46,173.06416195780974
10,25,0,1,1,6,41,152.8759351381632
14,29,0,0,0,9,47,168.52862883215946
10,31,1,0,0,6,42,157.45359291001026
12,29,0,0,0,9,47,168.0637026392776
8,28,0,0,0,10,43,156.93436784435391
9,32,0,0,1,12,47,167.6150093873099
6,30,1,1,0,9,43,162.68747953805047
10,25,0,0,1,8,41,152.0640533541675
9,32,0,0,1,13,45,163.53185940215525
2,30,1,1,0,11,39,153.19369441935768
13,28,0,0,0,13,49,172.39220160185266
9,31,0,1,0,6,41,153.02087257966602
7,31,1,1,0,14,47,174.47680924571046
13,26,0,1,0,11,49,175.94664529907632
6,29,0,0,0,10,41,153.52008200439712
8,29,0,1,0,12,42,156.36009952451724
10,30,1,1,0,10,46,167.0615048259832
10,31,1,0,0,7,44,162.71693214881526
16,27,1,0,1,10,52,182.68429621154297
10,27,1,0,0,9,44,162.66230144230974
11,31,1,0,0,11,45,163.5521102500341
11,31,1,0,0,12,48,174.6961327723342
10,32,0,1,0,10,46,167.14264568196464
9,33,0,0,1,11,48,173.00137496822165
10,28,0,0,0,7,42,153.24060835946565
7,29,1,1,0,10,44,165.54837728462712
2,30,1,1,1,7,42,165.48205168458298
6,28,0,0,0,14,47,175.8786285170076
12,28,1,0,0,10,47,169.38921334483473
11,29,1,0,1,9,44,161.91904574074883
10,31,0,0,0,12,46,166.11446847061976
11,31,0,0,0,4,43,158.94346839370905
9,29,0,0,1,8,46,171.23011238686652
9,27,0,0,0,9,45,168.1931708320937
4,27,0,0,0,5,39,151.6168626240813
8,29,0,0,1,11,42,157.9008641753535
11,27,1,0,0,11,44,160.90968472797985
10,29,0,0,0,7,44,160.0792832782398
10,28,1,0,0,10,45,165.27013137322518
11,32,0,0,0,9,46,167.41829923453147
7,33,1,0,1,11,45,166.39568532556436
8,27,0,1,0,11,44,166.58188209681535
7,28,0,0,1,9,43,160.2123186325288
9,30,0,0,0,11,46,168.2370088946326
5,31,0,0,0,8,41,154.94809584045967
5,32,0,0,1,9,42,158.59105584914565
10,34,1,0,1,11,47,169.90548488640349
12,29,0,0,0,8,47,170.0663518183644
9,28,0,1,0,9,40,149.61182520664062
10,28,0,1,1,12,46,167.64477700906525
8,29,0,0,1,7,41,152.957069714727
10,33,0,0,0,10,47,170.89361458806786
11,27,0,0,0,9,44,161.96459561201246
9,29,0,0,0,7,41,151.697943761169
9,32,0,1,0,8,43,159.48767824753523
8,32,0,0,0,9,45,166.11590566946848
11,28,1,1,0,12,48,173.9690320169402
6,29,0,0,1,9,43,162.59636504885944
6,26,1,0,0,11,44,165.69713823765272
14,31,0,1,1,9,47,167.44056801409894
10,29,1,1,1,9,45,169.05893975745562
11,32,0,0,0,8,44,161.33121359255443
9,30,0,0,0,8,45,166.03797937748288
4,30,1,0,0,15,44,165.30109266639366
10,29,1,0,1,7,43,162.84298469885437
10,30,0,0,1,11,50,179.0968930715359
8,28,0,0,0,10,44,163.5626515361921
8,30,1,0,0,10,45,167.8428637665032
10,30,0,0,1,11,47,169.33667599846316
11,32,1,1,0,9,43,157.80839414022245
7,32,0,0,1,7,44,166.3991857615666
6,33,1,0,0,8,41,155.6597416527635
14,30,0,0,0,10,46,160.54948526872187
7,27,0,0,1,10,45,167.46410215489664
11,25,0,1,0,10,47,172.51486969331168
11,29,0,0,0,10,46,167.59114887656824
10,27,1,0,0,9,43,159.52316791817984
11,29,0,0,1,11,46,165.11291409767185
10,28,1,1,1,9,45,166.23153083285908
6,28,0,0,0,9,41,156.46184542209988
3,28,0,0,1,9,40,156.3871595302217
6,30,0,0,0,8,43,163.89965168523074
7,27,0,1,0,8,42,158.39537754935833
15,28,0,0,1,12,48,167.15672589927806
9,32,0,0,0,8,46,167.12540450932656
8,28,0,1,0,6,41,157.21110315864755
9,33,1,0,0,9,45,166.70674834339655
10,28,1,0,0,7,41,151.8625277514409
10,29,0,0,0,12,48,174.01488016939996
11,29,1,0,0,16,47,171.9497998862186
11,32,0,0,0,6,44,161.2192923031227
10,31,0,0,0,12,47,170.12723680231073
8,28,0,0,0,11,43,157.30387595991692
10,30,0,0,0,9,44,161.48260599311786
10,30,0,0,0,11,46,164.7657291289245
7,32,0,0,1,13,45,164.94462802332052
8,29,0,1,0,12,43,161.63708662035887
8,28,1,1,1,9,43,161.73862449835207
7,30,0,1,1,10,44,165.4807019331285
5,28,1,1,1,10,43,162.94752411021585
11,26,0,0,1,13,47,170.85044669588376
8,34,1,0,0,7,44,164.9373100945502
6,32,0,1,0,9,41,152.8730943185808
7,28,0,0,1,13,45,166.57553852954095
17,35,1,0,0,10,53,183.0952758653312
8,28,1,0,0,8,43,162.78425073445223
9,26,0,1,0,11,47,171.52572098169674
9,27,0,1,0,8,42,158.4185475917381
8,28,0,0,0,9,41,153.92484375791722
7,30,1,0,0,7,42,159.40804009245022
10,31,0,0,0,11,48,171.84500503525038
11,30,0,0,0,12,47,167.2335792900669
10,31,1,1,1,9,48,175.71099262516054
10,32,0,0,1,10,47,169.03939996080305
10,31,1,0,0,7,43,159.0350330471185
7,34,0,0,0,8,42,157.1836542850671
6,26,1,0,0,8,41,155.44202176044956
11,34,1,0,1,10,45,164.28717505123464
8,31,0,0,0,12,47,172.30420747836632
14,30,1,1,0,10,48,175.46894052476785
11,32,1,1,1,10,45,165.71286029479333
16,32,0,0,0,8,47,164.48903137947468
7,26,1,1,0,10,42,159.33123387991873
7,31,0,0,0,10,45,165.70273296899657
7,25,1,0,0,10,41,155.09750911137152
13,27,0,1,1,10,49,175.66804655825976
13,30,0,1,0,10,47,167.4468008493189
10,33,0,0,0,10,43,157.94078090521967
10,32,0,1,0,7,42,154.93821521607043
5,31,0,0,1,9,43,163.70483201270753
10,31,1,1,1,10,45,166.19616289967183
4,25,0,0,0,6,37,143.9906094382774
4,31,0,1,0,5,38,148.36752378827535
14,31,0,0,0,11,49,172.8525173456445
9,30,1,0,0,10,43,159.50686014390905
12,29,0,0,1,9,46,165.5042468163867
13,31,0,1,0,7,46,163.6586284505281
13,30,1,0,1,7,42,151.5439278723019
9,28,0,1,0,7,39,147.5605475658239
5,25,1,0,0,12,42,159.3275475395456
7,28,0,1,0,13,44,161.68003133566685
5,26,0,0,0,10,39,149.7460941884593
8,26,1,0,0,11,45,167.0106917882496
11,27,0,0,0,10,47,169.24121285810432
6,31,0,0,0,5,41,159.64446833144703
10,31,1,0,0,8,44,163.13382860539934
13,30,0,0,0,9,45,160.67586020170822
11,27,0,1,0,9,41,154.4786727016144
9,32,0,0,0,7,45,164.89702576821253
10,27,1,0,1,7,42,156.4150309518481
16,28,1,0,0,7,48,169.25940715267475
13,29,0,1,0,8,47,166.00770913630203
10,30,1,1,0,11,45,164.37977939763823
13,31,1,0,0,4,44,161.38366707822175
12,29,0,0,1,8,45,164.72814068855908
14,29,1,0,0,10,46,164.92267069724647
11,29,0,0,1,8,45,165.1349540072845
14,31,0,0,1,10,49,171.50245084672545
6,30,1,1,1,10,44,167.1088393682844
8,31,0,0,0,9,42,156.58755384910344
9,28,0,0,0,11,44,163.30179653651402
10,29,0,0,0,10,45,164.9094845641961
10,30,1,0,1,10,45,166.4178023975099
12,28,0,1,1,9,48,171.83435904682932
6,35,0,1,0,12,43,160.150025495042
7,33,0,0,0,11,45,166.3025433961654
11,32,0,0,0,9,47,170.0678409289424
8,28,0,1,0,7,41,153.98036901549688
14,27,0,1,0,10,48,172.7877402954255
5,32,0,0,0,9,43,165.3070303242728
5,32,0,0,0,7,42,160.75211309881067
10,32,0,1,1,10,44,160.32878918422483
12,28,0,0,0,7,44,160.0159485107715
8,27,0,0,0,6,45,166.10694611579788
11,35,0,1,0,11,47,170.17538900801537
5,32,0,1,0,12,43,162.6058195327724
8,25,0,0,1,10,39,144.59169724312133
5,30,0,1,0,9,39,150.88231346121924
5,31,1,0,0,6,40,153.73186180532548
10,29,0,0,0,5,43,159.14364681429717
14,33,0,0,0,14,52,182.025339823646
6,28,0,0,0,10,42,158.141852278085
8,28,0,0,0,8,43,161.7961174204979
9,31,0,0,0,9,47,170.56615480881044
11,26,0,1,0,11,44,159.55258861328622
12,32,0,0,0,10,47,167.91078499964692
15,32,1,0,0,8,50,178.3046281928142
8,28,1,0,0,8,43,162.24474735484716
9,31,1,1,0,8,43,157.5975115767702
11,27,1,1,1,12,48,174.15741086961214
11,28,0,0,0,9,46,165.50467447817277
10,26,0,0,0,9,44,161.79159349343342
11,30,0,0,0,13,47,168.57678624780706
11,30,1,0,1,10,46,165.56571821489266
11,29,1,0,0,8,44,161.22495567254472
10,24,1,0,1,10,46,167.12293087191256
6,31,1,0,0,7,41,156.27720802343418
9,28,1,0,0,10,42,153.7906129917178
10,31,0,1,1,13,47,170.29164608097835
10,30,0,0,1,11,44,159.71247475584923
7,29,1,0,0,9,44,164.81721279820044
12,31,0,1,0,11,45,162.61745867367716
10,30,0,0,1,13,46,167.55247463617115
10,28,0,0,1,9,45,162.604731158485
11,31,0,0,0,10,46,165.81030123716317
9,29,1,1,0,8,41,151.74168698423432
8,33,0,1,1,7,41,151.6691622862612
13,31,0,0,1,8,45,159.79390181232753
8,30,1,1,0,8,41,156.37186705367722
8,32,0,0,0,10,42,154.14718928206423
4,30,0,0,0,10,40,152.81472602962228
10,28,0,0,0,7,44,162.6299740816529
4,29,1,1,0,8,38,147.52320243492238
10,32,0,0,1,8,45,166.8558968024914
9,26,1,1,0,10,44,164.18381039793144
10,32,0,0,0,9,45,163.56171787963322
10,31,0,0,0,8,44,159.8878349988908
9,29,1,1,1,9,44,165.15841556806868
11,31,1,0,0,7,45,165.8185289990403
5,29,0,1,0,13,47,178.0082591656173
5,27,0,1,0,7,38,148.44531776968282
6,31,0,0,0,7,41,156.19948255818622
8,32,1,0,1,10,46,170.0842995330285
9,29,1,0,0,12,45,164.57756828087832
10,29,1,0,0,8,43,155.91546155580698
8,23,0,0,0,10,45,164.76195092766528
14,30,0,0,0,7,43,156.42057319017815
10,32,1,0,1,9,47,171.19761734723707
11,31,0,1,0,11,44,158.1277629236542
9,31,1,0,1,7,40,149.55662750208128
8,24,0,0,0,9,42,156.91632275791903
12,34,1,0,0,12,47,171.12295141548296
8,33,0,0,0,10,44,163.8939194152198
8,29,0,0,0,10,44,163.7581661842036
10,29,0,0,0,5,43,160.43198489857676
11,29,0,0,0,10,47,171.24382076346328
11,31,0,0,0,9,47,168.9300496375044
12,28,1,0,1,10,47,168.0979918339279
14,28,0,1,1,6,44,157.46427745168708
16,32,0,0,0,7,49,169.2259824543293
7,30,0,0,0,8,43,160.0272571814779
8,27,0,0,1,11,43,157.86970898721094
6,33,1,1,1,7,41,157.78044123787134
7,29,0,0,0,8,41,154.64046499466596
7,28,1,1,0,5,40,154.1591297660853
6,30,1,0,0,6,37,143.8407105274204
7,31,1,1,0,6,41,156.18660376012406
11,30,0,0,0,10,43,154.5644194562029
13,29,0,1,0,11,47,168.07164014161307
9,27,0,1,1,7,44,165.78114388158275
13,28,0,0,1,8,50,176.7906113417958
10,26,0,1,0,9,44,165.15377972367745
7,33,1,1,1,13,46,169.6943081672692
10,29,1,0,0,11,46,167.63970910726843
9,35,0,0,0,8,45,166.68730474386314
12,29,0,1,0,8,44,160.00535563775836
9,25,0,0,1,6,42,158.38409858257972
9,32,0,0,0,6,46,169.1895646210952
14,32,1,0,0,10,48,172.83589375117148
5,32,1,0,0,9,42,160.27122530920775
8,29,0,0,1,13,46,168.0182886285155
7,32,1,1,0,11,40,150.556354422719
3,27,0,0,1,10,41,157.69653207635432
10,32,1,0,1,10,46,169.45530379131668
10,29,0,0,1,11,45,162.7979849502594
16,31,0,1,0,9,47,165.14638953705614
10,25,1,1,0,13,47,170.92539700560943
12,28,0,1,1,11,48,172.42536816516326
11,35,0,1,0,9,46,165.2246613021627
12,36,0,0,0,11,49,174.45942721568483
16,31,0,0,0,9,48,166.05283776556118
12,30,0,0,0,9,46,166.5169440385074
8,31,0,0,0,9,47,171.78255816450678
8,29,1,0,0,9,45,168.70112415679736
12,28,0,1,1,12,47,169.0715759037953
7,30,1,1,0,10,44,166.0014872973142
9,28,0,1,0,6,41,154.4831024029175
11,29,1,0,0,9,47,169.9589031022772
11,29,0,0,0,12,48,172.35586362351015
5,30,1,0,0,10,42,160.72418462038308
8,33,1,0,0,9,43,159.181799067688
6,29,0,1,0,7,41,156.39779012131146
13,28,0,0,1,7,45,161.75969828207383
11,33,0,1,1,11,47,169.4210582667682
7,32,0,0,0,9,45,165.86724980965766
14,32,1,0,1,10,49,173.1426243725308
12,26,1,0,0,10,46,166.27484309320477
10,29,0,1,0,12,46,168.08003556305323
7,28,0,1,1,9,42,156.43872735695297
15,30,0,0,0,9,47,165.04310116258975
6,31,0,0,1,8,47,174.4320129594217
12,29,0,0,1,10,45,161.49383959396278
12,32,0,0,0,10,45,161.15517658569692
13,30,0,0,0,11,48,169.1228573811257
12,29,0,0,0,11,47,168.9153555895448
7,31,1,0,1,7,41,157.12375113381927
12,27,1,0,0,7,44,160.30158183607725
14,31,1,0,0,6,48,173.1676095508438
11,29,1,0,0,11,43,156.31176784522373
14,32,0,0,1,6,47,167.72988249808913
9,27,0,1,1,10,44,160.8114007705924
7,29,1,0,1,9,42,157.21471625466032
12,31,1,0,1,9,47,171.96087227740747
5,31,0,0,1,8,43,165.08277862768347
9,29,1,0,0,7,44,164.7279986720069
11,28,0,1,1,9,47,171.76301862131024
9,28,1,1,0,7,41,157.0097196214894
8,31,0,0,0,7,42,158.90273273575187
7,30,0,0,1,9,44,166.63094275603223
9,25,1,0,0,13,46,167.66445895779168
14,27,0,0,0,10,50,176.76391455916095
7,28,0,0,0,10,43,160.68396843270617
12,27,0,0,1,6,44,161.81379099564245
12,31,0,0,0,9,46,165.0569472998562
9,30,0,1,1,11,45,166.22040105203024
6,30,1,1,0,12,43,161.84310339145543
7,33,1,0,0,12,45,168.35067914823182
8,30,1,0,0,10,41,154.76459338387957
6,31,0,0,1,6,42,158.29534440634544
8,26,1,1,0,9,41,155.7224413554897
5,31,0,1,0,11,39,148.4942026715103
7,30,0,0,0,10,41,149.3680571471306
11,28,0,0,0,7,44,161.9723711149669
15,29,0,1,1,9,47,162.36220719736946
7,27,1,0,0,9,39,150.90476861846125
11,32,1,0,0,5,44,161.34944778792033
11,30,0,1,0,11,46,166.38628293957262
10,31,0,1,1,11,44,162.5538303712977
11,27,0,0,0,12,46,165.59959221193282
9,27,0,0,0,10,46,167.2560546954038
15,30,0,0,1,12,50,175.41298859901724
10,30,0,0,0,10,46,165.21214725106967
6,31,0,1,0,8,40,151.73027274186293
7,31,1,0,1,12,44,164.14557263829917
9,28,0,0,0,11,45,164.79716693837858
2,28,0,0,0,11,39,154.0366137781672
7,26,0,0,0,11,44,163.46576954441846
8,32,0,0,1,6,42,155.74612044116017
12,26,0,0,0,11,47,167.35993498926064
