age,education_years,previous_month_income,gender,rural_residence,previous_beneficiary_status,job_training_participation,current_month_income
24,13,8,1,0,0,1,56.12324623909
23,24,12,1,0,0,0,55.01795499277771
22,25,9,0,0,0,1,58.12492323914836
34,7,8,0,0,1,1,57.3017789895305
35,31,10,1,1,0,0,58.37507491833832
39,20,11,1,0,0,1,60.2041760580028
25,17,8,0,0,1,1,59.28990531010422
40,18,11,1,1,0,0,55.35325202297846
36,24,12,0,0,0,1,60.24435794022603
27,29,13,1,0,1,1,62.472709250538784
38,25,9,0,1,1,0,58.84072355314205
44,19,9,0,1,0,1,62.53510908140623
29,22,10,0,1,1,1,61.22973792822605
32,25,10,1,0,0,1,61.61766731338756
32,15,14,0,0,1,0,56.10615586822928
36,18,9,0,1,1,1,61.12201579860889
36,9,14,1,0,0,1,57.64803806932011
24,15,13,1,0,1,0,54.93004436801875
28,25,13,1,1,0,0,58.06784075842479
26,33,12,1,1,1,1,63.38395080566238
34,20,12,1,1,0,0,56.36009116786867
45,19,8,1,0,0,0,57.29450629256889
17,11,9,0,0,1,0,52.95444295677244
30,16,14,1,1,1,1,58.30556276350497
30,23,8,1,0,1,0,58.6071971850898
16,12,6,0,0,1,1,54.99585715847371
22,30,7,0,0,0,1,60.64654536833277
17,24,8,0,0,0,0,55.86223769907856
42,18,10,1,0,0,0,58.30413797260013
35,24,9,0,1,0,0,60.294382339345006
38,25,9,1,1,1,0,58.2054696848104
25,1,12,1,1,1,1,54.50447428478839
25,10,9,1,1,1,0,52.99369349307427
17,22,9,0,0,1,1,59.49951306511176
27,13,10,0,1,0,1,57.12655771559681
21,24,11,0,0,1,1,59.09116778307489
23,5,12,1,1,1,1,54.547711689597065
22,20,6,0,1,1,1,55.86200514284288
39,29,9,1,1,1,0,59.43007975861918
30,31,10,0,1,0,1,62.69084648850162
40,26,9,1,1,0,0,57.19833492465351
48,29,6,1,0,0,0,61.57101479862926
35,22,13,1,1,1,1,59.39038436830818
38,16,8,0,0,1,0,58.20562400801277
26,13,5,1,0,0,0,54.85718085660654
15,23,9,0,1,0,1,57.408964485260846
32,16,6,0,0,1,1,57.93741306924732
13,19,14,0,0,1,1,57.921389566918016
24,10,18,0,0,0,1,55.77422518218335
36,19,9,0,0,1,1,60.23052774921437
35,6,10,0,1,1,1,57.58743590753648
33,13,9,0,0,0,1,57.941561994632806
23,16,11,1,1,1,1,58.25248283760576
30,25,8,1,1,0,0,59.08992187991383
28,27,10,0,0,1,1,63.29503816293467
44,26,11,0,0,1,0,59.21112509668507
20,23,11,0,0,0,1,60.81841611752526
21,22,11,0,0,0,0,58.19399592872303
44,13,7,1,1,1,0,56.80211699784456
30,18,11,0,0,0,0,56.82086901605589
33,19,7,0,0,1,0,57.03146702610749
28,6,6,0,1,1,0,53.89581994231772
31,3,9,1,0,1,1,55.16806040028448
25,32,11,1,1,0,0,57.74083855251871
23,17,11,1,0,1,1,57.55563034895221
27,5,11,0,1,1,0,51.93461508689806
27,19,9,0,1,1,0,55.54710843384505
36,14,5,1,0,0,0,53.45100274971708
20,21,7,0,0,1,1,59.3250754320373
38,26,7,0,1,0,1,61.53672784794902
30,10,6,1,0,1,0,53.8139096664529
41,23,9,1,0,0,1,62.95899606857056
30,17,8,0,1,0,0,55.61103216863111
26,24,7,1,0,0,1,58.67196017272059
18,20,7,0,0,1,1,58.96217098404198
19,18,10,1,1,0,0,55.236849646623504
24,22,9,1,0,0,1,58.23087241603408
19,16,6,1,1,1,1,55.97876498578991
25,23,10,0,1,1,1,57.72142331046066
24,16,9,0,0,1,1,56.79544949346083
38,24,17,0,1,1,1,61.79388758195519
34,22,17,0,1,0,0,57.64660320653429
28,14,11,0,0,1,0,55.747046058420906
31,27,10,0,0,1,1,61.925716957212806
39,22,6,1,0,0,1,60.50873153695319
28,24,12,0,0,1,1,61.19305938579932
26,25,8,1,1,1,0,57.13293661479148
28,23,7,0,1,1,0,58.59420828618394
30,11,13,1,0,0,1,56.90033795010624
11,14,4,1,1,1,1,54.58045085510218
30,21,10,1,0,0,1,59.67683135382364
15,25,17,0,1,1,0,58.2978461440504
20,5,14,1,1,1,1,53.92515645473267
32,6,10,0,0,0,1,56.189233898176646
27,15,11,1,0,0,1,55.55242140317974
29,26,8,0,1,0,1,60.25109194082005
32,13,9,0,1,0,0,53.65990988528178
39,30,9,1,1,1,0,58.38429399212882
16,14,5,1,1,0,1,54.023468189560575
22,15,9,0,1,1,0,53.90324017315534
27,17,15,0,0,1,1,59.36379065998902
37,14,8,1,0,1,1,59.673132353498886
26,22,11,0,0,1,0,56.78983707770024
34,16,8,1,1,0,0,54.21617792862092
25,16,12,0,0,1,1,57.29758513670141
31,11,7,1,1,0,1,54.44721209038278
13,19,7,1,1,1,0,54.56443147276338
30,37,10,1,1,0,0,60.63041420107387
24,22,12,0,0,0,1,60.71530822549505
36,13,16,1,0,0,0,56.55804772176372
36,17,13,0,0,0,1,59.18442048418337
34,10,6,0,1,0,1,54.15221995813096
38,7,17,1,0,1,0,54.87286166197013
38,18,11,1,0,0,1,59.54453855543316
14,19,7,0,1,0,1,57.123569803802255
16,22,5,0,0,1,0,55.657024868754746
26,26,7,0,1,0,0,57.87777923827737
14,19,9,1,1,0,1,58.06087667632282
29,14,7,1,1,0,0,52.170400689940514
20,31,8,1,1,1,1,59.50475596615424
20,18,14,0,0,0,1,58.70015122675461
25,24,8,0,1,1,0,56.90832336712079
27,28,14,0,0,1,1,63.58286415070879
29,11,10,0,0,0,1,57.1426281550592
34,20,9,0,0,0,1,61.19900677999643
25,26,11,1,1,1,1,61.41889856933008
30,28,5,1,0,0,0,58.47586290299496
19,23,8,1,1,0,1,58.5359096596092
40,10,5,0,1,0,1,56.3700392944692
45,21,9,1,0,0,1,60.714240284695805
33,24,10,0,1,1,0,57.87336075035873
30,19,6,0,0,0,1,58.06406287402805
32,16,11,0,0,0,1,58.02854500026356
47,16,14,0,1,0,0,57.96909007190147
26,20,8,1,0,1,1,60.842153688424574
35,26,11,1,1,1,1,61.01935657498575
28,26,7,1,1,0,0,55.78368001799
25,25,9,1,1,1,0,56.02143141914095
36,27,9,1,0,0,1,62.728057022468384
29,15,2,1,0,0,1,58.23471315993208
27,20,12,1,1,0,0,56.342402876355
17,22,10,0,1,1,1,58.988570105070245
29,30,7,1,0,0,0,58.43521367631799
31,24,14,0,1,0,1,59.3117220037012
15,26,9,1,0,1,0,55.397250858376125
28,25,6,1,0,0,0,57.234546854185645
36,24,13,1,0,1,1,63.60553948926712
38,6,8,0,0,1,1,59.10301170123039
28,21,5,0,0,1,0,56.172380174456286
41,23,12,0,1,1,0,59.54035244816062
25,24,15,0,0,0,1,63.13694142323887
16,21,6,0,1,1,1,58.14407769405108
19,5,12,0,0,1,0,53.12107623915458
36,19,11,1,0,1,0,57.82169079519034
30,13,12,1,1,1,0,55.62611868983942
35,22,10,1,1,1,1,60.72460938363157
33,22,11,0,0,0,0,60.0602888415771
34,17,8,0,0,0,0,55.36802660058643
35,24,5,0,0,1,1,62.36835338434754
27,15,13,0,0,0,0,56.25669655396662
38,18,10,1,1,1,0,56.54587793813444
40,21,11,1,0,0,0,58.19416781533229
23,27,13,1,1,0,1,60.26325560581681
31,5,14,1,0,0,0,53.94655656665751
39,20,13,0,1,1,0,57.920879246852685
31,20,6,0,0,1,1,59.49126254339306
43,15,7,0,1,1,1,59.75678078825842
19,24,8,1,1,1,1,60.51797123509574
28,27,11,1,1,1,1,59.8142199989784
34,20,5,1,1,0,0,55.52565693805913
27,21,12,0,0,0,1,58.06566107292591
19,25,13,1,0,0,0,55.85523122572103
40,30,6,0,1,0,0,60.93340037189438
23,31,6,0,0,0,0,59.80634054597257
37,10,8,1,0,1,0,54.45086173260122
33,17,9,0,0,1,0,57.30925786903021
33,12,11,1,0,1,0,56.3452461481167
11,15,14,1,0,0,1,56.21869616500593
35,16,7,1,0,0,0,53.93936132448544
20,17,9,0,0,1,0,55.42418521285295
32,20,12,1,1,1,0,55.69612394473763
31,24,8,1,1,1,0,58.14854632366993
31,16,10,0,1,0,0,53.97617233948041
24,20,12,1,1,0,0,54.267299038144735
16,26,8,1,1,1,0,55.813785990351015
28,18,12,1,0,0,0,56.52536585937847
32,30,7,0,1,0,0,57.86097205626727
31,22,5,1,0,0,0,55.06933423803317
18,23,5,1,0,1,1,56.9100248910827
41,15,4,1,1,0,1,58.355122673844456
26,16,3,1,0,0,1,59.60014586290541
33,18,11,1,1,0,0,55.323982803839165
28,26,4,1,0,0,1,57.80622876481046
19,14,16,0,1,0,1,56.38650362443701
20,13,10,1,0,0,1,56.05533195950825
33,16,7,1,1,1,1,57.41409511669784
19,23,15,0,0,0,1,59.34749583452091
21,22,12,1,1,1,0,56.10432956338785
38,18,10,1,0,0,0,56.25031094625047
18,11,11,0,0,1,1,58.22159114945638
30,29,11,1,0,0,1,61.44196987622938
21,25,9,1,1,1,0,56.04395194861807
24,26,8,0,1,1,0,59.113909331772746
32,5,8,1,1,0,0,51.13603170848968
31,22,4,1,0,1,1,58.20009211982131
33,12,8,0,1,1,0,56.17476353426629
32,12,8,1,1,0,0,52.83660933631561
17,28,11,0,1,1,0,58.074281186182255
26,24,9,0,1,1,1,58.47724509283287
40,23,6,1,0,0,0,58.23912591563724
32,18,12,0,1,0,1,59.58618214179532
16,26,11,1,0,1,1,61.11440286024551
41,20,7,1,0,0,1,59.55520954323752
38,15,7,1,1,0,1,58.01721352129962
24,28,4,0,1,1,0,59.10882584412119
21,22,8,1,0,1,1,61.255283348796986
36,17,16,1,1,0,1,58.045135639104274
49,22,6,1,0,0,0,58.665971686080965
23,21,9,1,0,1,0,56.35426766003606
24,20,10,0,1,1,1,59.16789001557402
21,19,10,0,0,0,1,55.94382383834972
32,17,9,0,1,0,1,58.32322153609371
33,18,15,0,0,1,1,61.88588635970728
22,25,12,0,0,1,1,60.36950453275994
24,12,10,1,1,0,0,53.517839272917726
23,13,6,0,1,1,0,52.920841269089074
32,9,11,1,1,1,0,54.757311283646445
15,20,10,1,1,1,0,55.43844813835609
33,9,8,1,1,1,1,55.1418491439107
32,27,6,1,1,0,0,59.08607489208893
33,18,12,0,1,0,0,58.03915524298381
22,21,18,0,1,1,1,61.132107957154886
24,10,12,1,0,0,1,56.4400538907701
37,21,11,1,1,1,0,56.13886666300365
37,17,11,1,0,1,0,57.17579405444364
43,18,10,1,0,0,0,56.16191702208527
20,20,6,0,1,1,1,57.67765325015329
39,13,4,1,0,0,0,54.584921947555486
32,25,8,0,1,0,0,58.00129130647407
35,16,11,1,0,1,1,60.764162275176766
26,20,8,1,0,0,0,55.38164284926403
23,11,9,0,0,0,1,56.09895860830947
30,24,11,1,0,0,1,60.21240969809296
39,25,11,1,0,0,1,62.01375697520126
36,15,16,1,1,1,0,58.50605370789316
28,0,9,1,1,0,1,52.14202337050441
21,16,7,0,0,1,1,56.94277869554718
42,20,9,0,0,1,0,60.27560259784941
37,21,6,1,0,1,1,60.0518507092433
42,26,7,1,0,0,0,59.86386033641008
28,20,12,0,0,1,1,61.87611297797325
36,17,16,0,1,1,1,60.44906368217867
31,26,12,1,1,1,0,58.080955787613966
31,21,13,1,1,1,1,60.804668553185984
35,19,10,1,1,1,0,56.94269806518176
21,16,11,0,0,1,1,59.39447142331034
31,25,9,1,0,1,1,61.29555431578153
26,9,8,1,1,1,0,54.05099130520123
36,27,11,1,0,0,1,62.2238004586037
32,21,11,0,0,0,1,60.59725384410741
18,19,10,1,1,0,1,57.01556518844925
19,15,7,1,0,0,1,57.05963436389642
22,15,6,1,0,0,1,54.37775340361192
41,13,8,1,1,0,0,52.57003201061665
32,9,16,1,1,1,0,53.04403624571484
37,10,6,1,0,1,1,57.06275753716832
25,12,6,1,0,1,1,54.95412390298651
35,20,9,1,1,1,0,57.78515886653556
28,25,10,0,1,1,1,59.91669785597868
28,16,5,1,1,0,0,53.19215481587602
21,19,7,1,0,1,0,55.51177303112532
27,28,6,1,1,1,1,59.954668522715615
23,32,10,1,1,1,0,57.44400141389815
28,25,9,0,1,1,0,58.4332328646808
27,17,3,1,0,0,0,55.06794822722102
18,17,6,0,0,1,1,57.76450034688054
15,19,8,1,1,1,0,53.90737870838804
16,15,10,0,0,0,0,56.07812128960885
16,26,10,1,0,1,0,57.90638778231295
23,18,12,0,0,1,0,57.00783372679855
31,21,6,0,1,1,0,56.69624259587038
37,30,10,0,0,0,0,61.436633784720016
30,16,4,1,0,1,0,57.00922141378
23,12,11,1,0,0,0,53.681414665207406
26,22,6,1,0,1,1,59.597987021470736
43,6,11,1,1,1,1,55.53422992936131
28,22,17,0,1,1,0,58.45670023957656
32,22,10,1,1,0,0,54.77483225058671
36,25,6,1,1,0,0,55.43797754926364
27,14,8,0,1,0,0,55.03311491305904
25,13,15,0,0,1,1,59.95310441106253
35,26,11,1,0,1,1,63.51016792410846
20,18,13,1,1,0,1,56.978162142701
35,27,13,1,1,1,0,59.68787088511514
25,27,9,1,0,1,1,60.710854705348034
40,21,12,0,1,0,1,60.94747022212256
37,28,14,0,1,0,0,60.85933017836668
15,10,5,0,1,0,0,51.31768120345401
30,9,12,0,1,1,0,54.70285355752948
30,25,12,0,0,0,1,60.30432458160331
35,20,8,1,1,1,0,57.04038539169941
36,27,5,0,1,0,0,58.52145714669189
27,19,9,0,1,0,1,58.48286701570512
27,17,9,1,0,0,1,57.90276232201021
36,16,4,1,0,0,0,54.64729247294203
25,24,8,0,0,1,0,58.30269022597516
26,24,8,1,1,0,0,58.23020467877478
27,8,11,0,0,1,1,59.48495926597547
17,20,12,0,0,1,0,56.15480500034461
33,25,10,1,0,1,1,60.510394408773664
33,12,1,0,1,0,0,52.965254675726925
33,24,8,1,0,0,1,62.16810777216988
34,10,7,0,1,0,0,54.195913302099605
39,25,13,0,1,0,1,62.38548645240483
31,24,10,1,0,1,0,58.79542692207578
32,29,13,0,1,1,0,58.76705570264118
24,27,15,1,1,1,1,61.126381792186585
33,19,10,0,1,1,0,57.22410468078923
43,20,12,0,1,1,1,62.50799264506369
13,13,7,0,1,0,1,55.01286723875954
29,12,13,0,0,1,1,59.100165267586505
31,20,13,1,0,1,1,60.0609823195532
42,12,9,1,1,0,0,55.324357470549685
45,11,10,0,1,1,1,57.976820334342285
30,25,12,0,1,0,0,57.38886044701578
20,18,5,0,0,1,1,58.75833428679727
26,1,15,0,0,0,0,51.51613905610132
31,22,9,1,1,0,0,58.65166725992039
19,30,12,1,1,0,1,59.28245734792487
37,17,8,0,0,0,1,60.73069279005511
19,16,8,1,0,1,1,57.67295602702495
31,20,8,1,0,1,0,59.11118836553159
45,8,5,0,1,0,0,52.89132506832979
18,26,9,0,1,1,1,58.04276320843408
26,10,10,0,0,0,1,56.29817679646438
39,16,13,1,0,0,1,58.29614034192901
45,19,12,1,1,0,0,56.45865283467613
38,21,7,1,0,1,0,57.67380300704604
30,22,9,0,0,0,1,59.041929323782966
37,27,13,0,1,0,0,60.10337157831084
29,17,9,1,0,0,1,57.221871832832186
50,17,4,0,0,0,0,57.97280293461705
25,25,10,0,1,0,0,57.63163734823349
47,19,12,0,0,0,1,63.33487409498287
36,18,13,0,1,0,0,55.78732179941814
39,32,12,0,0,1,0,61.72480365825102
25,9,11,1,1,0,0,53.15606510541336
38,21,14,0,1,1,1,61.86452513176055
34,22,9,0,1,1,1,59.12414904663134
26,20,11,0,0,0,0,55.915389202422745
31,32,8,0,0,1,0,61.13030169323467
31,26,6,1,1,0,0,57.17551284500412
26,21,11,0,0,1,1,60.04076548630248
23,15,8,1,1,1,0,52.883253997176325
42,17,9,0,0,0,1,59.62352519529605
28,17,10,1,1,1,1,58.79032239046693
20,19,11,1,1,0,1,56.89247421071971
34,23,11,1,1,0,1,59.55092969908985
26,21,12,0,1,0,0,58.21099946061523
35,21,11,1,0,1,0,58.77352807868749
37,18,14,1,1,0,0,57.198728675670566
36,22,12,1,1,0,1,58.051952486758665
23,15,8,1,0,0,1,56.90034398967315
28,22,8,0,0,0,0,56.84346559812003
21,18,6,0,0,1,1,58.74137523015351
27,26,8,0,0,1,0,59.832294789410334
18,18,12,0,1,0,1,55.56174278458234
30,21,7,1,0,0,1,59.04337850441178
16,23,10,1,0,1,0,58.01352265613547
44,26,9,1,0,1,1,61.81974757203446
28,19,14,1,1,0,1,58.50009452038024
36,25,10,0,0,0,0,59.8434978019872
29,12,4,1,0,0,0,52.2788996087714
32,11,5,0,1,1,1,57.37592444253679
30,15,11,0,1,0,0,53.465009600281945
39,16,8,0,1,0,0,54.895105528883605
35,19,5,0,0,0,1,59.47063393643669
27,18,8,1,0,1,0,56.8478434135406
42,9,10,0,1,0,1,59.50061294027277
13,15,10,0,0,0,0,55.21049342799045
47,23,3,1,0,1,0,59.49303754934368
43,29,7,0,0,1,0,61.43712944924354
35,19,13,0,0,1,1,60.35864188807083
33,6,5,1,0,1,0,52.96957543054719
35,27,7,0,1,0,0,58.77718483044615
39,9,13,0,1,1,0,54.9149144504606
33,33,5,1,0,0,0,59.77584570041721
29,18,13,0,0,1,1,59.1198997372463
28,14,11,0,1,0,0,54.4191875109732
35,18,9,1,0,1,1,58.84669366105051
12,19,15,0,0,1,1,59.44504299496334
41,24,7,0,0,0,1,61.70462599707117
29,5,12,1,0,1,1,56.19685689514893
32,19,15,0,0,0,1,59.38151991006893
22,25,10,0,1,0,1,59.93914064317725
30,20,13,0,0,0,1,60.87652814102028
45,12,6,1,0,0,1,58.88021868422802
10,8,10,0,0,1,1,52.83796028308063
24,24,11,0,1,0,1,58.64461570880039
30,25,6,0,0,0,0,58.33208783167646
17,16,14,1,1,0,1,55.974763829854346
25,30,10,1,0,0,0,58.83539454651343
36,20,9,0,0,0,1,61.82884920369001
43,25,11,1,0,1,0,60.78346359923166
36,15,7,1,0,0,1,57.13577691997882
28,20,7,0,1,1,0,56.02661230397507
30,27,4,0,1,1,0,56.782300008311246
34,31,13,1,1,0,0,58.8813025798285
19,19,10,0,0,1,1,59.8052229052814
42,21,10,0,1,1,1,60.41066446309908
24,25,7,1,0,1,1,59.06922369296425
49,31,13,0,1,0,0,60.80333583879639
27,21,2,1,0,0,0,54.04491158578931
13,24,15,0,0,0,1,59.36117598894871
38,26,15,1,0,0,0,59.164073352625664
43,28,12,1,1,1,0,60.53808013992056
17,23,11,1,1,1,1,58.981036705110014
35,25,9,1,1,1,0,58.33028266101192
27,26,12,0,0,0,1,60.699380371967166
33,16,9,0,1,0,1,57.66025226626351
26,22,13,0,0,1,1,61.86244606370261
42,23,5,1,1,1,0,58.49029395661696
23,24,11,1,1,0,1,59.99446259349841
29,26,12,0,0,1,0,59.93854685901181
36,21,12,1,0,1,0,59.480795720845535
19,2,8,0,1,0,1,53.7990444444976
15,26,17,1,0,0,1,58.95065553115898
48,19,6,0,1,0,0,57.20369770648634
38,27,15,0,1,0,0,60.48738616381664
40,22,12,0,0,0,0,58.63268248394078
41,24,8,1,0,1,1,62.69013239294479
35,11,9,1,1,0,1,58.04769751133563
27,27,12,1,1,1,1,62.21324730428916
32,15,5,0,1,0,0,56.275718014078194
38,20,10,0,1,1,1,62.02334354232998
22,25,9,1,0,1,0,57.50554842227028
34,19,19,1,1,1,0,57.96351672671255
34,14,12,0,0,0,0,53.91251772322554
30,11,11,1,0,0,0,52.656973151691744
39,21,13,0,0,0,0,59.95070098318412
22,24,10,0,0,0,1,60.51470725414758
15,19,6,0,0,1,1,58.43977689467831
31,13,10,1,0,1,1,60.06114843879305
25,26,8,0,0,0,1,58.48484847143405
30,18,6,1,0,1,0,56.567997585186426
32,11,5,1,1,1,0,55.66766678230194
30,13,7,1,1,0,1,57.21655163806903
31,15,6,0,1,1,1,57.31505337779018
41,23,13,1,1,0,0,57.25206259229335
24,29,16,1,0,0,1,60.78883492727928
21,14,11,0,1,1,1,57.02969144513049
31,17,10,0,0,1,0,57.855303046480856
38,33,9,0,1,1,1,63.4291253765223
32,22,13,1,1,1,0,57.29039517603271
41,13,8,1,0,1,1,59.03636183672235
22,28,14,0,1,0,0,57.38243601013215
22,28,6,1,1,0,1,58.26843504875218
19,13,12,0,0,1,0,53.9306534452648
34,23,8,1,0,0,0,59.36885522155602
34,21,9,1,0,1,0,57.0311321512408
28,24,3,1,1,0,0,54.08497334307189
28,9,9,1,1,1,1,54.61417515734088
38,22,11,1,1,1,1,59.47751212672648
41,12,9,1,0,1,1,58.20816457095877
25,18,7,1,0,1,1,58.79034877180114
29,21,8,0,0,1,0,56.17646006214476
33,20,10,1,0,0,0,57.51355018450799
32,18,9,1,1,0,0,55.14811283998871
16,15,5,0,0,0,0,55.27317570039124
27,24,10,0,1,0,0,57.96495765560652
33,15,9,1,0,1,1,58.124755501093205
32,11,5,1,0,1,0,53.54676975316226
32,28,9,0,1,0,0,58.29673143486713
27,20,10,1,1,0,0,55.9124210995296
32,17,15,1,1,0,1,59.216890283081376
24,33,7,0,1,1,0,59.96488371980139
26,21,10,0,1,0,1,57.15728753256474
25,15,9,1,1,0,1,55.9455770142629
28,21,13,1,1,1,1,58.01891776079261
37,22,9,0,0,0,1,58.692602248262304
36,26,12,1,1,0,1,60.92986725238998
26,18,8,1,1,1,0,56.80660110898208
23,26,4,1,1,0,0,55.66381401878328
28,21,10,1,0,1,0,57.41264158509823
39,16,9,1,1,1,1,58.17776104403589
22,37,9,1,1,1,0,60.60247673981109
28,14,7,1,1,0,1,55.26935091183872
23,21,12,1,0,1,0,56.449131650105066
36,22,13,0,1,1,1,60.91051615544414
28,22,9,0,0,0,1,59.524790071868274
24,18,11,0,1,0,1,56.58432571534132
25,16,6,1,1,1,0,54.999474796614216
34,12,8,1,1,0,0,53.04297967666941
33,21,9,1,0,1,1,60.399008346225806
45,30,12,1,1,0,1,62.1955201762114
36,23,14,0,0,0,1,60.62615051319903
23,14,5,1,0,1,0,53.170856594020336
41,11,5,0,0,0,1,56.72907831962662
38,23,6,0,0,0,1,61.18394940581325
43,14,10,1,0,1,0,57.81461866516916
29,14,6,0,1,0,0,53.96352152852472
31,22,6,0,1,1,0,56.04924474803673
26,12,5,1,1,0,0,53.36727129808918
15,17,13,1,1,1,1,57.53485599634008
33,30,6,1,1,0,0,57.65424504384261
25,9,10,1,0,0,0,53.987653972947534
24,16,10,0,1,0,0,55.299420801342514
35,10,13,0,1,1,1,59.69127951929378
33,31,12,1,1,0,0,58.76076804864485
41,13,9,0,0,0,0,55.93715038123853
46,25,10,1,1,1,0,60.11477758936419
25,19,13,1,0,1,1,59.76509410542304
32,34,10,0,1,1,1,62.6124594555091
28,25,12,1,1,1,1,61.37690281240711
31,26,12,0,0,0,1,60.593098316419486
32,18,16,1,0,0,0,56.645044668509655
35,24,12,0,1,0,0,59.34112121006488
31,17,11,0,1,1,0,56.5340839160836
32,19,6,0,1,0,0,54.891662511112
42,27,9,0,1,1,0,60.49366456772091
31,26,8,1,0,1,0,59.68999507311744
45,30,10,1,1,1,0,61.1899794465493
28,20,11,1,0,0,0,57.200884927052144
27,25,11,0,0,0,0,58.15525513157578
27,25,5,1,0,1,0,58.120489362903264
30,21,8,1,0,1,0,57.5418586393012
34,12,4,0,0,1,1,59.26835053739907
25,19,11,1,0,0,0,57.372120261731936
32,22,12,1,1,1,0,55.706753934087615
22,27,11,1,1,0,0,56.23150479137888
29,18,9,1,0,0,0,57.075220766936496
30,22,13,0,1,1,0,55.90032077086621
32,29,6,1,1,0,0,58.25247154796296
19,34,6,1,1,0,0,57.88193309632205
22,15,8,0,0,1,1,58.5282246520867
41,17,9,0,0,0,0,57.99539219293332
42,16,13,0,0,0,0,58.30902588252225
22,21,10,0,0,1,1,60.37655770848743
20,28,12,1,1,0,0,56.63781194959707
26,12,13,1,0,1,1,57.978316941523495
32,9,11,1,0,0,1,58.01923839400469
15,19,14,1,0,0,0,53.97103350615366
21,16,5,0,1,1,1,57.169476047138815
25,21,12,0,1,0,1,59.62094760299375
23,23,6,1,1,1,0,56.27868826850209
39,19,8,1,0,1,0,59.43894201824056
27,22,11,1,0,1,0,59.42429018736668
29,21,10,1,0,1,1,62.09883248058895
20,10,9,0,0,1,1,57.19521802908808
39,23,12,0,0,0,1,61.80170990010974
36,16,3,0,0,0,0,55.63636060920928
29,24,6,0,1,0,0,57.17844489153632
23,20,9,1,0,1,1,58.14602979004788
46,17,9,0,1,0,1,60.23516833102621
36,8,11,0,1,0,1,56.69592094839242
40,23,7,1,1,0,0,57.28344407186848
26,16,10,0,0,0,1,58.937160382527935
