years_in_community,household_size,social_trust_score,owns_home,employed_full_time,invited_to_community_leadership_workshop,attended_workshop,community_engagement_index
0,3,1,0,0,1,1,50.09096243501308
4,2,0,0,0,0,0,46.125985554507935
6,2,0,0,0,0,1,49.3504428223084
5,3,0,1,1,1,0,45.79785856034015
4,2,0,1,1,0,1,50.595585330549184
2,2,0,1,1,1,1,48.34382619624789
2,2,0,0,1,1,0,48.303587699110295
1,2,0,0,0,0,0,49.47988059270022
3,3,0,1,1,1,1,51.97977149608694
5,3,0,0,1,1,1,48.05211824535518
4,3,0,0,0,0,0,47.26225080144233
4,3,0,1,1,1,1,49.72207976081906
4,3,0,0,1,0,0,48.55964918402289
5,3,0,1,0,1,0,47.228142945526
7,2,1,0,1,0,1,47.57896783475591
7,1,0,0,0,1,1,46.9702201904726
3,3,0,1,1,1,1,50.20302172016373
5,2,0,1,1,1,1,50.2070601797526
4,4,0,0,0,1,0,48.60394752155778
6,3,0,1,1,1,1,48.54872426957593
8,3,0,1,1,0,1,49.708177814059816
5,4,0,0,0,1,1,51.88620048280645
3,3,0,1,1,0,1,50.244249770546354
5,3,0,1,1,1,1,51.50840234298721
4,2,0,1,1,0,1,49.73507804695178
4,3,0,0,0,0,0,47.2216120947935
2,3,0,0,0,1,0,48.68982631666358
0,4,-1,0,0,1,0,50.816811319676304
4,3,0,0,1,1,0,49.62346678985233
3,3,0,0,1,1,0,48.24094872473896
2,2,1,1,0,0,0,49.588293288158006
0,3,1,0,0,1,0,48.62325622420369
10,2,0,1,1,1,1,47.162572659401285
1,2,0,1,0,1,0,48.05863789992239
5,3,0,0,1,0,0,47.22067708320292
1,2,0,0,0,0,0,49.65118717104485
4,2,0,0,1,0,1,50.23947210071724
6,3,0,1,1,1,1,48.648219862069055
0,1,-1,1,0,1,0,48.79840504828027
0,2,0,1,1,1,0,49.888333551682905
2,2,0,1,1,1,0,48.05674679830224
5,2,-1,0,0,1,0,47.24951114647512
2,3,0,1,1,1,1,51.94678735597302
4,3,0,1,0,1,0,48.01487803189762
4,3,0,1,1,1,1,50.73162777014576
5,3,0,0,1,0,1,49.595085582975386
4,2,1,0,0,1,0,48.08540711559007
3,3,1,1,0,1,1,49.800017847092334
5,2,0,1,0,1,1,49.282820736226505
3,2,0,1,0,1,0,48.57474711662848
0,3,0,1,1,1,0,50.42744307461584
0,3,-1,0,0,0,0,51.301306510633374
4,2,0,1,0,0,0,47.13373548341677
5,2,0,1,0,1,0,46.19133664027344
4,3,0,0,0,0,0,49.49360111011661
2,2,0,0,0,0,0,48.266827542346206
2,3,0,1,1,0,0,49.45972757108812
5,3,0,1,1,0,1,49.78792291144597
5,2,0,1,1,1,1,49.16392029127488
3,3,0,0,0,0,0,48.66612797586392
3,3,0,0,0,0,0,49.824162780087086
2,3,0,1,0,1,0,51.32704575498028
5,2,0,1,0,1,1,48.27954064669658
4,3,0,1,1,1,1,51.267416132888826
5,3,1,0,0,1,1,48.793534080256926
8,4,0,0,1,0,1,48.88680913422377
3,3,1,1,0,1,0,46.93451903852965
3,3,0,1,1,1,1,50.68419708468129
4,3,0,0,1,0,0,49.39434642961531
6,2,0,1,1,1,1,47.50063370857651
2,3,1,0,1,0,1,50.41345121294143
6,3,0,1,0,1,1,51.043480879954686
2,3,0,1,0,1,0,49.04612693246787
4,2,0,1,1,0,0,46.62395182560528
6,2,0,1,0,1,1,47.63213812655631
5,2,0,1,1,0,1,48.692214407913305
5,2,0,0,0,1,0,46.49009004994866
3,3,0,0,0,1,1,50.73004302390116
1,3,0,0,1,1,0,48.904941795129645
3,3,0,1,0,0,1,49.22462950756417
1,3,0,1,0,1,0,50.0623234458703
2,3,0,1,1,1,1,51.57074736633953
1,3,0,1,1,1,1,52.42431564198697
6,1,0,0,1,1,1,49.05920226029153
8,2,0,0,1,1,1,48.63365572170012
8,3,0,1,1,1,1,46.51492609824043
5,2,0,1,1,1,1,48.410694022765625
8,2,0,1,0,1,1,49.01278414567999
5,4,1,0,1,0,0,49.01118654623983
6,2,0,0,0,1,1,48.38374073256518
2,2,0,1,1,0,1,50.793490276644
3,3,1,1,1,0,1,49.8666098210398
2,3,0,1,1,1,1,52.43818123661871
6,2,0,1,1,1,1,48.73271171662108
6,2,0,0,0,0,1,47.67562682290186
2,3,0,1,0,0,0,48.62427954421813
3,4,0,0,1,1,1,52.90850859735461
4,2,1,1,0,1,1,49.44465916257214
1,3,-1,0,1,1,0,50.446891261384565
1,2,0,1,0,1,0,49.68859188546347
1,3,0,1,1,1,1,52.52484905077558
1,3,0,1,1,0,0,48.86182122296253
0,3,0,1,0,0,0,50.474213088612856
3,3,0,0,0,0,0,48.21129279837993
3,4,0,1,0,1,0,50.40572303474125
2,3,0,0,0,1,0,49.68158364413092
5,3,0,1,1,1,0,46.90467560721177
3,3,0,1,1,1,0,47.96143825818978
4,3,0,1,1,0,1,48.913292168949525
3,2,0,1,1,1,1,49.16503423648263
1,2,0,1,1,0,1,51.61449402670871
1,2,0,1,1,0,0,50.72670645831464
2,3,0,0,0,1,0,50.52566450667549
3,2,0,1,1,1,0,49.40519237756026
6,2,0,0,1,1,1,50.244322507522895
3,3,0,1,0,1,1,50.627114656809226
2,3,0,1,1,0,0,49.99993264712241
3,3,0,0,0,1,1,48.33691620649984
8,1,1,1,0,1,1,44.93231337803276
1,2,1,1,1,1,0,47.36554305695473
1,2,0,1,0,1,1,50.96633299627634
7,3,0,1,0,0,1,49.3396286226428
5,2,0,1,1,1,1,49.27129185611452
0,3,0,0,0,0,0,48.71559068091162
5,2,0,1,1,1,0,46.707934013308936
2,2,0,1,0,0,0,49.10877371368697
4,3,0,0,0,0,1,50.63038981257724
1,3,0,1,0,1,1,51.80623190762564
4,2,0,0,0,1,1,48.95412671414621
0,3,0,0,1,0,0,49.934553403699454
3,3,0,1,0,1,1,49.92647403481882
2,2,0,0,0,0,0,48.67583974929644
7,3,0,0,0,1,0,47.313792816078895
4,3,0,1,1,0,1,50.62588606445221
2,2,0,1,1,1,1,48.83153641794303
4,2,0,0,1,0,0,47.06325719549768
4,3,0,0,1,1,1,52.81085691793203
2,2,0,1,1,1,1,52.34652279709135
3,3,0,1,1,1,0,48.53580764771093
0,2,0,0,0,1,0,49.01425353886981
1,3,0,0,1,0,0,50.61788184581972
2,2,0,0,1,1,0,48.90993256486624
6,2,0,1,1,1,1,48.518461110312245
6,3,0,0,1,1,1,49.065020143506
3,2,0,1,1,1,1,50.25129464455405
-3,2,0,1,0,0,0,51.3604046775498
6,4,0,0,1,1,1,50.44958086021317
7,3,0,1,0,1,1,49.21391813112043
6,1,1,1,0,1,1,46.416082233414656
1,2,0,0,1,1,0,48.25385767886272
8,4,0,0,1,1,1,48.57670927279143
-2,2,-1,1,0,0,0,50.75572372348513
1,3,0,0,0,1,0,50.74551410063698
1,3,0,1,0,1,0,48.577581483527815
4,2,0,1,1,1,1,48.97486429510005
5,3,0,1,0,1,1,50.22068155265066
5,2,0,1,1,1,1,48.33407441370609
5,2,0,0,1,1,1,50.93523436064659
5,4,0,1,0,0,1,49.52937749127934
3,2,1,0,1,1,1,48.25904099110792
4,2,0,0,0,0,1,50.04503382955376
3,3,0,1,0,1,0,48.87990140533592
4,3,1,0,0,1,1,50.39590938725578
0,3,0,1,0,1,0,49.01379801543432
3,2,0,1,0,0,0,47.372075762873614
4,2,0,0,0,1,1,48.93762053566038
2,3,0,1,1,1,1,49.72488232271137
0,3,0,1,1,1,1,51.98572410594432
7,2,0,1,1,0,1,47.35441487479855
3,3,0,0,1,1,0,48.43655305758447
3,3,0,1,1,0,1,49.04323910458277
3,2,1,0,0,1,0,47.60304144183467
5,2,0,1,0,1,1,47.60467555485927
5,3,0,0,0,1,1,51.51347671809041
2,3,0,1,0,1,0,50.4832758697104
0,3,0,0,0,1,0,50.42269000949501
3,2,0,0,1,1,1,48.84754933941962
2,3,0,1,1,1,1,50.130903251162295
2,3,0,1,1,1,1,49.99749444406267
4,3,1,0,0,0,0,49.60848320116708
4,2,0,1,1,0,1,49.62697571017626
2,2,0,1,0,0,0,48.42686266971266
3,3,0,1,0,1,1,50.30309264456999
7,2,0,1,1,1,1,48.29040584122279
2,3,0,1,1,1,1,48.94997365541912
2,3,0,0,1,0,0,48.22120953670051
3,2,1,0,1,1,0,47.2556838747438
2,2,0,0,1,1,1,48.80739234751366
5,2,0,0,0,1,1,48.80979636005989
6,2,0,1,1,1,1,49.45849465622216
2,3,0,1,1,0,0,50.18488833644206
4,2,0,1,1,1,1,50.48518435480225
4,3,0,0,0,0,0,48.35937453444319
5,2,0,0,0,1,1,47.95395948785469
1,2,-1,1,0,1,0,50.889069877394405
5,2,0,1,1,1,1,47.832112433893954
7,2,0,0,0,1,1,48.15975609714574
2,3,0,1,0,1,1,50.92402654364722
0,3,0,1,0,0,0,49.58158100360178
6,4,1,1,0,1,0,49.75502706170548
6,3,0,0,0,1,1,49.6815447826143
4,2,0,1,1,1,1,50.43391266063451
2,3,0,0,1,0,0,49.08533435784232
2,4,0,1,1,1,1,52.45059449941101
7,1,0,1,1,0,1,46.92331828811429
2,3,0,1,1,1,1,49.756263877848646
3,2,0,0,1,1,0,47.988526255842864
3,3,0,0,1,1,1,51.580536188376776
0,3,0,1,0,1,1,51.73695769134698
6,2,0,0,1,0,1,48.18015871934545
6,2,1,0,0,1,0,46.380126453443886
3,3,0,0,0,0,0,50.45229948297043
5,3,0,0,1,0,1,50.40769769009345
3,3,0,1,1,1,1,51.17561241627593
2,2,0,0,0,0,0,48.18723239511825
6,3,0,0,1,1,1,49.20949775981782
2,3,0,1,0,1,0,50.35373904749163
4,3,1,1,1,0,0,47.32248123345023
0,3,0,1,0,0,0,50.98135553106943
2,2,0,0,1,1,1,49.83551115822062
5,3,0,0,0,1,0,46.95655871327693
3,3,0,1,1,0,1,52.123276400759146
1,2,1,0,1,1,0,47.74252393069248
1,2,1,0,0,1,0,48.4999409692593
6,2,0,0,1,0,0,45.03929804084706
8,3,0,1,1,1,1,48.3168321083395
2,2,0,1,0,0,0,48.09133989224614
9,3,0,1,1,1,1,47.69720708908788
1,4,0,0,1,1,0,50.97110382954857
4,3,0,1,1,1,1,49.654704105639816
2,3,0,0,1,1,0,48.6799736333246
1,3,0,1,0,0,0,49.277269391114665
2,3,0,0,1,0,0,49.320606897367966
2,3,0,0,0,1,0,51.07411871217895
2,2,0,0,1,0,0,46.768442716020346
5,3,0,1,1,0,1,49.03320919938447
4,3,0,0,1,1,0,47.303692815626064
5,2,0,0,1,1,1,48.30418700212265
0,2,0,1,0,0,0,50.30851884395361
2,2,0,0,1,1,0,50.05589297384242
-1,3,0,0,1,1,0,49.48063149405166
5,3,0,1,0,1,1,48.04900004245516
3,4,0,0,0,1,0,50.41774782597033
1,3,0,0,1,1,0,50.54669216542524
6,3,0,0,1,1,1,49.23095351382191
5,2,0,0,1,1,1,48.64903997956313
2,3,0,0,1,1,0,49.59122457435572
1,2,0,0,1,1,0,47.53039091769905
4,3,0,1,1,0,1,49.22994194637492
4,3,0,1,1,0,1,47.2615422594188
9,2,0,1,1,0,1,47.07537338273427
3,2,-1,1,1,1,0,49.77545815663264
4,3,0,1,0,1,1,50.63878830522308
4,2,0,1,1,1,1,49.23852124372346
0,2,0,1,1,1,0,48.343256349580805
3,3,0,0,0,1,0,48.25144880365438
0,3,0,0,0,0,0,50.53529723747603
4,3,0,0,1,0,0,47.3313792197226
5,3,0,0,0,1,0,47.301655400259285
8,4,0,1,1,1,1,48.316300443206494
0,2,0,0,0,1,0,50.47621855972061
2,3,0,0,0,0,0,47.40099979132334
2,2,0,1,1,1,0,46.43811088254878
4,2,0,0,0,1,0,49.443733002794815
5,2,-1,1,1,1,1,47.89757033374599
5,2,0,0,0,0,0,46.3028938240282
8,3,0,0,0,1,1,49.942837437624206
4,3,0,0,1,0,0,48.16689726171765
5,1,0,1,1,1,1,47.744659103466994
7,2,0,0,0,0,1,48.28566454011249
5,4,0,0,0,1,1,49.88752623553827
3,3,0,0,0,0,0,49.14933702751883
7,2,0,0,1,1,0,47.09420374830482
3,2,0,0,1,1,0,47.27509587455376
8,2,0,1,0,0,1,45.89652185986252
2,3,1,1,1,1,1,49.81594813472383
4,2,0,0,1,0,0,47.960904237461
6,2,0,1,1,1,1,48.02323510419853
2,3,-1,0,0,1,1,51.41904023483065
2,2,0,1,1,1,1,49.1203651186607
5,3,0,1,1,1,1,50.54318817558951
2,2,-1,1,0,1,0,49.15416407258118
3,3,0,0,0,1,1,48.6359679545064
1,3,0,1,0,0,0,49.95572230709959
6,2,0,1,1,1,0,47.01899905509872
4,2,0,0,0,1,0,48.28793676990506
-1,3,0,0,1,0,0,51.67164405352413
2,3,0,0,0,0,1,51.800260606205015
1,3,0,0,1,1,0,49.20610268843107
3,2,0,1,1,1,1,49.35795650209799
4,2,0,0,0,0,0,48.01615153739655
4,2,0,1,0,1,0,47.35978365440244
2,2,0,1,1,0,0,49.22334092595345
3,3,0,0,0,1,1,51.20184620456088
2,2,0,1,0,0,1,49.88756254322628
4,2,0,0,0,0,0,47.724409038652254
1,2,0,1,1,0,0,47.374211120026914
4,2,0,1,1,1,1,48.254082534143855
4,2,0,1,1,0,1,48.01042017197672
3,3,0,0,1,1,0,47.63993742493084
3,2,0,1,0,0,0,48.437711056434296
3,2,0,1,1,1,1,49.65348206988844
3,2,0,1,0,1,1,50.173917474247325
0,2,0,0,1,1,0,49.92518629901409
2,2,0,1,0,1,0,48.32556163595366
5,3,1,1,1,1,0,46.4270285058959
2,3,0,0,1,1,0,49.74369854662008
0,3,0,1,0,1,0,49.480118750234254
3,3,0,0,0,0,0,50.04309389423237
4,2,0,1,1,1,0,48.00676953552575
0,2,0,1,0,0,0,48.38024897179759
2,2,0,1,0,1,0,48.215319971363016
5,2,0,1,1,1,1,47.82410720406499
7,1,-1,1,1,1,0,44.44693995559472
0,2,0,0,0,1,0,46.697506234682365
7,2,0,1,1,1,1,46.4426016117366
0,3,0,1,1,1,0,48.17925887013474
7,1,0,1,0,1,1,46.02459920358211
8,2,0,1,1,1,1,47.530191659656
3,3,0,0,0,0,1,51.625815130740335
3,3,0,1,1,0,0,49.24875875165834
3,4,0,0,1,0,1,53.51911649546053
7,2,0,1,0,1,1,48.07481132735552
3,3,0,1,0,0,0,49.30292605774575
0,3,0,0,1,0,0,49.412127440444
7,3,0,0,1,0,1,48.82063432448023
5,3,0,0,0,0,1,49.48573934758137
3,3,0,0,0,1,1,50.06421450736827
1,3,1,1,1,0,1,49.55457878515013
4,2,0,1,1,1,1,49.65937822755571
2,2,0,0,0,0,0,47.23139554697071
-1,2,1,1,0,1,0,48.08285635918949
4,2,0,0,0,1,1,48.23031290888508
7,3,-1,0,0,1,1,49.55080853309551
1,3,0,1,0,0,0,49.98803143674742
3,2,1,1,1,0,0,47.38494586196786
5,3,0,0,0,1,1,49.87978240152769
2,2,0,0,1,1,1,51.001749100297616
1,3,0,1,1,1,0,49.53255580539679
7,4,0,1,0,0,0,48.27484694793925
6,3,0,1,1,1,1,47.912728533488654
2,3,-1,0,0,0,0,50.14149495737955
4,3,0,0,0,1,1,50.52691888883909
2,2,0,0,0,1,0,47.6166108479768
3,2,0,1,1,1,0,47.144069303863695
8,2,0,1,1,1,1,47.6298471173485
1,3,0,0,1,1,0,51.12086135238589
4,3,1,0,0,1,1,49.697304891350434
3,3,0,1,1,1,1,50.69575416492344
4,1,0,1,1,0,0,47.19175616218707
6,3,0,0,0,0,1,50.27618972940609
5,2,0,1,1,1,0,47.41496825334126
0,3,1,0,1,0,0,47.847740547322594
6,2,0,0,0,1,0,46.59839068614735
0,2,0,1,0,1,0,48.34575350582092
5,2,0,0,1,0,1,49.03065794398068
2,3,0,0,1,1,1,49.99704369325116
4,3,0,0,1,1,1,50.05858400470503
5,2,0,1,1,1,1,48.68934687414934
4,2,0,1,1,1,0,46.49205614013116
5,3,0,0,1,0,1,49.74103563832321
1,2,0,1,1,1,0,49.98214055608999
0,3,0,1,0,0,0,49.99203729546053
2,2,0,1,0,1,0,46.46776654369173
3,4,1,1,1,0,1,48.98665336172709
3,3,0,0,0,1,0,48.88468896046599
7,2,0,1,1,0,1,47.9899059482646
7,3,0,1,1,1,1,48.19671771220595
7,2,0,1,1,1,1,47.350686068538735
5,3,0,1,0,1,1,50.63026514051717
5,2,0,0,0,0,0,47.93785232886109
3,3,1,0,1,1,1,49.25292831531348
3,3,0,0,1,1,0,48.93449300515571
2,3,0,0,1,1,0,48.77409778522135
3,3,0,1,0,1,1,49.30978895099864
2,3,0,1,0,1,0,48.4928074957884
3,3,0,1,0,0,0,49.441932400256576
0,2,0,1,1,0,0,48.68628567395667
0,3,0,0,1,1,0,50.63082591180134
0,2,0,1,0,1,1,52.57117648740012
5,2,0,1,1,1,1,50.137303362791535
1,2,1,1,1,1,0,45.905991149928944
3,3,0,1,0,1,1,49.57957060013096
0,3,0,1,1,0,1,50.48655302171224
2,2,0,0,1,0,0,47.628719372491936
4,4,0,1,0,1,1,51.38506664076537
1,3,1,1,0,0,0,49.865896145825225
4,1,0,0,0,1,0,46.82891552205083
2,3,0,1,1,0,0,49.2631367776717
5,2,0,1,1,1,1,50.89863538942191
8,3,0,1,0,0,1,46.33758949935056
6,3,0,1,1,1,1,49.60027497540297
2,3,0,0,1,1,0,48.77973715146983
4,2,0,1,1,1,0,48.5027015774911
3,3,0,0,0,1,0,50.32551909587869
7,2,0,1,0,0,1,48.72569136855465
7,3,0,1,1,0,1,48.16126319884305
5,3,0,1,1,1,1,49.8455210282758
3,2,0,0,1,0,0,48.73707859303919
4,3,0,0,1,1,1,49.980807695575706
6,1,0,1,0,1,1,48.90071377236116
7,3,1,1,0,1,1,47.496337885989554
1,3,0,1,1,0,0,49.58351909297665
5,2,0,1,1,0,0,45.9966843178341
5,3,0,1,0,1,1,50.111254952554766
6,3,1,0,0,1,1,50.95378787998384
2,2,0,1,1,0,1,49.82466672954681
7,2,0,0,0,0,0,43.4131673257178
6,2,0,1,0,1,1,49.42300956892141
2,3,0,1,1,0,0,47.70163169969886
0,1,-1,1,0,1,0,48.73259343836533
5,3,0,0,1,1,1,50.17011085824936
4,3,0,0,0,1,0,48.64539586058224
3,3,0,0,1,1,0,48.68628034539171
1,3,0,0,1,0,0,50.6421853153046
1,4,0,0,0,1,0,49.32843930218918
3,2,0,0,0,0,0,47.921175741389874
5,2,0,0,1,1,1,48.34005000335782
7,3,0,1,0,0,1,47.76572756740648
3,2,0,1,1,0,0,48.76238393902382
8,3,0,1,0,0,1,49.05747610803566
2,2,0,0,1,1,1,51.13017463218681
0,3,0,0,0,1,0,50.8535372727122
3,3,0,0,0,1,1,51.224395476783066
2,2,0,0,0,1,1,50.81402546264266
0,2,0,1,1,1,0,48.90960125212839
0,3,0,1,0,1,1,52.2848685683398
2,2,0,1,1,1,1,50.69337859905036
5,3,0,1,1,1,1,50.558295126048506
2,3,0,0,0,1,0,48.76021080911552
2,3,0,1,0,1,0,48.12274120642632
-1,3,0,1,1,0,0,51.994525510432304
2,3,1,1,0,1,0,48.6525602497582
0,2,0,1,1,1,0,50.12806617340559
5,2,0,1,0,1,1,49.20958902383447
2,3,0,1,0,0,0,49.12494850432228
2,3,0,1,1,1,0,48.899320736670894
5,2,0,0,1,1,1,47.454959441206746
4,2,1,0,1,1,0,47.23851830210039
0,3,0,1,1,0,0,49.58560325987518
5,2,0,0,1,1,1,49.72186231858704
4,3,0,1,1,0,1,50.66636962372685
4,3,0,0,0,0,0,47.353656246502055
5,2,1,1,0,1,1,46.65177758743551
9,3,0,1,1,1,1,49.39748433320735
0,2,0,0,0,1,0,50.732102647114864
3,3,0,1,0,0,0,49.85899737103821
4,3,1,0,0,1,1,50.20072133442898
5,4,0,0,1,0,1,50.8336017133036
5,3,1,0,1,1,1,50.47733923696048
4,2,-1,0,0,0,0,48.72829046146967
0,1,0,0,0,0,0,47.348763417970815
2,2,0,1,1,1,1,50.906761222676494
2,3,1,1,0,0,0,48.3968226598778
4,2,1,1,0,1,0,43.63892591140543
3,3,0,0,1,1,0,47.43473706487927
8,2,1,0,0,1,0,44.60952693457424
2,3,0,1,0,0,0,49.10862659936937
3,3,0,1,0,0,1,51.164029353506734
7,3,0,1,0,1,1,48.86286808253959
1,2,0,1,1,1,0,49.599879216700494
4,3,1,1,1,1,1,49.38874306509531
2,3,0,1,0,0,1,51.59059404911639
10,2,0,0,0,1,1,47.23355705886195
3,2,0,0,0,0,0,46.78447939658993
4,4,1,0,1,0,0,49.47644091980531
0,2,0,1,0,0,0,48.71735065165207
3,2,0,0,1,1,1,50.11062786206198
3,2,0,1,0,0,1,48.91542017186481
3,3,0,0,0,0,0,48.98359248599348
5,2,0,0,1,1,1,49.50086345845961
8,3,0,0,0,0,1,49.1305781000568
8,3,0,1,1,1,1,49.413418396572034
3,3,0,1,1,1,1,50.90275000873753
5,2,1,1,0,1,1,47.46417660715118
0,2,0,0,0,0,0,49.47720338331138
2,2,0,1,1,1,1,49.596894751028735
3,3,1,1,1,0,0,46.31416474008068
6,2,0,1,1,0,0,46.38632348696059
0,3,1,1,0,1,0,48.912138490871406
3,2,0,1,0,1,0,46.58334184334066
5,4,0,0,1,1,1,50.826618208104094
-1,2,0,1,1,1,0,49.65378891850912
3,3,0,1,1,1,1,49.95699273484071
4,3,0,1,1,0,0,46.87154709668693
3,2,0,1,1,1,1,49.85899101169672
3,1,0,1,0,1,0,47.530483337474486
3,2,0,1,0,0,0,47.49520186528026
6,3,0,0,0,1,1,50.779971176212015
6,3,0,0,0,1,1,50.612592321625286
4,3,0,1,1,1,0,49.2039905240602
3,3,0,0,0,1,0,48.20087395057226
2,2,0,1,0,1,0,47.65680519298819
4,2,0,1,1,0,0,47.78501650468275
4,2,0,0,1,1,1,49.554243958060056
5,3,0,0,1,1,0,47.6483286083312
2,3,0,0,1,1,0,50.423071756011474
1,2,0,0,0,0,0,46.578151129634286
4,2,0,1,1,0,1,50.35424354998691
5,2,0,1,1,1,0,46.45665097943101
5,3,0,0,1,1,1,49.65636253702197
2,3,0,0,0,1,0,50.07995032598471
6,3,0,1,1,1,1,48.81869103887016
2,2,0,1,1,1,0,48.18629471539342
4,2,0,1,1,1,0,47.30838568905309
5,2,1,0,0,1,1,49.87041932541423
4,2,0,1,0,1,1,50.43997504314983
3,2,0,0,1,1,0,48.199949190923896
3,2,0,1,1,1,1,49.14240164855685
6,3,0,0,1,1,0,49.046111114630335
2,2,0,1,0,1,0,48.42281009556682
6,3,0,1,0,1,1,49.69266383491153
4,2,0,1,1,1,1,50.279698616251856
3,3,0,0,0,0,0,49.17541887422052
4,3,0,1,1,0,1,49.44939317871136
4,3,0,1,1,1,0,46.58068217269385
0,2,0,0,1,1,0,50.19083456198016
3,2,0,1,0,0,0,48.362991111791
-1,3,0,1,0,1,0,50.76094138914269
4,3,0,0,1,1,1,50.8219436648698
2,2,0,0,0,1,0,46.51504274862953
-1,2,0,1,1,1,0,48.94214030003666
4,1,0,1,0,0,0,46.06928953991558
1,2,0,1,0,1,1,50.05558458165098
6,2,0,0,1,1,1,48.91127182596814
1,1,0,1,1,1,0,47.1720506997595
4,3,0,1,0,0,0,49.01843916288925
3,3,0,1,0,1,1,49.40234361484956
9,3,0,1,0,1,1,49.68102134859717
0,3,0,1,1,1,1,52.12735636225651
3,2,0,0,1,0,1,48.887688884244426
1,1,0,1,1,1,1,50.71219231104021
5,3,0,0,0,1,1,49.75795735066174
2,3,0,0,1,1,0,48.5066674512773
2,1,0,1,1,0,1,48.00992958998285
3,2,0,1,1,1,0,48.83103022494552
3,2,1,1,1,1,1,48.949017909117416
0,2,0,0,1,1,0,48.928075326727296
3,2,0,0,1,0,1,49.15034765519303
6,3,0,1,0,1,1,49.93906647431901
7,3,0,0,1,1,1,50.07708388174325
2,2,-1,0,1,0,0,48.0589946228237
4,3,0,1,1,0,1,50.46269655250984
3,3,0,1,1,1,1,50.664498270036646
