worker_age,years_of_experience,union_membership,job_training,minimum_wage_increase,job_satisfaction
28,27,0,0,1,98.09545835907126
31,27,0,0,1,99.43150120378986
31,23,0,0,1,95.28449909018669
0,35,1,1,1,89.52987041828709
15,24,1,0,0,81.65941177559387
17,18,0,0,0,76.60585639615064
20,24,0,0,0,84.19283900620667
38,26,0,1,0,95.61866828270868
21,26,0,0,1,92.25854346327392
23,28,0,0,0,88.74016869853763
33,32,1,0,1,103.64748002652168
12,22,1,0,0,78.7927924531942
40,24,0,1,1,100.73923713907932
27,29,0,0,0,91.80360675133946
33,25,1,1,1,98.5110071776793
37,20,1,0,1,96.96866803938762
40,19,0,0,0,89.63348345384992
25,19,0,0,1,87.95600463624409
15,22,1,0,1,85.19792944067892
40,17,1,1,0,90.65533319174294
17,18,0,0,1,82.0051406960045
22,27,0,0,1,93.09969576315258
27,24,1,0,0,87.34230881324194
33,27,0,1,0,95.06667531991616
28,27,0,1,0,90.08948845042384
20,23,0,0,1,88.43006944717897
28,21,1,0,1,91.6456264485803
23,27,1,0,0,87.03968151950818
30,21,1,1,1,94.3654412109237
18,24,1,0,0,83.23739978817366
13,18,0,1,0,77.05116481685998
25,28,1,0,0,89.22484325041407
30,20,0,0,1,90.32584789700256
32,23,1,0,0,87.54534770984903
23,26,1,0,1,95.0076607304207
16,22,1,1,1,86.37236900081109
38,31,0,1,0,101.07913683657472
18,27,1,1,0,85.54407843051038
36,28,1,0,1,102.46113798798932
25,27,0,1,0,92.31454589365896
26,27,0,0,1,98.60661347932512
20,27,1,0,1,92.11451194901072
27,22,0,1,1,91.64509976764536
21,20,1,1,0,80.45368543823082
21,22,1,1,1,87.61472224039443
23,20,0,0,1,88.10331178559917
30,16,1,1,1,89.81902221008801
30,25,1,1,1,96.5999291703142
41,23,1,0,0,96.3935470903576
52,18,0,0,0,94.98287224005652
25,28,0,0,1,96.24286739449978
18,24,1,0,0,82.18764200448061
38,29,0,0,0,99.35368554369994
43,25,1,0,1,103.4697947211658
22,26,1,1,0,87.79569894638372
41,23,0,1,1,101.31555893017106
36,26,1,0,0,96.94657362056388
23,28,0,0,1,95.54957561581632
38,27,0,0,0,97.15364254390528
38,29,0,1,0,98.69283465402148
31,29,0,0,1,101.70719842379752
30,29,0,0,1,98.70437737241043
34,24,0,0,1,97.59923821166196
12,22,1,0,0,79.43819832234794
40,21,0,0,1,98.95454816814626
19,22,0,1,1,87.95727217149532
22,22,0,1,0,84.15406358825093
23,30,0,0,0,91.0680667056779
26,24,0,1,0,86.4352715397648
28,32,1,1,0,95.5343414122161
21,23,0,0,0,82.52962479938384
31,21,0,1,0,87.6397253693335
17,28,1,0,0,88.96618546187987
16,28,0,0,1,91.46966794715829
12,26,1,1,1,87.90772638104201
29,21,0,0,0,86.32360845429122
15,27,0,0,1,89.53384287437882
26,19,0,0,1,87.94274329476967
20,25,0,1,0,84.61313344910819
19,27,1,0,1,91.9881959981704
48,24,1,0,0,100.75117835525508
25,22,1,0,1,89.97766068349311
20,24,0,1,0,85.89223970286469
20,23,1,1,1,90.91503498443706
31,18,0,0,0,84.85583633598661
21,22,1,1,0,84.12901518604495
30,18,1,0,1,92.3221198646466
14,26,0,1,0,81.76611184895856
13,24,1,1,1,86.22526427998922
36,30,1,1,0,98.97702560015485
27,26,1,0,0,90.72659595390418
31,23,1,1,1,96.5913424470076
37,25,0,1,0,94.30171769471762
24,25,0,0,0,86.45777349660867
11,22,0,0,0,78.13177961871139
19,26,0,0,0,84.46192733357846
28,27,1,0,1,98.168734788582
40,33,0,1,0,103.29493178185092
17,28,0,1,0,86.26168216879226
13,25,0,0,1,87.97534284406133
22,19,1,0,0,80.67333578692454
18,25,1,1,1,89.946740910909
31,21,0,0,1,94.00730094817312
5,17,1,1,1,77.17571236284498
29,19,0,0,0,86.00057985836678
25,22,1,1,0,86.49649720200135
37,17,1,0,0,88.17112239620207
20,28,0,1,1,93.36860877899882
31,25,1,0,0,92.82489886650728
14,21,0,1,0,78.89812168546173
20,25,0,0,1,90.99978521966948
27,17,0,0,1,88.47965601069312
3,22,0,1,1,79.18826838966828
1,28,0,0,1,82.10053491306513
8,23,1,0,0,75.58143300282939
14,25,0,0,0,80.10315484997061
27,25,0,0,0,89.33496598123216
20,26,1,1,1,91.9195252687788
34,26,1,1,0,94.42338260913785
28,20,0,1,0,86.37838589342495
33,25,0,1,0,93.71973786981664
42,25,0,1,1,101.49986411798209
21,29,1,0,1,95.79023016194508
43,28,1,1,1,106.5667128131456
30,21,1,1,1,92.80354852744571
18,27,0,1,1,91.3520138088825
22,24,0,0,0,84.0874193720043
30,28,0,1,1,98.68961721510787
23,23,0,1,0,83.40192620168379
18,26,0,1,0,84.27153573951728
26,22,0,0,0,84.05771976557607
20,22,0,1,0,83.07709700584937
44,31,0,0,1,107.51173279877864
24,25,0,0,1,93.54300305215487
12,25,0,1,1,86.13196847692262
24,29,0,0,1,95.84985837135248
3,28,1,1,1,85.62059145304194
12,25,0,0,1,86.3543405938329
36,27,1,1,1,101.07519716695268
47,18,0,0,0,94.59101450237394
29,24,0,0,1,93.38729533755571
25,20,0,1,0,84.8860439335847
9,23,0,0,1,81.9518501339056
38,26,0,1,0,96.58453773180294
19,25,0,1,0,84.90955824408775
6,20,0,1,1,77.49013680460462
18,34,0,0,0,92.81305368067996
23,22,0,1,0,83.00663952945948
2,27,0,0,0,74.93781089977449
21,24,0,1,0,84.49352878590115
23,21,1,1,0,83.94085084152805
21,22,1,1,1,88.80940309183262
30,21,0,1,1,93.22441504698594
21,25,1,1,1,92.95475553501296
38,26,1,0,0,96.84868325472289
24,30,1,0,1,97.68138036777236
29,31,0,0,1,99.93786205267922
50,30,0,0,1,112.37665620499656
18,25,0,0,0,85.28766303368145
28,24,1,1,1,95.20086944488962
29,20,0,0,1,91.62945239245744
12,27,0,0,1,89.20942238043826
8,20,0,1,1,79.2558015547264
26,21,0,1,0,85.35107385578053
15,25,0,1,1,87.42587846422167
14,21,1,1,0,78.82614360085981
35,22,0,0,0,89.53845101209363
31,21,1,1,1,94.5185271168422
16,21,0,1,0,80.15044284301376
35,17,0,1,0,85.52551412161954
13,28,1,1,1,90.12144394457134
38,15,0,1,1,92.94101327473568
32,24,0,0,1,96.658907000409
35,24,1,0,1,99.12514702241762
12,32,1,1,0,87.28445548463479
36,26,0,1,0,94.84306862383566
12,30,1,0,0,84.23405104910714
24,20,1,1,0,83.11458820081789
16,20,0,0,1,84.97133395753403
22,25,0,0,0,86.1893491382832
36,23,0,1,0,89.70640851651905
27,29,1,1,0,93.8989175745197
11,25,1,1,1,86.18296294039229
35,19,1,1,1,95.16497989724186
27,30,0,1,0,93.88259825562216
36,26,1,0,0,95.0020825927824
43,25,0,0,1,101.8400853542039
31,26,1,0,1,97.2966961719472
10,25,1,1,1,85.33817946342174
24,30,1,0,0,91.87554222238693
11,24,1,0,1,85.1895633799385
17,17,1,1,0,76.01706738730832
19,31,0,1,0,89.34161912822053
3,23,0,0,0,72.10174592848625
10,22,0,0,0,75.11880962901701
16,25,1,1,1,87.34829026094845
32,25,0,0,0,90.99276692699326
18,25,1,1,1,90.9701626682346
23,25,1,0,1,91.12542162379656
27,27,0,1,0,90.2359810194945
14,17,1,0,1,81.94720339894768
32,16,0,0,1,89.22756294797814
14,25,0,0,1,87.2330993057384
18,22,0,0,1,86.87857787418221
35,22,0,0,0,89.05760762874661
12,20,0,0,1,81.90290498242733
11,26,1,1,1,86.34387444939767
38,25,0,1,0,95.79813453126911
14,23,0,1,0,80.25025180169648
31,19,1,0,1,92.70903386481282
24,25,1,0,0,87.06741845624313
49,30,0,1,1,112.3434434538854
14,25,1,0,1,88.52309185142462
17,23,1,0,0,82.74104983174102
20,26,0,1,1,92.2737147266368
13,23,0,0,1,84.52749523572724
2,27,0,0,0,77.29154885996296
20,18,1,1,0,78.51458478274536
17,25,0,1,1,88.50816748734826
36,9,0,1,0,80.07275331039567
20,19,1,1,1,87.41577483348833
25,25,1,1,1,93.54471763312416
35,25,0,1,0,93.66659443755115
29,25,0,0,1,96.3345180761918
21,27,0,0,0,89.28712098766576
24,22,0,1,0,85.25996682437379
22,15,1,0,0,79.33385192617354
12,32,1,0,0,86.20822808908872
32,23,0,1,1,94.8496796251148
31,29,0,0,1,98.2364913945962
31,22,0,0,0,91.52242323847204
19,26,1,0,0,86.68318249564626
14,27,0,0,1,87.615622361194
20,31,0,1,0,90.96325893982322
23,32,1,0,1,98.84246199579609
20,24,1,0,0,84.78648026408086
47,27,0,0,1,106.9103191033663
12,24,0,1,1,85.61277449158034
46,19,0,0,0,96.02397145876246
35,34,0,0,1,106.508793730816
18,23,1,0,0,83.4453921116262
23,22,0,1,1,90.38127859574936
12,20,1,0,1,81.65534209990913
16,26,1,1,1,88.6854700726008
36,25,0,0,1,99.96376169325106
31,23,0,1,0,89.20691289442178
31,16,1,0,1,88.06541646798915
40,20,1,0,0,92.4811909420966
16,21,0,1,1,86.35945864731418
33,24,0,1,0,93.81589276832106
38,20,1,0,1,98.8876018860669
30,21,0,0,0,87.05461675452851
21,30,0,1,0,90.75082577734358
25,23,1,0,1,92.68042867461796
8,29,0,0,0,80.1475835832648
25,26,0,1,0,88.44027497325743
25,28,1,1,1,98.54810818191623
15,27,0,0,0,82.25542514179786
24,23,1,1,0,88.55467907288656
49,17,0,1,1,101.2048065907103
26,26,0,1,0,89.55741465722139
19,28,0,1,1,94.17166811935051
24,25,1,0,1,90.7126753850093
37,17,0,0,1,94.57409861219315
31,24,1,0,1,97.2515968485209
14,24,0,0,0,80.22416615940809
18,26,0,1,1,89.4749673284453
26,30,0,1,0,92.90007029860423
13,19,1,1,1,83.82514606082916
27,31,1,0,0,95.26700071612704
22,19,0,0,0,80.5551315008705
33,27,0,0,0,93.45001079371298
17,25,0,0,0,84.39949267807606
24,22,0,1,0,85.35328945036882
36,19,1,1,1,95.71735757256124
29,32,1,0,1,101.95030483837152
33,19,1,1,1,92.08179598552624
27,18,0,0,1,89.15143879638967
19,19,0,0,1,85.52260437306538
32,24,0,0,1,95.50717356878812
14,19,1,1,0,78.7425882647126
28,15,0,1,1,86.5370316941145
22,17,0,1,1,84.98619372101359
15,29,0,0,0,84.9563805156646
34,20,0,0,1,93.97722386059296
7,27,0,0,1,84.4620667374209
15,18,1,1,1,82.15106196380717
23,26,1,1,0,88.93307367160854
34,21,0,0,1,96.65103344174524
4,22,0,1,1,78.70256521597167
32,27,0,1,1,99.04403290923464
31,31,1,0,1,102.482620370334
7,19,1,1,1,78.01321031543864
26,25,0,0,1,94.6149742782412
30,29,1,0,0,94.61712060182464
13,31,0,1,0,86.05614501027149
9,25,1,1,1,84.43850257327223
27,28,0,1,0,91.96607412733935
13,28,1,1,1,90.31786682666228
35,21,1,0,1,96.2499285698532
30,17,0,1,1,89.90084515597378
27,20,0,0,0,84.27607635155566
20,21,0,0,0,79.42150297568082
28,26,0,1,0,89.88320873926777
12,29,0,1,0,84.08820065758616
36,27,1,0,0,94.80866244251952
15,29,1,0,0,85.35364770024317
9,26,1,1,0,80.81970205194031
28,24,0,1,1,94.1295726033359
19,26,0,0,1,91.2051541337348
18,18,0,0,0,79.13290011977976
24,23,1,1,1,92.71183069054592
48,25,0,1,0,100.66921531010256
32,19,0,0,1,92.19647795121386
6,27,1,0,1,84.46467360265345
23,29,0,0,1,95.5643350229817
25,22,1,1,0,86.53629530554616
31,25,1,1,1,98.32013981819756
20,25,0,1,0,84.23442828436382
20,24,0,0,0,82.50238218013287
29,22,0,0,1,93.2185922638555
24,21,1,0,1,91.42486046275285
20,17,1,0,0,79.11803580558579
33,23,1,0,1,96.12389638311302
27,27,0,0,0,90.3306536502707
7,18,0,0,1,78.00246311086923
36,24,0,0,0,93.35040641415377
8,22,1,1,0,77.29918750890064
10,27,0,1,1,87.89394247561039
35,27,0,0,0,95.197780067243
21,19,0,0,0,79.76686334874414
14,25,0,1,1,86.65722029706482
14,15,0,0,0,71.99163305680305
16,21,0,0,0,79.39058965563301
32,23,0,1,1,96.81316654507522
6,22,1,0,1,80.1718966843755
16,22,0,0,0,79.33384717917419
13,17,1,1,0,75.46980423475925
29,30,1,0,1,100.84676778633256
10,21,0,1,1,81.04406234543764
21,22,0,0,1,89.86825985321352
23,23,1,1,0,87.05275953731685
34,15,0,0,0,84.34977846394081
19,29,0,0,1,92.62597816920116
33,18,0,1,1,90.70932230327467
24,25,0,1,0,87.04114907263208
42,24,0,0,1,100.14843049185475
13,29,0,0,1,90.09706923588104
34,30,0,1,1,104.40425215813256
19,26,0,1,1,90.84860841427556
30,19,0,0,1,89.88622869739496
34,23,1,0,1,97.8165562383401
25,18,0,1,1,88.16374816997332
23,21,1,0,0,83.09624383132609
25,28,0,0,1,96.19525319587328
28,18,0,0,0,82.78837177465735
20,21,1,0,0,81.12527328820781
23,22,0,0,0,83.5535395834495
22,19,0,1,0,82.0604416195651
21,25,0,0,1,91.52174762664106
20,19,1,0,0,80.22224135970296
31,29,0,0,1,100.84868821176094
19,22,1,1,0,82.57955625893301
23,22,1,1,1,91.22143700308357
9,27,1,1,0,82.38993404868184
48,17,0,0,1,99.9610190381957
25,25,1,1,0,90.86357391326018
34,20,0,1,0,90.4648869442108
33,21,0,0,0,87.80276294571948
25,18,0,0,1,88.17890556534712
27,29,0,1,0,92.76715013490764
19,22,1,0,0,83.9047897811898
19,27,0,1,1,91.03278020582304
32,20,0,0,1,93.64382003922564
28,25,1,1,0,89.7973643186464
37,23,0,1,1,98.51511847997028
26,21,0,1,1,90.22963425389244
29,28,0,0,1,96.56815200182444
35,24,1,1,0,92.67127013109152
37,18,0,0,1,94.99221353534742
21,24,0,0,1,91.33981615676738
36,25,0,1,1,100.0957969678978
16,20,0,1,0,79.07143680369028
11,25,1,0,0,79.74840079347697
41,25,0,1,1,101.89123055391704
45,21,0,1,0,98.46583823856092
17,31,1,1,0,87.57925702229643
12,22,0,0,1,83.7356531861941
30,21,1,1,1,93.53746173924054
26,21,1,1,0,83.94379664779075
57,25,1,0,0,105.45539160248718
13,21,1,0,1,84.07794780264562
21,30,0,1,0,90.12457619403035
30,24,0,1,1,97.03428577674424
28,20,1,1,1,92.06501475350396
16,24,1,1,0,82.81209380395569
33,25,0,0,0,92.63597019021935
6,16,0,1,0,70.21962461594883
39,21,0,0,1,99.13904357326678
35,19,0,1,1,94.38712823256208
36,28,1,1,0,97.65677027062226
28,19,0,1,1,92.17591624372224
20,25,0,0,0,84.78255663534826
25,25,1,0,0,86.92117633915349
35,17,0,1,0,88.55982266316452
17,26,0,0,1,89.74673686963538
22,29,0,1,1,95.32805412737416
18,22,1,0,1,87.31441061445892
39,19,0,0,0,90.88797726503948
33,28,0,0,0,95.0236233100091
29,18,1,1,0,82.77336421506993
17,18,0,1,1,82.59635237852834
36,24,1,0,0,93.84276755616314
18,36,0,0,0,92.6807223519204
29,23,0,0,1,94.17686723180356
14,27,0,0,0,82.4101596795014
38,26,1,0,0,95.25741448321423
33,22,0,0,0,91.56549911241083
21,25,0,0,1,90.13142163888762
32,27,1,0,0,93.56477170745885
35,23,0,1,1,97.14970960316774
42,26,0,1,0,97.4595040472932
19,27,0,0,0,85.12107091741179
34,14,1,1,0,84.02576883669045
20,26,1,1,1,92.68293608024068
31,26,1,1,0,92.81392475059646
39,26,0,0,1,100.88353862502912
27,22,1,1,1,91.46870993193046
26,26,1,0,1,94.97979801233086
20,22,0,0,0,80.64340339449741
2,30,0,0,1,85.43860577793241
10,27,0,1,1,88.22433228453173
30,16,1,0,1,88.55182047274698
31,26,0,1,0,93.37410587718608
23,22,0,1,1,90.48346052235992
32,28,0,1,0,93.60266286258808
27,26,0,0,0,90.49736152746192
21,23,1,1,1,91.05111825657784
46,22,1,1,0,97.74781561833883
44,20,0,0,1,99.81603417945266
32,26,0,0,0,90.80715236275296
27,26,1,1,0,91.03782547193622
43,24,0,0,0,99.39545647111277
16,24,0,0,0,83.4223685507992
12,21,0,0,0,78.36546482744318
30,22,0,1,1,95.11729235647344
38,25,0,0,0,95.83913541165542
16,25,1,1,0,83.81939801719915
26,26,1,1,0,88.93620524622833
29,25,1,0,1,95.15540239914408
26,15,1,1,1,86.71431812786494
32,16,1,0,0,84.0844977629688
41,29,1,0,0,100.18728766003396
12,22,0,0,1,82.8380462891101
13,28,0,0,0,82.58549141750247
36,21,0,0,1,95.58727153983746
40,23,0,1,0,94.85469566987592
26,20,0,1,1,87.44982013128487
-2,30,0,0,0,75.5472308077897
14,26,1,0,1,87.33635771420394
22,25,0,0,0,86.69329426985509
13,23,1,0,1,85.52853924594854
29,26,0,1,0,91.1811832190002
12,23,0,1,1,85.11471499980951
26,25,0,0,1,92.89369651561204
