age,education_years,gender,rural_residence,single_parent,childcare_availability,childcare_subsidy,employment_status
17,30,0,0,0,9,32,171.72323161323806
9,31,1,1,0,9,39,197.7888063386966
13,28,0,1,0,7,30,162.00836264869292
5,30,1,0,0,7,42,209.4327540623725
10,26,0,1,0,7,35,185.49884777265615
8,32,0,0,0,6,36,184.1801200307432
17,33,0,0,0,7,30,159.02022097674987
12,29,1,1,1,10,35,183.2108361237293
10,28,0,0,1,9,35,184.14492800110517
10,33,1,0,1,9,39,197.92970319439948
11,30,1,0,1,7,35,185.07170597248907
9,29,1,0,0,10,38,195.03382791211456
10,30,0,0,1,7,35,182.48350338180816
4,27,0,0,1,4,38,192.5542052327036
8,31,1,0,1,9,41,209.65226221250632
7,27,1,0,0,7,37,190.8761151300895
9,28,1,0,1,7,39,201.7939838801696
8,31,1,0,0,8,38,195.776794193812
8,30,1,0,1,7,41,210.310049577054
11,30,1,0,0,7,36,186.0235170564093
8,32,0,0,0,9,38,191.08484595570405
7,30,0,0,1,4,38,196.3673765459029
12,29,0,0,1,4,34,181.75181744864756
7,32,1,0,1,6,39,198.96679333701476
7,33,0,1,0,11,40,196.7289060011761
4,32,0,1,0,12,46,223.94781143930052
7,35,0,0,0,10,43,209.83828815876677
9,31,0,0,0,9,40,203.82580701005384
10,35,0,0,0,10,39,195.48839439147108
6,30,1,0,1,9,40,200.32292769611396
12,29,1,0,1,9,37,196.13628544328097
13,28,0,0,1,10,32,168.47982024595598
5,28,1,1,0,7,41,210.20022433464547
4,29,0,0,0,8,43,213.5138173928213
7,31,0,0,0,10,40,201.27392735738616
13,27,0,0,0,8,34,182.0564267674825
7,30,0,0,0,5,38,192.3322540988207
8,32,0,0,0,7,37,189.0889594759776
8,31,0,0,1,9,39,196.12929720386427
11,29,0,0,0,10,36,187.68451973103672
10,28,0,1,1,8,38,198.8453121550409
12,28,0,0,0,12,37,193.73200422886083
8,33,1,1,0,6,39,194.6703247348912
9,27,1,0,0,7,37,194.19129954548248
11,29,0,0,1,9,36,187.7471501562563
9,26,1,0,0,9,35,185.4305817852178
9,28,1,0,1,6,36,185.84889706027977
8,31,0,0,0,2,33,169.91862554914346
10,30,1,0,0,9,40,205.19366287768983
5,28,1,0,1,10,41,207.89411471655183
7,33,0,0,0,9,39,193.89045365834744
11,31,0,0,1,8,35,180.25319738044996
0,31,0,1,0,8,46,222.6070217145341
12,26,0,0,0,11,33,175.95807658809164
6,26,0,1,0,13,39,198.91796121948087
6,25,1,0,1,5,37,194.2104117268721
14,30,0,0,0,7,33,176.285610969757
6,31,0,0,0,8,42,211.69506215779592
12,34,0,1,0,6,35,179.77860974777914
12,29,1,1,0,5,32,171.48283866451538
12,30,0,0,0,7,36,188.19760001428008
11,32,1,0,1,9,34,177.83784775478549
11,28,0,1,1,11,37,194.6147277096455
8,28,0,0,1,7,36,188.0094388145574
13,29,1,1,0,5,33,178.31837320109577
9,30,1,1,0,7,35,181.62622809507067
7,30,0,0,0,7,37,186.6534873795557
12,31,0,0,0,10,37,191.71586809162287
8,27,1,0,1,3,36,190.65844603405083
12,32,1,0,0,10,39,202.54912430396595
6,29,1,0,0,7,41,211.00340668704112
5,33,0,0,0,9,40,198.47940497075956
11,33,0,0,1,9,36,184.82519201856744
9,31,1,0,0,12,39,200.94122307993695
10,30,0,0,0,8,37,187.47977204665963
11,27,0,0,1,10,35,183.251309954677
11,27,1,0,0,11,37,194.7523770815456
11,30,0,0,0,8,35,180.74307295983905
13,23,1,1,0,7,33,182.5096031795412
13,30,1,0,1,6,34,177.03617960654714
11,29,0,1,0,9,35,182.36766272243491
10,24,1,1,1,10,37,198.0961167472172
11,28,0,0,0,7,36,188.00961456102175
4,32,0,1,0,8,44,218.59031302149765
10,28,0,0,1,10,35,181.52264289057604
11,30,0,1,0,6,36,187.57655571016988
11,31,0,0,1,11,38,192.58258333194016
12,30,0,0,0,6,34,180.4286643633662
7,23,1,0,0,7,33,176.64910100793824
7,27,0,0,0,2,34,177.4771084192223
16,28,0,0,0,7,30,164.62061535253517
13,30,0,1,0,6,32,170.569832309971
10,33,0,1,0,5,35,178.5957545751179
9,30,0,0,0,7,35,179.8202705846106
12,30,1,0,0,11,34,177.48002961270768
11,27,1,1,0,9,32,167.89439480948363
7,29,0,1,0,8,36,183.65139388051077
12,27,1,1,1,9,38,202.6547954670396
11,32,0,1,0,9,36,184.197244902576
8,29,0,0,1,6,37,190.1241344278822
12,28,1,0,0,7,34,181.9114517726026
7,30,1,0,0,8,40,202.8321420043233
7,29,0,0,1,8,38,193.43122418454533
8,25,0,0,0,7,32,167.79432140109444
9,26,0,1,1,7,34,181.1264290370008
5,30,0,0,0,5,40,199.77639138367903
12,29,0,0,0,9,33,172.76714506663532
7,28,0,0,0,9,39,199.27305324775247
15,30,0,1,0,9,32,171.48874036912298
16,32,1,0,0,6,32,170.8812372172318
5,27,1,0,0,4,37,190.4173053737115
6,28,1,1,0,5,38,194.9813501248611
12,33,0,0,1,11,36,183.11424905188716
11,31,0,0,0,7,34,175.33349263757316
14,31,0,1,0,7,33,173.93889866010238
12,31,0,1,0,6,35,182.9202647017852
9,34,0,1,1,8,37,186.32521287572484
12,31,0,0,0,2,33,173.6493469647246
6,29,0,1,0,10,40,201.03908412588365
8,28,0,1,0,6,37,192.93047868173048
7,25,1,0,0,6,37,194.83465574095783
13,29,0,0,1,6,34,179.96118076553117
12,31,1,0,0,8,34,176.07027837795226
8,31,0,0,0,8,38,192.16788936967748
11,29,0,0,1,12,37,191.83592911643456
14,32,1,0,0,7,33,172.58918754468888
11,25,0,1,0,6,31,167.5874372713701
14,29,0,0,1,10,35,184.17486574307276
9,28,1,1,0,11,41,211.4445962961329
10,33,0,0,0,7,36,183.74533712533625
9,29,0,1,0,8,36,186.9044798067072
11,27,0,0,1,10,36,188.4076170114396
12,29,0,1,0,10,32,168.86019976425783
7,26,1,0,0,8,37,192.29245506282612
8,30,1,1,1,5,38,194.33235059558743
5,28,1,0,0,8,40,203.0637375056276
6,26,0,1,1,9,41,210.42935617723325
9,32,0,0,0,3,36,188.3854474744732
8,29,1,0,0,8,41,210.2231910377396
8,30,0,0,0,5,38,192.88511602866305
8,27,1,0,1,5,37,192.37391252705916
7,29,0,1,1,8,37,190.11253383603844
5,28,0,0,0,9,38,193.79099255113172
10,28,0,0,1,5,36,190.91728961139023
13,27,0,1,0,6,29,160.8311984574572
8,29,1,1,1,6,37,191.60674754340076
8,28,1,0,0,10,40,206.5069245967378
6,32,0,0,0,6,40,197.8146514393902
9,32,0,0,0,8,38,192.2743142525192
9,30,1,1,0,6,36,186.23889482557743
11,32,0,0,0,8,34,173.44910104569274
11,29,0,1,0,7,34,180.15627280196887
11,29,1,0,1,8,37,192.7118857037453
6,31,0,1,1,8,39,197.40941124737216
7,30,0,1,1,7,39,196.28786212203505
5,31,0,0,1,6,40,201.631104744087
12,28,0,0,1,7,33,174.6931377336646
13,28,0,0,0,10,34,181.18610189758397
4,31,0,0,0,9,41,201.13687141718125
9,29,0,0,1,8,39,198.52411023065463
12,28,1,0,0,5,31,166.40452132381907
8,29,0,0,0,9,37,190.50364152726476
6,30,0,1,1,7,36,180.3108112194262
7,35,0,0,0,11,43,212.11011119120795
10,29,0,1,0,7,34,177.10806024115251
5,31,0,1,1,11,43,214.58880364685965
5,33,0,0,1,8,42,206.24008009158192
7,27,0,0,0,9,38,194.48903762624863
7,31,1,0,0,6,40,200.5419337470276
4,28,0,0,0,8,38,191.76299744252827
7,32,0,0,0,6,39,194.7475734465866
10,28,0,0,0,8,31,164.29064565194463
9,32,1,1,0,6,37,191.67559240645505
3,33,1,0,1,8,45,221.6098322513906
7,30,0,0,0,6,35,177.3787598870017
8,30,1,0,1,9,38,193.7711661825046
11,30,1,1,0,7,37,192.2028528148653
4,36,0,0,0,9,44,212.68733139906792
7,28,0,0,1,6,36,185.80494993598825
9,29,0,0,0,9,36,187.4470665910792
8,33,0,0,1,5,36,183.63030540117
13,30,1,1,0,8,37,193.92083001489075
8,27,0,1,0,8,38,200.78481131455027
5,30,0,0,0,7,41,205.46604891676392
11,33,1,1,0,7,35,178.7661043873755
8,26,0,0,1,8,36,187.22346288000816
9,34,1,0,0,8,39,195.92917758207577
9,26,0,0,1,10,37,192.18996818314235
8,31,0,0,0,8,37,186.48842824023396
12,27,1,0,1,10,34,182.1636419700332
8,30,0,1,0,4,35,181.31653803187368
10,30,1,0,0,7,36,188.1789348437484
9,31,0,0,1,7,37,190.9902223983844
13,27,0,0,0,6,31,167.5290452795507
11,31,0,0,0,5,34,176.52271222965703
14,28,0,1,0,13,32,171.1334424154825
9,30,0,0,1,7,34,172.83518940369402
8,28,0,0,0,5,35,181.45769925028011
8,33,0,0,0,10,40,199.99638895911212
8,31,0,1,0,8,38,192.639216919792
15,31,0,1,1,7,34,182.75788870339915
10,29,0,0,1,5,34,176.7199143732356
10,27,1,0,0,6,34,177.580988030803
7,29,0,0,1,8,39,199.2889849081114
14,29,0,1,1,9,34,180.84626403852923
8,32,0,1,0,8,37,186.4044452693952
8,32,0,0,1,8,40,200.8947555231291
9,27,1,0,0,4,35,185.02944867081155
11,29,0,1,0,12,40,206.577401118504
11,30,0,0,1,5,32,169.31993366109054
6,28,0,0,0,6,35,176.879038494412
8,28,1,0,0,6,38,195.77619141385364
12,29,0,0,0,5,34,179.19860906235002
8,26,1,0,0,6,35,181.74347241047096
6,27,1,0,0,10,40,203.5062653244324
12,25,0,0,1,5,31,168.43335091629814
14,29,0,1,0,8,30,161.3366095790918
10,29,0,0,1,5,34,179.3562188337012
5,30,0,0,1,5,39,200.3670824597949
9,29,1,0,1,11,39,198.47518737658967
14,28,1,1,0,9,30,165.047245981584
0,28,0,0,0,4,40,200.1308262997244
8,30,0,0,0,8,40,202.42522779049173
9,28,0,1,1,8,36,184.8057947051171
8,30,1,0,1,6,33,171.85142074996278
6,33,1,0,0,9,41,203.0808993350529
11,30,0,0,0,6,33,171.4209654120445
6,29,1,0,0,5,38,197.9238744609325
3,29,1,0,1,12,41,203.76742959296044
15,30,1,1,0,11,35,187.9038936035102
12,31,0,1,0,7,34,173.43168081952817
3,30,0,0,0,7,42,210.6779147659904
9,27,0,0,0,11,39,201.24442995996128
5,28,1,0,0,9,39,197.65220901505907
9,31,1,0,1,8,37,192.7905734023198
8,30,0,0,0,7,36,182.75836852690807
12,33,0,0,0,10,37,189.96855843243637
12,29,1,1,0,5,34,178.82648026382768
12,33,0,0,1,8,35,177.63397887171928
1,29,0,0,1,8,42,208.98080397724036
9,27,1,1,1,9,38,195.6109423476532
11,30,0,0,1,9,37,192.40112534050715
8,30,1,0,1,8,35,177.55310962940382
9,32,0,0,0,1,32,166.07226344673015
11,29,0,1,0,5,30,157.70829755624916
11,28,0,1,0,7,34,177.14506157174714
11,30,0,0,1,7,36,187.37612659118395
8,32,0,1,0,7,38,192.4285670803649
7,27,0,0,0,8,37,191.66510864923848
9,28,0,1,0,7,36,189.02836237377812
10,29,0,0,1,10,37,191.86183469615668
11,32,1,1,1,6,37,192.86551079620665
7,26,0,1,0,8,37,189.1718308700948
13,33,1,0,0,9,35,181.01186080424716
10,29,0,0,0,5,35,184.7538665737681
10,25,0,0,0,11,33,174.06671531131963
7,27,0,0,0,6,38,195.4463493816504
11,29,0,0,0,6,34,179.12146768056647
15,33,0,1,0,11,37,192.6729266014604
13,29,1,0,0,8,35,185.2162651602499
10,31,0,1,1,8,37,189.17270030797175
15,28,1,1,1,10,33,178.5971921760911
9,26,0,1,0,10,34,176.6802050597833
7,30,1,0,0,11,39,196.12228762301012
8,33,0,1,1,8,38,192.43760584673237
10,30,1,0,0,6,39,202.9565799299055
12,25,1,0,1,7,33,177.70411359136
11,28,0,0,0,10,36,187.4679796963509
10,33,0,0,0,8,38,190.41001894245545
7,27,0,1,1,4,37,191.6148177178711
5,29,0,0,0,7,39,195.4453309672297
8,29,0,1,0,4,34,177.20969580114163
8,32,1,1,0,7,38,193.6801826128903
12,29,1,0,1,7,34,178.8552969900627
7,34,0,0,1,7,37,186.97179725536225
13,29,0,1,1,5,31,166.58214160066075
10,29,0,1,1,7,36,187.7502735559888
9,28,0,0,0,9,37,189.6034547536848
8,27,0,0,0,8,34,177.6909539821694
7,26,1,1,0,9,39,201.08853028001465
7,31,0,0,0,7,38,192.6420719463709
7,28,0,0,0,5,35,179.73824608249294
8,31,0,1,0,9,38,191.8131117429193
11,28,0,1,0,4,32,168.02366232133576
13,31,0,1,0,6,29,154.3228899863397
7,28,1,1,0,6,38,196.74729650275327
12,28,0,0,1,10,35,184.26741862268264
10,29,1,1,0,8,37,191.90258066572164
7,31,0,1,0,3,34,173.41340386568444
11,34,0,1,0,12,40,200.5685047870768
8,29,0,1,0,7,37,190.81003373232176
10,31,1,0,0,6,35,178.34218828063115
12,30,1,1,0,11,37,188.9906764446506
9,28,0,0,0,4,32,171.51007602424554
14,32,1,0,0,7,34,179.95478085682817
7,29,0,1,1,9,42,213.91991936295227
14,31,1,0,0,9,34,178.93612160548832
8,33,1,0,0,9,38,191.8633236488835
7,30,0,1,1,8,40,200.91523818702876
7,28,0,1,1,6,36,185.87240468677567
4,26,0,0,1,8,42,213.5049197604513
8,27,0,0,0,8,38,194.38942069400065
8,29,0,0,0,5,33,171.29767575878364
11,27,1,1,1,11,38,197.64511859507903
8,28,0,0,1,8,37,190.3183101244347
6,29,1,1,0,9,41,207.90817713842492
12,29,0,1,1,7,34,179.38065662569903
9,27,0,0,1,7,37,189.619079553836
7,26,0,1,0,6,35,183.08520550646264
7,26,0,0,0,7,36,187.65918979473716
6,26,0,0,1,7,37,191.74200164426583
10,29,1,0,0,10,39,201.90316257660285
5,31,0,0,1,4,38,191.84684492366864
9,30,0,0,0,5,36,184.6449152711893
9,28,0,1,0,8,36,184.8485981925671
9,27,0,1,0,7,37,192.52525867745035
8,31,0,0,0,7,37,188.24478697162715
6,29,0,0,0,8,37,183.93221425780996
9,27,0,0,1,5,36,187.59797610196412
11,28,1,0,0,5,33,175.90837638674077
4,31,1,0,0,4,40,199.8351416690858
9,29,0,0,1,9,41,210.0771715282254
5,30,0,0,0,9,40,200.34806986100185
8,27,0,1,0,5,35,180.56062255974345
11,30,0,1,0,5,33,171.35619307087617
11,27,1,0,1,2,32,177.05828478936107
12,26,0,1,1,6,34,181.21211703664324
17,30,1,1,0,9,32,171.78225733099492
8,28,1,1,0,4,38,198.5855485623161
9,33,1,1,0,7,37,189.1893082762732
13,29,0,0,0,8,34,178.74102069096634
6,30,0,1,1,9,41,206.60145864642263
12,32,0,1,0,6,36,185.2227646029121
9,29,0,1,0,9,37,191.52428790836183
10,28,0,0,1,8,35,182.30570449524103
4,31,0,0,0,5,39,195.11846324159052
10,31,1,0,0,9,37,186.825989385949
7,26,0,0,0,6,36,185.83973083614345
11,27,1,0,1,6,35,184.96506227343545
5,28,1,0,1,8,40,203.9639521413104
10,27,0,0,1,12,38,196.5314316000172
8,34,0,0,1,4,37,187.76524635154692
13,29,1,1,0,7,32,170.15830975280622
11,28,1,0,0,8,36,188.37842047699084
5,31,1,1,1,9,44,219.5285277816274
11,30,0,0,1,9,35,179.7350962860988
9,31,0,0,1,9,39,195.8710833523074
13,31,0,0,0,8,33,170.7565645734566
13,31,1,0,1,10,33,175.32898009821824
13,29,0,1,1,8,34,179.8055332775368
6,30,0,0,1,5,38,193.2616683662564
12,29,0,1,0,7,31,163.27728698076473
8,26,1,1,0,4,37,195.91894232002383
8,32,1,1,0,7,38,192.7618978639403
6,30,0,0,1,2,38,194.87180737990647
11,28,0,0,0,9,35,181.5924297238056
6,33,0,1,0,6,39,196.29756411266987
5,31,0,0,0,11,41,205.6887941054177
11,28,0,0,1,8,37,192.0547776260016
10,32,0,0,0,8,37,188.73750999873965
13,33,1,0,0,9,35,180.64795116401112
4,34,1,0,0,7,44,219.04054836994263
7,27,1,0,0,7,35,183.64042598068175
11,28,0,0,1,11,36,188.6976252285857
14,30,0,0,0,9,34,179.88310315694525
9,31,0,0,0,8,38,192.12582578291835
6,27,1,0,1,7,35,181.80146674249167
8,31,1,0,0,7,40,204.66414779038345
12,28,0,0,0,10,34,177.30584341590918
9,28,1,0,1,8,34,179.32539672620763
11,28,0,0,0,7,34,183.48557314038703
9,24,0,0,0,5,33,178.27997476178666
7,33,0,0,0,10,40,195.4118733908236
9,28,0,0,1,6,35,181.0953223625912
14,29,0,1,0,9,36,191.209621532993
7,28,1,0,0,5,35,178.48702148651827
10,25,0,0,1,8,36,192.00886877475492
11,28,0,0,0,3,29,157.33508977051187
5,28,0,0,1,4,37,191.56896374809492
7,28,0,0,0,8,39,201.87623690483505
7,29,1,0,1,8,39,197.6947356613865
8,27,0,0,0,8,38,196.40941169508187
12,33,1,0,1,10,35,181.80331250007185
13,29,0,0,1,10,33,174.7969683948849
8,29,0,0,1,7,37,190.84930805094447
8,26,1,0,0,6,37,195.12267575807945
11,26,1,0,0,10,35,184.1693534849672
12,32,1,0,1,6,35,183.70491163208465
13,31,0,0,1,6,33,174.9560612867703
7,28,0,1,1,7,39,198.45316678039563
9,32,0,0,0,7,36,182.55112984636247
10,33,1,0,0,7,38,195.70659665790447
9,32,1,0,0,7,38,196.66054069653245
8,31,0,0,1,7,38,191.38240772566752
10,27,1,0,1,5,34,181.87330409301117
6,34,0,0,0,11,41,202.7455718826568
5,29,1,0,1,11,42,210.48562810395944
11,28,0,1,0,5,34,181.0450600082212
12,31,0,0,0,6,35,181.427472374358
10,29,0,1,0,7,37,191.910821951716
12,28,0,1,0,7,30,160.50599130502002
9,33,0,0,0,11,40,198.69073074028327
5,28,0,0,0,7,38,193.6977341884617
10,30,0,0,0,7,34,177.2353437621935
5,28,1,0,0,7,38,191.65323707565813
10,32,1,0,0,5,36,185.3317634889099
9,28,0,0,1,4,35,185.14183486566665
12,28,0,0,0,8,33,178.04108846924692
10,30,0,0,0,7,35,182.86854210734435
10,29,0,0,1,6,34,176.27713027667377
10,31,0,1,1,9,37,189.98396617257964
8,27,0,1,0,6,38,198.84920347413984
10,30,1,0,0,7,35,179.79854230614953
11,28,0,0,0,10,36,189.04744570256443
15,30,0,1,0,6,32,173.45201273954322
9,27,1,1,1,7,35,182.38291680122487
5,31,1,1,0,5,38,188.94888369575324
13,29,1,0,0,5,36,191.83077477675732
12,31,0,0,0,11,33,172.32099592707792
8,29,0,0,1,7,37,188.62572902997857
10,30,0,0,0,9,37,189.09140880168448
11,30,0,1,0,13,39,201.9799394344676
14,27,0,0,0,11,32,171.42983352130244
7,33,0,1,0,8,38,190.11527678966263
11,33,0,0,0,6,32,165.0566238987753
10,34,0,0,1,11,39,196.77935241133045
12,33,1,1,0,4,35,183.5821512694256
11,28,0,1,0,6,34,178.8919831137046
11,30,0,0,0,8,38,198.28980095672415
8,33,0,0,0,6,37,184.77906136746304
12,29,0,0,0,8,34,180.23780444222777
7,26,0,1,0,8,37,190.37998825148327
8,33,0,0,1,7,40,199.6425949786739
8,26,0,1,0,12,35,181.2832827374345
5,33,0,0,1,7,42,209.57761493360923
12,34,0,0,0,8,35,178.79378822971145
16,26,1,1,0,7,29,162.8952182804017
12,29,0,0,0,3,30,162.93758449436876
8,29,0,0,0,8,36,184.74750777504389
14,28,0,1,0,5,31,168.08829280548093
8,28,0,0,0,7,36,185.76039785514087
10,29,0,0,0,6,36,186.06092647413277
12,31,0,0,0,6,33,173.82877907036865
14,27,0,0,0,9,34,184.1756938804591
11,29,0,1,0,6,31,162.08416235151938
6,33,1,0,0,6,39,195.2099334897992
6,29,0,0,0,9,40,203.6752291801971
13,30,0,1,1,4,31,165.88287956704096
7,31,1,1,0,6,38,193.57782946583404
10,29,1,0,1,8,38,198.501236262094
7,27,1,0,0,11,40,204.31166237913703
13,31,0,0,1,10,37,193.9579008449408
12,28,0,0,1,6,34,181.14074544174636
15,27,0,0,1,6,32,174.37352469035517
15,28,1,1,1,6,34,184.78752712756287
9,26,1,0,0,7,36,190.9746704701545
13,30,0,0,0,6,31,165.97501376660486
12,33,0,0,1,11,38,194.53398561459636
9,27,0,1,1,8,36,185.30942929641827
0,30,0,0,1,9,48,233.12816608809356
12,28,0,0,0,10,34,179.98674000638593
8,30,0,1,0,10,40,204.4215545984914
7,33,1,1,1,4,41,205.4158732634869
8,29,0,0,1,7,38,195.54639149116068
8,30,1,0,0,6,37,188.5685890641041
12,29,0,0,0,5,32,171.08582219718593
11,31,1,0,0,10,36,188.5940042796979
10,32,0,0,0,7,38,196.0350618188853
11,26,0,1,0,13,37,192.17983943594413
10,30,1,0,0,8,38,195.9697561197202
12,29,0,0,0,10,36,189.6104501683867
7,29,0,1,0,6,39,202.16062325069052
7,25,0,0,0,8,37,193.0055864816809
9,30,1,0,1,10,38,193.74574537838845
9,30,0,1,0,7,34,175.26553485569613
9,30,0,0,0,3,33,173.0879927721926
10,29,0,0,0,8,34,176.46063752217876
9,29,1,0,0,5,34,176.3613073191079
8,25,0,0,0,5,35,184.0726120388865
6,29,0,0,1,10,42,209.9229217596308
8,28,0,0,0,8,35,179.7887688782733
7,30,0,1,1,7,42,215.17721967470447
13,30,1,1,0,10,33,173.16342089487554
11,30,1,1,0,11,34,176.20102020817882
13,30,1,0,0,7,34,181.08135649384263
8,29,0,0,0,8,39,196.6612006528623
10,27,0,0,0,4,33,177.5584632507495
11,32,1,0,0,7,37,189.42636868638584
9,30,1,0,1,7,34,174.4138369989328
13,31,0,1,0,9,34,176.51701655621957
5,32,0,0,1,10,43,211.3619126714781
9,30,0,1,0,7,34,175.72896374787908
5,27,0,0,1,8,40,205.58690133649893
8,33,1,0,0,5,40,201.7905081899332
4,25,0,0,0,5,38,194.2104346689875
10,29,0,0,0,7,37,194.47757557323268
9,27,0,0,0,12,38,196.72229140875467
10,29,1,1,0,8,39,203.2999628155228
5,28,0,1,0,6,39,201.61870876004437
7,29,1,0,1,9,37,190.0926710943337
11,31,0,0,0,7,36,187.5190630523224
11,32,1,0,0,4,34,179.10050857696135
12,34,0,1,0,7,38,192.7008345288115
9,31,0,1,0,10,39,200.14015187734344
11,32,0,0,0,9,38,196.48568790402152
14,28,0,1,0,8,31,163.3635769173979
4,30,0,0,0,4,39,197.2776251885003
10,29,0,0,0,9,33,173.7362188572678
8,33,0,0,0,4,36,182.6574895370177
7,28,0,0,0,4,35,182.54885405125648
10,32,0,1,0,5,35,180.81500849235613
7,36,0,0,1,8,43,213.18070863957848
5,30,1,0,0,6,40,201.58161321854772
6,32,0,0,1,9,40,199.36876754136745
8,31,1,1,1,8,39,197.46229436855148
5,26,0,0,0,7,38,195.11933759078028
6,27,0,1,0,2,34,174.67492291058844
8,31,0,0,0,10,39,198.37298644059192
8,30,0,0,0,12,43,218.41761570524048
7,28,0,0,0,8,38,193.35347702268152
11,32,1,1,1,6,35,183.2634755612536
10,27,0,0,0,8,36,189.9979064866249
11,30,0,0,0,6,35,183.7487918875798
13,29,1,0,1,7,33,178.65565668875814
10,33,0,0,0,7,34,174.99225862513185
8,26,1,0,1,5,38,199.44320700628907
12,35,0,0,0,9,39,200.45174815980667
6,27,0,1,1,7,38,196.32888054368053
9,30,0,0,0,6,36,188.53220164538644
5,29,1,0,0,7,39,197.76685430379203
14,29,0,0,1,5,29,156.77917677050064
8,28,0,0,1,6,35,182.2137092311495
9,26,0,0,0,8,32,168.8989974160898
3,30,0,0,1,8,42,207.38274222442743
9,31,1,1,1,7,36,188.62463896299477
5,26,0,1,0,5,39,199.61475207315763
11,27,1,0,1,8,36,190.17185496034563
9,32,0,0,0,8,36,182.9452459012304
11,31,0,1,0,9,36,185.07960664612963
6,29,0,1,0,9,40,200.6675894782204
8,26,0,1,0,8,38,196.07402631406217
9,23,1,0,1,9,37,198.6810804364456
11,26,0,1,0,10,37,193.22124464195
13,29,0,0,1,7,32,169.00006019505298
12,26,0,0,0,5,33,179.6521119810413
8,29,0,0,1,10,37,189.3913609674505
9,34,1,0,1,6,36,183.02473165603007
8,28,0,0,0,6,35,184.480800924826
8,31,0,0,0,7,37,186.64196651455737
7,31,0,0,0,10,39,196.0976301361386
9,31,0,1,0,5,35,179.46181078065524
16,30,1,0,1,10,32,172.96841808787647
9,32,0,0,1,8,40,202.92958061985905
5,26,0,0,0,9,43,218.6712540345497
11,28,1,1,0,10,36,188.5802052760501
12,27,0,0,0,9,34,181.10293773261407
11,27,0,0,0,6,31,168.30368041720786
7,30,0,1,1,10,42,210.59084688537715
9,31,0,0,1,7,35,179.61336903969928
8,32,1,0,1,8,41,209.15015751203637
6,28,0,0,1,4,35,177.99435993246632
14,32,1,1,0,7,33,175.44927824914612
12,29,0,0,1,7,32,168.7587534618325
7,32,1,1,1,9,40,202.0206100696317
10,28,1,0,0,10,37,192.2789301506228
13,30,0,0,0,9,34,177.04254298756862
