age,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,displaced_worker_status,job_retraining_program,current_month_income
37,19,9,12,0,1,0,1,47.26288219257953
29,10,7,12,0,1,0,0,49.58017955220223
29,10,15,21,1,0,0,1,61.0775964211963
25,22,10,1,0,0,1,0,44.37282630840322
23,9,8,12,0,1,1,1,52.54666940116138
30,13,10,25,0,0,0,0,53.12681234212957
35,16,8,16,1,0,1,1,50.429760111837176
30,29,7,16,1,0,0,0,43.52005066209144
20,16,14,10,0,0,0,0,53.12368003219699
14,20,14,9,0,0,0,0,52.97253996320628
30,26,5,7,1,0,1,1,42.37723599575344
41,10,5,15,0,0,1,1,46.11634857344428
32,38,8,15,0,0,0,0,38.42451414835581
21,35,8,14,0,1,1,1,42.85068232891027
41,16,9,8,0,0,1,0,44.39462424912903
17,18,11,12,1,0,1,0,50.17395453907221
32,25,8,14,0,0,0,0,45.119432743259296
31,16,3,7,0,0,1,0,42.374684591988654
23,18,8,18,0,1,0,0,49.22225088110732
36,20,9,21,1,0,0,1,52.31457235605677
18,23,6,5,0,0,0,0,43.13385702117753
27,13,7,16,0,0,0,0,51.89116916925895
34,22,16,27,1,1,1,1,56.09821004402723
31,12,6,16,1,0,0,1,49.84794909223552
34,13,10,15,0,0,0,0,51.58579431556755
37,13,7,12,0,0,0,0,45.50815118909814
32,29,8,12,0,0,0,0,41.22084458854357
13,27,6,12,0,1,0,0,43.01341318385555
31,24,11,18,0,0,1,0,47.13218452147908
20,20,11,10,0,0,0,0,48.95177606779093
41,8,6,7,0,0,1,0,45.75673874690095
28,20,6,17,1,1,0,1,47.46329309563671
24,12,7,15,1,1,0,1,54.42125132354834
15,32,6,15,0,1,1,1,43.27237799959375
25,14,14,16,0,0,0,1,54.24560506563844
22,19,8,26,1,0,1,1,55.08598041836444
30,22,9,1,1,1,1,1,44.08030922159808
30,13,9,8,1,1,1,0,49.033935465168334
30,13,9,8,0,0,1,0,48.71228807790011
32,30,7,13,0,0,0,0,40.42245209335822
26,15,12,15,0,0,0,0,50.80022528429416
29,18,5,12,1,1,0,1,45.58744888338826
21,15,9,15,0,0,1,1,52.82934743140535
30,33,14,16,1,1,1,1,48.9431276465304
36,15,12,15,0,1,1,0,49.932957509518005
17,13,14,14,1,1,1,1,57.6194081533534
21,19,10,13,0,0,0,0,47.39603910423784
33,27,12,12,0,0,1,0,44.32546253932786
25,11,8,12,0,1,0,0,50.484900245106886
44,5,6,22,0,1,1,0,50.55163791792821
33,14,12,10,1,1,1,1,51.4893745221117
26,22,10,14,0,0,0,0,47.96330467492448
16,17,8,6,1,0,0,1,51.00217506049785
32,16,4,20,1,1,0,1,49.21406788166077
40,17,12,15,0,0,1,0,49.5850641004812
32,20,8,13,0,1,0,0,43.857066164300605
31,23,12,7,0,0,0,0,45.31121859254933
14,21,9,25,0,1,0,0,52.04067318409948
30,7,11,9,0,0,0,0,51.37657411155923
32,29,14,18,1,1,0,1,50.6081681549106
23,25,7,3,1,0,1,0,42.06971817221512
26,18,11,12,0,1,1,1,48.76927888182983
30,30,9,18,1,1,0,1,46.20633954264923
36,18,5,10,1,1,0,1,44.9398539154728
29,19,8,15,1,0,0,1,49.90210644474331
42,17,3,14,1,0,1,1,43.24497211586277
32,21,9,16,1,1,0,1,51.03980460829335
30,15,9,9,1,1,0,1,49.703737849158834
13,26,8,3,1,0,0,0,44.71485116631416
19,16,14,17,0,0,0,0,54.88169866183754
33,16,15,12,1,0,0,0,51.72911421776298
25,17,10,13,1,0,0,0,52.00547339827739
38,24,10,13,0,0,1,0,43.512424268335614
24,13,9,5,0,0,0,1,48.85319353429649
34,28,9,12,0,0,0,0,41.20206309237103
28,14,11,4,1,1,0,1,49.09294004323508
34,13,7,20,0,1,0,1,48.60573303729103
37,32,11,17,0,1,0,1,44.04428691618816
37,18,7,17,0,0,1,1,47.3195536503594
26,40,7,20,1,1,0,1,41.044251577576496
29,11,7,14,0,0,0,0,49.77456691619707
35,30,8,19,0,0,0,0,41.67214446085576
25,14,12,14,1,0,1,1,55.34458745565028
15,19,9,8,1,1,0,1,50.13991207419586
37,18,13,17,0,0,0,0,50.1733156960369
35,19,9,16,1,0,0,1,49.5593790996201
39,24,11,8,0,0,1,0,41.47017880304753
30,22,10,16,0,0,1,1,47.82169954920721
32,18,9,12,0,0,0,0,46.93545651289042
41,20,8,11,0,1,1,1,43.90424396982456
30,24,12,17,0,1,0,1,48.93524031166185
35,23,9,10,0,1,1,0,42.135560676264745
35,28,6,5,1,1,0,1,38.41161717410374
7,33,7,18,0,1,0,1,47.13462025507577
14,6,7,15,0,0,0,0,54.89925976885503
38,21,7,15,0,0,1,0,44.67810760500191
24,11,10,16,0,1,1,1,54.53020649586162
28,11,6,19,0,0,1,0,51.15741521675752
38,14,6,10,1,0,0,1,48.456246301993005
39,18,11,10,1,0,0,1,49.04397425997467
25,14,3,14,1,0,0,1,49.17367453697828
18,17,10,19,0,1,1,0,52.207741760935335
39,26,13,27,0,0,0,0,50.11344589126354
15,16,13,17,1,0,0,1,59.30721440506966
21,20,12,11,0,0,0,0,50.36987862552325
39,18,13,18,0,0,1,1,50.26973688126597
42,20,14,16,1,0,1,1,52.97280083572649
29,24,12,9,1,0,1,1,48.16676226183829
45,27,18,13,0,1,0,0,46.03579959675002
20,13,10,11,1,0,0,1,54.93662614883444
29,26,4,20,1,0,1,1,46.27346319006144
44,5,10,20,0,0,1,1,55.28789155660292
32,26,10,20,1,0,0,1,48.75306145589904
35,22,9,16,1,0,0,0,47.421546320754175
37,20,12,28,0,1,0,0,51.19627668773216
19,17,15,15,0,0,1,0,57.06075495328358
20,19,12,12,0,0,1,0,51.64071506369812
24,19,5,6,1,0,0,1,45.37181677685978
19,31,9,11,0,0,0,0,42.77284987373137
34,21,9,20,0,1,1,0,48.528223148236414
32,17,11,18,0,0,0,0,51.337881199587
25,30,6,12,0,1,0,1,41.684939653322864
24,22,9,14,1,1,1,1,48.37211211274342
35,22,12,18,1,0,0,1,50.78424728396525
17,18,11,17,0,0,0,0,54.35695313067329
29,22,12,9,0,0,1,0,46.48560427555466
20,29,4,14,0,1,1,0,41.82649225175592
18,25,10,19,0,1,0,0,47.31594762153479
38,16,13,16,0,0,0,0,50.074826442703205
41,23,14,13,1,1,1,1,47.5654288477893
27,21,10,14,0,0,0,0,48.0549022428508
29,21,7,17,0,0,1,1,49.64282798557588
32,22,6,20,0,1,0,0,44.80191122459524
34,21,6,9,0,0,1,0,41.13955744075169
36,26,9,8,1,0,0,1,43.68052726131348
26,8,7,24,1,1,0,1,57.04782014855935
18,28,13,14,0,0,1,0,48.46921692509873
29,18,12,12,1,1,0,1,50.907071259406926
20,21,8,3,0,0,1,1,45.25713390562063
29,28,10,14,1,0,0,0,46.13594175375678
30,18,7,18,0,0,0,0,49.73947066196774
42,5,9,7,0,0,0,0,48.24283108438821
35,24,13,13,0,0,1,0,48.47681383692297
24,23,9,9,0,0,0,0,44.454357957880624
27,29,12,11,0,0,0,0,46.01097427626613
26,13,13,19,1,1,1,1,56.21526537187958
22,18,9,14,0,1,0,1,50.778450408363
35,16,10,15,0,0,0,0,48.29325292694901
33,22,10,6,0,0,1,0,43.59666432209745
33,21,9,14,1,0,1,1,48.85748147719389
45,24,15,8,1,0,0,1,48.10933333078712
40,24,11,12,0,1,0,0,43.495560662092
34,28,12,20,0,1,1,0,46.381217690404064
19,20,4,14,0,1,0,0,44.94576819239607
15,24,6,15,1,1,0,1,48.53600195598735
44,21,7,7,1,0,1,1,41.20533068407283
35,21,9,9,0,0,0,0,43.3700942907045
28,16,11,11,0,1,0,0,50.07856352380214
26,19,10,13,0,1,0,1,49.887257488603886
36,18,4,16,0,0,1,1,44.16027040249221
43,21,3,14,0,0,0,0,41.96318153724212
30,23,11,23,1,0,0,1,52.89240543655732
36,20,13,14,1,0,0,1,51.41369622147632
26,9,7,18,1,1,0,1,55.0659357227626
37,14,8,15,1,1,0,1,49.525124576791626
32,24,15,14,0,0,0,0,49.63388982610588
22,26,9,15,0,1,0,0,46.39382106965064
27,22,13,9,1,0,0,1,51.12131147731963
33,13,10,12,0,0,0,0,49.24452317251584
26,28,6,14,1,0,1,1,42.665762948838754
39,27,10,5,1,0,1,1,41.82201918042431
28,13,11,14,0,0,0,0,52.45005072733437
22,18,6,16,0,0,0,0,47.47783819619129
17,12,6,9,1,1,1,1,51.09928378447817
33,24,10,23,1,0,0,1,51.30953124516548
34,21,5,24,1,1,1,1,48.94592106529482
32,15,8,14,1,1,0,1,49.60191756882806
20,10,18,17,1,0,1,1,62.97781055157155
42,27,9,10,0,0,0,0,41.58602625354479
24,25,8,10,0,0,1,0,44.33311777500583
31,18,13,9,1,0,0,1,51.11255601445634
35,14,8,21,0,1,0,0,49.52650210555802
38,24,10,11,0,1,0,0,42.583487554227645
43,24,7,20,0,1,0,0,43.28517595488336
22,21,13,9,0,0,1,0,48.69124218051872
31,21,12,18,1,1,0,1,52.93351076404342
38,23,7,19,0,0,0,0,44.8837219801779
22,12,7,20,0,0,0,0,52.5887671431417
31,22,11,10,0,0,0,0,47.78465591213395
15,22,13,20,0,1,1,1,55.56514043429517
26,13,9,13,1,1,0,0,50.56430276534327
18,18,5,15,1,0,0,0,47.251852808012366
30,15,12,11,0,0,0,0,51.69805110585315
28,20,6,10,1,1,0,1,45.07693131671357
34,11,8,25,0,0,1,0,52.63588269732503
41,22,10,15,1,1,1,1,45.65520851108739
24,16,6,13,0,0,0,1,48.47847874987595
27,20,5,17,0,0,1,0,46.00483939869763
15,25,9,14,0,0,0,0,46.62366619750478
29,13,12,6,0,0,0,0,50.91428593929453
39,22,12,4,1,0,1,1,47.90961592121309
17,23,11,10,0,1,1,1,49.72291580629308
29,13,9,14,0,0,0,1,51.94688227232815
28,22,7,6,0,1,0,1,44.95981709539946
33,29,6,8,0,0,0,0,38.25769462343791
42,16,10,6,1,1,0,1,48.20809465436763
22,26,6,15,0,0,1,0,43.0946485943109
30,25,10,5,0,0,0,1,45.38725678786495
42,27,4,5,0,0,1,1,35.53738219081338
41,24,9,16,0,1,0,0,43.00313910332231
21,22,5,5,1,0,0,1,47.81650744311317
19,11,8,15,0,0,0,0,51.98554189735788
17,17,15,11,1,1,0,0,54.80257167599154
36,16,6,11,0,0,1,0,42.96355421804039
15,17,7,12,0,0,0,0,47.98364208793611
27,23,5,11,0,0,0,0,44.14374708938648
28,8,12,18,1,0,0,1,56.86901296774597
31,17,11,18,0,0,0,1,53.296996253281854
18,20,7,18,1,0,0,1,50.76244631673429
35,10,10,14,0,0,1,0,51.65307539673009
13,21,8,21,1,1,1,1,52.357845722115286
28,15,9,21,0,1,0,0,52.12728548924819
34,20,9,13,1,1,0,1,50.06292349678744
38,13,10,10,0,1,0,0,48.83831435287152
25,29,9,17,0,1,0,1,46.01955529442071
29,23,7,13,1,0,1,1,47.775520260062194
27,22,12,9,1,1,0,1,50.61815133850285
22,19,6,11,0,0,1,1,47.10230004304754
33,23,10,10,0,0,1,1,44.36271702806416
36,23,7,14,0,0,0,0,42.83192908695285
39,26,15,9,0,1,0,0,46.03266314163552
15,25,9,23,0,0,0,1,53.41742339284989
18,23,10,15,0,0,0,0,48.18205885909709
30,16,8,16,1,0,0,1,51.38164209320229
28,25,11,15,0,1,0,0,46.76937932227438
26,23,10,17,0,0,0,0,48.57963340634378
34,25,13,9,0,1,0,0,46.16368762291905
29,19,12,14,0,0,0,0,49.91529125422253
18,22,7,12,0,0,1,0,47.15749354018956
26,15,15,12,0,0,1,0,52.44853580394442
24,20,13,8,0,1,0,1,50.8726861648496
21,11,14,8,0,0,0,0,52.37660168223042
39,18,13,11,0,0,0,0,47.67862067878959
28,18,15,11,0,0,0,0,52.32146078865097
29,12,14,7,0,0,0,0,52.94251677646395
32,17,5,19,0,1,1,0,44.94956122761062
17,16,5,19,0,0,1,0,50.64324344578855
30,15,5,7,0,0,0,1,46.31534032986451
41,24,12,21,0,0,0,0,47.8499080756498
19,21,9,10,0,1,0,0,48.39896717947197
23,22,10,11,0,0,0,0,48.858716887752486
20,8,13,7,1,0,1,1,56.37560587625484
26,18,8,11,1,1,0,1,48.86344125501627
37,19,5,18,0,0,0,1,45.82555331286646
42,26,10,15,1,0,0,1,45.40981753776049
25,19,11,17,0,0,0,0,51.65156212091233
25,3,9,13,1,0,0,1,58.3372185729605
29,19,4,14,1,0,0,1,47.61231910496035
14,24,2,14,0,0,0,0,43.10249602038553
31,22,14,15,0,0,1,1,51.59125100392305
35,22,13,9,0,1,1,1,48.58322859775215
23,9,11,13,0,0,0,0,55.015342726840025
35,12,7,15,0,1,0,0,48.33304310230075
25,28,15,8,1,0,1,1,49.6967887638782
31,6,9,14,0,0,0,0,54.27487049826873
31,13,11,7,1,0,1,1,51.971091523867614
27,28,8,12,0,0,0,0,43.37635426517616
38,21,9,16,0,0,0,0,45.94118089530927
37,20,9,10,0,1,1,1,44.84952687350526
46,6,12,13,0,1,1,0,51.432862973267696
26,18,8,15,0,0,1,1,48.982074522433805
25,25,10,15,0,0,0,1,49.08474167108704
36,21,10,19,0,0,0,0,49.02749275415665
51,27,4,14,0,0,0,0,36.48272458339351
18,25,7,11,1,0,1,1,46.808944965743855
20,17,10,13,1,0,1,1,52.20777093011748
35,16,10,13,0,0,0,1,49.195482012929325
30,21,12,12,0,1,1,1,48.28739200707178
10,18,10,18,0,1,1,1,54.07369087242427
32,14,12,18,1,1,0,1,56.35683932759787
25,10,10,12,0,1,0,0,54.06691727472484
32,23,5,15,0,0,0,0,42.074664109102216
23,30,10,14,0,1,0,1,46.9031405193704
30,9,9,12,1,0,0,1,55.943668509988974
29,24,10,15,0,0,1,0,45.142893233226296
26,27,14,21,1,0,0,1,53.06140872519928
24,14,11,15,1,0,1,1,54.88962494259434
45,23,9,15,1,1,0,1,45.96782729424643
29,18,15,11,0,0,1,0,52.2109477182853
27,23,11,16,1,1,0,1,48.87770490422281
37,12,9,13,1,0,0,1,51.4835809942218
22,19,11,10,0,1,1,1,49.929698040041096
38,16,12,16,0,1,0,1,51.94443878948845
30,19,9,19,0,0,0,0,49.81362757549104
30,14,8,14,0,1,1,0,46.810608916206384
27,33,7,11,0,0,1,0,38.80384463807365
20,20,11,22,0,0,1,0,53.0024506864982
28,28,12,20,0,0,1,1,47.79555202128967
24,22,12,16,0,0,1,0,49.95129660543844
31,14,10,20,0,0,1,0,52.5467957812512
36,16,13,4,1,0,0,1,52.87026521369536
33,28,9,14,1,1,0,1,45.61557621233708
22,22,7,6,0,0,0,0,43.297452693309936
26,20,6,15,1,1,0,1,48.58050382158035
24,32,15,8,0,0,0,0,45.74364614087718
43,14,9,15,0,1,0,0,47.65900344428742
37,31,8,6,1,0,1,1,41.03512516833266
25,26,9,9,0,1,0,0,45.0280877179497
28,23,14,3,1,0,1,1,48.80342529124721
35,12,13,20,0,0,0,0,54.22900709580842
33,7,7,7,0,0,1,0,46.7664768397122
32,31,10,4,1,0,1,1,42.76006741882245
36,4,4,12,0,0,1,0,49.55456907451157
26,23,17,19,1,1,0,1,56.60049352276087
30,30,10,15,0,0,0,1,44.03649686227088
37,19,9,19,1,1,0,1,50.614790977214376
30,10,17,14,0,0,0,0,57.34005393946694
22,23,10,9,1,1,0,1,48.77307211218542
31,29,15,18,1,0,0,0,50.7217892352003
40,15,7,13,1,0,0,1,49.61378095166469
26,29,10,12,1,0,0,0,44.527992525054
42,14,5,8,1,0,0,0,44.85842997468112
23,19,8,11,1,1,0,1,49.71491738444679
36,30,9,11,0,0,0,0,38.80966389676836
14,15,8,15,0,0,0,0,50.82470560910608
27,24,7,5,1,0,1,1,45.52412549729268
22,16,12,23,1,1,0,1,58.22825950652496
40,24,8,16,0,0,0,0,42.89955975627481
39,9,14,7,0,1,0,1,53.45313722591211
31,26,7,15,0,0,0,1,45.08675093478463
32,15,11,11,0,0,0,0,48.5522188949624
22,15,4,16,1,0,0,1,50.2061246267794
27,25,13,19,0,0,0,0,49.75398225067333
28,18,8,21,0,0,0,0,49.88973694993481
39,15,7,13,0,0,0,0,46.67787096618143
37,25,10,24,1,1,1,1,48.25178056899002
28,14,6,17,0,1,0,1,49.39471604963353
18,27,9,14,0,0,0,0,45.61256534039479
30,16,18,0,1,0,0,1,52.04595857453004
28,14,9,13,0,1,0,1,52.03933897866362
21,13,10,25,1,1,0,1,57.45727266722875
37,24,10,17,0,0,0,0,47.96276990503952
26,25,8,16,1,0,1,0,46.67249292584631
26,20,12,13,1,0,0,1,53.362006869307045
26,21,12,19,0,0,0,0,51.09971027366512
29,26,4,9,1,0,1,1,40.84594882142958
33,22,3,12,0,1,1,0,42.06997039156057
34,27,14,10,1,0,0,1,47.90110928553786
40,21,12,19,0,0,1,0,48.80178460651813
42,21,10,9,1,1,1,1,46.303418776166126
50,0,7,11,1,0,0,1,53.7960329371438
25,20,14,20,1,1,0,1,54.95646729382109
31,16,8,5,0,0,1,0,46.49612640319761
34,24,11,10,0,0,0,0,44.523966791913246
20,27,8,20,1,0,0,1,49.730513111415526
35,14,13,9,1,0,0,1,51.43857579248012
11,16,11,5,0,0,1,0,51.02145895540401
29,21,9,14,0,1,0,0,46.71210776866023
27,14,14,19,0,0,0,0,54.14475987865496
36,18,8,8,0,0,1,0,43.22757596733222
9,23,9,16,0,0,0,0,49.88211703008507
23,23,10,15,0,0,0,0,47.498118477606525
13,13,9,4,0,1,0,1,52.4075786577047
38,28,10,17,0,1,1,1,43.40821583153572
19,21,8,19,1,1,0,1,51.20653473246392
22,13,9,12,0,0,0,0,50.8982176199189
21,21,7,14,1,0,0,1,49.620291905752765
28,6,9,12,0,1,1,0,50.67783539532147
35,18,11,20,0,0,0,0,50.410187151683445
31,22,11,17,1,0,1,1,51.74430142091458
12,30,11,13,0,0,0,0,48.11982096629218
21,17,5,21,0,0,0,0,49.78284622717481
25,23,11,24,0,1,0,0,50.94125728630996
46,25,14,14,0,1,1,1,45.4314253022944
41,31,5,20,0,0,1,0,39.75168941418849
34,10,15,17,1,1,0,1,56.915042886562304
31,2,10,15,1,0,0,0,59.29182590118934
40,27,6,12,1,0,0,1,40.97329564595777
36,17,12,11,0,1,0,0,47.55724790260092
26,12,3,21,1,0,0,1,54.09729131574648
19,23,7,13,0,1,0,1,48.53757845758618
24,14,8,18,1,1,0,1,54.46800254093747
40,20,8,13,0,0,0,0,45.04742569242726
36,20,4,11,0,0,0,0,42.54293351874841
20,17,7,21,0,0,0,0,52.836028181895685
23,17,15,15,0,1,1,0,53.82812914530953
34,27,8,20,0,0,1,1,47.01844374767533
25,27,9,9,1,1,0,1,46.02801998637544
18,13,11,3,0,0,0,0,50.25761122569421
35,12,11,18,0,1,0,1,53.274484952900906
39,13,10,10,0,0,0,0,48.389963598725096
36,21,8,7,0,0,0,0,41.64391233465581
24,16,11,10,0,1,0,1,51.144139452719
31,18,11,7,1,0,0,1,50.0744627819276
47,13,11,16,0,0,0,0,48.12168433927334
35,27,10,14,0,0,1,1,43.65631636687163
31,16,11,13,1,0,1,1,53.12323635260121
35,15,15,16,0,0,0,0,52.81367409951153
37,31,12,15,1,1,0,1,45.56005172299428
28,22,6,12,0,1,1,0,42.66546313506289
37,15,13,21,0,1,0,0,51.39242255051786
38,21,6,8,1,0,0,1,43.86835330139145
35,26,8,10,1,0,0,0,42.564034314677
33,21,9,11,1,1,1,1,46.78878044447063
26,17,9,10,0,0,1,0,49.71589045889642
32,25,12,11,0,0,1,0,46.89643590553433
21,15,6,9,0,0,0,0,47.71703323671657
16,2,10,20,1,1,0,1,63.11452159360256
49,18,8,8,1,0,0,1,44.889237020835225
40,15,10,10,0,0,0,0,47.72166285621753
36,23,12,15,0,0,0,1,47.80358038967432
33,24,15,16,0,1,1,1,50.54216591738965
40,24,5,11,1,1,0,1,42.673582582947446
30,18,14,10,0,1,0,0,51.55702576042117
19,24,13,21,0,0,1,0,52.03940584208375
37,28,6,22,0,0,1,0,41.345380246173306
27,7,6,9,0,0,0,0,48.69735368512535
32,14,9,11,0,0,0,0,50.04619361766815
34,23,15,3,1,0,0,1,48.45110399448919
40,19,13,13,0,0,1,1,49.61458568824621
20,10,7,3,0,1,0,0,48.1230879145561
19,16,10,10,0,1,0,1,52.56084379896964
25,16,8,12,0,0,1,1,47.84305186212433
39,29,8,17,0,0,1,0,42.02535032700407
37,24,7,4,1,1,0,1,42.37768850947365
17,21,14,9,0,0,0,0,51.64190590547234
33,26,8,11,0,1,0,0,42.72332312633012
43,26,8,15,1,0,0,1,43.5730080001596
26,20,9,18,0,0,1,0,48.95607607502259
32,15,5,8,1,0,0,0,45.09637288937425
34,14,7,15,1,0,1,1,49.30970663291416
43,23,10,23,0,0,0,0,47.221141942092125
34,18,8,14,1,0,1,1,48.9595376551269
17,8,7,13,0,0,0,1,56.66154743946871
30,12,10,12,0,0,1,0,52.60975179442279
46,26,11,15,1,0,0,0,43.46264700560017
26,23,12,11,0,1,0,0,48.25270982527189
35,7,11,14,0,1,0,1,55.01911790771285
19,22,6,15,0,0,0,0,47.80103379830166
28,23,16,14,1,1,0,1,54.22014456502893
36,27,11,11,1,0,0,1,45.88549028932429
27,20,12,15,0,1,0,0,50.15939756442651
31,27,12,13,0,1,1,1,46.92372185041882
29,27,13,10,0,1,0,0,44.41070102319197
35,18,14,19,1,0,1,1,53.816062198296926
37,6,10,11,0,0,1,0,52.49832005817623
21,12,9,9,0,1,0,0,49.68251465686202
46,18,13,10,0,0,0,0,47.57479625058516
29,24,7,10,0,0,0,0,43.28826369189153
28,12,12,5,0,1,0,1,51.39375351290991
31,19,8,13,0,0,1,0,46.48793616966899
19,20,12,18,0,1,1,1,50.87539160062051
39,18,12,18,1,0,0,1,53.80782848751664
29,21,8,21,0,0,1,0,47.31930801875385
40,15,11,12,0,0,1,0,47.57181410707096
28,28,7,17,1,0,0,1,45.59070836433137
48,25,13,11,1,0,1,1,43.86847116754205
31,27,9,17,0,0,0,0,46.795180882647465
19,31,11,18,0,0,1,1,49.461544668135
23,15,9,13,1,1,0,1,51.935468355061744
29,11,4,19,0,0,0,0,50.00272693131888
29,30,13,5,1,0,1,1,46.14351034382987
36,19,8,8,0,1,0,0,43.42907811392609
25,22,12,10,1,0,0,1,50.81265550445202
30,22,8,15,0,0,1,0,44.67490112027395
33,19,2,14,0,1,1,1,43.26727731153741
24,20,10,9,0,0,0,0,48.6019832944918
35,24,6,10,0,0,0,0,40.12612670482582
30,18,10,26,0,0,0,0,53.31848938874933
27,34,8,13,0,1,0,0,39.14344604725304
29,18,7,11,0,0,0,0,46.50149511488139
38,7,2,10,0,1,1,1,46.51218939116821
33,23,10,14,0,0,0,1,48.87972483993182
35,18,12,18,0,0,0,0,50.76603984498469
