age_at_application,prior_experience_years,previous_month_income,dependents_count,unemployed_status,prior_beneficiary_status,policy_enrollment_status,post_policy_monthly_income
25,20,15,13,1,1,1,104.32346180166734
33,19,7,12,1,0,0,106.43753905061492
23,18,10,10,0,1,1,98.39720276593869
27,24,12,12,1,1,0,105.83723367290958
33,15,12,19,1,1,1,111.61497448012976
36,19,11,13,1,1,1,111.99595453036984
34,18,11,25,0,0,1,115.20969287585056
30,16,11,17,1,1,0,104.03075878663236
34,19,4,19,0,1,0,110.5410613214375
39,17,9,7,0,1,1,111.66167995429004
33,24,5,15,1,0,1,114.34121196895696
23,17,14,3,0,1,0,91.5449905983125
24,25,8,17,0,0,0,104.06854526708884
35,24,9,9,1,0,1,112.30800085706086
27,21,11,17,0,1,1,107.90702779291772
25,19,9,17,0,1,0,99.46387243794418
22,23,7,15,1,1,0,100.0051680239662
25,15,8,13,1,1,0,95.62886368150838
39,21,6,19,1,0,0,115.95352370084902
31,15,5,10,0,0,0,100.36654635834832
27,17,7,16,0,0,0,101.25879376414368
18,16,12,12,0,0,1,92.1413418113498
42,26,10,22,1,0,1,127.72536179704
29,22,8,12,1,0,0,103.51616240849734
41,9,10,12,1,0,1,108.8785354549544
41,24,10,16,1,1,1,123.33054357684586
34,13,7,16,0,0,1,107.67536064265605
24,21,9,13,1,1,0,98.73311901247612
25,16,15,16,0,1,0,98.30786534793418
14,22,9,14,1,1,0,92.3527449146869
32,22,7,15,0,1,0,110.84955047788247
26,22,9,21,1,1,1,108.4764931475338
40,21,8,7,1,1,1,116.56032809719642
19,10,10,17,1,1,0,87.47243952683317
34,18,13,19,0,0,0,107.66213754664598
27,19,9,21,1,0,1,108.28786303367065
37,24,9,9,1,1,1,116.63066046158735
36,20,14,15,1,1,0,112.18696272470038
37,13,5,11,0,1,0,105.97816333939323
16,17,15,20,0,1,0,91.52205235168576
16,16,6,11,1,0,0,85.76580142008797
46,26,15,13,1,1,1,128.70054670136568
27,19,8,10,1,1,1,102.1270847339751
21,9,13,17,1,1,0,90.6000822671687
41,12,12,12,1,0,1,110.94207975763572
26,22,8,7,1,1,0,100.53121890918588
33,18,12,14,1,0,1,108.6463804103167
32,21,10,13,1,1,1,111.24407515260792
45,20,9,19,0,1,0,122.12953734787432
39,20,7,15,1,1,0,114.2399310627325
38,13,9,12,0,1,1,109.5080814815576
21,22,7,10,1,1,1,101.2300831214176
15,13,13,13,0,1,0,84.89370751249069
37,12,6,10,1,1,0,105.08894992513584
21,11,6,12,1,0,0,86.94823866829705
40,12,3,9,0,1,0,106.31752800124552
32,21,13,9,1,1,0,106.6778199811382
28,22,11,10,0,0,1,104.82927942345007
27,10,12,20,1,0,0,96.47735770107008
36,14,10,13,1,0,0,105.68248585000484
28,15,5,15,1,0,0,99.78233973968024
28,16,8,10,1,1,1,102.66997583777682
30,17,9,12,1,1,1,105.92233291648412
24,27,12,13,0,1,1,107.2028494731997
24,24,13,17,1,1,0,105.47776434700856
31,17,10,11,1,1,1,106.0749950395417
43,23,12,23,1,1,0,126.10390590615592
16,23,11,0,1,1,0,86.22828111639201
24,19,5,11,1,1,1,101.61608564263804
42,14,13,21,0,1,0,115.33404178468248
22,25,12,13,1,1,1,105.07868761198824
31,22,5,12,0,1,0,106.74231762518208
26,31,12,13,1,1,0,110.17308270981736
15,18,8,14,1,1,1,92.56882387134412
20,15,6,21,1,0,0,93.3008031996834
35,27,11,23,0,1,1,122.54103310650898
26,21,10,12,1,1,1,105.67286751730872
33,20,9,16,1,1,0,111.00831620978562
28,21,7,10,1,1,1,105.39640498319814
21,7,10,9,0,1,0,83.36177462357121
26,19,9,14,1,0,0,99.77308080777478
32,26,7,12,1,0,1,114.31756410593174
23,11,11,21,1,1,0,95.26685823117523
40,23,4,7,0,1,0,113.91187849305403
36,12,10,16,1,1,1,109.78079378629408
29,22,7,13,1,1,0,105.36322354010233
40,29,9,14,1,1,1,124.77241554195098
20,15,13,13,1,1,0,91.119256767759
28,29,6,13,1,1,1,113.53526191127597
39,21,10,15,1,1,1,119.46619531962804
32,17,7,19,1,0,0,105.0564933851474
30,12,7,16,1,0,1,101.98658111943068
39,14,11,21,1,0,1,113.31912324317362
17,20,2,15,1,0,0,92.40771595636105
30,16,7,18,0,1,0,104.1236105605697
24,15,7,8,1,1,0,92.38367715811518
39,23,13,23,1,1,1,124.69121906368927
37,26,8,10,1,1,0,115.5095145119898
26,28,12,16,1,1,1,112.52376075412398
14,11,9,10,1,1,0,80.4290911475872
34,19,13,17,1,1,1,111.85740094938092
46,19,4,16,0,1,1,125.07099040358138
15,29,10,18,0,0,0,98.41267578700996
29,13,13,12,1,1,0,98.05159992642348
45,21,5,20,1,1,1,126.78329152391488
30,18,4,9,1,1,1,104.92349805327837
25,17,10,9,1,1,0,96.15109157464693
29,27,8,11,0,1,0,111.11066151793536
34,23,12,20,1,0,1,117.26141176295371
35,17,5,19,1,1,1,114.22224672719814
36,31,6,10,0,0,1,122.28135478265868
24,16,8,10,0,1,1,97.306385383962
33,23,13,20,0,1,0,112.4739046405195
38,22,9,11,1,1,1,117.17722689166872
35,25,8,14,0,1,1,117.82436339226946
30,39,13,6,1,1,0,119.31655956173022
35,24,10,12,0,1,1,114.6554328923614
12,26,13,15,0,1,0,93.4141152609395
25,8,12,17,0,1,0,94.32578018736312
13,22,9,22,1,1,1,97.16688975478588
12,19,8,19,0,0,0,88.43186965138179
16,25,15,17,1,0,0,96.207245214859
36,25,14,10,1,1,1,115.70913897563383
38,20,12,16,1,1,0,115.25694473349702
32,18,10,22,0,1,1,111.1961038659406
35,22,10,14,1,1,0,112.05768672445882
5,14,9,12,1,1,0,75.01310035847945
17,27,11,18,1,0,1,102.19466781637904
38,18,6,14,1,1,1,114.20421409840456
26,27,6,17,1,1,0,107.762197346642
26,12,10,12,1,0,0,94.10093512907922
9,20,12,12,0,0,0,82.99613238628683
36,28,11,15,1,1,0,117.90859266927532
28,10,10,15,1,1,0,96.16798003743163
26,25,6,16,1,1,1,108.95733655716018
36,27,13,12,0,0,1,118.65989459237834
20,18,10,5,0,1,0,88.4416441423492
31,24,4,10,0,1,0,107.38084975052824
18,19,9,3,0,1,0,87.65757278449078
28,26,11,14,0,1,0,107.14418594789808
41,23,10,6,1,1,1,118.49034147624867
9,24,9,21,1,0,0,90.394767233996
28,8,7,14,1,1,0,94.99189477353907
46,35,8,10,1,1,0,130.8998503572988
34,16,11,9,1,0,0,102.67651871875648
33,25,11,16,0,1,1,116.4647884767479
38,12,16,21,0,1,0,111.30331794705572
31,13,11,13,1,1,0,99.67419528123575
14,22,11,1,1,0,0,84.38802667477017
26,28,3,12,1,0,1,108.83669907862172
35,22,5,18,1,0,1,115.11723186724794
29,23,8,19,1,1,0,109.31056694076594
22,15,14,11,0,1,0,90.31245846134478
22,26,12,9,1,0,1,102.3731272698973
32,26,9,15,1,1,1,116.63213823312392
28,16,2,11,1,0,1,101.05731409695754
32,26,5,8,1,1,0,110.25371928824327
39,18,7,8,0,1,0,110.6660295269688
37,26,9,18,0,0,0,118.23420183362248
39,26,13,1,0,0,0,111.3663148432534
25,16,9,13,1,1,0,98.14289647130634
26,35,8,13,1,1,1,114.02186237315762
37,23,8,17,0,1,1,122.45437827287954
22,24,3,11,1,1,0,100.60756747110486
32,17,12,13,1,1,0,103.92208709770786
18,6,13,12,1,1,0,82.68684985353318
28,17,11,17,1,1,1,104.77165521884396
43,15,10,12,1,1,1,117.31419485500356
27,19,10,20,0,1,0,104.01130792193086
22,23,8,20,1,1,1,104.63170927825658
37,17,10,10,0,1,0,108.3728813188646
41,19,6,18,1,0,0,116.94657876031722
25,29,8,20,1,1,0,109.18384487118392
22,27,10,13,1,0,1,104.03607481614718
38,19,9,11,0,0,1,112.77848266780258
27,16,12,16,0,1,0,101.43690218526494
20,17,7,16,0,1,0,95.50770952306632
16,27,10,10,1,0,0,94.6039823292777
30,19,17,16,1,1,1,107.63518548122688
30,23,10,15,0,1,0,109.3445953799222
19,16,6,16,1,1,0,90.16104317059629
39,19,13,20,1,1,1,120.8819853387131
27,12,5,20,1,1,0,97.50653669396286
39,29,8,13,0,1,1,123.31757217827354
24,16,7,16,1,1,0,99.89135147296123
39,12,8,5,1,0,1,105.84839573481482
27,27,4,16,1,1,0,110.07389006173167
30,6,12,17,0,0,0,93.71866943931028
28,12,11,14,0,0,0,96.1393336248081
20,22,13,10,1,0,0,93.62127049811046
31,31,10,15,0,0,1,118.6682338243
33,25,13,9,1,1,1,112.40051634464396
24,20,11,22,1,0,1,106.03094459850288
29,31,10,16,1,1,0,114.94630377178812
30,27,10,8,1,1,1,111.85199513619018
29,32,13,6,0,1,0,109.43147101889696
33,19,11,17,1,1,0,109.52810077439511
34,19,5,12,1,1,1,111.23633125948156
35,11,5,11,1,1,1,103.66315736720604
25,25,2,16,1,1,0,107.077736166575
30,29,9,6,0,1,1,111.23135033754924
40,8,11,21,0,1,0,109.09082607672234
25,8,11,23,0,0,1,96.13950957614928
22,22,14,9,1,1,0,95.23798052116165
29,15,12,18,1,0,1,106.2555774398613
32,23,13,10,1,1,1,111.29396030519736
28,20,8,14,0,1,0,102.4819893641008
24,21,13,15,1,0,1,102.77827582025586
32,24,15,11,0,1,0,110.87799788748929
35,12,15,6,1,1,1,104.66628153118997
14,18,9,12,1,1,0,86.32741479548035
35,15,9,14,1,1,0,107.05951245389834
31,17,9,20,1,1,1,112.17303441384408
37,14,19,17,1,1,1,112.44519636142697
24,18,10,11,0,1,0,96.8776819903777
38,19,16,15,1,0,1,116.20828672860527
30,11,10,9,1,0,0,97.13436140031132
14,21,4,12,0,0,0,87.4723844532639
25,19,9,13,1,0,1,102.29350554246744
25,13,5,4,1,1,0,91.54667429049266
31,24,6,12,1,1,0,108.48410070062262
37,18,6,16,0,1,0,110.52971497530451
35,21,7,15,1,1,1,115.51420685139142
33,7,10,14,0,1,0,97.38722470020296
39,22,6,15,0,0,0,116.77804215419474
57,19,8,14,1,1,1,133.87455850458028
17,23,13,17,1,1,0,96.1448685228972
24,16,7,7,1,1,0,94.89814301648627
37,9,4,15,1,0,0,102.54388112193573
27,18,15,14,1,1,1,104.76476167548724
43,12,7,14,0,1,0,113.39460207535186
36,22,6,9,0,1,0,109.3219187006364
24,17,7,17,1,1,0,100.31149916635646
33,13,12,17,0,1,1,107.3001742035815
29,29,9,23,1,1,0,115.88884847970093
25,22,7,19,1,1,1,107.79886741313048
23,16,12,18,1,1,0,97.11499803758711
42,13,5,19,1,1,0,113.50712335896328
44,27,7,11,0,1,0,122.73073184464148
31,23,7,17,1,1,1,111.98553813461712
10,13,6,23,1,1,0,83.92165822720538
39,10,8,14,0,1,0,106.51295959230168
32,18,8,8,1,1,0,102.4068863351808
24,24,11,13,1,1,0,102.3587527386786
44,17,9,8,0,1,0,116.16245119481842
18,24,9,8,0,1,0,93.43152156006444
46,15,11,27,1,1,0,123.64863953820948
23,20,9,8,0,1,0,97.97220118524508
44,24,10,10,1,1,1,122.72540519728648
39,21,14,16,0,0,1,116.89085521271456
39,23,14,24,0,1,0,120.1554014175762
28,18,10,6,1,1,1,103.18421022967496
31,17,12,13,1,1,1,107.21087962650456
31,21,8,0,1,1,1,104.70614404615446
17,24,3,10,1,1,1,96.53018494532238
34,25,8,20,1,1,1,120.59088501463962
20,26,12,10,0,1,0,97.61455754699172
26,26,10,21,0,0,1,110.7639416883166
27,25,10,14,1,0,1,108.32726540038176
18,22,8,14,1,1,1,97.23676720925376
37,22,5,17,1,0,1,118.98768377227788
41,16,17,14,1,0,1,117.225252129228
25,21,12,19,0,0,1,106.38365508765962
16,33,9,19,1,1,0,104.22869678681263
38,21,13,22,0,1,1,120.78028538323228
52,27,12,14,1,1,1,135.12860114749205
23,15,11,18,1,1,0,96.6353212078562
45,28,9,16,1,1,1,129.46705144237168
26,10,11,12,1,1,1,96.2638548944491
29,25,9,17,1,1,1,113.58557697685298
36,10,12,16,0,1,0,105.66272214293164
26,5,7,6,1,1,0,87.14193148939368
22,10,10,7,1,1,0,84.74846508833282
43,19,11,6,1,0,1,115.61128491473664
26,20,8,17,1,1,0,101.63742101857
39,30,13,14,0,1,1,125.46809937834718
41,13,10,11,1,1,0,109.68898828753515
26,20,3,4,1,1,1,99.52855640156196
25,18,13,17,0,1,0,100.47472298609398
25,13,10,13,1,1,1,95.52696315073874
30,12,10,10,1,0,0,94.7037559636826
21,24,14,13,1,0,1,102.62211372218836
32,7,11,11,1,0,1,97.47025007988243
42,26,13,17,1,0,1,126.3125746941339
39,18,10,15,1,1,1,115.2391991101862
21,18,10,20,0,0,0,95.72265068254752
32,11,15,20,1,1,0,102.98507055535396
34,10,13,19,1,0,1,106.05232207990868
23,21,8,16,1,0,0,98.24012132782586
21,20,10,7,0,0,0,92.446282188976
24,18,9,11,1,1,1,98.4285693357296
26,18,13,14,1,1,1,102.97410911788386
25,15,13,11,0,1,0,94.07906092318449
36,10,12,5,1,0,0,97.89604699365478
28,18,8,9,1,1,0,99.980542938219
29,15,3,0,1,1,1,96.74846788481678
35,26,9,18,1,1,0,116.19707781988788
27,23,12,7,1,0,1,102.92345724035914
20,14,12,12,1,1,0,89.02207016812498
34,15,10,12,1,1,0,105.35207356881769
32,17,14,10,1,1,0,103.65268861223332
38,15,11,17,1,1,0,109.77875333433845
31,25,8,12,1,1,1,111.93810304187036
26,13,7,16,0,1,0,97.80504801394152
32,20,16,14,1,1,1,109.85179914002951
23,25,7,21,1,1,1,108.75491543951792
37,14,9,8,1,0,0,105.24169857751792
40,21,12,22,1,1,1,123.56397837573223
35,30,9,8,0,0,1,118.63067268722058
30,15,11,11,1,0,0,97.84787101573323
34,25,6,15,1,0,1,115.13132019249343
36,29,8,19,1,0,0,119.48425612384946
29,21,9,17,1,0,1,110.37683342841387
30,26,15,12,0,0,1,111.54675904706129
32,19,9,12,1,1,1,109.1913335618638
27,9,5,13,1,1,0,92.69202782496616
29,24,10,18,0,1,1,111.88518697262153
25,22,5,9,1,0,1,102.85439877462352
23,12,8,15,0,0,0,91.87598707448316
31,16,2,19,1,0,1,106.70542357496151
39,24,13,12,1,1,1,120.72946029411315
27,27,7,9,0,1,0,106.22359377024922
35,26,7,8,1,0,1,114.78514680225965
40,22,12,7,1,1,0,114.66392994957812
36,24,8,16,1,0,1,119.5222313601096
21,9,12,13,0,1,0,87.61349291059311
25,26,9,8,1,1,0,104.740528639327
39,18,14,9,0,1,0,108.430989198824
23,31,8,20,1,1,1,114.74093154926187
32,22,6,16,1,1,1,112.79137708383088
32,23,10,9,0,0,1,111.15502344326468
29,14,9,10,1,1,0,95.3385804774556
26,24,10,16,1,0,1,108.2599958443614
22,17,12,10,1,1,1,96.08613946470926
33,19,7,26,1,1,1,116.641480011782
28,21,9,21,1,1,0,108.39398845562737
27,7,4,7,1,1,0,87.5234211828923
29,26,10,9,1,0,1,108.39234061730296
21,31,11,15,1,0,0,105.35260766788824
32,27,14,6,1,1,1,112.7746723796182
28,11,12,12,1,1,1,95.84724593740978
19,24,8,19,1,0,1,102.66420816523876
22,23,10,22,0,1,0,103.09198732355009
27,22,10,10,1,1,1,105.81007944390656
33,27,10,15,1,0,1,116.73274210040906
24,26,11,25,0,0,1,108.8110842668641
25,16,12,11,1,1,0,96.78363634244492
40,21,9,8,1,1,1,114.92899650818666
44,30,3,16,1,1,1,131.59149914835908
31,15,11,16,0,0,1,106.15591041385736
41,25,7,14,0,1,0,121.31189150850648
40,17,7,8,1,0,1,110.88299947022712
25,13,6,6,1,0,0,90.85386836672268
14,12,12,15,1,1,0,85.29631927014168
34,27,8,13,1,0,1,114.11495358811328
30,23,11,10,1,1,1,110.09849684657624
23,6,15,19,1,0,0,88.26270237483773
34,27,11,9,1,1,1,116.95925019985596
21,15,12,13,1,1,0,92.38995541422756
17,14,10,11,0,1,0,88.05843407122555
20,18,2,8,0,1,0,92.57589849975233
32,10,11,14,0,1,1,103.94137637592502
37,21,8,15,1,1,1,118.20133389126669
29,11,7,14,0,1,1,101.64572346154893
28,22,15,19,0,0,0,107.4981703762656
36,19,8,7,1,0,1,109.96211792512428
31,15,7,15,1,0,1,105.79353102933725
26,23,8,24,1,1,0,108.87411506471038
39,17,8,9,0,1,1,113.14340111683867
33,15,9,19,1,1,0,107.51350153983832
31,26,10,9,0,1,0,109.5743207406528
41,15,9,9,1,1,1,112.30092369081
20,19,13,22,0,1,0,100.27712511955647
36,4,6,8,1,1,0,95.27579290008136
14,10,4,14,1,0,0,80.76048834874922
36,20,9,10,1,0,1,111.95465633484989
36,21,8,16,0,1,0,113.90173410985412
30,30,8,14,0,1,0,112.20423882261916
29,25,15,14,1,1,1,112.06067300646572
23,18,9,18,1,1,1,102.44850800912675
11,12,13,7,1,1,0,76.12140852221196
26,15,12,18,1,0,0,97.59643792258
42,17,9,12,0,0,0,111.6950552347864
38,17,5,8,0,1,0,108.16369173128912
24,20,12,17,0,1,1,104.76465236107887
21,29,8,7,1,1,0,101.73506119434572
25,23,9,8,1,1,1,101.68468025165755
44,12,13,10,1,1,0,111.30768922875076
33,11,8,17,0,1,0,102.31486372506532
33,19,11,21,0,1,0,110.29326310169836
17,20,5,3,1,1,0,86.35363119245099
18,18,9,8,0,1,1,91.01123362471743
17,15,13,13,1,1,0,86.534580417814
14,16,15,14,0,1,0,84.92040422311426
15,12,12,16,0,1,0,85.84958448626027
36,23,10,12,1,1,1,114.36854854969587
19,16,12,8,1,0,0,87.45541210423951
35,10,11,8,0,0,1,103.18729326968926
29,15,10,13,1,0,0,99.44089331977273
39,21,13,23,1,1,0,119.13666272151131
27,17,8,21,1,1,0,100.68058805241544
27,21,12,22,0,1,1,110.76460434787232
43,17,9,13,1,1,1,118.35840197604507
40,22,12,11,0,1,0,115.8063170903987
17,22,8,17,1,0,0,93.42496549695198
14,22,15,12,1,1,0,91.84322184734783
41,19,8,11,1,1,1,117.78416667439556
35,15,4,20,0,1,1,113.54053110296908
33,12,14,13,1,1,1,106.50201461695056
30,24,10,15,1,1,0,109.3929277467048
23,27,10,7,0,1,0,101.68384312927878
48,16,10,12,1,1,0,118.10000197063296
38,18,2,12,1,0,1,111.3654566247028
20,15,11,22,0,1,1,98.27403326463713
22,27,9,17,1,1,1,108.40844299683458
43,19,10,15,0,1,1,119.04968089432786
18,21,4,22,0,0,0,96.8497086174136
26,17,9,20,1,1,0,102.16441683366854
18,17,8,5,1,0,0,86.05003556184599
30,3,8,14,1,0,1,93.35372044482008
16,20,9,22,1,1,1,97.83486959966577
34,19,14,14,1,1,1,112.87289796834344
39,26,9,18,1,1,1,126.125781355252
41,22,3,16,1,1,1,121.84953273015331
