age,education_years,income,political_interest,news_exposure,urban_residence,previous_voting,campaign_exposure,voted
26,29,2,17,1,0,0,1,103.37751904628767
26,23,2,14,0,0,0,1,98.53249287447493
20,19,6,16,1,1,0,0,92.60392388108332
18,28,4,13,2,0,0,0,92.91814745138431
13,23,5,18,2,1,0,1,98.48124311907478
36,27,3,18,1,0,0,0,102.5439190861711
17,18,2,19,0,1,1,0,92.95895721852682
25,23,5,16,4,0,1,0,96.57190865155412
8,35,4,21,0,0,1,1,109.04577666170138
15,21,6,9,0,0,0,0,84.06545934585208
15,18,6,8,5,0,1,0,84.79924197096719
26,29,4,18,2,0,0,1,106.22151300462365
34,21,6,18,2,0,0,0,99.581729830594
19,23,6,12,1,0,0,1,94.74740713739249
38,28,3,11,3,0,0,1,103.41316172527192
36,22,6,10,2,0,0,0,94.15352063346263
32,19,6,16,0,0,1,0,97.45387593547936
30,23,7,9,1,0,0,0,93.56353035370304
36,28,5,9,1,1,0,0,94.0996916701756
27,23,7,16,2,1,1,0,99.56630723279127
35,23,6,9,2,0,0,0,91.55825373465072
26,26,6,22,0,0,0,0,103.69466818941709
31,21,4,19,3,0,0,0,98.83144562019896
36,22,0,18,1,0,1,0,99.49051204522272
35,26,3,25,2,1,0,0,108.48559812126152
27,20,7,15,1,1,0,0,94.11571057329922
18,22,3,13,2,1,1,0,90.60209420808688
20,25,5,17,2,0,0,0,97.73079031975662
22,23,2,21,2,0,0,1,102.4962579325758
32,25,4,14,2,0,0,1,101.4996875110108
22,20,6,19,3,1,0,0,99.01348915097532
34,24,4,17,1,1,0,1,104.27766326189747
43,25,3,17,2,0,0,0,102.75351082899031
4,24,6,18,2,1,0,1,97.70357833249484
20,18,6,15,1,0,0,0,89.84761468442026
28,24,6,22,2,0,1,0,106.04376540504066
27,23,8,14,2,0,0,0,94.747558073294
38,24,5,24,2,0,0,0,110.03608199829124
27,24,0,13,2,1,1,1,96.7055556412063
23,26,10,17,3,1,0,1,104.92627585976275
30,27,8,17,0,0,0,0,102.89165176542198
13,18,4,17,3,0,0,1,93.53146295061114
4,18,5,25,2,0,1,0,96.65615100880052
20,22,5,14,2,0,0,0,90.26310258240522
31,26,9,23,4,1,1,1,114.37852833667635
16,26,5,20,1,1,0,1,103.31567737376652
33,21,7,1,2,0,0,1,87.64514507284453
23,29,7,18,0,1,1,0,103.09477967201572
30,32,5,11,1,0,0,0,98.4507619219576
18,28,7,11,3,0,0,0,93.39126549444084
35,22,6,10,3,1,0,0,94.32096825702064
22,28,5,12,1,0,0,0,93.78981740198394
28,29,4,14,4,1,1,0,100.63264556429893
35,30,8,17,3,0,0,1,109.83007463456568
32,19,5,17,2,0,0,0,97.94243675688612
37,26,8,15,2,1,1,1,108.83389359032104
20,16,9,21,2,0,0,1,101.01954684172668
29,19,8,20,3,0,1,1,105.19440641153092
19,24,3,17,2,0,0,0,94.6366109333416
22,16,9,16,1,0,0,0,91.66835251664044
27,18,5,19,1,1,1,1,102.28030318759158
22,24,2,18,0,0,0,0,95.04926587221468
29,23,8,18,2,0,1,1,105.98898188187256
28,23,4,16,2,1,0,1,101.37032782162724
26,19,6,17,3,1,0,1,99.81680403006855
33,25,4,23,4,0,0,0,106.22287308003534
27,23,4,21,2,1,0,1,105.47948231154666
16,32,9,17,1,1,0,1,106.10041418553033
23,20,5,17,2,0,1,0,94.9156164744994
23,17,5,9,2,0,0,1,88.33612024625228
30,19,8,14,2,0,1,0,93.52059320551228
37,19,7,22,1,0,0,1,107.6208657989632
14,23,8,16,1,0,0,0,94.28517782821828
25,22,6,17,0,0,0,0,97.06346442249796
24,23,10,10,2,0,0,1,97.38580562818753
12,21,5,15,5,1,0,0,91.42548894011264
25,22,0,16,2,1,0,1,97.70753637130645
15,24,4,19,3,1,0,0,97.81851292502635
12,18,4,19,4,0,1,0,90.35687811459768
36,31,4,16,0,0,0,0,105.24377892614034
32,25,6,16,2,1,1,1,104.34540179146572
40,21,5,11,2,0,0,1,99.4800004616524
20,21,7,18,1,0,0,0,95.59074373672958
7,27,5,15,2,0,1,0,93.7615158292215
15,24,4,18,2,1,0,1,100.50879414759537
26,24,6,14,2,0,0,0,95.0722874837408
28,21,4,15,0,0,1,1,99.41034025476192
4,22,5,20,2,0,1,0,93.09467269304731
24,22,7,15,0,1,1,0,95.73943004328382
15,25,8,6,2,1,0,0,85.94137189941831
19,26,8,13,1,0,1,0,93.4591919135437
32,23,5,17,4,0,0,0,97.71101281137588
27,21,7,11,2,1,1,0,89.8563428663659
11,29,6,18,0,1,0,0,98.44030695524992
11,22,7,21,2,0,1,0,98.16029474507054
28,20,3,21,1,1,0,0,98.87477472016762
24,23,7,15,1,0,0,0,96.49659950919543
8,23,4,16,0,0,0,0,89.54777847207077
4,24,5,18,1,0,0,0,93.9544441561279
7,23,4,10,3,0,1,1,91.7582235712114
3,23,3,10,1,0,0,0,83.59846654025995
16,20,7,8,2,0,0,1,90.94754664912595
18,20,4,16,2,1,0,0,89.72026488697509
15,22,6,12,2,0,0,1,93.47877018650158
4,26,5,13,1,0,0,0,87.09336078517501
19,27,3,8,0,0,1,0,90.33876490372916
13,26,3,18,3,0,0,0,95.29722914900314
35,16,7,12,1,0,0,0,90.4539097261138
34,24,3,4,2,0,0,1,90.70910704718746
25,16,10,15,1,1,1,0,94.93374848675104
13,20,7,16,1,0,0,1,96.2447474807426
30,27,4,11,1,1,0,0,95.10548757734192
34,24,7,14,2,1,0,1,102.32185977706447
25,25,5,18,2,0,0,0,99.03594459909216
11,27,9,12,2,1,1,1,96.67026329474888
25,26,9,3,1,0,0,0,87.17142764399915
37,19,4,17,4,0,0,0,97.8369189470045
22,22,6,14,2,1,0,0,94.75530907863303
10,21,6,24,1,0,0,1,103.47657600476016
16,19,5,11,0,0,0,0,86.2494623908402
37,31,2,14,1,0,1,1,106.13602652350656
8,22,6,18,2,1,1,0,93.25306567551272
14,26,8,20,2,1,0,0,99.551610579308
7,27,3,19,1,0,1,0,97.62689919371842
10,22,6,16,2,0,0,0,91.89503268766155
25,23,3,13,0,0,0,1,96.37534945403038
14,30,1,16,2,0,0,0,96.31062694380988
31,17,7,11,2,1,0,1,93.25887281914476
21,26,6,11,3,0,0,1,96.87731191613018
20,17,3,20,-1,1,1,0,93.919630764163
20,26,3,18,0,0,0,1,101.21506933158008
5,23,8,24,1,1,0,1,103.40021268366874
21,27,9,17,1,1,0,0,100.66554256944347
15,16,7,18,1,1,0,0,91.2210581469796
19,30,8,22,2,1,0,1,111.59620375903526
6,22,6,16,3,1,1,0,90.26066643360411
23,17,10,12,1,0,0,1,93.99253944543592
24,23,6,25,3,0,0,1,107.8661241595268
28,24,4,23,1,1,0,0,104.15182194829237
28,21,5,22,1,1,0,0,102.15366469713727
42,21,4,13,2,0,1,0,98.36966283654336
16,34,3,14,3,1,0,0,98.32801019799048
42,17,4,18,1,0,0,0,97.75035323810437
30,27,5,12,0,0,0,0,96.39446858506
25,27,5,19,0,0,0,0,101.1408866765152
18,21,5,13,0,0,0,1,94.75894066640927
16,28,6,12,2,0,0,0,92.90138029817297
25,24,8,10,4,0,0,1,96.42868793396494
43,26,6,8,0,0,1,0,95.98765849263404
25,24,7,16,1,0,0,0,96.28289513415992
38,21,9,9,0,0,1,1,97.90967470333445
20,20,8,14,1,0,0,0,90.91460765089764
25,15,5,16,0,0,0,1,94.19770771961151
18,24,7,9,3,1,1,0,90.06076592357482
47,23,2,11,1,1,1,0,97.48261249915105
25,30,8,16,1,1,0,1,104.5644598563225
20,22,5,10,2,1,0,0,86.4993835457374
24,18,6,10,1,1,1,1,91.27879691142375
30,21,4,20,0,0,0,0,98.66096221898516
25,28,9,14,2,1,1,1,103.63640808044508
19,19,9,14,0,0,1,1,95.70279848317595
32,26,2,15,2,0,0,0,98.29063284593006
25,23,9,6,0,1,0,1,92.1976436645028
15,26,3,15,1,0,1,1,98.78862692382523
23,25,4,20,2,0,1,0,99.76308276448268
28,23,5,12,1,0,0,0,93.85595140053069
13,22,3,18,1,0,0,1,98.7225637688944
29,22,12,12,1,0,0,1,98.87251112613356
15,18,6,20,3,0,0,1,99.26877695629328
31,23,5,22,2,0,0,1,108.71748728376288
9,19,8,18,1,0,1,0,93.07603641359184
30,28,7,21,0,0,1,0,105.507119498742
34,22,3,29,0,0,1,1,115.88784763138494
20,18,4,14,0,0,0,1,93.5185939167172
0,23,7,18,2,1,0,1,96.7651902134264
26,26,4,21,2,0,0,0,102.4098730170781
20,19,6,19,2,1,0,1,97.92063072426672
30,23,9,13,2,0,0,1,101.41343992013527
19,24,7,17,2,1,0,1,100.47627912185254
37,21,3,19,0,0,1,0,101.64881599987518
15,27,8,17,0,0,0,0,98.78416969903242
39,23,4,11,2,0,1,0,96.3286539993542
30,31,8,18,1,0,0,1,110.34024466354664
10,26,6,20,2,0,1,1,103.56610124974814
19,21,7,16,3,1,0,1,97.75548018812049
30,27,5,11,0,0,0,1,97.55326173554036
11,27,5,18,2,0,0,0,96.11475728582428
23,27,6,22,2,1,0,1,110.9494321324733
34,29,6,23,2,1,1,0,110.98630033620476
34,25,4,8,4,0,0,0,93.39197310742207
39,26,4,23,2,0,0,0,108.5898169085922
16,30,1,8,1,0,0,1,91.57106970403748
19,20,8,19,2,0,0,1,100.64774875037868
23,19,9,17,2,0,1,1,99.87142525505196
15,21,5,17,0,0,0,0,93.82822468610992
34,19,6,11,1,0,0,1,94.39170415832244
9,22,6,25,2,0,0,0,101.2136837398732
26,19,3,14,2,1,0,0,89.4561496494522
3,26,7,19,1,0,1,1,101.4195473572854
20,23,3,11,1,0,0,1,94.79424945766
26,18,5,15,2,1,0,1,96.51611931187024
48,24,5,13,1,0,0,0,99.8916685497329
33,25,8,18,1,0,0,0,102.16465553765136
35,31,4,14,0,0,0,0,100.89432860542752
24,16,6,16,1,1,0,1,96.32171378012876
29,22,5,10,2,0,0,1,95.05867703520948
21,19,6,15,3,1,0,0,93.8389542119411
42,22,4,17,2,1,0,1,105.79274908337034
21,24,1,10,1,0,0,0,90.18770924110528
35,16,6,15,4,0,0,0,94.504059896346
49,20,6,9,2,0,0,1,97.7884547124594
22,11,6,20,1,1,0,0,91.35846959114828
10,25,7,18,5,1,0,1,100.37510788735084
16,24,3,22,0,0,0,0,100.8505554406526
20,19,8,10,2,1,0,1,92.96017707529394
23,29,2,21,2,0,0,0,102.38166284162008
-8,24,4,15,2,0,1,1,91.01378660359572
34,33,6,19,4,1,0,0,109.55386079315112
22,25,8,14,1,0,0,0,94.57123869827116
29,29,7,15,1,1,0,1,105.68325548512875
35,17,6,17,1,1,1,1,101.05011296014348
21,27,5,14,1,0,0,0,95.8611372849077
26,24,5,15,1,0,0,1,103.14118919954298
44,20,7,17,3,1,1,1,106.09943546773007
39,29,5,14,0,0,0,1,106.46771579945018
14,18,3,16,0,1,1,1,94.25040791104084
26,26,11,7,0,1,0,0,92.26763841408486
19,24,7,7,2,0,0,0,87.72388186826589
15,19,1,14,2,1,1,1,92.91113079063832
19,22,5,23,2,1,0,0,99.5825163334609
5,18,4,23,1,1,0,1,96.57834120926812
18,26,4,16,1,1,1,1,100.53661602443538
30,27,4,17,1,1,0,0,101.82776165442054
40,26,4,11,1,1,0,1,101.58549146028976
28,13,4,19,0,0,0,0,92.60392450281556
20,26,9,13,1,0,0,1,99.59039987032716
23,22,5,13,1,1,0,1,96.92810350448896
49,27,4,17,3,0,1,0,108.19329244551292
28,22,10,10,1,0,0,0,92.51865594291245
21,26,-1,20,1,0,1,0,99.98596429611598
44,18,6,20,0,1,0,0,102.31878658946974
28,28,3,18,1,0,1,0,102.65684857279028
17,24,7,17,2,0,0,1,99.9481011596273
21,18,4,18,0,0,0,0,94.58146073480728
13,22,9,17,1,0,1,1,95.86142128166998
30,24,4,18,3,1,0,1,103.95765742383476
16,28,5,14,3,1,1,0,95.1823541483246
23,30,8,15,2,0,0,0,100.69167543564323
13,20,4,16,0,1,0,0,89.84027782883011
24,28,6,9,3,1,0,1,96.94349094192656
21,27,9,21,2,0,0,1,108.7718784332232
20,17,9,22,1,0,0,1,100.97373829981032
26,28,4,21,1,0,1,0,105.54790491512271
36,29,6,22,1,0,0,1,113.5524168375899
28,24,4,17,3,0,0,1,102.30686167851104
21,24,4,20,0,0,0,0,97.29429914981546
32,20,8,13,2,1,0,1,98.99108451457482
30,28,7,15,1,0,0,1,103.5657106609288
22,29,3,14,2,0,0,1,101.87515891846076
24,21,6,14,1,0,0,1,98.0868749747463
35,25,4,16,1,1,0,1,102.6706309329787
28,23,7,21,2,0,0,1,105.4113335930042
22,17,8,24,1,1,0,1,105.175087061527
34,20,8,15,2,0,1,1,101.44010181678092
34,27,7,10,0,0,0,1,100.79342494270009
17,25,5,11,2,0,1,0,91.46784742378767
29,25,3,15,2,0,0,0,95.15412085822508
33,21,5,18,1,0,0,0,98.32935909566676
14,26,6,11,0,1,1,1,94.72875519508936
21,23,5,17,3,0,0,0,95.02811840436836
37,22,7,17,2,1,0,0,100.09799142994557
29,21,8,13,2,0,0,0,93.86228183494492
27,21,10,20,2,1,0,0,101.49802324951698
3,23,1,10,1,0,0,1,87.56314592687907
13,20,8,20,1,0,0,1,100.35550517547638
15,22,3,16,1,1,0,0,92.91087001371888
43,22,6,16,2,0,0,1,106.2852337252218
11,26,5,17,2,0,1,0,97.012124737748
29,28,3,6,3,0,0,1,96.27719363191332
30,20,6,15,1,0,0,1,99.04997181993572
33,24,7,17,0,0,0,1,105.32655194920466
38,29,6,19,3,1,0,1,110.45065632824236
14,19,11,26,2,0,0,0,101.92065349040172
23,24,3,-1,2,1,0,0,78.44857301188289
23,25,7,14,2,0,0,0,95.37022732623956
17,25,7,22,1,0,1,1,109.69359656749737
36,24,5,13,0,0,0,1,99.40885489190497
7,26,1,18,2,1,1,0,95.22399182373393
32,28,6,10,2,0,0,0,95.9994924010196
23,25,9,17,1,1,0,1,102.51152355520664
25,26,6,15,0,0,0,1,102.08612903118328
33,23,9,7,1,0,0,0,89.03462626810266
33,27,5,15,1,0,0,0,98.74303172547638
18,19,9,12,1,1,0,0,88.47278572224376
27,14,10,16,2,0,0,1,99.14773525747228
5,27,6,6,3,0,0,0,83.77155007463683
18,27,0,22,3,0,1,1,105.841008365831
23,21,3,19,1,1,0,1,99.66293196442186
17,28,6,12,1,0,0,1,98.21497329173296
35,20,11,8,1,0,0,1,94.90505339901038
22,25,1,13,1,1,0,1,96.80821150470138
25,24,5,16,0,0,0,0,96.6855984308746
20,34,5,14,2,0,1,0,102.79871315794288
30,22,4,18,3,1,0,1,102.77808409908025
36,22,7,7,0,1,0,1,93.99723308224152
13,23,7,16,1,0,0,0,92.74349743121184
35,25,4,13,1,0,0,0,97.3158480848695
14,22,6,10,1,0,0,0,88.98448412824654
25,24,5,13,1,0,0,0,95.54215661782293
28,26,7,22,3,0,0,1,110.05308097570894
17,20,6,12,3,0,0,1,91.154380678879
29,20,5,17,3,0,0,1,99.844938735353
25,20,6,14,2,0,0,0,91.05200419213271
14,22,5,19,1,1,0,0,94.72198760016325
21,27,8,12,2,0,0,0,95.73426664695064
46,28,6,21,1,0,1,1,115.29268162510088
36,26,8,21,1,1,0,1,112.4581011513758
37,22,5,15,0,0,0,0,96.63081244678324
26,26,4,20,1,1,0,0,100.81037403338216
19,26,5,18,3,0,0,0,96.6552357975944
27,29,3,19,1,0,0,0,102.5058357450763
7,22,0,11,1,1,1,1,87.66803447474912
18,22,6,11,2,0,1,0,91.40320919563942
22,26,3,12,2,1,0,1,98.29921560116937
20,16,3,16,4,0,0,1,93.24543674081028
25,19,9,8,2,0,0,0,84.83815666996972
32,29,5,13,3,0,0,0,97.90858293887209
9,29,4,19,1,0,1,1,102.12614605620983
17,27,5,17,0,0,1,0,99.05017745278532
27,32,5,18,1,0,1,1,109.07678577449748
28,25,3,16,0,1,1,1,102.64922176569132
28,25,3,17,1,1,0,1,102.84980864630812
27,20,6,13,2,0,0,1,96.29052486882868
19,24,6,15,1,0,0,1,98.3162700941126
35,25,8,8,3,1,0,0,94.55055948515258
23,23,5,17,2,1,0,1,101.19179134282535
15,28,5,7,1,1,0,1,91.24231632783176
12,18,6,12,2,0,0,1,90.03020255791857
15,26,6,12,0,1,0,0,91.39562250357515
19,12,3,10,2,1,0,0,79.01543336648615
12,25,8,24,1,1,0,0,102.88635517949136
18,24,4,21,3,1,1,0,102.33933574988497
26,21,4,13,1,0,0,0,92.4121737777217
25,25,10,14,2,0,1,1,101.41783295026632
24,30,5,12,1,1,1,0,97.60764925637648
6,24,7,12,0,0,0,1,90.13991025627432
50,24,2,19,1,0,0,1,111.09670069664664
25,26,4,10,1,0,0,0,90.5514546690258
42,24,9,13,1,0,0,1,105.28141359547716
31,22,7,16,2,0,0,1,103.68211284921144
19,27,4,17,3,1,0,0,97.31160100039814
25,26,5,15,2,0,0,1,102.22056868167812
33,30,5,18,2,0,0,0,104.0429527813778
4,23,2,19,1,0,1,0,94.1755478291118
19,20,8,12,0,0,1,0,90.26218559213488
43,21,3,19,3,0,0,1,106.73845687450525
25,30,4,10,0,0,0,0,94.37694695357264
33,25,4,20,2,0,0,1,107.4812447615023
27,24,0,15,2,0,0,0,96.3988607171774
32,28,4,20,2,0,0,1,110.22444784590748
9,25,4,12,1,0,0,0,89.19140918481243
16,21,6,20,2,1,0,0,96.00128551035368
30,26,3,14,2,1,0,1,100.80789026468662
22,17,2,20,2,0,0,1,98.78813486775736
31,18,3,15,1,1,1,1,97.395767569626
13,22,4,15,3,0,1,0,91.31043253357464
36,20,8,21,2,1,0,0,102.02012737798572
15,19,10,16,2,1,0,1,96.24477293603204
20,23,7,12,3,0,0,0,91.1927164893754
23,27,3,22,2,0,0,0,102.53199422624142
38,27,5,22,2,0,1,1,114.94107912275426
31,21,9,16,4,1,0,0,99.153226369574
28,20,6,10,2,0,1,0,89.25466468476888
30,18,8,15,2,0,1,1,100.69070465255868
26,24,6,16,1,0,1,1,101.7150476329632
30,25,5,14,1,1,1,1,102.49985580713673
26,27,4,18,1,1,0,0,100.48930551079155
38,25,6,18,2,0,0,1,107.17317942628976
22,25,3,22,3,0,0,1,104.35418635922346
17,24,7,14,3,1,0,0,93.3452017038602
27,32,5,15,1,1,0,0,101.79514671711529
26,26,2,14,1,1,0,0,93.50847113730254
34,22,4,7,2,1,0,0,88.8020758398748
30,18,4,19,2,0,1,0,98.14973572251192
3,19,5,16,1,0,1,1,91.52589993500666
0,31,9,22,2,0,0,1,106.73860532787565
31,25,6,3,1,1,0,1,90.59057521611535
35,22,9,16,1,1,0,1,103.4896638604352
9,22,9,23,0,1,0,1,101.47444381465785
22,24,6,11,0,1,0,0,89.09636044969884
30,27,4,19,2,0,0,0,101.98511803715444
25,29,6,16,2,0,0,0,100.7071841591631
17,27,4,16,2,0,0,1,100.3815994618794
26,18,4,19,2,0,0,1,101.0988428273498
22,22,4,4,0,0,1,0,84.30243762828584
25,28,3,17,2,0,1,1,104.5818403566038
24,22,7,13,2,0,1,0,94.7201083873638
38,15,4,17,1,1,0,1,99.29121757333232
14,21,4,5,2,0,0,0,80.21960945312954
50,23,4,15,2,0,0,1,107.02231031555708
26,23,7,17,0,0,0,0,98.8395936390008
23,30,7,21,3,0,1,0,106.29261804921546
12,18,6,17,2,0,1,0,91.88838941207143
41,15,6,11,1,1,0,1,94.9142320034196
28,25,5,15,3,1,0,0,96.1160133624181
37,27,8,13,1,0,0,1,104.02303493790605
25,18,2,8,3,0,1,0,83.17000653203218
50,22,9,17,2,1,1,1,110.48479630003446
0,17,5,12,2,1,0,0,81.50678485599123
40,27,2,19,2,1,0,0,105.57404561292952
28,25,7,20,2,0,0,1,107.7642591769085
41,27,9,20,2,1,0,1,113.310401009919
41,24,6,15,1,0,1,1,104.83252504043485
20,18,7,19,1,0,1,0,94.03179345218174
26,20,2,21,1,0,0,1,103.6928796754862
23,23,5,17,3,1,0,0,97.52021553223138
29,27,3,16,1,0,1,1,104.11473689121432
41,25,10,14,1,1,0,0,102.50479630396867
38,27,6,14,1,0,0,1,105.60808792103404
29,17,7,17,2,0,0,0,95.9343487309237
18,22,5,19,0,0,1,0,98.018521227679
14,23,3,16,1,1,0,0,92.90750687110643
15,20,11,7,1,0,0,0,84.40137927318777
22,18,6,20,2,0,0,0,95.00434288324112
26,29,4,19,4,0,0,0,102.95336988883676
16,32,4,19,2,1,0,1,107.46084813327688
42,18,4,17,0,0,0,1,103.31043564050168
22,18,2,19,1,0,1,0,94.5233656674188
32,24,5,11,3,0,1,1,96.89982245856292
34,17,4,13,1,1,1,1,95.11021998253808
31,22,6,20,1,0,0,1,104.43533642813316
29,25,8,21,0,0,1,1,108.82169645058256
35,26,9,14,2,1,0,0,100.96417471021122
18,20,6,15,2,0,0,0,92.0334010988573
36,24,9,17,1,0,1,1,107.290750359417
36,28,3,9,1,0,1,0,94.73907813501256
19,21,6,21,1,0,1,0,100.68694456350016
31,21,1,28,0,0,0,1,112.57099261334052
34,20,4,13,2,0,0,0,92.37810232807767
19,24,4,20,1,0,0,0,99.3144935803682
17,25,5,12,2,0,1,1,96.07093764348647
15,21,4,19,1,0,1,1,98.92842017039072
-1,21,7,8,2,1,0,1,85.49106279486709
7,29,7,17,1,0,0,1,100.18388085326526
24,29,5,10,1,0,1,1,99.24054857782936
29,16,8,15,1,1,0,0,91.9968829395544
7,24,5,12,2,1,0,1,91.86614898929928
7,25,7,18,2,1,0,0,94.16769461514816
20,24,2,22,1,0,1,0,100.89699638073434
42,24,4,25,2,0,1,0,110.09669910235066
28,20,3,17,2,0,0,1,99.75184046626076
4,16,5,19,0,0,0,0,87.4892430108422
17,19,3,17,2,0,0,1,94.94308667567115
25,27,9,12,2,0,0,0,95.83357369762317
25,29,9,26,2,0,0,0,110.3102956028334
13,29,2,19,1,0,0,0,99.37838118099177
19,28,8,15,2,0,0,1,102.6643986011611
44,27,3,9,0,1,0,1,100.17807244279848
7,26,8,14,2,1,1,1,95.18956889654746
28,24,5,11,2,1,1,0,93.06353933193456
21,19,5,13,3,1,0,0,89.01449086289614
18,30,1,15,-1,0,0,0,96.07180798801984
28,27,5,14,3,1,1,1,101.78832179564677
11,23,6,18,1,0,0,1,98.35632742666589
16,20,7,16,1,0,1,0,91.50098399243475
32,24,5,17,1,1,0,0,101.00713387267616
8,21,8,14,3,0,0,1,92.239849058704
7,26,4,12,2,0,0,1,93.68183632243122
27,26,5,15,2,0,1,1,103.37021894029284
36,32,5,10,1,1,0,0,97.7925258500554
25,29,3,19,2,0,1,1,108.5968738953458
22,28,7,18,1,0,0,0,103.28320291627595
26,25,5,11,3,1,0,1,94.8442405444458
19,19,7,13,1,0,0,1,96.31699372591848
23,23,5,8,1,0,0,0,86.77366722018584
30,24,0,13,3,1,0,1,98.62113046677288
25,30,4,15,3,1,0,1,104.40250001383473
34,17,3,18,2,0,0,0,94.87134489351033
17,33,7,10,1,0,1,1,98.54582593317578
12,34,6,14,2,0,1,0,100.41619745541335
36,27,4,19,1,0,0,0,103.85559991266274
23,29,7,15,2,0,0,1,102.13575854801066
10,17,3,15,0,1,1,0,84.57316155975525
4,23,7,15,1,0,0,0,90.3472861005652
31,25,7,19,1,1,0,1,107.46299392647605
38,22,6,17,1,0,0,0,99.97096486344924
38,22,7,12,3,0,0,0,96.41054651602488
20,29,6,17,1,1,0,0,100.13156031966878
20,27,7,5,2,0,1,0,87.82714120655749
19,25,7,18,0,1,1,1,104.3326765452291
24,22,6,10,2,1,1,1,94.58814352189977
18,31,0,18,1,0,0,1,103.66806187105531
34,25,7,25,0,1,0,0,108.68471453739326
34,20,2,15,1,0,0,0,94.43470162182624
29,15,5,12,1,1,1,1,93.27672637205968
40,23,3,19,0,0,1,1,108.05652616557944
47,26,12,12,2,1,0,0,103.8652950315714
19,18,5,4,3,0,1,0,79.43326312384417
25,20,7,21,1,1,0,0,100.1754147896789
21,28,4,12,1,1,0,0,94.53251852732215
15,20,5,10,2,0,1,0,85.63083996301242
34,22,7,25,2,0,0,0,107.00154094788203
22,23,5,11,1,0,0,1,93.94427776062624
35,22,5,11,1,1,0,1,96.83463392231188
36,26,8,12,1,0,0,1,102.02550463883064
27,22,3,11,0,0,0,0,92.09097540896668
23,26,9,12,1,0,0,0,94.7778762764832
23,29,10,16,0,1,0,1,106.8002077143612
14,28,5,18,0,1,1,1,103.43505032842806
42,23,4,20,2,0,0,0,103.74314262838348
24,22,2,16,2,0,0,1,98.33923153914814
11,26,1,16,2,1,1,1,99.28357984544007
27,25,7,18,3,0,1,0,101.5145705724262
27,24,7,20,2,0,1,1,106.44937147564048
27,19,7,17,2,0,0,0,95.9831431215539
30,21,4,14,2,0,0,1,97.01493118448673
7,23,3,11,1,0,1,0,87.91559415094851
21,25,8,15,2,1,1,1,102.44849747247868
30,34,4,23,1,0,0,0,109.3864668278048
21,19,7,14,2,0,0,0,89.91870086325143
12,24,8,16,3,1,0,0,94.90307574016632
20,18,9,8,3,0,1,1,88.99528009471815
27,26,6,18,1,0,1,0,102.29875862209758
24,22,3,15,3,0,0,1,98.73237776419708
20,24,5,14,2,0,0,0,95.28640156060555
29,19,6,16,3,0,1,0,94.54954330753743
34,19,6,12,2,0,0,1,94.75504991677082
38,30,7,11,1,1,0,1,105.08702846266468
