years_of_experience,hourly_wage,gender,full_time,unemployment_benefits,regional_unemployment_rate,job_training_program,annual_income
10,30,0,0,1,9,20,179.4119572355243
7,31,0,0,0,10,21,190.5614132147458
15,32,1,0,1,6,11,105.54833005312648
7,31,0,1,0,6,20,179.55954323889893
9,30,1,1,1,8,19,172.35414541220382
12,27,1,0,0,7,19,172.77716034524497
12,25,0,0,0,9,21,189.387004410456
13,30,1,0,0,12,18,163.92109013459117
11,31,1,0,0,9,17,154.95593014086893
12,28,1,1,0,6,19,175.94405556730396
5,30,1,0,0,11,22,196.5412433896296
15,27,1,1,0,11,23,202.5480992159169
9,29,1,1,0,9,21,189.7775153067913
10,30,0,0,0,10,18,161.6545875010312
11,34,0,0,0,3,12,112.35587923225984
6,31,1,0,0,11,20,181.63621211701897
11,32,1,0,0,9,19,171.1290815894805
11,28,0,1,1,11,20,178.33271440830617
14,30,1,0,1,10,15,137.89848099287985
13,27,0,0,0,7,19,172.54567863460684
7,28,1,0,0,13,25,222.64741429505773
12,29,1,1,1,10,20,177.5164561824827
9,31,0,1,0,12,22,199.8258078914064
5,29,0,1,0,9,25,222.29550127274865
6,29,1,0,1,9,22,199.8265625181064
7,27,1,0,1,10,18,166.18237804988738
10,27,1,0,0,12,22,198.47414468522427
7,31,1,0,0,10,23,204.57297095692996
9,29,1,1,0,9,20,180.12887739920038
8,30,0,0,1,12,20,180.40139056592977
6,33,1,1,0,9,20,181.66633246304696
9,27,0,0,0,7,20,180.87338639737123
9,30,0,0,0,7,20,181.0180638931511
10,27,1,1,1,7,20,184.54789435921936
3,29,0,1,1,10,23,207.2505148157392
7,31,0,0,1,11,20,179.79971524641095
19,30,1,0,0,10,14,129.22238480869808
11,36,0,0,1,6,13,121.68689404884395
16,30,0,0,0,8,17,156.04551447053308
8,30,0,0,1,11,20,181.0523028397241
5,28,0,1,1,10,23,205.82508252743688
9,28,0,1,0,13,24,214.64632513515448
10,29,1,1,1,8,18,163.93774108237926
8,26,0,1,1,12,22,196.82659122304204
10,29,0,1,0,7,21,190.4015691322009
10,28,0,1,0,9,21,189.6073720504086
11,33,1,0,0,9,17,154.63143191912943
13,32,1,1,1,9,17,153.13746505427656
9,29,1,0,0,9,18,165.21598493931253
8,30,0,0,0,8,21,190.0368813957012
3,27,0,1,0,9,26,232.22261080872315
9,30,0,1,0,9,21,191.81818992898104
9,30,0,0,1,8,17,154.0602981561738
11,24,0,0,1,9,21,189.7271990412028
9,31,0,0,0,9,19,173.0258552678006
11,29,0,0,0,10,17,154.0820003898406
9,29,0,0,0,7,19,171.93342215257942
10,28,0,0,0,8,19,173.87581194946486
12,26,1,0,0,10,21,187.0147822841411
5,28,0,0,1,9,21,192.4902502549824
5,29,1,0,0,10,21,189.5094426621715
10,28,1,0,0,9,21,187.0642425888861
8,31,1,0,0,7,18,164.52383887805908
13,29,0,1,0,8,15,136.1749426773122
11,31,1,0,0,8,17,155.2032366682678
11,28,1,0,0,9,18,167.16309653659212
12,26,1,1,0,9,23,208.10375353462007
6,33,1,1,1,8,19,170.9858649496752
7,28,0,1,0,9,23,204.60818084550027
7,28,1,0,0,9,23,208.42268447230293
11,27,0,0,0,7,21,188.8431095492532
10,31,0,0,0,7,20,183.7591269151625
10,29,0,1,0,10,20,178.7118043468959
9,31,1,0,0,7,19,174.0394714036894
9,25,1,0,1,6,22,198.4154580352404
11,29,0,0,1,8,17,153.69803880598187
7,29,1,1,1,12,20,179.91262095308804
6,34,1,0,1,12,23,203.8493043554914
11,26,0,0,0,7,20,181.78142923696
14,27,0,0,1,8,17,152.80529744646196
9,34,0,0,0,11,17,152.98326522169398
11,25,0,1,0,7,22,198.9768100472434
7,25,0,0,0,11,24,214.4967026773764
10,27,0,0,0,14,26,231.4398082516145
6,28,0,0,0,8,22,200.32101256508733
8,32,0,0,1,11,19,170.32767497381954
5,31,0,1,0,11,22,196.88905759035367
11,33,0,1,0,7,19,172.3295975540311
9,31,0,0,0,4,17,156.058346342983
8,33,1,0,1,12,18,162.1743156944526
10,34,0,1,0,6,19,169.5739864550439
8,30,0,1,1,13,21,184.8715202626594
6,30,1,0,1,10,22,200.10321966638395
9,26,1,0,1,11,19,169.8258751679099
13,30,0,1,1,9,18,162.2627059335084
9,29,1,0,0,12,21,187.2370143371156
5,28,0,1,0,10,21,190.61680485356865
11,32,1,0,1,7,17,153.86904670328116
9,31,0,1,1,9,20,183.05979866582592
10,31,0,0,0,6,17,160.20273167103977
13,29,0,0,1,11,18,163.17773474287426
6,31,0,1,1,10,21,187.458836711165
7,31,0,1,0,12,23,205.1579807704637
10,30,1,1,0,7,19,175.14177598385794
10,29,0,1,0,9,19,172.79578188827873
10,35,1,1,0,7,16,146.48742307028132
6,32,1,1,0,9,21,187.1329320760441
12,34,0,1,1,9,15,139.26576991024427
11,31,0,1,1,11,18,163.61105441910337
13,28,0,1,0,7,18,164.06917919755972
10,28,0,1,0,8,24,215.24387163510792
14,26,0,1,0,7,19,175.75498147612987
10,30,1,0,1,5,17,156.95846478610272
5,28,0,0,0,8,22,200.0981070937807
11,30,0,0,1,8,19,174.43850768919896
16,28,1,0,1,10,18,163.28747147011526
6,34,0,0,1,4,15,139.7834306569579
9,35,0,1,0,12,20,176.20765307801068
7,30,0,0,1,7,20,180.07807561752185
5,28,0,0,0,10,24,214.1769244283032
16,32,1,1,1,12,18,160.16587302996905
3,32,0,0,0,9,20,183.61373214152223
6,30,0,0,0,7,21,191.274544956228
7,32,0,0,0,8,19,176.3130835856909
7,31,1,0,0,6,18,163.90183638716093
10,29,0,0,1,10,22,196.7979974516541
11,29,0,0,0,6,17,156.3539577049935
7,26,1,0,1,8,20,184.4244297453016
7,30,0,1,0,11,23,207.8189361131915
8,32,1,0,1,10,18,161.61139001028795
13,29,0,1,0,15,19,173.81032606436582
5,30,1,0,1,9,23,206.3291890292334
11,31,1,0,0,10,18,162.15742783034543
10,28,1,0,0,13,21,192.05882261197905
7,30,0,1,0,13,25,222.40133293642248
9,29,1,0,1,12,20,180.6854731389097
9,29,1,1,0,8,21,187.8797044832272
7,30,1,1,1,10,20,179.1931824050146
8,30,0,0,0,10,23,206.98962652365705
7,30,0,0,0,12,23,206.2401303337436
9,29,0,1,0,9,22,196.2823391063405
13,32,0,1,0,10,20,181.6888967187541
10,29,0,0,0,7,19,173.31362475622728
14,30,1,0,0,10,17,152.03502310170387
8,28,0,0,0,12,23,207.8773687614618
8,30,1,1,1,10,21,186.67620683632083
7,29,0,0,1,10,23,206.06822828851676
7,32,0,0,0,11,21,188.49261076388703
10,30,0,0,0,9,20,180.41329161988676
8,32,1,0,1,8,19,174.33565422339476
15,30,1,1,0,12,19,169.35516324886143
9,29,0,0,0,9,22,199.6294393427087
13,28,0,0,0,9,18,163.29004686853534
8,29,1,1,0,10,22,197.78309594803645
12,28,0,0,0,7,16,145.6105362370832
10,27,0,0,0,11,22,199.34277211992816
6,25,0,0,0,9,22,202.2317336090641
8,27,0,0,1,7,21,190.9619085803756
11,32,0,1,1,7,16,148.49810870933038
14,30,0,0,1,9,19,173.08607950256763
8,32,0,1,1,9,19,171.4767749849765
11,31,1,0,0,9,18,162.71890712984938
5,30,0,1,1,11,23,205.48799213608024
11,28,0,0,0,12,22,198.2635132206969
16,30,1,1,1,10,17,152.72648785363864
11,34,0,0,1,13,21,186.460401277199
14,30,1,0,0,8,18,161.80395989314363
4,29,1,0,0,11,25,223.09595033601605
12,32,0,1,1,9,16,147.07926946042218
14,30,0,1,0,15,21,183.81044195871868
11,28,0,0,0,13,22,195.43779881532183
4,32,0,1,0,10,24,216.38611932438127
10,25,1,0,0,9,22,199.1994778192753
7,29,0,0,0,9,23,207.2638451111669
9,32,0,0,1,14,21,184.5624913256339
11,27,0,0,1,6,18,165.46588954255324
11,33,1,0,0,10,19,168.6005912022408
9,30,1,0,0,11,22,197.06671116472663
12,26,0,1,0,12,22,196.3279393486476
7,28,0,1,0,11,21,188.75015435917692
13,26,0,0,0,9,19,173.0646104517042
5,29,0,1,1,3,19,174.6388319235457
12,28,0,0,0,12,22,195.5982527869101
7,26,0,0,0,11,23,208.4267474246908
6,32,0,0,1,11,22,195.6969070536951
8,28,0,1,1,15,26,231.49437199741465
8,33,1,0,0,7,17,154.58045739382652
9,31,0,0,0,10,21,187.590792197511
5,28,0,1,0,5,23,208.30941097696345
9,28,1,1,0,9,22,199.28722357664455
9,27,0,0,0,9,21,191.74749536163844
5,27,0,0,1,6,22,200.43011851862207
12,31,0,1,1,11,19,168.56427719599805
8,34,1,0,0,10,20,179.59771551624672
10,27,0,1,0,9,21,185.88360786172476
9,31,0,0,0,10,19,170.31910133517405
16,30,1,0,1,11,17,155.1575206559517
11,32,1,0,0,9,18,161.48087770239667
8,33,1,0,1,7,17,154.28864298958118
13,28,1,0,0,10,19,172.4466912099756
11,26,0,1,0,8,21,189.40614771585177
11,31,1,0,1,7,19,171.3579063803223
2,31,1,0,0,10,23,208.4327571277245
12,26,0,0,1,6,17,159.9014643394688
9,34,1,1,0,11,19,169.09393036825105
14,28,1,1,0,9,20,177.72189615965402
5,30,0,0,0,7,20,184.42509016282048
15,30,1,0,1,14,18,159.56436096736272
15,30,1,1,1,5,15,138.54030687588724
14,32,0,1,0,9,18,162.54529864974594
10,31,1,0,0,12,22,196.60961023196865
10,31,0,1,0,13,22,195.70952005751872
8,35,0,1,0,8,19,170.06142256735572
11,27,1,1,1,11,23,202.79664019321285
9,29,0,0,1,9,18,164.3953211760292
12,32,0,0,1,11,17,155.1874085903322
13,31,1,0,0,10,19,169.42386376216248
5,31,0,0,1,7,20,182.04778332643787
6,28,0,1,0,8,24,215.56349857870168
13,31,0,0,1,9,19,169.1171760906653
8,31,1,0,1,8,17,157.55229047594236
5,30,0,0,0,12,24,214.6206730994973
14,32,0,1,1,12,17,153.3432579760587
5,32,0,0,0,14,25,223.20748017191357
9,26,0,0,1,11,21,189.45089885019595
6,34,1,1,1,9,19,172.65804976401526
10,28,0,1,0,7,22,199.2904466619562
8,29,1,0,0,9,21,189.6642477263768
9,29,0,0,0,9,20,183.0630168085392
12,30,1,1,0,8,18,164.27752574680636
12,28,1,1,0,12,21,186.130724862558
8,31,0,0,1,11,23,208.5445913103491
10,31,1,1,0,5,19,174.77476022219943
11,27,0,1,1,10,20,181.19847116517263
7,32,0,1,1,13,25,219.5423523310019
14,26,0,1,1,9,19,171.07728269817378
9,34,0,1,0,9,21,188.85115373781983
6,28,1,1,1,11,24,216.45793227222688
10,27,0,1,1,11,25,221.93426850289103
6,29,0,0,0,9,22,199.70170331196127
7,29,0,1,0,11,20,178.84259349828616
8,30,0,0,1,7,20,180.8293104201647
7,30,0,0,0,12,22,200.41152840200533
16,30,0,1,0,8,18,162.32876145479696
10,29,0,1,1,8,18,164.24097269479046
13,27,0,0,1,10,20,182.38583477329507
6,30,1,1,0,7,22,197.51978832562068
11,27,1,0,0,9,20,180.67565677400464
15,30,0,0,1,9,16,147.1943603651148
9,29,0,0,1,7,19,173.49998890690537
14,27,1,0,0,8,17,151.9782260239853
9,26,0,1,0,11,25,223.3669481055972
8,32,0,1,0,11,21,189.03075701114085
2,32,0,1,0,12,21,190.62669798304128
3,30,1,0,1,7,20,181.41200325086055
11,29,0,1,0,9,20,180.9211973903392
10,30,1,0,0,8,19,170.92071165163372
6,33,1,1,0,9,21,189.00629706378
13,28,0,0,0,10,20,178.25939288867923
5,29,1,1,0,9,22,198.5352568123192
10,26,0,0,1,8,21,189.810894724346
14,26,0,0,0,7,19,170.56261360336927
13,27,0,0,0,6,18,167.18214422890978
8,33,1,1,1,11,20,179.4637959911004
6,30,0,1,0,12,23,201.16414255688247
11,25,0,0,0,10,21,190.77974763942197
15,29,0,1,1,10,18,163.26757508670175
9,33,1,1,1,6,17,154.41993669703908
6,28,0,0,1,9,21,191.6149670750416
12,30,1,1,0,8,18,163.195931601669
7,33,1,1,0,13,22,196.08784101252988
14,28,1,0,1,9,17,155.3786130622026
11,28,0,0,1,10,21,190.9466973680045
10,29,0,0,0,7,18,166.00099200004968
5,31,0,1,0,10,22,198.04784700290136
8,32,0,1,0,9,21,189.5330035792424
9,30,0,0,0,13,22,197.0367740182726
10,29,0,1,0,10,22,197.5569278075991
11,32,1,1,1,10,18,161.6086859582832
9,30,1,0,0,11,19,169.85401045811162
6,26,0,1,0,8,25,225.56794221909405
7,27,0,1,1,10,23,209.0062550656184
9,33,0,0,0,9,19,172.02665005582108
9,29,0,0,0,7,23,207.36697915476316
8,31,1,0,0,12,20,179.25911796235852
10,28,1,0,0,10,20,180.4830983556212
15,25,0,1,1,7,20,181.81196092140956
9,29,1,0,0,8,20,180.86045038323545
4,30,1,1,0,8,22,197.756541003224
11,29,1,0,1,10,18,161.96516894965035
11,28,0,1,1,9,21,188.59683853375608
11,32,1,1,0,11,20,179.13982317065535
7,27,1,0,0,12,24,213.77463676906137
8,29,1,0,0,11,23,206.06021085903672
5,29,0,0,0,14,23,206.80951032068896
7,31,1,1,0,8,20,178.14042190885388
5,31,1,0,1,10,21,189.43338917442887
5,29,1,1,0,13,22,199.31029509406025
7,27,1,1,0,11,25,221.30950509803296
6,29,0,0,0,6,25,226.9071583297344
8,28,1,0,1,8,22,200.46443276938945
7,30,1,1,0,10,19,173.09138826966054
7,29,1,0,1,8,19,173.39164149945591
7,29,0,1,0,10,20,180.61958012815185
12,32,1,1,0,7,15,139.0475855184127
13,28,0,0,1,11,18,164.77541178795232
14,31,0,0,0,7,16,146.073519056856
6,27,0,1,0,9,23,208.45224217499168
8,28,0,1,1,8,20,182.31934632202265
7,28,0,0,1,13,24,215.06994279992708
10,29,1,1,0,10,21,189.03081356303375
6,28,0,1,0,6,20,184.20599323119316
7,30,0,1,0,9,22,199.62822569490507
12,28,1,1,0,7,17,154.89639052178472
8,31,1,0,0,8,21,187.63356934742788
9,32,1,1,1,9,20,180.03942338918193
7,30,1,0,0,10,22,198.0793655559186
9,29,0,1,0,4,17,158.97298048529942
9,29,0,1,1,9,20,181.7678840273757
12,33,0,1,0,9,19,170.5309092813942
8,29,1,1,0,11,23,206.89324190491965
12,26,1,0,0,7,19,174.62613739296995
11,32,0,0,0,10,19,169.88268011456853
9,31,0,0,1,10,19,170.5048159853022
11,28,1,1,1,11,20,182.2686514821617
5,30,0,0,1,9,25,225.32005325349795
9,28,1,0,1,9,17,156.1378897546093
9,28,0,0,1,10,20,181.5818310061106
6,25,0,0,0,10,22,198.9026376287747
13,31,0,0,0,12,19,172.88106831307348
7,30,1,1,1,9,19,174.50354104524365
3,29,0,0,1,8,21,191.08706800809597
8,32,0,1,1,11,22,195.95265412312347
11,29,0,0,0,11,20,177.69929049748495
14,29,0,1,0,12,19,169.07747408274278
13,32,0,0,0,6,15,138.7260568632833
10,29,1,1,1,14,21,187.41676609524384
6,32,0,1,1,11,21,187.93798467480693
9,30,1,1,1,10,21,189.33616963094175
14,31,1,0,0,6,17,155.89743263840825
15,29,0,0,0,11,20,177.99442446053112
12,35,1,0,1,9,14,128.44760562371425
12,27,0,0,0,10,18,163.52572174536763
6,29,0,0,1,8,21,190.25539456348423
5,28,1,1,1,9,20,180.6105680218758
10,28,0,0,1,7,19,174.41557140490775
10,30,0,1,0,9,21,191.3689020596361
17,30,0,1,0,9,15,136.5883685133685
9,27,1,0,1,9,21,190.68270504584348
5,27,1,1,0,7,23,209.12054568326695
16,27,0,1,0,16,21,188.57525936619297
11,31,0,1,1,8,19,172.3432684921139
8,29,0,0,1,12,21,191.0052099290586
5,24,0,0,0,11,27,240.97065348271656
9,33,1,1,0,12,22,197.00782299267863
5,30,1,0,0,13,22,196.07475688521376
8,34,0,0,0,12,23,206.9065269390097
10,26,0,1,1,10,21,189.3611332309724
10,29,0,0,0,8,18,163.85037562620064
6,30,0,1,1,7,21,191.2912186751636
11,35,0,0,1,12,18,161.582352385171
8,27,0,1,1,11,24,213.38065548482496
10,28,1,0,0,8,19,173.76602550902496
13,26,0,1,0,12,20,180.48496241197304
12,29,0,1,1,8,18,163.37989020016124
10,33,0,0,0,7,17,158.4940305620293
6,28,1,0,0,10,24,215.59482523506367
11,28,1,1,1,10,20,181.6583340118925
9,29,0,1,1,7,20,179.65489564102342
10,27,0,1,0,10,21,190.9288734477328
9,32,1,1,0,9,21,185.7468042973838
12,27,1,0,0,9,18,163.52886633167253
8,28,0,1,1,12,23,206.57867248548925
8,30,0,0,0,11,21,188.1113063451944
8,27,1,1,0,9,23,208.16728063963205
12,30,0,0,1,10,16,145.21685789828987
11,29,0,0,0,7,19,171.12590654395026
9,30,0,0,0,8,18,163.88614733698165
9,28,0,1,0,9,23,207.56441052100865
13,29,1,1,0,13,21,187.56822270116697
6,31,0,0,0,8,21,191.49169407967327
6,31,0,0,0,8,16,150.21389522587685
14,31,0,1,0,7,18,164.6997512319849
7,35,0,0,0,9,20,179.50842431197935
8,34,1,1,0,6,17,156.25651020085274
13,30,0,0,1,7,18,162.6412131089981
11,28,0,0,0,8,20,182.1060544422558
8,33,0,0,0,10,20,181.69729111299444
9,31,1,0,0,10,18,163.41187735276523
6,27,1,0,1,10,22,198.6996613713329
6,31,0,0,0,10,21,190.5475317806149
9,29,1,0,0,9,20,179.48298792554442
14,30,1,0,0,9,17,153.352633695769
15,28,0,0,1,9,18,164.44183158246668
8,30,0,0,0,10,24,214.3998408523367
10,33,0,0,1,13,20,175.40002560040148
10,33,0,1,1,9,20,180.14801012427415
16,29,0,0,0,10,19,169.82050759768103
10,29,1,0,1,8,17,154.18416031373727
11,27,1,0,1,12,21,189.90594743191116
8,30,1,1,1,13,20,178.6121593908819
10,30,0,0,0,12,21,187.3734449655341
13,28,0,0,1,11,20,180.37071814501616
12,27,0,0,1,13,20,178.57108949654287
8,28,1,0,0,8,22,200.2416551417961
6,27,0,0,0,8,24,216.72032666315928
12,28,0,0,0,12,21,188.64502129389209
10,28,1,0,0,13,21,190.25293318571028
14,29,1,1,1,10,18,158.0408291564168
8,33,0,0,0,10,20,180.2465318772762
12,30,1,0,1,8,18,163.18858511200068
14,34,1,1,1,11,18,159.754087620842
8,28,1,0,0,10,22,199.70498013530852
16,26,0,1,1,8,19,169.94202749561984
7,27,0,0,1,13,25,221.40400557915697
8,32,1,0,0,10,20,182.0087505896899
11,32,0,0,0,7,17,155.53389097848324
7,31,1,1,0,6,20,179.39162255573794
13,29,0,0,0,10,21,187.6085433367979
6,28,0,0,1,5,19,173.29645814484803
15,29,0,1,1,7,17,155.43181429488854
14,27,1,0,1,9,18,167.2259178077583
7,32,1,1,0,5,18,161.542779949285
9,27,1,0,1,11,22,199.53329975969297
11,27,1,1,0,8,18,161.19731041776302
8,29,1,0,1,11,23,203.42175763756924
7,29,1,1,0,13,24,214.4936167776301
9,30,0,0,1,9,18,165.22529928236943
10,28,1,1,0,12,21,187.96388248648717
6,29,1,0,1,13,23,204.8200572242125
9,30,1,0,0,10,18,166.45028161402485
9,31,1,1,0,8,18,163.34144088173474
6,30,0,1,0,8,23,208.63649975968127
9,29,1,1,0,10,21,190.3590077935392
11,29,1,1,0,9,20,180.64218381156363
8,32,1,0,1,10,18,164.77448532084432
11,28,1,0,0,13,23,204.88604125175547
14,33,0,0,1,10,16,146.2355112656881
8,31,1,0,0,9,20,178.7834359181876
14,31,1,0,0,11,15,135.128186116176
9,28,1,1,0,12,24,212.97773406711883
7,35,0,1,0,9,18,162.54330184167284
9,28,0,0,0,9,21,190.79965424629205
9,30,0,0,0,9,21,187.0467385910916
13,30,0,0,1,9,18,163.3286119395263
10,29,0,0,1,11,21,189.4524121055097
14,30,0,0,0,15,21,182.31054918469889
7,29,0,0,1,9,22,200.7614490226525
3,31,0,0,1,8,23,205.2990064011936
8,26,0,0,0,10,22,198.51389138120152
13,30,1,1,1,15,21,186.26112580917476
5,28,0,0,0,10,24,216.99041503469044
8,28,0,1,1,11,25,218.3842291409859
10,33,1,1,0,9,18,162.45310238591503
15,30,1,0,0,9,16,144.2628703994784
8,32,1,0,0,9,18,162.372540603733
4,30,0,0,0,9,22,198.14701172851588
6,30,0,0,1,8,20,182.72440446511044
10,30,0,0,0,12,17,155.7937438525315
12,25,0,0,0,11,20,178.32269531050986
13,28,1,1,0,12,22,195.4303288708473
7,32,0,0,1,11,21,189.82101084782715
10,26,0,1,1,7,20,180.70519413585663
8,26,0,1,0,8,22,199.6200300624486
13,30,1,0,0,14,21,186.7770384040052
15,30,1,0,0,7,17,156.36950362252676
7,27,0,0,0,9,24,217.9054666084512
6,28,1,0,0,9,21,191.9901856597217
9,32,1,1,0,7,19,170.6998581043031
16,27,0,0,1,11,18,160.6168251823402
11,30,0,1,1,10,20,180.17485742427985
13,27,1,0,1,11,20,178.7090396853597
6,30,1,1,1,9,22,197.1261027341566
6,28,0,0,0,9,22,199.51230245159357
6,32,0,0,0,10,19,173.0645508257204
11,30,1,0,0,11,17,150.4160712297381
14,31,1,1,0,8,16,145.20725340084758
12,35,1,1,0,8,16,144.51312324667083
11,33,1,1,1,8,15,139.3148019371743
10,31,0,0,1,9,20,178.24423469326337
9,31,0,1,0,12,21,187.22440025055647
10,28,1,0,0,7,20,180.82352266431013
6,30,1,0,0,11,23,206.92209035831027
6,28,0,0,0,9,23,207.475326186407
12,30,0,0,1,9,18,163.65762349087956
10,32,0,1,1,11,18,159.8545970596393
11,34,0,0,0,9,18,161.0709384784347
10,31,0,1,1,7,18,167.0064201086473
11,26,0,0,0,6,21,190.5237292993036
9,30,0,1,0,9,20,178.80092999812285
13,28,0,1,1,10,18,164.48917606068866
16,24,0,1,1,10,19,173.04620187543352
16,34,0,1,0,11,14,127.68768425550677
9,34,0,0,0,10,20,179.19473185061764
2,28,1,0,0,9,25,224.981761153546
10,28,1,1,0,12,22,197.6383959997026
12,29,0,0,1,9,19,173.89598284789895
14,30,1,0,1,11,16,145.527598405222
11,27,0,0,0,10,21,189.7770181265134
20,27,0,0,0,11,17,152.1433617996498
12,27,0,1,1,12,20,178.69066112922062
11,33,1,1,0,8,17,153.26903967777707
12,28,0,0,0,12,20,178.74102801623624
16,31,0,1,0,9,18,161.3646846091632
14,25,1,0,0,10,20,179.89638378619662
7,33,0,0,0,9,21,190.4618804201684
10,29,0,1,1,8,19,173.03751062520894
7,27,0,1,0,8,22,200.3470638236396
8,28,0,0,0,12,23,208.63835465081408
12,30,0,0,1,8,17,155.9260680281533
11,30,0,0,0,12,22,196.86585648086464
11,31,0,0,0,8,19,169.970640852626
11,30,1,0,0,9,18,161.86564953516165
12,27,0,0,0,13,24,212.79770788283767
8,30,0,1,0,8,20,179.35315023415473
7,31,1,0,1,12,21,188.3209014769408
9,31,0,1,0,12,26,229.66010499224552
10,32,1,1,0,9,19,169.9802733632815
7,32,1,0,1,13,22,196.77671609042156
5,29,1,1,1,10,22,199.41797962497785
9,29,0,0,0,10,20,180.06053006952558
8,26,1,1,1,13,24,213.714739679098
13,29,1,0,0,9,19,172.61936442953206
8,30,1,0,1,8,20,181.95896434665931
7,33,0,0,0,11,20,182.13434529740587
12,34,0,0,0,10,14,126.62765111168304
12,23,0,1,0,11,22,199.4171116631256
10,31,1,0,0,12,20,178.71709286545052
12,26,1,0,0,7,20,180.8649222805977
6,29,0,1,1,9,21,190.9942824394224
12,26,0,1,1,8,22,197.2800519606196
5,28,1,1,0,8,19,173.7918855594752
11,26,1,0,0,15,23,206.6707185566522
3,33,0,0,0,9,18,164.9932055347575
9,34,0,0,0,11,19,171.16051918577327
6,33,1,1,1,11,20,175.65309069289023
5,29,1,1,0,13,23,206.66429881521293
3,28,0,1,0,9,23,210.2506001036287
10,27,0,0,1,7,19,176.16271499794937
8,29,0,0,0,12,26,233.19428353826672
6,30,0,0,1,5,18,167.64094535034874
10,29,1,0,0,9,20,181.72858472507525
4,27,0,1,1,12,23,207.1664548139862
13,28,0,0,0,10,21,188.88913904386837
15,32,1,1,0,12,16,145.07901621577838
10,32,0,0,1,9,18,161.89551470846246
9,33,1,0,1,12,18,159.22803925327705
4,31,0,1,1,11,20,182.5397631265613
11,31,0,0,0,9,16,146.34093037277177
11,29,0,0,1,11,19,172.0050484867431
10,32,1,1,0,7,18,163.49651412620966
8,32,1,0,1,12,19,169.4038270174862
10,32,0,0,1,9,18,163.98505919462585
14,30,1,1,1,13,17,151.93380430284464
8,27,0,1,0,11,22,198.8397812193651
12,30,1,1,1,6,18,162.31291940826878
8,29,1,0,1,13,25,220.2760377621579
14,30,0,0,0,7,17,152.08114499606435
14,31,1,0,1,12,19,171.57131914576138
15,29,1,1,1,13,17,154.39866959847546
16,33,0,1,0,10,17,154.28070587683305
9,27,1,0,1,7,16,149.97127441176926
7,31,1,1,0,12,25,223.1813943949171
12,26,1,1,1,9,20,181.8753534848589
6,28,0,0,1,11,21,191.27706308572544
8,32,0,0,0,5,18,167.5620544793643
11,27,0,0,1,6,17,153.9184415104868
11,29,1,0,1,9,19,170.91585348956178
10,23,1,0,0,14,23,206.4274996845305
3,34,0,0,0,10,22,197.15621001631584
10,29,0,1,0,8,19,173.27884048773535
10,26,0,0,0,11,22,198.36234471804732
13,26,1,0,1,10,19,172.83148975080198
9,29,1,0,0,10,22,198.5946736738819
