student_age,hours_study_per_week,low_income_status,private_tutoring,parental_education,enrollment_in_elearning,intermediate_test_score,final_exam_score
36,13,0,0,0,1,45.19607180898469,181.2519378540954
41,16,1,1,0,1,52.56140938015248,198.5680452155728
38,23,0,1,0,1,55.27924911565813,213.2897975465093
13,18,0,1,0,1,30.699372713654725,133.96495298842
27,20,1,1,0,1,44.108471049033966,175.20892120155634
37,28,0,0,1,1,59.36623931159425,223.2155394420244
40,21,0,0,0,1,53.2419596904627,207.08147964735247
29,21,0,1,0,1,47.01302757480041,186.7312168061108
27,15,1,1,0,1,39.50785226132752,163.14021641813747
30,15,1,0,0,1,40.80895731378214,169.3022500301887
23,25,1,0,0,1,46.101199322261344,181.4757618547189
27,24,1,0,0,1,45.74457998091516,184.34926070242597
31,19,0,1,1,1,45.28997432502791,185.6581855093129
24,23,0,1,0,1,44.04427901012714,175.0178534700523
29,23,1,0,0,1,47.27884588505205,184.070148101182
32,17,1,0,1,1,45.95418709224986,185.4547677183737
33,24,0,0,0,1,48.99499500332176,191.8914281958197
26,21,1,1,1,1,44.818087061277744,178.93885450409854
18,24,0,0,0,1,38.3372036078272,159.79285537559684
48,11,1,0,0,1,51.54592056803229,201.40818385140508
26,16,0,0,1,1,36.761086124579066,158.77296095299667
17,32,0,1,1,1,44.83998097240519,181.7038369876976
35,16,1,0,0,1,45.95575244647041,185.0371398810716
24,16,0,0,1,1,37.69586503633834,158.85514265283618
51,16,0,0,0,1,58.81750390311526,223.13792428622477
50,28,1,0,1,1,69.70316392844622,254.12462830298705
34,23,1,0,0,1,53.22922388069468,204.8441873030971
28,30,0,0,0,1,53.27521088833474,201.93212212280864
28,14,0,0,0,1,37.0018708446309,157.95607217984207
21,19,0,1,1,1,37.37713419325596,155.6582203213738
13,22,0,0,0,1,32.25704968958625,141.93006627922122
31,19,1,1,1,1,47.9243199174466,187.61769639757927
29,19,1,0,1,1,43.11094453697672,174.05646409127547
33,15,0,0,0,1,42.58929923593641,173.42131891379623
19,18,0,0,1,1,35.470297795511456,149.40040925350846
41,9,0,0,0,1,43.50897086954389,176.6621925583588
26,20,0,0,1,1,41.85749050312501,173.2867886764173
21,12,1,0,0,1,30.444108489696557,137.31650777053045
32,14,0,1,0,1,41.38874812445867,168.79270800953253
42,18,1,1,1,1,55.68056174900904,213.0204533560257
29,14,1,1,0,1,40.57736462901268,166.08596236067623
34,16,0,0,1,1,44.37952818936589,179.0043562032102
17,18,1,0,1,1,33.99582557323663,147.0439129013671
31,21,1,0,0,1,48.262222460615945,189.7632086181704
24,22,1,0,0,1,43.66370944607391,178.2905580163719
29,20,0,0,0,1,43.16740527824021,176.0636715742296
15,12,1,1,0,1,26.945428851805225,125.91032392988022
38,16,1,1,0,1,48.86401869688628,192.2803032101025
29,22,0,1,1,1,48.92057991255432,187.84831401952357
43,13,0,0,0,1,49.22519835275871,194.84229035828784
23,22,0,0,1,1,41.75839929620677,171.7399172765396
32,30,0,0,1,1,58.120309523617706,216.2977289835101
21,19,0,0,0,1,37.69572373778867,154.8417694013982
35,18,0,0,0,1,47.28155903154815,187.0432211573677
18,7,0,0,0,1,20.21113484995957,112.69817201684036
37,12,0,0,1,1,45.33132931749893,183.3417293103578
23,21,0,1,1,1,41.52191451058876,169.03933355618204
31,21,0,0,1,1,45.55978503525758,183.434252222956
29,18,1,0,1,1,43.40278782029852,177.83797319206795
35,22,0,0,1,1,52.32114635143761,201.7930266730561
20,29,1,0,1,1,46.966094222733766,185.60428298888863
28,15,1,0,0,1,38.95589446471149,165.5305141582984
32,15,0,0,0,1,41.82281373984133,171.28096486578517
19,18,1,0,0,1,34.906598404265644,151.94094436221567
30,22,0,1,0,1,46.62319737336711,184.8295377330332
37,17,0,0,1,1,46.84072107108256,189.23278559095456
34,13,0,0,1,1,41.95640863988325,175.45457181026904
29,18,0,0,0,1,42.50723314947172,171.61910747376828
30,16,0,1,1,1,40.205824380634255,169.6849360674296
44,25,0,0,0,1,60.15883532123786,225.1385329915888
21,31,0,0,1,1,47.51273105550501,185.766175368469
41,12,0,0,0,1,44.761960026167614,184.313494833383
28,13,1,0,0,1,38.11926339282007,158.4049970703792
44,13,0,1,1,1,51.35241838385616,199.8173961849367
21,25,0,0,0,1,40.65802026731558,166.48069154063995
33,25,1,0,0,1,53.59811951445303,203.9186395125995
39,21,0,0,0,1,52.82069982907401,203.2098556426209
25,21,0,0,0,1,40.30944804116274,167.4781142413421
25,14,0,0,1,1,36.775183813136,157.58548533761115
32,16,0,0,1,1,42.53259519227319,172.5620484708643
23,21,0,1,1,1,42.40519409684719,170.51483250958796
17,14,0,0,0,1,28.22386868004241,129.0306581863984
23,29,0,1,1,1,48.51388319599933,188.0302210008125
26,16,0,1,0,1,39.43714560145104,162.16494045402968
36,20,1,1,0,1,54.25498816084789,202.25020892102307
40,9,0,0,1,1,41.84862528472454,172.3826916588119
29,31,0,0,0,1,52.58457926721002,201.3573287755688
32,14,1,0,0,1,42.16698852245846,172.83489326135486
34,29,1,0,1,1,57.95439269361841,213.38202163591444
25,21,0,0,1,1,42.67157843308336,172.11711106145404
34,24,0,1,0,1,53.57651819688401,204.6692250884839
31,13,0,1,0,1,40.53237356026147,166.70796027220632
33,19,0,1,0,1,47.789454094005535,187.9283996519932
33,15,1,0,0,1,42.91995131347435,176.40560284787745
21,14,1,0,0,1,32.46195936061256,143.81401138861926
34,22,0,0,0,1,51.26416150570046,198.7860515646501
36,17,1,0,0,1,48.19800279601229,189.88931050972997
38,20,1,0,0,1,50.92793966667665,202.3563145855809
19,28,0,1,0,1,44.15142638140833,176.59215298564374
25,18,1,0,0,1,42.16230400582986,169.9703548844409
40,18,1,0,0,1,51.24507878355799,201.7783506266172
35,12,0,0,1,1,41.61307891743751,173.21942604385364
44,17,0,0,1,1,52.93002425905468,207.5687959037933
35,21,0,0,0,1,48.08098147576499,192.11398107448957
27,22,0,0,1,1,44.93631862624438,182.19183313264284
19,13,1,1,1,1,33.08353040537561,140.4412796939559
35,20,1,0,0,1,50.29829504341219,197.49562490459928
26,28,0,0,1,1,50.33673909804801,191.1749367988027
21,29,1,0,0,1,46.93774357872397,182.80416622800135
32,27,0,0,0,1,53.289699267596056,204.11082851790945
38,15,0,1,0,1,48.50211481499789,192.1726858830283
32,22,0,0,1,1,48.61184748128765,189.87057939804083
30,27,0,0,0,1,50.51961228389749,192.58512686036536
30,21,0,1,1,1,48.75513678976809,190.7866681148136
25,21,1,0,0,1,43.44725782371116,172.58648265281386
24,18,1,0,1,1,40.04943676655575,164.95276851409315
39,14,0,0,0,1,45.299574954108685,183.87794943143624
39,19,1,0,0,1,53.14230218361141,201.35713070165605
31,19,0,0,1,1,43.47689438899704,177.60763630759712
31,25,0,1,0,1,51.0575042475955,197.2069119975202
35,23,0,0,1,1,52.12580598652065,199.9530768499268
32,28,0,0,0,1,54.28092387680435,204.53030729714325
31,23,0,1,1,1,50.839585539572326,196.8074718208849
43,21,1,0,1,1,58.67870716440045,219.41619081377468
33,22,1,1,1,1,51.33521367933557,197.92951350792544
23,15,0,1,0,1,36.6709227599931,153.27397337525807
35,26,1,0,0,1,55.79377758815942,210.23896889759857
26,11,0,0,0,1,32.41779229788562,147.34659339543572
37,23,1,1,1,1,56.05270298665189,216.6400673887184
26,21,1,0,0,1,41.14591552552399,168.93143554214373
15,26,1,0,0,1,38.70855309995601,159.623517380613
23,24,1,0,0,1,42.54660160104018,174.5785568795108
39,23,0,1,0,1,55.18739511975568,212.56270281572895
28,19,0,1,1,1,43.53782351873355,176.67765961470434
35,25,1,1,1,1,56.276341670010254,215.0220022118305
24,27,0,0,0,1,47.45611040883838,185.8443477583504
32,20,1,1,1,1,48.292599887420415,189.3314723857136
27,15,1,0,1,1,39.520396371171856,162.60272665765024
30,17,0,1,0,1,42.75519147943472,172.61064143111676
18,10,0,0,0,1,24.499772437205444,122.77658686349687
34,16,0,1,1,1,47.70443137936283,187.6223281843477
39,20,0,1,0,1,52.41103124287782,201.9084128960133
15,24,1,0,1,1,38.05998654268052,157.71990358206756
25,26,0,0,1,1,47.17956240938378,186.17763433894052
34,22,0,1,0,1,51.86662688957422,198.0766681740144
26,6,0,0,1,1,27.346657847178705,132.50185640036548
46,19,0,1,0,1,56.8295510587042,216.1340121135072
32,17,1,1,1,1,46.11560520241316,184.388217861748
29,8,0,0,1,1,33.55944086393936,148.75128707554137
36,16,0,1,0,1,45.68632640393888,182.75230831939595
26,24,1,1,0,1,46.74621482356781,186.49917974226275
31,14,1,0,1,1,41.30981018379036,168.88009114304438
11,21,0,0,0,1,28.22951633406019,131.70427440971326
38,21,1,1,0,1,53.37867238469446,205.20249748609865
34,20,0,1,0,1,47.97691342890417,189.409982255516
26,23,0,0,0,1,44.12545491921408,176.97121076340184
30,31,0,0,1,1,55.956716490248986,209.8465860462272
30,13,0,0,0,1,38.6178266120008,163.8348814701867
35,26,0,1,0,1,55.29014614285026,209.97120876732097
30,19,1,0,0,1,44.04844452397504,177.84619359173985
22,26,1,0,1,1,45.981672900459856,180.13826342719713
38,18,1,0,1,1,50.747731176901816,199.0781383951868
38,15,0,0,0,1,48.66099030273898,189.84680615592603
23,15,0,0,1,1,34.45211278412986,148.488114376778
37,20,0,0,1,1,49.707451577283805,198.28929146830703
23,12,0,0,1,1,33.05786659187575,143.96487713078554
25,19,1,0,0,1,39.92167229089281,168.3755539627839
21,24,1,1,0,1,41.62331653953788,166.78710594445215
49,14,1,1,0,1,55.87077656013128,214.1140839593773
34,9,0,0,0,1,37.39542429442274,159.48740860838328
20,18,1,0,0,1,33.60050130574372,149.05013829098849
30,30,0,1,0,1,55.25102992667711,209.232226194624
21,15,1,1,0,1,35.29369449402829,150.1785622174314
34,17,1,1,0,1,48.53673501085681,188.690200027581
37,26,0,1,1,1,59.20917362451305,221.260526693385
46,29,0,1,0,1,67.6887654893702,245.68526226412703
34,19,0,1,0,1,47.58254471988417,187.5979404360208
34,21,1,0,0,1,50.37608899396289,193.6391727320236
37,16,0,0,1,1,48.67167017637037,189.7672597517171
41,27,1,0,0,1,60.957530189446864,225.4601367655178
38,25,0,1,0,1,57.52370700536766,217.4495715186873
43,8,1,0,0,1,45.67132807380657,186.14788052904785
29,14,1,0,0,1,39.09460006594261,161.03065065607498
35,16,0,1,0,1,47.225927487973685,185.51254907083123
34,21,1,0,0,1,49.38189209372551,194.7966508987896
29,14,0,0,0,1,39.69779235738351,164.79941254022268
32,16,0,0,0,1,41.79729867187139,174.466039950184
35,2,0,0,1,1,30.99783765482156,148.28997455221582
33,30,0,0,0,1,55.770402060786935,213.0523000701326
40,16,0,0,1,1,51.19736063322185,200.29792496784208
28,13,1,0,1,1,37.91442150533759,162.449325901674
20,9,1,1,0,1,28.163732762594982,129.7729435428264
15,14,1,0,0,1,25.90846446259784,122.97965852600156
21,30,1,0,0,1,49.172908748277855,188.9098568973432
27,25,0,0,0,1,47.97496043106353,190.24664901020944
30,18,0,0,0,1,43.1747059547308,175.65074689181483
40,12,1,0,0,1,46.17783198444544,186.92110315401376
25,19,0,0,0,1,38.62964443611428,159.96056464712507
25,23,1,0,0,1,44.2716082488892,177.09782627633928
31,21,0,0,1,1,48.278132976311,188.4963483740925
15,37,1,0,0,1,49.56648075420225,187.27801842068064
26,16,0,1,1,1,40.42739805455728,167.8080753964702
31,25,0,0,0,1,50.92842078521338,192.86998016851467
35,25,1,1,0,1,56.299979248599264,213.3406568266616
24,23,0,0,0,1,43.26390934760408,172.74585920154846
35,11,0,1,1,1,41.69526788699005,175.511554790214
25,15,1,0,1,1,37.99608688966816,159.1203184709186
29,21,1,0,0,1,45.6009050500035,182.06925711435912
38,25,1,0,0,1,57.32413536034975,214.88336546837635
37,16,0,0,1,1,45.31427452217676,185.65551173164127
21,21,1,1,0,1,39.91038011575664,164.8512902981352
16,18,1,1,1,1,36.064842236733206,150.3043576723419
42,10,0,1,1,1,46.22309254615311,187.9378283015844
28,31,0,1,0,1,53.98794193893088,205.43243535600783
38,18,0,0,0,1,48.00597483495273,192.358449716573
27,14,0,1,0,1,38.5333122524418,158.18269506860548
32,16,0,0,0,1,44.05148032912548,178.10542805507865
27,18,1,0,0,1,41.19718916735837,169.46127561371975
38,15,0,1,0,1,48.70500084196259,189.727040319311
24,16,0,1,0,1,37.42393239526245,155.58807422333626
36,20,0,1,0,1,51.11214447665006,196.3173557486819
27,27,0,0,0,1,48.23699860094996,187.57011181527272
22,22,1,0,1,1,43.52346556547854,176.49138031577408
19,19,1,0,0,1,35.602199771889445,150.197334431924
35,9,1,0,1,1,39.02687616478012,166.50678909053354
25,32,0,1,0,1,52.45703293409389,202.8866905741598
33,18,0,0,1,1,45.919979073019626,185.09874641900555
20,24,0,0,0,1,38.85107319815441,162.58438143567756
33,25,1,1,0,1,55.10370087266003,206.77104833700284
33,31,1,1,1,1,61.23447551712418,225.1354831459335
31,31,1,1,1,1,57.80284434402118,217.8099065793244
31,15,0,0,1,1,42.33081087876041,172.78032356420903
33,19,1,1,1,1,48.88195132502408,192.2166613778143
40,25,0,0,0,1,56.89295157637101,217.674878061532
36,22,0,0,0,1,51.99706480995152,196.78556141518615
30,19,1,0,1,1,45.91203245743459,184.85371804337555
34,16,0,1,0,1,44.13203781092832,178.30217709026758
9,23,0,0,1,1,30.671701265715303,134.14208516040668
33,26,0,1,1,1,53.98748826066063,207.9568362160749
38,15,1,1,1,1,49.059229289298216,195.95616331027716
32,15,0,1,1,1,42.95097357216637,176.47439017149313
26,14,0,0,1,1,35.72142431097462,153.52223256329228
33,21,0,0,0,1,48.59460335837451,189.82709503477537
40,19,1,0,1,1,54.052869893540425,208.4342046364773
31,14,1,1,0,1,42.099991174782645,171.91363345059597
29,19,0,0,1,1,45.54722614910551,183.52518425791837
26,18,1,1,1,1,41.89782359219606,172.05123004966805
11,27,0,0,1,1,37.286776401685295,155.82259704347328
30,16,0,1,0,1,42.85931366595204,171.42520699979005
17,17,0,0,0,1,32.33545786588691,140.24835351555237
38,27,0,1,1,1,59.64354486052149,222.84276422611583
37,17,0,1,1,1,50.4458664310848,196.7241384869913
26,21,1,0,1,1,44.91965902103934,179.60684895419334
40,15,0,1,0,1,50.63165193682377,193.7970635610395
21,24,0,0,0,1,41.353894822349545,168.64154142404246
42,24,0,0,1,1,57.12191807168077,219.48673374132505
42,23,0,1,0,1,57.84160115235758,218.14059556695568
39,20,0,1,1,1,54.3727516105518,209.54124695561737
37,14,0,0,1,1,45.73167823743,184.57334561627889
30,16,1,1,1,1,44.37996236156065,177.0715937818324
24,11,0,0,0,1,32.189191199602384,145.37624065469174
28,16,0,0,0,1,39.94376058771367,165.5027580429873
32,14,1,0,1,1,42.45778862834332,172.65131343011396
27,12,0,1,1,1,36.79343688731966,158.00913870400834
33,16,1,0,0,1,45.66476709631532,179.80027519252312
28,28,1,0,0,1,50.35640176540757,196.77432558885675
37,15,1,0,0,1,47.76548100295884,188.3709782484995
32,22,0,1,0,1,50.23264934569602,193.7502231217313
28,23,1,1,0,1,47.54451972797942,186.1351434839841
34,19,0,1,1,1,47.40624861796922,190.13137282499923
31,16,0,0,1,1,40.74861001943189,170.58851128304184
34,17,1,0,0,1,47.12493744608534,186.2282190379635
22,23,1,1,0,1,43.15568735127696,173.9694276579961
43,28,0,0,1,1,63.4168756395808,233.01939513357655
43,24,1,0,0,1,58.62843760436926,222.64036310234923
38,12,0,0,0,1,42.14034887928989,174.49105193020054
29,17,1,0,0,1,41.2530738473539,169.09102663970398
24,17,0,1,0,1,37.59681830361607,158.18510263478376
40,14,1,1,0,1,49.36560465149737,193.0974519650393
26,27,0,0,0,1,48.65501444816761,188.2078092379711
36,11,0,0,0,1,41.26938578273328,169.32524484556603
15,21,0,1,0,1,35.74403338226152,151.44395031885432
31,26,1,1,0,1,53.34477224178437,199.63395210388992
18,23,0,0,0,1,37.14814658674541,155.77207168839564
27,22,0,0,0,1,44.889454217151474,178.2823482170159
19,21,0,0,0,1,37.34500174800522,153.36127336850123
24,21,0,0,1,1,40.432946293869286,166.33340993694495
34,14,1,0,1,1,44.29964588102466,181.998114420063
25,25,0,0,0,1,47.13477354430211,183.930450916615
33,14,0,0,0,1,43.89675489208963,175.21547033090172
27,24,0,1,0,1,47.93972847008013,183.82214255596904
22,25,0,1,0,1,44.74905590554727,178.17292005609156
34,16,0,0,1,1,45.90715601688101,183.61213718115337
27,17,0,0,1,1,40.13920148993248,166.55632341016647
36,7,0,1,1,1,38.39099354006186,163.8212880800841
25,16,1,1,0,1,38.45361403677966,162.31560494322423
40,20,0,1,0,1,52.40995818107135,205.12785744817057
35,22,0,0,1,1,51.61369116262994,200.63217218940824
37,16,1,0,1,1,47.76102508540807,189.9302814506181
23,30,0,1,0,1,49.38112857031456,189.16518991912957
31,31,0,0,0,1,54.44094713649277,206.1033321499307
35,25,0,1,1,1,54.70778872190956,207.49477283451907
31,21,0,1,1,1,47.13553045504332,187.27546218373
44,15,0,0,1,1,51.521387529113845,203.61865409997696
23,25,1,0,1,1,44.71765783211009,179.80470305429293
30,13,1,0,0,1,38.81467945175575,162.73983023488915
33,25,0,0,0,1,52.6727845407394,201.28020829657413
47,19,0,1,0,1,59.39335193137789,222.66999667447948
25,19,1,0,0,1,38.54946068125457,165.9287483343038
39,7,0,1,0,1,41.11982878632858,171.02241886178658
30,23,1,1,1,1,49.41987706701204,193.49208204702435
24,20,0,1,1,1,40.31279494183335,168.40479215987983
55,18,1,0,0,1,64.24046807518415,238.54438153321
19,16,0,1,1,1,34.83389093326936,149.8583009435796
41,21,1,0,0,1,55.83304844077673,212.32015865548155
29,16,0,0,1,1,41.016465963319405,169.07355477355208
35,25,0,0,0,1,53.00879277206799,204.66935553968017
33,21,1,1,0,1,52.29390408428854,198.17948695023685
19,11,0,1,1,1,28.8198735050563,134.6872892661436
19,34,0,0,0,1,48.05392994103165,187.71814759315583
32,18,1,0,0,1,45.13532636053144,182.22838399200467
28,16,1,1,0,1,42.54649889042606,172.79662970498495
31,15,1,0,1,1,42.68493069611003,174.3331917512105
24,14,1,0,1,1,35.8729583996776,153.3970639916765
26,16,0,0,0,1,39.562993081916105,163.09882877579133
32,26,0,0,1,1,53.254805538417706,200.89732502181332
31,16,1,0,1,1,43.54790316715283,174.7737693450121
14,14,1,0,0,1,27.10615390167437,126.86020814849807
52,25,0,0,0,1,67.54181163618102,248.7742740724945
30,20,1,0,0,1,45.79923875635216,183.25453078298332
43,13,0,0,0,1,47.48651451150445,190.17910225172213
34,26,1,1,1,1,56.59807032148098,213.53817985321055
31,22,0,0,1,1,46.472737382506494,186.2771509345065
36,20,1,0,1,1,54.19762185712148,206.7841925327049
32,24,0,1,1,1,51.1283308919325,199.8018267849352
23,10,0,1,0,1,29.961364769259163,137.24529282167703
22,23,0,1,1,1,43.33365556899642,173.73039903341544
37,22,0,0,0,1,52.63729919797027,201.71756560383932
26,20,0,1,1,1,44.78733000511261,175.65754796867768
28,20,1,1,0,1,44.67209738399365,180.85215978214808
37,19,0,1,1,1,51.08446509236159,200.2673984713876
47,27,0,0,1,1,65.23058590262323,240.29139941923077
31,8,0,0,0,1,35.57575649314582,152.617687751024
18,18,0,0,0,1,33.04960901785692,144.11035800247782
26,26,0,1,1,1,47.67437748468232,189.05374673061823
32,19,0,0,0,1,47.96738395004757,190.58456889348577
29,20,0,0,1,1,43.63979826652693,176.64914724941
33,27,0,1,0,1,54.20162369719935,206.13245920572805
31,24,0,0,0,1,49.20438632847471,189.69672457830552
31,23,1,0,1,1,50.885762431444114,196.1796107014647
46,19,0,0,0,1,57.67841350384408,217.67699744956656
28,18,0,1,0,1,43.79134171640688,175.31108360290528
15,16,1,0,0,1,30.77020695094929,139.45701651020045
22,24,0,0,0,1,41.114616362076525,166.96317473692514
28,22,1,0,1,1,46.36777908335648,179.97957280216818
24,8,1,1,0,1,33.265116849358826,141.89456779168836
43,21,0,0,1,1,56.54909951026028,216.48227931299184
22,31,1,1,0,1,50.37734241341418,192.44625904818045
17,20,1,0,1,1,35.27378748456356,152.31948400414137
41,16,1,0,0,1,51.63616646181439,199.9891181187056
16,20,0,1,1,1,34.320191153358415,148.77997913787453
31,13,0,0,1,1,40.2947091944665,167.7389199086232
21,20,0,0,0,1,35.56221682436089,153.04181650244257
38,17,0,0,0,1,48.75914495802921,191.1592136957072
28,21,0,0,0,1,43.169513321548834,172.97630849441472
17,20,0,1,0,1,34.643355053335085,147.67835687808716
33,6,0,0,1,1,35.87834040903834,155.2744603103504
19,18,1,1,0,1,36.50219144898743,152.72018382729814
15,16,1,0,0,1,29.540946454280363,133.1634102699204
37,21,0,0,0,1,51.24869248303926,198.33848350690712
24,15,0,1,1,1,37.046520811645934,156.24239409716708
33,19,0,0,0,1,46.66828843509138,183.5766761766037
31,12,1,0,1,1,39.85317602124879,168.08999421174005
27,8,0,0,0,1,29.41412188365467,139.9812447798165
32,22,0,1,0,1,48.18250082849629,188.45425379453988
27,41,0,0,0,1,61.925502433637405,224.68533901101225
29,26,0,0,0,1,48.69073563142351,190.67473046250453
35,18,1,0,1,1,47.77180633936536,189.2494697203384
24,25,0,0,0,1,44.140318019549134,178.45926280393573
41,25,0,0,0,1,59.56900371818564,219.90925822747997
33,31,1,0,1,1,58.61994953234606,222.27239872034477
43,16,1,0,1,1,53.38055726450144,207.8694596152366
29,20,0,0,0,1,43.76971949049832,177.58271878096667
27,26,1,0,0,1,48.31853835244102,189.44868805903292
35,15,0,0,0,1,44.30996913893055,177.963599849676
29,23,0,1,1,1,49.03618017058179,192.35019570288296
36,14,0,0,0,1,43.72430440016864,177.68888672899382
33,9,0,1,1,1,37.71300572930704,160.92423284034268
33,19,0,0,0,1,46.81260427603023,185.04438812926023
23,18,1,1,1,1,41.97913800300064,169.3260437179988
22,17,0,0,0,1,34.238579627240604,147.3177675332933
27,15,0,0,0,1,35.99671694226585,154.53705142706164
38,19,1,1,0,1,52.25292356919206,202.86008487322624
40,19,0,1,0,1,52.59784644776271,203.43751710151287
24,30,0,1,0,1,51.92851702799783,195.9859533248253
37,32,0,0,0,1,58.96013910801334,221.3222864322481
45,5,0,1,0,1,42.80301746820322,177.70155541624374
19,16,1,0,0,1,34.599410654714546,145.980668897991
34,23,0,0,0,1,51.69389479251,195.841490563502
34,16,1,0,1,1,47.76991907866892,188.6004528938923
20,23,0,0,0,1,37.31706563210797,157.83815633555002
