candidate_age,political_experience_years,campaign_spending,incumbent_status,candidate_gender,candidate_minority_status,candidate_party_affiliation,media_outlet_ownership,media_coverage_hours,election_result
12,26,14,17,1,0,0,9,58,461.3743724694688
9,28,7,14,1,1,1,9,55,437.66530668946734
16,27,5,10,1,1,1,9,53,421.1109492694106
15,31,7,14,1,1,1,11,57,455.9459795789492
12,28,16,15,0,1,0,9,61,483.25096912099633
3,29,10,14,1,1,1,12,58,453.56245699210143
5,29,7,14,1,0,1,9,55,435.35726533648113
12,29,8,16,0,1,1,10,59,467.8838753290331
3,30,9,15,0,0,1,11,57,447.8907118826113
9,30,4,9,1,1,1,10,50,399.8728038147085
14,30,11,13,1,1,0,11,58,460.9764176950452
6,28,10,16,1,1,0,10,62,484.2049667888513
9,31,7,15,1,1,0,10,58,460.4979343002095
7,29,13,14,1,1,1,8,56,448.0654397643305
6,28,6,13,1,0,1,8,52,411.0272691017127
8,31,8,11,1,0,1,11,52,415.2529756358315
2,35,9,20,0,1,1,10,62,487.96061658779297
7,31,5,13,1,1,0,8,57,450.5764800512404
10,30,10,12,0,1,1,7,56,445.7610516373937
10,30,5,13,1,1,0,9,55,438.20909645002536
12,25,8,11,0,1,1,10,55,434.1296362786384
16,29,12,13,1,1,1,9,54,436.8084099355299
8,32,2,13,1,1,1,9,56,441.7512285063932
10,27,7,10,1,1,1,9,49,393.709822405476
12,30,6,14,1,0,0,9,55,438.18400353290485
11,30,6,12,1,0,0,8,53,421.6183141941308
12,30,4,14,1,0,1,6,54,430.8898150257256
5,28,9,14,1,1,1,11,57,448.8784270345091
10,28,3,15,0,1,1,8,54,430.7264194101545
6,31,5,16,0,0,1,6,56,443.1908547973936
13,27,10,11,0,1,1,8,52,415.4489045197704
9,26,3,12,0,0,1,11,53,417.0563036489209
7,33,9,12,1,0,0,7,55,436.2914030655074
9,28,6,13,1,1,1,9,55,438.37574334054335
10,33,5,11,1,1,0,9,56,444.8501204410416
6,30,3,15,1,1,0,9,54,428.8977393811553
10,30,13,11,1,1,1,9,49,395.0521620441546
5,32,10,14,1,1,1,8,55,438.191180315684
7,30,9,9,1,0,0,10,54,427.6791591399155
8,29,8,11,1,0,1,8,54,429.5211840661634
5,27,13,17,0,1,0,10,59,465.9315041562456
8,33,9,9,0,1,1,8,53,422.5623584159169
4,29,11,11,1,0,1,8,52,417.7310292839955
9,31,10,10,1,1,1,5,53,426.7859389728264
9,26,8,15,1,0,1,10,56,444.54393747005
7,31,5,13,1,0,0,13,59,461.3862912721024
9,29,12,12,0,1,1,7,52,414.78142151976976
8,33,5,9,1,0,0,12,57,451.5833517459888
10,29,7,11,0,0,1,9,57,450.2264422190122
12,26,3,13,1,0,1,12,54,427.5035821629292
17,31,5,16,1,0,1,10,58,462.2654456882095
8,29,6,16,0,1,1,11,59,464.315005599148
7,30,7,17,0,1,1,12,57,450.7223816576123
3,28,4,16,0,1,0,7,57,445.8275479152875
8,32,7,14,1,1,1,12,57,449.2674855477585
8,33,12,16,1,1,0,11,60,475.3549946381747
8,31,5,13,1,1,0,11,57,450.53115003541416
5,32,6,14,1,0,1,11,57,449.8892201275965
11,30,15,10,1,1,1,10,55,442.5992066192986
8,25,11,14,1,0,0,7,53,424.7421910398663
11,30,7,18,1,0,1,13,58,458.38269250003736
7,31,3,12,0,0,1,12,55,432.45775739365007
12,33,11,12,1,1,1,9,58,462.18804697812
9,29,9,11,1,1,0,9,54,431.4139700238125
10,27,8,12,1,1,1,11,56,443.3905273779718
7,24,5,12,0,1,1,8,54,424.3362601629399
11,34,3,14,1,0,1,7,56,443.3971010972951
9,32,5,17,0,0,1,7,57,453.2850790101713
3,28,5,17,1,1,0,9,56,440.6995994283282
9,27,5,12,0,1,1,5,53,421.9972713321433
8,31,7,10,1,1,1,9,54,429.69706699144143
12,30,9,16,0,1,1,11,62,489.8743439513352
10,30,15,6,1,1,0,11,52,420.6358470938275
9,29,3,10,1,0,1,9,52,414.15142051479296
11,30,12,16,0,1,0,11,61,482.5362934803609
9,31,11,12,1,1,0,8,56,445.996903436181
10,34,9,5,1,1,0,7,52,418.2849266388898
11,35,6,5,1,0,1,11,53,421.35481162271583
8,28,10,13,0,1,1,11,54,428.6042067050738
8,28,6,14,1,0,1,11,55,435.4199420295697
12,30,14,15,1,0,1,12,59,471.45564169217465
10,28,5,15,0,1,0,9,56,442.7255640491652
9,33,9,16,0,1,1,10,60,473.7866107665269
9,33,6,17,1,1,0,12,61,479.4192074262736
11,28,6,16,1,1,0,13,60,472.5990066584355
6,29,7,13,1,0,1,4,51,409.4156185543868
8,30,9,10,1,1,1,9,55,439.3314278287182
14,31,1,17,1,0,0,11,57,450.1298642711597
14,29,13,8,0,0,1,11,54,431.8035026876466
3,26,12,9,0,1,0,14,57,446.7455224825122
6,32,11,8,0,1,1,10,52,415.037137890344
8,30,5,17,0,1,1,11,59,460.573121118153
9,27,13,16,0,1,1,7,58,461.2591413571288
7,28,16,13,1,1,1,15,58,457.4919629106825
9,27,6,14,0,1,1,12,57,448.546551681754
7,29,1,16,0,1,0,13,56,437.4746018660702
8,30,9,16,1,1,1,8,56,445.03809728482594
11,31,13,15,1,1,0,11,57,456.0095390961173
4,33,3,13,1,0,1,13,57,448.607995303592
13,31,11,11,1,1,0,8,56,450.172905417481
6,31,12,15,1,0,1,10,57,453.3056631028908
8,26,7,17,1,0,0,10,56,442.4090533759039
8,27,13,10,0,0,1,9,53,421.5279552696279
7,31,2,12,1,0,0,7,52,414.9506672519436
10,31,2,14,1,0,1,9,55,435.7864838216008
12,26,13,15,0,1,1,11,59,466.4206940422845
10,30,15,11,0,1,1,11,60,473.426500499082
12,29,3,14,0,0,1,11,57,451.8799664180265
11,33,4,14,1,1,1,8,57,453.6380486590865
7,28,6,16,1,1,1,12,58,457.1443620719048
8,26,12,16,0,0,1,8,56,444.0010659101008
15,33,6,11,0,1,1,9,55,439.3756255214334
5,30,7,13,1,0,1,11,55,433.9822033096571
7,30,6,11,0,0,0,9,53,420.4930609236298
10,30,7,13,1,0,1,7,54,431.81318245204426
12,31,5,14,0,1,1,9,60,469.6807666488555
7,30,12,16,1,0,1,10,57,452.6388174223641
10,31,1,13,1,1,1,8,56,444.9366353683143
4,28,14,13,1,1,0,15,59,466.0740191942788
6,30,-1,11,1,1,1,11,53,415.0019914786166
13,29,10,10,0,1,1,8,54,431.0444780987618
9,25,9,16,0,1,0,12,60,471.5316596273654
8,27,11,22,0,0,0,9,62,490.1824005071178
15,27,8,11,0,0,1,8,54,431.89986214196085
11,32,8,14,1,1,0,6,58,461.6678647567555
7,28,7,14,1,1,0,6,56,447.1744883973295
12,28,7,12,1,1,1,7,54,428.4596007449361
10,29,6,14,1,1,1,8,57,451.8577991616201
7,29,6,15,1,1,1,7,54,430.5895271620728
10,27,5,15,1,0,0,8,53,422.4542435308402
13,27,11,15,1,1,1,6,54,437.8109957680335
7,26,6,16,0,1,0,11,57,450.4531254779983
7,35,3,10,0,1,1,10,54,425.076934493431
9,29,3,20,1,1,0,14,59,462.8885582338476
13,28,7,12,1,1,1,9,54,432.532824834416
3,26,7,19,1,1,1,7,55,434.9171860475357
4,28,7,11,1,0,1,10,55,433.4221276472951
10,28,7,13,1,0,1,9,53,423.69395852890295
12,34,8,13,1,1,0,10,56,445.30893035758095
10,30,6,14,1,1,1,9,56,443.8405591542908
7,27,11,17,1,1,1,8,56,445.6336371896836
12,30,0,14,0,0,1,9,56,442.4008369665793
13,33,4,10,1,1,0,9,54,431.62435742756185
13,29,7,16,0,1,0,10,57,450.4792141618765
8,29,13,11,0,1,1,10,54,431.953562631493
8,29,6,11,1,1,1,7,53,418.174920579739
11,29,8,14,1,1,0,6,56,445.2440614044088
4,32,-1,9,0,0,0,12,53,417.6715581608186
8,31,7,15,0,1,1,8,57,451.02402603740416
14,30,13,12,1,1,1,9,56,449.09677824523214
7,30,6,15,1,0,1,8,56,440.5222374133821
14,28,5,15,0,1,0,11,58,455.2055445894898
14,28,3,18,0,0,0,12,58,458.0506602603069
9,28,4,15,1,1,0,12,57,447.629024617081
8,29,7,9,0,1,1,10,54,425.6867276307676
17,33,13,15,1,1,1,9,59,473.2896567874405
8,29,1,16,0,1,1,10,58,453.2111280356935
11,28,1,15,0,1,0,9,55,433.4908503925786
11,31,9,14,1,0,1,10,56,447.5594382812722
8,27,8,16,1,1,1,7,55,436.1649206985567
4,29,5,14,1,1,1,11,54,429.0299949948541
11,28,5,13,1,1,1,12,52,414.3381411529803
5,27,9,9,1,1,1,9,52,410.9880673554044
13,27,7,14,0,1,1,9,56,444.3322908734662
10,31,8,14,1,1,1,8,59,467.7994291144816
12,26,4,14,1,1,0,8,55,437.76076786435135
9,28,2,10,1,1,0,10,51,404.9731176080546
9,30,4,14,1,0,1,13,57,449.1395336459108
8,27,5,9,0,0,0,10,54,424.9848575158844
8,29,11,14,1,1,1,7,56,441.4098676694485
6,31,2,14,0,0,1,11,55,433.8968684073968
2,34,6,17,1,1,0,10,60,470.65005565623727
11,31,4,15,1,0,1,8,55,439.6737639026448
7,34,7,13,1,0,1,6,55,439.8102994519122
7,33,12,12,1,1,1,8,55,439.9805365958626
8,32,12,13,1,0,0,10,58,461.9694537983388
10,30,6,19,1,1,1,9,58,457.33832371753465
9,29,9,15,1,1,1,9,57,451.4386013680892
7,27,6,17,1,1,1,9,57,451.3164960738443
9,33,9,13,1,0,0,8,56,446.1726121780481
15,27,10,11,1,0,0,11,55,439.1763230003892
8,25,10,11,0,1,0,7,56,442.47783721066617
11,31,3,20,1,1,1,6,61,480.18700623816216
5,30,8,12,0,1,0,12,55,434.5231492186708
10,28,7,14,1,1,1,11,56,446.3534888218263
15,32,7,10,1,0,0,10,53,428.3913789097804
12,30,5,19,1,0,1,9,58,461.689420390433
11,31,10,11,0,0,1,11,59,465.1189467025595
18,30,14,14,1,1,1,8,56,453.2329225992402
8,25,10,10,1,1,0,8,54,427.3242965819071
8,30,7,16,1,0,1,10,57,452.0813378644094
9,26,11,5,1,0,0,9,49,393.4106697509496
8,31,9,19,1,1,0,10,59,465.1134331476626
11,34,8,18,1,1,1,10,60,476.89911873053774
8,26,10,18,0,0,1,10,56,446.12021988202673
6,33,8,16,1,1,1,6,59,467.02429801318846
9,32,9,13,1,1,1,8,54,432.364925488929
10,25,7,10,1,0,0,9,52,416.0244219036122
10,28,4,17,1,1,1,9,57,449.5038851965799
3,31,8,7,1,0,1,12,56,442.20838495979217
9,27,8,14,1,1,1,7,54,431.43604210186606
9,28,12,12,1,1,0,12,57,451.3159887059213
7,29,5,13,1,1,1,9,56,442.6820974653997
7,25,4,10,1,0,1,7,50,400.0024539270706
14,26,0,16,1,1,0,11,57,446.11227854230174
10,29,13,7,1,1,0,11,53,423.5241343055568
13,29,5,14,1,1,1,10,56,444.38290350778783
10,28,8,16,0,1,0,7,57,453.5170908951905
6,26,7,17,1,1,1,12,58,456.8168037710579
10,33,8,15,0,1,1,6,57,453.9140113927167
14,27,4,13,1,1,1,11,53,424.2176579083493
11,31,5,15,1,1,0,10,57,451.73586684754935
11,32,8,16,1,1,0,10,61,483.5645001224465
6,30,6,16,1,0,1,10,54,430.05437813772176
9,28,4,17,0,1,0,7,58,457.1300068975314
9,31,12,13,1,1,1,8,57,455.52593703115775
8,33,9,8,1,1,1,9,51,408.7651099391962
9,28,9,9,0,0,0,10,55,436.4260650254636
8,34,3,13,0,1,1,10,56,440.9288146874943
7,28,8,16,1,1,1,12,58,459.1560634495869
10,31,6,14,1,0,1,10,54,429.5451881806713
8,30,6,15,0,1,1,8,56,442.1069893444761
6,31,10,14,1,1,1,11,55,437.4498602556298
5,29,12,15,1,0,1,8,54,432.96237342312384
11,33,0,12,0,1,0,8,55,433.00315443397847
9,27,6,13,0,1,0,13,59,461.0210791160353
7,28,7,11,0,1,0,7,53,421.1216080856897
12,30,4,14,0,1,0,6,55,441.0915386227399
15,24,14,16,0,0,1,10,59,469.3266928755822
10,32,3,14,0,1,1,9,56,442.56035218167966
11,30,12,11,1,1,1,9,55,441.2192665408305
12,27,9,18,0,0,0,8,59,466.42565006171424
11,33,7,17,1,1,1,8,58,458.8358444008972
9,29,8,9,1,0,1,9,47,381.3114335814908
4,31,6,11,0,0,1,7,51,407.2296698588357
11,27,7,15,1,0,1,8,52,416.5987563871995
8,28,9,17,0,1,1,11,60,469.0505378512525
10,27,8,14,1,1,0,7,56,444.50537658618566
9,26,9,19,1,1,1,10,59,466.202631161778
4,33,9,15,0,1,0,12,61,478.5626695674888
10,28,9,14,1,0,1,8,53,427.1947227824039
10,27,10,11,1,1,0,9,57,452.3831880881276
8,30,12,12,0,1,0,9,56,443.67563310280696
8,29,10,13,1,1,0,11,56,443.0244533924962
10,29,12,14,0,1,1,9,58,459.6939767217359
16,30,10,16,1,1,0,7,57,457.99062624514187
7,30,8,10,0,1,1,8,55,437.8239798868592
7,29,9,16,1,1,0,7,57,451.95981517562495
5,28,7,11,1,1,1,11,52,409.71308776770434
9,28,4,15,0,0,1,12,56,438.9341016313922
9,32,8,16,1,0,0,13,60,475.8526608717913
11,29,9,11,1,0,0,7,57,453.4877954375285
8,28,8,14,1,0,0,8,55,435.4801034394249
10,25,5,15,0,0,0,10,60,469.4589225072887
10,28,5,13,1,1,1,8,54,429.75426399533865
11,29,7,12,1,1,1,9,54,431.5929775196945
12,33,3,18,1,0,0,10,59,469.8069916313465
9,30,6,10,1,1,1,11,53,418.8244384645345
9,32,11,16,0,0,1,9,59,465.5594896674184
8,25,7,12,0,1,1,10,55,433.1162823358608
9,27,9,12,0,1,0,11,55,434.5162112698076
10,31,8,12,1,1,0,6,53,425.5345902194732
6,27,10,19,0,1,0,12,64,500.3156680283593
12,30,8,14,1,1,1,12,57,453.0323544881609
9,33,4,16,1,1,1,8,59,463.55763435110856
5,34,4,11,0,0,1,7,54,426.8234653268229
10,30,7,14,1,0,1,10,54,431.519515035522
6,28,5,10,0,0,1,12,53,417.6134017838018
10,31,6,16,0,0,1,7,56,444.4268572292483
8,31,7,12,1,0,0,12,57,450.0814791080468
11,28,7,13,0,1,0,9,57,448.3187618406361
13,35,8,11,1,1,1,6,54,433.9889504698188
6,28,5,17,1,1,0,12,58,452.79388766917
6,31,10,15,1,0,1,6,54,431.4584488512001
14,30,6,13,1,0,0,9,55,443.0365893388518
16,31,4,12,0,0,1,9,52,416.7553587039816
5,26,10,12,1,0,0,11,52,415.39417175363656
12,27,5,16,1,0,0,11,57,449.10094728219576
11,31,13,7,1,1,1,10,53,424.4484083119881
5,28,4,14,1,1,1,9,54,430.3238435741456
9,30,16,19,1,1,1,10,61,483.5380560667125
9,28,11,13,1,1,0,12,54,429.6705983941079
14,29,11,16,1,1,1,6,57,459.5959829072399
10,26,6,17,1,1,0,14,59,461.3003376360115
12,31,8,16,0,0,0,8,55,439.3652879559088
10,25,4,10,1,0,0,11,56,439.4368561497478
10,26,5,11,1,1,1,10,52,413.0973465648051
13,31,13,12,1,0,1,14,57,455.5005938111076
15,25,5,11,1,0,1,7,52,419.9653652374887
9,30,7,15,0,0,1,11,56,443.32298311758615
12,31,10,11,0,1,0,5,54,435.15076638618257
9,31,7,12,0,1,1,10,57,449.4530941505049
7,31,10,18,1,1,1,9,58,458.9933403492185
7,25,6,13,1,0,1,9,55,436.282923598355
14,36,3,12,0,1,1,9,55,439.1239950778135
10,30,14,15,1,1,1,12,58,463.6296906719864
13,31,4,19,0,1,1,10,61,481.7532930176433
13,28,13,14,1,1,1,7,55,443.23733931726144
12,30,4,15,1,1,0,11,57,450.4610372946262
8,30,6,11,1,1,1,9,54,430.40011669073465
8,29,9,12,0,0,1,7,53,424.4419724764211
11,34,9,13,1,1,1,10,56,448.5945071552868
11,31,6,11,0,1,0,8,54,430.652780027546
15,32,8,15,0,0,1,9,59,470.5391191114798
8,32,17,15,1,0,1,6,56,451.02863405205807
12,29,4,14,0,0,0,6,57,451.6420703097487
13,32,9,14,1,1,1,10,59,469.4004459723524
7,26,4,13,0,1,0,10,55,431.5441512831703
5,29,5,14,1,1,0,7,55,437.4480444881089
9,27,6,16,0,0,1,8,53,422.9494794014274
9,31,7,11,1,1,1,11,54,430.46564025664463
13,31,5,11,0,0,1,10,52,413.3644248171093
10,27,8,14,1,1,1,10,54,432.1548737553271
6,29,9,14,0,1,1,7,56,441.5470431797909
5,31,8,16,1,1,1,14,59,463.4120970311902
8,32,10,15,1,0,1,9,56,448.2153919717868
10,28,7,10,1,0,1,8,51,408.7187786445982
8,29,14,18,0,1,1,9,63,496.9905655505447
10,26,4,12,1,1,1,11,54,427.0964177975444
9,28,13,15,1,1,1,9,56,448.4357713499771
11,30,5,14,0,1,1,11,56,441.1166179099224
16,30,8,16,0,0,0,8,57,454.7995418603396
10,31,5,12,0,1,1,11,57,447.68870335870565
11,31,10,10,1,1,1,10,55,438.0106174863239
13,31,11,20,1,1,1,7,62,494.5396029365818
13,29,4,15,1,0,1,3,53,425.05621095487913
10,27,11,11,1,1,1,10,52,420.31948573011897
11,27,9,13,1,1,1,10,54,428.6043373512002
14,30,10,15,1,0,1,7,56,452.48066315859785
14,27,7,16,1,1,1,5,55,440.0584895833508
9,30,4,14,0,1,0,10,55,432.3283307283234
9,27,10,8,1,1,1,10,50,402.4171694978004
9,32,4,13,1,1,1,8,55,437.71069053458007
11,32,2,13,1,0,0,7,53,423.149772239997
6,31,9,15,1,0,1,12,58,457.2425831989169
13,25,6,17,1,0,1,9,57,451.7189757882421
7,31,1,16,1,1,0,6,57,451.43282919468896
10,30,6,17,1,1,1,7,55,437.8855587689502
12,29,10,11,0,1,1,11,57,453.19427527312246
12,27,9,7,0,0,1,8,49,396.2591033827968
9,31,8,12,1,1,1,12,56,443.832583492606
12,31,8,12,1,0,1,11,54,429.22986300702064
9,29,6,14,1,1,1,8,55,434.95978500741165
10,32,7,13,0,1,1,8,57,450.8641932308893
9,28,11,13,1,1,1,12,56,444.8833155023769
11,29,9,12,1,1,1,10,55,437.66133815219695
13,31,10,14,1,1,1,8,58,464.7861664443311
5,30,1,20,1,0,0,10,59,461.3156758389226
11,30,8,13,1,0,0,10,56,447.2819999767974
7,30,12,17,1,1,1,10,58,461.1329222413623
12,29,5,14,0,0,1,14,57,450.51298936462666
8,29,8,15,1,1,0,12,58,454.7725402895859
7,29,15,11,1,1,1,8,51,411.8218185642296
6,28,10,13,0,0,1,8,54,431.7644459794816
10,26,4,14,0,0,0,10,54,427.9919534538782
11,33,12,10,1,1,1,10,57,455.9598710245989
5,27,8,11,0,1,1,8,54,427.3819531295407
16,32,11,11,1,0,0,12,58,462.3644010970373
13,31,0,13,1,1,1,11,54,428.5061557524077
11,29,9,10,1,0,0,11,55,438.3359409721431
13,33,8,14,1,1,0,9,58,462.3144627755778
11,30,5,16,1,1,0,11,57,451.234673802276
13,29,7,8,0,0,1,12,54,430.89306723929855
12,27,7,14,0,1,1,9,55,436.8785168683271
11,32,11,15,1,1,0,6,57,455.0504893747341
10,30,5,17,1,1,0,8,58,458.4410359508343
8,27,9,18,1,1,1,9,58,459.1252945326276
9,31,6,13,1,1,1,7,55,437.6184322389822
9,30,10,21,1,0,1,14,61,479.9608282895836
8,29,4,12,1,1,1,8,53,421.7624681258972
8,30,11,13,1,1,0,10,56,446.06876506557103
11,29,10,12,1,1,0,9,53,424.9368721055105
8,29,4,13,1,1,1,12,54,426.7167266541936
11,30,5,11,0,0,0,8,54,428.76612668502713
8,27,12,14,1,0,1,11,57,452.40264335599807
12,27,11,15,1,1,1,8,54,433.6119416729903
7,29,8,17,1,1,1,8,58,460.0047046392922
7,26,11,12,1,0,1,13,56,443.5976246350344
8,26,4,20,1,1,1,9,58,454.8992666875431
9,26,6,8,0,1,0,14,56,436.6464884334685
8,32,8,18,0,0,1,8,58,462.63435211457727
4,27,0,15,1,0,1,10,53,412.8928059483901
13,28,6,10,1,0,1,11,53,426.02899138119807
11,31,7,15,1,1,0,11,59,467.5299081321841
10,30,9,11,1,1,1,10,57,453.6069565380394
7,27,10,16,1,1,1,12,58,459.1373222879885
2,32,5,8,0,1,0,12,54,420.6208486627559
14,27,7,14,1,0,1,8,53,425.62447881107886
8,30,6,11,1,1,0,10,53,420.89090259796217
8,32,6,15,1,0,0,10,57,451.7149135394358
4,31,5,18,1,1,0,8,57,452.0671803907476
7,27,10,14,1,0,1,10,55,436.22263355071993
5,30,8,18,0,1,1,11,60,467.6755704199576
12,22,10,8,0,1,0,12,54,428.4760261333132
9,29,6,13,1,0,1,7,55,438.0770099219316
7,23,10,16,1,0,1,9,55,436.414634758853
9,28,11,10,1,1,1,12,54,429.8927484748874
